[00:00] 歡迎收聽谷愛,我是孟公,本期節目由木鶴單一麥芽威士忌贊助
[01:40] 喝下去後又再轉化成
[01:42] 辛香料與肉籽鮮味
[01:43] 送禮的時候
[01:44] 如果不確定對方的飲酒習慣
[01:46] 這個年份算是不會出錯的選擇
[01:48] 木鶴祝福您木星春賀新運
[01:51] 現在木鶴指定通路都已開麥
[01:53] 有興趣趕快把新年禮準備好
[01:55] 那我們有更多資訊在連結的這邊提供給所有需要的朋友們
[01:58] 那這幾天真的超級佩服Lisa
[02:00] 因為小兒子Killian又生病了
[02:02] 那其實小朋友生病是一個很常見的事情
[02:05] 那只是Killian生病呢
[02:06] 大概在前半年的時候我們是非常非常擔心
[02:09] 因為當然小朋友是愣因階段的時候
[02:12] 如果生病都是有機會要跑醫院的
[02:14] 那特別是他只有單腎
[02:16] 所以我們就要非常的注意
[02:18] 那直到現在已經稍微的沒有像以前這麼擔心了
[02:21] 就他已經是越長越健康
[02:22] 那他的那一個腎呢
[02:24] 已經長到大概是兩三歲小朋友的一個尺寸
[02:26] 因為他會帶腸
[02:27] 那所以整體看起來都還蠻健康的
[02:30] 那只是偶爾呢
[02:31] 就是還是會有這種生病的狀況產生
[02:33] 那每當這種時間呢
[02:35] 我就會覺得說我老婆真的是一個超級狂人
[02:37] 她真的超屌
[02:38] 她就是每個小時都會起來幫小朋友量體溫那一種
[02:42] 那即便可能有一些專家學者
[02:44] 或者說醫生的意見都會說
[02:45] 你其實不一定要做到這麼hardcore
[02:47] 但她沒有辦法
[02:48] 就是每個小時一定會設鬧鐘
[02:50] 或者她自己會驚醒
[02:51] 然後就要幫小朋友量
[02:52] 所以他就真的是做到那種無微不至
[02:54] 那因為這樣子
[02:55] 當然就會完全的睡眠被破壞
[02:57] 那一般以我來說
[02:58] 如果是我這樣子的話
[03:00] 大概隔天就完全不用工作
[03:01] 我就要直接貪死一整天之類的
[03:04] 大概過了25歲之後
[03:05] 我就已經沒有辦法熬夜
[03:06] 每次熬夜就覺得說睡不回來
[03:08] 或者身體會極度的不適
[03:10] 那像他最狂的是
[03:11] 也可能是他比較年輕一點
[03:13] 他還沒有30歲
[03:14] 那所以他很多時候
[03:15] 他只需要回去床上補眠
[03:17] 大概半小時到一小時
[03:19] 他就一整天都是非常的有朝氣
[03:21] 充滿精神
[03:22] 這個是很厲害的地方
[03:24] 像我岳母的話
[03:25] 昨天我來幫忙一下
[03:26] 因為小朋友真的哭非常大聲
[03:28] 所以他就來協助
[03:29] 協助完之後
[03:30] 今天我的小舅子小姨子就待在家裡
[03:32] 因為岳母沒有體力
[03:33] 載他們去上學
[03:34] 就真的太累了
[03:35] 所以這一點可能是我老婆特別厲害
[03:37] 也不只是說什麼戰鬥民族的血液
[03:39] 因為像我岳母也才四十幾歲
[03:40] 可是她已經有點受不了
[03:41] 覺得說幹真的很累
[03:42] 可是他們有一些那種基因的特長
[03:45] 真的看得出來
[03:46] 具體來說
[03:46] 我剛才講到基因的特長
[03:48] 我一時間覺得怪怪
[03:49] 但大家不要想歪
[03:50] 像那個手機的部分
[03:52] 我們從小就被告誡
[03:54] 雖然我們以前是沒有這種智慧型手機
[03:56] 可是還是會玩什麼貪食蛇之類的
[03:58] 你不要整天玩手機
[03:59] 距離要拉遠一點
[04:00] 什麼看電視
[04:01] 一定要坐在什麼後面的沙發
[04:03] 我每次看到我小舅子小姨子
[04:05] 我老婆或者我岳母
[04:06] 我都覺得說
[04:06] 媽撒小
[04:07] 我們小時候被管成這樣
[04:08] 然後我們全部人都近視
[04:10] 到底發生什麼事情
[04:11] 那他們完全都沒有
[04:13] 他們用很奇怪的姿勢在滑手機
[04:15] 然後或者是說
[04:16] 在那種燈光超陰暗的地方
[04:17] 打電動之類的
[04:19] 那都沒有近視
[04:20] 當然我知道這也可能是特殊的案例
[04:22] 只是我看一下
[04:23] 就像我們臺灣人
[04:24] 進士比例真的特別高
[04:25] 所以可能有一部分
[04:26] 寫在基因裡面
[04:27] 就是比較容易進士
[04:28] 那有好有壞
[04:30] 當然可能我們的壽命
[04:31] 也相較於這些斯拉夫仔
[04:33] 是比較長一點
[04:34] 他們的壽命相對短
[04:35] 反正總之就是有時候
[04:37] 在長大之後
[04:38] 越來越覺得
[04:39] 也不是說我們放推
[04:41] 或者說放棄
[04:42] 只是就知道說
[04:43] 基因本身帶有非常強大的力量
[04:46] 就是你可能可以長多高
[04:48] 那個range是從你的基因就決定的
[04:50] 那後面呢
[04:51] 可能靠你的後天飲食
[04:53] 或一些睡眠
[04:53] 可以去稍微什麼
[04:54] 正負一點點之類的
[04:56] 那可是如果說
[04:57] 你不是那個種的話
[04:58] 你就是沒有辦法
[04:59] 所以這可能也是某種privilege吧
[05:02] 就是如果說
[05:02] 你有這個不同的血液的話
[05:04] 就類似我們在玩那種
[05:05] 線上遊戲選種族的時候
[05:07] 每個種族有自己的特長之類的
[05:09] 所以其實看下來覺得蠻特別的啦
[05:11] 就我們小時候特別注意
[05:12] 可是我們的眼睛都還是近視
[05:14] 然後他們什麼都沒有在屌
[05:15] 他們竟然好好的
[05:16] 然後像老婆這種
[05:17] 他竟然只要睡半小時到一小時
[05:19] 他就可以完全的精神康復
[05:20] 這倒是他媽撒小
[05:22] 最近我們也看了一個
[05:24] 很屌的紀錄片
[05:25] 就是Alex Honnold
[05:26] 去爬臺北101
[05:27] 這個傢伙他的基因
[05:28] 一定也是跟別人不一樣
[05:29] 我有看到一些報道
[05:30] 有寫到說
[05:31] 怎麼去幫他做腦部的檢測
[05:32] 發現說他對恐懼的反應
[05:34] 是非常小
[05:35] 他真的也是一個特別的人
[05:36] 所以他才在那個特別的位置
[05:38] 大學上學不上學
[05:39] 整天跑去攀巖
[05:40] 攀到後來就整天睡車上
[05:42] 然後在那邊爬
[05:42] 我也是在這次的爬101
[05:45] 才知道這一個人
[05:46] 其實應該是我根本就不知道他要爬101
[05:48] 然後是直到他要爬的那一天
[05:50] 我就注意到社群上面很多人在講
[05:52] 最主要是我在華埃街上短影音的時候
[05:54] 發現說奇怪
[05:55] 怎麼會連那種卡帶山的家族的人都在講
[05:58] 就是怎麼大家都知道這件事情
[05:59] 然後趕快去把這個影片找來看
[06:01] 看之前因為非常的緊張
[06:03] 所以先查劇透
[06:04] 因為怕說他如果真的摔下來怎麼辦
[06:06] 還有他是成功的上去
[06:07] 所以又找我兒子一起看
[06:08] 我就跟我兒子講說
[06:09] 有人要爬你家
[06:10] 因為我兒子到現在都覺得說
[06:12] 臺北101是他家
[06:13] 因為每次只要坐飛機回臺灣
[06:14] 看到101的印刷
[06:16] 我們就跟他說這個就是你家
[06:17] 然後他就誤以為說這個就是他家
[06:19] 當然我們希望有照理
[06:20] 他可以在101上面搞一個辦公室之類
[06:22] 真的變他家
[06:24] 反正總之他大概看三分鐘之後
[06:25] 就沒有耐心了
[06:26] 所以我們就跳著看
[06:27] 然後讓他知道說這個房子
[06:29] 其實是可以爬上去的
[06:30] 真的非常的狂
[06:31] 看完這個影片之後充滿很多的感動
[06:34] 真的覺得非常屌
[06:35] 其實老實講像這種什麼101的董事長
[06:37] 或什麼臺北市政府
[06:38] 一些什麼協辦單位或什麼
[06:40] 其實如果說是要走最保守的做法
[06:43] 就我們講那種官僚的形式
[06:44] 反正就是你不要做就不會出事
[06:47] 也是最保守最安全最穩健
[06:50] 不會有任何的狀態
[06:51] 所以其實有人願意去接下這個活動
[06:54] 然後去做承辦跟扛風險
[06:56] 那是一個很屌的事情
[06:57] 因為你簡單換位思考就知道了
[06:59] 就是如果我今天要去保好我的位置的話
[07:01] 其實我不做是完全不受任何傷害的
[07:03] 所以其實到後來
[07:05] 我對世間很多事情的看法都是一樣
[07:07] 就是不做呢
[07:08] 或者說那種用最保守的方式來講
[07:10] 那個如果你今天做的話
[07:12] 你掉下來怎麼辦
[07:13] 如果你沒有掉下來
[07:14] 可能是不好的示範
[07:15] 或什麼的
[07:15] 就像這樣子一個說法
[07:17] 真的是他媽猴子都會講
[07:18] 就是真的是每個人都會講
[07:19] 那你就發現說那些risk taker
[07:21] 就是以前我們被教育會認為說
[07:22] 那些risk taker
[07:24] 他們可能是什麼
[07:24] 倖存者偏差
[07:25] 你看就只有他一個人可以爬
[07:27] 其他人都不能爬
[07:27] 可是老實講
[07:29] 如果你今天真的去看
[07:30] 世界上每個成大事的人
[07:31] 哪一個不是可以被人家講說
[07:33] 是倖存者
[07:34] 對不對
[07:34] 每一個都嘛
[07:35] 是媽你知道他的人生軌跡一做
[07:36] 你真的可以變成他嗎
[07:37] 不一定嘛
[07:38] 可是說我們人就是需要
[07:40] 像這樣子的一些heroes
[07:41] 一些那種榜樣
[07:42] 然後來跟我們講說
[07:44] 其實人生可以很不一樣
[07:45] 不是每個人都一定要當NPC
[07:46] 不是每一個人都一定要當
[07:48] 像那個Pink Floyd唱的
[07:49] 就好像說那個MV拍出來的一樣
[07:51] 每個小朋友都是架上的同樣的玩具
[07:54] 因為每個人都是同樣的教育
[07:55] 同樣的行為模式帶出來的
[07:57] 所以每次看到有一些
[07:58] 那種願意去做不一樣嘗試的人
[08:00] 去扛風險的人
[08:01] 我都是非常的尊重
[08:02] 從以前可能不知道
[08:03] 就小時候還不懂事的時候
[08:05] 可能會覺得說這人在幹嘛
[08:06] 他為什麼要冒這種風險
[08:07] 可是長大之後
[08:08] 像我自己家本身也是一個風險愛好者
[08:11] 因為就知道說
[08:11] 你沒有把頭洗下去
[08:12] 你沒有扛風險
[08:13] 你就不會獲得不一樣的東西
[08:15] 你要獲得不一樣的東西
[08:16] 你就勢必要扛一些風險
[08:18] 你都走那種最安全最保守的路線
[08:20] 你就註定就是一個NPC
[08:22] 當然當NPC也沒有不好
[08:23] 那就人生的選擇
[08:24] 可是當NPC也不要去告訴那些
[08:26] 想要當Heroes的
[08:27] 然後說你們這個做法是不對的
[08:29] 你可以教你的兒子也當NPC
[08:30] 可是你不用教別人的兒子也當NPC
[08:32] 所以有時候覺得這個世界上
[08:34] 還是要有一些反派的存在
[08:36] 然後就是在這個Alex Honnold
[08:38] 去爬之前跟之後
[08:40] 你去看一些社群上
[08:41] 真的是他媽什麼人都有
[08:42] 一樣米養百種人
[08:44] 有些人在那邊講說
[08:45] 爬101很簡單
[08:46] 我想說
[08:47] 你們到底是他媽低能兒
[08:49] 你們是不是快樂寶貝
[08:50] 你們到底在講什麼東西
[08:52] 這麼簡單
[08:52] 你去爬
[08:53] 他們一定想說
[08:54] 只是我不想爬
[08:55] 就類似那種小時候不念書的
[08:57] 然後就講說
[08:58] 只是我不想念而已
[08:59] 其實你光是沒有辦法
[09:01] 坐下好好唸書
[09:01] 代表說你的能力不足
[09:02] 像我就是很坦然的承認這件事情
[09:05] 我就是沒有辦法專注
[09:06] 所以我就是不會念書
[09:07] 不會念書
[09:07] 你不要在那邊講說
[09:08] 唸書其實不難
[09:09] 做什麼其實不難
[09:11] 只是我要表演
[09:11] 那種就是那種fucking loser
[09:13] 然後再來就是
[09:14] 即便人家爬成功了
[09:15] 還是要跑出來說什麼
[09:16] 可能有什麼公安的問題
[09:18] 可能有什麼
[09:19] 有那個
[09:19] 什麼今天不就是你賭贏的
[09:21] 如果你今天賭輸了怎麼樣
[09:22] 你有沒有發現一件事情
[09:24] 我很常跟大家講說
[09:25] 現在的網路有一個很大的問題
[09:27] 應該說就是隨著科技的進步
[09:29] 然後大家通訊的一個
[09:31] 加強生活的變好
[09:33] 讓每一個人真的都誤以為說
[09:35] 他可以出來發言
[09:36] 就是這些人有時候我在想說
[09:37] 如果你今天是回到
[09:38] 那種比較hardcore的時代
[09:39] 他們可能早就已經掛掉了
[09:41] 或者說他們根本就沒有辦法長大
[09:42] 可是因為現在就是那一種
[09:44] 基本上你只要有好手好腳
[09:45] 你都是可以活下來的一個時代
[09:47] 然後讓這些人誤以為說
[09:48] 每件事情他都可以出來
[09:49] 發表一下意見
[09:50] 社群的一個放大器
[09:52] 又會讓那些很偏激的言論
[09:53] 放到很大
[09:54] 然後就會讓整個環境
[09:56] 看起來就是非常的烏煙瘴氣
[09:58] 就是很多時候在想說
[09:59] 你真的寧願去聽一個專家
[10:02] 去聽一個強者的分享
[10:03] 你也不要聽一個魯蛇
[10:04] 在那邊跟你講說
[10:05] 其實我們應該全部都說回來
[10:06] 什麼事都不要做
[10:07] 反正失敗主義者
[10:09] 或是那種最保守想法的人
[10:11] 我覺得那些其實就不用發言
[10:13] 因為那個其實內建在每個身體裡面
[10:14] 每個人都知道說
[10:15] 我今天不做我就不會受傷害
[10:16] 可是問題就是事情都是要有人去做
[10:18] 所以咱看下來覺得非常的感動
[10:21] 像這樣的一些精神傳遞給大家
[10:22] 當然他一定有壞的部分
[10:24] 壞的部分是什麼
[10:24] 就是他媽的
[10:25] 現在一堆人在101的一樓
[10:27] 去爬人家牆角
[10:28] 爬到那個東西好像有點歪掉
[10:30] 金屬有點歪掉
[10:31] 那個就是怎麼講
[10:32] 看到人家做
[10:33] 然後覺得好笑
[10:34] 就去氣氛去樂子一下
[10:35] 可是他可能會帶來一些
[10:37] 當然這種相對可能比較負面的事情
[10:39] 可是我覺得帶來的那一種
[10:40] 包含說對一種夢想
[10:43] 或者說對於一種理想的追求
[10:45] 我就覺得我可以做好這件事情
[10:48] 我真的有辦法辦到
[10:49] 一些看起來很不可能的事情被達成
[10:51] 這個其實會在每個人的心中
[10:53] 都種下一個種子
[10:54] 特別是在小朋友的心中
[10:55] 你也不用擔心說什麼
[10:56] 你小朋友以後一定會想去爬那個
[10:58] 不會這樣子
[10:58] 不然你媽整天看到Red Bull的影片
[11:00] 他們早都跑去做極限運動
[11:02] 就是隻是要有人去跟這些孩子
[11:05] 或者說其實現在正在創業
[11:07] 或正在努力的人說
[11:08] 你知道就是各種奇蹟
[11:09] 都是有可能發生
[11:10] 所以看到這種東西
[11:11] 我是覺得很感動
[11:12] 那我是很訝異
[11:13] 怎麼可以這麼多人
[11:14] 用這麼負面的角度
[11:15] 來看這件事情
[11:16] 真的很可憐
[11:17] 然後他們的聲量又很大
[11:18] 真的是有時候覺得說
[11:19] 像我現在滑FREDS
[11:20] 我都會覺得說
[11:21] FREDS就是一個正常人偵測器
[11:22] 你只要上去一陣子
[11:24] 覺得不舒服
[11:24] 代表你可能是正常人
[11:25] 大概這樣
[11:26] 今天跟大家分享我自己的心得
[11:27] 那至今的市場
[11:28] 都還是呈現非常的瘋狂
[11:30] 那我們已經開始
[11:31] 有很多人都在做
[11:32] 這個績效的結算了
[11:33] 那我們也聽到比較狂的是
[11:35] 有一個月就賺贏去年
[11:36] 去年也賺不少
[11:37] 那今年一個月就賺贏去年的
[11:39] 那今年一個月就賺贏去年半年的
[11:42] 就很多了
[11:43] 那像我自己的話比較可惜
[11:45] 就是在美股這一邊
[11:46] 也不想要牽託
[11:47] 但老實講美股的指數表現真的不好
[11:49] 那像我自己手上的一些持股
[11:51] 目前就是一些光通
[11:53] 然後一些高速傳輸
[11:54] 衛星股也有
[11:55] 然後再來晶片股
[11:56] 也是我的保底
[11:57] 還有Tesla
[11:58] 這些東西就絕大多數都是在水面之下
[12:01] 所以其實美股的表現就真的是蠻鳥的
[12:03] 那臺股的表現是非常好
[12:06] 但是因為這樣子
[12:07] 兩相權衡之下
[12:08] 美股的部位又比較大
[12:09] 所以其實今年
[12:10] 我是還沒有什麼特別的感覺
[12:11] 但就是覺得說
[12:12] 臺股這邊真的超級的瘋狂
[12:14] 那大家應該有看到
[12:15] 韓國這邊發生的事情
[12:17] 就是國會想要去黨
[12:19] 這個對美的輸成法案
[12:20] 那這樣就變成是
[12:22] 川普立刻就做了一個處置那我就把你的關稅再往上加所以就還是回到我們過去幾集聊關稅跟大家講現在就是馬匪要解你們你有本事你就不要跟他做生意可是問題就是你看臺灣的出口
[12:34] 你都是跟他做生意
[12:36] 那他要跟你搶的話
[12:37] 你就只能夠給他
[12:38] 你不給他的話
[12:39] 那他就再把你關稅加上去
[12:41] 所以其實有很多人都是用那種
[12:43] 怎麼講
[12:43] 你們是他媽的住在另外一個世界嗎
[12:46] 還是沙小
[12:46] 就是你們怎麼感受到的東西
[12:48] 跟我們在市場上用資料
[12:50] 看到的東西差這麼多
[12:51] 你們怎麼可以完全的用感受來講事情
[12:53] 甚至我還是回到剛才前面講
[12:55] 我覺得現在太多
[12:56] 莫名其妙的人都有身量
[12:57] 還是以後要去做這些評論的人
[12:59] 不知道你至少先給我看一下
[13:00] 就來說你要整天講說
[13:01] 什麼臺積電被賣了
[13:02] 你到底買了幾張臺積電
[13:04] 你至少先給人家看一下
[13:05] 你到底買了幾張臺積電
[13:06] 好就算你買了不少張
[13:07] 可是問題就是
[13:08] 整個媽的股東投票
[13:10] 也不是說你一個人說了算
[13:11] 如果你是minority
[13:12] 那你投票輸了
[13:13] 你就不要講一堆話
[13:14] 那更何況是那種
[13:16] 根本就沒有買的
[13:16] 然後整天開口閉口說
[13:18] 什麼臺積電被賣掉
[13:18] 那是人家民間企業
[13:20] 你真的不要把那種CC位當白痴
[13:22] 好像很多人覺得說
[13:23] CC位是白痴
[13:24] 其實我們也聽過不少那種臺積電
[13:26] 高層的什麼廠長
[13:28] 或是一些有的沒有的
[13:29] 跟我們分享的時候就有提到
[13:30] 他就講一句話很經典
[13:32] 就說你們真的不要覺得說
[13:33] 我們比你們笨
[13:34] 我們一定都是想的比你們更清楚
[13:36] 當然很多時候
[13:37] 我們用一些事後論回頭看
[13:38] 會發現說
[13:39] 有時候你們還是overshoot的
[13:40] 你那個產能哭下去之後
[13:42] 然後給他candide或什麼
[13:43] 沒有辦法
[13:44] 就連那種最強的人
[13:45] 像那個什麼Roger Federer
[13:46] 都跟你講過
[13:47] 說你不可能每一場都會贏
[13:48] 所以最強的人都跟你講這樣
[13:50] 或是巴菲特的那個portfolio
[13:51] 你開啟來看
[13:52] 他哪有可能每次都贏
[13:53] 他只要整體長期是贏就好
[13:55] 所以不要去抓著人家
[13:56] 那種小辮子狂打
[13:57] 反正就是說
[13:58] 人家一定是比你聰明
[13:59] 有時候交給專業就好
[14:00] 我們去投資
[14:01] 其實某個程度上
[14:02] 不是說你要去當維權派股東
[14:04] 就什麼股票買了
[14:05] 去教人家怎麼經營
[14:06] 不是
[14:06] 是你就是相信他
[14:07] 你才投他
[14:08] 我覺得股票市場
[14:08] 跟我自己接觸一些
[14:10] 那種資料市場
[14:10] 或者說那種創投的差別在
[14:12] 股票市場真的很爽
[14:13] 怎麼說
[14:14] 你今天買一個東西
[14:15] 你不爽他
[14:16] 你隔天就把它賣掉
[14:16] 就結束
[14:17] 就你不用被他在那邊綁著
[14:19] 有些我們去投的一些實體生意
[14:20] 投下去你發現說
[14:22] 幹BBQ了
[14:23] 你走不掉
[14:23] 你真的走不掉
[14:24] 那個裝置什麼清倉賣掉
[14:25] 那個直接就
[14:26] 本來100塊變10塊
[14:27] 所以其實在股票市場
[14:29] 真的就是說
[14:30] 你不爽就不要做
[14:31] 你不爽就趕快換邊投
[14:32] 就是這樣子
[14:33] 然後再來就是
[14:33] 其實我覺得
[14:34] 現在很多討論都失焦了
[14:36] 其實幹脆就回到股權討論就好
[14:38] 就是沒有股權
[14:38] 你跟人家在那邊氣憤樂止什麼
[14:40] 就像是我不會去討論說什麼
[14:42] 什麼女僕咖啡廳應該怎麼樣裝潢
[14:44] 你就不是做那個生意的人
[14:45] 你整天教人家說什麼
[14:47] 那應該要怎麼樣
[14:47] 要當那種維權分子
[14:49] 或者什麼
[14:49] 什麼什麼什麼
[14:51] 道德放在那種最高點
[14:52] 然後去教每個人怎麼做事
[14:53] 這個是超奇怪的
[14:55] 你是誰啊
[14:55] 就很多時候真的看到這些討論
[14:57] 我就覺得說
[14:57] 乾的話你是誰啊
[14:59] 那像我們臺灣瞎子
[15:00] 這個軍購預算
[15:02] 也可能要被卡了
[15:04] 那在這樣的狀況之下
[15:06] 當然我們就是希望說
[15:07] 美國這邊不會去做一些回擊
[15:09] 因為畢竟AIT都直接開訊號跟你講了
[15:12] 就是說這個就是要付錢
[15:13] 如果說你們都不想要付錢的話
[15:15] OK那我們就看川普或者說
[15:17] 什麼商務部長
[15:18] 或什麼財政部長
[15:19] 他們會不會又搞出一些
[15:20] 對臺的方針又去做修改
[15:22] 但老實講
[15:23] 我覺得現在應該不會有人想跟選票過不去
[15:26] 因為像這種什麼中張頭的一些工廠
[15:29] 我們之前跟大家講說
[15:30] 其實這個市場是很窄
[15:31] 然後到近期我們跟大家說
[15:32] 市場的廣度整個開啟來
[15:33] 為什麼
[15:34] 因為其實關稅15%
[15:35] 真的是救到很多
[15:37] 那種本來躺在地上的產業
[15:38] 所以其實就是說
[15:39] 像我跟大家提的
[15:40] 像上車的人越來越多
[15:42] 因為大家都開始感受到
[15:44] 這個資本的果實
[15:45] 你看這個工具機
[15:46] 全部都還在繼續噴
[15:47] 就是全部那種過去
[15:48] 躺在地上的鐵工
[15:49] 什麼滾珠
[15:50] 有的沒有沙小
[15:51] 全部都給你動起來
[15:53] 所以就這些從業人員
[15:55] 都會感受到
[15:55] 他們都會感受到訂單
[15:57] 感受到自己手上的股票的不一樣
[15:59] 所以就當然還是會有些人會反對
[16:01] 我也會持一些不同意見
[16:02] 只是他們的人數會越來越少
[16:04] 那隻希望我們可以順利的度過這一關
[16:06] 韓國已經演演看過
[16:07] 他們去卡人家
[16:08] 那你就準備再被制裁一次
[16:10] 那真的是對臺灣來講
[16:11] 不是什麼太好的事情
[16:12] 那也因為臺灣市場下廣度蠻大的
[16:15] 所以我們不太可能去把每個題材
[16:17] 都拿出來跟大家講
[16:18] 那絕大多數的東西
[16:19] 基本上都會有cover到
[16:20] 像是記憶體已經是講到不要再講了
[16:22] 那被動元件的漲價
[16:23] 也是持續有在跟大家追蹤
[16:25] 那在ABFBT的漲價
[16:27] 這個也是大概幾個月前有跟大家聊到
[16:29] 都是現在持續的發生中
[16:30] 每天幾乎都有人在丟出來
[16:32] 跟你講說什麼又要漲價了
[16:33] 或者說哪裡又要缺量了
[16:34] 又有人不做了
[16:35] 要把訂單試出來之類的
[16:37] 那同博
[16:38] 這個金居可能是去年的上半
[16:41] 很多人賺很多錢的東西
[16:42] 然後後來他一直在橫盤
[16:43] 就每次進儲制拉一下
[16:45] 然後最後再掉下來
[16:46] 也是持續的
[16:47] 有看到這個價格的變化
[16:49] 是往更好的方向去
[16:50] 那從我們的角度來看
[16:51] 就是覺得說
[16:52] 後面應該會有蠻嚴重的通膨
[16:54] 因為現在這些價格的漲價
[16:55] 已經不完全是在一些
[16:57] 科技的產品跟製品裡面
[16:59] 那你可以看到像一些原物料的漲價
[17:01] 像銀
[17:01] 這個銀背後一定是有炒家在推動
[17:03] 可是這個價格
[17:05] 它拉到這樣的一個程度
[17:07] 那就會導致說
[17:08] 像它的一些後端的應用
[17:10] 像被動元件
[17:11] 他們又使用到銀作為原料
[17:13] 就會跟著漲價
[17:14] 然後這些漲價上去的料號
[17:16] 你後來就會發現說
[17:17] 就算可能銀的原物料價格
[17:19] 後面是遲緩
[17:20] 或者說拉平
[17:21] 或者甚至是往下掉
[17:23] 它應該也不會這麼容易的
[17:25] 就去做價格的一個調整
[17:27] 所以東西漲上去之後
[17:28] 其實就會很難下來
[17:29] 它會一路這樣子
[17:31] 傳導到後端去
[17:32] 所以其實現在在市場上面
[17:34] 很有趣的東西是
[17:36] 就不是所有的東西
[17:37] 都是因為在需求方面
[17:39] 非常的強勁而導致
[17:40] 而是因為我們注意到一些原物料的漲價
[17:42] 然後它對這些科技的零元件
[17:45] 是造成很大的影響
[17:46] 所以他們就立刻的把價格給轉嫁出去
[17:48] 像最近在一些網通廠的說法裡面
[17:52] 我們也得到一個有趣的觀察
[17:54] 就過去跟大家分享說
[17:56] 其實在網通這邊
[17:57] 大家比較注意的一點是說
[17:58] 因為在記憶體的漲價
[18:00] 那個就會影響到他的毛利
[18:01] 因為他不一定可以每一個都轉嫁出去
[18:04] 因為如果是接標案的話
[18:06] 那就很有可能會受到很大的影響
[18:08] 那只是近期就有臺系的這個網通廠
[18:11] 出來跟大家分享說
[18:12] 他們的毛利長期都是在十幾趴左右
[18:15] 所以他們是不可能把這個記憶體的漲價吃下來
[18:18] 所以他們是一路的都有去做轉嫁
[18:20] 那客戶也都接受
[18:22] 所以這個可能對於一些網通廠來講
[18:24] 可以稍微的觀察一下
[18:25] 因為以前我們可能會把它放在那些
[18:27] 就類似是什麼PC的ODM OEM那裡
[18:30] 就會認為他們算是
[18:31] 記憶體的漲價受害股
[18:33] 特別說你的客人是消費者的話
[18:35] 其實很難把這個東西轉出去
[18:37] 甚至他們開始去魔改了
[18:38] 把一些比較舊的料號拿出來
[18:40] 就是因為他們不想要有
[18:41] 全面價格的上銷
[18:42] 然後去導致需求的破壞
[18:44] 只是從這些網通廠的說法裡面
[18:46] 有沒有觀察到
[18:47] 就如果他的客人是B端的話
[18:48] 或者說他可能是有
[18:50] 比較多這種OEM的代工訂單的話
[18:53] 其實我們是有注意到
[18:54] 價格的轉嫁
[18:55] 根據這些公司的說法
[18:57] 是有出去的
[18:57] 所以他們受到的影響可能是有限
[19:01] 就是不會像本來預期的這麼高
[19:02] 以上簡單跟大家分享
[19:04] 這種漲價相關的一些話題
[19:06] 因為我自己還是比較喜歡
[19:08] 就是可能有一些夢的東西
[19:10] 成長性是很好
[19:11] 它不完全是價格的變化驅動
[19:14] 它是有很大的需求
[19:15] 這個是我自己特別感興趣
[19:17] 所以以下的市場來看
[19:18] 我覺得低貴道衛星
[19:20] 就是非常重要的一環
[19:21] 在過去幾集
[19:23] 有跟大家稍微聊了一下
[19:24] 低貴道衛星的一些看頭
[19:26] 我幫你說
[19:26] 如果你有注意到
[19:27] 它在東南亞
[19:28] 特別是越南
[19:28] 有去做擴產
[19:29] 泰國也是部分的生產基地
[19:31] 其實就可以很明確的知道說
[19:34] 它可能
