[00:00] 歡迎收聽谷外,我是孫夢宮,本集節目由大鹽生醫贊助
[02:59] 可是我們沒有辦法決定這件事情
[03:01] 可是你發現說
[03:02] 就算你的家裡沒有到非常的富足
[03:04] 可是你的爸媽是願意聆聽你的
[03:06] 他們會尊重你的決定
[03:08] 他們會接受你的交友權
[03:09] 然後他們會在你成長的路上
[03:12] 一路扶持你
[03:13] 我相信你一定也可以過得
[03:14] 非常幸福跟快樂
[03:15] 所以對我來講
[03:16] 這是最重要的指標
[03:17] 就像是我今天早上看到
[03:18] 那個方咪寫的
[03:19] 沒有錢的人一定會羨慕有錢人
[03:21] 他會希望可以更有錢
[03:22] 可是很好笑的是
[03:23] 有錢人他其實是非常羨慕那些
[03:24] 沒有錢可是他可能很健康的人
[03:26] 當然我們會羨慕那種
[03:27] 有錢又很健康
[03:28] 那是最好的
[03:29] 只是意思是說
[03:29] 就是每個人要的東西
[03:31] 可能都是隔壁花園裡的東西
[03:32] 你自己有的
[03:33] 你就覺得說好像是理所當然
[03:35] 然後大家都想要隔壁別人的東西
[03:37] 那所以呢
[03:37] 就像說像一個最簡單的思想考驗呢
[03:40] 就是如果你今天可以跟巴菲特互換身體
[03:43] 你可以變成是這個股票圈的首富
[03:45] 那交換的條件就是
[03:46] 你要變成他你要嗎
[03:47] 絕大多數人應該都說不要嘛
[03:49] 靠北我幹嘛要變成一個老人家
[03:50] 那直接準備要先試
[03:52] 但我們希望他活久一點
[03:53] 或意思是說
[03:54] 這個應該是很稀反色
[03:55] 大家就知道說
[03:56] 我才不要變成那個樣子
[03:57] 所以其實代表說
[03:58] 你知道你自己的
[03:59] 年輕這件事情
[04:00] 本身就是超級大的一個本錢
[04:02] 健康就是一個非常大的本錢
[04:03] 那只是你在追求財富
[04:05] 追求財富之餘
[04:06] 不能夠忘記說
[04:07] 就是不然說
[04:08] 對家人的一些陪伴跟關心
[04:10] 這是非常重要的
[04:10] 那這個我覺得很多過來人都會講
[04:12] 可是你沒有過來過的人
[04:13] 你就會覺得說
[04:14] 你們都在講屁話什麼的
[04:16] 可是過來過的人就會知道說
[04:17] 我今天可能已經打下了江山
[04:19] 我賺了很多錢
[04:20] 可是我家人怎麼全部都離開我了
[04:21] 或是他們都不愛我
[04:23] 應該很多人有這樣子的困擾
[04:24] 因為沒有辦法
[04:25] 我覺得人的注意力是有限的
[04:27] 當你全部都放在工作上面的時候
[04:28] 你就會忽略掉其他東西
[04:29] 然後這時候你的小朋友
[04:30] 可能還巴不得說
[04:31] 我爸不會這麼賺錢
[04:33] 他是會多賠我的
[04:34] 所以那個是很困難的一件事情
[04:36] 就是說我們很難去幫每個人
[04:38] 去設定某一種目標或什麼的
[04:40] 他也沒有一個絕對的答案
[04:41] 但對我自己來講
[04:42] 我覺得陪伴是非常重要
[04:43] 所以就在小朋友身上投資的時間
[04:46] 目前我是覺得說是非常的值得
[04:48] 然後希望在接下來都可以
[04:50] 持續的維持這樣的一個節奏
[04:52] 就是當一個
[04:53] 怎麼說
[04:54] 有時候我看卡比的一些訪問很好笑
[04:57] 就是MMA前任拿了一堆title的那位超級鬥士
[05:02] 他的意思是講說
[05:03] 在他們這個圈子
[05:04] 你要當champion的話
[05:05] 你就是不會有家人
[05:07] 不會有小孩
[05:07] 你可以有家人
[05:09] 你可以有小孩
[05:09] 你可以有你的生活
[05:10] 我都尊重你
[05:11] 可是你就是很難當champion
[05:12] 我現在想法就是說
[05:14] 我沒有要當champion的意思
[05:15] 我可以當不知道
[05:16] 就第五第六名之類的
[05:17] 但是我有家人跟小孩
[05:18] 所以卡比這種人
[05:20] 是我非常尊敬的人
[05:21] 就是他為了去追求
[05:22] 在事業上的卓越
[05:24] 然後他放下了一切
[05:25] 可是我們又要放下一切
[05:26] 我希望說
[05:27] 我就是每個都恰到好處
[05:28] 剛剛好
[05:29] 這是我自己幫自己設下的一個
[05:31] 就是我認為
[05:32] 如果說我今天到30年之後
[05:34] 我回頭看
[05:35] 我應該會非常感謝
[05:35] 我下的一個決定
[05:36] 這是我對未來的一個投射
[05:38] 那這一年在事業的參與上
[05:40] 自己也是非常的滿意
[05:41] 在林口有兩間店
[05:43] 那這兩間店
[05:44] 目前的狀態都不錯
[05:45] 在現在其實實體大環境
[05:47] 是不太好的狀況之下
[05:48] 都還是維持成長跟
[05:49] 持續的有收益
[05:51] 那也非常感謝這兩位老闆
[05:52] 為了小弟可以搬來林口
[05:54] 可以來林口當我的好朋友
[05:56] 可以跟我一起成長
[05:57] 這個是非常開心的事情
[05:58] 那預計在明年
[06:00] 會持續的在林口
[06:01] 再開更多店
[06:02] 預計會開一個餐廳
[06:03] 只是目前我們還在找地
[06:04] 因為需要有一個
[06:06] 可能食用空間
[06:08] 是要50幾平以上的
[06:09] 在林口是比較不好找
[06:10] 那等到可能後面
[06:12] 有一些眉目之後
[06:13] 可以再跟大家分享
[06:14] 那這會是一個餐廳
[06:15] 這個對我來講
[06:17] 也是一個新的嘗試
[06:18] 當然不是我自己
[06:19] 要去怎麼找主廚
[06:20] 要去管說什麼選單什麼
[06:21] 我對這個都是一竅不通
[06:22] 對我來講
[06:23] 我就是一個資金的提供者
[06:25] 一個股東
[06:26] 那當然會盡我們所能
[06:28] 去幫忙推廣
[06:29] 因為我們希望林口
[06:29] 有更多好玩跟有趣的東西
[06:31] 這樣讓我們自己的生活圈
[06:33] 也變得更有意思
[06:35] 不然像是有些東西
[06:36] 其實我會去投資他的主因
[06:37] 就是因為我需要這個東西
[06:38] 就是我需要他
[06:39] 所以在林口希望他有
[06:41] 就是我現在在林口的小願望
[06:42] 就是希望有一個頂太風
[06:44] 有一個頂太風的話
[06:45] 那大概就是完全不用再離開林口
[06:47] 所以目前覺得
[06:49] 這些實體的投資跟生意
[06:51] 其實都是蠻有趣的
[06:52] 在明年可能也會希望
[06:53] 可以繼續去做更多
[06:55] 那再來今年也發起了兩個遊戲資本
[06:57] 一個是湘南
[06:58] 一個是烏山
[06:59] 那目前我們湘南已經完成了
[07:02] 第一輪的增值
[07:03] 所以大概就是已經過億了
[07:05] 那接著就是希望可以邁向
[07:07] 我們設定的一個目標
[07:08] 這個遊戲資本的投資額
[07:10] 要過三億以上
[07:11] 甚至可以往5億或是10億去邁進
[07:13] 當然也要看臺灣有沒有這麼多團隊可以投
[07:15] 那是非常感謝這個契機
[07:18] 因為其實本來真的只是自己一個
[07:20] 算是偏浪漫或者說天真的想法
[07:22] 就喜歡打遊戲
[07:23] 那你看到你喜歡的團隊
[07:25] 一下給人家那邊幹腳
[07:26] 想說他們會不會撐不下去
[07:27] 要不要借他們錢
[07:28] 那就是因為這個簡單的想法
[07:30] 然後後來也不知道怎麼搞的
[07:31] 峰迴路轉之下
[07:32] 非常感謝我們參與的一些股東
[07:34] 當然這些股東
[07:34] 他們不一定會想要
[07:35] 讓人家知道他們是誰
[07:37] 所以我就不會去公佈
[07:38] 可是這些股東
[07:39] 有錢又有力又有人脈
[07:41] 什麼東西都有
[07:42] 所以大家組織起來
[07:43] 其實我們效率是極高
[07:44] 非常高效率的一個團隊
[07:46] 很快的就已經開出去
[07:48] 三到四張支票了
[07:49] 很快
[07:50] 然後接著我們到明年
[07:51] 應該就會再開出更多
[07:52] 只要有這些很棒的遊戲團隊
[07:55] 我們都會跳出來支援
[07:56] 而且我們來的時間點剛剛好
[07:57] 因為可能在臺灣的遊戲業
[07:59] 失去一些補助的當下
[08:01] 或者說可能現在在募資方面
[08:02] 是比較困難的一個環境之下
[08:04] 那我們的出現
[08:05] 也算是幫到他們
[08:06] 那當然他們好好的開發遊戲
[08:07] 也等於是幫到我們
[08:08] 所以我覺得就是一個非常好的結合
[08:11] 誕生的時間點也是抓的還蠻不錯的
[08:14] 非常感謝老天的保佑
[08:15] 接下來會持續的去擴大我們的資本額
[08:18] 然後持續的去投入這些優質的臺灣遊戲
[08:21] 希望在明後年可以有所突破
[08:24] 我們會有一款
[08:25] 我們投資的團隊不是每一個都會對外公開
[08:28] 但是有公開的團隊
[08:30] 有些在明年就要推出它的遊戲
[08:32] 我也希望說這個是可以非常的順利
[08:34] 如果說可以打響第一槍的話
[08:36] 代表說可能接下來
[08:38] 不只是對我們
[08:38] 對臺灣的遊戲圈來說
[08:41] 也是投下了一個
[08:42] 這種信任票的感覺
[08:43] 大家看到說
[08:44] 有好康的
[08:45] 有好料的
[08:46] 會怎麼樣
[08:46] 就跟我們股票那些動能仔一樣
[08:48] 平常在那邊盤整
[08:49] 在那邊盤疊的時候
[08:50] 每個人爛股票
[08:51] 不要
[08:51] 投這個一定會賠錢
[08:53] 然後開始漲的時候
[08:54] 你怎麼沒有
[08:55] 這不是每個人都要有嗎
[08:56] 這不是制服股嗎
[08:57] 你怎麼買那麼少
[08:58] 你怎麼沒有開槓
[08:58] 就每個人都會變那樣
[09:00] 就基本上絕大多數人
[09:01] 都是內建動能基因
[09:02] 就是看到你好的時候
[09:04] 就說你好
[09:04] 這個古人都講過
[09:05] 十念寒窗無人問
[09:06] 一舉成名天下之
[09:07] 那我們就屬於那種
[09:09] 可能比較傻屌的
[09:10] 我們就是在那種
[09:10] 就是你還沒有看到
[09:11] 它突破的狀況之下
[09:12] 你就先進去介入
[09:13] 我們就先進去深蹲
[09:14] 那我們希望一切會有
[09:16] 好的安排
[09:17] 那樂觀者呢
[09:18] 就相信都是會勝利的
[09:20] 那同時也非常感謝
[09:21] 我們的股東們
[09:21] 包含說那些
[09:22] 出錢出力的各方好姐
[09:25] 還有自己市場圈的
[09:26] 一些好朋友
[09:26] 我們市場圈的好朋友
[09:28] 在這個議題上面呢
[09:29] 是沒有丟大家的臉
[09:30] 就是大家在參與上呢
[09:32] 基本上
[09:33] 真的是每個參與的市場圈的投資人
[09:36] 你要人家拿出八位數
[09:37] 你以為你要跟他什麼demo
[09:39] 要看簡報
[09:39] 要認識一下團隊
[09:41] 要看一下什麼啥小
[09:42] 這個有參與的
[09:43] 除了我之外
[09:44] 有另外三位市場派的人士
[09:46] 都是在LINE裡面三句對話
[09:48] 不超過三句
[09:49] 有些甚至是兩句對話
[09:50] 就敲沉了這個投資
[09:51] 所以對我來講
[09:53] 也是非常的感恩跟讚歎
[09:55] 第一個這些人非常的大方
[09:57] 第二個就是
[09:58] 我們可能真的做對了什麼事情
[10:00] 他們覺得這是有機會的
[10:01] 或者說他們就是相信你什麼的
[10:02] 所以就絕對不可以辜負他們
[10:04] 至少要把資源放在正確的地方
[10:06] 讓我們持續的打拼
[10:07] 持續的努力
[10:07] 希望可以把臺灣的遊戲
[10:10] 在我們的幫忙之下
[10:12] 稍微的往前推進一點
[10:13] 但是需要各方豪傑的努力
[10:15] 這不是說什麼
[10:16] 其中一個團隊
[10:17] 或怎麼樣就可以達到的事情
[10:18] 但至少總是要有人去起個頭
[10:19] 在那種就大家都說
[10:21] 什麼投資遊戲就等於一定會賠錢
[10:22] 等於你一定會死掉的一個狀況之下
[10:24] 我們願意去做嘗試
[10:26] 我自己覺得這是一個非常酷
[10:27] 就是不知道
[10:28] 不管成敗是怎麼樣
[10:29] 五年後十年後
[10:30] 跟自己的小孩講
[10:31] 都可以非常驕傲的一件事情
[10:33] 所以以後會繼續做這些
[10:34] 就是我認為會讓小孩驕傲的事情
[10:36] 這個是自己的小小的目標
[10:38] 希望大家都可以非常的順利
[10:41] 希望大家在明年
[10:42] 沒有實現的願望都可以實現
[10:44] 有新的願望也可以順利的達成
[10:46] 在這邊稍微的祝福一下大家
[10:47] 因為今天是今年最後一個交易日
[10:50] 當然我們前幾天就已經做完一個總結
[10:53] 到今天其實變化不大
[10:55] 當然在過去的一段時間裡
[10:57] 就是我那些七字背的什麼裝置
[11:00] 產物股都還是繼續去噴射
[11:02] 那有些東西呢
[11:04] 還出現一個迴盪
[11:04] 但整體的進值沒有太大的一個變化
[11:07] 所以就差不多是這樣總結掉
[11:08] 可是就發現說
[11:09] 其實在過去去做出來的一些調整
[11:11] 跟新的部位的建立呢
[11:13] 就差不多已經去定調了
[11:14] 就明年我們目前以下的角度去投射的話
[11:17] 要看的一些東西啊
[11:19] 那我自己覺得稍微小遺憾的一點就是
[11:21] 第一個我的記憶體賣得太早
[11:23] 臺股這邊的啊
[11:24] 美股的有報著
[11:24] 臺股這邊就是
[11:25] 基本上已經是快要賣光的一個狀態
[11:28] 那這個就有點可惜
[11:29] 當然我們沒有水晶球
[11:31] 我們不知道說後面一定會怎麼樣
[11:33] 那換出來的東西
[11:34] 雖然報酬率是沒有
[11:35] 就是假設說待在記憶體裡面好
[11:37] 可是表現也不錯
[11:38] 這些產物或者說
[11:39] 一些建廠相關的東西跟裝置
[11:42] 都是持續的表現非常強勁的多頭
[11:45] 那這個我們目前去展望
[11:47] 明年的話
[11:47] 覺得應該也都會維持這樣的一個狀態
[11:49] 所以假設現在要去看
[11:51] 明年的一些產業的話
[11:52] 自己心中有一些想法
[11:54] 首先第一個就是
[11:54] Power相關的東西
[11:55] 還是非常的重要
[11:56] 那美國的電網建制
[11:58] 這個可能就是說
[11:59] 緩不及急
[12:00] 因為現在在AI的這些
[12:02] Server跟Data Center的建制之下
[12:04] 大家都是
[12:05] 兵貴神速
[12:06] 要快
[12:07] 可是問題就是說
[12:07] 很多地方的電力
[12:09] 其實跟不上的
[12:10] 那這時候就會像是
[12:11] 就像說Tesla的
[12:12] 他們那個AI Cluster
[12:13] 很多時候就要用
[12:14] 自己自建的一些電力系統
[12:15] 去做供應
[12:16] 那這個也是各個巨頭
[12:17] 都有看到的一個狀態
[12:19] 所以電力相關的東西
[12:20] 在明年都還是會
[12:22] 非常的重要
[12:22] 那包含像是什麼
[12:23] Fuel Sales
[12:24] 或者說這種活塞式引擎以及那種航太型的燃氣渦輪等等這些都是在接下來我自己會想要注意的一些趨勢我們現在講的這些東西
[12:35] 就是要知道說
[12:36] 它其實都不是什麼所謂新的題材
[12:38] 就只是說在明年會有機會
[12:40] 有一個繼續的延續性的題材出現
[12:42] 所以對我們來說
[12:43] 就是會持續的去做關注
[12:45] 那不然像Data Center裡面的HVDC
[12:48] 或者是一些高壓的材料
[12:50] 高電流相關的材料
[12:52] 這個對我們來講
[12:53] 都是在接下來會想看的
[12:55] 不然說像是一些被動元件的升級
[12:58] 這個可能也都是在範圍以內
[13:00] 那再來可能在交換器這邊
[13:02] 以及這種光電通訊
[13:04] 對我們來說也是接下來的一個看點
[13:07] 那這邊我自己會稍微
[13:08] 有一點猶豫的地方是
[13:10] 我發現就只要市場
[13:11] 每次在講光的時候
[13:12] 那一些銅的東西就會被殺到
[13:15] 所以其實我們現在去看
[13:16] 一些銅相關的股票
[13:17] 不管是什麼Anfano或是Credo
[13:19] 就再一次掉回去它的區間裡面
[13:21] 那實際上其實我們在產業所看到的角度的話
[13:25] 業績都還很好
[13:26] 像Credo的業績都還是會很好
[13:28] 可是我覺得可能市場有這樣子去定位
[13:30] 就是隻要每次光好的時候
[13:32] 大家就去殺銅
[13:33] 就大家認為說光跟銅好像是一個互相取代的東西
[13:36] 即便理性上我們知道不是這樣
[13:38] 可是看起來就市場就要這樣去做一個認定
[13:40] 那我的做法是怎麼樣
[13:41] 我還是沒有打算在這裡面直接去選擇某個方向去重壓
[13:45] 而是就兩個都壓
[13:46] 所以在光交換器的部分有去做投資
[13:48] 然後在銅線的部分有去做投資
[13:50] 就是我認為說
[13:51] 在scale up上面
[13:52] 就同線還是有很多的表現機會
[13:54] 當然在新的一年
[13:55] 可能在CPU的一個幫忙之下
[13:57] 我們會注意到
[13:58] 現在Data Center
[13:59] 可能會開始轉向這個方向
[14:00] 可是同還是非常有效率
[14:01] 跟儲存速度很高的一個解方
[14:03] 所以我覺得就會靠業績去證明
[14:05] 可能就是說它那個乘數
[14:06] 沒有辦法在短期內修上去
[14:07] 可是當業績開出來
[14:08] 覺得還是有機會
[14:09] 所以同的東西還是會持續的拿著
[14:11] 那光收發相關的
[14:13] 它的目標市場的成長率
[14:15] 或者說在接下來的一段時間
[14:17] 你可以注意到
[14:17] 它那種整體營收的提升
[14:19] 它會高於各種的
[14:21] 不管是什麼TPU XPU
[14:23] 或是各類的ACID跟GPGPU
[14:25] 我覺得因為光收發
[14:27] 它要用到的料是越來越多
[14:29] 所以在這方面
[14:30] 可能會覺得是在明年
[14:32] 會想要再加大布局的東西
[14:34] 光收發相關的內容
[14:35] 以及當然往後再延伸的話
[14:37] 一些材料像是零化銀
[14:39] 這個銀的材料
[14:40] 不只是在光通相關
[14:42] 在散熱方面
[14:42] 我們也注意到有一些機會
[14:44] 所以其實在臺灣的一些裝置廠
[14:46] 跟這些特殊材料相關的
[14:48] 也是自己會想要佈局
[14:50] 或說已經佈局的一個物件
[14:51] 那接著呢
[14:52] 雷射相關
[14:52] 不管是什麼EML
[14:53] 或是CW
[14:54] 也是自己有在看
[14:55] 那比較可惜的是
[14:56] 其中一個最經典的案例
[14:58] 就是文貌
[14:58] 那文貌其實老實講
[14:59] 那時候在年初
[15:00] 跟去年的時候
[15:01] 我去做佈局
[15:02] 那時候佈局的點
[15:03] 其實是在買春田的故事
[15:05] 那只是後來呢
[15:06] 這個就是一個
[15:07] 我後來認輸掉的一筆投資
[15:08] 那現在呢
[15:09] 文貌變成一個標股
[15:10] 其實我是沒有參與到
[15:11] 那下個故事
[15:11] 就會偏向說是這些
[15:13] 光通訊相關的
[15:14] 雷射的題材
[15:15] 就再一次的把它給拉上去
[15:16] 總共說就是
[15:17] 不是每個東西都做得到
[15:18] 但至少大方向要有抓到
[15:20] 那錯過一個東西
[15:21] 沒關係
[15:21] 你可以從其他地方討回來
[15:23] 或是賣飛的一個東西
[15:24] 沒關係
[15:24] 你可能進入新的地方
[15:26] 也是可以有
[15:26] 更好的一個潛在報酬
[15:27] 我說不要過度的
[15:28] 聚焦於當下
[15:29] 當下可能會覺得說
[15:30] 我的前女友長得比
[15:31] 我現任女友來的多
[15:32] 可是不一定
[15:33] 再拉個半年
[15:34] 說不定你的現任女友
[15:34] 會噴很多
[15:35] 你要的只是耐心
[15:36] 所以耐心也算是
[15:38] 我在過去的幾年
[15:39] 特別從2023年
[15:40] 開始去做一些
[15:41] 所謂的小鬼谷的配置之後
[15:43] 我成長的很大一塊
[15:45] 就是在於耐心
[15:46] 然後就是我開始可以去接受說
[15:47] 我去盯著一家公司的
[15:49] 不管是營收跟獲利
[15:50] 或者跟公司的經營管理層
[15:52] 去變成朋友
[15:53] 然後多多的交流
[15:54] 瞭解一下到底生意模式
[15:55] 它的本質是什麼
[15:56] 然後以及他們看到的東西
[15:58] 他們的願景是什麼
[15:59] 只要是持續的on track的話
[16:00] 其實現在已經比較不會去受到
[16:02] 那些就是每月營收的影響
[16:04] 其實以前的我
[16:05] 對我來說在2019或是18以前
[16:08] 那個每月營收就是我的生命
[16:10] 我都是看著那個做股票的
[16:11] 或者說我去賭
[16:13] 就因為我知道後面的營收很好
[16:14] 所以我就是去賭
[16:15] 說人家看到那個會進來
[16:16] 我就用那個當成是我
[16:17] 很重要的一個指標
[16:18] 可是到現在
[16:19] 我覺得我的心態
[16:20] 有點慢慢偏向美股那樣
[16:21] 因為我們都知道說
[16:22] 美股它其實沒有每月營收的
[16:24] 當然這一點有好有壞
[16:25] 沒有每月營收代表說
[16:27] 市場派人士就不會過度反應
[16:29] 因為臺股有時候會講說
[16:31] 營收可能什麼
[16:32] 劣於預期直接先亂殺
[16:33] 但其實它只是低延到下個月
[16:35] 所以下個月又拉回來
[16:36] 那變成在過程之中可能會比較洗一點
[16:38] 那美股一季一次
[16:39] 就會讓大家有這種FOMO
[16:41] 或者說FUD的情境會稍微的低一點
[16:45] 但這個東西都是有好有壞
[16:46] 因為你站在臺股的角度來講
[16:48] 臺股有可能就是比較領先的
[16:49] 為什麼
[16:50] 因為如果說今天真的有一些業績反轉的話
[16:52] 首先因為我們是supply chain
[16:53] 所以我們的變化可能會先出現
[16:55] 要砍單就先在我們那邊發生
[16:56] 這是第一點
[16:57] 然後第二點是因為我們每月營收就會先動
[16:59] 所以對於美股來講
[17:01] 它要等到一季之後才開
[17:02] 我們每月營收先動
[17:03] 所以臺股還有一些
[17:04] 領先指標的效果存在
[17:06] 其實對我來講
[17:06] 我覺得我這幾年的變化是
[17:08] 我比較沒有那麼在意
[17:10] 每月營收的
[17:10] 我可能都是用季度去看
[17:12] 我發現說一些動能股
[17:13] 我也是用季度去看
[17:14] 那我覺得這個會
[17:15] 稍微的去消弭掉
[17:17] 有些可能我被嚇到
[17:19] 因為市場表現不好
[17:20] 它那個營收出來
[17:21] 可能蠻差的
[17:23] 然後大家亂殺
[17:23] 你想說大家在殺什麼
[17:24] 不知道先跟著跑
[17:25] 怕說有一些
[17:26] 像潛在的利空會跑出來之類的
[17:28] 可是最後沒有發現說
[17:29] 沒有那只是一個地眼的狀態
[17:30] 而且其實公司就已經跟你講說
[17:31] 那個會遞演的
[17:32] 那只是很多人
[17:33] 就還是會投下不信任票
[17:34] 那現在在這種時間點
[17:35] 我覺得化身成為
[17:36] 春風化雨的地方老師
[17:39] 那種大家都不要的問題兒童
[17:40] 我都會把它撿進來
[17:41] 然後就發現說
[17:42] 有些問題兒童
[17:42] 就是等到大家稍微看懂
[17:44] 或者說醒來之後
[17:45] 就會瘋狂的追
[17:46] 那這時候你再把這些
[17:47] 怎麼講
[17:48] 就是從問題兒童
[17:49] 被你改造成為
[17:50] 看起來像是那種
[17:51] 肌肉兒童的人
[17:51] 就送給人家
[17:52] 你們這麼喜歡
[17:53] 你們就高價買回去吧
[17:54] 然後類似這樣子
[17:55] 所以其實在
[17:56] 目前的股票的調整上面
[17:59] 就是從過去
[18:00] 其實是買了蠻多那一些
[18:02] 就當然還是要維持一個多頭走勢
[18:03] 只是就突然間
[18:04] 有一些急殺
[18:05] 有一些重殺的東西
[18:06] 我去收它
[18:06] 那現在看起來是還蠻不錯
[18:08] 那當然現在的盤面
[18:09] 又再一次的回到
[18:09] 我覺得那種動能的敘事
[18:11] 又重新的建立
[18:12] 就是說可能很多人會選擇去追
[18:14] 那些最強的標題
[18:15] 那我是打算先維持
[18:16] 我目前的節奏
[18:17] 就是我不打算去新增很多的部位
[18:18] 因為目前可能手上拿著的一些
[18:20] 就是以這些什麼裝置產物
[18:22] 或者一些新世代封裝
[18:25] 這些我認為是
[18:26] 後面大趨勢的東西
[18:27] 都還走得蠻不錯
[18:28] 所以就不會再去新增新的部位
[18:29] 而是持續的看著
[18:30] 然後接著可能就等到
[18:31] 下一波這些動能仔
[18:32] 又要去跳樓的時候
[18:33] 那再一次的去做
[18:35] 更多部位的轉換
[18:36] 這是目前的一個規劃
[18:38] 所以簡單來講
[18:39] 就是去看明年的話
[18:41] 當然我們知道說
[18:41] 明年的指數是在一個
[18:43] 相對高檔的位置
[18:43] 可是千萬不要去預設高點
[18:45] 有時候你覺得這個地方是高檔
[18:47] 然後接著你一轉眼
[18:47] 已經三萬多點了
[18:48] 或者說可能不知道
[18:49] 兩年之後是四萬點之類的
[18:51] 你真的很難想象
[18:52] 那種指數的變態
[18:53] 那特別是我們節目的老聽眾都知道
[18:55] 很多時候在那種行情不好的時候
[18:57] 還是會跟大家講說
[18:58] 就你要相信那個index都會往上
[18:59] 出問題的呢
[19:00] 可能是你的部分的選股
[19:01] 而不是整體的臺灣的市場
[19:03] 那臺灣市場最大的一個利空是什麼
[19:05] 就是說對岸是要搞你
[19:06] 像前陣子的
[19:08] 不是前陣子是昨天嗎
[19:09] 還是前天
[19:09] 反正就是有那個演習嘛
[19:11] 那你注意到這個市場
[19:12] 現在已經有點頓化
[19:13] 都不太想理他
[19:14] 雖然我們心中還是有一些警覺啦
[19:15] 可是又知道說
[19:16] 反正臺灣最大的利空就在這邊啦
[19:18] 如果說我們可以持續的去加強國防
[19:20] 我們在這個武裝上面
