[00:00] 歡迎收聽谷愛,我是孫夢公,本期節目由嘉宜國際2026全明星年菜大集合贊助
[02:38] 然後一些身邊的
[02:39] 快樂好朋友懂酒的
[02:40] 我就跟他們
[02:40] 把那個menu開啟
[02:42] 然後就是按
[02:42] 大家所講的什麼
[02:44] 一定要喝
[02:44] 必喝
[02:45] 最屌最頂
[02:46] 什麼超級稀有
[02:47] 很貴也不管
[02:47] 反正我就每個都要來一瓶
[02:49] 我就是每個都來一瓶
[02:49] 然後就跟朋友這樣一路
[02:51] 吹下去一路喝
[02:52] 那照顧身後面呢
[02:53] 我自己的心得是覺得說
[02:54] 可能術業有專攻
[02:56] 有些人他可能就是
[02:57] 對酒的那個分辨的
[02:58] 怎麼講
[02:59] 就是說他去品味他呢
[03:01] 他可以知道說
[03:02] 數高數低
[03:02] 或者說他有什麼
[03:03] 特別的特色
[03:04] 像有些人喝了出來說
[03:05] 什麼裡面有什麼
[03:06] 泥黴味道
[03:07] 還有什麼小紅黴
[03:08] 什麼雞巴
[03:08] 那個我都是完全不瞭解
[03:09] 可是我大概可以理解
[03:10] 因為用我自己去看的話
[03:12] 像我去吃肉的話
[03:13] 我可以很明顯的吃得出來
[03:15] 就這個肉是好肉
[03:16] 還是不好的肉
[03:17] 基本上都可以直接分辨出來
[03:18] 因為怎麼講
[03:19] 超級喜歡吃肉
[03:20] 所以對我老婆
[03:21] 她有時候會講說
[03:22] 這個一樣是什麼steak
[03:24] 那為什麼你會覺得說
[03:25] 這家不好吃
[03:25] 一樣是三分熟
[03:26] 你都點三分熟的
[03:27] 那看起來都長一樣
[03:29] 為什麼你會覺得不好吃
[03:29] 我就跟她說
[03:30] 那個吃起來真的不一樣
[03:31] 就是你會立刻的
[03:32] 有辦法分辨出
[03:32] 什麼是好的肉
[03:33] 什麼是不好的肉
[03:34] 所以我老婆很多時候會說
[03:35] 我有expensive taste
[03:36] 他就說我吃的東西都很貴
[03:37] 我每次選的肉都是很好的
[03:39] 可是就除了肉以外的東西
[03:40] 我也不是特別瞭解
[03:42] 但我就會想去了解看看
[03:43] 所以在過去的數個月
[03:46] 反而就是瘋狂的去買各式各樣的酒來喝
[03:49] 稍微喝完一輪之後
[03:50] 簡單的心得是
[03:52] 我覺得就是那種很便宜的酒
[03:53] 可能1000塊以下的
[03:54] 跟那種什麼一兩千以上
[03:55] 破萬的
[03:57] 還是有一定程度的差別
[03:58] 我自己的體感是
[03:59] 比較貴的酒喝起來真的比較舒服
[04:01] 當然不是說什麼
[04:02] 因為我喝到新臺幣的味道很舒服
[04:04] 是因為怎麼講
[04:06] 就對我來說這些價格
[04:07] 就是你是什麼一萬兩萬五萬
[04:09] 或者說一千兩千五千
[04:11] 其實對我來說是一樣的
[04:12] 因為我不會因為說你是兩萬的酒
[04:14] 我買起來就特別痛苦或什麼的
[04:15] 那所以我可以完全把價格
[04:17] 這個factor給roll out掉
[04:19] 然後去喝我也不管什麼CP值
[04:20] 那就有感就是稍微比較貴一點的酒
[04:23] 喝起來真的身體有比較舒服一點
[04:24] 就是你可能隔天也比較不會宿醉
[04:26] 或什麼的
[04:27] 這是我大量去嘗試之後的一個結果
[04:30] 就我覺得這個是還蠻準確的
[04:31] 但是如果你說味道的話
[04:33] 好像有一些那種什麼
[04:34] 所謂的超知名的日本清酒廠
[04:36] 那他可能有一萬多塊的東西
[04:39] 有七千塊有三千塊的
[04:40] 那我喝下來我反而覺得說
[04:41] 三千塊的最好喝
[04:43] 那我也找自己身邊的朋友來喝
[04:44] 我也不告訴他們價格
[04:45] 我怎麼跟他們隨便喝
[04:46] 那發現說
[04:46] 其實就是每個人喜歡的東西不太一樣
[04:48] 那有些人可能剛好就喜歡到
[04:50] 是最貴的
[04:51] 所以他覺得說
[04:51] 這個貴的很合理
[04:52] 有些人喜歡便宜的
[04:53] 然後就會去自嘲說
[04:54] 我就是有一個很便宜的口味
[04:56] 或什麼的
[04:56] 但是後面發現說
[04:57] 反正就是
[04:58] 你只要挑你喜歡的東西就好了
[05:00] 就像自己身邊一些
[05:01] 那種非常懂得貧賤食物
[05:03] 跟美酒的人
[05:04] 就是說
[05:04] 怎麼講
[05:05] 就是他們可能已經過了某個坎
[05:06] 當你還在學習
[05:07] 還在爬那個天梯的時候
[05:09] 那有些人就會去造神
[05:11] 就會捧說
[05:12] 怎麼拿個酒廠此生必喝
[05:13] 怎麼拿個食物此生必吃
[05:15] 可是當你爬到某個位置之後
[05:17] 你可能發現說
[05:18] 最好吃的就是我媽媽煮的東西
[05:19] 或是我隔壁阿伯
[05:20] 那個什麼
[05:21] 手指會插在湯裡面的餛飩麵
[05:24] 那個是最好吃的之類的
[05:25] 反正就是說
[05:25] 每個東西都有它登場的時間點
[05:27] 有時候就想吃一下海鮮
[05:29] 有時候想吃一下肉
[05:30] 有時候想吃一些
[05:31] 什麼精緻澱粉
[05:32] 有時候想吃非常簡單的東西
[05:34] 那酒呢
[05:34] 有時候想要喝紅酒
[05:35] 有時候想喝白酒
[05:36] 有時候想喝清酒
[05:38] 有時候想喝啤酒
[05:38] 也不一定要看場合啦
[05:40] 就是一開始可能會受到限制嘛
[05:41] 每次吃肉的時候
[05:42] 一定要配紅酒
[05:44] 可是我後來發現說
[05:45] 一些人會喝的
[05:45] 他好像也不一定
[05:46] 他就是他爽喝什麼就喝什麼
[05:47] 他不會有那一種
[05:48] 就說人家跟你講說
[05:50] 什麼海鮮一定要配白酒
[05:51] 然後什麼一定要配什麼
[05:52] 什麼一定要配什麼
[05:52] 他真的是嘛
[05:53] 隨時就莫名其妙拿一個東西出來
[05:55] 然後可能就很搭
[05:56] 就他自己就覺得這個很搭
[05:57] 然後他分享給大家
[05:58] 大家也覺得說很刀
[05:59] 覺得說這種真的是
[05:59] 已經玩到整個透了
[06:01] 就他不會被框架給定義
[06:02] 他覺得說反正
[06:03] 好東西就是好東西
[06:04] 或者說沒有絕對的好東西
[06:06] 有些東西是
[06:07] 在某些時間點
[06:08] 它變成是好東西
[06:09] 然後在某些時間點
[06:10] 可能它就是這麼的不搭
[06:12] 所以在某些時間點
[06:13] 你可能把很貴的東西拿來
[06:14] 大家也會覺得
[06:15] 喝起來氣氛不對
[06:16] 或甚至最舒服的體驗
[06:17] 不一定是來自於
[06:18] 可能最高價的一種組合之類的
[06:20] 就是說你可能
[06:21] 當然是非常喜歡
[06:22] 什麼紅酒配牛排之類的
[06:24] 喝很貴的東西
[06:25] 那可是有時候呢
[06:27] 就是跟朋友去熱炒店
[06:28] 那這時候叫你喝那個紅酒
[06:29] 也就怪怪的
[06:30] 突然給你一個
[06:31] 非常清涼的生皮
[06:32] 那整個氣氛就對了
[06:33] 所以呢
[06:33] 這個也是我自己追求的
[06:35] 一個人生目標
[06:36] 就是儘量不要被框架定義
[06:38] 因為很多人都會告訴你說
[06:39] 什麼時間點一定要做什麼
[06:40] 或者說什麼
[06:40] 一定要怎樣搭才是對的
[06:42] 那很多時候
[06:42] 我都會想去挑戰這種東西
[06:44] 就會覺得很好奇說
[06:45] 是誰這樣跟你講的
[06:46] 是誰跟你說什麼
[06:47] 一定是什麼是最屌
[06:48] 或是最厲害
[06:48] 所以我就會去試嘛
[06:49] 像那時候去打棒球也是
[06:51] 我就是把那種每個棒子廠
[06:54] 就是他們有一些什麼客製化的
[06:55] 我就全部都買
[06:56] 但我自己可能不一定是
[06:57] 非常精準打得出來
[06:59] 我不是什麼甲乙族
[07:00] 也不是職棒選手
[07:01] 可是我就是在網路上
[07:02] 看一下那邊吵架
[07:03] 然後分派別
[07:04] 那一家棒子怎樣
[07:05] 那一家棒子怎樣
[07:06] 大家在那邊互相干來幹去
[07:07] 我想說你們到底有什麼要吵的
[07:09] 我就每個都買不就好了
[07:10] 就像是一些什麼酒廠
[07:11] 也會有擁護
[07:12] 就想說你們到底有什麼要吵的
[07:13] 你就每個都喝看看就好了
[07:15] 你媽今天喜歡喝這個
[07:16] 你明天可能也喜歡喝那個
[07:18] 你不確定
[07:18] 你沒有必要去幫自己
[07:19] 設下太多的限制
[07:21] 或者是說
[07:22] 拉回我們自己的工作也是
[07:23] 就其實我有時候
[07:24] 看網路上大家在吵說
[07:25] 什麼主被動投資
[07:26] 我總是想說
[07:26] 這到底有什麼要吵的
[07:27] 就是你可以有被動
[07:28] 你可以有主動
[07:29] 到底是怎樣
[07:30] 你是隻有一套錢
[07:31] 你沒有辦法分嗎
[07:32] 還是怎麼樣
[07:32] 還是說是因為
[07:33] 你自己對自己也沒有自信
[07:34] 所以你只好去
[07:35] 你知道
[07:35] 很多沒有自信的人
[07:36] 我覺得他們就會去拜神
[07:37] 他們就會去
[07:38] 弄成像是信仰這樣子
[07:40] 因為他連自己都說服不了
[07:41] 所以他只好搞成像是信仰一樣
[07:43] 所以看多這樣子的東西之後
[07:44] 我覺得有意思的去提醒自己
[07:46] 就是千萬不要太容易的去站派
[07:48] 特別是世界這麼大
[07:49] 體驗這麼多
[07:50] 你根本就不知道說
[07:52] 後來的你自己
[07:53] 會有什麼樣的一些改變
[07:54] 可能一些轉變
[07:55] 就會讓你去打臉過去的自己
[07:57] 所以既然這樣子
[07:58] 就不用去預設太多立場
[07:59] 那總之呢
[08:00] 就是過去的這個喝酒體驗呢
[08:02] 是覺得非常的好
[08:03] 雖然我自己本來
[08:04] 並不是特別愛喝酒的人
[08:05] 但就是想知道說
[08:06] 到底所謂的最頂是長什麼樣子
[08:08] 那當我去體驗過一輪之後
[08:10] 我發現
[08:10] 它真的有它美好之處
[08:12] 就是各種酒
[08:13] 他們真的有他厲害的地方
[08:15] 或者說只要在
[08:16] 對的一個搭配之下
[08:17] 你真的可以發現一些
[08:18] 不一樣的東西
[08:19] 真的可以玩出一些
[08:20] 特別的玩法
[08:22] 或者說一些特別的感受
[08:23] 但就大家還是這樣
[08:25] 我還是喜歡打電動
[08:26] 所以對
[08:27] 就是我試過這個喝酒的時候
[08:28] 我沒有辦法
[08:29] 讓它變成是我的主頁
[08:30] 我沒有辦法靠喝酒
[08:31] 來開個YouTube頻道
[08:32] 跟你分享每支酒
[08:33] 它的味道怎麼樣
[08:34] 就是酒
[08:35] 但是比較貴的酒
[08:37] 真的有它厲害的地方
[08:38] 所以市場的定價
[08:39] 還是精準的
[08:40] 只是說
[08:40] 我覺得對絕大多數人來講
[08:42] 就有時候要去慶幸
[08:43] 自己的舌頭
[08:44] 可能不一定這麼好
[08:45] 像我自己的話
[08:46] 就是肉我分得出來
[08:47] 所以我吃肉
[08:48] 就一定會吃到很貴
[08:49] 那個沒有辦法
[08:49] 因為你分得出來
[08:50] 可是我就很感謝自己
[08:52] 還好說
[08:52] 我吃青菜我分不出來
[08:53] 或者說我喝酒
[08:54] 其實分不太出來
[08:55] 我只知道說
[08:55] 什麼是相對好喝
[08:56] 什麼是相對不好喝
[08:57] 你就想說
[08:58] 如果那些分得出來的人
[08:59] 舌頭刁鑽到一個
[09:01] 很極致的人
[09:02] 他會不會就變成說
[09:03] 他日常要開銷
[09:04] 什麼都超大的
[09:05] 然後他可能會變成
[09:06] 像我自己的話
[09:07] 我就覺得說
[09:08] 每次我開啟Uber的menu
[09:09] 雖然林口能吃的東西就這樣
[09:11] 但我還是很高興的
[09:12] 每次都在點一樣的東西
[09:13] 可是如果說有人他分得出來
[09:15] 或是他很講究
[09:15] 他每天很痛苦
[09:17] 他每天光是要找到
[09:18] 可以入他口的東西
[09:20] 我就想說
[09:21] 幹這已經是虐待
[09:21] 就像是如果我今天是要吃肉的話
[09:23] 我是無法接受
[09:24] 我隨便叫一個很垃圾的肉
[09:26] 來吃這種感覺
[09:26] 那你就想
[09:27] 如果說每個東西
[09:28] 你都很有品味的話
[09:29] 那其實你會把自己搞爆
[09:30] 所以當老天親吻了你的舌頭
[09:33] 跟你的喉嚨
[09:33] 跟你的腦袋
[09:34] 讓你有一個非常好的味覺
[09:36] 嗅覺或什麼的
[09:36] 他某個程度上也是
[09:38] 給你放了一個詛咒
[09:40] 就我突然有這種
[09:41] 我最近越來越有
[09:42] 反正就每個東西
[09:43] 都是一體兩面的這種感受
[09:45] 就不會去像過往
[09:47] 這麼的羨慕一些
[09:48] 可能在某些地方
[09:49] 非常卓越的人
[09:50] 因為你知道說
[09:51] 他有這個卓越的一面
[09:52] 他可能也是
[09:53] 有某個人格特質
[09:54] 會讓他很痛苦之類
[09:55] 那你不知道他的人生
[09:57] 所以你也不要過於的
[09:58] 去羨慕人家的人生
[09:59] 搞不好人家也羨慕你的人生之類
[10:00] 所以稍微簡單跟大家分享
[10:02] 最近的一些小小的心得
[10:04] 那現在我們來進入上話題
[10:05] 那現在市場呢
[10:06] 當然無用置疑的
[10:07] 就是一個非常瘋狂的狀態
[10:08] 只是呢
[10:09] 在這種時間點
[10:10] 我會盡量建議自己
[10:11] 或者說身邊的一些朋友
[10:12] 要去往一個方向想
[10:13] 就是這個市場呢
[10:14] 是有可能會瘋狂的
[10:15] 超乎你的想象
[10:16] 那所以呢
[10:17] 有時候自己的車票
[10:18] 不要隨便亂丟
[10:19] 如果你真的會怕
[10:19] 你可能可以解碼一點
[10:20] 可以做一些調節
[10:21] 或者你設一些training stop
[10:22] 那像我自己在
[10:23] 禮拜四禮拜五的時候呢
[10:24] 就有被洗掉一些部位
[10:25] 那我也不會覺得很難受
[10:26] 我也不會想把它追回來
[10:27] 我反而就是把
[10:28] 被洗掉的錢先收回來
[10:30] 然後把槓桿降下去
[10:31] 然後接著可能去找一些
[10:32] 我覺得沒有這麼競爭的地方去parking
[10:35] 當然往這些方向去走
[10:36] 代表說你的效率可能就沒有這麼好
[10:38] 可是因為我們是風險大於獲利的一個考量
[10:40] 就是我們比較怕死
[10:41] 我們不怕說可能賺輸別人
[10:43] 可是我們怕死
[10:44] 我們怕說一個大回答
[10:45] 可是我手上槓太多
[10:46] 是不會太大
[10:46] 我受到很大的傷害
[10:48] 這個是我不想要遇到的事情
[10:49] 所以往這個方向去做一些調整
[10:51] 大家應該已經看到說
[10:53] 就各種新聞
[10:53] 報章雜誌
[10:54] 或者是一些網路媒體都寫到說
[10:55] 現在開戶的人數是持續的在創高
[10:57] 然後外加一些證券交易公司
[11:01] 非常好,因為大家很熱衷的在做交易
[11:04] 然後成交量持續的往上刷
[11:05] 那也會有人在貼說
[11:06] 融資的這個數額是往上刷
[11:08] 那融資這個呢
[11:09] 要稍微注意一下一些眉眉角角
[11:11] 因為融資的金額一定往上刷的
[11:13] 為什麼?因為指數都在高點啊
[11:14] 東西都變貴了
[11:15] 所以融資金額一定是往上的
[11:16] 所以那個不一定是一個絕對的參考標準
[11:18] 但無論你用什麼樣的角度去看一下
[11:21] 市場都是非常瘋狂
[11:22] 那只是按照我們的經驗呢
[11:23] 有時候瘋狂可以瘋狂的很久
[11:24] 所以呢像我自己的做法
[11:25] 就是我會設一些
[11:31] 出現
[11:31] 我寧願我是砍在地板上
[11:34] 也沒有關係
[11:34] 反而就是會走一點東西
[11:36] 所以像過去的那些法輪主流股
[11:38] 我在上個禮拜
[11:40] 就算是減碼了不少
[11:41] 大概有些東西減碼之後
[11:42] 他就反彈
[11:42] 那也不干我的事
[11:43] 因為反正已經跟他
[11:44] 當了六個月的男女朋友了
[11:46] 那稍微再分開一下
[11:47] 也沒有什麼關係
[11:48] 所以就是持續的去
[11:50] 做一些部位上的調整
[11:51] 那整體的水位
[11:51] 是慢慢的在往下降
[11:53] 但是目前市場上
[11:54] 噴的東西老實講
[11:55] 你不會覺得他是特別的不合理
[11:56] 你可以說他的估值
[11:57] 可能有超過頭
[11:59] 或者說什麼大家太樂觀
[12:00] 可是算碰的東西都是蠻合理的
[12:02] 為什麼
[12:02] 因為其實不知道大家還記不記得
[12:04] 在2021還是2022之際
[12:06] 那時候啾啾鞋有錄一個影片
[12:08] 叫做什麼九宮格
[12:09] 就是什麼九宮格
[12:11] 然後就設飛鏢去買股票都會賺錢
[12:13] 因為那時候真的是超級瘋狂
[12:14] 就是你真的是亂買東西
[12:16] 你都會賺錢
[12:16] 當時我們也是在節目
[12:18] 跟大家說這樣的一個說法
[12:19] 可是最近的市場
[12:20] 從幾個月前我就跟大家說
[12:22] 那個市場的廣度其實是很窄的
[12:24] 就是說現在市場其實很窄就是會漲的東西是不多所以你設飛鏢你其實是不會賺錢的除非你剛好設到一些超標的股票所以我們的指數的位置其實靠少數的股票去把它堆上去
[12:35] 特別是我覺得現在核心就是記憶體
[12:36] 也就是說
[12:37] 指數可能就等到記憶體軟掉
[12:39] 或者是轉落中
[12:40] 指數才會出現一些迴盪
[12:41] 在那之前
[12:42] 可能都是有辦法繼續撐著
[12:43] 因為少數的幾檔標的非常強大
[12:45] 包含一些大型的全資股
[12:46] 所以撐著這個盤
[12:48] 也就是說你現在去設飛鏢亂買
[12:49] 其實不會賺錢的
[12:50] 那這樣的一個狀態呢
[12:52] 我會覺得說
[12:52] 就雖然是感覺很樂觀
[12:54] 很恐怖
[12:54] 可是沒有像可能2021年這麼恐怖
[12:56] 因為2021年是
[12:57] 莫名其妙就阿媽阿狗都可以動
[12:59] 到底憑什麼
[13:00] 那可是現在呢
[13:01] 就是少數的有基本面的東西
[13:03] 或是跟AI related的
[13:04] 然後他就是推得非常的兇
[13:06] 那也不會說他是長假的
[13:07] 我覺得說像最新這個記憶體的報價
[13:09] 在Sandex這邊
[13:10] 在ESSD的部分是
[13:12] 上漲了大概是五成左右
[13:13] 然後在CSSD
[13:15] 就是消費性這邊是漲了超過100%
[13:17] 然後這是最新的報價
[13:18] 那市場上現在大家也開始在傳
[13:19] 那這邊稍微講一下
[13:20] 為什麼可能在消費性的SSD
[13:23] 反而是漲得比企業級來多
[13:25] 因為大家想象說
[13:25] 企業級這邊是有
[13:26] 這些data center在拉貨
[13:28] 所以應該會比較好
[13:29] 但有時候是這樣
[13:30] 就是它是一個排擠效應
[13:31] 就類似說臺灣的一些D4廠
[13:33] 它其實是掌營那些D5的
[13:35] 但這個其實以我自己來講
[13:36] 我也是信仰不足
[13:37] 你說D5的美光我都有抱著
[13:38] 可是D4的華邦
[13:40] 我自己就已經是賣了差不多了
[13:42] 很早就賣掉了
[13:43] 所以我不太會做這種經濟學院股
[13:45] 老實跟大家承認
[13:45] 我就是沒有辦法去想象說
[13:47] 它竟然可以缺成這樣子
[13:48] 可是那些尖端科技的東西
[13:50] 我自己是還抱得住的
[13:51] 所以因為我自己都還是有在持有
[13:53] 所以就會去持續的去追蹤這些報價
[13:55] 就會發現說這些報價
[13:56] 真的非常恐怖
[13:57] 都持續的在上
[13:57] 當然已經開始有出現
[13:59] 像SanDisk有報道去提到
[14:01] 這應該是真的
[14:01] 就是說他們有去
[14:02] 想要去跟客戶鎖一個長約價
[14:04] 把價格去錨定在這邊
[14:06] 但是其他的原廠
[14:08] 在我們家這邊看來
[14:09] 然後自己身邊的朋友的考察
[14:10] 他們沒有要跟你鎖價格的意思
[14:12] 其實老實講
[14:13] 用我自己的角度
[14:14] 我是比較怕那些會想要鎖價格的
[14:16] 我就覺得說
[14:17] 在過去我們也曾經看過
[14:19] 幾年前那時候跟大家分享
[14:20] 像聯電他們去跟大家鎖價格的時候
[14:22] 然後最後面
[14:22] 我們都知道說那個長約價格
[14:24] 當然我在行情好的時候
[14:27] 我可以這樣跟你講
[14:27] 可是等到行情不好的時候
[14:28] 我不會真的用我長約的價格
[14:30] 去跟你收
[14:31] 或是我去罰你錢或什麼的
[14:32] 因為大家生意都還是要持續做
[14:34] 所以那有點像是一個
[14:35] 那種宣誓意味的東西
[14:36] 那一般當很多人都跑出來
[14:38] 要去籤這個長約價格的時候
[14:39] 就代表說可能他們冥冥之中
[14:41] 已經感覺到
[14:42] 價格不一定可以像過去這麼爽
[14:44] 所以他先跟你錨定在某個位置
[14:46] 然後跟你去做簽約
[14:47] 所以那也像是說
[14:48] 一個信心的投票
[14:49] 是好像沒有這麼有自信的感覺
[14:50] 但只是我們下去看一些其他的原廠
[14:53] 他們都還是維持在一個漲價的狀態
[14:55] 而且他們又要跟你去做簽約
[14:56] 所以覺得不知道
[14:57] 可能這個所謂的super cycle
[14:59] 就真的還沒有結束
[15:00] 就還會再持續的噴
[15:01] 那一樣我們就慢慢的再觀察下去
[15:04] 然後再觀察他對其他產品的一些影響
[15:06] 那像在過去一陣子
[15:07] 我自己去做調解的話
[15:09] 我是把一些賬上表現
[15:11] 沒有那麼好的標的
[15:12] 我都開始把它清掉
[15:13] 因為有時候
[15:13] 有些東西
[15:14] 我是把它趴在我的
[15:15] 就是那個直押賬戶裡面
[15:17] 那我真的就沒有在管它
[15:18] 那只是
[15:18] 後來一段時間
[15:19] 如果發現它沒有動的話
[15:20] 其實我還是會礙於說
[15:21] 在這個資金效益的部分
[15:23] 然後就去把它
[15:24] 做解碼跟砍除
[15:25] 那過去有跟一個
[15:27] 兩個朋友吃飯
[15:28] 然後其中一位
[15:29] 是在buy side
[15:30] 他也提到這件事情
[15:31] 就他手上有些東西
[15:32] 他是提到說
[15:32] 他又買了一些
[15:33] 記憶體的股票
[15:34] 那前陣子呢
[15:35] 因為這個記憶體的股票
[15:36] 所以前陣子
[15:37] 超過半年以前
[15:38] 那他的表現呢
[15:40] 是屬於就是比較軟的狀態
[15:42] 那當時其實已經有很多的說法
[15:44] 在講說
[15:44] 記憶體後面有一個缺貨槽
[15:46] 那只是當時這個股價
[15:47] 真的還沒有走出去
[15:48] 那他還持續的被他老闆review
[15:50] 就是說
[15:50] 為什麼你要一直持有
[15:51] 這麼大的記憶體的倉位
[15:52] 然後你都不去做減嘛
[15:53] 所以呢
[15:54] 他可能就是有被迫的
[15:55] 要去做一些調節
[15:56] 類似這樣子
[15:57] 那我們後來發現說
[15:58] 就散戶有一個很大的優點
[16:00] 但我們也是散戶啦
[16:01] 我只會是說
[16:02] 就是隨著你不會慢慢變大
[16:03] 可能有些人的優點
[16:05] 就會慢慢的往下降
[16:06] 就它的優勢就會往下降
[16:07] 就散戶你可以見風轉舵
[16:09] 立刻就轉掉
[16:09] 那可是呢
[16:10] 像這些buy side的資金
[16:11] 或是有些
[16:12] 你自己在抄自己錢的人
[16:14] 可是你那個部位
[16:15] 是用那一個chunk
[16:15] 一個chunk去管的
[16:16] 你也會很好奇說
[16:17] 這個東西我怎麼可以
[16:18] 在那邊趴這麼久
[16:19] 它都不會動
[16:19] 所以就想要去把它給調掉
[16:21] 那很多時候你一調掉之後
[16:22] 這個東西就開始漲
[16:23] 那也是沒有辦法
[16:24] 像我就調掉了一檔
[16:25] 就是我過去可能是買在
[16:27] 價格相對高位
[16:28] 所以就賬上就損失了
[16:30] 大概二十幾趴的東西
[16:31] 那因為一直髮現說
[16:32] 他都沒有要動的意思
[16:33] 那現在自己也在
[16:35] 心目中有很多機會成本
[16:36] 更好的地方可以放
[16:37] 所以我就把它撿嘛
[16:38] 那真的很好笑
[16:39] 就是我那時候在買的時候
[16:40] 因為我是
[16:40] 反正就掌握到一些
[16:42] 訊息跟情報
[16:42] 所以弄到狂尻嘛
[16:43] 那狂尻
[16:44] 就是有人一直道給我
[16:45] 那其實我去看那個盤後籌碼
[16:47] 就注意到說
[16:48] 這些分點前面都沒有
[16:49] 那種買進的機會
[16:50] 然後狂賣
[16:50] 那公司派啊
[16:51] 那就是公司派
[16:52] 或是公司外圍之類的
[16:54] 那可是我想說
[16:54] 你們一定是搞錯了
[16:56] 你們搞錯了
[16:57] 所以有時候是市場派的人
[16:57] 其實真的是比公司派的還要領先
[16:59] 我知道說你搞錯
[17:00] 所以我那邊狂買
[17:01] 然後又狂丟給我
[17:02] 那最後面才發現說
[17:03] 他贏了
[17:04] 對不起我輸了
[17:04] 這廢物我趕快烙幹
[17:05] 那我賣的時候還超好笑
[17:07] 我就看到說
[17:08] 他掛一兩百張在那邊要接
[17:10] 然後你要接是不是
