[00:00] 欢迎收听骨牙,我是圣梦宫,本期节目由NordVPN赞助
[05:21] 所以我就觉得这个机台真的还蛮帅的
[05:23] 所以其实那时候儿子在玩
[05:24] 我心中想的是
[05:25] 我自己也想要去搞一些这种很酷的宝可梦来
[05:28] 那后来呢
[05:28] 因为看到儿子他整天都想要皮卡丘
[05:30] 可是都没有办法拿到
[05:32] 所以呢我就决定使出爸爸的战术
[05:34] 克金策略
[05:35] 那所以就直接上网拍
[05:36] 去帮他买到皮卡丘的那种什么
[05:38] 非常稀有的卡片
[05:40] 我自己也非常稀有
[05:41] 但我猜應該是不稀有啦
[05:42] 因為幾百塊上千塊就有了
[05:43] 那所以就把它買了這個
[05:45] 皮卡丘超夢夢幻
[05:47] 然後還有一些他很喜歡的
[05:48] 但自己也知道說
[05:49] 就是不可以破壞他的遊戲體驗啦
[05:51] 就如果說我一次就把所有東西都買給他
[05:53] 這個就等於是你在製作組上
[05:55] 他沒有叫你買了嗎
[05:56] 你一直買一堆東西給他
[05:57] 那導致大家可能不知道
[05:58] 走到哪都在虐菜的話
[06:00] 那這當然也不是一個太好的事情
[06:01] 所以我的做法就是
[06:02] 他真的超級想要某一個東西
[06:04] 我就突然間給他一個驚喜
[06:05] 說嘿爸爸已經把你弄到
[06:06] 所以我都是讓我傳扁扁放在口袋裡面
[06:08] 那跟他出去
[06:09] 他要拿一个夹链袋
[06:10] 装很多他自己收集到的东西
[06:12] 那如果说他真的有超级想要的
[06:14] 我就已经在口袋里面准备了
[06:15] 就直接给他这样
[06:16] 那其实这个真的蛮重要的
[06:18] 就是说让小朋友的
[06:19] 我不知道那个是什么
[06:20] 是多巴胺的分泌机制吗
[06:21] 还是怎么样
[06:22] 反正就是说尽量不要给他
[06:23] 暴露在太多的刺激里面
[06:25] 不然说可能像
[06:25] 使用手机或是看电脑
[06:27] 看荧幕就是要适量
[06:29] 这个对我来讲是蛮重要
[06:30] 就我都会给他看
[06:31] 但是我也要求要适量
[06:32] 那同时也不希望给他太多的刺激
[06:34] 就不要说什么
[06:35] 我们虽然会去提说
[06:36] 可能有时候我们在小时候
[06:38] 那也不是要怪自己的爸妈的意思
[06:40] 因为以前的物资
[06:41] 就没有像现在这么风老
[06:42] 所以你有东西没有办法拿到
[06:44] 很多人觉得报复性的
[06:45] 想要全部给小朋友
[06:46] 但我自己隐约是觉得
[06:47] 如果你把所有东西
[06:48] 都一次倒给小朋友的话
[06:49] 你其实把他脑袋做坏掉
[06:51] 就有点类似说
[06:52] 像我现在ROG做课金
[06:53] 我十字银舞
[06:55] 我就全部都直接买到
[06:56] 那种最屌的装备
[06:57] 什么超越套
[06:58] 然后什么女王头之类的
[06:59] 反正就是每个都是
[07:00] 那种最厉害的东西
[07:01] 所以我不管打什么怪物
[07:02] 我都摸一下就死掉了
[07:04] 反正你就摸一下就掛了
[07:05] 那所以到最后就会变成说
[07:06] 我已经不知道我要玩什么游戏了
[07:08] 那导致我必须要再开另外一个账号
[07:10] 那只是好在说这个游戏
[07:11] 因为它承载我小时候的一些回忆嘛
[07:13] 所以我还是有兴趣想要去玩它
[07:15] 但我想说如果我一次课经课完
[07:17] 其实就会跟我之前的很多手游一样
[07:19] 就是花一笔钱
[07:20] 然后随便乱课
[07:21] 课完之后突然间就不想要玩了
[07:22] 所以一样的道理就可能
[07:23] 如果说你给小朋友太多这样子的一个
[07:25] 这个金钱上的挹注的话
[07:27] 那或者说呢
[07:28] 他在玩一些电玩
[07:29] 你就硬要帮他破关之类的
[07:30] 那我相信你会破坏掉他的很多体验
[07:32] 所以这个要稍微的去做一些控管
[07:35] 那整体来说
[07:36] 跟小朋友去玩这个机台
[07:38] 我还是觉得蛮疗愈的
[07:39] 就是我大概一天会去陪他打个一两场
[07:41] 大概是两场左右
[07:42] 那看着他打游戏
[07:45] 某个程度上就有一种那种
[07:46] 你治愈了自己的感觉
[07:48] 不管你一天有多累
[07:49] 突然间在这个时候你就释放了
[07:51] 你看到他这么开心
[07:51] 你就想到你以前打电动的时候也很开心
[07:53] 你以前会跑去
[07:54] 我们都叫小学前面一家店叫棺材店
[07:57] 超屌
[07:57] 他真的就是隔壁是賣棺材的
[07:59] 然後他自己有時候
[07:59] 他店面裡面也會放一些
[08:01] 那種蠻奇怪的東西
[08:02] 那棺材店的門口就是擺了四台
[08:05] 那種大型的機台
[08:06] 那我曾經在那邊打機台的時候
[08:08] 我爸過來直接一把掌包打回家
[08:09] 因為忘記回家打太久
[08:12] 那在店裡面就賣各式各樣的糖果
[08:14] 我還記得那個店是非常的昏暗
[08:16] 那基本上是沒有什麼走路的空間
[08:18] 他會跨過一些東西之類的
[08:19] 可是他會賣各式各樣有趣的東西
[08:21] 不然像以前大家會吃的什麼跳跳糖
[08:22] 各式各樣那種一塊錢的糖果
[08:24] 然後再來還有
[08:25] 以前有一個那種什麼放屁包
[08:26] 我不知道这个有没有在城市里面的孩子会有看过
[08:29] 但在我们乡下就蛮常见的
[08:32] 反正就是一个亮亮的一个塑胶包
[08:35] 大概是正方形的形状
[08:37] 那中间会有一个像是那种防腐剂的感觉
[08:41] 就触感像是那种防腐剂之类
[08:42] 一小包东西在这个塑胶包里面
[08:45] 所以你就是摸到那个东西之后
[08:47] 你用指甲稍微用力的压去把那个包给压破
[08:50] 那之后这个包就会慢慢的膨胀起来
[08:53] 就整个包就膨胀起来然后爆炸
[08:55] 那以前超喜欢玩这种
[08:56] 有的没有的东西
[08:57] 所以就
[08:57] 不知道
[08:58] 就是那种小时候的回忆
[08:59] 会跑出来
[09:00] 当你陪小孩去玩的时候
[09:01] 其实某个程度上
[09:02] 你是重新的把你的童年
[09:03] 再走一次
[09:03] 所以我觉得这是一个
[09:04] 非常棒的体验
[09:05] 然后大概是这样
[09:06] 那接下来我们就来进入
[09:07] 今天市场的话题
[09:08] 那首先就是跟开头
[09:09] 所提到的一样
[09:10] 现在盘面我觉得
[09:11] 变得比较难处理一点
[09:12] 可是还没有到那种
[09:13] 就是很困难
[09:14] 然后跟
[09:15] 已经不知道该
[09:16] 怎么做的一个阶段
[09:17] 就是有时候会这样
[09:18] 就当你那种跌到
[09:19] 身处无怨游的时候
[09:20] 你就会开始去思考说
[09:21] 到底人生的意义为何
[09:23] 那现在没有到那么夸张了
[09:25] 现在就是以台股
[09:26] 或者说像我自己手上
[09:27] 也有做的日股
[09:28] 就我又觉得说这还好
[09:29] 就是一个回档
[09:30] 那可是以美股来讲
[09:31] 就是确实有蛮多东西
[09:32] 都持续的在做探底
[09:34] 不然说像是
[09:34] 惠达开了一个财报
[09:35] 不会涨嘛
[09:36] 那博通也给了一个
[09:37] 很好的guidance
[09:38] 也不会涨嘛
[09:39] 那Marvel因为过去
[09:40] 都没有人要
[09:40] 所以Marvel开了一个guidance
[09:42] 然后就跳上去了
[09:43] 那但我心动隐约又觉得说
[09:45] 你跑去追Marvel
[09:45] 你后面又会受伤
[09:46] 反正我就觉得
[09:47] 有些東西跳起來好像都是給你空一樣
[09:50] 他就是瞬間就會再掉下去
[09:52] 所以其實不用太躁動
[09:54] 那其實就是一個盤面的輪動持續的去發生中
[09:57] 像過去大家仍然喊打的軟體股
[10:00] 大家去看一下像Pantheon或者說Cloudflare
[10:03] 就我們自己比較喜歡的這幾檔
[10:05] 有在關注的或像Crossstrike
[10:07] Crossstrike開了一個非常棒的guidance
[10:09] 這三檔基本上year to date都快要回正
[10:11] 就是已經是在0軸附近了
[10:13] 很難想像吧前面跌到爛掉
[10:15] 前面都跌到懒掉
[10:17] 然后现在竟然都爬回来
[10:18] 在10%或是10%以内的一个位置
[10:21] 过去大家跟我想说
[10:22] 软体很烂的时候
[10:23] 就下回头看就发现说
[10:24] 就果然又是一个买点
[10:26] 所以一样的道理
[10:26] 就是像之前讲说什么
[10:28] 什么NVIDIA很烂
[10:30] 因为TPU比较好
[10:31] 然后或者说在更之前讲说
[10:32] Google很烂
[10:33] 因为AI就不会再去使用
[10:35] 什么搜寻引擎之类的
[10:36] 其实很多时候你会发现说
[10:37] 像这种市场上一面倒的言论
[10:39] 你就听听就好
[10:40] 你就听听就好
[10:41] 那当然不知道去显示说什么
[10:42] 你跟市场对坐是非常高明
[10:44] 我只能够说
[10:45] 有些时候你要去顺应着市场
[10:47] 可是很多时候呢
[10:48] 你会知道说市场整天在犯错
[10:49] 那不然你无法解释
[10:50] 为什么前面会有一些那种低谷的产生
[10:53] 其实每次的低谷产生
[10:54] 就像说一个多头股票
[10:55] 然后前面可能有几次比较大的回荡
[10:57] 你某个程度上
[10:58] 那个时候就是人家在犯错
[11:00] 对吧
[11:00] 那个时候其实就是市场在犯错
[11:02] 可是呢
[11:02] 在当下就是那个下跌的阶段的时候呢
[11:05] 一定会一堆人告诉你说
[11:06] 市场永远是对的
[11:07] 因为现在就是跌嘛
[11:08] 搭配外面是坏消息嘛
[11:09] 市场都是对的
[11:10] 所以是跌
[11:10] 那你怎么解释后面上去
[11:12] 就市场是怎样
[11:13] 市场是他妈一下对一下错是吗
[11:14] 所以其实我以前会去相信这样子的话
[11:17] 就说什么市场是反正就是集合智慧
[11:19] 群体的智慧
[11:21] 一般来讲不太会错
[11:22] 然后类似最近很多人在贴
[11:23] Stanley Druckenmiller的一个访问
[11:25] 也是提到类似的道理
[11:26] 我在跟我说就是投资的东西
[11:27] 每个东西如果你硬把它推到一个极限的话
[11:30] 都会变成是错的
[11:31] 就是你没有什么东西是极限值
[11:33] 极限值都是有问题的
[11:35] 你要尽可能的去抓到一些比较中庸的东西
[11:38] 或者说你要有一个权势的弹性
[11:40] 这个是还蛮重要的
[11:41] 那所以像那些过往我们看到市场里面的低股
[11:44] 假设是一个长期多头的股票
[11:46] 那个低股某个程度上就是市场在犯错
[11:48] 当市场在犯错的时候
[11:50] 其实就是要勇敢的去做一些尝试
[11:52] 至少是这样子想
[11:53] 那所以像这波软体股
[11:55] 我觉得自己就做的还算OK
[11:56] 在大家极度恐慌的时候
[11:58] 去稍微的补了一下部位
[12:00] 虽然补了部位之后
[12:01] 现在又有一点想要把它调掉
[12:03] 想要把它调掉的主因并不是因为
[12:04] 就是说我觉得到了
[12:06] 其实我觉得还是有更多的upside
[12:08] 只是因为现在整体的市场估值都在往下调的话
[12:11] 那其实我心中的假设会去把这类的股票
[12:14] 就全部到科技股
[12:15] 或者说一些半导体软体
[12:17] 你都要一起往下调
[12:18] 所以就算你出了一些反弹
[12:19] 即便快反弹到零走以上
[12:21] year to day快回正了
[12:22] 感觉是要准备冲了
[12:24] 可是同时其他人都还在下去的时候你就顺带想象说那这个东西会赌好赌强之类的所以如果是我自己有去做这些抄底的部位的话我还是偏向说可能今天看到它有反弹出来
[12:35] 那会再做一些调整
[12:37] 特别是假设我的东西想要买
[12:38] 以下的状态就是像最近大家都注意到
[12:40] 光通股出现一个非常大的回荡
[12:42] 特别是以美股的光通股
[12:44] 台股的光通股我自己看是还好
[12:45] 它是有点到两极分化了
[12:47] 那像我们上集有跟大家聊到说
[12:48] 我自己会去关注的是
[12:49] 可能在台积电这边我看得到的一些设备厂
[12:52] 那这些设备厂
[12:53] 其实蛮多都已经进储自古了
[12:54] 那你看一下
[12:55] 其实这一波
[12:55] 他们也都没有回挡到什么
[12:57] 我觉得我希望
[12:57] 他可以回挡得更深一点
[12:59] 但他其实没有回挡到什么
[13:00] 但没有关系
[13:01] 因为我就是需要去卡一些部位
[13:02] 我大概是先卡了
[13:03] 那当然后面有再叠的话
[13:04] 那就对我来说
[13:04] 是更好的一件事情
[13:05] 那就开始去把部位
[13:07] 往这些方向去做移动
[13:08] 可是你注意到
[13:09] 像美股的光通股的话
[13:10] 其实普遍都回的蛮深的
[13:11] 就是过去那种最强势的
[13:13] 像是Lumenton
[13:14] 或是上游的XTI
[13:15] 或者是像Coheren
[13:16] 或像康宁
[13:18] 其实都出现一些回档
[13:19] 那这些回档
[13:20] 是不是代表说
[13:20] 光通不行了
[13:21] 我相信在未来一阵子
[13:22] 你就会开始看到一堆屁话
[13:24] 一堆那种AI文又要跑出来
[13:25] 这就是为什么
[13:26] 我觉得差不多
[13:27] 我自己猜
[13:28] 在未来的一段时间
[13:30] 半年到一年内
[13:30] 我应该会去取消订阅
[13:32] 所有的可能粉专
[13:34] 或者是一些
[13:35] 网络上的说法或什么的
[13:36] 因为首先就是说
[13:37] 如果我只是要看消息整理
[13:39] 就是过去发生什么事情
[13:40] 像很多人都在做这个
[13:41] 过去在叠什么
[13:42] 我就写一个故事
[13:42] 说为什么过去会叠
[13:43] 这个你去放给
[13:44] 什么Proplexity做
[13:45] 或者你放给OpenAI
[13:46] 你放给Gemini
[13:47] 他可以写一万片一样的东西给你
[13:49] 所以其实我要的是
[13:50] 比较contrarian的一个想法
[13:52] 就我现在会喜欢的是
[13:53] 你敢跟市场反着讲
[13:55] 即便你可能最后面证明你是白痴
[13:57] 可是至少我要看到不一样的东西
[13:58] 我一直看到千篇一律的AI文
[14:00] 有什么好看的
[14:00] 就今天下跌
[14:01] 然后就10篇文章写
[14:02] 为什么会下跌
[14:03] 为什么要看这些东西
[14:04] 可是现在因为我觉得
[14:05] AI产文非常的方便
[14:06] 所以导致就外面真的满街都是AI文
[14:09] 所以其实看了是非常的困扰
[14:10] 那我觉得这个某程度上
[14:12] 其实会变成是
[14:12] 大家在下投资判断的一个阻碍
[14:15] 就是有一个方面
[14:16] 大家是想说
[14:16] 有AI帮助你
[14:17] 一下资讯获得更容易
[14:18] 你可以去抿平一些
[14:20] 可能跟不知道法人机构的差距
[14:21] 当然他们还是有一些
[14:23] 特别的那种niche的skill set
[14:24] 你是没有办法拿到
[14:25] 比如说我们认识人
[14:26] 他们跟公司好
[14:27] 或什么的
[14:28] 可是去取得一些那种公开资讯
[14:30] 或财报里面的细节
[14:31] 其实你有AI的帮助之下
[14:32] 你理论上是变得更强
[14:33] 可是AI这个工具
[14:35] 我觉得是这样
[14:35] 随人在揍一人覆轴
[14:36] 它也创造了很多那种FUD的情绪
[14:40] 就是Fear, Uncertainty and Doubt
[14:42] 以前那种币圈的人最喜欢讲
[14:44] 那个CL在FUD
[14:45] 我觉得家AI文一堆就是在FUD
[14:46] 反正上涨无限吊炊
[14:48] 像光通前面上涨无限吊炊
[14:50] 然后现在光通开始下来
[14:51] 就一堆人在那边写一堆干话
[14:53] 或者说去引用
[14:54] BlockConHack的一个发文
[14:56] 然后他讲说什么
[14:57] 铜比较好那光不行
[14:59] 其实他没有讲得这么绝对
[15:01] 如果说你去看电脑会议的话
[15:03] 他的说法比较偏向说
[15:04] 我现在要去用这种400G的Cerdis
[15:06] 然后搭配我的铜ScaleUp
[15:08] 这个Direct Attached的Copper去做的话
[15:10] 我还可以啦
[15:11] 我还可以再撑几个Generation
[15:13] 没有问题啊
[15:13] 可是它意思不是代表说
[15:15] 这个CPU不行
[15:15] 它只是就偷酸一下说
[15:17] 这些Shiny Object
[15:18] 这些CPU可能没有这么快
[15:19] 那其实以目前业界的一个共识
[15:22] 我觉得也没有正常的会觉得说
[15:24] 这个东西是立刻要发生的
[15:25] 除了一些那种炒作仔
[15:26] 故意把东西喊到很高
[15:28] 类似这些那种GB
[15:28] 喊到什么7万Rack
[15:29] 或者说什么
[15:30] 什么1.6T 3.2T
[15:32] 什么哪时候就会快速放量
[15:33] 那些是在炒作的会喊比较快啦
[15:35] 可是我觉得真的有在看产业的人
[15:37] 没有人觉得这个会很快
[15:38] 大概的共识都是觉得说
[15:39] 可能不知道2728之后
[15:40] 你会注意到一个显著的放量
[15:42] 没有人觉得是立刻要发生
[15:43] 所以我觉得他的说法
[15:45] 跟产业的一个现状
[15:47] 其实是没有冲突的
[15:48] 就现在本来就还用很多铜
[15:49] 这不就是我们在过去的集数
[15:51] 一直有跟大家强调的吗
[15:53] 就是市场有一个说法说什么
[15:54] 光进铜退
[15:55] 我们就说这个说法太极端
[15:57] 所以你就注意到
[15:58] 很多这种极端说法出来的时候
[15:59] 我们就会想出来帮大家踩个煞车
[16:01] 所以有时候看起来很像笨蛋
[16:02] 像软鸡骨在跌的时候
[16:04] 不然踩煞车
[16:04] 其实它没有这么糟糕
[16:06] 当然加反弹了
[16:07] 铜的话我们也是一直在踩煞车
[16:09] 当然铜就没有出现反弹
[16:11] 铜就真的就是那种一路下去
[16:12] 可是实际上在Data Center里面
[16:14] 还是用了很多的Scale Up的铜
[16:16] 这个是我们实际有看到的一个状态
[16:19] 只是像过往我跟大家分享的
[16:21] 我觉得CPU或说光相关的东西
[16:24] 过往我的认知就是反正美股那些东西
[16:26] 然后跟台湾的台积电这样
[16:28] 只是后来发现说不太对
[16:29] 因为我们已经有注意到一些那种设备厂商
[16:31] 或者说就像说我一样是做Sorter
[16:34] Sorter我本来是做在可能一般的半导体的制程里面
[16:38] 那现在呢当然CPU也是广义上的半导体嘛
[16:41] 那只是呢我的Sorter可能是有用在NVIDIA的CPU里面
[16:44] 那这个就会让它可能有一个估值上修的可能性
[16:47] 所以其实我们就注意到说
[16:49] 有些设备厂商或是有些supplier
[16:51] 它的光通的占比居然越高了
[16:53] 所以它有可能去拿一个光通的估值
[16:55] 产生一个我们讲的那种典范转移的一个现象
[16:58] 那所以会认为说在台股
[17:00] 我应该也要去布局这一些东西
[17:01] 那只是比较可惜在
[17:02] 前面的几天修正的时候
[17:04] 就有觉得他叠不够多
[17:05] 好像可以再叠更多一点
[17:06] 让小弟去补一下票
[17:08] 然后那就可以去完成
[17:10] 我的持股的转换
[17:11] 其实我家持股已经去做了
[17:12] 蛮全面的一个调整
[17:13] 趁一波修正的时候
[17:14] 反正就去做一些泰罗留强
[17:16] 过往那些追报价的东西
[17:17] 就暂时不玩了
[17:18] 然后就开始去往
[17:19] 就是我认为
[17:20] 可能光通就是后面的一个
[17:22] 重要的项目
[17:23] 即便他现在出现一个回档
[17:24] 即便大家讲说
[17:25] Huck把他打下来
[17:25] 可是我认为Huck的意思
[17:27] 根本就不是要打他
[17:27] 他只是说
[17:28] 其实是大家overhyped
[17:30] 这个overhyped的说法
[17:31] 其实像我自己
[17:32] 也是这样的一个论述
[17:33] 我就觉得说
[17:34] 你们讲说铜都没有用
[17:35] 可是实际上
[17:35] 我们就看到一堆铜
[17:36] 所以你不要太
[17:38] 躁劲的去讲说什么
[17:39] 光要取代要吃掉一切
[17:41] 可是渐进式的
[17:42] 当然市场会慢慢的
[17:44] 去导向光那个方向
[17:46] 只是它不一定是一个
[17:48] 像鸿海市场大家的想象
[17:49] 就是说一定要有一个人死掉
[17:51] 然后换另外一个人吃饱
[17:52] 他可能是说
[17:53] 两个都一起增长
[17:54] 只是说另外一个东西
[17:55] 增长比较快
[17:56] 会是像这样子的一个状态
[17:58] 所以我还是觉得说
[17:59] 相关的类股价是要看
[18:00] 都是可以看
[18:00] 只是就像说像光的一个P Ratio
[18:03] 一定就是会比铜高
[18:04] 那个我觉得是无法避免的事情
[18:07] 所以最近的供应链
[18:08] 感觉上就是
[18:09] 反正像过去所提到的
[18:11] 当市场有一些情绪出来
[18:13] 然后就搭配大量的AI文狂写
[18:15] 然后在X上面
[18:16] 什么各方的那种很奇怪的言调
[18:19] 开始发一些那种世界毁灭的剧本
[18:21] 发一发把大家吓一下之后
[18:23] 这个筹码变干净
[18:24] 反而就开走了
[18:25] 那搞不好接下来
[18:26] 就去吓你光通
[18:27] 光通吓一下之后
[18:27] 搞不好后面又再开走
[18:29] 所以就是唯一受到伤害的
[18:31] 只有那些太容易受到别人影响
[18:32] 就会受到比较大的一个伤害
[18:34] 那接下来我想要去
[18:35] 稍微聊一下苹果
[18:36] 因为我最近注意到
[18:37] 苹果的一些布局
[18:39] 就搭配我们之前跟大家聊到
[18:40] 我们觉得说
[18:40] 其实最后还是硬体为王了
[18:42] 那甚至是大家狂吹了
[18:43] 什么OpenCode
[18:44] 或是我现在自己有在
[18:45] 使用的Proplexity Computer
[18:47] 我觉得这些东西
[18:48] 如果我的iPhone可以做到的话
[18:50] 我根本就不需要这些东西
[18:51] 因为我所有的资讯
[18:52] 都放在我的iPhone上面
[18:53] iPhone已经是跟我离不开的一个状态
[18:55] 所以当然你可以讲我是一个国粉
