[00:00] 欢迎收听股癌,我是陈梦宫,本集节目由擅存叶黄素赞助
[01:50] 那个太阳晒到
[01:51] 已经很像是以前在
[01:53] 屏东大五营做闪讯的时候
[01:55] 那其实那时候我觉得蛮屌的是
[01:56] 你会知道说人的极限
[01:58] 真的是可以超出来的
[01:59] 一开始去大五营闪讯的时候
[02:00] 真的是好几次都觉得自己快挂掉
[02:02] 那在部队很好笑
[02:03] 他都会给你一个喝水小卡
[02:05] 反正强迫大家一定要喝水
[02:06] 因为怕会有人中暑之类的
[02:08] 那一开始会觉得晒到
[02:09] 头昏脑胀没有办法动
[02:11] 可是最后面真的都习惯了
[02:12] 那你放假回家就会发现
[02:13] 那个刚亏的痕迹
[02:15] 已经晒在你的脸上
[02:16] 那这次就有点像是说
[02:17] 要重新回到部队那种
[02:19] 就是一开始狂晒太阳
[02:20] 那已经注意到说
[02:21] 身体可能会撑不住的一个状态
[02:23] 那因为我过往对自己的方式
[02:25] 都是属于
[02:26] 像我会跟A军讲说
[02:27] 你对自己就是要够狠
[02:28] 什么叫够狠呢
[02:29] 就是研究就是做到最后面
[02:31] 做到最踏实
[02:31] 晚上睡觉呢
[02:33] 不用睡了
[02:34] 吃饭
[02:34] 跳过几餐不会死
[02:36] 我每次看到那种
[02:36] 我早上一定要做什么
[02:38] 我想说干嘛
[02:39] 真的是草莓竹子
[02:41] 反正就心中会有这样子的一些想法
[02:42] 对自己的自我要求可能是属于比较严格一点
[02:45] 像我一开始去做机能性训练的时候
[02:48] 教练也跟我讲说
[02:49] 你坐到这边只要会有酸痛或什么
[02:51] 你要跟我讲我们要立刻停下
[02:52] 我直接跟他说不要我要坐到死
[02:53] 他就一眼傻眼说
[02:55] 没有我们真的不用坐到死
[02:56] 因为坐到死不会让这个效果更好
[02:59] 所以就最近在教练的调教之下
[03:01] 我觉得自己有稍微熟练一点
[03:03] 对自己的身体也更加照顾
[03:04] 也知道说晚上要念故事
[03:06] 所以不可以挂掉
[03:07] 所以那一天当我开始发现
[03:08] 我已经被晒到
[03:10] 有一点觉得眼冒金星的感觉
[03:12] 我就跟教练说
[03:13] 没有办法
[03:13] 他直接回家
[03:14] 然后跟教练说
[03:15] 以后如果不是四点半以后
[03:16] 或者说一大早的话
[03:17] 可能真的都没有办法
[03:18] 夏天真的到了
[03:19] 所以请大家注意自己的身体健康
[03:21] 因为我在讲说
[03:21] 可能有些人也跟我一样
[03:22] 你现在为了要什么减肥
[03:24] 或什么的
[03:24] 你也是拼了
[03:25] 可是我觉得现在天气
[03:26] 真的开始改变
[03:27] 还是要注意自己
[03:28] 可能不要被太阳晒到
[03:29] 直接挂掉之类
[03:30] 那最近有一个
[03:32] 非常有趣的新发现
[03:33] 因为我的孩子
[03:34] 就是每天大儿子
[03:35] 他都要我们带他去打
[03:36] Meta Star
[03:37] 那我自己是觉得说
[03:38] 反正有这样子的一个娱乐
[03:39] 也蛮不错的
[03:40] 很像自己小时候
[03:41] 会去打什么
[03:41] 格斗天王之类的
[03:42] 反正就是那种
[03:43] 大型的机台
[03:44] 以前小时候
[03:45] 就是放学
[03:46] 最高兴的时候
[03:47] 就是跑去我们小学
[03:48] 附近有一个
[03:49] 我们把它叫做棺材店
[03:50] 因为它隔壁就是卖棺材
[03:51] 它的门口有摆一些机台
[03:53] 那里面就会放一些
[03:54] 那种一块钱的糖果
[03:55] 各式各样的
[03:56] 然后还有一些那种
[03:56] 像什么放屁包
[03:58] 不知道小时候有没有玩过
[03:59] 反正就是一个
[03:59] 像是铝包装的
[04:01] 还是什么塑胶包装
[04:02] 反正就是看起来
[04:03] 是亮亮的
[04:04] 一个正方形的小包
[04:05] 那里面会有一个
[04:06] 就是你从外面摸
[04:07] 像是一个干燥剂的感觉
[04:09] 就一个小小的一颗东西在里面
[04:10] 那你把它捏破之后呢
[04:11] 这个小包就开始膨胀
[04:13] 接着会爆炸
[04:14] 那以前小时候就很喜欢玩这个东西
[04:16] 然后在外面打剂台
[04:17] 我觉得那个是可能
[04:18] 就小学可以想到最美好的回忆
[04:20] 所以就会觉得说
[04:21] 现在可以参与孩子
[04:22] 陪他去打电动
[04:23] 是蛮好的
[04:23] 因为他一定会记得这一段
[04:24] 心中就会觉得非常的踏实
[04:26] 那只是呢
[04:27] 他有时候会非常过分
[04:28] 他就是可能一天都要要求
[04:29] 要打到什么五到十场之类
[04:31] 我们去控制他
[04:31] 不可以打太久
[04:32] 但有时候他可能
[04:34] 今天有去上一些才艺课
[04:35] 他就没有达到他要的长处
[04:36] 所以他回来就会开始闹脾气
[04:38] 有时候我们会想说
[04:40] 反正就妥协一下
[04:40] 带他去打一下
[04:41] 可是有些时候又会觉得
[04:43] 隔天要上学
[04:44] 所以不能够这样
[04:44] 像那一天就是因为
[04:46] 我们已经注意到
[04:46] 时间已经是太晚了
[04:47] 所以他的姑姑就跟他讲说
[04:49] 不然我们在家里自己打
[04:50] 在家里要怎么样自己打
[04:51] 就是你要把气氛做足
[04:53] 大家还是会把卡牌拿出来
[04:55] 然后接着还是会假装说
[04:57] 现在要比谁可以先攻击
[04:58] 所以谁点的比较快
[05:00] 然后手在那边按桌子之类的
[05:01] 那他的姑姑就是效果組的啦
[05:03] 就是為了要把這個效果做得更加真實
[05:06] 非常的投入
[05:07] 那同時去找了一下網路的配音出來
[05:10] 因為反正就是打那個機台的時候
[05:12] 你會聽到一些寶可夢的聲音
[05:13] 可是它跟以前我們小時候去接觸的一些寶可夢不太一樣
[05:15] 就是小時候我們知道說
[05:16] 像皮卡就是皮卡皮卡嘛
[05:17] 那妙法種子就是種子種子嘛
[05:19] 閃電鳥就是閃電閃電
[05:20] 感激倉低能兒
[05:21] 反正就是發出它自己是什麼的那個聲音
[05:24] 當然Mezastar的機台
[05:25] 當然皮卡丘還是皮卡皮卡
[05:26] 可是其他的它都是某一種特殊的音效
[05:29] 那其實聽起來都很類似
[05:30] 而且都很類似
[05:31] 特別是我們平常在MetaStar機台那邊打的時候
[05:34] 因為又很吵嘛
[05:34] 那隔壁小朋友在那邊狂尻之類的
[05:36] 那所以你根本就聽不到那個音效的聲音
[05:38] 就在我看來我只知道說
[05:40] 反正就是寶可夢出來他會叫一下
[05:41] 那我也不知道那個叫是有意義的
[05:43] 那就直到這個咕咕把這個手機拿出來
[05:45] 然後開始去放一些音效
[05:47] 就對應的音效
[05:49] 那他一放就發現說
[05:51] 諾亞立刻就知道這是什麼寶可夢
[05:53] 那他就開始隨便亂點一些
[05:54] 然後就發現說他每隻竟然都知道
[05:56] 就是在我們沒有刻意的訓練他之下
[05:59] 那可能他每天去打個三場四場的Mesastar
[06:02] 他竟然把那些聲音全部都背起來
[06:05] 那這也可能是某一種音感
[06:06] 因為像我自己的話
[06:07] 是從小有去學鋼琴
[06:08] 所以我都聽得出來
[06:10] 反正在鋼琴上面按什麼鍵
[06:11] 我是聽得出來
[06:11] 那吉他也聽得出來
[06:12] 可是也不是說那種
[06:13] 真的超強的絕對音感
[06:14] 就是可能有人講話
[06:15] 類似那什麼小尾巴
[06:16] 他不是可以把一些人
[06:17] 那種對話的東西
[06:18] 直接變成是鋼琴上的音調
[06:21] 把它彈出來
[06:21] 那像這個我是沒有辦法做到
[06:23] 可是我去聽鋼琴
[06:24] 去聽什麼弦樂器或是吉他
[06:26] 我聽得出來那是什麼音
[06:27] 那我相信我孩子就可能耳朵也是蛮不错的
[06:30] 因为我们可能放一些音乐
[06:32] 当然这应该很多小朋友都办得到
[06:33] 反正就你放音乐
[06:34] 你可能放一秒钟
[06:34] 他就立刻知道是什么歌
[06:35] 但这个音乐自己也会嘛
[06:37] 就觉得没什么了不起的
[06:38] 可是宝可梦这个字
[06:39] 我当发现说他会的时候
[06:41] 我自己就在想说
[06:42] 他到底是怎么样听出来的
[06:44] 那当然我就上传一个影片到脸书上面
[06:47] 那蛮多听众有觉得说很傻眼
[06:49] 就是他怎么可能都知道那是什么
[06:50] 因为他那个声音其实都很相近的
[06:53] 所以他可能是不知道
[06:54] 就找到某一种pattern
[06:55] 或者是真的就是印记
[06:56] 因为你知道小朋友的记忆
[06:57] 其实都蛮不错
[06:58] 他们可能就是硬尻
[06:59] 然后把它背起来
[07:00] 但当下呢
[07:01] 真的是我觉得
[07:02] 虽然其实已经有
[07:03] 蛮多这样子的一些时刻了
[07:05] 但只是第一次就觉得
[07:06] 我是一个非常骄傲的神父
[07:08] 就像有一个听众
[07:09] 在下面留言讲
[07:10] 他说拿着手机的梦宫
[07:12] 他一定是非常的骄傲
[07:13] 在那边微笑
[07:14] 完全答对
[07:15] 就真的太骄傲了
[07:16] 我就觉得说
[07:16] 哇我儿子会一个
[07:17] 蛮了不起的事情
[07:18] 因为老实讲
[07:19] 因为我前面对孩子
[07:21] 真的都没有什么特别的期待
[07:22] 然后外甲
[07:23] 其实像我孩子的同学
[07:25] 有些你真的是从小就可以注意到说
[07:27] 他们可能是树里的天才或什么的
[07:29] 就像说我们去玩一些那种磁吸片
[07:31] 那我的孩子怎么样玩
[07:33] 就是把一堆三角形拼在一起
[07:35] 然后说这是一个披萨
[07:36] 他们他玩了几年都还是在拼他的披萨
[07:38] 最多就是可能披萨换个颜色
[07:40] 那有些孩子呢
[07:41] 他就是拿到这个磁吸片
[07:42] 他就可以把它盖成是一个城堡
[07:44] 或者他就坐一台车子
[07:45] 就你就知道说
[07:46] 反正每个小朋友有不一样的点
[07:48] 那之前跟大家分享这一段是讲说
[07:49] 我还跟诺娜讲说
[07:50] 以后你那个朋友他要做什么
[07:52] 你就记得去投资他的对
[07:53] 我们不一定自己什么都要会
[07:55] 但是我们都要上到车
[07:56] 这个是我们可能做股票的一个训练
[07:58] 那我也不知道听不听得懂
[07:59] 但我就跟他讲说
[08:00] 你要记得那个朋友又要做什么
[08:01] 你就是跟着他一起做
[08:02] 对
[08:03] 那反正这是第一次
[08:04] 就是我真的觉得说
[08:06] 我孩子好像会一点
[08:07] 就是可能
[08:07] 他算不一定是有那种
[08:10] 就是以实用主义的角度来说
[08:12] 是有用的一个技能
[08:12] 但他确实就是证明了
[08:14] 他的耳朵可能真的还蛮厉害的
[08:15] 所以一瞬间就大受感动
[08:18] 然后就跟姑姑
[08:19] 还有像身边那些朋友
[08:20] 就放出一些讯息
[08:22] 就跟他講說現在要趕快去找
[08:23] 看哪一個什麼老師
[08:25] 還是林口在地有什麼的
[08:26] 反正我要非常厲害的鋼琴
[08:28] 或是什麼吉他音樂老師之類的
[08:30] 那重金禮聘
[08:31] 不管他在哪裡
[08:32] 反正請你來上課
[08:34] 那我希望可以
[08:34] 在他的耳朵的部分去訓練他一下
[08:37] 當然聽得出來Major Star
[08:39] 寶可夢的聲音
[08:39] 不代表說他就會音樂
[08:41] 但我總是要從某個地方開始
[08:43] 就是你注意到說
[08:44] 他的耳朵異常的靈敏
[08:46] 雖然之前就已經知道說
[08:47] 像有時候他自己發出聲音
[08:48] 他會直接把耳朵捂起來
[08:49] 因為他沒有辦法聽到太多聲音
[08:51] 就类似我了
[08:52] 因为我小时候也是
[08:53] 有这样的一个阵头
[08:54] 当然可能小时候
[08:55] 你这样子耍白痴
[08:56] 你爸就给你一巴掌
[08:57] 那现在我们就是
[08:59] 比较开放的心态
[09:00] 那只要他耳朵敏感
[09:01] 有时候就会顺着他
[09:02] 就会发现
[09:03] 这样不要去刺激到他之类
[09:04] 那只是现在就发现说
[09:05] 他可能真的听得到一些
[09:06] 特别的东西
[09:08] 当然有可能我们家长
[09:09] 自己想太多
[09:10] 但我们有自己去比对一下
[09:11] 身边一些小朋友
[09:12] 就发现说OK
[09:12] 他可能这一点
[09:13] 真的是有他的天赋之所在
[09:15] 所以就希望可以去
[09:16] 不知道就把他的耳朵练好之类
[09:18] 就既然我已经知道
[09:21] 就像说叫他去学钢琴学吉他
[09:24] 他不一定会
[09:24] 但至少总是会找到一个方向
[09:26] 那希望就是把他往那个方向去推看看
[09:29] 不是用逼的方式
[09:30] 就是我已经知道说你这边有天赋
[09:32] 那我可能就是往这个方向稍微去训练一下
[09:34] 因为最近其实跟网球教练聊天也蛮有趣的
[09:37] 我就是去问他说
[09:38] 以前我知道的网球的神仙们
[09:40] 就是什么费德勒纳德
[09:41] 然后什么乔克维吉
[09:43] 我说现在是这些人吗
[09:44] 他说两个已经退休了
[09:45] 然后剩一个还在打
[09:46] 那也是老将就随时都要退休
[09:48] 然后现在新一代的是怎么样
[09:49] 他们身高很高
[09:50] 跟以前的老将不一样
[09:51] 以前185就很高
[09:52] 然后现在可能有些人1900 200
[09:54] 然后速度还超快
[09:55] 就是以前是那种很高
[09:56] 然后速度就慢
[09:57] 现在是可以速度又高又快
[09:58] 我说我最近观察林口国中的小朋友也是
[10:01] 就是为什么国中生可以长这么高
[10:02] 以前我们国中每个都嘛
[10:03] 150吧
[10:04] 就矮肚子都超小只的
[10:06] 就他们家都超大只的
[10:07] 所以新一代的
[10:08] 怎么讲就是说
[10:09] 年轻人他们的身体的体质素质
[10:11] 什么都很好
[10:12] 那同时呢
[10:13] 我们也注意到说
[10:14] 有很多很厉害的选手或什么
[10:15] 其实你在他很年轻的时候
[10:16] 就可以发现他有一些天赋
[10:18] 那如果说是有余裕的家长
[10:21] 当然就可以去试着往那个方向去推
[10:23] 但你不一定会推对
[10:24] 像他就跟我讲说
[10:24] 好像说费德一开始踢足球吧
[10:26] 然后后来跑去打网球
[10:28] 但总之就是他家人一定有观察到说
[10:30] 这个家我可以运动
[10:30] 所以我就把他往那个方向推
[10:32] 所以我现在也是这样子一个心态
[10:34] 那希望可以找到孩子的一些天赋
[10:36] 那当然如果说真的找不到的话
[10:37] 那至少就是学了一个好玩的才艺
[10:39] 但总之在过去一阵子
[10:41] 真的是让我非常开心
[10:42] 我每天看到他
[10:42] 我就说哇小天才
[10:43] 就很高兴
[10:44] 就还是怎么讲
[10:46] 虽然我讲说对孩子是不起不待
[10:47] 觉得说这不是消极的
[10:49] 就是说我就是希望他快乐健康就好
[10:51] 但突然间发现说
[10:52] 他可能有一个东西蛮厉害的
[10:54] 其实你还是藏不住
[10:55] 那种心中的喜悦
[10:56] 所以在里面稍微跟大家分享
[10:58] 因为这还蛮开心的
[10:59] 可能是这个礼拜最开心的事情
[11:00] 比那种什么股票
[11:01] 整天处置股
[11:02] 然后继续所涨停都来的开心
[11:04] 我真的觉得生活的重心
[11:05] 开始有一些改变
[11:06] 这边就可以完全的看得出来
[11:08] 大概这样
[11:08] 接下来我们来进入节目话题
[11:10] 现在市场我觉得
[11:11] 还是没有什么好评论
[11:12] 反正就是一直喷一直喷
[11:14] 那一些特定的族群
[11:15] 像被动元件
[11:17] 我本来是在心中会
[11:20] 不知道你就是某个程度上
[11:21] 觉得说应该横一下
[11:22] 比较健康吧
[11:23] 就至少休息一下吧
[11:24] 就是他每次都假摔一下
[11:25] 然后又再继续的喷出去
[11:27] 老实讲是已经设个版点
[11:29] 喷到完全看不懂
[11:30] 在今天的国剧的一个
[11:32] 对外的说明上面
[11:33] 也是有提到说
[11:34] 他们的BB Ratio的数字
[11:35] 是拉长曲的
[11:36] 然后现在在一些特规品的品项
[11:37] 好像是拉到90%的一个加工率
[11:39] 然后在标准品
[11:40] 也是八来几%的一个加工率
[11:41] 所以就代表说
[11:42] 他的数字是越来越好
[11:44] 然后再加上
[11:44] 其实如果想要去看一下
[11:46] 可能世界各地的一些
[11:47] 被动元件
[11:47] 你看一下VShake
[11:48] 你看一下VPG
[11:49] 或者说你看一下
[11:50] 中国的江海
[11:51] 他在做电容的
[11:52] 你看一下日本的
[11:53] 当然就是不是说
[11:54] 什么每天大家都会一直喷
[11:55] 可是整体趋势
[11:56] 都一直在往上
[11:57] 所以其实像前面
[11:58] 去看被动元件的时候
[11:59] 有时候你当然会怀疑说
[12:00] 会不会这是一个
[12:01] 就是人为的小炒作
[12:02] 然后导致出来的
[12:03] 一个短时间的缺货现象
[12:05] 但当你看到
[12:06] 全世界都这样子的时候
[12:07] 基本上就算是确定了
[12:08] 而且他问题只是说
[12:09] 这个东西会走得多远
[12:10] 所以在自己的心中
[12:12] 会去做一些盘算
[12:13] 一般来讲
[12:13] 我们就直接用2018
[12:14] 去做一個類比
[12:14] 2018最高的時候
[12:15] 國際的毛利率是摸到60幾
[12:17] 你也可以看一下春田看一下其他公司
[12:19] 他們毛利大概最高是摸到什麼數字
[12:21] 營收是摸到什麼數字
[12:22] 那如果說這一次在後面你發現說漲價的一個類似你看那個什麼學習曲線learning curve还有一个曲线这样慢慢上去嘛那如果说它涨的速度是比较快的话那你就可以直接去累推说
[12:32] 它会比那时候那一波来的更猛
[12:34] 那如果说它是来的更慢的话
[12:35] 那就是没有这么猛
[12:36] 但就可以抓到一个相对值
[12:38] 然后去测算出可能在明年的EPS是多少
[12:41] 然后大概去测算出
[12:42] 那你觉得它的target price大概是多少
[12:43] 所以这是自己下去面对这个
[12:46] 已经完全喷出去的族群的一个看法啦
[12:48] 那最近呢
[12:49] 泰国市场有一些有趣的事情发生
[12:51] 像最近应该大家蛮多人在讨论
[12:54] 就是台积电的一个分红惨案
[12:56] 大家觉得说分红也太小气了吧
[12:58] 怎么越赚越多钱
[12:59] 分红越配越少
[13:00] 他们现在有一个说法在讲说
[13:01] 反正总之就是
[13:02] 这个比例上看起来变少
[13:04] 但往长期看是越来越多
[13:06] 所以希望大家都可以稍微的沉着
[13:09] 按住自己的心中的一股气
[13:11] 因为在台湾的话
[13:12] 老实讲好像也没有什么
[13:14] 别的更好的选择
[13:15] 现在台积电拿到的配
[13:16] 已经超级好了
[13:17] 所以可能只是一个
[13:18] 技术性的修正
[13:20] 但我们没有要帮公司洗地的意思
[13:21] 因为我们身边有很多台阶的朋友
[13:23] 每个都在那边狂干
[13:24] 我已经看到一堆人在那边狂干
[13:25] 所以我们也是觉得说
[13:27] 有点那种通心大家
[13:28] 就是理论上
[13:29] 你看大家这么辛苦
[13:30] 然后赚这么多钱
[13:31] 应该要越分越多
[13:32] 但好像今年稍微踩一下刹车
[13:34] 但没关系
[13:34] 我们相信说后面会越来越好
[13:36] 类似说MediaTek
[13:37] 可能在前面的几年
[13:38] 大家觉得说好像是软掉了
[13:40] 可是现在因为AI的动能
[13:41] 你看又直接出去了
[13:42] 所以如果说你没有扛住
[13:43] 前面几年的人
[13:44] 那你可能也不会尝到
[13:46] 后面的一些果实
[13:47] 所以有时候就尽量要学会正向思考
[13:49] 一些不好的事情发生的时候
[13:51] 要稍微忍耐一下
[13:52] 类似说有时候我们去压一些题材
[13:53] 奇怪了
[13:54] 你买的时候也是没有人要屌你
[13:56] 或是你去跟别人讲
[13:57] 别人还会笑你之类的
[13:58] 可是最后面喷
[13:58] 喷了你也不会想回去教训人家
[14:00] 因为你有赚到钱
[14:01] 就觉得说心里蛮踏实的
[14:02] 但当下你的纠结感是会有的
[14:04] 我觉得有时候就是尽量的往远处看
[14:06] 不要想太多
[14:07] 反正都是一个短期的技术性的调整
[14:09] 最近当然可能比较大的话题
[14:12] 就是SpaceX
[14:12] 他们要开始去做IPO了
[14:15] 那因為我自己的看法就是
[14:16] 反而不管你估出來的價格怎麼樣
[14:18] 我都一定會先上車一點
[14:20] 然後先上車一點去插旗之後
[14:21] 接下來再看說要怎麼樣去調整
[14:23] 類似說那時候Pantheon上的時候
[14:24] 也是直接先買再說
[14:26] 那當然先買再說
[14:27] 然後後來掉下去
[14:27] 心中都會有一些狐疑啦
[14:29] 但總之就是你要一個reference
[14:31] 你一定要先卡位
[14:32] 然後接著再看你後面要補多少
[14:33] 所以你可能不知道
[14:34] 就假設是很保守的
[14:35] 一開始先卡個兩層吧
[14:36] 然後後面再看掉下來再加
[14:38] 或者說可能上到哪個地方再加
[14:40] 那像我自己的話
[14:40] 應該一開始就先卡一半
[14:42] 然後後面再看怎麼樣去做一些
[14:45] 应该是不会减嘛
[14:45] 应该就是去增加它的持股
[14:47] 那同时会去降低一点
[14:48] 可能像Tesla的持股
[14:49] 因为对我来讲
[14:50] 反正我就压住马斯克的一个故事嘛
[14:52] 那马斯克的公司有趣就在于说
[14:53] 它的变化真的很快啦
[14:55] 所以有时候你压住的东西
[14:56] 未必是后面真的发酵的一个故事之类的
[14:59] 我就在说像以前大家在买Tesla的时候
[15:01] 你就是在看它电动车的出货量嘛
[15:03] 那后面基本上已经没有人在看电动车的出货量
[15:05] 大家在看的可能是
[15:06] 你能源的表现怎么样
[15:08] 你的Optimus的进度是怎么样
[15:10] 或者说你的自驾是怎么样
[15:12] 那已经是偏离本来的一个样态
[15:14] 类似说其实我们最早在买Invidia的时候
[15:15] 都是在买它的显示卡
[15:17] 可是它现在竟然已经把显示卡
[15:18] 跟其他的东西包一包
[15:19] 变成是Edge的一个业务
[15:21] 也就是说太小了
[15:22] 它连看都不想看
[15:23] 它直接把它包成是别的东西
[15:24] 那你会说这个等于是
[15:26] 违反自己的投资初衷吗
[15:27] 其实也不是
[15:27] 就是你投资的公司会改变
[15:29] 你的想法也会改变
[15:30] 所以有一个说法很经典
[15:32] 就是说你去做长期投资
[15:33] 你以为它是做一个决定
[15:35] 其实不是
[15:35] 是你每次来看这个部位的时候
[15:37] 你等于都下了一个决定
[15:39] 什么决定
[15:39] 就是我是不是要继续持有
[15:40] 还是我要把它卖掉
[15:41] 所以继续持有
[15:42] 本身也是去下了一个决定
[15:44] 那当然可能公司在路上
[15:46] 都会有一些改变
[15:46] 那这个也非常常见
[15:47] 你可能押注的某一家公司
[15:49] 他之前是在做网通的
[15:51] 就他家切金伺服器之类的
[15:53] 那整个估值就改变了
[15:55] 那当然你的持股可能都没有动
[15:56] 可是你的想法也是跟着改变
[15:58] 所以这是很正常的事情
[15:59] 那像Tesla这样子的一个转变
[16:01] 我觉得对很多长期的股东来讲
[16:03] 也是欣然的接受
[16:04] 反正总之就希望说
[16:05] 有一天馬斯克真的可以帶大家飛出去
[16:07] 好像他做有一個非常高的估值
[16:09] 相信SpaceX也是會是一個類似的道理
[16:12] 當然他的招股書或者說在各地role show的一些pdf
[16:15] 其他都有傳出來了
[16:16] 裡面當然就是跟人講說
[16:18] 首先他很大的一個獲利來源就是在starlink這邊
[16:20] starlink算是他的一個印鈔機
[16:21] 然後再來就是說他後面要做什麼direct to sell
[16:24] 或什麼有的沒有的
[16:24] 但是我自己是覺得
[16:26] 特別是在可能前面兩集有跟大家分享到
[16:28] 你可以注意到像Amphibia去跟他租 data center
[16:31] 基本上你可以知道说马斯克
[16:34] 现在可能已经发现说
[16:35] Data Center是一个非常好的生意
[16:37] 所以他一直在强调说
[16:38] Mark my word
[16:39] 在之后大家就是看到
[16:41] 卫星上面会放一些Data Center
[16:44] 会放一些伺服器去做运算
[16:46] 因为那边有无线的能源
[16:48] 他强调的重点其实是说太阳能的能源
[16:49] 散热或是什么其他东西都可以去做解决
[16:52] 我觉得就是他自己也闻到这个味道
[16:54] 就是在AI的运算方面
[16:56] 大家都会跟人讲说
[16:58] 其实这个需求是非常庞大
[17:00] 那当然就是敢去压的人
[17:01] 会获得最终的胜利
[17:02] 其实你看像是OpenAI
[17:04] 或是Enthropy也是这样子
[17:05] 因为Enthropy可能在前面
[17:06] 是不太敢投资
[17:07] 所以在某些时候
[17:08] 你就会注意到说
[17:09] 你看你那个东西变笨的速度
[17:11] 是比OpenAI来得更快
[17:12] 因为你的算力是不够的
[17:14] 那所以看起来就是
[17:15] 马斯克想法是Go Big or Go Home
[17:17] 他就是要赌一个大的
[17:18] 那所以他后面
[17:19] 甚至有机会会看到
[17:21] 但我不知道他会想要把营收
[17:23] 或是各种获利做在哪个地方
[17:24] 但我自己是会相信说
[17:26] SpaceX某个程度上
[17:28] 可能会变成新的一种
[17:29] Neo Cloud的概念股
[17:30] 什么意思
[17:31] 就是他会去做一些
[17:32] 算力的销售
[17:33] 或是出租
[17:34] 我认为这个是很高几率
[17:35] 会看到的
[17:36] 那这些东西
[17:37] 其实我们目前在供应链上
[17:38] 已经有看到一些蛛丝马迹
[17:40] 虽然可能现在去讲说
[17:41] 卫星的资料中心
[17:43] 很多人还在觉得说
[17:43] 那fucking好小子
[17:44] 就类似说
[17:45] 你可能在几年前讲AI
[17:46] 大家觉得说你在讲什么
[17:47] 可是我觉得AI
[17:48] 在这几年带给我们
[17:49] 一个最大的收获是
[17:50] 现在大家都敢变成是believer
[17:52] 大家都敢当dreamer了
[17:53] 所以即便我们现在看
[17:55] 在轨道上面的AI伺服器
[17:57] 你会认为说有很多问题要去做解决
[17:59] 但是我觉得现在
[18:01] 包含说美国的一些新创
[18:02] 或者一些大企业
[18:03] 他们都在快马加鞭的往这个方向去推
[18:06] 那散热呢
[18:07] 虽然在最近的台股里面表现是比较不好的
[18:10] 可是呢
[18:11] 他们这些可以去过验证的
[18:13] 你知道他如果今天是到
[18:14] 轨道伺服器上面去
[18:16] 做这个散热片的话呢
[18:18] 他那一片是超级大的
[18:20] 就像那时候我去SpaceX的总部
[18:22] 稍微看了一下
[18:23] Holfen那边的一个总部
[18:24] 那就是有注意到说
[18:25] 他那个卫星超屌
[18:26] 它其实打开来是很大一片
[18:27] 它上去的时候是折叠的
[18:29] 就那太阳能板
[18:30] 然后它打开来变成超级巨大的
[18:32] 那你下来就变成
[18:32] 你还要再多一个散热片
[18:34] 所以不管是在太阳能板这边
[18:35] 或者是在散热这边
[18:37] 如果说轨道卫星的AI4
[18:39] 其实真的可以推起来的话
[18:40] 现在看起来是本梦比的东西
[18:42] 可能到后面
