[00:00] 欢迎收听谷爱,我是鲜梦宫,本集节目由NordVPN赞助
[01:55] 食量还是有稍微的缩减一点
[01:57] 所以我觉得整体来说
[01:58] 是还蛮不错的
[01:58] 就是慢慢的有注意到
[01:59] 体重是直线的下滑
[02:01] 但这个直线不是非常的陡峭
[02:02] 但就是斜斜的
[02:04] 那稳定的下滑中
[02:06] 那其实我觉得
[02:07] 当然也可能跟自己
[02:08] 在习惯上面也去做调整有关
[02:10] 就我觉得这个东西
[02:11] 很像是某种那种心理上的cue吧
[02:13] 就是已经告诉你自己说
[02:14] OK你想要去
[02:15] 做一些这个减肥的方案
[02:17] 所以你要稍微的认真看待
[02:18] 所以像我现在我的输入隔壁就摆了一整袋
[02:21] 我大概两个礼拜前跑去7-11买的
[02:23] 就是我有时候会在可能需要想事情的时候
[02:25] 不知道为什么就会突然觉得肚子很饿
[02:26] 就会狂吃东西
[02:27] 那所以我就会买一堆什么七七鲁家
[02:29] 或是什么健达相关的各种巧克力
[02:32] 然后就一整袋在那边
[02:33] 然后还有7-11有一个什么味觉糖吧
[02:36] 就硬硬的圆形的上面都写日文
[02:38] 那那个我也超喜欢吃的
[02:39] 反正我就会买一堆甜食
[02:40] 然后在那边狂塞
[02:41] 那可能因为说自己知道自己有打针吧
[02:44] 我觉得我还是会想吃啊
[02:45] 但是那个欲望没有到特别的强烈
[02:48] 这个比较罕见一点
[02:49] 因为有时候会突然间暴饮暴食
[02:51] 就突然间是整个把它抄起来狂吃
[02:52] 可是至今那一代放在那都没有动
[02:55] 我觉得很好
[02:55] 我觉得如果可以把它放到过期的话
[02:57] 那我就成功了
[02:58] 那再来其实在饮食方面
[03:00] 还是没有说什么
[03:01] 变得是特别的没有胃口
[03:05] 或者说吃不下
[03:05] 都还是没有这样子的一个情形
[03:07] 可能等到第二针之后
[03:08] 有什么样的状况再跟大家分享
[03:10] 那同时也因为说
[03:12] 刚才提到说
[03:12] 它很像是一个心理上的cue
[03:14] 所以自己对自己的身体
[03:15] 比较稍微的照顾
[03:16] 那在过去的一两礼拜
[03:18] 也是持续的跑去运动
[03:19] 那因为我现在又
[03:20] 找到一个新运动
[03:21] 就是打网球
[03:22] 我觉得打网球
[03:23] 真的还蛮不错的
[03:23] 太晚接触这个运动了
[03:25] 那算起来的话
[03:26] 就我现在都用健身教练
[03:28] 作为一个benchmark
[03:28] 就是健身教练
[03:30] 可能是1300 1400块吧
[03:32] 那我的
[03:32] 教泰拳的教练的话
[03:34] 大概好像是1400 1500块
[03:35] 那如果今天是网球教练的话
[03:37] 他还含场地费
[03:38] 然后是1700 1800块
[03:39] 其实我觉得说
[03:40] 还蛮划算的
[03:42] 就是说以健身教练
[03:43] 作为一个类比
[03:44] 他们不讲说
[03:44] 健身教练怎么样
[03:45] 我一直是说
[03:45] 因为那个是最常见的
[03:46] 就到处每个健身房都看得到
[03:48] 那像有些教练他会给你扁
[03:50] 你要捶他
[03:51] 然后你只要多付200块
[03:52] 那有些教练呢
[03:53] 他陪你跑来跑去晒太阳
[03:54] 你只要多付他两三百块
[03:55] 而且还含场地费
[03:56] 我就突然间觉得说
[03:57] 这些运动也太划算了吧
[03:59] 所以就尽量的上好上满
[04:00] 那我的教练可能也意外的发现
[04:02] 我说这个家伙他好像时间比较弹劲
[04:04] 所以每次只要有人cancel课程
[04:06] 他就跟我讲说
[04:07] 你要不要上课我就好
[04:08] 所以我就一直跑去上课
[04:09] 那短短的大概一个礼拜呢
[04:11] 就已经是可以跟教练
[04:12] 很顺畅的把球打来打去
[04:14] 大概可以维持
[04:15] 五到六个回合左右
[04:16] 那我觉得也是因为
[04:17] 可能教练本身超强的关系
[04:18] 所以就非常有效的
[04:20] 就快速的学习一个运动
[04:22] 希望它可以变成
[04:23] 是一个长期的运动
[04:24] 但其实这个
[04:25] 是我讲给自己听的
[04:25] 因为我知道
[04:26] 我是一个三分钟热度的人
[04:27] 只要未来有一段时间
[04:29] 突然间什么打网球
[04:30] 要排队之类的
[04:30] 老子就不打了
[04:31] 我就换去别的东西
[04:32] 我就很讨厌跟人家
[04:33] 那边排队跟人家抢东西
[04:34] 那就希望可以维持久一点
[04:36] 像之前喜欢打棒球
[04:37] 后来是遇到大股祥平爆红
[04:42] 可是那一段時間真的
[04:43] 就以前我去半夜都沒有人
[04:45] 然後後來那段時間去
[04:46] 半夜都在那邊什麼放大一臂
[04:47] 要跟人家排隊
[04:48] 我就超討厭那邊排隊
[04:49] 所以後來就直接索性不打
[04:51] 然後整天被我老婆幹死
[04:52] 你買一堆他媽的棒球棍放在那邊
[04:54] 那因為我就是屬於那一種
[04:55] 反正就只要去參與某個新東西
[04:57] 我都會想要直接先把裝備上滿的那一種人
[04:59] 所以我第一時間也是立刻查了什麼
[05:02] 納德爾拿的球拍是什麼
[05:04] 費德勒拿的球拍是什麼
[05:05] 就是想說他們拿什麼
[05:06] 我要跟他們拿一樣
[05:07] 然後後來發現
[05:08] 網球球拍好像都差不多啦
[05:10] 反而看起来价格是没有像
[05:12] 我一般会去参与的其他运动
[05:14] 或是一些乐器
[05:15] 它有很大的一个range
[05:16] 就我感觉它的那个范围都差不多
[05:18] 所以就挑了一个
[05:20] 我觉得长得还蛮可爱的球拍
[05:21] 我也不知道为什么我要挑一个
[05:22] 就是可能不知道
[05:23] 就儿子看到可能会很喜欢
[05:25] 那它是有点那种彩绘风格的
[05:27] 蓝色的球拍
[05:28] 那之后假设说不知道
[05:29] 就有再看到什么酷东西的话
[05:31] 也会想要再多收集几把吧
[05:33] 希望不会被老婆骂
[05:34] 那我觉得网球
[05:34] 它其实算是一个相对难的运动
[05:37] 它其实没有这么好上手
[05:38] 那个打球你莫名其妙
[05:39] 你就会把球打超远
[05:41] 反正只要人家打过来
[05:42] 你打回去
[05:42] 你想说我只是轻轻摸一下
[05:43] 然后都会弹超远
[05:44] 然后后来知道说
[05:45] 就你挥拍的时候
[05:46] 那个拍面都要向下
[05:47] 然后如果你切球的话
[05:48] 拍面又要向上
[05:49] 所以又不一样
[05:50] 然后旋的方向也不一样
[05:51] 或什么的
[05:51] 那最终甚至会
[05:53] 很意外的发现
[05:54] 就你以为说网球
[05:55] 你看到它就是一个
[05:56] 跑来跑去
[05:57] 然后手要挥挤
[05:58] 所以觉得说挥挤
[05:59] 是很重要的一个运动
[06:00] 但后来发现没有
[06:00] 脚步是最重要的
[06:02] 所以我觉得要跟
[06:02] 我在学泰拳
[06:04] 有点类似
[06:04] 就是最后面发现说都是footwork
[06:07] 然后跟legwork
[06:08] 就是你的脚要花很大的心力去把它调好
[06:11] 那像泰拳的话
[06:12] 就是你会很常觉得你的腿真的要放弃了
[06:15] 你真的撑不住
[06:16] 你当脚那边屌踹
[06:17] 那最痛的脚其实不是右脚会踹人家
[06:21] 会踢要杀包的会呕呲的那只脚
[06:23] 不是是你左脚要支撑
[06:25] 那边一直跳一直跳
[06:26] 你左脚真的会整个贴腿
[06:27] 甚至会到你想要collapse的那样的一个状态
[06:29] 那网球的话是
[06:31] 就其实你都知道要干嘛
[06:33] 你脑袋都知道说
[06:34] 好这个地方我要往前冲
[06:35] 好这个地方我应该要往斜后方走
[06:38] 你脑袋都知道
[06:38] 可是你就是跟不上
[06:39] 他已经有点像说
[06:40] 我们在看到电竞选手一样
[06:42] 就是OK我脑子已经理解怎么做了
[06:44] 可是妈你真的给我滑鼠去弄的话
[06:45] 我跟不上
[06:46] 我看Faker我觉得很简单
[06:47] 不就是往什么30度角闪现吗
[06:49] 看到招闪现不就这样吗
[06:51] 可是你自己去做
[06:52] 你就发现说
[06:52] 干你真的是跟不上
[06:53] 那我觉得打网球
[06:54] 也是差不多的一个概念
[06:55] 那更何况在你
[06:57] 可能高强度的冲来冲去之后
[06:59] 那那个球又很皮
[07:00] 你知道吗
[07:01] 就是说你的拍压一直记得要下压
[07:02] 那有时候
[07:03] 不要摸太大力的话
[07:04] 又会飞走
[07:05] 就即便你有下压
[07:06] 你摸太大力可能还会飞走
[07:07] 那不然就是
[07:08] 有时候你往前冲
[07:09] 那你的冲力
[07:10] 如果已经很大的话
[07:11] 那代表你挥出去的力量
[07:13] 就要再小一点或什么
[07:14] 所以它其实有蛮多细微的
[07:16] 我觉得就是手跟脚跟眼睛
[07:18] 都要去协调好
[07:19] 那就是说脚如果出7的话
[07:20] 手就出3
[07:21] 那如果脚只有出1的话
[07:23] 那手就要出个什么8之类的
[07:25] 所以它其实在一开始
[07:26] 是还蛮挫折的
[07:28] 那我不知道我的教练
[07:29] 是要让我开心还是怎么样
[07:30] 他说你的进度蛮快的
[07:31] 所以可能也是因为
[07:32] 我是那种就需要被赞美的人
[07:34] 所以他稍微跟我赞美一下
[07:35] 我觉得说
[07:35] 我一定要好好把网球学好
[07:37] 所以就过了非常充实的一段时间
[07:40] 那同时我觉得有一点很棒的
[07:42] 就是虽然我们今天早上
[07:43] 是没有成功的打到球
[07:45] 本来教练追过来说
[07:46] 明天又有人cancel
[07:47] 早上八点半你不会打球
[07:49] 那早上八点半
[07:50] 一般我听到
[07:50] 我觉得说不可以
[07:51] 早上八点半要干嘛
[07:52] 我们要起来要看盘
[07:53] 要去了解一下
[07:54] 盘前发生什么事情
[07:55] 可是我昨天就先站在那边
[07:57] 稍微想一下
[07:58] 我也不知道教练
[07:58] 有没有发现说
[07:58] 这个家有在干嘛
[07:59] 我就站在那边
[08:00] 那就突然寻思了一下
[08:01] 我就跟他说好可以
[08:02] 那我回来
[08:03] 我就是立刻在想说
[08:04] 那我有什么办法
[08:05] 可以让我明天
[08:05] 就是一样可以打网球
[08:07] 可是同时呢
[08:08] 我还是要去稍微看一下
[08:09] 开盘发生什么事情
[08:10] 假设这些部位太多
[08:11] 还是要去做一些调整
[08:12] 或什么的
[08:13] 那虽然其实在
[08:14] 昨天晚上夜盘看到屌喷
[08:15] 就已经知道说
[08:16] OK今天稳了
[08:16] 应该是不用做什么动作
[08:18] 但还是非常的
[08:19] 庆幸自己做出
[08:20] 这样的一个决定
[08:21] 这有点类似说
[08:22] 那时候大儿子
[08:23] 刚刚出生的时候
[08:24] 那其实我还是
[08:25] 花超级多的时间
[08:26] 整天在那边搞股票
[08:27] 就那时候搞的是
[08:28] 更短线的东西
[08:29] 那直到被我老婆
[08:30] 稍微提醒之下之后
[08:31] 后来就慢慢的去做调整
[08:32] 那我觉得这次
[08:33] 也是非常感谢
[08:34] 这个网球的运动
[08:35] 还有外加教练的一个
[08:37] 他可能只是随口一提
[08:38] 明天早上要不要来
[08:39] 那突然间让我觉得说
[08:40] 奇怪了
[08:41] 对啊
[08:41] 为什么我现在还是会
[08:42] 绑在那边要上班的感觉
[08:44] 就理论上
[08:44] 当然我还是很喜欢上班
[08:46] 但我不应该是
[08:47] 怎么讲
[08:48] 就没有人逼我
[08:49] 没有老板或什么的
[08:50] 你为什么还是要
[08:51] 朝九晚五这样的
[08:52] 你应该是时间
[08:53] 可以再更谈心一点吧
[08:54] 但可能我们长期制约了
[08:56] 就觉得说这个时间
[08:57] 我就一定要坐在那边
[08:58] 但昨天算是我第一次
[08:59] 打破这个规矩
[09:00] 我就觉得说好
[09:01] 那同时我突然间
[09:02] 发现很多可能性
[09:03] 原来我现在早上
[09:04] 我是可以去做别的事情的
[09:06] 那原来我现在可能已经压力
[09:07] 没有像之前这么大了
[09:09] 或者说其实有时候
[09:10] 需要一些事件的催化
[09:12] 就是让你知道
[09:13] 其实你可以去打网球
[09:14] 你可以顾好自己的身体
[09:15] 因为你的工作
[09:16] 你再怎么做
[09:17] OK它其实对你的生活影响
[09:19] 也不是到很大了
[09:20] 可是你的健康
[09:20] 如果没有顾好的话
[09:21] 那对你生活影响
[09:22] 台银真的很大的
[09:23] 所以算是帮自己提醒了一件事情
[09:26] 所以非常庆幸最近有这些发展
[09:28] 稍微简单跟大家分享一下
[09:29] 那接下来我们就来进入市场话题
[09:31] 那我相信这两天
[09:32] 大家应该都觉得是就送了
[09:34] 就是在前面可能是
[09:35] 迎接了非常大的一个痛苦之后
[09:37] 然后出现了一个绝地大反弹
[09:39] 那这个大反弹
[09:40] 我觉得还是要拆开来讲
[09:42] 就是说在台股这边
[09:43] 是真的非常的强势
[09:44] 那特别是回去踩了重要的均线之后
[09:46] 又再一次的弹上来
[09:47] 如果说在接下来的几个交易
[09:49] 又持续创高的话
[09:50] 那基本上就是一个total的
[09:51] 它只是一个多头回荡的格局
[09:53] 但如果说我们今天
[09:54] 是用美股的角度来看的话
[09:55] 我只会觉得它是一个
[09:57] 死猫跳家人道走廊
[09:58] 就目前会先这样子去看待它
[10:00] 那只是因为
[10:01] 以我自己的部位来讲
[10:02] 目前在美股的部位
[10:03] 是已经提早去降水位了
[10:04] 所以会选择开始去补一些东西
[10:06] 那台股的话
[10:07] 就诚如上周跟大家分享的
[10:08] 其实我自己是不小心买的太满
[10:10] 那虽然这有一点
[10:11] 凡尔赛的意味
[10:12] 但我并不是故意要讲什么
[10:14] 我就只是
[10:14] 因为刚好手上的东西
[10:15] 都有涨出去
[10:16] 那一般
[10:16] 只要有涨出去的东西
[10:18] 我们就持续的去做加嘛
[10:19] 所以就是你在波动放大的时候
[10:21] 理论上你的部位
[10:22] 就要稍微的去扣一点现金回来
[10:24] 那只是因为自己的东西都有上去
[10:26] 所以也贪心了啦
[10:27] 所以就持续加加加加加
[10:28] 然后后来在礼拜一礼拜二的时候呢
[10:30] 当然就受到了蛮大的一个重击啊
[10:32] 那像在昨天的时候呢
[10:34] 跟朋友分享了
[10:34] 把我自己的持股丢给他们看
[10:36] 他们说
[10:36] 这些前面都还是强势股耶
[10:38] 怎么一天可以这样子急转直下
[10:40] 我说我他妈我也超傻眼
[10:41] 吃了两根叠停
[10:42] 然后有一个朋友讲说
[10:43] 两根叠停不要拿出来讲
[10:44] 今天只有吃了两根叠停的
[10:45] 是还蛮OK的
[10:46] 那后来隔一天之后呢
[10:48] 我今天吃了大概六个掌亭吧
[10:50] 我也不知道到底发生什么事情
[10:51] 就为什么差一天可以差这么多
[10:52] 那当然大家一定会讲说
[10:54] 这是因为什么停战或什么
[10:55] 但我自己是不会这么直接聊当的
[10:58] 就说这个战争是要停的
[11:00] 为什么
[11:00] 因为美军的部队还在那一边
[11:02] 这第一点
[11:02] 那第二点呢
[11:03] 油价去稍微观察一下
[11:05] 不只是进越油价
[11:06] 远越的油价也还没有往下掉
[11:08] 其实都还是维持在一个相对高档的地方
[11:11] 所以你可以视为说
[11:12] 虽然可能在昨天伊朗这边的官方有讲说
[11:15] 他们想要和谈
[11:16] 就是就看可以怎么样的条件
[11:17] 把这件事情给settle掉
[11:18] 但市场可能没有完全的相信会和谈
[11:21] 你可以这样子去做看待
[11:22] 所以我觉得还是维持一开始的一个看法
[11:25] 就只要油价是维持在相对高档
[11:27] 其实就要稍微的小心一点
[11:28] 这边讲的小心一点
[11:29] 以我自己的角度来讲
[11:31] 因为其实每个人的做法不一样
[11:32] 但以我角度来讲
[11:32] 就是我不会去上杠杆
[11:33] 因为一般以像最近这样的一个行情
[11:36] 有些东西这样直接射出去的话
[11:38] 我就一直加一直加
[11:39] 然后甚至开始直压去杠
[11:40] 那只是我现在不太敢杠的一个主因
[11:42] 就是因为我看到油价还在那样的一个位置
[11:44] 然后看到VIX还是在
[11:46] 就是高位在去做震荡
[11:48] 所以其实我会担心说
[11:49] 波动率可能会造成一些破坏
[11:51] 所以对我来讲
[11:51] 就会选择就不要用杠杆的方式
[11:54] 去处理下的一个部位
[11:55] 但前面还是稍微有点打太满
[11:57] 所以像趁今天反弹的时候
[11:59] 就有去做一点点的调节
[12:00] 去迎接后面的一个廉价
[12:02] 因为上次的廉价
[12:03] 大家都印象很深刻
[12:04] 这边是BBQ
[12:05] 我们节目的长期观点
[12:07] 还是跟大家讲说
[12:08] 理论上你待在市场里面
[12:09] 越久都是越好
[12:10] 所以像什么春节廉价
[12:12] 或者说什么清明廉价
[12:13] 理论上你都是要爆股票
[12:14] 但因为我们自己本身
[12:16] 还是会做一些
[12:16] 可能稍微激烈的一些操作
[12:18] 所以有时候爆太多股票的话
[12:20] 那可能在接下来
[12:21] 发生一些事情的时候
[12:23] 那可能就在操作上面
[12:25] 大部分都知道要抓理性或什么
[12:26] 可是真的会不小心
[12:26] 出现一些情绪化的作为
[12:28] 所以我们还是会去
[12:29] 把部位弄到自己舒服的一个状态
[12:31] 那我前面就是有点太多
[12:32] 所以我就趁这一波的反弹
[12:34] 其实在昨天在吊杀的时候我已经有稍微去砍一点的那可能有些人会觉得说这个就是等于是砍在阿呆谷没有啊今天屌掌我就照样一样去做一些调节所以很多人他们其实在看这个市场的时候他们会用一个
[12:45] 那种all in all out的心态
[12:46] 但我们不知道说
[12:47] 其实部位是要加加减减
[12:48] 或者是我可以理解
[12:49] 就有些可能会整天想all in all out
[12:50] 就是因为你只买了七张
[12:51] 所以对你来讲就是买进
[12:53] 然后跟卖掉
[12:54] 就是零跟一的选项
[12:55] 可是当部位可能开始慢慢变大的时候
[12:57] 大家应该会开始去理解到说
[12:59] 不过也是可以有层次的一个调节
[13:01] 是可以有一个什么战略纵深的
[13:03] 所以对我来说就是
[13:04] 我看到油价还在一个相对高位
[13:06] 所以我就不愿意去做太大的一个杠杆
[13:08] 那就先维持一个
[13:10] 都是纯线股的姿态去做面对
[13:12] 然后看后面是怎么样发展
[13:14] 然后当然最近也算是
[13:15] 虾猫摸到死耗子
[13:17] 大家应该有看到Marvel的新闻出来
[13:19] 就是说NVIDIA要投资它两个B
[13:21] 要跟它在后面去
[13:24] 针对NVLink Fusion去做更多的一个合作
[13:26] 那这边我们稍微的讲一下自己的看法
[13:29] 对前面先稍微前情提要一下
[13:30] 因为我看到朋友有截图
[13:32] 给我看一些讨论区讲说什么
[13:33] 他就是有内线
[13:35] 他知道这个东西
[13:36] 我真的不知道
[13:37] 如果我他妈知道这些东西
[13:38] 干我是老黄枕边人的话
[13:40] 我妈我还跟你做股票录节目
[13:42] 靠北我在加勒比来靠腔
[13:43] 所以但我们的资讯能力
[13:46] 一定是比一般人好很多
[13:47] 那只是没有好到这样一个程度
[13:48] 可以知道一些那种什么
[13:49] 超级insider news
[13:50] 或者一些什么
[13:51] 合并收购这种
[13:53] 是没有办法知道的
[13:54] 我们只知道说产业的一些发展
[13:56] 那我们都已经知道说
[13:57] road map会长怎么样
[13:58] 可是很多時候就算你知道road map會長怎樣
[14:00] 你不知道什麼時候會發酵
[14:01] 類似我們上集跟大家講說
[14:03] 我們所看到的狀態是這樣
[14:05] 可是我們老實跟大家說
[14:06] 我覺得它不會這麼快發酵
[14:07] 可是你看市場掉漲
[14:08] 所以很多時候我也不知道到底
[14:10] 市場跟我們的認知是要
[14:12] 到什麼地方去做一個交匯
[14:14] 最終會交匯
[14:15] 只有時候會提早反應
[14:16] 有時候會延後反應
[14:17] 然後這個我們沒有辦法抓得很清楚
[14:19] 所以有時候還是會停損
[14:20] 因為你在那邊等半年
[14:21] 沒有意義
[14:22] 所以等太久還是會把它砍掉
[14:24] 所以我們不會知道這些
[14:25] 真的是非常內線消息的東西
[14:27] 那绝对是不可能的
[14:28] 那我自己压住的理由
[14:29] 也在前面有跟大家分享
[14:31] 最主要就是我知道
[14:31] 他在Google做进去几颗晶片
[14:33] 然后外加
[14:34] 其实我觉得我对他
[14:36] 未来在交换机这边的发展
[14:38] 也是觉得还蛮乐观看待的
[14:40] 所以因为这样去做了一个投资
[14:42] 那我觉得
[14:43] 其实这个有点类似说
[14:44] 那时候看到茂达
[14:46] 被陈泰明买下去一样
[14:47] 就是我觉得
[14:48] 某个程度上自己在蛮高兴的
[14:50] 就代表说
[14:51] 其实NVIDIA也看到这样的一个机会
[14:52] 虽然其实我心中觉得
[14:53] 最该去买Marvel的
[14:55] 去投资Marvel的
[14:56] 应该是AMD
[14:57] AMD缺这一块
[14:58] 但最后一面就是由NVIDIA先持得点
[15:01] 然后跑来做一个投资
[15:02] 像NVIDIA这样的一个投资
[15:04] 市场上一定有很多的说法
[15:06] 就是当然大家最主要的讲说
[15:08] 要补齐某一个拼图或什么的
[15:10] 只是就我们在过去一两年的一个观察
[15:13] 其实我觉得大家有时候会忽略房间里的大象
[15:15] 就是说因为老黄虾手上真的是满手现金
[15:18] 所以他可能也不一定会想这么多
[15:20] 当然他一定会去思考说
[15:21] 这个东西买进来对我们用
[15:22] 可是其实我们已经看过
[15:23] 像NVIDIA的Portfolio里面
[15:24] 他有些东西也给你搞短缀
[15:26] 他买了一下就把它卖掉
[15:27] 那所以前面大家解释了半天
[15:29] 为什么他买这个
[15:30] 因为他已经要布局
[15:31] 然后隔一两个Q把它丢掉
[15:34] 你就傻眼嘛
[15:35] 就你前面讲的东西
[15:36] 代表就是你在骗自己之类
[15:37] 所以当然很多时候
[15:38] 我们也不是要去纠结说
[15:40] 所以大家不能够分享自己的心得
[15:42] 因为每个人都是有机会猜错
[15:44] 我也会猜错嘛
[15:44] 只是我觉得其实后来
[15:46] 用一个最局外的角度去看的话
[15:49] 就会明白
[15:50] 因为他真的现金太多了
[15:51] 那他就会去找东西买
[15:53] 就这么简单
[15:53] 所以他尽量的可能去买一些东西
[15:55] 是跟自己的本業是相關的
[15:56] 那我們可以大概去拆解他要幹嘛
[15:58] 可是有時候也不一定要太認真
[16:00] 因為很多時候就是錢多
[16:01] 他要找地方放類似這樣
[16:02] 就有時候你可能看到一些大戶
[16:03] 去買一些東西
[16:04] 想說他一定知道什麼
[16:05] 他才買
[16:06] 可是你怎麼知道他買多少
[16:07] 這個錢是他什麼0.5%的現金
[16:09] 那他買這個東西
[16:10] 你在那邊解釋了半天
[16:11] 你不就覺得自己很好笑
[16:12] 人家只是隨便買一買
[16:13] 他只是這樣買菜一樣
[16:14] 那你以為說什麼
[16:15] 背後有超級大的陰謀的計畫
[16:17] 所以這還是要稍微的注意一下
[16:19] 因為他過去
[16:19] 他其實買了蠻多東西
[16:21] 像什麼Synopsys
[16:22] Coreweave
[16:23] Coheren
[16:24] 最近是两个光通全包
[16:26] Navius Marvell全包
[16:27] 所以基本上你可以看到说它里面
[16:30] 就你要把它凑在一起的话
[16:32] OK像Synopsys就是EDA的设计
[16:34] 那可能是Fusion Chiplet的某种设计工具店
[16:37] CoreWidth跟Navius的话
[16:39] 可能就是说Data Center的一个部件
[16:41] 跟AI工厂的扩张
[16:43] CoreElon跟Luminton
[16:44] 那不用讲就是光相关的一个布局
[16:46] 那Marvell的话
[16:47] 一下拉进去NVLink Fusion
[16:49] 其实前面也拉一些伙伴了
[16:50] 像是L-Chip
[16:51] 然后像是MTK也在里面
[16:53] 所以我會認為說他真的就是錢太多去買東西而已
[16:57] 就是我如果真的硬要採這個樣子
[16:59] 那當然第二步的話就會認為說
[17:00] 他一定是有想去做一些戰略的佈局
[17:03] 因為大家都知道說現在
[17:04] 目前我們在Hyperscaler所看到的一個情形就是
[17:07] 沒有像外面講的這麼誇張去NVIDIA的話
[17:10] 但是是在分散配置的一個做法
[17:13] 也就是還是持續有去推進自己的ASIC
[17:15] 那這個在兩年前講的時候
[17:17] 有時候還被人家吐槽說
[17:18] ASIC根本沒有看到什麼東西
[17:19] 可是現在大家就看懂了
[17:20] 很多時候真的是講得太早
[17:22] 也被人家当成是
[17:23] 你是不是在乱讲之类的
[17:25] 可是其实ASIC
[17:25] 都还是持续的有在推进
[17:27] 所以它从来都不是说
[17:28] 一刀切
[17:28] 哪个可以哪个不行
[17:30] 其实就是说
[17:31] 以这些科技巨头的角度
[17:32] 他们还所谓
[17:32] 想要有自己的一些产品
[17:34] 所以它不是一个
[17:35] 去NVIDIA的话
[17:36] 但是确实是
[17:37] 随着这些科技巨头
[17:38] 开始去推自己的东西的时候
[17:40] 那当然
[17:41] 站在NVIDIA的角度就是
[17:42] 我既然没有办法
[17:44] 去卖我的GP GPU的话
[17:45] 就你们要去搞各种XPU
[17:47] OK
[17:47] 但是你有没有可能去
[17:48] 让我在你的Data Center里面
[17:51] 还是去分到一些饼干呢
[17:52] 我认为这就是NVIDIA要在做的事情
[17:54] 它解放了什么
[17:55] 它有一个NVLink Fusion
[17:56] NVLink Fusion它就是有一个小Chiplet
[17:59] 那是Chiplet可以去包在你的XPU里面
[18:02] 一起去做封装
[18:02] 它提供了1.8TPS的一个双向频宽
[18:06] 再来就是在Vera的CPU方面
[18:09] 如果说你们只有XPU的话
[18:12] 我可以提供你CPU
[18:13] Arm-based的一个solution
[18:15] 或者是像ConnectX的NIC
[18:17] 然后跟Bluefield DPU
[18:19] NVLink Interconnect Spectrum
[18:20] 或者是Quantum的相关的Switch
[18:23] 光通的解放CPU
[18:24] 它都可以给你
[18:25] 所以它现在能够做的事情
[18:27] 有点像它说
[18:27] OK那我知道像这种XPU的设计
[18:30] 你们要去选Marvel
[18:32] 或是你要选MTK Lchip
[18:33] 你要选Brakon
[18:34] OK都可以
[18:35] 但你其他东西
[18:36] 你是有我的这个产品线
[18:38] 都是可以去做支援跟使用的
[18:40] 那当然其实也不一定会用到
[18:42] NVIDIA的东西
[18:43] 因为我们刚刚讲的这些东西
[18:44] 可能像Brakon
[18:45] 它也是有对应的一些解放
[18:46] 但它就是来跟Brakon抢这个生意
[18:48] 所以你可以这样去做看待
[18:50] 所以我个人认为说
[18:51] 就是如果真的要把这个事件
[18:53] 去做一个谁受贿谁受害
[18:55] 谁可能受到竞争的一个判读的话
[18:57] 我会认为说他的剑指是BRACOM
[19:00] 最主要是要去打BRACOM
[19:01] 去拉这些快乐好朋友
