[00:00] 歡迎收聽谷愛維生夢宮本期節目由米紅米紅生衣贊助
[05:37] 就是我真的完全不知道到底該怎麼樣去面對
[05:39] 後來想想覺得說
[05:40] 好算了就不要搞自己
[05:41] 就直接去現場就好
[05:42] 因為A君就跟我講說
[05:43] 你只要最後面跟對方說
[05:45] 那個錢我LINE PAY給你
[05:46] 那如果對方收的話
[05:47] 當然就沒有什麼問題
[05:48] 如果說對方不收怎麼辦
[05:50] 那你就下次再請他吃飯
[05:52] 或是下次你就準備個東西給他
[05:53] 反正你就不要想那麼多
[05:54] 你就去就好了
[05:55] 然後他還載我去餐廳
[05:56] 所以對
[05:57] 就發現說我自己真的是一個
[05:59] 就是在社交方面缺乏知識的人
[06:01] 最後面到現場就發現說
[06:03] 自己真的想太多
[06:04] 所以就如同哆啦A夢有一集演的
[06:06] 就是你自己不用想太多
[06:07] 什麼去人家家裡做客
[06:08] 你要準備自己的筷子
[06:09] 還是什麼啥小的
[06:10] 你就去
[06:11] 很多東西你擔心的都不會發生
[06:13] 像你本來想說
[06:14] 這麼多人我到底該怎麼辦
[06:15] 可是最後發現說
[06:16] 也沒有怎麼辦
[06:16] 就因為剛好那一天
[06:18] 尼基的伺服器更新
[06:19] 有新的角色
[06:20] 我就跟我快樂好朋友
[06:22] 坐在旁邊
[06:22] 我們就在那邊抽卡
[06:23] 最後面
[06:24] 雖然我們自己是沒有辦法
[06:25] 去找大家社交講話
[06:27] 也不知道要講什麼
[06:27] 可是別人有來跟你講話
[06:29] 這樣就好了
[06:30] 就人家來跟你講話的時候
[06:31] 你就好好的回答
[06:32] 你也不要擔心說
[06:33] 我在這個地方幹嘛
[06:34] 反正你朋友找你來
[06:35] 就一定有他的理由
[06:36] 就是我不知道
[06:37] 我自己要有一堆
[06:38] 有的沒有的
[06:39] 就真的像是人退化了一樣
[06:41] 在那邊想一堆
[06:42] 媽的那種狗屁的事
[06:43] 然後最後面就是什麼都沒有發生
[06:44] 就完全都自己想太多
[06:45] 那還跟這個足球請教了一下
[06:47] 因為他以前去那個
[06:49] 不是以前
[06:49] 就是好像前陣子吧
[06:50] 回去德國跑馬拉松
[06:51] 我覺得這些跑馬拉松的人很有病
[06:53] 他們會跑去那種各種奇怪的地方
[06:55] 跑馬拉松
[06:56] 就是為了跑步
[06:56] 然後跑去那個地方
[06:57] 幹啥笑
[06:58] 我想說我跟我爸說
[06:59] 我去健身房跑跑步機
[07:00] 他就覺得你很怪
[07:01] 你不就是在馬路上跑就好
[07:03] 但他們會有很多這種玩法的
[07:05] 厲害的一群人
[07:05] 然後呢他就有跟我講說
[07:07] 在德國吃東西
[07:08] 其實非常簡單
[07:08] 你就不要吃任何德國菜就好
[07:10] 他說
[07:11] 你在講什麼
[07:12] 我們去現場
[07:13] 我們當然是要去吃
[07:14] 當地有名的食物
[07:15] 然後德國的東西
[07:17] 我們聽到有名的什麼
[07:18] 香腸
[07:18] 豬腳
[07:19] 他說香腸可能還OK
[07:21] 豬腳的話
[07:22] 臺灣豬腳比較好吃
[07:23] 這個就其實符合我的認知
[07:25] 就其實很多
[07:26] 所以歐洲菜
[07:27] 那些很有名的東西
[07:28] 或什麼義大利菜
[07:30] 大家說什麼世界
[07:30] 不知道什麼幾大名菜
[07:32] 什麼的
[07:32] 其實在臺灣吃的味道
[07:33] 都比較對
[07:34] 可能是因為他們有
[07:35] 按照我們在地人的口味去做調整
[07:38] 因為像自己去吃一些義大利菜
[07:40] 我會覺得說在當地吃就太鹹
[07:42] 就是那麼鹽巴真的跟不用錢一樣
[07:43] 然後他的想法是跟我差不多
[07:45] 他說那個豬腳就是皮會很硬
[07:46] 然後再來就是你可能吃起來會超級無敵鹹
[07:49] 所以你就去避開所有的德國食物
[07:51] 然後去吃一國食物就好
[07:53] 我想說OK好
[07:54] 接下來是一個完全沒有用的建議
[07:55] 可是好像也蠻有用的
[07:56] 反正就是儘可能的不要去吃當地的東西
[08:00] 當然我自己在網上找到什麼
[08:01] 咖哩香腸是不是
[08:03] 反正就是那種什麼香腸片
[08:04] 然後跟咖哩混在一起
[08:06] 咖哩應該
[08:07] 不知道那也不是德國東西吧
[08:08] 剛剛就說
[08:09] 我們去柏林一定要吃什麼
[08:10] 咖哩香腸
[08:10] 還是什麼有的沒有的
[08:11] 然後朋友就把一系列
[08:13] 他推薦的餐廳給我
[08:14] 所以我自己是這樣規劃
[08:16] 就我這次去
[08:16] 我就去
[08:17] 基本上當一個廢人
[08:19] 沒有要觀光的意思
[08:20] 就只希望在飯店睡覺
[08:21] 然後時間到出去看演唱會
[08:22] 然後看完之後
[08:22] 繼續回飯店睡覺
[08:24] 然後可能就是
[08:24] 每一餐要吃飯的時候
[08:26] 稍微按照人家給你的建議
[08:28] 然後這樣去吃一輪
[08:29] 然後接著就快樂的回臺灣
[08:30] 因為其實我覺得
[08:31] 可能心境上有一些改變
[08:33] 然後本身我自己
[08:33] 就不是一個特別說
[08:35] 我要去旅遊
[08:35] 我東看西看這樣的人
[08:36] 然後二方面是
[08:37] 就像那一天
[08:39] 跟朋友吃完飯
[08:40] 回家的路上
[08:40] 我兒子突然間就
[08:41] 用那個FaceTime打給我
[08:43] 那他就打來就說
[08:44] 爸爸我好想你
[08:45] 他的確就爸爸我好想
[08:46] 因為我想說
[08:46] 我兒子他媽
[08:47] 我平常可能要抱
[08:48] 根本就抱不到
[08:48] 可是當我真的離開他的時候
[08:50] 他就會跟我講這些
[08:52] 比較甜言蜜語的話
[08:53] 我好想你趕快回來
[08:54] 你怎麼在外面這麼久
[08:55] 你要陪我睡覺什麼的
[08:57] 你要保護我什麼的
[08:58] 那聽到這些就覺得說
[08:59] 早知道我不要去看演唱會了
[09:00] 早知道我就待在家裡就好
[09:02] 但不知道啦
[09:03] 就是現在有時候的想法認為說
[09:05] 反正就好好地把握當下
[09:06] 因為我們有朝一日
[09:08] 一定會回想我們現在的生活
[09:09] 然後覺得說
[09:10] 我好想要回到那個時候
[09:11] 不知道大家有沒有這樣的感受
[09:12] 除非你當下你真的遭受到一些
[09:14] 非常痛苦的打擊或什麼的
[09:16] 你可能會一輩子都不想要回到那個地方
[09:19] 可是其他的時間點
[09:20] 那種平淡或是平靜的生活
[09:22] 其實有時候你就想說
[09:23] 我可以回去個體驗幾天也不錯
[09:25] 可是就是回不去了
[09:26] 所以我們在當下的時候
[09:27] 就好好把它把握好
[09:28] 趁這個小孩還沒有長大的時候
[09:30] 可能多陪伴之類的
[09:31] 我最近的想法是這樣
[09:31] 好了那就大概這樣跟大家分享一下
[09:34] 好那接下來我們來進入市場話題
[09:35] 那我們上集有跟大家聊到
[09:37] 就是最近我在觀察
[09:39] 那個散裝航運相關的一些標的
[09:40] 因為我看到它的報價的
[09:42] 那個數字呢是持續的往上跳
[09:44] 那我自己會認為說
[09:46] 它如果可以過那個
[09:47] 二三年底的新高的話
[09:48] 那可能就代表說
[09:49] 這次真的是一個比較大的浪
[09:51] 那因為我們節目跟大家聊完
[09:52] 當天晚上很神奇
[09:54] 就那cap size的報價
[09:55] 就噴了16%左右吧
[09:57] 隔天台股相關的航運股
[09:59] 甚至有些是我認為不相關的
[10:01] 反正就是全部都直接先鎖漲停
[10:03] 我覺得跟有病一樣
[10:05] 當然在禮拜五又全部開啟來
[10:07] 隔日衝就全部跑去自殺
[10:08] 所以我還是要強調一下
[10:09] 最近盤市
[10:10] 其實也不是隻有航運家
[10:12] 你看到很多股票前一天特別強的
[10:13] 隔天就是把你殺到你媽都不認得
[10:15] 所以它就是一個動能的地獄
[10:17] 這也是為什麼在上集跟大家講說
[10:19] 現在的研究時間其實大於交易
[10:21] 因為你整天想去吹
[10:21] 你就吹到你的媽的褲子都不見了
[10:24] 所以不要整天看到東西突破
[10:26] 然後就想要去談快
[10:27] 就想要上車
[10:28] 可能就會給人家修理
[10:29] 給人家教訓
[10:29] 當然這個報價
[10:31] 還是維持在一個上升的趨勢
[10:33] 它前面先往上跳
[10:34] 然後當然在過去的兩天
[10:36] 就是呈現一個回落
[10:37] 可是因為前面往上跳也跳很多
[10:38] 所以還是在一個上升趨勢上
[10:40] 我們上集跟大家聊完之後
[10:41] 就有聽眾來跟我分享
[10:43] 他就講說
[10:44] 我們的猜測是對的
[10:45] 就是他們自己有觀察一些客戶
[10:47] 他們應該都是在賭烏二會停戰
[10:50] 所以他們的做法怎麼樣
[10:51] 他們就是從東澳
[10:53] 然後什麼西非
[10:53] 然後拉這些東西
[10:55] 到歐洲那附近的礦石港口
[10:57] 那為什麼要這樣做呢
[10:58] 就是說進水樓臺先得月了
[10:59] 他先把東西拉到那邊去
[11:01] 那如果真的停站的時候
[11:02] 他就能第一時間開進去
[11:03] 然後去賺重建的這一筆錢
[11:05] 但這個就是符合
[11:06] 我們上集跟大家講的
[11:07] 這是一個賭注
[11:08] 就如果說沒有停站怎麼辦
[11:09] 沒有停站的話
[11:10] 那其實我們下去看
[11:12] 比較遠期的一些價格
[11:13] 就會發現說
[11:14] 這個是一個短期大家在賭
[11:15] 就並不是說什麼遠期的價格
[11:17] 像那個記憶體的合約價格
[11:19] 可能也都直接他媽拉上去
[11:20] 他的狀況是有點不太一樣的
[11:22] 所以他其實比較偏向是一個
[11:23] 就是有待觀察的事件
[11:25] 只是就是因為可能
[11:26] 我們講完的那一天
[11:27] 剛好搭配報價短期大幅的上升
[11:30] 所以就臺灣的一些主力就受不了
[11:32] 就直接衝進去鎖漲鐵
[11:34] 當然那全部都被上課了
[11:35] 可是就是我覺得
[11:36] 其實當然在隔天回諜之後
[11:38] 就有人會出來寫故事
[11:39] 這個報價都是什麼漲價
[11:41] 就好像是前一天漲鐵的時候
[11:42] 就有很多人出來寫故事說
[11:44] 我跟你講
[11:44] 這是什麼閃爍航運不一樣
[11:45] 我還是認為
[11:46] 就是會去按照每天漲鐵寫故事的
[11:48] 腦袋都不太好使
[11:49] 就千萬不要做這種很奇怪的事情
[11:51] 就是今天Google漲
[11:52] 然後寫說Google多屌
[11:54] 然後隔天Google跌
[11:55] 什麼NVIDIA要回去把Google打敗
[11:57] 你不覺得這個會搞到你神經耗落嗎
[11:59] 所以其實我們在看
[12:00] 都是要看一個相對長的趨勢
[12:02] 至少三個月五個月六個月這樣
[12:04] 就你不要說什麼
[12:04] 很多人在做股票
[12:06] 會變成說他們
[12:07] 有一個說法這樣
[12:08] 基本面隔日衝
[12:09] 這我覺得超好笑
[12:10] 就是你可能跟你的同事
[12:11] 跟你的同業
[12:12] 或者說什麼
[12:13] 其他辦公室的一些朋友們
[12:14] 大家交流的時候
[12:15] 然後跟人家吹說
[12:16] 怎麼這家多屌
[12:17] 什麼家頭片數字怎麼樣
[12:19] 然後你在什麼TSM還是說什麼在後段spill看到怎麼樣然後他講的很像就這超級誇張後面會超級好然後隔天呢拉一個漲停就出來跟大家講說你看吧我就這樣跟你講
[12:29] 就是真的很好或什麼的
[12:30] 然後再隔個三五天
[12:32] 那我媽疊回去之後
[12:33] 就跑出來跟大家講說
[12:34] 這個我早就出掉
[12:34] 這個是一個
[12:35] 就是會讓自己的credit
[12:37] 快速下降的做法
[12:38] 所以其實像
[12:39] 我自己也會去避開這樣子的人
[12:41] 就是我們講的基本面隔著衝
[12:42] 或者說基本面隔著衝
[12:44] 就是如果你講的基本面
[12:45] 真的是像你講的這樣子的話
[12:47] 就是你花了時間去研究它
[12:48] 然後你去找到一些蛛絲馬跡
[12:50] 或什麼的
[12:51] 可是你因為短期的價格變化
[12:52] 你就把自己的研究的理論
[12:54] 全部打翻掉的話
[12:55] 那不就代表說
[12:56] 你的研究一點價值都沒有嗎
[12:58] 所以就儘量不要去做這樣的事情
[12:59] 所以後續我們就持續觀察一下
[13:01] 就如果說這個烏魯
[13:02] 真的有停戰發生的話
[13:04] 那可能就是會有一個蠻大的行情
[13:06] 那在這之前
[13:07] 就是要去參與這個賭注的
[13:09] 其實都是偏向是
[13:10] 就是有點像投機
[13:11] 反而就是先去預設
[13:14] 就是有可能在今年
[13:15] 或說明年初會發生停戰
[13:17] 那當然那個價格一定就會衝上去
[13:18] 其實這就是一個偏比較堵住的東西
[13:21] 我稍微跟大家簡單分享一下
[13:23] 那接下來我們來稍微聊一下
[13:25] 因為最近在市場上有蠻多人在傳說
[13:27] Blockcom有漲價
[13:28] 那波通的漲價應該是聚焦在一些merchant的晶片上
[13:34] 不是那些ASIC
[13:35] 就是說他可能在一些chipset上面有去做價格的調整
[13:38] 那根據我們快速的調查
[13:40] 這個價格調整應該是沒有在consumer這一邊
[13:44] consumer這一端如果去做價格調整的話
[13:46] 那可能就會出事情
[13:47] 因為其實大家都不好
[13:48] 所以像什麼網通的晶片
[13:49] WiFi晶片
[13:50] 應該是不會有
[13:51] 價格調整的狀況產生
[13:53] 那其他方面的晶片
[13:55] 有些有聽說到
[13:57] 有價格調整的一個狀況
[13:58] 那這個價格調整
[13:59] 它根據我們家市場
[14:02] 身邊周圍的朋友
[14:03] 一些研調組織
[14:04] 機構
[14:05] 或者說研究員
[14:06] 大家的一個說法
[14:07] 它應該偏向是一個
[14:09] 我認為是市場
[14:10] 沒有充分預期的東西
[14:11] 也就是說BlockCon
[14:12] 可能在接下來的guidance
[14:15] 或者說在接下來
[14:15] 要公佈的一些成績
[14:17] 然後有機會會有這樣的一個
[14:18] upside上修的可能性
[14:20] 因為市場沒有預期到這件事情
[14:22] 那這個漲價的幅度
[14:24] 其實也算蠻大的
[14:25] 7到10%
[14:25] 那所以可能算是
[14:27] 它後面的一個小利多
[14:29] 然後這邊
[14:30] 也簡單的拋賺營運一下
[14:31] 因為其實我也還不太確定
[14:32] 說到底是哪些晶片
[14:33] 那自己身邊一些朋友講說
[14:34] 可能是357
[14:36] 這個製程
[14:37] 差不多的晶片
[14:39] 有機會有一個漲價的狀況產生
[14:40] 因為Huck在內部有提到說
[14:42] 要去漲這些東西
[14:43] 那可能就再稍微的觀察一下
[14:45] 那再來就是上集應該有跟大家聊到說
[14:49] 最近我在看一些後段的封裝
[14:51] 為什麼會去往後段封裝看呢
[14:53] 因為最主要原因是在於說
[14:56] 我們知道Foundry在過去的一段時間
[14:58] 他們拓了很多的產能
[15:00] 他們開了很多的CAPEX
[15:01] 那只是現在在臺積電這邊
[15:03] 我們注意到的一個狀況是
[15:05] 就是他客戶的demand數字是大於
[15:07] 他可以grant的一個capacity
[15:09] 他可以給的一個容量
[15:11] 也就是說他其實不願意去
[15:13] 完全的滿足客戶的需求
[15:14] 那這個我們在節目裡講過很多次
[15:16] 之所以不這樣做
[15:17] 原因是因為像據來說
[15:18] 2021年大家在瘋狂下單的時候
[15:20] 他都去滿足你的需求
[15:22] 可是在2022年的時候
[15:23] 你各位全部都跑回來砍單
[15:24] 那所以就會導致這些
[15:26] 因為基本上像這些Foundry
[15:28] 他們要去做資本支出
[15:29] 那個都要花很大的一筆錢的
[15:31] 所以如果後來產能填不滿的話
[15:32] 可能就會產生一些比較大的問題
[15:35] 那這個也是我們在2022
[15:36] 一直去討論的一個話題
[15:38] 所以就其實就是在這樣的一個
[15:40] 背景知識之下
[15:41] 你會知道說
[15:42] 這就是為什麼他們可能不願意的
[15:44] 百分之百去滿足
[15:45] 所有客戶的一個要求
[15:46] 即便我們現在看到
[15:47] 客戶的要求數字
[15:48] 其實超級高的
[15:49] 就是在我自己的想象
[15:50] 是這樣子
[15:51] 就是我認為
[15:52] 像Google的那個demand
[15:53] 它應該就是
[15:54] 要多少就真的會買多少
[15:55] 就是它不會說
[15:56] 什麼要多少
[15:57] 然後周面只有買
[15:58] 其中的五成
[15:59] 然後剩下跟你說要砍單
[16:00] 這個我是蠻有信心
[16:02] 去相信說
[16:02] Google應該是
[16:03] 比較不會砍單的
[16:04] 但可是即便是像Google這樣子
[16:06] 它的產能都沒有辦法
[16:07] 百分之百的被滿足
[16:09] 於是這些產能
[16:10] 可能就會跑到別的地方去套
[16:13] 所以就像我們過去幾集
[16:14] 一直跟大家講的
[16:15] 就是Google
[16:16] 如果你現在在後段的
[16:18] 這些OSET廠
[16:19] 或者說一些什麼測試
[16:21] 相關的廠商
[16:22] 你應該都會注意到
[16:24] 就是Google到處去問產能
[16:25] 不然說像是臺系
[16:26] 日系的廠商
[16:27] 美系的廠商
[16:28] 都有這樣子一個狀況產生
[16:29] 因為他們要的東西實在太多
[16:30] 那TSM是沒有辦法
[16:32] 完全的去給出來
[16:33] 所以就只好去找別人
[16:35] 那這樣就產生一些
[16:36] 額外的新的機會
[16:37] 過去大家可能聚焦
[16:38] 在裝置廠的時候
[16:39] 是在看那些ForFundry的
[16:41] 那些ForFundry的這些裝置廠
[16:42] 它可能在驗證上面是比較困難一點
[16:44] 就是說可能是條件比較好的廠商
[16:46] 有機會做進去
[16:47] 臺系其實有蠻多是
[16:49] 一些比較小家的那種裝置廠
[16:50] 他們可能就是可以做進去OSET裡面
[16:53] 就是後段封裝廠
[16:54] 所以這可能是後面可以
[16:56] 稍微注意的一些機會
[16:58] 就是說它的本質上
[16:59] 其實是這些大型的CSP
[17:02] 或者說晶片製造商
[17:04] 然後他們要的產能
[17:05] 沒有辦法被臺積電滿足
[17:07] 所以他們把訂單外溢位來
[17:09] 外溢給這些OSET廠
[17:11] 所以OCEX廠像是相關的可能
[17:13] M-Core或者是說Unto
[17:14] 我們都注意到那個股價是直接射出去了
[17:16] 然後再來可能就是他們會用到的一些裝置
[17:20] 然後或者是一些原件
[17:22] 都是後面有機會可以去注意的
[17:24] 所以可能就是看像那集跟大家聊到的
[17:27] 看臺積電的態度
[17:28] 如果說後面突然間大擴敞的話
[17:30] 那當然這部分可能又會有一大塊被它咬回去
[17:33] 可是如果說沒有出現一些大擴敞的狀況的話
[17:35] 那可能就會流到外面去
[17:36] 不然像是Intel的EMIB
[17:38] 或是我朋友直接把它稱為是EMIB
[17:40] 我是不知道說就是到底人家是怎麼樣正確反應
[17:43] 反正大家知道我在講什麼就好
[17:44] 那這個英明呢
[17:45] 就是本質上他有點像是說Cowas L這邊
[17:49] 因為沒有辦法去滿足這麼多的一個產能
[17:52] 所以才需要跑到Intel那邊去
[17:54] 當然如果你今天是問Intel的人
[17:56] 或是Intel的專家
[17:57] 他可能就會跟你講說
[17:58] 沒有說我們Intel的東西真的很好或什麼的
[17:59] 可是在我們以這個TSM作為本位的角度來看
[18:02] 會覺得說就是因為TSM可能沒有辦法去給出這麼多產能
[18:06] 才會有一些外溢的狀況產生
[18:08] 而不是說他們真的覺得Intel的這個東西非常好
[18:10] 那在自己跟自己身邊的一些朋友
[18:13] 跟專家學者討論之後呢
[18:15] 就發現
[18:16] 其實大家對於這個Intel的EMIB
[18:18] EMIB這個封裝呢
[18:19] 都不是特別的看好了
[18:20] 就認為說應該是蠻有機會會出包的
[18:23] 然後之所以會獲得這個機會
[18:24] 也不是因為他們有技術上的一些領先
[18:26] 或什麼
[18:27] 只是因為臺積電可能沒有辦法給這麼多
[18:29] 那或是有一個說法在講說
[18:30] 因為目前做的這個Ratical Size
[18:32] 可能是在5個多左右
[18:34] 那Google在後面要的那個晶片的Ratical Size
[18:37] 是很大的
[18:38] 那那個東西可能要等到臺積電
[18:40] 把Corpus拉進來之後
[18:41] 才可以去滿足
[18:42] 可是Corpus可能本來預計
[18:44] 是要在2030年的東西
[18:45] 沒有辦法在短期內往前拉的話
[18:48] 那怎麼辦
[18:48] 只好去找說宣稱
