[00:00] 歡迎收聽谷外,我是聖夢宮,本期節目由NordVPN贊助
[03:19] 所以我真的不想要去
[03:20] 那跟我老婆有時候
[03:21] 因為這樣子吵架
[03:22] 但這次呢
[03:23] 我不知道是因為心情輕鬆
[03:24] 還是怎麼樣
[03:25] 但至今沒有生病
[03:26] 這我老婆教我的
[03:28] 就是說當你幫自己立flag的時候
[03:30] 立刻對著自己的肩膀吐三下
[03:31] 就可以把這個flag給去除掉
[03:33] 那這次就非常意外
[03:35] 既然身體都好好的
[03:37] 那所以本來是預計說
[03:39] 來這邊要好好的休息
[03:40] 最後面就變成
[03:41] 我現在每天晚上
[03:42] 大概兩點半三點
[03:43] 就會起來看盤
[03:43] 但是很快樂的看盤
[03:45] 因為之前起床
[03:46] 是有點像是說
[03:47] 要熬夜
[03:48] 就直接一路熬到
[03:49] 兩點半三點
[03:49] 或是說
[03:50] 就是在身體
[03:52] 不太舒服的狀況之下
[03:53] 可是知道工作還是要做
[03:54] 所以只好起來
[03:55] 這是比較不一樣
[03:56] 可能是有主鄰的闢音
[03:58] 阿公可能跑到
[03:59] 我身體裡面保佑我
[04:00] 因為我坐席操線
[04:02] 以前我阿公阿婆的
[04:03] 就是大概什麼
[04:04] 三十點就起床
[04:05] 沒有六點半就起床
[04:06] 我兩點半就起床
[04:07] 然後七點半左右就睡覺
[04:09] 起床之後就是因為
[04:11] 是剛好接到臺灣的看盤時間
[04:13] 所以就覺得身體
[04:14] 非常的舒服的狀況之下
[04:16] 完成大概兩到三個小時的
[04:18] 看盤跟下單之後
[04:19] 然後再乖乖的回去睡覺
[04:20] 然後睡到快天亮的時候
[04:22] 就差不多
[04:23] 就完成了整個睡眠的週期
[04:25] 所以變成睡兩次
[04:26] 然後中間會有一個
[04:28] 就是差不多兩三個小時的時間
[04:31] 會起來看盤
[04:32] 維持這樣的一個作息
[04:34] 已經好幾天
[04:34] 只有第一天不是
[04:35] 因為第一天
[04:36] 小朋友的時差還沒有調過來
[04:38] 所以他媽的
[04:38] 他們三四點就給我起床
[04:40] 然後在我旁邊看身影少女
[04:42] 那我就當然就是醒著就看盤嘛
[04:44] 那到接下來幾天呢都非常順
[04:46] 反正就小朋友在睡覺
[04:47] 那我就是半夜起來
[04:49] 把筆電或者手機拿起來
[04:50] 稍微再看一下之後呢
[04:52] 那差不多然後再回去睡覺
[04:54] 那也因為可能在過去幾天的行情非常好啦
[04:56] 所以我就覺得說
[04:57] 有做到這一段呢
[04:59] 心情非常的舒爽
[05:00] 真的覺得心情超好
[05:02] 那所以有時候我覺得可能也是
[05:04] 自己的態度會決定
[05:05] 你到底感受你的日常是怎麼樣
[05:08] 因為這次的態度就是覺得說
[05:10] 反正我已經是放寬心了
[05:12] 沒有做到就算了
[05:13] 非常隨緣的一個態度
[05:14] 那之前可能是會覺得說
[05:16] 好麻煩
[05:17] 就我還有很多事要做
[05:18] 為什麼我要回孃家
[05:19] 雖然我知道這個是
[05:20] 每個老公本來就該做的事情
[05:21] 可是就心中還是會有一些埋怨
[05:24] 然後同時在那邊害怕說
[05:25] 到那邊會生病會怎麼樣
[05:27] 那這次呢
[05:28] 因為就是完全都沒有遇到
[05:29] 這樣的事情
[05:30] 心情輕鬆
[05:30] 所以反而做很多事情就很順
[05:32] 順到我自己都不知道
[05:34] 到底會不會怎麼發生這種事情
[05:35] 反正總之
[05:36] 目前下來是覺得這個體驗是很好
[05:39] 那小舅子跟小姨子
[05:41] 他們也挑了幾天請假
[05:42] 我們就帶他去旁邊的餐廳吃一吃
[05:44] 吃我之前跟大家推薦的一個叫
[05:46] Aipiani的
[05:47] A-I-P-I-A-N-I
[05:49] 這家餐廳就在我們家附近
[05:51] 那我真的覺得是超級好吃的餐廳
[05:53] 他有很多的生食
[05:54] 其實我就是很喜歡吃生食
[05:56] 那他們這邊的生食
[05:57] 可能要稍微小心一點
[05:59] 但這一家的生食
[06:00] 我覺得是沒有問題
[06:01] 所以包含他的什麼生蝦
[06:02] 或者是那卡帕奇
[06:03] 就是把魚片成很薄的樣態
[06:06] 然後把它鋪在盤子上之後
[06:07] 稍微淋一點橄欖油跟撒一點鹽巴
[06:10] 非常好吃
[06:11] 各式各樣的料理都很讚
[06:13] 我已經連續二刷
[06:14] 就連續兩天都跑去
[06:16] 我岳母就說我神經病
[06:17] 她說這邊的餐廳沒有人每天吃的
[06:19] 我說我們在臺灣就幾乎每天都外食
[06:21] 她說這邊就是隻有那種特殊的節慶
[06:23] 或是要幹嘛
[06:24] 要慶祝才會去那邊吃東西
[06:25] 她說我們這樣超像有病的
[06:27] 所以不知道
[06:28] 反正我會覺得很開心
[06:29] 這個餐廳也真的很讚
[06:31] 建議跟大家推薦
[06:32] 那之後如果又想到一些不錯的東西
[06:34] 再來跟大家介紹
[06:34] 那上次很好笑
[06:35] 就是我跟大家分享說
[06:36] 因為Luca跟我的岳母
[06:39] 他們好像已經不是朋友了
[06:40] 所以我因為這樣子
[06:41] 有機會就不會再跟他們見面
[06:43] 然後就馬上有聽眾就跟我講說
[06:44] 你就成年人了
[06:45] 成年人你幹嘛管
[06:46] 說你岳母跟他們感覺是怎麼樣
[06:48] 不是啊
[06:48] 還是要在意一下
[06:49] 因為那個畢竟是岳母介紹
[06:51] 那我回來又是住岳母家
[06:52] 如果說我在什麼羅馬
[06:54] 是自己的房子的話
[06:55] 那當然是沒差
[06:56] 可是我就住岳母家
[06:57] 所以就還是會考量一下他的感受
[07:00] 但最後面
[07:00] 因為我老婆有跟我岳母講一下
[07:02] 就說Siri在臺灣是蠻受歡迎的
[07:05] 很多人都知道她
[07:06] 大家都期待她的食譜
[07:07] 然後岳母就講說
[07:08] 其實她跟他們沒有吵架
[07:10] 就只是一段時間沒有聯絡了
[07:11] 因為她覺得人家太吵
[07:13] 所以她就是刻意不聯絡
[07:14] 但並沒有說什麼有局列之類的
[07:17] 所以她就跟我講說
[07:18] 還是OK的
[07:19] 等我從西班牙回來之後
[07:20] 她先稍微休養一下
[07:21] 她做好心理準備之後
[07:22] 然後我一樣可以找Siri跟Luca來家裡
[07:25] 再看怎麼樣
[07:26] 當然我自己可能也會約Luca出去
[07:28] 但是我自己帶了清酒來
[07:30] 那我就問我們
[07:30] 因為我們講說
[07:31] 這邊有沒有像臺灣一樣
[07:32] 就是你可能付開評費之後
[07:34] 可以開自己酒
[07:34] 他說比較沒有這樣子的東西
[07:36] 就基本上你去店裡面
[07:38] 就是要喝人家的酒
[07:38] 你不可以開自己的酒
[07:39] 因為你這樣等於破壞人家的生意
[07:41] 那所以呢
[07:42] 我就想說
[07:42] 那我們還是要分享一下清酒
[07:44] 那隻好約來家裡
[07:45] 不然如果說
[07:45] 只是要去外面隨便亂吃的話
[07:47] 那我自己就還是可以約Luca
[07:48] 所以呢
[07:49] 就是有機會
[07:49] 還是可以幫大家更新食譜
[07:51] 因為這個是蠻多人
[07:53] 敲碗等待的東西
[07:54] 那我們再看
[07:55] Cereal什麼新的東西
[07:56] 可以變出來給大家
[08:00] 最近的一些生活上的小點滴
[08:03] 雖然很多時候我在想說
[08:04] 我分享這些東西
[08:05] 真的像是流水仗一樣
[08:06] 但蠻多聽眾
[08:07] 他們其實也蠻喜歡
[08:08] 我跟大家分享生活中的一些東西
[08:10] 所以就稍微跟大家聊一下
[08:11] 那一樣就是大家問你是不喜歡的
[08:13] 或是那種非常不知道
[08:14] 就是我們這邊有很多那種工作狂熱者
[08:17] 他們覺得說
[08:17] 我聽節目就是要聽韓清亮
[08:19] 我就要聽你講什麼
[08:20] 然後像之前去臺通那邊
[08:22] 就有很多人說什麼
[08:22] 那三個訪問的太吵了或什麼的
[08:25] 我只能夠說
[08:26] 就還是給大家一個概念
[08:27] 我就當然
[08:28] 我尊重在每個階段不同的大家
[08:31] 可是像我自己的觀察
[08:33] 我就是真的做的比較好的
[08:36] 蠻厲害的
[08:36] 他們其實很多時候
[08:37] 都是在聊生活跟家庭
[08:39] 或許你要去fake it till you make it
[08:41] 你要去了解一下
[08:42] 為什麼人家的生活會是這樣
[08:44] 他也不是說什麼
[08:45] 一定是完全就是
[08:46] 富足或者說很OK之後才變這樣
[08:48] 他可能一直都是比較chill
[08:50] 所以他可能在工作
[08:51] 也可以很chill
[08:51] 做得很好
[08:52] 然後那些就是過度的聚焦
[08:54] 在自己工作
[08:55] 或是聽人家講話說
[08:56] 你不要跟我講廢話
[08:57] 我只要聽重點
[08:58] 這樣子的人可能有時候會變成
[09:00] 怎麼說就很像說overshoot
[09:02] 就是當然你要去獲取很多資訊是很好
[09:04] 只是你過度的想要獲取資訊
[09:07] 這其實變雜訊
[09:08] 因為剛好最近也跟朋友在群組聊到
[09:10] 就他有聊到說
[09:11] 因為現在很多的投資公司都開啟
[09:14] 然後大家都在搶人
[09:15] 那有些投資公司就屬於說
[09:17] 他們每天都有很多資訊要處理的
[09:18] 然後就變成說就很多雜訊
[09:20] 一下子怎麼砍單一下子加單
[09:22] 你就整天在那邊什麼洗刷
[09:24] 然後最後發現你可能整個波段
[09:26] 明明300%你只吃到20%
[09:27] 那有些投資公司呢
[09:29] 可能他的風格就偏向是
[09:30] 就找大家來泡茶
[09:31] 喝喝聊天
[09:32] 然後大家其實不太在意
[09:33] 短線的雜訊
[09:34] 就他們績效可能是更好的
[09:35] 所以呢
[09:36] 有時候就這樣
[09:36] 就是我覺得
[09:37] 大家放緩行
[09:38] 反正這就是一個節目
[09:39] 就什麼可能都會聊到
[09:40] 那如果
[09:41] 你有些東西可能
[09:42] 比較不喜歡的
[09:43] 你想要著重聽什麼
[09:44] 當然歡迎去聽
[09:45] 只是就是各種環節段
[09:47] 就跟大家稍微分享一下
[09:48] 大概這樣
[09:48] 好那這個禮拜
[09:49] 盤面的狀況都還是非常好了
[09:51] 那以我自己的體感來講
[09:52] 從開年至今呢
[09:53] 美股的表現是顯著劣於臺股
[09:55] 那其實我們去從這個指數的表現
[09:58] 也可以可見一斑
[09:59] 因為臺股的指數表現
[10:00] 整體都是比較好一點
[10:02] 那我自己的體感方面
[10:03] 也是覺得說臺股是好做非常多
[10:05] 那特別是像現在市場的廣度開啟之後
[10:08] 那相信大家應該非常的有感覺
[10:10] 有一些過去躺在地上的消費性
[10:13] 網通都開始動了
[10:14] 那甚至像是聯發科
[10:16] 大家過去一直嫌棄
[10:17] 他說媽的感覺停在原地
[10:19] 不會動好久
[10:19] 直接給你一個漲停
[10:21] Surprise Motherfucker
[10:22] 所以就是一個最好的宣誓
[10:23] 就是過去沒有漲到的東西
[10:25] 現在都全面的動起來
[10:27] 所以對於大家來講
[10:28] 我覺得是各種的好訊息
[10:30] 就是可能以前只有少部分的人
[10:32] 可以在市場裡面賺到錢
[10:33] 現在應該就是有感的
[10:35] 大家都可以在市場裡面賺到錢
[10:36] 但老實說就是以現在的這種漲幅
[10:38] 還是覺得非常恐怖
[10:39] 好像印象中
[10:40] 在我自己的投資的生涯裡面
[10:42] 沒有看過這麼屌炮的一月
[10:44] 我覺得這真的非常的嚇人
[10:45] 也會開始有一點擔心
[10:47] 像這邊朋友講的
[10:48] 會不會所有的績效都做在一月或是一Q
[10:50] 然後接下來二Q或是之後
[10:52] 可能就沒有行情了
[10:53] 反正不管了
[10:54] 對我們來講就是
[10:55] 可以搶錢的時候儘量搶
[10:56] 如果說今天行情不好的時候
[10:58] 那就是好好的做好防守
[10:59] 所以反正就是去見招猜招
[11:01] 沒有人知道說
[11:02] 後面發什麼樣的牌
[11:03] 我們就先從最近的一些市場事件
[11:07] 來聊起
[11:07] 首先市場下面熱度最高的
[11:10] 現在絕對是衛星相關的股票
[11:12] 在美國的話
[11:13] 大家都非常期待
[11:14] Tesla有可能後面會變成是一個
[11:16] 去持有SpaceX的一個主體
[11:19] 或者說
[11:20] 就是後面會有SpaceX的上市
[11:22] 那當然相關的一些股票
[11:23] 像美國一些衛星通訊
[11:24] 什麼ASTS
[11:25] 其實在最近的表現都非常好
[11:27] 那ASTS的其中一個下單的物件
[11:30] 就是臺灣的供應鏈的
[11:32] 聖達克已經去摸1000塊了
[11:34] 真的很難想象
[11:35] 以前我記得聖達克是
[11:36] 就幾百塊的股票
[11:37] 然後那200 200 300左右
[11:38] 那一直在這附近徘徊
[11:40] 感覺蠻久了
[11:41] 可是一瞬間一看
[11:42] 它已經是上了1000塊
[11:43] 那這個其實我覺得是
[11:44] 也算是可以預期
[11:46] 但自己沒有做到
[11:47] 這隻能夠說有點可惜
[11:48] 因為我們其實有在
[11:49] 沙令的一個BOM表裡面
[11:52] 有注意到說
[11:52] 其實森達科扮演了一個非常重要的角色
[11:54] 確實它的衛星佔比的比例也很高
[11:57] 可能有接近70%是低軌衛星的一個營收
[12:00] 所以它衝第一棒覺得非常的合理
[12:02] 最近其他東西也跟著上來了
[12:04] 像是華通
[12:05] 華通的話
[12:05] 它其實最主要是聚焦在地面板的部分是比較多
[12:09] 天上板的話
[12:10] 就我們理解後面也會有所斬獲
[12:12] 目前在整個公司的營收方面
[12:14] 大概是一個20%左右的一個營收佔比
[12:18] 近期有一個小黑馬跑出來
[12:20] 就是奇蹟
[12:21] 奇蹟我們大概在兩三年前就跟大家聊到
[12:24] 他是Starlink Router的一個Soul Supplier就只有他在提供只是是Router在後面會有新的玩家加入也就是FII但是我覺得這個新的玩家加入它有點類似當然我不確定我這樣的舉例是不是很精準
[12:36] 但我大概讓大家理解
[12:37] 就像之前揮達的Empire系列
[12:40] 然後後來到Hopper
[12:41] 那也是額外多了很多的玩家
[12:43] 最早可能只有像偽創就陪他打板子練功
[12:45] 那後面鴻海集團的加入
[12:47] 其實整體市場是變大
[12:48] 所以也不會因為說什麼有新的玩家加入
[12:50] 那就導致說舊的玩家的訂單被分掉
[12:52] 雖然他以前是Soul Supplier
[12:54] 然後後面變成是Duo Supplier
[12:55] 但還是代表說
[12:56] 就是這個市場可能是越來越好
[12:58] 所以他們需要去找更多的
[13:00] 這個供應鏈的量能
[13:02] 那也呼應到我們在過去幾集
[13:03] 有跟大家聊到說
[13:04] 因為SpaceX後面是要去尋求上市
[13:07] 不管是他自己上市
[13:08] 或者說他依附Tesla去做上市
[13:11] 那他都需要去
[13:12] 把他賬上的成績弄得好看一點
[13:14] 所以有一個說法是這樣說的
[13:16] 就是因為他們目前有很多的產能
[13:18] 是在美西
[13:18] 那因為在美西這邊去做打板
[13:21] 跟相關的生產
[13:22] 他的成本一定是會高很多
[13:23] 所以他希望去把產能拉到海外去
[13:25] 那這樣子讓他的財報數字變得更漂亮
[13:28] 所以會擴大外包的一個訂單數量
[13:30] 那就我們目前在供應鏈的考察
[13:32] 確實有看到
[13:33] Starlink在今年會放出非常大的量
[13:35] 是達到很嚇人很靠北那一種
[13:37] 那相關的數字
[13:38] 我們就不在節目去做過多的一個揭露
[13:41] 但大家後面一定是會看到
[13:42] 他們開出一個非常恐怖的數字
[13:44] 那當然他這樣去做這個數字
[13:46] 是代表說地軌衛星要正式的起飛
[13:48] 還是說他是為了IPO的作戰
[13:50] 那如果是前者的話
[13:51] 那可能代表說
[13:52] 我們再之後也可以看到
[13:54] 不管是Amazon的Cyber System
[13:56] 他們現在已經把它並回去
[13:57] 它的本體裡面了
[13:58] 然後或者說其他的Player
[14:00] 或像是ASTS這樣子的一些公司
[14:02] 也有可能會去加大這個量能
[14:04] 那就可以注意到
[14:05] 可能有更多的訂單出來
[14:06] 那這我們就再稍微觀察一下
[14:07] 當然也不排除
[14:08] 有可能只是為了IPO
[14:10] 所以先趕快的去
[14:11] 把一些數字做起來
[14:13] 這個是大家自己要稍微注意一下的
[14:15] 那這邊提供一個小訣竅
[14:17] 因為在馬斯克的公司
[14:19] 他是非常嚴格的想要去推動NCNT
[14:22] 就是non-China non-Taiwan
[14:24] 它只有那種essential的東西
[14:25] 就像說像金人代工
[14:26] 那個一定
[14:27] 有些是要由臺灣這邊去教的
[14:29] 那沒有辦法
[14:30] 它就是讓你做
[14:30] 那可是其他東西呢
[14:32] 其實他們是非常大力的在推動
[14:34] non-China
[14:35] 就是說不要中國也不要臺灣
[14:36] 因為他就是覺得說
[14:37] 臺海可能會有一些問題
[14:38] 那這個我們也跟大家聊過
[14:40] 大概超過一年以上了
[14:41] 反正就是馬斯克的一個
[14:43] 中心指導原則
[14:44] 如果有在他的公司上班
[14:46] 有管到供應鏈的朋友
[14:47] 應該都可以知道
[14:48] 我在跟大家講的這件事情
[14:50] 那外面的人
[14:51] 可能要聽我節目講的時候
[14:52] 才會比較明白
[14:53] 但你可以從他的一些對話裡面
[14:55] 感覺得到
[14:56] 他一直有覺得說
[14:57] 臺海可能是會有問題的地方
[14:58] 那所以呢
[14:59] 就我理解啦
[15:00] 就是目前他有蠻多的工廠
[15:02] 是在越南這邊
[15:03] 這邊講的工廠
[15:04] 不是說他自己的工廠
[15:06] 是說他委外代工的
[15:07] 很多是從越南這邊出貨
[15:08] 所以呢
[15:09] 哪一個supply chain
[15:10] 如果下次跟你講說
[15:11] 他要去賺馬斯克的錢
[15:13] 那你稍微看一下
[15:14] 他的工廠如果都在臺灣的話
[15:15] 那可能就是有一點問題
[15:17] 如果他的工廠是在東南亞的話
[15:19] 那機會就比較高一點
[15:21] 因為這個是馬斯克目前
[15:22] 他們推動他們公司的一個重大程序
[15:24] 就是non-China跟non-Taiwan的supply chain
[15:26] 所以這可以稍微觀察一下
[15:28] 也可以去注意一下
[15:29] 臺灣這些衛星概念股
[15:31] 誰在可能越南或是東南亞的一些據點
[15:33] 或是海外的據點
[15:34] 然後去擴增很大的產能
[15:37] 那就有可能是在客戶的要求之下
[15:40] 也就是Starlink或是說馬斯克相關的公司
[15:42] 的要求之下
[15:43] 他必須去做出的一個投資
[15:44] 這個就可以去當成是一個
[15:46] 像是他的營業業績的前瞻
[15:49] 如果你有看到這樣子的投資
[15:50] 那代表可能後面有更多的細要發生的
[15:52] 那接下來稍微聊一下
[15:54] 力基電的一個產能調整
[15:56] 就我們理解他們現在開始
[15:57] 有在他的產品組合上面去做一些調整
[16:00] 那希望後面可以多收一點AI的訂單
[16:02] 那他們最近就是處分掉了他的通羅廠
[16:04] 那物件是美光
[16:05] 那目前這個有兩派說法
[16:08] 一派說法就是說
[16:09] 反正就是乾淨的把它切割掉
[16:11] 那另外一派說法呢
[16:13] 是說可能會有一些授權的狀況產生
[16:14] 所以他可能可以幫美光去生產一些DRAM
[16:17] 所以在D-RAM之後的
[16:18] 大概2026下半
[16:21] 應該我覺得2027
[16:22] 我覺得後面可能在美光這邊
[16:23] 它D-RAM的產能會跑出來
[16:25] 有可能就可以協助去緩解一下
[16:27] 目前記憶體的一個
[16:29] 缺貨跟漲價的一個情形
[16:31] 但這個速度不會是非常快
[16:33] 那力基電的本體
[16:34] 賣掉廠房都想說
[16:35] 那你要怎麼辦
[16:36] 就是你們那種晶圓代工廠
[16:38] 你們不是最著重的
[16:39] 就是要有生產器具嗎
[16:40] 要有生產空間
[16:42] 現在大家都在搶這個
[16:42] 就你竟然把你的
[16:43] 像是金雞母會產蛋的東西給賣掉
[16:46] 那你到底該怎麼辦
[16:47] 就我們理解他們家會把一些產能
[16:49] 可能會調到竹南這邊去
[16:51] 因為他有幫像愛卜去代工
[16:53] 他的IPC跟IPD相關的一個業務
[16:55] 然後或者是WebFundWeber的一個堆疊
[16:58] 以前這些比較那種先進製造的產能
[17:01] 是著重在通螺這一邊
[17:03] 然後現在因為通螺廠已經被除分掉了
[17:06] 所以他會往竹南
[17:07] 就是往新竹的方去
[17:08] 竹南其實是我們苗栗
[17:09] 反正就是往其他廠房去跑
[17:11] 我們再來看後續的產能調整是怎麼樣
[17:14] 只是在過渡的期間
[17:16] 有些東西可能有機會
[17:18] 就會出現營收的地眼
[17:19] 因為過去是可以非常順利的生產
[17:22] 因為產能都已經是驗證好的
[17:24] 現在你突然間要換到別的地方
[17:26] 應該是要去做一個重新的驗證
[17:28] 所以有機會有些地眼的狀況產生
[17:30] 但以整個集團來講
[17:32] 按照他們目前開始去挑客戶
[17:34] 去挑品項
[17:34] 要去把整個portfolio做好的一個狀況之下
[17:39] 其實我覺得後面的表現
[17:41] 應該也都是會不錯
[17:42] 記憶體方面還是持續維持在一個漲價的情形
[17:45] 那現在我們是開始已經準備去聚焦說
[17:48] 下一個Q到底不管是美光或是三星
[17:51] 他們要怎麼樣去做漲價
[17:52] 那最近有一些小作文跑出來
[17:54] 那小作文被證實是假的
[17:56] 就是有些人自己去搞了一個漲價信
[17:58] 那個比較莫名其妙一點
[17:59] 因為實際上漲價的訊息
[18:02] 大概是要等到下個禮拜之後才會出來
[18:04] 那沒有意外的話就是會繼續的去做漲價
[18:07] 所以就是記憶體還是在一個非常缺
[18:09] 然後在漲價的一個狀況之下
[18:10] 那最近開始因為有一些朋友會截圖給我看
[18:13] 就是社群上有人說什麼
[18:14] 記憶體因為像最近有出一些跌停
[18:17] 大家可能嚇到
[18:18] 有些人可能就熬過去了
[18:20] 熬過去之後就發文就說
[18:21] 要相信孟公
[18:22] 因為孟公講什麼
[18:23] 我還是得講這個記憶體的東西
[18:25] 天地良心
[18:26] 我們也不是要去show off
[18:28] 什麼不做這樣的事情
[18:29] 可是真的是從可能八九月
[18:31] 或甚至更早就一路開始
[18:32] 跟大家講說
[18:33] 可能會可以預見的
[18:34] 包含說像是AI的算力的需求
[18:37] 或者說儲存的需求
[18:38] 會導致他有一個供需適能的狀態
[18:41] 所以其實是蠻長一段時間
[18:42] 雖然我自己也不是說
[18:44] 所有東西都有報到現在
[18:45] 還是有像美光
[18:46] 或者說臺系的一些
[18:47] NAND相關業者
[18:48] 是我自己手上
[18:49] 有在繼續持股
[18:50] 可是呢
[18:50] 我覺得好
[18:51] 但是一回事
[18:52] 大家還是要去謹記一件事
[18:54] 就算一下
[18:55] 可能這些記憶體的業者
[18:56] 都告訴你說
[18:56] 這是不一樣
[18:57] 我們當然也希望這是不一樣
[18:59] 因為我自己是會屬於
[19:00] 那種想要看到奇蹟發生的人
[19:01] 可是按照慣例
[19:03] 像之前的海運股
[19:04] 或像之前的DDIC
[19:05] 每次跟你講說這是不一樣
[19:06] 然後最後面就發現說
[19:07] 每次都一樣
[19:08] 或是像之前的被動元件
[19:10] 大家都可以去考察一下
[19:11] 被動元件
[19:11] DDIC
[19:12] 或是海運股
[19:14] 他們可能在業績高峰的時候
[19:16] 或是股價高峰的時候
[19:17] 你可以去查一下
[19:17] 當時的法說會的一些說法
[19:19] 或是他們對外的一些表態
[19:21] 或是說當時分析師
[19:22] 怎麼樣上修他的目標價
[19:23] 有時候就是說
[19:24] 你可以去把歷史當成自己民進
[19:27] 就是你可以去印證一下說
[19:28] 現在是不是跟當時的情景
[19:31] 是有點像的
[19:31] 但我們也希望說
[19:32] 這是真的跟以前不一樣
[19:33] 可是要記得
[19:34] 如果說最後面證明說
[19:36] 哪次不一樣
[19:38] 每次都不一樣
[19:38] 我自己也是傾向投票這個
[19:40] 雖然我心中想看到奇蹟
[19:41] 到投票這一個
[19:42] 那你就知道說
[19:43] 那個營收開在高峰的時候
