[00:00] 欢迎收听谷爱,我是孙梦宫,本期节目由Raychen正级坐垫EX赞助
[02:30] 我不知道到底发生什么事情
[02:31] 那目前已经走到了最高剂量
[02:34] 体重其实已经差不多到自己要的地方
[02:36] 所以随时可以把它停掉
[02:37] 我心中想的是
[02:38] 我想要把那张脂肪稍微降一点点
[02:40] 那就可以去结束这个瘦瘦增脂率
[02:43] 那也因为达到了10毫克
[02:46] 那所以就变成说我们在冰箱
[02:47] 因为那个数字是跳很快
[02:49] 有些我可能只打一两剂
[02:50] 就直接往上跳
[02:51] 所以我们有一堆残迹在那边
[02:52] 那之前我不知道的时候
[02:54] 那个残迹我就拿来丢掉
[02:55] 然后后来听院长讲来知道
[02:57] 反正就是我们有一个医美院长邻居
[02:59] 他跟我讲说
[03:00] 你那个收入针
[03:01] 它是一剂可以打四次
[03:02] 那四次打完之后
[03:04] 它会有一些残迹在里面
[03:05] 那都是钱啊
[03:06] 你不要丢掉
[03:07] 我想说那不然送你
[03:08] 他说可是我不知道
[03:08] 你有没有病之类的
[03:10] 你这个东西给我
[03:10] 我也很害怕
[03:11] 你要自己把它打完
[03:12] 所以他就给我几个针
[03:15] 然后就跟我讲说
[03:16] 你可以去把裡面的那個針劑抽出來
[03:18] 因為你有好幾管嘛
[03:19] 你抽出來之後
[03:19] 你就可以把它抽成是你要的劑量
[03:21] 然後打到自己的身上
[03:22] 那我就大概就知道
[03:23] 他有講過這件事情
[03:24] 然後昨天就突然間
[03:25] 突發奇想想說
[03:26] 好我要來做這件事情
[03:27] 我就把我前面的殘劑
[03:29] 那也沒有說真的放很久
[03:30] 大概就一兩個月內吧
[03:31] 然後就把那個東西抽抽抽抽抽
[03:33] 那有一下打10毫克
[03:34] 我想說10毫克應該就1cc吧
[03:36] 那所以我就把它抽到1
[03:38] 然後就打
[03:38] 然後打的時候還遇到一些障礙
[03:40] 想說奇怪
[03:41] 這個針也他媽太粗了吧
[03:42] 它已經是抵著我的肉
[03:43] 那個肉都已經被戳進去了
[03:45] 然后还是没有办法进去
[03:46] 我想说这沙小
[03:47] 于是我就是妈呀
[03:49] 牙一咬想说你有多硬啊
[03:50] 我就直接把它插进去打完
[03:52] 打完快乐的跑到床上躺平
[03:54] 躺大概三分钟
[03:55] 突然间也不是说身体不舒服
[03:58] 就是一个直觉
[03:59] 我刚才可能做错事情了
[04:00] 就突然这样子
[04:01] 我那时候一开始Osempi打错的时候
[04:03] 我会有这个直觉
[04:04] 那时候我就立刻跳起来
[04:05] 然后去冰箱把盒子拿开来看
[04:07] 然后就发现盒子里面是直接就告诉你说
[04:10] 反正总之你要打史奥克的话是0.6cc
[04:14] 那我刚刚打了1cc
[04:16] 我到底他妈打了多少
[04:17] 是不是又一次
[04:18] 我又OD了
[04:18] 所以我就很紧张
[04:19] 就立刻密
[04:20] 楼下的这个医美院长
[04:22] 就说
[04:22] 我是不是又做错事情了
[04:24] 就把流程跟他讲
[04:25] 他就说
[04:25] 你打的量
[04:26] 其实也没有到很多啊
[04:28] 就是16.6毫克啦
[04:30] 这样算起来
[04:30] 那如果说你明天
[04:31] 有不舒服的话呢
[04:32] 那我再去诊所
[04:34] 去拿那个止吐药给你
[04:35] 或者说假设
[04:35] 你要掉点滴的话
[04:36] 你再跟我讲
[04:37] 然后我就很紧张
[04:38] 傻小干
[04:39] 会不会出大事啊
[04:40] 我现在要不要去急诊之类的
[04:42] 然后他就开始在那边
[04:43] 哈哈哈哈
[04:43] 我不知道
[04:44] 我后来觉得有些医生反社会
[04:45] 就是他可以看到一堆血
[04:47] 或是一些什么抽脂出来的脂肪
[04:49] 什么的
[04:49] 你如果是一般人
[04:51] 你应该是没有办法办到
[04:52] 所以我觉得可能有蛮多医师
[04:53] 他是隐藏杀人犯罪
[04:55] 也就不是说他真的会杀人
[04:56] 我意思是说
[04:56] 他们可能跟那些
[04:57] 反正可以看到血跟肉的那些人
[05:00] 某个程度上是有一些是共同的地方
[05:02] 他给我在那边哈哈
[05:03] 我完全笑不出来
[05:05] 我就说我现在该怎么办
[05:06] 他说其实也还好啦
[05:07] 可能最多就是你接下来的几天
[05:09] 你会反胃
[05:11] 会吃不下东西
[05:12] 或什么的
[05:13] 真的不舒服的話
[05:14] 我再幫你看怎麼樣處理
[05:15] 結果我摩斯汗寶直接全部吃完
[05:17] 所以我看起來瘦肉症好像真的是為我設計的藥
[05:20] 因為我打下去
[05:21] 我真的是沒有什麼太多體感上的感受
[05:23] 可是這邊也算是要呼籲大家
[05:25] 因為像我自己就是從小不看說明書
[05:27] 甚至我會覺得說不看說明書是一個很酷的事情
[05:29] 經歷過這些事情之後
[05:31] 我覺得是因為剛好我的身體是對這個藥很適應
[05:34] 不然其實可能我第一次
[05:35] 一次直上最高劑量搞不好就爆炸了
[05:38] 因為像有些朋友他們打那種超低劑量
[05:40] 什麼酒喝一口就跑去吐
[05:42] 聞到有油的味道就跑去吐
[05:44] 那你想他如果直接打到最高劑量
[05:45] 應該是直接往生了吧
[05:47] 怎麼急性胰臟炎之類的
[05:48] 所以就自己可能剛好身體是相對
[05:51] 幸運是適應的
[05:52] 所以這樣子去雷他也不會有狀況
[05:54] 但我覺得老天給我兩次機會
[05:56] 一次機會就是
[05:57] 前面我身體直上最高劑量
[05:59] 第二次就是自己去抽出來打的時候
[06:01] 然後意外的達到一個屌高的劑量
[06:04] 就是你市售買不到這麼高的劑量
[06:06] 然後外加針還沒有先換細的
[06:08] 用最粗的那種抽斜的針直接插自己
[06:11] 对自己够狠
[06:12] 那这其实不是一个太好的事情
[06:14] 在这边也算是要呼吁一下大家
[06:17] 因为也算是对自己的提醒
[06:18] 就是我觉得说明书是要看的
[06:21] 因为最后面发现说
[06:21] 你看说明书你不会少一块肉
[06:23] 你只是稍微的花一点时间
[06:24] 你可以避免一些不必要的麻烦
[06:26] 不要硬推
[06:27] 不要硬干
[06:28] 因为如果说真的有朝一日
[06:30] 你刚好不是打到这种
[06:31] 对身体是友善的药
[06:32] 是那一种
[06:33] 你可能抗药性会蛮明显的
[06:35] 那就会出问题
[06:36] 这边也算是给自己的一个提醒
[06:38] 也提醒大家好好的去读说明书
[06:40] 大概这样
[06:41] 那再就是我們上集有聊到關於玻璃心的一些討論
[06:44] 那就有蠻多聽眾來喊
[06:46] 那我這邊再稍微的去做一下補充
[06:48] 就我覺得這個對大家應該會有一點幫助
[06:51] 那上集我是有提到說你要學會去Mute掉一些人
[06:53] 這個Mute不只是說你可能在Line上面去封鎖他
[06:57] 封鎖的時候可能太嚴重
[06:58] 就是說把他那個聲音關掉不要讓他跳通知出來
[07:01] 那再來就是有些你覺得不該見到的朋友或甚至是家人
[07:05] 你知道說你每次見到他
[07:06] 他一定不會給你正向的回饋
[07:08] 他一定是就算他是愛你的
[07:10] 但是这个爱太沉重了
[07:11] 不好意思我就不收了
[07:12] 就是你不要每次看到我
[07:13] 就是你哪里可以做得更好
[07:15] 或啥小的
[07:15] 就是这个对我们来讲
[07:16] 有时候真的是太多了
[07:18] 所以你选择去把这些人的声音给关掉
[07:21] 那你把他的声音关掉之后
[07:22] 你会发现你的生活会过得更好
[07:25] 就是说你要让你自己的生活之中
[07:27] 可能围绕一些比较正向的人
[07:29] 那当然这不是在讲说
[07:31] 我们要让自己的身边都是弄成
[07:33] 然后今天你妈长得像一条狗
[07:34] 然后他还说你好帅
[07:36] 今天让我头发超难看
[07:37] 这个就叫做个性
[07:38] 这样可能久而久之也不好
[07:40] 会膨胀会飘掉
[07:41] 那我们意思说
[07:42] 就是你这样不要去抓极端
[07:44] 就是你稍微的折衷一点点
[07:46] 你要知道说
[07:47] 那些给你很富项的回馈的人
[07:50] 这是我们不需要的
[07:51] 那些过于奉承的人
[07:53] 那可能也是你不需要的
[07:54] 那你就挑自己可能喜欢的这些人
[07:56] 去稍微的聆听他们的声音就好
[07:58] 那把自己的注意力
[08:00] 视为是一个非常重要的资产
[08:01] 你要知道Meta
[08:02] Google他们都想要去买这个东西
[08:04] 所以这个东西值钱的
[08:06] 你千万不要把注意力
[08:07] 放在一些不值得的人身上
[08:09] 这其实非常重要
[08:10] 甚至是到后来
[08:12] 我也是非常推崇
[08:13] 就像说像在YT
[08:14] 或在脸书上面
[08:15] 有时候看到一些白痴的人
[08:16] 我就直接封锁掉
[08:17] 以前我又去跟你吵架
[08:19] 然后甚至我就故意去逗你
[08:20] 就故意去嘴你
[08:21] 然后我也觉得很好笑
[08:22] 可是后来发现说不对
[08:23] 这个都是在挥霍自己的注意力
[08:25] 因为这些人
[08:26] 你一辈子基本上碰不到的
[08:28] 就算是碰得到的
[08:29] 刚刚我发现你是白痴
[08:30] 把你过滤掉也刚好
[08:31] 所以你只要发现这个人是个蠢蛋
[08:33] 你就是直接把他封锁掉就好
[08:35] 因为你每天都会遇到这样子的人
[08:36] 或像是在上集之后
[08:38] 有一个听众视讯
[08:39] 他讲一个很有趣
[08:40] 他说马特洪峰
[08:41] 不会管谁帮他按了一星
[08:43] 他就是那个马特洪峰
[08:45] 喜欢他的就很喜欢
[08:46] 那还是会有人按他一星
[08:48] 那按一星的理由
[08:48] 可能是超级白痴
[08:49] 这个山太高
[08:50] 这个地方太冷
[08:51] 这个地方没有什么酒吧之类的
[08:53] 你不可能去在意
[08:54] 每一个笨蛋的感受
[08:55] 所以你把他们mute掉
[08:57] 就还是回到我讲的
[08:58] mute掉是非常重要的
[08:59] 那我觉得甚至会从一些
[09:01] 比较小的事情做起
[09:02] 像我们小时候都会去
[09:04] 接受一些礼貌教育
[09:05] 我觉得礼貌教育是好的
[09:06] 只是说你可能要让他
[09:07] 在某个地方
[09:08] 要有一个这个重点
[09:10] 就像说
[09:10] 像小时候你说
[09:12] 我爸会跟我讲说
[09:13] 你看到这个阿爸
[09:13] 你要叫阿爸
[09:14] 要叫叔叔
[09:15] 这个都没有问题
[09:15] 可是有时候
[09:16] 我们会被检讨的
[09:17] 像我今天可能心情不太好
[09:18] 那我看到阿爸
[09:19] 我跟他说阿爸
[09:20] 可是我可能脸是比较
[09:21] 惆怅忧郁
[09:23] 或者说难过的
[09:23] 接着我爸就会把我抓到旁边
[09:25] 说你刚刚拉面
[09:26] 可能就开始臭干你一顿之类
[09:28] 或是开始威胁说
[09:28] 你可能后面
[09:29] 哪一个东西就不给你吃
[09:31] 或者等一下就不要去拿
[09:32] 那个脸那么臭
[09:33] 那什么脸
[09:36] 我就希望你用一個禮貌的態度去面對大家
[09:40] 這個在我們長大的時候也是有些幫助
[09:41] 但在我這一代我覺得我就有去做一些修正
[09:44] 像我請我的孩子去打招呼的時候
[09:47] 那一開始我也沒有做好
[09:48] 我覺得因為我們身上就是會帶有一點爸媽帶給你的東西
[09:52] 那之後還是在我老婆提醒之下
[09:53] 我就去做一些修正
[09:54] 像我請我兒子去跟一些叔叔打招呼
[09:57] 那有時候他可能不看人家揮個手打招呼
[10:00] 這個會被我糾正
[10:01] 我說你要眼睛要看著人家
[10:03] 這個是沒有問題
[10:04] 可是有時候我會不小心做過頭
[10:05] 这个叔叔很久没看到
[10:06] 你去给他一个抱抱
[10:07] 然后我儿子有时候会去
[10:08] 有时候不去
[10:09] 不去的时候我就问他说
[10:10] 为什么你不要去给人家抱抱
[10:11] 然后我老婆就跑来问我
[10:12] 为什么他要去给人家抱抱
[10:14] 他又不认识他
[10:15] 又没有很熟
[10:15] 为什么他要给他抱抱
[10:16] 你想要去抱他
[10:17] 你自己去抱他
[10:17] 我觉得这个骂得真好
[10:19] 所以我就立刻的去懂得说
[10:21] 奇怪了
[10:21] 为什么我的儿子要去讨好一个不认识的人
[10:23] 干他屁事
[10:24] 那个是我的朋友
[10:25] 那不是他的朋友
[10:26] 他要做到只是要有礼貌就好
[10:28] 就是你要打招呼
[10:29] 你要正眼看人家
[10:30] 这是一定要做到的
[10:30] 可是不会去要求说
[10:32] 你的态度要多好
[10:33] 或什么的
[10:34] 甚至是你今天
[10:35] 可能心情不好
[10:35] 像有时候他心情不好
[10:36] 他去跟楼下的警卫看到
[10:39] 然后他只有挥个手
[10:40] 他就不看他
[10:41] 我还在跟他讲说
[10:42] 你要记得眼镜
[10:43] 还是要看每一个人
[10:45] 那只是
[10:45] 为什么你刚才不看他
[10:46] 你会跟我讲
[10:47] 那就是他就跟你讲说
[10:48] 我可能是害羞
[10:48] 我可能是难过
[10:49] 可能是什么
[10:50] 刚才我的皮卡丘
[10:51] 什么都会掉到地上
[10:52] 我心情不好
[10:52] 那我觉得这个是蛮重要的
[10:54] 就是让他知道说
[10:55] 他没有必要去讨好每一个人
[10:57] 因为如果说
[10:58] 你真的要让身边的
[10:59] 每一个人都非常的好受的话
[11:00] 你一定就是最难受的那个人
[11:03] 因为总是有些东西
[11:04] 需要被释放出来的
[11:05] 那个能量是守恒的
[11:07] 那所以在后来
[11:09] 对孩子的教育上面
[11:09] 我觉得我自己也悟到了一件事情
[11:11] 就是当我今天觉得
[11:13] 我不想跟人家讲话的时候
[11:14] 其实我就是可以
[11:15] 不用跟人家讲话的
[11:15] 我不用说什么
[11:16] 每个密我的人
[11:17] 我都要回你
[11:18] 因为我现在就是不想跟你讲话
[11:19] 或甚至我好不容易
[11:20] 决定要跟你讲话
[11:21] 结果你又在讲一些
[11:22] 很白痴的东西
[11:23] 那我就只好再继续
[11:24] 不跟你讲话
[11:24] 那维持这样子的一个做法
[11:26] 一开始你会觉得
[11:27] 我这样会不会变成
[11:28] 是一个拍到顶的人
[11:29] 或什么
[11:30] 可是最终你就会发现
[11:31] 这样子你就对自己
[11:32] 有一个完整的交代
[11:33] 而且你会过得非常的快乐
[11:34] 那这可能也可以再
[11:36] 稍微补充给那位听众
[11:37] 或是其他又遇到
[11:38] 类似问题的人
[11:39] 就是呢
[11:40] 尽可能最大程度的
[11:41] 去降低一些
[11:42] 负面的东西对你的影响
[11:44] 那不要觉得是不好意思
[11:46] 或者说可能会冒犯到别人
[11:48] 因为别人在冒犯你的时候
[11:49] 他也是完全不担心
[11:50] 那你为什么要担心说
[11:51] 你可能也会冒犯到他之类的
[11:53] 而且我们其实已经是
[11:54] 拿很多诚意来面对大家
[11:56] 那有时候呢
[11:57] 自己心里面的东西
[11:58] 还没有处理好之前
[11:59] 我没有办法
[12:00] 故弄微笑
[12:02] 自作坚强的去跟你
[12:04] 好像说我什么事情都没有
[12:06] 这个是没有办法做到的事
[12:07] 所以这个蛮重要的
[12:08] 我觉得希望大家都可以
[12:10] 在这之中获得一些想法
[12:12] 大概这样
[12:12] 接下来我们来进入节目的话题
[12:14] 昨天应该大家都跟你讲蛮忙的
[12:16] 就是要去买SpaceX的股票
[12:18] 我自己是有去做申购
[12:20] 除了申购之外
[12:21] 后来等他跑到自己市场的时候
[12:24] 也是有去做交易
[12:25] 本来讲说10点
[12:25] 后来是有delay
[12:26] 我去买的时候是160几
[12:29] 申購的時候當然就是那個申購價
[12:30] 那後面是有再買到160G
[12:32] 那我覺得接下來幾天
[12:33] 應該都會再持續的去點一點
[12:36] 有點像說去支持一個這種太空的夢想吧
[12:40] 那我們如果今天是把SpaceX公司拆開來看的話
[12:43] 它就是一個衛星公司跟火箭公司
[12:46] 然後還有AI公司
[12:47] 那其中衛星是目前它賺錢的引擎
[12:50] 那火箭的話我相信有時候還是
[12:53] 也有機會可能帶來蠻不錯的一個收益
[12:55] 只是那個夢想可能是放在相對遠的一個地方AI的話可能就是要回歸到像我們前面跟聊到的這個他如果有辦法在第一個衛星上面去放一些Data Center然後或者是
[13:07] 假設說他目前是把AI算力出租出去
[13:10] 因為他們算是打掉重練
[13:11] 那如果這個東西可以成功的
[13:12] 再重新的把它拋起來的話
[13:14] 那說不定這邊也可以帶一些收益
[13:16] 所以簡單來講就是說
[13:17] 除了衛星以外的東西呢
[13:18] 都算是一種本夢比的狀態
[13:21] 那我覺得像這樣的公司
[13:22] 你不用太認真的去算它的估值
[13:25] 刚刚我在我的脸书上
[13:26] 有写这样子一个东西
[13:27] 那这个估值的讨论呢
[13:29] 在市场上面算是一个大灾问
[13:30] 什么叫做便宜的东西
[13:32] 什么叫做合理价
[13:33] 什么又叫做太贵
[13:34] 我觉得是便宜的东西
[13:36] 你可能不觉得是便宜
[13:37] 我觉得是一个很划算的bargain
[13:38] 那你可能觉得说
[13:39] 妈你是一个臭盘子
[13:40] 据悉来说
[13:41] 我会去买一些公仔饭在家里
[13:43] 那我会去买一些游戏玩卡
[13:44] 我像现在我会去买一些红酒
[13:46] 那我买的红酒
[13:47] 可能有些是几千块
[13:48] 有些上万
[13:48] 有些上几十万
[13:49] 甚至搞不好到百万去
[13:51] 那在一些人的眼中
[13:52] 他觉得说你是一个白痴
[13:53] 因为喝酒是商社的东西
[13:55] 为什么你要去喝酒
[13:56] 可在我的角度去看你在做的事情
[13:58] 我可能也觉得你是白痴
[13:59] 所以其实一样的道理
[14:00] 后来你会发现
[14:01] 拉到投资市场也是这样子的
[14:02] 就是我们当然可以用一个
[14:04] 相对universal的语言去看
[14:06] 就像说一家公司的EPS
[14:07] 跟营收成长率
[14:08] 然后去给你一个price to sell
[14:10] 或是price to earning的ratio
[14:11] 那这个东西算是比较universal
[14:13] 就大家可以去接受说
[14:14] 那可能大概到某个地方
[14:16] 它是一个相对便宜的
[14:17] 可是你要注意到说
[14:18] 就是有两家公司
[14:19] 它可能就算有一样的财务数字
[14:21] 跟一样的成长性
[14:23] 就基本上就是identical
[14:24] 在财务上面是一样的公司
[14:26] 可是因为一个是在做
[14:28] 随便举例纺织
[14:29] 然后一个是在做卫星相关的
[14:31] 那你就注意到说
[14:32] 他们的P成数
[14:33] 可能就有一个非常大的差距
[14:35] 为什么
[14:35] 因为大家觉得卫星
[14:36] 是一个比较有梦想的东西
[14:37] 那这时候你当然可以选择
[14:39] 去买你的纺织公司
[14:40] 便宜价值股
[14:42] 那当然有些人就会选择
[14:43] 要去买那个成长股
[14:44] 相对贵
[14:45] 那可能是trade在一个超级高的地方
[14:47] 那这时候你不要以为说
[14:49] 那个便宜的会赢
[14:50] 在过去一段时间
[14:51] 其实我们注意到说
[14:51] 价值股蛮多时候
[14:52] 他是没有办法去跑赢
[14:54] 市场中的那一些成长股
[14:55] 甚至后来成长股
[14:57] 跟价值股的界限
[14:58] 我觉得有越来的越模糊
[15:00] 因为以前会有一个印象
[15:02] 是好像说成长股
[15:03] 本身就是没有价值的
[15:04] 但后来给人家发现是说
[15:06] 成长股他们很多时候
[15:07] 只是价值是放在后面
[15:09] 等到你发现
[15:09] 它是一个价值股的时候
[15:10] 它可能已经是过完
[15:12] 最标的一个阶段
[15:13] 其实拿最近的案例来讲
[15:14] 就像是记忆体股
[15:16] 记忆体股下来大家看
[15:17] 都是非常的便宜
[15:18] 可是它在起涨点的时候
[15:19] 你觉得它非常贵
[15:20] 那一样的道理就是
[15:21] 你现在可能去算一些被动元件
[15:22] 像我自己去看春天
[15:23] 我也觉得春天很贵
[15:24] 可是如果说春天
[15:25] 后来的EPS狂拉
[15:26] 它真的涨价成功
[15:27] 那种一系列的
[15:29] 什么AI的需求
[15:30] 把它推上去的话
[15:31] 到时候你看它
[15:31] 搞不好又变成一个
[15:32] PE搞不好在20倍以下的东西
[15:34] 那到时候你就觉得它便宜
[15:35] 可是你觉得它便宜的时候
[15:36] 它其实已经碰到上面去了
[15:38] 所以估值是一个
[15:39] 蛮艺术的东西
[15:40] 甚至我觉得
[15:41] 估值的重点
[15:43] 并不是在估的当下去
[15:44] 争一个对错
[15:45] 而是你估在别人的前面
[15:48] 这才是估值的重点
[15:49] 就是说
[15:49] 不管你是玩成长股
[15:50] 还是价值股
[15:51] 你要做的是
[15:52] 你买的地方
[15:53] 你知道你买进之后
[15:54] 后面还会有
[15:55] 源源不绝的人进来买
[15:56] 然后你可以出货给他们
[15:57] 你可以卖在一个更高的地方
[15:59] 那这样就是一个好的估值
[16:00] 而不是去比说
[16:01] 什么绝对数字或怎么样
[16:02] 因为你大可以在市场上
[16:03] 找到一堆
[16:04] 所谓的真的超便宜
[16:05] 直立率又高的东西
[16:06] 然后你买了
[16:07] 放
[16:08] 好安心
[16:08] 结果它连涨都不会涨
[16:10] 这个其实有很多的案例
[16:11] 所以像我不会去认为说
[16:12] SpaceX这样的公司
[16:13] 是一个卖梦
[16:14] 或是像现在网络文章
[16:15] 有很多在那边写说
[16:16] 这是一个炒作
[16:17] 这是一个本梦笔
[16:18] 这就是去赌他梦想实现
[16:19] 或什么的
[16:20] 我觉得不用去扯那么远
[16:22] 简单来讲就是说
[16:22] 会信的就是会信
[16:23] 不会信的就是不会信
[16:25] 有时候去买纺织股的
[16:26] 跟买这些太空股
[16:27] 完全是两个不一样的人
[16:29] 然后就回到我们这些边讲
[16:30] 你根本没有必要去说服对方
[16:31] 你也没有办法说服对方
[16:32] 大概这样子
[16:33] 后来在盘中也出现一个
[16:34] 有趣的现象
[16:35] 就是一些在过去
[16:36] 跟卫星火箭相关的股票
[16:42] 衛星或是通訊有關係的股票
[16:45] 其實他們都出現了一個大逃殺的狀況
[16:47] 其實像這樣子的劇本在過去也是看過幾次
[16:50] 就是等到一個本來是rumor的東西
[16:52] 然後開始實現之後
[16:54] 過去跟著題材一起上來的東西
[16:55] 蠻多就會趁機的提款
[16:57] 這個就要呼應到我們1月的節目
[16:58] 那時候跟大家聊到
[16:59] 因為那時候我是買了蠻多Starlink相關的股票
[17:02] 因為我們在供應鏈已經有看到一些變化
[17:04] 後來我自己是差不多在2、3月左右就散了
[17:07] 理論上其實我只要做到像最近這個時候
[17:10] 然後再出
[17:11] 那只是因为台股今年真的是太热闹
[17:14] 太多选项了
[17:15] 所以我就已经提早就有去动了
[17:17] 然后像日股的meco的话
[17:18] 那也因为说后来去切被动元件
[17:21] 所以就有去做一些调整
[17:22] 那也注意到meco其实也是回档一阵子
[17:25] 所以看这个就是在spacex刚上市之后的
[17:29] 一些卫星或是通讯股的表现
[17:30] 那一天是不准
[17:31] 如果说你再持续的去注意几天
[17:33] 如果它持续的软掉的话
[17:34] 那应该就是有蛮多资金会趁这个机会就要出货
[17:38] 因为你知道人家已经从前面可能已经蹲点蛮久
[17:40] 所以就趁这个机会
[17:41] 当成是一个出货的时间点
[17:44] 大概这样
[17:44] 那之后如果说SpaceX的
[17:45] 季报或怎么样
[17:47] 有什么有趣的变化
[17:48] 一样我们就在节目上面
[17:49] 跟大家分享
[17:50] 我觉得这个会
[17:51] 有一点类似说
[17:52] 像我自己去持有特斯拉一样
[17:53] 它会有一点那种
[17:54] 就是我是去相挺它
[17:56] 那我觉得这个题材
[17:57] 很酷的一个背景去做持有
[17:59] 但我的目标也是要赚钱
[18:00] 只是就是不会去针对它的估值
[18:03] 去做太多的讨论
[18:04] 就还是回到我刚才前面讲的
[18:05] 因为你大概可以在市场里面
[18:07] 去买估值便宜的东西
[18:08] 你去买看看
[18:09] 你就看会不会涨
[18:10] 很多时候估值便宜的东西不一定会涨
[18:12] 所以在我们的portfolio里面
[18:13] 有些东西可能是属于便宜的
[18:15] 那些东西是属于那种卖梦的
[18:17] 就是题材对的
[18:18] 那反正总之呢
[18:19] 就是看到此市场的表现是怎么样
[18:21] 我们再去做调整
[18:22] 如果有照一日大家都开始回头去拉一些价值股的话
[18:24] 你会注意到满手觉得变成价值股
[18:26] 就你去往那个方向去靠
[18:27] 会持续用加减码去做一些调整
[18:29] 大概这样子
[18:30] 好那接下来我们来看一下台股盘面
[18:32] 那我先大概讲一下自己的想法
[18:34] 就是我觉得行情走到这个地方
[18:36] 应该某程度上是跌完了
[18:38] 就我會認為是比較偏向是跌完了
[18:40] 除非後面有一些新的事件的產生
[18:42] 首先要先知道說像台股大跌
[18:45] 已經跑去摸跌停的那一天
[18:46] 那個算是在市場上面
[18:48] 其實並沒有什麼太多的消息出來
[18:50] 然後後來就是CPI的公布
[18:52] 其實對市場影響也是
[18:53] 你就注意到說是慢慢的限縮掉
[18:55] 那再來就是川普有威脅說
[18:57] 要去奪島作戰
[18:59] 然後後來又說我不打了或什麼的
[19:00] 你就注意到對於市場的影響
[19:02] 其實真的都是慢慢的在淡化之中
[19:04] 所以我覺得這一波有點像說
[19:06] 在掉下來的時候
[19:06] 他把所有的壞消息都一次丟出來了
[19:09] 那所以如果炸一炸
[19:10] 然後之後沒有再繼續破底的話
[19:12] 我個人就覺得說
[19:12] 可能修正就到這個地方
[19:14] 所以像我自己就是持續的
[19:15] 把籌碼推進去
[19:16] 我就是有再繼續的去做買進
[19:18] 那當然我知道在市場裡面
