[00:00] 欢迎收听骨癌,我是圣梦宫,本期节目由Dr.CYJ赞助
[03:05] 当你使用了这些AI的工具
[03:07] 去帮助你找资料分析
[03:09] 做模型判断等等的
[03:11] 可是如果你今天是用在不一样的市场
[03:14] 接下来说今天有两个我
[03:15] 刚好是我双七
[03:17] 就是我在泰国跟美股都有做
[03:18] 直接用我自己做举例
[03:20] 我把同样的东西用在台股
[03:21] 我只能够说AI让我如虎添翼
[03:23] 我找东西超容易
[03:25] 那我现在要去找一些对应的题材
[03:27] 或是我可能给他一个keyword
[03:29] 随便举例玻璃基板
[03:30] 那玻璃基板相关的股票
[03:32] 就一次帮我捞出来
[03:33] 因为我的报告
[03:33] 或者说我去同整的一些资料
[03:35] 过去有提到
[03:35] 然后去综合现在的公开资讯
[03:37] 或者说最新的
[03:38] 这些美国的科技巨头的老板们
[03:41] 讲了什么东西
[03:41] 他可以直接把我点点点呈现
[03:43] 那我立刻就找到一些题材可以做
[03:45] 那可是同样的方式
[03:46] 我用在美股呢
[03:47] 我就觉得说
[03:48] 纵然你有一个超级强大的神兵力气
[03:51] 可是近期的盘制
[03:52] 就一样是把你杀到烂掉
[03:54] 所以过去的六个月
[03:55] 你把AI用在台股
[03:56] 你就会觉得说
[03:57] 哇我真厉害
[03:58] AI真行
[03:59] 可是用在美股
[04:00] 你就会说
[04:00] 哇AI好像也没有什么用
[04:01] 因为当盘不好的时候
[04:02] 什么都没有用
[04:03] 所以在我们的工作上面
[04:04] 我们没有办法像自己身边的一些
[04:06] 软体工程师朋友
[04:07] 因为他们是可以很明确的量化出来
[04:09] 以前我去完成一个客户的case
[04:11] 可能是十天
[04:12] 那现在可能只要三天后就可以完成
[04:14] 所以我可以多接三倍的量
[04:15] 对他来讲
[04:16] AI的一个造成生产力的提升
[04:19] 就是非常明确的
[04:20] 可是在我们自己这边
[04:21] 我们可以说
[04:22] AI帮我们省下了很多时间
[04:23] 这是确定的
[04:24] 因为过去你去做这些情报的收集
[04:26] 是需要花很多时间的
[04:27] 下半期省下很多时间
[04:29] 但如果说我们今天用结果来论的话
[04:31] 其实你比较难去定义说
[04:33] 到底是因为AI强
[04:34] 还是说你很强
[04:35] 还是说是因为就是盘很强
[04:37] 因为台股市场
[04:38] 因为亚股市场很好
[04:39] 所以就是计选升天什么东西都会涨
[04:41] 所以因为说它有一个这种
[04:43] 像是测不准的感觉
[04:44] 所以你很难的明确去定义说
[04:47] 这些东西到底对我们提升了多少
[04:49] 你知道有
[04:49] 可是你没有办法讲出一个数字
[04:51] 那这个是我自己目前比较大的一个感受
[04:54] 那上面一样在做直话分析的朋友
[04:56] 我觉得绝大多数都并没有特别担心
[04:59] 或者说像外面的AI Doomsday Porn
[05:01] 所描述的觉得自己要被取代
[05:03] 几乎大家都还是非常的有自信
[05:05] 然后在过去的表现应该都还是蛮不错的
[05:07] 那但如果今天是进入到量化的领域的话
[05:10] 就会发现说量化的朋友
[05:11] 他们给予的评价就差蛮多的
[05:13] 他们基本上都是给予很高的评价
[05:15] 那特别是有在写程式
[05:17] 因为很多在做交易的
[05:18] 他们自己会写程式
[05:19] 他们都会说AI实在是太屌了
[05:20] 最后还是回到
[05:21] 就是可能现在在外面的一个主流的说法
[05:24] 就是说AI它最主要去改善的
[05:26] 其实是coding的环境
[05:28] 它让这些coding仔
[05:29] 可以现在用超快的速度去完成coding
[05:32] 但如果你今天要回归到
[05:33] 就是去把一个好的产品做好的话
[05:35] 其实我觉得有做过产品的人
[05:37] 或者说你有去做过一些投资
[05:39] 你看过够多市场的人
[05:40] 你会理解到一件事情
[05:41] 就是一个好的产品
[05:42] 不代表说
[05:43] 你今天有十倍的coding的速度
[05:45] 你就可以把它做出来
[05:46] 好的产品成功的理由
[05:48] 有很多个
[05:49] 那它可能就是说
[05:50] 点点连成线
[05:51] 瑞士起司一样
[05:52] 然后最后面
[05:53] 才会让这件事情发生
[05:54] 所以它没有办法是
[05:56] 简单的透过
[05:56] 就要说
[05:57] 因为我现在的生产力
[05:58] 是变成是五倍
[05:59] 我的coding的速度
[06:00] 是快了五倍
[06:00] 那所以呢
[06:01] 我就可以去做出
[06:03] 非常好的app
[06:03] 一般来说是没有办法
[06:05] 你可以做出一些
[06:06] 非常简单
[06:07] 非常浅白的应用
[06:08] 就要说一些统整
[06:09] 一些简单的interface
[06:11] 或什么
[06:11] 这也是AI我觉得它率先会去取代跟击败的东西
[06:14] 可是除此之外
[06:15] 你要做出一个好的产品
[06:17] 特别是有结合data
[06:18] 有直接碰到用户关系相关的东西
[06:21] 你就会发现它并不是一个这么容易的事情
[06:24] 但如果你今天是有在做coding工作的人
[06:27] 就算你是做交易
[06:28] 可是因为你有接触到coding
[06:30] 在AI的帮助之下
[06:31] 他们都说对于自己的生活是有感的提升
[06:33] 但如果你今天进入到下一个层次
[06:36] 就是说你不要讲说coding变得多快
[06:38] 因为我们都已经知道
[06:39] 之前类似说你以前是用手画线图
[06:41] 然后现在你有电脑可以帮你做回测
[06:43] 你当然会快很多
[06:44] 某个程度就是新一代的电脑
[06:46] 但你的绩效有因为这样子变得超级好吗
[06:49] 这时候你会发现说
[06:50] 大家就没有办法回答的
[06:52] 像前面讲说
[06:52] AI让我的coding速度变很快
[06:54] 这样的一个果决
[06:55] 为什么
[06:56] 因为其实你有一个最简单的假设就知道
[06:58] 就如果说今天有某个人
[07:00] 然后他去使用这个AI工具
[07:02] 他就可以立刻获得很好的绩效的话
[07:04] 那就如同市场上的所有策略一样
[07:06] 他就会去把未来量开到最大
[07:08] 然后直到这个东西变得是无效的
[07:10] 可是这个孩子建立在说
[07:12] 有一个人有一个生病利器
[07:13] 据说今天可能是Sam Altman
[07:15] 你回到一个平行时空里面
[07:17] 他没有告诉任何人
[07:18] 他已经成功的让AI要起飞了
[07:21] 他是自己偷偷在家里去做这件事情
[07:23] 所以他就可能会获得所谓的alpha
[07:25] 卓绝的alpha
[07:26] 但如果说这个东西已经变成说
[07:28] 所有在做量化的人
[07:29] 像每个人都尬一脚的话
[07:30] 他还是可以产出这么大的报酬
[07:32] 所以你说好
[07:33] AI可以让大家产出更多的报酬
[07:35] 可是当每个人都拿着
[07:37] 他们的AI进来抢的时候
[07:38] 或者说一些根本就不懂
[07:40] 城市base的
[07:41] 他以前根本就没有办法
[07:42] 接触量化交易的
[07:43] 他没有那样的一个功力
[07:45] 可是他现在透过AI
[07:46] 他可能至少可以去摸到一点边的
[07:48] 他也要来跟你抢这东西
[07:49] 那你们还真的可以获得
[07:51] 那样的一个巨大的超额报酬吗
[07:53] 其实就会变成是一个问号
[07:54] 所以对有些人来讲
[07:55] 在这一题上面就会变成说
[07:56] 他觉得他有获得更好的一个收益
[07:58] 那对有些人来讲就会觉得说
[08:00] 他好像也没有因为这样
[08:01] 获得更好的收益
[08:02] 但大家的口径一致就是
[08:03] 我们还是离不开这个工具
[08:05] 就算这个东西可能对我的工作
[08:07] 最终的output并没有造成极大的一个直接影响
[08:11] 但我们就需要这个东西
[08:13] 类似说我们现在生活之中
[08:14] 我们有手机有电脑有电视有汽车
[08:17] 那有各种娱乐相关的东西
[08:20] 那这些东西组成了我们的人生
[08:22] 那你有时候你会发现说
[08:23] 你的灵感是来自于你昨天看的Netflix
[08:25] 或者说有时候你发现说
[08:27] 你的一些想法是来自于你的手机
[08:29] 你的LINE朋友告诉你什么东西
[08:30] 但是你很难去具体的去指出说
[08:33] OK所以我现在如果把哪一个东西给加强
[08:36] 加大或者说变得更厉害
[08:38] 那因为这样子
[08:39] 我可以获得一个更好的报酬
[08:40] 这就会变成是一个
[08:41] 比较难去把它去做举证的事情
[08:44] 那所以目前我自己去问身边的一个
[08:47] 我觉得算是量化很强的朋友
[08:49] 我就稍微去了解一下他的心得
[08:52] 因为最早我们在讨论AI相关的东西
[08:53] 是那时候GPT刚出来的时候
[08:55] 那我应该算是第一个
[08:57] 贴这个东西给他的人
[08:58] 因为我们平常就去观察一些科技薪资
[09:00] 那后来他起飞的速度是超级快
[09:02] 那只是当下一开始看到觉得说
[09:04] 哇靠这东西厉害
[09:05] 有的时候这东西太厉害
[09:06] 然后丢到我们的群组
[09:07] 然后大家分享
[09:08] 然后来看一下
[09:09] 那接着呢
[09:10] 大家自己去测一下说
[09:11] 干这东西太屌
[09:12] 那其中有一个朋友就想说
[09:14] 他这个东西用下去之后
[09:15] 他觉得自己完蛋了
[09:16] 他觉得他的工作就要被取代了
[09:17] 因为呢
[09:18] 他以前要去想一个策略
[09:19] 他以前要去写一段程式嘛
[09:20] 他要花时间
[09:21] 他要去思考什么
[09:22] 就像AI
[09:23] 他妈啪一下就直接做出来
[09:24] 而且这还是两三年前的AI
[09:26] 然后现在更加强大
[09:27] 可是我现在在问他
[09:28] 我说你有觉得自己要被取代吗
[09:29] 他说应该还是会
[09:30] 只是就是蛮久以后
[09:32] 就本来当下看到
[09:33] 会觉得说立刻要被取代
[09:34] 只是最后面发现
[09:35] 他身边的竞争者都还是同一群人的
[09:37] 所以就有点像是说
[09:38] 就是你今天到一个大逃杀的岛屿里面
[09:41] 你们可能有一百个人要互相竞争
[09:43] 你们在过去都是拿冷兵器
[09:45] 然后大家互相相杀
[09:47] 打出来的成绩都差不多
[09:48] 今天突然天上开始去放空投
[09:51] 这空投是热兵器
[09:52] 如果说拿到热兵器
[09:53] 他就可以把大家宰爆
[09:54] 这应该是没有问题吧
[09:55] 大家都有共识
[09:56] 都觉得说拿到热兵器你就是王
[09:58] 可是如果说大家都有热兵器
[10:00] 那就不一定了
[10:01] 就是比谁可以把这工具用得更好
[10:03] 所以他其实他等了一段时间之后
[10:05] 他发现说他身边的竞争者都还是同一批人
[10:07] 那只是这些人呢
[10:08] 现在都把AI变成是他的工具
[10:10] 所以硬要讲的话
[10:11] 被取代的是放弃使用AI的人
[10:14] 而不是说什么使用AI
[10:15] 然后可能没有办法用到很强
[10:17] 你只要有用
[10:17] 你就是整个战力都拉上去了
[10:19] 那这有点类似说
[10:21] 他去做一个举例
[10:22] 他说最早在台湾有一群人
[10:24] 他们是用手点去跟这些量化作战
[10:26] 那在早期呢
[10:27] 他们还真的有办法
[10:28] 整天在量化身上去搞到钱
[10:30] 或是找到人家城市的漏洞或什么的
[10:32] 但现在这样的Roll
[10:33] 其实逐年在降低
[10:35] 但是他还是不排除
[10:36] 就有些老塞
[10:37] 他应该是有办法
[10:38] 用首点的方式去赚钱
[10:39] 但如果说你现在这样首点
[10:41] 然后你要做大的话
[10:42] 可能就变得比较困难一点
[10:43] 你可能还是要透过一些程式的辅助
[10:46] 这就是电脑时代的1.0
[10:47] 现在可能就是电脑时代的2.0
[10:49] 就是说你要去透过AI的辅助
[10:51] 你可能才有办法去跟别人
[10:52] 去做更有效的竞争
[10:54] 不代表说什么
[10:54] 你没有用AI就不行
[10:55] 只是你可能获得的Roll
[10:57] 就比较少一点
[10:58] 但也不代表说
[10:59] 你有用AI
[10:59] 你就会获得超级大的一个收益
[11:01] 因为别人也都会用AI
[11:02] 所以这个就是近期
[11:04] 我觉得讨论下来
[11:05] 觉得最有趣的一个点
[11:07] 就是说在实物的使用上面
[11:09] 它跟外面的一些
[11:11] 为了博取流量
[11:12] 而写出超级怂动的文
[11:13] 最大的差别是在于说
[11:15] 它比较实际
[11:16] 其实如果说你把一些细节
[11:17] 给梳理清楚
[11:18] 你会发现说它是很合理的
[11:19] 因为每个人都是有办法
[11:21] 去轻易的取得这样子一个工具
[11:22] 除非说今天是有一个人
[11:24] 真的已经发展出AGI
[11:25] 他不跟大家讲
[11:26] 然后自己在家偷偷用
[11:27] OK那就有可能
[11:28] 他可以去获得超级大的一个超额报酬
[11:31] 那不然的话
[11:32] 其实还是回归到一般的
[11:34] 就是说每个人去获得工具之后
[11:36] 他都可能有一些战力的提升
[11:37] 那更何况在一些工作上面
[11:39] 特别是像我们的工作
[11:40] 他有太多的综合因素要去考量
[11:43] 就像说纵然你有超级屌的AI
[11:45] 或者说超级屌的分析
[11:47] 你有一群最强的团队
[11:48] 那你现在有大量的资金
[11:50] 你可以去做布局
[11:51] 你就是目标做多
[11:52] 你要赚翻天
[11:53] 然后川普直接给你搞一个东西
[11:55] 你还不是直接爆炸
[11:56] 就你还是会直接死掉
[11:58] 所以它并没有这么简单
[12:00] 就比如说什么
[12:00] 你获得了一些东西之后
[12:02] 你就会怎么样
[12:02] 那最终我觉得
[12:04] 不知道
[12:04] 我现在很容易把一些东西
[12:06] 都跟自己的人生经验去做一些结合
[12:08] 就是跟人生一样
[12:09] 就你并不是说什么
[12:10] 你今天去拿一个好学历
[12:12] 你就一定会怎么样
[12:13] 或者说你今天找一个好老婆
[12:14] 你就一定会怎么样
[12:15] 你比较高几率会往好的方向
[12:17] 你有好的学历
[12:18] 你比较高几率会往好的方向
[12:20] 或者说你比较高几率
[12:22] 你可以获得一个好的收入
[12:24] 可是不是百分之百
[12:25] 但因为这样子
[12:26] 你就要说这个东西没有用
[12:27] 像一些什么学历无用论
[12:29] 没有你还是会知道说
[12:30] 这东西是会有帮助的
[12:31] 只是他没有办法那么绝对的
[12:33] 直接翻译出说
[12:34] 这个可以帮助到多少
[12:35] 所以如果这样子的认知
[12:36] 我觉得去使用这些工具
[12:37] 就会变得比较中性然后比较开放或者说也比较不会有一些所谓的焦虑我很常看到那些什么焦虑来焦虑去的我觉得说你们的焦虑是来自于你们就像是无头苍蝇因为你根本就没有一个本业你一定是没有本业
[12:48] 你就是整天想要去追逐流量
[12:50] 你才会这样子
[12:50] 因为如果你有本业的话
[12:51] 你就知道你的重点是把本业的东西
[12:53] 去做更多的提升
[12:55] 而不是说什么
[12:55] 今天有一个新东西就要立刻用
[12:57] 像前面就大家跟你讲说
[12:59] 什么AI有什么新的酷东西
[13:00] 全部都一窝窝蜂冲进去
[13:01] 或是什么近期的养龙虾
[13:03] 你说龙虾好不好用
[13:04] 会用的很好用
[13:05] 可是现在已经一堆人
[13:06] 在开始弃养龙虾
[13:07] 因为发现说
[13:08] 因为他们有本业
[13:09] 所以你搞了一个东西
[13:10] 出来烧token花钱
[13:12] 可是你没有产品
[13:13] 你没有真的去实质提升的东西
[13:15] 那你当然会觉得
[13:16] 这东西不好用
[13:17] 所以最终还是回归到
[13:18] 类似说
[13:19] 关于一些什么命案的讨论
[13:21] 当然也都是这样讲
[13:22] 有问题的不是枪
[13:23] 有问题的是
[13:24] 想要拿枪去开别人的人
[13:26] 你要怎么样去使用这个工具
[13:27] 一个坏人拿去做使用
[13:29] 他就变成是杀人犯
[13:30] 一个警察拿去做使用
[13:31] 他变成是
[13:32] 维护大家的平安跟健康
[13:34] 所以因为这样子
[13:35] 因为观点
[13:35] 因为可能你所在的环境不一样
[13:38] 或是你要去聚焦的东西不一样
[13:39] 可能大家都产出
[13:40] 截然不同的一个结果
[13:42] 但总之就是
[13:42] 你不需要去感到太多的焦虑
[13:44] 因为这就有点
[13:45] 那是说电脑
[13:46] 你不会说什么
[13:47] 现在有电脑的人
[13:48] 我电脑没有用的
[13:49] 比别人强很多
[13:50] 我就一定要去死
[13:50] 没有
[13:50] 那就是说你有一个新的工具
[13:52] 那大家怎么样去发挥这个工具
[13:53] 只要可以把这个工具
[13:55] 用在你的工作里面
[13:56] 那应该就是没有什么太大的问题
[13:57] 这是我们最后面的一个结论
[14:00] 那接下来我们就来聊一下
[14:01] 市场的话题
[14:02] 首先我们先来谈一下
[14:03] SORA要被喊停了
[14:05] SORA被喊停这件事情
[14:06] 对市场最直接影响就是
[14:08] 当然因为在过去
[14:09] 有蛮多人会去选择
[14:10] 布局一些NAND
[14:11] 或者说存储相关的一个类股
[14:13] 最主要原因就是因为
[14:13] 我们相信
[14:14] 在市场上面
[14:16] 会有大量的存储需求
[14:17] 因为像有很多人会去使用
[14:18] AI来发图片或是影片
[14:20] 如果今天用AI来发一些文字的话
[14:22] 那是KB等级的
[14:24] 如果说发图片是MB等级的
[14:26] 如果今天是发影片的话
[14:27] 那可能是GIGA等级的
[14:29] 所以因为大量的废片
[14:30] 大量的影片的产出
[14:32] 产出大爆发的一个状况之下
[14:34] 会导致存储的需求会紧喷上去
[14:37] 那因为SORA的喊停
[14:38] 就会导致这件事情喊停吗
[14:40] 其实不一定
[14:40] 因为在中国这边的SEEDANCE
[14:42] 或者说其他的一些文生影的发展
[14:45] 都还是持续的蓬勃进行中
[14:47] 只能够说站在OpenAI的角度
[14:49] 他可能认为
[14:50] 因为在SORA这边
[14:51] 他要花掉的成本是太高的
[14:54] 那或者是说呢
[14:54] 因为公司的能力是有限的
[14:56] 简单来讲就是说
[14:57] 当今天要去讨论说
[14:58] 他们必须要聚焦在别的地方
[14:59] 要去把一些side project给砍掉的话
[15:02] 就是说能力可能是不够
[15:03] 或者说资源是不够的
[15:04] 它必须要聚焦在
[15:05] 最直接可以在AI上面去
[15:08] 造成收益的一些项目
[15:10] 那这个就直接对齐Enthropic
[15:11] 你看一下Cloud就知道
[15:12] 现在在AI里面
[15:13] 最能够帮大家赚钱的东西是什么
[15:15] 效率工具
[15:16] coding的生成
[15:17] 或者说工作流的整合
[15:18] 那这个是目前我们在Enthropic这边看到
[15:21] 是做得非常好的
[15:22] 那它在这边赚了很多钱
[15:23] 所以我更认为说OpenAI
[15:25] 他们应该是要把资源更加的
[15:27] 投入在我们前面所提到的
[15:29] 这些项目里面
[15:30] 而不是可能在影片生成
[15:31] 因为影片生成的内容
[15:32] 像最近在中国有一个影片
[15:34] 获取币
[15:35] 这个获取币
[15:35] 他们号称说用三个人的团队
[15:38] 3000块人民币的算力的成本
[15:40] 然后就拍出了一个
[15:41] 号称说是可以取代一些
[15:43] 就是可能偶像剧
[15:45] 大作历史剧那样的东西
[15:46] 只是实际上
[15:48] 我觉得懂看的人都知道
[15:49] 就首先第一个
[15:50] 中国人非常喜欢夸大
[15:51] 没有恶意
[15:51] 因为我们知道
[15:52] 我们一些老铁听众
[15:53] 但就真的很喜欢尬锤
[15:55] 所以就是这个团队
[15:56] 后来也给人家爆出来说
[15:57] 根本就不是只有三个人
[15:58] 他是有很多人
[15:59] 他是有一堆后勤的团队
[16:01] 在生成方面
[16:02] 用的token一定超级多
[16:04] 因为他没有办法
[16:05] 直接去透过一个prompt
[16:07] 然后就生成出
[16:08] 他要的这个
[16:09] 剧情的走向的影片
[16:10] 所以他们必须要
[16:10] 不停的去生成
[16:12] 因为像说
[16:12] 不停的去骰骰子
[16:13] 但这个骰子
[16:14] 可能里面只有灌一点钱
[16:15] 没有灌很多
[16:16] 但有灌一点
[16:16] 所以他可以大概的
[16:17] 骰出他要的画面
[16:18] 可是这个画面
[16:19] 如果不是他要的
[16:20] 他就得必须一直去重骰
[16:21] 所以他的成本
[16:22] 一定是花很多
[16:23] 同时他们不是完全的
[16:24] 都去使用AI模型来完成
[16:26] 还是有一些人工的后制
[16:28] 然后才完成了这一部影片
[16:29] 在我分享这些东西的当下
[16:31] 其实我觉得这些
[16:32] 有点像是在讲废话
[16:33] 就是你当然不可能去这样做到
[16:36] 可是问题是
[16:36] 你现在看网络上的一些声量
[16:38] 你就会知道说
[16:39] 真的很多人是相信的
[16:40] 就是我刚才前面所讲的
[16:41] 你要去关注AI讨论
[16:43] 其实你要聚焦在
[16:44] 真的有在铲除
[16:45] 真的有本业的人
[16:46] 而不是靠可能去网络上
[16:48] 写嘴炮文章为业的人
[16:49] 因为他们会把东西
[16:51] 吹得非常的夸张
[16:52] 可是你实际有去使用过
[16:53] 这些文生影的东西
[16:54] 你就会知道
[16:55] 你今天只是要生成一个
[16:56] 不知道就是把阿嬷
[16:57] 推下悬崖之类的影片
[16:59] 那它没有这么简单
[17:00] 就是说我只要告诉你一个prompt
[17:02] 就可以生成我要的一个画面
[17:03] 有时候那个画面里面的
[17:05] 那个阿嬷是不对的
[17:06] 轮椅是错的型号
[17:07] 或者说这个环境
[17:08] 它感觉不够耸动之类的
[17:09] 所以你真的要
[17:10] 骰出你要的画面
[17:11] 你搞不好要生成
[17:12] 个几十次之类的
[17:13] 那你要把它做成一部短剧的话
[17:15] 你甚至可能需要
[17:16] 上百上千次的一个生成
[17:18] 那当然现在的token的价格
[17:20] 并不是说很贵
[17:21] 可是大量的去使用之下
[17:22] 很多时候你会发现说
[17:23] 如果你是拿吧
[17:24] 变成是一个系列剧
[17:25] 那你在里面所花出的成本
[17:28] 说不定会比你去找真人
[17:29] 还来得高
[17:30] 这是很有趣的一点
[17:31] 所以我觉得最终
[17:32] 我们去讨论一些AI的使用的时候
[17:34] 可以回归到一个
[17:34] 最简单的讨论
[17:36] 就是说回到成本跟机会成本
[17:38] 那当今天可能成本过高的时候
[17:40] 一些业主
[17:41] 他就不会想要去使用这个东西
[17:42] 成本低我可以去用
[17:44] 所以像是一些最简单的
[17:45] 我用这个去做统整
[17:46] 不好好去做Excel什么
[17:47] 那个成本超低
[17:48] 我一定去做
[17:48] 可是如果你要去取代
[17:50] 我们的一些创意生成的内容
[17:51] 那成本可能觉得太高
[17:52] 它可能还有法尊的问题
[17:53] 所以我就不一定会去做使用
[17:55] 因为机会成本之下
[17:56] 我可能用我本来的方式
[17:57] 是更便宜的
[17:58] 那我们不排除在某个未来
[18:00] 就是这个成本可以降到
[18:02] 是合理的范围之内
[18:03] 那是未来的事情
[18:05] 这个就像说
[18:05] 我们在供应链讨论一些话题的时候
[18:07] 我们现在可以随便去举出十个
[18:09] 就告诉你说未来大趋势
[18:10] 什么以后一定超掉的
[18:11] 可是问题是我们现在在供应链上
[18:12] 我们为什么没有看到
[18:14] 大量的人去采用
[18:15] 因为第一个它良率不够高
[18:16] 第二个成本太高
[18:17] 第三个投入的业者还太少
[18:18] 那所以呢会产生很多的问题
[18:22] 去做结局
[18:23] 所以我们对AI
[18:24] 还是一个大多头的心态
[18:26] 可是我们同时知道说
[18:27] AI有其限制
[18:28] 也就是说你可以吹
[18:29] 可是你不要尬吹
[18:30] 尬吹就会让很多东西
[18:31] 变得尴尬
[18:31] 所以我还是觉得说
[18:33] 就是在未来
[18:34] AI去生成影片的
[18:35] 一个范畴之内
[18:36] 还是会有一些
[18:37] 发展的可能性
[18:38] 特别是一些小型的创作者
[18:40] 或说这些东西
[18:40] 他并不是要去上
[18:41] 一些大场面
[18:42] 他只是要放在YT
[18:43] 或是可能Netflix短剧之类的
[18:45] 那是有机会
[18:45] 但如果说你今天
[18:46] 要去击败什么院线片
[18:48] Netflix上面的
[18:49] 一些大成本制作
[18:50] 我之所以觉得很困难的原因
[18:51] 是因为你还要回归到
[18:52] 事情的本质
[18:53] 就像前面跟他讲的
[18:54] 回归到成本跟机会成本
[18:55] 那这一样
[18:56] 就回归到
[18:56] 我们为什么去看电影
[18:58] 第一个我们希望被娱乐
[18:59] 我们希望这个电影好看
[19:00] 那很多时候
[19:00] 我们会去形成一种口碑系统
[19:02] 我们会知道说
[19:02] 可能今天诺兰拍出来的电影
[19:04] 就是不会太差
[19:05] 或者说今天
[19:06] 如果是Christine Bell演的电影
[19:07] 那一定就是好看的
[19:08] 所以他要回归到
[19:09] 一种那种口碑系统
[19:10] 或者说Nicholas Cage的电影
[19:11] 就知道说
[19:12] 那这个人高几率拍干片
[19:13] 因为他可能又缺钱了
[19:14] 所以同样的道理之下
[19:16] 我们是去追这些可能导演
[19:19] 然后或者是说非常厉害的演员
[19:20] 当然未来有一天
[19:21] 我们可能会去追一些
[19:22] 非常厉害的AI导演
[19:23] 可是这不代表
[19:25] 就是这个AI导演
[19:26] 他会吃掉这些人的市场
[19:27] 只能够说市场会多一个
[19:29] 新的竞争者进来
[19:30] 那也不是说任何一个人
[19:31] 你会使用AI去拍影片的人
[19:33] 你就可以变成是这些大导
[19:35] 不可能
[19:36] 就是你可能可以从1000个人里面
