[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由Sally赞助
[07:01] 平常你以为你习惯
[07:03] 但你其实根本就没有习惯
[07:04] 你的身体其实都还是
[07:05] 一直在跟你抗议
[07:06] 我想说有时候
[07:07] 我坐在我书房里面坐久了
[07:08] 觉得浑身不对劲
[07:09] 有点烦躁
[07:10] 我都以为是工作
[07:11] 我都以为是我小孩在外面叫我
[07:13] 但搞不好就是这个风扇
[07:14] 说不定我后面的几天
[07:15] 就完全变得不一样
[07:16] 因为我妈才刚拆掉两个小时
[07:18] 我已经觉得
[07:18] 我人生产生巨大的改变
[07:20] 我现在光是
[07:21] 我在讲话我很想笑
[07:22] 我现在真的很想笑
[07:23] 我觉得说为什么
[07:23] 生命可以这么好
[07:24] 所以在那边推荐给大家
[07:26] 就如果你也是
[07:27] 对声音敏感的
[07:28] 你可以去思考看看
[07:29] 有可能是你书房
[07:30] 就你待在那个地方
[07:31] 他妈的
[07:32] 你会不会跟我一样
[07:32] 风扇超大声
[07:33] 然后其实那个风扇
[07:35] 至少我自己这样测
[07:36] 那我的显卡是5090
[07:38] 那东西也都是用到
[07:39] 比较好的规格
[07:40] 我是发现说
[07:41] 东西都拆掉
[07:42] 没有什么问题
[07:42] 还是可以打电动
[07:43] 但热档之后再来处理
[07:44] 只是目前没有问题
[07:45] 那我已经想要backup方案
[07:47] 就是我跟老板问好说
[07:48] 如果只有没有热档的话
[07:50] 那就去帮我找一些
[07:51] 就是可能最顶的风扇
[07:53] 就稍微贵一点的
[07:54] 它的声音会稍微小一点
[07:55] 就一定比那种
[07:56] 饥渴上的风扇来得小声
[07:57] 到时候再跟大家分享
[07:59] 只是现在拆掉
[08:00] 我自己刚刚早上实测了一下
[08:01] 我发现应该是没有什么太大问题
[08:03] 所以这可能是我近期最重大的发现
[08:05] 我觉得比什么题材
[08:06] 还是什么吉巴小都来得巨大
[08:09] 就真的是会改变生命的事情
[08:10] 特别是我觉得现代人
[08:12] 很多受到这种噪音所苦
[08:13] 低频噪音
[08:14] 很多时候你也不知道说
[08:15] 你到底那个烦躁感是来自于哪里
[08:17] 可能就是来自于
[08:18] 你桌子下面的那一台电脑
[08:20] 大概这样
[08:20] 好那接下来我们就来进入
[08:22] 今天节目的话题
[08:23] 那当然
[08:23] 台股的盘
[08:24] 或说美国的盘
[08:25] 现在都是进入一个
[08:26] 这个非常巨大的
[08:27] 振幅的状态
[08:29] 那对很多人来讲
[08:29] 身体上可能不太舒服
[08:30] 那当然今天
[08:31] 绝大多数人都舒服
[08:32] 除了你是做空的
[08:33] 你可能不太舒服之外
[08:34] 那其他人可能都觉得说
[08:36] 这个心情急
[08:37] 那这当然我们也不排除
[08:38] 说不定大家晚上
[08:39] 伊朗都突然决定
[08:40] 要什么放个水雷
[08:41] 或说在设个
[08:42] 什么无人机之类的
[08:43] 然后盘式又开始继续震荡
[08:45] 我自己是往这个方向
[08:46] 猜的几率稍微高一点
[08:47] 其实大概在礼拜一的时候
[08:49] 心中的规划是这样子
[08:51] 第一个就是
[08:51] 我要看到VIX的波动率要下来
[08:53] 但VIX的波动率在上面的时候
[08:55] 其实我们就知道可以买
[08:56] 过往这样看
[08:57] 就是每次反正只要跳到40以上
[08:58] 基本上事后回头看
[09:00] 都是一个还蛮不错的买点
[09:02] 同时我是希望说
[09:04] 可以搭配看到原油的价格下去
[09:06] 只是说礼拜一的原油是还在冲
[09:08] 所以其实像礼拜一的时候
[09:09] 我之所以我觉得
[09:10] 我自己可能调整的
[09:12] 没有太好的一个主因
[09:13] 有买东西
[09:13] 可是其实没有买的
[09:14] 像本来规划
[09:15] 就是说老子是要来减失的
[09:16] 甚至在上集节目讲说
[09:18] 礼拜一就是要开多个萤幕
[09:19] 要看有没有人跳楼
[09:20] 真的很多人跳楼
[09:21] 只是没有超级积极的下去买
[09:23] 就看到原油的价格
[09:25] 就真的有跳上去
[09:25] 即便可能川普政府一开始
[09:27] 是有保证说这个价格就得压住
[09:29] 你知道这个东西
[09:30] 其实也不是说
[09:31] 他们可以百分之百控制的
[09:32] 突然间人家射个飞弹或怎么样的
[09:34] 然后市场的情绪
[09:35] 就把东西推上去
[09:36] 所以我没有要去怪他们的意思
[09:37] 我意思只是说
[09:38] 我就想要看到一些指标
[09:39] 同时成立
[09:40] 我就觉得说应该是OK的
[09:41] 因为礼拜一的原油价格
[09:43] 就还是在一个高位了
[09:44] 所以我最后做法是这样子
[09:46] 我除了去买东西
[09:48] 买的比较小力
[09:49] 这个当然事后
[09:50] 看似有点不太喜欢之外
[09:51] 我甚至有砍掉一些东西
[09:53] 因为我就觉得说
[09:53] 现在不确定性
[09:54] 就是摆在那一边
[09:55] 那为什么会觉得
[09:56] 一定要砍东西
[09:56] 其实我要砍的东西
[09:57] 怎么说
[09:58] 我在过去一阵子
[09:59] 我觉得我持股已经调整到
[10:00] 就几乎都是强势股
[10:01] 可是为什么那些东西要砍
[10:02] 是因为
[10:03] 我们就不去点名
[10:04] 是哪些标的
[10:04] 反正总之就是
[10:05] 有些东西可能是
[10:06] 你买了不少
[10:08] 那这个东西
[10:08] 在过去的几个交易日
[10:11] 或在周末的时候
[10:11] 都有人在传小作文
[10:13] 所以我那时候心中想的是
[10:15] 因为台股已经出现这么大的一个跌点
[10:17] 我们才在前面讲说
[10:18] 什么1000点没什么
[10:19] 看到2000点再说
[10:20] 妈直接给你个2000点
[10:21] 有时候真的比较乌鸦嘴
[10:22] 所以当出了这么大一个跌幅
[10:24] 我们也知道说
[10:25] 现在很多人都是杠杆上报的一个状态
[10:27] 所以其实我心中怕的是
[10:29] 这些地方会不会是相对拥挤的地方
[10:31] 然后这些人他们一定都开很大的杠杆
[10:33] 所以如果我今天没有在他锁跌停之前
[10:36] 把东西丢掉的话
[10:37] 会不会后来他就锁跌停了
[10:39] 那我相信如果有经历过
[10:40] 去年4月的一些交易者
[10:42] 那同时你也是会上一点杠杆
[10:44] 就是跟我一样的
[10:44] 你应该可能在礼拜一的时候
[10:46] 都有一些类似的想法跑出来
[10:48] 就是有点像说
[10:49] 因为你曾经被蛇咬过
[10:50] 所以你会有点害怕
[10:51] 那所以就会导致说
[10:53] 本来想要买的部位
[10:54] 你没有买到你规划的量
[10:56] 那本来你觉得说
[10:57] 反正在大波动的时候
[10:58] 不要去乱动的部位
[10:59] 但你怕被关厕所
[11:00] 那你也知道很多人杠杆开超大
[11:02] 特别是今年很多人的绩效都还不错
[11:04] 会不会越开越大
[11:05] 然后大到杠杆藏在台面下超级多之类的
[11:09] 所以我觉得是受到这些影响
[11:10] 然后搭配原油的价格
[11:11] 看到说他真的跑到100多块上面去
[11:13] 这个有点超乎我的预期
[11:15] 所以我就是有砍一些东西
[11:17] 那我砍的东西
[11:17] 我觉得砍的位置当然都不是太好
[11:20] 事后回头看就是跟笑话一样
[11:21] 反正就是基本上像是卖在地板上
[11:23] 但就是好在因为自己还是知道说
[11:26] 像这样的一个盘面
[11:27] 你是要去捡东西
[11:28] 你就要趁恐慌的时候去捞东西
[11:30] 所以就是一则一喜一则一忧
[11:32] 有些东西可能就最后面
[11:33] 证实是卖在阿呆股
[11:34] 那有些东西呢
[11:36] 就还好有在去做加码
[11:38] 然后现在都出现新高了
[11:39] 才礼拜一修正没多久
[11:41] 现在礼拜二礼拜三
[11:41] 那就直接去爬新高了
[11:43] 但整体来说
[11:44] 我没有像一些身边朋友
[11:45] 这么幸运
[11:46] 因为有些是那种台子旗
[11:47] 他妈狂干
[11:48] 然后他今天就直接
[11:49] 不畏忧历史新高
[11:50] 那我自己本身
[11:51] 是有去捡台子旗
[11:52] 然后加一些
[11:53] 自己看好的
[11:54] 可能是泛比较光
[11:55] 相关的一些股票
[11:56] 光跟设备
[11:57] 那所以在我的角度就是
[11:59] 不畏是有爬回去
[12:01] 但其实我是没有爬回到
[12:02] 新高的一个状态
[12:03] 但其实也是爬蛮多
[12:04] 已经非常感谢有这样子一个机会
[12:05] 那同时卖掉的部位
[12:07] 其实我在思考说
[12:08] 要不要在礼拜二礼拜三追回来
[12:10] 礼拜二的时候
[12:10] 是因为他又碰到了上面的压力
[12:12] 所以我想说
[12:12] 应该碰到压力会稍微的缓一下
[12:15] 就礼拜三直接冲
[12:16] 那像今天直接冲的话
[12:17] 我就会觉得那真的追不回来
[12:19] 就算了
[12:19] 反正砍掉的东西就算了
[12:20] 所以其实整体来说
[12:21] 部位是下降的
[12:22] 就理论上其实我本来的规划
[12:24] 也就是说在周末我的想法是
[12:26] 我在礼拜一要上部位
[12:28] 然后礼拜二看队再往上加
[12:29] 我整体也不会应该知道是增加的
[12:31] 但最后面呢
[12:32] 现在回头看是
[12:33] 我礼拜一的时候大概是没输没赢
[12:35] 有加东西有砍东西
[12:36] 就是说在整体的水位上面是这样
[12:38] 然后在礼拜二的时候呢
[12:39] 反而是有在继续在砍一些东西
[12:41] 想说因为现在波动放大了
[12:43] 所以我要先扣一点现金在手上
[12:45] 然后礼拜三
[12:46] 其实理论上今天你看
[12:47] 这个盘位这样涨代表说一定有的人在追嘛那我们不会去很反骨说等一下再追的时候我们一定就要丟啦因為其實以下的盤勢來講反正你有在新高的我就不會太擔心你甚至是有些東西你會想上去井上添花
[12:58] 但我覺得可能已經受到禮拜一的一個
[13:01] 我覺得可以做得更好的操作的影響
[13:03] 所以導致我今天反而又在減一些東西
[13:05] 所以其實現在是把水位又再往下降了
[13:08] 那以目前的狀態來講其實我覺得是OK的啦
[13:10] 我就除非說台股真的就這樣一路噴回去新高
[13:13] 那我就覺得有點扼腕
[13:14] 但如果說他沒有噴回去新高
[13:16] 開始去走一些區間盤的話
[13:17] 其实应该是说
[13:19] 我不觉得我这个做法
[13:20] 是有一个很大的缺陷跟错误
[13:23] 只能够说它是一个事后论
[13:24] 就如果说那时候
[13:24] 真的就继续往下叠的话
[13:25] 我一定会非常感谢
[13:27] 我去做出这样的一个操作
[13:28] 所以我自己的想法是这样
[13:30] 就后来去纵观的想了一下
[13:32] 当然有时候
[13:32] 还是会受到身边朋友的影响
[13:34] 因为一定有人做得好
[13:35] 有人做得不好
[13:35] 可是一般来讲
[13:36] 你不会去叼做得不好的
[13:37] 你都只会看到做得很好的
[13:38] 所以你看那些做得很好的
[13:40] 使命超的人
[13:41] 就想说
[13:41] 为什么我没有跟着使命超
[13:42] 当然其实像我们这种
[13:44] 现在对自己已经是有个
[13:46] 一定程度的掌握的人
[13:47] 我们自己稍微盘了一下之后
[13:49] 就会知道说
[13:49] 其实你当下做的一些决定
[13:51] 都是有他的理由在
[13:52] 所以我们其实比较不会像是
[13:54] 有些散户会跑到论坛讲说
[13:56] 昨天买了今天要赚多少钱
[13:57] 这个叫做废话
[13:58] 我昨天买大乐透
[14:00] 我今天知道号码
[14:01] 我今天已经是一万封
[14:02] 这也是很蠢
[14:03] 所以重点不是说
[14:05] 全部都要看结果
[14:06] 但我们还是用结果去
[14:08] 稍微的对一下说
[14:09] 那我们那样的一个判断是对是错
[14:11] 也不要太阿Q
[14:12] 我就说什么
[14:13] 即便你知道说
[14:14] 这就是一点事后论的角度
[14:16] 所以就
[14:16] 我还是很相信我自己的判断
[14:18] 然后都不用做修正
[14:19] 没有我还是会去
[14:19] 依照结果去做一些修正
[14:21] 那就会知道说
[14:22] 下次你遇到大跌的时候
[14:24] 你要去假设
[14:25] 它是有可能会连续撞破
[14:26] 好几根均线探回来的
[14:28] 它是有可能会这样子的
[14:28] 所以对
[14:30] 我觉得稍微的遗憾就是说
[14:31] 有些东西我真的就是
[14:32] 砍在阿呆骨
[14:33] 但怎么讲
[14:34] 就是如果说你让我去
[14:36] 回头重来的话
[14:37] 我觉得应该是会做出
[14:38] 一样的判断
[14:38] 因为我那时候想法
[14:39] 就是上面太拥挤了
[14:40] 那只是错判
[14:41] 它其实没有我想象中的拥挤
[14:43] 但其实是两个
[14:44] 反正两个都是千金股
[14:45] 有一个就是直接锁死跌停
[14:47] 根本就打不开的
[14:48] 那个就是证实说
[14:50] 可能真的是超级拥挤
[14:51] 你挂单也不一定出得掉
[14:52] 另外一个
[14:53] 我自己是卖在最低的位置
[14:55] 然后卖完之后
[14:55] 直接给我拉起来
[14:56] 虽然没有拉很多
[14:57] 后来隔天竟然给我直接冲涨停
[15:00] 那个就代表说
[15:01] 那真的是卖错了
[15:02] 所以怎么讲
[15:03] 就是说有个东西看起来
[15:04] 好像是卖对
[15:04] 有个东西看起来好像是卖错
[15:06] 但反正一来一往
[15:07] 我就不会去太纠结说
[15:08] 决定到底要怎么样
[15:09] 重新的去改过会更好
[15:11] 反而是下次有没有可能
[15:12] 在细微的调整上
[15:14] 再把它做得更好一点
[15:15] 我觉得就是可能
[15:16] 在前面觉得不太对劲的时候
[15:18] 部位要再降多一点
[15:19] 而不是等到出事情之后
[15:20] 才赶快要去降部位
[15:21] 虽然这都老生常谈
[15:22] 可是很多时候
[15:23] 我们还是在过程中
[15:24] 有点像说在修炼
[15:25] 然后慢慢去做改善
[15:26] 所以以上是我自己的一些检讨
[15:29] 然后就给自己的分数
[15:30] 大概就可能到七八十分吧
[15:33] 至少就还有勇气可以买东西
[15:34] 我没有像一些人
[15:35] 直接在谷底把所有东西都砍掉
[15:37] 对就是我还是有去
[15:39] 可能4月的时候被咬过一次
[15:40] 所以就很担心那些热门股会连续锁下去
[15:43] 当然最后面
[15:44] 当然是因为现在盘有反弹才会这样讲
[15:46] 如果盘是再往下的话
[15:47] 说不定我的说法就变得不一样
[15:48] 所以总是我们自己知道
[15:50] 为什么会下这些决定
[15:51] 可能判断就好
[15:51] 所以以上稍微的跟大家检讨分析一下
[15:54] 希望不知道
[15:55] 就是可能每个人操作不一样
[15:56] 但你可以稍微听看看我的
[15:57] 接着我觉得当然看点
[15:59] 还是会锁定在原油这边
[16:01] 目前看起来就是说
[16:02] 原油已经有一个大幅度的回落
[16:04] 所以其实我过去的几天
[16:05] 我觉得最帅的一个操作
[16:07] 不是我的
[16:08] 我看朋友之间有一个最帅的操作
[16:10] 是他看到油二喷上去
[16:12] 然后他算了一下
[16:13] 他说有一架
[16:14] 他在空那个东西
[16:15] 超屌
[16:16] 他直接空在涨二三十趴为止
[16:18] 直接空下去
[16:19] 超级爽
[16:20] 像这种东西我就是没有掌握到
[16:23] 因为那时候其实心中还是很纠结
[16:24] 说到底自己手上的部位
[16:26] 要去怎么样做处理
[16:27] 然后像那位朋友
[16:28] 他可能是平常那种
[16:29] 有余裕的资金比较多
[16:30] 因为他会去做一些那种所涨田的
[16:32] 所以他有一些现金在
[16:34] 所以他就可以去做一些
[16:35] 比较有想法的东西
[16:37] 所以这个也是说怎么讲
[16:38] 有时候你会希望说
[16:39] 你的部位买满一点
[16:40] 那上涨的时候就赚很多
[16:41] 可是当你出现一些波动的时候
[16:43] 你买满的
[16:44] 有时候你就会卡住
[16:45] 你就会不知道说
[16:46] 我现在可以怎么做
[16:46] 你要去做一些操作的时候
[16:48] 你都会有一些那种
[16:49] 所谓的机会成本的概念
[16:50] 就会跑出来
[16:51] 那到底这个地方卖吗
[16:52] 卖好像阿呆股
[16:53] 可是我又没有钱
[16:54] 再去做那个操作
[16:55] 你就会有点那种卡住
[16:56] 所以这个也是
[16:58] 可以去修正的一个方向
[16:59] 那总之在接下来
[17:00] 我会想要去
[17:01] 看着这个原油价格
[17:02] 最好是可以维持在
[17:03] 八九十块以下
[17:05] 如果说再一次的往上冲的话
[17:07] 那可能就是真的有一些状况
[17:08] 只是我们目前去看
[17:09] 在海湾附近的船只航行
[17:12] 有看到网络上的一些同整是这样
[17:14] 反正总之就是
[17:16] 他们快接近伊朗控制区
[17:18] 那个最窄的地方的时候
[17:19] 他们就把他的transponder给关掉
[17:21] 你看到那个画面就显示
[17:23] 有一堆船跑过去
[17:24] 然后突然间就隐形了
[17:25] 然后接着在另外一边就跑出来
[17:27] 所以就是说有些船
[17:28] 还是有在做通行
[17:29] 伊朗这边有持续的要去威胁说
[17:32] 还会去放水的
[17:33] 也会去炸
[17:33] 可是看起来目前市场
[17:34] 是没有要屌的一个情形
[17:36] 但过去特别是像在2022的时候
[17:38] 我们已经体会过
[17:39] 乌鲁战争一开始也是市场没有要屌
[17:41] 然后后面出事情
[17:41] 所以我们不会太快的去把话说死
[17:44] 然后说一定会怎么样
[17:45] 我们还是会去保持一点警觉
[17:46] 所以在我看来就是
[17:47] 油价就要一直维持在
[17:49] 可能是八九十块以下
[17:50] 那可能是比较安全
[17:51] 那如果突然间又再跳上去的话
[17:53] 那我就会视为是某一种技术面先行
[17:56] 所以可能在操作方面
[17:57] 又会再去压得更保守一点
[17:58] 那再来就是波动率
[17:59] 如果是持续的缓跌
[18:00] 那是一个最好的状态
[18:02] 那波动率的话
[18:02] 它跟油价不太一样
[18:03] 就油价的时候
[18:03] 你希望它掉下来之后
[18:05] 你再去做大卖
[18:06] 所以才会导致
[18:06] 礼拜一没有买很多
[18:07] 因为看到油价弹上去
[18:08] 不敢买太多
[18:09] 可是波动率导致相反
[18:11] 波动率就是有时候
[18:11] 跳上去的时候
[18:12] 你反而是要捏住
[18:13] 你的软弹去买的
[18:13] 所以其实你看的指标不一样
[18:15] 也会影响到你的操作
[18:16] 当你看太多指标的时候
[18:17] 有时候就会进入到
[18:18] 一个两难的局面
[18:20] 但以我来说
[18:21] 我会觉得说
[18:21] 现在可能是油价
[18:22] 是比较重要
[18:23] 然后波动率可能摆在第二
[18:25] 波动率持续有下去的话
