[00:00] 欢迎收听谷爱,我是孟公,本集节目由比如我赞助
[02:05] 你不知道這邊是不是就是一個終點
[02:06] 還是說會再繼續下去
[02:08] 而且我的20幾%其實已經是悲傷
[02:10] 因為前面已經是把
[02:11] 主要多數的部位都換去盛奎股
[02:13] 我把台積電戲稱為盛奎股
[02:15] 反正就是多軍追貨堡壘
[02:17] 大家事後看也發現說
[02:18] 台積電真的跌最少
[02:19] 其他中小跌要爆掉
[02:20] 所以我已經有一大堆的台積電加台紙
[02:23] 還是可以回到這樣子
[02:24] 所以就代表说
[02:25] 干这个行情真的他妈不是人玩的
[02:27] 真的是非常的恐怖
[02:28] 那其实到下这个节骨眼
[02:30] 理论上啦
[02:31] 比较合理的操作是
[02:32] 你应该要去买那些
[02:33] 掉到地上便宜的东西
[02:35] 可是掉到地上便宜的东西
[02:36] 因为真的杀太深了
[02:38] 形态整个坏掉
[02:39] 那还记得大概一两个礼拜前的节目
[02:41] 会跟大家分享说
[02:42] 如果你今天掉到季线下面的
[02:43] 我可能就不想看你了
[02:44] 但如果现在你不看季线下面的东西
[02:47] 你已经没有东西可以看了
[02:48] 就几乎全部东西都已经跌破季线了
[02:51] 那所以就变成是
[02:52] 我觉得非常棘手的一个状态
[02:55] 但心情上算是调试的还OK
[02:57] 我不知道是不是因为
[02:58] 红眼路比有一个非常成功的debut
[03:00] 同时也非常感谢这么多人的支持
[03:03] 我也看到很多实况主有去播
[03:04] 虽然有些实况主
[03:05] 我就想说你至少把新手教学看完
[03:08] 如果你有看新手教学
[03:10] 你就不会玩得这么痛苦
[03:11] 从头到尾都在评A
[03:12] 不知道在干嘛
[03:13] 但是非常感谢
[03:14] 他也是有协助去帮忙开箱
[03:16] 我们并没有付什么业配费用
[03:18] 去请这些实况主帮忙打
[03:19] 可是大家非常自发的
[03:21] 蛮多人都有去玩这款游戏
[03:22] 非常感谢各路的支持
[03:24] 就是现在可能开始
[03:25] 把一些重心放在一些
[03:27] 比较偏向生活层面的东西
[03:28] 随着自己的个性
[03:31] 也变得稍微的收敛一点
[03:32] 没有这么急躁
[03:33] 你说现在回想痛不痛
[03:34] 可是就没有像以前
[03:35] 可能会开始有一些
[03:37] 吃不饱 睡不好
[03:38] 也不是说吃不饱
[03:39] 就是说你连饭都吃不下
[03:41] 我是吃不下
[03:42] 再来可能在晚上的时候
[03:44] 甚至有时候会一直爬起来
[03:46] 然后去看说
[03:46] 现在美股的夜盘跌多少
[03:48] 在过去的几年
[03:49] 其实已经显著的去改掉
[03:51] 这些我认为其实算是坏习惯
[03:53] 简单来讲就是说
[03:54] 如果你会影响到你的生活的话
[03:56] 就代表你的部位可能是下得太大
[03:58] 是这样
[03:58] 这个部位下得太大
[03:59] 其实它是蛮因人而异的
[04:02] 有些人的部位下得大
[04:03] 是可能两三倍的杠杆以上
[04:04] 以我自己来说
[04:06] 我发现我可能只要打到
[04:07] 大概1.8到两倍以上
[04:08] 我就会觉得我的压力很大
[04:09] 所以其实我的杠杆都压在
[04:11] 大概1.3倍以下
[04:12] 甚至是更少
[04:13] 所以以这样的状态
[04:14] 去面对这样子的盘式
[04:15] 就是痛归痛
[04:16] 可是并没有到
[04:17] 会觉得要受到毁灭的感觉
[04:20] 那现在也开始有一些朋友会问说
[04:21] 这一波跟去年三月的关税战比起来
[04:25] 是不是可能更加的严重
[04:27] 我只能够说真的没有
[04:28] 去年的三月是真的比较恐怖
[04:29] 那这边稍微再讲股一下
[04:31] 这老听众一定都是陪着我们一起经历过各式各样的修正
[04:34] 其实这一波也算是那种很严重的股灾了
[04:36] 那就是可以在历史上留名的
[04:38] 也有可能我们取名就是说
[04:39] 这个2026的中小或说AI科技大屠杀
[04:42] 那2025就是关税屠杀
[04:44] 2024就是ODM的屠杀
[04:46] 就是每年其实都会有一个那种主题
[04:47] 把大家杀到爆掉
[04:48] 其实在去年三四月那一波
[04:51] 真的比较恐怖
[04:52] 因为你现在回头看都很简单
[04:54] 所以我就说很多人
[04:55] 他就要说他去使用
[04:56] 那种杠杆的某些产品
[04:58] 然后他们回测就是去找
[04:59] 可能过往跌比较凶的
[05:00] 那个时间点
[05:01] 然后来测说
[05:02] 他当时扛不扛得下去
[05:04] 我只能够说你这样去测
[05:05] 你会有非常大的一个偏差
[05:07] 为什么
[05:07] 因为其实在当下
[05:09] 你是看不到终点的
[05:10] 就像现在的这样的一个行情
[05:12] 大家感受一下
[05:13] 你是不是不知道说
[05:14] 你看今天又一堆东西锁跌停
[05:15] 会不会明天又继续锁
[05:17] 那一种你看不到希望的感觉
[05:19] 才是真的会击溃大家的东西
[05:21] 那所以其实你现在回头看
[05:23] 你会觉得说
[05:23] 那个去年的关税的那个时间
[05:26] 不过就是大概回
[05:27] 可能蛮多东西是锁三根
[05:29] 甚至再多一点
[05:30] 但其实蛮多大型股
[05:31] 可能锁一两根之后就回稳了
[05:32] 所以看起来还好
[05:33] 没有其实当下是非常非常恐怖的
[05:35] 而且他是在放完廉价之后
[05:37] 直接给你炸
[05:38] 所以整个流动性
[05:39] 是抽干的一个状况之下
[05:41] 像我自己都跑去调钱
[05:42] 我都到处去找一些银行
[05:43] 然后去开一些额度
[05:44] 那虽然我自己没有立刻
[05:46] 那种断头的风险
[05:47] 可是你当下为什么这样做呢
[05:48] 因为你不知道
[05:49] 会不会三根跌停之后
[05:50] 变六根跌停
[05:51] 九根跌停
[05:52] 所以那是当下很恐怖的点在这里
[05:54] 当时甚至让我犯下了一个
[05:56] 就是我后来把它引以为耻的事情
[05:58] 就是因为当时我是已经开始
[06:00] 有去筹足一些
[06:01] 简单讲说一直以来
[06:02] 我都有去做一些小型的投资
[06:04] 这些投资
[06:05] 其实大家讲好之后
[06:06] 就是时间到会计可能谈好
[06:07] 我们就把钱打进去
[06:09] 可是我竟然去问一些
[06:10] 就是我们要合组的公司的人说
[06:13] 有没有可能我们先稍微暂缓
[06:15] 就是公司先暂缓
[06:16] 因为它整个流动性卡住
[06:17] 我不知道各个股票会锁跌天锁到什么时候
[06:20] 所以其实经过那次事件之后
[06:22] 对我来说很大的一个教训就是
[06:23] 我对杠杆这个东西更加的小心
[06:26] 其实当时大家也知道说有蛮多跑去跳楼
[06:29] 甚至有上新闻之类的
[06:30] 我们自己身边同意也是比较少听到
[06:32] 但是有一些投资公司就知道说
[06:34] 在三四月那波之后就一蹶不振
[06:37] 就再也没有起来过
[06:38] 因为它一次回档就回太多
[06:39] 回到它再也站不起来
[06:41] 所以从那之后自己就非常的小心
[06:43] 那像这一波为什么会说
[06:44] 没有像三四月那么恐怖
[06:46] 即便你看说
[06:47] 那个绝对的跌幅
[06:48] 可能蛮多是超越
[06:49] 因为这一波
[06:49] 其实后来我也是听身边
[06:51] 那些大哥分享
[06:52] 我才意识到
[06:53] 对为什么
[06:54] 你看那个大盘
[06:55] 为什么一直杀不出量
[06:56] 以前这样子杀
[06:57] 早就杀出量了
[06:58] 你知道像贵买下跌
[06:59] 二十几趴了
[07:01] 快往三十趴去了
[07:02] 你知道2022
[07:03] 其实全年它最高到最低
[07:04] 也就大概是三十几趴左右
[07:06] 所以我们等于是
[07:07] 花一个月的时间
[07:08] 把中小的2022跌完
[07:10] 差不多这种感觉
[07:11] 所以理论上
[07:12] 早就该杀出量了
[07:14] 理论上早就该很多人断头了
[07:15] 但是其实你看看自己的部位
[07:17] 就如果说你不是可能
[07:18] 过去一两个月才加入
[07:19] 你是可能年初
[07:20] 或是去年就加入的
[07:21] 就其实其他多数人都还是赚钱
[07:22] 其实讲白点这样
[07:23] 0050都还是挣报酬
[07:24] 然后再来就是
[07:25] 你看这些跌超级凶的中小
[07:28] 就是各个族群
[07:29] 其实基本上全部都已经爆炸了
[07:30] 你去看他们可能去对应
[07:32] 他过往的一个价格
[07:34] 就觉得说今天这个价格
[07:36] 你去往前对
[07:36] 那你就会发现说
[07:37] 他差不多就是跌到
[07:39] 四五月左右的一个价格
[07:40] 所以如果你不是在
[07:41] 可能五六七月
[07:43] 然后疯狂的加码
[07:44] 买一堆在山顶
[07:45] 变头重脚轻的话
[07:46] 其实大家好像真的都没有
[07:48] 那种断头的压力
[07:49] 就是很痛而已
[07:50] 就是你本来以为你赚很多钱
[07:51] 然后回吐
[07:52] 就类似我现在
[07:53] 或是我们身边很多人的感受
[07:54] 那也因为说
[07:55] 可能大家都只是回吐的一个状况之下
[07:58] 就变成一直杀不出量
[07:59] 就是大家在互相虐待
[08:01] 因为以前我们的惯例
[08:02] 就是知道说
[08:03] 当你今天跌很多
[08:04] 那突然间爆量
[08:05] 一大堆成交量跑出来
[08:06] 就是有人认输了
[08:07] 不玩了
[08:07] 一般就要给反弹
[08:08] 像其实今天
[08:09] 台股的尾盘就有点像
[08:11] 就要跌到三万九千多点
[08:14] 然后接着干回去四万这个尾盘
[08:16] 其实在这个尾盘
[08:17] 我们身边蛮多人都在顶说
[08:18] 那些跌停的股票会不会全部都打开
[08:20] 如果打开的话就代表说
[08:21] 就大奇迹
[08:22] 这个大奇迹可能过去
[08:24] 每年也会发生个一两次
[08:25] 可是其实蛮多没有打开
[08:27] 就代表就锁死了
[08:28] 所以那应该要等到明天
[08:29] 就是有些人再被断头
[08:30] 然后才看有没有机会再一次的打开来
[08:32] 可是就是如果说你今天是用
[08:35] 像身边大哥提醒我
[08:36] 你其实这个股票就只是两个多月没涨
[08:39] 大家是不是被宠坏了吗
[08:40] 就是我们在那边抱怨
[08:41] 大家在那边挨
[08:42] 然后大哥就跑出来说
[08:43] 你这个是被宠坏掉
[08:45] 就过去的股票
[08:46] 可能两三个月没有涨回档
[08:47] 那都很正常
[08:48] 可能过去
[08:49] 大家都是太习惯说
[08:50] 每个月都赚钱
[08:51] 像四五月
[08:52] 我们自己的节目也是
[08:53] 我不会说是膨胀
[08:54] 可是就你事后回听会发现说
[08:56] 那时候真的过得太逍遥
[08:57] 就怎么可能你每天开盘
[08:59] 可以跑去打球
[09:00] 你都不用看盘
[09:00] 然后东西就一直涨
[09:02] 其实下回头看就会知道说
[09:03] 那时候其实就要有一些警觉
[09:05] 那好在就是我们自己
[09:06] 其实都来说就去做一些调节
[09:08] 就是可能今天你有跌破一些
[09:09] 关键的均线
[09:10] 就去做一个这个停损
[09:12] 或是停利
[09:13] take profit之类的
[09:14] 但是因为我自己的习惯是
[09:15] 我不喜欢去搞空手这一招
[09:17] 所以我就把东西
[09:18] 怎样就塞进去那种
[09:19] 台积或什么台子
[09:20] 那所以是跟着大家一起吃回档
[09:22] 那只是理论上在这种时间点
[09:24] 就是因为我们现在看市场上
[09:26] 满地都是
[09:27] 真的是一大堆十倍股
[09:28] 然后再来就是一些IC design
[09:30] 可能以前是那种
[09:31] trade到三四十倍去的
[09:32] 现在竟然在二十几倍
[09:34] 就是撒小
[09:34] 就是好便宜
[09:35] 真的很便宜
[09:36] 可是已经有点不太敢买了
[09:38] 因为其实在过去的一两礼拜
[09:39] 就已经持续有在买了
[09:41] 那怎么样买
[09:41] 就是把那个
[09:42] 你本来趴在可能TSM
[09:44] 或是你趴在台子骑的钱拿出来买
[09:46] 像在美股的话
[09:47] 就是你趴在苹果的钱
[09:49] 你可能就拿出来买东西
[09:49] 那只是发现说
[09:50] 无底洞啊
[09:51] 一直买一直跌
[09:52] 所以其实现在就有点怕了
[09:54] 甚至会觉得说
[09:55] 如果后面再出一个人道走廊
[09:57] 因为前面也先出过第一次人道走廊
[09:58] 然后那次的人道走廊
[09:59] 就是把东西
[10:01] 我是换进去就盛亏股
[10:02] 就躲到盛亏股里面去
[10:03] 然后躲到台子棋里面去
[10:04] 那只是第二波
[10:05] 我可能就不会这样子做
[10:07] 我会选择更保守的一个做法
[10:09] 就是可能如果今天
[10:10] 再给我一个反弹的话
[10:11] 给我有机会去调整部位
[10:12] 我可能会再塞更多的东西
[10:13] 跑进台子棋里面
[10:14] 或甚至是就考虑会去拿一些陷阱
[10:16] 因为这个叠幅是非常恐怖的
[10:19] 但其实理论上
[10:19] 我们看到这么大的一个叠幅
[10:21] 后面应该也会有超大的反弹
[10:22] 只是问题是你有办法撑到那个反弹
[10:24] 然后就算有这个反弹出现的话
[10:26] 其实蛮高几率
[10:28] 就是它还是不一定会弹回去
[10:29] 你加码的地方
[10:30] 就像说像有些东西
[10:31] 有可能一两个礼拜前就要开始买
[10:32] 像那种你要我怎么
[10:33] 在一个反弹就弹回去
[10:35] 我觉得超难
[10:35] 就是我一定是要再去做一个摊评
[10:37] 或者是说
[10:38] 可能就要再去做一个等待
[10:39] 然后才有机会
[10:40] 让它回到那个成本
[10:41] 但一般来讲
[10:42] 我们其实不太在意
[10:43] 这种沉没成本
[10:44] 就是你已经赔掉的东西
[10:45] 你就是把它当成已经是赔掉
[10:47] 即便它是账上的未实现
[10:48] 可是因为我们的统整方式
[10:50] 是用净值去算
[10:50] 所以其实对我们来讲
[10:52] 那已经算是一个沉没成本
[10:54] 下的关键比较像是
[10:55] 要怎么样去抓到
[10:56] 后面可以回到新高的东西
[10:58] 因为你知道这样子下来
[10:59] 其实有蛮多东西
[11:00] 应该就是不会回去新高
[11:01] 那只是
[11:02] 我说的不会回去新高
[11:04] 不是说怎么永远
[11:04] 就是说可能在短期
[11:05] 或波段内
[11:06] 可能大概三个月半年之间
[11:07] 不一定会回去
[11:08] 那可是如果
[11:09] 今天的市场是没有死掉的话
[11:11] 假设市场是没有死掉
[11:13] 那后面就继续创高的话
[11:14] 那你知道说指数
[11:15] 它一定是会创高
[11:16] 因为指数里面的components
[11:18] 一定会有东西跑出来带头
[11:19] 但是问题是
[11:20] 指数里面的蛮多东西
[11:21] 可能就不会再上去了
[11:22] 所以比较稳健的方式
[11:23] 就是可能
[11:24] 先选择趴进去指数里面
[11:26] 抑或是可能像身邊蠻多朋友
[11:27] 現在都是直接選擇不玩的
[11:29] 不玩最大
[11:29] 我自己目前的初估規劃
[11:32] 是因為我8月多才開始要帶孩子出去
[11:34] 所以可能到8月多也會調整成
[11:35] 現在已經是慢慢往那個方向去
[11:37] 就是可能單一持股就是不會超過10%
[11:39] 然後可能就會打得很散
[11:40] 可能過去會很集中去做一些東西
[11:42] 題材 主流或者是動能的東西
[11:45] 但後面就會變成是
[11:46] 因為現在可能滿地有那種
[11:48] 10倍 15倍以下的東西
[11:49] 所以在我們的角度看
[11:50] 我們又可以知道說未來的展望
[11:52] 假設說什麼AI沒有真的辦法泡沫化
[11:54] 在這邊讓大家去死的話
[11:55] 那理论上这些东西呢
[11:57] 可能现在就是一个
[11:58] 在我们角度是便宜的机会
[11:59] 可是老实讲
[12:00] 因为它真的太便宜了
[12:01] 便宜到你在怀疑说
[12:02] 是不是老板不在家
[12:03] 还是这东西是不是有炸
[12:04] 是不是有毒
[12:05] 那所以就不敢去重压啦
[12:07] 其实有蛮多东西
[12:08] 看了真的非常喜欢
[12:09] 只是心态变成这样子
[12:11] 那我快速的跟身边一些朋友讨论
[12:13] 我觉得大概也是这样
[12:14] 因为已经是
[12:15] 怎么讲
[12:15] 就这波是跌到
[12:16] 已经没有那种
[12:17] 定海神针的感觉
[12:18] 就以前可能还会有一些族群
[12:20] 一些特别强势的东西撑在那
[12:22] 可是这波就是
[12:22] 反正全部都下去
[12:23] 那就连可能最稳的台积电也下去
[12:25] 只但它下的幅度是很少
[12:27] 它每天可能就是用
[12:28] 3%以内的速度在下去
[12:30] 然后别人可能是用叠停
[12:31] 或是那种7、8%速度下去
[12:32] 只是瞎看起来就是觉得
[12:35] 有点不太乐观
[12:35] 特别是没有特别的消息
[12:38] 出来的状况之下
[12:39] 然后竟然可以叠成这样
[12:40] 这个是非常傻眼
[12:41] 我们再快速的复盘一下
[12:42] 虽然我们可能沿路就有陪大家聊那只是现在你回头看到知道就像说像油价大家说可能是因为美伊战争又在更加的严重所以跌这个可是油价后来再掉下来的时候你看这个盘也没有反弹所以我们初步认为说
[12:54] 当然这有可能是其中一个原因
[12:56] 但应该不会是一个主因
[12:57] 那会不会是
[12:58] 联总会搞不好
[12:59] 真的要去做一些升息
[13:00] 然后去跌破大家的眼镜之类的
[13:02] 以目前的角度来看的话
[13:04] 会认为说机遇不大
[13:07] 但如果说他真的这样子做的话
[13:08] 那其实这波回
[13:09] 真的是回太深了
[13:10] 就是有必要吗
[13:11] 有必要因为一个升息的决定
[13:13] 然后就回成这样的一个程度
[13:14] 不知道就可能等到今天晚上
[13:16] FOMC还是明天晚上
[13:17] 反正就是最近要开了
[13:18] 看他们是怎么样做讨论
[13:20] 如果说开完之后
[13:22] 不管是开好或是坏
[13:23] 市场就稳住了
[13:24] 那可能就代表说
[13:25] 前面可能正在跌这个
[13:26] 就是市场是很害怕这件事情
[13:28] 然后再来另外一个
[13:29] 属于我自己会比较担忧的点
[13:32] 其实这一波大家知道说
[13:34] 震灾算是在韩国
[13:36] 就是由韩国开始
[13:37] 韩国开始大量的崩跌降降轴
[13:39] 然后后来就引导到全世界去
[13:42] 虽然觉得说以美国来讲
[13:43] 就是美国的SPX还是非常的硬
[13:45] 可是美国的半导体相关
[13:47] 科技相关的也就跟得下去
[13:48] 因为AI相关的都掉下去
[13:50] 那日本的股票也一堆都掉烂掉
[13:52] 那台湾的股票跟AI相关的
[13:54] 或是过往的一些涨价题材的东西
[13:56] 大家都摔要烂掉
[13:57] 那我们知道说核心的阵营
[13:59] 是在韩国这一边
[14:00] 那如果说我们今天去解构
[14:01] 韩国的东西的话
[14:02] 当然很大的一部分是你知道说
[14:04] 他们开了超级巨量的杠杆
[14:05] 这个我们在金融恐怖分子那一集
[14:07] 有跟大家稍微聊过
[14:08] 可是如果说我们先把巨量的杠杆
[14:10] 这件事情稍微的把它划掉
[14:12] 我们就单纯去讨论
[14:13] Samsung跟SK Hynix
[14:15] 他们的状况是怎么样
[14:16] 为什么就是
[14:17] 如果你今天是用Forward PE
[14:19] 或是PBR去看
[14:20] 它其实并不是一个特别贵的东西
[14:22] 它都可以这样子摔
[14:23] 这个是不是有隐含什么样的一个讯息
[14:25] 这个就会让我会
[14:26] 比较稍微的担心一点
[14:27] 因为其实严格上来说
[14:29] 现在在市场上最大的一个共识就是
[14:31] 最缺的东西就是记忆体
[14:33] 这个我相信去问任何一个人
[14:34] 大家都会告诉你一样的答案
[14:35] 因为不管是产业界
[14:37] 或是股票圈的人士
[14:38] 在大家看得到的数字
[14:39] 跟一些forecast的状况之下
[14:41] 就知道说
[14:42] 反正最缺的东西
[14:43] 就是在记忆体这一边
[14:44] 那只是最缺的东西
[14:46] 外加可能future的prospect
[14:48] 就是大家都觉得是蛮好的东西
[14:49] 那它都可以杀到这样的一个层数
[14:52] 是不是有可能隐含的
[14:54] 就像过去的半年一年
[14:56] 我们蛮常在讲一件事情
[14:57] 就是现在市场上最便宜的AI股
[14:58] 已经变成是台积电跟NVIDIA
[15:00] 这个大家应该有印象
[15:01] 也不是我的专利
[15:02] 就是其实蛮多人
[15:03] 都有发现这件事情
[15:04] 奇怪
[15:04] 就明明是AI核心的东西
[15:06] 为什么它会是最便宜的东西
[15:08] 然后反而一些快乐伙伴
[15:09] 他们喷到三四十倍的一个估值
[15:11] 那AI核心的东西
[15:12] 可能4P就大概是十几倍
[15:14] 甚至可能有时候会在震荡之下
[15:17] 你会发现说靠北
[15:18] 那种有让破盘价的状况产生
[15:19] 它可能过往的区间
[15:20] 都不曾经到这么低的地方
[15:22] 那有可能就是说
[15:24] 你把NVIDIA或是TSM
[15:26] 想象成是一个benchmark
[15:27] 然后过去可能大家的习惯是
[15:29] 因为我们知道说
[15:30] 有一堆在三四十倍的东西
[15:31] 那所以我们就觉得说
[15:33] TSM跟NVIDIA是不是低估了吗
[15:34] 因为相对之下
[15:35] 他们是便宜的东西
[15:36] 所以是他们要上来
[15:38] 对吧
[15:38] 但经历过7月之后
[15:40] 其实现在的态度
[15:41] 就会变成说
[15:42] 会不会他们的价格
[15:43] 是公定价
[15:44] 所以如果说在AI里面
[15:47] 最火最热的这些公司
[15:48] 不管是Memory
[15:49] 或是TSM或是NVIDIA
[15:51] 那他们的可能4PR的 Ratio
[15:53] 都只能够在这个位置的话
[15:56] 会不会是其他人
[15:57] 其实要熟练下去
[15:57] 就是理论上
[15:59] 当然除非说
[16:00] 某一些Components
[16:01] 不是说每个东西
[16:02] 都一定要比NV
[16:03] 或是台积电便宜
[16:04] 不一定是这样子
[16:05] 因为有些东西可能是
[16:06] 它超大的收回
[16:07] 只有它有某一个关键的零件
[16:09] 那它营收的增幅超大
[16:11] 那它trade的贵一点是合理的吧
[16:13] 那我们就不去
[16:14] 就单一公司去讨论
[16:15] 如果说我们今天
[16:16] 直接抓一个族群来看的话
[16:17] 那如果说我们把各个族群
[16:19] 都抓进来的话
[16:21] 然后去考量到
[16:22] 像这一波的一个科技股的大屠杀
[16:24] 就是有可能市场的叙述会改成是
[16:27] 前面大家是认为说
[16:28] 台积跟NV太便宜
[16:29] 他们应该上去
[16:30] 然后现在就是
[16:31] 就像说换个视角去看
[16:32] 变成是
[16:33] 他们其实是正常的价格
[16:35] 那如果他们都还在下杀的话
[16:36] 那是不是其他人要杀到更低的地方
[16:38] 那只是当然在过去一阵子
[16:40] 其实我觉得中小已经是很加速在往下面撞了
[16:43] 其实现在真的是
[16:44] 我们自己身边朋友讨论都会吓到
[16:47] 靠北不是怎样
[16:48] AI还好好的
[16:48] 那我们看到的Forecast跟产业面都还好好的
[16:51] 可是怎么会一堆东西已经掉到
[16:53] 你知道十倍股
[16:54] 然后甚至有那种七八倍股出现了
[16:56] 当然如果说历史有教会我们什么东西的话
[16:59] 我自己本身在金融海啸的时候是没有做股票
[17:01] 可是我们很常会去看那些
[17:03] 我们没有参与过的市场
[17:04] 然后去了解说
[17:05] 如果你回到当时你会怎么做
[17:07] 那我们会知道说
[17:08] 其实如果真的是有泡泡要破掉
[17:10] 然后真的要出事情的话
[17:11] 其实甚至是五倍股三倍股都会出现
[17:14] 那事后回头看
[17:15] 也就是可能两三年之后
[17:16] 你真的发现说
[17:17] 它当时是被低估了吗
[17:18] 就像非常经典的故事
[17:20] 是在讲说
[17:20] 其实Amazon那时候从三顶掉下来
[17:23] 它好像跌到90几趴吧
[17:24] 那可是Jeff Bezos
[17:25] 他写给股东的信是
[17:26] 然后提到说
[17:28] 其实我们公司都是往更好的方向
[17:30] 我也不知道为什么股价会崩掉九成
[17:32] 但我们的各个指标其实是越来越好
[17:35] 那如果说历史有教会我们
[17:37] 就是我们知道说
[17:37] 是有可能在一些极端的状况之下
[17:40] 就是我们过往去守的一些估值的防线
[17:42] 是有可能有问题的
[17:43] 因为像我自己
[17:44] 我现在体感非常明显的原因
[17:46] 就是因为在过去一阵子
[17:48] 像我自己开始去卖一些什么台值
[17:50] 或是TSM或是苹果
[17:51] 就是相对文件的东西
[17:53] 然后去买
[17:53] 可能不管是美国台股一些东西
[17:56] 我就自己有设定一个
[17:57] 可能估值的filter
[17:59] 那你今天已经掉这个估值一下
[18:00] 我又知道你未来好的
[18:01] 我没有道理不买你
[18:02] 可是当我买了之后
[18:03] 我又发现说
[18:03] 你可以再往下15% 20%
[18:06] 甚至没有停下来
[18:07] 那我真的会开始去思考说
[18:08] 会不会我买错了
[18:09] 会不会是有一些我不知道的东西
[18:12] 那亦或是会不会
[18:13] 其实大家的估值
[18:13] 都必须要调到某个位阶之下
[18:15] 所以我现在的做法是
[18:17] 我会去思考一个相对负面的剧本
[18:20] 只是我在思考负面剧本的时候
[18:22] 我比较不会做的事情是
[18:24] 就我知道市场上
[18:24] 一定有些人会开始说
[18:25] 就是应该要放空
[18:26] 就是应该空手
[18:27] 其实我们节目这么多年来
[18:29] 我们是不太去做这样的事情
[18:30] 我能够说是每个人的选择
[18:31] 你觉得很危险
[18:32] 你觉得要怎么样
[18:32] 当然你有自己的一个做法
[18:34] 只是我就会比较倾向是
[18:36] 我今天去买个股的时候
[18:37] 会更加小心
[18:38] 甚至是可能在个股这边
[18:39] 就不会去做太多的琢磨
[18:41] 而是就集中往指数的方向去
[18:42] 因为当今天已经不知道
[18:44] 方向该怎么开的时候
[18:46] 就特别是可能
[18:47] 像两个礼拜前的节目
[18:48] 还可以讲说
[18:49] 那种季线以下的我不看了
[18:50] 你如果不看季线以下的东西
[18:52] 你要看啥小
[18:53] 季线以下的东西
[18:54] 就几乎满满地都是
[18:56] 季线以上的东西
[18:57] 反而是极度罕见的
[18:59] 而且现在其实
[19:00] 还可以直接点名出来
[19:01] 哪几只是还在上面
[19:02] 那这个感觉就跟我们
[19:04] 可能在一两个礼拜前
[19:05] 在讲那个什么
[19:06] 细金园跟载板一样
[19:07] 就是全市场都知道说
[19:08] 它是避风港
[19:09] 所以等到后面
[19:11] 避风港的资金塞完之后
[19:12] 搞不好它就开始补跌
[19:13] 就大概后来就看到
[19:14] 那些族群就补跌
[19:15] 那其实有可能
[19:17] 就是现在还在记下上的东西
[19:18] 就后面又会这样子
[19:19] 所以就会觉得
[19:20] 像它这个盘
[19:21] 有点像是在踩地雷
[19:22] 就是不管你做什么
[19:23] 都是可能给人家干到
[19:24] 所以可能就是要切换成为
[19:26] 特别是也是在身边的一些朋友
