[00:00] 欢迎收听谷爱,我是圣梦宫,本期节目由军企医美赞助
[03:40] 然后等到日盘又再一次的抢回来
[03:42] 那所以当你看到这样子的状态
[03:44] 特别是像我自己砍掉的一些东西
[03:45] 虽然它可能一开始直接射出去
[03:47] 但随后又拉回来
[03:49] 而且拉回去的幅度是蛮大的
[03:50] 那但是因为我把它砍掉
[03:52] 我把东西换去别的地方
[03:53] 那换去的地方
[03:54] 可能就出现了涨停
[03:55] 所以可能在礼拜四礼拜五的时候
[03:56] 心情就是跟
[03:57] 礼拜一礼拜二礼拜三
[03:59] 有一个截然不同的感受
[04:01] 就是你前面觉得自己的决定是错的
[04:03] 那周边班说
[04:03] 没有
[04:04] 就是我决定应该都还是OK的
[04:05] 所以我不能够受到
[04:07] 当下的一些现象
[04:09] 然后就去扭转掉我的判断
[04:11] 就是你要对自己有点自信
[04:12] 那至于这个自信
[04:14] 要怎么样去形成
[04:15] 或者说
[04:15] 对每个人来说
[04:16] 真的都是要立刻
[04:18] 有很大的自信
[04:18] 我觉得那不是
[04:19] 就是你还是要时间
[04:20] 慢慢去堆叠
[04:21] 那堆叠之后
[04:22] 你就大概会知道
[04:22] 要怎么样去做出这些判断
[04:25] 那最近我觉得
[04:25] 自己蛮自豪的一点
[04:27] 就是像过往这种
[04:29] 所谓的战斗周出现的时候
[04:30] 那我就会直接远离
[04:32] 我们的家庭生活
[04:33] 那我觉得整天待在我的办公室
[04:35] 持续的去工作
[04:36] 或是下单
[04:37] 或是赔钱
[04:38] 反正总之就是
[04:38] 我想把自己关起来
[04:40] 那这次我觉得
[04:41] 我做的很好的一点是
[04:42] 我相信去年四月帮助我很大
[04:44] 就是我在风控方面
[04:45] 又变得更强了
[04:46] 那我还是有办法
[04:48] 可以跟孩子去打
[04:49] 他的Pokemon游戏
[04:50] 或者我们甚至是
[04:51] 在Nintendo Switch上面
[04:52] 去玩了一款新的
[04:52] 叫Pokopia的游戏
[04:54] 它是Pokemon新的游戏
[04:55] 然后有点像是说
[04:56] 结合Minecraft
[04:57] 然后跟
[04:58] 那个叫什么
[04:59] 牧场物语
[05:00] 就是他就是把很多
[05:01] 我小时候很喜欢的元素都放在一起
[05:03] 然后跟孩子一起玩
[05:04] 我觉得这款很赞
[05:05] 但它有一点小缺点就是说
[05:07] 就像说像Astrobar
[05:08] 它很棒的是
[05:09] 我可以全自动的让孩子去玩
[05:11] 所以自己累的时候就
[05:12] 让他自己去打就好
[05:14] 可是如果今天是玩Pocopia的话
[05:16] 它有比较多的对话的成分
[05:18] 还有些任务要解
[05:19] 所以你就必须要从头到尾
[05:20] 都坐在你儿子旁边
[05:21] 但这次我就有注意到说
[05:22] 就即便国际的盘式
[05:24] 跟他妈狗屎一样
[05:25] 但我并没有因为这样子
[05:26] 我就说爸爸要去工作
[05:27] 爸爸要去忙
[05:28] 我还是花很多时间
[05:29] 在陪他打天洞
[05:30] 那这个是我觉得
[05:31] 就是我自己有感发现
[05:33] 自己很棒的一个进步的点
[05:35] 那所以在这边稍微跟大家分享一下
[05:37] 就我还是觉得就是可能
[05:38] 不知道就是身为一个神父
[05:39] 你的生活一定跟之前不太一样
[05:42] 也就是说你就已经做这个决定嘛
[05:44] 那你就要去接受这个决定
[05:45] 那这个决定会帮你带来一些快乐
[05:47] 可是同时它也带来一些责任
[05:49] 那这个责任呢
[05:50] 某个程度上它就会剥夺掉
[05:51] 像你的时间啊
[05:52] 或是你的体力之类的
[05:54] 但很多人可能因为这样子
[05:56] 就会觉得这个小朋友是什么脱优品质
[05:58] 就有时候会听到一些朋友
[05:59] 会讲出类似的话
[05:59] 那我觉得就比较不好
[06:01] 因为小朋友并不是
[06:02] 他自己要来的
[06:04] 你懂我意思吗
[06:04] 就是你选择他要来
[06:06] 所以你应该还是要多花时间在他身上
[06:08] 那我必须得说在我的
[06:09] 大儿子刚出生的大概前一年
[06:12] 我是认为我自己没有做得很好
[06:14] 就第一年我没有做得很好
[06:16] 那可是在后来就是慢慢都是
[06:18] 自己有意识的要去改善这件事情
[06:20] 所以其实就是说那种小小的进步
[06:22] 你不可能一次就变成一个好爸
[06:24] 我认为是这样
[06:25] 那慢慢的发现
[06:26] 自己跟上次就是可能
[06:28] 你知道2025年的4月
[06:30] 或者说可能在2024年的7月
[06:33] 就是每次这种战斗周出来的时候
[06:35] 你其实每次都是越做越好
[06:37] 然后陪伴家人时间越来越多
[06:39] 我觉得这就是一个长足的成长
[06:41] 大概这样
[06:41] 那希望大家在这次的
[06:43] 这个战斗的过程
[06:44] 可以过得平安顺利健康
[06:47] 虽然其实老实讲
[06:48] 现在美股越看越觉得
[06:49] 有一点那种不太乐观
[06:51] 快BBQ的味道
[06:52] 如果说它真的就破底
[06:53] 再撞下去的话
[06:54] 一般是这样
[06:55] 因为美股它如果真的
[06:56] 趋势要改变的时候
[06:57] 它會有那種反正就是一連串的瘋狂屌笑
[07:01] 那可能是跟他們有很多的程式單
[07:03] 然後跟很多的Quant在裡面有關係
[07:05] 就會觸發那種連鎖反應
[07:07] 所以一些那種關鍵的底
[07:08] 如果說它破了馬上站回來沒有問題
[07:10] 可是如果說破了然後開始往下墊的話
[07:13] 會加速就會開始加速
[07:15] 所以就可能有德芒
[07:16] 即便可能像亞股很強
[07:18] 好像也都會被美股一起帶下去
[07:20] 所以對就是全世界都在教美國人做股票
[07:22] 美國人已經忘記怎麼做股票
[07:24] 當然這個都是我們講的玩笑話
[07:25] 实际上就是国际情势
[07:27] 开始有一些新的状态出来
[07:29] 那我们希望真的像川普讲的
[07:30] 他可以很快把这些事情给settle掉
[07:32] 那大家就不用想太多
[07:34] 但实际上我还是会认为
[07:35] 就不管事情是怎么样发生
[07:37] 那重点就是
[07:38] 你要知道事情本来就是会发生
[07:39] 就算没有这个伊朗的战争
[07:41] 他也会有别的东西
[07:43] 然后来把你的部位给炸下去
[07:45] 像类似之前
[07:46] 日本Carry Trade的升降席的事件
[07:49] 也是有影响到市场蛮大的
[07:51] 那或者是甚至像加密货币
[07:53] 那时候崩下去的时候
[07:54] 可能也是跟市场有一点关系
[07:56] 我们讲市场的时候
[07:57] 就股票市场都会有一些联动
[07:58] 所以无论发生什么事情
[08:00] 都会影响到你的股票
[08:01] 那它其实
[08:02] 你不用去要怪给什么川普
[08:04] 或者说什么伊朗战争
[08:06] 就算没有那些事情
[08:07] 你也知道会有别的事情来搞你
[08:08] 所以总之就是要随时准备好
[08:10] 自己去面对各式各样的波动
[08:11] 这可能是最重要的
[08:12] 那把自己的心态调好
[08:13] 也是很重要的
[08:14] 因为总别因为说你的工作
[08:16] 每次有波动
[08:17] 有一些事情发生
[08:17] 然后你对家人就比较不好
[08:19] 或是态度就比较差
[08:20] 这也是对我自己讲
[08:22] 只是我觉得我已经有慢慢的
[08:23] 越做越好了
[08:25] 特别是我说
[08:25] 问一下我老婆的意见
[08:26] 那甚至呢
[08:27] 有时候会让他变成是
[08:29] 不知道就意外的
[08:30] 好笑的一些发展
[08:32] 像那一天在下单的时候
[08:34] 是礼拜
[08:34] 礼拜四
[08:35] 礼拜四我在下单的时候
[08:36] 然后一样
[08:37] 就是我老婆突然就抱着
[08:38] 小儿子二儿子进来
[08:39] 因为大儿子已经学校上学
[08:41] 那一般他进来
[08:43] 我就记得啊
[08:43] 几年前我就一直说
[08:44] Can you get out
[08:45] 就是你现在请出去
[08:46] 因为我真的是很专注
[08:47] 我没空
[08:48] 可是这次呢
[08:48] 我看到儿子进来
[08:49] 我不知道我就觉得蛮开心的
[08:51] 然后就在那边跟他挥手
[08:52] 跟他玩
[08:52] 那其實大兒子跟二兒子都還蠻喜歡我的電腦的
[08:55] 因為可能會發光吧
[08:56] 又有幾個螢幕這樣
[08:57] 所以他們喜歡在我這邊亂敲鍵盤之類的
[08:59] 那這次我的二兒子進來看一看之後呢
[09:01] 然後那時候我就是反正是下單
[09:03] 夜面在開著
[09:04] 那我就跟我老婆講說
[09:06] 這一檔就是我剛才本來要買它
[09:08] 那可是我就想說
[09:09] 因為現在的盤子比較不穩
[09:11] 所以我要等到它要漲停了
[09:12] 我再去買它
[09:13] 就是我要去鎖漲停的意思
[09:14] 那我已經把我的單都按好
[09:16] 反正就幾百張在那邊
[09:17] 然後跟他說我到底要不要按
[09:18] 我到底要不要按
[09:19] 我覺得現在狀況可能不太好
[09:20] 可是這個東西我已經追蹤他很久
[09:23] 他終於表態我到底要不要追
[09:24] 然後我老婆就說不知道
[09:26] 看一下你兒子的意見
[09:27] 然後兒子就突然這樣
[09:29] 然後我老婆就說他叫你下單
[09:31] 你就買你就買就對了
[09:32] 然後我就把它鎖住
[09:34] 接著等到隔天
[09:36] 又在準備要去衝漲停
[09:37] 所以就蠻高興的
[09:38] 我就跟我老婆說
[09:39] 這個二兒子已經把他出生到下的
[09:41] 所有費用都cover掉了
[09:42] 還有找而且還找很多
[09:45] 搞不好以後學費都可以cover掉
[09:47] 就他一個這樣嗯嗯的首肯
[09:48] 那我就决定要去做下单
[09:50] 那以前是不太会发生这种事情
[09:52] 就也不会有这种气氛单的状态
[09:54] 反正就是非常理性
[09:56] 非常的怎么讲
[09:57] 果断甚至有点冷酷的味道
[09:59] 可是现在竟然还可以
[10:00] 在这个儿子的陪伴之下
[10:02] 有点像那种彩衣于青的感觉
[10:04] 我的儿子开心就好
[10:06] 我要让他开心
[10:06] 我就一起去下单
[10:07] 然后发出那个声音
[10:08] 然后看他会怎么样
[10:09] 那这方面也意外获得一些好的发展
[10:11] 当然这可能不是一个好的示范
[10:13] 可我意思就是说
[10:13] 那个心态的chill
[10:14] 那个是以前都无法想象的
[10:17] 那也希望大家都平安健康
[10:19] 大概这样
[10:19] 那接下来我们进入市场话题
[10:21] 那这个礼拜在市场上最火热的东西
[10:23] 又再一次的回到记忆体
[10:25] 记忆体真的是已经独领风骚很长的一段时间
[10:28] 只是说现在这个舞台中间的人稍微换了一下
[10:31] 以前D4可能是市场里面最充的东西
[10:34] 然后现在可能又再一次的回到EMMC MLC NAND
[10:37] 然后或者说NORFLASH
[10:38] 也就是万宏
[10:39] 万宏变成是市场的一个焦点
[10:40] 那当然他会出现那个涨停
[10:42] 跟凯基发了一个300块的报告
[10:44] 有很大的一个关联性
[10:45] 那实际上我们在产业的角度去看的话
[10:47] 那个EMMC的报价确实都是持续的很好
[10:50] 那Nord Flash的价格呢
[10:52] 也是涨得还蛮不错的
[10:53] 所以整家公司呢
[10:54] 有点像是说就搭到了这一波记忆体的风潮
[10:57] 那在里面呢
[10:58] 是有点像独领风骚的味道
[11:00] 特别的强势
[11:01] 那最主要的理由呢
[11:03] 并不是说什么AI的server
[11:05] 会用到大量它的东西
[11:06] 本来可能很多人想去做这样子的一个假设
[11:09] 就这方面是普世无华的
[11:10] 就是因为AI伺服器去
[11:12] 需要大量的这种先进的产能
[11:15] 所以蛮多大厂移过去
[11:16] 导致像MLC NAND
[11:18] 就没有人要做了
[11:19] 就剩他了
[11:20] 所以他的表现特别好
[11:21] 但应该说
[11:22] 就是在一些大厂那边
[11:24] 可能还是有一些零星的料
[11:26] 可是就是最主轴
[11:27] 就变成像是旺红这样
[11:29] 所以他就是有很多涨价的空间
[11:31] 其实这个礼拜也蛮多的
[11:33] 各家公司跑出来
[11:34] 去做各式各样的上修
[11:36] 像我们也看到
[11:36] 灾班厂又要再去做
[11:37] 更多的KFX投资
[11:39] 然后有一些
[11:40] 后段的封装测试厂
[11:41] 又有再去做更多的厂房的投资
[11:43] 其实这些都代表说
[11:44] 大家对于未来都还是非常的看好
[11:46] 所以即便可能指数是在一个相对的高位
[11:49] 也就是我们都会相对比较警觉的地方
[11:51] 可是同时你只要知道说
[11:53] 这些公司都还是有持续的去做投资
[11:55] 然后这些巨头的CAPEX都没有掉下去的话
[11:57] 那就没有什么太大的问题
[11:59] 那国际的一些大头也是要稍微看一下
[12:01] 但就像在过去的前几集
[12:03] 有跟大家分享说
[12:05] 就是某机体大厂
[12:07] 那现在就直接讲
[12:07] 反正就是美光
[12:08] 然后美光其实市场已经在传说
[12:10] 它毛利要开到八十几趴
[12:12] 你敢相信吗
[12:13] 八十几趴
[12:13] 他媽殺小
[12:14] 但其實你看他現在的股價的漲勢
[12:16] 其實我覺得有像了
[12:18] 有像就是市場應該是真的有蠻多先知的
[12:20] 那我們就等下禮拜再來看
[12:22] 是不是真的開一個80幾%的毛利
[12:23] 如果是的話
[12:24] 那就非常的恐怖了搞不好又再一次帶動大家但是我自己會稍微比較注意的點是因为GTC即将要登场那当然我是非常期待这个活动也很期待NVIDIA跟老黄会带出什么样的一个新东西
[12:37] 不过按照惯例
[12:39] 就是因为我们的工作跟这个产业
[12:41] 其实某个程度上
[12:42] 它是怎么样
[12:43] 它是结合的
[12:45] 可是同时你也是要稍微的
[12:47] 就是怎么说去做一些预判
[12:48] 就是如果说今天在GTC上面
[12:50] 它真的就是端出一些光通的solution
[12:53] 那你觉得会怎么样
[12:54] 很多人可能会想说
[12:56] 那应该就是会涨
[12:57] 可是问题就是
[12:58] 那市场是不是有预期到这件事情
[13:00] 以我们的角度来说
[13:01] 就是现在大家都已经预期到这件事情
[13:02] 大家都已经知道说
[13:03] 它会有一些贯通的solution
[13:05] 然后它会有它的LPU
[13:06] 至少大家都已经是这样子猜了
[13:09] 我不确定会不会有
[13:09] 但大家都已经这样猜了
[13:11] 那如果真的端出来的话
[13:12] 那个风向会有点像是说
[13:14] 如果它是继续喷的话
[13:15] 那可能大家就会顺水推之后
[13:17] 把它推上去
[13:17] 可是如果说它是稍微的狠
[13:19] 或甚至软的话
[13:19] 可能会下很快
[13:20] 可能会下很快
[13:21] 所以像我自己就会想在
[13:23] 这些关键的事件前面
[13:25] 然后先去做一些调节
[13:27] 最后去做一些调整
[13:28] 就不会让自己
[13:29] 可能是抱着大量的部位
[13:31] 然后去扛这些事件
[13:31] 当然这都有好有坏
[13:33] 有时候你就直接无脑的抱过去
[13:35] 然后就再举一盆
[13:36] 那也是一种选项
[13:36] 反正每个人都是
[13:37] 为自己的决定去负责
[13:39] 只要知道自己的逻辑
[13:41] 是顺畅的就OK
[13:42] 最近Tesla这边也蛮多
[13:45] 各式各样的网络上的坏消息
[13:46] 开始放出来
[13:47] 最主要就是说
[13:48] Robotex好像没有看到什么成长性
[13:50] 但前几天跟朋友聊天的时候
[13:52] 因为反正有些朋友是在韩系大厂这边的
[13:55] 然后就是有提到说
[13:57] Tesla的下单数量是非常的恐怖
[13:59] 他们又再去做更多的上销
[14:00] 所以有时候很好笑的点是
[14:02] 我们同时会去看一些市场的反应
[14:04] 就是说怎么讲
[14:05] Top button的感觉
[14:07] 就是我们先去看整体的状态
[14:09] 然后再去验证一下每家公司是怎么样
[14:12] 可是同时我们又会从各家公司的一些订单状态
[14:14] 然后去反推说
[14:16] 那到底实际的状况是怎么样
[14:17] 其实我自己是比较相信bottom up
[14:20] 就是后者
[14:20] 就是从下面往上看这件事情
[14:22] 那所以在我的角度会认为说
[14:24] 因为我们这边就有看到说
[14:26] 马斯克他去追加了一大堆的订单
[14:28] 所以他应该要搞事情
[14:30] 就他应该有东西在后面
[14:31] 所以即便现在可能很多人在diss说
[14:33] 你那Robotex
[14:34] 你怎么没有持续的去扩你的fleet
[14:36] 是不是遇到什么事情
[14:37] 我不知道
[14:38] 我感觉他是在蹲低准备要跳起来
[14:41] 至少我们看到的订单状态是这样子
[14:43] 那就跟前面我们看到
[14:44] 那个卫星的订单状态一样
[14:46] 那最后面我们也是
[14:48] 怎么讲蛮意外的
[14:49] 像那个meco就说奇怪
[14:50] 他應該要上修一下
[14:51] 因為不太對
[14:52] 他如果拿到這麼多訂單
[14:53] 他怎麼會是這個價格
[14:54] 就短短的一段時間就翻了一倍
[14:56] 那翻了一倍之後
[14:57] 大家就會開始出來跟你講說
[14:59] 衛星有多好
[15:00] 那就很好笑
[15:01] 就變成是報導大家都會去cover
[15:03] 可是在報導cover之前
[15:04] 很多時候我們去做這些預判的猜測
[15:07] 那就像上集可能有人問說
[15:08] 那個折疊機
[15:09] 我們兩個說有可能是在今年
[15:10] 雖然我也講完
[15:11] 就有蠻多聽眾就私訊我
[15:13] 就各個供應鏈環節的就說
[15:15] 不會啦
[15:15] 就他那個東西會出問題
[15:17] 所以就是可能沒有
[15:18] 像大家想的這麼快或什麼
[15:19] 但一樣
[15:20] 因为我们的工作就是要面对这种不确定性
[15:22] 就其实都是有个赌的成分在那边
[15:24] 那一般来讲越赌的东西
[15:27] 就有点类似说大家去下运财一样
[15:29] 那种看起来越不可能的赔率就越高
[15:31] 那就看你要赚什么钱
[15:33] 所以在我的角度就是
[15:34] 我都会倾向去相信比较乐观的剧本
[15:37] 那如果错了怎么办
[15:37] 错了就砍掉就好了
[15:39] 这没有什么大不了
[15:39] 你不可能每次都对
[15:40] 但我们会从一些这种供应链的言调
[15:44] 然后就会去反推说
[15:46] 到底现在实际的状况是怎么样
[15:47] 所以即便现在可能很多人在外面跟你讲说
[15:49] Tesla的状况不好
[15:51] 有很多的
[15:52] 这个X上面的账号
[15:53] 那其实
[15:53] 就像是在Mula的
[15:55] 他的那个电子报里面
[15:56] 有写到
[15:57] 他说就是有一些是
[15:58] 那种常年就在
[15:59] 黑Tesla的一些账号
[16:00] 那我先不管
[16:01] 他是常年在黑Tesla
[16:02] 但我自己确实是有注意到
[16:04] 就真的很多人在发文讲说
[16:05] 他现在可能有遇到
[16:06] 一些瓶颈或什么的
[16:07] 那只是在我们
[16:08] 用供应链的角度去看
[16:10] 是没有太大的问题
[16:11] 那可能甚至后面
[16:12] 会有一些惊喜
[16:13] 要端出来给大家
[16:14] 但就算你知道这件事情
[16:16] 老实讲你对股价的判断
[16:17] 还是很困难
[16:17] 为什么
[16:18] 因为Tesla的估值其实严格上来说是
[16:20] 你根本没有办法用任何一个环节
[16:23] 然后去算出它的合理价
[16:24] 就简单来讲它的价格是不太合理的
[16:26] 那你去买这张股票呢
[16:28] 很多你是付出给这个Elon的Trust Premium
[16:31] 就是你是相信它
[16:33] 然后你去付出了某种程度的溢价
[16:35] 所以就算它可能后面的状态很好
[16:38] 可是它的股价再给你跌个二三十%
[16:41] 你也不能够说这个什么委屈了
[16:43] 因为它其实真的是蛮贵的一个股票
[16:45] 所以其实像我自己是很难去评价
[16:47] 這檔股票到底怎麼樣
[16:48] 在我的角度就是反而有點那種氣氛
[16:50] 反正你今天如果掉下來我就去買
[16:52] 我只要知道你的狀況不錯我就去買你
[16:54] 所以我現在的想法就是
[16:56] 因為美股看起來是準備又要再去破底了
[16:58] 如果說真的有破底發生的話
[17:00] 老樣子一般都會先規劃好
[17:01] 說可能後面要去撿什麼東西
[17:03] 過去撿的東西
[17:05] 如果可能在後面的表現不好的話
[17:06] 可能要去做一些調整
[17:08] 就像說像在市場上面
[17:09] 大家是很習慣去把軟體包成一包
[17:12] 就直接說這些東西都是什麼軟體股
[17:13] 所以像前面的什麼軟體股大逃殺
[17:16] 那當然你現在看就會發現說很好笑
[17:18] 就真的很多人都是暢空在低點
[17:20] 好像軟體的放空報告也是
[17:23] 就發在最低點
[17:24] 然後後來像是Pantheon或是Cloudflare或是Cloudstrike
[17:27] 也是我自己有在追蹤的泛軟體股
[17:29] 這個蠻多都已經漲回去
[17:31] 有些甚至已經是回到零軸了
[17:33] 就是它根本就已經不是在水下了
[17:34] 當然也有一些軟體股真的下去了
[17:36] 就像Adobe就是真的下去
[17:38] 然後像CRM就真的還躺在地上
[17:40] 我覺得就是說
[17:41] 你盡量不要用這種很一言以蔽之的方式去評論事情
[17:45] 那當然有時候我們可以用一言以蔽之的方式
[17:48] 去讓人家快速的了解狀態
[17:50] 可是問題是如果你今天要賺錢要分析的話
[17:52] 就像你不會講說什麼硬體股就全部都是一包
[17:55] 我就問你嘛廣達跟音樂達是一樣的東西嗎
[17:57] 台積電跟聯電是一樣的東西嗎
[18:00] 就是我們沒有講說誰高誰低
[18:01] 只是如果因為硬體台灣人熟嘛
[18:03] 所以我這樣去講大家就知道說
[18:05] 沒有啊幹它是不一樣的東西
[18:06] 一樣是IC Design
[18:07] 你說MTK跟瑞玉
[18:09] 那或者說跟一些我們就不要去臭人家
[18:11] 有些那種超小型的那種小Design House
[18:14] 那可能20年前曾经有它的光辉moment
[18:16] 然后现在下去
[18:17] 他们都是IC design
[18:18] 那你会讲说IC design一起好的时候
[18:20] 就大家都一起好吗
[18:21] 其实不会
[18:21] 所以软体你要讲说它一包什么
[18:24] 软体股大毁灭
[18:25] 然后被什么AI取代
[18:27] 什么SAS apocalypse什么的
[18:29] 你就会知道说
[18:29] 就讲这些话的人一般脑袋都不太好
[18:31] 因为它根本就是没有办法去区别说
[18:33] 哪个东西是better
[18:35] 哪个东西是worse
[18:36] 就你不可以把它一包都包在一起
[18:38] 你懂吗
[18:38] 因为你现在事后回头看到知道吗
[18:40] 因为当时软体在大跌的时候
[18:42] 我们就是有点像是说逆风的状态
[18:44] 我也不是故意要去跟市场对着干
[18:45] 我只是像我可能前几集
[18:47] 有跟大家聊到
[18:48] 我现在很讨厌在社群上面
[18:51] 看到大量那种
[18:52] 反正就AI协助产出的文章
[18:54] 或甚至是直接是AI产出的文章
[18:56] 然后他就去帮你总结说
[18:57] 过去发生什么事情
[18:58] 因为这种东西
[18:58] 它其实会让你的心性
[19:01] 会变得非常的不稳
[19:01] 就是你会在坏的时候
[19:03] 疯狂看坏
[19:03] 然后你会在好的时候
[19:05] 疯狂看好
[19:05] 那请问一下
[19:06] 除非是那种线性行情
[19:07] 直接他妈拉出去
[19:08] 不然你真的不会赚钱
[19:09] 等于说你都是追在最高点
[19:11] 然后卖在最低点
[19:12] 所以因為這樣子的一些社會環境的變化
[19:15] 現在開始在社群上很多這樣的東西
[19:17] 所以第一個我自己就減少去看
[19:18] 然後第二個就是我選擇在節目裡面
[19:21] 甚至有時候是逆風我也要去講出
[19:23] 我覺得是真正在發生的事情
[19:25] 就是你不可以把全部東西都包成一包
[19:27] 那一樣的道理就像是在2022
[19:28] 也是很多人說什麼台灣的這些硬體公司都他媽的垃圾
[19:32] 然後那時候甚至買台積電就是一個笑話
[19:34] 你回頭看就會發現說那些所謂的笑話
[19:37] 然後那些在買這些軟體股的
[19:39] 或是說在買這些硬體股的
[19:40] 在2022买硬体股的
[19:42] 其实都是赚最多钱的人
[19:43] 所以有时候跟市场反着做
[19:45] 我觉得是OK的
[19:46] 那这就会回到一个大宅问
[19:47] 就到底市场是对是错
[19:48] 那这个我们也讲过很多次
[19:50] 如果你今天是用
[19:51] 极长期的角度来说的话
[19:53] 那市场是对的
[19:54] 我觉得这没有什么争议
