[00:00] 歡迎收聽谷外,我是蕭夢宮
[01:41] 可以在我們資訊欄
[01:41] 找到更多的說明與連結
[01:43] 那已經順利抵達羅馬
[01:44] 回到Oksana家了
[01:45] 那現在心中想的是
[01:47] 還好這一切
[01:48] 都是非常的平安順利
[01:49] 本來心中是認為可能在旅遊的過程之中
[01:52] 會超級累之類的
[01:53] 因為這是一次帶兩個小孩
[01:55] 然後跑這麼遠
[01:56] 雖然並不是Killian第一次搭飛機
[01:58] 但是Killian第一次搭了15個小時的飛機
[02:01] 然後就覺得說在路上應該很累
[02:03] 當然我們做了萬全的準備
[02:04] 不然說他要喝的奶
[02:06] 他要玩的玩具都準備好
[02:07] 還是心中有點緊張
[02:09] 第一次帶諾亞飛羅馬的時候
[02:11] 其實是完全沒有什麼問題
[02:12] 他一直都是一個很好帶的小孩
[02:14] 就算他可能有哭一下
[02:16] 那也是立刻可能站起來抱一抱
[02:18] 馬上就好了
[02:19] 他也沒有說什麼飛機起降的時候
[02:21] 額壓變化的那些問題
[02:22] 那所以我們算是相對幸運的家長
[02:24] 在這一方面
[02:25] 雖然說睡過夜
[02:26] 我們可能是算很不幸的
[02:28] 因為兩隻呢
[02:29] 相對來說是兩歲多才睡過夜
[02:31] 然後其安呢
[02:32] 到現在每天都至少會醒來
[02:33] 三到四次以上
[02:34] 非常崩潰
[02:34] 那至少可能我們有壞的一面
[02:38] 有好的一面
[02:38] 搭飛機他是非常順暢的
[02:41] 那也沒有可能在過程之中
[02:43] 感覺到不耐煩
[02:44] 或是開始爆褲之類
[02:45] 那對家長來講
[02:46] 我們就算是鬆了一口氣
[02:47] 因為我們還最不希望可能
[02:49] 小朋友在飛機上哭會吵到別人之類
[02:51] 雖然這個我還是得講
[02:52] 就是我現在自己身為家長
[02:54] 那我會支援那些
[02:56] 就是可能在搭飛機
[02:57] 或是公眾運輸的家長
[02:59] 那可能在過程之中
[03:00] 小朋友有一些不舒服哭之類
[03:01] 我覺得家長
[03:03] 特別是以臺灣的家長來說
[03:04] 我們已經算是非常的
[03:05] 甚至可以講說是insecure
[03:07] 因為你就是在網路上社群
[03:09] 看到一大堆人會去幹屌小朋友
[03:11] 我覺得臺灣特有的風氣
[03:13] 蠻屌的
[03:13] 因為很多人會做這種事情
[03:15] 所以會讓很多家長
[03:16] 他本身去搭大眾運輸的時候
[03:18] 就很小心
[03:19] 甚至是過於小心
[03:20] 就像說
[03:21] 如果你今天可能去一些外國
[03:23] 當然我也不敢講
[03:24] 說我去的國家很多
[03:25] 可是應該是比大多數人還多
[03:26] 至少我看到的狀態是
[03:29] 他們很多小朋友就真的放飛
[03:30] 因為他們覺得這就是小朋友
[03:32] 小朋友在地上爬
[03:33] 小朋友大叫
[03:33] 小朋友哭
[03:34] 都是很正常的事情
[03:35] 只是我們臺灣人會比較緊張一點
[03:38] 可能家長因為看了很多社群討論
[03:40] 也會很緊張
[03:40] 但是我老實講一件事情
[03:41] 基本上會去社群公審的人
[03:44] 那是極少數的人
[03:45] 然後再來就在社群上面
[03:46] 去公審之後
[03:47] 還會跟著去vibing的
[03:49] 你看起來像是很多的一群人
[03:50] 可是那一群人可能就是
[03:51] 社會中的一些比較邊緣的存在
[03:53] 所以老實講
[03:54] 就是你在現實生活中
[03:55] 你比較不會遇到這種
[03:57] 就是去刁難你的一個情形
[03:59] 那我覺得大家都盡力就好
[04:00] 所以如果說我自己有遇到
[04:02] 像那些家長
[04:03] 我自己不會覺得是怎麼樣
[04:04] 反正就像我跟大家分享
[04:05] 就抗躁和稽帶起來
[04:06] 就已經解決大多數的問題了
[04:08] 那只是因為我們自己
[04:09] 還是會有一點擔心
[04:11] 就是會不想要影響到別人
[04:12] 所以就非常小心的管控
[04:14] 但中間發現說
[04:14] surprise motherfucker
[04:15] 其實他在飛機上是很拐的
[04:17] 那到羅馬之後呢
[04:19] 第一個感覺就是那種滄海桑田的味道
[04:21] 當然不是說羅馬的街景有什麼變化
[04:23] 他們都是一直來反正都古蹟嘛
[04:25] 都不會去有什麼大調動之類的
[04:27] 那是我我很高興的帶了三瓶兩公升的清酒
[04:30] 來到羅馬想要跟Luca分享
[04:32] 那Luca就是Cirly的老公
[04:34] 那Cirly的話老聽眾應該要知道
[04:36] 甚至這次我要來羅馬
[04:37] 都會講說可不可以請他再多拍一點食譜
[04:40] 那這邊跟大家講
[04:41] 應該是已經沒有這樣子的機會了
[04:42] 因為Cirly呢跟我的岳母呢已經不是朋友了
[04:46] 我就覺得說幹超靠北的
[04:47] 因為我本來也蠻期待來這邊吃Siri做的東西
[04:49] 然後跟她老公Luca聊天
[04:51] 我們上次聊天的時候還是
[04:52] CheckGPT剛出來的時候
[04:54] 然後他還問我講說
[04:55] 如果我今天想要去買美股
[04:57] 或者說臺灣的股票我要買什麼
[04:59] 因為他知道我是做這一行的
[05:00] 那我還跟他講說反正你就是
[05:02] 這個階段NVIDIA跟AVAGO
[05:05] 也就是Broadcom
[05:06] 只要它的交易單位是AVG
[05:08] 然後還有臺灣的TSM你要買一下
[05:10] 然後他還跟我講說
[05:10] 臺灣不是隨隨打仗之類
[05:12] 我就跟他講說
[05:13] 不要怕富貴險中求
[05:14] 就是因為打仗
[05:15] 所以他的valuation
[05:16] 在長期會比較低一點
[05:17] 那我是不知道
[05:19] 後來的狀況是怎麼樣
[05:20] 但跟Luca是聊得蠻高興的
[05:22] 因為他本身是
[05:23] 律師事務所的一個負責人
[05:25] 所以他也提到說
[05:26] 他們家有些什麼壯子
[05:27] 或什麼都會透過AI去協助
[05:29] 那時候還是很早期的階段
[05:30] 那我本來想說
[05:31] 這次可以再來跟他聊一些
[05:32] 有的沒有的東西
[05:33] 然後看他可不可以
[05:34] 帶我們去吃一些
[05:35] 好吃的餐廳
[05:36] 或是好玩的東西
[05:37] 但就不是朋友了
[05:38] 那我稍微再問一下
[05:39] Ricardo
[05:40] 就是我的小舅子
[05:41] 我說你還要不要
[05:42] 再跟他的兒子玩
[05:43] 因為他的兒子
[05:45] 一起打Fortnite
[05:46] 然後還會一起去踢足球
[05:48] 所以我也是因為在這個足球賽上
[05:50] 然後才跟Luca
[05:52] 就是孩子的爸
[05:53] 我變得比較熟一點
[05:54] 那Ricardo也跟我講說
[05:55] 他現在有新的朋友了
[05:57] 就是他已經有新的朋友
[05:58] 他不是因為他媽媽不喜歡人家
[06:00] 所以就跟這個男生比較交朋友
[06:03] 不是
[06:03] 就是他們後來玩的東西不一樣
[06:05] 他說我現在就是會玩一些
[06:06] 什麼Nintendo
[06:06] 我會玩GTA Online
[06:09] 那我現在有一個朋友
[06:10] 他會跟我玩
[06:10] 那Luca後來
[06:12] 他的兒子呢
[06:12] 也沒有再踢足球了
[06:14] 後來也沒有再跟我一起玩Fortnite
[06:17] 所以就比較少聯絡
[06:18] 我心中真的覺得超級難過
[06:20] 就是說好像你帶了套子之後
[06:22] 然後對方說不好意思
[06:23] 我家裡叫我回去煮飯
[06:25] 我要回家
[06:26] 然後你自己就還帶了套子
[06:27] 坐在床邊
[06:28] 雖然這局面很奇怪
[06:30] 可是我的感覺真的這樣
[06:31] 我帶了三個清酒來
[06:33] 我要來party
[06:33] 我要來嗨
[06:34] 出發前我還跟我老婆講說
[06:35] 這個清酒要冰冰箱的
[06:37] 那個是比較好料的東西
[06:39] 所以要記得
[06:40] 就是我們就出發前再把它拿出來
[06:42] 然後回到羅馬
[06:43] 然後立刻冰冰箱之類
[06:44] 就做了很多的規劃
[06:46] 然後想說我們一定會玩得超開心
[06:48] 我們一定會一起再去吃一些有料好玩的東西
[06:51] 然後我還特地跑去密Luca
[06:53] 我剛剛講說我們羅馬界我們又要回來了
[06:55] 然後他也跟我講說很高興看到我或什麼的
[06:58] 但其實那時候心中他應該也有一點影子了
[07:01] 就已經知道說他們已經跟我岳母家已經很久沒有聯絡了
[07:05] 所以我不知道就是我岳母跟我講說
[07:07] 我還是可以找Luca他們一家人去那邊吃飯
[07:09] 可是如果要找來家裡的話
[07:10] 他覺得人家真的太吵了
[07:12] 他不要
[07:13] 就像可能在一開始跟大家分享
[07:15] 我對Siri的第一印象
[07:16] 就是他真的超吵的
[07:17] 要找到我家
[07:19] 我願意我還一直反對
[07:20] 可是就是說
[07:21] 至少他是一個非常會做菜的廚師
[07:24] 然後他做的食譜
[07:26] 後面還有我們的聽眾在
[07:28] 我忘記是Fresh
[07:29] 還是Facebook上面
[07:30] 還是Instagram忘記了
[07:31] 反正就是有人去複製
[07:32] 然後做出來說真的很好吃
[07:33] 所以是真的有料
[07:34] 真的很強
[07:35] 他那個final touch
[07:36] 他知道說什麼
[07:37] 加一點奶油進去
[07:38] 那個是很厲害的
[07:40] 他是一個廚神
[07:41] 只是比較可惜
[07:42] 因為已經不是朋友了
[07:43] 所以就沒有這一段緣分了
[07:45] 可能後面再看
[07:46] 不曉得
[07:46] 搞不好我早上去餐廳吃一吃
[07:48] 然後岳母又跑來加一
[07:49] 大家又變朋友
[07:50] 因為我岳母其實是
[07:51] 非常良善的人
[07:52] 她是非常良善的人
[07:53] 那只是
[07:54] 她也是一個
[07:55] 我覺得很奇怪
[07:56] 就大家現在會分什麼
[07:57] 愛人跟義人
[07:58] 她在別人面前都是義人
[08:00] 可是她實際上是超愛的
[08:01] 就是她就整天都想要
[08:02] 他媽待在家裡
[08:03] 那可是
[08:04] 就是因為她可能在外面
[08:05] 演得太像了
[08:06] 所以很多人都會想要來她家
[08:08] 然後她
[08:08] 因為又是一個
[08:09] 有超級潔癖的人
[08:11] 像那時候到
[08:11] 我林口家的時候
[08:13] 他真的是整天都在打掃
[08:15] 他會把那個玻璃
[08:15] 是從頭吐到尾
[08:17] 都弄到超乾淨
[08:18] 就在那邊
[08:18] 每個賬戶在那邊
[08:19] 吐吐吐一直狂弄
[08:20] 很狂的那一種
[08:21] 然後你不會注意到的細節
[08:23] 他全部都會跑去弄
[08:24] 所以每次只要有朋友來
[08:25] 他就全部要走一輪
[08:26] 所以他也覺得說
[08:27] 身心俱疲
[08:28] 就是你們來
[08:29] 我都要全部弄一次
[08:30] 你們要幫忙整理
[08:31] 我還跟你講說
[08:32] 不用啦
[08:33] 我自己來就好
[08:33] 他其實心中
[08:34] 搞不好是希望你幫忙
[08:35] 可是老實講
[08:36] 如果你幫忙
[08:36] 他也不一定會喜歡
[08:37] 因為你做不到他要的標準
[08:38] 所以就是這種超級潔癖的人
[08:40] 會把自己搞到很累
[08:41] 然後因為在外面又顯示了
[08:42] 像是那種很會交朋友的人
[08:44] 所以後來就一堆人會想要來他家
[08:45] 然後他也是慢慢的
[08:46] 把這些東西給去除掉
[08:47] 但好在像我自己是在
[08:49] 可能二十幾歲三十歲出頭
[08:50] 我就已經知道說
[08:51] 我要開始去做一些
[08:52] 也不要講很難聽
[08:53] 說什麼朋友的篩選
[08:54] 就是說你儘可能的
[08:56] 去把你社交圈子給縮圈一點
[08:58] 因為真的太累了
[08:59] 然後我岳母是等到四十幾歲
[09:00] 來做這樣的事
[09:01] 然後有時候就會覺得比較疲乏
[09:03] 他覺得說那個Sierry真的太大聲了
[09:05] 然後有時候出去
[09:05] 我記得我有跟大家分享過
[09:07] 就有一次
[09:08] 我算是第一次看到Sierry
[09:10] 反正那種羅馬街道都很小
[09:13] 然後他們也是
[09:13] 為了要去維護這些古宅跟古蹟
[09:16] 像我們住的地方
[09:17] 那是100年的歷史
[09:18] 所以他就是不讓你去做街道拓寬
[09:20] 所以他們才開一輛Fiat
[09:22] 那種很小的車子
[09:23] 他就是為了要讓他兒子下車
[09:25] 還怎麼樣的
[09:26] 他就是把車子停在路中間
[09:28] 然後後面有一堆人在排隊
[09:29] 他都不屌你
[09:30] 他還繼續很開心在那邊聊天
[09:31] 我從樓上看
[09:32] 那個畫面超震撼的
[09:33] 他在那邊有說有笑
[09:34] 然後後面一堆人
[09:35] 手在那邊伸出來狂屌他
[09:37] 然後他就翻過去
[09:38] 把每個人都炒一頓之後
[09:39] 再慢慢的走上他的車開走
[09:41] 那我後來發現說
[09:42] 就是在羅馬這邊
[09:43] 也不只有Siri這樣
[09:44] 就有很多人
[09:45] 其實都是非常的自我主義
[09:46] 就自我中心
[09:47] 那這個有好有壞
[09:49] 好的話可以硬說
[09:50] 他們是很浪漫的一群人
[09:51] 他們是don't give a shit
[09:52] 他們只在意說
[09:53] 我跟我家人要快樂
[09:55] 那當然負向解釋就是
[09:56] 這種人如果跑去日本的話
[09:58] 應該就無地自容
[09:59] 就是那種非常團體的社會裡面
[10:01] 你一定會覺得這些人是他媽有病子
[10:03] 就是你們也太自我中心了
[10:05] 但還蠻有趣的
[10:06] 就是偶爾來看看這些人
[10:07] 覺得挺有意思的
[10:08] 只是就是
[10:09] 因為有蠻多聽眾講說
[10:10] 你要回去會不會再分享一點食譜
[10:12] 沒有食譜了
[10:13] 不好意思
[10:13] 那再看到什麼好玩的東西
[10:15] 再來跟大家討論
[10:15] 大概這樣子
[10:16] 好那接下來我們來進入上話題
[10:18] 首先先聊一個比較偏八卦的
[10:20] 這個八卦跟我們自己的工作
[10:21] 還是有關係
[10:22] 所以稍微簡單聊一下
[10:23] 因為我們都知道說
[10:24] 在接下來的一段時間
[10:26] SpaceX是有機會要上市的
[10:28] 那這上市的說法
[10:29] 下來就眾說紛紜
[10:30] 一個說法是講說
[10:31] 反正就是直接用IPO
[10:32] 另外一個說法
[10:33] 就是可能會merge進去Tesla裡面
[10:35] 然後再看是怎麼樣去做安排
[10:37] 反正無論如何
[10:38] 就是要把這個公司
[10:39] 帶到public市場裡面去
[10:40] 所以像自己在美股跟臺股
[10:43] 都持續的往更多衛星股的方向
[10:45] 去做佈局
[10:46] 因為對我們來講
[10:46] 這是一個很大的題材
[10:48] 就等到IPO正式發生的時候
[10:50] 在市場上一定是佔據了
[10:51] 所有媒體的版面或什麼的
[10:53] 然後大家一定會瘋狂的去找
[10:54] 各式各樣的衛星股來炒股票
[10:56] 所以在我們的角度就是
[10:57] 我們都要去收割這些人的錢
[10:58] 所以我們提早去做佈局
[11:00] 當然其實這也不完全是很純粹的題材
[11:03] 因為我們都知道說
[11:03] 現在這個低軌衛星的發射量
[11:05] 在美國的批准之下
[11:07] 其實是越來越多
[11:08] 然後外加下的最主要的一個參與者
[11:11] 他們本身都在加量
[11:13] 然後又有新的參與者要進來
[11:14] 所以在我們的角度是
[11:15] 這本來就是一個成長性極好的市場
[11:17] 只是後面又會有一些題材的加分
[11:20] 所以就是你手上一定要持有一點這樣子的東西
[11:22] 所以看到這樣的一個吵架
[11:23] 就對我來說也是一個值得關注的議題
[11:25] 因為我也想知道說
[11:26] Starlink除了在一些偏遠地區
[11:29] 是一個標配之外
[11:30] 有沒有可能在城市
[11:31] 或在航空
[11:32] 或在其他地方
[11:33] 會找到更多的滲透率
[11:34] 這我很好奇的
[11:36] 那吵架的一個緣由
[11:37] 就是馬斯克認為說
[11:38] 你的Round Air的Fleet
[11:40] 應該要裝一下Starlink吧
[11:42] 因為Starlink就是一個
[11:43] 很快的網路服務
[11:44] 這個絕對是非常有共識的
[11:46] 特別是我自己也在機上
[11:47] 使用過Starlink的網路
[11:48] 超級快
[11:49] 跟一般傳統的飛機網路比
[11:51] 是完全沒得比的
[11:52] 所以像我自己也會呼籲說
[11:54] 一些國際航空
[11:55] 你該換的啦那個網路超慢的
[11:56] 拜託趕快換一下
[11:59] 只是我覺得他這一次有點挑錯物件
[12:02] 雖然我自己本身也算是馬斯克粉
[12:04] 那我的習慣是這樣子
[12:06] 就算我去粉一個人
[12:07] 我不會去把他講的所有的話
[12:09] 都當成是聖職
[12:10] 然後或者說他大便是粉紅色之類
[12:12] 就是馬斯克很多時候
[12:12] 他講話確實是蠻值得吐槽
[12:14] 然後在這個議題上面也是
[12:15] 就你怎麼可能叫一個
[12:16] 連架航空去裝Wi-Fi
[12:18] 除非今天大家都有裝
[12:19] 那你剛剛講說你應該改我的Wi-Fi
[12:21] 我的Wi-Fi更快更便宜
[12:23] 那我覺得Michael O'Leary
[12:24] 就會非常的有興趣
[12:25] 可是問題就是Ryan Ear現在是完全沒有WiFi的狀態甚至搞不好在短期的未來都不會有WiFi除非他的對手有然後又很便宜那他就可能會再往下去做競爭所以其實廉價航空
[12:36] 我覺得他們專注的東西
[12:37] 從來都不是要怎麼樣提供更好的服務
[12:39] 他們專注的就只有一件事
[12:41] 就是如何去用超級便宜的價格
[12:43] 然後去獲得超級巨大的市佔
[12:45] 所以當他提這樣的一個idea
[12:47] 然後被Rion Air否決掉
[12:48] 我覺得是很正常
[12:49] 他們是用兩個說法
[12:50] 一個就是說
[12:51] 因為你今天如果要去裝機上的
[12:53] 這些天線的話
[12:55] 你會增加重量
[12:56] 然後跟空氣阻力
[12:57] 所以大概會多花2%的一個燃油成本
[13:00] 如果你把它的營收套進去的話
[13:03] 就可以得到一個蠻大的數字
[13:05] 大概就是說每年2到2.5億美元的成本
[13:08] 再來是他認為說在乘客方面
[13:11] 因為他們平均的航程只有一個小時
[13:13] 所以一個小時到底是要用什麼WiFi
[13:15] 他的想法是這樣
[13:16] 那自然帶我的角度來說
[13:18] 我自己就是一個那種機不離身的人
[13:20] 所以如果今天Rainair Wi-Fi
[13:21] 對我來講一定是大家的分
[13:22] 可是我可以完全理解
[13:23] 就羊毛出在羊身上這件事情
[13:25] 因為Ryland Air真的是
[13:25] 它是便宜到
[13:27] 令人髮指的一個程度
[13:28] 就是那種超級誇張
[13:30] 所以雖然馬斯克有回擊
[13:31] 講說我們的星鏈裝在
[13:34] 像是波音737 800
[13:36] 去做測試
[13:36] 實際上對藍油影響
[13:37] 只有0.3%或什麼
[13:38] 我覺得可能聽在
[13:39] Michael O'Leary的耳朵裡面
[13:42] 都會覺得說
[13:42] 你在跟我聊
[13:43] 更我不在意
[13:43] I don't give a shit
[13:44] 或是說他威脅說
[13:45] 如果你今天沒有裝這個東西的話
[13:47] 那你可能會把市場
[13:48] 調給其他的競爭對手之類的
[13:50] 但競爭對手老實講
[13:52] 其實現在很多都已經是被RunAir踩著
[13:54] 所以你再去裝一個WiFi
[13:55] 你說你會有更多的客人嗎
[13:57] 我認為是不會
[13:57] 因為其實航空市場
[13:59] 現在已經是非常明顯的分成兩種
[14:01] 就是說廉價航空 LCC
[14:03] 然後跟一般的傳統航空
[14:05] 甚至傳統航空的使用者
[14:07] 在一些短程的旅行上
[14:08] 他們也會去選擇廉價航空
[14:10] 至少像我自己就不太介意
[14:12] 除非說什麼廉價航空時間很爛
[14:14] 像非日本的話
[14:15] 因為日本的連航時間都很差
[14:17] 我們要帶小
[14:18] 所以我們是不可能搭連航的
[14:19] 可是像非歐洲的話
[14:21] 基本上已經有很多那種傳統航線
[14:22] 都已經是被廉價航空給打爆
[14:24] 就是以前你可能還找到
[14:25] 所謂的傳統航空
[14:26] 現在你根本找不到
[14:27] 像我們從這邊飛到
[14:28] 西班牙的Alicante
[14:30] 你就只能夠找到
[14:31] 像什麼Rion Air
[14:32] Iberico這樣子
[14:33] 那都是那種超級便宜的
[14:34] 那Rion Air更是便宜到非常誇張
[14:36] 那自然Rion Air便宜
[14:37] 它帶來的有一些代價
[14:39] 就它的那個服務一定是沒這麼好
[14:40] 你還想要WiFi搞什麼
[14:42] 它連水都不給你
[14:43] 然後在飛機上面
[14:44] 你可能隨便要一個東西
[14:45] 全部都要給你收錢
[14:46] 甚至他們有一些巧立明目的行為
[14:48] 可能在你登機的時候
[14:50] 就會突然間拿一個鐵框出來
[14:51] 叫每個人都把行李套看看
[14:53] 你套不了不好意思你要加錢
[14:54] 反正他們就會有很多這種
[14:56] 就是非常討人厭的作為
[14:58] 我自己是沒有被騷擾過
[15:00] 我只有感受到
[15:01] 怎麼什麼東西都要跟我要錢
[15:03] 但是因為你真的夠便宜就算了
[15:04] 其實我也沒有別的選擇
[15:05] 因為很多航線在歐洲這邊
[15:07] 深耕國戶費
[15:08] 有蠻多都被Ranair打爆了
[15:10] 所以真的也沒有別的選擇
[15:11] 你想說反正我就是
[15:12] 只是想要從AD到BD
[15:14] 這就是像是那種空中巴士一樣
[15:15] 就Rio空中巴士不是Airbus
[15:17] 就真正的在空中搭巴士
[15:19] 所以我不會想太多
[15:20] 我就覺得反正
[15:21] 你只要可以把我送去就好
[15:22] 那只是當然在網路上
[15:23] 真的會有很多人很不爽
[15:24] Ryanair
[15:25] 他們甚至會把說
[15:26] 現在航空公司
[15:27] 儘可能的要在有限的空間
[15:29] 擠下更多人
[15:30] 然後都歸咎給像Ryanair
[15:32] 這樣的一個local carrier
[15:34] 那我覺得其實也沒有錯
[15:35] 因為廉價航空
[15:36] 真的是有非常大的一個競爭力
[15:38] 然後消費者老實講
[15:39] 他們都是價格敏感度超級高的人
[15:42] 就除了一些那種高卡克
[15:43] 可能會去選品牌之外
[15:45] 那絕大多數呢
[15:46] 就是反正你夠便宜
[15:47] 我就會搭你
[15:48] 所以根本就沒有什麼品牌忠誠度可言嘛
[15:50] 所以最後面就會變成說
[15:51] 大家都在做銷價競爭
[15:52] 然後越便宜的那個人
[15:54] 可能就可以獲得很大的一個市佔
[15:56] 至少我們在歐洲這邊
[15:58] 看他們的航線都是這樣
[15:59] 所以Round Air
[15:59] 他就真的變成是一方之霸
[16:01] 那所以他的一些網路言論
[16:03] 就是被人家拿出來
[16:04] 就真的會被幹到爆炸
[16:06] 像他曾經有講過說
[16:07] 可能我們以後大家都可以暫時搭飛機啊
[16:09] 然後不然就是
[16:10] 可能我們可以把廁所拆掉一下
[16:11] 大家想說
[16:12] 媽一下廁所就已經排到要死了
[16:14] 你要給我把廁所拆掉
[16:14] 可是他的想法就是
[16:15] 我把廁所拆掉
[16:16] 我可以讓你每個人再多便宜幾美元
[16:18] 那這樣你答不答
[16:19] 就一定還是有人會說要
[16:20] 一定有人會覺得說
[16:21] 靠北老子就是畢業者
[16:22] 反正我可以搭超級便宜的這種空中的巴士
[16:25] 那我幹嘛要額外再多花錢
[16:27] 就是一定有這樣的一個需求
[16:29] 但有蠻多網友就覺得說
[16:30] Ranier真的是死要錢
[16:32] 可是我老實說
[16:33] 因為我們是站在自由經濟的角度來看
[16:35] 你可以選擇比較貴的
[16:37] 雖然可能到現在已經某個程度上
[16:39] 有些比較貴你是選不到
[16:40] 但事實就是大家都選擇便宜的
[16:42] 所以讓他有更高的一個話語權
[16:45] 跟市佔率
[16:46] 大家應該都會想要更便宜的票價
[16:49] 不會太在意說
[16:50] 你到底可以提供什麼樣一個服務
[16:52] 所以我是覺得說
[16:53] 就可能本來Michael O'Leary的想法
[16:54] 只是就稍微的把你給打發掉
[16:57] 只是沒有想到變成是互噴
[16:58] 一個噴對方是EDIAN加SASPIT
[17:01] X平臺就是糞坑
[17:02] 一個噴對方是ARTHER EDIAN
[17:04] 然後說他要把Ryanair買下來
[17:06] 買下來之外
[17:07] 他還要再找一個真正的Ryan
[17:09] 來經營Ryan Gale
[17:10] 因為你現在叫Michael
[17:11] 你怎麼會經營Ryan Gale
[17:12] 反正就是變成那種
[17:13] 迷因式的小朋友吵架
[17:15] 但老實講
[17:15] 如果真的去買一下連假航空的話
[17:17] 那一定是沒有這麼好競爭
[17:18] 它是一個超級恐怖的領域
[17:21] 那只是因為馬斯克真的超級有錢
[17:23] 他如果只是想要隨便亂買
[17:24] 然後隨便玩隨便花錢的話
[17:26] 說不定有可能做個效果
[17:27] 拿自己的辛苦錢來做效果
[17:30] 那也是OK
[17:31] 反正有錢就是想要做什麼
[17:32] 都可以做什麼
[17:33] 那總之我的結論就是
[17:34] 我認為說
[17:35] 你其實要Ran Air這種去裝是很難的
[17:38] 那他其實也不在意
[17:39] 就是說他的客人也不在意
[17:40] 他客人只在意說價格到底是怎麼樣
[17:42] 所以有時候去很清楚的識別
[17:44] 自己的客人是很重要
[17:45] 那我在什麼樣的案例會覺得說
[17:47] 可能機上WiFi是超級重要
[17:48] 就像說我今天一樣是飛
[17:50] 重點是你要選擇
[17:52] 像你現在臺灣去飛羅馬的話
[17:54] 你就只有華航
[17:55] 所以華航的WiFi不夠快的話
[17:57] 你就只能夠摸摸鼻子
[17:58] 因為你也沒有什麼其他選擇
[18:00] 你要直達就只能夠這樣
[18:01] 可是如果今天飛一些航點
[18:03] 然後他是有三到五家可以選
[18:05] 然後有一家他的網路是Starlink的話
[18:07] 不只是我
[18:09] 我們身邊一些那種搞股票的
[18:10] 你今天要他在盤中時間出去
[18:12] 他們都想要看盤
[18:13] 也不是說一定要看盤
[18:14] 可是就是就喜歡
[18:15] 就跟看球賽一樣
[18:16] 所以你有一個很快的WiFi
[18:18] 我一定會選你
[18:19] 所以在這樣的一個狀況之下
[18:20] 就會變成馬斯克的說法是成立的
[18:22] 就是就算他可能會提高一些成本
[18:24] 可是他可以帶來相當程度的一個銷量
[18:26] 或者說他可以去提升毛利
[18:27] 價格可能可以更高之類
[18:29] 但如果是在廉價行業
[18:30] 他是完全不一樣的一個範疇
[18:32] 所以其實有時候是這樣
[18:33] 就是你要先很明確的識別說
[18:35] 你的客人是誰
[18:36] 那到底是誰在買單你的東西
[18:38] 那在這個一個網路時代
[18:40] 你有多少你會注意到
[18:41] 有些東西大家所謂的看不滿
[18:44] 然後他們就會拿出來燒你
[18:45] 可是燒你的人
[18:46] 其實一些我們常看到的
[18:49] 什麼YouTuber
[18:49] 或是一些Podcast
[18:50] 就在網上給人家燒
[18:52] 燒他的人
[18:53] 根本就是不會聽他東西的人
[18:54] 所以如果他今天傻到
[18:56] 為了他不想被燒
[18:57] 他去跟這些人妥協的話
[18:58] 那他就會虧很大
[19:00] 那只是很多人
[19:01] 他現在還搞不太清楚
[19:02] 就是網路的言論不等價
[19:04] 這件事情
