[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由Sally赞助
[03:28] 喜欢打电脑
[03:29] 锤子的话就说念法律系
[03:31] 因为我是念法律系
[03:31] 只是我最后面试
[03:32] 没有做跟法律相关的东西
[03:34] 再来钢琴的话
[03:35] 因为我从小就是还蛮OK的
[03:37] 就是钢琴比赛
[03:38] 都有拿了几个局势的冠军回来
[03:41] 所以其实就是
[03:42] 好像跟我是完全一样
[03:43] 但我是不希望他跟我一样
[03:44] 我也不希望他以后是搞股票的
[03:46] 我希望他去做别的事情
[03:47] 总之就是为了参加这些活动
[03:49] 晚上要陪家人
[03:51] 所以在那一天没有办法去
[03:52] 但是非常庆幸自己在隔一天有去
[03:54] 因为其实在过去的一段时间
[03:55] 都还是有一些球队会想要邀请我去开球
[03:58] 非常感谢大家邀请
[03:59] 但我是真的就已经开始
[04:01] 没有去出席一些公开活动
[04:02] 但因为这个是隐退
[04:03] 就感觉说蛮特别的
[04:05] 所以还是有答应下来
[04:07] 同时是有一些缘分
[04:08] 好像是就像说像富邦
[04:10] 我去看的那一场比赛
[04:11] MVP是范国城
[04:13] 那国城兄他本身跟我在IG
[04:15] 我们也是一个互追的状态
[04:17] 也是有打过招呼
[04:18] 那林泽轩的话
[04:20] 是因为我之前去乐天开球的时候
[04:22] 然后是郭延文教我怎么丢球
[04:24] 他说要怎么样丢
[04:25] 才可以丢到捕手那边
[04:27] 你可以稍微往前踏一点
[04:28] 你不用站在投手球上面什么的
[04:30] 他那时候就跟我讲说
[04:31] 他的好朋友林泽轩
[04:33] 是还蛮喜欢我的
[04:34] 所以就看我们可不可以
[04:35] 大家认识一下
[04:37] 所以就是有结下这个缘分
[04:39] 在大家的一个邀请之下
[04:41] 就去参加了他的引退仪式
[04:42] 同时也是我觉得
[04:43] 可能我在过去的
[04:45] 不知道是十二十年来
[04:46] 可能是最难忘的一个晚上
[04:48] 那可能对于林哲轩来讲
[04:50] 因为大家应该都有看到
[04:51] 他的一些什么
[04:52] 致辞的影片
[04:53] 或是他跟我的合照
[04:54] 其实老实讲
[04:55] 我觉得把我放得有点太高了
[04:56] 我就是一个在家宅男
[04:58] 录个节目
[04:58] 跟大家拉个拉勒一下
[04:59] 在讲自己工作相关
[05:01] 跟回答QA的
[05:02] 不知道
[05:02] 我真的觉得我是一个nobody
[05:03] 可是竟然可以在他的
[05:05] 致辞感言里面出现
[05:06] 这个我有吓到
[05:07] 然后再来就是
[05:08] 上去按照主办单位的要求
[05:10] 他就说
[05:10] 我准备一个你的书
[05:12] 你就在上面签名
[05:13] 然后给他
[05:13] 我本来以为说
[05:15] 都是大家给他礼物
[05:16] 像副帮的董事长
[05:17] 或是什么其他有的没有的
[05:18] 以前球员还是什么朋友
[05:20] 大家都是送他礼物而已
[05:22] 可是林哲轩在我给完他礼物的时候
[05:24] 他就说等一下等一下
[05:25] 他有安排会有礼物要给我这样
[05:29] 所以他还送我他自己的签名公仔
[05:31] 同时是陈真拿上来
[05:33] 然后我们还在那边拍了一个合照
[05:35] 不然我是觉得超热血超感动的
[05:37] 所以非常感谢有这样的机会
[05:39] 我后来还是跟我的老婆讲说
[05:41] 我不知道就我在生命中
[05:43] 其实我对自己是一个没有什么自信的人
[05:45] 老听众应该知道
[05:46] 虽然有些人听我节目想说
[05:47] 干你在秋啊小
[05:49] 可是那个就是说
[05:50] 因为我们的专业项目
[05:51] 所以有时候可能不小心会流露出一种
[05:53] 好像自己还蛮有自信的感觉
[05:55] 但也不是说有自信就一定很会
[05:57] 有自信很常也被压在地板上连摩擦
[05:59] 只是其实我在生活之中
[06:01] 是比较属于没有自信的人
[06:03] 我从小到大
[06:04] 我没有获得太多的那一种
[06:05] 你很棒
[06:06] 你是最赞的
[06:07] 反而就是很常获得说
[06:09] 你这个东西可能做不好
[06:10] 那个东西可能不行
[06:11] 直到后来就是
[06:12] 当然是
[06:14] 我觉得我太太跟我岳母
[06:15] 影响我很大
[06:16] 因为他们是在
[06:17] 我可能什么东西都还没有的时候
[06:19] 那就是相信我一定会成功之类的
[06:22] 那后来呢
[06:22] 我觉得在我的儿子身上
[06:23] 我也获得了很多巨大的肯定
[06:25] 为什么后来我晚上不出去呢
[06:27] 我这边给大家稍微听一下
[06:28] 我现在只要晚上出去
[06:29] 我就收到这些东西
[06:46] 就是大概每可能半小时
[06:53] 就会收到一个这样的语音
[06:54] 所以这是我后来
[06:55] 其实不太出去的一个主因
[06:57] 就知道说自己要回家陪孩子
[06:59] 那这个孩子
[07:00] 就我的大儿子
[07:01] 他真的是给了我很多的肯定
[07:02] 然后让我知道说
[07:03] 就是原来有这样子的爱
[07:05] 就是对于这些小朋友来讲
[07:06] 你就是他的天
[07:07] 你就是他的神
[07:08] 那所以就是那种被需要的感觉
[07:10] 跟被肯定的感觉
[07:11] 对我来讲都是非常重要
[07:12] 那再下一个
[07:13] 我觉得就是林哲轩兄弟
[07:15] 因为他在他的这个
[07:18] 引退仪式上面
[07:18] 给我的各种款待
[07:20] 真的是让我觉得
[07:21] 我以前都会一直讲说
[07:23] 我不知道录这个节目
[07:24] 为什么大家会喜欢听
[07:26] 可是我后来慢慢的
[07:27] 开始去懂得说
[07:28] 我可能无意中的
[07:29] 真的有帮到一些人之类的
[07:31] 像他不是有在他的队上
[07:32] 跟他的学弟推广
[07:33] 他学弟买一对他的周边
[07:35] 他跟他讲说
[07:35] 你要跑去买消音
[07:37] 我们帮他更正一下
[07:38] 要买006208
[07:40] 因为他们是富邦
[07:41] 要记得买006208
[07:42] 他讲的那个说
[07:43] 台湾50指数
[07:44] 那台湾50指数追踪的
[07:46] 富邦的台湾50
[07:48] 大家要买这个
[07:49] 他就跟他学习讲说
[07:50] 你要跑去买这个东西
[07:51] 所以不知道
[07:52] 可能某个程度上
[07:53] 就是有帮到他吧
[07:55] 不管是可能在财务面
[07:57] 或是他讲的
[07:57] 他听了一些
[07:58] 可能节目内容
[07:59] 给了他一些信心
[08:00] 或是什么有的没有的
[08:02] 对学到
[08:03] 所以非常感恩
[08:04] 有这样子的一个缘分
[08:06] 那这个对我来讲
[08:07] 是我自己比较难以想象的
[08:09] 就是我不知道
[08:09] 我只是在做一个
[08:10] 可能我还蛮擅长的事情
[08:13] 就是我的工作
[08:14] 那我的工作把它外放成为是一个节目
[08:16] 一个传播的形式放出去
[08:18] 然后没有想到他意外的可能帮助到了一些人
[08:21] 那这些人他们可能受到帮助之后呢
[08:23] 然后他们给我的回馈
[08:25] 那其实也算是帮助到我
[08:26] 因为我就是需要这样子的一些肯定
[08:29] 但大家不要从现在开始就对着我说
[08:30] 你很棒给你大拇指不需要
[08:32] 我意思是说就是他可能也是无意的
[08:35] 然后在他可能人生中这么大的一个活动
[08:39] 然后他竟然给了我相当程度的篇幅
[08:41] 这个对我来讲是受宠若惊
[08:43] 真的是非常感动
[08:44] 同时我觉得富邦
[08:46] 真的是超级会办活动
[08:48] 他们帮他办引退仪式
[08:50] 然后拍的各种影片
[08:51] 然后还有可能有一段
[08:52] 就是找以前的队友打出去
[08:54] 然后让他去揭晒
[08:55] 那边真的是看到想哭
[08:56] 我自己本身不是那种
[08:57] die hard棒球迷
[08:58] 可是我看了我都觉得超级感动
[09:00] 真的超级会做气氛
[09:02] 那富邦同时
[09:03] 我当然知道说
[09:04] 他们最有名就是富邦angels
[09:05] 这个不属于我
[09:06] 我也没有看
[09:07] 真的天地良心
[09:08] 而且一堆听众在那边偷拍
[09:09] 他们也都可以把我证明说
[09:11] 你知道他们真的很急
[09:12] 他们拍下来说
[09:13] 你看他真的没有偷看
[09:14] 就是我知道你们会拍
[09:15] 我要看是要小
[09:16] 就算我真的想看
[09:17] 我也没有办法看
[09:17] 反正总之
[09:18] 除了大家都知道
[09:19] 富邦Angel之外
[09:20] 我觉得他们那两个男生
[09:21] 那叫什么拉哥吗
[09:23] 就是啦啦队是女生
[09:24] 啦啦队也可以是男生
[09:25] 我意思是说
[09:26] 反正我不知道怎么样成
[09:27] 反正有两个男的
[09:28] 他们是穿着像是秋原的装束
[09:31] 可是真的超级会带气氛的
[09:33] 我真的是印象超深刻
[09:34] 我觉得富邦到底是花了多少钱
[09:35] 来可以找到这两个天才
[09:36] 然后在那边主持带动
[09:39] 同时连下去要认真的时候
[09:41] 他们也是有办法
[09:42] 直接换一个主持的风格
[09:43] 真的觉得这两个人是
[09:44] 球队气氛天才
[09:46] 那外加
[09:47] 我觉得球场整个气氛
[09:49] 营造的非常好
[09:50] 这个球迷也都很疯狂
[09:52] 那同时隔壁看到
[09:54] 那个兄弟的也很屌
[09:55] 兄弟他们虽然只有一个
[09:56] 外野的小区
[09:57] 那可是看我们那边
[09:58] 挥旗那边喇叭
[09:59] 我觉得也超厉害
[10:00] 所以就整个像是看了一个
[10:02] 很热闹的festival之类的
[10:04] 那隔壁还有一大堆的
[10:05] 食物可以吃
[10:06] 就是你可能看球看一看
[10:07] 就可以走起来去隔壁
[10:09] 买买个炸的
[10:11] 还是说什么卢卫之类的
[10:13] 所以以后应该会想要带儿子来
[10:14] 这次其实也是有点想带儿子
[10:16] 但是因为我知道那个时间太长了
[10:18] 所以他应该是坐不住
[10:19] 他绝对是坐不住
[10:20] 那没有办法
[10:21] 但之后会想带他
[10:22] 那最后面呢
[10:22] 我觉得林泽轩他是有那个英雄命
[10:24] 就是他每次可能出席国际赛的时候
[10:26] 为什么我从小就会知道他
[10:28] 虽然他年纪其实没有比我大多少
[10:29] 我想说从小是因为
[10:30] 我们可能十几岁在看棒球的时候
[10:32] 看那些国际赛
[10:33] 他就已经在那边打
[10:34] 他还是十几岁
[10:35] 他就在那边打了
[10:36] 那后来我们都知道
[10:38] 在国际赛里面
[10:38] 他都拿下了
[10:39] 蛮不错的表现机会
[10:41] 即便在他的退休当天
[10:44] 我真的觉得很屌
[10:45] 因为前面都是没有下雨的
[10:47] 本来是一直在下雨
[10:48] 可是那天打球
[10:49] 就刚好没有下雨
[10:50] 可是在他上去
[10:52] 要讲话的时候
[10:53] 或是说
[10:54] 疑似可能到高潮点的时候
[10:55] 就突然间给你
[10:56] 下大雨
[10:57] 而且是大到
[10:57] 你想说
[10:58] 大家不要扯
[10:59] 你们有没有雨备
[11:00] 你们有没有什么东西
[11:01] 遮雨的会拿出来之类的
[11:03] 我就在那边到处看
[11:04] 说现在怎么办
[11:05] 雨这么大
[11:05] 可是可能讲一个段落的时候
[11:07] 又整个停下来
[11:08] 就英雄
[11:09] 反正就是给他那种
[11:10] 超级浪漫的一个场景
[11:11] 像拍电影一样
[11:12] 所以希望他在退休的时候
[11:15] 可以保持内心的一个平静跟快乐
[11:19] 因为听到他说
[11:20] 他必须要去吃一些止痛药
[11:22] 才能够上场
[11:23] 这边真的真的蛮心痛的
[11:24] 他有提到说
[11:25] 可能在小朋友时期
[11:27] 那时候就已经被国外的球队发掘
[11:29] 跑去
[11:30] 根本人生第一步手
[11:31] 话也不会讲
[11:32] 可是就要去跟那些人相处
[11:33] 那也遇到了一些挫折
[11:34] 也没有人可以陪他
[11:35] 自己躲回去宿舍里面哭
[11:36] 其实觉得这些运动员非常的不容易
[11:39] 那也希望他之后可以在台湾
[11:42] 持续的培训更多强大的球员出来
[11:45] 那我们可以不管是在国内的比赛
[11:48] 前面已经是宣誓效忠副帮总冠军
[11:51] 那不然就是可能国际的比赛
[11:53] 都可以持续看到林教练的身影
[11:55] 那也希望大家可以持续的支持他
[11:57] 也非常感谢副帮的邀请
[11:58] 真的是一个超赞的体验
[12:00] 好那接下来我们就来进入今天节目的话题
[12:02] 那今天大家的体感就如果是多军的话
[12:05] 99%的应该都多军的
[12:06] 就很爽的 喷到爆掉
[12:08] 像我今天手上的话呢
[12:09] 就是大概有个八九档股票涨天
[12:12] 那其实我股票档数是还蛮多的
[12:13] 就十二十档以上是有的
[12:15] 那所以其实算起来还是蛮高的一个几率
[12:18] 像前阵子也是有一天拿了好几个涨天
[12:21] 所以这阵子真的有点像是那种风雨升信心的感觉虽然整个盘面是很不稳可是每次突然给你一个回马枪那都是一个超大的那像我自己的台股的话呢就持续的还是有在破自己今年绩效的新高了
[12:33] 那美股的话呢
[12:34] 就持续的维持在一个
[12:35] 收复的过程之中
[12:37] 那希望可以快一点收复回来
[12:39] 希望可以快一点转正
[12:40] 但我觉得在今天晚上之后
[12:42] 或是说未来的几天
[12:43] 假设说盘面没有再转坏的话
[12:45] 应该就是会很快的转正
[12:46] 那整体的配置也都是调整的
[12:48] 差不多也做了一波的太弱流强
[12:50] 那像以今天的这个盘面来讲的话呢
[12:53] 那在盘中就有一些人在Telabin里面会问说
[12:55] 你这边要不要去什么追部位
[12:57] 我想说为什么要追部位
[12:58] 就我本来的部位都已经是买好在手上
[13:00] 这是为什么很常跟大家说
[13:01] 就是你在国标市场就不要整天想要空手
[13:03] 就是一般会这样子问的
[13:05] 你一定是把东西卖光了
[13:06] 所以你这个地方想说我现在要不要追回来
[13:08] 涨这么多会不会新的多头要开始
[13:09] 那一般就等你追回来之后呢
[13:11] 你就发现说你要surprise motherfucker
[13:13] 再受到一次的重击
[13:14] 那我觉得接下来的一个观察重点
[13:16] 当然我们知道说现在目前每一日
[13:18] 有两周的一个停火
[13:19] 但如果说你去看一下
[13:21] 荷姆治海峡的一个tracker的话
[13:22] 就会注意到
[13:23] 其实还是没有实际的通行
[13:25] 川普这边下的一个弹数就是说
[13:27] 你如果有通行的话
[13:28] 那我们可能就止战
[13:29] 在伊朗这边有看到说
[13:31] 他发了一个失调
[13:32] 就希望说美国
[13:33] 不然说要去赔偿战争相关的东西
[13:36] 接着还是要让他们
[13:37] 持续的发展
[13:38] 浓缩有以及都有的没有的东西
[13:40] 基本上那个东西
[13:41] 是没有办法去达成一个共识的
[13:43] 所以其实还是不排除
[13:44] 在后面可能还是会有一些
[13:46] 零星的冲突出来
[13:47] 只是如果说今天站在一个
[13:49] 可能赛局的角度
[13:51] 以及他准备要选举的一个状况之下
[13:53] 我不认为说他会想要去把情势
[13:55] 扩张到非常大
[13:57] 虽然我本来就一直这样猜
[13:58] 但在可能昨天前天
[14:00] 然后看到他po文说什么
[14:01] 要去炸伊朗的民生设施的时候
[14:03] 想说会不会又再一次
[14:04] 像2022年这样
[14:05] 就是可能当时大家估计的一个场景
[14:08] 是没有这么糟糕
[14:10] 就没想到后来
[14:10] 可能搭配了一些事件之后
[14:12] 就整个带下去
[14:12] 那当然我也不会觉得说
[14:14] 到这一波反弹之后
[14:15] 就象征着后面一定是完全没有事情
[14:17] 那如上一集所讲的
[14:18] 我覺得台股就是一個很明顯多頭的修正
[14:20] 然後再結束台上去
[14:22] 美股的話其實真的還是有點像是死貓跳
[14:24] 不過它這次真的跳得很高
[14:25] 如果說這是死貓在跳的話
[14:27] 這是死貓也跳得太大力了
[14:29] 因為它直接跳過去了季線
[14:31] 在我們的角度來看
[14:32] 就會認為說如果在接下來的幾天
[14:35] 不然說它如果是持續的向上
[14:36] 或是說它接著有一些修正
[14:38] 修正完之後它可能沒有破這個季線
[14:40] 或是破了立刻就再站回來的話
[14:42] 有可能就是這一波就跌完了
[14:43] 如果說技術面看到這樣的一個指標的話
[14:46] 不管基本面在怎么样的跟我们讲说
[14:48] 这个战争还会打
[14:49] 这个可能哪里没有谈好
[14:50] 以色列又在哪里射飞弹
[14:52] 或者说伊朗可能又炸了哪一个周边国家
[14:55] 什么东西
[14:55] 对我们来讲
[14:56] 那就已经会比较偏向是一个
[14:57] 类似是杂讯
[14:59] 我们就不会太在意了
[15:00] 剩下可能会关注的东西就只有油价
[15:03] 就是完全用油价去作为一个参考点
[15:05] 如果说今天油价是有在持续的向上
[15:08] 然后到可能120 130以上的话
[15:10] 甚至更高
[15:11] 基本上可以宣告说
[15:12] 大家股票不用做了
[15:13] 如果真的到那个位置的话
[15:14] 一些需求就被破坏掉
[15:16] 但如果说是维持在以下的角度来说
[15:18] 可能是90几块
[15:19] 然后甚至是慢慢盘叠的话
[15:21] 那应该就可以回到
[15:22] 就是大家可以当成是成平时期去做看待
[15:25] 所以这是我自己在接下来的一个规划
[15:28] 那这个规划跟上级的规划差别在于说
[15:30] 因为我们真的有看到一个
[15:31] 这个非常强大的K拉出来
[15:33] 所以对我们来讲
[15:34] 我们只要看到这个东西
[15:35] 然后才可以相信说
[15:36] OK那有可能是短底一到
[15:39] 但是不排除后面还是会有一些修正的出现
[15:41] 那这些修正出现呢
[15:42] 就是会持续的站在多方
[15:44] 然后甚至会加到比本来又再更大的一个部位
[15:47] 因为前面等于说有一个
[15:48] 类似我们去追突破的时候
[15:49] 很多时候看到一个红棒
[15:50] 只要红棒的可能中轴没有叠掉的话
[15:52] 我们都会视为说
[15:53] 可能是前面涨多的一个回吐而已
[15:56] 然后后面就继续会往前这样
[15:57] 所以会用这个角度去看待
[15:59] 那最近在市场上有一些讨论
[16:02] 我们这边就稍微再来跟大家聊一下
[16:03] 那首先是大家有看到
[16:04] Intel的老板跟马斯克握手
[16:07] 那这也象征的就是说
[16:08] 可能在Tesla的TerraFab上面
[16:11] 那也会有Intel这边也去协助做一些贡献
[16:14] 就我目前理解
[16:15] 就是在韩系的Samsung
[16:16] 然后跟在美系的Intel
[16:18] 应该都会去协助
[16:19] Elon Musk的Terrafab的计划
[16:21] 这件事情如果说
[16:23] 我们纯粹用投资的角度来看的话
[16:25] 它对于Intel或者说Samsung
[16:26] 我觉得认为算是一个利多
[16:28] 可是如果今天是在Tesla这边的话
[16:30] 它算是一个中性的事件
[16:31] 它并没有办法去改变什么事情
[16:34] 我们对它的担忧都还是存在
[16:35] 包含说因为它要拿出大量的钱
[16:37] 去搞晶圆生产制造
[16:39] 而且它讲说连后段的东西
[16:41] 什么光照全部都要自己做
[16:42] 那个是非常花钱
[16:44] 而且是有可能在初期
[16:46] 那个良率拉不起来的状况之下
[16:48] 你会持续的去做很多的亏损
[16:50] 所以这个可能是我们心中会比较
[16:53] 觉得是不乐见的事情
[16:54] 但如果说你今天是站在
[16:56] Intel或是Samsung的角度的话
[16:57] 特别是Intel
[16:58] 我认为这是一个很好的事情
[16:59] 因为这象征着的是
[17:00] 它可能会有一个高毛利的
[17:02] 某种授权或是顾问的费用会进来
[17:04] 如果说后面卡关的话
[17:06] 可能就会更加需要去对Intel做加码
[17:09] 让Intel去做一个技术的扶植
[17:11] 同时也有可能
[17:12] 举例来说在马斯克这边
[17:14] 真的卡关的话
[17:15] 他会不会就转头
[17:16] 那我干脆去跟英特尔买之类的
[17:18] 所以英特尔想要去推的一些
[17:19] 晶圆的生产
[17:20] 或是他后段下在推的
[17:22] eMip或是eMip-T
[17:23] 这些封装的东西
[17:25] 都有可能会找到
[17:27] 更多的使用的案例
[17:29] 或是用户出来
[17:30] 只是问题是
[17:31] 就我们目前的角度来看的话
[17:33] 会认为
[17:35] 马斯克他推的东西
[17:36] 应该不会是他最尖端的晶片
[17:38] 至少在短期内不会是这样子
[17:40] 所以应该也不会用到说
[17:42] 那些可能比较贵的东西
[17:43] 反而有机会会用到一些相对是成熟的制程
[17:46] 就类似说可能7奈米
[17:48] 后来那就算是一个相对成熟的制程
[17:50] 现在大家讲成熟是可能12 16以上
[17:52] 那只是如果进展到2奈米或者A16的话
[17:54] 那当然可能7奈米就算是一个相对成熟的东西
[17:57] 那用在这些车用的各种应用上面
[18:00] 或是机器人的一些应用上面就是刚刚好
[18:02] 那所以他也不一定会帮助到
[18:04] 就是Intel最先进的那一块
[18:06] 但是如果说可以对马斯克去做收费的话
[18:09] 大家就知道钱怎么跑了
[18:10] 就是从特沙的股东口袋里面
[18:13] 开始看到股价可能一直维持相对弱势
[18:16] 可是别的就是有收到马斯克要付钱的那些对象
[18:20] 可能就还蛮爽的
[18:21] 这个气氛有点类似说
[18:23] 就是前面有一段时间
[18:24] 不是那些IC Design相关的股票
[18:26] 他们是处于弱势吗
[18:28] 那时候蛮多人就选择跑去买台积电
[18:30] 为什么
[18:30] 因为道理很简单
[18:31] 就是你们那边竞争搞个半死
[18:33] ASIC还是GP GPU
[18:34] 你们每一个人都逃不掉一件事情
[18:36] 就是你都要找台积电下单
[18:37] 所以我就直接去买军火库就好了
[18:39] 那一样的道理就是
[18:40] 现在谁有可能成为马斯克的军火库的话
[18:43] 那就是有可能可以去做收很大的订单
[18:45] 只要他不嘴炮的话
[18:47] 所以这边难讲
[18:48] 就如果说他后来是嘴炮
[18:49] 就他真的有把规模给限缩掉的话
[18:51] 说不定就会特质他出现一个很大的反弹
[18:53] 然后过去那些所谓的受惠股
[18:55] 就会变成是相对的一个受害
[18:57] 但总之呢
[18:58] 就是我还是觉得说
[18:59] 在市场上的一些
[19:00] 产物跟设备相关的东西
[19:02] 都还是蛮值得注意的
[19:04] 因为其实在目前我们可以看到的
[19:07] 地平线的范围内
[19:08] 除了是自己在产业上面的沿调
[19:10] 或者是说你再不记
[19:11] 你去看一些电话会议
[19:12] 其实每个老板都跟你讲说
[19:13] 缺的东西就是那些东西
[19:15] 只是为什么有一些可能设备厂屋
[19:17] 在过去一阵子
[19:18] 它的股价比较属于是没有表现
[19:20] 近期有一些稍微的转强了
[19:21] 我们不知道
[19:23] 真的不知道
[19:23] 就有时候市场里面会有一些
[19:24] 你不知道的东西
[19:25] 你就觉得说那个东西很便宜
[19:26] 躺在那边
[19:27] 可是为什么没有人要
[19:27] 有时候是单纯资金面
[19:29] 就是说可能类似说
[19:30] 前阵子外资一直在卖出台股
[19:32] 但没有意外的话
[19:34] 就今天搞不好就看到
[19:35] 有一堆外资冲进来买台股之类的
[19:37] 那身边有一些朋友
[19:39] 有办法看到那些资金流向的
[19:40] 也有提到说
[19:41] 可能你现在有一些外资
[19:42] 就会想要回来去回补一些台股的部位
[19:44] 就蛮爽的
[19:45] 就刚好就补在相对高位
[19:47] 所以其实在前面有买的
[19:49] 下某个程度上就是说
[19:50] 你是有机会可以去丢货给这些外资
[19:52] 但一般我们自己也比较不习惯
[19:54] 就是在说像这样的一个全面反弹
[19:56] 就去做减码
[19:57] 因为这有点偏向是类似是左侧交易
[19:59] 那我们的做法
[20:00] 还是比方说
[20:01] 觉得说在今天
[20:02] 你的东西是没有涨的
[20:03] 还是反叠的
[20:04] 那或者说在未来的几天
[20:06] 可能觉得说
[20:07] 今天拉了一个很不错的K
[20:08] 那可是他把这个K给叠破掉了
[20:10] 那有可能就会变成
[20:11] 是我们减码的对象
[20:12] 可是我们不会在
[20:13] 他还在右上角
[20:14] 就还在进攻的时候
[20:15] 去做一个减码这样
[20:17] 那还是要看一下
[20:18] 后面的资金是怎么样跑
[20:19] 再来做一个决定
[20:21] 那最近也收到一个
[20:22] 蛮有趣的内容
[20:24] 就是有听众跟我表示说
[20:26] 他们公司可能有看到
[20:27] 一些手机厂商
[20:28] 目前在下修订单的数字
[20:30] 是非常恐怖的
[20:31] 那这个是呼应到
[20:32] 我们前面有跟大家聊到
[20:33] 就我认为说
[20:34] 接下来大家可以稍微去注意一下Apple
[20:35] 我们讲Apple当然不是在讲说
[20:37] 可能完全是跟股价相关
[20:38] 就在公司营运面
[20:39] 其实我们觉得他做了一个
[20:40] 蛮屌炮的策略
[20:42] 就是趁你病要你命
[20:43] 他在大家可能目前
[20:44] 现在都是卡记忆体的一个高成本
[20:47] 然后以及可能比较难取得的一个
