[00:00] 歡迎收聽國外,我是孫夢宮,本期節目由綿豆腐贊助
[02:18] 老實跟大家講
[02:19] 因為我跑去打醫美
[02:20] 非常感謝軍旗的邀請
[02:23] 因為後面想要跟我們做廣告的合作
[02:25] 那一般像這種比較美學方面的東西
[02:28] 我就會丟給我太太
[02:29] 或是像之前有生髮的
[02:30] 我自己又不會掉頭髮
[02:31] 所以我就叫沒有頭髮的朋友
[02:33] 那個沒有毛的過來一下
[02:34] 你拿去擦看看
[02:35] 擦了跟我講怎麼樣
[02:36] 那反正就是會派他們去做嘗試
[02:39] 如果覺得不錯
[02:40] 這東西風評好的話
[02:41] 我們都可以試看看
[02:42] 只是這一次因為老婆本身有胃膜乳
[02:44] 她也懶得去查說這些東西
[02:46] 胃膜乳可不可以弄
[02:47] 她覺得說反正所有東西她都先不要
[02:49] 所以就變成說
[02:50] 我自己要出馬去嘗試看看
[02:52] 那其實我心中是有一些抗拒
[02:54] 因為我本身沒有動機
[02:55] 就如果說我今天
[02:56] 把自己弄得更帥一點
[02:58] 或怎麼樣
[02:58] 我會get late
[02:59] 我可以整天睡不完
[03:00] 不知道
[03:01] 我現在想說
[03:02] 你要我整天睡人家
[03:03] 我覺得
[03:03] 幹好累
[03:04] 我可以為你動
[03:04] 我不要動
[03:05] 反正我就沒有任何動機
[03:06] 那你說
[03:07] 好 如果你變得很好看
[03:08] 然後你可以獲得這些東西
[03:09] 你可能要考慮一下
[03:10] 或說你老婆
[03:11] 可能會對你立眼相看
[03:12] 有些會
[03:13] 有些老婆比較講究
[03:14] 老公都不打扮或什麼的
[03:16] 老婆是完全沒有在屌這個
[03:17] 有時候不知道
[03:17] 我覺得我今天
[03:18] 有稍微整理一下
[03:20] 我老婆講說
[03:22] 跟我講這種話
[03:23] 那如果我今天
[03:23] 穿得像流浪漢一樣
[03:25] 突然講說
[03:25] I think you're so handsome
[03:26] 所以不知道
[03:27] 他那個標準很怪
[03:28] 我就也是因為這樣子
[03:29] 所以就一個鍋配一個蓋
[03:30] 就變成說
[03:31] 反正我最後面
[03:32] 就是不修蝙蝠
[03:33] 也不去做任何的整理
[03:34] 我老婆唯一對我的期待就是
[03:35] 有沒有把玩具收好了
[03:37] 有沒有陪小朋友洗澡
[03:38] 或什麼的
[03:38] 那她也講說
[03:39] 其實對於很多的
[03:40] 這個已婚的婦女來講
[03:42] 男生對他們來講
[03:43] 有吸引力的東西
[03:44] 已經不是所謂的
[03:44] 那個什麼性吸引力
[03:46] 或者說什麼
[03:46] 你有六塊八塊
[03:47] 還是說什麼胸肌兩大塊
[03:48] 對我來講最大的吸引力就是
[03:50] 他今天回家
[03:51] 看到你把所有東西都整理好收好
[03:53] 他就突然間就想跟你搞之類
[03:55] 就我老婆說
[03:56] 有些已婚婦女
[03:57] 他們的想法是變成是那樣子
[03:58] 所以對我來講就是
[04:00] 我不知道我自己也沒有動機
[04:01] 我也不會覺得說什麼
[04:02] 想要變像久妹
[04:04] 久妹真的變得蠻帥的
[04:05] 蠻厲害的
[04:05] 她弄得很乾淨的好看
[04:07] 然後再來像那個
[04:08] 另外一個叫什麼
[04:09] 志祺
[04:10] 志祺也是
[04:11] 你看他們都弄得這樣漂亮亮的
[04:12] 那這個是因為大家知道
[04:13] 是那種什麼網紅圈有曝光的
[04:15] 那我們自己身邊
[04:17] 而且大哥我有注意到他們有整理過的
[04:20] 也真的我自己會覺得他們變好看
[04:22] 或是像那種產業圈的大哥
[04:24] 五十幾歲還可以搞得像許光漢一樣
[04:26] 當然許光漢很帥
[04:28] 我意思就是有往那個方向前進
[04:30] 知道髮型有像
[04:30] 然後臉的皺紋有變少或什麼的
[04:32] 所以就覺得說
[04:34] 其實弄這個東西實在蠻不錯
[04:35] 只是我沒有動機
[04:36] 那我又怕痛
[04:37] 然後我也覺得說好像不用花這個錢
[04:39] 那這是因為人家找得去
[04:40] 我想說好吧那不然就去試看看
[04:41] 那在前兩天是極度的後悔
[04:44] 因為我就知道我要去了
[04:46] 所以我趕快Google一下
[04:47] 說這個東西會怎樣
[04:47] 然後老婆開始跑來問我
[04:49] 說你要做的是什麼
[04:50] 剛剛我說我要弄那個
[04:51] 放昂電波還有什麼音波
[04:52] 那她一聽她就開始狂笑
[04:54] 她說那個是什麼Third March
[04:56] 我說我不知道
[04:56] 英文怎麼
[04:57] 我要查一下
[04:58] 一查Third March
[04:58] 她說幹這個超痛
[05:00] 然後說她媽有弄
[05:01] 那她媽也覺得蠻痛的
[05:02] 或什麼的
[05:03] 她說你一定受不了
[05:04] 她說我有生過小孩的
[05:05] 我都覺得說這個東西超級痛
[05:07] 那何況是你根本就不耐痛的人
[05:09] 所以我聽她講完之後
[05:10] 我就趕快上網Google
[05:11] 然後就發現說
[05:12] 像那個放昂電波
[05:13] 他講說會很像火燒
[05:14] 然後音波會很像怎麼被電
[05:16] 然後再來雷射會很像被橡皮筋彈
[05:18] 那最後面發現說
[05:19] 其實這個描述都有到位
[05:20] 只是我自己可能是相對幸運
[05:22] 然後雖然我也開始超級害怕
[05:23] 有點抗拒
[05:24] 甚至想要跳
[05:25] 那只是後來到現場之後
[05:26] 我覺得最主要的原因是因為
[05:28] 幫我弄的醫師廖醫師
[05:29] 那是我們的地方聽眾
[05:31] 還送我一些小禮物
[05:32] 那超好笑
[05:33] 他寫卡片給我
[05:34] 超假
[05:34] 超假組的寫一個卡片
[05:36] 然後卡片上面
[05:37] 這個更有味道的是說
[05:39] 他只寫了幾段話
[05:40] 然後說因為他寫字不好看
[05:41] 所以希望我可以少Q
[05:43] 我本來以為QR code掃下去
[05:44] 我會看到一堆屌照之類
[05:45] 結果掃進去就是一個非常溫馨的
[05:48] 就是凡用電腦寫的信
[05:50] 非常感謝這位廖醫師
[05:51] 這個醫術也是非常好
[05:52] 在他的一個協助之下
[05:55] 他不會跟你含扣
[05:56] 那邊講有的沒有說不會痛
[05:57] 他就直接跟我說這一定會痛
[05:58] 這是我們不會痛
[05:59] 那我自己有打了
[06:00] 我看他那個臉
[06:01] 他四十幾歲
[06:02] 他長得感覺比我還年輕
[06:04] 我想我他媽殺小
[06:04] 以後我要打
[06:05] 然後他說他自己也會去上麻藥之外
[06:08] 他會在額外再加打針
[06:09] 就問我要不要加打針
[06:11] 他說那個麻藥打下去
[06:12] 比較不會這麼痛
[06:13] 我不是那種舒眠睡著的
[06:14] 就一般的麻藥
[06:15] 那我跟他說
[06:16] 我當然要夾
[06:16] 他說這個要自費
[06:18] 我突然想到
[06:19] 自費的錢忘記付了
[06:20] 廖醫師我有空再請朋友還是怎樣
[06:23] 就把錢交給你
[06:24] 反正總之就是
[06:25] 在他的一個安排之下
[06:27] 幫我弄了這個麻糕
[06:29] 然後打了針
[06:29] 我自己覺得是完全不會痛
[06:31] 就只有一些可能像是下巴
[06:33] 那種皮比較薄的地方
[06:35] 會感覺到有像是被燒到的感覺
[06:37] 然後或是音波
[06:38] 像是被電到的感覺
[06:39] 可是其他部位
[06:41] 真的是完全沒有任何的痛覺
[06:44] 反而是雷射
[06:45] 就大家說不會痛的東西
[06:46] 我覺得雷射超痛的
[06:47] 我從頭到尾臉都囧在一起
[06:49] 但也不是那種不能忍受的
[06:50] 它只是一種非常複雜的情緒
[06:52] 就是你感覺臉在被橡皮筋彈之外
[06:54] 然後你還聞到BBQ
[06:55] 就知道說你的臉正在烤肉
[06:57] 而且你聞得還餓了
[06:58] 這是最恐怖的
[06:59] 就媽你想把自己的臉吃掉
[07:01] 整個流程做完之後
[07:02] 其實我是覺得說高於我的預期
[07:05] 就本來以為會痛
[07:06] 那就不會痛
[07:07] 然後再來就是
[07:08] 他說臉會變小
[07:09] 立刻就真的發現說
[07:10] 臉有變小一點點
[07:11] 就立刻就有差
[07:12] 那當然他的一個巔峰
[07:14] 是在幾個禮拜到幾個月之後
[07:16] 所以那個我自己還要再觀察看看
[07:18] 但我就覺得說
[07:19] 如果這個東西
[07:19] 你看我進來躺一下
[07:21] 然後就可以被整理好
[07:23] 然後他也不用說什麼開刀
[07:24] 或是去做一些什麼侵入性
[07:26] 他就只是拿東西在臉上擼一擼的話
[07:27] 然後你一年擼一次
[07:29] 然後可以讓自己就不知道
[07:30] 就假設說之後的一些照片
[07:33] 然後聽眾不會來霸凌我的話
[07:35] 那我就覺得
[07:35] 這個東西我願意嘗試之類的
[07:37] 但如果說不知道
[07:38] 就如果做完
[07:39] 覺得改善是還好的話
[07:41] 或者說非常的隱晦
[07:43] 那我不知道
[07:44] 我就感覺我自己的動機
[07:45] 會稍微低一點
[07:46] 但反正整體體驗是極好的
[07:48] 那目前是還蠻滿意一下的一個狀態
[07:51] 那同時呢
[07:52] 我就對於說那些女生
[07:54] 或者說男生
[07:55] 有去做醫美的
[07:56] 你知道就是有些人
[07:57] 他知道要去約會
[07:59] 他就稍微的去整理一下
[08:00] 或者說可能去搞個procedure之類的
[08:03] 然後希望他的另外一半
[08:04] 可以看到他更好的一面
[08:05] 甚至跑去不知道
[08:06] 掉毛去修剪一下
[08:07] 簡直那什麼飛機起降頻的樣子
[08:10] 或者說
[08:10] 早就巴西勒拉去搞一下
[08:12] 我覺得說這些人其實真的很偉大
[08:14] 因為你知道世界上
[08:15] 有一群人是像我這一種的
[08:16] 就我根本就懶得插小
[08:17] 我根本就不會因為說
[08:19] 我今天要幹嘛
[08:19] 我稍微整理一下自己
[08:21] 我們是不做這種事情的
[08:22] 但我沒有因為這樣子感到驕傲
[08:23] 意思說就是零動機
[08:24] 可是我突然間覺得說
[08:26] 那些女生或是男生
[08:27] 然後他們願意為了另外一半
[08:29] 然後去讓自己去做改變
[08:32] 他不只是要去承受一些痛苦
[08:34] 因為很明顯就是說
[08:35] 有些人打完之後會覺得超痛
[08:36] 然後他還要花那個時間
[08:38] 還要預約還要去
[08:39] 還要躺在那邊
[08:40] 這些時間都可以拿來打電動
[08:42] 他選擇跑去做醫美
[08:43] 然後再來
[08:43] 他還要拿錢出來
[08:45] 這些錢可以拿來抽卡
[08:46] 他不拿來抽卡
[08:46] 他拿去做醫美
[08:47] 做給誰看
[08:48] 做給你看
[08:49] 所以我突然間覺得說
[08:50] 有時候會看到有些人批評說
[08:52] 那個誰誰只是花瓶
[08:53] 他還不就是靠一張臉
[08:54] 我跟你講要靠那張臉不容易
[08:56] 就像是以前那種歐美
[08:57] 他們那種左交最昌盛的時候
[08:59] 不是整天在那邊幹屌說
[09:00] 什麼一些內衣模特
[09:01] 或怎麼樣嗎
[09:02] 那不是正常的身材
[09:03] 廢話那當然不是正常的身材
[09:05] 你知道你要維持那個身材
[09:06] 你要付出多少努力嗎
[09:07] 你多少東西不能吃嗎
[09:09] 那一堆什麼
[09:09] 每個東西我都不想吃
[09:10] 你不能夠塞
[09:11] 你能夠吃一點點
[09:12] 然後接著你要瘋狂的運動
[09:14] 你要去睡眠品質
[09:16] 也要顧好什麼的
[09:17] 所以其實要去維持
[09:18] 那樣的一個身材
[09:19] 或是那樣的一張臉
[09:20] 他也不是單純說什麼
[09:22] 課金或什麼的
[09:23] 那是有很多事情要做的
[09:24] 所以我在嘗試了
[09:26] 這個醫美的療程之後
[09:27] 我覺得說
[09:28] 這些人真的都不容易
[09:29] 就是你講那什麼花瓶
[09:30] 花瓶本身就是一門專業
[09:32] 要當好一個花瓶那也是不容易的
[09:34] 所以覺得還蠻酷的
[09:36] 非常感謝廖醫師
[09:37] 我們地方聽眾
[09:39] 然後也在治療的過程中
[09:42] 跟他聊天
[09:42] 像我自己跟大家分享
[09:44] 這是一個很神奇的緣分
[09:46] 因為我跟這些人其實都不熟
[09:48] 可是因為你聽了我的節目之後
[09:49] 可能我們長時間的在空中相會
[09:52] 大家突然間好像都變成是我朋友
[09:54] 完全是零摩擦
[09:56] 可以直接就一直對話下去
[09:57] 希望廖醫師身體健康
[09:59] 然後之後一切順利
[10:01] 非常感謝有這樣子的一個機會
[10:03] 那之後如果有什麼
[10:04] 酷的進展
[10:06] 就老婆突然講說
[10:07] 哎呀靠北你真的嗎
[10:08] 太帥變好帥
[10:09] 我再跟大家分享
[10:10] 雖然我覺得機率偏低
[10:11] 但是有感的有改善也沒錯
[10:13] 那大概這樣
[10:14] 我再跟大家分享一下
[10:15] 自己的醫美小心得
[10:16] 好那接下來我們來進入市場話題
[10:18] 那這個禮拜的市場呢
[10:20] 還是持續維持著
[10:21] 就是在少部分的股票呢
[10:23] 表現非常好的一個狀態
[10:25] 那其實雖然講是講少部分
[10:27] 就是說市場的窄度是窄的
[10:28] 但這些東西
[10:29] 恰好是我們會看的東西
[10:30] 所以就在我們的心目中
[10:32] 下的市場是非常好
[10:33] 那最近的被動元件
[10:35] 又開始有起漲的狀況產生
[10:37] 然後在中國這邊
[10:38] 風華高科去做漲價之後
[10:40] 然後開始連帶的
[10:42] 不然像臺系的國巨
[10:44] 也是一直有漲價的
[10:45] 各種訊息跟新聞出來
[10:46] 我們也看到了很多的漲價信
[10:48] 那最近在講說
[10:49] 連電阻都要漲價
[10:51] 那這個是比較稍微意外一點
[10:52] 因為電阻的
[10:53] 它本身駕動率是沒有這麼高
[10:56] 那如果說現在要去漲價的話
[10:58] 我自己也不會期待
[10:59] 說會變成一根
[11:00] 那種瘋狂連續漲價
[11:01] 雖然市場上
[11:01] 現在開始有看到一些
[11:03] 朋友他們想要
[11:04] 往這個方向去做論述
[11:06] 就是認為說
[11:06] 前面看到這個
[11:07] 記憶體的排擠效應
[11:08] 因為高階的需求
[11:10] 非常的暢望
[11:11] 那一些大型的原廠
[11:12] 要轉向高階
[11:13] 導致低階的訂單
[11:14] 被放出來
[11:15] 那他們想要把
[11:15] 這樣的一個邏輯
[11:16] 也放在
[11:17] 可能像被動元件
[11:18] 因為我們知道
[11:18] 在日系的廠商
[11:19] AI的匯入之下
[11:21] 他們要用到的
[11:21] 這種被動元件的
[11:22] 科數跟整體的品質
[11:23] 都是持續的去做拉伸
[11:25] 那所以呢
[11:26] 一些比較中低階的東西
[11:27] 可能就會放出來
[11:28] 到中系或者臺系的廠上去
[11:30] 那他們也想要去往這個題材去做
[11:32] 那我個人是覺得
[11:33] 電阻本身可能是還好
[11:34] 可能在電容跟電感這方面呢
[11:37] 會是比較有機會
[11:38] 那電感的部分
[11:40] 會有這個
[11:41] 在規格方面的一些調整
[11:43] 那電容的話呢
[11:44] 我們都知道說
[11:45] 在AI伺服器的一個時代
[11:47] 非常需要的
[11:47] 所以還是有一些細微的差距
[11:50] 但我覺得被動人間
[11:51] 這個產業比較不好掌握的一點
[11:53] 像我之前跟大家分享
[11:53] 身邊的做量化大哥
[11:56] 跑來問我說
[11:56] 被動元件這幾支怎麼選
[11:57] 我選一選之後
[11:59] 我就跟他講說
[11:59] 某一支很會漲的通路股
[12:02] 像那個通路的
[12:02] 我們就不會想選
[12:03] 就最碰的是通路
[12:04] 所以真的非常難講
[12:06] 好像最近我觀察一下
[12:07] 在檯面上的一些被動元件股
[12:09] 有些我自己手上
[12:11] 有他們的一些嘗試的memo
[12:12] 我看了一下
[12:13] 其實本身的展望
[12:14] 都沒有到特別好
[12:15] 可是市場很喜歡
[12:16] 一直去狂拉
[12:17] 所以在這方面
[12:18] 我會覺得
[12:19] 剛好今天在Telegram
[12:20] 也跟一些群友聊到這個
[12:21] 就是在做交易上面
[12:23] 經常要有一些那種空杯的感覺就是你不要整天都是抱著一堆既有的印象去做因為你會錯失很多機會當然你可以去抱著既有的印象然後只做你會的OK那你就要耐住寂寞
[12:34] 不要說什麼人家在那邊party的時候
[12:36] 你的東西都沒有動
[12:37] 然後你在那邊幹叫
[12:38] 覺得別人都在炒股票什麼
[12:40] 所以要麼就加入
[12:42] 要麼就是你可以選擇跳股
[12:43] 只是我自己是比較傾向會想要去加入的
[12:46] 所以就是空杯的一個心態
[12:47] 然後去看說現在到底上上什麼樣的一個酷東西
[12:51] 所以即便店主本身
[12:52] 我是覺得它的題材性沒有這麼大
[12:55] 因為駕動率有關係
[12:57] 如果今天駕動率往上拉的話
[12:59] 說不定就會去破解掉這些漲價
[13:01] 但同時也不要忘記在DDR4這邊
[13:04] 那時候大家有一個說法是這樣講
[13:06] 就是說駕動率還沒有開滿
[13:07] 可是後來駕動率開滿之後
[13:08] 還是大爆色
[13:10] 所以說不定這個需求
[13:12] 是比大家想象中都來的大
[13:13] 所以不排除這樣的可能性
[13:15] 被動人間是整體動起來
[13:16] 再來最近的裝置產物
[13:19] 也都全面的動起來了
[13:21] 本來我自己進去下注的時候
[13:22] 是形態也不錯
[13:24] 可是沒有到那種全面的表態
[13:26] 可是最近開始懂
[13:27] 那在昨天是有收到
[13:29] 反正就一樣
[13:29] 都有那些聽床師
[13:31] 就講說上修是很確定的
[13:32] 而且上修數字可能是
[13:34] 稍微高於我們本來的預期
[13:35] 就在上源的部分是被往上拉了
[13:37] 那一樣我們等臺積電自己去公佈之後
[13:39] 我們再來討論這些數字
[13:41] 背後可能代表的一些意涵
[13:43] 但其實從他們的一些擴產買地
[13:46] 各種相關的佈局
[13:47] 現在是非常瘋狂的在擴前段
[13:49] 那後面就是在backend這邊
[13:51] 不管是臺積電自己的backend
[13:53] 或者說那些all set
[13:54] 其實都會有更多的機會產生
[13:56] 那我們還是以
[13:57] 在上集跟大家聊到
[13:59] 就觀察一下臺積電講完之後
[14:00] 然後這些族群的一些變化
[14:02] 作為說來確定會不會市場的資金
[14:04] 在後面還是要青睞這個地方
[14:06] 所以在這方面
[14:07] 我會放一些技術面的色彩在裡面
[14:10] 不過就是如果用產業的角度來說的話
[14:12] 從26年一路到27
[14:14] 甚至是28的一點點
[14:16] 應該都會持續的看到
[14:18] 在裝置廠屋方面
[14:20] 是非常非常的強勁
[14:22] 在他們的營收的表現
[14:23] 都有很好
[14:23] 那股價我不知道
[14:24] 股價有可能提早會漲
[14:25] 我不知道
[14:25] 但在基本面的方面
[14:27] 我們可以確定的事情
[14:29] 是這樣
[14:29] 除非突然間
[14:30] 什麼AIA泡泡破掉之類
[14:31] 但目前看起來
[14:33] 老實講也不太像是
[14:34] 有什麼泡泡要破掉
[14:35] 那再來
[14:36] 這個禮拜還有
[14:37] Co-op的題材
[14:38] 也整個動起來
[14:39] 那我們今天有
[14:40] 大概跟大家聊一下
[14:41] Co-op
[14:41] 就是Chip on Wrapper on Panel
[14:44] 那這個相關的故事
[14:46] 就大家會往一些
[14:47] 栽班場去佈局
[14:48] 像是GDT這類的
[14:50] 那為什麼會突然間
[14:51] 這個coop會跑起來呢
[14:52] 最主要的原因是因為
[14:53] 在Vera這邊
[14:54] 可能有一些地鹽的狀態會產生
[14:56] 那大家想說
[14:57] 之前老黃不是講full production嗎
[14:58] 那我跟大家講那個full production
[15:00] 它其實是著重在晶片端這一邊
[15:02] 那只是要往中後端再去跑的話
[15:05] 其實後面都有機會
[15:06] 會遇到更多的問題
[15:07] 老黃自己也講了嘛
[15:08] 其實他們現在可以去
[15:09] 擊敗摩爾定律的一個主因
[15:11] 就是因為他們用了
[15:13] 各種晶片或者說系統的整合
[15:15] 然後讓它效能可以持續往上衝
[15:17] 那這些東西呢
[15:18] 其實裡面的每個元件
[15:19] 都可以視為是在供應鏈上
[15:20] 最新所看到的東西
[15:22] 最新搞出來的
[15:23] 所以它的那個良率要去拉
[15:25] 可能不是這麼簡單的事情
[15:26] 那就有一個說法就是說
[15:27] 因為後面的VIA Rubin的相關的產品
[15:30] 有可能就是在良率的方面
[15:32] 遇到一些問題
[15:33] 所以有機會要去拉這個co-op來做
[15:35] 那我們之前跟大家聊到co-op的時候
[15:37] 是有聊到一張圖片
[15:38] 我好像有在Telegram分享
[15:40] 連述我不確定
[15:41] 因為有時候我也不知道
[15:42] 哪些東西是可以貼出來
[15:43] 哪些東西是會出事
[15:44] 像有時候收到一些漲價信
[15:46] 我都要等到像中國那邊
[15:47] 把這個漲價信貼出來之後
[15:49] 才敢貼
[15:49] 不然我貼
[15:50] 我就覺得可能會害到一些人
[15:51] 所以我自己非常注意這一點
[15:53] 那時候這個co-op的一個PPT
[15:55] 有在市場上面去做流串
[15:57] 只是說很好笑的
[15:58] 就是這張PPT右上角
[16:00] 竟然有直接署名一個
[16:01] Invidia的工程師
[16:02] 那我因為最近又在講到這個題材
[16:04] 我就去把這張圖找出來看
[16:06] 然後接著去找這個工程師
[16:07] 他還在
[16:08] 我覺得他還在
[16:09] 因為那時候有一個說法就是說
[16:10] 會不會他是去參加一些專家會議
[16:12] 所以專家會議就是說
[16:14] 反正一些市場
[16:15] 或是一些投資圈的
[16:17] 不管是公司
[16:18] 或是一些法人
[16:18] 他們會付錢給這些公司的人
[16:20] 就是說在業界公司的人
[16:22] 然後請你來做簡報
[16:23] 就可能付個幾萬塊
[16:25] 十萬塊給你
[16:25] 那你什麼都要給我問
[16:27] 那想說會不會是他做這個事情
[16:29] 然後外流
[16:29] 但應該沒有這麼笨
[16:30] 還把名字放在右上角
[16:31] 因為現在很多公司都會抓這個
[16:33] 所以非常小心
[16:34] 那最後被發現說
[16:34] 他的工作還在
[16:36] 所以應該不是這個
[16:36] 應該是可能被人家偷資料
[16:38] 或怎麼樣
[16:38] 反正就是有一份
[16:39] 他們要從本來的封裝
[16:43] 然後改成co-op的一個做法的那張圖
[16:45] 那當時就因為這樣子
[16:46] 所以co-op相關的一些概念股都動
[16:48] 所以這一次嚴格上來說
[16:49] 算是第二波的co-op之亂
[16:51] 這個圖片有趣的地方在於說
[16:54] 因為本來的封裝上面有一個Lid
[16:56] 然後下這個co-op
[16:57] 因為根據這個NVIDIA工程師
[16:59] 被外流的這張圖
[17:00] 上面是沒有Lid
[17:01] 所以最近就有一個說法是說
[17:03] 那完蛋了
[17:04] 就是在之後就不會有這個散熱的上蓋
[17:06] 就我們目前的理解
[17:08] 就是說這個co-op應該是一個
[17:10] alternative solution
[17:12] 就是它不一定會變成是一個
[17:13] 主流確定的一個選擇
[17:16] 最主要確定選擇
[17:17] 還是會有一個LID MCL這樣的一個解方
[17:19] 那可能有一個backup的解方
[17:21] 就是會去使用旁邊的stiffener
[17:23] 然後外加去上兩層team的方式
[17:25] 然後來做到不用上蓋的一個
[17:28] 就是alternative solution
[17:29] 那只是我自己稍微的
[17:31] 跟產業的一些朋友聊了一下之後
[17:33] 他們的意見是說
[17:34] 這個是比較難以去做推行的
[17:36] 就是說現在Vidia的態度
[17:38] 可能是比較偏向
[17:38] 他願意花很多錢
[17:41] 然後去找各方的強大
[17:43] 或說厲害的供應鏈來配合他
[17:45] 然後去做各式各樣的材料的開發
[17:48] 跟選擇測試
[17:49] 只是最後面不一定會採用
[17:51] 就像前陣子大家不是非為揚
[17:52] 說什麼後面一定要用M9加石英嗎
[17:55] 當然我覺得長期來看
[17:56] 應該是往那個方向
[17:57] 只是現在最新的這個產品
[17:58] 就告訴你說
[17:59] 那個規格提升是低於大家的預期
[18:02] 就它沒有用到那麼好
[18:03] 那為什麼那時候會那樣子去
[18:04] 有一些謠言出來
[18:05] 也不是說什麼大家在炒股票在亂傳
[18:06] 是真的有去測
[18:07] 只是可能後面礙於一些實物上的
[18:11] 不知道就是說流程
[18:12] 或者說時效之類的
[18:14] 然後他只好這樣子去改
[18:15] 所以我自己的朋友是跟我講說
[18:17] 這個有可能是偏向那樣子
[18:19] 就是他有去搞一個
[18:21] co-op的一個solution
[18:22] 只是co-op這個solution
[18:23] 比較不容易成的一個主因
[18:25] 是他必須要去跟大fab
[18:28] 就是這個大fab去做很多的合作
[18:31] 甚至這些工廠可能要去負責
[18:33] 這個東西如果後面出問題要怎麼樣
[18:34] 所以他們也不一定會想要這樣子做
[18:36] 所以他認為說這個東西
[18:37] 有可能只是一個
[18:38] 就是市場上的題材
[18:40] 但我們家的態度都覺得說
[18:43] 各種題材
[18:43] 就是以交易的角度來講
[18:45] 其實都是可以試看看
[18:46] 都可以trade看看
[18:47] 只是後面會不會變成是一個solid solution
[18:50] 不一定
[18:50] 因為前面才剛給你看過
[18:51] 就是本來講說用M9的
[18:53] 然後後來是沒有用
[18:54] 或者說前陣子在傳說用PTFE的
[18:56] 那個不一定後面會去往那個方向去做使用
[18:59] 這都是有機會的
[19:00] 所以稍微跟大家講一下市場的動態
[19:01] 就是因為這樣子
[19:02] 所以有些人會覺得說
[19:03] 那我可能可以去弄一些co-op的概念股
[19:07] 然後去short
[19:07] 就是那些lead或者說mcl的股票
[19:11] 那這個不一定是對的
[19:12] 我只能夠說這個不一定是對的
[19:13] 而且其實如果說是沒有LID的話
[19:15] 那也是有可能在Stiffener
[19:17] 或者說在這個散熱介質的方面
[19:20] 它的單價也不一定會比較低
[19:21] 所以這個是稍微跟大家分享
[19:23] 在產業部分的一些小觀察
[19:26] 我覺得蠻有趣的
[19:26] 非常感謝一些朋友跟我聊這個
[19:28] 我才知道說
[19:28] 原來大家除了在看那個Co-op本身
