[00:00] 欢迎收听谷外,我是星梦宫,本集节目由EVOASIS赞助
[01:53] 接下来就有新的挑战
[01:54] 那如果是不好的话呢
[01:56] 那就是重新的去整理一下自己的情绪
[01:58] 然后接着呢
[01:59] 还是要再去面对新的挑战
[02:00] 那我自己的上半年呢
[02:02] 我是觉得可能算是我人生的高光时刻
[02:05] 不管是在工作
[02:06] 或者说在自己的生活方面
[02:08] 我都是算是非常的喜欢
[02:10] 也非常的感恩上天
[02:12] 或者是不管是什么不可知的力量
[02:14] 那或者说身边的家人朋友
[02:16] 跟工作上的同业
[02:17] 总之呢
[02:18] 就是算是收获到了一个
[02:20] 非常好的上半年
[02:21] 应该是在历史上会留名的
[02:23] 不管是哪一个层面
[02:25] 那现在讲在生活层面
[02:26] 就是我认为减重这个决定呢
[02:29] 是非常好的
[02:30] 那同时呢
[02:31] 在自己的体能的提升上
[02:32] 我觉得也形成了一种那种飞轮的效应
[02:35] 就最早只是想说
[02:36] 反正那时候有注意到说
[02:38] 医师有提醒我
[02:39] 你已经有一点点的高血压的前期
[02:42] 所以可能要稍微注意一下
[02:43] 自己的饮食或什么的
[02:44] 那后来就是在对话之中得知到
[02:47] 他跟我讲说
[02:47] 你大概就降一公斤
[02:48] 就可以降一毫米拱住
[02:50] 那我说那我当然就直接用减重的方式
[02:52] 去做处理嘛
[02:53] 那本来心态其实有点类似说
[02:55] 反正针就先打下去
[02:56] 那接着呢
[02:57] 反正大概能够降一点重量
[02:59] 稍微能够过关角
[03:01] 就这种得过且过
[03:02] 那可是后来针打下去之后
[03:04] 因为意识到自己的食量
[03:05] 完全没有受到影响
[03:07] 那时候身边还有一些大哥朋友
[03:08] 会跟我分享说
[03:09] 那个针打下去
[03:10] 你甚至连运动都不想动
[03:11] 什么性欲会变很低之类的
[03:13] 因为妈的完全都只想
[03:14] 当一摊烂肉之类的
[03:15] 所以你要注意
[03:16] 你可能会掉很多的肌肉
[03:18] 那就没想到
[03:19] 自己算是相对幸运的啦
[03:20] 就是打这个针呢
[03:21] 没有什么不良的副作用
[03:23] 还是跑去运动
[03:24] 因为这样子
[03:25] 去接触了像是网球
[03:27] 然后以及功能性
[03:29] 或者机能性训练
[03:30] 那这个对我的人生的改变
[03:32] 是非常大
[03:33] 就是一个小小的决定
[03:34] 可是从此以后
[03:36] 我觉得我生活形态
[03:37] 就是就此改变
[03:37] 因为我自己是非常喜欢
[03:38] 下的一个形态跟样貌
[03:40] 那所以在身体上面
[03:42] 我觉得是做得非常好
[03:43] 那在自己的家人孩子的方面
[03:45] 孩子的身体检查
[03:46] 各种状况
[03:47] 也都已经是
[03:48] 慢慢的去把它排除掉了
[03:50] 那所以下就是一个健康的孩子
[03:52] 以前就会觉得说
[03:53] 会不会这边有问题
[03:54] 那边有一个问题
[03:55] 那就整天会想要去跑医院
[03:57] 或是去做更多的
[03:58] 不管是要去获得医嘱
[04:00] 或是你要获得second opinion
[04:02] 反正就整天去往医院跑
[04:03] 那在这个上半年
[04:05] 也算是相对的
[04:06] 去把它给解决掉
[04:07] 那在工作方面呢
[04:09] 更是非常的顺利啦
[04:10] 那其实我相信
[04:11] 绝大多数有去参与股票市场的人
[04:13] 应该都比较难
[04:14] 表现的不好
[04:15] 那以我们的节目的气氛仔来讲
[04:18] 就绝大多数人
[04:19] 可能是去买0050这样子的东西嘛
[04:21] 那今年的year today
[04:22] 都还是有个50%
[04:23] 这个是非常吓人的数字
[04:25] 那所以我相信
[04:26] 绝大多数人在投资
[04:28] 或者说在这个跟
[04:29] 怎么讲买卖相关的方面呢
[04:32] 应该都还蛮不错的
[04:33] 那至于是实体生意的话
[04:34] 可能就比较一翻两瞪眼
[04:37] 有些人的生活可能就没这么好
[04:38] 那因为我自己的工作
[04:39] 就是着重在投资方面嘛
[04:41] 所以对我来讲
[04:43] 我算是过了一个非常好的上半年
[04:45] 那目前我的绩效的highlight
[04:47] 是落在差不多四到六月
[04:49] 那其实四到六月
[04:50] 也是大盘一个高速爬升的时间
[04:52] 所以它一定有那种
[04:53] Beta加分的成分在里面
[04:55] 那只是五月的那一波呢
[04:56] 算是我有史以来第一次感受到
[04:59] 好像什么事情都不用做
[05:00] 然后就可以疯狂赚钱的一段时间
[05:02] 因为那时候手上的持股
[05:03] 几乎都涨到进去储值股
[05:05] 然后最恐怖的是
[05:06] 就是过往的惯例啦
[05:08] 就进储值股之后
[05:09] 可能它的波动性就会降低
[05:10] 或者说它会变成一个区间盘
[05:12] 那可是在差不多四五月的时候
[05:14] 有很多储值股
[05:15] 它反而是变成标股
[05:16] 所以就是越关越大尾
[05:17] 从五分钟变二十分钟
[05:19] 然后甚至是连续储值
[05:20] 那段时间呢
[05:21] 因为我绝大多数部位
[05:23] 都是被锁在储值股里面
[05:24] 所以连动都不能动
[05:25] 过往是这样子
[05:26] 就是可能一个东西在那边喷喷喷
[05:28] 有时候会出现一些回档
[05:29] 有时候会去查一些均线
[05:30] 可能我就会去调节去减
[05:32] 然后或甚至我不一定是想把它卖掉
[05:34] 因为在过程之中
[05:35] 我可能一直注意到新的题材
[05:37] 我要去买新的题材
[05:38] 我是习惯满仓的那种人
[05:40] 所以就必须要卖东西去买
[05:41] 也就是说我不是不看好它
[05:42] 我就是需要把它卖出来
[05:43] 因为我东西要花钱
[05:45] 我又没有办法从天上掉钱下来
[05:47] 所以其实过往去报一些波段
[05:50] 虽然理论上在过去一阵子
[05:52] 已经是比之前更好
[05:53] 就是你已经比较可以去吃到
[05:55] 那种大型的波段
[05:56] 可是在过程之中
[05:56] 你就一直慢慢去做一些减码跟调节
[05:59] 那这当然又要有坏了
[06:00] 就是坏的部分就是有时候
[06:02] 你注意到一些那种超级大鱼
[06:03] 你没有用全仓去把它吃完
[06:05] 那好的部分就是有时候
[06:06] 你减码的东西
[06:07] 它后来就证实
[06:08] 它真的只是一个小波段
[06:09] 然后就没有吃到
[06:10] 但绝大多数的想法
[06:11] 应该都跟我是比较类似
[06:12] 如果可以稍微轻松一点赚钱
[06:14] 谁不想要轻松一点赚钱
[06:15] 那也因为东西会被关在储值里面
[06:17] 是完全是动弹不得
[06:18] 那甚至那时候有些
[06:19] 自己手上的部位是
[06:20] 他进储值的时候
[06:22] 你大概只要丢个
[06:23] 可能30张50张
[06:24] 他本来量还蛮大的
[06:25] 可是他进储值之后
[06:26] 30张50张
[06:27] 你可能就可以直接把他关到跌停
[06:28] 所以你根本就是
[06:29] 完全不可能去动他
[06:31] 然后他就这样一直上去
[06:32] 上到储值后
[06:33] 才有办法给你去做调节
[06:34] 那所以自己的五月
[06:35] 就算是打出一个
[06:36] 非常暴力的报酬
[06:37] 那自己回头看会觉得
[06:39] 那时候四月已经觉得
[06:40] 非常不可思议了
[06:41] 然后没有想到到五月
[06:42] 还有这样子一波
[06:43] 所以真的只有感恩赞叹的心情
[06:45] 那今年年初到现在
[06:46] 也算是切了蛮多的题材了
[06:48] 一开始是做卫星相关
[06:50] 那后来有切一些载板
[06:51] 那再来做一些玻璃机板的东西
[06:53] 这都差不多在第一季左右的时候
[06:55] 就完成了
[06:56] 也就是后来我就差不多去减码
[06:57] 再换到新的东西
[06:58] 那进入到第二季呢
[07:00] 就开始去做一些涨价的题材
[07:01] 像是被动元件
[07:02] 那或者说比较近期的功率元件等等的
[07:05] 那在美股这边呢
[07:06] 动作就比较少一点啦
[07:08] 因为一般来说都是用
[07:09] 较为长期的心态去看它
[07:11] 那最近一个比较大的调动
[07:13] 就是因为需要去挪钱出来买SpaceX
[07:16] 那所以就会把一些
[07:17] 手上持股可能表现比较不好的
[07:19] 就把它卖一卖
[07:20] 然后以及Tesla也卖一卖
[07:21] 因为觉得反正我最主要去买Tesla
[07:23] 也是为了压住马斯克
[07:24] 那现在有一个SpaceX可以压住
[07:26] 那所以呢就去调节出一部分的资金
[07:28] 去买了SpaceX
[07:29] 那再来比较大的亮点就是
[07:31] 算是有压到整个CPU
[07:33] 然后在ASIC的话
[07:34] Marvel也是有压到
[07:35] 但是呢
[07:36] 最近这几档都稍微都有去做一点调节
[07:38] 为什么
[07:39] 因为开始注意到
[07:39] 美股的走势蛮分化的
[07:42] 一般在台股这边
[07:43] 就是可能转弱的东西
[07:45] 我就会把它卖掉
[07:46] 可是美股转弱的东西
[07:47] 我还蛮喜欢去接刀的
[07:49] 所以就是看到可能像是
[07:52] 一些掉下来的科学巨头
[07:53] 他们现在可能落到一个
[07:55] 我觉得蛮不错的价位
[07:56] 或是一些蛮大的均线
[07:57] 所以就有去把一些
[07:59] 相对强势的东西
[08:00] 砍一点出来
[08:00] 然后再换到这些比较弱的东西
[08:02] 再来就是在软铁的持股
[08:04] 也有去做一些调整
[08:05] 其实我自己本来心中是觉得
[08:06] 像Planetier这种估值超高的东西
[08:08] 比較有機會繼續往前衝
[08:09] 就是一般這種大家最不相信
[08:11] 覺得貴到不可思議
[08:12] 甚至很多人想上去放空的東西
[08:14] 它就會持續的領頭下去
[08:16] 但看起來
[08:17] 在過去一陣子它的表現是相對的比較疲弱一點
[08:20] 在整個Portfolio裡面走的比較好
[08:22] 像是Cross-Strike
[08:22] 好的東西就持續有在去點它
[08:25] 比較沒有那麼好的東西
[08:26] 也是不會到需要去減
[08:28] 但是就不會再去做額外的一個加碼
[08:30] 是目前用這樣的態度去看
[08:32] 自己心中的一個劇本是認為說
[08:35] 在美股这边是相对的难做一点
[08:38] 我还是相信后面一定是要转进去
[08:40] 应用层面的一些表现
[08:42] 所以像巨头应该要有一些机会
[08:44] 特别我比较喜欢的会是Google
[08:46] 因为Google他现在在降本增效方面
[08:48] 算是做得非常好
[08:49] 不管是自己的晶片开发
[08:51] 或是一些portfolio的配置
[08:53] 在模型的各种应用层面上
[08:55] 其实我觉得他把公司调整到一个
[08:57] 蛮好的状态
[08:59] 所以目前虽然科技巨头表现是
[09:00] 没有这么好
[09:01] 但我还是会觉得
[09:02] 可能可以往这边去做一个压住
[09:04] 苹果的话是我相信在age短之后
[09:07] 它有机会会是一个
[09:08] 持续维持领导地位的公司
[09:10] 虽然可能在过去一阵子
[09:11] 大家比较不喜欢它
[09:13] 认为说它在AI没有布局或什么的
[09:15] 但是像我们自己
[09:16] 满手都还是苹果的产品
[09:18] 所以就还是会相信说
[09:19] 这家公司是有机会
[09:20] 会为我们带来一些惊喜
[09:22] 只是一直没有找到
[09:24] 比较合适的切入点
[09:25] 我自己会觉得说
[09:26] 可能等到它稍微转强一点
[09:27] 像礼拜五有注意到
[09:28] 已经跌深的像微软或是说苹果
[09:30] 他们反而是在
[09:31] 大家很不好的时候
[09:33] 他们就跳起来
[09:34] 那如果說在接下來你注意到他們持續上去的話
[09:36] 那我就有可能會把一些錢移到這些地方來
[09:38] 所以以美國來說
[09:40] 他的表現是跟台股比起來我覺得差蠻多的
[09:43] 那還是相信說後面是有機會啦
[09:45] 因為一般台股跟美股市場
[09:47] 特別是我們節目也這麼多年了
[09:49] 那過去我們的經驗就是會輪來輪去
[09:51] 有時候大家在那邊狂罵美股很爛的時候
[09:52] 後來美股就給你驚喜
[09:54] 那反之一統大家覺得台股不好的時候
[09:56] 後來台股有時候就會給你一些驚喜
[09:58] 那所以就還是持續的去做該有的一些佈局
[10:01] 整個上半年目前看下來是非常的滿意
[10:04] 雖然在過去的一個禮拜
[10:06] 算是遭受到了蠻大的一個重擊
[10:08] 按照我自己的進職的表現來說
[10:10] 差不多再這樣下去的話
[10:13] 很快就會把六月的東西給賠掉
[10:15] 四五月要賠掉
[10:16] 就老實講應該是還蠻困難的
[10:18] 因為已經直接在拉出一個檔次了
[10:20] 所以按我的看法會認為說
[10:22] 特別是有蠻多的部位
[10:23] 其實都已經是處於一個相對低成本
[10:26] 當然相對低成本不代表說
[10:28] 他一直跌你就不用去處分他
[10:29] 不用去動他
[10:30] 但一般来讲
[10:31] 你真的会比较有耐心
[10:32] 你会比较可以
[10:32] 怎么样
[10:33] 在卡到好的位置的
[10:35] 一个状况之下
[10:35] 有机会吃到更大的一个波段
[10:37] 位置没有卡好
[10:38] 就像说你住在一个
[10:38] 波段的短线高点
[10:40] 很多时候它往下跌的时候
[10:41] 你就会觉得受不了
[10:42] 你就想把它砍掉
[10:42] 所以就会觉得说
[10:44] 反正且战且走
[10:45] 慢慢的观察下去
[10:46] 那也希望大家在
[10:47] 接下来的下半年
[10:48] 也可以表现得蛮不错
[10:49] 虽然我自己目前的态度
[10:51] 会比较偏向是中性
[10:52] 我还是觉得说
[10:52] 今年会是一个多头年
[10:54] 但是因为上半年
[10:55] 真的太夸张了
[10:56] 你很难去想象
[10:57] 后面还可以更夸张
[10:58] 但我相信我四月
[10:59] 一定也讲过类似的话
[11:00] 就是四月好的不可思议
[11:02] 很难想象后面可以更好
[11:03] 就后来有一个更好的五月
[11:04] 那六月一开始也都非常好
[11:06] 但是在六月的下半之后呢
[11:08] 就开始有一点那种
[11:09] 业力引爆的感觉
[11:10] 所以整体来说是这样
[11:11] 那也希望大家在
[11:12] 接下来的半年
[11:13] 可以弄出一个
[11:14] 令你满意的半年
[11:16] 不管他是可能在工作
[11:17] 在家庭或是事业上
[11:18] 不管你要专注的东西是什么
[11:21] 还是投资
[11:22] 希望大家都可以去
[11:23] 达成自己要的一个目标
[11:25] 大概这样子
[11:26] 好那接下来我们就来回顾一下最近的盘面
[11:28] 稍微讲一下自己的一个看法
[11:30] 那老实说呢
[11:30] 我自己本身是以为大概在礼拜三礼拜四左右
[11:34] 就会开始看到盘面出现一些反弹
[11:36] 特别是其实在礼拜四的差不多过了11点半12点之后
[11:41] 你就注意到说台股有很多中小型
[11:43] 其实他是在拉尾盘
[11:44] 然后一些过去的强势股也都在拉尾盘
[11:46] 所以本来我以为差不多到这个地方就结束
[11:49] 那我就已经有持续的把钱打进去
[11:51] 然后在礼拜五的时候呢
[11:53] 早上是先杀嘛
[11:54] 然后杀完之后到中午的时候呢
[11:56] 有一些相对强势的股票
[11:57] 有试着站回去
[11:58] 我就被套在一个
[11:59] 他妈日内的高点
[12:00] 因为我就觉得说
[12:01] 这个地方应该就是要反攻
[12:03] 因为前面
[12:04] 特别是在9点多
[12:05] 还10点的时候
[12:06] 有看到国巨的期货
[12:07] 直接跑去跌停
[12:08] 这什么意思
[12:09] 就他的现股
[12:10] 根本就还没有要去跌停
[12:11] 可是期货先跌停
[12:12] 一定是那一堆杠杆
[12:13] 杠超大的要自杀了
[12:14] 所以就会认为说
[12:15] 有可能筹码到这边
[12:16] 已经洗了差不多了
[12:18] 然后在外加的时候
[12:19] 有注意到说
[12:19] 台资有一段突然间的急杀
[12:21] 那个我认为也是一些
[12:22] 就是杠杆杠到最大的人
[12:24] 他们可能出现了一些
[12:25] 必须要自断
[12:26] 或甚至是已经要看到断头的压力
[12:28] 所以赶快把东西给处分掉
[12:31] 恐慌大逃杀
[12:32] 看到这个东西就会觉得说
[12:33] 我接下来就是等到
[12:35] 有东西开始要站回去的时候
[12:36] 我就要再把部位打进去
[12:38] 但我现在心中的感受是
[12:39] 我觉得好像有一点打得太快
[12:41] 也就是说如果那时候反弹
[12:43] 真的是出在礼拜四的话
[12:44] 我会觉得说整体的形态
[12:46] 是长得还蛮有机会
[12:48] 就是在接下来很快
[12:49] 又会再跑回去新高
[12:50] 可是因为再额外多了一个
[12:52] 然後這根算是蠻大的
[12:53] 然後你就注意到說
[12:54] 其實過往的一些熱門族群的股票
[12:57] 他們在禮拜五的時候
[12:58] 有蠻多是直接跑到季線下面去了
[13:01] 那按照我們自己的經驗
[13:02] 就是這些跑到季線下面的東西
[13:04] 當然你說反彈會不會看到
[13:06] 反彈的時候會看到
[13:06] 因為殺很快的東西
[13:07] 就是後面會出一些反彈
[13:09] 那可是就是一般如果說你一次就跌到季線以下的話就是蠻高機率因為它可能後面扣底就會轉成是負的所以在反彈的過程之中摸到一些可能比較大的均線
[13:21] 就會注意到一堆那種美紅幹的
[13:22] 就會開始因為他解套了
[13:23] 所以就趕快把東西丟掉
[13:24] 所以就會導致說他後來要上去的一個機率
[13:28] 或者說他要上去的力道都會變得蠻小的
[13:30] 也就是說在我的角度會認為說
[13:33] 如果他本來在禮拜三禮拜四就繼續上去的話
[13:35] 其實市場的廣度都還蠻大的
[13:37] 可是因為有蠻多東西就直接摔破了
[13:39] 所以市场的广度就变小了
[13:41] 就可能会集中在一些
[13:42] 真的还蛮强势的东西
[13:43] 有机会会后面又再跑上去
[13:45] 可是呢
[13:46] 就是那些只要去杀太深的
[13:48] 一般可能就是在反弹之后
[13:50] 你又会注意到
[13:51] 它会再一次的软掉
[13:52] 所以呢
[13:53] 这边可能是要稍微
[13:54] 比较小心的点了啦
[13:55] 就是说如果你手上的部位
[13:56] 是有看到说
[13:57] 它直接一路往下灌
[13:59] 然后灌爆际限的
[14:01] 但我是认为说
[14:02] 就是有时候不要太急
[14:03] 就是在那种最恐慌的时候
[14:04] 把它不会砍掉
[14:05] 因为很多时候你回头看
[14:06] 就会发现你砍在最低点
[14:07] 可是一般这种
[14:08] 真的回到超级神
[14:09] 然后已经跑到
[14:10] 你就想吧
[14:11] 就季限就是60天平均成本
[14:12] 也就是说过去60天
[14:13] 买人全部都套牢了
[14:14] 那这些东西在反弹之后
[14:16] 就是有机会会有蛮大的卖压
[14:18] 也就是说它可能也不一定上得去
[14:19] 它只是让你少赔一点
[14:20] 或者说
[14:21] 让你可能未实现的获利
[14:23] 再多跑回来一点点
[14:24] 但是后面要再继续的快速进攻
[14:26] 一般来说几率是偏低
[14:29] 几率是偏低
[14:29] 所以就是说多了这一两根下去
[14:31] 我会觉得
[14:32] 有些东西可能就开始走位了
[14:35] 当然这个可能是直接
[14:36] 分析给一些人听
[14:37] 因为对我来讲
[14:38] 我目前手上的东西都还是属于那种比较强势的东西
[14:41] 反正就是那些涨价元件
[14:43] 他们基本上都离季线在蛮远的
[14:45] 可是我注意到就是过去的一些热门族群
[14:47] 他们是直接跑到季线下面去了
[14:49] 这个就是大家自己要稍微注意一下
[14:51] 因为一般跑到季线下面的东西
[14:53] 市场上的做多意愿就会偏低
[14:55] 除非他突然间有一个
[14:57] 就是前面大家都没有听过的好消息丢出来
[14:59] 不然这就是我们讲的做坏掉
[15:02] 就被丢坏掉了
[15:02] 他后面要再爬回去就会是相对的困难一点
[15:05] 在过去一阵子
[15:06] 當然大家就開始討論說
[15:07] 這一波的修正到底在跌什麼
[15:09] 它當然有可能是跟
[15:10] 就是差不多6月5號
[15:12] 就我生日那附近的時候
[15:13] 不是也是一個超大的沙盤嗎
[15:16] 跌滿身的
[15:16] 然後後來就高速的拉回來
[15:18] 在6月15號左右
[15:19] 就開始一路在往上噴了
[15:20] 當然也有可能是像這樣子的一個狀態
[15:24] 但就是說
[15:25] 因為一般在市場下跌的時候
[15:26] 你就會知道有很多的壞消息丟出來
[15:28] 有些可能就是比較誇張一點
[15:30] 有些就是比較唬爛一點
[15:31] 但反正只要盤不好
[15:32] 就一定有一些壞消息
[15:33] 一般我們不會太在意
[15:34] 那些亂丟出來的壞消息
[15:36] 可是有一些可能比较关键的
[15:37] 我们会稍微再看一下
[15:38] 那据说像最近有一个说法
[15:40] 就是说现在可能是一些主权基金
[15:42] 退休金
[15:43] 因为他们在过去的一季
[15:45] 表现非常好
[15:46] 就跟你各位
[15:47] 或是跟我一样
[15:48] 大家可能都在科技股
[15:49] 赚到蛮多钱的
[15:50] 那他们就必须要去执行
[15:52] 就是每个季度的一个rebalance
[15:53] 这什么意思呢
[15:54] 就他portfolio里面
[15:55] 可能有东西是喷了30%
[15:56] 那有东西可能是往下跌的
[15:58] 有东西可能是在横盘
[15:59] 那相对来说
[16:00] 那些涨比较多的
[16:01] 是不是就是在他的
[16:02] 净值的占比会变高
[16:04] 那因为他们是走一个
[16:05] 比較保守的策略
[16:06] 所以他們就會選擇去把這些
[16:08] 變高變貴的東西去做一個
[16:10] 比較那種機械式的減碼
[16:12] 減碼出來前就會去買那些
[16:14] 現在可能已經是跑到
[16:15] 他在淨值裡面
[16:16] 百分比是比較低的東西去做一些加碼
[16:20] 這個我們把它稱為是一個Rebalance
[16:21] 我覺得是蠻合理的一個說法
[16:24] 就是因為可能在過去的科技股
[16:26] 增長很多
[16:26] 所以導致就是你注意到說
[16:28] 有蠻多噴很多的東西
[16:30] 然後被大量的提款
[16:31] 這個可能就是一種就是市場
[16:33] 那些大資金太弱流強的一個結果
[16:35] 那當然也有些人說是因為
[16:37] 美伊戰爭這邊又什麼再一次去轟人家
[16:39] 那我稍微的看了一下
[16:41] 其實現在有蠻多
[16:42] 所謂的革命衛隊在做什麼事情的新聞
[16:45] 那個都偏向是假消息
[16:46] 就是你真的去認真查之後
[16:48] 就會知道說它是假消息
[16:49] 或者說它其實沒有一些外電的來源之類的
[16:51] 那就算是有外電的來源
[16:53] 可能是一些那種野雞報導之類的
[16:55] 那我覺得這一點其實非常簡單去做判斷
[16:57] 就直接看油價就好
[16:58] 就油價已經跌到七八十塊左右
[17:00] 所以就像那時候跟大家分享
[17:02] 因為那時候QA有一個聽眾問我說戰爭怎麼看
[17:05] 我就說其實基本上當你注意到說他在丟一些東西
[17:08] 然後市場都已經沒有反應的時候
[17:10] 我們會去相信市場的一個判斷
[17:11] 當你已經注意到說油價已經掉到這個位階
[17:14] 其實應該就已經在一個善後的階段
[17:16] 就是說過去的那個Face已經結束了
[17:18] 當然我們不排除
[17:19] 就是川普我們可能再搞一個新的Face出來
[17:21] 那是有機會
[17:22] 只是就是美伊戰爭這個事情
[17:24] 應該不會是市場這一波驅動它掉下去的一個主因
[17:27] 因為你直接看油價就已經是像是Open Book一樣了
[17:31] 那再有些人讲说
[17:32] 会不会是升息的可能性
[17:34] 升息的可能性
[17:35] 当然你要看
[17:35] 你总会看的东西是什么
[17:36] 那有些人讲说
[17:37] 他最主要是锁定核心CPI
[17:39] 这是一个比较主流的说法
[17:40] 那有些人讲说
[17:41] 他其实会看整体
[17:42] 外面的环境是怎么样
[17:43] 也会去做一些调动
[17:44] 那像油价可能很高的时候
[17:45] 大家就会担心
[17:46] 油价现在是相对低下来
[17:48] 可能就还好
[17:49] 可是大家同时也注意到说
[17:50] 因为AI导致
[17:51] 像大家看到那个
[17:52] 美光的财报超级好
[17:53] 那下来看到
[17:54] 苹果也受不了要涨价了
[17:56] 所以有没有可能要去压制
[17:57] 这些所谓的通膨的状态
[18:00] 即便大老板本人
[18:01] 川普是说他喜欢通膨
[18:03] 没有问题
[18:04] 然后去做什么
[18:05] 很大幅度的升息
[18:07] 什么一年内
[18:08] 要赶快再多拉个
[18:09] 什么三次以上之类
[18:10] 这个我觉得也是属于
[18:11] 几率偏低
[18:12] 因为第一个就大老板本身
[18:14] 他应该是不会想要
[18:16] 这样的事情发生
[18:17] 然后再来
[18:17] 第二个是
[18:18] 其实现在的这些价格
[18:20] 我们看到很多那种
[18:21] 涨价狂潮什么
[18:22] 它其实比较集中在
[18:24] 像是Data Center这边
[18:25] 因为这些大型的客户
[18:27] 对他来讲
[18:27] 像以下一个AI Server来说
[18:29] 它可能在记忆体这边的BOMB COST
[18:32] 就已经是跑30%去了
[18:33] 它成本有30%的记忆体
[18:34] 可是他们还是买得很高兴
[18:36] 因为对这些巨头来讲
[18:36] 他们太有钱了
[18:38] 那反映在消费端这边的话
[18:39] 可能就是有一些需求被破坏掉
[18:42] 也就是说当价格涨到某个位置
[18:44] 这电脑还可以用啦
[18:45] GTA是可能11月才出
[18:47] 10月才出
[18:48] 我现在不用急着换电脑
[18:49] 所以大家会选择去遞延自己的消费
[18:52] 然后外加其实过去的盘面很好
[18:53] 大家都想要把钱全部打进市场里面
[18:55] 所以我会觉得说
[18:56] 它比較不會是那種就是可能超大範圍的
[19:00] 你會注意到這種漲價影響到大家的生活
[19:02] 反而是可能它是集中在一些小範圍內的
[19:06] 那當然不排除後面會把它擴散出來
[19:09] 然後特別是這一波的財富效應
[19:10] 讓很多人在股票市場賺到錢
[19:12] 那一般我們有個說法是這樣子
[19:13] 就是當財富效應正在發生擴張的時候
[19:16] 也就是可能盤面狂漲的時候
[19:18] 那大家會想說
[19:19] 理論上不是每個人都變有錢了嗎
[19:21] 特別像美國就是幾乎大家都上車
[19:23] 因為他們有那個什麼401k什麼的
[19:24] 所以应该你变有钱
[19:27] 你就想多花钱
[19:28] 可是其实不一定是这样子
[19:29] 因为在盘很好的时候
[19:30] 大家会认为说
[19:31] 我现在不把钱丢进去市场里面的话
[19:34] 我的机会成本太高了
[19:35] 所以大家都会持续往市场里面丢
[19:36] 那会到什么时候
[19:37] 就等到时候可能盘面开始震荡
[19:39] 开始修理人
[19:40] 修理人的频率开始变得很高
[19:42] 或者说开始也会有很多的
[19:44] 那种袋鼠盘的现象产生的时候
[19:46] 然后大家会产生一个想法
[19:47] 像我最近就开始产生这种想法
[19:49] 马的赔掉不如花掉
[19:50] 那这时候可能就会去
[19:51] 把一些股票的资产拉出来
[19:53] 然后可能去买别的东西
[19:55] 所以我觉得说
[19:55] 可能一些消费
[19:56] 是在那个时候才会发生
[19:57] 所以等到那个时候
[19:58] 我们再来观察说
[20:00] 现在这些涨价
[20:01] 到底会不会去
[20:02] 非常大幅度的冲击消费
[20:04] 它会比较准一点点
[20:06] 就是需求到底会不会破坏掉
[20:07] 那时候看会相对的准一点点
[20:10] 那不然说像台湾的一些
[20:11] 房地产市场
[20:12] 我觉得也是
[20:12] 因为过去很多炒房的资金
[20:13] 现在也都丢进去股票市场里面
[20:15] 你应该都在报道上面看到
[20:16] 什么四代同堂
[20:17] 一堆有的没有的
[20:17] 每个人都在借钱
