[00:00] 歡迎收聽谷愛,我是聖夢宮,本期節目由Ray Chen穩資坐墊贊助
[00:04] 各位最近這個行情我看很多人是睡不著覺,上沖下洗,磨來磨去
[06:05] 總之你只要可以對的比錯的多
[06:07] 那就是有機會可以賺到錢
[06:09] 本來我自己的假想是說
[06:11] 在AWS to reinvent這個活動辦下去之後
[06:13] 可能AWS Chain會有一個發揮的機會
[06:16] 就像前面Google Chain是表現得非常好
[06:18] 那最後面就整個說
[06:19] 可能我自己烏鴉嘴
[06:20] 因為我已經一直長期跟大家講說
[06:22] AWS Chain不是人玩的地方
[06:24] 但是我自己其實本身還是持有蠻多AWS Chain
[06:27] 雖然加上是以Google的持股
[06:29] 作為一個主力核心
[06:30] 可是AWS的持股
[06:31] 不管是什麼板材交換器
[06:34] 或者是它的什麼scale up scale out
[06:37] 其實都是自己的一個選股之一
[06:39] 甚至連它的後段的IC Design Partner
[06:42] 就是也是有在自己的配置裡面
[06:44] 那看得出來是兩樣情
[06:46] 就是在Google的相關的活動跟曝光之下
[06:50] 它的供應鏈是有上去
[06:51] 可是AWS的活動之後
[06:53] 它的供應鏈是全部下去
[06:55] 那可能是因為市場過度去反映
[06:57] 它要去採用NV-Link
[06:59] 那這個NV-Link
[07:00] 它其實並不是說
[07:02] 就是它要放棄自己的Neuralink
[07:04] 然後全部都要走向NV的一個解方
[07:07] 而是它就是要去把它的東西
[07:09] 長在NV上面
[07:10] 你可以這樣去想象
[07:11] 所以可以把它採購的NV4伺服器
[07:13] 跟本家的XPU
[07:15] 也就是我們講ASIC
[07:15] 可以去做一個整合
[07:17] 就我們的理解
[07:18] 目前它的路線選擇上
[07:20] 是一個雙軌的設計
[07:22] 也就是它會有NV-Link Fusion的一個做法
[07:26] 同時也會有它自己本家的PCIE的一個做法
[07:29] 所以其實理論上看起來的受害者
[07:32] 會是Broadcom的SUE
[07:34] 或者說前面剛剛跟大家宣佈
[07:37] 說要成立的新聯盟
[07:39] 可能是在這一波里面
[07:40] 沒有拿下太多的優勢
[07:42] 可是本來既定的
[07:43] AWS Chain的一些交換器
[07:45] 或是相關的廠商
[07:46] 以及像是NVIDIA
[07:47] 對我來說
[07:48] 他們其實整體來說
[07:49] 都是受惠的一個狀態
[07:51] 那不然像是AEC
[07:52] 也是一個受惠的狀態
[07:54] 所以不太懂
[07:55] 就是這個市場
[07:56] 為什麼會這樣子去反映
[07:57] 就是在這個事件之後
[07:59] 然後說AWS Chain
[08:00] 都直接往下跳
[08:01] 這我們不太知道
[08:02] 可是有時候
[08:02] 其實在短期的股價上
[08:04] 那是有很多
[08:05] 你猜不準的事情
[08:06] 你以為會這樣
[08:07] 就不是這樣
[08:07] 就像說像
[08:08] 自己拉的一個組合
[08:09] Credo跟BizLink
[08:11] 也就是3665帽聯嘛
[08:12] 那這其實是一個
[08:13] 非常直覺的選項
[08:14] 為什麼
[08:15] 因為其實像是
[08:17] Credo就是BizLink的一個客戶嘛
[08:19] 那我們今天知道說
[08:20] BizLink的一個狀況不錯
[08:21] 那我們就可以去推說
[08:22] 那Credo也不錯嘛
[08:24] 那可是像Credo前面
[08:25] 也是有中殺過嘛
[08:26] 就那種你不知道
[08:27] 為什麼會這樣子跌
[08:28] 那時候在節目裡面
[08:29] 是跟大家抱怨說
[08:29] 我真的不知道
[08:30] 為什麼他會這樣子跌
[08:31] 那我們臺灣的帽聯
[08:33] 在那邊創新高
[08:33] 然後他在那邊跌
[08:34] 那結果呢
[08:35] 財報開出來
[08:36] 你就發現說
[08:37] 就美國人真的比較慢
[08:38] 他們可能沒有意識到這件事情
[08:40] 所以才會在盤後直接吊拉
[08:42] 然後後來在開盤的時候
[08:44] 又曾經最高是跳到了
[08:46] 大概23 24%左右
[08:47] 這周面是直接收斂回10%
[08:49] 像這種地方對我來講
[08:51] 就是一個殺人K
[08:52] 我的反應是比較慢一點
[08:53] 一般我可能就是說
[08:54] 我發現你的圖越漲越母湯
[08:56] 然後又爆大量的時候
[08:57] 我會去做一些減
[08:58] 這一波因為剛好身邊
[09:00] 有一些技術猛男
[09:01] 他也跟我在同一個車上
[09:03] 他直接跟我講說
[09:03] 這種開事件
[09:04] 然後一次衝那麼高的
[09:05] 然後同時你已經看到說
[09:06] 臺灣的供應鏈在同樣的財報
[09:09] 因為是Credo的盤後開
[09:11] 開完之後我們看茂聯是直接
[09:13] 開高走低就灌下去了
[09:14] 他意思講說
[09:15] 基本上可能玩家都是同一批人
[09:18] 所以茂聯會這樣子走的話
[09:19] 可能在Credo這邊也會這樣子走
[09:21] 我真的覺得這位技術猛男超級厲害
[09:23] 就證明就被他講中
[09:24] 他是賣在他媽最高點
[09:25] 我是沒有賣在最高點
[09:26] 可是我也是沿路跟著丟
[09:27] 所以就稍微的去做一些這樣子的調節
[09:30] 就最近蠻多這種
[09:32] 就是可能你過去在抄底的東西
[09:34] 然後現在它彈起來
[09:35] 你發現它力量不夠
[09:36] 或者說表現的不夠好
[09:38] 然後就開始去做一些減碼
[09:39] 那當然其實在我自己的做法裡面
[09:41] 我是不會把持股去做清空
[09:43] 就是我看好的東西
[09:44] 我都會持續擁有著
[09:45] 那只是會有一些動態的調整
[09:47] 也就是像前面大家不要的時候
[09:49] 你就丟我就接
[09:50] 我就那種自收班班長
[09:52] 我那春風化雨
[09:53] 這種問題學生全部送來
[09:54] 我這我全收
[09:55] 那現在大家強著要的時候
[09:57] 就還一點給大家
[09:58] 你們這麼喜歡
[09:59] 那就丟一點給你
[10:00] 那所以大概是往這個方去做調整
[10:03] 也稍微跟大家分享一下
[10:04] 就這次我看到AWS的活動
[10:07] 我的心得
[10:08] 就是我認為說市場是有一點
[10:10] 甚至可以講說是反應錯方向的
[10:12] 我認為是這樣子
[10:13] 當然短期的股價就是長這樣不好看
[10:15] 所以不知道
[10:16] 有可能需要整理一段時間再看怎麼樣
[10:18] 可是最近在做AWS供應鏈的朋友們
[10:21] 應該都非常有感的感受到
[10:23] 你每天就是擔心受怕受傷害
[10:25] 然後再來就是
[10:26] 你就算有一個好的訊息
[10:28] 你也發現說上不太去
[10:29] 我覺得可能比較好的一個解釋
[10:31] 就是因為車上的人真的很多
[10:32] 可能真的是人太多
[10:33] 太永吉的交易
[10:35] 我們過去都會有
[10:36] 遇到這樣子的
[10:37] 類似的狀況
[10:37] 就是說大家都已經是
[10:39] 共同期待某一件事情
[10:40] 類似說你在臺灣蹲BizLink
[10:42] 可能你就知道說
[10:42] Credo的財報一定會不錯
[10:44] 其實基本上
[10:45] 我像身邊的那種朋友們
[10:46] 都有算出來這樣的一個結果
[10:47] 就是說一定會beat
[10:48] 真的beat了之後
[10:49] 你就發現說
[10:50] 果然這個股價是上不去的
[10:51] 因為太多人在上面
[10:53] 然後太多人有一樣的想法
[10:54] 但一樣
[10:55] 這個其實不會去改變
[10:56] 它中長期的一個軌跡
[10:58] 也就是像我們在前陣子
[10:59] 跟大家舉例
[11:00] Nitobo的案例
[11:01] 大家說要用QBOO就不會再用TGLASS
[11:04] 所以就瘋狂去殺它
[11:06] 然後最後面全部都被洗掉
[11:07] 你TOPO直接射出去
[11:08] 我覺得是差不多的一個道理
[11:11] 也就是就算可能在某個環節
[11:13] 會注意到它有一個短期的逆風
[11:15] 可是如果說你拉長看的話
[11:16] 就像說像這種銅的solution
[11:18] 或者說CPU光的一個solution
[11:20] 基本上我們都可以篤定說
[11:22] 在接下來的幾年它只會放很大
[11:24] 這個市場是大到
[11:25] 可以讓這麼多玩家都在裡面可以賺到錢
[11:28] 就即便你現在看
[11:29] 可能有很多的參與者
[11:30] 很多的chipmaker
[11:32] 或者說相關的電纜的廠商
[11:34] 可是其實大家都還是有辦法分
[11:36] 它跟散熱的環節有一點不太一樣
[11:39] 就是它的成長性其實超好的
[11:40] 可能是因為短期過於的擁擠
[11:42] 所以會有這樣的一個變化
[11:44] 目前我已經這樣子去做一個結論
[11:46] 大家前面聊到散熱這一邊
[11:48] 我們過去幾集有跟大家聊到一些
[11:51] 散熱相關的話題
[11:52] 現在有一些比較明朗的狀況
[11:54] 首先在Coplay這邊
[11:56] 我們是知道說Group A的一些components
[11:58] 其實都有遇到一些殺價的問題
[12:01] 我們原來是知道說
[12:02] 有些朋友是喊到比較誇張的數字
[12:04] 說有達到六折左右
[12:05] 那只是我們目前瞭解到
[12:07] 大概是七八折的狀況是有的
[12:08] 也就是整體會去做降價
[12:11] 然後再來就在QD這邊
[12:12] 現在supplier是跑到了五十幾家去了
[12:14] 所以這個就是用屁股想
[12:15] 都知道說一定會出現一些降價的狀態
[12:17] 那當然其實像這種
[12:19] 像是Coplay或者說QD的一個降價
[12:21] 它不一定完全是一個
[12:24] 怎麼說很壞的訊息
[12:25] 因為是整個市場
[12:26] 它還是在一個擴張的狀態
[12:28] 所以你可能就是說
[12:30] 你的P是下去了一點
[12:31] 可是你的Q是大量的往上拉
[12:33] 那P乘Q之後
[12:34] 搞不好還是不錯的
[12:35] 但我相信那個估值乘數
[12:37] 就是相當程度
[12:37] 可能會受到一些影響
[12:39] 那前面提到的
[12:40] 像是Kinsley
[12:41] 那他也是有遇到一些
[12:43] 降價的狀態
[12:44] 就是過去可能是NV
[12:46] 故意不把它放在RVL裡面
[12:48] 希望他的專利方面
[12:49] 去做一些讓步
[12:50] 那我們現在瞭解到
[12:51] 就是應該是不會在這上面
[12:52] 去做讓步
[12:53] 反正在價格這邊
[12:54] 就是可能給你
[12:55] 稍微的談一下那還是在接下來的RVL裡面有望會出現所以接下來我們可以稍微注意一下這一塊這個在我們過去幾集其實有跟大家聊到只是現在越來越明朗就是在一些散熱的供應鏈上面
[13:08] 有出現了可能被要求要打折的一個狀態
[13:11] 那我們希望這個打折
[13:13] 可以被就是伺服器接下來出貨的數量
[13:16] 或者說像Google Chain
[13:17] 它假設有upside的話
[13:19] 那可能整體可以去offside掉
[13:21] 這一些降價的壓力
[13:22] 那就是會繼續走得不錯
[13:23] 那只是如果沒有的話
[13:25] 那可能這一部分要稍微的
[13:27] 聽看聽一下
[13:28] 就稍微注意一下
[13:29] 可是就整體來看
[13:30] 我還是回到我的大原則
[13:31] 就是我認為說
[13:32] 這些東西都是很明顯
[13:33] 在一個趨勢的跑道上面
[13:34] 所以理論上應該是
[13:36] 就是假設有人犯錯
[13:38] 有人要重殺亂殺
[13:39] 然後接著跟你講說
[13:41] 這個東西以後不行了
[13:42] 或什麼的
[13:43] 其實反而是我自己
[13:44] 會想要介入的一個時間點
[13:46] 所以就像是前幾集跟大家分享
[13:48] 就我們現在的做法是有點改變
[13:49] 就過去我都是在做動能比較多
[13:51] 過去幾個月
[13:52] 那現在是有點說
[13:53] 是會故意稍微的反過來一點
[13:55] 那種大家都在上面的動能
[13:56] 反而我不要去接觸它
[13:57] 就是因為
[13:58] 最近我相信大家應該有感覺到
[14:00] 就連我自己偶爾想要去追一些
[14:01] 可能看起來感覺要突破的東西
[14:03] 都發現說不勝被套
[14:04] 很多人覺得不勝被套
[14:06] 因為下的盤
[14:07] 我覺得進入一個相對比較黏的狀態
[14:10] 當然後面可能是有機會把它改出來
[14:12] 就還會再有一小波動能的行情
[14:13] 只是就先提早進入一個新階段的做法
[14:17] 也就是有東西掉下來
[14:18] 特別是現在開始有蠻多東西
[14:20] 會突然間就給你掉下來
[14:21] 那你知道他的趨勢正確的話
[14:23] 可能就會去稍微的去做一些補倉
[14:26] 那整體來說就會認為說
[14:27] 當這個指數可能走到前高附近的時候
[14:30] 又會再一次的去做一個
[14:32] 就類似像前面所做的
[14:34] 就是如果有東西有跌破
[14:36] 如果大盤有出一個長黑
[14:37] 可以會再一次的減
[14:38] 會再一次的去做減
[14:39] 所以變成是一個區間盤的一個做法
[14:41] 這是自己在短期內的一個規劃
[14:43] 那現在市場上有一些有趣的東西
[14:46] 像我昨天就看到一個蠻好玩的
[14:49] 我們之前都會去盯BDI
[14:51] 就是山川航運的一個指數
[14:53] Broadway Diary指數
[14:54] 最近我是注意到BCI
[14:55] 相信很多人有看到
[14:57] 它的數字是直接一路的往上跳
[14:59] 它是cap size的
[15:01] 也就是說那種最大的船
[15:02] 可能是8萬噸以上的
[15:03] 然後是拿來在那種鐵礦砂
[15:05] 那種大中原物料的
[15:06] 當然它有幾個故事在背後
[15:09] 不然說像在西非這邊
[15:10] 可能有新的鐵礦的產能開出來
[15:12] 然後亦或是
[15:13] 現在市場上有一個rumor
[15:15] 當然這可能傳很久了
[15:16] 就在講說烏魯戰爭
[15:17] 有可能會有停戰的可能性
[15:19] 我個人看下來就覺得
[15:21] 在基建啊
[15:22] 或什麼西非的鐵礦廠這些
[15:24] 可能相對的影響
[15:26] 它是有的
[15:27] 可是不會到這麼大
[15:28] 但如果說烏魯亭站的話
[15:29] 那影響就會非常大
[15:30] 所以其實我現在也不太確定
[15:32] 就是市場行情是要賭這個東西
[15:34] 還是要去賭一個週期性的
[15:36] 就是可能原物料的運費上漲之類的
[15:39] 目前沒有辦法確定
[15:41] 只是因為我們隨時會去看著
[15:42] 盤面上什麼新的故事
[15:43] 所以稍微跟大家分享一下
[15:44] 之所以會想分享這個
[15:45] 是因為剛好昨天在跟老婆聊天
[15:47] 然後就要聊自己的工作
[15:48] 平常跟她聊工作
[15:49] 可能她都不一定聽得懂
[15:50] 要跟他聊什麼電子零元件
[15:52] 要跟他聊伺服器
[15:54] 他一定是完全聽不懂
[15:55] 晶片聽不懂
[15:56] 可是跟他聊航運
[15:57] 這個他好像就是某種程度上
[15:59] 是可以理解
[16:00] 因為跟生活是比較貼近
[16:01] 貨櫃輪是什麼東西
[16:03] 貨櫃輪在於那些cargo
[16:04] 就是你比較好理解
[16:05] 那種長條形的
[16:06] 你在可能高速公路上會看到
[16:08] 有些是比較小的
[16:09] 一個tube是怎麼樣的
[16:11] 一個規格什麼
[16:11] 這個跟他講他可能聽得懂
[16:13] 那跟他講說這個
[16:14] 山莊航運他也可以理解
[16:16] 就是你要在什麼白糖
[16:18] 或者說什麼一些原物料
[16:20] 小米大麥
[16:21] 還是說什麼鐵礦砂
[16:24] 就是你可能會用這種散裝航運
[16:26] 那散裝航運
[16:27] 可能又有分不同的尺寸
[16:29] 那為什麼有些叫做cap size
[16:31] 因為他沒有辦法過運河
[16:32] 他就要繞
[16:33] 是可能整個大陸繞過去
[16:35] 才有辦法過的
[16:36] 那為什麼叫cap size的原因
[16:38] 他也聽得懂
[16:39] 然後再來就是
[16:40] 也跟他細部的拆解了一些小東西
[16:43] 但這個本身並不是
[16:45] 可能我們在股市裡面
[16:46] 最研究的一個主題
[16:47] 可是有時候覺得有趣
[16:48] 你會去把它挖來看
[16:49] 像JI說
[16:51] 如果接下來我們注意到
[16:52] BCI的一個價格持續上漲的話
[16:54] 那請問一下
[16:55] 你要注意的東西是什麼
[16:56] BCI的話
[16:57] 就在講這個cap size的船
[16:59] 所以當然你就要去注意說
[17:00] 這種海峽型的船
[17:02] 誰是最多的
[17:03] 那就算你可以找到
[17:05] 誰是最多的
[17:06] 你還有進一步要去推導的
[17:07] 就是這裡面有些是籤長約的
[17:10] 就是我們知道說
[17:11] 有些可能是為了這個獲利的保障
[17:14] 他不想去扛各個景氣的迴圈
[17:16] 或什麼的
[17:16] 所以他可能是用固定的某個數字
[17:18] 某個毛利率去跟人家籤一個長約
[17:20] 那在這個約定的時間內呢
[17:22] 反正對方就是穩穩的付租金啊
[17:24] 所以如果這個報價突然間上漲
[17:26] 跟這種長約的一個supplier
[17:27] 可能就不會有這麼大的一個關聯性的影響
[17:31] 那有些呢
[17:32] 他可能是走現貨船的方式
[17:34] 像他說美國有一家叫SBLK的
[17:36] 他就是幾乎都在走現貨船嘛
[17:38] 那臺灣的話
[17:39] 像域名他也是有在走現貨船嘛
[17:42] 那現貨船的話
[17:43] 可能就會隨著這個報價的租金
[17:45] 去往上去做調整
[17:46] 那他可能就比較容易
[17:48] 遲到這樣的一個行情
[17:48] 那當然反之
[17:49] 如果今天報價的行情不好的話
[17:51] 那些打長約的
[17:52] 可能就會有比較好的一個機會
[17:55] 所以其實整體看起來
[17:56] 你會發現說
[17:56] 你是一路通路路通
[17:58] 你沒有辦法
[17:59] 可能在每個行業裡面
[18:00] 變成那種就是真的專家學者
[18:02] 超級厲害的那種業內人員
[18:03] 可是本質上是差不多的
[18:05] 這樣半導體也會有些人
[18:06] 他是選擇是用比較
[18:08] 這種短期的報價去做生意
[18:10] 今天如果說
[18:11] 報價是漲到一個比較高的價格
[18:14] 那可能很多人都想要籤場約嘛
[18:15] 像以前的晶圓代工廠
[18:16] 就因為這樣去籤場約嘛
[18:18] 那籤場約就希望可以
[18:19] 把這個報價鎖在這個位置
[18:20] 或是類似我們最近看到
[18:21] 像三星這邊就有在講說
[18:23] 他的這個手機部門
[18:25] 想要去跟記憶體部門去要東西嘛
[18:27] 然後希望可以去籤一個約嘛
[18:29] 那對方就不願意簽約啦
[18:31] 他意思是想說
[18:31] 因為這個報價還會持續上漲
[18:32] 所以我當然不要跟你籤嘛
[18:33] 因為我可以
[18:34] 在這個報價的迴圈裡面
[18:36] 獲得很多利益的話
[18:37] 為什麼要把報價鎖在這個地方
[18:38] 所以其實那個觀念是通的
[18:41] 只是說因為我們今天用半導體
[18:42] 用手機講
[18:43] 他可能不一定聽得懂
[18:44] 可是用這個海運剛剛去形容的話
[18:46] 他就可以完全的瞭解
[18:47] 所以其實就是說
[18:48] 像以這個案例的話
[18:50] 我會怎麼做呢
[18:51] 就是我知道說
[18:52] 他如果有一個最大的利多
[18:54] 會是在烏二戰爭的一個停戰
[18:56] 所以我會先把這些東西
[18:58] 可能都放進去追蹤裡面
[18:59] 然後再就是按照上面的一個挑選
[19:01] 就是說航運的指數有這麼多種
[19:04] 你要挑哪一個
[19:04] 我們要選擇是選擇散裝輪的一個報價
[19:07] 那散裝輪裡面又有分什麼BDI BCI
[19:11] 那你要哪一個
[19:11] 選擇用BCI
[19:12] 那BCI的話你就要去盯說
[19:14] 那誰這個海家型的船是最多的
[19:16] 然後誰的現貨船是最多的
[19:18] 他就直接受到這個報價的影響
[19:19] 那當把這個東西都已經篩選出來之後呢
[19:22] 我們就把它放在追蹤清單裡面
[19:24] 那當然你有幾個做法
[19:25] 一個就是像現在這些市場的猥瑣資金一樣
[19:28] 就先進去蹲
[19:29] 或者說你就先去搶快
[19:30] 那可是這個搶快
[19:31] 這個都是賭的成分是比較大一點
[19:33] 那另外一種是怎麼樣
[19:34] 就是說當事件正式發生的時候
[19:36] 你不怕搞直接他媽衝進去
[19:37] 因為事件發生的時候
[19:38] 他不會一直半刻就停下來
[19:40] 類似說那時候記憶體
[19:41] 可能在確定已經有缺貨的狀態的時候
[19:44] 每天在狂漲的時候
[19:46] 其實追進去都還是有很高的一個勝率
[19:48] 所以我自己會選擇這樣子做
[19:50] 那也稍微把這個思路跟大家分享一下
[19:52] 就是在觀察市場的一些那種股價的變化
[19:57] 然後找到一些機會
[19:58] 那因為找到這些機會
[20:00] 後續會怎麼樣處理的一個流程
[20:02] 都跟大家分享一下
[20:03] 那像這個就只能夠算是
[20:05] 我們可能一整天在做的事情的其中一部分
[20:08] 像我今天也拉了蠻多的裝置股出來
[20:10] 那這些裝置股呢
[20:12] 其實本來一開始這個風向是有一點亂
[20:14] 因為像我們之前跟大家講這個EMIB
[20:16] 然後後來隨著這個Google的供應連結串列現好之後
[20:20] 你就注意到大家都開始來看EMIB
[20:22] 那其實這時候就會加速去做開土
[20:24] 那蠻多在網路上跟大家分享
[20:27] 或者說你在節目上會看到
[20:28] 所謂的什麼EMIB裝置股
