[00:00] 欢迎收听谷外,我是孙梦宫,本期节目由米红米红生医赞助
[02:24] 有点像说回到本来的一个状态
[02:26] 可是那样的一个落差
[02:27] 就会让你觉得很爽
[02:28] 那我现在抽烟是抽一个
[02:30] 不知道 寂寞
[02:31] 抽一个这个
[02:32] 自以为自己是诗人
[02:34] 很有感觉
[02:34] 或者说觉得自己帅或什么
[02:35] 那我那时候的感受是
[02:37] 我真的非常喜欢抽烟
[02:38] 我也不知道为什么非常喜欢抽烟
[02:39] 但我只要抽烟
[02:40] 我心情就很好
[02:41] 那后来就是看了这个影片之后
[02:43] 我就可以明白到
[02:44] 为什么我自己会喜欢抽烟
[02:46] 他就讲说
[02:46] 其实你要想
[02:47] 抽烟这件事情
[02:48] 你把抽烟本身给拉掉
[02:51] 它是一件很好的事情
[02:53] 这什么意思呢
[02:54] 你什么时候会抽烟
[02:55] 早上醒来的时候
[02:56] 走到阳台跑去抽烟
[02:58] 还有什么时候
[02:59] 可能去参加一个派对
[03:00] 在里面跟大家待在那种
[03:02] 二氧化碳浓度超高的地方
[03:04] 整个都已经不太舒服了
[03:06] 跑去外面呼吸一下
[03:07] 那时候我们都讲
[03:07] 出去呼吸一下
[03:08] 所以你就是从很多人的地方
[03:10] 到一个没有人的地方
[03:11] 或者说你吃热炒的时候
[03:13] 吃到很饱
[03:14] 突然觉得说
[03:15] 可能需要帮助消化一下
[03:16] 就走到外面去抽烟
[03:18] 或是你今天可能在一个非常繁忙的会议
[03:21] 接着觉得需要让自己放松一下
[03:23] 就走出去抽烟
[03:23] 你仔细想想这些时刻
[03:25] 如果说你可以走到室外去抽烟的话
[03:29] 有抽烟的朋友应该会觉得说
[03:30] 这就是最爽的时间点
[03:32] 或者说什么完事之后
[03:33] 然后或是什么
[03:35] 然后上厕所之前之类的
[03:37] 但仔细想想
[03:37] 这些时候其实它本身就是很适合去深呼吸的时候
[03:42] 所以或许你喜欢的部分是烟跟你鼓叮
[03:45] 部分是深呼吸这件事情
[03:48] 如果说你可以在繁忙的会议之后
[03:50] 走到户外去深呼吸一下
[03:52] 如果你可以在吃完热潮
[03:54] 超饱的时候
[03:55] 走到户外去深呼吸一下
[03:57] 如果可以在一个非常繁忙的派对里面
[03:59] 你已经觉得说自己快要wear out
[04:01] 你已经快受不了了
[04:03] 太多了
[04:03] 那个刺激太强了
[04:05] 走到外面去
[04:06] 只有你一个人
[04:07] 然后在那边呼吸一下
[04:08] 或者说跟你的好朋友走到室外
[04:10] 吸一口气
[04:11] 你就会发现
[04:12] 其实你喜欢的
[04:14] 不一定全然是尼古丁跟烟
[04:16] 而是就是那个呼吸的感觉
[04:18] 所以去抽烟这个行为
[04:20] 把抽烟拉掉
[04:21] 就是去深呼吸
[04:23] 一个人去深呼吸
[04:24] 在压力之后去深呼吸
[04:25] 或是在早上起来之后
[04:27] 走到阳台去深呼吸
[04:28] 我突然想通这件事情之后
[04:29] 我就自己在过去的几天试看看
[04:32] 就是过往
[04:32] 虽然我已经有点忘记了
[04:33] 因为那已经是好几年前了
[04:35] 自己会想要抽烟的时刻
[04:36] 就走到外面去深呼吸一下
[04:38] 突然发现说
[04:39] 真的会觉得脑袋变得很清楚
[04:41] 觉得自己的状态变得很好
[04:43] 所以或许大家可以往这个方向去切入看看
[04:46] 那时候看到真的觉得太有趣了
[04:47] 如果有人早一点跟我讲的话
[04:49] 我那时候就不用什么疯狂吃零食
[04:51] 每天咬口香糖
[04:52] 尼古青贴片
[04:53] 那样什么口服的
[04:55] 用吸的那种
[04:56] 那叫什么
[04:57] 反正就是吸起来会辣辣的
[04:58] 然后让你
[04:59] 就可能脑袋会有一点那种boost的感觉
[05:01] 所以你就不会想要一直去抽烟
[05:02] 那时候是用了各种方法
[05:04] 但我现在就意外的发现
[05:06] 其实你只要把烟放下
[05:07] 那你可能走到外面
[05:08] 你还是可以拿着你的林卡可乐
[05:09] 然后就搭配呼吸的话
[05:11] 其实是还蛮不错的
[05:13] 所以这个事情之所以这么让人家沉溺
[05:15] 很有可能就是因为
[05:16] 它本身结合了我们人类最原始的一个需求
[05:18] 就是你需要在可能很繁忙
[05:20] 压力很大的时候
[05:21] 人太多刺激过强的时候
[05:23] 你就是需要一个人
[05:23] 或者说跟自己的三五好朋友
[05:26] 然后就是走到外面
[05:26] 大家都不说话
[05:27] 然后稍微的深呼吸一下
[05:29] 那一两分钟的深呼吸
[05:30] 真的会改变很多事情
[05:31] 所以这个一定要跟大家分享一下
[05:33] 因为我是觉得说
[05:34] 怎么会没有人在当时跟我说这个东西
[05:36] 我说我怎么没有看到这样的一个说法
[05:38] 那非常有意思
[05:39] 总之分享就是希望大家可以
[05:41] 有效的去戒烟
[05:42] 其实烟跟酒
[05:43] 都是比较不好的东西
[05:44] 这样能够少一点就少一点
[05:46] 那酒的话
[05:47] 我觉得难免
[05:48] 就是有时候可能自己身边
[05:50] 特别是年纪比较大的
[05:51] 一些长辈的朋友
[05:52] 大家出来的时候
[05:53] 就可能还是会喝一些
[05:54] 当然我自己本身
[05:55] 是没有饮酒的习惯
[05:57] 就不会说
[05:57] 像自己家里的一些长辈
[05:59] 是每天中午就一定要喝一点
[06:00] 说没有喝觉得身体很奇怪
[06:02] 我想说干啥小
[06:03] 这是你也很奇怪
[06:04] 那可能就是酒在一些聚会
[06:06] 但是我自己有稍微的注意到
[06:07] 那可能是因为我的朋友
[06:09] 都是年纪比我大蛮多的
[06:11] 我比较少同辈
[06:12] 或者说比我年轻的朋友
[06:14] 可是有时候可能跟自己的同辈
[06:16] 或者比较年轻的朋友出来
[06:18] 就会注意到说
[06:18] 其实大家喝的酒是越来越少
[06:20] 甚至像新一代的年轻人
[06:21] 就是2000年以后的那些人
[06:23] 他们蛮多是完全不喝酒的
[06:25] 甚至他们有一些party是什么
[06:27] 办在面包店里面
[06:28] 大家喝汽水或者说喝茶之类的
[06:31] 然后没有再喝酒精
[06:32] 他们不需要靠酒精
[06:33] 他们就可以很酷
[06:34] 不像我们可能老一辈的
[06:35] 大家就会觉得说
[06:37] 有时候你就是喝酒之后
[06:38] 你才放松
[06:39] 才可以去谈事情
[06:40] 或是再可以去
[06:41] 表述你的真感情
[06:42] 那代表说你平常很金
[06:44] 很假
[06:44] 可是现在新一代年轻人
[06:46] 他没有在跟你五四三的
[06:47] 你进去一个工作
[06:48] 像以前怎么样
[06:49] 你当学徒
[06:50] 你先学三年
[06:51] 你先学什么
[06:52] 惨犯
[06:53] 惨犯惨了一年之后
[06:54] 再教你什么烤海苔之类的
[06:56] 你一进去
[06:57] 你不教他的话
[06:57] 他就不学了
[06:58] 除非你真的是极屌店
[06:59] 不然他就不要了
[07:00] 他就去别家店就好
[07:01] 所以我觉得新一代年轻人
[07:02] 其实才是真正的活出自我
[07:04] 所以他们不会去受到
[07:05] 各种的限制
[07:06] 他不会去受到
[07:06] 什么工作的话术
[07:08] 或者说什么社交的习惯跟礼仪
[07:10] 怎么大家就是要请客烟
[07:12] 你现在有人会带什么请客烟
[07:14] 然后再来就是说什么
[07:15] 有些环境一定要喝酒
[07:17] 一定要准备什么
[07:18] 现在新一代人
[07:19] 真的没有在跟你搞这种东西
[07:20] 所以某种程度上
[07:21] 我也算是去跟年轻人接轨
[07:23] 虽然严格上来说
[07:23] 我应该不算老人吧
[07:24] 三十几岁
[07:25] 但就是慢慢的去向他们看起来
[07:28] 很多时候我看新一辈年轻人
[07:29] 我觉得说
[07:29] 这还是真正生活的一个态度
[07:31] 特别是在下的
[07:33] 所谓的AI时代之下
[07:34] 你发现说像是生产力
[07:37] 它本身是越来越廉价的一个东西
[07:40] 以前的马农
[07:41] 可能是很贵的一个职业
[07:42] 现在可能就是
[07:43] 不一定要用到这么贵的马农
[07:45] 然后搭配一些Token fee的话
[07:47] 你可以产出很棒的一个效果
[07:48] 所以甚至大家在讨论说
[07:50] 未来有一天会不会有
[07:51] Universal Basic Income的导入
[07:54] 因为我们不再需要
[07:55] 这么多的一些生产力
[07:57] 所以这些人他们其实就是
[07:58] 提早的去做好这样子的准备
[08:00] 他们不会去对于工作上面
[08:01] 有一些执念
[08:02] 像以前我们
[08:03] 如果老板跟我讲说
[08:04] 我分你股份
[08:05] 或者说我让你当店长
[08:06] 我可能就是拿命去拼
[08:08] 现在你要分他股份
[08:10] 他还是会先问你讲说
[08:11] 那我可以准时下班吗
[08:12] 不行那我不要
[08:13] 但其实这可能才是一个正确的生活态度
[08:15] 所以其实我们好像年轻人看起
[08:17] 就是不要有太多的这种成瘾的项目
[08:20] 或是一些对身体不好的东西
[08:22] 要稍微的注意一下
[08:23] 这个其实也是说给我自己听
[08:25] 因为偶尔还是会不小心的放纵一下
[08:27] 可是我现在已经是非常有意识的在节制
[08:29] 那也希望大家可以在这些成瘾物的东西上面
[08:33] 去做好一定程度的控制
[08:35] 但人生可能还在有一些成瘾的东西
[08:37] 像我电完成瘾
[08:38] 我就说如果没有电完成瘾的话
[08:40] 很多时候我也不知道
[08:40] 我在生命之中还可以干嘛
[08:41] 所以有些你喜欢的东西
[08:43] 你喜欢去吃一些美食
[08:44] 打电动
[08:45] 或者说有时候你还是喜欢去抽个烟
[08:47] 喝个酒
[08:47] 可能都还可以
[08:48] 只是说要去节制
[08:49] 就不要让它变成是你的boss
[08:50] 你的台服
[08:51] 叫你做什么就要做什么
[08:52] 那这就比较不酷
[08:54] 稍微跟大家分享一下自己的心得
[08:56] 好那接下来我们来进入市场的话题
[08:58] 那大家最近刚才是有看到一些
[09:00] 关于中东的各种有的没有的东西
[09:02] 那你就注意到说
[09:03] 就像我们上集跟大家讲的
[09:04] 一般來說你看到這些大K出來之後
[09:06] 後面的一些消息就會比較頓化一點
[09:09] 那當然現在很明顯是又再一次拉到一些壓力的位置
[09:12] 台股這邊是已經拉到行高非常掉
[09:14] 甚至世界掉
[09:15] 所以已經是就是多頭沒有什麼任何的疑問
[09:18] 那美股呢來到一些壓力的位置
[09:19] 雖然我們會直接把站到季線上面
[09:22] 就視為說現在又再次回到多頭行情
[09:24] 但是後面可能就是有一些消息再出來的話
[09:27] 有機會就會再往下打
[09:28] 那如果說下面都撐得住的話
[09:30] 那應該就沒有問題
[09:31] 有可能這一波的修正就會把它當成是結束了
[09:34] 同時在過去一個禮拜我自己算是過得非常開心
[09:37] 就是可能終於在美股今年第二季的支出
[09:41] 終於有賺到錢的味道
[09:43] 在第一季的時候
[09:44] 就是只有少數的時間待在水上
[09:47] 大多數的時間都在水下
[09:48] 最主要的問題就是
[09:49] 當然用事後論去看都非常簡單
[09:51] 早知道就全部買光通就好
[09:53] 可是因為你手上不是全部都光通嗎
[09:55] 你有晶片
[09:56] 你有軟體
[09:57] 你有一些有的沒有的東西
[09:58] 所以你有巨頭
[09:59] 他們可能在過去的表現就是沒有這麼好
[10:02] 所以在第一季的時候
[10:03] 即便手上有光通的部位
[10:04] 喷得非常凶
[10:05] 可是因为你有太多的透油瓶
[10:07] 所以导致整体的表现并不是这么好
[10:09] 但是在过去的一阵子
[10:11] 已经顺利的回正
[10:12] 而且是快速的往上爬
[10:13] 那爬的速度是我自己都有下到
[10:15] 有时候就是说
[10:16] 选择比努力重要
[10:17] 你在那些很垃圾的表底
[10:19] 努力了半天
[10:20] 然后发现
[10:21] 就算你可能抓了很好的买卖点
[10:23] 可是你还是无法避免的
[10:25] 就是看着你的进值不停的往下掉
[10:27] 因为我们不会去做all in all out
[10:29] 你只能够做一些调节
[10:30] 所以简单讲就是说
[10:31] 巧妇难为五米之炊
[10:33] 这个东西就在往下掉
[10:34] 你再怎么会调也都没有用
[10:36] 但现在在资金的一个规划之下
[10:38] 把钱丢到像是CPU
[10:40] 或者说Marvel
[10:41] 或者像最近的高速传输
[10:42] 其实也重新的复活
[10:43] 光通又在这创新高
[10:45] 所以已经是非常有效的
[10:47] 在资金的调动之下
[10:48] 持续的去攻新高
[10:49] 希望今年可以
[10:50] 在美股也做出非常好的一个表现
[10:53] 过去的数集
[10:55] 我们都一直跟大家聊到
[10:56] CPU相关的一个议题
[10:57] 一般在我们自己的做法就是
[10:59] 我们会有一个想法
[11:00] 这个想法我们会去用真金白银到市场里面去做验证
[11:04] 就不是拿嘴炮
[11:05] 反正每次有什么想法
[11:06] 就是一定会拿钱去做实验
[11:07] 如果说对的话就会持续的去做加码
[11:10] 所以如果真的有咬到东西的话
[11:11] 其实都会在可能往上爬的阶段会爬得非常的快
[11:15] 也希望说后面CPU可以持续的有更多发挥的空间
[11:20] 最近NVIDIA他也去入股了一家叫Sci-Fi
[11:25] 他是一个在做Risk-Fi的一家公司
[11:27] 那这个我算是有听到身边
[11:29] 产业圈的朋友跟我聊到
[11:31] 他说其实现在大家把目光放在CPU这边
[11:34] 因为知道在Agentic AI时代
[11:35] 很多的工作除了我们知道GPU算力之外
[11:38] 你是必须要靠CPU就像是教练一样去做调度的
[11:42] 那大量的用到CPU
[11:43] 那当然RiskFi这样的一个架构
[11:45] 也是有可能去做出那种特化版的CPU
[11:48] 所以它有可能会重新的被市场给关注
[11:51] 然后再来就是在Custom Made的ASIC
[11:53] 其实最近也开始获得很多的关注
[11:54] 像是在Amazon这边他们就有提到说
[11:56] 是有客户想要跟他们全包下Graviton的一个CPU的算力
[12:01] 但是他们直接跟他说
[12:02] 不好意思我们自己都不够用
[12:04] 那你要知道AWS是一个在CSP里面的PowerPlay
[12:07] 他们有非常大的一个容量
[12:09] 所以Andy Jassy讲了这句话
[12:11] 他其实隐含的是
[12:12] 我相信在未来的一小段时间
[12:14] 当然我们还不确定这个趋势会不会形成
[12:16] 但大家应该可以稍微的注意一下AWS的Supply Chain
[12:19] 特别是可能跟Graviton有关的
[12:21] 因为之前可能大家会看的都是比较偏向是GPU
[12:24] 或是可能是加速运算的ASIC
[12:27] 但他现在就是在提到说
[12:28] CPU这边也是非常的缺乏
[12:32] 有两家客户去问说
[12:34] 可不可以直接给你全包
[12:35] 他直接跟他说我们自己要用
[12:37] 那这什么意思呢
[12:38] 这个意思就是说
[12:39] 要嘛亚马逊会在后面去加大CPU的各种投片跟生产去供这些客户这个是我觉得就必然会发生的事情第二就是这些客户因为他们要CPU
[12:50] 可是他们没有CPU
[12:52] 所以他就必须要去找别人去拿CPU
[12:54] 或甚至是说去找一些
[12:56] 可能是比较偏向像GPGPU这样的厂商
[13:00] 他们是做通用品的
[13:02] Intel AMD之类的
[13:03] 他们就是有机会在后面都会
[13:06] 产出不错的一个成绩
[13:08] 就是说在这个自股东西里面
[13:10] 已经像是泄体了
[13:12] 就是告诉你说CPU非常好
[13:13] 所以在我自己的角度会认为说
[13:16] 都持续的看下去
[13:17] 就手上的CPU的股票
[13:18] 就是持续的拿好
[13:19] 甚至会开始去思考说
[13:21] 有没有可能走出
[13:22] 除了这个2B的很好之外
[13:24] 然后会影响到2C
[13:26] 类似可能我们在之前的一些电话会议里面
[13:29] 已经有看到
[13:29] 像Intel就是有提到说
[13:31] 他们是为了要去做这些2B的东西
[13:34] 然后会去排挤到2C的东西
[13:36] 甚至是刻意为之
[13:37] 反而土系也可能会因为这样子产出一些机会
[13:40] 就是在大家都一面倒不看好
[13:42] 认为说以今年来看
[13:44] 就是手机或是PC都会很差的时候
[13:46] 有没有可能在这边也会另外产出机会
[13:49] 但我觉得最保守的做法
[13:50] 当然还是先锁定Server端的CPU
[13:53] 或者说Custom made的CPU
[13:55] 如果说有一些额外机会产生的话
[13:57] 当然可以去往消费端的角度也看过去
[14:00] 所以这是在未来都必须要非常认真去注意的一个项目
[14:04] 终于有咬到东西的感觉
[14:05] 非常的爽快
[14:06] 就除了可能过去的三个月
[14:08] 能够讲的就只有广通
[14:09] 因为广通是美股里面
[14:10] 少数表现很好
[14:11] 可是他CPU也走出来
[14:12] 所以美股已经开始注意到说
[14:14] 有一点不一样
[14:14] 就是已经有一些新的族群走出来了
[14:17] 这个其实非常重要的
[14:18] 就是一个多头行情
[14:19] 就是要很多头
[14:20] 多头就是很多头
[14:21] 就是一堆东西
[14:22] 都是轮流在那边向前冲
[14:24] 所以像台股就是非常经典的一个示范
[14:26] 就是有各种类股在那边轮动
[14:28] 这就是一个很健康的多头
[14:30] 所以美股现在除了广通之外
[14:32] 开始有一些新的族群跑出来
[14:33] 那是非常好
[14:34] 所以我们就持续观察
[14:35] 美股有没有可能就是
[14:37] 借由族群的轮动之下
[14:38] 然后也跑去攻心高
[14:39] 这是非常重要的事情
[14:41] 那再来我们稍微的聊一下
[14:43] 因为最近在Cloud这边
[14:45] 就是Anthropic他们推出了Mythos
[14:47] 那这个Mythos
[14:48] 它并没有去对外开放
[14:49] 它只先开放给一些策略伙伴
[14:51] 然后他们的用词就是说
[14:52] 因为这东西太强大了
[14:53] 所以我们不能够公布
[14:54] 那老实讲
[14:55] 这个我有点想要吐槽
[14:56] 但我们知道说
[14:57] 以目前的模型来讲
[14:58] 我觉得Anthropic就是
[14:59] 无庸置疑是最猛的
[15:01] 特别是在2B的应用
[15:02] 它是dominant的一个地位
[15:03] 但其实AI的模型provider
[15:05] 他们很多时候都会不停的去
[15:08] 我觉得是这样子
[15:09] 因为他们有很庞大的压力
[15:10] 就像是他们的老板自己也曾经提到
[15:12] 如果成长性慢下来
[15:13] 我说自己会破产的
[15:14] 因为我花太多钱去投入在算力里面
[15:16] 所以他们必须要维持一个非常漂亮的成长率
[15:19] 为了这个成长率
[15:20] 其实我觉得有时候他们会讲出很耸动的话
[15:22] 像之前就是Sam Altman
[15:23] 他一开始出来讲的时候
[15:24] 我们会去认真听他讲话
[15:26] 可是后来大家应该有注意到
[15:27] 我的节目就有点转向
[15:28] 就是说我不太喜欢这个人
[15:29] 我觉得他讲话有点过度的尬吹了
[15:33] 那现在我慢慢的觉得说
[15:34] 这个MOG也是有一样的味道出来
[15:37] 就是他整天就是
[15:38] 我们的东西太危险了
[15:39] 我们的东西可能会影响到什么
[15:41] 美国政府可能要跟我签什么
[15:43] 才可以使用我们的东西
[15:43] 但我知道你的东西真的好用
[15:45] 真的强
[15:45] 因为我们自己也是第一线
[15:46] 我在使用AI产品的人
[15:47] 但有时候那个嘎吹的成分就高到
[15:50] 像我们对外公布的一个信息
[15:51] 说我们怀疑我们的AI
[15:52] 他自己有一些想法
[15:53] 因为他可能会自己去生成一些
[15:56] 像什么故事性内容的东西
[15:57] 不是啊
[15:57] 他就叫做LLM
[15:59] 他本来的工作就是生成这些东西
[16:01] 可是我觉得他们有点那种
[16:02] Dilutional
[16:03] 然后他们说
[16:03] 这个就代表说
[16:04] 他要产生一些智慧
[16:05] 或什么的
[16:05] 那听到这边
[16:06] 一些新的听众
[16:07] 可能就觉得说
[16:08] 这个家伙是AI黑吗
[16:09] 不是
[16:09] 其实我们是AI狂粉
[16:10] 但很多时候
[16:11] 我们会想要去踩一些煞车
[16:12] 就我觉得真的推过头
[16:13] 然后特别是像每次
[16:15] Amphibious出来推东西的时候
[16:16] 就会导致市场里面的
[16:18] 腥风血雨
[16:18] 那市场里面的
[16:19] 泛软体股
[16:20] 其实在过去
[16:21] 其实有一些那种
[16:22] 比较强势的重新跑回去
[16:23] 像什么Cloudflare
[16:24] 或是Payanteer
[16:25] 或像是Cloudstrike
[16:26] 他们都曾经是爬到
[16:27] 就零轴附近了
[16:28] 就等于说是今年没有跌
[16:30] 可是像这一波
[16:31] 他们释出新产品
[16:32] 然后再一次的把这些东西
[16:33] 就再倒下去彻底一次
[16:35] 那我就觉得说蛮靠北的
[16:36] 因为我自己也是
[16:37] 长期持有这些标的
[16:38] 所以就会觉得
[16:39] 市场的这些FUD的情绪
[16:42] 是已经让
[16:43] 我自己觉得有点烦躁
[16:45] 就是如果说什么
[16:45] 好像他讲说什么
[16:46] 他的AI东西有多屌
[16:48] 多会侦测或什么的
[16:49] 那他们之间怎么会发生
[16:50] 说自己的代码外泄
[16:51] 你AI真的这么厉害
[16:52] 那他应该会把所有洞都封起来
[16:54] 或者说在Ready上面也有看到
[16:55] 反正就是有些人
[16:57] 他们去看了
[16:58] Amphibious他们宣称的一个做法之后
[17:00] 然后他们用更便宜的模型
[17:01] 其实一样可以找出
[17:02] 那些所谓的漏洞之类的
[17:04] 所以严格上来说
[17:05] 当然AI工具在各个工作环节上
[17:07] 不可否认的
[17:08] 它都一定有帮助到我们
[17:10] 可是Amphibious这家公司
[17:11] 有把这件事情放到很大
[17:13] 然后变成了
[17:14] 很像是说在狗吹的一个状态
[17:17] 然后他们狗吹的方式
[17:18] 都是到我觉得有东西
[17:19] 可能真的太危险
[17:20] 会影响到大家
[17:21] 可是我认为说
[17:22] 任何的民演人都知道
[17:23] 之所以他现在没有办法
[17:24] 把那个Mythos放出来的原因
[17:26] 是因为他的算力不够
[17:27] 简单讲就是他的算力不够
[17:28] 这个东西放出来的话
[17:29] 大家一定会把他骂爆
[17:31] 为什么
[17:32] 因为其实现在大家已经知道说
[17:33] 像你去使用Enthropy的东西
[17:34] 他在某些时段
[17:36] 特别是美国人起床的时段
[17:38] 你会注意到你的AI变笨了
[17:39] 为什么
[17:39] 因为太多人去做使用
[17:40] 他们的算力是不够
[17:41] 这也是过去我们提到说
[17:43] 像Google
[17:43] 或者说像其他的AI竞争者
[17:45] 他们时不时会出现的一个问题
[17:47] 就是当太多人去使用他
[17:48] 他一开始很强
[17:49] 可是当太多人去使用他
[17:50] 他就会变笨
[17:51] 所以如果今天他推出Mythos
[17:53] 他用到更多的算力
[17:54] 那一定会让大家感觉到
[17:55] 其实这个东西并没有像他讲的这么聪明
[17:58] 他只有在可能
[17:59] 少部分的人去做使用的时候
[18:00] 可以是比较强的一个状态
[18:02] 所以这东西其实也不是只有Mythos
[18:04] 包含说他前面的一些产品也是一样
[18:06] 就如果说今天用的人没有这么多
[18:07] 其实他会变得是比较聪明一点
[18:09] 至于什么时候可以解决这样的一个问题
[18:11] 就是说很多的AI产品
[18:12] 包含像是Flappy
[18:13] 或者像是Google
[18:14] 他们会说一开始都超强
[18:15] 可是为什么后面大家都会开始去靠背
[18:17] 说他变笨
[18:18] 那就是说
[18:19] 因为在算力是供不应求的一个状态
[18:21] 所以算力的供应的失衡
[18:23] 必须要快速的去解决
[18:25] 才有办法去解决这件事情
[18:26] 可是目前是没有办法快速的
[18:28] 然后特别是当大家发现说
[18:30] GPU或者说Accelerator的ASIC
[18:32] 目前已经是OK的
[18:33] 相对的稳健的
[18:34] 可是又再一次的跑出来
[18:37] CPU这个是很难以去估计
[18:39] 说到底需求有多少的一个东西
[18:41] 所以严格上来说
[18:42] 就是这些军火业者
[18:44] 好像是可能TSM
[18:45] 或者说后端的封装
[18:47] 什么M-Core, SPL
[18:48] 或是相关的先进制程
[18:50] 要用到的各种东西
[18:51] 应该都还可以再好隔一阵子
[18:54] 因为以目前来看
[18:55] 大家本来讲说GPU或是ASIC
[18:57] 可是现在你们还要再多看一个CPU
[19:00] 等到CPU可能都完美的去做了解决之后
[19:03] 说不定又有新的AI模型
[19:05] 要用到更多的元件
[19:06] 所以目前看起来
[19:08] 这个需求还是有点像是说
[19:09] 无底洞的一个状态
[19:11] 我认为其实像Methos
[19:12] 没有办法对外推出
[19:13] 并不是向他们走低
[19:15] 但他提到那可能也是一环
[19:16] 就是这个拿出来
[19:17] 可能被人家拿去攻击或不知道
[19:19] 可是像这样子的一个
[19:21] 就是去尬吹自己东西有多厉害
[19:23] 这不是只有他会这样做
[19:24] 每家都会这样做
[19:25] 你其实去看2019年的时候
[19:26] OpenAI就有出来讲说
[19:27] 他的东西有多厉害
[19:28] 会有多恐怖之类的
[19:29] 可是已经下2026年的
[19:31] 我们的世界还是没有毁灭
[19:32] 所以像过去大家讲说
[19:33] 什么天王要出来
[19:34] Terminator
[19:35] 什么AI要让世界毁灭
[19:36] 然后最后发现说
[19:37] AI其实真的不会让世界毁灭
[19:38] 会让世界毁灭的都是人类
[19:40] 人类去做白痴的事情
[19:41] 不用AI也是可以让世界毁灭
[19:43] 所以接下来我们可能
[19:45] 关注的一个重点就是
[19:47] 等到他这个东西推出来
[19:48] 那可能就代表说
[19:49] 他已经secure到
[19:50] 够多的一个算力
[19:51] 他就把它放出来
[19:52] 并不是他讲的
[19:53] 可能这个东西真的有
[19:54] 多恐怖
[19:55] 多吓人这样
[19:56] 因为其实过去的
[19:57] 每个AI厂商
[19:58] 都想要这样子去跟大家讲
[19:59] 他有一点那种
[20:00] 行销的术语在里面的
[20:01] 那可能就等到
[20:02] 算力去做解决之后
[20:04] 他可以把这个东西断出来
[20:05] 不然断出来
