[00:00] 歡迎收聽股癌,我是謝孟恭。本集節目由我們的鑽戒老朋友Alox亞歷斯贊助。
[08:02] 因為我自己大概有概念
[08:03] 知道說像松山機場在台北市裡面
[08:05] 如果我要到台北市就松山機場已經是比較方便
[08:08] 所以一樣的道理就是如果你要去東京的話
[08:10] 雨田就是比較裡面
[08:11] 所以以前都是去雨田
[08:13] 然後這一次我不知道是我自己沒有注意還是說是那時候票賣光就是我比較慢才訂我忘了啊但反正就是在成田機場然後發現說哇從成田機場到東京市區真的有夠久耶他坐計程車大概要一個小時又20分鐘而且已經感覺沒有什麼在塞車只有在路上的一些那種過路站要稍微排隊一下可是就真的是蠻久的所以下次我還是推薦大家就去雨田啊雨天也不一定比較貴就是當然你如果用什麼絕對值去比較同個時間去比它是稍微貴一點點但我覺得多花那個幾千塊應該是幾千塊
[08:43] 這絕對划算的,因為通勤是非常非常痛苦的。
[08:45] 所以希望大家在接下來的中秋節都可以樂園人團圓,跟最好的家人、最好的朋友一起度過一個美好的時光。
[08:54] 好,大概這樣子。
[08:55] 好,接下來我們來進入上個話題。
[08:56] 在放假的這段時間,復台騎士者夜盤看起來是又在往上收了。
[09:01] 所以希望在接下來,我後來才知道原來禮拜一也放假,所以還是會多一點變數。
[09:08] 如果說禮拜一的狀況又蠻不錯的話,大家就可以期待這個禮拜二。
[09:11] 因為那時候在放假前一定是超多人會先選擇把部位給降低
[09:15] 或是一些金主們會把一些在外面我們俗稱為丙種
[09:19] 或是一些地方借貸就會把它收回去
[09:21] 所以一般在廉價錢你會注意到有一些賣壓出現
[09:25] 大家想要把錢收回來去避免一些不確定性
[09:28] 這些錢蠻多就是在放完假之後就會回來
[09:31] 所以在我們節目長年的歷史上
[09:33] 其實我們都一起觀察到這樣的一個現象
[09:36] 希望在中秋節後的開盤
[09:39] 可以帶給大家一個蠻不錯的表現
[09:41] 最近在市場裡面我覺得看起來最核心跟最有趣的東西是在Meta Connect 2026
[09:49] 這個東西其實以前我應該是會很難想像說
[09:53] 我會覺得Meta的一些發表會有一些蠻屌的東西
[09:55] 雖然它有一些產品我真的蠻喜歡的
[09:57] 就像說像Quest
[09:58] Meta的Quest真的是我蠻喜歡的東西
[10:00] 眼鏡我也玩過
[10:02] 我覺得還好
[10:03] 但是它這一次推出了一個非常酷的東西叫做Muse Charm
[10:08] 這個是我看下來最愛的東西
[10:10] 我覺得這個東西有一點像是以前我們小時候玩電子機
[10:14] 現在講這個可能一些比較年輕的聽眾他就不知道說電子機什麼東西
[10:18] 其實還是有啦
[10:19] 像現在在寶可夢的那個Center裡面你還是可以買到
[10:22] 就是那種寶可夢球形狀的
[10:24] 上面有一個小螢幕跟幾個按鍵
[10:26] 然後在裡面可以去養寶可夢
[10:27] 可以去玩一些遊戲來對戰什麼的
[10:29] 我買了兩顆給我孩子玩
[10:31] 那只是我覺得那跟我們小時候玩的一些電子機或是怪獸對打機
[10:35] 還是有蠻大的一個差距
[10:37] 就是不知道怎麼小時候玩那些東西就特別好玩
[10:39] 然後特別是像小時候那個怪獸對打機
[10:42] 他們是可以在上面會有兩個這個金屬的接口
[10:45] 可以跟別人對接就可以對打
[10:47] 那對接對打是蠻好玩的一件事情
[10:50] 那我們覺得最好玩的東西其實永遠都是在制度外的東西
[10:53] 就是其實它可以在對接的過程之中
[10:55] 然後你可以去複製一些就是那種怪獸
[10:59] 怎麼說呢就是故意透過你一下接觸一下不接觸
[11:03] 接觸不良讓它可能複製訊號錯誤之類的
[11:06] 所以有時候可以搞出一些可能是很難搞到的東西或是把那種超強超稀有的東西去做複製
[11:12] 就是以前說類似去玩機台然後不小心發現機台的一些BUG
[11:16] 前陣子跟一個朋友他說他小時候超級會打那種格鬥天王之類的
[11:20] 然後就是快打旋風那種
[11:21] 然後他就說他知道在某一關的時候假設把什麼電源拔掉就可以直接跳關之類的
[11:26] 或像小時候玩瑪利歐也會知道說哪些地方可以跳關
[11:28] 就小時候你發現這一些彩蛋是超級快樂的
[11:32] 那你會變成是班上的神
[11:33] 為什麼?因為以前小時候這些東西呢你沒有辦法像你上YT或是你下去什麼攻略網站然後很容易找到以前很難啦以前要找秘技我們去一個什麼地教還是什麼?應該就叫地教反正就是一個網站他專門給你找秘技了那以前要去學一些東西呢其實都要透過這種傳聞的方式就是A知道了教B,B再教C那可能本來在某一班的人他們知道後來再教別人所以那是一個很美好的過去啦所以這個東西就讓我想到電子機但我後來也明白一件事
[12:03] 這件事情可能蠻多人會有一些那種懷舊的心情,他就會覺得以前的遊戲都比較好玩,以前的時代都比較漂亮,或是我最近有看到一個蠻有趣的,他說你有沒有覺得你小時候的世界是比較有色度的,就是他放一個filter,然後讓每個顏色看起來比較飽和一點,那後來下面有一個人是留言就回說,因為你小時候可能對這些色彩的感知真的比較好一點,反正你就會覺得說好像以前的東西都很好,結果後來就開始有一些破除了,類似那時候去把暗黑破壞神2找回來玩,真的不行,你就讓它留在回憶裡就好,你現在找回來玩真的不行,所以你會覺得以前的東西很好,可能是因為你已經沒有辦法再回到過去,然後你沒有其他誘惑之下去體驗那個感受,如果你現在硬要把它找回來,說不定我現在把怪獸對話機找回來,我就覺得說這個東西真的不行,可是以前真的帶給我們很多很好的時刻了。
[12:52] MuseCharm 有機會變成一個蠻有趣的發展,我一看我就覺得會去買它啦,簡單來講它沒有價格、規格表、預購,長得像是一個電子機。
[13:06] 在Meta的官方文字,他們就只有一句話在外加一個E-mail的登記欄。
[13:11] 其他關於這些租源的報告,其實是 Bloomberg 跟 The Verge,還有一個我記得是在 Bloomberg 裡面的那種類似供應鏈達人,
[13:19] 他去挖然後說什麼兩吋的OLED、5G、前後鏡頭,那個是人家挖出來的,可是實際上它就只是一個快閃,就類似我們在蘋果發表會看到的One More Thing,拿出一個超級酷的東西,然後告訴你說我可以把MUSE裝在裡面,然後上面有一個很酷的Avatar,他把MUSE Charm稱為是一個Delightful and Fun Device,我覺得就是這種感受。
[13:41] 所以Zucker在台上講說我們把整個MUSE的體驗包含整套的即時語音、頭像堆疊就放進去鑰匙圈的東西上面
[13:50] 那他隨時可以跟你講話
[13:52] 那這個東西可能會讓蠻多人想到一些就是在前面曾經出來喇叭過然後這邊不見的東西
[14:00] 我們把前輩拿出來列舉一下
[14:02] 像之前有一個Human的AI PIN
[14:04] 那AI PIN那時候在台灣還有人要去炒供應鏈
[14:07] 可是這個東西那時候我們應該在節目跟大家分享
[14:09] 我覺得這個很難那個量一定是不會出來
[14:11] 也不是說我們要當先知或殺小,就是那個很明顯你一看這個東西就沒有機會
[14:15] 那這個Muse的Charm我反而是覺得說他是有一點機會
[14:19] 那這個Human AIP那時候是賣699 USD然後再加好像每個月訂閱費是24 USD
[14:25] 那後來就是在2025年的2月還是什麼時候反正就被那個HP買下資產
[14:31] 然後直接把它整個停機掉就結束掉了嘛
[14:33] 那後面有一個Rabbit R1那它的價格是199
[14:37] 它是在2024的時候超級熱鬧,然後最後面就被降品為,就是這個東西呢,就只是一個,它本來就只有一個APP的功能啦,就硬要把它做成是一個硬體。
[14:47] 他們現在其實還是有想要再去推啦,但這個東西也是在市場上面的時候雷聲大雨,眼角就不見了。
[14:53] 然後後來有一個Limitless的Padent,它是99美元,然後後來它是被Meta收購之後就停售了。
[14:59] 那所以呢,其實有蠻多類似的這種AI的新的裝置想要去推出啊。
[15:04] 這些裝置本質上都是我認為他們都想要繞過手機
[15:09] 就是他們最大的一個競品其實都是手機
[15:12] 包含說像在整個MetaConnect裡面
[15:15] 他們除了這個Mustram這個電子機
[15:18] 我已經隨便把它稱為電子機
[15:19] 除了這個東西之外的東西
[15:20] 其實那眼鏡我覺得他們最終的目標都是要去取代手機
[15:25] 所以像一些技術文件或是在一些發表會上面
[15:29] 我有看到有人轉貼就是提到說
[15:31] 他們是估計說這個眼鏡在最好的狀況之下
[15:34] 是可以賣個幾億支之類的
[15:36] 如果是用幾億支去算的話
[15:38] 裡面會用到的一些什麼光波導
[15:41] 因為光波導 Waveguide 它其實會用掉蠻多 Wafer 的
[15:44] 12 吋 Wafer
[15:45] 所以它其實算下來它的需求量是非常非常恐怖
[15:48] 就是台積電的產能什麼都給它都不一定會夠之類
[15:51] 但這個前提是什麼?這個前提都是 based on
[15:53] 就是眼鏡它會變成下一個手機
[15:55] 只是眼鏡在現在這個節骨眼有沒有可能變成下一個手機
[16:00] 我覺得很難
[16:01] 因為手機現在實在是太強大了
[16:03] 我們現在手機已經有點像是在薩爾達裡面玩到的PDA一樣,什麼事情都可以做。
[16:09] 你很難想像,就是習慣成自然嘛,就是像你在手機裡面錄音、拍照、做記錄、記帳、玩遊戲,或是要去做一些有生產力的事情,像是以前在PC做的事,其實你在手機下全部都可以做。
[16:25] 所以要去把這樣子,就是大家已經是重度依賴在上面的裝置可以取代掉是很困難的。
[16:30] 所以先講一個很簡單的結論就是我認為在各方所看到的眼鏡或是各種AIH Device類似這個MuseCharm
[16:38] 然後他們可能可以獲得很高的一個滲透跟很高的數量
[16:42] 這個都是比較不切實際
[16:44] 因為它本質上我覺得它的競爭對手就是手機
[16:46] 那手機是一個非常難競爭的東西
[16:49] 那為什麼這個MuseCharm會覺得很有機會呢
[16:52] 我感覺是純看它的外型
[16:55] 然後跟它讓我想要電子機
[16:57] 所以我就直接跟他說這個東西我就是會買
[16:59] 就是跟前面的那幾個已經死掉的前輩比起來
[17:02] 這個東西我就特別的感興趣
[17:05] 然後外加它其實本質上來說
[17:08] 它已經是站在一個更好的起跑點了
[17:11] 就是前面的這些東西
[17:12] 他們的出現是有點想像自己可以去構造改革跟跳過一些巨頭
[17:17] 可是Meta本身就是一個巨頭
[17:20] 特別是像我們現在股癌的發文都還是會發在Facebook上面
[17:23] 然後或者是都還是會去使用Instagram
[17:26] 這是大家生活都還是必備的東西
[17:29] 所以他只要有辦法把他的用戶轉來這個地方去做使用的話
[17:35] 他其實就是已經走在比大家更前面的一個點
[17:38] 但是Meta這家公司他比較可惜的一點
[17:41] 或者說應該啦你活該啦
[17:44] 就是他的信賴度是非常低
[17:46] 所以在美國這邊我記得他們有一個報告的調查是寫到說
[17:50] 大家願意去相信Google
[17:52] 然後把密碼存在Google裡面的是30幾%
[17:55] 這比我想像中低很多
[17:56] 因為我說密碼要存在Google
[17:57] 是完完全全的相信Google,大家說30幾%
[18:00] 那Meta是幾%?8%
[18:01] 就大家不相信Meta
[18:03] 大家覺得這家公司猥瑣什麼的
[18:05] 我是算任同一半
[18:06] 因為Meta你也知道他那個詐騙就是不抓
[18:09] 不要再跟我說什麼他有在抓什麼
[18:10] 那個遠都太明顯了
[18:12] 像他整天在那邊洗了什麼三寶吧
[18:14] 你就是放個filter進去就可以把這個立刻篩掉的
[18:17] 他都可以在那邊洗幾個月
[18:19] 代表你就是
[18:20] 你在講千萬個理由都不相信
[18:22] 我知道他們一定有理由
[18:22] 因為我們聽眾也蠻多在Meta
[18:24] 他們都會跟我講理由
[18:25] 但是兄弟們你們怎麼講我都是不會相信的
[18:27] 因為這太誇張了,它都是重複的Pattern在那邊弄,然後竟然就是一直這樣子去放行它,甚至有點像之前我們曾經調侃過,現在越來越多人在講就是,說不定是因為它營收有很高比例是這一些灰產、地下經濟、黑色經濟,它也懶得去抓它,或是它故意沒有這麼積極去抓它。
[18:44] 所以簡單來講就是說,這家公司給人的一個信賴度是比較低。我覺得這個就是可能是潛在的超級大的隱憂。
[18:52] 但先不管這個隱憂,就單純看這個產品的話,你說你做出一個像電子機的東西,然後裡面去串上Agentic AI,放了一個可愛的Avatar,而且這個Avatar是可以換人的。
[19:03] 那透過這個裝置呢,我可以直接串聯到我的Facebook,然後或是我的Instagram,然後跟他其實在MuseCharm推出的時候呢,就立刻的有展示他的一些快樂的合作夥伴。
[19:16] 這些合作夥伴們代表著可以去做連接讓Mustang 賦能可以做更多事情
[19:26] 簡單的幾個舉例像是Walmart、Best Buy 台灣可能比較沒有
[19:31] 但Walmart大家算是有知道 Gap、Sephora 好像台灣也沒有
[19:36] 但是我老婆超級愛的一個店反正只要我們到歐洲Sephora就有點類似說
[19:40] 我老婆女生們他們的電玩店進去就出不來了就會瘋狂在那邊逛
[19:45] 什麼化妝品都有,類似我們在韓國看到的Olive Young這種感覺。
[19:50] 再來像是PayPal或是Xpedia都是可能有或是即將要跟他去做串接的。
[19:56] 也就是說你可能今天就是像剛剛前面講的,你在相信他並願意授權你帳號的狀況之下,
[20:02] 你可以透過跟Mustang裡面的這個Avatar說話,然後就去可能他有攝影機嘛,我現在看到一個衛生紙,請你去幫我挑一個一樣衛生紙,最便宜的就好。
[20:13] 所以他可能就會上Walmart或是Best Buy或是哪一個網站然後找到這個東西然後接著就開始幫你一頓輸出可能就讓你最後面按個確認就可以去做購買
[20:22] 那前提是什麼?前提是你要完全相信他所以你要去做這些串流這些所有的帳號們可能都要跟著你的Facebook去綁
[20:29] 所以他有點類似因為我現在的各個地方的登錄我的習慣
[20:33] 不然像我的手遊都是使用Google的帳號啦那Google我是願意這樣子做
[20:37] 那你說Meta的話我會有一點懷疑但是如果說他真的串的夠多有趣的服務的話
[20:42] 我還是會想試看看
[20:43] 所以它確實是有可能會產生一些那種構造改革的機會
[20:47] 但就是前面講這個信任感這件事情可能是最大也最難解的東西
[20:52] 但我們先假設說如果說大家都願意去嘗試看看的話
[20:55] 我自己就會去做嘗試
[20:56] 那到時候可能就來跟大家講
[20:58] 這個東西到底是有沒有可能變出一些有趣的把戲
[21:00] 但我覺得初步一定是會大家預期很高
[21:04] 然後接著出來之後發現說蠻鳥的
[21:06] 你要稍微的有一點耐心
[21:08] 對新科技其實都是這樣
[21:09] 就像大家講說MUSE可以去幫你做這些代理人的工作
[21:15] 所以你在網路上看到人家示範
[21:17] 他去幫他什麼訂房間
[21:19] 他說太屌了科技太強
[21:21] 然後下面就立刻被國外網友吐槽說這屌在哪
[21:24] 我自己上去按的話可能兩分鐘就按完了
[21:25] 然後你還要跟他對話對那麼多次
[21:27] 但像這種東西我們身為對新科技的熱愛者
[21:31] 我們是認為他就是本來會這樣
[21:33] 他慢慢的去做迭代
[21:35] 所以我們願意去嘗試新科技
[21:36] 我們其實某個程度上會很像是盤子
[21:38] 我們去做一個就是可能別人看會覺得這超白痴啊這我自己做就好
[21:42] 可是他至少是我以前無法想像可以這樣做的
[21:45] 然後現在可以這樣做
[21:46] 即便可能比我本來的做法會更加的耗時跟耗能
[21:50] 但是我相信就如果我提早卡位提早熟悉
[21:53] 那後面他就是可以辦到
[21:54] 那一般的消費者其實不用這麼的先知先覺啦
[21:57] 反而就是等到大家都告訴你說確定可以這樣做
[22:00] 等到你身邊的朋友都在這樣用的時候
[22:01] 你再去跟著用就好
[22:02] 那但在投資的角度呢
[22:04] 其實我們就會去抓這些機會
[22:06] 就如果說這台東西我買回來
[22:08] 我用我就發現說不一樣
[22:09] 那我可能就是有機會去搶佔先機
[22:12] 我就會抓到可能不一定是說這個硬體的相關的供應鏈
[22:17] 可能是Meta的本身
[22:18] 類似看到一個好產品就覺得這個東西我可以先稍微介入看看
[22:22] 然後亦或是說串接的服務
[22:24] 哪一個服務可能在串接之後
[22:26] 那因為它使用是非常的直覺跟人性化
[22:28] 然後它就有可能會讓它的聲勢變得更大
[22:31] 我覺得這個東西有可能會產生一些新的變化
[22:33] 就是相較於它前面的那一些競品跟前輩們
[22:37] 這是第一次我看到這些新的裝置,我認為它是有機會會有所突破的。
[22:42] 當然它的VR Glasses我覺得也是很不錯,重量很輕,它算是解決了蠻大的一個痛點。
[22:48] 因為像我自己有買Vision Pro,最大的問題就是太重。
[22:51] 它不含那個Puck的話它是只有100克,你裝上Puck的話就變成300克。
[22:56] 然後說Puck本身就300克,所以可能是400克,但是你要有續航力你就要有這個東西。
[23:00] 這個我們就一樣,就再稍微觀察,因為我覺得VR有可能不會是下一個最核心的東西,
[23:06] 現在是AR眼鏡或是一些小裝置,現在會是我自己會比較想注意的。
[23:10] 然後在眼鏡的部分也出了一個沒有鏡頭的版本,一個是有鏡頭的嘛,那很多人都說啊偷拍啊什麼啥小的。
[23:17] 甚至有些人會戴著這個眼鏡然後去做魔改,把上面的錄影燈給關掉。
[23:22] 所以它其實在網路上造成一些蠻多那種隱私的反撲。
[23:25] 所以說搞一個這個沒有沒有攝影機的版本,就希望可以去獲得更多的市場。
[23:31] 那簡單來講,我們把所有東西都包一包呢。
[23:33] 這場發表會看起來是一個硬體的發表會,但你也可以換句話說它是MUSE的身體的發表會。
[23:41] 就好像他們把MUSE現在變成是公司的一個核心,最主要還是在做軟體,在做這些Agentic AI。
[23:48] 只是它現在有很多個身體,像是眼鏡、VR或鑰匙圈,他們通通都是MUSE的一個載體。
[23:56] 所以像Zuckerberg開場的時候講到說個人的超級智慧會先倒,而且會更大更重要。
[24:01] 所以他們要把重心轉到去做最好的個人超級智慧裝置。
[24:06] 這就是回到剛剛前面所講到的,就是他會想要有自己的一個硬體。
[24:11] 只是因為他硬體的,我覺得那種個人的智慧裝置裡面最聰明的可能就是手機了。
[24:16] 所以他最終不免的就要去跟手機做對局。
[24:19] 其實可以去明白為什麼扎克伯會想要針對硬體瘋狂的去衝。
[24:24] 因為呢,怎麼講,長年來他一直想要擺脫 Apple 跟 Google 的作業系統。
[24:29] 他想要有自己的一個平台,他可能不想被抽稅,然後不想再被隱私政策給卡住他的廣告。
[24:34] 眼鏡走了這麼多年,現在終於有一個第一名的APP,雖然有機會在這個AI時代蠻多都談話一線,就接下來一段時間搞不好又不見,大家又忘記他,類似像Google。
[24:44] 去年有一陣子突然間極其猛追,大家覺得很屌,現在大家都不想看Google,說不定後面Google給驚喜,就一樣的道理。
[24:51] 所以他現在至少OK,以現階段來說就是有一個第一名的APP,所以乘勝追擊。這個產品即便根本就還有一堆東西搞不清楚,只看得出來說OK應該會有攝影機,因為他看在周圍,然後有一個指紋辨識或什麼的,然後有一個螢幕,但是他就急著要把它推出來,就是因為他有這個執念,他必須要去做自己的終端,去繞過手機,那這家公司可能後面才會有更好的一個生存機會。
[25:16] MUSE 應該會用免費的方式繼續經營這大量的免費 Token 來撐起這件事情。
[25:23] 長期來說它靠什麼賺錢?一樣就是靠在交易裡面去湊一小筆費用。
[25:28] 所以像前面我們看到 Amazon 去把它卡掉,因為這個有點類似說它變成是一個那種小型的 Gateway 收銀台的感覺。
[25:36] 那 Amazon 會把它卡掉是合理的,因為如果我說我讓你的機器人可以隨便上來逛,不用打招呼,然後大家沒有什麼協定,
[25:42] 那可能就會變成話語權會掉到別人手上
[25:46] 所以我相信後面的一段時間就是巨頭之間
[25:48] 看有沒有一些那種合縱然後跟連橫之類的
[25:53] 就是大家一定要去稍微的去劃分一些陣線
[25:56] 那有些可能會在互利裡面一起去共生
[26:00] 在AI時代一起去分一杯羹
[26:01] 那有些可能就是會被排在外面
[26:04] 那被排在外面其實可能會出很大的問題
[26:06] 就是像這個Agenti AI非常厲害
[26:09] 但大家其實都想要去封殺這些Agent
[26:12] 最簡單的道理是什麼?就是以前我會自己上去看,我自己上去看我可以讓對方賺到廣告錢,那我可能會被他推到的東西燒到我就去買,那些錢本來都在對方身上,可是現在變成是機器人去看的話,那變成話語錢就在這個機器人身上。
