[00:00] 欢迎收听谷爱,我是星梦宫,本期节目由ZZSleeper-2度两感忘忧枕赞助
[02:57] 股票大喷射
[02:58] 你要想大股东是很多人
[03:00] 台股这么多股票
[03:02] 每一档股票
[03:02] 你不要只说什么前十大
[03:04] 前十大很多都已经是亿万富翁了
[03:06] 那你说什么
[03:07] 前三十大前五十大
[03:09] 他说不定不是只有这档股票
[03:10] 所以你真的可以想象说
[03:12] 就光是整个index
[03:13] 大约都是股票这样子喷
[03:14] 就很多人会
[03:15] 可能他本来只有千万就破亿
[03:17] 或者破亿就变十亿之类的
[03:19] 那所以真的是超级疯狂恐怖的一个行情
[03:22] 那我在好像是过去的一两集
[03:25] 我跟大家分享说
[03:26] 这就是新一波的台湾前沿角目
[03:28] 那当然就有一些听众会想要私讯
[03:30] 我跟他讲他的感受什么的
[03:32] 我整个时候感受每个人都有
[03:34] 就像我自己也是文族仔
[03:35] 其实我也会想抱怨这个世界
[03:37] 为什么这么不公平
[03:38] 我身为一个文族仔
[03:39] 为什么世界要这样对我
[03:41] 为什么只有黎族仔
[03:42] 为什么只有这些去科技业上班的
[03:43] 可以赚这么多钱
[03:44] 但你干了半天
[03:46] 就让你整天去网上干原生家庭
[03:47] 你干了半天
[03:48] 那你还是回到自己
[03:49] 就是他妈两颗高丸两片屁股
[03:51] 你就是要把事情做好
[03:52] 不然要怎么样
[03:53] 你一直干
[03:53] 你一直怨天尤人有什么意义
[03:55] 当然我们讲这个也不知道
[03:56] motivate大家
[03:57] 你就是要冲
[03:58] 我是告诉大家说
[03:59] 你骂了半天其实没有意义
[04:01] 就是你跟我讲了半天说
[04:02] 台湾的产业分布不均
[04:03] 不是我也知道
[04:04] 我的妈我就文组的
[04:05] 我怎么会不知道
[04:06] 分布超不均的
[04:07] 可是要怎么办
[04:08] 就是这样子
[04:09] 你要么就加入他们
[04:10] 要么就继续干干交
[04:12] 就两个选项
[04:12] 加入他们
[04:13] 其实我觉得这个
[04:14] 是到蛮方便的一点是
[04:16] 以前你要加入他们
[04:17] 你要怎么样
[04:18] 就像我认识一个非常厉害的朋友
[04:21] 他以前是念理科的
[04:22] 然后后来他就跑去当法官了
[04:25] 我就跑去念文组当法官了
[04:27] 这种人就很厉害
[04:28] 虽然他感觉方向是跑错了
[04:29] 可是你看他这种就是很有实践力道的人
[04:32] 那同时也非常会念书
[04:33] 可是像我们这种
[04:34] 妈也不太会念书的
[04:35] 你叫我去转理组
[04:36] 你干脆要我去挑算
[04:37] 我根本没有办法
[04:38] 可是好在怎么样
[04:39] 好在我们可以直接透过股票的投资
[04:41] 然后去参与整体的市场
[04:43] 你没有办法进去台积电
[04:44] 可是你可以买台积电
[04:45] 你当股东
[04:45] 所以其实我觉得
[04:47] 现在的这个投资的环境
[04:48] 是可以让大家去
[04:50] 直接参与到经济的
[04:51] 如果这时候你还是要抱怨说
[04:53] 你没有钱投股票
[04:54] 那我也不知道该说什么
[04:55] 因为其实每个人
[04:55] 都是从很小的数字开始
[04:57] 那其实大家都喜欢去问一些
[04:58] 已经长到很大的人
[05:00] 然后就说
[05:00] 你是不是靠爸
[05:01] 或者什么差小的
[05:02] 可是其实每个人
[05:03] 都是从下面开始
[05:04] 就算他是靠爸
[05:05] 像很多人喜欢讲说
[05:06] 巴菲特靠爸
[05:06] 他爸从小给他什么资源
[05:08] 可是从小可以给
[05:09] 像巴菲特爸爸这样
[05:10] 给他资源的一大堆
[05:11] 那已经是不知道排到哪里去了
[05:13] 可是可以成为
[05:14] 搞股票搞到变首富
[05:16] 就他一个嘛
[05:17] 所以去炒这个也没有什么意思
[05:18] 你这时候可能又讲说
[05:20] 巴菲特是幸存者偏差
[05:21] 反正老实讲
[05:22] 你要酸你要干
[05:22] 你都有一百个理由
[05:23] 你也不用讲巴菲特
[05:24] 其实可能搞股票的
[05:26] 前一千大前一万大
[05:27] 都是很有钱
[05:28] 不一定要去举最极端的案例
[05:29] 所以就是尽可能的
[05:31] 要去找一些方法
[05:32] 去参与整体经济的成长
[05:34] 这也是我给自己的一个
[05:35] 非常深刻的提醒
[05:37] 就是可能今天我做的某个东西
[05:39] 就像说像我比较擅长的
[05:41] 是一些可能零组件
[05:42] 或是科技的东西
[05:43] 有一天这种东西
[05:44] 没有办法赚钱的时候
[05:45] 我可能就会去找别的东西
[05:46] 适合去赚钱
[05:47] 所以就要好好的去参与一下
[05:50] 就像可能我那时候
[05:51] 跟大家类似调侃的
[05:52] 那只是没有好像
[05:53] 可能有戳到一些人
[05:54] 我就说你知道
[05:55] 以前大家都会讲
[05:56] 甚至我自己在大学埋怨过
[05:57] 为什么我隔壁的同学
[05:59] 他把他妈妈在他上大学的时候
[06:00] 给他妈妈买一个套房
[06:01] 为什么我们家里没有
[06:02] 可是后来知道
[06:03] 你抱怨这个什么没意义
[06:04] 你爸爸给你的东西
[06:05] 是一堆爸爸给不起的东西
[06:07] 所以其实你真的要比烂的话
[06:09] 一大堆比你烂的人
[06:10] 那你能够做得怎么样
[06:13] 以前你的爸媽可能沒有把握到那個買房的黃金時期
[06:16] 很多人在那邊幹掉
[06:17] 整天在催傷面那裡寫說
[06:19] 爸媽那時候不努力
[06:21] 你就想說你現在要不做點事的話
[06:22] 以後你小孩就說你不努力
[06:24] 然後這時候有些人就兩手一談說
[06:25] 老子不昏不生快樂一生
[06:26] 所以對你知道
[06:27] 就是直接去網上跟人家吵架
[06:29] 是一點意義都沒有的事情
[06:30] 那只是有時候我們分享一些東西
[06:31] 可能會不小心就是會戳到一些人
[06:33] 可是真的沒有要戳你的意思
[06:35] 我戳你我也不會獲得什麼優越感
[06:36] 這對我來講是滿沒有意義的事情
[06:38] 我是跟大家分享說
[06:39] 奇怪其實這是大家都可以參與的東西
[06:41] 可以參與的東西
[06:42] 你有沒有去看一下
[06:43] 那個0050跟6208的受益人
[06:44] 其實很多
[06:45] 所以其實代表蠻多人
[06:46] 都有去受惠到經濟的成長
[06:49] 當然以我的角度來講
[06:51] 你說最近的行情
[06:52] 你可以找到什麼理由
[06:53] 真的去justify這件事情嗎
[06:54] 我很難去形容
[06:57] 就是有些東西對我來講
[06:57] 已經他媽太瘋狂了
[06:59] 有些東西它交易在
[07:00] 2028 2029的51百倍
[07:02] 這什麼東西
[07:03] 就這個在我來看
[07:04] 就是有一點像是泡沫的感覺
[07:06] 可是確實在市場上
[07:07] 我還是可以找到一大堆東西
[07:08] 甚至我們台灣最大的權值股
[07:10] 它還是交易在十二十倍的一個估值
[07:12] 所以你說它真的非常的過分嗎
[07:14] 你說它真的有泡沫嗎
[07:15] 好像也沒有
[07:16] 就能夠說可能在後面的選股
[07:18] 就比較小心一點
[07:19] 你真的覺得比較貴的東西
[07:20] 就稍微的繞開
[07:22] 比較便宜的東西其實都還是可以
[07:24] 持續的去入
[07:24] 那知道什麼時候
[07:25] 就知道可能我們有注意到一些
[07:27] 那種反轉的跡象
[07:27] 那反轉的跡象怎麼樣看
[07:29] 其實嚴格上來說
[07:31] 只要出一些比較大的那種大盤的崩殺
[07:34] 那在過去就是蠻多人都會選擇去降槓桿
[07:36] 就包含我自己也是
[07:38] 但是在過去的幾天
[07:39] 以台股來講
[07:40] 其實在盤中都有出現這樣子的一個崩殺
[07:42] 可是我注意到我身邊的人
[07:44] 然後還有我自己
[07:44] 為什麼我們都沒有去這樣槓桿
[07:46] 甚至我在上幾集跟大家講說
[07:47] 理論上那些地方是我會槓
[07:48] 但老子直接不槓
[07:49] 為什麼
[07:50] 因為你真的拉成本太遠了
[07:52] 就真的是距離成本太遠
[07:54] 所以你已經到有點麻木了
[07:56] 你知道嗎
[07:56] 就好就算了
[07:57] 反正我次回檔也沒差
[07:59] 我就先拒放
[07:59] 然後看會發生什麼事情
[08:01] 所以我覺得大家的填損
[08:02] 或者說填利下都拉的蠻寬的
[08:04] 除非是你正要加入的
[08:05] 那你可能就很緊張
[08:06] 因為波動會放大之類的
[08:08] 但一些早在車上的
[08:09] 其實老實講
[08:10] 現在大家應該都已經傻眼
[08:11] 你說指數怎麼可以這樣噴
[08:12] 你知道拉台股
[08:13] 我那天看多拉王貼一篇文
[08:15] 好像說10年還20年
[08:17] 我們是世界冠軍
[08:18] 就是20幾%的一個年化
[08:20] 這到底什麼東西
[08:21] 然後贏過第二名
[08:22] 我也嚇到
[08:23] 就蠻意外
[08:24] 羅馬尼亞
[08:24] 然後再什麼哈薩克
[08:25] 那也蠻厲害的
[08:26] 所以就是一個世界頂尖的市場
[08:28] 老實講
[08:29] 你說在裡面的參與者
[08:31] 多努力
[08:32] 或是說他多會去做股票
[08:34] 那個都只是一環
[08:35] 就整體的狀況就是好
[08:37] 所以在一个好的多头的市场里面
[08:39] 那当然大家可能都可以拿到一个不错的收益
[08:41] 那有时候我就会去想起一个朋友跟我讲过的话
[08:45] 他其实提过好几次
[08:46] 然后他最近又再提一次
[08:47] 我真的觉得非常的道理
[08:48] 他说其实可以去靠投资做生活的人
[08:52] 当然在一开始他一定是花了很多的心力
[08:54] 这是绝对的
[08:55] 可是等到非常收忍之后
[08:57] 其实已经算是一个相对轻松的工作
[08:59] 简单来讲就是说
[08:59] 你可能在一个冷气房吹电站
[09:01] 然后在想说该怎么样去做投资
[09:03] 虽然你会面对一些人家看不见的压力
[09:05] 或者盘不好的状况之类
[09:06] 可是你去比起那些付出大量劳力的人
[09:09] 其实你是相对幸运的
[09:10] 所以当你已经知道自己是相对幸运的时候
[09:12] 就尽可能去多帮助一些人
[09:15] 我只能够这样说
[09:15] 你知道说这一切都是得来不易
[09:18] 当然我们知道我们自己付出了很多努力
[09:20] 可是其实世界上有很多很辛苦的人
[09:22] 所以我们有时候去跟大家分享一些东西
[09:24] 你要想的是我不知道去可能刺激
[09:27] 或者说让一些人觉得说
[09:28] 他好像相对被剥夺了
[09:29] 我要讲的是
[09:30] 其实你看我们的很多听众
[09:32] 他们自己本身对投资也都不熟
[09:34] 他们就是一个气氛仔
[09:35] 只是买个指数而已
[09:36] 他也沒有想過他的資產可以這樣一直翻倍
[09:38] 就是沒有想過這種事情
[09:39] 其實以我們自己來講
[09:41] 我們也都是每天都在感受到
[09:43] 市場的那種奇蹟的味道
[09:45] 就是有很多你不敢想的事情都發生了
[09:47] 好像聯發科這麼多根漲停變成處置股
[09:49] 你想都不敢想
[09:50] 這到底是什麼東西
[09:51] 我想是我自己雙腦持股
[09:53] 美股的CPU噴到爛掉
[09:55] 到底是什麼東西
[09:56] 當然不是只講好的
[09:57] 壞的也是有
[09:58] 像軟體股可能在過去的表現就是不好
[10:00] 但軟體股可能在2024 2025的時候
[10:02] 也曾經是噴幾倍
[10:04] 所以其實每個東西都是輪來輪去
[10:05] 我相信就是
[10:06] 后面的环境也是这样子
[10:08] 就像可能科技股很强
[10:09] 但是如果周期是拉得很大
[10:12] 范围跑很远的话
[10:14] 说不定下去的时候
[10:15] 也是非常的强烈
[10:16] 搞不定换别的东西
[10:17] 会循环起来
[10:18] 其实最近的市场
[10:18] 已经开始有闻到
[10:19] 一点这样子的味道
[10:20] 有一点那种轮动
[10:22] 然后以及以前那种legacy
[10:23] 大家不喜欢
[10:23] mature note的东西
[10:25] 开始跑起来
[10:25] 所以还是要去相信未来
[10:28] 就是相信说
[10:28] 不知道就有一天
[10:29] 文组也有机会出头天之类的
[10:31] 或者说一些传产
[10:32] 也有机会会站起来
[10:34] 但其实最适时入围俊杰的做法是就打不赢就加入
[10:37] 然后这是最好的方法
[10:38] 那当然你就跟人家讲打不赢就加入
[10:40] 可是有时候他搞不好就加入在一个最高点
[10:42] 那又不是太好
[10:43] 所以我们最好就不要随便乱给人家建议
[10:45] 这是最近的一些想法
[10:47] 好那接下来我们就要进入市场话题
[10:49] 那先来聊一下市场的一些传言
[10:51] 那首先一个在过去市场上
[10:53] 我觉得蛮多买房或是身边的做交易的
[10:55] 很多都在讨论的事情
[10:57] 就是NVIDIA的晶片是不是可能在散热方面是出了一点问题
[11:01] 他要去改一下他的team
[11:02] 就是它这个散热的介质
[11:04] 要去做一些调整
[11:05] 或者说
[11:06] 这个可能没有要用到
[11:07] 镀金的材料之类的
[11:09] 所以当然它就引发了
[11:10] 台股一些相关的股票
[11:11] 他们其实就有一个
[11:12] 非常剧烈的反应
[11:13] 那我觉得这件事情
[11:14] 蛮有趣的是
[11:15] 其实消息出来
[11:16] 大概已经是两到三天之后
[11:19] 然后相关的股票
[11:19] 才去做反应
[11:20] 所以甚至一开始
[11:21] 我们自己身边的朋友
[11:22] 都还在讨论说
[11:23] 会不会这个是一个false alarm
[11:25] 会不会是传错的消息之类的
[11:28] 但其实大家应该可以
[11:29] 在X上面会看到
[11:30] 像X上面有蛮多
[11:31] 你也不知道是哪里来的分析师
[11:32] 然后都会放一些那种动漫的这个照片
[11:35] 然后他就是到处去转贴人家的东西
[11:37] 然后他们其实传消息算传的蛮快的
[11:40] 但大概是在我们的后手一点
[11:41] 那他们就会把蛮多东西直接铺出去
[11:44] 所以很快的这个消息就会去绕整个市场一圈
[11:47] 那所以呢
[11:48] 其实当他们开始写的时候
[11:49] 我觉得就是一个给非常放心聊的时候
[11:51] 反而就是说Invidia的晶片
[11:53] 他们有去做一些材料的调整
[11:55] 那时候有发生CoreOS停线的一个状态
[11:58] 那只是就我们理解
[11:59] 它其实是已经复现
[12:00] 那我们去注意这个Invidia的股价
[12:02] 它看起来是没有受到任何的影响
[12:04] 那一些components
[12:05] 其实有几档都直接出现了跌停
[12:07] 因为就是在里面的一些材料
[12:09] 可能在这一代
[12:11] 就是不一定可以去做采用
[12:12] 那当然在下一代
[12:13] 说不定又会再次的去做采用
[12:15] 所以就最近会注意到说
[12:17] 一些NVIDIA相关的supply chain
[12:19] 是相对的弱一点
[12:20] 可是我觉得NVIDIA本体
[12:21] 看起来是还好
[12:22] 那我自己也是非常期待
[12:23] 在接下来的GTC大会
[12:25] 我会去听他的演讲
[12:26] 那也会去看
[12:27] 那时候其实每年都有去参加
[12:29] 这个NVIDIA的像他的什么消费
[12:31] 或是Enterprise一些展非常感謝NVIDIA的小金
[12:34] 他都會邀請我去看一下
[12:36] 到時候再跟大家分享說
[12:37] 他們今年有什麼樣的一個酷東西
[12:39] 那天跟朋友聊這個也覺得蠻有趣的
[12:40] 就是如果說那時候看到CPU的東西
[12:43] 應該有跟大家分享
[12:44] 就那時候去其實你注意到說
[12:45] 他展出很多CPU的東西
[12:46] 只是當時我跟我身邊的朋友我們給了一個remark我給了一個小評論就是我們認為說這個東西還太早但如果那時候就買CPU的話那我們現在就更放鬆
[12:58] 但後面其實大家都有去追光每個人都有光
[13:01] 只是說那時候買的話絕對是最甜的
[13:03] 所以這次就希望可以再把握到一些機會
[13:05] 所以回到我們剛剛上面講的這個話題
[13:08] 其實NVIDIA的這個有些東西怎麼停線拿去改掉的
[13:12] 因為現在已經看到一些X的帳號都開始跑出來寫了
[13:15] 所以它已经算是相当程度的去传播出去
[13:17] 那你说那些东西可不可以进去抄底
[13:19] 最近有一些在Telegram里面的听众
[13:22] 会想要tag我
[13:22] 然后去问我一些看法
[13:23] 那其实这里面的击档标的
[13:25] 有些是我自己本身也是蛮喜欢的
[13:27] 但我在这个时间点
[13:28] 我就会说我拒绝去评论它
[13:30] 因为老实讲
[13:30] 现在台股已经喷到很高的一个位置
[13:33] 我真的不知道后面那些东西
[13:34] 有哪些会回档
[13:36] 所以我现在去针对一些
[13:37] 掉下来的东西去评论
[13:38] 那有些人接了之后
[13:39] 后面再继续回档
[13:40] 你要知道大盘下次在4万多点
[13:42] 后面再继续回答
[13:43] 假设回答什么三万多之类
[13:44] 那一定会有很多人受伤
[13:45] 所以我已经进入一个
[13:46] 类似间磨期的阶段
[13:48] 我身边的朋友
[13:48] 最近也是在问我股票
[13:50] 我直接说我不回答
[13:50] 我说你去问别人
[13:51] 我直接说我不回答了
[13:52] 因为这边我在回答你
[13:53] 到时候买了套了
[13:54] 你就是每天都要跑回来问我说
[13:56] 这个东西为什么这样
[13:57] 还可以报吗
[13:57] 我没有空去处理这种事情
[13:59] 所以最近有些东西
[14:01] 会出现一些回档或什么的
[14:03] 我觉得它都算是正常的
[14:04] 就它可能即便看起来是
[14:06] 像以这个NVIDIA
[14:07] 它去改一些BOMBDIS的话
[14:09] 我觉得它算是大事
[14:10] 但有些可能你后面会注意到说
[14:12] 它并不是真的很大的事情
[14:14] 就像说像最近的Calfair
[14:17] 它就是去做裁员
[14:18] 有些人讲说
[14:19] 它的guidance开的没有太好
[14:20] 但我其实自己看
[14:21] 是觉得没有什么太多的问题
[14:23] 大家就直接骂重摔一顿
[14:24] 我觉得类似的事情
[14:26] 其实在后面应该会越来越多
[14:28] 因为其实真的蛮多东西
[14:29] 都已经涨到很高的地方
[14:30] 所以你真的随便找一个理由
[14:32] 都可以把东西杀下去
[14:33] 所以我们这样不用在下跌的时候
[14:35] 然后去做太多的假设
[14:37] 然后就想要立刻去补部位
[14:39] 对我来说
[14:39] 我现在如果注意到
[14:40] 我手上的一些部位
[14:42] 开始出现一些大逃杀
[14:43] 即便它迭下去的故事
[14:45] 不一定是我认为是很严重的
[14:47] 但如果不会压太大的话
[14:48] 我还是会去做一些解码
[14:49] 因为你要去考量
[14:50] 是整体的位置
[14:51] 是在高的地方
[14:52] 这是我的做法
[14:54] 所以大概跟大家分享一下
[14:55] 这个市场大家在传的
[14:56] 就是说Invidia
[14:57] 可能有去改一些材料
[14:59] 在散热方面
[15:00] 所以导致一些相关的类股
[15:01] 可能表现没有这么好
[15:02] 但我们也不知道说
[15:04] 会不会就等到这个东西
[15:04] 完全见报传出去之后
[15:06] 那搞不好就见到一个短笛子
[15:07] 但我自己不会想要去猜
[15:09] 短笛
[15:09] 那在我们刚刚在开头的时候
[15:11] 聊到说最近有注意到一些
[15:13] 可能比较偏向是
[15:14] consumer或者说公控
[15:15] 或甚至车用相关的东西
[15:16] 都在转强
[15:17] 那到底是发生什么事情
[15:18] 那最近是有跟一些身边的朋友
[15:20] 在讨论
[15:21] 就是会不会其实大家
[15:22] 盼了N年的消费性复苏
[15:24] 是要发生的
[15:25] 然后现在是
[15:26] 某个程度上的先行反应
[15:27] 其实老实讲
[15:28] 我用纯感觉来看
[15:29] 我觉得有一点类似
[15:31] 那不知道大家还记不记得
[15:32] 我们前面在聊那个CPU的时候
[15:34] 其实最早在聊的时候
[15:35] 是整体的排面是不好的
[15:37] 那只是我们就注意到说
[15:37] 奇怪为什么CPU的股票这么强
[15:39] 那其实那时候去发现记忆体的时候
[15:41] 也是一样的状态
[15:42] 就那时候急速也是跟大家聊说
[15:44] 我们看到这个涨价性
[15:45] 然后看到那个股价跳上去
[15:46] 所以我们觉得说
[15:47] 有可能这个就是要起来了
[15:48] 所以一般我们还是会去用
[15:50] 这个股价去作为一个辅助
[15:52] 特别是还有主权性起来的时候
[15:53] 我们就会去思考说
[15:54] 会不会其实
[15:54] 我们都讲了这个市场是经济的橱窗
[15:58] 它可能是走在前面
[15:59] 它搞不好就是春江水暖压线之类的
[16:02] 那只是我们也知道说
[16:03] 就是在今年度或甚至是明年度
[16:05] 手机的出货量
[16:06] 或者一些笔电的错误量
[16:07] 数字都不会是太好
[16:08] 所以你说是一个消费性的复苏吗
[16:10] 我感觉也不太像
[16:12] 所以我自己的猜测会有点像是什么呢
[16:15] 它有点像是一个
[16:16] 要一步一步跳下去
[16:18] 首先第一步是发生什么事情
[16:19] 记忆体涨价
[16:19] 代工涨价
[16:20] 然后关税
[16:21] 所以下游会怎么样
[16:22] 下游就恐慌性的提前去拉货
[16:24] 为什么
[16:24] 因为怕涨价
[16:25] 它怕会断供
[16:26] 所以发生什么事情
[16:27] 就代工厂的产能利用率就会拉上去
[16:29] IC设计厂的Q2营收
[16:31] 有些可能就会跳起来
[16:32] 那股價又會再提前再往前去做跳起來
[16:35] 那可是同時呢
[16:36] 在這個事件的背景是什麼
[16:37] 就是說終端需求
[16:38] 不管是PC或是手機
[16:39] 它其實是衰退的一個情形
[16:41] 所以有沒有可能就是說
[16:42] 這只是一波
[16:43] 我也不會說它是死貓跳
[16:44] 因為畢竟它蠻多都已經是
[16:46] 躺在地上一陣子了
[16:47] 它也不是說什麼
[16:48] 已經急衰
[16:49] 然後要彈起來的那個階段
[16:50] 它不是
[16:50] 它是躺一陣子
[16:52] 所以我不會說它是死貓跳
[16:53] 就是說可能有機會
[16:54] 就是搞不好它拉起來的時候
[16:55] 後面還要再整理一下
[16:56] 因為等到可能26的2H
[16:58] 就下半年之後呢
[16:59] 拉貨的動能開始掉下去的時候
[17:00] 搞不好又要再一次的有去化的状态
[17:03] 那我记得我大概几个月前
[17:04] 有跟大家分享过
[17:05] 我们有注意到在台系的这个DDIC业者
[17:08] 有听说到就是在笔电业者这边
[17:11] 他们有去下大单去做拉货
[17:13] 然后那时候我们是感到非常的疑惑
[17:15] 就是奇怪
[17:16] 不是说其他整体的状况不好吗
[17:18] 为什么你要去拉货
[17:19] 那只是后来产业的朋友有跟我们分享
[17:21] 就是像刚才前面讲的那些原因
[17:23] 所以他们有些就会想要去提早去补一些库存
[17:26] 那先把库存拉起来
[17:28] 去免得后面的一些夜长梦多
[17:30] 但不代表说他们可能对未来的预期很好
[17:32] 但我觉得我还是会持续去观察这个题材
[17:34] 因为像最近连天世界先进的表现都很好
[17:37] 那像是在这个海外交易市场的Global Foundries
[17:40] 它的表现也是非常好
[17:41] 那在矽晶圆这边呢
[17:43] 大家也都跳上去
[17:44] 环球晶跳上去
[17:44] 即便环球晶上次开出来的一些法说的内容
[17:47] 我自己是感觉还好
[17:48] 我觉得时机未到
[17:49] 但它也是非常强势的就走出去了
[17:51] 那不管是日本或者说其他地方的一些矽晶圆的相关的表现
[17:54] 其实也都注意到很好
[17:55] 所以呢它有可能是有东西要走起来
[17:58] 特别是在礼拜五
[17:59] 大家也看到瑞玉林勇都直接是开灯
[18:01] 那到底是发生什么事情呢
[18:03] 这个我们会去认真的去探索一下
[18:06] 就有可能类似像CPU这样子
[18:08] 就是有些东西我们可能在一开始没有办法看到
[18:10] 但是我们在股价技术面前看到
[18:12] 那后续就会去做持续的追踪
[18:15] 那只是以我自己家的角度
[18:16] 我还是会先去做
[18:18] 就是可能只是一个补货的假设
[18:20] 那并不是说什么整体需求变强
[18:22] 因为如果是看到的话
[18:23] 那我们应该会注意到MARKET的数字会跑起来
[18:25] 它会有点类似说在2020-2021
[18:27] 因为work from home的一个趋势之下
[18:29] 所以很多消费性的产品变得很好
[18:31] 那所以就再持续的去观察一下
[18:34] 那现阶段会认为说
[18:35] 可能有一点类似说
[18:37] 因为大盘已经跑到一个相对高的位阶
[18:39] 所以大家去找市场中一些
[18:41] 比较低估的东西去做拉抬
[18:43] 这是有机会
[18:44] 但我们确实在世界先进的一些资料里面
[18:46] 有注意到说
[18:47] 我觉得说他一些新建的厂房
[18:48] 他的那个产能竟然是卖光的
[18:51] 他的那个驾动率可能都是跑得还蛮不错的
[18:53] 那也听到产业大哥跟我分享说
[18:54] 当然我们就不去讲是哪一家公司
[18:57] 反正就是有海外的客人
[18:58] 要跟他包他的产能
[19:00] 然后刚才说我可以给你一个premium
[19:02] 我直接先给你一个涨价
[19:03] 如果说你可以接受的话
[19:04] 我们下去把约签起来
[19:05] 对方竟然刚才说
[19:06] 我们不要去签这个约
[19:08] 这什么意思
[19:09] 这代表说他可能对于行情的预期
[19:11] 是还蛮好的
[19:11] 所以有时候真的行情会在
[19:13] 大家都无法想象的时间点发生
[19:15] 所以即便我们知道说
[19:17] 我们家看到的一些终端endpoint的
[19:20] focus数字不是太好
[19:21] 但如果说供应链这些东西
[19:23] 真的就提早跑起来的话
[19:24] 如果在上集所提到的
[19:26] 我上幾次講說
[19:27] 我把這些東西放在Tier2
[19:28] 那現在Tier1的東西
[19:29] 其實都還噴得好好的
[19:30] 所以如果Tier1的東西
