[00:00] 欢迎收听谷外,我是星梦宫,本集节目由NordVPN赞助
[08:29] 各位对不起我要回家
[08:30] 然后或者说不知道
[08:31] 就假装尿顿之类的
[08:32] 然后在里面等十分钟
[08:33] 反正大家一定会忘记我
[08:35] 然后再出来
[08:35] 那可是
[08:36] 我觉得他们也非常鼓励我
[08:38] 去发表我自己的一些想法
[08:39] 即便有想法
[08:40] 可能听起来超菜逼巴的
[08:42] 那其中有一位雨会大哥
[08:43] 是我们的地方听众
[08:45] 那我觉得他在这场上面
[08:47] 真的算是帮助了很多
[08:48] 那甚至是他会一直就是
[08:51] 希望我不要落队之类的吧
[08:54] 所以每次就会讲说
[08:55] 那曲嘎你分享一下你的想法
[08:57] 曲嘎你有怎么样的感觉
[08:58] 也是非常感谢
[09:00] 就是除了遇到一些
[09:01] 非常乐意分享的人之外
[09:03] 那还有这种引路人
[09:04] 会让我尽量去思考说
[09:06] 到底我现在碰到什么东西
[09:07] 因为有时候这样
[09:08] 就是说一段智慧
[09:09] 或是一个知识的形成
[09:12] 你在大量的阅读之后
[09:14] 你会以为你自己懂了
[09:15] 但像我觉得我自己的节目
[09:17] 这样的输出方式
[09:18] 就是蛮不错的
[09:19] 因为我只要有办法
[09:20] 在节目跟大家分享的
[09:21] 一些题材故事
[09:22] 或是自己认为
[09:24] 现在可能市场的趋势在哪
[09:26] 我只要有办法讲出来
[09:27] 代表说我真的懂了
[09:28] 如果说你没有办法讲出来
[09:29] 很多时候就是你看完
[09:30] 你以为你懂了
[09:31] 但是你不一定可以理解
[09:32] 所以当他逼我去思考
[09:33] 你现在怎么样想这件事情
[09:35] 然后我就真的会在脑中去
[09:36] 把刚才大家讲的东西
[09:38] 有点像是说
[09:39] 我还是食人牙慧的味道
[09:41] 因为我自己没有办法形容出来
[09:43] 可是我可以从你们身上
[09:44] 所分享的一些内容
[09:46] 那我可以去抓出一些重点
[09:48] 跟我自己感受到的东西
[09:49] 那这个语言虽然我不熟悉
[09:51] 但是我可以牙牙学语
[09:52] 我可以学大家的形容
[09:54] 去稍微的拼凑出说
[09:55] 我觉得它该是
[09:56] 什么样的一个感受之类的
[09:58] 那所以整个体验
[09:59] 可以说是非常非常的
[10:01] 特别跟精致
[10:02] 那再来当然最后面
[10:03] 有一个很大的亮点
[10:05] 那也算是去感受到这些人的大方吧
[10:09] 就到底不知道发生什么事情
[10:10] 反正总之是这一场
[10:11] 理论上我们是喝一些村庄跟一级元嘛
[10:14] 那酒商就额外带了一些酒在现场
[10:17] 其中不乏一些那种特级元的精品货
[10:19] 那个价格是极高的
[10:21] 那反正总是就想说
[10:22] 各位贵宾啊
[10:23] 如果说你有喜欢的话
[10:24] 今天可以用一些折扣带回家之类的
[10:27] 就没想到其中两位大哥就直接现开了量品
[10:30] 那可能加起来不知道
[10:31] 也要往百万去了吧
[10:32] 就跟大家分享
[10:34] 你有看过这种事情吗
[10:35] 我是没有看过这种事情
[10:36] 我是没有看过说
[10:38] 不知道这一整桌
[10:39] 他可能也不一定是每个人都认识
[10:40] 可是他就觉得说
[10:41] 气氛对了
[10:42] 那不然我们来试看看什么东西
[10:44] 所以在我的角度就是
[10:45] 真的跟剪刀一样
[10:46] 这到底是发生什么事情
[10:48] 就是这个晚上
[10:48] 我已经觉得是非常的美好
[10:50] 然后竟然还有这种大方的大哥
[10:52] 这么乐意的跟大家分享这么好的东西
[10:55] 所以再回家就觉得
[10:57] 不知道
[10:58] 虽然隔天有点喝太多
[11:00] 我觉得喝太多
[11:00] 有点不太舒服
[11:01] 所以之后再参加这样的品酒会
[11:03] 我觉得我会节制
[11:05] 因为有时候是这样
[11:06] 你要让自己的感受
[11:07] 很好的话
[11:07] 你必须要去做出
[11:08] 一点牺牲
[11:09] 类似说再好吃的料理
[11:11] 你吃到全饱的话
[11:12] 那你可能之后的晚上
[11:14] 就不好受
[11:14] 所以再好喝的东西
[11:16] 可能下次就是适量就好
[11:17] 有些可能可以
[11:18] 分给隔壁的之类
[11:19] 反正你就是要
[11:19] 很舒服的回去
[11:21] 但其实舒服的回去
[11:22] 是对的
[11:23] 只是在隔天
[11:23] 我觉得还是有点太多
[11:24] 所以有上头
[11:25] 那个头就有点
[11:26] 不太舒适
[11:28] 希望下次可以
[11:29] 把这边修正好
[11:30] 反正整体来说
[11:30] 是一个非常令人
[11:32] 难忘的夜晚
[11:32] 是那一种就是我会跟自己的家人
[11:35] 或者朋友讲说
[11:36] 你知道发生什么事情吗
[11:37] 其实我很少这样子讲话的
[11:39] 但这个严重到
[11:40] 就是我一直跟他
[11:41] 你知道发生什么事情吗
[11:43] 对所以可能真的是录了一个
[11:45] 蛮有趣的坑
[11:46] 希望这样子的热情
[11:47] 可以持续的维持下去
[11:48] 大概这样子
[11:49] 好那接下来我们来进入上话题
[11:50] 那这个礼拜就是
[11:51] 台湾的年度大盛会computex
[11:54] 那我自己在没有去
[11:56] 我是可能预计在明后天左右
[11:58] 才会去现场稍微的拜访一下
[12:00] 那这次没有意外的话
[12:01] 也会先在最关键的四楼
[12:04] 稍微再看了一下之后
[12:04] 然后再去看一下
[12:05] NVIDIA有没有要展示出
[12:08] 什么样的新的酷东西
[12:09] 像上次一样这样跟大家分享
[12:11] 目前就是只是看了一些
[12:13] 在Computek这边的演讲
[12:15] 各个CEO们去发表自己的一些想法
[12:17] 当然市场里面
[12:18] 我觉得最大的一个震撼点
[12:20] 就是在老黄讲说
[12:22] Maviel可能是下一个造源企业之后
[12:25] Maviel这一个
[12:26] 有点像是说大牛车的东西
[12:28] 突然间变成飞天神牛
[12:30] 直接射出去
[12:31] 那这个我们预期到
[12:32] 这个真的是没有办法预期到
[12:33] 那老实讲
[12:34] 目前我们去看Mario的话
[12:35] 你说他在DSP这边
[12:37] 是还蛮不错但是在ASIC这边我是觉得说他还在一个发展的道路上他没有办法像可能MediaTek或是像Broadcom是这么样的一个明确所以就是说老黄的喊盘能力还是非常的强大
[12:48] 基本上反正就是点石成金
[12:50] 他只要踢到谁
[12:51] 谁就有机会就喷上去
[12:52] 那这次也蛮好笑
[12:54] 他在他自己的背板上面
[12:55] 放上了几个台湾的餐厅
[12:57] 那不知道这几家台湾餐厅
[12:58] 会不会也点石成金
[12:59] 当然他本身就是名店
[13:01] 但搞不好因为他这样子
[13:02] cue了之后
[13:02] 大家就生意兴隆
[13:04] 那就促进一下实体生意
[13:05] 也蛮不错的
[13:06] 在Marvel的演讲里面
[13:07] 他最主要都是在强调
[13:09] 不管是在REC里面的一种伺服器的资料共同
[13:13] 或者是说跨REC到整个Data Center
[13:17] 甚至是Data Center跟Data Center之间的一个连线
[13:19] 反正他最主要的一个核心的概念就是
[13:22] 光是势在必行的一个发展方向
[13:25] 虽然NVIDIA这边是不停的强调说
[13:28] 只要是同线都还可以去使用
[13:30] 他们就尽可能去使用同线
[13:31] 但现在看起来光的一个成长的速率
[13:34] 跟未来发展的可能性
[13:35] 是持续的在拉大
[13:37] 从过去的Plugable
[13:38] 到现在CPU
[13:39] 已经算是
[13:40] 反正在市场里面
[13:40] 大家都是非常的熟悉了
[13:42] 虽然实际的贡献
[13:43] 还没有大量的进来
[13:45] 但看起来
[13:45] 就是从现在开始
[13:46] 特别是当这些演说
[13:49] 在后续的一些feedback
[13:50] 或在产业界
[13:51] 这边看到的东西
[13:51] 我们是发现
[13:52] 它已经形成一个
[13:53] 非常强劲的共识
[13:54] 所以有可能在后面
[13:55] 资金又会再一次
[13:57] 说不定就往光的方向去跑
[13:59] 只是你说
[14:00] Mario这样子喷
[14:01] 到底在喷什么
[14:01] 老实说
[14:01] 这已经超出自己的认知范围
[14:03] 那Maviel算是我自己已经挑战了好几次的标的
[14:05] 那在前面几次呢都算是失败了
[14:08] 反正就是有掌握到一些ASIC的案子
[14:10] 知道说可能会有贡献
[14:11] 但最后面都没有出去
[14:12] 那这次呢就是有成功的拉出去
[14:14] 那当然他相关的一些讨论都已经慢慢的见报了
[14:18] 所以其实在我本来心目中的假设是
[14:20] 他算是某个程度上的一反应
[14:22] 只是看可能要把估值推到什么地方去
[14:24] 那意外的就是在Invidia Jensen的一个价值之下
[14:28] 那就直接就拉出去了
[14:29] 所以很难说
[14:30] 股票有时候会有一些超出你想象的发展
[14:33] 那在NVIDIA的自己的发表会上
[14:35] 当然Vera Rubin这边
[14:36] 我们已经是算非常的熟悉了
[14:38] 我觉得也没什么好讲的
[14:39] 因为我们节目
[14:39] 其实在他们还在road map的时候
[14:41] 就已经持续的跟大家去做分享
[14:43] 那当然
[14:44] 现在可能拉出来比较特别的东西
[14:45] 就是DGX Spark
[14:46] 那这个东西也是大概
[14:47] 我们可能在一年前就有跟大家聊到
[14:49] 所以它其实严格上来说
[14:50] 它算是一个地眼的产品
[14:52] 就是N1X
[14:52] 那它的产品线上
[14:54] 我不知道现在的状况怎么样
[14:55] 因为后来就没有直接check
[14:56] 可是那时候知道的状况是有三条
[14:57] 那可能一个是高阶笔电
[14:59] 一个是初阶笔电
[15:00] 然后另外一个是测用
[15:01] 同一个晶片
[15:02] 他把它做了三种使用
[15:03] 有三种不一样的spec
[15:04] 目前就是把它端出来
[15:06] 说这个可能是Invidia
[15:07] 它从本来是offer GPU
[15:09] 然后到现在可以直接offer你
[15:10] 整台laptop的一个solution
[15:12] 这个有点算是
[15:14] 就是AIPC的第二次挑战
[15:16] 大家知道说
[15:16] 在前面一两年AIPC出来的时候
[15:18] 最后面是雷声大雨点小
[15:20] 这次我们就来观察说
[15:21] 经过了一两年的算力的堆叠
[15:24] 跟技术的加强
[15:25] 还有软体的优化之后
[15:26] 有没有可能在AIPC这边
[15:28] 产出新的可能性
[15:31] 也就是说大家可以用offline的方式
[15:33] 去滋用一些开源式的模型
[15:36] 最终可以帮你省下巨量的成本
[15:38] 最近我在写一篇Snowflake的文章
[15:40] 放在我的粉专上面
[15:42] 有吸引到Snowflake的员工
[15:44] 来跟我稍微分享一下
[15:45] 非常感谢这位兄弟的分享
[15:47] 简单来讲
[15:48] 现在的一个模式是这样
[15:49] 反正你是想说
[15:51] 这些像是大模型厂商
[15:53] 他们已经提供了很多算力的服务了
[15:54] 我们怎么还会需要一些软体的叠层
[15:56] 或是一些资料Data Lake
[15:58] 他最主要的做法是这样子
[15:59] 反正一个用户来Snowflake这边去做使用的时候
[16:02] 当他提出一个问题
[16:03] 这个问题可能就会传到大型语言模型这边去做处理
[16:07] 处理完之后当要去梳理跟爬资料的时候
[16:09] 就会用到他们自己本身的Datalag
[16:11] 跟他们里面内建的一个模型的使用
[16:14] 所以这一段的钱是他赚
[16:16] 前面那一段有点像是说是外包
[16:18] 他可能就只有抽一点点
[16:20] 去理解用户的语境或什么的
[16:22] 这个可能都还是由大型的语言模型去做
[16:24] 但是不排除未来有一天当今天
[16:28] 反正总之那个听众是这样跟我讲的
[16:30] 但这可能不一定每个人都认同
[16:31] 他的意思是说
[16:32] 目前开源模型大概就是落后
[16:34] 这些闭锁式
[16:35] 那种大型科技巨头的模型
[16:38] 大概是半年左右
[16:40] 所以半年以后就可以追上去
[16:42] 那当然现在AI的一个成长
[16:43] 像是指数型就非常的快速
[16:45] 所以其实半年是差很多
[16:46] 但你要想
[16:47] 当可能爬到某个Sweet Spot之后
[16:49] 说不定那样的一个功能
[16:51] 就已经是够绝大多数的
[16:53] 不管是个人或是企业去做使用
[16:55] 那当然更先进的
[16:56] 可能是那些Cutting Edge的
[16:57] 一些研究或者是最前端的马农会用到
[17:00] 但一般人可能不一定会需要用到
[17:01] 那时候这个剧本就是有可能成真的
[17:03] 也就是说我自己去使用我的地端模型
[17:06] 我就可以产出非常好的一个效果
[17:07] 那我就省下大量的token fee
[17:08] 或者说传输的费用
[17:10] 那我要做的是什么
[17:11] 我就是去买一台可能够好的
[17:12] 不管是地端的伺服器
[17:14] 或者是一台AIPC
[17:15] 可能就可以完成这样子的任务
[17:16] 那这个东西在两年前
[17:17] 其实是没有办法看到的
[17:19] 因为两年前的AIPC
[17:20] 那时候我就是买第一批的高通的笔电
[17:22] 那当时的心得是
[17:24] 这个东西是完全不成气候的
[17:26] 它在地端的一些使用上
[17:27] 基本上是不敷使用
[17:29] 它比较像是一个
[17:30] 有趣的好玩小谈资
[17:32] 可是是没有办法
[17:33] 拿到战斗中去操作的
[17:35] 那现在看起来是有机会
[17:36] 那这个可能要等我
[17:37] 再去搞一台新的笔电之后
[17:39] 帮大家稍微测试一下
[17:40] 跟大家说
[17:41] 现在我们距离终点
[17:42] 大概有多远
[17:42] 但是我觉得按照这样子的步调去推
[17:45] 然后像这个Snowflake
[17:46] 员工的一个反应
[17:47] 就是或许后面大家
[17:49] 就不用这么高度的
[17:50] 去仰赖这些Data Center
[17:52] 或者是说
[17:53] 这些最先进
[17:54] 最前端的一个模型
[17:55] 但是不代表他们的市场会不见
[17:57] 还是要强调
[17:58] 因为其实蛮多人在市场里面
[17:59] 思维都是比较偏向是零和的
[18:01] 一个起那一个就得死
[18:02] 那不是这样
[18:03] 它可以一起发展
[18:03] 就类似我们前面强调的光跟铜
[18:05] 但其实是一起成长
[18:06] 那当然光的成长性会好一点
[18:07] 那所以在这样的状况之下
[18:09] 就是你可以想象的是
[18:10] 之后的一些Agentic Service
[18:12] 如果是要走到比较前端
[18:14] 比较高阶的
[18:15] 那可能还是要走这个Data Center
[18:16] 那它用量可能还是会成长好几倍
[18:18] 但是有蛮多的使用
[18:19] 可能就会直接落到地端去做操作
[18:22] 那这样子的话
[18:23] 是不是有可能带动新一批的
[18:24] AIPC一个销量呢
[18:26] 那我们目前去看AIPC的话
[18:28] 当然你要去看所谓的概念股
[18:30] 就是有扯到的
[18:30] NVIDIA或者是说
[18:32] 像是MediaTek绝对是
[18:33] 也就帮他去做这个晶片的设计
[18:35] 那当然有些人就是很
[18:36] 眼明手快的
[18:38] 因为像说我去年去看
[18:39] Jensen Huang在演讲的时候
[18:41] 那当然他在会上就会提到
[18:42] 他们那时候是说
[18:43] 他们的办公室要设在哪吗
[18:45] 那市值跟南港
[18:46] 不知道他们有没有印象
[18:47] 反正北南
[18:48] 就那时候大家会赌这些资产股
[18:49] 那现在是变成说
[18:51] 大家看到他手上拿的笔电
[18:52] 是哪一个牌子
[18:53] 就直接冲进去锁掌亭
[18:54] 当下看起来
[18:55] 真的是非常的精彩
[18:56] 实际上我觉得
[18:57] 有没有办法去带动
[18:58] 这些笔电的OEM的话
[19:00] 可能要再观察一下
[19:01] 这个东西到底
[19:02] 在实物上的操作是怎么样
[19:04] 可是光一个题材的话
[19:05] 是有可能去帮忙
[19:05] 他们去做一些Rerate
[19:07] 在我们这边看到
[19:08] 目前AIPC里面的一些用料
[19:10] 都会是使用的比较好一点
[19:12] 不管是在晶片端附近
[19:14] 或是板子上面的一些材料
[19:16] 不管是上面的被动元件
[19:17] 或是各种元件
[19:18] 我们是有注意到说
[19:19] 都有一个材料的提升
[19:21] 所以就是有可能说
[19:22] 如果AIPC卖的蛮不错
[19:23] 我们所谓的蛮不错是说
[19:25] 就是相较于之前AIPC的销量
[19:27] 它稍微都有增速一点点
[19:28] 那它其实蛮有机会去offset掉一些
[19:31] 传统的笔电或是PC的一个销售的劣势
[19:34] 因为我们知道
[19:35] 其实今年手机跟笔电的状况
[19:36] 理论上都不会太好
[19:38] 但如果说AIPC可以拉起来的话
[19:39] 因为它本身的单价是比较高
[19:41] ASP是比较高
[19:41] 那里面用到的元件也是比较高
[19:43] 所以有可能就是随便举例
[19:45] 就一台可能可以抵
[19:46] 传统消费性能1.5台之类的
[19:48] 所以这个成绩如果好的话
[19:49] 那当然对市场来说
[19:50] 也是一个蛮大的刺激
[19:51] 那所以整体来看
[19:53] 我觉得这场演讲是还蛮精彩的
[19:56] 反正NVIDIA
[19:56] 他们确实是在过程之中
[19:58] 不停的去做演进
[19:59] 从一开始跟大家宣扬
