[00:00] 欢迎收听谷外,我是圣梦宫,本期节目由Ergotron赞助
[10:52] 我覺得開始有一些小作文出來
[10:54] 就大家一直想要去把CPU引導成為說
[10:57] 就以後你可能在一個Server Rack裡面
[10:58] 看到它跟GPU
[10:59] 或者是说ASIC的一个配置
[11:01] 会是1比1
[11:01] 但其实在我们自己的观察
[11:04] 都不会是1比1
[11:05] 可能好一点的就是2比1
[11:06] 还是2GEC之类的
[11:07] 或者4GEC
[11:08] 可能是蛮常见的一些配置
[11:10] 那所以呢
[11:12] 就是可能有些人想要炒股票
[11:13] 就想要把CPU的数量
[11:14] 喊到非常高
[11:15] 所以很多时候你在涨的时候
[11:17] 你会注意到说
[11:17] 市场都是全面性的好消息
[11:19] 会一直跟你讲说
[11:20] CPU用上会超级恐怖
[11:21] 可是明明前面
[11:22] 可能只有微微涨的时候
[11:23] 或是还没涨的时候
[11:24] 大家都没有在提这件事情
[11:25] 那这就是市场常见的一个状态
[11:27] 那我们来到讲我们的结论
[11:28] 就是一样
[11:30] 我们在可能
[11:31] 不管是还没喷之前
[11:32] 或是炸喷
[11:32] 我们的说法不会随便乱改
[11:34] 因为基本面是不会乱改的东西
[11:36] 你不会因为说行情变好
[11:37] 你他妈就乱掰一个东西出来
[11:38] 所以它不会是到one on one
[11:40] 就至少现在是看不到
[11:42] 所以一些想要把那个数字喊到很高的
[11:44] 我觉得是另有一些目的
[11:46] 但当然或许未来会有这样子的一个spec出来
[11:50] 但目前在一些主流的配置上面
[11:52] 是还不会看到
[11:53] hold your horses
[11:54] 就不要说什么
[11:55] 你现在看到这些东西
[11:56] 然後在什麼Intel噴個幾十趴衝進去
[11:59] 或是ARM衝進去
[12:00] 因為你看到這些小文章
[12:01] 就有機會會在短期內受傷
[12:04] 短期內是有機會受傷
[12:05] 但長期我們還是相信說
[12:07] CPU的趨勢目前看得出來說
[12:09] 它有機會只是一個剛啟動
[12:10] 就是有可能後面會走蠻遠的
[12:13] 只是不確定
[12:14] 所以還是要邊走邊看
[12:16] 那在TPU最近也開始有蠻多的討論
[12:19] 因為有TPU的8T跟8i
[12:20] 已經是發表出來了
[12:22] 那這些東西
[12:22] 老聽眾也是非常耳熟能詳
[12:24] 我們都已經聊到Humufix去了那個是他媽第九代的東西那第八代的東西就是Zebra跟Sunfish那現在算是正式的在一般的消費者或者投資人的面前看到就是沒有去挖消息的
[12:35] 可能就現在才第一次知道這些東西
[12:38] 那8T跟8i代表的東西
[12:40] 是Zebrafish跟Sunfish
[12:41] 也就是從聯發科
[12:42] 然後跟從Broadcom這邊去做設計的
[12:45] 那只是像我自己有一點點小miss
[12:47] 就是我本來一直以為說
[12:49] Training是Avago
[12:50] 是Broadcom去做的
[12:51] 那Inference才是MTK
[12:53] 後來發現我們身邊蠻多朋友的認知
[12:54] 跟我是一样的
[12:55] 那后来才知道说
[12:55] 原来Training是
[12:56] 这个Media Tech
[12:58] 那当然我们需要知道的事情就是
[13:00] 那到底Training跟Inference
[13:02] 它的占比是多少
[13:03] 那目前在一些产业里面的朋友
[13:05] 稍微问了几个
[13:06] 大概推论出来会讲说
[13:08] Training会比较多一点点
[13:10] 但其实有可能会趋近
[13:11] 是1比1这样的一个状态
[13:13] 那当然公司的后续
[13:14] 会怎么样布局
[13:15] 我们不知道
[13:16] 但反正不管它是Inference
[13:17] 或是Training
[13:18] 就知道说那个量
[13:19] 可能以目前来抓的话
[13:20] 你可以抓是差不多了
[13:22] 那所以呢
[13:23] 就可以有望看到MTK之后的一系列表现
[13:26] 那当然他在礼拜五又有一个涨停了
[13:27] 所以在短短的一段时间内
[13:29] 我们看到他三根涨停了
[13:30] 这个应该是很多人连想都不敢想的事情
[13:32] 那我也是非常感谢MTK的存在
[13:35] 非常感恩
[13:35] 但总之我自己在最近的一个调整是这样
[13:38] 就当然自己手上的持股
[13:40] 有去做蛮多的减码
[13:43] 为什么因为我必须要去腾钱出来
[13:45] 去买一个很重要的东西
[13:46] 那这个东西就是市场中的一个大象
[13:49] 每个人都知道的台积电
[13:50] 最近狂靠台积电
[13:52] 狂买
[13:53] 那我比较大部位的买
[13:55] 是在礼拜五
[13:56] 因为其实很多时候
[13:57] 我们这种就是
[13:58] 做交易的
[13:59] 我们还是会去看一下
[14:00] 就到底市场
[14:01] 要不要去反映某件事情
[14:02] 那我相信大家看新闻
[14:03] 已经有注意到说
[14:04] 金管会去调了一个
[14:06] 这个投信的持股上限
[14:08] 就以前可能单一类股
[14:09] 就只能够靠到10%
[14:10] 那现在你可以把它靠到25%
[14:12] 那这个法规
[14:13] 你可以简单的把它视为说
[14:15] 它是为台积电给设计的
[14:16] 因为符合条件的类股
[14:17] 就是台积电
[14:18] 那当然有些人会讲说
[14:19] 可能有些大型股也会适用
[14:21] 但我觉得那可能比较偏向是一个外溢的一个效果
[14:23] 当然现阶段呢
[14:24] 这个等于是解开了台积电的一个封印
[14:27] 就台积电在过往可能就是说
[14:28] 这些投信业者他们能够买
[14:30] 就是只能够买到10%
[14:31] 所以你会注意到有些ETF
[14:32] 他为了要把自己在台积电的exposure放大
[14:35] 他会怎么样
[14:35] 他去买别的ETF
[14:37] 那他去买别的ETF
[14:38] 有些人讲说是叠床嫁屋嘛
[14:40] 就在我看来
[14:40] 其实我本身也是比较不喜欢
[14:42] 就是说以通利来讲
[14:44] 他如果去做这样的事情
[14:45] 我是觉得不对
[14:46] 可是以台股的案例来讲
[14:47] 为什么他会这样做
[14:48] 是因为他想买更多的台积电
[14:49] 可是因为在法规规定上没有办法
[14:51] 所以他就去买一些ETF
[14:52] 那因为这些ETF里面有包台积电
[14:54] 所以他就可以把他的台积电的exposure拉高
[14:56] 那这件事情我觉得在后面
[14:58] 对市场的影响会非常大
[14:59] 就我有先大胆这样子猜
[15:01] 因为你也知道我们就是
[15:02] 反正做交易的
[15:03] 简单来讲就是说
[15:04] 反正我猜错我就会赔钱
[15:05] 那我也没有必要在那边
[15:07] 跟他哈拉一大堆的嘴炮
[15:08] 反正就讲自己
[15:09] 我实际上就这样做
[15:10] 那我就去分享我看到的东西
[15:11] 就像过往的节目
[15:12] 我现在看到CPU
[15:13] 我现在看到被动元件
[15:14] 有看到什么
[15:15] 那就实际上我们就是拿钱去压住
[15:16] 所以它某个程度上
[15:18] 当然都是会有一点点猜的味道
[15:20] 就像我把这些想法跟一些朋友讲
[15:22] 有些朋友有一个人讲说
[15:23] 听起来是很不错
[15:24] 但如果说外资到货怎么办
[15:25] 如果说后面可能开出来的guidance
[15:28] 不是太好怎么办
[15:29] 当然就是每个人都有各自的考量
[15:30] 这就是投资有趣的地方
[15:32] 如果说大家的想法都是百分之百一样的话
[15:34] 那市场就会收涨贴
[15:35] 因为就等于没有人卖东西给你
[15:37] 就是因为有人卖东西给你
[15:38] 他不看好他也卖
[15:39] 或者说他觉得就涨到这边
[15:40] 他才卖给你
[15:41] 所以市场有一些想法不一样是很正常的
[15:44] 那但这个东西你家看起来是他大幅的见报
[15:47] 就理论上这个感觉是一个人多的地方
[15:50] 但实际上我相信应该是蛮多人看到台积电家创高的时候
[15:53] 会想把自己的手上的东西丢掉
[15:54] 他就觉得说最近涨太快
[15:56] 然后想要把它丢掉
[15:57] 但其实我觉得这个资金跟政策面带的一个影响会是蛮大的
[16:01] 因为首先你先大概去计算一下目前的这些ETF
[16:04] 他们的AUM的数字
[16:06] 然后去套说假设他要把台积电买到25%的话
[16:09] 那你可以初算出来
[16:11] 他大概就是要买个十几万张
[16:12] 就是十万多张出头左右
[16:14] 那所以十万多张台积电
[16:16] 在市场里面算是一个很大的成交量
[16:19] 严格上来说其实还好
[16:21] 但搭配他的形态
[16:22] 就刚好在创新高的地方
[16:24] 那如果说有资金要一直去往上推
[16:26] 那如果说外资朋友
[16:27] 没有在这时候都骂耍白痴的话
[16:29] 那就有可能会把台积电
[16:31] 推到一个蛮高的位置
[16:32] 因为大家去补部位
[16:33] 那这个补部位
[16:34] 其实有一个非常强烈的动机
[16:35] 简单讲就是说
[16:37] 你现在如果去做这个基金的操盘
[16:39] 但我们不敢讲说每个都是这样
[16:41] 可是我们有认识一些经理人
[16:43] 或者说我们自己的朋友
[16:44] 有去间接认识一些经理人
[16:45] 其实大家都大概知道一个概念
[16:47] 简单讲就是说
[16:48] 你不可以脱钩大盘太远
[16:49] 如果说你的绩效脱钩大盘太远
[16:52] 当然你是往上的话是很好
[16:53] 如果说在盘整或是往下的时候
[16:55] 你离大盘越来越远
[16:56] 那你可能就会开始被靠背
[16:57] 你甚至会失去你的工作
[16:59] 你到底在干嘛
[17:00] 你怎么可以输给大盘这么多
[17:01] 所以他们想要去追求的一个
[17:03] 最简单的保守牌就是
[17:04] 台积电我一定要先买好买满吗
[17:06] 我买满10%的台积电
[17:07] 我某个程度上
[17:09] 我的走势可能就跟加权是有一点联动
[17:11] 接着90%就是我去拼我的选股
[17:14] 我现在告诉你说
[17:15] 台积电可以让你买到25%
[17:17] 而且台积电它很靠杯的一点
[17:19] 台积电它其实你放在AIP里面
[17:21] 它真的是一个便宜的股票
[17:22] 因为我们讲
[17:23] 其实明年的共识
[17:24] 大家已经算是可以算到140块去了
[17:26] 只是用明年
[17:27] 你知道说像很多AI股
[17:29] 它是在用2028 2029再去做反应
[17:31] 台积电它这么大的一个AI factory
[17:35] 那所有人都需要用到它
[17:36] 它竟然大家只敢用2028年的
[17:39] 可能就要说给它一个20倍
[17:41] 去给它一个估值
[17:42] 所以我们才会讲说140嘛
[17:44] 那你用20倍
[17:45] 那可能就是2800
[17:46] 所以于是你有机会看到台股去上4万点
[17:48] 这是我们前几集跟大家讲的一个论述嘛
[17:50] 那只是问题是
[17:51] 如果你今天有大量的资金
[17:53] 可以推进去的话
[17:54] 会不会对这个平衡去产生一个新的变化
[17:56] 这就是我们很好奇的点
[17:58] 所以像我自己去看的话
[17:59] 我现在就会去想假设
[18:01] 就像说像MTK现在也直接拉出去嘛
[18:03] 然后台积电也拉出去
[18:04] 那我们都很常跟大家讲说
[18:05] 你在上涨的时候
[18:06] 你不要去预设高点
[18:07] 因为有时候会涨到
[18:07] 你难以想象的一个剧情
[18:09] 那所以我们会进行上去
[18:11] 把心中的一个剧本
[18:12] 就像说我本来是给你20倍
[18:13] 我现在可不可以给你25倍
[18:14] 我可不可以给你30倍
[18:15] 我可不可以自己在心中
[18:16] 发一个比较高的一个target price
[18:18] 甚至我可不可以
[18:18] 直接给你给到2028 2029
[18:20] 因为我已经看得到
[18:21] 你在2028 2029的一个业绩了
[18:23] 那所以在这样的情况之下
[18:24] 我们就有机会去把
[18:25] 就是自己心目中的一个TP给上销
[18:28] 那当然这个TP跟券商的TP
[18:29] 理论上要有一定程度的差距
[18:31] 就像说如果券商的TP
[18:32] 都已经喊得比我自己心中想的TP来得高
[18:35] 那这个东西可能就没有买的必要
[18:36] 因为代表市场上
[18:37] 可能大家都充分预期了
[18:38] 所以我现在的想法就是
[18:39] 我认为会有大量的资金
[18:41] 会海进去台积电
[18:42] 那特别是在礼拜五的时候
[18:45] 因为礼拜五的时候
[18:45] 其实像我自己
[18:46] 或者我们身边有蛮多人
[18:47] 就是大家都在轰台积电
[18:48] 那就注意到说
[18:50] 在盘后其实投信只有买1000多张
[18:53] 这代表什么意思
[18:54] 就是理论上
[18:55] 大家要去买到上线的话
[18:57] 代表要10万张
[18:58] 那我们可不可以
[18:59] 我们今天不要抓这么紧绷
[19:01] 我们就抓可能五折就好
[19:02] 其实十万张都不一定是很紧绷的一个抓法
[19:04] 因为现在还有很多新的一目的ETF
[19:07] 一堆人都在买
[19:08] 现在整个市场大家超爱这种主动型ETF
[19:10] 所以其实一直有源源不绝的资金进来
[19:12] 但没关系我们先抓既有的
[19:14] 那就是跟你讲说
[19:14] 如果大家要到25%那就十万张
[19:16] 可是我不要抓十万张
[19:18] 我可以只抓五万张三万张就好
[19:20] 所以我可以看到投信拉到三万张五万张之后
[19:22] 我可能再去做警戒
[19:23] 如果后面转落我再把它除掉
[19:25] 其实我觉得完全是可以做的一个交易
[19:27] 所以在自己的心中
[19:28] 就会觉得真的是很难得
[19:30] 因为一般来讲
[19:31] 像会去买台积电
[19:32] 或者说可能大量的部位
[19:34] 跑去买台积电
[19:34] 一般出现在崩盘的时候
[19:36] 就是崩盘的时候
[19:37] 你知道说台积电是一个好灯塔
[19:38] 你会进去
[19:39] 或者说可能像台积电
