[00:00] 欢迎收听谷爱,我是孙梦宫,本集节目由尼谷青赞助
[02:43] 那也非常感谢
[02:44] 有像古来这样子一个节目
[02:46] 那可以让我去
[02:47] 把这些事情给分享出来
[02:49] 因为如果你自己在那边做的话
[02:50] 老实讲
[02:51] 力气就是没有这么大
[02:53] 那当今天有一个节目
[02:54] 那有一些听众
[02:55] 有一些支持跟相信你人
[02:57] 那大家一起在上面去做参与
[02:59] 一起去推广的话
[03:00] 其实我们的力量
[03:00] 是会大非常的多
[03:02] 所以非常感谢大家的支持
[03:03] 希望欢迎Ruby
[03:04] 可以开出非常好的成绩
[03:06] 也希望我们的下一款
[03:07] 暗花夜战
[03:07] 以及我们已经在
[03:08] 上市中的游戏
[03:10] 可以持续的在全球市场里面
[03:12] 去造成那种现象级的反应
[03:16] 就是真的很多事情
[03:17] 是超出我们想象的
[03:18] 我们没有想到说
[03:19] 我们喜欢的这些团队
[03:21] 他们的作品
[03:21] 我们当时就是觉得超棒的
[03:23] 可是哇
[03:23] 他们竟然可以红到国外去
[03:25] 或什么的
[03:26] 这个是想都不敢想的东西
[03:27] 那我们希望在
[03:28] 红颜露比也可以看到
[03:29] 这样子一个情形
[03:30] 我们希望可以看到
[03:31] 可能海外的一些
[03:32] 实况组跟直播组
[03:34] 会想要开箱这个作品
[03:35] 然后玩给大家看
[03:36] 那亦或是
[03:37] 我们也可以办一些抽奖
[03:38] 我们可以去提供给我们的
[03:41] 忠实听众CD key之类的
[03:42] 这个对我来讲都是小事情
[03:43] 如果可以让更多人来参与
[03:45] 其实是不错
[03:46] 因为我也觉得说
[03:46] 像最近的盘面比较辛苦一点
[03:48] 我自己有在想
[03:49] 就是可能多抽一点CD key
[03:50] 或是我可能
[03:51] 把家里的一些酷东西
[03:52] 拿出来抽给大家
[03:53] 就是让大家知道说
[03:54] 在市场回档的时候
[03:55] 你不孤单
[03:56] 其实老实讲
[03:56] 你要讲决定数字
[03:57] 我一定也是赔很多钱
[03:59] 因为大家在回档
[04:00] 都是不会好受的
[04:01] 那你一个人苦
[04:02] 但是想到有别人跟你一起苦
[04:04] 可能就没有这么痛苦
[04:06] 一个人苦会觉得好难受
[04:07] 可是其实在这样的一个市场
[04:10] 比较震荡的一个过程之中
[04:12] 还是要去注意好自己的身体健康
[04:14] 千万不要说什么炒股票炒到
[04:15] 整个人变得面目可证
[04:17] 或者说讲话是充满那种暴力之气
[04:20] 这个就是一个不好的现象
[04:22] 像最近有跟一个我们林口富爸
[04:25] 就是我们一个地方的好朋友聊天的时候
[04:27] 有讲到这件事情
[04:28] 其实我们最后面在做的事情
[04:30] 都是希望股票不要去影响到生活
[04:32] 那这个不要影响到生活
[04:34] 其实是很多层面的
[04:35] 大家都以为说
[04:35] 影响到生活一定是
[04:37] 你可能赔钱的时候
[04:38] 不一定
[04:38] 有可能是你今天是很赚钱的时候
[04:40] 然后你每天都只想要去搞更多
[04:41] 那就可能不知道
[04:42] 家人可能要带你出去
[04:43] 你说不要
[04:44] 我只要搞股票
[04:45] 我只要坐在盘前面
[04:46] 你明明到巴厘岛了
[04:47] 不要游泳
[04:48] 我只想在那边炒股
[04:49] 那亦或是说在回档的时候
[04:50] 那可能就开始去
[04:52] 想要去抠家人之类的
[04:53] 这个不要去了
[04:54] 那个我们之后再说什么的
[04:55] 但其实你知道你的震荡
[04:57] 早就已经可以完全的
[04:58] cover这些东西了
[04:59] 所以应该就是一人做事一人当
[05:01] 你知道说
[05:02] 反正我们身为父亲
[05:04] 绝大多数我们身边的丑子
[05:05] 也是爸爸为主
[05:06] 但也有一些地方人妻
[05:08] 也是非常厉害
[05:09] 只是我们这些地方爸爸阵线
[05:11] 就是要说
[05:11] 那种压力就是我们自己担在身上
[05:13] 当今天可能不好受的时候
[05:15] 像我就会找儿子来
[05:16] 跟他开个玩笑
[05:17] 说这边都是绿绿的时候
[05:18] 你要给爸爸一点空间
[05:19] 爸爸需要思考
[05:20] 他在他早上就问我说
[05:22] 爸爸今天是红色还是绿色
[05:23] 就蛮有趣的
[05:24] 但也不希望给他太多这样子一个认知
[05:26] 让他觉得好像是
[05:28] 今天假设盘面不好
[05:29] 就不要去惹他爸
[05:29] 没有就是让他知道说
[05:31] 他爸爸到底在做什么东西
[05:32] 那同时呢
[05:33] 让他稍微的了解一下
[05:35] 一切都是得来不易
[05:36] 可是同时我们不希望
[05:38] 让他感受到压力
[05:39] 好像说
[05:40] 就像我刚才前面讲到的
[05:41] 你一个人在那边搞股票
[05:42] 然后搞到全家跟着你一起
[05:44] 气氛变得很差
[05:45] 那或是说什么
[05:46] 你要跑到网上去发泄
[05:47] 像最近蛮多就是
[05:48] 回去抓一些地方老板来骂
[05:50] 这个我觉得也超怪的
[05:52] 因为老实讲
[05:52] 这一波回荡
[05:53] 你看一下韩股
[05:53] 你看一下美股
[05:54] 其实科技股很多都跌很深
[05:56] 三四成以上
[05:56] 那个叫基本
[05:57] 就是一大堆都跌这样
[05:58] 所以你专门去找几个老板来骂
[06:00] 甚至有些人发出那种生命威胁
[06:02] 你就要注意你一时的嘴丘
[06:04] 你可能就会导致
[06:05] 你后面有一些官司要吃
[06:07] 那在严格上来说
[06:09] 或者说退一万步来说
[06:10] 你知道这些东西
[06:11] 它year to date都非常多
[06:13] 所以怎么讲
[06:14] 就是他觉得要做股东
[06:15] 其实是赚钱的
[06:16] 那你为什么会搞到赔钱
[06:18] 甚至断头被扫出场
[06:19] 这个其实是要反省一下
[06:20] 自己的一些操作是不是有问题
[06:22] 其实我们在过往
[06:23] 也是一直去做这样的反省
[06:24] 然后后来再调整出
[06:25] 自己适合的一些方法
[06:27] 像我又跟大家分享说
[06:28] 其实老实讲
[06:29] 我以前就超喜欢开那种超大的杠杆
[06:31] 只是后来就发现说
[06:32] 每次在回档或怎么样
[06:33] 你搞到整个人蓬头垢面
[06:35] 压力超大
[06:36] 这个可能不是你要的一个生活
[06:38] 所以就慢慢的去做一些调整
[06:39] 只是当然
[06:40] 我过去跟大家讲这个
[06:41] 我说以前我是玩命之徒
[06:42] 然后发现说
[06:43] 靠北 杠杆2.5倍
[06:44] 根本不叫玩命之徒
[06:45] 叫小资保险组
[06:47] 因为它新一代的股名
[06:49] 2.5倍叫做优优班
[06:50] 没有人只开2.5倍
[06:51] 大家都开超大
[06:52] 可能像这一波的回档
[06:53] 一定就是蛮多
[06:54] 就遭受到了巨大的打击
[06:56] 其实你去看那种古奇盘前的变化
[06:58] 莫名其妙自己撞去跌停就知道
[07:00] 就有人又要跳楼又要断头了
[07:02] 那再来就是有一些那种追缴令
[07:03] 发出去或什么的
[07:04] 所以我能够说这个都是一种经验
[07:06] 就是你有发生过的人
[07:08] 你下次就会知道
[07:09] 我不能这样子
[07:10] 可是如果说你没有发生过
[07:12] 那人家跟你讲一万次
[07:13] 你也听不懂
[07:14] 就像说在我们节目
[07:15] 每次最乐观的时候
[07:16] 大家去回测一下
[07:17] 从2020年到现在都是
[07:18] 每次只要在多头的高峰的时候
[07:21] 全部人都在问我正愕
[07:22] 全部人都在问我说怎么样杠杆
[07:24] 怎么借更多钱
[07:25] 然后再来就是
[07:25] 像这波也很准
[07:26] 前面一个兄弟问我说
[07:28] 圈支投资
[07:29] 问完直接爆炸
[07:30] 所以你看我们圈支投资的指标
[07:31] 还是很准
[07:31] 每次真的是那种
[07:32] 就是大多头
[07:33] 然后开始有人在问圈支投资的时候
[07:35] 你就知道就是差不多了
[07:37] 可是我们也没有料到
[07:38] 会突然间这么快
[07:39] 所以其实这波算是杀得非常快
[07:41] 而且很有趣的现象
[07:42] 就像上几个跟大家聊到
[07:43] 其实大盘是没有什么洞
[07:45] 大盘叠不多
[07:45] 可是很多中小的叠要烂掉
[07:47] 你看台湾的贵买
[07:48] 或者说美国的一些那种小科技
[07:50] 其实蛮多都摔得很重很重
[07:52] 所以就是一个cautionary tale
[07:54] 那我觉得其实不需要太担心
[07:56] 因为严格上来说
[07:57] 这个我觉得它只是一个预言
[07:59] 因为后面一定会有更大的
[08:00] 就是大家真的只要摸住自己的软弹
[08:02] 跟自己的心脏
[08:03] 好好跟自己对话一下
[08:04] 后面那个更大的
[08:05] 你扛不扛得住
[08:06] 我们讲的并不是说什么
[08:07] 在接下来立刻要发生一些更大的
[08:09] 我们在讲说
[08:10] 因为按照我们的经验
[08:11] 循环就是长这样
[08:12] 小循环掉小坑
[08:14] 大循环摔大坑
[08:15] 那这波循环是
[08:17] 大家知道是超出大家想象
[08:19] AI太猛了
[08:20] 拉超级高
[08:21] 你看台子加4万多点
[08:23] 下一个回档一定是很惨
[08:26] 这个一定是非常惨的
[08:27] 所以大家要做好心理准备
[08:29] 就如果说像这样的一些小压力测试
[08:31] 就有办法让整个人爆掉
[08:34] 然后开始变成是一个怪人的话
[08:37] 那就注意说
[08:38] 如果真的来的时候
[08:39] 是有没有办法去扛住
[08:40] 希望大家都是有办法
[08:42] 希望大家都是抱持着
[08:43] 比较健康的心态
[08:44] 回归到最原本
[08:46] 可能就先前投资
[08:48] 不要开太大的杠杆
[08:49] 注重家庭跟生活
[08:51] 游士每次打个红颜鹿笔
[08:52] 玩个暗花夜战
[08:53] 然后玩一下
[08:54] 湘南资本有参与的游戏
[08:55] 当然湘南资本没有参与的游戏
[08:57] 大家还是要玩
[08:57] 希望大家多多支持
[08:59] 去找到生活的重心
[09:01] 这个非常重要
[09:02] 这真的非常重要
[09:03] 好那接下来我们来进入上个话题
[09:04] 最近的两天市场就开出了人道走廊
[09:07] 我们把它称为人道走廊的主因
[09:10] 是因为它其实在一些主要的均线下面
[09:12] 当然像台股其实有涨破季线
[09:14] 这个算蛮关键的
[09:15] 但是目前还是会把它视为
[09:17] 是一个比较紧接的阶段
[09:19] 为什么
[09:19] 因为当你反弹上来的时候
[09:20] 你就会碰到很多的军线
[09:21] 你就可以想象成说
[09:22] 就前面有一些那种套牢的麦芽
[09:24] 就会在这个时候把它丢出来
[09:26] 所以最好的状态是什么
[09:27] 就是它弹起来之后
[09:28] 洗一洗之后再继续进攻
[09:29] 那如果说你注意到自己的手上的东西
[09:31] 弹起来之后
[09:32] 它没有办法继续进攻
[09:34] 或是它弹起来弹不太起来
[09:36] 然后接着又再继续往下掉的话
[09:38] 那有可能它就在下一波的
[09:40] 朱裙里面就会落队了
[09:41] 那只是像现在这个盘面
[09:43] 我觉得它很困难的一个点是
[09:45] 基本上市场上的一些主流股
[09:47] 过往很强大的主流族群
[09:48] 除了像载板
[09:49] 今天是集体蛮多都涨铁
[09:51] 那个算非常强势之外
[09:52] 那很多的股票
[09:54] 你都注意到说
[09:54] 它形态已经有点像是说
[09:56] 就叠坏掉了
[09:57] 那即便是一些那种
[09:58] 大家耳熟能详的大名字
[10:00] 就像台湾的一些那种
[10:01] Power Egg超级大厂
[10:02] 那个反弹的力量
[10:04] 也都没有到很大
[10:05] 所以我就觉得说
[10:06] 这些东西是有机会
[10:07] 会进入一个休息的阶段
[10:08] 那要记得
[10:09] 他们其实并不是说
[10:10] 什么基本面不好
[10:11] 因为其实以下的角度是
[10:12] 我认为这接下来一段时间
[10:14] 是大家会看到
[10:14] 很多业绩会开出来的时间点
[10:16] 就连像可能过去
[10:17] 叠的比较深的被动元件
[10:18] 最近很多字节开出来
[10:19] 都是非常漂亮的年增
[10:21] 只是当然可能他撑不住
[10:22] 就是在过去
[10:23] 涨数倍这样子的一个压力
[10:25] 因为你涨多
[10:26] 大家就会开始去检查
[10:27] 你的基本面
[10:28] 可能就会校正回去
[10:29] 基本面该有的一个轨道之类的
[10:32] 但整体来说
[10:33] 我们应该是可以合理的去预期
[10:35] 在后面的
[10:36] 蛮多公司的成绩
[10:37] 都其实会接连的开出来
[10:39] 特别是VRubin开始要放量出货
[10:41] 再来可能像AMD
[10:43] 有一些事件要产生
[10:44] 因为他们要正式的去发表Venus
[10:46] 也就是它的SP7平台的CPU
[10:50] 在年底会有Oxtreme
[10:52] 也就是Intel的下一代的
[10:55] 不管是Diamond Rapids
[10:56] 然后或者是Clearwater Forest
[10:58] 它的CPU也都要去丢出来
[11:00] 所以其实有蛮多东西会接连的放量
[11:03] 不管是从NVIDIA这边的
[11:04] 大家比较熟知的GPU阵营
[11:06] 或者到AMD
[11:07] 它的GPU跟CPU
[11:08] 大家都非常关注
[11:09] 大概是一个2比3左右的出货量
[11:12] 他们所占的一个产值
[11:14] 可以这样子抓
[11:14] 那再来可能一些ASIC
[11:16] 都是有机会在接下来要放量
[11:18] 包含我们知道说Trenium系列也是
[11:20] 所以其实这些公司
[11:22] 有接触到他们的supply chain
[11:24] 或什么的
[11:24] 你都会知道
[11:25] 他接下来的营收就是会好
[11:26] 他就是会好
[11:27] 只是我们没有办法确认会不会涨
[11:30] 因为其实蛮多形态
[11:31] 一直跌到不好看
[11:32] 那我们是会去参考一些形态的人
[11:34] 就是像我自己的做法
[11:35] 会有点像是hybrid
[11:36] 我有一些架头的东西
[11:38] 但架头的东西不会是我的主轴
[11:39] 因为就算我今天有去架头
[11:41] 去蹲一些东西
[11:41] 但是我也会等到
[11:43] 他可能今天有突破
[11:44] 他心态变好之后
[11:45] 再去做更多的加码
[11:46] 那不然说可能像一个东西
[11:47] 如果我今天觉得
[11:48] 他是不是要开始出事情的时候
[11:49] 我也是这样看嘛
[11:50] 看月线撑不撑得住
[11:51] 季线撑不撑得住
[11:52] 撑不住那可能是把东西给太掉
[11:54] 所以即便我知道你的业绩很好
[11:56] 可能在后面
[11:56] 我一样会用不一样的态度去面对你
[11:58] 就直到你可能稍微的整理一下之后
[12:01] 那像他这个盘面
[12:02] 我认为其实蛮多人的心态
[12:03] 可能跟我差不多
[12:04] 特别是今天跟一些朋友
[12:05] 我们在差不多快收盘前的时候
[12:07] 有一些交流
[12:08] 然后发现说
[12:08] 怎么大家选的东西都差不多
[12:09] 因为大家在市场上
[12:10] 识别到强势族群都差不多
[12:12] 像最近的话
[12:13] 就是这些老AI重新的转强
[12:15] 我觉得老AI转强
[12:16] 它有一个蛮明显的逻辑
[12:18] 就是这些老AI
[12:19] 其实在过去
[12:20] 他们算是休息了
[12:21] 蛮长的一段时间
[12:22] 如果是在ODN这边
[12:23] 你注意到蛮多的4PR
[12:24] 大概就落在10倍左右
[12:26] 它就是一个10倍股
[12:27] 就是便宜
[12:28] 但是你不确定
[12:29] 它上涨的肉有多少
[12:29] 大家就还是会喜欢
[12:31] 因为现在大家都想去找一些
[12:32] 像我们跟大家提到的
[12:33] 有业绩有防守的东西
[12:35] 就大家心态
[12:36] 就那些聪明钱
[12:37] 基本上都是差不多的想法
[12:38] 因為開始知道說
[12:39] 這些高PER的東西被殺超兇
[12:41] 那我當然就閃去可能比較安全的地方但是我們可能也不完全會想要空手像我自己是不會去做空手那我們自己身邊蠻多朋友都是空手所以其實我也不太確定說如果這一波他真的就不小心這樣一路反彈衝出去的話
[12:53] 那這些人要怎麼樣追回來
[12:54] 可能就有點類似說前面有幾波是這樣
[12:56] 像今年的4月我覺得就算是
[12:58] 就其實當盤可能掉到季線的地方的時候
[13:01] 你就注意到身邊超多人就不玩的
[13:03] 可是後來就直接開出去
[13:04] 那開出去
[13:05] 可能開出去三天五天
[13:06] 他們都還是忍得住
[13:07] 最後面就一樣就忍不住
[13:08] 就會衝進來追
[13:09] 所以還是有可能
[13:10] 因为现在真的有蛮多资金
[13:12] 我知道他们不玩了
[13:13] 还是有可能
[13:14] 就假设大盘就持续的转强的话
[13:16] 然后最后面还是有一堆人在后面要追
[13:18] 然后又再一次有动能盘的产生
[13:19] 但是直到我们真的可以去识别
[13:22] 这样的一个机会产生之前
[13:23] 我自己还是会把它当成是一个区间盘去做操作
[13:26] 那后来就发现说
[13:27] 其实有蛮多的大资都在做类似的事情
[13:30] 反正就是在下跌的时候
[13:31] 先把钱闪进去指数
[13:32] 闪进去台积电
[13:33] 然后等到大盘回稳之后
[13:35] 就开始从指数跟台积电拿钱出来
[13:36] 然后看去买东西
[13:37] 那只像今天
[13:38] 我自己觉得比较小心一点
[13:40] 你说昨天要去抢快
[13:41] 还可以理解
[13:43] 因为可能是第一根
[13:44] 可是到了今天
[13:45] 你知道说谈起来
[13:45] 他会摸到一些大军线
[13:47] 我就在想说
[13:47] 如果今天是坐不住
[13:49] 然后把钱全部拷出来去追的
[13:51] 就是有机会在后面
[13:52] 又会吃到一些些的回答
[13:53] 假设盘没死的话
[13:54] 就是一些些回答
[13:55] 那假如说盘真的就挂掉的话
[13:56] 那可能就是一个蛮大的回答
[13:58] 好但目前我看
[13:59] 我会觉得还算是
[14:01] 没有到很悲观的一个情形
[14:02] 就算大盘的形态不好
[14:03] 但现在确实只有蛮多东西
[14:05] 都直接跌到便宜的价格
[14:06] 就這個價格可能是你在五六月是找不到的
[14:09] 就是蠻多東西是已經收斂回去
[14:11] 可能在我們的角度是你拿來做長投
[14:14] 或是你零股利都不會輸的一個價位
[14:16] 只是關鍵是當然這些東西便宜
[14:18] 可是便宜不代表有資金要去拉它
[14:20] 除非說你的心態就是來什麼存股
[14:22] 零股息之類的來長投的
[14:24] 不然如果你的目的是希望有人要拉它的話
[14:26] 你還是要注重一下型態
[14:28] 就是後面有沒有什麼一些事件可以把它推上去
[14:31] 那型態不能夠太差
[14:32] 他如果覺得說他已經掉到季線下面超級遠的
[14:34] 那个就是属于心态比较不好的
[14:36] 就算它有一些基本面
[14:38] 很多时候像这样的标的
[14:39] 我们会发现说
[14:40] 它会盘整个几个月之内
[14:41] 它就没有这么快
[14:42] 反正下月也像是说
[14:44] 就是大家各自带开表现
[14:45] 如果说你这个族群是有办法拉出去
[14:48] 然后上面的共识也够高的话
[14:49] 就有可能会吸引到
[14:50] 就是那些还是喜欢去做追高的人
[14:52] 就往这个方向去
[14:53] 然后一些可能比较中型大型的资金
[14:55] 我们自己有注意到说
[14:56] 往那种业绩股去跑的
[14:57] 其实他们的现行也就是慢慢的在改善
[14:59] 但是我自己会猜测
[15:00] 这些业绩股可能在喷的时候
[15:02] 就不会这么凶
[15:02] 因为上面的资金
[15:03] 就是不想要追高的
[15:05] 才过来嘛
[15:05] 那他们都不想要追高
[15:07] 所以就会变成
[15:08] 那到底谁要去
[15:08] 把这个价格推到更高
[15:09] 可能就是慢慢的去等
[15:11] 每一次的营收
[15:12] 每一次的财报
[15:13] 每一次的事件
[15:14] 把它推上去
[15:15] 会变成往这样的一个发展
[15:16] 所以后面呢
[15:17] 就除非这个大盘
[15:18] 从这边开始就沿路喷
[15:20] 然后去拉新高
[15:21] 那可能就再回到动能盘
[15:22] 但如果说没有的话
[15:23] 那可能就会开始
[15:24] 变成是比较累区间盘
[15:26] 然后再来就是中小
[15:27] 因为贵买指数真的是跌的
[15:28] 在我的角度是属于
[15:30] 比较不好看的
[15:30] 所以有机会
[15:31] 至少像身边朋友
[15:33] 最近在讨论
[15:33] 就是大家都是想要去
[15:35] 把钱从中小
[15:36] 然后可能移到一些
[15:37] 比较大型的股票去
[15:38] 所以才导致说
[15:39] 很多人去往一些老AI
[15:40] 先跑到那边去
[15:41] 知道这个地方可以防守
[15:43] 然后接着再去做调整
[15:44] 就跟类似说
[15:44] 今天注意到盘掉下来
[15:46] 蛮多人就会闪进去台积电
[15:47] 跟闪进去台子一样
[15:48] 反正就是找一些
[15:49] 这种相对便宜的东西
[15:50] 你知道说
[15:50] 就算一样要下去好了
[15:52] 我这东西可能下去
[15:53] 是一层五到两层
[15:54] 你高P的下去
[15:55] 三成到五成之类的
[15:56] 那我当然先躲在这个地方
[15:57] 然后再看换去哪里
[15:58] 所以市场的一些态度
[16:00] 我个人认为
[16:00] 现在是会长这样的一个情形
[16:02] 那在今天晚上
[16:03] 或者说明天跟后天
[16:05] 其实有蛮多事件会展开
[16:07] 那首先大家都非常期待
[16:08] Google的财报会怎么样开
[16:09] 那财报这边
[16:11] 我们是没有瞇到什么数字
[16:12] 或者说什么特别的东西
[16:13] 就是在过去
[16:14] 可能有时候会有一些东西
[16:15] 我们大概知道
[16:16] 市场有些猜测
[16:17] 但这一次我觉得
[16:18] 大家对于Google的财报预期
[16:19] 其实并没有到很高
[16:21] 只要他不是开负面的消息
[16:22] 那应该就是用一个
[16:23] Neutral的态度去看它
[16:25] 但是它昨天有一个新闻跑出来
[16:27] 就是他们有一个
[16:27] 什么Frozen V2的晶片
[16:29] 这个Frozen
[16:31] 是我们都没有看过的晶片
[16:32] 所以其实第一时间
[16:33] 大家就去调查说
[16:34] 它是什么东西
[16:35] 有些人说它可能是Marope
[16:36] 也就是TPU V10
[16:38] 有波通设计的
[16:39] 可能对外的名字叫Frozen
[16:40] 可是有些人说
[16:41] 它应该是Marvel的那一颗晶片
[16:43] 我们之前跟大家分享说
[16:44] Marvel有一颗叫做TIA的晶片
[16:45] 其实这块有箭报
[16:46] Information S也有把它写出来
[16:47] 我们就有直接公布了
[16:48] 那这颗晶片的全名就是
[16:50] TPU Inference Accelerator
[16:52] 它就是一个
[16:53] 算成是TPU Family裡面的某一種
[16:56] 可能在推論的加速晶片
[16:58] 那它目前應該是沒有被編代啦
[17:01] 就是它沒有像可能像HUMU跟ICE是V9 V10嘛
[17:04] 然後可能你去類推博通的話
[17:06] 就是Wildfish Triggerfish
[17:08] 然後跟後面的Marope
[17:09] 那這可能是比較屬於那種正規軍啦
[17:11] 反正就是一個是訓練一個是推論
[17:13] 那這個Frozen或是我們把它稱為是TIA
[17:16] 我們現在認為是同一顆啦
[17:17] 當然如果有錯的話歡迎大家來糾正我
[17:19] 那這一顆應該就是由Marvel去做設計的那一顆
[17:23] 就是专门去for inference加速使用
[17:25] 可能是内部的某一些AI应用去做的晶片
[17:27] 那我们知道说Google其实在这有开一些有趣的晶片
[17:30] 那只是这些有趣的晶片
[17:31] 不然说像昨天这个新闻出来
[17:33] 蛮多人就说可以去关注Google
[17:35] 我自己的想法是应该不是关注Google
[17:37] 因为这个对Google来讲就是一个可能自用的晶片
[17:40] 就算它后面会拿出来卖
[17:41] 那那个营收占比也是小到可以忽略
[17:43] 所以它比较不会是一个需要去关注Google的题材
[17:47] 而是你要去关注说谁做这颗晶片
[17:49] 可是这个晶片
[17:50] 就是像我们自己的节目已经在
[17:52] 很久以前就已经跟大家猜完这些东西
[17:53] 所以你要知道
[17:54] 就市场一堆人都知道
[17:55] 所以一堆人都知道的东西
[17:56] 有没有办法去造成一些催化
[17:58] 我就会去抱持一个问号
[18:00] 但还是得讲
[18:02] 就是确实是有蛮多东西
[18:03] 一开始它是一个偏向是消息面先拼先
[18:06] 然后后来就是用实质的营收
[18:08] 去做最后的决战
[18:10] 就是最后面的储存段
[18:11] 可能还是由实质的营收去带出来的
[18:13] 所以有机会就是可能
[18:14] 虽然这个东西对我们来讲是一个老梗
[18:16] 但假设后面开始对一些公司
[18:19] 或者说相关的components有贡献的话
[18:21] 说不定就会再一次的
[18:23] 变成市场的某一种题材
[18:24] 所以以Google这件来讲的话
[18:26] 因为它在模型方面
[18:27] 又稍微的软掉一点
[18:28] 那一样大家又开始去骂说
[18:29] Google没有东西
[18:30] 还是得稍微提醒一下大家
[18:32] 反正说可能在AI时代
[18:33] 蛮多人的智力
[18:35] 或者说
[18:36] 不要讲智力不好听
[18:37] 就是记忆
[18:38] 虽然这样好像也不好听
[18:38] 对就是变得很短
[18:40] 然后就喜欢到处去笑人家
[18:41] 然后前面笑Enthropic
[18:42] 然后笑OpenAI
[18:43] 然后现在笑Google
[18:44] 后面又要变成再去笑别人之类的
[18:46] 因为大家都是轮流的
[18:48] 不停的端出很屌的东西
[18:49] 然后去击败大家的预期
[18:51] 所以我觉得他可能就是在一个深蹲的阶段
[18:53] 那还是蛮相信说他整个目前
[18:55] ecosystem做起来是非常非常有机会的
[18:58] 所以就等看Google开什么样的成绩
[19:00] 我们再跟大家聊
[19:01] 那再来另外一个事件
[19:02] 就是AMD有一个Advancing AI 2026
[19:04] 他会在今天跟明天旧金山的
[19:07] 某一个地点去举行
[19:09] 那重点会是放在第二天
[19:11] 也就是Lisa Su的一个keynote
[19:13] 那大概是台北时间的凌晨12点半左右
