[00:00] 欢迎收听谷外,我是星梦宫
[02:23] 去控制自己的体重
[02:24] 虽然我老婆都讲说
[02:25] 这个是作弊
[02:26] 拜托你有一点骨气好不好
[02:28] 你就去运动
[02:29] 你就不要那么爱吃饺子
[02:30] 但对我们这种人来讲就很难
[02:32] 因为我人生的抒压
[02:33] 可能就只剩下打电动跟吃东西
[02:35] 所以如果你不让我吃东西的话
[02:36] 我很忧郁
[02:37] 像自己身边的朋友
[02:38] 有跟我聊到说
[02:39] 他自己也有去试了瘦瘦针
[02:41] 但他很快的发现说
[02:42] 他喝酒就会想吐
[02:44] 然后吃东西的时候
[02:45] 就是没有任何的食欲
[02:46] 所以他就觉得
[02:47] 他过了非常忧郁的几个礼拜
[02:49] 然后就决定要自行停药
[02:51] 那同时他也发现说
[02:52] 他自己瘦下去的都是肌肉的部分
[02:55] 那脂肪就还好
[02:56] 但是他的同事呢
[02:57] 那可能就瘦了蛮多的脂肪
[02:59] 那所以呢
[03:00] 我也去持续的使用体脂剂啊
[03:02] 去追踪一下说
[03:03] 到底自己掉的是哪一块
[03:04] 那目前看下来呢
[03:05] 就体重是稳定的往下摊
[03:07] 那肌肉量都有维持
[03:08] 那自己身边也有一些大哥
[03:11] 那种年纪稍长的
[03:12] 他们也是有在使用这个蒸汽的
[03:14] 那有跟我提醒说
[03:15] 你还是要一直去运动
[03:16] 就这个东西打下去之后
[03:18] 他们身边有蛮多朋友都会不想要运动
[03:20] 就是你整个活动力会下降
[03:21] 那可能跟那个欲望下降有关系
[03:23] 因为像医师有跟我讲说
[03:24] 你的性欲会掉下去
[03:25] 有点像说性欲掉下去
[03:26] 好像也没差
[03:27] 因为小朋友都剩两个了
[03:28] 那总之呢
[03:29] 我发现我自己还是有这个运动的动机
[03:32] 就时间到都还是会想去动一下
[03:34] 或是去上各种有氧的课程
[03:36] 那所以目前算是适应的蛮好
[03:39] 但搞不好到第三针第四针
[03:40] 我的说法也会有所修正
[03:42] 就像我现在在第二针
[03:43] 那我的说法就跟第一针比起来
[03:45] 就是我现在食欲大概就在往下掉了
[03:47] 大概十到二十把
[03:49] 十两啦
[03:50] 食欲还是非常的强大
[03:51] 所以大概跟大家分享自己的一些人体的计时
[03:54] 这个礼拜市场就还是蛮机歪的
[03:57] 我觉得虾的股票就真的算是很难做的一个状态
[04:01] 特别以美股又比台股还难做
[04:03] 所以大家可能会想说
[04:04] 已经天天挨了两三个月
[04:05] 但如果说真的在市场里面有参与的
[04:07] 就会知道说我们这些挨都是有道理的
[04:09] 因为虾的盘面真的是属于比较难搞的一个状态
[04:13] 同时在这个周末
[04:15] 就是在刚才要录节目之前
[04:17] 我看到说在五角大厦这边
[04:19] 他们有一个Pizza Tracker
[04:21] 那什么是Pizza Tracker呢
[04:22] 就是他们会去追踪一下
[04:23] 附近的披萨店下的流量状态
[04:25] 那只要开始发现说
[04:27] 很多人在订披萨
[04:28] 那代表说美国可能又要有新一波的动作
[04:30] 因为大家要留下来
[04:31] 要熬夜
[04:32] 要在办公室不能离开
[04:34] 所以就会叫披萨
[04:34] 那所以搞不好在这个周末
[04:36] 又会再出一些状态
[04:38] 那我们目前看在
[04:39] 荷姆斯海峡与伊朗的一个战斗之中
[04:41] 就是美国目前是又调了两架飞机
[04:44] 一个是F-15
[04:45] 然后另外一个是一个地面攻击机
[04:47] 那F-15这边我们就有注意到说
[04:49] 有一个pilot已经被救回来
[04:51] 那另外一个武器官
[04:51] 还在搜索的一个状态
[04:53] 那现在最新的资讯是怎么样
[04:54] 我还不太确定
[04:55] 但总之是有这样的一个发展
[04:57] 那所以某个程度上
[04:58] 我觉得可以视为说
[04:59] 因为以美国来讲
[05:00] 他们现在最大的压力
[05:01] 一定是在于说
[05:02] 他们战事或者说
[05:03] 他们装备的一些减损跟伤害
[05:05] 那这些东西
[05:06] 只要传回国内的话
[05:07] 可能都可以闹到很大
[05:09] 那也开始注意到
[05:10] 国内的一些
[05:11] 就之前算是pro-Trump的意见领袖
[05:13] 就像是Joe Rogan
[05:14] 或像是T.L.Van
[05:15] 在他们的访问里面都有提到说
[05:17] 就他们是反对这个战争
[05:18] 但有时候我觉得这种事情很好笑
[05:20] 就是我觉得每个人这样
[05:22] 术业有专攻
[05:23] 所以像我们自己可能会去评论一下说
[05:25] 可能现在的一些政治的决策
[05:27] 跟我们的股票的关系在哪
[05:30] 可是我不会去评论
[05:31] 就是可能我自己不是特别理解的东西
[05:33] 但我发现就是有很多的网红
[05:36] 他们之所以后面会走偏调
[05:37] 或不一定是网红
[05:38] 他可能也是专家
[05:39] 专家兼网红
[05:40] 但他们就是捞过界
[05:42] 他们就整天想去评论一些
[05:43] 自己不知道的东西
[05:44] 那周边可能觉得一笑大方
[05:46] 或者说就格局不够
[05:47] 格局不够看到的东西
[05:48] 就会是可能你只想看到
[05:50] 你面前的一个东西的发展
[05:52] 可是你不知道就big picture
[05:53] 为什么我们要这样子做
[05:54] 所以我自己下载满买单
[05:56] 就像美国这样的一个
[05:57] 当然有些人会说
[05:58] 它是什么侵略行为
[05:59] 或什么的
[05:59] 但我认为它有点像是
[06:01] 我最近看Bill Ackman
[06:02] 转贴一个贴文讲说
[06:03] 这有点像是说
[06:04] 你在可能日本去偷袭珍珠港之前
[06:07] 就先去打日本
[06:08] 类似这样的一个道理
[06:10] 然后或是在希特勒
[06:11] 可能准备要去弄波兰的时候
[06:13] 就先去弄它
[06:14] 我会觉得这个东西我算是还蛮买单的一个主因
[06:17] 是因为当你看到伊朗遭受美国攻击之后
[06:21] 然后他的反击对策就是疯狂的去轰周边的盟友
[06:24] 即便这些盟友可能有一些跟他们关系是很好的
[06:26] 他就去轰他
[06:28] 所以你就可以很明白的去了解到美国的顾虑
[06:31] 或者说周围一些盟友的顾虑是完全合理的
[06:34] 就如果说他遭受攻击他有压力的时候
[06:37] 他就会去做出这样子的一个反应
[06:39] 然后他可以无差别的去轰他隔壁的一些国家
[06:43] 即便有些跟他是盟友
[06:44] 或是甚至他会去轰一些
[06:45] 可能对大家来说
[06:47] 是在生存上必要的一些设施
[06:49] 那这样是不是
[06:50] 如果他今天去持有核武的话
[06:52] 他就是有可能他遭受压力的时候
[06:54] 或是他今天心情不好的时候
[06:56] 他就会去发动攻击
[06:57] 那更别提说在整个中东地区
[06:59] 其实我们会知道说
[07:00] 有很多的
[07:01] 就是在我们的角度看来
[07:02] 是作乱的一些团体
[07:04] 像什么真主党
[07:05] 或是什么胡锡主治之类的
[07:07] 那这些东西
[07:08] 其实都是跟伊朗是高度绑定
[07:09] 高度相关的
[07:10] 所以某个程度上
[07:11] 我也认为说
[07:12] 就是美国有点像是说
[07:13] 他自己先提早去把这个卡在喉咙的鱼翅给拔掉
[07:17] 那如果说后续是往一个好的方向发展
[07:21] 就是说他真的去把伊朗的
[07:23] 可能做出核武力的这件事情给delay个
[07:26] 不知道他妈的可能数十年之后的话
[07:28] 那就代表说可能后面会迎来更好的一波
[07:31] 那种和平的怎么讲就无战争
[07:34] 然后跟发展的时期
[07:36] 应该是会往更好的方向
[07:37] 那如果说他没有这样子做的话
[07:39] 那当然就是代表说平行时空
[07:41] 你会注意到可能油价就不会涨
[07:43] 那就不会有什么股市的修正
[07:44] 但可能未来某一天
[07:46] 就突然出一个大事之类
[07:47] 所以有点像是
[07:48] 就是大家很常会去讨论的
[07:50] 你到底是要先提早享受你的生活
[07:52] 还是你要在后面
[07:53] 再享受你的生活
[07:54] 它没有一个绝对的对错
[07:56] 只是如果今天是让一些
[07:58] 所以KOL或是一些专家
[07:59] 跟网红去做评论
[08:01] 他们可能只会评论到
[08:02] 他们面前的东西
[08:03] 你现在就是让我的价格涨上去
[08:05] 我就通膨就不爽
[08:07] 或什么的
[08:07] 但如果说你去看
[08:08] 更大的一个地平线的话
[08:11] 你就看远一点的话
[08:12] 你就会知道说
[08:13] 其实这个事情本身
[08:14] 它某个程度上是化解
[08:15] 未来很多的不确定性
[08:16] 所以我自己会认为说
[08:18] 就下了痛苦
[08:18] 就是把它扛过去之后
[08:20] 应该后面会有更好的一个发展
[08:22] 那当然不排除
[08:23] 就是像我们跟大家聊到的
[08:24] 如果这个油价持续维持在高档
[08:26] 然后后面又再持续往上开
[08:28] 又再突破新高的话
[08:30] 那真的可能会产生一些
[08:31] 可能像是订单的中止或什么的
[08:34] 那到时候就是有机会
[08:35] 出一个比较大的回档
[08:36] 那到时候我们可能也会
[08:37] 再去修改自己的一些策略
[08:38] 但现阶段都还是把它视为
[08:40] 是某种程度的
[08:41] 就是大格局上的
[08:42] 多头的回档来看待
[08:44] 但如果说后面持续破底
[08:45] 然后跟油价持续破高
[08:47] 那可能想法
[08:48] 就会再去做一些转变
[08:49] 策略也去做一些变化
[08:51] 那所以我们节目的分享
[08:52] 其实是比较偏向
[08:53] 因为我们的工作
[08:54] 就是在市场里面去做交易
[08:56] 去找各式各样的产品
[08:57] 来做拼凑跟组合
[08:58] 那所以我们比较不喜欢
[09:00] 去当一个预言家
[09:01] 就跟大家讲说
[09:01] 未来一定会怎么样
[09:02] 因为未来是含不准的
[09:04] 那像我自己
[09:05] 就像说在2022的时候
[09:06] 一开始我也相信
[09:07] 乌克战争不会打
[09:07] 就很多人其实都这样相信吧
[09:09] 那后面就打了
[09:09] 那很多人就去争说
[09:11] 到底你有没有猜对乌鲁战争打不打
[09:12] 但那其实真的不是重点
[09:14] 就像是你有没有猜对
[09:15] AI会在2023去做一个爆发
[09:18] 根本不是重点
[09:19] 你猜对so what
[09:20] 就如果你猜对是在2017就猜对
[09:22] 那你在2017就疯狂去做
[09:23] 所有的AI相关的东西
[09:24] 你就不会赚钱嘛
[09:25] 那所以其实猜对并不是重点
[09:27] 重点是说事情发生之后
[09:28] 怎么样去做处理
[09:29] 那才是一个重点
[09:30] 所以我们的焦点
[09:32] 不会放在如何去做预判事件上
[09:34] 而是如何的去在事件发生之后
[09:37] 去做处理
[09:37] 那即便你可能会看起来
[09:39] 慢一点或怎么样
[09:40] 好但这个也算是一个老生常谈
[09:42] 就是你很常会在一些
[09:43] 股票讨论区看到人家讲说
[09:44] 那个标的
[09:45] 他为什么什么涨了
[09:46] 10 20%他来讲
[09:47] 或是说什么
[09:47] 哪一家券商
[09:48] 他已经什么涨了
[09:49] 20 30%之后
[09:50] 他来发报告
[09:51] 这个就是格局的问题
[09:52] 因为涨20 30%
[09:54] 他后面可能可以涨200%
[09:55] 涨500%
[09:56] 甚至涨到1000%去
[09:57] 那只是他没有涨之前
[09:59] 你怎么知道他会涨
[10:00] 所以这个是一个
[10:01] 可能会有一点偏向是
[10:03] 大家要去思考的一个东西
[10:04] 但我知道其实蛮多
[10:05] 刚入门的人
[10:07] 他都会觉得说
[10:07] 东西他就是要买在最低档
[10:09] 但凭什么你买在最低档
[10:10] 凭什么内部人
[10:11] 那些不会买的比你更早
[10:12] 就很多人都想要去
[10:14] 怎么讲不劳而获
[10:14] 但世界没有这么单纯
[10:16] 大概这样
[10:17] 好那这个礼拜
[10:18] 我自己还是持续的
[10:19] 去做更多股票的布局
[10:20] 那在美股这边
[10:22] 我开始把注意力
[10:23] 放在CPU相关的一些标的
[10:26] 那虽然其实像这样子的讨论
[10:27] 大概已经在过去的
[10:29] 三到五个月左右
[10:30] 有持续的发酵
[10:31] 但我自己还是会去看
[10:33] 这个股票的形态
[10:34] 作为一个辅助
[10:35] 特别是当我最近注意到像是ARM
[10:37] 像是Intel像是AMD
[10:38] 他们算是在美股市场里面是相对比较硬的东西
[10:42] 或是说如果你今天转头看一下台湾的话
[10:44] 你看一下3533
[10:45] 佳泽他就是跟CPU Socket是高度相关的一个标的
[10:48] 这些东西都算是相对强势
[10:51] 但台股强势的东西其实很多
[10:52] 所以看美股比较准
[10:53] 就是在美股就像说像光通
[10:55] 然后或者像是CPU
[10:56] 他们现在是走的相对比较好
[10:57] 所以有可能他们就是带有一些故事性
[11:00] 我们先大概简单讲一下
[11:01] 他这个背后故事性的理由跟主因是什么
[11:05] 首先大家都是非常明白在AI的训练时代
[11:07] 就是如果说你有更大的GPU的重集
[11:11] 你有很多的Racks
[11:12] 然后你有大量的GPU晶片
[11:14] 就代表说你可以产出更好的一个训练效果
[11:17] 这个已经是共识
[11:18] 这已经是完全不用去做争论了
[11:20] 但今天我们已经走到Agentic AI的一个时代
[11:23] 也就是说过去我们跟AI的一个对话
[11:25] 会比较像说它是一个Chatbot
[11:26] 那我就跟你问某个东西
[11:28] 那你就回答我某个问题
[11:30] 那这个在GPU的使用方面是无庸置疑的
[11:33] 反正就是谁的GPU大
[11:34] 可能就可以带出更好的一个表现
[11:35] 但如果说大家最近有在使用
[11:37] 比较新的或者说
[11:38] 所谓的Agentic AI
[11:40] 就是现在大家在AI的应用上
[11:42] 应该注意到说
[11:43] 他们会花很多时间在reasoning
[11:44] 然后他会有很多
[11:45] back and forth的东西
[11:47] 他会有很多in and out的东西
[11:48] 东西跑进来跑出去
[11:49] 接着是不是要换另外一种工具
[11:51] 然后以及
[11:52] 是不是要去执行某个程式
[11:55] 要去查哪一些资料库
[11:56] 是不是要去发API
[11:57] 要去解析一下各种输出
[12:00] 这些东西其实都算是
[12:01] 在CPU的工作范围里面
[12:03] 所以你可以把它想象成说
[12:05] GPU它算是场上一个非常强的球员
[12:08] 你叫他去砍分
[12:09] 他就疯狂的给你砍分
[12:10] CPU就比较偏向是教练
[12:13] 就在旁边去做指挥的
[12:14] 在过去的一段时间
[12:16] 就有点偏向是
[12:17] 我们身为在旁边看球的人
[12:19] 我们就是直接
[12:20] 因为类似下棋
[12:22] 我就把比较强的球员摆上去
[12:24] 谁的球员大就可以去
[12:25] 无脑砍出更多的一个表现
[12:27] 可是如果今天让整个工作流
[12:29] 是变得更加的复杂的话那就需要有一个指挥调派的过程那這個指揮調派会使用到大量的一个CPU如果说我们今天去看一下国外的一些论文跟讨论的话
[12:40] 会发现说
[12:41] 就像说如果你今天只是去跟一个Chatbot对话
[12:44] 或是你要去做训练的话
[12:45] GPU它史上的力大概会跑到80到90%以上
[12:49] 接下来才会是CPU或是其他的元件
[12:52] 可是如果今天走到Gentik AI
[12:54] 去使用大量的
[12:55] 就是有很多的Input跟Output
[12:56] 以及可能要去传唤API
[12:58] 或者是去梳理跟执行程式码的话
[13:01] 我们会注意到CPU它发的力甚至可能会过半
[13:04] 就是会跑到更多的一个用量去
[13:07] 所以在过去一阵子
[13:08] 其实有蛮多人都已经在呼吁说
[13:10] 在接下来我们就要开始去注意CPU
[13:12] 直到我觉得某一件事情是
[13:14] 确立了这个趋势的发展
[13:16] 就是你在NVIDIA最新的展会上面看到说
[13:19] 它直接端出了CPU的HOREC solution
[13:22] 就整个REC都是马上直接帮你塞好塞满CPU
[13:24] 同时Meta就是用户之一
[13:26] 所以大家就开始注意到说
[13:28] 在所谓的推论
[13:29] 或者说Agentic AI的
[13:30] 这个时代上面的
[13:31] 那CPU它其实变成是
[13:33] 从本来的配角
[13:34] 然后算是
[13:35] 变成是某个程度上的一个主角
[13:37] 但我觉得说
[13:38] 也不用说捧黑彩饼
[13:39] 因为很多人的论述方式都喜欢
[13:41] 就像说像这个GPU很好的时候
[13:42] 他就说CPU是个垃圾
[13:44] 那CPU现在好
[13:44] 就说GPU不行臭掉
[13:46] 没有
[13:46] 就是说大家都是同时的发展
[13:47] 那只是在现在这个阶段
[13:49] 那未来的阶段
[13:50] 我们确定未来可能会再翻转
[13:51] AI时代什么东西都改变得太快
[13:53] 那现在这个阶段
[13:54] CPU就是一个重点的项目
[13:56] 那过去几天就花了一些时间
[13:58] 跟身边的朋友去讨论一些
[13:59] 沙盘推演
[14:00] 就稍微的去了解看看
[14:02] 有没有可能在CPU这边
[14:04] 也出现一些缺货涨价的可能性
[14:06] 或是一些意外的发展
[14:07] 那什么叫做意外的发展呢
[14:09] 据来说大家都知道说
[14:10] AI最缺的是什么HBM
[14:11] 然后再来什么ESSD
[14:13] 就没想到CSSD可能在某段时间
[14:15] 它涨幅是超级恐怖的
[14:16] 然后是超越ESSD
[14:18] 那再来就是大家以为说
[14:19] HBM是一个最缺的东西
[14:21] 那它应该是在毛利
[14:22] 或者说整个价格组合表现上面最好
[14:24] 就没有
[14:24] 这个表现最好其实是DRAM
[14:26] 所以是有可能会有这样的一个状态产生
[14:28] 就是当大家可能都把目光放在server的CPU的时候
[14:31] 那有没有可能consumer的CPU
[14:33] 就是在大家一面倒的不看好之下
[14:36] 因为大家都知道说
[14:36] 像今年的不管是手机笔电或什么
[14:39] 都已经是开了一个非常烂的focus
[14:41] 就大家都知道说它出的那个量不会是好的
[14:43] 那会不会反而在这样的状况之下
[14:45] 突然间给你一个sexy back
[14:46] 所以我们就去看了各式各样的一个可能性
[14:50] 那我自己一般去找题材做研究的时候
[14:52] 都会是发想于可能自己的某一种想象
[14:55] 或者说我可能看到了一些报道
[14:57] 然后可能看到了一些论文
[14:59] 或是一些讨论
[15:00] 他们提到了某一个事实
[15:02] 那就用这样子去做更多的分析
[15:04] 可是如果要去做确认的话
[15:06] 那就会去看一下
[15:08] 就是各地的公司派
[15:09] 他们现在的说法是怎么样
[15:10] 因为他们是业界第一线的人
[15:12] 我觉得这个对于我们股票仔来说
[15:14] 是还蛮重要的
[15:14] 为什么
[15:15] 因为股票仔很多时候会过度的sugarcoat
[15:18] 就是你很喜欢某个题材
[15:19] 你去查了一下
[15:20] 发现说他在技术方面是真的很好
[15:22] 或者说论述方面是正确
[15:23] 可是最后面却发现
[15:25] 你可能买进的标的不会涨
[15:26] 为什么
[15:26] 因为第一个你可能看的是
[15:28] 未来的某一种RD roadmap的东西
[15:31] 就是你看的太早
[15:32] 因为你可能觉得说
[15:33] 这是很酷的东西
[15:33] 就类似说大家想说量子电脑量子电脑
[15:36] 可能五年前十年前就有人跟你讲量子电脑
[15:38] 可是直到可能过去的一两年才成功炒股票成功
[15:41] 但如果说你太早买的话
[15:42] 那一样是不会赚到钱
[15:44] 或者是真正的放量
[15:45] 可能在未来的某一天之类的
[15:47] 但不会是现在
[15:48] 所以我们蛮常都会在自己可能去做了一些研究
[15:51] 发现说有戏之后
[15:52] 然后我就会去看一下
[15:53] 现在可能在企业端这边
[15:55] 大家是怎么样去看
[15:56] 首先我有看到Lisa Su
[15:58] 也就是AMD的执行长
[16:00] 她有提到说
[16:00] 在Agentic的工作流里面
[16:02] AI Agent执行大量的任务
[16:04] 它其实都是传统的CPU的任务
[16:07] 同时在Intel的CFO这边
[16:08] 有看到她讲说
[16:09] Misjudge the pace of demand
[16:11] 也就是说他们错估了
[16:12] CPU的一个需求
[16:14] C6目前的产能是
[16:16] Absolutely constrained
[16:17] 就是是屌缺的
[16:18] 然后在NVIDIA这边
[16:20] Jensen也有提到说
[16:20] 未来会有更多独立的CPU的部署
[16:23] 所以你看了一下玉三家
[16:25] 就可以确定说
[16:26] OK CPU的trend绝对是正确的
[16:29] 只是它会是怎么样的一个受惠的形式
[16:32] 是由谁会拿下胜利
[16:34] 首先如果我们今天来看玉三家的话
[16:36] 就会知道说
[16:37] 在X86方面
[16:38] AMD其实是慢慢的去吃掉
[16:40] 应该不能说慢慢
[16:41] 其实蛮快的
[16:41] 去吃掉Intel的一个市场
[16:43] 但两边如果说是在
[16:45] CPU的一个AI训练潮之下
[16:48] 都还是有可能会持续的去做增长
[16:50] 就即便可能AMD这边
[16:52] 它吃掉了蠻多的失戰
[16:53] 但不代表說Intel不會增長
[16:55] 就是說一起增長
[16:55] 可能就是AMD的成長性
[16:57] 會稍微的再好一點
[16:58] 特別是在Intel這邊
[16:59] 我沒有看到它在NVIDIA的DGX
[17:01] Robin NVL8的HOS CPU上面
[17:04] 是有一個舞台的
[17:07] 它是有一個空間跑出來的
[17:09] 所以會覺得說這兩家
[17:10] 應該都是有機會會一起受惠
[17:12] 同時大家可能去看到CPU好
[17:14] 就會去直覺想像說
[17:16] 最主要在做GPU的NVIDIA
[17:18] 會不會受到很大的影響
[17:19] 但因為它本身是有
[17:20] 像它最新的Vera Rubin的平台
[17:22] 它是有88核的ARM架构
[17:24] 然后搭配自研的Olympus核心
[17:26] 所以它本身是有Vera的CPU
[17:28] 那Vera的CPU
[17:29] 看起来也是有获得客户的一个采用
[17:31] 所以它本身
[17:32] 你某个程度上也可以视为说
[17:33] 它是一个CPU相关的类股
[17:35] 那只是在我们自己过往的经验之下
[17:37] 就是有时候我们在去挑选一些标的的时候
[17:39] 我们会喜欢挑纯度高的
[17:40] 也就是它如果在过去曾经某个理由
[17:42] 把它拉到很高的一个位置
[17:44] 然后它现在有一个新的故事
[17:45] 那新的故事不一定会推得动它
[17:47] 那反而是过去可能机器很低
[17:50] 配这个新的故事
[17:51] 那也因为它的纯度是比较高
[17:53] 所以它其实会推的比较高
[17:54] 所以我自己去做一个组合的话
[17:56] 我认为说
[17:56] 就假设今天要看CPU的话
[17:58] 应该还是会先回到
[17:59] 去看AMD跟Intel
[18:00] 那NVIDIA呢
[18:01] 可以把它当成是
[18:02] 就你知道这个CPU的数字
[18:03] 会往上拉
[18:04] 那可能整个模型
[18:05] 可以去做一些初步的调整
[18:07] 那再来呢
[18:08] ARM可能也是一个
[18:08] 在市场上
[18:09] 大家可以去注意的一个标题
[18:11] 那首先我们先不去谈它的估值
[18:12] 因为这估值绝对是非常难算的
[18:14] 但同时呢
[18:15] 我们知道ARM的伺服器市占率呢
[18:17] 从大概2018年的时候
[18:18] 是低于5%
[18:18] 到现在2025年
[18:19] 是已经跑到20到25%
[18:21] 甚至在就是这个CSP里面
[18:24] 也就是Hyper Scalar里面
[18:25] 是占比跑到了50%左右
[18:27] 特别在一些ASIC方面
[18:28] 也有很多的应用
[18:29] 就像是AWS的Graviton第五代
[18:31] 或是Google的Axian
[18:33] 或是Azure的Cobalt 200
[18:34] Empire等
[18:35] 他们都是有在使用
[18:36] 自研的ARM CPU
[18:37] 所以ARM也算是相关的
[18:39] 一个肋骨之一
[18:41] 所以接下来的一个观察重点
[18:43] 就是以我自己
[18:44] 以这个市场操作者的角度来说
[18:46] 就是如果说我持续的看到
[18:47] Intel跟AMD
[18:48] 往上走的话
[18:49] 那可能就是在建仓之后
[18:51] 会再去做更多的一个加码
[18:53] 那估值方面
[18:53] 可能不会是我考虑的一个重点
[18:55] 先以题材的方面去做一个布局
[18:57] 那接着再看后面的发展是怎么样
[18:59] 那如果说它是
[19:00] 就要说它可能突破了一阵子之后
[19:02] 然后开始出现一些跌破拉回的话
[19:04] 就停止加码
[19:04] 因为可能这个题材就是压错
[19:07] 或者说它其实没有像想象中的这么好
[19:09] 但我们目前去看一些
[19:10] 可能像是海外的一些言调
[19:13] 或者说论文
[19:13] 就要说像Georgia Tech
[19:14] 有出了一个论文
[19:16] 那他就是提到说
[19:17] CPU在Agentic的工作流里面
[19:19] 占总延迟的比例
[19:20] 是跑到了50到90几趴左右
[19:22] 也就是CPU已经变成是一个瓶颈
[19:24] 或是像是康奈尔大学的研究
[19:26] 也有提到说Agentic AI的CPU占比
[19:28] 是很高的
[19:29] 在传统AI可能是只有到10%左右
[19:31] 可是到Agentic AI
[19:33] 是有机会跑到4到5成左右
[19:34] 所以应该是可以确立
[19:36] 这个趋势是没问题的
[19:37] 只是到底会贡献多少
[19:39] 会发酵多少
[19:40] 可能还要看后续产能
[19:41] 是怎么样去做表现
[19:42] 因为我们知道说
[19:43] 现在其实在AI的一个
[19:45] 很大的瓶颈之一
[19:46] 就在台积电这边
[19:47] 台积电它的瓶颈之一
[19:48] 就是在无城市这里
[19:50] 所以就算你想要有更多的产能
[19:52] 你也不一定拿得到
[19:53] 会不会可能最后面变成说
[19:55] 是CPU跟GPU要去抢产能
[19:57] 那抢不抢得到那也不一定
[19:59] 所以可能还有蛮多的变数要去观察
[20:01] 但是至少自己会开始观察看看
[20:03] 然后再来就是
[20:04] 在这个礼拜也开始去物色一个新的族群
[20:09] 因为我们知道说在中东这边
[20:11] 有两家旅场被炸到了
[20:13] 所以我们注意到旅价
[20:14] 开始去突破波段的一个新高
[20:16] 那铝价的一个历史新高
[20:18] 是落在2022年左右
[20:19] 那按照目前的态势
[20:21] 就算中东这边去供应铝
[20:23] 大概是落在十几趴左右的
[20:24] 一个全球的产量
[20:26] 但这样的一个供需的破口出来之后
[20:29] 那还是有可能会对全球的铝价
[20:31] 造成一些影响
[20:32] 为什么
[20:32] 因为目前铝呢
[20:33] 它其实在市场上面
[20:35] 算是一个非常被需要的原料
[20:38] 特别是我们在过去去看的一些公司的
[20:41] 可能在原物料的分析上面
[20:42] 他们就有提到说
[20:43] 像是这个谈电
[20:44] 那或者说像是旅店
[20:46] 都是目前在市场上面是
[20:48] 算是可以被归类在
