[00:00] 歡迎收聽古埃,我是聖夢宮,本期節目由Backbone贊助
[03:36] 就知道說
[03:37] 現在有多少散戶在裡面追
[03:38] 他們有一段時間
[03:40] 差不多是一兩個月前
[03:40] 就在講說散戶都不見了
[03:42] 然後現在說散戶都回來了
[03:43] 所以這邊給大家參考一下
[03:44] 就現在市場真的是非常的熱
[03:46] 當然開年很熱的話
[03:48] 對我們來講
[03:49] 我們就是怎麼說
[03:50] 我們跟市場分析是一樣
[03:51] 就是我們可能僅次於
[03:52] 你老媽最擔心你的人
[03:53] 心中會想一下說
[03:54] 提早漲的話
[03:56] 會不會後面就漲完的
[03:57] 那如果不漲
[03:58] 你也在那邊靠背說
[03:59] 都沒有漲的話
[04:00] 那會不會今年臺股的市場輸起來
[04:02] 所以不管好壞
[04:03] 都會有很多的想法在背後
[04:05] 但確實我們這邊開始有一些說法是說
[04:07] 第一季就要這樣子噴的話
[04:08] 那會不會後面就死於一整年
[04:10] 不知道
[04:10] 反正到時候再來跟大家做分析跟討論
[04:13] 但目前還是覺得說
[04:14] 就是目前開年的氣氛是很好了
[04:16] 那整個市場上呢
[04:18] 也有很多新的資訊出來
[04:19] 包含像在CES上面
[04:20] 不管是老黃或者是蘇媽
[04:21] 都有丟出很多新的東西
[04:22] 所以呢
[04:23] 還是祝福大家
[04:24] 在新的一年都會很順利
[04:25] 因為新的故事有持續出現
[04:27] 我覺得就不是什麼太大的問題
[04:28] 那市場瘋狂的時候呢
[04:30] 如果說你發現你賺輸別人的話
[04:32] 也不用擔心
[04:32] 因為我在這邊直接跟大家承認說
[04:34] 開年至今
[04:35] 我就連大盤都沒有打贏
[04:36] 那很多那種什麼滿手記憶體啊
[04:38] 滿手面板的
[04:39] 他們應該都已經是不知道贏了幾條街
[04:41] 所以非常恭喜他們
[04:42] 但對我們來說
[04:43] 這就是一個短期的狀態
[04:44] 希望後面也可以持續的追上
[04:47] 最近在市場上面
[04:48] 有蠻多新的話題的產生
[04:51] 我們先來講盤面
[04:52] 最近的盤面
[04:53] 像今天我覺得是一個
[04:54] 蠻關鍵的時間點
[04:56] 為什麼
[04:56] 因為今天的加權指數
[04:57] 其實根本就沒有什麼動
[04:58] 它其實就是一個0.46%的跌幅
[05:01] 貴買這邊甚至創了新高
[05:03] 可是今天的股票
[05:04] 有很多有趣的現象
[05:05] 就是過往我們認為是市場top pick
[05:07] 也就是
[05:07] 怎麼說
[05:08] 反正你知道法人公司超高
[05:10] 然後你隨便去問一個市場仔
[05:11] 或者說產業仔
[05:12] 他們都跟你講說
[05:12] 這些公司沒有問題
[05:13] 常多的
[05:14] 不然像什麼建策
[05:15] 茂聯
[05:16] 或者說二三四五
[05:18] 志邦
[05:19] 然後再來臺光電等等
[05:21] 就在今天都出現重挫
[05:23] 那前幾天呢
[05:23] 7769
[05:24] 就是很多人手上的制服股
[05:25] 宏進
[05:26] 他也是出現了一個跌幅
[05:27] 雖然那個是
[05:28] 蠻奇怪的事情
[05:29] 就上上傳一些小作文
[05:31] 然後後來被證實是假的
[05:32] 但這些就是所謂的
[05:33] 很多法人跟市場大戶們的
[05:35] 共識的股票
[05:36] 那在這幾天呢
[05:37] 我們都看到有這個
[05:38] 跌幅的出現
[05:39] 所以這其實蠻神奇的
[05:40] 因為這些東西在過往
[05:41] 被視為是一種那種不敗的象徵
[05:44] 就它只會一直往上
[05:45] 那當然有可能說
[05:46] 他們這次跌一跌之後
[05:47] 之後又繼續往上
[05:48] 只是說他們同時在那邊摔的話
[05:49] 就會覺得說
[05:50] 是不是市場又再一次的進入某種
[05:52] 又要去做轉換的階段
[05:54] 過去的一些主流股會不會開始
[05:56] 有些人要提款
[05:57] 要去做新的佈局
[05:58] 這是我們在接下來會想要觀察的
[06:00] 那一樣
[06:01] 如果說你今天是用各種基本面的角度去看的話
[06:03] 現在很多時候我覺得在短線上
[06:05] 去拿基本面去講故事會很奇怪
[06:07] 像今天茂林在跌
[06:09] 然後有些人就在講說
[06:10] 那是因為灰達要去使用Cabless的Design
[06:12] 那如果有聽我們節目就知道說
[06:14] 這個我們可能至少在半年前
[06:15] 或者更早以前就跟你講過這件事情
[06:17] 所以它根本就不是什麼新鮮事
[06:18] 那再來就退一萬步而言
[06:20] 就算是Cabless的Design
[06:22] 可是它其實跟帽簾是沒有關係的
[06:24] 為什麼
[06:24] 因為帽簾做的東西
[06:25] 從頭到尾都不是In-Rack的Cable
[06:27] 它做的是要伸出去的那種Cable
[06:29] 那In-Rack的Cable的話
[06:31] 是像是Evanol這樣
[06:32] 可是Evanol你說它有大碟嗎
[06:34] 好像也沒有看到
[06:35] 所以就是變成說
[06:36] 市場會去為一些東西強找理由
[06:38] 這個也是我們很常看到的
[06:40] 當然有可能是
[06:41] 傳了大概一兩年以上的
[06:43] 就是說有可能有一個
[06:44] second supplier會進來
[06:46] 這個當然我們不排除
[06:47] 它有可能是真的
[06:47] 但反正就是在下跌的時候
[06:49] 就像我跟大家長期講的
[06:51] 每次下跌就有很多人
[06:52] 拿鬼故事出來嚇你
[06:53] 所以其實長期持有一些標的
[06:55] 根本就不容易
[06:56] 很多人都以為說
[06:56] 長期持有可能是很簡單的
[06:58] 很無腦
[06:58] 沒有
[06:58] 因為其實每次的壞訊息
[07:00] 你就要做出你當下的判斷
[07:01] 你到底要繼續持有
[07:02] 還是你要賣
[07:02] 所以它其實本身
[07:04] 就是一個不容易的事情
[07:05] 再來在臺光店這邊
[07:07] 當然也是跟輝達
[07:08] 是有關
[07:09] 因為大家最近在傳說
[07:10] 就是本來會用的
[07:11] 那種M9材料
[07:11] 就沒有要用了
[07:12] M9可能用M8
[07:13] 那有些講說用M8的
[07:14] 可能用M7之類的
[07:15] 反正就是在規格提升方面
[07:17] 可能是有一點
[07:18] 不如市場的預期
[07:18] 可是這一點又有點奇怪
[07:20] 因為舉例來說
[07:20] 你說沒有要用M9的話
[07:22] 可是M9有些是要去搭配
[07:23] 那個石英砂做使用的
[07:24] 但石英砂的肋骨又沒有疊
[07:26] 反而只有臺光電愛疊
[07:28] 所以就變得邏輯上
[07:29] 還是有一點奇怪
[07:30] 因為理論上如果要砂的話
[07:31] 應該是兩個都要一起砂之類的
[07:33] 所以在我自己的認知會認為說
[07:35] 有可能就是像我所提到的
[07:37] 因為他這些股票
[07:38] 基本上他像前陣子
[07:40] 就是我的一個集中的持股
[07:41] 就是說我本身就是會去
[07:43] 同時拿這些東西
[07:44] 其實很多人跟我一樣
[07:45] 很多法輪圈的人
[07:46] 或是一些市場更大戶的人
[07:48] 他們也會做類似的事情
[07:49] 因為這些東西的成長性
[07:50] 太明顯擺在那邊
[07:51] 所以他們也會去持有這樣的股票
[07:53] 瞬間突然一起轉向的話
[07:54] 有可能就是一個資金偏好的變化
[07:57] 或許有部分是因為基本面所致
[08:00] 可是我覺得可能不完全是因為基本面
[08:02] 所以是要跟大家講一下想法
[08:03] 那最近有類似這樣子的東西產生
[08:05] 就他一天之後就馬上洗臉
[08:06] 就是Google的OCS
[08:08] 在前陣子有傳出一個
[08:10] 就市場的鬼故事
[08:11] 那我們知道說
[08:12] 其實最近市場
[08:13] 他有一個很明顯的節奏
[08:14] 就是氣筒轉光
[08:16] 就是說同相關的股票
[08:17] 其實都表現得不太好
[08:18] 那在光的方面
[08:20] 就是像是Lumenton
[08:21] 或者說Cohen
[08:21] 在過去是非常的強勢
[08:23] 那可是在前陣子
[08:25] 也出現一個重殺
[08:26] 那這個重殺
[08:26] 就是市場上就有
[08:27] 馬上有去傳出一些
[08:28] 怎麼樣小作文跟小故事
[08:31] 提到說
[08:31] 因為在Google的V9
[08:32] 他們可能會去使用Switch
[08:34] 所以因為這樣
[08:34] 有機會就去降低OCS的一個使用
[08:37] 但當然這個很快就被一些產業人士給打臉
[08:40] 說反而可能會不減反正
[08:42] 因為在這個更多的Switch的一個使用之下
[08:45] 它其實要把本來一些比較小的Pod
[08:48] 從同線也變成是要往光的方向去走
[08:51] 所以就認為說Google在未來光的用途上
[08:55] 只會越來越多
[08:56] 用量也會越來越大
[08:57] 所以反而OCS的交換器就越用越多
[09:00] 立刻的本來是先重甩
[09:01] 然後接著又直接拉回去了
[09:03] 所以有些市場上的
[09:04] 所謂的小作文
[09:05] 很多時候會造成這樣
[09:06] 短期一個漣漪
[09:07] 但我們不排除
[09:08] 這幾隻強勢股
[09:09] 今天這樣子跌
[09:10] 可能是一種短期的現象
[09:12] 只是同時還是跟大家去
[09:13] 分享另外一個可能性
[09:14] 就是市場一些資金
[09:15] 要變換的那一些
[09:16] 過往的時間點
[09:17] 我們也是有注意到
[09:18] 這樣的一個狀態
[09:19] 然後到時候就會看
[09:20] 市場新的主流變成誰
[09:21] 舊的這些主流
[09:22] 並不是說它就會就此下去
[09:24] 或什麼
[09:24] 它可能就是變成橫盤
[09:25] 這是有機會的
[09:26] 所以這可能就等到
[09:27] 後面再來觀察
[09:29] 那在這個禮拜一個比較大的事情
[09:31] 就是NVIDIA去正式的宣佈
[09:33] 他們的VR Rubin說已經是Full Production
[09:35] 那這個Full Production應該講的是
[09:37] 在講說晶片端這邊是Full Production沒錯
[09:39] 那只是要等到後段去上線的話
[09:41] 應該大概是要等到26年的年中以後
[09:43] 才會發生
[09:44] 那像這個VR Rubin
[09:46] 在什麼效能的提升上
[09:47] 我們不去做太多討論
[09:48] 但是我們去拉一個老黃講個重點
[09:50] 它Transistor可能是多兩倍
[09:52] 可是它的效能可能是多十倍
[09:53] 這代表什麼
[09:54] 就代表說其實他們認為的摩爾定律
[09:56] 搞不好已經掛掉了
[09:57] 現在重點是什麼
[09:58] 現在重點是我們要去用
[09:59] Hole Rack的一個solution
[10:01] 包含說搭配我們各式各樣的
[10:03] 新的晶片
[10:04] 新的線材
[10:05] 新的Rack的設計
[10:06] 散熱等等的
[10:07] 然後讓它的效能
[10:08] 可以在每年都持續的進步
[10:10] 即便某的定律
[10:11] 可能已經是稍微的軟掉了
[10:13] 沒有這麼大的力氣了
[10:14] 可是我們的東西
[10:15] 還是可以維持
[10:16] 每年數倍的一個成長
[10:17] 那就是在我們Hole Rack的
[10:19] 一個掌握度
[10:19] 是非常好的狀況之下
[10:21] 所以這個我覺得重點
[10:22] 就是說在後來的硬體
[10:24] 這Invidia他們所喜歡的物件
[10:27] 不然說採用的一些solution
[10:28] 可能都是後面會持續成為主流的東西
[10:31] 所以未必就是說
[10:32] 像大家去想象的
[10:33] 硬體可能到某個階段會告一個段落
[10:36] 然後開始去轉向一些軟體的應用
[10:38] 說不定有些硬體會持續的進行著
[10:39] 因為那是新的某種摩爾定律的意思
[10:42] 這個大家可以稍微的參考一下
[10:44] 然後再來他有提到一個東西
[10:45] 蠻有趣的
[10:45] 就是我們不去針對VR去做太多評論
[10:47] 因為我們早在數個月
[10:49] 甚至快要一年前就已經跟大家去聊過
[10:51] 因為市場就是這麼變態
[10:52] 接下來我們可能會提早就跟大家討論
[10:54] 費曼這個架構
[10:55] 費曼明明就還沒有出
[10:57] 可是我們會提早先講
[10:58] 那一樣的道理
[10:58] 因為VR都已經去做過評論
[11:00] 所以我們就評論
[11:01] 它所提出來的
[11:02] 我們還不知道
[11:03] 然後是新的東西
[11:04] 有一個叫做
[11:05] NVIDIA Inference Context Memory Platform
[11:07] 我們先把它稱為是ICMS
[11:08] 就直接拿它的
[11:09] 每個開頭的字母
[11:11] 去做一個簡寫
[11:12] 這個ICMS
[11:13] 你可以把它想成是
[11:15] 由Bluefield晶片去驅動的
[11:17] 某種儲存節點
[11:18] 就是說
[11:18] 從過往的NVIDIA
[11:20] 我們知道它強調的東西
[11:21] 是除了它的
[11:22] Compute Power之外
[11:23] 那後來呢
[11:24] 他們自己採購了這個大量的HBM
[11:26] 那或者是說
[11:27] 在一些CPU的DRAM的使用上
[11:30] 這些我們都已經把它視為是
[11:31] NVIDIA它的盤中孫
[11:33] 就它自己已經是掌握好的東西
[11:35] 那只是它現在想要把它的觸手呢
[11:37] 就是更進一步的
[11:38] 從這個computer的東西
[11:40] 然後跑到Switch
[11:41] 然後接著呢
[11:42] 甚至連Storage這邊
[11:43] 它都要去參與手
[11:44] 那也就是我們後來是有機會
[11:46] 看到一些NVIDIA的DPU Storage Server
[11:49] 就是說這個Server的大腦
[11:51] 應該就是由它的Bluefield DPU
[11:53] 去驅動
[11:53] 那裡面的storage
[11:54] 當然還是大家認知的
[11:55] 傳統的那些SSD
[11:57] 只是說我們還不能確定的是
[11:58] 就是它這一些
[11:59] DPU的storage SSD
[12:01] 是不是要NVIDIA certify
[12:03] 就是它要qualify
[12:04] 做的東西
[12:04] 才可以去做使用
[12:05] 還是說它是某一種通用規格
[12:07] 那你只要有採購到NVIDIA的DPU
[12:09] 都可以去做一個整合的
[12:10] REC之間的連線去做使用
[12:12] 這個我們還沒有辦法確定
[12:14] 但是我們有一點點的蛛絲馬跡
[12:16] 我們在
[12:16] 昨天有跟大家分享的一張圖片
[12:19] 那張圖片
[12:20] 就是有人去CES的現場拍出來的
[12:23] 接著眼尖的臺灣人們就發現了奇怪了它Switch Tray左下角有一塊板子這塊板子上面有一個非常熟悉的名字他中間有一塊SSD那這個SSD的Controller是Pfizer
[12:35] 那Pfizer是誰
[12:36] 就是Pfizer Person
[12:37] 他們那個取名就是群聯
[12:39] 群聯的Controller怎麼會出現在NVIDIA的Switch Tray裡面
[12:43] 這個就讓大家感覺到非常好奇
[12:45] 那當然我們也去做了一點點的挖掘
[12:47] 有錯的話歡迎大家編導
[12:49] 因為這些東西基本上都不是公開資訊
[12:51] 都是要去做挖掘才會知道的
[12:53] 那這個Controller就是由群聯所出貨
[12:56] 那後面那兩塊NAND
[12:57] 我們不知道是哪個廠商所提供
[12:58] 但是因為群聯自己沒有做顆粒
[12:59] 所以應該是群聯去做採購的一些
[13:02] 不知道就NAND的顆粒
[13:03] 然後把它組上自己的Controller之後
[13:05] 然後交給NVIDIA這邊打板在上面
[13:07] 那當然這個對群聯來說
[13:09] 就是一個非常大的力度
[13:10] 就代表說他自己已經做進去NVIDIA裡面了
[13:12] 那當然這一塊東西就引起我們的好奇
[13:14] 我們就想知道說那到底怎麼樣運作的
[13:16] 那就我們理解
[13:17] 它上面的那個NAND的顆粒是TLC顆粒
[13:20] 可是他是把它做成說是PSLC什麼意思
[13:23] 就是他要去模仿SLC顆粒
[13:25] sudo SLC顆粒
[13:27] 那本來TLC是一個cell裡面可以放三個bit
[13:30] 然後把它變成一個cell裡面只能夠放一個bit
[13:32] 所以就容量會變小
[13:33] 所以它一個其實是512GB
[13:35] 但實際上能夠用的只有裡面的可能160到170G
[13:39] 那為什麼要這樣子做
[13:39] 就是因為我們都知道說
[13:41] 反正在資料的快速存取之下
[13:43] 很多人會好奇說
[13:44] 就像說你要把什麼KV cache下放到SLC
[13:47] 那有一個問題就是說SSD不就一下就壞掉
[13:49] 因為一直瘋狂要去存取它
[13:50] 但如果說你今天把它變成是Sudo的SLC的話
[13:54] 那就可以讓它的使用壽命大幅的延長
[13:57] 所以當我們掌握到這個情報之後
[13:59] 其實就可以瞭解到
[14:01] 到底NVIDIA它的這個ICMS是要搞什麼東西
[14:04] 可能跟我們在Switch上面看到的群聯
[14:07] 這個東西有蠻大的關聯性
[14:08] 當然它不是可能未來是群聯Solo去supply
[14:11] 它目前只是去展群聯的一個solution
[14:13] 可是就是後續有可能是往這個方向去發展
[14:15] 也就是我們剛才前面所提到
[14:17] 這個DPU的storage server
[14:19] 它可能裡面會用到這個儲存
[14:21] 當然有些可能是TLC顆粒的
[14:23] 可是有些是SLC
[14:24] 或者就是這種sudo的TLC的東西
[14:27] 那為什麼呢
[14:27] 因為它想要把一些context
[14:30] 就是本來這些KV cache的東西
[14:31] 放到SSD這邊去做儲存
[14:34] 那很多人就好奇說
[14:35] 為什麼要這樣做
[14:36] 它不是本來是放在HBM
[14:38] 或者是說在CPU資源的
[14:39] 這些RAM下面嗎
[14:40] 為什麼會把它拉出去
[14:41] 那最主要原因是在於說
[14:43] 因為最早的AI
[14:43] 大家在做使用的時候
[14:44] 是怎麼樣
[14:45] 就是一問一答
[14:45] 你問他問題
[14:46] 他就回答你嘛
[14:47] 那所以在那時候呢
[14:48] 可能說有HBM
[14:49] 或者說有這些CPU的RAM
[14:50] 就已經非常的足夠
[14:51] 可是因為現在進入
[14:52] Agentic AI的一個時代
[14:54] 也就是我們現在去問AI
[14:55] 很多時候你知道說
[14:55] 它是有reasoning的一個過程
[14:57] 或者說它是
[14:57] 要去執行你一連串的動作
[14:59] 並且要不停的去提取上下文
[15:02] 它會去知道說
[15:03] 你前面講的東西是什麼
[15:04] 因為總不可以說
[15:04] 你每次去問它問題
[15:06] 它就要重新全部再跑過一次
[15:07] 所以它其實在KVCatch
[15:10] 或者說暫存這方面
[15:11] 它現在的要求是很大的
[15:12] 那已經導致說
[15:13] 可能HBM或者說在RAM這邊
[15:15] 它的負載是很大
[15:17] 所以其實一直都有一個說法
[15:18] 是說要把這些東西轉到
[15:20] 可能去下放到外面的儲存的空間去
[15:23] 然後這樣才可以去把HBM
[15:24] 或者是CPU的RAM
[15:26] 去做更高價值的一些應用
[15:28] 也就是說可能會有熱資料
[15:30] 然後跟準熱資料
[15:31] 那些準熱資料可能就可以丟出去
[15:33] 那熱資料就可以放在寸土寸金的地方
[15:36] 包含像是HBM S RAM
[15:37] 或者說CPU的RAM上面去做使用
[15:40] 所以在我的角度看來
[15:42] 其實NVIDIA跟JASON
[15:43] 他們是蠻變態的
[15:44] 就他們真的是領先別人數步不止
[15:46] 就當大家發現了一個痛點之後
[15:48] 然後可能他早就已經去針對這個痛點做準備了
[15:51] 所以當你發現痛點
[15:52] 然後就推出新的東西
[15:54] 不然說像前陣子的CPX Pre-Fail
[15:56] 然後或者是說他去買下Grok
[15:58] 然後大家去判斷說
[15:59] 他應該在DECO這邊要去做努力
[16:01] 所以他其實早就已經在推動中了
[16:03] 他並不是說什麼
[16:04] 大家發現這個東西
[16:05] 然後接著一兩年後他給你一個solution
[16:06] 好像每次都是大家發現說
[16:08] 有些東西開始有一些問題了
[16:10] 然後他立刻就有solution
[16:11] 代表他已經鴨子滑水一段時間了
[16:14] 所以他應該是已經提早發現說
[16:16] 因為接下來的AI使用
[16:17] 大家都是已經是偏向
[16:18] 可能reasoning
[16:19] 或是說我給你的一個指令
[16:22] 他可能需要的上下文是非常大的
[16:24] 那他必須要不停的回去存取說
[16:27] 你前面跟我講過什麼
[16:28] 不然很多人去使用AI
[16:29] 他們有一個很大的feedback
[16:31] 是當一個AI很多人用的時候
[16:32] 像Gemini
[16:33] 剛開始推出的時候
[16:34] 大家說超強
[16:35] 就是這個最新的版本
[16:36] 那一段時間之後
[16:37] 大家覺得他變笨
[16:38] 為什麼變笨
[16:39] 就是因為他的一些那個memory
[16:40] 都是給人家佔取
[16:41] 他整個server都是給人家佔取
[16:43] 所以就變成說
[16:44] 它會去切割每個使用者
[16:46] 可以用到的一個分量
[16:47] 所以你就有感的感覺到
[16:48] AI變笨
[16:49] 那沒有辦法
[16:49] 那是硬體的一個restraint
[16:51] 那老黃這邊就是想要去
[16:52] 幫大家解決這個問題
[16:53] 就讓你的AI呢
[16:55] 不再因為說
[16:56] 它可能上下文太多
[16:57] context太多
[16:58] 然後導致有斷片的一個狀況產生
[17:00] 那是怎麼樣呢
[17:00] 就是它在儲存這邊
[17:02] 去做更多的一個最佳化
[17:03] 所以呢
[17:04] 我把東西呢
[17:04] 可能放到我的DPU storage那邊去
[17:07] 那理論上像大家去想象說
[17:08] 你把東西放在storage server的話
[17:10] 那不就時間會變長
[17:11] 沒錯
[17:11] 所以我認為是這樣
[17:12] 就是未來的應用會拆得更加的細
[17:15] 不然說其實現在大家AI就已經知道說
[17:17] 你在問一些問題
[17:18] 他會用比較快捷式的model來回答你
[17:21] 那有些你問的問題比較深
[17:22] 他就用思考型的回答你
[17:23] 就是他會去做一個這種
[17:25] 像是分類器的東西
[17:26] 他去篩出你的問題是怎麼樣
[17:28] 那一樣的道理
[17:29] 就是說在任務上面
[17:30] 如果未來是那種
[17:31] 就是一問一答形式的東西
[17:32] 那他應該還是會使用
[17:34] 所謂的寸圖寸金的HBMS RAM
[17:36] 或者是說CPU的RAM
[17:38] 來回答你的問題
[17:39] 那如果說你今天問的東西
[17:40] 是一系列的
[17:41] 就要說你叫他去看一個論文
[17:42] 或者說你給他一個
[17:43] 超級複雜的東西
[17:44] 那你也不期待
[17:45] 他立刻給你答案嘛
[17:46] 對吧
[17:47] 就大家不會期待說
[17:48] 問這個東西
[17:48] 你要在兩秒鐘內給我回答
[17:50] 可是我問你說
[17:50] 今天天氣怎麼樣
[17:51] 那你要給我兩秒鐘內的回答嗎
[17:53] 那因為所有的東西
[17:54] 最後面都是要回到
[17:55] 使用者體驗嘛
[17:56] 所以我認為是這樣
[17:57] 就是因為在使用者這邊
[17:58] 大家有共識說
[17:59] 有些東西你要在一秒內給我回答
[18:01] 或者兩秒內給我回答
[18:02] 而有些東西呢
[18:02] 我已經知道說
[18:03] 我來問你
[18:04] 你就需要想嘛
[18:05] 就像說我叫你去分析
[18:05] 某一家公司
[18:06] 我不會希望你一秒給我回答
[18:07] 你一秒給我回答
[18:08] 我還懷疑說
[18:09] 那個東西是不是沒有想清楚
[18:10] 然後外加
[18:11] 其實現在大家對於AI的一個要求
[18:13] 已經是慢慢的提高
[18:15] 我認為說
[18:15] 它要有一些個人化的設定
[18:17] 然後或者是我過去給你的一些context
[18:20] 那你應該要記得
[18:21] 那這個就是現在的一個痛點
[18:23] 那這完全就可以
[18:23] 透過它的ICMS去做處理
[18:25] 也就是由它的DPU
[18:27] 直接把這些GPU所需要的東西
[18:30] 它可能就先暫存到它的storage裡面
[18:32] 那如果需要的時候
[18:33] 它再直接從這個storage
[18:34] 然後拉出來到GPU這邊
[18:35] 它不需要再像過往可能是
[18:37] 透過這個storage要到線
[18:39] 然後再到CPU
[18:40] 然後再傳到GPU
[18:41] 就它也要花很多時間
[18:42] 它雖然是跑到隔壁庫房去
[18:44] 可是這個隔壁的庫房
[18:45] 在它的DPU的一個指引之下
[18:47] 其實那個速度也蠻快的
[18:49] 所以我認為說
[18:50] 這個會非常有效的去解決
[18:52] 大家現在面臨的一個痛點
[18:53] 包含像我自己
[18:54] 就是很多時候要去問一些
[18:55] 比較深入的問題
[18:56] 你會發現說
[18:57] AI就開始有一些斷片的現象產生
[18:59] 或者是有些東西
[19:00] 你要重新的再叫它去理解一次
[19:02] 那就變得非常花時間
[19:03] 這個其實對於資料中心
[19:05] 我覺得他們也會有非常大的一個誘因
