[00:00] 欢迎收听谷爱,我是孟公,本集节目由东碧堂赞助
[04:56] 就是把那个部位去做一些训练
[04:59] 那特别跟我强调说
[05:00] 因为以前我有一个想法
[05:02] 就是说那个重训就是
[05:02] 你要推到你回家
[05:04] 就是要有一些那种延迟性的酸痛
[05:05] 那还叫有练到
[05:06] 那我的教练是非常反对这件事情的
[05:08] 那他同时也跟我强调说
[05:09] 如果你在做这些训练的时候
[05:11] 你有感觉到你身体有疼痛的话
[05:13] 我们要立刻停下来
[05:15] 那这东西其实跟我之前的一些逻辑是不太一样
[05:17] 那当然我后来才知道
[05:18] 我之前的那些逻辑是不对的
[05:20] 就像说练就是一定要练到怎么样
[05:21] 隔天会酸
[05:22] 隔天起来
[05:24] 觉得哪一支特别酸
[05:25] 因为前一天在推胸
[05:26] 或者说练背的时候背拴
[05:28] 练腿当然就是要觉得说
[05:29] 哇连站起来都不太舒服
[05:30] 这个就等于是有练到
[05:32] 那我的教练是认为说
[05:33] 这个都是不对的
[05:34] 那他就跟我讲说
[05:35] 其实我现在要去帮你把这些
[05:37] 就是所谓的你身体
[05:38] 已经有病痛的东西
[05:39] 要把它敲回来的话
[05:40] 他有点类似说
[05:41] 就是你不能够只去做伸展
[05:43] 因为伸展的话
[05:44] 是只有单一一个方向
[05:46] 就是一个
[05:46] 可能身体扭向某一个地方
[05:48] 它是有一个拉跟一个伸
[05:50] 那如果说我只有伸
[05:52] 没有拉那一块的话
[05:53] 那可能身体还是会维持
[05:55] 一个不平衡的状态
[05:56] 下来的建议就是说
[05:57] 类似说我今天手弓起来的话
[05:59] 那二头是缩嘛
[06:00] 那这时候我的三头可能是伸展
[06:02] 放下去的时候
[06:03] 可能三头是回到一个缩的状态
[06:07] 然后二头是放松嘛
[06:08] 就是你要让你的身体的肌肉
[06:10] 所以交互而去做配合
[06:11] 那他这个说法
[06:12] 其实跟我的物理治疗师
[06:14] 是不谋而合
[06:15] 意思就是说
[06:16] 你要把你的身体弄好的话
[06:18] 你去靠一些可能瑜伽伸展那些
[06:21] 还不够
[06:22] 就是说那个当然会有帮助
[06:23] 只是要更好的话
[06:24] 那同时你要去唤醒一些你的核心肌肉
[06:27] 整个身体的协调度要很好
[06:29] 那你的身体有时候会忘记一些
[06:31] 就是你身为人本来就该可以做到的事情
[06:34] 那我的物理治疗师有讲一个蛮有趣的
[06:36] 他就说所有你觉得很舒服的姿势
[06:39] 那他可能都是正在害你
[06:41] 因为你会觉得舒服
[06:42] 就是因为你的身体已经忘记怎么样做正
[06:45] 所以像我自己蛮常会想要测睡
[06:48] 或甚至有时候背痛的时候会整个人弓起来
[06:50] 那为什么你会想要测睡
[06:51] 你没有办法去平躺
[06:52] 因为你平躺
[06:53] 你就觉得就不舒服
[06:54] 你就身体会有一点点
[06:56] 想要去抵抗
[06:57] 就想要去转成是侧身缩起来
[06:59] 这时候其实就代表说
[07:00] 你身体已经习惯某一个姿势
[07:02] 所以最严重
[07:03] 就是像猎人的老师一样
[07:05] 他有在一些报道里面
[07:07] 有被写到说
[07:08] 他作画只能够躺着作画
[07:10] 因为他已经习惯那个姿势了
[07:11] 所以只有那个姿势是舒服的
[07:13] 但是这个舒服的姿势
[07:15] 正是会把你害死的一个姿势
[07:17] 所以你就必须要把一些姿势调整
[07:18] 你的身体要重新要学会
[07:20] 如何去发力
[07:21] 那当然物理治疗师有教一些东西
[07:23] 只是说这个健身教练
[07:25] 技能教练
[07:25] 他就是就屌到爆炸
[07:27] 他就帮我去设计一些那种
[07:29] 他自己可能不知道发明的菜单之类的
[07:31] 那就完全的有去伸展
[07:33] 或者说有去发力到
[07:35] 就是可能那一块比较不舒服的
[07:36] 一离开立刻就见效
[07:37] 你就会立刻感觉到说
[07:39] 哇我家身体真的变得有点不一样
[07:41] 所以我觉得超厉害
[07:42] 所以就是突然间的认为说
[07:44] 这些在身体上面的各种投资
[07:47] 或是投入
[07:48] 它是超级值得的事情
[07:49] 我也想跟大家分享说
[07:50] 我觉得我生命中做的最对的一件事情是戒严
[07:53] 然后现在又觉得说
[07:54] 其实减重也是一个超级好的事情
[07:56] 减重跟运动
[07:57] 当然运动从以前就会做
[07:59] 可是你没有一个那种体系化的去做处理
[08:02] 就现在是一个体系化去做处理
[08:04] 就是包含说
[08:05] 除了知道自己的绝对重量要下来之外
[08:07] 肌肉要这样去维持
[08:09] 同时如果身体有哪里不舒服
[08:11] 就要一个一个去把它截掉
[08:12] 就是以前都不会这样子想
[08:14] 以前就是可能反正就随便弄
[08:15] 大家说要运动
[08:16] 好那我就一个礼拜可能运动几天
[08:18] 这个就交代过去了
[08:19] 就算是有运动
[08:20] 那现在就觉得说
[08:21] 一定要把整个体系都弄好
[08:23] 所以光是有这样子的一个思维
[08:25] 然后去找了
[08:26] 不管是自己的什么伸展师
[08:27] 或是说健身教练
[08:29] 机能教练
[08:30] 然后跟物理治疗师
[08:33] 去帮忙看身体的一些问题
[08:35] 其实慢慢这样瞧的话
[08:36] 我觉得突然间对于未来
[08:37] 是充满那种乐观的情绪
[08:39] 所以他真的是不输戒烟的体验
[08:42] 虽然其实两件事情
[08:44] 严格上来说都很困难
[08:45] 戒烟这件事情
[08:46] 然后跟减重跟维持运动习惯
[08:49] 我觉得那要有一点那种
[08:50] 不知道就是可能
[08:51] nature calling之类的吧
[08:53] 就是时间到了
[08:54] 突然间你就会想要去把这件事做好
[08:55] 那如果说你可以靠自己的意志力
[08:57] 直接去把这件事情做好
[08:58] 那真的是最厉害的
[08:59] 像那时候我戒烟的一个起始点
[09:01] 也是因为就突然有一段时间
[09:03] 身体就不想抽烟
[09:04] 我也不知道为什么
[09:04] 然后就一步做一步就干脆把它戒掉
[09:06] 那时候还超担心
[09:07] 因为上网去Google就查到说
[09:09] 很多肺癌患者确诊前期
[09:11] 他们都是戒烟的
[09:12] 因为身体已经告诉他不能抽烟了
[09:14] 所以那时候妈妈超级紧张
[09:15] 那一样就是可能自己注意到一些
[09:17] 那种健康的sign
[09:19] 在生活中出现
[09:20] 有时候去华尔街
[09:21] 突然已经看到什么
[09:22] 到家会跟你讲说什么
[09:23] 你生命中开始出现一些
[09:25] 你要知道你每个讯号
[09:26] 都是有理由的
[09:27] 你突然间就想要去做某一件事情
[09:29] 你就是要去做那件事情
[09:30] 因为可能会引来下一个发展
[09:32] 就是你突然间可能看到
[09:33] 很多跟健康相关的东西
[09:35] 不一定是发生在你的身上
[09:36] 或是你的家人身上
[09:37] 但你就不知道就看到了
[09:39] 那就好像说被老天召唤一样
[09:41] 然后你就好好的把这件事情做好
[09:43] 我觉得是极好的
[09:44] 所以在那边把自己的心得
[09:45] 分享给大家
[09:46] 因为不知道有些人
[09:47] 他可能就只是缺人家推一把吧
[09:49] 就是搞不好你也想过这件事情
[09:50] 那你没有认真想去做
[09:52] 那你看到
[09:52] 像这个在节目上面分享的这家伙
[09:54] 以前也是坐在椅子上面
[09:55] 一天八小时以上啊
[09:56] 然后现在变成是
[09:57] 我感觉我的本业现在是运动啊
[09:59] 就那个运动是比
[10:00] 坐在椅子上搞股票
[10:01] 或是弄什么有的没有的东西
[10:02] 都来得长
[10:03] 就尽可能的都站着
[10:04] 或者在家里
[10:05] 就是有时没事在那边什么伸展
[10:06] 然后学会用宽发力之类的
[10:08] 那这真的是对自己的
[10:10] 那个生活品质提升超级多的
[10:11] 所以希望大家可以找到
[10:12] 这个健康的身体
[10:14] 然后更加喜欢自己
[10:15] 喜欢自己不是那种自恋那种
[10:16] 就只是突然间对自己的身体
[10:18] 蛮好自信
[10:19] 越讲越奇怪
[10:20] 但我意思不是讲说
[10:20] 就是你要给人家看那种
[10:22] 不是
[10:23] 就只是你突然间对自己的身体
[10:24] 你知道说
[10:25] OK我今天要蹬出去的话
[10:27] 我现在可以蹬超远的
[10:29] 就听起来超中二
[10:30] 没错
[10:30] 可是真的就像这样
[10:31] 我跟我的经验性训练的教练
[10:33] 我就很常说
[10:34] 我们的训练超像
[10:35] 以前我们在幼稚园或是小学
[10:37] 就一群男生聚在一起
[10:38] 然后可能不知道
[10:39] 你跑到那种体育馆里面
[10:40] 他不是有那种体操的
[10:42] 有一个东西可以跳过去的
[10:44] 然后你们就开始
[10:44] 有一个人会发起
[10:45] 他可能就从这边跳到那边说
[10:47] 你可不可以
[10:48] 然后他就说我可以
[10:49] 然后谁不行
[10:50] 不行那个就被笑着
[10:50] 就很像是
[10:51] 我们去玩一些好玩的游戏
[10:53] 然后同时去帮自己的身体
[10:54] 变成更好的一个状态
[10:55] 这个超级战的
[10:57] 其实相关的费用投入
[10:58] 也没有到很大的
[10:59] 可能是人生中最值得的投资
[11:01] 以前都会讲说
[11:02] 健康最好的投资
[11:03] 去实践之后
[11:03] 就会明白这件事情
[11:05] 简单跟大家分享自己的心得
[11:07] 好 接下来我们来进入上话题
[11:08] 市场在过去几天
[11:09] 都还是持续的在修正
[11:11] 但是我自己的体感是没有感觉到有在修正
[11:14] 只有在礼拜二的时候有稍微感觉有回档了
[11:18] 那今天又新稿了
[11:19] 那只是这个选股可能是比较幸运所造成
[11:22] 因为就是反正在过去就是看了蛮多的
[11:25] passive components
[11:26] 被动元件不管是MLCC或者说LCAP
[11:29] 就是铝电容
[11:30] 那在过去都为我带来非常好的一个报酬
[11:33] 那一样就是因为这个东西现在都发生的太快
[11:36] 就是每次都有新的东西
[11:37] 上次跟大家讲说
[11:38] 因为Panasonic这边我们已经有看到它要涨价了
[11:41] 那时候是跟大家讲说
[11:42] 应该不会看到什么涨价性
[11:43] 那今天就有涨价性跑出来了
[11:44] 那稍微去问一下业内的朋友
[11:46] 大概有得出一个结论
[11:47] 就是涨价性不是对所有的客户发
[11:50] 它有对部分的客户发
[11:51] 那只是现在流出来
[11:52] 大家知道
[11:52] 所以就赶快冲进去去买东西
[11:54] 或什么的
[11:54] 那我们是判断说
[11:56] 这个涨价应该会持续的延续
[11:58] 然后最近在市场上面
[11:59] 开始出现一些有趣的东西
[12:00] 包含说
[12:01] 有一些厂商开始去现货市场
[12:03] 去把很多的被动元件给扫下来
[12:05] 那有些人听到这个会讲说
[12:07] fucking炒股票
[12:08] 就是你為什麼要把現貨都掃光
[12:09] 你是不是就故意要去製造一個供需失衡的狀態
[12:13] 那我整個說就盡量不要把每個操作都當白癡
[12:16] 就除非說你是那種大空頭
[12:17] 很多那種大空頭都喜歡把每個人都當白癡
[12:20] 然後每個人都要往一些負面的方向去解釋
[12:22] 其實簡單來講像台灣的一些大廠他們本身就會去買一些像是日本的電容回來那怎麼樣就貼牌去出貨就本來就是會去做類似的事情他其實就有點類似說就是我們看記憶體會知道說那些模組廠商
[12:34] 他們會去買顆粒
[12:35] 然後買了之後回來兜一兜
[12:36] 當然他的加工程序
[12:37] 可能比較繁複一點
[12:38] 所以大家比較不會有意見
[12:39] 那被動研究的有時候
[12:40] 就是只是就轉手貼牌賣人這樣
[12:42] 所以大家會覺得說
[12:43] 你是不是想要炒東西
[12:44] 但那個道理其實很簡單
[12:45] 就如果你今天站在老闆的本位去思考
[12:47] 你都已經看到供需失衡了
[12:49] 你都已經看到價格在上漲
[12:50] 你也知道接下来你要去涨价
[12:52] 那你现在看到市面上有便宜的料
[12:54] 你会不会把它扫光
[12:55] 就如果你今天还是无法去议会的话
[12:57] 那就要说你是一个水果商
[12:59] 你已经知道说某一个水果在那边屌缺
[13:01] 然后现在外面还有一堆水果
[13:02] 它都还在卖很便宜的价格
[13:04] 你会不会把它扫光
[13:04] 你一定把它扫光
[13:05] 你扫光之后
[13:06] 然后放到自己的店里面去卖
[13:07] 或是说可能不知道
[13:08] 就是搭配一些那种高低配
[13:10] 然后去把一些旧的库存给卖掉
[13:12] 类似说很多时候我们看到那种
[13:13] 可能电脑零件开始缺货的时候
[13:15] 像你之前你买不到记忆体
[13:17] 可是如果说你买整季的话
[13:18] 他就告诉你说有记忆体
[13:19] 他就绑着东西一起帮都sell
[13:21] 所以这个是本来就会发生的事情
[13:23] 我个人是不会认为说
[13:24] 这个叫做是炒股票
[13:25] 但我们目前就是有看到
[13:26] 确实是已经有蛮多大厂
[13:29] 可能下面的一些采购还是怎么样的
[13:31] 去市场上把料都给干光
[13:33] 外加在过去的
[13:35] 好像是就昨天吧
[13:36] 蜜旺时也就是说通路商
[13:38] 有出来表示说
[13:39] 他们已经看到这个被动元件
[13:40] 特别一些高阶料号
[13:42] 其实就已经有出现断供的情形
[13:44] 反正就是要么是报价就不报了
[13:47] 要嘛就是交期可能拉得很长
[13:48] 所以像这样的东西
[13:49] 其实会持续的去做蔓延
[13:52] 只是因为我觉得
[13:53] 因为被动元件到现在
[13:54] 他老实说也是涨了不少
[13:56] 所以我会尽可能的
[13:57] 就不要再去
[13:58] 好像有那种很多的一个感觉
[13:59] 因为我真的不希望说
[14:00] 我们不知道每一波会多大
[14:02] 有时候可能不小心
[14:03] 在山顶还在跟大家讲
[14:05] 即便你可能从低档开始讲
[14:06] 但大家都只会记得说
[14:07] 你在山顶还有在提到
[14:08] 所以我们就尽可能去锁定
[14:10] 产业的部分跟大家聊
[14:11] 这个估值的部分
[14:12] 我们就不去讨论了
[14:13] 那产业的部分
[14:14] 在这边可以算是非常的确认
[14:16] 就是在后面会看到一些上升的循环
[14:19] 我们讲循环
[14:20] 我觉得它不是一次性的
[14:21] 它应该会持续的发生
[14:22] 特别是等到每一个采购都意识到之后
[14:25] 就在上集我们有跟大家稍微提了这件事情
[14:28] 就是说做股票可能心情很好
[14:30] 可是采购心情很差
[14:31] 因为现在你应该已经会开始注意到说
[14:33] 各种东西都要找你涨价
[14:35] 那再可能你也不敢去跟他溢价
[14:38] 因为你跟他溢价的话
[14:38] 东西可能就跑到别人的手上
[14:40] 因为他厂商很多想法也很屌
[14:41] 他就是反正我可以出高阶CSP的东西
[14:44] 我可能也不一定敢去涨高阶CSP的东西
[14:47] 但是其实我以前的产能是怎么样
[14:50] 我可能就要说有20%的驾动率
[14:52] 是靠一些废料把它补起来
[14:54] 我不做的话
[14:55] 那工厂驾动率拉不满的话
[14:56] 可能对公司的营运也不是什么好事情
[14:58] 所以我去补一些那种有的没有的鸟料在那边
[15:00] 然后就是为了把我的驾动率拉高
[15:02] 但下问题是
[15:03] 我如果在高阶的地方就看到说
[15:05] 供需是超级强大的话
[15:06] 其实对我来讲
[15:07] 那些去补驾动率的鸟料
[15:09] 我大概可以不要做
[15:10] 我就是要卖我要的价格
[15:12] 这其实就是发生在Panasonic身上的一件事情
[15:14] 我就是要卖我的价格
[15:16] 你不要给我买的话
[15:17] 没关系反正老子最多就只是把产能全部转向去做高阶AI
[15:21] 你不要也没关系
[15:22] 反正我价格就是要涨这样
[15:23] 所以这个涨价其实看起来就是势在必行
[15:26] 那再来如果它涨价的话
[15:28] 那连带的同样有这些料的厂商
[15:30] 不管说它可能是一样是Tier1的
[15:33] 或甚至是Tier2的
[15:34] 它是一个替代料
[15:35] 它的品质可能不一定有这么好
[15:37] 但不知道就如果老大涨30%
[15:39] 它可不可以涨个25%28%
[15:40] 这个是有机会会发生的
[15:42] 那再来因为我们上集有提到说
[15:43] 这个涨价信呢
[15:44] 他并不一定会对大家都发出去
[15:47] 这个其实有点像
[15:48] 因为那时候在2018
[15:49] 被动员间大潮的时候
[15:50] 他有一段时间是这样子
[15:51] 就是你要去找他买料的话
[15:52] 他并不会说去发一个信给你
[15:54] 然后给你一个notice
[15:55] 告诉你说要涨多少
[15:56] 然后什么时候会生效
[15:57] 他不是这样子
[15:58] 他甚至是可能每个礼拜
[15:59] 或是每个月你就进来竞标
[16:00] 那这边就价高者得嘛
[16:02] 反正谁出最高的价格
[16:03] 就可以拿走这些东西
[16:04] 那这一波呢
[16:06] 看起来就是会往那个方向去前进
[16:08] 那一样还要讲个淡数
[16:09] 就是说每个题材
[16:10] 其实都是可能在这个盔甲上面
[16:12] 会有一些小洞
[16:13] 我觉得说像那个
[16:14] 记忆体的题材就是
[16:15] 应该说所有的半导体
[16:17] 或者说原件相关的题材都是
[16:19] 如果你这个AI的投资
[16:20] 突然间停止的话
[16:21] 那当然就是出非常大的事情
[16:23] 那只是呢
[16:24] 在记忆体跟贝多元件
[16:25] 他们其实算是有同样一个弱点
[16:27] 那只是个弱点
[16:28] 我目前没有看到
[16:29] 就是如果说大厂们都决定
[16:31] 要一起扩厂的话
[16:32] 那就会出事情
[16:33] 那只是我们至今
[16:35] 其实以记忆体来讲
[16:36] 我们看到他们是非常有纪律的
[16:38] 就即便说
[16:39] 已经知道价格是非常好的
[16:41] 他如果去扩产的话
[16:42] 其实都还是可以吃到一段
[16:43] 但是可能前面已经吃过太多的亏了
[16:46] 所以他们不愿意去做扩产
[16:47] 目前被动元金这边
[16:48] 我们也只有看到部分的高压的MLCC的厂商
[16:51] 有去做扩产
[16:52] 因为那个东西真的缺到爆炸
[16:54] 所以要去做扩产
[16:55] 可是其他厂商目前是没有看到
[16:57] 有一些大动作的扩产
[16:58] 所以这边可以给大家当成一个下挡的防守
[17:01] 因为毕竟这些东西又拉出去了
[17:03] 所以你就知道说
[17:04] 只要你后面看到一些扩产出来
[17:06] 它不一定会立刻造成影响
[17:08] 但就是要稍微的去注意一下
[17:09] 如果说大家都很有共识的要扩散的话
[17:12] 那就代表这供需问题会解决的
[17:14] 不敢说很快
[17:15] 但是会相对蛮快的
[17:17] 就是不会让大家的想象中
[17:19] 那种可能维持超高毛利的时间
[17:21] 很长一段时间的剧本产生
[17:22] 但如果说一直都没有出现扩散
[17:25] 然后大家像是记忆体这边一样
[17:27] 就是已经类似厂商有在打暗号一样
[17:29] 我们大家都不要扩
[17:30] 以前大家扩散就是一起铲
[17:32] 我们今天就大家都可能维持一个
[17:34] 有几率的扩散
[17:35] 其实像台积电也是这样子
[17:36] 有几率的扩散
[17:37] 他并没有去因为美国的大客户
[17:40] 跟他说晶片不够
[17:41] 每个人都在挨揍晶片不够
[17:42] 就大扩散
[17:42] 所以他会去限制掉
[17:45] 这个泡泡吹到很大的一个可能性
[17:47] 那当然就比较不会有泡泡破掉
[17:50] 泡沫化之类的一些巨型产生
[17:52] 所以这个是后面可以注意的一个重点
[17:54] 那目前在这个礼拜
[17:56] 就是从上次节目到现在
[17:57] 我们又持续的看到
[17:58] 不管是电容或者说电感
[18:01] 甚至是电阻的涨价持续的发生
[18:03] 那再来在一些消费端这边
[18:05] 目前看到涨价的幅度
[18:07] 是还算OK
[18:08] 还有压得住
[18:09] 但是已经持续的发生
[18:10] 然后在只要偏Cloud这边
[18:12] 其实价格蛮多
[18:13] 都上得很快的
[18:14] 甚至在后面会注意到
[18:15] 有很多的采购
[18:16] 应该就会开始去抢掉
[18:17] 到时候就会类似像
[18:19] 机体刚起来
[18:20] 我觉得有点
[18:20] 就是差不多的一个剧本
[18:21] 一开始大家都是半信半疑
[18:23] 不太相信
[18:24] 然后等到真的滚雪球
[18:25] 发生事情的时候
[18:26] 大家就会直接冲进去
[18:27] 冲进去之后
[18:28] 就第一波压力测试
[18:29] 到底是不是真的缺
[18:30] 还是说只是一个
[18:31] 短期的供需时程
[18:33] 到时候我们再来
[18:34] 跟大家验证这件事情
[18:35] 但目前就是已经有看到
[18:36] 缺口的产生
[18:37] 那一样
[18:38] 因为这个东西
[18:39] 其实已经是
[18:40] follow一段时间了
[18:40] 所以那个股价
[18:41] 也到相对的高位
[18:42] 但可能还会再更高
[18:44] 不晓得
[18:44] 只是就不会去
[18:45] 针对股价做太多评论
[18:46] 大家自己要小心
[18:47] 那种最高
[18:48] 有时候被套一下
[18:49] 被杀一下
[18:50] 就不要挨挨叫
[18:51] 你要知道自己
[18:51] 在做的是什么东西
[18:53] 那再来稍微聊一下
[18:54] 因为最近我看到
[18:55] Semi Analysis
[18:56] 发了一个报告
[18:57] 反正就是去验证
[18:59] 我们在几个月前
[18:59] 讲的事情
[19:00] 那时候就是
[19:01] 有跟大家聊到说
[19:02] 我们注意到说
[19:04] BlockCon这边
[19:04] 好像少了一颗晶片
[19:05] 就是我们知道可能在V7
[19:07] 或者说V8 V9
[19:08] 应该都是由MediaTek
[19:10] 然后跟Broadcom是一人去做一遍
[19:13] 所以就像说像这个Deeperfish
[19:14] 对应的就是Soundfish
[19:15] 然后在下一代的Humufish
[19:17] 然后对应的那一条鱼不见了
[19:19] 怎么会突然间少一条鱼呢
[19:20] 那最近这个Semianalysis
[19:22] 就把这件事情给写出来
[19:24] 那他们给出来的一个结论
[19:27] 是在讲说反正就是对
[19:28] 在Broadcom这边真的是少了一条Fish
[19:31] 那个一个代号
[19:31] 反正就是少了一代的晶片
[19:33] 但是他们会把V10
[19:34] 他们说icefish是他的
[19:36] 会把它poin会提早去做
[19:38] 那这边其实跟我们自己考察到的东西
[19:40] 有一点点出路
[19:41] 那我们不知道讲得假
[19:42] 因为你知道其实这个供应链
[19:43] 每个人都在弥牌
[19:44] 大家都在弥牌
