[00:00] 欢迎收听谷爱,我是圣梦宫,本集节目由绿藤生机赞助
[03:22] 所以有点像是说一瞬间
[03:23] 从本来只是一个人有一个想法
[03:26] 然后想要去赞助一些团队
[03:28] 其实本来真的比较像是一个赞助
[03:30] 那种无息借款的方式
[03:31] 到后来因为开始有一些地方游戏界人士的上车
[03:35] 所以大家想一想就觉得说
[03:37] 我们可以去认真的推行这件事情
[03:39] 所以它真的本来像是一个
[03:40] 有点像是说你睡醒突然想到的事情
[03:44] 然后下来变成是一个认真的生意
[03:45] 而且看起来我们可能走在一个蛮不错的路上
[03:48] 搭配下的不管是AI的风潮
[03:50] 然后或者是说
[03:51] 大家也注意到最近台湾前烟角目
[03:54] 就是在资本市场有蛮多的表现
[03:57] 所以其实有更多的能量可以灌进来
[03:59] 我们就认为是有机会
[04:01] 因为我们目前应该已经算是台湾最大的一个游戏创投资本
[04:05] 资本额是已经迈向1亿
[04:07] 我们后面再往更高的数字去迈进
[04:09] 我们是预计会有3亿的钱
[04:12] 只是后来有可能还会再把它做到更大
[04:14] 如果说风向对的话
[04:15] 如果说老天保佑的话
[04:17] 那我们就持续的去精进这一块
[04:19] 那也非常感谢参与的各方股东
[04:22] 快乐好朋友
[04:22] 还有在里面帮忙营运的一些
[04:24] 地方游戏圈的人士
[04:26] 因为如果只有我自己的话
[04:27] 那这件事情可能就会是
[04:29] 以一个非常懒人的方式就做结束
[04:32] 就是原来说对心中的一个情怀交代
[04:34] 那就OK了
[04:36] 那因为说有一些人
[04:37] 愿意来帮忙去run这个东西
[04:39] 那外加呢
[04:40] 其实我们后来的股东整合起来
[04:41] 发现是一个非常完整的阵容
[04:43] 就是从一个游戏的出身
[04:46] 一个团队从他最初步
[04:48] 需要去孵蛋
[04:49] 把他养大到可能ABC轮
[04:51] 甚至连最后面的出海口的部分
[04:54] 我们都意外的在上次股东会
[04:55] 有找到一些解方
[04:56] 就是我们是有办法
[04:58] 去让这些创办人
[04:59] 如果有朝一日
[05:00] 他可能觉得这东西长得差不多
[05:01] 他想下车
[05:02] 他是有办法下车的
[05:03] 其实让大家有退路
[05:04] 这是一个蛮重要的事情
[05:06] 为什么
[05:06] 因为对于这些游戏开发来讲
[05:07] 他每次的开发
[05:09] 基本上都等于说
[05:10] 会把自己的过往的努力
[05:12] 全部都丢进去
[05:13] 怎么说呢
[05:13] 因为你不会想做一个游戏
[05:15] 是比之前规模更小
[05:16] 每个人都是想要越做越大
[05:18] 就像拍电影一样
[05:19] 所以你今天可能拍了一个电影
[05:21] 你是花一亿
[05:21] 下一步你就想要两亿或三亿之类的
[05:23] 就算你过去可能有赚到一些钱
[05:25] 可是也可能在下一步
[05:26] 你因为要把所有钱都缩进去
[05:28] 就变成你搞不好下一步就是赔钱的
[05:30] 所以有一些资本方的加入
[05:32] 我觉得就是可以去分散掉
[05:33] 这些创办人的风险
[05:34] 或是让大家知道说
[05:35] 如果说你的游戏是有办法做得好
[05:38] 那你有一些稳定的cash flow进来
[05:40] 它不会变成说
[05:41] 就是你一定要一直在这公司里面
[05:42] 你是有可能找到一些地方
[05:43] 你要的话
[05:44] 你可以把你的团队卖掉
[05:46] 或者说你可以把你的作品卖掉
[05:47] 反正你是有机会可以下车的
[05:49] 比起本来就是
[05:50] 可能大家也不知道要怎么样开始
[05:51] 你会在一些社群平台看到人家讲说
[05:54] 我可能会做某个东西
[05:55] 可是我不知道怎么样去参与
[05:56] 我不知道怎么样去做出一款游戏
[05:58] 我只会某一个环节
[05:59] 那现在就有人可以帮你去做
[06:01] 这个整合的动作了
[06:02] 你就可以找到一个平台
[06:03] 组织出一个团队
[06:05] 这个团队到他可能比较后期的阶段
[06:08] 不管他是要做到更大
[06:10] 或者是说他想要下车
[06:11] 其实都会有一个选项
[06:13] 那就是代表说这条路是通的
[06:15] 既然这条路是通的
[06:16] 那可能就有更多台湾优秀的年轻人
[06:18] 或者一些创业人员会愿意在里面
[06:20] 就不会变成像以前
[06:21] 大家每次提到在台湾做游戏
[06:23] 怎样送头自杀
[06:24] 就很多人会这样讲话
[06:26] 我们是不觉得会是这样子一个情形
[06:29] 我们是相信说是有办法
[06:30] 不敢说改变
[06:31] 可是至少可以去催化
[06:33] 让整个环境变得稍微的有一点不太一样
[06:36] 因为总是要有人下去做
[06:36] 不能够每个人都只会呼吁
[06:38] 或是每次
[06:39] 下次又看到什么
[06:40] 海外有优秀的团队
[06:41] 为什么台湾没有什么
[06:42] 妈的总是要有人下去
[06:44] 我们很幸运
[06:45] 我们在一个
[06:46] 我认为是充满天赋的岛屿上
[06:48] 有非常多厉害的人
[06:49] 在资本房这边
[06:51] 也有很多有钱的人
[06:53] 他们愿意去投资
[06:54] 只是可能过去
[06:55] 大家是平常是接触不到的
[06:57] 团队可能是接触不到
[06:58] 这些资本的
[06:59] 或者资本的可能
[07:00] 本来有意愿要去介入
[07:01] 可是就是你知道
[07:02] 在过程之中
[07:03] 真的有很多诈骗
[07:04] 我自己也是下来之后才知道
[07:05] 好多寄信给我的
[07:07] 你们就是想圈钱
[07:08] 那真的不要这样
[07:09] 我还是希望要找到那些
[07:10] 很认真在做事情的
[07:13] 就像我们前面
[07:13] 不管是聊到餐饮
[07:14] 或是有的meal的
[07:15] 或者我在林口做小生意
[07:16] 其实你是有办法
[07:18] 很直接看到一个团队
[07:19] 有没有决心
[07:20] 他是不是真的就是
[07:21] 妈下去拼了
[07:22] 甚至有时候会看起来
[07:23] 有点像是
[07:23] 不知道一个reckless的尝试
[07:25] 他可能连后续要怎么做
[07:27] 都还不知道
[07:27] 但他就是做了
[07:28] 所以突然让我想到
[07:30] 就是之前有一个访问
[07:31] 有提到说
[07:32] Jeff Bezos
[07:33] 为什么他在一些
[07:35] 新创的hit rate这么高
[07:37] 为什么他投的一些新创团队
[07:38] 最后面看起来表现很好
[07:40] Jeff Bezos是有一个说法
[07:43] 但这个说法是由被访问的人讲
[07:45] 他说他去问Jeff Bezos
[07:46] 他说这些创办人
[07:48] 就他投的这些团队
[07:50] 看起来最后面命中率特别高的
[07:52] 这一群人
[07:53] 他们有一个共同的特质
[07:54] 就是你看到他就知道
[07:56] 不管有没有你
[07:57] 就是不管有没有Jeff Bezos
[07:58] 或者不管有没有笑男
[07:59] 不管有没有这些金主
[08:01] 他都一定会做这件事情
[08:03] 不管你们在不在
[08:04] 他就是一定会去做这件事情
[08:06] 所以你就是看到那个决心
[08:07] 光是这个决心
[08:08] 我觉得就令人非常的感动
[08:10] 所以我们会持续的去在台湾
[08:13] 找到这些充满决心的人
[08:15] 我们一定会把这个事情做好
[08:17] 后面有些好消息的话
[08:18] 也希望可以再持续的跟大家回报
[08:20] 那样我们今年第一款
[08:22] 未上市要转上市的游戏
[08:24] 红颜露比在7月下旬会登场
[08:27] 这个是由Bagel游戏做的一款
[08:29] 非常精美
[08:30] 你已经可以在Steam上面找到试玩
[08:32] 同时在Wishlist
[08:33] 是排在非常前面的一个游戏
[08:35] 我们也是非常骄傲
[08:36] 可以去参与他们
[08:37] 希望他们可以
[08:38] 打下一个巨大的成功
[08:40] 让我们后续的各种发展
[08:42] 能够如虎添翼的感觉
[08:45] 随道取成
[08:46] 希望一切都可以往更好的方向
[08:49] 就是真的觉得
[08:49] 这件事情如果可以做好的话
[08:51] 我不知道
[08:52] 我感觉我自己就圆满一半
[08:53] 差不多这样的一个感受
[08:54] 也稍微跟大家分享一下
[08:55] 好那接下来我们就来进入市场的话题
[08:57] 那我觉得这个市场
[08:59] 算是非常的仁慈
[09:00] 在昨天就是6月30号
[09:02] 就是大家去结算
[09:03] 上半年绩效的时候
[09:04] 直接给你来了一个惊天吊拉
[09:07] 那一大堆股票都涨停
[09:09] 虽然今天又开始
[09:10] 有蛮多东西又进入震荡
[09:11] 或是看起来像是要出货
[09:13] 要载人的
[09:13] 可是至少在6月30号
[09:15] 做得非常漂亮
[09:15] 那这个当然对于我们来讲
[09:17] 因为我们都是在做自己的钱
[09:19] 所以就是一个爽度
[09:20] 也就是上半年的结算
[09:21] 这个数字又变得更好看一点
[09:23] 那对于一些
[09:24] 有在办人家超钱的人来说
[09:26] 也不错
[09:26] 就代表说他可能
[09:27] 在最终的奖金会多一点
[09:29] 我不知道大家设定的
[09:30] 那个deadline是怎么样
[09:31] 但反正总之
[09:32] 在最后一天这样子搞
[09:33] 我觉得这还蛮不错的
[09:34] 那在今天又开始稍微的震一下
[09:36] 那我们看一下今天的尾盘
[09:39] 台股的尾盘
[09:40] 其实应该可以注意到
[09:41] 已经没有太多东西
[09:43] 有那种尾盘突然间的贯差出现
[09:45] 昨天的台积电还有
[09:46] 那今天就比较没有
[09:47] 所以这就是我们上集跟大家提到
[09:48] 那个rebalance的一个风潮
[09:50] 可能已经稍微的落幕了
[09:52] 就是后面应该就比较不会出现这种
[09:54] 可能在尾盘突然间搞人
[09:56] 或在盘中有很多压力一直砸下来
[09:58] 因为大家要去rebalance
[09:59] 他们所在的基金
[10:00] 那所造成的一些影响
[10:01] 在后面应该就会慢慢的淡化掉了
[10:04] 那这一波反弹
[10:05] 我觉得它象征意义也蛮大的
[10:07] 因为前面其实像我上集节目讲的
[10:09] 我本来以为说大概在上礼拜三礼拜四左右
[10:11] 就可以谈了啦
[10:12] 差不多了
[10:13] 只是没有想到在额外再多杀一天嘛
[10:15] 那但是呢
[10:16] 就是该谈的还是有出现
[10:17] 那再来呢
[10:18] 就是我们有注意到一些
[10:19] 像前面跟大家聊到
[10:20] 他讲是说他反弹的地方
[10:22] 刚好就会碰到一些比较大条的军线
[10:24] 有可能就被压头
[10:24] 这个也有稍微的看到
[10:26] 也开始在今天的盘中就注意到
[10:28] 有一些肋骨轮动的产生
[10:30] 虽然在昨天很明显一看
[10:31] 那在盘中最强势的东西是什么
[10:33] 就是功率元件
[10:34] 然后跟被动元件
[10:35] 其实这几个有抓到
[10:36] 那再来像载板
[10:38] 我算那个是可能第一季第二季左右做的东西
[10:41] 后来就已经是完全淡化
[10:42] 可是也注意到他们也是非常强势
[10:44] 那他的一个触发点应该就是
[10:46] 南电去做了上修
[10:47] 所导致的就是那些ABF相关的东西
[10:49] 在市场上面还是非常的受到欢迎
[10:51] 那再来在细菌源也不错
[10:53] 那细菌源是我本来自己认为说
[10:54] 他应该要等到下半年以后
[10:56] 比较有机会的东西
[10:57] 那只是没有想到
[10:58] 提早就已经先去做反应
[10:59] 所以你可以把它解释成为说
[11:01] 市场的资金非常的充裕
[11:02] 大家就是找到各种东西
[11:04] 反正只要后面会好的
[11:05] 我都可以提早去推它
[11:06] 不管是提早多久
[11:07] 可能都愿意
[11:08] 等到今天其实就开始发现说
[11:10] 市场又有一些新的族群跑出来了
[11:12] 我觉得最明显就是注意到IC Design
[11:14] 的几个大头
[11:16] 像是台湾的联发客
[11:17] 前面也是出现那种破底的一个情形
[11:19] 短波段的破底
[11:21] 重新的跑回去
[11:22] 然后再来像是创意
[11:23] 再来像是试行
[11:24] 或是一些相关的IC Design
[11:25] 其实在过去的一阵子
[11:27] 我们都有注意到
[11:27] 它要转强的一个迹象
[11:28] 那虽然其中部分呢
[11:30] 我们那时候在数集的节目前
[11:32] 有跟大家聊到一些消费性的IC
[11:33] 那也跑上去
[11:34] 那那个我们稍微就去问了一下
[11:35] 像是一些什么DDIC
[11:36] 它比较偏向是成本导向的一个涨价
[11:40] 就是说因为它在竞争代购厂
[11:41] 这边被涨价
[11:42] 所以它就跑去涨它的客户
[11:44] 那当然它这个动作
[11:45] 就还是会吸引到一些
[11:46] 市场喜好的资金会进来
[11:48] 只是在我们自己的判断
[11:49] 我们认为说
[11:50] 那一些比较偏向是需求导向的涨价
[11:53] 它会是比较重点的项目
[11:56] 就是说你现在看到涨价
[11:57] 其实不一定是够的
[11:58] 你要知道它涨价是因为成本的反应
[12:01] 还是说它是因为需求所导致
[12:03] 那当然需求导致的
[12:04] 可能部分也是有成本的一个背景在背后
[12:07] 或者说它借由成本作为一个借口去涨价
[12:10] 这个我们在市场上看到很多
[12:12] 总之就是目前供应链的一个状态
[12:14] 就是所有东西几乎你都可以看到它在涨价
[12:16] 甚至最近的波线部又再一次的跟你讲说
[12:18] 他们有涨价的情形出现
[12:19] 那重点就是说
[12:20] 那市场的资金会怎么样去做选择
[12:22] 我觉得大家会比较有意愿的去选那一些它是有需求driven而不是单纯的去反映它的成本就是说它有一个高低tier的排列这个也类似说我们之前在跟自己身边朋友
[12:34] 在讨论一些股票的时候
[12:35] 有提到说有一些那种中小型的股票
[12:37] 其实它的成长率是非常好
[12:39] 它EPS的一个growth rate
[12:40] 也都是非常漂亮的
[12:41] 可是为什么在市场上
[12:42] 感觉这个资金没有特别的喜好
[12:44] 朋友就忍不防而丢一句
[12:46] 因为现在在市场上
[12:47] 你年增率没有50%的
[12:48] 你到底算个啥小
[12:49] 真的就是这样子
[12:50] 就是说因为相对之下
[12:52] 这么多好东西
[12:53] 那我就比较不会挑到一个
[12:54] 就是按照你过往的表现
[12:56] 你已经算是表现很好
[12:57] 可是你表现不够好
[12:57] 因为市场上有太多选项了
[12:59] 所以有点类似这样子
[13:00] 就是理论上在过去的一个情形
[13:02] 就算它只是一个成本的涨价
[13:04] 但也代表说
[13:05] 它的整个财务结构会变好看
[13:07] 获利结构也会变好看
[13:08] 终于可以反映给客户了
[13:09] 其实理论上这个在过去也都会动
[13:11] 只是说在现在的环境之下
[13:12] 它可能就会动一下之后
[13:14] 然后就被人家关掉
[13:14] 反而是那些需求导向的东西
[13:16] 因为代表它是更长远的一个
[13:18] 涨价的预期
[13:19] 所以他们可能就动得特别凶猛
[13:21] 那我觉得说因为像IC Design
[13:23] 我们有注意到说
[13:24] 他全面的开始去做转强
[13:26] 有蛮多都开始走出一个新的多头
[13:28] 或是站上关键的均线
[13:29] 那重点就是要如何在这里面找到
[13:32] 哪一些是在后面会持续的去
[13:34] 榨出营收跟获利
[13:36] 那哪一些可能只是短期的去反映
[13:38] 他的经营代工厂的涨价
[13:40] 然后去把它pass给客户
[13:42] 那这可能就会是在这里面
[13:43] 选股的一个关键
[13:45] 那再来在被动元件的话
[13:46] 其实不用去做太多的赘述
[13:49] 因为基本上全部都已经射到宇宙
[13:50] 我们也早在可能一两个月前
[13:52] 跟大家讲说
[13:53] 我们应该是不会再去针对
[13:54] 它的股价做评论
[13:55] 可是我们还是持续的去update一下
[13:56] 在市场的一个情形
[13:57] 因为现在已经进入了7月
[14:00] 在后面的几天
[14:01] 大家应该会看到涨价性的连发
[14:03] 这个在市场上面
[14:04] 应该已经算是蛮多人都掌握到了
[14:06] 不管是台系的巨头
[14:08] 或者是日系的一些巨头
[14:09] 在未来的几天
[14:10] 大家应该就会看到说
[14:12] 各式各样的产品都会出现涨价
[14:14] 那这些涨价
[14:15] 目前我们在市场上
[14:17] 有看到很多的小作文丢出来
[14:18] 那这边还是要强调一下
[14:19] 因为这些料件
[14:20] 它算是非常的杂
[14:22] 外加其实大家把它统称为被动元件
[14:25] 被动元件里面
[14:26] 其实包含了各式各样的东西
[14:27] 有电容 电阻 电感等等的
[14:29] 所以其实大家有时候去写小作文的时候
[14:31] 他们会习惯的直接用一包
[14:33] 某某公司涨价100%
[14:35] 这个你就知道说
[14:36] 这乱写的
[14:37] 这一定是乱写的
[14:38] 可是他如果有办法去拆分说
[14:40] 特别是有写到一些关键字
[14:42] 所以我们这样讲完之后
[14:42] 搞不好很多小作文
[14:43] 就开始去发一些关键字
[14:44] 中位数是多少
[14:46] 各个料件各个料号
[14:47] 专业一点都会写出来
[14:48] 你到底是哪一颗料
[14:50] 那到底涨价是多少
[14:51] 那这个可能就是可信度比较高一点
[14:53] 但这个都比较偏向是市场里面的一种
[14:55] 那种心态的博弈
[14:56] 因为大家去猜或是说
[14:57] 大家提早有一些优势
[14:59] 然后去拿到一些别人拿不到的资讯
[15:01] 但最慢最慢都是可以等到涨价性出来的时候
[15:04] 然后你都会大概的一个答案
[15:05] 虽然可能有些会像之前联发科涨价性一样
[15:07] 就他并没有载明说他到底是涨什么东西
[15:10] 但其实在被动人间这边的涨价
[15:11] 因为它基本上它一去涨价
[15:13] 就是对那些ODM OEM或是EMS
[15:15] 然后去做那种
[15:16] 先讲一讲就是那种军医化的涨价
[15:18] 其实最后面当然它因为谈判
[15:20] 会谈出来价格不一样
[15:21] 但这个数字一般都会跑到市场上面
[15:23] 让大家看到
[15:24] 所以你最晚其实去看那个都还是OK
[15:26] 我们目前只有掌握到
[15:27] 在7月会有蛮多家公司都会去做涨价
[15:30] 至于你说这个是不是在市场上面移反应
[15:32] 老实讲现在真的没有办法评论
[15:34] 因为这些东西都已经是喷到坏掉
[15:35] 你看日股的那些被动元件
[15:37] 全部都喷到坏掉
[15:38] 现在好像只有美股在休息
[15:40] 美股的前面其实也很喷
[15:41] 只是就最近
[15:42] 因为他们有一些财务的操作
[15:44] 所以就感觉说
[15:45] 好像没有这么喷
[15:46] 有点好笑
[15:48] 因为以前我们是在抱怨说
[15:49] 为什么美股跟日股这么喷
[15:50] 台股不喷
[15:51] 然后现在那种风水轮流转
[15:52] 但其实我们目前看起来
[15:54] 它是一个全面性的涨价
[15:55] 并且是有蔓延到一些
[15:57] 可能不是这么critical的料
[15:59] 之前可能是比较聚焦在
[16:01] AI相关的东西
[16:02] 然后这边发现说
[16:03] 就算不是AI相关的东西
[16:04] 也因为大厂可能有些产品
[16:06] 它要EOL了
[16:07] 它要不再去做资源了
[16:09] 类似说像Panasonic有一些旅店
[16:10] 它后面就不要再做了
[16:11] 这些东西都是有可能会外溢到
[16:14] 其他的这些
[16:15] 不管是Tier2以后的供应商
[16:18] 或是本来可能排在二三宫以后
[16:19] 或是可能本来大家习惯只拿日系的
[16:22] 现在跑去拿台系的
[16:23] 这个就变成是一个那种全面性的影响
[16:24] 然后这个在后面都还是会持续的去做发酵
[16:27] 那一样像这种大题材
[16:29] 一般我们会认为说
[16:30] 它要结束的时间点
[16:31] 就是营收开始出来
[16:32] 大家去猜营收的那个阶段
[16:33] 就是你在过去的每个涨价
[16:34] 你都会看到这样的东西
[16:35] 好 这就是说
[16:36] 记忆体前一波
[16:37] 就是有一段时间是
[16:38] 反正整天在那边狂喷嘛
[16:39] 那他就开一些很暴力的营收
[16:41] 然后大家就会猜说
[16:42] 下个营收会不会比这个月更好之类的
[16:43] 就是一般走到这个阶段呢
[16:45] 我们就可以去宣告说
[16:46] 那大概就是来到了一个
[16:47] 差不多终点附近了啦
[16:49] 那只是个终点呢
[16:50] 以记忆体来讲
[16:50] 它是非常长
[16:51] 这也是超大的想象
[16:52] 就一般人家讲说
[16:53] 这个就是鱼尾留给别人吃
[16:55] 就鱼尾超级大
[16:56] 黄带鱼啊
[16:57] 干沙小
[16:57] 那鱼尾怎么可以这么大
[16:58] 那对
[16:59] 就是应该是会到这个阶段
[17:01] 才可以把它视为说
[17:02] OK有可能要进入一个
[17:03] 这个盘整整理
[17:05] 或者说行情有机会
[17:06] 在这边要做结束
[17:07] 现阶段它比较平常
[17:08] 是在开营的时候一个阶段
[17:09] 所以类似说
[17:10] 这个中期
[17:11] 或者说初期左右的一个记忆体
[17:13] 这个是我们目前在
[17:14] 被动元件所看到的一个情形
[17:15] 那一样我们不去针对股价
[17:16] 来做评论
[17:17] 千万不要说什么
[17:17] 停到这边
[17:18] 我去买被动元件
[17:19] 像过去的有一波回档
[17:21] 就有人讲说
[17:21] 我下这边买国巨
[17:23] 那这个孟宫会怎么说
[17:25] 那回档了赔钱了怎么办
[17:26] 我只能够说
[17:27] 这种东西你可以抓到赔钱
[17:29] 你也是蛮厉害的
[17:30] 都喷成这样
[17:30] 然后你就刚好要买在那种
[17:32] 随便第一排
[17:32] 然后赔钱就问说我怎么收
[17:33] 不是没有办法
[17:34] 因为我们是带状而去cover产业
[17:36] 就像是我们到下来
[17:37] 是会cover记忆体
[17:37] 可是不代表这个地方
[17:38] 你要去屌追记忆体
[17:40] 一样的道理
[17:40] 因为我们尽量还是会去聊一些
[17:43] 跟市场相关的东西
[17:44] 可是也不希望跟市场
[17:45] 有太高度的一个联动
[17:46] 因为我们没有办法对
[17:47] 梅竹韭菜负责
[17:49] 所以我们自己严格上来说
[17:50] 就是一个稍微大型一点的韭菜
[17:52] 持续学习
[17:53] 只是尽量不要去怪别人
[17:54] 还是专注在这个产业
[17:55] 然后按自己的布局
[17:56] 成本不一样
[17:57] 其实很多时候想法会完全不一样
[17:59] 那再来就是我们来看一下
[18:00] 主动元件方面
[18:02] 其实主动元件
[18:03] 目前我们在市场上面看到的
[18:04] 这个涨价的趋势
[18:06] 也越来越明显
[18:08] 它有点像是稍早一点点的被动元件
[18:10] 那直到昨天
[18:12] 已经开始有一些供应链的朋友
[18:14] 来跟我讲说
[18:15] 像他们注意到一些MOSFET
[18:16] 已经出现了缺货
[18:17] 那很奇怪
[18:18] 就是这个东西
[18:19] 其实以前都是有点像是那种恐怖品
[18:21] 就是大家知道说
[18:22] OK比较紧
[18:22] 可是应该不会出问题
[18:23] 但我后来发现说
[18:25] 就是这几年市场去驱动
[18:27] 这个实际上的公司需求
[18:29] 它的影响是还蛮大的
[18:31] 也就是说它可能本来是卡的刚刚好
[18:33] 就是一个那种恐怖平衡
[18:35] 可是因为市场有资金去做它
[18:37] 那当你今天注意到说
[18:38] 你们家的股票在喷
[18:40] 可能这些公司派也想去了解一下
[18:41] 你们到底在炒什么东西
[18:43] 那大家可能去闻到一些不一样的味道之后
[18:45] 它会影响到它实际的操作
[18:47] 也就是一种那种自争预言的感觉
[18:49] 它可能本来有缺
[18:50] 但没有这么缺
[18:51] 但因为股价上
[18:52] 他们就真的相信自己很缺
[18:53] 所以大家都跑去拉货
[18:54] 就变成就那个缺货的一个
[18:56] 因为像骨牌就这样子去启动了
[18:58] 其实我们本来就有注意到说
[19:00] 一些公立人件
[19:01] 它的交期都是在拉长
[19:02] 只是在过去的一两个礼拜
[19:04] 就开始有全面引爆的一个现象
[19:06] 也就是说价格跟return
[19:08] 它都是持续的去做上升
[19:11] 当然可能在过去的一两个礼拜
[19:13] 刚好是市场的一些修正
[19:15] 又有一些特殊的事件跑出来
[19:16] 不然说像是安生美
[19:18] 因为他去做了一个收购
[19:19] 所以他股价要掉下去
[19:20] 可能大家想说
[19:21] 安生美掉下去
[19:22] 那是不是代表说功率元件不好
[19:23] 没有
[19:23] 那可能比较偏向是
[19:24] 它这个收购行为市场的一个反应
[19:27] 那其实按照我们目前
[19:28] 先不去讨论各家公司的股价
[19:30] 或怎么样
[19:30] 就单纯的去看
[19:31] 在产业的供需层面来说
[19:33] 功率元件就是另外一波
[19:36] 然后类似被动元件的样子
[19:37] 就是开始有一些离碳
[19:38] 然后跟价格上升的情形产生
[19:40] 那只是当然这个东西
[19:41] 目前它可能相较于被动元件
[19:43] 没有这么好去做一个审视
[19:46] 因为被动元件
[19:46] 我们已经可以很明确的知道
[19:47] 说是哪些料耗在缺
[19:48] 然后每个离碳是怎么样
[19:50] 那功率元件比较像是说
[19:51] 现在这些公司派
[19:52] 他们已经发现
[19:53] 这些采购已经发现了
[19:54] 所以大家赶快去拉货
[19:55] 那可能等到他们
[19:56] 稍微的跑一阵子之后
[19:58] 我们可以比较明确的知道说
[20:00] 那目前可能缺的东西是什么
[20:01] 那我们目前初步看
[20:02] 最缺的东西都是
[20:04] 欧美或者说日系的
[20:06] 那种一线IDM
[20:07] 所做的一些
[20:08] 可能比较偏向高压
