[00:00] 欢迎收听谷外,我是圣梦宫,本期节目由NordVPN赞助
[05:38] 都是喜欢分享说AI讲什么
[05:40] 你就想说如果你让AI来讲你专业的东西
[05:43] 你立刻就可以抓到他错
[05:45] 那你怎么敢拿AI的东西到处去找人家吵架
[05:47] 因为AI它毕竟像是一些幻觉
[05:49] 或是一些资料拿错
[05:51] garbage in garbage out
[05:52] 这个都还是会发生
[05:53] 像上次朋友看到周杰伦在喝酒
[05:57] 当然他也是我的听众
[05:58] 所以他知道说我最近有在喝酒
[06:00] 他就是看到周杰伦的一排
[06:03] 看起来像是梦幻异品的东西
[06:04] 他想说我就来跟着周杰伦一起喝好了
[06:07] 一查就发现说
[06:08] 靠北州就能这一排酒
[06:10] 好像七瓶吧
[06:10] 加起来总要一两千万
[06:12] 那时候我一看我就知道说
[06:13] 不对啊
[06:14] 这不可能是一两千万
[06:15] 然后里面有那个
[06:16] 什么Dauvinet嘛
[06:18] 那有一个Homani Conti
[06:19] 然后再来可能有一些
[06:21] 怎么讲
[06:21] 就是稍微有一点年份的波尔多之类的
[06:24] 但这些东西加起来
[06:25] 理论上它不会是那个价格
[06:27] 就我自己一看
[06:27] 我大概知道说
[06:28] OK它这一批大概是一百多万
[06:30] 当然周董他很常在喝非常贵的酒
[06:33] 如果有看到他限动就知道
[06:34] 但这一批呢
[06:35] 其实大概就是一百多万
[06:36] 没有到一千万
[06:37] 可是他的AI告诉他说
[06:38] 这是一个可能加起来1000万的东西
[06:40] 他就把AI讲的东西贴出来
[06:42] 然后就发现说
[06:43] 他可能在久标就看错了
[06:45] 然后再来他去捞价格
[06:46] 他也是完全捞错
[06:47] 像以这个Homani County来讲
[06:49] 他其实是不会到
[06:51] 可能300万到600万
[06:52] 除非你是买那种
[06:53] 不知道超级古老的
[06:55] 经典款年份之类
[06:56] 像之前的1945
[06:57] 是排到一个超级高的价格
[06:59] 不然如果你是买
[07:00] 可能1990之后的
[07:01] 其实那个价格都已经
[07:02] 某个程度上算是有一个
[07:03] 不能够说公定价
[07:05] 因为它一定是浮动的
[07:06] 但是他会有蛮多的网站
[07:07] 或是一些拍卖的页面
[07:09] 你可以找到他的价格
[07:10] 大概就是落在
[07:10] 基本上可以抓
[07:12] 可能60到100万之间
[07:13] 所以他绝对不是什么300到600万
[07:15] 总之就是
[07:16] 当然这是一个小事情
[07:17] 因为大家只是想去了解说
[07:18] 周杰伦和什么
[07:19] 这是无伤大雅的
[07:20] 可是你想
[07:20] 如果你今天是用这个模型
[07:22] 去看你公司的合约
[07:24] 或者是去处理一些
[07:26] 前来前去的东西
[07:27] 他就真的会出问题
[07:28] 代表他不够准确
[07:29] 这时候我就跟他讲说
[07:30] 我的模型是付比较多钱的
[07:32] 我一个月要付他6000块
[07:33] 然后在外加
[07:34] 他Token烧完
[07:35] 就是自动除职
[07:36] 所以就是为什么
[07:37] 他之前帮我听写会花很多钱
[07:38] 因为他只是自动除职
[07:39] 只有坏了一招
[07:40] 不能够把自动除职打开
[07:41] 然后就说让我的模型去跑看看
[07:43] 那我的模型也花超多时间
[07:45] 那是我可能在近期
[07:47] 也不能说第一次
[07:49] 但是就是蛮少次的觉得说
[07:51] AI距离取代人类的工作
[07:54] 还有一段路
[07:55] 而且我们人类是会进步的
[07:56] 是会有新的东西
[07:57] 因为我一眼就知道这些东西是什么
[07:58] 可是让AI去做处理的话
[08:00] 因为他没有那个dominology
[08:02] 其实你还要去养他
[08:03] 要去喂他
[08:03] 喂好之后可能会好很多
[08:05] 但总之呢
[08:06] 因为他可能花的心力会是更多
[08:08] 那成本也是更高
[08:09] 所以其实我人一眼就看得出来的东西
[08:11] 让AI去跑的话
[08:12] 那他就可能会花掉很多钱
[08:14] 然后再来就是跑出来的数据是不准确的
[08:16] 那用我的比较高级的模型去跑
[08:18] 他至少有把每支酒是什么都有抓到
[08:21] 年份都有抓到
[08:22] 但是他在跑价格的时候呢
[08:24] 还是会就是花太多的token
[08:26] 太多的时间来回要去做确认
[08:28] 那这个确认其实是没有必要的
[08:30] 据来说他会去查一下
[08:32] 今天在wine searcher的价格是多少
[08:34] 可能在舒富比拍多少
[08:35] 其实我觉得这样子
[08:36] 就可以去case close
[08:37] 就大概抓
[08:38] 大概多少钱
[08:39] 平均一下之类的
[08:41] 但他又会突然间
[08:42] 跑去一些什么
[08:42] one auction的网站
[08:44] 然后就看到说
[08:44] 像是什么idea wine
[08:46] 他可能一瓶
[08:47] 曾经卖到二三十万而已
[08:48] 就是那种
[08:49] 有时候会有一些离群值
[08:50] 可能是因为酒标的状况不好
[08:52] 或是保存状况不好
[08:53] 他那个酒业有渗漏之类的
[08:55] 价格会稍微低一点
[08:56] 但他因为他查到
[08:57] 有一个离群值的表现
[08:59] 他就重新把所有资料
[09:00] 再跑一下
[09:01] 说是不是我查错
[09:02] 就全部都从头来过
[09:03] 那当然如果是我们人去看
[09:05] 我就知道说
[09:05] 那个就是离群子
[09:06] 其实你就把它 rule out 掉就好
[09:08] 可是他不懂
[09:08] 那这个大概只是一个领域
[09:10] 我相信你把它 tune 好之后
[09:11] 他一定还是可以成为红酒的专家
[09:13] 那只是如果说
[09:14] 今天有多个领域要去做接触的话
[09:16] 其实大家还是要自己稍微小心一下
[09:18] 就是一个通用型的 AI 模型的
[09:20] 你要直接拿到工作上去用
[09:21] 是有机会会雷你的
[09:23] 那它产生的问题可能会非常大
[09:25] 因为像最近有一些社会事件的产生
[09:28] 那可能就是在规定方面
[09:30] 大家没有对好之类的
[09:31] 那导致一个人命的丧失
[09:33] 这个看了是蛮难过的事情
[09:35] 但我就想说
[09:35] 未来会不会越来越多
[09:37] 类似的状况产生
[09:38] 大家觉得说AI可以
[09:39] AI看过就好
[09:40] AI我叫你去对一下
[09:41] 什么各地的法规
[09:42] 建筑法规啥小
[09:43] 全部跑完之后
[09:44] 好啦这样就OK了
[09:45] 然后就直上
[09:46] 然后就可能因为这样
[09:47] 会产生巨大的危险
[09:48] 所以慢慢的懂
[09:49] 为什么会越来越多的
[09:51] 不管是机构
[09:52] 或者是一些大型的法人
[09:55] 然后再来是
[09:56] 这些科技巨头老板
[09:57] 都有提出这样子的一个警示
[09:59] 就是AI它是要govern
[10:00] 你是要去harness它
[10:01] 你是要去有所控制的
[10:03] 你不能够说什么
[10:04] 你就是放任一个
[10:05] 我们可以把它称为是一个
[10:07] 类智慧体
[10:08] 然后他就随便在那边转
[10:09] 那就完全相信他的所有决策跟判断
[10:11] 因为你从一些小的东西上面就知道
[10:13] 他是有机会犯蛮大的错
[10:15] 当然有些错是无伤大雅的
[10:17] 有些错是会造成巨大的伤害的
[10:19] 这个大家自己要稍微小心一下
[10:21] 最近的一些小小心得与大家分享一下
[10:23] 好那近期的市场开始出现杀人诛心盘
[10:26] 这个对蛮多人来讲
[10:28] 应该都在蛮痛苦的
[10:29] 但如果说冷静看一下大盘指数呢
[10:31] 就回不到10%
[10:32] 所以如果大盘回不到10%的话
[10:34] 你可以很粗浅的去推一下
[10:37] 像你自己如果习惯性是打两杯杠杆的
[10:39] 那你就是可能要回20%以内之类的
[10:42] 那如果你是打更大的
[10:43] 你就可以以此类推
[10:44] 但一般来讲
[10:44] 我们不会希望自己在每一次的回档
[10:46] 不小心回太多
[10:47] 因为你要站回去就会变成是非常的困难
[10:50] 那以这次来讲呢
[10:51] 有蛮多的热门股都开始出现休息了
[10:54] 都是有相当程度的一个回档
[10:56] 有些可能回到二三十趴以上
[10:57] 那他上去的时候
[10:58] 可能也是好几倍还上去了
[11:00] 所以我觉得还算正常
[11:01] 就有点类似说韩国的指数
[11:03] 他其实是喷到烂掉
[11:04] 所以他这样子跌
[11:05] 其实他根本连半山腰都还没有跌到
[11:07] 看起来很多
[11:08] 但因为前面真的喷太多了
[11:10] 所以在我看来就是有一点像是说
[11:12] 业力引爆
[11:12] 大家要缴个税
[11:13] 过去过得太爽就是要还
[11:15] 每次只要过得太爽
[11:16] 后面就是要还
[11:17] 那重点是后面要怎么样持续的去面对
[11:19] 那当然现在还是会有很多人
[11:21] 会想要去讨论说
[11:22] 到底是因为什么理由下来
[11:23] 是因为可能什么通膨的危机
[11:25] 要升息
[11:26] 还是说是美伊战争
[11:28] 这个我们前面都已经讨论到烂掉
[11:30] 也不想去讨论
[11:30] 也觉得它不是重点
[11:31] 我自己觉得核心的重点是什么
[11:33] 就是韩国的去杠杆
[11:34] 它应该是影响到全世界
[11:35] 后来我觉得这样
[11:36] 我也不会想问韩国人
[11:37] 到底会不会做股票
[11:38] 因为韩国人这个有点像是说
[11:40] 他只能够像是
[11:41] 怎么讲
[11:43] 就是刀组上的鱼肉吧
[11:44] 他就是只能够给人家杀了
[11:46] 讲白一点是这样子
[11:47] 那什么意思呢
[11:48] 就像说像那时候去年三月
[11:49] 为什么会讲说
[11:50] 美国人到底会不会做股票
[11:52] 那时候真的会想问
[11:52] 就是因为他们疯狂的在跌leverage
[11:54] 但是他跌leverage算是那种有序的
[11:57] 就是说每天不停的往下掉
[11:59] 你又想说他妈的
[12:00] 你昨天不卖
[12:01] 你今天卖
[12:01] 你每天都在卖
[12:02] 那干啥小
[12:03] 你不会前面就赶快卖一卖
[12:04] 可是你可以理解
[12:05] 就是这个也是我们老实讲
[12:06] 就是身边在做一些交易的人
[12:08] 蛮多也会这样子做
[12:09] 就一个东西
[12:10] 理论上我是越涨越卖
[12:11] 那越跌呢
[12:12] 我就会慢慢减
[12:12] 一方面可能是
[12:14] 我就假设说
[12:15] 我是一个humble guy
[12:16] 我不知道这个市场呢
[12:17] 有很多这个未知的事情
[12:19] 会不会对我造成一些影响
[12:21] 所以当今天价格
[12:22] 不是我想要的一个方向
[12:23] 我可能就慢慢减
[12:23] 另外一个方面就是说
[12:25] 其实一个波段来讲
[12:26] 也赚够多钱
[12:27] 大家不要玩是不是
[12:28] 没关系我就配合砸掉
[12:30] 这个也是我们家的身边
[12:31] 或者像我之前
[12:31] 跟大家分享
[12:32] 一个标的
[12:33] 你在那边弄弄半天
[12:34] 你已经是上面
[12:35] 不知道就你可能
[12:36] 拿60天90天
[12:37] 你是其中一个大主力
[12:38] 你都没有在卖
[12:38] 然后一堆白痴在那边卖
[12:40] 那没关系大家都不要玩
[12:41] 我们一起把它砸掉
[12:41] 这个是会发生的
[12:43] 就是说那时候在美国市场
[12:45] 看起来比较像是这样
[12:46] 它是一个有序的
[12:47] 大家慢慢的去降纲
[12:49] 当时我的说法是说
[12:50] 我等到有一个像样的人道走廊
[12:52] 我要去做减嘛
[12:53] 我自己是不会去把不会卖光的那种人
[12:54] 我就去做一些减嘛
[12:55] 然后后来就遇到一个四月关税嘛
[12:57] 所以还好还是有钱可以加嘛
[12:59] 不然那个时候应该会觉得非常的难
[13:01] 那这一次的话
[13:02] 我觉得跟可能去年三四月
[13:05] 那个状况有蛮大的一个差距
[13:07] 那时候其实是整个大盘
[13:08] 都已经破线在往下走
[13:09] 那这一波呢
[13:10] 你可以注意到大盘
[13:11] 它其实基本上是差不多停留在原本的地方
[13:14] 当然它现在往季线去靠
[13:16] 我觉得不是一个太好的事情
[13:17] 但它距离高点
[13:18] 其实就是10%以内而已
[13:20] 所以理论上你不应该赔
[13:21] 这个输大盘太多就是说大盘假设回8%我们随便举例那你平常是开可能两倍到2.5倍杠杆的你就要回16%以内一般你可以这样子算你就要想象什么反正你在可能多头的时候
[13:34] 你也是跑赢大盘
[13:35] 空头的时候你也会跌一大盘
[13:37] 可是就尽量跌越少越好
[13:38] 因为跌太多会救不回来
[13:41] 韩国人跟美国人的差距是
[13:42] 美国人那时候是非常有序的在deleverage
[13:44] 不然像我们自己也是
[13:46] 趁到一个人道走廊就去deleverage
[13:48] 可是韩国人
[13:49] 他其实真的有点像说待宅的羔羊
[13:51] 就他们是没有办法做任何的事情的
[13:53] 因为他们的杠杆实在堆叠的太高了
[13:55] 所以他有点像他说是被迫平仓出场
[13:59] 然后大家人踩人
[14:00] 你可以这样去做一个想象
[14:01] 那再来就是可能有些是新加入的
[14:03] 他也开了大量的杠杆
[14:04] 那他一下又撑不住
[14:05] 在助长的这个继续往下掉的一个状态
[14:08] 那谁最爽
[14:09] 就是可能各地的量化资金就赚到翻掉
[14:11] 这种那种一堆臭散户在那边乱杀
[14:14] 或是乱追
[14:14] 像台湾每次发ETF
[14:16] 一堆人看到溢价狂追
[14:17] 那个最爽是谁
[14:18] 就是那些在做套利交易的
[14:21] 所以身边就有朋友分享说
[14:23] 搞不好Gentree
[14:24] 这个Q又要赚到烂掉
[14:26] 光是赚这些韩国韭菜的钱
[14:27] 就把它赚到烦掉
[14:28] 我是觉得说韩国市场
[14:30] 他们敢去开很大的杠杆
[14:32] 本身是非常恐怖的
[14:33] 为什么
[14:33] 因为他们其实
[14:33] 首先他们大盘指数的
[14:35] 集中度是很高
[14:37] 记忆体产业就是占比的
[14:38] 差不多是一半
[14:39] 他们大盘指数平常的波动
[14:41] 就是你看到他整天在垄断
[14:43] 现在没有什么特殊的国际事件
[14:44] 他可以整天垄断
[14:45] 所以他大盘指数
[14:46] 你甚至就可以直接想象成说
[14:48] 他的那个波动
[14:49] 不要说什么波动率
[14:50] 就是说它的那个波动的程度
[14:51] 大概想象一下
[14:53] 它就是可能各国市场
[14:54] 本身的两到三倍
[14:55] 它本身波动就是人家两到三倍
[14:57] 那韩国人在这之上
[14:59] 再去开两到三倍的一个杠杆
[15:01] 而且它开两到三倍的杠杆
[15:02] 它可能是使用一些ETF
[15:05] 或是一些融资的管道
[15:06] 它搞不好又在拿
[15:07] 因为你还在我本金
[15:08] 那你本金怎么来
[15:09] 搞不好本金也是去信贷
[15:10] 或是去借来的
[15:11] 所以其实你真的要去算
[15:12] 韩国人的杠杆的话
[15:13] 我就跟我朋友细成
[15:14] 搞不好保底都是9倍10倍以上
[15:16] 因为它的指数本身就是累杠杆
[15:19] 它不是真的杠杆
[15:20] 但大家想象一下
[15:21] 就是他的波动
[15:22] 本来就比人家大很多
[15:23] 这时候在一层上
[15:25] 他使用的两到三倍杠杆
[15:26] 就是六到九倍
[15:27] 在一层上他借的钱
[15:29] 说不定他的本金其实超小
[15:30] 他去借一大笔钱
[15:31] 然后来去撬动这些杠杆
[15:32] 所以他可能是开到十几倍以上
[15:34] 所以你完全可以去理解
[15:35] 为什么他们会整天
[15:36] 下去的时候熔断
[15:37] 上去的时候也熔断
[15:38] 就是非常的疯狂
[15:39] 甚至会产生很多
[15:41] 多空双八的一个现象
[15:42] 然后最后就发现说
[15:43] 其实韩国人某个程度上
[15:45] 像是金融恐怖分子
[15:47] 其实你现在仔细回想
[15:48] 我们过去真的是被韩国人搞到蛮多次
[15:50] 只是可能过去
[15:51] 你没有想到要特别拉出来讲
[15:52] 所以有一次Arkegos事件
[15:54] Arkegos事件的话
[15:56] 反正就是几年前
[15:57] 现在听众可能不知道
[15:58] 没有体验过
[15:59] 可是当时有体验过的
[16:00] 美股投资人应该都知道
[16:01] 反正因为有一个韩国的经营人
[16:04] 这个BioHong
[16:05] 然后他开了超级巨大的杠杆
[16:07] 在搞股票
[16:07] 然后接着被沙拉爆掉
[16:09] 触发了一个连锁反应
[16:10] 导致可能很多地方
[16:12] 也跟着deleverage
[16:13] 所以这不是他们韩国人
[16:14] 第一次这样搞
[16:14] 那时候就是搞到很多人
[16:15] 包含像我们自己的部位
[16:16] 也是有受到蛮大程度的一个回吐
[16:18] 那当然回头看都没事
[16:20] 只是说当下又是你
[16:22] 然后再来可能之前
[16:23] 什么Luna B也是韩国人
[16:24] 还有之前在炒那什么Tesla
[16:27] 或是什么Parentier的时候
[16:28] 每次那种最高档
[16:29] 然后后来光速回档那边
[16:30] 其实都是韩国人把杠杆开到爆掉
[16:32] 把市场所有的流动性
[16:33] 他妈抽到爆掉之后
[16:35] 然后接着出事情
[16:36] 那他们因为就是杠杆开爆了
[16:38] 大家手上都没有钱
[16:39] 只好怎么样互相踩踏
[16:40] 所以真的是每次韩国人群聚的地方
[16:42] 还有加密货币千万不要忘记
[16:44] 这些东西真的都是
[16:45] 韩国人进去恶搞之后
[16:46] 然后就直接把大家搞到爆炸
[16:48] 那这是在市场里面
[16:49] 其实我觉得
[16:50] 一开始也不会想要去前途
[16:51] 因为像我们是不太喜欢去前途
[16:52] 说什么
[16:53] 这个某一个盘面的状况
[16:55] 是谁造成的
[16:56] 因为那一定有很多综合因素在里面
[16:58] 那甚至有时候会反求诛急
[16:59] 就是这个盘面
[17:00] 如果真的这么好的话
[17:01] 他应该不会因为一些事件
[17:03] 就影响到他
[17:03] 会这样去想他
[17:04] 但如果你发现说
[17:05] 已经连续数日
[17:07] 就是每次只要韩国指数
[17:09] 他妈开始烙赛
[17:10] 然后大家就跟着烙赛的话
[17:11] 那基本上就可以去做
[17:13] 相当程度的鬼因
[17:14] 就是OK
[17:14] 那现在可能就是全世界
[17:15] 都跟着去杠杆
[17:17] 不一定说什么韩国人
[17:18] 有来台湾杠杆之类
[17:19] 但是其实国际金融
[17:21] 这边发现说
[17:21] 它是攀根错脊
[17:23] 其实大家都会互相影响
[17:24] 包含说像是外资体官
[17:25] 注意到说亚币偏弱
[17:26] 这个都会影响
[17:27] 但他们的一个
[17:28] 剧烈这样杠杆的作为
[17:29] 我觉得有影响到
[17:30] 就是亚洲股市的其他人
[17:32] 大家就想说
[17:32] 好就跟着一起这样杠杆
[17:33] 只是我觉得台湾
[17:35] 算是某个程度上
[17:36] 有提早去拆弹
[17:37] 其实最近有在做交易的朋友
[17:39] 应该都会发现
[17:40] 就是一个最明显的
[17:41] 首先你下去下单的时候
[17:43] 很多股票
[17:43] 莫名其妙你会被封控
[17:44] 他直接不让你买多
[17:46] 就是一些那种
[17:47] 比较小型的股票
[17:47] 像我朋友在那边
[17:48] 拉一拉
[17:49] 然后突然间
[17:50] 怎么没有办法下单呢
[17:51] 然后打电话去封控
[17:52] 要解封控的话
[17:53] 要怎么往上签签成
[17:54] 干他妈气得要死
[17:55] 因为他已经是规划好
[17:56] 要怎么做了
[17:57] 那结果被人家锁喉
[17:59] 然后再来就是
[18:00] 像我自己有遇到的
[18:01] 就是你那个融资的部位
[18:02] 现在有一些券商是这样
[18:03] 他单档可能就是
[18:04] 锁你一个上限
[18:05] 就几千万这样
[18:05] 可能一千五六三千万
[18:06] 那你要在网上点的时候
[18:08] 他就不给你了
[18:09] 他就直接把你整个卡市
[18:10] 你如果要的话
[18:11] 又要再往上去写签证
[18:12] 那后来是有听到一些
[18:13] 营业员朋友是有讲
[18:14] 他说他们其实内部
[18:16] 也是有在讨论说
[18:17] 是不是可能要请
[18:18] 可能有关单位
[18:20] 或者说官方这边
[18:21] 公司这里
[18:22] 可以去放一个白名单
[18:24] 他其实跟那个诈骗有点像
[18:26] 虽然是完全不一样的东西
[18:27] 但我说背后逻辑也很像
[18:28] 就是因为少部分的人
[18:30] 他们在违约交割
[18:31] 他们在爆仓
[18:32] 就像少部分的人
[18:33] 他们被骗了
[18:35] 那当然
[18:35] 我们不知道去苛责这些人
[18:38] 但就是反正被骗的人
[18:39] 蛮多时候你抓出来
[18:40] 都是一直是同一群人
[18:41] 那就导致说
[18:43] 这些券商或是银行
[18:44] 为了要保护你
[18:45] 他们就把一些封控的门槛
[18:46] 往下放
[18:47] 那就变成所有人都被卡住
[18:49] 所以现在其实在市场上
[18:50] 在做交易
[18:51] 很多那种融资的部位
[18:52] 你是没有办法敲满的
[18:53] 他会直接在封控这边
[18:54] 就把你挡掉
[18:55] 那再来就是不先用途质押
[18:57] 这个应该大家都已经体验到了
[18:59] 像我自己是
[18:59] 可能三四月以后
[19:00] 我就没有办法去
[19:01] 使用我的额度
[19:02] 不是调额度
[19:03] 是我的额度就是摆在那边
[19:05] 就要说两亿的额度
[19:06] 给你下六千万
[19:07] 不给你下了
[19:08] 以前是无限
[19:08] 你就可以下到两亿
[19:10] 然后现在就是会去做限制
[19:11] 甚至你要在新界的
[19:13] 他就不给你
[19:14] 所以你旧的反而不敢还他
[19:15] 因为你怕还他之后
[19:17] 他就给别人
[19:18] 或者是他就把他再往下调
[19:19] 像他的融资的环境是长这样
[19:22] 所以台湾的融资
[19:23] 其实相较于韩国人还好啦
[19:25] 那当然知道
[19:26] 我去写这个文章的时候
[19:27] 就讲说台湾一堆人在弄政
[19:29] 反正就是大家就是很喜欢
[19:31] 每个人都最懂
[19:32] 每个人都最了解
