[00:00] 欢迎收听谷外,我是孟公
[01:54] 也就是可能不知道
[01:55] 已经在好几年来
[01:56] 第一次往下踹破80
[01:58] 这个跌破是高兴的
[02:00] 平常看到跌破是妈的
[02:01] 想要叫妈妈
[02:02] 但这一次看到跌破是非常开心
[02:04] 同时也注意到自己的体脂肪
[02:06] 是大概17左右
[02:07] 内脏脂肪稍微的高一点点
[02:10] 肌肉量在过去的一个月减重
[02:12] 都是没有注意到有显著的下降
[02:14] 所以算是一个非常成功的减重
[02:16] 但是你说我自己会不会把它归功于
[02:18] 这个Ozempic减肥针呢
[02:20] 当然其他大家都用Mongjaro
[02:22] 只是我冰箱还有Ozempic
[02:23] 我就把它用完
[02:24] 那接下来就要进入Mongjaro
[02:26] 只是我自己其实也在怀疑说
[02:27] 到底有没有必要再继续打下去
[02:29] 因为照这个速度来看
[02:31] 其实很快就会打标
[02:32] 那当然我觉得瘦瘦身本身
[02:34] 算是一个心理上的cue
[02:36] 就是它真的是让我可能会
[02:38] 稍微的注意一下自己
[02:39] 我都已经打针了
[02:40] 所以我就要认真的运动
[02:41] 吃东西可能就要稍微的节制一点
[02:43] 但当然有帮到
[02:45] 我觉得说像我跟大家分享的
[02:47] 我的食欲反而是变大
[02:48] 就现在其实你看到东西
[02:50] 你超想吃
[02:51] 但你会吃到某个时间点
[02:53] 就突然间停住
[02:54] 所以有点像他说
[02:55] 你被锁掌停上线
[02:56] 你本来可以吃到10%锁掌停
[02:58] 然后现在交易所改规则
[03:00] 你吃到6%就锁掌停
[03:01] 你会一瞬间就
[03:03] 我吃饱了不能够吃了
[03:04] 但是非常幸运
[03:05] 就自己没有像一些朋友的副作用
[03:07] 是你会对食物感到反胃
[03:08] 或是你喝一些
[03:09] 可能味道稍微重一点的
[03:11] 有人讲说咖啡或是酒精
[03:13] 只要一碰到就想吐
[03:14] 那我是完全都没有
[03:15] 所以Ozempi对我来讲
[03:16] 是非常的适合
[03:17] 那接下来换Mongioro
[03:18] 不知道会怎么样
[03:19] 那我是打算说
[03:19] 如果Mongioro打了
[03:20] 有一些副作用
[03:21] 我就会直接把它停掉
[03:22] 就直接完全不打了
[03:23] 因为我觉得按照下他的一个节奏
[03:25] 应该是非常有效率的
[03:27] 就可以达到我的目标体重
[03:28] 就大概76公斤左右
[03:30] 那自己观察一下自己的血压
[03:32] 也是顺利的掉下去
[03:33] 所以这个医师的安排是正确的
[03:35] 那所以在过去的一阵子
[03:37] 就觉得这个健康方面的努力
[03:38] 是非常值得开心的事情
[03:40] 甚至是高于
[03:41] 就是自己在工作里面的一个表现
[03:44] 那也因为去接触了网球之后
[03:46] 最近也稍微就去调整了一下
[03:48] 自己训练的课程
[03:49] 那网球我算是非常积极爱打
[03:51] 我跟我教练下一个默契
[03:52] 就是反正他只要有人跳他课
[03:54] 我就会直接去上课
[03:55] 那不管教练给我什么样的鸟蛋时间
[03:57] 我都会尽量配合
[03:58] 那搞到另外一个教练
[04:00] 他因为太常看到我
[04:01] 他就讲说你应该是这个网球场最认真的学生
[04:03] 那我觉得这个认真是有
[04:05] 怎么讲就一个很棒的回报
[04:07] 因为我在昨天已经可以跟教练打
[04:10] 就是我们自己把它称为是正式的比赛
[04:12] 有在计分
[04:13] 就已经可以是跟他打来打去
[04:14] 那虽然还是会被教练给虐掉
[04:16] 但已经是可以跟他可能来回诉求这样子
[04:19] 那甚至有时候可以骗到他
[04:20] 就是你可以稍微的控制一下球要往哪个地方落
[04:23] 其实我觉得网球是一个蛮不简单的运动
[04:25] 因为你只要稍微的发力
[04:27] 可能就不小心把球直接轰出场之类的
[04:29] 所以它需要蛮多协调性的
[04:31] 因为网球的训练就让我去明白到
[04:34] 其实泰拳我就有稍微的做一点修正
[04:35] 因为注意到泰拳要很高的一个灵活度
[04:38] 所以像过去可能就是一昧的追求肌肥大
[04:41] 虽然我其实真的没有练到很壮很壮
[04:43] 我就只是在有闲暇的时间去练
[04:45] 我看我的inbody其实我肌肉量都算比较高的
[04:48] 当然跟那些巨巨猛男比还差很多
[04:50] 那就会注意到说像在泰拳
[04:53] 你就需要比较高的一个灵敏度
[04:55] 虽然其实你的肌肉根本严格上
[04:56] 还说不重
[04:57] 但我心中就会觉得
[04:58] 那我可能就要往一些
[04:59] 比较灵敏的方向去做训练
[05:01] 然后到网球的时候
[05:03] 更是加深的这个决心
[05:05] 就是我要让自己的弹性
[05:06] 跟灵活度变得很好
[05:07] 那所以在我老婆的安排之下
[05:09] 就我自己也找了一个健身教练
[05:12] 那这个健身教练跟过往
[05:13] 自己接触到一些不太一样
[05:15] 就以前可能都是带我
[05:16] 做三大项之类的
[05:17] 那这位健身教练
[05:18] 是因为有一次我在健身房
[05:20] 我就注意到说
[05:20] 这个人不太一样
[05:21] 因为他跟别人训练的东西
[05:23] 比起来他的蛮特别的
[05:25] 那后来就有朋友跟他讲说
[05:26] 这个好像教什么
[05:26] 机能型的训练之类的
[05:28] 那所以呢
[05:29] 我就是发现说这个人还蛮屌的
[05:31] 所以就请我老婆去问一下他的教练
[05:32] 问说有没有办法去安排这位教练
[05:35] 然后最后面就是有顺利的上到课
[05:36] 那最近的上课体验就蛮好的
[05:38] 他教我的一些东西真的很神奇
[05:40] 他就是像我第一堂课是学
[05:42] 很基础的起立蹲下
[05:44] 然后跟从椅子上面站起来
[05:46] 他只是你要怎么样去用你的宽发力
[05:48] 你坐着的时候可能就身体要坐挺
[05:50] 其实假设是用左边的腿要站起来的话
[05:53] 那你就是要先往左稍微的侧身一点
[05:56] 把宽收起来
[05:57] 然后感受到那边很紧的时候
[05:59] 接着就把自己推起来
[06:00] 所以我看教练坐的时候
[06:02] 我觉得感觉超简单
[06:03] 不就是起立蹲下
[06:04] 而且甚至没有负重
[06:05] 就拿一个什么四公斤的哑铃
[06:06] 当成是一种体重的Q而已
[06:08] 那结果没有想到是非常困难的
[06:11] 就跟着做这些看起来超简单的起立蹲下
[06:13] 然后或者是从椅子上面站起来
[06:15] 那其实就有办法做到会流汗
[06:17] 那我觉得这可能是一个正确的努力方向
[06:21] 就是让自己的全身肌肉更能够妥善的去做利用
[06:24] 他就跟我提到说
[06:25] 像可能两个人一个超壮
[06:27] 那一个比较瘦一点
[06:28] 那为什么比较瘦的
[06:28] 有时候他可能在打棒球的时候可以轰比较远
[06:31] 是因为他知道怎么样用自己的
[06:33] 从腿到髋
[06:34] 然后可能到腰到上肢
[06:36] 怎么样去做一个发力
[06:37] 然后可以把球打得比较远一点
[06:39] 所以接下来应该就往这个方向去努力
[06:43] 去雕琢一下自己的身体之间
[06:44] 那这个是从以前可能想都没有想过的时候
[06:46] 有一天会往这个方向去做调整
[06:48] 所以4月对我来讲
[06:50] 真的是一个
[06:50] 就自己在生活上面
[06:52] 是有非常巨大改变的一个月
[06:54] 那也非常感谢
[06:55] 当时我的医师跟我推荐说
[06:57] 要去打个瘦瘦针
[06:58] 虽然最后面没有依赖这个瘦瘦针
[07:00] 就是我不像自己身边的朋友
[07:01] 可能他们最主要减重
[07:02] 就是他什么都吃不下
[07:04] 所以当然就瘦了
[07:04] 那可能因为这样掉很多肌肉
[07:06] 身边有蛮多朋友
[07:07] 就是因为这样就不打
[07:08] 那我算是相对幸运
[07:09] 就是我没有什么副作用
[07:10] 我都还是可以健康的吃
[07:11] 而且是吃得很开心
[07:13] 因为食欲反而变好
[07:14] 超神奇的
[07:14] 真的很像是那种
[07:16] 就是你国中饿超久
[07:18] 然后接着中午要放饭
[07:19] 就是前面你在那边上体育课
[07:21] 真的是跟那种感觉很像
[07:23] 所以非常感谢
[07:24] 身体给我非常正向的回馈
[07:26] 那接下来就稍微讲一下自己的工作
[07:28] 那当然在过去的一阵子
[07:30] 我相信每个人的表现都是非常好了
[07:33] 那我也实不相瞒
[07:34] 跟大家说我表现很好
[07:35] 但昨天还在跟自己身边的
[07:38] 那种交易圈的大哥聊天的时候
[07:41] 那就有提到说
[07:42] 其实我算是过得相对忧郁一点点
[07:44] 那当然有些人听到这边
[07:46] 一定觉得说what the fuck
[07:47] 可是我觉得如果你自己在做交易
[07:48] 然后你也认识一些
[07:49] 所以交易圈的人
[07:50] 那这阵子应该可能
[07:52] 有些人的想法会跟我一样
[07:53] 因为当你发现
[07:54] 你自己可能打出了一个超好的报酬
[07:56] 就没想到别人的报酬都比你更好
[07:58] 那像一开始
[07:59] 我也只是抱持一个试探的心情
[08:01] 就问一下身边的一些快乐好朋友
[08:02] 说你们year to day到多少了
[08:04] 那就没有想到
[08:05] 大家下达都不是在讲year to day
[08:07] 大家都在讲mtd
[08:09] mtd什么month to day
[08:10] 就直接看四月到下达报酬是怎么样
[08:12] 因为他妈事业到现在
[08:13] 一堆人是赚超过五成
[08:15] 那一大堆翻倍的
[08:17] 那以我自己来讲的话
[08:18] 就是可能在自己身边
[08:20] 这些少年股神里面
[08:21] 大概是排在低标吧
[08:23] 但当我去跟一些
[08:24] 就是相对大资的大哥们比的时候
[08:26] 那我感受就好一点
[08:28] 所以他有点像是说
[08:29] 没有办法
[08:29] 就是说资金的水位的问题
[08:31] 当资金大的时候
[08:33] 可能那些人就会动得比较慢一点
[08:35] 那也可能是会
[08:36] 为了要追求保险跟保守
[08:38] 作为一个主要的考量
[08:40] 所以在绩效方面
[08:41] 比较不会冲这么快
[08:42] 但一些小资金在这波
[08:43] 真的是削到翻掉
[08:44] 那像身边有一个
[08:45] 我觉得他没有要昂瞎的意思
[08:47] 可是他跟我讲
[08:48] 我就有被他刺激到
[08:49] 他就说
[08:49] 怎么讲
[08:51] 他先跟我讲说
[08:52] 他非常高兴
[08:52] 他终于赚到一亿了
[08:54] 终于进一亿俱乐部了
[08:55] 那讲完大概没有一两个礼拜
[08:57] 跟我讲说
[08:57] 他已经进两亿俱乐部了
[08:59] 那同时跑去买了房子
[09:00] 那他也跟我
[09:02] 另外一个朋友
[09:02] 因为后来是另外一个朋友
[09:03] 跑来跟我讲说
[09:04] 你有没有听说他怎么样
[09:05] 我说我有听说
[09:06] 他跟我讲说
[09:06] 他讲说
[09:07] 他太早买房子
[09:09] 如果等两个礼拜
[09:10] 他就买一个更大的房子
[09:11] 所以就是我们会看到
[09:12] 这样的故事之后
[09:13] 然后有时候就会
[09:14] 就心中就会受到影响
[09:15] 其实以前有听到一些
[09:16] 大哥们有分享过
[09:18] 类似的故事
[09:19] 就是他已经是市场里面的
[09:20] 那种大哥大等级的人物
[09:22] 可是他听到有一些后辈
[09:23] 可能短短的在一两年内
[09:25] 然后抓到一些标股
[09:26] 直接赚爆
[09:26] 然后接着他可能就
[09:27] 心里就出问题了
[09:28] 然后或者说他就很忧郁
[09:30] 那这个真的是自己遇到之后
[09:32] 才可以感受到
[09:32] 这样子的一个感觉
[09:34] 那所以我就跑去跟
[09:36] 这个市场的一些前辈们
[09:38] 稍微的聊一下
[09:39] 自己的一个感受
[09:40] 然后他们就
[09:41] 算是马上就开导我了
[09:42] 意思就是讲说
[09:43] 你比这个没有意义
[09:44] 你重点是要看说
[09:46] 这个shop ratio是怎么样
[09:47] 后来回档的时候
[09:48] 你知道有些那种赚超快
[09:49] 他也回很大
[09:50] 他们讲这个
[09:50] 绝对不是酸葡萄的意思
[09:52] 因为他们就看多了
[09:53] 再来就是说
[09:54] 这也要看年纪
[09:55] 如果你今天是
[09:56] 像我觉得他讲一个举例很好笑
[09:58] 他说以前跑去打那种小马力
[09:59] 你的资产就是一根懒叫而已
[10:02] 你跑进去
[10:02] 你随便一天也可以十倍
[10:04] 运气好你可能就翻到了
[10:05] 但你变大的时候
[10:07] 你可以直接买下这家店
[10:08] 你要怎么样去找到一个够大的空间
[10:10] 让你十倍
[10:11] 然后他又再举一个例子
[10:12] 要说像是巴菲特
[10:13] 你说巴菲特要怎么样去打出一个
[10:15] 什么超级恐怖的报酬
[10:16] 他根本没有那样的流动性
[10:17] 让他去做这样子的事情
[10:18] 所以他的绩效可能很高程度的
[10:21] 跟联准会的一些决策就有关系
[10:22] 现在到底要不要放水
[10:23] 要不要让更多钱跑出来
[10:25] 像他早年那样子拼alpha
[10:27] 可能就比较困难
[10:27] 因为他的部位真的太大了
[10:29] 他光是
[10:30] 他有一些那种小东西还要买
[10:31] 他就直接全额收购
[10:33] 他根本没有办法进去
[10:34] 像以前那样子去嫖人家
[10:35] 所以就会变成说是比较困难
[10:37] 所以你钱变大
[10:38] 你的绩效自然就是会跑得比较慢
[10:39] 其实道理我们都懂
[10:40] 但就是有时候听到身边一些朋友
[10:42] 特别是这一波
[10:43] 我觉得身边那种
[10:44] 特别是Hybrid型的
[10:45] 其实也都表现很好
[10:46] 因为以前可能是比较偏向说
[10:47] 像产业型的
[10:48] 他们会有一些诅咒
[10:49] 就是他们对产业非常了解
[10:51] 但就是因为他们非常的了解
[10:53] 所以他们抱不太住东西
[10:54] 但这一次我注意到
[10:55] 就是那种Hybrid型的
[10:56] 就他自己本身是产业加股票双期的
[10:59] 其实很多人都表现得非常好
[11:00] 所以看多了一些那种可能破百%
[11:03] 我们讲的是一个月
[11:04] 我们在讲说什么
[11:04] 从年初到现在
[11:05] 那心中就会觉得说
[11:07] 干我到底在干吗
[11:08] 我是不是真的太慢
[11:09] 那具体的反应是怎么样呢
[11:11] 像我自己手上的持股
[11:13] 当然最近比较幸运的
[11:14] 就像MTK
[11:15] 直接两根涨停
[11:16] 这个真的是妈的
[11:16] 想都不敢想的事情
[11:17] 那再来呢
[11:19] 有些族群其实他的
[11:20] 过去的一到两个礼拜
[11:22] 他是搞不好涨了10%
[11:24] 但就是不知道
[11:25] 就最近我还是把它减码了
[11:26] 为什么
[11:26] 因为我觉得他太慢了
[11:27] 就是我相信未来的
[11:29] 有一天听到这一集
[11:30] 或者说过去的某一集的时候
[11:32] 假设我可以去预知未来
[11:34] 听到我下这一集
[11:34] 我会觉得说
[11:35] What the fuck are you talking about
[11:37] 就你到底在讲什么
[11:38] 就其实你这个股票等于是跑的
[11:40] 好好的它没有事情
[11:41] 可是为什么你要解码它
[11:42] 因为拜托外面一堆东西在喷
[11:44] 你怎么可能坐得住啊
[11:45] 你就只想要每天都去跟着人家
[11:47] 抢涨停的东西
[11:48] 或是你看那个新贵股
[11:50] 你知道新贵股他妈整个坏掉
[11:51] 新贵好像多少
[11:52] 300多只标的吧
[11:53] 就有一天
[11:54] 好像涨10 20%以上
[11:56] 就几十档
[11:57] 然后有好几家涨到停牌
[11:59] 那今天就看到一个电感厂
[12:02] 他真的超屌
[12:03] 他直接上去就
[12:04] 他好像本来是开100多吧
[12:06] 然后直接冲到1000多块去
[12:08] 就是你真的会在心中觉得说
[12:10] 我到底看了什么东西
[12:11] 然后外加可能
[12:12] 此消彼长的
[12:14] 就是会有一些朋友跑来讲说
[12:15] 今年怎么样了
[12:16] 那你真的会受到一些影响
[12:18] 所以像我自己就是
[12:19] 我真的把一些标的
[12:20] 他走得好好的
[12:21] 就在过往的经验上
[12:22] 这个我绝对不会去动他的
[12:24] 因为他就是一个妥妥的强势股
[12:26] 但是他不够强势
[12:27] 兄弟对不起
[12:28] 我知道把你捡嘛
[12:29] 我知道换去别的地方
[12:30] 你知道以前我们讲到泰洛留强我们真的是太掉那些在破底的或者说横盘不会动的你现在的太陋流长竟然是太掉那些过去涨没有这么多的而且其实已经算涨很多了你已经变成是这样的一个思维在弄股票
[12:42] 所以我觉得就心态受到影响是必然
[12:46] 因为你已经开始看到就是沿路都是一堆东西在喷
[12:49] 或是甚至会开始想说
[12:50] 妈的为什么我不要早一点
[12:51] 满手拿满一些什么新贵的股票
[12:53] 为什么新贵股票可以全部这样子设出去
[12:55] 那再来就是也注意到有蛮多
[12:58] 自己身边在做交易的
[12:59] 就即便大家都会自己选股
[13:01] 可是有些人他就直接把钱放进去
[13:02] 咬吃鸡母那一边
[13:03] 想说我这个就杠满就好了
[13:05] 那他的绩效也都超好
[13:07] 他每天就稳定的
[13:08] 杠钱就3%
[13:09] 这到底是沙小
[13:09] 就为什么会有这种事情
[13:11] 那当然其实这样的一个环境
[13:13] 我们在过去也看过
[13:14] 像以前大家在封高股息ETF的时候
[13:16] 那也是任何一个高股息的标的
[13:18] 基本上你只要知道说
[13:19] 后面有哪一个投信要去买
[13:21] 他就直接设要烂掉
[13:22] 那这一次呢
[13:23] 我觉得那个环境是类似
[13:25] 他只是没有想到说
[13:26] 他可以撑这么久
[13:27] 然后真的有蛮多人就是这样无脑一路滚
[13:29] 然后滚到钱变得很大
[13:31] 所以自己心态上有受到一些影响
[13:33] 然后在一些国际族群上面
[13:35] 我觉得非常明显的一些案例
[13:36] 就是像台湾的记忆体已经看得出来说
[13:38] 它是相对就软掉了
[13:39] 可是如果你今天看韩股的或是美股的
[13:42] 其实很多都还是非常强势
[13:43] 那被动元件的话
[13:44] 日本的然后像韩国的SAMCO
[13:46] 大家可以看一下三星电机直接射到烂掉
[13:49] 美国的V-Shake或是相关的被动元件
[13:52] 其实全部也都是走得非常好
[13:53] 但台股的呢
[13:54] 其实台股的也是在历史新高的位置
[13:56] 但他就是走的比较慢一点
[13:58] 所以像我自己就
[13:59] 我直接加入日股
[14:00] 台股这个动态慢
[14:01] 我就不要了
[14:02] 所以现在这个行情
[14:03] 有点偏向是
[14:03] 我觉得是
[14:05] 可能蛮多人的心态
[14:06] 都跟我一样
[14:06] 反正我们都只想要去
[14:08] 找最快的车子
[14:09] 因为大家不知道说
[14:10] 这个可能派对的音乐
[14:13] 放到什么时候
[14:13] 突然间
[14:14] 这个123
[14:15] 大风吹要抢椅子
[14:17] 接着没有椅子坐到
[14:19] 就烙赛
[14:19] 所以都是赶着在
[14:21] 可能下这一波
[14:21] 非常疯狂的行情里面
[14:23] 能够抢多少钱
[14:23] 要抢多少钱
[14:24] 当然在这种行情里面
[14:26] 我们也不用再花太多时间
[14:27] 去跟大家提醒
[14:28] 所谓的风控
[14:29] 因为这种时候
[14:29] 你讲风控
[14:30] 人家只会觉得说
[14:30] 你是fucking monkey
[14:31] 要有胆识才可以赚到钱
[14:33] 但其实这个
[14:34] 我们也讲到烂掉
[14:35] 就不用再多说
[14:35] 就直接讲说
[14:36] 实际上的做法
[14:37] 反正就是持续的去找
[14:38] 相对强的东西
[14:40] 当然有些东西
[14:41] 还是属于
[14:42] 就像说我有些长头的部位
[14:43] 我就不太会去动它
[14:44] 可能就是放着给它跑
[14:46] 可是在动能的部位
[14:47] 真的就是直接
[14:48] 疯狂的去找强势的东西去撸
[14:51] 我们不知道这个派对
[14:52] 会持续到什么时候
[14:54] 但老样子
[14:55] 反正就是每次过得太舒服
[14:56] 后面的罚一定都会蛮重的
[14:58] 自己不知道什么时候会罚
[14:58] 像上一次我们讲这样子的话的时候
[15:00] 后面那个罚是等了很久才出来
[15:03] 所以简单来讲就是说
[15:04] 我们不要去预判行情的高
[15:06] 可能会到哪里
[15:07] 有可能会超出大家的一个想象
[15:09] 最简单的一个印证
[15:10] 就直接看手上的持股就好
[15:11] 就不要一直想去拆大盘
[15:13] 反正你的手上持股
[15:13] 只要走得好好的
[15:14] 可能就不要想太多
[15:16] 就去接受这样子的一个资金浪潮
[15:18] 还是套一句
[15:19] 我那个朋友跟我提到
[15:20] 他说你知道
[15:21] 台湾的市场是GDP加8%
[15:22] 所以这个股市喷成这样
[15:24] 好像也不是一个
[15:24] 什么特别意外的事情
[15:25] 所以就好
[15:27] Enjoy while it lasts
[15:28] 希望大家都可以
[15:29] 最后面抱着大量的报酬
[15:32] 希望在回荡的时候
[15:34] 也不会受到太大的伤害
[15:35] 这样你可能就可以
[15:35] 缴出一个不错的绩效
[15:37] 目前市场上的话题
[15:38] 简单来讲就是说
[15:39] 有点太多
[15:40] 所以也不知道要从何下手
[15:42] 目前在供应链段这边
[15:44] 大家都是在期待说
[15:45] 下半年VR的一个推出
[15:47] 自己的产业朋友跟我提到说
[15:50] VR里面还是有一些状况
[15:52] 他自己研判说搞不好会有一些地盐的可能性
[15:55] 像这样子相关的一个消息
[15:56] 我直接跟大家讲我的结论
[15:58] 就是产业圈的人是一般来说他们会想太多
[16:00] 其实问题都会慢慢的解决
[16:02] 像之前GB200 GB300的时候也是一样
[16:04] 在一开始也是有遇到良率的问题
[16:06] 或是一些组装零件可能上不去
[16:08] 或者说可能爆管可能怎么样的
[16:10] 但这个一般来说都会在后面顺利的解决
[16:13] 其他人说大家相信自己的肝
[16:15] 你要相信你的肝
[16:16] 就是你们的老板一定压着你们把东西做出来
[16:18] 所以是不用太担心地盐相关的一些讨论
[16:21] 如果说后来出现一些什么地缘相关讨论
[16:23] 搭配一些修正的话
[16:25] 甚至有可能是加码的机会
[16:27] 就是这些东西应该是不用太害怕
[16:28] 都会持续的on track
[16:30] 那再来就是Marvel的相关的讨论
[16:32] 在这一波算是已经完全的见报了
[16:34] 前面我们有点类似挤牙膏
[16:36] 因为我们也不想帮自己惹上一些麻烦
[16:37] 那所以呢
[16:38] 就是每次只要新闻公布到哪里
[16:40] 我们就跟着公布到哪些更多的细节
[16:42] 那现在最新呢
[16:43] 已经是在information跟rater
[16:45] 有公布了NPU
[16:46] 这个我们已经在过去几个月
[16:48] 跟大家讲到一个单词
[16:49] 那既然他有公布NPU的话
[16:51] 我们就可以去聊一下
[16:52] 它的代号是叫做Carmel
[16:53] 那这个Carmel呢
[16:55] 目前我们去看它的话
[16:56] 我从几个source这边来看
[16:58] 它的量目前没有太大
[16:59] 但应该确定就是会
[17:02] 是LPU的一个对手
[17:03] 那会由Marvel这边操刀
[17:06] 那至于这个Marvel
[17:07] 到底实际上会在这上面
[17:09] 获利多少
[17:10] 老实跟大家讲
[17:10] 这个数字是还没有办法推估的
[17:12] 不管是它的TIA
[17:14] 就是TPU Influence Accelerator
[17:16] 然后或是这个NPU
[17:17] Memory Process Unit
[17:18] 目前你是没有办法去
[17:19] 知道它的量的
[17:21] 反而是像MTK的这样的Humufish
[17:24] 就是Zebrafish的话
[17:25] 它是有办法知道的
[17:26] 但是让我讲一下
[17:27] 因为我们在过去算是都是在讲
[17:29] 可能MediaTek这边的一些好消息
[17:31] 还是在行情非常好的时候
[17:33] 先把一些潜在未来的威胁讲出来
[17:36] 就大家心中要有个底
[17:37] 今天要讲的就是
[17:38] MTK它的表现可能会高度绑定
[17:41] Intel它的良率的状态
[17:42] 因为Google这边是决定
[17:44] 要在Humufish的时候
[17:45] 是要走到EMIP去封装
[17:46] 只是EMIP我们现在在我们的角度看
[17:49] 就是说它还是有可能会雷掉
[17:51] 即便它可能跟你喊的正天驾
[17:53] 想说没有问题怎么样
[17:54] 可是就是有可能会雷掉
[17:56] 如果说有雷掉的话
[17:57] 那就会直接影响到MTK出的一个科数
[18:01] 这个就是可能未来有机会
[18:03] 会变成是利空的东西
[18:04] 但这个东西我猜
[18:05] 就算它会变成利空
[18:06] 它是可能明后年以后的事情
[18:08] 但反正大家心中要知道说
[18:09] 在Google这边
[18:10] 他们是选择要去使用
[18:12] Intel的一个先进封装
[18:13] 但我们不排除
[18:14] 因为产业的变动是很快的
[18:17] 就是会不会后来
[18:18] 可能没有注意到一些迹象
[18:19] 或者说台积电可能可以去
[18:21] guarantee更多的产能的话
[18:23] 它是有可能会移回来
[18:24] CoreOS系列去做封装
[18:25] 这个是不排除
[18:26] 但现阶段的话
[18:27] 我们可能自己心中会比较担心的
[18:30] 就是如果说Intel出报的话
[18:31] 可能就会影响到MTK的一个成绩
[18:33] 除此之外
[18:34] 像是Marvel
[18:35] 它可能要去做TIA
[18:37] 或者是什么Google相关的东西
[18:39] 然后以及站在Google的角度
[18:41] 等于说它现在的supplier
[18:43] 已经有三家
[18:43] 这个其实都不太会影响到
[18:45] 就是我们对于
[18:46] 可能像是Avago
[18:47] 就是BRAKON
[18:48] 或者是像是MTK
[18:50] 联发科的一个评价
[18:51] 我就觉得这个应该是没有关系的
[18:52] 因为市场里面的饼太大了
[18:54] 所以他多一家进来分
[18:56] 其实简单来讲
[18:57] 在Google的角度是
[18:58] 你们三家都还是可以吃到很饱
[19:00] 甚至你们三家都还完全加起来
[19:02] 没有办法去符合我要的一个需求
[19:05] 所以大概是这样子去做一个简单的评论
[19:08] 后面Marvel就不会再去做更多的追踪了
[19:11] 这也算是一个
[19:12] 怎么讲
[19:13] 我觉得平常我比较不会在节目
[19:15] 直接去讲一些标题
[19:17] 但是因为就前阵子
[19:18] 美股真的太烂了
[19:19] 所以为了去让大家
[19:21] 比较有一些参与感
[19:22] 所以我就直接点出了
[19:23] 像是马表或像是CPU
[19:24] 就自己的持股的一些变动
[19:26] 不然其实以前
[19:26] 我是不太喜欢直接去讲持股
[19:28] 会直接去讲说
[19:29] 一个产业的发展
[19:30] 然后大家自己去找线索
[19:31] 这是直接点出来
[19:32] 因为前面的行情真的太烂了
[19:34] 因为下这些东西
[19:35] 基本上都已经是飞出去了
[19:36] 所以后面我们就不再去做
[19:38] 就持续性的追踪
[19:39] 其实有时候我觉得
[19:40] 有一些可能粉专
[19:41] 或是一些分析师
[19:42] 或是一些报告
[19:43] 他们持续追踪
[19:44] 他们真的是佛心来的
[19:45] 因为简单来讲就是说
[19:46] 股票最终万般拉抬
[19:48] 就是为了要出货
[19:49] 当然我们是相信
[19:50] 有一些真的有那种
[19:51] 长线的大股市
[19:52] 可是波段来说
[19:53] 就是可能真的等到
[19:55] 那种消息震撼的时候
[19:56] 传的乱七八糟的时候
[19:58] 最后面就是一定会
[19:59] 有一些人受伤
[19:59] 有些人他会持续的带飞
[20:01] 你就知道说
