[00:00] 欢迎收听谷爱,我是星目公,本集节目由擅存叶黄素赞助
[02:55] 因为现在也隔了几年
[02:56] 我也没有认真去想过说
[02:58] 要怎么样回答
[02:59] 反正一般我的回答就是说
[03:00] 我根本不知道这个节目
[03:02] 会像大家看到的
[03:03] 就是说他可能是点阅第一名
[03:05] 他是蛮多人听的节目
[03:06] 根本没有想过
[03:07] 因为他是一个讲投资
[03:08] 讲股票的
[03:08] 理论上我本来以为
[03:10] 这是比较偏门的东西
[03:11] 但我现在改观了
[03:12] 因为我发现说
[03:13] 台湾人真的超级喜欢钱
[03:14] 所以你看到很多那种
[03:16] 什么财经节目
[03:16] 其实都是榜上有名
[03:17] 然后后来就懂了
[03:18] 台湾人超爱
[03:19] 所以这个在当时
[03:20] 你是没有办法识别到的
[03:22] 因为其实最早的podcast
[03:23] 他的排行榜上面
[03:24] 几乎都不是什么财经节目
[03:26] 所以对我来讲
[03:27] 一切都是非常意外的发展
[03:29] 每次人家问我
[03:29] 我都只能够说
[03:30] 我非常意外
[03:31] 就自己已经办了
[03:31] 有人要跟我合照
[03:32] 我什么都觉得
[03:33] 我非常意外
[03:33] 我根本没有想过我今天
[03:35] 那就稍微的回顾一下
[03:36] 其实很多时候
[03:37] 如果你今天是用结局去看的话
[03:38] 你都会觉得说
[03:39] 这个人做下这个判断
[03:40] 是很合理的或什么的
[03:42] 但其实最难的就是说
[03:43] 像我们跟大家分享的
[03:45] 一些创业故事
[03:46] 像之前跟大家聊到智盛
[03:48] 他有一次就遇到神秘客户
[03:50] 要跟他们一起开案
[03:51] 然后他们就额外安排了一个
[03:53] 非常资深的研发人员
[03:54] 就跟着这个团队去做
[03:56] 他们也不知道是TSM
[03:57] 然后后来才知道说是TSM
[03:58] 所以才有现在的一些
[04:00] 这种COAS相关的订单
[04:02] 可是当下在做的时候
[04:03] 其实他根本就不知道
[04:04] 他不知道说这个东西
[04:05] 是像这种大型的半导体厂会用到
[04:08] 因为那时候你根本看不到
[04:09] 这样的一个可行性
[04:10] 我自己是有观察到说
[04:12] 蛮多那种很美好
[04:13] 很丰硕的发展
[04:15] 其实在当下你都是看不到的
[04:17] 但当每个人要去检讨你
[04:18] 要去了解说你的过程
[04:21] 你是怎么样发展到今天的时候
[04:22] 他们都会用一种
[04:23] 非常理所当然的态度
[04:24] 好像就是
[04:25] 你早就知道说
[04:26] 做这个会有名会有利
[04:28] 所以你怎么会想到要做
[04:29] 你也是蛮厉害
[04:30] 但其实你当时做什么
[04:31] 你真的不知道
[04:32] 甚至你的想法是说
[04:33] 反正像我早期的节目
[04:35] 大概在一百集或两百集以前
[04:36] 我都很常跟大家讲说
[04:37] 我不知道这节目会到什么时候
[04:38] 反正时间到OK就拜拜
[04:39] 我也不知道这个东西
[04:40] 有多少人会听
[04:41] 我什么的
[04:42] 我也一点都不在意
[04:43] 到现在是不会有那样子的感觉
[04:44] 因为就知道说
[04:45] 反正我好像只要麦克风都打开
[04:47] 就是有人会听我讲话
[04:48] 所以就不会再有那种怀疑自己的时刻
[04:50] 但是同时还是非常感谢
[04:52] 就是不知道为什么会有这样的一个发展的可行性
[04:55] 当时都没有想这么多
[04:56] 稍微都回顾一下
[04:57] 那时候在2020年3月的时候
[04:59] 其实我已经有去写一些网路上的blog
[05:02] 但那个blog的话我是把它关掉
[05:03] 因为那时候找一些人一起来共比
[05:05] 再来就是我去写粉专
[05:07] 就跟大家分享自己在投资交易的一些想法
[05:10] 我做这些事情
[05:11] 从头到尾都没有跟任何的听众
[05:14] 或者说我的受众去收过一毛钱
[05:15] 因为我的想法很简单
[05:17] 就是反正要赚钱
[05:18] 就去市场里面赚就好了
[05:19] 然后那是最快的
[05:20] 应该也是最方便最暴力的
[05:22] 那我要的东西呢
[05:23] 是我希望用一个
[05:24] 就是非常容易取得的方式
[05:26] 跟大家建立一个信赖的桥梁
[05:28] 所以呢因为这样子
[05:29] 我可能可以获得一些资讯的优势
[05:31] 那最早的想法
[05:33] 就只是想要多认识一些人
[05:34] 然后因为自己在家里
[05:35] 做了几年之后
[05:36] 然后发现说
[05:36] 还是会有一些盲点
[05:38] 就是说其实你做久
[05:39] 都会开始发现说
[05:40] 你有些问题是可以被改善的
[05:41] 那只是你要怎么样去改善
[05:43] 当下我识别出来的一个方法
[05:45] 就是我发现说
[05:45] 我蛮常被骗炮的
[05:47] 就像说我看到一些股票突破
[05:48] 我上去打
[05:49] 然后打一打之后就发现说
[05:50] 我买错东西
[05:51] 就是可能最喷的那个东西
[05:52] 我没有买到
[05:53] 虽然随着时间的推进
[05:55] 我发现说最喷的
[05:56] 不一定是基本面最好的
[05:57] 可是当下就会觉得说
[05:58] 最喷的一定是基本面最好的东西
[06:01] 我都没有买到最好的东西
[06:02] 就是我的资讯的来源
[06:04] 可能不够好
[06:05] 我也开始发现一个现象
[06:06] 就是说绝大多数的
[06:08] 所谓的sell side的报告
[06:09] 它都是等到股票涨的时候
[06:10] 才去上修
[06:11] 那当然后面有一些业界朋友就跟我讲
[06:13] 废话啊
[06:13] 妈的那个股票没有涨
[06:14] 我们提早去上修在那边蹲
[06:16] 很多时候就被公司干爆
[06:18] 为什么你要浪费时间去做这样的事情
[06:20] 你等到大家资金汇聚的时候
[06:21] 比较有效率
[06:22] 你再去做这些上修调整或什么的
[06:24] 那所以呢
[06:25] 就绝大多数的东西都是
[06:26] 十面寒窗无人问
[06:28] 一举成名天下之
[06:29] 真的天下之的时候
[06:29] 大家就冲进来一起去上修
[06:31] 我就想说
[06:32] 有没有可能我会比较早知道
[06:34] 有没有可能我可以领先
[06:35] 在资讯上面获得一些优势或什么的
[06:38] 那当时呢
[06:39] 就是有注意到说自己身边的一些股友
[06:41] 就在说像那时候有些人是对于这个显示卡非常的熟悉
[06:45] 我现在已经没有人会去炒显示卡股票了
[06:46] 现在都是AI了
[06:47] 跟那时候我们真的还在看什么显示卡或什么的
[06:49] 然后或者说那时候有看电动车吗Tesla
[06:52] 那有没有人可能对这个产业是非常熟悉的
[06:54] 那就注意到说有些股友
[06:56] 他们可能是从业界出来的
[06:57] 他会知道说在他们产业里面发生什么事情
[06:59] 那我想说OK那既然我可以从你们身上
[07:01] 好像说抓到一点产业的这种脉络
[07:04] 然后接着呢我可以提早一点去做布局
[07:07] 或是在突破的时候
[07:08] 我可以抢到第一根第二根之类的
[07:09] 那有没有可能
[07:10] 我就多认识一点人
[07:11] 就可以去在效率上面
[07:12] 有更多的改善
[07:13] 那所以呢
[07:14] 后来就有这个节目
[07:15] 那只是这个节目呢
[07:16] 真的是想都没有想过
[07:17] 大概是录不到
[07:17] 好像十集以内吧
[07:19] 就有人就打电话跟我讲说
[07:20] 他可不可以赞助这个节目
[07:22] 就是他觉得这个节目很好
[07:23] 然后他想要赞助我
[07:25] 那时候我还跟我老婆讲说
[07:26] 啥小啊
[07:27] 你只是去讲你工作的东西
[07:28] 竟然有人要给你钱
[07:29] 这到底是发生什么事情
[07:30] 那当然后面的事情
[07:32] 大家都知道了
[07:33] 就是大概开始有sponsor的时候
[07:35] 就从来都没有停过
[07:36] 就是大家好像真的都蛮喜欢这个节目的
[07:37] 那这个都是完全超乎我的想象的发展
[07:40] 但有些东西是符合我的预期
[07:41] 就是我是希望说
[07:42] 可以因为这样子去
[07:43] 结交更多这个产业圈的人士
[07:46] 那最后面是成功了
[07:47] 可是呢
[07:47] 当我现在回头一看
[07:49] 其实我发现
[07:49] 我又进入一个新的阶段了
[07:51] 因为当时的想法是说
[07:52] 我感觉我缺的是这些产业的知识
[07:55] 我感觉我缺的是一些业内的know how
[07:57] 那但是到现在呢
[07:59] 就是我获得了一些产业的知识
[08:00] 获得了一些业内的know how
[08:02] 那甚至有时候有些听众会跟我讲说
[08:03] 就是我不是那一行的
[08:05] 可是我的水准
[08:06] 可能已经有他们的PM量
[08:07] 没有像他们RD这么夸张
[08:08] 但是已经有到他们PM的水准
[08:10] 他们也觉得非常的意外
[08:11] 当我开始获得一些能力之后
[08:13] 其实我的想法是觉得说
[08:14] 我有点回到当时最开始的自己
[08:18] 其实最早我的股票都比较偏向说
[08:20] 反正我看到你突破
[08:21] 我就跟上去弄一下
[08:22] 我看到你的心态
[08:22] 我看到你突破颈线
[08:24] 或者说我开始有注意到说
[08:26] 你营收加速
[08:26] 就是那种最简单
[08:27] 一般散户都可以取得的东西
[08:29] 我开始越做越来越多这种
[08:31] 就是以前的东西
[08:32] 就是你越做越回去
[08:33] 可是同时
[08:34] 你会去服役你现在
[08:36] 所获得的一些产业的知识
[08:38] 跟人脉的系统
[08:40] 所以你会更能够知道说
[08:41] 就一样
[08:42] 你现在可能你的做法是
[08:43] 就是说中间有一段
[08:44] 我会是
[08:45] 可能我知道了蛮多东西
[08:46] 然后就提早进去蹲
[08:47] 可是我发现说
[08:48] 干那个效率真的太差了
[08:49] 有时候你一蹲蹲超久
[08:50] 就你是对的
[08:51] 可是你等超久以后
[08:52] 然后他才表现出来
[08:54] 所以就变成说
[08:55] 你不能在那边耗
[08:56] 因为你总是要在这个地方
[08:58] 去获得你的薪水
[08:59] 你的家人的生活
[09:00] 是要靠这个
[09:01] 所以你没有那么多时间可以等
[09:03] 当然现在可能有点不一样
[09:04] 现在就变成说
[09:05] 反正我光配息
[09:05] 我可能就可以生活
[09:06] 所以没差
[09:07] 可是呢
[09:07] 就有一段时间
[09:08] 就会去思考说
[09:09] 这样效率太慢了
[09:10] 所以我还是需要
[09:11] 更有效率的做法
[09:13] 那更有效率的做法
[09:14] 一靠下去就发现说
[09:15] 其实就跟我本来的做法
[09:16] 差不多啊
[09:17] 只是说我本来的做法
[09:18] 我会有一些杂讯
[09:19] 然后我可能会去
[09:21] 像各种标的
[09:22] 你只要有突破的
[09:23] 我都会去弄看看
[09:24] 可是呢
[09:25] 大家应该都知道说
[09:25] 如果你无脑去打突破的话
[09:27] 其实你停损的机率
[09:28] 是蛮高的
[09:29] 那现在就变成说
[09:30] 我会去混一点
[09:31] 我所知道的东西
[09:33] 所以今天这个突破
[09:34] 如果失败的话
[09:35] 那我就知道说
[09:36] 这个东西我可能可以等看看
[09:37] 那或者说呢
[09:38] 我把它变成是带状的家
[09:39] 我突破失败
[09:40] 我就后面再加
[09:41] 我就不像之前就说
[09:41] 反正突破失败
[09:42] 我就直接卖掉
[09:42] 因为我怕被骗
[09:43] 我也怕说这是假的
[09:44] 那如果突破失败
[09:45] 我买的时候
[09:45] 那我套水灾第一牌
[09:46] 不知道套几年才会回来
[09:48] 可是现在我可能知道说
[09:49] 就是我去买这些东西
[09:50] 用形态
[09:51] 或是用技术面去买
[09:52] 可是我已经知道说
[09:53] 他们的底子是什么
[09:54] 就像近期在台股
[09:56] 虽然前面有一波修正出来
[09:58] 可是呢
[09:58] 有些东西马上占回去
[09:59] 那马上占回去的那些东西
[10:01] 我就立刻知道说
[10:02] 哪些可能是他在接下来的一两年
[10:04] 那EPS就是会越开越屌的
[10:06] 所以我根本就不怕你套了
[10:07] 简单来讲是这样
[10:08] 就是说我只是买了高跟买了低的差别而已
[10:10] 所以就会越来越敢去做这样子的一个
[10:13] 就是可能
[10:14] 不然像说你本来去买
[10:15] 有时候甚至会担心受怕
[10:16] 然后现在买了
[10:17] 有时候套你都套得还蛮安心的
[10:19] 那只是当然我们还是不要去催眠自己
[10:21] 就如果说你不会套太大
[10:23] 那还是一个很大的问题
[10:23] 就是你可以透过一些加解码去做调节
[10:25] 但至少在买东西上面
[10:27] 就变得非常的扎实
[10:28] 所以其实我觉得走到现在这一步
[10:31] 如果要用一个这种
[10:32] 比较简短的方式形容的话
[10:34] 就是一开始我觉得
[10:35] 我需要很多的产业知识跟资讯
[10:38] 然后后来我真的获得
[10:39] 产业知识跟资讯之后
[10:40] 我发现说它对我是有帮助的
[10:42] 但后来在一阵子之后
[10:43] 我发现说
[10:44] 这个就跟所有的策略一样
[10:45] 就是你不可能有一个策略
[10:47] 可以无脑靠到底
[10:47] 有时候在一些盘试里面
[10:49] 就是不会起到作用
[10:50] 类似说像最近美股的盘试
[10:52] 我管你多会分析
[10:53] 反正盘不好
[10:54] 你的东西也不一定上得去
[10:55] 只有少数几个族群可以上去
[10:57] 接着后来又发现
[10:58] 就回到原本的一个做法
[11:00] 原本的做法
[11:00] 我现在稍微就去做一些修饰
[11:02] 所以其实我好像也不太需要
[11:04] 有这么多的去认识人
[11:06] 或者说去拓展自己人脉的
[11:08] 一个行为跟过程
[11:10] 这个大概在两年前开始
[11:12] 我就在节目里面
[11:13] 跟大家分享讲说
[11:14] 后来开始去减少接触一些人
[11:16] 因为就发现说
[11:16] 当然不是说人家对我没有帮助
[11:18] 或者说我很现实
[11:19] 因为已经获得足够的东西
[11:20] 没有 其实这个血海无涯
[11:21] 你是因为拿不完的
[11:23] 只是你就开始理解到说
[11:24] 你好像更了解
[11:25] 这个工作是怎么一回事
[11:27] 就是很多时候你赚钱
[11:29] 甚至你不知道
[11:29] 为什么你自己会赚钱
[11:30] 所以那个有点好笑
[11:31] 就是你在第一个阶段
[11:32] 你可能赚钱
[11:33] 但你觉得自己超屌
[11:34] 你觉得说
[11:34] 就是因为我的分析
[11:35] 就是因为我的什么技术面
[11:36] 我筹码判读我超屌
[11:38] 可是当你开始
[11:39] 遭受到一些打击之后
[11:40] 你就开始怀疑自己
[11:41] 说我过去学的那一套东西
[11:43] 会不会真的都是巧合
[11:44] 会不会就是我刚好而已
[11:45] 可是随着时间推进
[11:47] 你会慢慢的发现说
[11:48] 对就是我们真的
[11:49] 还是在跟几率去做对抗
[11:50] 可是我们有办法
[11:51] 把自己放在一面高的那一边
[11:53] 那长久下来就是越来越好
[11:55] 那你在发展跟这个收敛的过程之间呢
[11:59] 你会去选择很多的新的工具箱
[12:01] 很多新的获得所谓的edge的方式
[12:04] 但最后面又会收敛到一些
[12:06] 也就是你自己做起来最舒服的部分
[12:08] 所以大概就这样
[12:09] 最后面还是走回去了
[12:10] 那种投资oneonone的感觉
[12:12] 就是最基本的square one
[12:13] 那觉得还蛮充实蛮踏实的
[12:16] 走了一遭之后才真正明白
[12:18] 自己要的东西到底是什么
[12:20] 所以你说到底
[12:20] 我有没有办法预期到今天
[12:23] 或者说这个东西
[12:24] 到底可以持续多久其实我到现在是会跟大家讲说我不知道虽然有一些那种键盘评论家会好像他们很了解我会写说这都是什么一些规划布局什么时候真的都不知道
[12:34] 特别是我后来看了越来越多事情之后
[12:37] 我心中的想法越来越觉得
[12:38] 你知道有时候机会就是留给准备好的人
[12:40] 好像跟大家分享那个至圣的案子
[12:42] 或是一大堆竹帆不及备宰
[12:44] 那都是傻傻的在那边开发
[12:46] 或者像我当初也是
[12:47] 我就傻傻的录
[12:48] 傻傻的去写一些那种网路的文章分享
[12:51] 后来我都把它关掉
[12:52] 因为那时候
[12:53] 反正就是说
[12:54] 写文章的一些人
[12:55] 后来理念不太合
[12:56] 所以就不要再
[12:57] 挂在一起共比了
[12:58] 后来我也是
[12:59] 尽量的去闪
[13:00] 我不想跟任何人联名
[13:01] 因为我发现说
[13:02] 就是过去一些可能
[13:03] 看起来不错的人
[13:05] 然后后来就走偏掉了
[13:06] 或者说
[13:07] 过去我可能也在节目有去
[13:08] 讲说我可能蛮喜欢
[13:09] 哪一些
[13:10] 不管什么艺人
[13:11] 或是谁什么的
[13:12] 然后后来发现说
[13:12] 干他们走偏掉
[13:13] 所以我现在不敢
[13:14] 乱endorse别人
[13:15] 跟大家闪远一点
[13:16] 反正我就是我自己
[13:17] 我跟任何人
[13:18] 没有任何的关系
[13:19] 回到自己去
[13:21] 单枪匹马的状态
[13:22] 从一开始单枪匹马
[13:23] 然后到开始去打一些群架
[13:25] 认识一些人
[13:26] 然后最后又收敛回单枪匹马
[13:27] 可是现在的单枪匹马
[13:29] 跟当时的单枪匹马差很多
[13:31] 我觉得整个格局也不一样
[13:33] 所以一路走来
[13:34] 是这样子的一个感受
[13:35] 我现在还是会鼓励每个人
[13:37] 或甚至是我自己的孩子
[13:38] 就是如果你想到什么
[13:39] 你就去做
[13:40] 因为绝大多数的发展
[13:42] 应该都是你想不到的
[13:43] 现在如果各位是有那种创业成功的
[13:45] 或是曾经在某些地方打到暴击的
[13:47] 你真的是摸着自己的软弹问自己
[13:49] 做的当下你知道可以这样吗
[13:51] 不知道对不对
[13:52] 那其实我也是一样的感受
[13:53] 所以每次问我说
[13:54] 你当下怎么会想到
[13:55] 可以做这个
[13:56] 天晓得
[13:57] 我根本没有想过我会停
[13:58] 所以都是非常感谢
[13:59] 老天赏饭吃
[14:01] 老天让我们有一些
[14:02] 发展机遇
[14:03] 跟认识大家的可能性
[14:04] 这个其实对我来讲
[14:05] 是一个蛮不错的收获
[14:06] 简单跟大家分享一下
[14:07] 好那接下来
[14:08] 我们就来进入市场话题
[14:10] 那NVIDIA的GTC
[14:11] 已经展开了
[14:12] 那最后面呢
[14:13] 不出意外
[14:14] 就是展示了
[14:16] 我们跟大家所分享到的
[14:17] 像是Spectrum的
[14:18] CPU solution
[14:19] 或是LPU
[14:20] 那最近就有看到
[14:22] 某杂志
[14:23] 我是在网络文章看到了
[14:24] 然后就贴说什么
[14:25] 是不是台积电出现裂口了
[14:27] 为什么这个东西会是三星做的
[14:30] 这个我们在节目
[14:31] 就是有跟大家讲过了
[14:32] 它在第三代以前
[14:33] 它本来就是在三星做的
[14:34] 它是在V4之后
[14:35] 在TSM这边有
[14:37] 我们的判断是
[14:38] 它跟AI5 AI6应该是一样
[14:40] 就双轨制
[14:40] 在TSM跟三星这边就去做下单
[14:43] 所以并不是像一些报章杂志
[14:46] 所写到那种比较危言耸听的
[14:47] 是不是我们的什么盔甲上面
[14:49] 列了一个裂痕或什么的
[14:50] 甚至可以这样讲
[14:51] 就算他想要有很多的量
[14:53] 其实现在TSM是给不出来的
[14:55] 这个也是我们节目的老听众也知道
[14:56] 所以很多时候有些人会讲说
[14:58] 你听这个节目
[14:59] 它是一个比较面向大众的台
[15:01] 很多人在听
[15:02] 所以你很难获得edge
[15:03] 没有你还是有edge
[15:04] 因为你发现说市场里面
[15:05] 不知道的人真的超多
[15:06] 就即便说这个节目就摆在这边
[15:08] 这么多人听
[15:09] 几十万人听
[15:10] 但他们还是一堆人不知道
[15:11] 然后还是跑去写一些
[15:12] 有的没有的东西
[15:13] 所以结论就是
[15:15] 怎么讲我们尽力的去跟大家
[15:17] 比平一些
[15:18] 在投资上面的一些资讯落差
[15:20] 我们这样做当下
[15:22] 其实很多时候
[15:23] 也会有意外的收获
[15:24] 像有些听众
[15:24] 就会跑过来
[15:25] 给我一些feedback
[15:26] 像在QA
[15:27] 有一个朋友问我说
[15:28] 折叠机
[15:28] 我就跟他讲
[15:29] 我知道的折叠机状况
[15:30] 然后很快就有听众
[15:31] 跑来跟我讲说
[15:32] 我跟你讲
[15:32] 那个折叠机
[15:33] 其实有出什么样的一个问题
[15:34] 我听到之后
[15:35] 我当然就立刻再跑去check
[15:36] 我check之后就发现说
[15:37] 应该我还是对的
[15:39] 就是说
[15:39] 在今年你会看到
[15:40] Apple的折叠机
[15:41] 那一样
[15:42] well see
[15:42] 我们会等着看
[15:43] 但反正就是每次的验证
[15:45] 大家会知道说
[15:45] 我们这边也不是想要去当那种所谓的间谍台
[15:47] 东西我们都先知道
[15:49] 我们说什么内线先知
[15:50] 不是啊
[15:51] 这个其实对有些人来讲
[15:52] 那就是一个产业的知识而已
[15:53] 那其实光是你看到他去收购Grok
[15:56] 你就可以去想象说
[15:57] 他有可能会去推出类似的东西
[15:58] 那目前他的说法就是说
[16:00] 我们家有七个晶片
[16:01] 有五种Rack
[16:02] 那我觉得以后可以把NVIDIA
[16:03] 直接定义成为是一个
[16:05] 反正就是一个Total Solution的Supplier
[16:07] 他已经不是只是单纯的
[16:09] 某一种什么Chip Vendor之类的
[16:11] 他现在就是一个AI Factory的Supplier
[16:13] 所以他提供给你的东西是
[16:15] 反正你需要的东西
[16:16] 很复杂很多
[16:17] 那可能在各种不同的
[16:19] use case里面
[16:20] 会用到不一样的东西
[16:21] 那现在呢
[16:22] 我有prefile
[16:23] 我有decode
[16:23] prefile可能就是
[16:24] 本来前面所提到的CPX
[16:26] 那decode呢
[16:26] 现在就是有
[16:27] 跟Grok合作的LPU
[16:29] 那或者是呢
[16:30] 你要有GPU的solution
[16:31] 我也要有
[16:32] 那再来呢
[16:32] 你要可能有一些
[16:33] ASIC相关的solution
[16:34] 你要有一些interconnect
[16:35] 那可能我手上都有
[16:37] 所以以后就甚至
[16:38] 可以想象成说
[16:39] 反正你就是去跟
[16:40] NVIDIA讲说
[16:41] 你要什么样的东西
[16:42] 那其实他就是
[16:42] 把一个data center
[16:43] 里面所需要的东西
[16:44] 直接就一套就给你
[16:45] 所以越来越看
[16:47] 越喜欢这家公司
[16:48] 只是当然
[16:49] 随着他的一些那种重大的宣誓
[16:52] 不然说他要去做一照之类的
[16:55] 那这个股价稍微的动了一下之后
[16:57] 又掉回去
[16:57] 我觉得他慢慢的
[16:59] 就是慢慢的
[17:00] 虽然我们相信说应该没有这么快
[17:02] 可是慢慢的他会有点类似说
[17:03] 就进入像苹果的那个阶段
[17:05] 反正大家都知道说苹果的发表会
[17:07] 你要去看着他的发表会做股票
[17:09] 不可能
[17:09] 因为所有的东西都是已经有人预期
[17:12] 或者说大家可能有想到或是猜到
[17:14] 所以以前的苹果发表会
[17:15] 像我们的Telegram群组
[17:17] 大家都很喜欢
[17:17] 公布一个很酷的东西
[17:19] 股价稍微拉个一两趴
[17:20] 大家超嗨
[17:20] 就马上掉回来
[17:21] 因为那个对很多人来讲
[17:22] 那都不是新鲜事
[17:23] 所以他去讲说
[17:25] 他要做一兆
[17:26] 可能对很多人来讲
[17:26] 也不是新鲜事
[17:27] 或是像我们那时候
[17:28] 在节目跟大家预判的
[17:29] 因为我们已经知道说
[17:30] 你要公布CPU相关的东西
[17:32] 果不其然
[17:33] 这个CPU的股票
[17:34] 就是没有直接设出去
[17:35] 但他现在有点那种分化
[17:36] 就有些还是走得蛮强的
[17:38] 可是一定就是
[17:39] 没有像大家想象的这么强
[17:40] 你明明公布CPU的东西
[17:42] 又怎么不会动
[17:42] 因为像我们的节目
[17:43] 就早就跟你讲说
[17:44] 我们知道他要公布这个东西
[17:45] 那我们身边的朋友
[17:46] 甚至很多人
[17:47] 搞不好还比我更早
[17:48] 就知道这件事情
[17:48] 所以他们早就都吓住了
[17:49] 那一样的道理
[17:50] 就套用在像美光的
[17:52] 然后这个财报数字也是
[17:54] 就我在财报前
[17:55] 也是跟朋友讨论说
[17:56] 是不是要先走一点
[17:57] 因为大家都已经知道
[17:58] 那个数字很好了
[17:59] 那真的数字出来之后
[18:00] 会不会就反而不会动
[18:01] 反而不晓得
[18:02] 像我之前去读网费也是
[18:03] 那个时候就是
[18:04] 基本上数字都有掌握到
[18:06] 但很多时候事业院
[18:07] 也不是走到你要的方向
[18:08] 所以我觉得慢慢的
[18:09] 它会变成是那样的一个形状
[18:11] 就是说你没有办法像
[18:13] 可能三年前两年前
[18:14] 那真的是一个美好的回忆
[18:17] 反正你只要掌握到一些新的东西
[18:18] 它就还随便
[18:19] 但我觉得它慢慢像苹果
[18:21] 可是还是没有绝对的
[18:22] 就是走到苹果那一步
[18:23] 我觉得像最近就在讲说
[18:25] 一些socket
[18:25] 可能有台系的
[18:29] 某公司的子公司要出
[18:30] 那就是立刻就拉上去了
[18:32] 所以代表还是很有效
[18:33] 像苹果那时候是说
[18:34] 它有些东西是告诉你说
[18:36] 他就是要用那个料
[18:37] 可是就不会涨
[18:38] 因为大家已经不喜欢
[18:39] 大家已经习惯了
[18:40] 那跟最近的那个涨价
[18:41] 其实有点
[18:41] 怎么讲
[18:43] 有点像
[18:43] 就像是我跟大家分享说
[18:44] 就是我们已经有掌握到
