[00:00] 欢迎收听谷爱,我是星梦宫,本集节目由Sally赞助
[01:56] 不知道大家有没有印象
[01:56] 因为那次好像真的蛮严重的
[01:58] 就是好像什么东北季风转强
[02:00] 还怎么样
[02:00] 莫名其妙
[02:02] 突然间刮了三天的摇风
[02:03] 跟他妈的狂下雨
[02:05] 那一次我的植物就好几个被锤窑爆掉
[02:07] 花了一阵子之后
[02:08] 才长回原本的样子
[02:10] 所以就因为那次的经验之后
[02:12] 我现在心态是更加的开放
[02:13] 有些人可能遇到这样的事情
[02:15] 就会觉得说
[02:15] 那以后有事没事我都要加固
[02:17] 但是我经历那次事件的洗衣之后
[02:19] 我就正式的去理解到
[02:21] 生命是无常的
[02:22] 植物呢
[02:23] 你希望它可以长得好
[02:24] 可是即便它不是颱風
[02:26] 有時候還是有機會
[02:27] 可以把它整個弄到爆掉
[02:28] 所以我們就要放寬心
[02:30] 甚至對著自己的植物
[02:31] 抱著一種那種
[02:32] 太弱留強的心情
[02:33] 如果你是比較弱的
[02:34] 你會被吹爆的
[02:35] 那可能就是跟你說再見
[02:36] 那當然如果是一些
[02:38] 比較嚴重的東西
[02:39] 你可以預判
[02:40] 舉例來說像這次的颱風
[02:41] 大家知道說
[02:42] 它有可能是會自災的
[02:43] 所以還是趕快把它綁起來
[02:45] 那希望後面大家都沒有事情
[02:47] 那當然昨天可能
[02:48] 在現在回頭看
[02:50] 我們有時候也不要太事後論
[02:52] 但就稍微評論一下
[02:53] 我們回頭看就覺得說
[02:54] 好像是沒事就放了一個假
[02:56] 以前這種時候我一定會跑出來幹屌個兩句
[02:58] 可是後來我學乖了
[02:59] 因為我發現說去罵颱風架
[03:01] 是跟全台人民對坐
[03:02] 因為絕大多數人都不想上班
[03:05] 他們也不在意開不開盤
[03:06] 因為他們可能在股票裡面
[03:07] 第一個不一定有開戶
[03:09] 第二個有開戶搞不好整天也在賠錢
[03:11] 所以多開一天市場等於多賠一天錢
[03:13] 跟我們這些少數人
[03:15] 就在市場裡面玩得很高興
[03:16] 我們會覺得說你少一天交易
[03:18] 對我們來講就好像少一天賺錢的機會
[03:20] 就會覺得很鬱悶
[03:21] 因為我又有一個節目
[03:23] 就會把它抒發出來
[03:23] 然後以前就發現說
[03:24] 奇怪 每次我速發這個都會被罵
[03:26] 大家不覺得市場開車很好吃嗎
[03:28] 後來發現說沒有 只有你覺得
[03:30] 就只有我跟我身邊的朋友覺得
[03:31] 我們小小的同溫層
[03:33] 當然今年可能開始改變
[03:35] 因為今年像0050
[03:36] 都有50幾%的一個報酬率
[03:38] 大家都在市場裡面賺到蠻多錢
[03:39] 所以就注意到網路風向有點變
[03:41] 當大家都有上車的時候
[03:43] 風向就變了
[03:44] 所以我就覺得
[03:45] 像川普的Trump Accounts
[03:46] 是very smart的一個操作
[03:48] 超級聰明的
[03:49] 因為他讓大家都上車
[03:50] 即便數額不一定是很大
[03:52] 他好像只有给多少1000USD
[03:54] 可是重点是有些雇主会跟着加
[03:56] 有些donor可能会让他旗下的企业
[03:59] 也就跟着去加码赞助这个政策之类的
[04:01] 这个其实是好事
[04:02] 当越来越多人去受惠
[04:04] 这样的一些经济成长
[04:05] 或者股市有开盘
[04:06] 跟有发展的一个好处之后
[04:08] 大家就会慢慢的见趋同向
[04:10] 就会在同一台车上
[04:12] 就开始注意到说
[04:13] 有些人会开始帮忙政府抱怨一下
[04:15] 为什么要不开盘
[04:16] 不开盘少一天正交税
[04:17] 我想说哇
[04:18] 这样的说法
[04:19] 以前讲一定被骂
[04:20] 一定被干爆
[04:21] 结果现在开始
[04:22] 竟然有些人会去echo这样的说法
[04:24] 然后甚至在讲说
[04:25] 我明明就没风没雨
[04:26] 干嘛要放假
[04:26] 我说大家终于上车了
[04:28] 好像大家的想法跟我们是一样
[04:30] 但是我们也长大了
[04:31] 我们也知道说
[04:32] 算了反正不用去评论这么多事情
[04:34] 要改变的是我们自己
[04:36] 甚至我自己最近有一个新的发现
[04:38] 因为最近不是有在演绎说
[04:41] 以后可能会等到三点半才收盘吗
[04:43] 以前我看到这个
[04:44] 我一定觉得得赠大拇指
[04:46] 可是我最近跟朋友
[04:47] 刚好聊这些事情
[04:48] 我就想说
[04:49] 其实我心中某个程度
[04:50] 不希望这件事情发生
[04:52] 就当然你可以多看一点盘
[04:53] 一定是好事嘛
[04:54] 那可是某个程度
[04:55] 不希望它发生的理由是
[04:57] 像我自己
[04:57] 我觉得我现在本业是运动了
[04:59] 就是整天都跑出去
[05:00] 不管是做什么
[05:00] 机能训练啊
[05:01] 或打网球之类的
[05:02] 跑来跑去
[05:03] 我现在已经非常喜欢运动
[05:04] 晒得很黑
[05:05] 那已经没有那么长时间
[05:07] 坐到盘前面了
[05:08] 但虽然看盘本身
[05:10] 对我们来讲
[05:10] 还是一个很快乐的事情
[05:11] 不过就是尽量
[05:12] 有意识的去减少
[05:14] 不要整天待在电脑前面
[05:15] 那我就觉得说
[05:16] 如果说今天把
[05:17] 收盘的时间
[05:18] 拉到三点半的话
[05:19] 我就会有更多的借口
[05:21] 会想要留在电脑前面
[05:22] 然后感觉对自己的健康
[05:24] 应该不是一个太好的事情
[05:25] 所以对
[05:26] 就开始产生一些想法
[05:28] 这个可能几年前我也不敢想
[05:29] 几年前我一定觉得
[05:30] 就像我讲的
[05:31] 我超级讨厌廉价
[05:32] 超级讨厌台风价
[05:33] 觉得每天都应该要开盘
[05:35] 觉得政教所
[05:36] 这种台域大赌场
[05:37] 不要整天把它关起来
[05:38] 现在竟然觉得说
[05:39] 你就不要再去展演时间了
[05:41] 在展演时间
[05:41] 你看多少人又要沉迷在电脑前面
[05:43] 又要跟自己的老婆讲说
[05:44] 我待会没有办法接小孩
[05:46] 因为现在三点半收盘
[05:48] 然后就开始有些人会扒一些理由
[05:50] 可能会造成一些家庭的分裂
[05:52] 或是一些裂缝
[05:53] 所以最好就是
[05:54] 不知道就维持原状
[05:56] 现在心中的想法已经越来越开阔了
[05:58] 我以前都会觉得
[05:59] 你就要让我尽量的参与
[06:00] 我全时间都要在里面
[06:02] 然后现在
[06:02] 我觉得就是可能回归家庭
[06:04] 真的是有一些差距
[06:05] 然后跟这个运动的表现
[06:07] 算是彻底的改变自己的生活
[06:09] 非常的开心
[06:10] 晒得很黑也没有关系
[06:11] 那最近更是区域了解到
[06:14] 这个我应该没有跟大家分享
[06:15] 因为前面只有讲说
[06:16] 那个体重的变化
[06:16] 那其实最早会想
[06:18] 然后去做体重的调整
[06:19] 是因为我们家族遗传
[06:21] 就是那种高血压
[06:22] 然后跟胆固醇
[06:23] 就是这两条
[06:23] 胆固醇已经是有蛮多的药物
[06:25] 可以有效的去做压制
[06:27] 高血压的话
[06:28] 是有一次去检查的时候
[06:29] 医师就跟我讲说
[06:30] 要开始注意
[06:31] 因为我好像是140跟可能8 90这样
[06:34] 他说这个已经是高血压第一期
[06:36] 就是前期了
[06:37] 所以有机会
[06:38] 就是你要开始去吃一点药控制
[06:40] 当然可能还年轻
[06:41] 不一定要这么急
[06:42] 但要稍微去关注它
[06:44] 所以后来才给我建议
[06:45] 说不然就稍微把体重降一点点
[06:47] 因為平均就是你去降一公斤
[06:49] 大概就可以掉一毫米拱柱之類
[06:51] 大家知道我現在血壓數字是多少嗎
[06:53] 就是它絕對不單純
[06:54] 只是因為可能體重往下降所造成
[06:57] 因為我大概降了8到10公斤吧
[06:59] 可是我的血壓的高的數字
[07:01] 已經從140變成大概100到110之間
[07:04] 就變得蠻低的
[07:05] 低的也就往下掉
[07:06] 掉到大概70左右
[07:08] 心跳速度
[07:09] 理論上其實有去尻瘦瘦症的話
[07:11] 心跳速度是會加速的
[07:12] 但我心跳速度也變慢
[07:14] 大概就是跳70幾下
[07:15] 其實以下只有在受作爭加速的狀況之下
[07:18] 所以我感覺運動真的是改變身體超級大一塊的
[07:22] 非常感謝這陣子的一些調整
[07:24] 讓我自己的觀念也稍微的有一些改變了
[07:26] 所以以前就是你可能看到
[07:28] 因為現在這麼多人都上車了
[07:29] 然後在那邊罵颱風架
[07:31] 你又跟著罵
[07:31] 因為你已經忍很久了
[07:32] 每次罵過去幾年你講這個你都被幹
[07:34] 或像那時候就講說肺炎台灣的瘋狂
[07:36] 我講這個我也被抹一些政治色彩
[07:38] 就被人家幹
[07:39] 那現在你看就是大家終於懂
[07:41] 那時候我們腦袋在想什麼
[07:43] 因為你開始在市場你會賺錢之後
[07:44] 你的想法就會跟我們一樣
[07:46] 你還沒有會賺錢
[07:47] 你還不懂的時候
[07:47] 或是你還是學生
[07:48] 你當然想放假
[07:49] 我是學生的時候
[07:49] 我也想要整天放假
[07:50] 懂我意思嗎
[07:51] 所以那個有點像立場跟腦袋的問題
[07:54] 那當然有些人他可能
[07:55] 還沒有辦法有你的腦袋
[07:56] 或是他一輩子
[07:57] 還不一定會有你的腦袋
[07:58] 這不是說那種高跟低
[07:59] 又不是說人家比較笨
[08:00] 就是他沒有要走資本這條路線的話
[08:02] 他當然會覺得說
[08:03] 就越放假越好
[08:04] 然後什麼戰爭打起來不干我的事
[08:06] 因為他也沒有多少資產或什麼的
[08:08] 所以對啦
[08:08] 就是越來越多人在車上的話
[08:09] 可能大家的想法就會見區一致
[08:11] 但反而現在他自己是抽身的
[08:13] 就不會覺得說
[08:14] 一定要放假或什麼
[08:15] 我還是希望說
[08:16] 因為現在自己知道說
[08:17] 我們聽眾可能是全台都有
[08:19] 你看現在外面有救護車聲音跑起來
[08:22] 雖然不知道跟颱風有沒有關係
[08:24] 但你開始懂得去
[08:26] 站在每個人的角度去做思考
[08:27] 但這也要抓一個平衡
[08:28] 因為如果你試著要去
[08:30] 站在每個人的角度做思考的話
[08:32] 你會變成你一句話都不能講
[08:35] 就像說你今天要去評論某件事情
[08:36] 像你要評論說
[08:37] 你覺得颱風沒事
[08:38] 住在泰安山區的人
[08:40] 可不覺得沒事
[08:41] 他可能只是
[08:42] 不知道台湾人口的
[08:43] 那种超低比例的数字
[08:44] 可是搞不好里面
[08:45] 有一位是你的听众
[08:46] 他就因为这样受伤
[08:47] 那因为你现在
[08:47] 已经会想到这些人
[08:48] 你想说
[08:49] 这样他可能受伤
[08:50] 那我不要去讲这种
[08:51] 可是你不讲
[08:51] 那你反而整个人
[08:52] 就变成一个很无聊的人
[08:53] 所以我在抓这个平衡
[08:54] 到底什么是可以讲
[08:56] 什么东西是不能讲
[08:57] 那要怎么样忠于自己
[08:59] 可是同时
[08:59] 你也不希望去伤害别人
[09:01] 不要说总是借由
[09:02] 忠于自己跟有话直说
[09:04] 然后一直去伤害别人
[09:05] 或是不礼貌
[09:05] 这也不是好的事
[09:06] 这个是我的修炼
[09:07] 就大概
[09:08] 稍微分享一下自己的心得
[09:10] 总之希望大家在接下来的风灾
[09:12] 都可以顺利平安的度过
[09:13] 以上
[09:13] 好那昨天台股是放假
[09:16] 那我觉得就是一个闪涨
[09:18] 以前我们在讲说闪崩
[09:19] 因为每次台股在放假
[09:21] 在关厕所的时候
[09:22] 外面可能都是一个腥风邪雨
[09:24] 那所以好像我们就把厕所门关起来
[09:27] 那可能等几天之后
[09:28] 重新开盘之后
[09:30] 外面的状况就好了
[09:31] 所以我们就不用有
[09:32] 那个跳下去的那一段
[09:33] 好当然这是某种鸵鸟心态
[09:35] 在我们的角度会觉得
[09:36] 怎么讲
[09:37] 该来的就是闪不掉
[09:38] 该发生的就是会发生
[09:40] 所以千万不要想借由市场关起来
[09:42] 然后去闪一些危险
[09:43] 甚至之前在
[09:44] 忘记是东南亚哪一个国家的股市
[09:46] 那时候也是
[09:47] 他们发现说什么跌幅太大
[09:48] 怎样把市场暂时的关起来
[09:50] 一打开直接一波跌到位
[09:52] 所以那个都是只有办法去骗自己
[09:54] 短期内不受影响
[09:55] 总之就是这一次的关起来
[09:58] 比较像是闪涨
[09:59] 因为我们去注意到说
[10:00] 在复台这边
[10:01] 它是在礼拜五的交易率
[10:03] 是上涨了三点多趴
[10:04] 当然在夜盘的时候是有收敛
[10:06] 所以在礼拜一的时候
[10:07] 它不代表會噴這麼多
[10:09] 你還是要考慮一下國際盤的各種變化
[10:11] 不過就是少一點那種氣氛的味道
[10:13] 因為大家知道說國際盤
[10:16] 然後跟台股其實在過去一陣子是相對悶的
[10:18] 它已經進入那種區間的盤式了
[10:20] 就你上去你追你一定被幹
[10:22] 可是下去它好像也跌不下去
[10:23] 就會一直會再一次的收回來
[10:25] 那感覺禮拜五如果說那時候沒有放假的話
[10:28] 應該是有機會會稍微的去做一下表態
[10:30] 然後在美股這邊的話
[10:32] 禮拜五的晚上也都還蠻精彩
[10:34] 禮拜四禮拜五
[10:35] 那整體像NVIDIA的話是直接再一次的攻到210了
[10:38] 就很久沒有看到NVIDIA連續出這種紅K
[10:41] 然後重新的爬上季線
[10:42] 這個長得還蠻好看的
[10:43] 那再來就是Meta也是跳上去
[10:45] 那Meta這邊我們就一樣稍微的再跟大家聊一下
[10:49] 那時候我跟大家分享說
[10:50] 就即便你可能在X上面看到一些所謂的
[10:53] 這些意見領袖的帳號說
[10:54] 這等於是Meta要退出算力的競賽
[10:56] 因為他們要去出售所謂的閒置的算力
[10:59] 那我們在節目的說法講說
[11:01] 這才不是他要去退出競賽
[11:03] 他反而是要double down
[11:04] 那当然也不是只有我们这样子讲
[11:06] 有些言调也是有类似的说法
[11:08] 只是那时候就是在X上面的一些
[11:10] 那种新兴的投资账号
[11:11] 很多都是把它评论成为说
[11:13] 这代表Meta要退出
[11:15] 那后来在Zuckerberg的访问里面
[11:17] 好像是昨天还是前天
[11:18] 他出来证实了
[11:19] 就是我们这边的意见才是对的
[11:21] 就是他并没有要退出
[11:22] 他甚至是要满仓杀进去
[11:24] 他要更加用力的做多
[11:26] 那其实我们已经有去注意到
[11:28] 他在未来去booking的
[11:29] Data Center这个GWAS数是很高的
[11:32] 如果说他真的要说的话
[11:33] 他不会这样去做booking
[11:34] 那再来就是其实Meta
[11:36] 它本身就是AI的一个超级大的买方
[11:38] 它买了很多的东西
[11:39] 所以当它今天找到一个出海口
[11:42] 可以去把一些
[11:43] 我们也不要把它称为是闲置算力
[11:45] 你就把它想象成是说
[11:46] 就是你最新最强大的
[11:47] 像接下来要出的这个Vera Rubin
[11:49] 或是后来的什么Fayman之类的
[11:51] 你会用这个东西拿去算
[11:52] 可能最新的AI模型
[11:54] 那你旧的Hopper要怎么办
[11:55] 旧的Hopper其实不会浪费
[11:56] 它虽然不一定会拿去考训练
[11:58] 可是它可以拿去做Inferencing
[11:59] 所以它不会是浪费的一个结果
[12:02] 那除了拿去做Inferencing之外
[12:03] 大家可能也可以拿去外面出给别人
[12:06] 所以像Michael Burry
[12:07] 前阵子不是有在讲说
[12:09] 可能在AI伺服器
[12:10] 或所谓的GPU的折旧的议题上面
[12:12] 他认为说巨头
[12:13] 他们在作账
[12:14] 这个数字应该是有问题
[12:15] 或什么的
[12:16] 现在这个就算是一个sexy back
[12:19] 就是告诉Michael Burry
[12:20] 或是一众看空的人
[12:21] 这其实并不是一个严重的事情
[12:24] 因为现在这些GPU
[12:25] 或这些data center的投资跟投入
[12:27] 他们不只是要去讨论说
[12:30] 在会计账上怎么认列的
[12:32] 这个折旧的年限应该是怎么样
[12:34] 它甚至是有机会变成是某种程度上的
[12:36] 它是一个可以赚钱的资产
[12:38] 所以它那个年限再拉长一点
[12:41] 或者说就是你去做巨额的投资
[12:43] 其实在某个程度上
[12:44] 是也可以去justify这个行为是正确的
[12:46] 因为你这个GPU不只是在
[12:48] 第一线的训练或是推论上面可以用
[12:51] 你在后面就算你没有用到
[12:53] 你也可以去出租给别人
[12:54] 所以这算是一个很bullish的讯号
[12:57] 就是不管是对Meta
[12:58] 或是对于市场来讲
[12:59] 我觉得都是这样子
[13:00] 只是因為可能前陣子的盤不好
[13:02] 所以很多人都會看徒手故事
[13:04] 就要硬把它解釋成為說它不是一個好的事情但相信Meta最近的走勢應該某個程度上去破解掉這樣的東西但我們不是很喜欢去用短线走势去讲故事的人因为当你这样讲之后后面的角色又再连续回荡了两根然后大家就说这叙事是不是又改变了
[13:18] 所以有时候那种短线的
[13:19] 我们经常就把它摒除在外
[13:21] 就是稍微长线一点的讯号
[13:23] 可能拿来做观察会是比较合适的
[13:25] 但当然Meta这样子的一个做法
[13:27] 它某种程度上对市场会有影响
[13:29] 像那时候我们节目的说法就是说
[13:30] 它对Neo Cloud的冲击一定是比较大的
[13:32] 因为等于多一个超级大的玩家进来
[13:36] 然後現在他還可以把這些東西丟出來去做競爭
[13:38] 他說不定會有很強的一個定價的能力
[13:41] 就是會由他去決定
[13:42] 不管是現貨或是一些合約的GPU
[13:45] 或是算力租賃的價格會怎麼樣去跑
[13:47] 這個某個程度上也代表說
[13:49] 當可能目前可以看到的檯面上
[13:51] 有在搞這些infrastructure
[13:52] 除了本來的三大巨頭
[13:55] 或者說中國的那幾個巨頭之外
[13:57] 現在連Meta這種本來都是自用的
[13:59] 他也拿出來
[14:00] 那就代表說後面的算力的定價
[14:03] 我們是可以期待
[14:04] 我们是可以期待
[14:05] 就是如果你用单价来算的话
[14:07] 应该是会更便宜
[14:08] 但总价不一定
[14:09] 为什么说总价不一定
[14:10] 因为后来大家发现说
[14:11] 你要去跑reasoning
[14:12] 你要去跑一些那种专家模型
[14:15] 然后要有很长的解释的步骤或什么
[14:18] 其实它其实某种程度上
[14:19] 会烧掉更多的token
[14:20] 但是就是去解决
[14:23] 可能某种定量的问题来说
[14:25] 以前要用到的成本可能是这样
[14:27] 然后现在会更低
[14:28] 那只是因为现在会做更精致化的
[14:30] 某种推论的推法
[14:33] 所以他用到更多的token
[14:34] 但总体来说
[14:35] 就我们相信说单价会降低
[14:37] 所以他某种程度上
[14:38] 会去触发一些应用的发展
[14:41] 就是有机会会走得更好一点
[14:43] 甚至可能会把一些
[14:44] 那种AI native的软体公司
[14:46] 大家本来有去设定一个margin
[14:48] 他的margin应该是比
[14:49] 那种传统的软体来的低
[14:50] 就大家现在可能是抓个五六十
[14:52] 他的floor
[14:54] 就是有可能会往上去提升一点
[14:56] 就是当有一个大咖下来
[14:57] 然后去让这个东西
[14:58] 加速的更便宜跟普及化的话
[15:01] 我觉得会有这样的一个优势
[15:02] 那当然它会有一些潜在的劣势也会出现
[15:06] 就是除了逢那些Neo Cloud代表
[15:07] 你有一个更强大的对手之外
[15:10] 然后再来就是这个价格
[15:11] 我觉得它后面就会跑得比较稳定一点
[15:13] 那大家一定会很好奇说
[15:15] 价格跑得稳定
[15:16] 对于市场来讲不是一个好事情
[15:17] 是可是对于投机的市场来讲
[15:19] 就不一定是一个好事情
[15:21] 因为我们都会讲说
[15:22] 股票是在什么时候最会涨
[15:23] 朦胧美的时候
[15:24] 大家算不到一个终局
[15:26] 大家不知道说它会红多久
[15:28] 这种东西你会注意到
[15:30] 在市场里面是特别喷的
[15:31] 甚至有時候你在一些論壇
[15:32] 會看到大家講說越爛越噴
[15:34] 這其實是一個常見的迷思
[15:36] 當然裡面有些爛貨真的是亂噴的
[15:38] 可是絕大多數可能大家覺得越爛越噴
[15:41] 就他財報或是說營收很差
[15:42] 可是還在噴
[15:43] 那只是因為你的訊息能力不好
[15:44] 你還不知道他噴什麼而已
[15:46] 很多時候你回頭看就會知道
[15:47] 就類似說那時候我們在講鬼創的時候
[15:49] 或者說其實市場很多的買方
[15:51] 都已經在去買當時的ODM OEM
[15:53] 可是你去上各大論壇都說
[15:55] 他們在炒股票
[15:56] 因為他們看不到那個營收
[15:57] 然後等到他們看得到營收衝進去買的時候
[15:58] 就剛好全部買在水安第一排
[16:00] 所以就會有這樣子的一個資訊落差的情形產生
[16:03] 當今天可能在Monome的時候
[16:05] 他就是有機會會衝得很快
[16:07] 然後等到大家都已經看得到這些數字的時候
[16:08] 他其實就不太動了
[16:10] 所以過去可能這些Neo Cloud
[16:12] 或是一些要去做算力租賃的人
[16:14] 他們可以去支一個很大的夢想
[16:17] 告訴大家說這個需求是有多龐大
[16:19] 多少人在後面排隊要搶或什麼的
[16:21] 可是當玩家越來越多
[16:23] 提供算力的這些
[16:26] 你可以把它某程度上稱為是賣鏟子的人
[16:28] 他卖算力给人家去建构他要的产品
[16:30] 这些参与者越来越多之后
[16:32] 就代表说价格会渐趋平稳
[16:34] 就除非说有一些那种革命性的应用
[16:37] 跑出来可能又会再一次的跑掉
[16:38] 类似说前阵子大家会注意到一些Legacy的
[16:41] 那些可能GPU的节点
[16:43] 他们也是有办法去租很高的价格
[16:45] 可是最近都注意到一些很强烈的毁落
[16:47] 我相信后面的价格就会越来越稳定
[16:50] 随着价格越来越稳定就代表说
[16:52] 他的预期的投报率是有办法算出来的
[16:54] 因为说预期的投报率是有办法算出来的
[16:57] 所以供应链可能就会开始出现一些
[16:59] 就是过去可能大家可以炒很高估值的东西
[17:02] 有机会在这边会去做一个收链
[17:04] 所以这个是大家在后面要稍微注意一下
[17:06] 就是Meta来参加AI租赁大赛
[17:10] 我觉得是好事
[17:11] 可是对于一些细部的东西
[17:12] 像是Neo Cloud
[17:13] 或是像一些供应链
[17:14] 可能去炒本梦比的
[17:15] 就有机会会开始要去面对一些现实的铁拳
[17:20] 当然它不是一个不好的事情
[17:21] 就是可能过去它可以交易在四五十倍
[17:23] 那是因为大家看不清楚
[17:24] 那现在价格都没办法定出来
[17:26] 投报率又算了出来的话
[17:28] 那有可能它的倍数就不会到这么高
[17:30] 但一样它如果还是有办法更加赚钱的话
[17:32] 光是用一个比较低的倍数
[17:34] 还是有机会把这个股价距离往上推
[17:36] 这个是我们自己会观察的一个方向
[17:38] 那再就是我们来观察一下
[17:39] 目前市场上的一些涨价的故事
[17:42] 那我们之前目前看到记忆体
[17:43] 在下一个Q的涨价都还是持续
[17:46] 只是有注意到有相当程度的收敛
[17:49] 就是有稍微的收敛一点点
[17:51] 合约价格的报价
[17:52] 那这个大家可能在稍微等一阵子
[17:54] 就会注意到一些新闻的数字跑出来
[17:56] 那这个我们已经不去做太多的评论
[17:58] 因为记忆体对我们来讲
[17:59] 就是一个已经是射到宇宙的东西
[18:02] 那像我自己呢
[18:03] 其实早早就已经下车绝大多数了
[18:04] 所以我们就只是会定期的可能
[18:06] 当今天有一些合约的溢价要出来的时候呢
[18:09] 我们在节目上稍微的跟大家讲一下
[18:11] 但整体来说呢
[18:12] 我们不去讲股价外食相关的东西
[18:15] 我们就单纯讲产业相关的东西
[18:17] 是还没有见到败相
[18:18] 很恐怖
[18:19] 就是这一些巨头的采购力量
[18:21] 实在是太强大了
[18:22] 就即便现在记忆体已经长成这样子
[18:24] 但是没有去影响到他们在采购方面的决心
[18:28] 都还是持续的去做更多的采购
[18:30] 那这样的状况可能会再持续下去
[18:32] 当然你会注意到一些绝对数字的变化
[18:35] 就是可能像过去的一个年增率可以拉到很高
[18:37] 然后后面的年增率会开始收敛
[18:38] 那跟基期高也是有相当程度的关系
[18:41] 但我们应该都还是可以期待那个价格会继续的往上
[18:43] 那在被动元件方面
[18:45] 其实已经注意到绝大多数的厂商都有涨价成功
[18:48] 少部分失败
[18:49] 那我们就不会去提说是哪些人可能有一个涨价失败的情形产生
[18:52] 免得被说影响市场或什么的
[18:54] 但绝大多数我们只有注意到说
[18:56] 这个涨价都是成功的
[18:57] 然后在后面的一两个Q
[18:58] 应该都会持续的进行中
[19:00] 那它比较像是一个母鸡拉小鸡
[19:02] 因为在一些大厂
[19:03] 他们出现了涨价
[19:04] 所以一些中小
[19:05] 可能就是有办法去对应大厂的价格
[19:07] 都可能去做一些调整
[19:08] 那在功率原件方面
[19:09] 我们已经注意到像ADI
[19:11] 就是一个全球非常大的
[19:13] 一个类比IC的厂商
[19:14] 他们也是发出了涨价信
[19:16] 所以其实我们也是注意到说
[19:17] 在功率原件这边
[19:18] 有一个全面涨价的一个状态
[19:20] 但功率原件这边蛮有趣的
[19:21] 就是他在美股的一些标的
[19:23] 他们就没有再继续上去
[19:25] 这边我也觉得蛮神奇的
[19:26] 因为理论上最缺的是
[19:27] 美股的这些公司
[19:28] 反而是台股的一些公立人间
[19:31] 或是一些MOSFET
[19:32] 然后跟后段的封装
[19:33] 他走得非常的漂亮
[19:34] 这边算是就某个程度上
[19:37] 像是我们那时候去看
[19:38] 日本的被动人间都在动
[19:40] 然后不知道为什么台湾都没有动
[19:41] 就是你去发出了这样的疑问
[19:43] 为什么理论上是一个全球的现象
[19:45] 然后为什么台湾没有动
[19:46] 然后后来证实说
[19:47] 台湾就动得比较慢
[19:48] 这一波当然我们没有办法去讨论
[19:51] 说到底谁快谁吗
[19:52] 因为其实美国的IDM
[19:53] 他们是先动的
[19:54] 只是他们现在开始去呈现一些软掉的情形
[19:56] 反而是台系的厂商开始去动
[19:58] 就我们的考察
[19:59] 目前了解到是
[20:01] 在公寓人间这边
[20:02] 也是出现的蛮大程度的缺货扩张
[20:05] 在后段的封装
[20:07] 其实有一些封装厂
[20:08] 他所开出来的字节数字
[20:10] 已经去透露这样子的讯息了
[20:12] 就是他在营收的年增率部分
[20:14] 可能是维持在相当程度的水准
[20:16] 就他并没有特别的拉伸
[20:17] 可是你注意到他获利的数字
[20:19] 是跑上去非常多
[20:20] 像这种状况假设产生的话
