[00:00] 欢迎收听谷爱,我是圣梦宫,本集节目由Sally赞助
[02:47] 那只是呢
[02:48] 食量变小一点
[02:49] 那经历过了
[02:50] Ozempic到现在的Montjaro
[02:52] 状态都差不多
[02:52] Montjaro的一开始
[02:54] 打下去的时候
[02:54] 因为我前面Ozempic
[02:55] 我是不知道就直上了嘛
[02:57] 那后来发现说
[02:58] 这样子有可能什么
[02:58] 猛暴性胰脏炎
[03:00] 什么急性胰脏炎之类的
[03:01] 就吓到就知道说
[03:02] 那下一战我就要乖乖的
[03:03] 所以Montjaro一开始是打2.5
[03:04] 那2.5打下去
[03:05] 我立刻就知道出事情了
[03:07] 为什么
[03:07] 因为2.5的Montjaro
[03:09] 根本就无法挡住我的食欲
[03:10] 所以我本来以为说
[03:11] 可能差不多快到目标了
[03:13] 可以直接停针
[03:14] 但我现在发现说
[03:14] 可能不能够直接停针
[03:16] 因为如果停得太快的话
[03:17] 那因为那时候2.5的Montjoie
[03:18] 就让我可能整个晚上
[03:20] 都妈都在吃东西
[03:21] 狂吃
[03:21] 然后吃到那时候
[03:22] 来我们家的客人都说
[03:23] 你完全看不出来
[03:25] 是有在打瘦瘦针
[03:25] 我说因为我刚换针
[03:27] 那个剂量可能是偏低
[03:28] 那所以呢
[03:29] 当然医师讲说
[03:30] 你最好就是隔一个礼拜
[03:31] 然后再去把它加大
[03:32] 甚至是最好
[03:33] 你把整个流程走完
[03:34] 再加大
[03:34] 但你就知道说
[03:35] 我是不会去
[03:36] 差小这种事情的
[03:37] 这绝对不是什么好的示范
[03:38] 反正就是我就去问了医生
[03:40] 那我们也不要讲是哪一位医生
[03:41] 反正就是说
[03:42] 最快多久可以补下一针
[03:44] 那我就在那个最快时间
[03:45] 就立刻再补下一针
[03:46] 我就直接达到五
[03:46] 因为我发现说
[03:47] 真的没有办法
[03:48] 那个剂量太低了
[03:49] 那我的整个盈控
[03:51] 可能也将会出问题
[03:52] 所以就目前还是得去依赖这个药物
[03:56] 那我觉得药物
[03:57] 它除了是精神上的Q之外
[03:58] 就是它去限制那些食量
[04:00] 对我来说是好的
[04:01] 那目前整体的身体表现
[04:03] 也变得更好
[04:04] 我觉得说
[04:04] 因为我瘦的最主要都是脂肪
[04:06] 所以我觉得睡眠品质
[04:08] 或者所谓的发炎的感受
[04:09] 你也感觉得到
[04:11] 好像是有降低了
[04:12] 就是你可能每天酸痛的
[04:13] 这个时间点是变短
[04:14] 或者起床背痛的几率是变低了
[04:17] 所以我真的觉得
[04:17] 瘦下来是一个蛮不错的事情
[04:19] 最近在运动上面
[04:20] 也获得蛮多新的启发
[04:22] 非常感谢我的
[04:23] 长得像Rain的教练
[04:25] 非常的强大
[04:26] 他教我那种机能性训练
[04:27] 或者有些人称为是功能性训练
[04:29] 他真的是有感的
[04:31] 让我可以去支配
[04:32] 我全身的各个关节
[04:33] 就是你从来都不知道说
[04:35] 原来你全身有这么多的关节
[04:37] 然后把它们凑合在一起的话
[04:38] 就要说一个挥拍的动作
[04:40] 可能是从脚底板开始发力
[04:41] 到你的小腿到大腿
[04:43] 然后最后面到你的手
[04:43] 当然这个我们去学泰拳的时候
[04:45] 教练也会教你
[04:46] 可是我觉得
[04:46] 没有把每一个动作拿出来雕的话
[04:49] 就是你还是
[04:50] 你以为你懂了
[04:51] 怎么样去控制这一些关节
[04:53] 或是你的肢体
[04:54] 但实际上你可能还是不太懂
[04:56] 那他教我的训练
[04:57] 其实看起来有些就觉得
[04:58] 好像是他妈太简单了吧
[05:00] 就起立蹲下
[05:01] 可是那个起立蹲下
[05:02] 会蹲到你全身都喷汗
[05:03] 甚至是不用负重
[05:04] 就可以这样子
[05:05] 然后再来就会玩一些
[05:06] 奇怪的道具
[05:07] 什么用TRX的绳子
[05:09] 去做一些东西
[05:09] 或是拿一个
[05:10] 像什么奇媒棍的东西
[05:12] 去做伸展或什么的
[05:13] 那一段时间下来就发现
[05:15] 真的是懂
[05:15] 什么叫做用宽发力
[05:17] 也知道什么叫做
[05:17] 用宽去移动
[05:18] 就像说你坐在地板上
[05:19] 然后屁股挪来挪去
[05:20] 你就可以前进后退之类的
[05:22] 那对身体的掌控度
[05:23] 变得非常好
[05:24] 所以他可能不像
[05:25] 平常的重训
[05:26] 是针对肌肥大学去做训练
[05:27] 他是针对一个
[05:28] 全身的协调性
[05:29] 可是我觉得
[05:29] 那个感受是极好的
[05:31] 那在他跟我分享蛮多观念之后
[05:33] 我就反问他一个
[05:33] 因为我刚好在一些报纸上面
[05:35] 有看到说
[05:35] 像那个三本油绳
[05:37] 他跟一些就是外籍球员
[05:39] 跑去美国不太一样的点是
[05:41] 蛮多都是去美国做
[05:42] 所谓的科学化训练
[05:43] 那去把重量训练点上去之后
[05:45] 可能让你有更好的一个爆发力跟力气
[05:47] 那不管是挥棒
[05:49] 或者是丢球
[05:49] 你的速度都会变快之类的
[05:51] 那三本油绳
[05:52] 他好像是除了在这个重训
[05:53] 我也不确定他重训做的多不多
[05:55] 但报导上写说
[05:56] 他没有做太多那样子的训练
[05:57] 他是可能比较针对柔软度伸展度
[06:00] 或是一些什么类似瑜伽这样子的东西
[06:02] 身体的弹性跟支配什么的
[06:04] 我就说你讲的这些观念
[06:06] 好像跟我看到报道里面写
[06:08] 他是有点类似
[06:09] 他说没错就是这样子
[06:10] 就是我们尽量去用身体的各个肌肉
[06:13] 去协助发力把动作做好
[06:15] 所以他说他的一个兴趣就是
[06:17] 他会请他的学员
[06:18] 不管你去做什么样的运动
[06:20] 你都把自己录下来
[06:21] 那我就可以去针对你的身体去做调整
[06:23] 所以我真的觉得他是我的大恩人
[06:25] 因为帮我改变这些东西之后
[06:27] 我也不确定
[06:28] 因为太多事情发生的太快
[06:29] 不然说像是减重
[06:30] 所以到底身体的整体感受变好
[06:33] 是因为这个训练
[06:34] 还是因为减重
[06:35] 还是因为可能不知道
[06:36] 就是像一些听众跟我合照
[06:38] 然后拍上网
[06:39] 然后大家说你真的变瘦变帅
[06:41] 我不确定
[06:41] 但就是因为这些事情发生的太快
[06:43] 但整体都觉得生活品质变得好
[06:45] 但我更不确定的是
[06:46] 搞不好是因为家外面行情真的太好
[06:48] 所以我心情就很好
[06:49] 说不定接下来回两回一个月的话
[06:51] 那我就感觉我全身又很沉重
[06:52] 这边痛那边痛
[06:53] 那所以因为家太多事情发生的太快
[06:55] 所以我没有办法明确的去识别说
[06:58] 到底是因为什么变成是这样
[06:59] 但整体来说
[07:00] 我觉得那时候去打瘦瘦身
[07:02] 那个决定是一个非常好的采发
[07:04] 就是好像说把整台老车给发动起来
[07:07] 那跟我教练聊的时候
[07:08] 我就讲说
[07:09] 因为他那时候会去提到说
[07:10] 有些什么球员的生涯的高峰
[07:13] 可能是在二十几岁
[07:13] 然后之后都是一路走下坡什么的
[07:15] 所以我们尽可能去维持自己的体能之类
[07:17] 我说没有
[07:18] 我生涯的高峰应该就是现在
[07:20] 因为我以前根本就是没有什么在运动的
[07:22] 后来在聊天的时候是有聊到
[07:24] 就是原来他跟我一样
[07:25] 是在这个特职部
[07:26] 就是我们都是散兵
[07:27] 那所以呢
[07:29] 其实散兵那时候
[07:30] 体能也是蛮不错的
[07:31] 因为会被操到爆炸
[07:32] 整天要跑步拉单杠
[07:33] 或什么的
[07:33] 但感觉也没有现在好
[07:35] 现在整体的这个体能状态
[07:36] 可能是我人生的巅峰
[07:37] 所以呢
[07:38] 蛮多人的人生巅峰
[07:39] 可能是在二十几岁
[07:39] 然后巅峰竟然是发生在
[07:40] 可能三十几岁
[07:41] 然后还在上神宗
[07:42] 还蛮高兴的
[07:43] 就前面好像说
[07:44] 你有一副好的身体
[07:45] 没有什么状况
[07:47] 你都没有在用它
[07:48] 你整天都坐着打电动
[07:49] 或是看影集什么的
[07:50] 大家终于有去用自己的身体
[07:52] 而且知道哪边可以发力
[07:53] 然后就会注意到的时候
[07:54] 就是他的一些动作
[07:55] 他教你怎么发力
[07:56] 用什么髋关节去传导什么
[07:58] 那个动作
[07:58] 他做起来真的上帕异常的帅
[08:00] 这也是为什么那时候
[08:01] 我会在健身房发现
[08:02] 这个教练的一个主意
[08:03] 就他做一些动作
[08:04] 可能看起来蛮中二的
[08:05] 就是不知道
[08:06] 他那个发力的动作
[08:07] 很像那种天堂以前
[08:08] 死亡骑士变神那种样子
[08:09] 你知道吗
[08:10] 就可能这样勾下去
[08:11] 然后挥刀之类的
[08:12] 就是那个动作
[08:13] 整个是流畅超级帅的
[08:14] 就是有办法去把你的肢体
[08:16] 可能调节成那样
[08:17] 虽然我现在做
[08:17] 还是有点像执掌的感觉
[08:19] 可是慢慢的
[08:20] 有一直去走向一个更好的方向
[08:23] 所以我的心得就是
[08:24] 我认为减重是很重要的
[08:26] 然后再来是
[08:26] 以前都觉得说
[08:28] 可能就是有氧加重训
[08:29] 然后没有想到
[08:30] 真的是偶发性的
[08:32] 看到教练在做超奇怪的事情
[08:34] 然后去上课之后才发现说
[08:35] 机能性或是说
[08:36] 这种功能性的训练
[08:37] 它对身体的帮助可以这么大
[08:39] 然后你可以去发现说
[08:41] 以前我去做这个角度的动作
[08:43] 我身体会不太舒服
[08:44] 原来是因为我的宽
[08:45] 或是哪里卡住
[08:46] 骨盆卡住
[08:46] 那现在把它打通之后
[08:48] 其实整个人的柔软度弹性变好
[08:50] 它会让你很想要
[08:52] 就整天跳上跳下
[08:53] 你会很想要一直动
[08:54] 因为你好像说
[08:56] 重新认识你的身体
[08:57] 然后你的身体
[08:57] 变成是一个有趣的东西
[08:59] 差不多是这样的一个感受
[09:00] 这边跟大家分享一下
[09:01] 最近自己的减重
[09:02] 跟健身的小小心得
[09:04] 因为现在开始有些新的听众加入
[09:06] 我最近有看到说
[09:07] 以为这个是红酒节目
[09:08] 以为这个是瘦身节目
[09:10] 其实这个节目就什么都不是
[09:12] 散会
[09:12] 我们就是随便在聊天
[09:14] 以前可能目标导向会很明确
[09:16] 我就是要交市场的朋友
[09:17] 要聊市场的东西
[09:18] 那我现在都没有在插小
[09:19] 反正我们有固定的格式
[09:20] 就前面一些老听众
[09:22] 可能跟我有共鸣的
[09:23] 他们听就有感觉
[09:24] 新来的想说
[09:24] 你到底在讲什么
[09:25] 但有些人也是因为这样
[09:26] 就是新来的一听就说
[09:27] 我就是喜欢这个节目
[09:28] 开头会跟我聊个天或什么的
[09:30] 反正不管了
[09:30] 我们不会去修改我们的格式
[09:32] 欢迎这些新来的听众
[09:33] 因为现在盘很好
[09:34] 所以又有更多人跑去开户
[09:35] 那可能就认识这个节目
[09:37] 总之就希望在后面
[09:39] 都可以顺利的度过
[09:41] 不管是
[09:41] 怎么讲
[09:42] 喷上去的时候
[09:43] 你心情可以平复一下
[09:44] 有些人就算得比你多之类的
[09:45] 或者说掉下来的时候
[09:46] 然后知道说日如常日
[09:48] 这个都是蛮重要的
[09:49] 大概是这样子
[09:50] 接下来我们来进入上话题
[09:51] 我们在过去
[09:53] 已经跟大家一直聊到说
[09:54] 我们已经看到说
[09:55] 被动元件这边
[09:56] 就是在后面
[09:57] 一定会有一个缺货的情形产生
[09:59] 只是当然
[09:59] 它的时间点是不好抓
[10:01] 最近就是在Pierre Chen
[10:03] 也就是国际的陈董
[10:06] 陈泰明
[10:07] 他搞了一个AI试试大会
[10:09] 然后在上面大吹猛吹一顿
[10:12] 整个国际走起来
[10:13] 相关的一些被动元件
[10:15] 都全体的转抢
[10:16] 今天也看到新商店
[10:17] 有一个出货交期拉长的通知信
[10:20] 它并不是一个涨价信
[10:22] 可是市场就很买单
[10:23] 就直接给它一个涨停
[10:24] 但出货的交期拉长
[10:26] 当然就可能代表说
[10:27] 后面就有机会
[10:28] 会看到一些涨价的可能性
[10:30] 所以这个也算是一个例子
[10:32] 就是为什么
[10:33] 还是要去研究一些基本面
[10:34] 这个基本面
[10:34] 可能有时候研究下去
[10:35] 像前面研究
[10:36] 我想说这些变动元件都不会动
[10:37] 或什么的
[10:38] 海外的只有动
[10:39] 台湾的没有动
[10:40] 可能就只是时间还没到
[10:41] 如果说基本面是正确的话
[10:43] 时间到的时候
[10:44] 它就是会反映
[10:44] 只是你没有办法知道说
[10:45] 反映的时间点是怎么样
[10:47] 所以当然有些人就会转向说
[10:49] 那我就全部都做技术面
[10:50] 但技术面的话
[10:51] 你就是有可能会买到一些
[10:52] 是假突破的东西
[10:54] 或者是市场资金在乱炒的
[10:55] 那就变成你整天要停损
[10:56] 所以它会变得有一点反直觉
[10:59] 就是大家的直觉都会是
[11:01] 想要去趋吉避凶
[11:02] 不会想要有太多的停损
[11:04] 当你的停损
[11:05] 它的占比是很大的时候
[11:06] 它也不是机械化去操作
[11:08] 就像说你有城市去做它的话
[11:10] 其实我觉得你的心态会跑掉
[11:12] 这就是为什么你还是要大概知道一下
[11:14] 你买的东西是什么
[11:15] 针对被动连键的评论
[11:16] 因为在过去的数集
[11:18] 已经数个月都已经在稍微提到
[11:20] 我们看到这个产业趋势
[11:21] 所以在股价表态的时候
[11:23] 我们就不会再去多说什么东西
[11:24] 但就是确定说
[11:25] 不管是什么弹电容
[11:27] 或者说铝电容
[11:28] C-CAP
[11:29] TAN-CAP
[11:30] 然后跟MLCC
[11:31] 其实都是有注意到
[11:32] 供需是开始越来越紧
[11:34] 特别是高接货
[11:35] 高接货是超级紧的
[11:37] 高接货的话
[11:38] 台系可能就不一定碰得到
[11:39] 就是要把麦克风交给
[11:42] 不管是韩国的SAMCO
[11:43] 三星电机
[11:44] 或者是在日本的春田
[11:46] 他们是老大
[11:47] 台系的话
[11:48] 他们受惠的故事比较偏向是
[11:49] 当然他有部分可能是切进去
[11:51] 这些高阶的AI伺服器
[11:52] 还是有
[11:53] 只是占比可能没有这么高
[11:54] 另外一部分就是说
[11:56] 当大家都转向高阶AI伺服器的时候
[11:58] 有没有可能就是出现一些
[11:59] 订单排挤的可能性
[12:00] 这些订单排挤会不会让
[12:02] 这些小弟们就吃得很饱
[12:04] 这个其实跟2017 2018
[12:05] 那个叙事有点像
[12:06] 当然我们不是在暗示说
[12:07] 这个会跟2017 2018一样
[12:09] 变成那种超级大表股
[12:10] 只是可以去密切关注
[12:12] 后续的一些发展
[12:14] 有些发展可能就是
[12:15] 在起头的时候
[12:16] 你不一定看得出来
[12:17] 到底是什么
[12:18] 就像我们前面在跟大家
[12:19] 在聊CPU的时候
[12:20] 我们最早其实也只是看到说
[12:23] 奇怪美股崩成这样
[12:24] 为什么美国的CPU类股都很强
[12:26] 因为这样去做布局
[12:27] 其实最早真的是因为
[12:28] 技术面的角度进去
[12:29] 后来发现说
[12:31] Genetic Workflow里面
[12:32] 它真的會用到很多的CPU
[12:34] 當我們確認這樣的一個產業趨勢之後
[12:36] 你就是會更有底氣的去抱住手上的一些部位
[12:39] 到現在大家已經知道說
[12:41] CPU就是市場裡面的當紅炸子機
[12:43] 不管是Intel開的一個財報或是電話會議
[12:45] 或是AMD大家都在關注這個重點
[12:47] AMD這邊在法說會有一些重大的訊號
[12:50] 包含說他們去上修了Server CPU 10從原本的一個估算調到2023年他们是估120B年增是大于35%这个速度是很快的同时他们也讲述说他们有信心可以拿下
[13:02] Server CPU超过50%的一个Market Share
[13:04] 这个我是觉得几率是还蛮高的
[13:06] 是还蛮高的
[13:07] 再来就是说AI的营收能见度是变得很高
[13:10] 2027年AI的Data Center营收会到10s of billions
[13:13] 也是一个非常高的数字
[13:15] 同时也呼应到Intel法座里面所说到
[13:18] 就是Agentic AI跟推理的工作负载
[13:20] 结构性的推升了CPU的一个需求
[13:22] 所以简单来讲
[13:23] 就CPU加变市场中的一个最重要的核心
[13:27] 然后那其他相关的一些公司
[13:29] 也都跟着动起来
[13:30] 那最近我自己就有注意到说
[13:31] 台股的ASIC也都动起来
[13:33] 那当然前面像是这个GUC
[13:36] 3443那个算是大家都已经知道
[13:38] 因为它跟Google高度相关
[13:39] 所以当Google在动
[13:41] Google Chain在动起来
[13:42] 它已经提早动起来
[13:43] 可是像今天我们也看到了Lchip
[13:44] 就3661也是直接涨停的
[13:46] 那3661的故事是比较绑定
[13:49] 应该说高度绑定
[13:50] Amazon的Tranium
[13:51] 那在Tranium这边
[13:52] 它的表现是非常好
[13:53] 只是说因为前阵子
[13:54] 去相较GUC的话
[13:56] 我觉得GUC手上拿的故事
[13:57] 可能看起来是比较像一点
[13:59] 因为Google是市场
[13:59] 大家新去注意的一个题材
[14:01] 那Amazon的话
[14:03] 我觉得是因为
[14:03] 它有点像是说老贩新炒
[14:06] 毕竟Tranium出了这么多代
[14:08] 那当然它有Gravitas
[14:10] 我什么
[14:10] 只是我就是在过去
[14:11] 像我甚至跟大家提过说
[14:13] Amazon的概念股
[14:14] 他再买我就一条狗之类
[14:15] 当我下去
[14:15] 我就直接开始学狗叫
[14:18] 因为我还是买
[14:19] 就是看到这个股价有表态
[14:20] 就还是会找东西去把它追回来
[14:22] 那Amazon相关的这个ASIC
[14:25] 其实在最近的表现也都是还蛮好的
[14:28] 所以整体来看就是大幅的资金
[14:31] 排量的灌进去
[14:33] 这些Server或者说CPU
[14:35] 然后或者说ASIC相关的股票
[14:36] 简单来讲就好像除了GPU
[14:38] 比较没有利器之外
[14:39] 那其他的东西都会动
[14:41] 那当然GPU的测试界面
[14:42] 可能表现的还蛮不错
[14:43] 但老大NV是停下来在那边
[14:45] 然后让其他小弟们
[14:47] 或是各种零组件可以去做发挥
[14:49] 那联发科可能算是我今年最大的一个意外
[14:52] 就是你真的没有想过
[14:54] 你可以在联发科上面看到这么多根长田
[14:56] 那同时当然心中就会想说
[14:58] 早知道我就帮他说哈联发科
[15:00] 可是这种事情是没有后悔要的
[15:03] 那我们在市场待久也知道说
[15:05] 没有必要在那边望洋兴叹
[15:06] 因为总是有下一个机会
[15:07] 重点是要去抓下一个机会
[15:09] 那MediaTek一次反映到3000多块去的话
[15:12] 不知道在我心中就会觉得说
[15:14] 他算是非常充分的
[15:15] 已经先去预期后面的一些状态了
[15:18] 所以它会变成
[15:19] 有点类似之前的
[15:21] 像是Invidia那样的一个情形
[15:23] 就是它在上升段那边
[15:24] 因为直接把预期都打满了
[15:26] 就是市场直接
[15:27] 很阿萨利的去反映你的估值
[15:29] 所以我相信
[15:29] 这搭到某个地方之后
[15:31] 可能就会要横一阵子
[15:32] 就是要开始去验证
[15:33] 可能在过去的这些
[15:36] 不管是分析者报告
[15:37] 或这些小作文写的内容
[15:39] 是不是中途去实践
[15:40] 其实我们目前看起来
[15:41] 还是觉得说市场的预估
[15:43] 是有一点打得太慢
[15:44] 包含說覺得說他可能有去做到Main die
[15:48] 因為在我們這邊的認知
[15:49] 在節目的過去數集有跟大家分享
[15:51] 他最主要就是在做IO
[15:53] 然後跟有一個這個Memory Buffer的
[15:55] 就是Memory相關的一些管理的這些 die
[15:58] 所以我們是還沒有看到
[16:00] 他在Main chip有什麼東西
[16:02] 但是因為有一些分析師已經把它寫出來
[16:03] 我們就是會去尊重他
[16:05] 看起來市場是非常買單
[16:06] 所以覺得說他已經是漲到一個
[16:08] 就像是Intel或是這些CPU相關的類股
[16:11] 就我自己不會想要再去加大部位
[16:13] 可能就是放着
[16:14] 然后去观察说
[16:15] 到底这个市场
[16:16] 可以疯狂到什么样的一个程度
[16:18] 那最近自己在这个部位的
[16:21] 交易成交量呢
[16:21] 也算是放得还蛮大的
[16:23] 因为在行情好的一个状况之下
[16:25] 特别是手上的部位
[16:26] 几乎都有拉出去的一个情形
[16:27] 那我们就会
[16:28] 持续的去放大一些杠杆
[16:30] 那放大到什么时候
[16:31] 像今天其实就是一个
[16:32] 蛮好的降杠位置
[16:33] 就简单来讲
[16:34] 就是有风吹草动
[16:35] 你就去把东西
[16:36] 稍微的挑一下
[16:37] 然后去观察说
[16:38] 有没有一些新的东西
[16:39] 会跑出来
[16:40] 像今天盘中
[16:41] 在那边吊杀的时候
[16:42] 其实就注意到说
[16:43] 有蛮多的标的在尾盘就直接拉起来
[16:45] 那一般来讲
[16:46] 那些在尾盘拉起来的东西
[16:47] 有可能就是一个
[16:49] 小型的肋骨轮动已经发生的
[16:51] 那可能就会是市场
[16:52] 想要去关注的一个对象
[16:54] 所以最近的成交量是拉得比较高一点
[16:56] 那杠杆的倍数也是拉得比较高一点
[16:58] 但是遇到像这类型的回荡
[17:00] 像今天我自己是没有去降杠
[17:01] 理论上是要去降一点
[17:02] 但简单来讲
[17:03] 因为过去真的是拉太远
[17:04] 所以不会急着在第一时间就去做调整
[17:07] 那如果后面有在一些回荡出现的话
[17:09] 可能才会去执行降杠
[17:11] 那就像我可能之前有跟大家聊过
[17:13] 我现在的观念就是
[17:14] 我不想要在派对结束之前就走出去
[17:18] 我宁愿等到派对开到一半
[17:20] 然后突然间警察进来说
[17:21] 林姐看证件了
[17:23] 然后你发现说
[17:23] 你隔壁这些老兄这些老妹
[17:25] 全部都没有带证件
[17:27] 你不知道是跟一群牛鬼蛇神混进来
[17:29] 或什么的
[17:29] 然后可能大家一起被带回去派出所
[17:31] 观察一下之后
[17:32] 然后你才被放出来
[17:33] 但不管了
[17:33] 所以你会去吃到一些回档
[17:34] 你会吃到一些受赏
[17:35] 但不管
[17:36] 反正就是这个行情下很疯
[17:37] 那就是会选择一路搭搭到
[17:40] 出那种大盘格局的长黑K
[17:42] 什么吞噬之类的
[17:43] 接着再来看部位怎么样调整
[17:45] 但是其实老实讲
[17:46] 按照现在这种协率
[17:47] 就大盘拉的这种协率
[17:49] 它就算掉下来
[17:51] 掉很凶也没关系
[17:53] 应该很快都会再出反弹
[17:54] 简单来讲就是说
[17:55] 到底发生什么事情
[17:57] 我们也是不知道
[17:58] 反正就是且战且走
[17:59] 心中掌握的就是
[18:01] 我知道市场上的故事在哪里
[18:02] 我知道现在CPU
[18:03] 我知道ASIC
[18:04] 我知道他们相关的一些components
[18:06] 我知道被动元件
[18:07] 当他们都持续的去走
[18:10] 我也知道它后面有fundamental的东西支撑的话
[18:12] 那其实就不会想太多
[18:13] 反正就是看这个行情可以走到哪里
[18:15] 然后就跟着搭车就好
[18:17] 这是我自己在最近处理盘式的一个心得
[18:20] 至于像过去是可能两三万点
[18:24] 三万点的时候有跟大家聊到说
[18:26] 那时候我们去看TSM
[18:27] 其实你按照它在2027的一个EPS估算的话
[18:32] 我们是觉得说有机会可以到四万点
[18:33] 只是说现在四万点已经到了
[18:35] 心中会不会觉得说有机会可以到五万点
[18:37] 还算不到
[18:38] 还算不到
[18:39] 所以自己会稍微的
[18:41] 也不能够说保守
[18:42] 因为反正那个牌
[18:42] 都已经推进去了
[18:43] 反正就看会走到哪里
[18:45] 然后再去识别说
[18:46] 到底现在市场
[18:47] 是愿意给整体的盘面
[18:49] 到怎样的一个估值
[18:50] 但其实我觉得市场里面
[18:51] 蛮多东西都是相对的
[18:52] 就像说像过去
[18:53] 喷很凶的一些广通
[18:54] 最近开始出现一些回到
[18:55] 而这些广通股
[18:57] 其实有些是交易在
[18:58] 两三年后的100倍
[18:59] 简单来说
[19:01] 市场都愿意去买这种东西
[19:02] 所以你说市场里面的
[19:04] 这种大型全职股
[19:05] 它只交易在20倍
[19:07] 甚至是
[19:08] 这个怎么讲
[19:08] 就高级成长性
[19:10] 可是都只有30倍左右的一些ASIC
[19:12] 这种大市值的
[19:13] 那他们就显得是非常的便宜
[19:15] 简单来讲说
[19:16] 如果大家可以接受
[19:17] 那个东西存在的话
[19:18] 那这些东西其实都非常便宜
[19:19] 那我们就是去保持弹性
[19:20] 当你们都可以去买那些东西的时候
[19:22] 那我就可以来买这些东西
[19:23] 那直到什么时候
[19:24] 直到可能大盘走到某个地方
[19:26] 做了个投
[19:26] 那大家知道说
[19:27] 估值的上限到这边
[19:29] 那我们才会再去执行
[19:30] 下一波的泰罗流向
[19:31] 所以这是自己最近
[19:32] 对于盘面的一些看法
[19:34] 那后面我们来聊一下
[19:35] 因为Pantheon他开了一个财报
[19:37] 那相关的财报数字呢
[19:38] 因为现在AI都非常方便
[19:39] 大家去问AI
