[00:00] 欢迎收听谷外,我是圣梦宫
[05:22] 其实我心中是有点反感
[05:23] 就觉得说
[05:24] 这个打下去之后
[05:25] 如果真的变得跟他们一样
[05:26] 没有办法吃东西的话
[05:27] 虽然可以减重
[05:28] 可是我其实不是特别想要减重
[05:30] 只是为了健康
[05:31] 但我就会觉得
[05:31] 我的人生的一些体验就被破坏
[05:34] 所以这是为什么
[05:34] 就是人家一直跟我讲说试看看
[05:36] 以我自己过往的个性就是
[05:37] 反正我一定会试看看
[05:38] 好玩吗或什么的
[05:41] 怕说什么食欲被破坏之类的
[05:43] 那只是
[05:43] 因为这是为了健康
[05:44] 所以就跟医师讲说
[05:45] 好啊那我就来配合看看
[05:47] 我就来试看看
[05:47] 看会怎么样
[05:48] 所以我们就是把目标设定在
[05:50] 就是可能大概降到
[05:52] 我家是82嘛
[05:53] 那降到大概75左右
[05:54] 那就可能维持在那边
[05:56] 那我们就观察一下
[05:57] 你的血压
[05:57] 有没有什么样的变化
[05:58] 那接着再来去决定说
[05:59] 是要进一步来说
[06:00] 就到这边就OK
[06:01] 就把它维持好就好
[06:03] 那只是我自己回家
[06:04] 去做施打的时候呢
[06:05] 我就直接开雷啦
[06:06] 因为去转那个壳
[06:07] 我也不知道是怎样
[06:08] 没有认真看说明书
[06:09] 以为这是煮IKEA的家具
[06:11] 反正先乱煮
[06:12] 煮不起来之后再看说明书
[06:13] 我心态就是这样
[06:14] 只是忘记说这个是不能够恶戏的
[06:17] 这是一个身体健康的东西
[06:18] 我就直接一开打就打到最高剂量
[06:21] 我是打完之后才知道
[06:22] 我自己打到最高剂量
[06:23] 我当下其实是有点紧张的
[06:25] 因为就看到说什么
[06:26] 一次打太高剂量
[06:27] 可能会有什么非常严重的呕吐
[06:28] 有些什么急性胰脏炎
[06:31] 要送医或什么的
[06:31] 所以我就越看越害怕
[06:33] 我就马上跟我打电动的朋友讲说
[06:34] 如果晚上9点半我没有上线的话
[06:36] 就记得帮我叫119
[06:38] 雖然我已經有跟我家人講
[06:39] 可是我有時候我家人我老婆
[06:40] 可能不一定要屌我之類的
[06:41] 所以如果你們注意到我沒有出現
[06:43] 那就要幫我去叫救護車
[06:44] 只是後來令我非常意外的是
[06:47] 就是我可能是少數對於這種藥有抗藥之類的
[06:50] 我打完之後
[06:51] 我的胃口是完全一樣
[06:52] 就是我並沒有說像人家描述了什麼
[06:54] 你聞到一些食物的味道太油膩你就不想吃
[06:57] 沒有我就是時間到我還超級想吃東西
[06:59] 真的開吃其實也是吃滿多的
[07:02] 只是可能是不知道心理作用還怎麼樣
[07:04] 會覺得我有稍微的吃少一點
[07:06] 就一般來說我可能吃完這個
[07:07] 我还可以再下掉两个甜点之类的
[07:09] 然后现在我没有办法去吃甜点了
[07:10] 因为我吃完这个主餐的套餐
[07:12] 我就觉得差不多了
[07:13] 那想说会不会可能是隔一两天之后
[07:15] 效果才这么强
[07:15] 那后来隔一两天也没有
[07:17] 也都一样
[07:18] 就是食欲都是正常的
[07:19] 那吃东西的味道也都是一样的
[07:21] 那只是就是说发现
[07:22] 真的是饱足感会维持比较久
[07:24] 那很明显的一点就是
[07:25] 因为我一般可能吃完之后
[07:27] 我知道可能隔一阵子
[07:28] 我会嘴馋想要吃东西
[07:29] 可是我现在隔一阵子
[07:30] 你可能稍微打嗝
[07:31] 然后都还是食物的味道
[07:32] 所以它真的是让你那个肠胃蠕动变得比较慢
[07:34] 那饱足的时间比较久
[07:36] 所以你可能就比较不会去塞
[07:37] 那种餐中间的各种小零食之类的
[07:40] 所以我是相信说一段时间之后
[07:41] 体重应该就是会往下
[07:42] 只是我的往下应该不会像
[07:44] 身边有些朋友那种超级剧烈的往下
[07:46] 因为他们真的就是吃一口饭就饱了
[07:48] 那我发现说我这个打下去之后
[07:49] 我是照常吃东西
[07:50] 而且我可能在胃口方面也没有受到影响
[07:53] 味道也没有觉得受影响
[07:54] 因为有些人说他打下去之后
[07:56] 他吃东西那个东西是没有味道的
[07:57] 所以是有好有坏啦
[07:59] 那坏的一面当然是
[08:00] 人家可以降很快嘛
[08:01] 那你就是慢慢下去
[08:02] 可是这个某个程度上来说是好事啊
[08:04] 反正对我来讲
[08:04] 我并没有体重的压力嘛
[08:06] 我也不觉得自己要降体重
[08:07] 那只是可能看到这个血压数字
[08:09] 那就来稍微的控一下
[08:11] 看我办法把它压下去
[08:12] 就不用说什么
[08:13] 年纪轻轻又要再吃一个什么高血压的药
[08:15] 有的没有的
[08:16] 真的变得跟药罐子一样
[08:18] 那所以如果可以顺便把一些什么
[08:20] 内脏脂肪给降掉
[08:22] 那可能也是一个很好的事情
[08:23] 所以大概这样
[08:24] 我可能之后稍微的实验一下自己的人体之后
[08:27] 再跟大家分享
[08:28] 后续的一些心得
[08:29] 那一样
[08:30] 我们再跟大家分享这些
[08:31] 可能有时候
[08:32] 那种个人医疗相关的东西
[08:33] 我们是没有受到
[08:34] 任何的什么厂商亏损之类的
[08:36] 我们的任何的
[08:37] sponsorship
[08:38] 都会只有在开头的地方
[08:40] 都有揭露
[08:40] 所以这都是自己
[08:41] 单纯的一个心得的分享
[08:43] 那分享这些东西
[08:44] 其实就是我在水时间
[08:46] 因为我总是要跟大家讲
[08:47] 我日常发生什么事情
[08:48] 或者说像我上集
[08:49] 有聊到说
[08:50] 我对那些AI恐慌文的堵烂感
[08:53] 稍微都喷了一下
[08:54] 你说喷那个到底意义在哪
[08:55] 其实也没有什么
[08:56] 就是爽
[08:56] 所以这个节目其实就是一个
[08:58] 有点类似那种个人的小日记
[08:59] 讲一下自己发生了什么事情
[09:01] 那时候也有一些意外的收获
[09:03] 因为有些听众
[09:03] 他们可能也是有什么胆固醇问题
[09:05] 他可能去询问了他身边的医师之后
[09:08] 他发现这个解方不一定是他要的
[09:11] 刚好听到我们讲一些东西
[09:12] 要去试了都觉得不错
[09:13] 我觉得这样也是一个挺好的发展
[09:15] 所以就只是大概跟大家讲一下
[09:17] 自己最近的一些想法
[09:19] 其实我觉得现在去着重健康
[09:21] 这件事情是蛮不错的
[09:22] 因为以前真的都没有在吊
[09:23] 那像现在也会每天睡觉
[09:25] 都专心的带着自己的Apple Watch
[09:26] 看一下自己的睡眠分数是多少
[09:28] 然后看一下会不会有什么
[09:29] 异常的指标跳出来
[09:31] 就真的是大概可能过了
[09:32] 32、33岁之后
[09:34] 开始有去注意自己的
[09:35] 身体健康的问题
[09:37] 那我觉得注意身体健康的问题
[09:38] 蛮有趣的是
[09:39] 本来以为说可能是你时间到
[09:41] 你会在意自己要活久一点
[09:43] 要健康
[09:43] 要可以出去玩
[09:44] 要可以走跳或什么
[09:45] 但我不知道
[09:46] 我现在是越来越活得
[09:47] 像是那种无我的感觉
[09:48] 就是为了自己的孩子
[09:49] 我真的觉得我都是为了我的孩子
[09:51] 虽然我不想让孩子感受到这种压力
[09:53] 我当然是不可能会跟他讲说
[09:54] 你爸这样都是为了你
[09:55] 像一些老一辈这样
[09:56] 但我自己会知道说
[09:57] 因为我想要看着你长大
[09:59] 所以我必须要好好照顾我自己
[10:00] 不然我本来有时候觉得说
[10:01] 真的死了算了没差这样
[10:02] 现在就是说
[10:03] 因为你人生有一些目标在
[10:05] 所以就会更加的去
[10:07] 把自己修正到一个
[10:08] 比较好的轨道上
[10:09] 非常积极的去配合医师的治疗
[10:11] 我年轻的时候
[10:12] 可能二十几岁
[10:13] 有时候医师叫我吃什么东西
[10:14] 我真的都不屌
[10:14] 开药给我也都不吃
[10:16] 就觉得说反正
[10:17] 到底我怎么吃药
[10:17] 我就好好的
[10:18] 我什么的
[10:18] 现在就会非常积极的去配合治疗
[10:21] 所以有一些新的发现跟观察
[10:23] 也会再跟大家分享
[10:24] 大概是这样
[10:25] 好那接下来我们来进入上话题
[10:26] 那昨天晚上NASDAQ的期货
[10:28] 又跌到了大概23200多点左右
[10:30] 所以就是往下了2.3%
[10:31] 那我们看一下台址的夜盘
[10:34] 也是跌了大概882.2.66%
[10:37] 那这个数字呢
[10:38] 基本上就是已经宣告了
[10:40] 下礼拜假设NQ在早上开的
[10:43] 再稍微低一点
[10:44] 那或者说日本的股市
[10:45] 韩国的股市开的差一点的话
[10:47] 那台股搞不好又再一次
[10:49] 去挑战千点
[10:50] 只是千点虽然它听起来很恐怖
[10:53] 那是因为用我们当年
[10:54] 可能一万点左右的时候就在搞股票
[10:56] 所以就觉得说千点是一个很吓人的数字
[10:59] 因为那时候等于是跌10%才会有千点
[11:01] 跌停才会有千点
[11:02] 可是现在是三万点
[11:04] 所以未来甚至是搞不好什么2000点2500点
[11:06] 都有机会只是日常的一个波动
[11:08] 这个市场长期很恐怖的地方
[11:10] 所以大家要慢慢的去习惯
[11:13] 不要去参照太多绝对数字
[11:15] 就是你去看百分比就好
[11:16] 然后要慢慢的去习惯说
[11:17] 当这个指数到越高的位置
[11:20] 股价到越高的位置
[11:21] 其实很多事情会改变
[11:22] 包含说像过去
[11:23] 你去看的一些融资的水位
[11:24] 你觉得要降到多少亿以下
[11:25] 现在也不一样了
[11:26] 因为东西又变贵了吧
[11:28] 所以其实呢
[11:29] 不要去被这些绝对数字给锚顶
[11:31] 那稍微讲一下
[11:32] 市场中现在正在发生的一些事情
[11:34] 首先呢
[11:35] Apple最近在这个Mark Gurman
[11:37] 也就是彭博这边的人
[11:38] 他有提到说
[11:39] 根据消息人士呢
[11:41] 苹果后来会开放这些模型
[11:43] 可以去串在他的Siri
[11:45] 也就是说
[11:45] 可能在Interface这边还是Siri
[11:47] 只是背后会去连接的是
[11:49] 其他家的模型
[11:50] 那这个就符合
[11:52] 我们对苹果的一个叙事逻辑
[11:53] 就是我认为说
[11:54] 它是一个在AI时代
[11:56] 它有点类似像是Cloudflare
[11:58] 这样的一个角色
[12:00] 只是非常便宜的Cloudflare
[12:01] 它可以去做收取过路费的行为
[12:05] 然后外加
[12:05] 因为它掌握了大量的用户
[12:06] 而且它现在去切
[12:07] 中低价的手机跟笔电
[12:10] 这代表的意思是说
[12:11] 它可以打进去教育市场
[12:12] 或是以前
[12:13] 就那些比较价格敏感的客人
[12:15] 所以当这些人
[12:16] 全部都被你收进来之后
[12:17] 它虽然现在是去
[12:18] 向Google支付模型的费用
[12:20] 但会不会后来变成是反过来
[12:22] 也就是别人要像当时像Google要上Safari的预设搜寻引擎是要付给Apple钱的是有机会的所以搞不好他不用付出大额的CapEx然后他一样可以去坐享这些巨额AI投资所带来的一些成果
[12:36] 但不要忘记
[12:36] 就是在我们自己的观察之下
[12:38] 还是知道说
[12:39] Apple有在持续的推进
[12:41] 他们伺服器的计划
[12:42] 只是他推进的幅度
[12:43] 然后跟力道
[12:44] 是远输这些科技巨头
[12:46] 只是下发现说
[12:47] 他不用砸这么多的CapEx
[12:49] 近期的股价的表现
[12:50] 也是比其他的七风险来得强
[12:52] 最重要的原因是因为
[12:54] 我觉得市场上开始去聚焦说
[12:55] 因为你花了大量的CAPEX
[12:56] 同时你不太确定
[12:58] 未来的ROI会在哪边出现
[13:00] 虽然现在都要跟你讲说
[13:01] ROI数字很好
[13:02] 反正只要投资业案
[13:03] 你就是会赚钱
[13:04] 只是因为你真的花太多钱了
[13:06] 所以你会挤掉很多的现金流
[13:08] 可能也会在未来会出现一些
[13:10] 财务上的比较紧绷的状态
[13:12] 虽然我认为没事
[13:13] 但市场就会担心
[13:14] 其实你要知道
[13:14] 这些市场分析师
[13:15] 基本上是仅次于你
[13:17] 他担心你的
[13:18] 就是什么样的状况
[13:18] 不管是好是坏
[13:19] 他们都会担心
[13:20] 太好他们会担心
[13:21] 长太多了后面会跌
[13:22] 太跌他也会担心
[13:23] 是不是出什么问题
[13:24] 所以其实加大了状态
[13:26] 就是觉得这些多花钱的CAPEX
[13:28] 可能某个程度上
[13:29] 会去影响到这些巨头的
[13:31] 后面的股价的表现
[13:32] 或者说现金流的一个状态
[13:34] 所以因为这样子
[13:35] 要去修正他们的一些估值
[13:36] 反而苹果因为没有砸这么多钱
[13:38] 所以算是在这一波
[13:39] 是相对强势的
[13:40] 我自己也会按照我的策略规划
[13:43] 大概在几天前
[13:44] 我跟大家规划
[13:44] 就是觉得说苹果去切这些
[13:46] 中地价的笔电跟手机
[13:48] 我认为是很棒的一个策略
[13:49] 所以像我自己
[13:49] 会想要去加大苹果的一些部位
[13:51] 所以就再持续的观察下去吧
[13:53] 有点像是说
[13:53] 我们前面就先把剧本写好
[13:55] 然后下这些剧本
[13:55] 看起来是
[13:56] 有按照自己要的方向去演的话
[13:58] 那当然你就可以去选择
[14:00] 是不是要去额外的再做加码
[14:01] 因为其实目前我自己在
[14:03] 美股的现金水位
[14:04] 是有慢慢的在拉高
[14:06] 只要每次开始出现一些修正
[14:08] 就会去持续的把一些东西给砍出来
[14:10] 那当然有些人会讲说
[14:11] 你这样不就有点像是说
[14:13] 砍在阿呆股
[14:13] 那越跌怎么越卖
[14:14] 因为我们是比较
[14:16] 有一点那种动能的成分
[14:17] 所以绝大多数的东西
[14:18] 加码会发生在右侧
[14:20] 那左侧的话
[14:21] 也会买
[14:22] 只是就是要出现一些残黑
[14:23] 所以像礼拜五的美股
[14:24] 就有去稍微的买一点东西
[14:26] 但其实跌到现在这个位置
[14:28] 特别是NASDAQ又再一次破底
[14:29] 我现在的感受
[14:30] 我现在的感受是
[14:31] 它已经有点像去年三四月
[14:34] 那个Liberation Day
[14:34] 就是14257号行政命令的事件
[14:37] 那我认为
[14:39] 那个味道已经有点像
[14:41] 那我们在那时候的节目
[14:42] 其实大家可以去稍微回听一下
[14:43] 去感受一下
[14:44] 因为我到现在都记忆游行
[14:45] 反正总之就是三月先一直崩跌
[14:48] 然后那时候慢慢的杀肉
[14:49] 就觉得说不太对劲
[14:51] 可是我不太愿意去在
[14:53] 就是可能每天一直被割肉的地方
[14:54] 去把东西卖在阿太股
[14:56] 所以我的做法是
[14:57] 我等到有反弹开人道走廊
[14:59] 那时候我去做减码
[15:00] 我当时是这样讲
[15:01] 然后后来4月就真的出现一个大淘沙
[15:03] 所以那时候就有更多的流动性
[15:05] 可以做加码
[15:06] 不然可能会比较卡死
[15:07] 就变成说能够加码的钱是很少的
[15:09] 那就没有办法买到真正的提点
[15:12] 到绝对的低点
[15:13] 只是有时候
[15:14] 我们去做一些资金的调节
[15:15] 那我认为
[15:16] 其实本来我去观察NASDAQ
[15:18] 我的想法是觉得说
[15:19] 你只要出重杀
[15:20] 我就会买
[15:20] 所以其实像礼拜五的时候
[15:21] 就有稍微去买一些东西
[15:23] 那只是我现在越看越觉得
[15:24] 真的有点像是
[15:26] 去年三四月的感觉
[15:27] 所以如果后面在反弹的时候
[15:29] 这个反弹只要稍微的转弱
[15:32] 所以转弱就是说
[15:33] 你没有那样一路嘎上去的话
[15:34] 那对我来讲
[15:35] 就甚至会再去额外
[15:37] 再做更进一步的减码
[15:38] 然后去等待
[15:39] 可能会有类似像是
[15:40] depression day的事件出来吧
[15:42] 我自己想现在可能就是
[15:43] 偏向在中东这边吧
[15:44] 大家都知道说
[15:46] 美国大兵现在正在
[15:47] 大幅的往中东去进击
[15:49] 不管是可能一些登陆的部队
[15:52] 或者是现在可能要去派出
[15:53] 什么空降兵之类的
[15:55] 说不定后面就变成一个
[15:56] 全面的战争
[15:57] 那全面的战争
[15:58] 说不定是打起来的瞬间叠
[16:00] 然后后来就变成是一路涨
[16:02] 这是有机会发生的
[16:03] 那只是就要去因应说
[16:04] 有可能会再出现一些
[16:06] 我是不希望
[16:07] 但三到四月的那个状态
[16:09] 去年就有机会会有这样的一个情形
[16:11] 因为现在越看越像
[16:12] 它就持续的在破底
[16:13] 真的跟去年的情形是有点类似
[16:15] 所以那个肌肉肌
[16:16] 折一下就跑上来
[16:17] 那立刻去做对应的一些规划
[16:20] 那其他的话呢
[16:21] 就还是有在买东西
[16:22] 那只是我是比较偏向
[16:24] 像现在大家讲说什么
[16:25] Avago啊
[16:26] 或是就是Brakon
[16:27] AVGO
[16:28] 那或者像是什么
[16:29] NVIDIA都已经是
[16:30] 也在破底啊
[16:31] 都在持续的往下
[16:32] 那我自己是比较不会想要在这种
[16:34] 就它前面很很久
[16:35] 然后现在开始破底的地方去做家嘛
[16:37] 我可能反而跑去买
[16:38] 像我就买了蛮多Marvel
[16:40] 因为其实前面我跟大家讲
[16:41] 就Marvel在后面
[16:42] 应该会有一些斩获
[16:43] 虽然这是我大概第三次挑战它吧
[16:45] 前面两次挑战它
[16:46] 都是鲨鱼而归
[16:47] 都没有成功
[16:48] 但它现在算是可能在美股的
[16:50] 就是这种技术线型
[16:51] 还长得还蛮不错的东西
[16:52] 就已经是很少了
[16:54] 有可能光通
[16:54] 一些化工
[16:55] 一些石油影响的股票
[16:57] 有些有在动一些能源
[16:58] 可是绝大多数的科技股
[17:00] 其实都是在一个非常烂的状态
[17:01] 所以我目前就是说
[17:02] 去把一些部位
[17:03] 加到比较强势的东西上面
[17:05] 那这些弱势的东西
[17:06] 开始持续出现破底的时候
[17:07] 甚至会慢慢的去做减码
[17:09] 因为其实蛮多是爆很久
[17:10] 那只是很可惜没有来高点
[17:12] 那反而是在稍微要往下破底的时候
[17:15] 去做一些减码
[17:16] 但这个是为了后面
[17:17] 假设要有资金去做抄底的话
[17:19] 那还是要去把一些流动性腾出来
[17:21] 那每个人可以去
[17:22] 透过不同的方式去腾流动性
[17:24] 那像有些人可能会选择
[17:25] 就来说像最近光通走得不错
[17:27] 其实蛮多人手上应该都很多光通
[17:29] 或是说像记忆体
[17:30] 其实虽然现在看起来叠蛮凶的
[17:32] 可是它其实也涨超级多
[17:35] 去卖一些比较强势的股票来补钱
[17:37] 那也是一个做法
[17:38] 只是我自己的做法
[17:39] 是比较喜欢去卖
[17:40] 可能相对弱势的东西
[17:42] 然后接着看后面怎么样
[17:43] 再去做新一波的布局
[17:45] 所以我自己一下感觉
[17:47] 觉得美股是长得非常的险恶
[17:49] 如果说美股真的后面出现一个
[17:51] 那种超级大崩沙的话
[17:52] 那当然苏南想象
[17:53] 亚股或是台股可以幸免之
[17:55] 只是还是慢慢的看下去
[17:57] 就是说可能走一步算一步
[17:59] 因为本来会认为说
[18:00] 它只要有一个急杀
[18:01] 就像说如果昨天的状态是急杀
[18:04] 那接着收一个很长的下影线
[18:06] 或者说可能在下礼拜一直接跳上去的话
[18:08] 那我们就不会往这个剧本去走
[18:10] 但如果说它就持续的
[18:11] 你就看它这样子
[18:12] 一个高比一个高来的低
[18:14] 一个低比一个低来的低
[18:15] 就是说这高高是往下
[18:17] 低低也是往下的话
[18:18] 持续的震荡向下
[18:19] 或者说直接直线向下的话
[18:21] 那可能在后面出完反弹之后
[18:23] 这个反弹只要碰到上面的均线
[18:25] 然后就有可能会再出一个大根的
[18:27] 这个是我家会自己比较害怕的一点
[18:29] 所以会希望去搞一点流动性出来
[18:32] 然后这样后面才有钱可以去做加码
[18:33] 那台股的方面的话呢
[18:35] 我觉得就很神奇啊
[18:36] 就是最近刚好
[18:37] 也跟身边的一些朋友聊到
[18:38] 台股的水位是打到蛮高的
[18:40] 美股的水位是降到蛮低
[18:42] 可是台股的水位是打到蛮高
[18:43] 那其实本来台股的规划也是说
[18:45] 如果有转落
[18:46] 我也要持续的去太嘛
[18:47] 因为跟大家分享就是说
[18:48] 只要你有上去
[18:49] 那大家要抢的时候我就丢嘛
[18:51] 那如果说今天是转落的时候
[18:52] 我就要拼命的去减筹嘛
[18:55] 这是前面的做法
[18:56] 可是这一波
[18:57] 也是说自己比较幸运的
[18:58] 因为只要有走出去的东西
[19:00] 我们就会持续的去做家嘛
[19:02] 所以家一家就发现说
[19:03] 那边的朋友在跟我讲说
[19:04] 有什么东西可以看
[19:05] 我直接跟他说
[19:06] 我没钱了
[19:07] 我能够跟50张
[19:07] 因为我真的没钱了
[19:08] 就其他东西都买完了
[19:09] 所以下礼拜一
[19:10] 我应该也会受到
[19:11] 这个蛮大的伤害
[19:12] 即便手上可能都是
[19:13] 强势股在右上角
[19:14] 可是呢
[19:15] 真的出现恐慌
[19:16] 应该都会一起往下跳
[19:17] 那我的想法是
[19:18] 可能就跟美股的做法
[19:20] 是相反
[19:20] 美股这边是
