[00:00] 欢迎收听谷爱,我是沈木工,本集节目由善存赞助
[01:45] 那真的蛮多东西是要等到你懂得换位思考
[01:48] 或甚至是不懂得换位思考
[01:50] 那最慢最慢就是等到你被强迫换位置之后
[01:53] 换脑袋之后
[01:54] 你就会开始去理解一些东西跟自己想象的可能不太一样
[01:57] 像我小时候听到自己的朋友可以去上什么夏令营的
[02:00] 我都觉得蛮羡慕的啊
[02:01] 太爽了吧
[02:02] 既然妈夏天他爸妈可以送他去哪里上课去哪里玩
[02:05] 当然讲这个上课不是说那种传统的上课
[02:08] 不然他妈谁会羡慕
[02:09] 就是你就知道说他去那个地方一般来讲就去玩
[02:12] 怎么去打棋蛋去做什么奇怪的事情
[02:14] 那不然有些人甚至是可以去到海外
[02:16] 会觉得说
[02:17] 哇他们的家长真的是超级宠他们
[02:19] 对他太好了
[02:20] 就是你的思考自己这个同学作为本位
[02:22] 会觉得
[02:23] 他好像这样子过了一个非常美好的夏天
[02:25] 那等到自己当老爸之后呢
[02:27] 特别是经历了前面的几个夏天
[02:29] 一开始你会很有新鲜感
[02:31] 因为就是一个新生命的单身
[02:33] 陪他玩或什么的
[02:34] 但最后面还是会慢慢理解一件事情
[02:35] 就像是不管你多热恋的情侣
[02:37] 最后就会发现说
[02:38] 你每天待在一起
[02:39] 老实讲是没有办法的
[02:40] 还是要有一点那种小别盛心欢的成分
[02:43] 如果说你们每天可能只需要相处三到四个小时
[02:45] 其实我觉得相处的品质会比你相处一整天来得好
[02:49] 所以一开始当然会想要用尽全力去陪孩子
[02:51] 直到后来就发现
[02:52] 可能是第一体力不支
[02:54] 第二可能是怎么讲
[02:56] 就跟任何人一样
[02:57] 你每天跟他在一起
[02:59] 你总是会有一点厌烦
[03:00] 所有的小缺点就被放大
[03:02] 所以就尽量的去抓出一点距离
[03:04] 这时候夏令营的产生
[03:06] 就对我们来讲是一个老天给的恩惠
[03:09] 把小朋友送出去
[03:10] 那整个夏天呢
[03:12] 我就只需要担心一半
[03:13] 一半是夏令营嘛
[03:14] 那另外一半呢
[03:15] 还是可以出去玩
[03:16] 相较之下呢
[03:17] 你的烦躁感觉会降低非常多
[03:19] 那孩子可能也蛮高兴的啊
[03:20] 他可以到一个地方
[03:21] 去跟其他同学玩之类的
[03:23] 就是一个双赢的策略
[03:25] 所以如果预算够的话
[03:26] 就基本上夏令营
[03:27] 一定都会把它抱好抱满
[03:29] 那可是呢
[03:29] 因为夏到夏令营
[03:30] 还有一小段时间
[03:31] 所以我们家就先全部带出来
[03:33] 先做一下国旅啊
[03:35] 八月之后
[03:35] 可能才会出国去旅行
[03:37] 那今天就来到了这个凯度饭店
[03:40] 我觉得蛮屌在宜兰这边
[03:41] 其实我们以前宜兰的度假呢
[03:43] 都蛮喜欢去那个焦西老爷啦
[03:46] 那像去年的这个时间呢
[03:47] 我也是在焦西老爷
[03:48] 那时候就是我入坑尼基的时候
[03:50] 印象非常深刻
[03:51] 那时候为了抽那个水桃乐师
[03:53] 不知道可能花了大概五六万台币吧
[03:55] 我就上头了
[03:56] 然后就妈的想要把它全部抽爆
[03:58] 抽到max
[03:59] 那也因为有这个事件作为载体啦
[04:01] 所以就比较记得说
[04:03] 原来去年的这个时间
[04:04] 我就记得我那时候是躺在老爷里面
[04:07] 在那边抽卡
[04:08] 别人在那边玩
[04:08] 我在那边抽卡
[04:09] 那今年呢
[04:11] 本来也是想要再去老爷
[04:12] 因为就去习惯的地方
[04:13] 就一直想要去啦
[04:14] 跟一开始不太一样
[04:15] 一开始你去旅行的时候
[04:16] 会想要去新地方
[04:17] 后来我都一直
[04:18] 只想去熟悉的地方
[04:19] 那只是呢
[04:20] 因为它就被订满了
[04:21] 那我就想到说
[04:22] 我有蛮多的朋友
[04:23] 都在推荐说
[04:23] 有一个在海边的饭店
[04:25] 叫凯度
[04:26] 可以去看一下
[04:27] 可是不知道为什么
[04:27] 他的那个评价
[04:28] 看起来好像没有很高
[04:29] 就八点多分
[04:30] 八点多分
[04:30] 直觉就觉得说
[04:32] 应该是会哪里有雷之类的
[04:33] 但反正就是带孩子去玩嘛
[04:35] 后来你带孩子玩的地方
[04:36] 你就不会太在意了
[04:37] 你的想法就是
[04:37] 反正孩子只要玩得开心就好
[04:39] 那所以像那时候
[04:40] 我们也去一个
[04:41] 在那个桃园的
[04:41] 什么南方庄园
[04:43] 那个我就是会觉得说
[04:44] 如果你叫我来
[04:45] 我就不会来第二次
[04:46] 可是因为孩子在那边游泳
[04:48] BBQ玩得很高兴
[04:49] 所以就为了他
[04:50] 就还是会再去
[04:51] 那一样的道理
[04:52] 就是我们现在
[04:53] 其实有蛮多的思考
[04:54] 都为了孩子去做
[04:55] 这个核心的规划
[04:57] 所以看到这个凯度的饭店
[05:00] 他在海边有蛮多
[05:01] 有的没有的东西
[05:02] 他有一些
[05:02] 什么海水游泳池
[05:03] 想说就来吧
[05:04] 就令我超意外
[05:06] 其实我蛮喜欢这个地方
[05:07] 那他的那个晚上的buffet
[05:10] 也是蛮好吃的
[05:11] 小朋友吃得超开心
[05:12] 那他有一个kids club
[05:13] 那kids club里面有一些是
[05:15] 换代币的电玩
[05:16] 那有一些是可以用租借的
[05:18] 像他就搞了一个
[05:19] 类似那种木头车车
[05:21] 然后你就可以跟你的孩子
[05:22] 拖鞋子上去坐在车车里面打switch
[05:24] 不然我比在家里打switch好玩非常多
[05:26] 所以我们就在那边玩了两款游戏
[05:28] 那还有一些球类的东西
[05:30] 可以去做租借
[05:31] 所以呢我就感觉
[05:32] 我孩子玩到疯掉了
[05:34] 在泳池或是在这个kids club
[05:35] 都很高兴
[05:36] 然后就觉得说
[05:37] 以后应该会再多带他来
[05:38] 然后在这边遇到了蛮多的
[05:40] 地方的捏软阵线
[05:42] 大家都稍微的打个招呼
[05:44] 就知道说
[05:45] 每个人都是
[05:45] You feel me, I feel you
[05:47] 我们都是
[05:47] 陪小孩来这里
[05:49] 但意外的这个地方
[05:50] 其实真的蛮赞
[05:51] 有一个地方爸爸
[05:52] 就跟我讲说
[05:52] 他们已经来好几次了
[05:54] 他以前也是去老爷
[05:55] 我说我之前也是没有
[05:56] 见到老爷在跑来这里
[05:57] 好像是一个备选的东西
[05:59] 可是就来了之后
[06:00] 有点那种上头了
[06:02] 迷上了
[06:02] 就觉得以后可以再多来几次
[06:05] 因為孩子真的玩得非常的開心這樣
[06:07] 所以我覺得地方爸媽
[06:08] 如果你們不知道要幹嘛的話
[06:09] 後面可以看一下這家飯店
[06:11] 特別是以孩子作為核心
[06:12] 我覺得他們會蠻高興的
[06:14] 那家長方面反正就是窗OK
[06:16] 冷氣會涼
[06:17] 再來就是說泡澡的地方有
[06:20] 那晚上有Buffet可以吃
[06:22] 那我還額外再訂了一個
[06:23] 他有跟江振成有合作一個
[06:25] 那也不知道是什麼東西
[06:26] 反正我就請A君幫我處理
[06:28] 什麼Find Dining
[06:29] 我說有沒有包廂
[06:30] 也有包廂
[06:31] 低銷三萬算起來也還好
[06:33] 因為可能全家加起來就七八個人
[06:35] 一個人3000塊就快低銷了
[06:37] 你再隨便點個酒就低銷了
[06:38] 你看又有包廂可以在裡面
[06:40] 不知道就是一家人在那邊
[06:41] 感覺是蠻快樂的事情
[06:43] 所以我覺得這個地方真的是挺好的
[06:44] 然後再來又看到他的
[06:46] 目錄上面有寫說什麼
[06:48] 可以坐船出去什麼的
[06:49] 我就覺得說這個地方
[06:50] 應該是以後可以常常來
[06:52] 宜蘭真的是一個
[06:53] 就非常喜歡的地方
[06:55] 最近一個好朋友也在宜蘭買了房子
[06:57] 他本來問我說要不要來宜蘭搞一下
[06:58] 只是我不是想潑他冷水
[07:00] 因為他們正在備孕中
[07:01] 我就跟他講說
[07:02] 我跟你講後來你要帶孩子出去
[07:04] 像我們這次帶兩個出來
[07:05] 大的已經是算可以自理了
[07:07] 沒什麼事情
[07:08] 可是光是小的
[07:09] 那個行李箱就可能要拉兩個以上
[07:11] 因為有一些他要用的用品
[07:12] 或是一些什麼消毒的東西
[07:14] 飯店不一定有
[07:15] 或者說他有
[07:16] 可是他不一定是你要的一個規格
[07:18] 所以跟你講帶小孩出去超麻煩
[07:20] 特別是那種兩三歲以下的
[07:22] 超級辛苦
[07:23] 你現在買一個在宜蘭
[07:24] 然後你想像中是說
[07:26] 我週末帶他來玩很開心
[07:28] 但實際上的狀況就是
[07:30] 你們可能累個半死
[07:31] 那可能平常又有人要来你家看小孩
[07:33] 什么的
[07:33] 你周末就只想好好休息
[07:35] 然后你现在
[07:35] 因为你已经在那边买了房子
[07:36] 你就不得不去
[07:37] 那你要拉大包小包的东西
[07:39] 过去之外呢
[07:40] 到那边
[07:42] 就是怎么讲
[07:43] 可能也没有像在家里这么方便
[07:45] 因为要有这婴幼儿的东西
[07:47] 其实蛮多时候是很麻烦的
[07:49] 那再来就他长大一点
[07:50] 会发生什么事情
[07:51] 像我儿子现在四五岁
[07:52] 他就有他妈急啊
[07:54] 他有几个是那种好妈急
[07:55] 好妈急在哪
[07:55] 他就想在哪
[07:56] 这还只是四五岁而已
[07:58] 你想象他这妈的小学或是国中
[08:00] 那嫁了就可能他就想跟他
[08:01] 好嘛几个
[08:03] 去旁边哪里打个电动或什么的
[08:04] 你嫁他要跟你去宜兰或什么
[08:06] 他一定不想跟你去啦
[08:07] 所以我那时候就一直
[08:08] 怎么讲
[08:09] 因为我知道他已经买了
[08:10] 我也不想泼到冷水
[08:11] 可是我就是偷偷跟他讲说
[08:12] 等到你有小孩之后
[08:13] 你想法可能不太一样
[08:14] 但没关系啊
[08:14] 反正买了就买了嘛
[08:15] 十岁以后
[08:16] 他可能还是会想到
[08:17] 来跟你烤肉之类的
[08:18] 可是就这个中间
[08:19] 可能会比较辛苦一点
[08:20] 所以我就觉得说像这种
[08:22] 你看我们就是另一包东西
[08:23] 虽然也不是一包
[08:24] 他妈蛮多包
[08:25] 然后就可以来这边
[08:26] 就到处找一些饭店去住一下
[08:27] 其实算起来也是非常划算的
[08:29] 而且你不用对这个地方有commitment
[08:31] 你不用说买房子
[08:32] 你要照顾他或什么
[08:33] 这是一个挺好的选择
[08:36] 希望大家在接下来的暑假
[08:38] 都可以过得开心健康
[08:40] 跟孩子可以一起写下
[08:42] 非常美好的回忆
[08:43] 虽然刚刚前面感觉
[08:44] 是有一点那种小抱怨
[08:45] 那样说跟孩子整天在一起
[08:47] 但仔细想想
[08:49] 你看你跟一个小婴儿
[08:51] 你们只有两个夏天
[08:52] 因为两岁以后
[08:53] 他就可能就不是小嬰兒
[08:55] 他就是變成是baby了
[08:56] 那接著跟baby可能有三個夏天
[08:59] 就是他會極度仰賴你
[09:00] 那等到他可能五六歲之後呢
[09:03] 他已經開始有自己的朋友
[09:04] 他有自己的想法
[09:05] 所以他就是一個小孩
[09:06] 那小孩的夏天可能
[09:08] 不知道也就是五六個
[09:09] 然後接著可能就
[09:11] 一切都進入一個終點
[09:13] 他們會有自己的生活
[09:14] 那最終呢
[09:15] 你就是只有你跟你的老伴
[09:17] 所以呢
[09:17] 雖然有時候會覺得
[09:19] 可能陪小孩還蠻累的
[09:21] 因為同時
[09:21] 我覺得很有趣的一點是
[09:23] 但可能很像他在講幹話
[09:25] 因為我們有孩子的時候
[09:26] 一般來講都是在青壯年
[09:28] 台灣比較例外
[09:29] 台灣或者說像我太太西班牙那邊
[09:32] 其實蠻多人是很晚生
[09:34] 三四十歲來生
[09:35] 年輕的時候都不想要
[09:36] 或者說壓力太大什麼的
[09:37] 然後等到老了就突然間想要去
[09:39] 趕快上這個末班車
[09:40] 那當然風險也會放大什麼的
[09:42] 可是你想如果說你是走那種
[09:44] 就是比較常規的生育的時間
[09:47] 那其實剛好是你的事業起飛
[09:50] 你最多工作
[09:51] 你最累的時候
[09:52] 那像我们家是还好啦
[09:54] 就是变成只有我自己在工作嘛
[09:56] 那太太可以花比较多时间陪孩子
[09:57] 我自己有时候觉得蛮不好意思的
[09:59] 因为我也想花时间陪孩子啊
[10:01] 但干就很累啊
[10:02] 就真的超累的啊
[10:03] 像这个礼拜又是那种战斗礼拜嘛
[10:06] 那像我们昨天在吃那个buffet的时候
[10:08] 我们是两桌啦
[10:09] 那那个A君跟他的女朋友有来
[10:11] 那再来就是我岳母跟我太太
[10:12] 有什么的
[10:13] 我也不知道什么
[10:14] 就理论上我应该要坐在
[10:15] 我们自己孩子的这一桌
[10:17] 要陪他们嘛
[10:18] 要什么的
[10:18] 可是我就是先去拿到东西
[10:19] 我先坐在隔壁桌的最角落
[10:22] 我就先开始狂吃
[10:23] 我觉得我超饿
[10:24] 我已经一整天超累
[10:26] 然后又要开车来宜兰
[10:27] 我先把自己喂饱之后
[10:28] 然后喝个乌龙茶
[10:30] 冷静一下
[10:31] OK
[10:32] 然后就换我去喂孩子
[10:33] 那也非常感谢
[10:34] 就是家人可以这样互相扶持
[10:36] 有些人可能是主外
[10:37] 有些人是主内
[10:38] 然后可以把这件事情做好
[10:39] 但就家长们真的是不容易
[10:41] 那可以找到一些
[10:42] 你知道现在在外面
[10:44] 其实对孩子友善的地方
[10:45] 也越来越少
[10:46] 我觉得很合理
[10:46] 因为就是在这个世界上
[10:48] 愿意去再生小孩的人
[10:51] 是越来越少了
[10:52] 所以当然
[10:52] 大家就会去玩出一些新把戏
[10:54] 就像是如果今天
[10:55] 生孩子的是绝大多数的话
[10:57] 或者说生育率是稍微正常一点
[10:59] 像那时候自己去美国
[11:01] 会体验就觉得
[11:01] 哇 大家都会觉得说
[11:03] 你的孩子好像是很重要的东西
[11:05] 那个态度会差非常多
[11:07] 可是在台湾
[11:08] 就我们又会担心说
[11:09] 孩子会不会不小心吵到别人
[11:11] 或是会不会影响到别人
[11:13] 所以可以找到这种亲子饭店
[11:14] 你就知道每个人都有带孩子
[11:16] 所以每个都是捏住自己的软带
[11:18] 每个都是一样砍的
[11:19] 那就觉得在这个地方是非常的放松
[11:22] 所以有这样的地方可以稍微的
[11:24] 喘口气
[11:25] 我也觉得是挺好的
[11:26] 对啊
[11:26] 就是整体来讲呢
[11:27] 它是一个蛮有趣的体验
[11:29] 你在每天可能睡前你回头想
[11:32] 你觉得自己非常的幸福
[11:33] 可是当下你觉得说
[11:34] 他妈的也太累
[11:35] 所以有一句话我还是觉得非常的到位
[11:37] 就是关于生育孩子这件事情
[11:39] 一天太长
[11:41] 一年太短
[11:42] 差不多就这样的一个感受
[11:43] 那就希望大家在暑假快乐
[11:45] 以上
[11:46] 好那接下来我们就来进入上午话题
[11:48] 那在上个礼拜
[11:49] 也不是上礼拜
[11:50] 就礼拜三的时候呢
[11:51] 有跟大家分享一下
[11:52] 我觉得下的盘面的状态呢
[11:54] 是如果你想要去追一些强势股的话
[11:56] 你就会被修理
[11:58] 然后在昨天跟前天
[11:59] 就身边一些
[12:00] 专门在做这种强势
[12:02] 或是涨停策略的人
[12:03] 都有提到这件事情
[12:04] 就说干真的是一直被干
[12:05] 可是我自己觉得
[12:06] 在礼拜四礼拜五的时候
[12:07] 开始有一些东西变得不太一样
[12:10] 有一些那种所做的东西
[12:12] 我感觉说
[12:13] 就整个气势是不太一样
[12:14] 不太像前面就是可能
[12:16] 蛮多人在做进攻的时候
[12:17] 就同時會有很多人拋出來
[12:18] 但我覺得也合理啦
[12:19] 因為前面剛經歷過一個小型的修正嘛
[12:23] 那所以當重新拉起來的時候
[12:24] 可能就蠻多終於可以解套的傢伙就是想把東西就賣掉所以很多時候我都會想去問這些人我都希望可以去開一個那種端到端的加密連線跟這些人在腦袋去做連結
[12:36] 說你會不會做股票
[12:37] 你在幹嘛
[12:37] 人家在幫你拉
[12:39] 人家拿錢在那邊砸
[12:40] 你在那邊拼命賣
[12:42] 你是猴子是不是
[12:43] 就你知道他是猴子
[12:45] 因為你知道這些人
[12:46] 他們最後面都會後悔
[12:46] 他們就等到下個高的時候
[12:48] 再跑回來追
[12:49] 但就真的蠻多人都在搞這樣子的操作
[12:51] 反正就是亂追
[12:52] 然後接著解套就拼命賣
[12:54] 很多散户都是在这样子搞
[12:56] 但是有时候当这些人
[12:58] 他们众志成城
[13:00] 他们一堆人聚在一起
[13:01] 或者说盘面真的前面有去
[13:02] 做出一些比较不好看的形态的时候
[13:04] 你就会注意到
[13:05] 就到一些特定的地方
[13:07] 它的卖压真的是非常大
[13:08] 所以你本来想要进去
[13:10] 去做一个强势股
[13:11] 你可能被打到
[13:12] 你自己也被卖压
[13:13] 因为你被打到之后
[13:14] 你想说好大家都不要玩
[13:15] 那没关系就一起来丢
[13:16] 所以就变成它会稍微的震荡一点
[13:19] 但这种震荡的时间点
[13:21] 一般稍微的在持续一阵子之后
[13:23] 当盘面开始持续的去攻出新高的话
[13:26] 我觉得就是大家的资金
[13:28] 就会再次的凝聚起来
[13:29] 到时候强势族群
[13:31] 就会非常容易的去做识别
[13:33] 在礼拜三跟大家分享的时候
[13:34] 是有注意到
[13:35] 因为被动元件是第一波
[13:36] 在修正之后立刻转强的东西
[13:38] 随后功率元件也是
[13:40] 所以其实就还是在
[13:41] 被动跟功率这边
[13:42] 我觉得是非常好识别
[13:43] 就是市场的资金
[13:44] 是压住在这些地方
[13:46] 他们是率先的转强
[13:48] 转强之后
[13:48] 你就会看到一堆人
[13:49] 他可能看到他强要跳上来
[13:51] 你跳上来就被修理
[13:52] 就像我可能礼拜三跟大家讲
[13:53] 你跳上来
[13:54] 你去追那一场
[13:54] 你就被修理
[13:55] 但这个修理呢
[13:56] 可能就是稍微的
[13:57] 持续一阵子
[13:58] 因为有些人要下车
[13:59] 因为有些人
[14:00] 他本来前面被套到
[14:01] 他也是乱追的
[14:01] 那然后这个筹码
[14:03] 稍微的洗干净之后呢
[14:04] 我觉得啦
[14:05] 就是如果在下一波
[14:06] 再持续拉上去的
[14:07] 他应该就会回到
[14:08] 正常的盘面
[14:08] 也就是那些强势的东西
[14:09] 就有机会会
[14:10] 展现出一些
[14:11] 比较厉害的延续性
[14:13] 所以大概是这样子
[14:14] 去做观察
[14:15] 我觉得看起来是
[14:16] 蛮有可能要准备
[14:18] 要射出去
[14:19] 那只是当然
[14:20] 我们一般都会等到确实都有看到
[14:22] 就是你真的走出去
[14:23] 那当然最明显就是大盘直接有一个新高
[14:25] 那就不用讲了
[14:26] 那代表说修正就是结束了
[14:28] 那在这样的状况之下呢
[14:29] 就会再持续的再把资金给推进去
[14:32] 所以目前的规划是这样
[14:34] 那在过去的一个礼拜
[14:36] 算是有蛮多新的事件的产生
[14:39] 但还是主要围绕在那几个元件
[14:41] 就我们上集跟大家聊到说
[14:42] 有一些ZTime增加
[14:44] 然后有一些
[14:45] 就是大家在接下来会开始看到
[14:46] 涨价性发出的一个情形
[14:48] 当然是要强调一下
[14:49] 這個漲價性發出呢
[14:51] 是在講產業面的部分
[14:52] 那股價面其實很多都噴出了
[14:54] 所以不代表他發漲價性
[14:55] 他就要繼續噴出
[14:56] 你懂我意思嗎
[14:57] 因為他前面已經噴很多
[14:58] 很多都噴兩三倍以上了
[14:59] 那不確定
[15:00] 但是我們因為產業面的東西
[15:01] 還是要持續跟大家cover
[15:02] 所以就是提到說
[15:03] 你會開始在7月看到
[15:05] 密集的漲價性的產生
[15:07] 那最近在一些ODM跟EMS的朋友
[15:11] 也提到說
[15:12] 他們開始買不到一些功率元件
[15:14] 像是MOSFET
[15:15] 在一些應用上面
[15:17] 甚至已經出現斷貨的情形
[15:18] 是買不到
[15:19] 所以這個算是房間裡的大象
[15:22] 因為在過去的幾個月
[15:23] 我自己也都是在盯被動元件為主
[15:25] 然後是直到被動元件
[15:26] 開始出現一些震盪之後
[15:27] 我才開始去撈市場其他題材
[15:29] 才發現說
[15:29] 哇靠 既然房間裡面有一次大象
[15:32] 這些公寓的零組件
[15:34] 其實他們也開始出現Lead Time
[15:36] 然後甚至是漲價的情形
[15:38] 而且是完全是不輸被動元件的
[15:40] 在這個禮拜
[15:40] 我覺得開始進入到一點
[15:42] 那種白熱化的情形
[15:44] 因為真的開始已經有一些人是
[15:46] 表示說買不到這個料件
[15:47] 甚至有一些业界的朋友就想说
[15:49] 这些东西买不到料的话
[15:51] 要买哪一档
[15:51] 大家都开始去做这个研究
[15:53] 我觉得这时候在产业的朋友
[15:55] 他们就有些优势
[15:56] 因为他们就知道说
[15:57] 是哪几家公司他有缺料
[15:59] 如果你不是产业的朋友的话
[16:01] 可能就会要花比较长的一段时间
[16:04] 才会明白到底法案什么事情
[16:05] 甚至等到一些涨价性
[16:07] 开始对外连发的时候
[16:08] 才会注意到
[16:08] 但因为我们这节目
[16:10] 会持续跟大家covers
[16:11] 目前在产业上的一些情形
[16:12] 所以就是有注意到说
[16:14] 公立元件真的开始有
[16:15] 出大事的情形
[16:17] 他们可能也会在后面
[16:18] 出现不亚于被动元件的一些情形
[16:20] 只是当然我们不知道说
[16:21] 在股价的表现上
[16:22] 是不是也会非常的恐怖
[16:24] 因为被动元件是涨数倍
[16:26] 然后这些东西都涨数倍
[16:27] 那功率的话我们不太确定
[16:29] 可是目前纯用产业的角度来看的话
[16:32] 这个缺欧状况也是蛮严重的
[16:35] 所以就会回归到
[16:36] 我们可能在好几集前
[16:37] 就有跟大家聊到说
[16:38] 这些功率元件
[16:39] 他们的构造是这样子
[16:41] 绝大多数其实都是
[16:42] 以IDM的一个状态呈现
[16:44] 就是说他们是一条龙全包
[16:46] 从设计到制造
[16:48] 后端的封装测试
[16:49] 然后到出货
[16:50] 这个可能就是在
[16:52] 接下来的缺货的情形之中
[16:54] 他们会是属于比较优势的
[16:56] 自己是有办法去掌握产能的
[16:58] 当然有些他
[17:00] 虽然自己是没有产能
[17:01] 在台湾的一些公立原件厂
[17:02] 他是fabulous的一个情景
[17:04] 这也不代表说他不行
[17:05] 因为他只要有办法去
[17:07] secure到他的产能
[17:08] 不管是透过母公司
[17:10] 然后再来就是
[17:11] 可能是透过集团的一些资源
[17:13] 所以这时候你去掌握集团
[17:14] 就很重要
[17:15] 就是你要知道在同个集团之下
[17:18] 你可以去看一下他大股东是谁
[17:19] 那他们可能是有办法去share一些资源的
[17:22] 他在后段的封装是有办法有人帮他做
[17:25] 那或者说他们可能在过去的数年
[17:28] 有去找一些
[17:29] 不管是海内外的计划厂
[17:31] 有去签约
[17:31] 有去确保说他可以拿到他要的产能的话
[17:33] 那这些其实也都没有什么太大的问题
[17:35] 就他们都可以是受惠的
[17:37] 那但如果说你今天手上是没有产能的话
[17:40] 就会比较尴尬一点
[17:41] 那但这个也很难讲
[17:42] 像那时候在记忆体的一个分析上面
[17:45] 我自己也是抱持这样子一个想法
[17:47] 只是没有想到说
[17:48] 你看到一些模组厂
[17:49] 他们真的是赚到烂掉
[17:51] 为什么
[17:51] 他虽然自己是没有产能
[17:52] 理论上就把库存卖光
[17:54] 就差不多就没了
[17:55] 可是他们也够敢赌
[17:56] 就是他们去赌
[17:57] 说这次跟以前可能是不太一样
[17:59] 他是一个比较大的cycle
[18:01] 所以即便那时候
[18:02] 已经开始出现一些涨价
[18:04] 他一样是抱着重金
[18:05] 甚至去跟股东募资
[18:07] 都是要去抢这些料
[18:09] 后面如果被他赌对
[18:10] 就真的有继续涨价的话
[18:11] 而且他们可能还是会赚赢那些厂商
[18:14] 所以我觉得产业东西有时候很难讲
[18:16] 就是原因在此
[18:18] 因为是在人为
[18:19] 还是要看大家怎么样去搞
[18:21] 理论上你有办法去掌握产能的
[18:23] 你是赢家
[18:24] 但是有些可能够大胆的
[18:27] 又给他赌对的话
[18:28] 那他可能也可以赚到蛮多钱
[18:29] 那除了在公立援建这边
[18:31] 我们有注意到说
[18:32] 真的是有蛮多颗料开始出事情
[18:34] 从其实大概快一个月前
[18:36] 跟大家分享到现在
[18:37] 它是持续的在恶化之中
[18:39] 那同时呢
[18:40] 我们有在发现一些不一样的东西
[18:42] 其实我是先在整个台股的族群
[18:44] 没有注意到说
[18:45] 风策特别强势
[18:46] 那当然风策
[18:48] 它其实是蛮广的一个故事
[18:50] 比较老的像日月光
[18:51] 或者说静远店
[18:52] 大家都熟悉
[18:53] 有KYEC
[18:53] 那他本身帮NVIDIA做的
[18:56] 所以他其实已经算是那种household name
[18:58] 就是大家都知道的
[18:59] 那在过去一阵子
[19:00] 我们就有注意到说
[19:01] 其实整体的族群是长得还蛮好看的
[19:03] 那也有听说在一些IC design house
[19:06] 那当然这可能就不方便去点名
[19:08] 是哪几家公司
[19:09] 但是在业界的朋友
[19:10] 应该是新有77N
[19:12] 然后因为在封装这边
[19:13] 是被涨很多
[19:14] 那就我理解
[19:15] 其实在肺炎期间
[19:16] 当时被涨的一个价额
[19:18] 大概是落在10到20%之间
[19:21] 但这波我们是开始
[19:22] 有去了解到一些Design House
[19:24] 它被它后段的封装厂去爆
[19:26] 它下一个Q的报价的时候
[19:27] 它是直接涨了可能30%
[19:29] 甚至高手听到40 50%
[19:31] 就不知道到底发生什么事情
[19:32] 所以我个人认为说
[19:34] 这也是一种排挤效应的呈现
[19:36] 因为AI的需求过于的强大
[19:38] 那这些封装厂
[19:40] 他们其实现在可以去挑客人
[19:41] 所以他就会告诉你说
[19:42] 多少钱我才要做
[19:44] 如果你没有办法
[19:45] 给我这个钱的话
[19:45] 那我不做
[19:46] 因为反正我后面
[19:46] 还有很多的选项
[19:47] 我们也注意到说
[19:48] 在一些公立的封装厂
[19:50] 有类似的情形
[19:51] 正在准备发生中
[19:53] 就是说封装可能是后面
[19:55] 市场有机会会想要去关注的
[19:57] 一个题材跟故事
[19:59] 它过去其实
[19:59] 它一直都不是一个
[20:00] 很香的故事
[20:01] 可是自从AI的诞生之后
