[00:00] 歡迎收聽谷外,我是星風公,本期節目由Sally贊助
[07:15] 然後你又不代表說
[07:16] 你每個暑假都要去
[07:17] 而且甚至是有時候我想到說
[07:18] 如果我每個暑假都要去的話
[07:20] 那也很痛苦
[07:21] 就這個地方雖然是很chill很好
[07:22] 可是它比較偏向是說
[07:24] 退休去是很舒服
[07:25] 可是我如果還在壯年期的話
[07:26] 我也想要到處走來走去
[07:27] 為什麼我每個暑假
[07:28] 我都要來這個地方
[07:30] 就是這個地方很好
[07:31] 可是每個禮拜來
[07:31] 就像是
[07:32] 你每天吃和牛
[07:33] 你也會膩
[07:34] 所以我就心中有很多考量
[07:36] 可是我不知道
[07:37] 這就是婚姻之後的一些難關
[07:40] 就你要去解決
[07:41] 你老婆家非常明確的告訴你說
[07:44] 小朋友就是
[07:44] 不應該在這種天涯的環境長大
[07:47] 每個學校都想要填他小朋友
[07:49] 他不爽
[07:49] 他就覺得要到別的地方
[07:50] 這可能就是我要思考的
[07:53] 在西北澳這邊看房子
[07:54] 我覺得還蠻開心的
[07:55] 就是看了幾間房子
[07:57] 我覺得設計或者說
[07:59] 整個感受都很不錯
[08:00] 配色也很好
[08:01] 那他們從天上看就是很乾淨的
[08:03] 那個屋頂幾乎都是
[08:04] 就橙紅色
[08:05] 就紅紅色的一個狀態
[08:07] 那看起來是非常的有朝氣
[08:09] 那種西班牙猛牛
[08:11] 拿掉那種紅土的感覺
[08:12] 就整個都是那樣的一個味道
[08:14] 所以房子看起來是乾淨整齊
[08:16] 雖然有各式各樣的造型
[08:17] 可是都是很和諧
[08:18] 那看了一些在外面的房子
[08:21] 在城市裡面的房子
[08:22] 然後也看了一些比較特別的
[08:24] 像有一個在他們當地的一個高爾夫球村裡面
[08:27] 那我覺得這個高爾夫球村還蠻特別的
[08:29] 就是它中間是
[08:30] 我也不確定那個場地算是好還是不好
[08:33] 反正總之就是有蠻多
[08:34] 我看有錢人都會跑去那邊打高爾夫
[08:35] 然後它場地很大
[08:37] 它總共有4000多公頃
[08:38] 那除了中間是高爾夫球場之外
[08:41] 其他的地方就他們就佔地為王圈起來
[08:43] 然後one in one out
[08:44] 就是沒有說什麼其他的出入口
[08:46] 是非常嚴格管控的一個社群
[08:48] 然後它就在裡面的各個lot
[08:50] 就是各個空地
[08:51] 然後就把它蓋成是
[08:52] 有些是公寓大樓
[08:54] 只要公寓大樓不是那一種
[08:55] 就是高密度的
[08:56] 是非常chill的那種公寓apartment
[08:58] 有些可能就把它變成是透天
[09:01] 或者是說別墅
[09:02] 最貴的我看大概是400多萬歐元
[09:05] 所以換算臺幣大概1億4億1億5
[09:07] 可能裝潢要再另外加上去
[09:09] 所以看起來是非常的不錯
[09:11] 我們稍微的看了幾間
[09:12] 我都覺得超喜歡
[09:13] 有一間配色跟整體的感受真的極好
[09:16] 院子又超大
[09:17] 還有自己的游泳池
[09:18] 然後算下來只要臺幣3千萬
[09:20] 就只要3千萬
[09:21] 我覺得說
[09:21] 哇靠這真的太棒了
[09:23] 那當然我知道
[09:23] 有些人會立刻跟臺灣類比
[09:25] 這我覺得跟臺灣類比是不準的
[09:26] 因為臺灣是一個
[09:27] 地俠人籌
[09:28] 在世界前幾名的地方
[09:30] 然後外加非常有錢
[09:31] 所以呢
[09:32] 很多人因為持有成本低
[09:33] 就買一對房子
[09:34] 所以臺灣有這個供需的問題
[09:35] 導致說有些房子
[09:36] 你看起來那種破破舊舊的
[09:38] 那可是在雙北市裡面
[09:39] 那可能價格都還是非常的高
[09:41] 那如果你用臺灣的角度
[09:42] 去看世界大的房子
[09:43] 都會覺得說蠻便宜的
[09:44] 所以不能夠這樣去做類比
[09:46] 可是有時候你不免還是會想一下
[09:47] 你這個3000萬在臺灣是買這個房子
[09:50] 然後你到可能西班牙這邊
[09:51] 可以買這樣的一個房子
[09:53] 雖然可能機能差很多
[09:54] 可是機能這個東西
[09:55] 我覺得後來也是越來越見仁見智
[09:57] 有些人喜歡的機能
[09:58] 就什麼東西都有
[09:59] 可是什麼東西都有
[10:00] 代表說是會比較髒亂
[10:01] 出入會比較
[10:03] 怎麼講
[10:04] 就是不單純
[10:05] 這個可能是那種高中大學的時候
[10:07] 不會了解的事情
[10:08] 就高中大學
[10:09] 你一定都想住在這種最熱鬧的地方
[10:11] 最方便
[10:11] 可是當有小孩子的時候
[10:13] 其實想法真的會改變
[10:14] 不然說像我們會去注意一些
[10:15] 就是以前都沒有想過
[10:16] 會注意到的東西
[10:17] 什麼人行道大不大
[10:19] 然後人行道有沒有那種
[10:20] 就是我從A推到B
[10:22] 可能兩公里
[10:23] 會不會說要上上下下要板
[10:24] 會不會是很順暢
[10:25] 那所以因為這樣子
[10:26] 我們是還蠻喜歡林口的
[10:27] 然後可能也會去注意一些小細節
[10:30] 就是類似說
[10:31] 有時候你覺得那些技能好的地方
[10:33] 可是實際上代表說
[10:34] 它的出入是比較複雜一點
[10:35] 所以你寧願住在
[10:36] 稍微遠一點的地方
[10:38] 類似說你去觀察
[10:39] 很多歐美的有錢人
[10:40] 都要住在市郊
[10:41] 他不要住在市區裡面
[10:42] 因為市區裡面
[10:42] 可能是相對複雜的地方
[10:43] 那所以就是會有各種考量
[10:46] 那相較之下
[10:48] 它那個地方的機能
[10:49] 是一定有比較差一點
[10:50] 可是你開車
[10:51] 可能十分鐘內
[10:52] 你要什麼東西都找得到
[10:53] 那價格是這樣
[10:54] 所以我就覺得說
[10:55] 好像是還蠻不錯的
[10:56] 只是心中卡的點是說
[10:58] 你去做了一個這個自產之後
[11:00] 好像就變成說
[11:00] 你不能夠說不去
[11:02] 你就是時不時都要跑去
[11:03] 可是不知道
[11:04] 人生有這麼多地方想去
[11:06] 像我超級想去紐西亞
[11:07] 我都沒有機會
[11:08] 然後你現在跟我講說
[11:08] 以後明天暑假
[11:09] 我們都往西班牙跑
[11:10] 聽起來是還蠻不錯
[11:11] 可是就不想
[11:12] 就真的就不想
[11:13] 所以因為這樣子可能
[11:14] 後面就是家庭裡面
[11:15] 會有更多的討論
[11:17] 希望可以順利的去解決這個問題
[11:18] 但如果說今天
[11:20] 有一個什麼傳送門之類的
[11:21] 或者說SpaceX
[11:22] 有一天弄那種民用的火箭
[11:23] 可以在人家快速的
[11:25] 不知道就假設我飛去西班牙
[11:26] 只要兩個小時的話
[11:27] 那我一定是覺得沒有問題
[11:28] 我一定覺得沒有問題
[11:30] 所以還是希望這個人類的科技
[11:31] 可以持續的延進
[11:32] 那整體來看
[11:33] 我覺得西班牙是一個非常好的地方
[11:35] 天氣非常好
[11:36] 然後人也很有善
[11:37] 至少拿我們一樣常住的
[11:40] 義大利羅馬來比的話
[11:41] 我覺得就屌打
[11:42] 真的是屌打
[11:42] 它是一個非常適合生活的地方
[11:44] 只是有時候就還是沒有做好
[11:46] 那個心理準備
[11:46] 就你真的要搬到一個
[11:47] 那種超級清閒的地方
[11:49] 你到底要幹嘛
[11:50] 就你到底可以幹嘛
[11:51] 不知道
[11:52] 就雖然可能絕大多數生活上的東西
[11:55] 都還是有
[11:55] 可是食物的方便性
[11:57] 跟臺灣就差很多
[11:58] 然後再來就是
[11:58] 我自己很喜歡打電動
[12:00] 不管你的網速多快
[12:01] 因為那個是物理的限制
[12:03] 就距離還是遠
[12:04] 所以就會有ping
[12:04] 那個ping可能就兩三百以上
[12:06] 所以打遊戲就是註定會慢
[12:08] 所以你如果真的選擇去的話
[12:10] 我覺得就是
[12:11] 因為像說你人生就按一個new chapter
[12:13] 然後過去的那種支線任務
[12:15] 或者說一些主線任務
[12:16] 你都不能夠解
[12:16] 你就是要完全換到一個新的地方
[12:18] 這個我還是非常猶豫
[12:19] 我現在心中的想法是
[12:21] 我還是希望踩的死一點
[12:22] 就我希望可以留在臺灣
[12:23] 那只是可能就要去看
[12:25] 小朋友的教育有什麼方法
[12:27] 可以去做解決
[12:28] 或者說讓老婆稍微的放心一下
[12:30] 因為我發現很多時候這樣
[12:31] 他會對一些東西
[12:32] 就是如果他真的被戳到
[12:33] 他突然間就會超敏感
[12:35] 就會想要立刻去做改變
[12:36] 其實這跟我很像
[12:37] 就像我身體有時候有些不舒服
[12:39] 我就立刻去做部位上
[12:41] 或是一些生活上的調整
[12:42] 因為我就知道說
[12:43] 當我的直覺告訴我不對
[12:44] 這就不對
[12:45] 所以他上次超級不爽
[12:46] 就是我們那時候
[12:47] 在肺炎期限還來的時候
[12:48] 然後被關了十幾天
[12:49] 那次他超級不爽
[12:51] 然後這一次就是在教育方面
[12:52] 他發現說他小朋友
[12:53] 未來要被訓練成為
[12:54] 這個填鴨機器之後
[12:56] 然後他超級不爽
[12:57] 他就說要趕快搬走
[12:58] 所以我要再思考一下
[13:00] 跟大家分享一下
[13:01] 最近的一些
[13:02] 這也不能夠說是我的煩惱
[13:04] 反正就是要解決的問題
[13:06] 希望後面可以有一個
[13:07] 兩全其美的方案
[13:09] 希望
[13:09] 好
[13:10] 那接下來我們進入市場話題
[13:12] 那最近的盤面呢
[13:13] 我覺得要用一個字來形容的話
[13:14] 就是比較洗一點
[13:15] 它是屬於
[13:16] 開始在洗大家
[13:17] 那像這樣子的盤面出現呢
[13:19] 當然這個市場上會有各種說法
[13:21] 有些人就說
[13:21] 你應該要勇敢的抱住
[13:23] 你要忍住或什麼的
[13:23] 那只是
[13:24] 因為我們可能過去受傷被騙炮的記錄都是蠻多的所以我們大家都會知道就是我自己或是身邊同業我覺得蠻多人都是很同質的反正你只要看到突然間有這種大跌破出現無論如何你就先降槓
[13:36] 反正就是要先降槓桿就對了
[13:38] 反正只要波動放大
[13:38] 你就會把槓桿給降低
[13:40] 當然你有可能會用
[13:41] 事後論的角度講說
[13:42] 你降槓的時候
[13:43] 然後隔天就反彈
[13:44] 可是你怎麼不去舉例說
[13:45] 你降槓的時候
[13:46] 隔天繼續崩爛
[13:47] 所以我在Telegram群組
[13:49] 因為剛好有人在討論這個話題
[13:50] 我講說你知道有些人是這樣
[13:51] 上週在問說
[13:53] 馬的到底是誰叫我賣的
[13:55] 然後下一週變成說
[13:56] 在問說
[13:57] 馬的到底是誰跟我說還可以買的
[13:59] 就你會注意到
[13:59] 很多人的心情變化是很極端的
[14:01] 他完全是在看價格做事
[14:03] 但看價格做事
[14:04] 我覺得本身沒有問題
[14:05] 只是過度的依賴價格做事
[14:07] 在盤面變洗的時候
[14:09] 那就會出現一些問題
[14:10] 所以在我們的做法
[14:12] 就是當今天出現
[14:13] 比較大的波動
[14:14] 或者說突然有一個跌破產生
[14:16] 去降部位
[14:17] 這個是至少以我自己
[14:18] 或是身邊偏大資的人
[14:20] 大家都會是往這個方向去做
[14:22] 那後面要怎麼樣
[14:23] 再去把部位加回來呢
[14:24] 當然一般來講
[14:25] 你開始要去降部位的時候
[14:26] 代表說你前面也撈夠了
[14:27] 那只是說要去建新部位的話
[14:29] 可能就會挑選
[14:30] 就是下一個符合你買進條件的東西
[14:32] 然後再去做買進
[14:33] 一般也不太會去追回
[14:35] 追回可能是一些那種更進階的做法
[14:37] 那只是一般
[14:38] 你可能減碼的東西
[14:39] 你就不會再去做追回
[14:41] 所以很多時候你賣掉的東西
[14:42] 就等於是飛走了
[14:43] 那可是其實你心中會知道說
[14:45] 為什麼你當時會需要這樣子賣
[14:46] 因為可能過去有幾次你沒有賣
[14:47] 然後這邊就爆過一座山
[14:49] 所以去稍微做一些調整
[14:50] 我覺得是還OK的
[14:51] 那稍微看一下目前的盤面的狀態
[14:54] 我覺得確實是已經進入
[14:56] 需要警戒的一個時間點
[14:57] 雖然可能大家看到大反彈
[14:59] 覺得說好像要沒事了
[15:00] 可是隻要每次出現這種
[15:01] 大概可以連續出來
[15:02] 我們一定都會進入一個警戒的狀態
[15:04] 就是要去勝防
[15:05] 特別是下面打下來的這個低點
[15:07] 就像這次才要越線
[15:09] 然後開始反彈
[15:09] 如果說這個越線低點
[15:11] 後面再破的話
[15:11] 那可能就要再去做更多的減
[15:13] 那如果沒有破的話
[15:14] 那可能就可以慢慢的去
[15:16] 把部位去加到一些
[15:17] 你想要新加入的地方
[15:18] 那這個時候我蠻建議大家
[15:20] 都是用族群性的角度來看
[15:21] 以目前臺國族群來講的話
[15:23] 那我覺得帝國衛星就是
[15:24] 無庸置疑非常強勢的一個族群
[15:26] 因為在大盤在疊的時候
[15:28] 它竟然是疊的比較少
[15:29] 然後大盤在漲的時候
[15:30] 它還逆勢的漲很兇
[15:31] 所以這個某個程度上
[15:32] 已經算是被當避風港
[15:34] 只是這邊要稍微的提醒大家一下
[15:35] 就即便
[15:36] 我自己也是蠻喜歡這個族群
[15:38] 但是一般這種避風港族群
[15:40] 就是在盤不好的時候
[15:41] 大家錢塞進去的地方
[15:42] 等到盤好之後
[15:43] 有可能會變成是新一波提款的地方
[15:45] 這個是我們一般會稍微注意一下
[15:47] 那帝國衛星的一些延伸討論也開始出現了
[15:50] 因為整個市場已經慢慢的發現說
[15:52] 這邊的訂單數量是很驚人
[15:54] 所以開始去往一些更加深入的方向
[15:57] 就像之前跟大家分享說一個題材出來
[15:59] 然後大家就會去找一些什麼東西還沒漲到
[16:02] 趕快進去做拉抬
[16:03] 那當然有些可能已經前面有初步的拉抬
[16:06] 那只是可能在帝國大衛星的一個題材出來之後
[16:08] 然後再去做進一步的拉抬
[16:10] 像我看到伊布就是一個非常明顯的族群
[16:13] 那它過去其實已經有在漲
[16:15] 那漲的理由最主要就在講說
[16:17] 因為AI的server拉走了很多的Tglass跟Qboot
[16:20] 那所以導致呢
[16:21] 可能有一個這個缺貨跟
[16:24] 怎麼講就才能排擠的一個狀況產生
[16:27] 所以其實有蠻多的資金都往Eboot的方向去做堆疊
[16:30] 那我覺得這個其實用AI的論述來講是對的
[16:32] 那只是現在更進一步是怎麼樣
[16:34] 就你知道說現在去做這些稍微低階材料的玩家是越來越少
[16:39] 那可是大家發現衛星它其實是用到這些Eboot的
[16:42] 然後再來就是
[16:43] 衛星它用到的CCL
[16:46] 可能是M6的材料
[16:47] 同步它可能是用到M6的材料
[16:49] 它不一定會用到
[16:50] AI伺服器比較高階的M8或是M9
[16:53] 它不會去發生那種強料的情形
[16:55] 它用的是相對穩定
[16:56] 或者說特殊的材料
[16:57] 所以不管是同步或是同步基板
[17:00] 相對應的料號
[17:01] 就最近都有注意到
[17:02] 市場上一些非常厲害的人
[17:03] 都把它挖出來了
[17:04] 就是整套供應鏈會用到什麼材料
[17:06] 然後他們的後端
[17:07] 誰是要給華通
[17:09] 誰是要給耀華
[17:10] 誰是給新興
[17:10] 誰是給MECO
[17:11] 真的大家都已經把它抓出來
[17:13] 所以市場超級有效率
[17:14] 整個低軌衛星的族群
[17:16] 就算是正式的走起來
[17:17] 只是還是要稍微注意一下
[17:19] 我前面所提到
[17:19] 如果說盤變好
[17:20] 然後他們開始轉落的話
[17:21] 可能就出現像之前的MediaTek
[17:24] 或是在更之前的網通
[17:25] 或是可能在2022年的車用
[17:27] 就盤變好之後
[17:28] 這些過往強勢的東西
[17:30] 有機會在資金的輪動上面
[17:32] 就變成是一個
[17:33] 類似那種對沖的感覺
[17:35] 就是盤變好
[17:36] 可能錢就會從這邊出來
[17:37] 盤不好
[17:38] 大家就很習慣的把錢丟進來
[17:39] 所以還是要稍微的小心一下
[17:41] 那一樣這個
[17:42] 相關的題材
[17:43] 不管是像我們前面講的記憶體
[17:45] 講了幾個月
[17:46] 然後帝國衛星也是講了
[17:47] 可能快滿一個月
[17:48] 那他們確實是噴很多
[17:49] 所以不要說什麼
[17:50] 全部後來買在山上
[17:51] 然後後來講說我說很好
[17:52] 你要買在一個
[17:54] 註定被收割的價位
[17:56] 那是自己的選擇
[17:57] 所以很多時候我覺得
[17:58] 怎麼講
[17:58] 就這個節目還是給一些
[17:59] 有腦袋的聽
[18:00] 我知道很多沒腦袋的聽的
[18:01] 會出去大放厥詞
[18:03] 但好在現在也蠻多
[18:04] 聽眾是有腦袋的
[18:05] 他們就會幫我去笑
[18:06] 這些快樂寶貝
[18:06] 就很多人真的
[18:07] 其實老實講
[18:08] 你自己笨
[18:08] 你就是安靜就好
[18:09] 你安靜沒有人會知道你笨
[18:10] 可是你要出來講話
[18:11] 大家就知道你很笨
[18:12] 所以這個還是要稍微
[18:14] 對小心一點
[18:14] 就不要說什麼
[18:15] 那種無腦的追追追
[18:16] 然後隔天就出來問說
[18:17] 誰跟我說這東西很好
[18:18] 不知道你能不能追在山頂
[18:19] 你以為可以怎麼樣
[18:20] 那接著呢
[18:21] 我們也有注意到
[18:22] 市場有其他的強勢族群的出現
[18:24] 就除了這個一些
[18:26] 相關的材料的肋骨之外
[18:27] 那當然全面性的反彈
[18:28] 只是一般在反彈的時候
[18:30] 我們不會去抓那些
[18:31] 當然反彈東西
[18:32] 還是會稍微看一下
[18:33] 可是其實最主要是看
[18:34] 誰在創新高
[18:35] 誰在創新高
[18:36] 可能是我們會
