[00:00] 欢迎收听谷外,我是星风公,本期节目由NordVPN赞助
[02:45] 你这样是不行的
[02:46] 那最近就有一个案例
[02:47] 可以分享给大家知道
[02:48] 其实我也不怕大家会觉得说
[02:50] 你这家伙怎样
[02:50] 嘴炮善变或什么的
[02:52] 因为这就是真实的个性
[02:53] 没有办法去
[02:54] 为了要去倾诉某一种形象
[02:57] 然后在那边演戏
[02:58] 所以发生什么东西
[02:59] 就如实跟大家讲
[03:00] 像自己可能在股票市场赔钱
[03:02] 也都是如实跟大家讲
[03:03] 我觉得没有什么好丢脸的
[03:04] 就人一定是赚赚赔赔
[03:06] 其实你整天看到那一种
[03:07] 什么人设perfect
[03:09] 然后或者说什么都不会犯错的人
[03:11] 你不觉得这种人他妈真的可怕吗
[03:12] 代表他一定在卡好懒
[03:13] 反正总之就是我在上集跟大家分享完
[03:17] 关于可能戒烟
[03:18] 或者说酒喝少一点的一些对话之后
[03:21] 其实是有蛮多地方的美少女
[03:23] 就跑来私讯过来说
[03:24] 什么让他们的老公
[03:26] 还是说男朋友
[03:27] 愿意去尝试戒烟
[03:28] 他们很开心或什么的
[03:29] 然后后面还附带
[03:30] 就是让他们可能少喝一点酒的呼吁
[03:32] 或什么的
[03:33] 其实我自己真的是用一个
[03:34] 比较长期的趋势来讲
[03:36] 我那个酒是越喝越少
[03:37] 我从可能刚满18岁超嗨
[03:39] 每天跑去KTV喝酒
[03:40] 到大学到出社会
[03:42] 其实都还是喝蛮多的
[03:43] 然后后来就是那种直线的下降
[03:45] 其实后来甚至是变成是
[03:47] 就在一些特殊的场合朋友找
[03:49] 或是有人要把酒拿出来
[03:51] 才会去喝酒
[03:52] 我看到别人拿酒出来
[03:54] 我可能也会为了
[03:54] 就不要说每次都是在喝别人
[03:56] 虽然我对这个兴趣没有到很高
[03:58] 但每次喝别人也不好意思
[03:59] 所以自己就会去买一些酒
[04:01] 所以才有像上次跟大家分享的
[04:02] 就那时候为了要去了解
[04:04] 日本的清酒文化
[04:06] 看大家整天去端出各自各样的清酒
[04:08] 想说怎么可能自己都不知道
[04:10] 所以那时候就是找林口在地的店家
[04:12] 还有很多朋友的帮忙
[04:13] 真的是把反正大家想得到什么很屌的
[04:15] 或者说曾经被炒作过的
[04:17] 或者说什么只有内行才知道
[04:19] 几乎每个都喝过一轮
[04:20] 那所以就大概知道是什么之后
[04:22] 后来也有点就是说退烧了
[04:24] 其实我个性就这样
[04:24] 就一个东西玩一玩
[04:25] 我发现就是这样一回事之后
[04:27] 我就没有兴趣了
[04:28] 我就不知道为什么有些人可以
[04:29] 就好像说你开一台车
[04:30] 你可以整天跑去车区
[04:31] 你不觉得这台车开一开
[04:32] 不就是这样子
[04:32] 或者说酒喝一喝
[04:33] 不过最顶的就这样
[04:35] 我前面听大家吹说
[04:36] 什么最顶的多屌
[04:37] 什么每次喝
[04:37] 我只喝这个
[04:38] 这哪有什么
[04:39] 你喝一喝也会喝腻
[04:40] 就像每天吃和牛腻
[04:41] 也会吃腻
[04:41] 所以你就一定要换别的风味
[04:43] 所以就是每个东西
[04:44] 只要玩到某个程度之后
[04:45] 就会觉得说
[04:46] 还好
[04:46] 所以这可能是我的诅咒
[04:47] 就是我还蛮羡慕那些
[04:48] 大家可以固定在
[04:49] 同一个兴趣里面
[04:50] 然后可以疯狂的经营下去
[04:52] 因为我就觉得说
[04:52] 玩一玩
[04:53] 只要我大概知道在干嘛的时候
[04:54] 我就没有兴趣了
[04:55] 那所以呢
[04:56] 反正我那时候
[04:57] 跟大家分享的是真心的
[04:58] 就是我那酒真的是越喝越少
[04:59] 几乎已经是没有什么在碰了
[05:01] 但同时我自己还是有在去叫一些
[05:03] 那种就是还蛮酷的东西
[05:05] 自己喜欢的
[05:05] 然后会拿去分送给一些朋友
[05:07] 那可是呢
[05:08] 就是在那一次跟大家分享之后
[05:10] 就跟一些好朋友吃饭
[05:12] 那同时呢
[05:13] 在我对面的两位大哥
[05:14] 他们对红酒是非常了解的
[05:16] 那他们本来那一天也是要带红酒去
[05:18] 只是想说在吃日本料理嘛
[05:20] 那也听说有人要带一些清酒
[05:23] 那我看到大家带清酒
[05:24] 于是我也去搞了清酒带去吧
[05:25] 那大家喝一喝很高兴之后就说
[05:28] 那不然下一次呢
[05:29] 我们就去吃肉
[05:29] 那吃肉呢
[05:30] 就要配一些红酒
[05:31] 他们就开始分享
[05:32] 他们对红酒的一些认知啊
[05:34] 那我想说
[05:35] 你们讲的那些东西
[05:36] 以前我好像有喝过
[05:37] 那还有一些
[05:38] 我好像自己有叫
[05:39] 我都忘记我叫了
[05:40] 因为那时候只是听人家讲说
[05:41] 很屌
[05:42] 人家讲说你要不要一起订
[05:43] 我有时候我觉得
[05:43] 可能跟着一起订
[05:44] 然后他们听到
[05:45] 然后想说
[05:45] 你那个已经是封顶的东西
[05:47] 我想说我真的是不知道
[05:48] 那不然下次
[05:49] 带来跟大家分享
[05:50] 大家交流一下
[05:51] 那后来呢
[05:52] 我就是不知道什么
[05:53] 就是一样是那种
[05:54] 一窝蜂的心态吧
[05:55] 就想说
[05:56] 他们既然这么了解
[05:57] 那我就密他们
[05:58] 就在我们群组里面说
[05:59] 可不可以把你们的攻略
[06:01] 给我一下
[06:01] 给我一下小作文
[06:02] 就是你们觉得
[06:03] 有什么东西是比较推的
[06:04] 那种可能不知道什么
[06:06] 那叫什么
[06:07] 美国的报叫什么
[06:08] 新世界吗
[06:09] 什么旧世界
[06:10] 旧世界就是说
[06:11] 在什么法国欧陆这种
[06:12] 那新世界好像是在讲说
[06:14] 像是大洋洲
[06:15] 或是美国
[06:16] 方法还不是很熟悉
[06:17] 那他们就推了
[06:18] 洋洋洒洒一整篇给我
[06:19] 那于是呢
[06:20] 我就去找了自己认识的酒商
[06:22] 还有一些朋友
[06:23] 就是我就是把所有东西
[06:24] 都张罗起来
[06:25] 反正你们讲说
[06:26] 很厉害的东西
[06:26] 我都会查了一下
[06:27] 然后发现说
[06:28] 红酒坑又更深
[06:30] 一瓶都可以
[06:31] 可以到十二十万以上
[06:32] 还蛮屌的
[06:33] 但反正你们都说厉害
[06:34] 我就一定要知道
[06:35] 是什么东西
[06:35] 那就叫一叫
[06:36] 可是他就突然意识到说
[06:38] 奇怪
[06:38] 这个东西的价格
[06:39] 如果这么高的话
[06:40] 会不会在保存上面
[06:41] 他会比较讲究一点
[06:43] 你看电影都知道
[06:44] 说人家会放在酒窖之类
[06:45] 可是像我们自己
[06:46] 清酒知道冰冰箱
[06:47] 可是一般其他酒
[06:48] 我不知道要干嘛
[06:49] 有时候就直接放在
[06:50] 可能橱柜里面之类的
[06:51] 当然可能放橱柜
[06:52] 短期内要喝掉是OK的
[06:53] 我后来才知道这件事情
[06:54] 可是如果说
[06:55] 你要稍微放久一点的话
[06:56] 就是什么
[06:56] 红酒其实是要保存在酒柜里面
[06:59] 所以我就是
[06:59] 因为已经去下单了一堆酒
[07:02] 所以我就发现
[07:03] 不太对
[07:03] 我应该要去准备一个酒柜
[07:06] 所以我就直接
[07:06] 买了一个酒柜
[07:08] 然后我也没有跟我老婆讲
[07:09] 反正我就先买
[07:10] 然后买了之后
[07:10] 就请A君帮我处理一下
[07:12] 说看家里有哪个地方
[07:13] 可以放
[07:14] 你就把它安排下去
[07:15] 然后只是后来
[07:16] 他跑来跟我讲说
[07:17] 这个东西其实蛮大一can的
[07:18] 我想说怎么可能
[07:19] 我是已经是挑S
[07:21] 我挑最小的
[07:22] 他就直接拿皮尺量給我看
[07:23] 我說真的蠻大
[07:24] 然後我老婆知道
[07:25] 我老婆差點把我
[07:26] 墊到牆上挖不下來
[07:28] 她就想說
[07:28] 你為什麼要買一個
[07:29] 這麼大的東西回來
[07:30] 如果你真的想要買
[07:31] 一個東西的話
[07:31] 你就是放在你自己的房間
[07:33] 不然你就給我再去買一間
[07:34] 比較大的房子
[07:35] 你就不要讓我們家裡
[07:37] 要堆一堆東西
[07:38] 我說這個是我們品味
[07:39] 提升的一個過程
[07:40] 這個是必要之二
[07:41] 反正他聽不下去
[07:42] 他就把我臭掉一頓
[07:43] 我當下也在思考說
[07:44] 有沒有辦法去
[07:45] 讓酒櫃再更小一點
[07:47] 可是我稍微再查了一下
[07:48] 反正現在可能看起來
[07:49] 最好的酒柜
[07:50] 就我一个外行的研究
[07:52] 是法国的一个品牌
[07:53] 那我就不想要去买
[07:55] 什么次等的东西
[07:56] 想说来都来就要直上
[07:57] 而且其实那个酒柜
[07:59] 严格上来说
[07:59] 它比一瓶酒还便宜
[08:00] 所以为什么不会去买
[08:02] 那个酒柜呢
[08:03] 所以我后来想一想
[08:03] 我还是觉得说
[08:04] 就是这个尺寸
[08:05] 如果说可能空间太小的话
[08:07] 那是我们自己的问题
[08:08] 那是自己预算
[08:09] 自己心态比不够的问题
[08:11] 那不是酒柜问题
[08:12] 是酒柜一定要进来
[08:13] 那最后面就跟老板讲说
[08:14] 不用改
[08:15] 所以就还是维持一样的东西
[08:16] 那于是可能在
[08:17] 接下来几天就有酒柜
[08:19] 然后我家几支瓶的酒
[08:20] 就会直接送到我家
[08:21] 我也不知道为什么会这样
[08:22] 我也不知道为什么会从上一集
[08:24] 就是我是真的很认真
[08:25] 跟大家分享说
[08:25] 最近这样酒喝少一点或什么的
[08:27] 然后发现自己新一代的朋友
[08:28] 其实蛮多不喝酒
[08:29] 大家都还是可以好好的对话
[08:31] 还是蛮有趣的
[08:31] 可是就是你看到那一些
[08:33] 我怎么讲
[08:34] 就是说风韵犹存的男人
[08:35] 这些人
[08:36] 他们在跟大家分享
[08:38] 可能关于这个
[08:39] 对于酒的一些认识
[08:40] 其实今天有一次
[08:41] 我就跟大家分享过
[08:42] 有一个产业大哥几屌
[08:44] 反正就是某外商的经理
[08:46] 这个人超厉害的
[08:48] 我第一次看到有人
[08:50] 以前你看电视上
[08:51] 都以为说我们在喀侯兰
[08:52] 就是一个酒喝下去
[08:54] 他知道是哪一个年份
[08:55] 他知道是哪一个地区
[08:56] 为什么他才知道
[08:57] 因为这个喝起来的味道
[08:58] 像是什么
[08:59] 可能雨量比较丰沛
[09:00] 所以他大概知道
[09:01] 是哪一个年份
[09:02] 味道是怎么样
[09:03] 所以他大概知道
[09:03] 是哪个地区
[09:04] 然后真的都给他猜中
[09:06] 跟鬼一样
[09:06] 所以我以前都以为说
[09:08] 这个有点泥梅味
[09:09] 这个有点什么
[09:10] 红色浆果的味道
[09:12] 我都以为说
[09:12] 这些人在唬乱
[09:13] 然后后来才知道说
[09:14] 真的有一些超屌的人
[09:15] 他们是分得出来
[09:16] 什么是什么的
[09:17] 然后不然说像
[09:18] 那一天吃饭的那两位
[09:19] 他们也是知道
[09:20] 什么是什么的这种
[09:21] 所以我就觉得说
[09:22] 你们怎么可以知道
[09:23] 我怎么可以不知道
[09:24] 所以我也要知道
[09:24] 就是这样的一个心态
[09:26] 然后于是就
[09:26] 反正就直上宫顶
[09:28] 看看可以去玩出
[09:29] 什么样的花样
[09:30] 但其实最后面走一招
[09:31] 也不一定会真的
[09:32] 有什么东西
[09:33] 就像说
[09:33] 像把那个清酒
[09:35] 全部走完一轮之后
[09:36] 就大家讲的各种
[09:37] 从梦幻异品
[09:38] 你全部都尝试过之后
[09:39] 就对
[09:40] 你喝得出来之后
[09:41] 你知道厉害的东西
[09:42] 其实那个市场的价格
[09:43] 是蛮公道的
[09:44] 虽然都会讲说炒作什么
[09:45] 可是炒作它无法维持一世
[09:46] 当然一个东西可以
[09:47] 一直维持在某个价格
[09:49] 你不要当市场上的参与者
[09:50] 都是他妈白痴
[09:51] 他们就是某个程度上
[09:53] 已经用自己的新台币去投票
[09:55] 决定说谁位阶
[09:56] 可能是比较高什么的
[09:58] 当然如果你今天用CP值的角度去看的话
[10:00] 你都会发现说
[10:00] 最好的东西绝对不是最贵的那些
[10:02] 就是CP值的话
[10:03] 一定是可能是落在
[10:04] 可能以清酒来讲的话
[10:06] 是两三千块的东西
[10:08] 是CP值最高的
[10:09] 如果以红酒的话
[10:10] 听朋友跟我讲说
[10:11] 大概可能七八千块
[10:12] 一直落在CP值最高的
[10:14] 你在网上的话
[10:14] 其实对很多人来讲
[10:15] 那个边际效益是快速的递减
[10:17] 你根本也喝不出来差别之类的
[10:19] 但当然有一些非常讲究的人
[10:20] 可能喝得出来
[10:20] 那对我来说就是一个
[10:22] 尝试的感觉
[10:23] 希望可以后面不知道
[10:24] 就是去了解一下
[10:25] 大家的世界到底在干嘛
[10:27] 那可能一年之后回头看
[10:28] 那个东西就会清仓
[10:29] 就是送人或什么的
[10:31] 然后可能酒柜就会不知道
[10:32] 还冰自己的豆浆之类的
[10:33] 但反正就是很好奇
[10:35] 就是这个世界上的一切
[10:36] 到底是怎么样运作
[10:38] 但也可以从这个案例
[10:39] 就让大家明白到
[10:41] 其实世界上真的
[10:41] 我发现说其他其实有蛮多的小朋友
[10:43] 都有像我这样类似的一些状态
[10:46] 就是说可能比较不容易专心
[10:48] 然后可能对东西都非常有好奇心
[10:50] 想法会跳来跳去
[10:51] 那可能会有一些爆冲的行为出现
[10:54] 三分钟热度
[10:56] 一头脑的装进去某一个新的食物
[10:59] 然后后来发现玩腻又出来
[11:00] 那以前我都觉得说
[11:01] 这是一个超级不好的事情
[11:02] 可是到现在我就觉得说
[11:03] 这其实是一个蛮好的事情
[11:04] 就要让我可以去尝试世间的一切
[11:06] 有趣跟好玩的东西
[11:08] 那当你可能已经去了解到这些东西
[11:11] 大概是怎么样
[11:12] 虽然你不一定是摸到全貌
[11:13] 就是说如果真的要玩到很深入的话
[11:15] 一定会变成是像
[11:16] 直人达人那样的一个等级
[11:17] 但刚刚比是差非常多
[11:18] 可是你其实大概已经知道
[11:19] 大家在干什么
[11:20] 那你又不会留恋
[11:21] 你又不会因为说
[11:22] 入了这个坑之后
[11:24] 然后你就会无止境的
[11:25] 会想要去做投入
[11:26] 不会你就换去下一个地方
[11:27] 那当然不是说什么
[11:28] 这个资源就用的比较少
[11:29] 因为你在换去下一个地方
[11:30] 搞不好也是要花很多
[11:31] 新的资源去投入新的东西
[11:33] 但就是一种探险的感受
[11:35] 其实是还蛮好的
[11:36] 那大概跟大家分享一下
[11:37] 最近的一个善变的小故事
[11:39] 那接下来我们就来进入上场话题
[11:41] 那最近市场的走势就是极好
[11:43] 我觉得是好到
[11:45] 甚至会开始有点怀疑人生
[11:47] 就怎么前面会
[11:48] 以美股来讲还蛮不舒服的
[11:50] 那美股在近期就已经算是大复活了
[11:53] 然后在台股方面的话
[11:54] 就是持续各路的标股
[11:55] 都在持续的向前冲
[11:57] 所以我觉得就好好把握多多行情
[11:59] 当这个行情来的时候
[12:00] 就是要好好的抓好
[12:01] 该咬的都要咬到
[12:02] 那不会该上的就是要上好上满
[12:04] 那如果说今天
[12:06] 开始有一些脱货瓶出现的话
[12:07] 因为我们自己来讲
[12:08] 像我最近就是有去调调一些东西
[12:10] 那其实被调调的东西
[12:11] 不一定是说它在跌
[12:13] 或是它的形态不好之类的
[12:14] 那单纯是它涨太慢
[12:16] 所以这个听起来可能有点奢侈
[12:17] 但其实我们自己身边蛮多朋友
[12:18] 现在都有类似的feedback
[12:20] 就是说手上能够用的钱太少
[12:22] 那你想要买的东西太多
[12:23] 就是目前是一个抢钱的行情那大概来跟大家聊一下市场上一些事件那首先我们先来看一下这个指数的位置然后去大概看一下就如果说要再继续往上的话它的空间还有多少其实我们如果用台股来看
[12:36] 的话会比较明朗
[12:36] 为什么
[12:37] 因为台股的这个指数
[12:38] 几乎就是台积电的一个形状
[12:40] 那台积电现在是交易在
[12:41] 今天的成交价值2080元
[12:43] 那2080元可能对很多人来讲说
[12:45] 是一个很恐怖的数字
[12:46] 但是有跟大家分享过
[12:47] 像我们自己在业内去做
[12:49] 股票投资或是交易的
[12:50] 其实我们不太怕高
[12:51] 我们只在意说
[12:52] 你的上档还有多少
[12:53] 那以目前你去看一些分析师的consensus的话
[12:57] 大概在今年的话
[12:58] 预计是会给到差不多90几块的一个EPS
[13:01] 那可是呢
[13:02] 因为今年已经算是某个程度上的过去式
[13:05] 大家都已经在看明年或是后年
[13:06] 那明年的话
[13:07] 目前市场是已经有给到大概130
[13:09] 甚至有些人是给到140块左右的一个EPS
[13:12] 那不多就给他20倍的一个乘数就好
[13:15] 所以你看到2800应该都不是一个太夸张的数字
[13:18] 2800甚至你放在AI的peer里面来说
[13:21] 都还不是一个很贵的数字
[13:23] 所以严格上来说
[13:23] 就是你说台子上去的肉多不多
[13:26] 我觉得都还是蛮有机会的
[13:27] 那当然我们不是讲说
[13:28] 这个上去就会直接一直线的碰上去
[13:30] 有可能在过程之中
[13:31] 又遇到像前阵子的美伊战争之类的
[13:34] 那都是有各种机会把它打下来
[13:35] 但总之就心中要有一把尺
[13:37] 大概知道说可能上面的肉还要多少
[13:39] 那如果我们去看其他的全职股的话
[13:41] 其实我觉得也是还蛮有机会的
[13:42] 另外一个可能在过去
[13:44] 比较没有表现的联发科
[13:45] 当然我觉得可能是市场非常担心
[13:47] 在手机方面
[13:48] 因为大家都已经知道
[13:49] 这个手机的数字会不太好
[13:51] 那只是可能在我们前几集
[13:53] 有在额外跟大家分享说
[13:54] 其实我们已经有注意到一些中细手机
[13:55] 他们下销的数字是非常恐怖的
[13:57] 那所以呢可能在前阵子
[13:59] 我觉得一些卖压是来自于说
[14:01] 去买手机的这些资金想要退出来
[14:03] 那可是后来就注意到说
[14:04] 像发哥他在往下破之后呢
[14:06] 就立刻有资金在加入
[14:08] 然后把他往上拉
[14:09] 那进来的资金呢
[14:10] 我觉得他们就不是在买手机相关的股市
[14:12] 他们在买的东西呢
[14:13] 都是跟发哥在AI里面的投入
[14:15] 是有很大的一个关联性
[14:16] 那发哥目前跟G社的合作呢
[14:18] 我们看得到就是有两颗啦
[14:19] 那一颗就是V8
[14:20] 一颗就是V9
[14:21] 那后面的后缀词
[14:22] 我们就不去提它
[14:23] 那我们用代号来讲
[14:25] 可能以业内的人士来讲
[14:26] 是比较好沟通
[14:27] 一个是Zebrafish
[14:28] 然后另外一个是Humufish
[14:29] 那或者是
[14:30] 我现在把它称为是5921跟5922
[14:32] 就是一个是在代工厂的代号
[14:33] 那另外一个是
[14:34] 可能在Google里面
[14:35] 对它的一个代号
[14:36] 那对外的话
[14:37] 就是叫做V8跟V9
[14:38] 类似这样
[14:39] 那总之呢
[14:40] 这两颗我们目前看到的
[14:42] 它潜在的一个预期的
[14:44] 投片量数字
[14:45] 应该都是还蛮高的
[14:46] 然后外加可能
[14:47] 有去注意到
[14:47] 发哥在代工厂里面
[14:49] secure到的一些
[14:50] COWAS片数的话
[14:51] 其实是可以期待
[14:52] 这两颗会带来
[14:53] 蛮不错的一个量
[14:55] 反正就是
[14:55] 但详细数字
[14:57] 我们就不去跟大家提
[14:58] 简单讲就是百万颗以上
[15:00] 数百万颗以上
[15:01] 甚至高的有些人看到
[15:02] 在下一代有机会
[15:04] 会摸到五六百万颗以上
[15:05] 所以这个其实可以带来一个
[15:07] 还蛮显著的贡献
[15:09] 就是有望在后面
[15:11] 甚至会有机会
[15:12] 在三年到四年内
[15:14] 是贡献超过发哥
[15:15] 一半以上的EPS
[15:16] 都会是来自于AI
[15:17] 所以这个其实蛮屌的
[15:18] 因为如果你今天去
[15:20] 拿发哥的长期对手高通
[15:22] 来做对比的话
[15:23] 那发哥的纯度
[15:24] 就是比高通还要来的高很多
[15:26] 甚至今天有朋友
[15:27] 我们在聊这件事情的时候
[15:28] 他讲说如果他今天是
[15:28] Hedge Fund Manager的话
[15:29] 他会考虑去多发哥跟空高通
[15:31] 那当然我们对高通的朋友
[15:32] 没有任何的恶意
[15:33] 我们的听众就是
[15:33] 各方科技业的人士都有
[15:35] 我们只是分享说
[15:35] 这个市场上观察到的一些东西
[15:37] 不是说高通在AI
[15:38] 没有去做投入
[15:39] 只是发哥可能意外的去
[15:40] 打下了一块
[15:42] 然后这个市场有趣的地方在于说
[15:44] 我们知道说目前可能在
[15:45] 在晶片的代課設計裡面
[15:47] 很猛的一方玩家是博通
[15:49] 只是說在博通這邊
[15:50] 像之前有跟大家聊過說
[15:51] TPU是怎麼樣運作
[15:52] 博通這邊就是
[15:53] 我直接去幫你設計整個晶片
[15:55] 然後幫你去採購你的HBM
[15:56] 可是跟發哥的合作是
[15:58] 這個Mandai是由Google自己去做
[16:00] 發哥就做IO
[16:01] 然後到下一代會再做一個Memory Buffer
[16:03] 所以他就是幫他做除了主晶片以外的東西
[16:06] 然後在外加幫他去做頭片
[16:08] 所以簡單來講就是
[16:09] 某個程度上的晶片設計的代工
[16:11] 他不是只是晶圓製造是代工
[16:13] 連晶片設計也是藉由發哥的Surgis的IP
[16:16] 然後去完成可能Google需要他缺乏的那一塊的代工
[16:20] 當然他算起來他的ASP一定就沒有像博通這麼漂亮
[16:23] 因為他本身還要去幫他做可能在HBN這邊的採購
[16:28] 當然這邊也有可能在博通這裡可以額外再多賺一手
[16:31] 所以發哥的利潤可能就會被抓得比較緊一點
[16:34] 但如果可以想通一件事情的話就會明白
[16:36] 如果你站在Google的角度
[16:38] 你一个是把晶片的设计
[16:41] 跟一些采购的权利
[16:42] 都放在另外一个厂商上面
[16:44] 然后他可能去赚取
[16:45] 蛮丰硕的一个利润
[16:47] 那另外一个呢
[16:48] 是我把一些蛮主要的know how
[16:50] 是控在我自己的手里面
[16:51] 那我把一些可能相对
[16:53] 简易一点的东西
[16:54] 去丢给别人做
[16:56] 去分工啊
[16:56] 专业分工
[16:57] 同时呢
[16:58] 可能在一些原物料采购上面
[16:59] 我握有自己的一个溢价的权利
[17:02] 而且他可能一次可以买
[17:03] 蛮大的一个量
[17:04] 也可以获取
[17:05] 可以拿到蛮不错的价格
[17:06] 所以他是很有动机去推进这一条线
[17:09] 除非什么
[17:09] 除非就是说可能在MTK这边
[17:12] 做出来的晶片的表现是不合预期
[17:14] 那就有可能会在加速的去往博通给收敛
[17:18] 但如果说今天是做出来的表现很好的话
[17:20] 那其实可以蛮期待在下一代的Humufish
[17:23] 应该就会放到更大的一个量
[17:25] 所以简单来说
[17:26] 就是如果你可以在ZBRFISH这边
[17:27] 看到一个很好的表现
[17:28] 那就可以去算是有七八成的把握
[17:31] 那Humufish就会表现得非常好
[17:33] 那之前在节目上有跟大家聊到说
[17:35] 我们有注意到
[17:36] 在Humufuge旁边
[17:37] 本来有另外一颗的
[17:39] 这个TPU
[17:40] 那之后还
[17:41] 好像这一颗不见了
[17:42] 然后我们看到一个代号
[17:43] 叫做Merope
[17:43] 那后来是有朋友跟他讲说
[17:44] 那个叫做Merope
[17:45] 反正就是我们都有一些
[17:46] 业界的朋友
[17:47] 当他们发现说
[17:48] 我讲的东西
[17:49] 有些需要补上的时候
[17:50] 都会非常热情的
[17:51] 来帮我补上
[17:51] 我失去的拼图
[17:53] 那其实你听我们
[17:54] 常年节目就知道
[17:55] 我们不会出卖任何人
[17:56] 所以这是一个良性的互动
[17:58] 就是我会
[17:58] 把一些东西
[18:00] 当今天可以是
[18:01] 对外分享的时候
[18:02] 那我们就可以
[18:02] 把它聊出来
[18:03] 在绝大多数时间我们是一个
[18:04] 这个对我来讲也是一个我工作的延伸
[18:07] 所以我如果讲的东西对大家有些帮助
[18:09] 那大家回来帮我一些东西
[18:10] 我以为我在东西可以私下pass给大家
[18:12] 所以其实某个程度上
[18:13] 我们变成一种那种情报中心的感觉
[18:16] 那一个MirrorPay
[18:17] 我们还没有掌握到它到底是什么东西
[18:19] 但目前可以期待是说
[18:20] Humufish至少还挂在上面
[18:22] 可是我们没有看到普通对应的东西
[18:23] 所以说不定发哥在下一代
[18:25] 就真的可以再放到更大的量
[18:26] 只要这一代没有去出任何包的话
[18:29] 那所以算起来就会知道说
[18:31] 那发哥在后面
[18:31] 它可能在AI的一个exposure就会非常高
[18:34] 所以如果说Google的资本支出都没有改变
[18:37] 如果说AI的泡泡没有爆开的话
[18:39] 那可以期待这家公司在后面
[18:41] 有很高程度的这个营收获利占比
[18:43] 会是来自于AI
[18:44] 所以或许会触动新一发的这个Rerate的行情
[18:49] 所以发哥我觉得也是在接下来
