[00:00] 歡迎收聽股癌,我是謝孟恭,本集節目由菲利普電壺刀贊助。
[07:24] 那也非常希望遇到河童啦,因為在電三星那邊後來才知道他們當地的特產,就是說當地的都市傳說就是曾經有一個河童淵的地方還是怎麼樣,反正就是有河童會把人家抓下去。
[07:37] 有些是把它寫成是鬼故事,然後有些寫成是一種佳話之類的
[07:41] 蠻希望遇到合同,可是沒有遇到
[07:43] 就像我之前也很希望可以遇到雪女
[07:45] 然後想說,啊,這終於到比較冷的地方,有沒有機會可以遇到雪女
[07:48] 後來一查一照,原來雪女好像不是在北海道這邊
[07:52] 好像是在那個什麼,新系,就是有重迷那個地方
[07:55] 不是在這裡,比較可惜
[07:57] 但每次看到這種日本的一些,偏向他們傳說類型的東西
[08:02] 都很身歷其境,就是很希望真的可以遇到她
[08:05] 那也可能是因為日本的一些動漫或者黃油把這個畫面做得太美好之類的
[08:09] 所以遇到它會有些好事
[08:11] 可是同時你當然知道說這一定是非常恐怖的
[08:13] 如果真的遇到應該會嚇死
[08:14] 而且應該蠻高機率是遇到熊而不是遇到這些有的沒有的東西
[08:17] 總之整個行程是絕對還蠻不錯
[08:20] 多虧A軍的安排
[08:22] 我們實在是走到爆炸了
[08:24] 包含說可能去看了一些什麼巧克力工廠
[08:26] 然後在小尊的街道上面幾乎每個店都進去走了
[08:31] 也去排了一下人家那種排隊名店
[08:34] 並且提醒大家不要再過往自我欺騙、罵人家的生活。
[09:04] 在這邊吃到的東西也都非常的好吃,就套一句我們的師傅,就是在中國這邊他們的司機是把他稱為師傅,因為是中國籍的,他移民到,你不能說移民,就目前是定居在北海道這邊,之前在SARS的時候就全家就搬過來這裡,他就提到說日本人他們有一個非常好的特點,就是他們絕對是不騙人的,所以在日本吃東西要踩到雷的機率是很低,當然講絕對不騙人一定是沒有到很準確,絕大多數是不會騙人,這個我自己也非常喜歡,
[09:34] 在日本你可以隨便進一家店,被雷的機率都是很低的,該有的樣子怎麼樣就是這樣,不會黑你、不會噱你之類的。
[09:41] 雖然其他幫我安排一些餐廳都會請他去找一些那種,可能像是有包廂,這樣不會影響到別人。
[09:49] 有一餐他就帶我們去吃一個在小村那邊的海鮮餐廳,我想說我們進去就只有我們,然後他的水缸裡面就只有一隻帝王蟹,就感覺全部都在等我們,想說會不會被人家宰了之類的。
[10:00] 都沒有都是非常好
[10:02] 然後實物的品質也很高
[10:04] 所以算是過得還蠻開心的
[10:06] 也希望在台灣目前正在遭遇這些風災雨災的朋友
[10:11] 可以順利度過這次的難關
[10:13] 我是希望說我回家的時候
[10:14] 希望林口這邊不要被炊藥爆掉
[10:16] 因為看有一個颱風會直接撞頭
[10:18] 會直接撞到北部
[10:19] 希望我們北部也不要爆炸
[10:21] 希望大家可以
[10:23] 因為南部這邊看起來是下雨下的蠻大的
[10:26] 希望大家的生命和財產都可以非常妥善的保存好,希望大家可以順利度過這次的挑戰。
[10:33] 總之在這次的旅行之後就會回到台灣,準備開始孩子的大班。
[10:39] 其實心中想起來是還蠻感傷的,所以這一次像過往覺得說是有這種蠻多外援在現場,我就自會躲到後面去。
[10:47] 就是在這個車子我一定是躲到最後面去,然後去看我的股票之類的。
[10:51] 這是因為知道孩子很快就要大班,你已經沒有在有幾個暑假可以陪他,後面他可能就要跟他朋友玩之類的,所以我都盡可能跟我大兒子坐在一起,然後差不多就是到今天是第四天吧,我已經瀕臨崩潰,瀕臨崩潰,雖然前面就有情懷啦,覺得說要多花時間陪孩子,明天開始我還是沒有辦法,我應該會往後面坐,但總之呢,我在這邊也再次的提醒自己,因為孩子的成長只有一次啦,所以雖然問題很多,雖然很多有的沒有的事情,盡可能陪他聊天,希望自己可以做得更好,大概這樣。
[11:20] 好那接下來跟大家聊一下在過去一陣子AI是怎麼樣的去影響自己的生活跟工作
[11:26] 然後特別是以工作這一塊來跟大家聊一下
[11:28] 因為在過去的好幾集的Q&A你都會看到有些聽眾會問說
[11:33] 你平常是怎麼樣去準備一些資料啊
[11:35] 你是怎麼樣研究標的
[11:36] 怎麼樣估值
[11:37] 怎麼樣去做每天的閱讀或什麼的
[11:40] 其實這些東西下下都跟AI有蠻大的一個關聯性
[11:43] 那所以在這邊就稍微的跟大家講一下自己的看法
[11:47] 同時我覺得也是AI出來了差不多兩三年左右的一個間段的回顧吧。
[11:52] 因為有蠻多東西確實是跟自己想像的不太一樣。
[11:55] 像以前回去很期待說一些自動化產生,但最終發現自動化是沒有辦法產生的,因為自己的判斷還是很有價值的。
[12:04] 雖然講這個可能某個程度上是往自己的臉上貼金,但是我相信任何在前緣打拼的人,
[12:08] 所以前緣打拼就是你的工作直接影響到你的收益的多根寡的人,應該都可以非常明確的感受到這件事情。
[12:16] 一開始你可能會想像說自己會被AI取代,但最後發現說其實自己是不太會被AI取代。
[12:21] 然後再來就是也會想像說如果自己可以把AI用到很好的話,是不是可以把你的競爭對手全部都幹掉?但發現說大家都會用AI,可能少部分不會用的,它本來就會是時代的眼淚。
[12:33] 現在還會多一些新的競爭者,他本來不是這個領域的,大家可以撈過界用AI來跟你競爭。
[12:39] 所以辦案說像一些有在做量化交易的朋友應該感覺非常的明顯吧,就是本來想像說AI可以快速的幫你去做大量的回測跟找資料跟對答案之類的,所以理論上你應該會打出比較好的績效。
[12:53] 世界是建立在今天就是Amodi Dario他自己有一個非常強大的AI模型
[13:00] 然後這個傢伙他把這個AI模型用在他的工作上面
[13:04] 然後把他虐到爆掉
[13:06] 那就有可能會發生可能在市場上的一個獲利
[13:09] 大量的往他傾斜的一個狀況
[13:11] 可是問題就是大家都有這一份工具的一個前提之下
[13:15] 在搭配說像我們自己的工作來講
[13:17] 他不完全是在處理一些分析
[13:21] 他還有一些信息差的問題
[13:23] 誰獲得資訊早跟慢?
[13:53] 這幾個問題是我們可能會讓資源的分配產生一些傾斜,但問題是世界是非常動態的,所以只能夠說我們可能獲得了一種莫名的滿足感。
[14:03] 你覺得說你過去需要花兩個小時做的事情,你現在花幾分鐘就可以做完,你覺得你省下很多的時間,但每個人都摸著自己左邊的軟蛋去思考一下,你真的有省下比較多的時間嗎?
[14:14] 確實是在某些議題上你省下了時間,但其實你在工作上面,我相信絕大多數有在用AI的人,你發現你的工時實際上是變長的,你並沒有因為說有了AI之後你發現說哇我現在打高爾夫球的時間變長了,沒有。
[14:27] 反而是一些受聘於人的有可能,就像說你本來是要去處理報表的人,那你發現有AI之後呢,你現在就可以跟老闆水時間嘛,你本來需要花兩個小時的東西,現在你可能只要花五分鐘,那剩下的一個小時又有55分鐘,你就可以跑去幹嘛。
[14:43] 可是老闆也不是白痴,老闆也知道說這東西深層報表或是一些總結非常簡單。
[14:48] 所以第一個被開掉的人可能就是這些人,或是老闆第一個就跑來review你之類的。
[14:53] 所以以一個自顧者的角度來講,或是以一個公司經營者的角度來講,我相信大家都有一樣的感受。
[15:01] 就是AI可能幫你在某些的事項上省下了時間,但整體在工作你花的時間是變多的。
[15:08] 甚至有蠻多的時間是要拿來了解最新的AI工具是怎麼樣。
[15:12] 但好在現在AI工具它算是越來越自動化,所以你可以直接請AI工具介紹說它可以做什麼事情,它幫你省下了蠻多時間。
[15:21] 但整體來說,就是在你工作的頭上,我相信每個人是花了更多的時間,你可以去狩獵更多的東西,你可以去了解更多的事情,你可以去發掘更多世界的真相。
[15:32] 但是有沒有辦法產出一個對應的報酬這件事情上呢?
[15:36] 其實它會是打一個蠻大的問號,就像是可能在初期就是AI的前一年多,那時候非常流行Vibe Coding,當然現在還是很多人在Vibe Coding,也看到蠻多有趣的產品跑到市場上,但是你說有誰因為這樣子大發財,我們講的有誰是說你要可以講出很多人,你不要說每個人都是舉特定幾個例子,那就跟幣圈去舉說特定的幾個人發財,那差不多的一個道理,所以你會注意到其實本質上工作都還是繼續,生活都還是繼續。
[16:06] 感覺得 AI 幫你加強了一些東西,可是它卻沒有讓你換來時間上的自由。
[16:11] 你可能每個人它是花更多時間在工作的。
[16:14] 所以它現在看起來跟電腦當時的誕生,雖然電腦在我有生之年就已經是在那邊了。
[16:21] 我無法去感受到在電腦之前跟電腦之後的一個差距。
[16:25] 但是我現在去稍微的把自己放入在那樣的一個時代去做想像的話,我覺得是差不多一個東西。
[16:32] 就是你知道有一個超級強的機器可以幫你非常有效率的去做一些事情,
[16:36] 可是它並沒有讓你的工作時數下降,甚至讓每個人的工時變長,
[16:41] 它對社會產生一些變化,但是工作都還是繼續,
[16:45] 所以大家想像的Universal Basic Income搞不好也會拉到更後面的時間才會出現之類的。
[16:51] 所以今天如果是回到我自己的工作的話,
[16:53] 其實我現在一整天跟AI對話的時間是很長,
[16:56] 甚至是我情願跟AI對話是優於去跟我們這樣講自己的同業好像在吐槽人家
[17:03] 但就確實就是你跟自己股票圈的朋友以前你會想要每個群組有時候可以去拋個東西拋賺去聊一下什麼的
[17:10] 現在你會發現說就絕大多數的東西基本上你就是跟AI聊就好了
[17:13] 那當然如果你今天是一個剛加入市場的人你比較難去做到這件事情
[17:18] 因為你去跟AI聊的東西他就是從公開資訊去撈嘛
[17:23] 公開資訊的東西一般來講在市場裡面較難為你帶來一些立即性的收穫
[17:29] 大趨勢是OK的
[17:30] 就像說你說報紙可不可以拿來看投資
[17:34] 絕對是可以的
[17:34] 因為報紙在好幾年前有講說AI可以
[17:37] 所以如果你相信報紙你去投AI
[17:39] 你過去幾年都賺翻了
[17:40] 只是問題是如果我們今天在講一些比較微觀的東西
[17:43] 一些特殊的標的
[17:45] 它可能有一些議題要產生的
[17:48] 或是有一些新的力度要發展
[17:49] 這些東西如果說你沒有一些專有的資訊源的話,基本上它比較難為你帶來優勢。
[17:55] 當你有這樣的一些資訊之後,其實你也不太需要去跟別人做討論。
[17:59] 以前你會需要跟別人做討論,可能大家一起去看一份財報可以得出不一樣的結論,
[18:05] 或說大家一起去看一份資料跟一個PQ的計算,或是市佔率的計算。
[18:11] 當每個人的input都丟進來,你會產生一些新的想法。
[18:14] 但現在要比用一下,基本上AI就可以直接幫你把所有的scenario丟出來。
[18:17] 所以我覺得 AI 對我們工作最大的一個影響是你發現你不太需要去跟人對話了,你只要多跟機器講話就好。
[18:26] 當然這可能有階段的問題,就是到我現在這個階段就是我基本上可以取得很多的資訊的時候,我是發現我不需要去跟人對話。
[18:34] 但是如果我之前一樣可以取得很多資訊沒有 AI 的話,我要去完成類似的工作,其實我是需要去跟很多人對話的。
[18:42] 所以我覺得AI它某種程度上算是一個愛人的福音吧,就是你可以降低很多跟人接觸的一個機會。
[18:49] 那再來就是在資訊的獲得上面呢,其實社群媒體跟AI我覺得它算是相輔相成,而且是並進的。
[18:57] 就是以X來講,我覺得X就是一個非常好去獲得各種消息或資訊的一個平台。
[19:04] 他甚至是比所有的AI本身來得好,就是你不會想要去請AI幫你講說這個禮拜或說這幾天發生什麼事情,然後接著一個一個去看,他其實相對沒有效率的,你只要把X打開來或是把一些社群,像蠻多人喜歡看FREDZ嘛,只是我覺得FREDZ呢,其實也不能這樣說,就是說當然世界上本來就是有很多的怪咖跟笨蛋嘛,只是在FREDZ上面的怪咖跟笨蛋特別多,
[19:31] 所以看Fed是一個我覺得對心理負擔很大的平台。
[19:35] 但現在我去看FB覺得是OK。
[19:37] 以前看FB覺得FB都是老人家的根據地,
[19:40] 但現在可能自己也變成相對老人的一個思維。
[19:43] 所以FB的各種價值觀跟我是比較合的。
[19:46] 那X上面可以獲得很多最新的一個資訊。
[19:49] 所以如果說你把FB上面的Feed,
[19:53] 就是把它調整成是非常客製化的一個情形,
[19:56] 要不然說你該做的東西、
[19:57] 最不該做的東西去刪掉。
[19:58] 你在這邊去做一個資訊的Filter,
[20:01] 然後跟 X 上面去追蹤一些特別有幫助的人或是消息來源的話,其實在資料的獲取方面,用社群的效益是大於用 AI。
[20:12] 我覺得而且 AI 它會幫你白燒很多 Token。
[20:14] 所以一般像是現在一些事件的發展,就還是跟過往一樣,就是去逛社群,然後像是金石,它會有一些隨時的推播。
[20:23] 當然有些可能是假的,你還是要去 filter 一下,但大多數來講,其實這個就可以獲得很多很新很快的。
[20:30] 現在正在世界上發生的一些事件的消息。
[20:33] 對一些想要去Trade消息的人來說,或是有時候要去找靈感的話,其實這都還是一個非常好的一個做法。
[20:39] 再來就是在公司的比較非常基本面的一個研究的話,其實AI是現在幫助我最大的。
[20:46] AI在看財報實在是有夠厲害的。
[20:49] 我們講的AI,像我自己目前都是使用Perplexity Computer,裡面我最常使用的模型是Fable-5。
[20:56] 我之前有一段時間會回去用GPT,可是我還是覺得說GPT有一種那種油臭味,就是他的回答一看就是GPT的回答,那Fable的話其實是還蠻不錯,但是他也有一定程度的風險或說要注意的東西就是他認為他自己永遠都是對的,所以其實跟Dario的個性是有點像。
[21:15] 如果你今天真的讓 Anthropic 掌握世界大權的話,我覺得會出事情,因為他們真的是認為AI 是要掌握在少數人的口袋裡面。
[21:23] 但除了那些莫名的自瞞之外,其實在分析上面,如果說給予適當的引導的話,在Propaganda Computer 搭配AI 模型,或者說即便你用它的Orchestra,就是直接讓它去滋用裡面的各種模型,它會幫你盡量的去省一些Token。
[21:39] 我覺得還是OK,就是去看財務數字這方面,其實基本上現在都是直接交給AI做的。
[21:44] 我相信未來只會更嚴重,以後可能在財報裡面去找一些線索或是漏洞或是問題的話,都會盡可能的直接丟給AI了。
[21:54] 像以前的做法是自己會去翻一翻,可是問題是其實各夯如各山,像我們自己的做法還是以題材股為主,所以其實我會去接觸很多我不一定熟悉的產業,當然這個在投資的1on1裡面它不一定是一個好事情,大家都告訴你一定要投資你看的等的東西,但整個說這是我們的風格,我們本來就是去做一些題材股。
[22:13] 所以本來就是在財報裡面有時候一些美美角角你不一定會看得懂,好像一些合約資產、合約負債,雖然直接講這個名字大家腦中一定會產生某一些印象,可是在一些行業它不一定會是這樣子,
[22:25] 或是說收貨跟交款的時間,這個可能在一些行業裡面你一定會力求說你要趕快交款什麼的,
[22:32] 如果說交款時間拉長可能會遇到一些違約的問題,或是人家會倒債之類的,
[22:37] 但在一些產業,它可能不一定有這樣的問題,因為它客戶結構,或者說它客戶的屬性的特徵,所以導致你知道它被違約機率是很低的。
[22:46] 以前你要自己去翻嘛,去找線索,去對落什麼的,但是我覺得有AI之後,這個都超簡單的。
[22:51] 你只要告訴它一些框架,或甚至你不用告訴它的框架,它就可以知道說,這個產業該怎麼樣去讀財報。
[22:57] 重點是你只要確保你的模型夠強就好,你只要有在付錢,其實我覺得不會有太大的問題。
[23:01] 所以其實我覺得有了 AI 之後呢就是自己花時間去閱讀財報的時間是變短的
[23:08] 然後再來就是像是年報裡面去抓一些關鍵數字基本上下也都是讓 AI 去跑
[23:13] 當然有一些那種定型化的東西你還是會直接用 Ctrl 加 F 是比較快啦
[23:19] 因為最終呢在 AI 的使用上除非說你是預算無上限啦
[23:23] 雖然我們其實對預算已經非常的寬鬆了只是有時候還是一個效率的問題
[23:27] 像有一些數字我知道說在年報裡面我 Ctrl 加 F 關鍵字去找
[23:31] 我可以立刻找到,我就自己去找就好了,如果叫AI去看,他看回來,那他可能就再搞個三五分鐘,他要再重新跟你確認一些你的需求。
[23:38] 那一來一往除了花錢之外也花掉更多時間。所以其實我覺得就是因為AI已經用了一兩年以上了嘛,那自己會開始產生一些想法,就是我們不是那種盲信AI者。
[23:48] 我還是會跟大家講說,就是你在一些新銳跟新穎的資訊獲取上,其實你會使用大量的社群媒體。
[23:55] 社群媒體系背後也是有很多AI driven的東西,包含像是那些algorithm的優化,那都跟AI有非常大的關係,其實你用那些工具就好了。
[24:04] 所以我不認為AI會取代世間所有東西的核心在這邊,因為你還是會發現有些東西你自己下去做,它其實在實務上還是會比較快。
[24:13] 有些東西你熟悉的,格式是差不多的,其實我自己去用Ctrl F去搜尋一定是比AI去幫我爬都來得快。
[24:21] 以一個大方向的研究來講,我今天切入一個新的產業或是既有的產業,我已經知道框架是什麼樣,我確實是直接把他的財報跟年報丟給AI,然後接著去裡面撈數字就可以很快的獲得答案。
[24:33] 現在重點來了,我們不會有事沒事,除非說今天是有靈感,人家告訴我們一間公司我特別要去做研究。
[24:39] 不然其實像我自己的工作流,他也是有比較偏向說,基本上我們去市場裡面去找正在發生的故事。
[24:46] 正在發生的故事很簡單,就是市場裡面什麼東西正在漲,或是說有什麼族群正在跑。
[24:50] 這個你也可以去問AI,但是我還是不相信AI,我還是會選擇用自己的眼睛去看,我覺得這可能就是去鑑別一些績效的最主要的來源之一吧。雖然我這樣講也有可能是我還有一些盲點,說不定用AI做可以更有效率,但是我至今我是發現說這段自己看還是最好。
[25:06] 就是你自己在盤中看感覺,你看到一些東西特別強勢一些族群走出來,或是一些事件的驅動,可能像前陣子跟大家講說這個輝達的Power的白皮書,雖然最後面看起來這個Power的白皮書呢,它沒有帶起全面的族群,但是有少部分的股票確實被它帶起來了嘛。
[25:22] 那抑或是就像說最近在講說記憶體什麼12H變8H嗎?甚至有些人講說會變4H之類的
[25:28] 那這個如果你靠自己平常對於股票跟產業的敏感度的話
[25:33] 它所篩出來的線索會比我今天問AI來的更有效
[25:37] 因為我試著去問AI過
[25:38] 但是我發現說AI在這方面答得不夠好
[25:41] 可能是因為他沒有賠過錢
[25:43] 他沒有在市場裡面真的血淋淋的被虐殺或者說被搞過
[25:48] 所以在這方面敏感度可能目前還不夠
[25:51] 我相信說如果真的很認真去Chain它是有機會,但一樣這個是類似CP值的問題,就是說你有必要去取代社群媒體幫你看資訊的能力嗎?沒有必要,因為你可能要花很多錢。
[26:02] 所以差不多這樣的一個感受,就是在盤中自己找到一些東西之後,那今天這個東西我想要快速的去理解它,我可能就會先請AI告訴我這個產業的Overview是長什麼樣子,
[26:13] 接著可能會請AI去挖我的Google Drive,或特別開一個Google Drive,然後把一些報告跟一些Memo丟到裡面,請他去撈,就像是今天是跟Power或是跟某個光通某個X8元件有關的東西,請你去幫我找關於這個東西的討論。
[26:31] 接著我就開始非常密集的跟AI對話,然後去把我要的東西全部都問出來之後,我就去自信下單。
[26:38] 所以有時候很有趣的是,當然我們有些東西會是偏向深思熟慮,就是我研究了半天之後,然後再決定要去買進,然後接著到市場上去慢慢收這個東西。
[26:48] 但是我自己注意到我現在可能有高達三到五成左右的買賣,其實它還是比較偏向是某種improvised的行為,就是我在盤中我看到了一個東西,我立刻的去查資料,然後跟問AI在外加,有時候去看一下社群,有沒有人在討論這個東西。
[27:08] 這就是我現在所獲得的資訊與我了解的深度以及我所估計出來的數字是優於社群或是優於分析師們的估計。
[27:18] 然後接著我就會去買進它。
[27:20] 所以其實有蠻多東西是在盤中發生的。
[27:23] 以前在盤中可能會花很多時間去看新聞,就是什麼XQ或這些看盤的問題,都會跳一些新聞。
[27:29] 然後一些什麼字節什麼盤中會看這個,其實現在就比較少在看這個。
[27:33] 現在就是單純的用量價去找到一些東西之後,然後接著快速的去研究它。
[27:40] 那絕大多數的東西其實你都已經有一些概論了,因為其實股票就是輪來輪去這幾個族群。
[27:45] 然後接著呢,去找到一些你可能發現這個東西它的擁擠度是不高的,然後跟你獲得的資訊跟你所了解到的東西是市場可能還有落差的,搭配它現在有突破就去買。
[27:56] 所以其實你要說哪個東西比較重要?到底是我們去識別這個東西,然後接著確保它形態是走我們要的形態,然後接著再把籌碼打進去,這個比較重要。
[28:07] 還是說是AI幫我做研究這一段,我反而覺得一開始會對AI做研究這段頗刮目相看,覺得說太厲害了,我現在什麼生產力超強。
[28:17] 但我後來發現因為身邊會做這件事情的人不少
[28:21] 就是大家都會做這件事情
[28:22] 所以這件事情它某個程度上只是有點像是
[28:26] 我們現在好像每個人都帶一個Jarvis
[28:28] 帶著一個管家
[28:29] 每個人都有
[28:30] 沒有Jarvis的人可能連考場都進不去
[28:32] 大家都有管家
[28:33] 那這個管家知道說
[28:35] 欸少爺你今天要來考試
[28:36] 我幫你把你的2B鉛筆磨好
[28:38] 叉子弄好
[28:39] 以下是你的小本本
[28:41] 就是你那種以前考前不是會去賣那種
[28:43] 就是可能一本什麼50塊100塊
