[00:00] 歡迎收聽谷愛,我是聖夢宮,本期節目由NordVPN贊助
[07:10] 我之所以這樣問的原因
[07:11] 是因為我現在觀察到
[07:12] 我們身邊一些朋友的教育方式
[07:14] 那當然我也想知道說
[07:15] 怎麼樣是一個比較好的教育方式
[07:17] 那他們可能有些是很hard core
[07:18] 就小朋友不知道
[07:19] 到五六歲
[07:20] 他是沒有在家裡看過電視的
[07:21] 就他沒有看過電視
[07:22] 沒有看過平板
[07:23] 甚至是沒有吃過任何的甜食
[07:25] 一點點甜的東西就沒有
[07:26] 那學校如果說給甜食的話
[07:28] 他們會跑去學校抗議說
[07:29] 不準給我的小孩吃甜食
[07:30] 反正就是非常的口鬧
[07:32] 所謂其實在我們那一輩
[07:34] 就是他們那一輩的時候
[07:35] 也是這樣子一個情形
[07:36] 他說像你九九的小孩
[07:37] 兩個都沒有吃過糖
[07:38] 那再來那個什麼
[07:40] 你姑姑的小孩
[07:41] 什麼家裡也是不能吃巧克力
[07:42] 有什麼
[07:42] 有一天跑到我們家
[07:43] 然後發現我們家竟然是
[07:45] 把費什麼都可以吃
[07:46] 巧克力海苔
[07:47] 隨便吃
[07:49] 吃完之後喝水喝到肚子脹到
[07:51] 整個都動不了
[07:51] 因為他平常沒得吃
[07:52] 然後到我們家會狂吃
[07:54] 然後還有另外一個什麼表哥
[07:55] 就在我們家吃巧克力
[07:56] 吃到媽的
[07:57] 可能覺得說太舒服了
[07:59] 想要外帶
[08:00] 那因為不想讓爸媽知道
[08:01] 藏在肚子裡面
[08:02] 然後最後面回家的時候被打一頓
[08:04] 因為一掀開就什麼
[08:05] 衣服褲子全部都是那種融化的巧克力
[08:07] 反正跟我們分享
[08:08] 就說那個誰那個誰
[08:10] 他們家以前做什麼管制
[08:11] 所以其實有
[08:12] 就是在他們那一輩就這樣子
[08:13] 那只是因為我們從小沒有受到管制
[08:15] 而且我們家是比較肥累的
[08:17] 你知道我們家族的人
[08:18] 還會讓我們喝酒
[08:19] 然後讓我們吃檳榔
[08:20] 小朋友吃檳榔嘴巴哄哄好笑
[08:22] 反正就很北南
[08:23] 但是這是不好的示範
[08:24] 我們自己絕對不會這樣對小朋友
[08:25] 我們還是有去做進化
[08:26] 只是就是意識到說
[08:28] 其實我從小是完全婚姻不濟
[08:30] 我爸媽就讓我去做各種嘗試
[08:32] 那後來就題外話就好笑而已
[08:34] 我就跟我媽分享說
[08:35] 那我們的教育應該是對的
[08:37] 因為我看下來
[08:38] 我們家的小朋友
[08:39] 好像都長得還蠻不錯的
[08:41] 就是各種發展或什麼的
[08:42] 那別人的那種管得超嚴格的
[08:44] 好像不知道
[08:45] 就也沒有說因為這樣子
[08:46] 他的身體比較好
[08:47] 或者說我們牙齒比較好
[08:48] 或者說現在的發展機遇比較好
[08:50] 所以最後面就覺得
[08:51] 我認為是這樣
[08:52] 就是不管你選擇哪個方式
[08:53] 反正小朋友都是有幫他養大
[08:55] 養大之後
[08:55] 其實很多時候
[08:56] 就算你怎麼樣管
[08:57] 你也不一定控制得住他
[08:58] 你現在不希望他怎麼樣
[08:59] 他長大了
[09:00] 他就跟你反著對坐
[09:01] 你希望要幫他挑朋友
[09:02] 他長大了
[09:02] 跟你反著對坐
[09:03] 所以其實我們能夠做的
[09:05] 就是陪伴他一陣子
[09:06] 那儘量的
[09:07] 我覺得價值觀是很重要的
[09:08] 就是他有一些什麼小習慣或什麼的
[09:11] 那對我們來說
[09:11] 可能沒有太大的一個影響
[09:12] 可能價值觀
[09:13] 不然說不能夠欺負動物
[09:15] 不能夠對弟弟
[09:16] 或者說對朋友口出惡言
[09:18] 不能夠動手什麼的
[09:19] 這些我們是會立刻的去阻止他
[09:21] 甚至會給他懲罰
[09:22] 其他的其實我覺得
[09:24] 我們家都比較偏向是
[09:25] 反正就視性發展
[09:26] 你覺得你喜歡什麼
[09:27] 我們就甚至就讓你往那個方向去
[09:29] 你真的很喜歡吃糖的話
[09:30] 我還希望你說
[09:31] 你有一天可以從消費者
[09:33] 變成是生產者
[09:33] 就你這麼喜歡吃
[09:34] 你就跟我說為什麼你喜歡吃
[09:35] 或者說像我兒子
[09:37] 我帶他去開寶可夢的卡
[09:38] 我注意到他有一個小天分
[09:40] 當然其實當然我們家長
[09:41] 有可能會把事情放得太大
[09:43] 有時候看到小朋友會一些東西
[09:44] 就覺得說
[09:45] 啊兒子真厲害
[09:45] 但他會立刻的抓出一堆卡片裡面
[09:48] 哪些是有關聯性的
[09:49] 這個是這個的小時候
[09:51] 這個是這個的什麼進化版或什麼的
[09:53] 那即便他看不懂任何的字
[09:54] 他可以從他們的輪廓裡面立刻抓出來
[09:56] 而且他會記得說哪張卡他有看過什麼的
[09:58] 所以我其實就是有試著要去鼓勵他說
[10:01] 就有朝一日你可以從消費者變成生產者
[10:03] 你可以去跟我思考
[10:05] 或者說構思一下說
[10:06] 你有沒有可能去創造出一個寶可夢
[10:08] 你覺得他的個性應該是怎樣
[10:09] 他的外形應該是怎麼樣
[10:10] 那就是反正從他有興趣的地方
[10:13] 然後去堆砌他
[10:14] 希望他可以找到自己人生中的一些方向
[10:17] 最近的一個育兒小心得跟大家分享一下
[10:19] 那接下來我們來進入上話題
[10:21] 那上集因為跟大家聊的太陽能
[10:23] 很多時候我們就拋磚引玉
[10:24] 跟大家分享一下之後呢
[10:25] 然後我們就會意外的收到很多feedback
[10:27] 這次是有兩位太陽能的聽眾來跟我講
[10:30] 就是我們上述節目所提到的內容
[10:32] 他們來echo一下
[10:33] 那其實算是回來的很少
[10:35] 一般來說我丟一個話題出去
[10:37] 然後接著回來就會超級多
[10:38] 所以果然是像我們自己所看到的
[10:41] 就是太陽能的專家
[10:42] 要麼是離職失業了
[10:43] 要麼可能就掛掉了
[10:44] 就是說他可能是懂太多
[10:45] 然後他就會受傷很深
[10:47] 因為這個產業真的爛非常久
[10:48] 那剩下的這個兩位專家
[10:50] 是來自不同的領域
[10:52] 就他們負責的東西是不一樣
[10:54] 可是都是在看太陽能
[10:55] 那都給出了類似的
[10:56] 就偏比較正向的一個說法
[10:58] 反正就是說
[10:59] 因為現在對於外國實體的一個風景
[11:01] 就是去針對中國
[11:02] 所以在Nong China的供應鏈
[11:04] 會有一些機會的產生
[11:05] 那我注意到
[11:06] 就包含這兩個聽眾專家
[11:07] 然後以及像我們自己有問到的
[11:09] 或是一些退休人士
[11:10] 把他們抓出來請教一下
[11:11] 那大概得出一些結論
[11:13] 簡單跟大家講一下
[11:14] 反正總之呢
[11:15] 就是因為在美國政府的補貼之下
[11:17] 不管是這個太陽能
[11:18] 或者說一些模組的補貼
[11:20] 就是你可以直接看到
[11:22] 在生產端這邊
[11:23] 只要東西有做出來
[11:24] 你就可以去獲得一個稅務的抵免
[11:26] 然後這個抵免點數是可以賣別人
[11:28] 就像特斯拉那個綠能點數
[11:29] 就賣別人一樣
[11:30] 那這個是很明確
[11:31] 對於這些產業來講的一個利多
[11:33] 至於要去做那種結構性的轉變的話
[11:36] 最主要還是對中國的
[11:38] 所謂外國實體的制裁
[11:39] 在中國的components的佔比不能夠太高
[11:42] 要逐年下降的一個狀況之下
[11:44] 然後China的supply chain會因為這樣子受惠
[11:46] 但我們看下來
[11:47] 我們覺得結論是在月末端的
[11:49] 就是偏向是電池模組
[11:51] 或者說成品的
[11:52] 它的受惠程度
[11:53] 因為它可以直接拿到補貼
[11:54] 會大於那些比較上游的材料
[11:56] 比較上游的材料
[11:58] 我自己本來也是有好奇
[12:00] 像中美金它是有太陽能的東西
[12:02] 這個佔比真的太低了
[12:03] 第一個佔比低
[12:04] 所以就可能
[12:05] 在我自己的觀察會認為說
[12:06] 它可能是比較偏
[12:07] 就是比較不會是那種
[12:09] 受惠的核心之一
[12:10] 那再來呢
[12:11] 其實上游的Poly材料
[12:13] 也是控制在中國的手裡面
[12:15] 所以他們認為說
[12:16] 其實傳導到上游的機率
[12:18] 會是比較低一點
[12:19] 一般來講就是在下游
[12:21] 會是一個直接受惠的情形
[12:23] 但下游的受惠
[12:25] 還是要考量一個點
[12:25] 是它可以拿到補貼的點數
[12:27] 它可能可以拿下一些市佔
[12:28] 但在美國生產
[12:29] 因為可能成本也都比較高一點
[12:31] 所以有機會在生產的地方是賠錢的
[12:33] 反而是因為拿補貼
[12:34] 所以因為這樣賺錢
[12:35] 因為像之前的Tesla
[12:37] 有些人會去酸的點
[12:38] 還不是靠賣率能點數在賺錢
[12:40] 差不多這樣的一個感受
[12:42] 所以簡單看下來
[12:43] 我覺得產業上的人士是有注意到說
[12:45] 真的有變局要發生了但他們有點不懂為什麼市場上會有一些股票噴成這樣子有些他們認為說根本就不會收回有些他們認為說你根本沒有機會賣去美國你看你的那個營收的地區佔比就知道你根本就沒有進去美國
[12:58] 可是不知道為什麼
[12:59] 就全部都還是在噴
[13:00] 所以產業人士的feedback是這樣
[13:01] 但老實講
[13:02] 產業人士的feedback
[13:03] 很多時候我們並不是要去
[13:04] 你知道外行去打擊內行
[13:06] 只是因為從股票圈的角度來講
[13:08] 很多時候我們會注意到
[13:09] 產業人士他們會相對保守
[13:11] 或者說因為他們的訓練
[13:12] 讓他們會比較理性一點
[13:13] 所以有些那種超乎想象的事情
[13:15] 對他們來講會比較難以去期待
[13:18] 它會發生
[13:18] 他們的心中當然知道
[13:19] 有這樣的可能性
[13:20] 只是因為可能常年看下來
[13:22] 就是發生這樣的東西的機率太低了
[13:24] 那股票圈的人士就喜歡去想
[13:26] 那種很極端的狀況吧
[13:27] 好 類似說之前在炒那個GB200的時候
[13:30] 媽 一次喊到什麼
[13:30] 媽 什麼7萬REC之類的
[13:33] 話也知道說那個數字
[13:33] 根本就是不可能的
[13:34] 在當下
[13:35] 那所以股票圈的人會喊過頭
[13:37] 那產業的人會踩剎車
[13:38] 所以你就要在中間去抓到一個平衡
[13:40] 有時候當一些那種奇蹟狀況發生的時候
[13:43] 產業人士是真的
[13:44] 不一定會有辦法看到這一塊
[13:46] 因為他們的訓練會讓他們是
[13:48] 相對的保守一點
[13:49] 所以包含說像過去一些產業的翻身
[13:52] 其實當下你去問
[13:53] 在裡面的業內人員
[13:54] 他們一般都不敢跟講的太有把握
[13:56] 甚至是這次的記憶體
[13:58] 你去看一下記憶體起漲的那陣子
[14:00] 就剛起漲的時候
[14:01] 你去看一下華邦電的說法
[14:02] 你去看一下萬鴻無名球的說法
[14:05] 其實他們一開始都看得很保守
[14:06] 然後後來真的上去的時候
[14:07] 你會覺得說
[14:09] 這樣公司要出貨嗎
[14:10] 我噴了幾倍之後
[14:11] 突然跟你講說他們現在看多
[14:12] 因為他們只有等到這個訂單
[14:14] 都已經完全壓在他們面前的時候
[14:15] 開始在漲價給客戶的時候
[14:17] 他們才會去相信
[14:18] 過往他們可能也是
[14:19] 難以相信有這樣的情形發生
[14:21] 因為那個產業可能爛一陣子
[14:22] 當然我們也不知道講說
[14:23] 這些分析師
[14:24] 他們這一次又是過於的保守
[14:26] 只是跟大家分享說
[14:26] 有時候我們去聽一些產業人士的說法
[14:29] 我們就是把它當成是
[14:30] 就是可能我們在資料庫裡面的
[14:32] 其中一環
[14:32] 至於要怎麼樣去下注
[14:34] 很多時候還是迴歸自己的一個
[14:36] 你可以講是猜測
[14:37] 但這個猜測其實是有
[14:39] based on很多的線索
[14:40] 或者說
[14:41] 過去對於產業的一些理解跟認識
[14:43] 這個理解跟認識
[14:44] 不一定從業內的角度出發
[14:45] 因為業內的角度去看
[14:46] 很多時候會過於的保守
[14:48] 所以大概這樣
[14:49] 反正簡單講說
[14:50] 產業人士認為說
[14:51] 它不是一個全面的受惠
[14:52] 所以他們不懂
[14:53] 為什麼這麼多股票
[14:54] 可以跟著一起噴
[14:55] 可是實際上
[14:56] 他們是有看到一些缺口
[14:57] 產生可能性
[14:58] 特別在電池
[14:59] 而不是像可能蠻多人看到
[15:00] 什麼太陽能模組
[15:01] 模組可能本身是還好
[15:02] 但是在電池這一塊
[15:04] 也是很明顯有缺口的存在
[15:09] 所以我們就把它當成是case close
[15:10] 就是一個案例的研討
[15:12] 就到這邊去做一個結束
[15:14] 你也獲得一些feedback
[15:15] 接著我們來看一下
[15:16] 市場最新的一些話題討論
[15:18] 我覺得比較大的
[15:20] 就是Jack Dorsey的block
[15:21] 宣佈要裁員4000個人
[15:22] 從大概1萬出頭個員工
[15:24] 然後縮減到不到6000
[15:25] 幾乎算是砍掉一半的員工
[15:27] 當然這個訊息出來
[15:29] 我們知道說在資本市場
[15:30] 大家都非常喜歡裁員相關的新聞
[15:32] 因為代表說你可能後面的財務數字
[15:33] 就因為這樣變得好看
[15:35] 是直接在盤後就上漲
[15:37] 雖然最後面是有收斂他的長福
[15:39] 但整體的市值就因為這樣去做提升
[15:41] 那他的理由是講說
[15:43] 這個是因為AI導致
[15:44] 可能整個公司的效率變好
[15:46] 所以就是有些白領的工作就不需要了
[15:49] 那這個剛好就符合
[15:51] 最近的一些doomsday porn的說法
[15:53] 反正就是說
[15:54] AI會讓人類的文明
[15:55] 什麼產生重大的變化
[15:57] 那個失業率會高於什麼
[15:58] 5% 10%以上
[15:59] 這些那種超級誇張的劇本
[16:01] 那現場結論
[16:02] 就是我自己不覺得
[16:03] 那些很誇張的劇本會發生
[16:05] 就是很多時候我們看到一些
[16:06] 新的變局的產生
[16:08] 像那時候
[16:08] 不知道大家還記不記得
[16:09] 這件區塊鏈
[16:10] 那時候有很多的NFT的時候
[16:12] 也是很多人說
[16:12] 什麼傳統金融要怎麼樣
[16:14] 我覺得可能是因為
[16:15] 區塊鏈最近的狀況不好
[16:16] 所以這裡面的一堆
[16:17] FOMO宅下
[16:18] 跑到股票市場裡面
[16:19] 然後變成是那些
[16:20] 跑去發Doomsday Point的人
[16:22] 我覺得可能是這樣子
[16:24] 因為最近太多這種
[16:25] 就我剛好最近
[16:26] 也在跟朋友聊到說
[16:27] 我不太喜歡近期看到
[16:28] 一大堆那種AI的長文
[16:30] 而且一看就知道是AI文
[16:31] 然後就針對市場
[16:32] 可能過去一個禮拜
[16:33] 發生的事情
[16:34] 然後寫洋洋灑灑一整篇
[16:36] 然後還一堆人分享
[16:36] 我想說你們都看不出來
[16:37] 這種就叫廢文
[16:38] 就是不知道去顯示的
[16:40] 說什麼自己多聰明
[16:41] 多會什麼獨立思考判斷
[16:42] 只是你不覺得
[16:43] 一直去把過去的事情
[16:45] 拿出來總結
[16:46] 這種事情是很廢的
[16:47] 就是你應該跟我講說
[16:48] 那到底未來是怎麼樣
[16:49] 雖然未來我們知道
[16:50] 沒有人講得準
[16:51] 可是我寧願你去猜看看
[16:52] 我也不要你就是
[16:53] 百分之百正確的
[16:54] 去講過去的事
[16:55] 因為過去的事
[16:55] 你媽誰不會講
[16:56] 那就看後照鏡而已
[16:58] 所以其實我自己
[16:59] 也會做一個猜想
[17:01] 我會覺得說
[17:01] 因為Jack Dorsey
[17:02] 老實講我在他身上受過傷
[17:04] 因為我之前買過Square的股票
[17:05] 那後來Square就改名成Block
[17:07] Ticker也把它改了
[17:08] 那他之前也跑去什麼收購
[17:10] Afterpay花一大堆錢或什麼的
[17:12] 所以其實因為我在他身上
[17:13] 曾經受過傷
[17:14] 那時候2021年去玩
[17:16] 這種所謂的SaaS
[17:17] 相關的概念股的時候
[17:18] 那他算是我其中有賠到錢的東西
[17:21] 所以我有去研究他
[17:22] 那時候還給他一個綽號
[17:23] 把他稱為是武僧
[17:24] 因為他留了很長的鬍子
[17:26] 然後就很像那時候
[17:27] iFYS的武僧這個角色
[17:29] 那以我對他的認識
[17:30] 反正他就是一個浪漫派的人
[17:32] 他是一個非常強的
[17:35] 怎麼說
[17:35] 他是開創者
[17:36] 他很會去做出一些酷的東西
[17:38] 不然說像我覺得Square
[17:39] 本身就是很酷的一個公司
[17:41] 或者是他的Twitter也是超級酷
[17:43] 可是在營運方面
[17:44] 這個你可以從馬斯克接管之後
[17:46] 他不是直接裁掉
[17:47] 什麼七成還八成的人
[17:48] 然後發現說
[17:48] 竟然運作是完全沒有任何障礙的
[17:51] 然後那時候也是很多人講說
[17:52] X就是以前的Twitter
[17:54] 現在就要去死了
[17:55] 就要完蛋
[17:55] 然後這邊發現說
[17:56] 沒有他還是蒸蒸日上
[17:57] 而且他的財務狀況
[17:58] 可能是持續的往更好的方向去走
[18:00] 那所以你知道說
[18:02] 他是一個非常強的Founder
[18:04] 可是他如果要去經營他的話
[18:06] 他不一定可以把他做得很好
[18:07] 特別是我們投過他公司
[18:09] 我們就會知道
[18:10] 他可能在一些財務的投入上面
