[00:00] 欢迎收听谷爱,我是星梦宫
[01:52] 近期的一些饮食控制
[01:54] 然后还有运动
[01:55] 都有蛮大的一个关系
[01:56] 所以用这样子去开启自己的34岁
[01:58] 是觉得还蛮高兴的
[02:00] 那在上节的当下
[02:01] 其实就是我的生日
[02:02] 那我也非常感谢这么多的地方听众
[02:04] 因为我其实不会去跟大家讲
[02:05] 我的生日是什么时候
[02:06] 请大家记得我的生日或什么的
[02:08] 但是大家就是默默的记得我的生日
[02:11] 蛮多人
[02:11] 不只是我自己的生日
[02:13] 不然像是什么结婚纪念日
[02:14] 因为有时候在节目里面聊到
[02:15] 那个结婚纪念日
[02:16] 我忘记什么东西
[02:17] 都一直会有人私讯回来
[02:18] 说下次情人节
[02:19] 下次结婚纪念日或什么的
[02:21] 然后很多时候真的是靠大家的提醒
[02:23] 我才会想到说要去准备一些东西
[02:25] 所以其实我本身是对各种节日
[02:26] 是比较属于没有感觉的人
[02:28] 包含自己的生日也是
[02:30] 所以不是说怎么样装酷
[02:31] 不过生日或什么
[02:32] 就真的对这种东西是没有什么感受
[02:34] 但是你看到有些人会在意
[02:36] 然后会记得
[02:37] 那对你来说还是一个非常暖心的体验
[02:39] 特别有这么多是
[02:40] 我们是素未谋面的听众们
[02:43] 那这是一种非常奇特的感受
[02:45] 所以在这边也回祝大家身体健康
[02:49] 那这次的生日呢
[02:50] 是没有去做什么特别的庆祝
[02:53] 反正就是跟往常一样
[02:54] 就跟可能是最亲近的家人
[02:56] 然后一些朋友
[02:57] 简单的吃个东西就结束
[02:59] 那也收到了一些生日礼物
[03:01] 那我发现说这次的生日礼物
[03:02] 蛮多人都已经知道说
[03:04] 可能我喜欢的东西是什么
[03:05] 然后就会往那个方向去点
[03:07] 那其实就套一句我老婆讲的
[03:09] 要帮我准备生日礼物
[03:10] 是很难的一件事情
[03:11] 因为第一个是
[03:12] 我是想要什么东西
[03:13] 就立刻买到的人
[03:13] 然后第二个是
[03:14] 我是有冲动消费人格的人
[03:16] 那所以两个叠加起来
[03:18] 就是基本上你很难找到东西
[03:19] 是我想要可是我没有的
[03:21] 那所以像我们一般去帮别人找生日礼物
[03:24] 很简单是说
[03:24] 你会知道说有些人
[03:25] 他有一些梦幻的东西
[03:26] 他喜欢的东西
[03:27] 那不一定说什么超级贵
[03:29] 就是他平常是舍不得花
[03:30] 或是他没有那个余裕去买的东西
[03:32] 那基本上你随便举例说
[03:34] 像我身边的一些家人朋友
[03:36] 他们可能喜欢什么东西
[03:37] 那我是有办法举的出来
[03:38] 可是像我自己
[03:38] 要不然我自己想我都想不出来
[03:39] 因为说我想要的东西
[03:40] 一定都是立刻点满
[03:41] 所以就导致说
[03:42] 在身边的家人
[03:43] 要帮我去找一些礼物的时候
[03:44] 蛮多时候是还蛮麻烦的
[03:46] 最后面他就会去送一些
[03:48] 我不知道我自己需要的东西
[03:50] 蛮有趣的
[03:50] 好像之前就会送
[03:51] Mandarorian的雕像
[03:53] 或是什么光剑之类的
[03:55] 就是蛮酷的有趣小东西
[03:58] 那今年是给我一个
[03:59] 金色皮卡丘的雕像
[04:00] 然后我老婆一直讲说
[04:01] 因为皮卡丘就会让我想到我儿子
[04:03] 确实因为我儿子从小
[04:04] 对黄色的东西特别敏感
[04:05] 不然说最早的Baby Shark
[04:07] 所以那时候手上就搞了一个
[04:08] Baby Shark的事情
[04:09] 然后只是没想到吃完之后
[04:11] 大概两个月左右
[04:12] 小孩就不喜欢Baby Shark
[04:13] 所以是还蛮尴尬的一个局面
[04:15] 但好在因为还有第二台
[04:16] 第二台这个刺青球
[04:17] 可以再拿出来用一次
[04:18] 他每次都来点这个baby shark
[04:20] 然后我就会唱歌给他听
[04:21] 所以算是一个蛮有趣的体验
[04:23] 然后后来他又喜欢什么minion
[04:24] 然后最后面到皮卡丘
[04:26] 反正都是黄色系的东西
[04:27] 所以我老婆意思是说
[04:29] 反正我后面都是放一堆那种Maya角
[04:31] 你放一只皮卡丘在那
[04:33] 你就想要你的儿子
[04:33] 所以我觉得也是一个
[04:35] 蛮不错的生日礼物
[04:36] 还有收到像是什么网球拍网球
[04:38] 然后跟昨天去跟一些
[04:40] 地方的投资贤达朋友们聚会的时候
[04:43] 也收到了一瓶红酒
[04:44] 那这个是我自己算蛮喜欢的
[04:47] 其中一种红酒
[04:48] 那只是这种东西拿来当礼物
[04:50] 我是觉得有点太贵重了
[04:52] 只是要给我
[04:54] 那我只好把它喝掉
[04:55] 因为我已经喝了好几瓶了
[04:56] 我真的觉得这是一个好喝的东西
[04:58] 所以还是非常感谢这么多
[05:00] 这个地方的大大们
[05:02] 然后有记得我的生日
[05:04] 但其实我觉得
[05:05] 可以把心力花在别人的身上
[05:07] 那对我来说
[05:08] 这些东西是老天给我的一种恩惠
[05:11] 跟这么多数位蒙面的人
[05:13] 可以以这种神奇的方式
[05:14] 交汇在一起
[05:15] 那我也希望可以持续的
[05:17] 去为大家贡献一些价值
[05:18] 那这个价值包含但不限于
[05:21] 就是可能节目去聊的一些
[05:23] 可能跟市场股票经济相关的东西
[05:25] 我觉得我自己家比较喜欢的内容
[05:27] 其实是比较偏向生活类的东西
[05:29] 甚至我今天早上
[05:30] 在跟法师聊天的时候
[05:32] 那我就聊到说
[05:32] 我自己觉得说
[05:33] 如果五年后
[05:34] 我还在全职很专心的搞股票
[05:36] 我也觉得有点失望
[05:37] 因为其实已经是
[05:38] 算达成自己阶段性的目标
[05:40] 应该说早就达成了
[05:41] 那后面就是都算是多的
[05:44] 所以对我来讲
[05:44] 像我会非常热衷
[05:45] 去投资一些小生意
[05:47] 或者去开创一些新的可能性
[05:49] 会像在去年
[05:49] 我们去成立了湘南资本
[05:51] 那这个对我来讲
[05:53] 就是新的尝试
[05:54] 也就是开始去往
[05:55] 可能创投家
[05:56] 或是其他有的没有的方向去走
[05:57] 因为股票对我们来讲
[05:59] 就已经是够了
[06:00] 就坦白说是够了
[06:01] 就后面都有一点像是多的
[06:02] 那我自己也不会喜欢说
[06:03] 就在同一个地方
[06:04] 好像说never enough
[06:06] 就是我还要更多
[06:07] 你可能要报50亿100亿
[06:09] 就不会觉得说
[06:10] 那是自己的目标了
[06:11] 那边可以去持续的成长
[06:13] 当然是很好
[06:14] 只是说把所有的精力都丢在那
[06:16] 那我就没有这么喜欢
[06:17] 所以当然我今年的愿望
[06:19] 还是希望身体健康
[06:20] 不管是对自己
[06:21] 或者家人朋友都是
[06:22] 像是昨天有一些朋友
[06:24] 在帮我庆生的时候
[06:25] 那吹蜡烛的时候
[06:26] 也是在讲身体健康
[06:28] 因为其实对于
[06:29] 像自己或者身边的人来讲
[06:31] 身体健康真的是最重要的东西
[06:32] 已经没有什么比这个更重要
[06:33] 然后以前可能还会
[06:34] 到二十几岁的时候
[06:36] 一些身边朋友聚在一起
[06:37] 会讲说希望大家快点发财
[06:38] 可是我觉得这几年行情
[06:41] 没有发财的人可能是少数
[06:42] 所以当然我们讲这个
[06:44] 没有要去刺激任何人的意思
[06:45] 就是说在自己的观察
[06:47] 生活权真的就是这样的一个情形
[06:49] 所以身体健康
[06:50] 变成是大家最重要的东西
[06:51] 阖家平安
[06:52] 这是最重要的东西
[06:54] 所以就希望在这条路线上
[06:55] 持续的去精进
[06:56] 同时希望可以去把其他事情都做好
[06:59] 去做一些更多的可能性
[07:01] 因为人只有活一次
[07:02] 如果说这一生都是完全的
[07:04] 沉溺在同一件事情里面的话
[07:05] 可能就不太好
[07:06] 所以其实老实讲
[07:07] 这个节目会到什么时间
[07:08] 我也不知道
[07:09] 就是有可能就是在某一個瞬間
[07:10] 即便可能我們的廣告
[07:11] Lead Time是已經排到明年的
[07:13] 但如果時間到的話
[07:14] 我也是會突然就跟我們的sponsor說
[07:16] 就差不多到這
[07:17] 然後大家拜拜
[07:18] 那時候應該也只有一個short notice
[07:20] 就跟大家說再見
[07:21] 反正總之我不知道哪個東西可以走到哪裡
[07:24] 這個是完全不知道
[07:24] 都是一個未知的一個狀態
[07:26] 那非常感謝在路途中
[07:27] 有這麼多人的陪伴
[07:29] 其實我們的眼睛都持續的往前跟往上看
[07:31] 就希望可以去做出更多的可能性
[07:34] 當然如果一個東西還是很好玩的話
[07:35] 可以持續的做下去
[07:36] 只会希望说
[07:37] 他时间可以越占越少
[07:39] 因为有太多事情要做
[07:40] 因为人只有活一世
[07:41] 所以在这边也是
[07:42] 对大家共勉之
[07:44] 希望我们可以找到
[07:45] 生命中有趣的事情
[07:46] 然后可以去探索
[07:47] 更多的未知跟
[07:48] 各种好玩的东西
[07:50] 这个前提是什么
[07:50] 前提是在
[07:51] 就是很轻松的一个状况之下
[07:52] 就是不要说什么
[07:53] 故意没苦硬吃
[07:55] 或者是要去
[07:55] 也已经觉得自己是
[07:57] 一把年纪了
[07:59] 有点筋骨了
[08:00] 虽然之前有用运动
[08:02] 去把它瞧回来
[08:02] 只是你不会想再去
[08:03] 这种冲烟冲难的
[08:05] 所以在一个舒服的状态之下
[08:07] 去做各种尝试
[08:08] 像我现在会去丢一些
[08:10] 各种小生意
[08:11] 或者去投资游戏
[08:12] 我觉得就是很适合
[08:13] 我的一个状态
[08:14] 那也希望大家在后面
[08:15] 是平安健康快乐
[08:16] 非常感谢大家
[08:17] 大概这样子
[08:18] 好那接下来就来进入
[08:19] 上场话题
[08:20] 那前面的感性的时间
[08:22] 完了之后呢
[08:22] 我们就进入我们的杀戮战场
[08:24] 我看到这个市场上
[08:25] 还蛮精彩的
[08:26] 可是体感上是觉得还好
[08:28] 就是虽然可能你看到
[08:29] 蛮大的一个跌点嘛
[08:31] 那当然可能礼拜一重摔
[08:32] 礼拜二又一堆东西又涨停
[08:34] 那禮拜三一堆東西新高
[08:36] 可是新高完之後又全部的壓回來
[08:38] 那我在盤中一看好像剩下大立光
[08:40] 就是說大家比較有共識的一些標的
[08:42] 剩下大立光還在那邊屌在那
[08:44] 可是其他一堆都往下灌嘛
[08:46] 那像國巨是直接漲停
[08:47] 還趁中午時間瞬間打開
[08:49] 然後就往下破
[08:50] 可是問題是他今天還是創新高
[08:52] 而且他還在五日線上
[08:53] 所以就好像有發生事情
[08:55] 可是又沒有發生事情的那一種感受
[08:57] 好像在上禮拜五
[08:59] 因為我們看到夜盤直接大爆炸
[09:00] 然後在禮拜一的時候
[09:01] 那時候說BRACE FOR IMPACT
[09:03] 然後就真的就大爆炸
[09:04] 那有蠻多東西可能出現跌停
[09:06] 或說沙撈爆掉的一個狀況
[09:07] 可是在禮拜二呢
[09:08] 又一堆東西又跑去漲停
[09:09] 就到底是啥想
[09:10] 然後在禮拜三
[09:11] 竟然要新高了
[09:12] 可是有很多東西在掉下來
[09:13] 但你如果去拉這三天來看的話
[09:16] 好像沒有發生什麼事情
[09:18] 就是你拉長看是沒有什麼事情的
[09:19] 可是你在當下確實都驚心動魄
[09:21] 然後發生什麼事情
[09:22] 像我禮拜一看到東西跌停
[09:23] 然後其實蠻多
[09:24] 因為處置股啊
[09:25] 就是以前你可能啊
[09:26] 東西型態跑掉了或什麼的
[09:28] 你比手術嘛
[09:29] 你稍微先砍一點出去或什麼的
[09:30] 可是问题是
[09:31] 像一堆堆观测所
[09:32] 所以也没有办法动
[09:32] 而且成本也真的就拉太远
[09:34] 所以还真的是蛮不在意
[09:35] 就是你看到
[09:36] OK那我要去运动了
[09:37] 然后礼拜二看到涨停
[09:39] 你也不会想加码
[09:39] 因为你也没有钱可以加码
[09:41] 因为像
[09:41] 你知道我那时候礼拜一的时候
[09:42] YJ跟我营业员讲
[09:43] 我就说
[09:44] 如果说这一波
[09:45] 有很多的什么融资
[09:47] 还是说指压被杀出来
[09:49] 你记得跟我讲
[09:50] 我要去把那个额度卡起来
[09:51] 因为我还有一堆额度可以用
[09:53] 还有一大堆
[09:54] 可是就是被锁死了
[09:56] 为什么
[09:56] 因为前面太多人在借钱了
[09:58] 所以都被借光
[10:00] 被杀爆之后
[10:01] 那我就可以把这个额度减走
[10:02] 然后结果没有想到
[10:03] 也没有额度放出来
[10:04] 就是完全还是在一个
[10:06] 被控管的状态之下
[10:07] 所以我就说
[10:08] 这一波修正的感觉
[10:09] 是很奇妙
[10:10] 就是确实是有蛮多东西
[10:11] 出现一些回荡
[10:12] 那自己的进职
[10:12] 当然也出现一些回荡
[10:13] 但就还好
[10:15] 就没有什么特别的感受
[10:16] 然后再搭配一下
[10:17] 去看市场上的一些事件
[10:19] 然后跟状态的话
[10:20] 会觉得应该就是一样
[10:22] 路途中的某一种修正
[10:23] 那当然修正会走长会走短
[10:25] 这个一定是没有人知道的
[10:27] 那反正总之
[10:28] 就是我们会等到修正稍微告一段落
[10:30] 本来以为说昨天有可能就是稍微告一段落
[10:32] 因为反弹是还蛮凶的
[10:34] 但如果再下来的话就希望说
[10:35] 那最好就再破一次底
[10:36] 最好把那个前地也都再破一次
[10:38] 然后就一堆人杀出来
[10:39] 就看到那种大量的肢解
[10:41] 那到时候能够立刻反弹走出去的族群
[10:44] 那可能就是我们想要去追踪的
[10:45] 因为单就礼拜三这个盘中来看的话
[10:48] 当然被动元件还是非常的强势
[10:50] 那光通的话就是全部都转弱
[10:52] 那TSMC我本来觉得有机会是下一波要领跑的
[10:55] 然后现在也是转弱
[10:56] 发哥也稍微都往下跳
[10:58] 所以还没有办法很明确去识别
[11:00] 本来自己心中猜想的
[11:02] 就是有些像是避风港
[11:03] 比较便宜的
[11:04] 像是一些常务类型的股票
[11:05] 也没有拉出去
[11:07] 所以现在还没有办法识别出来
[11:09] 可能要等到就是严谨为凭
[11:11] 就是我们看到
[11:11] 有一些族群走出去之后
[11:13] 我们就知道说
[11:13] 可能下一波资金会往哪个方向去靠
[11:15] 我们就稍微讲一下
[11:17] 市场中发生一些事件
[11:18] 首先台积电这个月营收
[11:20] 开起来是还蛮不错
[11:21] 然后CFO在
[11:22] 不知道是访问还是怎么样
[11:23] 反正我有看到一个报道
[11:24] 刚才反正收盘之后
[11:26] 就快速瞄到
[11:26] 就讲到说台积电有可能会涨价
[11:28] 只是我们不用那种几倍的方式去涨
[11:30] 那我觉得这个算是市场
[11:31] 大家会合理期待的
[11:33] 就台积电去做涨价
[11:34] 其实是非常合理的
[11:34] 你看那个记忆体长
[11:35] 全部涨到毛利七八十%
[11:37] 这样冲上去
[11:38] 那当然魏哲嘉在这个说法里面
[11:40] 有提到说
[11:41] 他不会用那种很暴力的涨价方式
[11:44] 因为这样去做生意是不持久的
[11:45] 他希望跟生意伙伴呢
[11:46] 是维持长期的关系
[11:48] 所以呢
[11:49] 可能一些合理的涨价
[11:50] 是有机会可以看到
[11:51] 那当然这就有机会去推升
[11:52] 后面的一些
[11:53] 不管是实质的
[11:54] 营收获利的数字
[11:56] 然后或者是说
[11:57] 在PE的估值方面
[11:58] 都还是有机会的
[11:59] 所以就是你在产业上
[12:01] 没有看到太多的败相
[12:02] 就是说开始有一些
[12:03] 那种坏消息
[12:04] 在修正的时候会丢出来
[12:05] 然后顺便吓一下大家
[12:06] 最近比较经典的就是
[12:08] Semi Analysis
[12:09] 就跑到了舞台的中央
[12:11] 因为它不只是一次
[12:13] Q了这个CPU
[12:14] 加可能800VDC之外
[12:16] 然后同时就是在
[12:18] 可能过往的
[12:19] 针对NVIDIA的
[12:21] VRubin的发言
[12:22] 有提到说
[12:22] 那個記憶體的數量會往下掉或什麼的
[12:24] 所以就導致全部被包起來
[12:26] 然後說變成這家公司突然間
[12:28] 像是一個大空頭的感覺
[12:29] 那我們就稍微的簡單來講一下
[12:31] 他們的說法然後跟市場上的一些反應
[12:34] 那我還是覺得就是在市場裡面其實要去講這種偏空方的東西要比較小心一點然後我自己跟Dylan是我們在那個X上面有簡單的聊過可是我嚴格上來說跟他不是認識如果是認識的話
[12:45] 我已經跟他說你要發送東西要稍微小心一點
[12:48] 因為前面才剛有一個AYZ
[12:50] AYZ發了東西然後踩到老鐵門
[12:52] 因為老鐵門買一大堆中繼續創
[12:55] 買一大堆中國的光通股
[12:57] 然後那時候就認為說AYZ講的一些東西
[12:59] 打擊到了這些光通股
[13:00] 其實嚴格上來說根本沒有什麼太大的關係
[13:03] 然後退一萬步來講
[13:05] 其實那時候中國的廣東股回檔根本就不多
[13:07] 可是就開始收到一些蠻嚴重的威脅
[13:10] 所以AYZ
[13:11] 當然我覺得絕大多數的聽眾一定不知道是誰
[13:13] 可是有在很認真搞投資的
[13:14] 或是投資業內人員一定知道說
[13:16] AYZ這個算是蠻佛心的某種那種訂閱平台
[13:20] 他也會幫大家解答很多問題
[13:22] 然後後來就是因為反正就是被恐嚇之類的
[13:25] 然後後來就收掉了
[13:26] 我想說Semi Analysis
[13:27] 在這個時間點搭配大回檔
[13:29] 在搭配他發的東西
[13:31] 即便他其實去講說
[13:33] 像NVIDIA的什麼記憶體少用什麼
[13:35] 那個並不是像標題下的這樣子
[13:38] 就你深度去了解會知道
[13:39] 那有蠻多的原因
[13:40] 其實有很多是跟供給是有關係的
[13:43] 好但不管
[13:44] 反正你只要在修正的時候
[13:45] 你去講這些東西
[13:46] 你就是有機會會被人家針對
[13:48] 所以雖然我們自己也是多軍
[13:50] 可是我們其實算是很溫柔的多軍
[13:51] 就是我們不會去
[13:53] 那個誰在放空
[13:53] 他講他什麼東西
[13:54] 然後媽去修理他
[13:55] 教訓他檢舉他什麼
[13:56] 我們比較不做這種事情
[13:57] 甚至有時候是看起來像假消息的東西
[14:00] 把我們的股價打下去
[14:02] 那我们反省的也会比较偏向是自己
[14:04] 就是有可能这个地方搞不好是涨多了
[14:06] 所以你看一些假消息也可以把它打下来
[14:09] 就是我们不会认为说
[14:09] 就是因为你害的
[14:10] 你讲了这个东西掉下去
[14:12] 但其实很多人会这样子认为
[14:14] 所以Semian S在市场上
[14:16] 确实也是有这样子的一个影响力
[14:19] 所以他们讲的一些内容
[14:21] 就是有机会会被放大
[14:22] 然后搞不好后面会被针对之类
[14:24] 但总之他们提的东西
[14:26] 其实还算蛮合理
[14:28] 就是市场中的一种意见
[14:29] 只是搭配这种回档来看的话
[14:31] 大家就会把它放到很大
[14:32] 那当然立刻就有一些回应
[14:34] 像他讲说可能CPU的东西会递演
[14:36] 那严格上来说
[14:38] CPU的东西本来就是投资圈的人
[14:40] 把它数字喊得比较高
[14:42] 那日期拉得比较前面一点
[14:44] 这个在我们的节目里
[14:45] 有跟大家聊到过
[14:46] 那我觉得很正常
[14:46] 就是一个东西在喷射的时候
[14:49] 那大家就会把它讲得非常的大
[14:51] 即便像可能前面CPU
[14:52] 我们自己也算是在第一波
[14:54] 就跟大家说
[14:55] 我们观察到这个趋势
[14:56] 可是当后来看到大家在讲说
[14:58] 什么CPU跟GPU
[14:59] 或者Async或1比1的时候
[15:00] 我们在节目讲的时候
[15:02] 应该不是这样子
[15:03] 但就是一个东西在炒作的时候
[15:04] 反正大家觉得把数字讲到超级无敌夸张
[15:08] 这个算是市场的某种
[15:10] 就是overshoot的一种现象
[15:12] 他们有点像说去call out这样子的一个说法
[15:16] 就是有可能没有像大家讲的这么快
[15:19] 但他的说法的用法
[15:21] 比较像是他不是针对说市场的一个论述
[15:24] 他甚至是直接介入到说
[15:25] 有可能这个NV公司的决议就是这样
[15:28] 我觉得这个是比较危险一点的
[15:29] 所以立刻就看到
[15:30] 应该是有一个韩国人
[15:32] 然后他也在substack上面
[15:33] 但这个source有没有
[15:35] 非常值得信赖
[15:36] 我不确定到
[15:37] 但是他有回应到说
[15:38] 他在computax上面
[15:38] 有去访问的
[15:39] NVIDIA一个在做
[15:40] 这种网通跟光通
[15:42] 连线相关的某一个主管
[15:44] 这个报道大家是找得到的
[15:45] 去找这个主管
[15:46] 那时候可能在computax的时候
[15:48] 问过这个问题
[15:49] 主管明明就是讲说
[15:50] 后面就是要开始shipment的
[15:52] 只是当然量的部分
[15:53] 可能没有像投资圈的人
[15:55] 去假设的那么大的一个量
[15:56] 可是你说这个东西会delay
[15:58] 然后会在后面会出现一些什么延宕
[16:01] 甚至是有机会出不来
[16:02] 那这应该是不会发生的事情
[16:03] 那就立刻去做一些回应
[16:06] 那一样就是像我们之前有跟大家聊到说
[16:08] 在市场上面
[16:09] 你要知道像这些大公司
[16:11] 他们会有两条路线在走
[16:13] 这个也是一些产业大哥提醒我之后
[16:15] 我后来才是非常深刻去了解这件事情
[16:17] 总之就是研发是会持续的
[16:20] 那我研发的东西走到哪里
[16:22] 那时候可能需要量产
[16:23] 那我就把我有的东西拿出来去做量产
[16:25] 那就算我可能到需要量产的时候
[16:28] 发现说的某一个技术
[16:29] 是没有办法做出来
[16:30] 它还没有成熟的话
[16:31] 那也不代表它就要去死了
[16:33] 它只是可能在下一代的时候
[16:35] 才会端出来
[16:35] 那可是如果你今天
[16:36] 是用投资的角度去看的话
[16:39] 就会变成说
[16:39] 好像这个东西是大miss
[16:41] 然后什么设计大更改或什么的
[16:42] 然后就会在市场上
[16:43] 造成一些兴风斜雨
[16:44] 可能一回荡就可能
[16:45] 三五十趴之类的
[16:47] 那这个都是蛮常见的
[16:48] 但是你说一个技术路线
[16:50] 然后或者说光通
[16:51] 或者说什么CPU相关的东西
[16:52] 是不是因为这样就要挂掉
[16:53] 我觉得不是
[16:54] 那其实像美股这边
[16:55] 你也注意到说
[16:56] 一些那种pluggable的东西一起杀掉
[16:58] 就理论上你说
[16:59] 可能CPU的东西会比较慢一点
[17:01] 会避炎或什么
[17:02] 那pluggable就代表可以再多旺几年
[17:04] 可是为什么连pluggable的东西
[17:05] 都一起掉下去了呢
[17:06] 所以我还是倾向认为说
[17:08] 反正就是现在是一个回档
[17:09] 那所有东西就会一起被丢下去
[17:12] 那可能杀比较重的
[17:14] 会是那些有搭配坏消息的
[17:15] 可是当你注意到说
[17:16] 明明一些是受惠的东西
[17:18] 它也一起下去的时候
[17:18] 那这时候你就要去明白说
[17:20] 有可能就是市场的一个整体回调
[17:22] 那只是有一些故事被搭配着丢出来
[17:25] 某个程度上
[17:26] 如果你是十多军的话
[17:27] 你就要把这个视为是洗筹码
[17:29] 去考验你的信仰
[17:31] 那你也知道一个多头的股票
[17:32] 就是走一走会休息
[17:34] 有时候甚至会出现那种
[17:35] 可能三十几趴大回荡
[17:36] 然后接着再继续走
[17:38] 其实这些记忆体
[17:38] 也是有这样子一个情形
[17:40] 所以你说产业的未来有没有改变
[17:42] 我觉得是没有
[17:42] 然后包含说像是800VDC
[17:44] 就是就算它可能是比想象中的
[17:47] 在慢个几个Q之类的
[17:49] 我觉得那没有什么太大的问题
[17:51] 反正大趋势就是往那个方向去做推进
[17:54] 所以该发生的事情
[17:55] 该用到的一些components
[17:57] 就还是会发生
[17:58] 只是搭配回档的时候
[17:59] 特别的印象深刻
[18:01] 所以会用这个角度去做观察
[18:04] 就是不会认为说
[18:05] 这是一个好像说要喊停
[18:07] 某些产业路线的文章
[18:09] 它并不是这样子
[18:10] 它用我的角度去解释的话
[18:12] 只是说我们更加的去聚焦
[18:14] 说时间点到底怎么样
[18:15] 所以就套一句
[18:16] 自己身边在做量化的一个朋友
[18:19] 他有提到一件事
[18:20] 他就说其实这一波这样子搞一搞
[18:22] 特别是其实杀下去
[18:24] 在过往可能蛮多时候
[18:25] 就立刻就上来
[18:25] 然后只是这次就杀下去之后
[18:27] 摊起来
[18:28] 然后又再继续的再杀
[18:29] 反复的这样去搞一搞之后
[18:31] 其实会注意到市场的偏好
[18:33] 跟资金的一种allocation
[18:35] 会开始去产生一些变化
[18:36] 为什么
[18:36] 因为过去可能就是反正
[18:38] 从差不多4月开始到5月的行情
[18:41] 大家都知道
[18:41] 你就是眼睛闭起来随便点
[18:43] 你最担心的是你额度不够而已
[18:45] 或者说你可以借钱的破额是不够大
[18:49] 不然真的是随便按都会赚钱
[18:50] 后面就会变成是
[18:52] 因为大家开始被吓到
[18:53] 有些东西回档的时候
[18:54] 可能是回很快
[18:55] 有些量没有的东西
[18:57] 甚至会直接去
[18:58] 像新贵就是大崩跌
[18:59] 或者是在贵买这边
[19:01] 假设有些东西关起来的
[19:03] 然后你再跌一停你想出
[19:04] 你是连出都出不掉的
[19:06] 所以就变成大家会更加的
[19:07] 去注意流动性方面的东西
[19:09] 所以自己的猜想
[19:11] 当然我觉得还是要等到
[19:12] 后面开始有一些反弹出现的时候
[19:13] 才可以很明确的去定义
[19:14] 但自己家的猜想是
[19:16] 应该后面资金会倾向去往一些
[19:19] 相对大型流动性好
[19:21] 同时又是有数字
[19:23] 什么叫有数字
[19:23] 但每家公司都有数字
[19:25] 只是有些公司的数字
[19:26] 是我要在三年之后才开得出来
[19:27] 有些公司的数字
[19:28] 是我在下个月就开得出来
[19:30] 有些公司的数字
[19:30] 是我早在几个月前就开了
[19:32] 可是没人喜欢
[19:33] 那些低估值的东西
[19:35] 有可能就是
[19:36] 如果大家真的被吓到的话
[19:37] 会往这些方向去跑
[19:39] 那这些地方
[19:40] 某个程度上会变成是一种避风港
[19:41] 或甚至是变成
[19:42] 下一波多头的一个领头羊
[19:44] 那等到大家的信心都回来
[19:46] 那一般信心回来什么时候
[19:47] 就是你看到这个指数
[19:48] 又要再一次的创新高的时候
[19:50] 然后大家又会再一次的冲进去
[19:51] 那些比较偏向是梦想的东西
[19:53] 就是现在你没有办法
[19:55] 算出数字的东西
[19:56] 其实泛光类的
[19:58] 就是蛮多都是这样子的东西
[19:59] 所以我觉得
[20:00] 资金会这样子去跑
[20:01] 那过程中所发生的一些事情
[20:03] 反正你要知道说
[20:05] 在下跌的时候
