[00:00] 歡迎收聽谷外,我是星夢宮,本期節目由NordVPN贊助
[03:08] 很多家長就崩潰
[03:09] 就要去攔他
[03:10] 不給他弄
[03:11] 他提醒你一下
[03:12] 因為那一顆蛋就是40 cents
[03:14] 就是一個便宜的東西
[03:15] 可是對小朋友來講
[03:16] 他抓到這個蛋
[03:17] 這個蛋它同時可以是硬的
[03:20] 可是它同時也很脆弱
[03:21] 你一放手它就會破掉
[03:23] 甚至你還可以機會教育他一下
[03:25] 你看它破掉
[03:25] 它是透明的
[03:26] 透明的東西
[03:27] 你把它放到加熱的板子上面去
[03:29] 你看它就會慢慢的變白
[03:31] 它就變成是可以吃的東西
[03:32] 他說這個對於小朋友的腦袋發展
[03:34] 是非常好的
[03:34] 所以當我瞭解到這個之後
[03:36] 我就會開始去允許
[03:37] 當然是在我們自己的控制範圍內
[03:39] 你不要說怎麼在餐廳裡面
[03:40] 讓你的小朋友亂丟東西
[03:41] 只因為你想要他探索
[03:42] 就我會覺得說
[03:43] 反正在我們自己的Villa裡面
[03:45] 我們自己的空間
[03:45] 你要怎麼樣亂丟東西
[03:47] 把水果放在地上什麼
[03:49] 那個是我們要吃的
[03:50] 沒關係 就給你弄
[03:51] 反正最後面你不吃
[03:52] 我就給猴子吃
[03:53] 所以我就讓他去做各種探索
[03:56] 不知道是不是因為這邊的整個環境
[03:58] 很chill之類的
[03:58] 它的奶量跟食量都變很大
[04:01] 所以對於生父來講就覺得異常的欣慰
[04:03] 覺得說來對地方了真好
[04:06] 那這次是來住那個Bogari
[04:08] 我也不知道是怎麼念
[04:09] Bogari Bogari
[04:10] 反正那種精品
[04:11] 不是有一堆人都會教你說
[04:12] 怎麼樣正確念嗎
[04:13] 我不會念因為我真的不熟
[04:14] 那寶格麗的這個Villa
[04:16] 是第一次來體驗看看
[04:18] 因為聽說這邊好像是什麼
[04:20] 反正就在南海岸這邊
[04:22] 最頂的住宿之一
[04:23] 我想說到底有多頂
[04:24] 每次看到人家在那邊尬吹
[04:26] 說什麼某個東西多屌
[04:27] 我想去看一下到底有多屌
[04:29] 那很多時候我去看的時候
[04:30] 我都覺得說
[04:31] 其實沒有這麼屌
[04:32] 就是有些人他去完之後
[04:33] 他就把它吹了
[04:34] 那很誇張
[04:35] 是怎樣沒有看過是啥
[04:36] 那在我的感受就覺得說
[04:38] 它有點像是說
[04:39] 兩到三倍消費的Four Seasons
[04:41] 就是說在開銷上面
[04:42] 你是很有感的感覺
[04:44] 這邊真的是很貴
[04:45] 那可是除此之外
[04:46] 你可以獲得的服務
[04:47] 我感覺是差不多的
[04:48] 雖然它還是有一些
[04:50] 蠻特別的地方
[04:51] 就像說寶格麗的團隊
[04:53] 他們會在你出飛機的時候
[04:54] 就開始接你
[04:55] 我覺得這蠻誇張
[04:56] 就一般接你
[04:57] 可能是等到你出了移民
[04:59] 跟海關之後
[05:00] 然後他在外面舉牌
[05:01] 然後接著可能
[05:02] 護送你上車之類的
[05:03] 可是在這裡
[05:04] 他是在你出機門
[05:06] 你就突然間看到
[05:06] 奇怪你們怎麼可以在這邊舉牌
[05:08] 說你是Bogari的
[05:09] 然後就把我們帶走
[05:10] 接著就幫你去做
[05:13] 包含像是路徑的各種申報表格
[05:15] 問你說你有沒有填EV
[05:16] 我說我們什麼都沒有就來
[05:17] 他說好沒關係
[05:18] 我們全部都幫你弄
[05:19] 就兩個小姐姐帶你跑大地遊戲
[05:22] 跑完之後送你到車上
[05:24] 所以我覺得就是可能在服務上面
[05:26] 又再做到更細膩一點
[05:27] 但這個細膩程度
[05:29] 是不是每個人都需要的
[05:30] 我倒覺得不是
[05:31] 就反正你可能花比較多錢
[05:33] 所以他就是又在額外的更加照顧你
[05:36] 那再來呢
[05:37] 在整個飯店裡面的其他東西
[05:39] 我感覺都差不多了
[05:40] 就是那種住宿啊
[05:42] 或者說吃的東西
[05:43] 那或者說什麼游泳池整體體驗
[05:45] 我覺得都是跟
[05:46] 就是你差不多在八月島花到兩三萬以上
[05:49] 都是差不多的一個體驗
[05:50] 當然這次的海我覺得是更漂亮了
[05:52] 可能是在南面
[05:53] 那在北面的話
[05:54] 你還是會看到人
[05:55] 就是你可能一望過去
[05:57] 你還是會注意到說
[05:58] 有些沙灘上看得到人或什麼
[05:59] 那這個南面呢
[06:00] 因為他是在懸崖上面
[06:01] 所以基本上你是完全看不到人的
[06:04] 然後在度假村裡面也是看不到人的
[06:05] 所以我覺得可能某個程度上
[06:07] 就是你去付這些premium
[06:09] 就是跟其他的飯店比起來
[06:11] 可能相對貴一點
[06:11] 你是去買一個寧靜
[06:13] 就是你用錢
[06:14] 用新臺幣的力量
[06:15] 可能就塞掉了一些人
[06:17] 所以就會發現說
[06:18] 你在這邊走來走去
[06:19] 有時候一整天你是看不到人的
[06:21] 即便你在check in
[06:21] 你是知道所有人
[06:22] 可是他可能就是
[06:23] 把那個密度又降到更低
[06:25] 因為他全部都是villa
[06:26] 他沒有像是
[06:27] 有些會有飯店的形式
[06:29] 他就是全部都是villa
[06:30] 所以一整天下來
[06:32] 有時候你去那種
[06:33] 什麼公共泳池之類的
[06:34] 你都是看不到人的狀態
[06:35] 我覺得這可能蠻厲害
[06:36] 但有可能是他要倒了
[06:38] 有可能是他生意不好之類的
[06:39] 但至少就我之前的體驗
[06:42] 一些巴雷島
[06:42] 可能一個晚上兩三萬
[06:44] 三四萬
[06:44] 或甚至到五萬的
[06:45] 你大概是會看到很多人
[06:47] 過十幾萬以上的門檻中
[06:49] 真的就是人是有感的變少
[06:51] 所以你如果是想要花錢
[06:53] 去買一個寧靜的話
[06:54] 那可能可以推薦
[06:55] 可是如果說
[06:56] 你只是想要去度假
[06:58] 感受一下那種南島的氛圍
[07:00] 看一下漂亮的海柱
[07:01] 那種很舒服的泳池的Villa
[07:03] 那我個人是覺得說
[07:05] 其實不用花到這麼貴
[07:06] 你就已經有差不多的一個體驗
[07:08] 至少我們在巴雷島
[07:09] 是已經跑過蠻多的resort跟Villa
[07:11] 感覺是這樣子
[07:12] 那另外一個令我印象非常深刻
[07:14] 是這邊有保姆的服務
[07:15] 雖然其他地方我相信應該也是有
[07:17] 那只是我們這次是
[07:18] 額外有想到說可能需要保姆
[07:20] 所以就稍微的問了一下
[07:21] 那他們的保姆呢
[07:23] 是用那種外包的形式
[07:25] 所以我在想說
[07:25] 可能是因為外包
[07:26] 他們有去做抽成
[07:28] 所以保姆是唯一一個
[07:29] 我們感受到東南亞物價的地方
[07:31] 因為其他東西你就覺得說
[07:32] 哇靠這個真的是貴
[07:33] 就真的是非常貴
[07:34] 因為可能是在度假村裡面
[07:37] 然後老婆看了一下
[07:38] 她還敲計算機
[07:38] 我跟她說這個要點
[07:39] 我告訴她都不要想那麼多
[07:40] 就點就對了
[07:41] 因為我老婆有時候
[07:42] 她真的是在金錢上面
[07:44] 是比我還要再更加節儉的人
[07:46] 她很多時候就覺得說
[07:47] 這麼貴我別的地方都可以吃到便宜
[07:49] 對我就怎麼樣
[07:49] 我說那是不一樣的概念
[07:51] 就像牛排你在外面吃
[07:53] 你也可以說買一塊肉回家自己煎
[07:55] 你的肉還比它好
[07:56] 很多人都會這樣去嘴炮
[07:57] 可是你就是來體驗的
[07:59] 你不要去享有的沒的
[08:00] 很多時候都要跟他溝通這個概念
[08:01] 你是在買氣氛的
[08:03] 你是在買服務的
[08:04] 你不是說什麼
[08:04] 都是用那種原料去比較
[08:06] 那沒有意義
[08:06] 那媽我每天帶你吃大補鐵板燒不就好了
[08:09] 所以後來他就是有被我說服
[08:12] 那就盡力有去體驗
[08:13] 像保姆的物價就是
[08:15] 一整天下來
[08:17] 好像從早上9點到晚上的7點
[08:20] 我自己有才付了大概80幾萬的一泥盾
[08:22] 換算臺幣就是就1000多塊
[08:24] 就幹超級便宜
[08:26] 這真的就是東南亞的物價
[08:27] 而且這個物價搞不好對他們來講
[08:29] 已經是他有在加錢給我們了
[08:31] 只是跟飯店的其他東西比起來就
[08:33] 哇真的是太便宜了
[08:34] 如果可以的話好想把你帶回家
[08:36] 反正就是這個保姆Rika
[08:38] 把我的孩子照顧得非常好
[08:40] 那一開始呢
[08:41] 小安哥看到他一直哭
[08:42] 可能就是不認識的人吧
[08:44] 不熟
[08:44] 然後就一直哭
[08:45] 然後我本來以為說
[08:46] 他可能會稍微的看我一下
[08:47] 因為蠻多保姆
[08:48] 其實帶到我的小兒子都會有點嚇到
[08:50] 說這個小朋友
[08:51] 感覺是那種高需求寶寶
[08:52] 感覺是比較難帶
[08:53] 可能會稍微看一下你眼神
[08:55] 確認一下說
[08:55] 他這樣是正常的嗎
[08:56] 可是Rika就是非常的躁
[08:58] 然後從頭到尾就是
[08:59] 把這個小朋友
[09:01] 即便他哭
[09:01] 他就帶他去走來走去
[09:02] 看一看有什麼這樣
[09:03] 然後隔天就變成是好朋友了
[09:05] 就是我兒子還會找他之類的
[09:06] 所以我覺得
[09:06] 真的是有那種
[09:07] 有感的舒服放假的一個味道在
[09:11] 除此之外
[09:12] 我覺得就是在整個
[09:14] Resort跟Villa裡面的體驗
[09:16] 都是跟其他地方差不多
[09:18] 也就是說
[09:18] 你除非是想要花錢買一個寧靜
[09:20] 不然其實不一定要去在巴雷島
[09:23] 然後一直去往那種很貴的方向去住
[09:25] 對我們來講
[09:25] 我們只是想說
[09:26] 我們平常都是跑北面
[09:28] 西面
[09:28] 南面
[09:29] 之後可能就去
[09:30] 找看看東面
[09:32] 我看東面有一個阿曼
[09:33] 可能也會想要去看看
[09:34] 到時候再跟大家分享
[09:36] 這個地方一樣
[09:37] 是有那種四手聯談
[09:38] 四手聯談價格
[09:39] 也就是比Four Seasons貴
[09:40] 所以我就說
[09:40] 它基本上就是一個
[09:41] Multiple上去的Four Seasons
[09:43] 但是服務的品質
[09:45] 你不會有感的覺得Multiple
[09:46] 因為他們都做得很好了
[09:47] 所以網上的編輯效應是遞減的
[09:50] 可是你會有感的
[09:51] 你花出去的錢變多
[09:52] 但反正就是這樣
[09:53] 就是度假
[09:54] 帶小朋友出來
[09:54] 只要大家身體健康
[09:55] 好像就覺得
[09:56] 反正其他的什麼
[09:57] 有的沒有的
[09:57] 都不是什麼大不了的事情
[09:58] 只要他們開心就好
[09:59] 那在這邊呢
[10:00] 也先跟大家拜一個早年
[10:02] 雖然現在是不是早年
[10:03] 我也不太確定
[10:04] 2月14號
[10:05] 情人節
[10:05] 今天祝大家情人節快樂
[10:07] 我又忘記準備情人節的東西
[10:09] 待會請他們幫我準備一下
[10:11] 昨天是我老婆生日
[10:11] 生日我就有記得
[10:12] 我請他們幫我準備一下蛋糕
[10:14] 所以老婆看起來是蠻開心的
[10:16] 那今天是情人節
[10:17] 那再來下禮拜要過年
[10:18] 希望大家
[10:19] 在新的一年
[10:21] 雖然馬是一個
[10:21] 感覺蠻過動的生物
[10:23] 可是我很多時候
[10:24] 都真的這樣覺得
[10:24] 因為像我現在去旅遊
[10:25] 都是很喜歡去走
[10:27] 那種很chill的一個行程
[10:28] 就是以前可能是那種
[10:29] 急行軍
[10:30] 每個地方看一看
[10:30] 拍照上車
[10:32] 現在就會變成說
[10:33] 我喜歡找一個地方
[10:34] 就待在那裡
[10:34] 因為我發現說
[10:35] 這才是真正的放鬆
[10:36] 所以放鬆之後
[10:37] 你的腦筋
[10:38] 真的會變得更加清楚
[10:39] 在判斷上
[10:40] 也會下得更好
[10:41] 雖然馬是一個過動的生物
[10:42] 感覺他整天跑來跑去
[10:44] 但希望大家可以
[10:45] 在奔騰之餘
[10:46] 同時也可以
[10:47] 讓自己的心情放鬆
[10:48] 然後去做出
[10:49] 更多更好的決定
[10:50] 即便這個開年
[10:51] 現在是非常兩極化的一個感覺
[10:54] 至少以我們自己的工作來講
[10:55] 在臺股的表現
[10:57] 極好
[10:57] 是好到很誇張那種
[10:58] 就是跟去年比的話
[11:00] 已經快要做到去年的績效了
[11:03] 非常恐怖
[11:03] 現在才一個月
[11:05] 才一個多月就這樣
[11:06] 可是美股的話
[11:07] 完全待在水下
[11:09] 已經是在疊一個
[11:10] 自己有點看不懂
[11:11] 想說你們到底在幹嘛
[11:12] 像前幾天就在疊軟體
[11:14] 然後現在疊什麼卡車司機
[11:16] 就只因為說什麼
[11:17] AI可能可以去最佳化路線或什麼
[11:19] 即便我們知道是fucking bullshit
[11:21] 就已經是正式給大家看了
[11:23] 很多時候AI的一些那種buzzwords
[11:25] 真的是喊得太高
[11:26] 你等到驗證的時候
[11:27] 發現說他什麼小都沒有
[11:28] 可是被他嚇到殺下去的東西
[11:30] 可能就就此躺在地上
[11:31] 所以現在就是AI到處在各地殺標的
[11:35] 以前大家都還不相信AI
[11:36] 這以前也沒有多久以前
[11:37] 可能半年前大家講說
[11:38] AI都沒有落地
[11:39] 不知道怎麼用
[11:40] 然後現在大家突然間過動
[11:42] 什麼AI到處要殺人
[11:44] 然後每個地方都亂殺東西
[11:45] 但我覺得都是找一個理由去亂殺
[11:47] 可是至少自己的體感上
[11:49] 在美股這邊是不太舒服
[11:51] 有稍微的跑到水上一下下
[11:53] 真的就一下下
[11:54] 然後接著又再一次掉到水下面
[11:56] 然後越掉越深
[11:57] 希望大家在今年
[11:58] 投資表現也都可以不錯
[12:00] 因為其他的工作表現是我不熟
[12:02] 那種投資表現
[12:03] 我還可以陪大家一起度過的
[12:05] 這裡面稍微的祝福一下大家
[12:07] 大概這樣
[12:07] 好 接下來我們來進入上話題
[12:09] 首先先跟大家聊一下
[12:10] Applied Materials 印財
[12:11] 印財的財報數字
[12:13] 在營收方面
[12:14] 跟去年的同期相較
[12:16] 年增率是微幅下滑
[12:18] 可是我們跟大家聊過很多次
[12:19] 財報最重要的絕對不是看上一個Q發生什麼事情即便這個可能違反很多人的直覺財報不就是看過去一季發生什麼事嗎很多人說看財報做股票不就在做這件事情沒有其實財報最重要的東西是guidance
[12:31] 也就是所謂的業績指引
[12:33] 就是它未來是怎麼樣
[12:34] 其實是比過去更加重要
[12:36] 過去只能夠算成是一種驗證
[12:38] 就像說你現在看未來
[12:40] 接著你等到一兩個Q之後
[12:41] 你再看它的財報
[12:42] 去驗證說當時你的投資對不對
[12:44] 可是如果你要做投資
[12:46] 要靠投資賺錢的話
[12:47] 其實你還是要看展望是比較重要的
[12:50] 這也是反映在其實蠻多人在做股票投資
[12:52] 會有一個失誤
[12:53] 是他們會拿可能過去的幾季的EPS
[12:57] 然後來算說他現在PE好高
[12:59] 這個其實到現在你看一些甚至是那種
[13:02] 怎麼說蠻多追蹤的可能分析師
[13:05] 或是一些粉專都還在講這件事情
[13:07] 可是這其實是一個超級錯誤的事
[13:08] 因為如果你用這樣的一個方式
[13:10] 你根本抓不到市場的一些主流標股
[13:12] 你絕對抓不到
[13:13] 因為那些那種主流標股
[13:14] 那瞬間噴上去的
[13:15] 他都是在噴未來的股市
[13:16] 所以你用過去算
[13:17] 你怎麼算都會覺得很貴
[13:19] 所以你永遠都買不下手
[13:20] 很多時候你想說
[13:21] 為什麼我手上都沒有那些
[13:22] 可能報酬率極好的東西
[13:23] 因為你總是用過去在看未來
[13:25] 這是錯的
[13:26] 所以投資不可以看後朝進
[13:27] 你要看的是未來的業績展望
[13:29] 那當然未來的業績展望
[13:30] 它就有賭個成分
[13:31] 因為過去的東西是成績
[13:32] 白紙黑字寫下來的
[13:34] 那未來的是大家的想象
[13:36] 那所以其實就是拼說
[13:37] 誰想象的比較準
[13:38] 或者說他可以猜到別人的預期
[13:40] 這是非常重要的一件事情
[13:41] 那他的獲利跟展望
[13:43] 整體是大幅的超越市場的一個預期
[13:46] 稍微有點到一些重點
[13:47] 我們簡單的跟大家帶一下
[13:49] 因為它其實會影響到產業上的其他公司
[13:52] 首先提到說HBM的疊加效應
[13:54] 就是說它追求的不只是數量的增加
[13:57] 同時厚度也會增加
[13:59] 厚度增加
[14:00] 換句話說它材料從12層到20層
[14:02] 這個對硬材來講就是一個非常大的利多
[14:04] 因為它會需要更多的材料成績
[14:06] 然後跟化學機械平坦化CMP的製成
[14:09] 所以這些東西本身是硬材的一個專業專案
[14:12] 所以對它來講
[14:13] 除了大家去算
[14:14] 它的HPN到底賣了幾顆之外
[14:16] 你要考慮說
[14:17] 因為它的那個層數的增加
[14:18] 或者說代數的一個迭代
[14:21] 這個對他來講都是一個受惠
[14:22] 這是公司的第一個受惠點
[14:24] 那再來就是在檢測方面
[14:25] 人場發射CFE電子樹
[14:27] 這也算是硬材的
[14:29] 在檢驗方面
[14:30] 可能是居於壟斷地位的一個專案
[14:32] 那這個專案的提升
[14:33] 對他們也會有持續的貢獻
[14:35] 以及Glass Subtrace
[14:36] Glass Subtrace就是玻璃基板
[14:38] 那這個我們在
[14:39] Intel的封裝的時候
[14:40] 大概跟大家聊一下
[14:41] 這個是Intel可能
[14:42] 非常強大的一個環節
[14:44] 那在後面可能隨著Intel的封裝
[14:47] 持續的在市場上面曝光
[14:48] 可能大家有一句注意相關的題材
[14:50] 那再來最重要的一點是他們提到說
[14:52] 其實那個營收都還是有受到一定程度的壓抑
[14:55] 最主要是為什麼
[14:55] 因為現在市場最卡的東西就是無誠摯
[14:58] Clean Room
[14:59] 那這個其實也跟我們之前跟大家所分析的內容是契合的
[15:03] 只是那時候比較可惜
[15:04] 就是因為臺積電開了一個CAPEX
[15:05] 那這個CAPEX數字是極高
[15:08] 我本來也是以為說
[15:09] 臺股的裝置跟產物要直接噴出去
[15:11] 那算是跌破大家眼鏡
[15:12] 因為至少我們身邊蠻多專職投資人都認為說
[15:15] 那應該是一個很好的驅動
[15:17] 只是就從那個地方開始出貨
[15:19] 所以有時候市場就是這樣會超乎你的想象
[15:21] 那只是在這一份的印財數字
[15:23] 你就可以確認當時的判斷其實是正確的
[15:26] 也就是無城市就是現在市場的一個bottleneck
[15:28] 那當今天無城市可以順利的去加速建制
[15:32] 那才會有更多的裝置跟產物的東西可以去進場
[15:35] 所以就代表說今天無城市可以蓋得更快
[15:38] 那大家的營收可以進來的更快
[15:40] 那烏城市的廠商
[15:41] 因為目前是非常的緊繃的狀態
[15:43] 所以有可能他們在之後
[15:45] 也是有機會可以在價格上面
[15:46] 去做一些調動
[15:48] 所以整體來看
[15:49] 算是確認了這樣的一個趨勢
[15:51] 那我就當時是跟大家分享說
[15:53] 我們有觀察到這樣的一個情形
[15:54] 然後現在等於是在硬財的財報裡面
[15:56] 告訴你答案
[15:56] 就像是在meco的財報裡面
[15:58] 告訴大家答案一樣
[15:59] 那等到看到答案之後呢
[16:01] 我覺得市場的想法
[16:01] 有機會就會改變
[16:02] 所以是我的話就會觀察一下
[16:04] 接下來的這個烏城市的標的
[16:06] 會不會開始打底
[16:07] 因為前面你真的不知道他在底什麼
[16:08] 老實講我真的是看不懂
[16:09] 有可能是前面漲多
[16:10] 因為漲多的時候就會跌
[16:11] 類似說美股的一些巨頭
[16:13] 像是Google也是出現一些回檔
[16:15] 像說Google這麼好
[16:16] 為什麼回檔
[16:16] 因為股票本來就上上下下
[16:17] 就有時候就會跌
[16:18] 所以目前整體來看
[16:20] 覺得硬材的數字極好
[16:21] 然後同時也幫大家開了很多的路線
[16:24] 包含說像是HBM的一個材料提升
[16:26] 檢測的新的應用
[16:28] 或者是在無程式的方面
[16:31] 如果可以變得更加的順暢的話
[16:33] 整個裝置跟產物相關的東西
[16:36] 他們的營收都會在更進一步的往上拉
[16:38] 所以是確認了這樣的一個趨勢
[16:40] 對我來講就是去
[16:41] 找尋一個見招猜招的機會
[16:44] 因為有時候是這樣
[16:44] 就是一些動能的東西跳上去
[16:46] 我們可能是直接追
[16:46] 追了之後發現說
[16:48] 它可能動得不太好
[16:50] 或者說開始回擋
[16:50] 一般這種時候
[16:51] 我們也不一定會急著下去截刀
[16:53] 我們等你說
[16:53] 開始去踩到一些重要的均線
[16:55] 或者說已經可能數日數週
[16:57] 沒有再破底
[16:58] 或者說甚至是直接拉一個破底翻出來
[17:00] 我們會再去做新一波的介入
[17:02] 等於我們現在在基本面這邊
[17:03] 是已經看到這樣的一個資訊
[17:05] 所以在股價方面就是去找
[17:06] 可能比較好的一個技術面
[17:08] 會再考慮去做切入
[17:09] 可是我覺得以下的市場的環境來講
[17:12] 其實以臺股來說
[17:13] 太多東西可以做
[17:14] 所以不一定會選這個題材
[17:15] 只是本來這個題材
[17:16] 在臺積電法說之後
[17:18] 看到那個股價反應
[17:18] 我已經把它刪掉了
[17:19] 可是我現在就覺得說
[17:20] 我可以把它放回來觀察
[17:22] 然後再稍微看一下後續的表現
[17:24] 因為產業方面是對的
[17:25] 那這邊還是要強調一下
[17:26] 就是這個產業方面的一些分析
[17:28] 有時候會跟股價感覺是脫鉤
[17:30] 就像我們在2022年
[17:31] 老聽眾都知道
[17:32] 現在聽眾一定不敢相信
[17:34] 臺積電下到1900
[17:35] 你知道那時候臺積電三四百塊的時候
[17:37] 你講臺積電是一個好公司
[17:38] 你會被罵
[17:39] 你會在討論區被人家臭爆
[17:40] 說你根本不懂股票或什麼的
[17:42] 最後發現說
[17:43] 其實不懂股票是那些人
[17:45] 可是很多人都是看股價做事情
[17:47] 股價不好的時候就說他不好
[17:48] 股價好的時候就說他好
[17:49] 我們其實是儘量避免這樣的事情
[17:51] 我們會在可能股價不好的時候
[17:53] 我們還是會去講一家公司
[17:54] 到底實際上他好不好
[17:55] 或者他展望是怎麼樣
[17:56] 因為我們是很相信一個概念
[17:58] 就是說出事情的都不是你的公司
[18:00] 出事情的幾乎都是你的成本
[18:02] 也就是說你感覺說這個公司是爛公司
[18:04] 是因為你可能套很高
[18:05] 你賠很多錢
[18:06] 但這個是自己要去改善的
[18:08] 而不是去可能去隨便的抹黑一家公司
[18:11] 是什麼垃圾公司
[18:12] 因為人家的業績可能真的很好
[18:13] 只是說你要去找到一個更好的介入機會
[18:15] 然後這也是我們想要努力的一個方向
[18:17] 那最近在市場上面其實有很多討論
[18:19] 我們先稍微講一下Pantheon
[18:20] 因為Pantheon是Michael Burry
[18:22] 他有發了一個就類似做空報告的東西
[18:25] 他蠻好笑
[18:26] 他有去開substack
[18:27] 反正就是一個付費訂閱
[18:28] 然後開始在那邊寫一些報告
[18:30] 那我只能夠說
[18:30] 我們之前蠻常跟大家聊到Michael Burry
[18:33] 因為他有一些判斷跟觀念
[18:35] 我是覺得挺好的
[18:36] 可是後來大家應該有注意到
[18:37] 在最近的幾年
[18:38] 我在聊到他的時候
[18:39] 我是有點那種調侃他的成分在
[18:41] 因為我就覺得
[18:42] 當然他曾經是被拍成電影的一個市場大鱷
[18:45] 他只是在現在的觀察之下
[18:48] 首先你先看他的AUM
[18:49] 他的錢其實不多
[18:50] 他的錢其實甚至比我的一些市場
[18:52] 我叫大哥的人還要少
[18:54] 就是你就可以想象說
[18:55] 靠北
[18:56] 這個人他都可以拍電影
[18:58] 那是不是我的那些市場大哥朋友們
[18:59] 他們全部都可以拍電影的
[19:01] 就是他的AUM真的是不多
[19:03] 那再來就是
[19:03] 他除了在刺激房貸那邊
[19:06] 非常準的一個call
[19:07] 雖然他可能時間沒有抓
