[00:00] 欢迎收听谷爱,我是孟公,本集节目由台扎苦火星生技赞助
[02:01] 躺在沙发上
[02:02] 然后指着电视上的超级名模说
[02:04] 他的肚子太大
[02:05] 就他妈你先看看自己好不好
[02:06] 就最近真的太多
[02:07] 这种他妈怪小跑出来
[02:09] 那再来也有一些地方的朋友
[02:11] 会跟我分享说
[02:12] 因为我自己本身是
[02:13] 像Frez的话
[02:14] 我就偶尔可能人家叫我
[02:15] 看什么东西我才会下载
[02:16] 因为我觉得这个平台
[02:17] 他的资讯量有点太杂
[02:19] 而且是怎么讲
[02:20] 就整天会有失智的情形产生
[02:22] 所以我不想要让自己的脑袋
[02:23] 去放这样子的东西
[02:24] 那就是偶尔人家Q到
[02:25] 我可能上来看一下
[02:26] 平常我删掉
[02:27] 那就有朋友会跟我讲说什么
[02:28] 像最近上面有蛮多人会去讲说
[02:30] 孟公说什么
[02:31] 那里面讲孟公说
[02:33] 或说古埃说的
[02:34] 有很多他根本就是讲错
[02:35] 他有丢一些案例给我看
[02:36] 就是我觉得是这样子
[02:38] 就是大家想要去推某个东西
[02:40] 但是他不敢自己推
[02:41] 他就要讲说是孟公推的
[02:42] 即便我可能只是带过聊过
[02:44] 他就说是我在推这个东西
[02:45] 那还有更夸张的是
[02:47] 会在一些小的群组里面讲说
[02:49] 什么他直接认识我
[02:50] 然后我再跟他推标的
[02:51] 我先讲一个
[02:52] 虽然这样讲
[02:53] 可能有点秋又炸小
[02:54] 但是我跟这些人
[02:55] 是他妈不同世界的人
[02:56] 我们没有必要去
[02:57] 这样子推标的
[02:58] 我们真的去买一个东西的时候
[03:00] 以现在自己的规模来讲
[03:01] 我点一点他就去涨停了
[03:03] 所以我根本不需要
[03:04] 去找他妈一堆废物
[03:05] 然后说什么
[03:06] 可以买这个东西
[03:07] 大家一起上来推
[03:08] 就是这个是不同世界的对话
[03:10] 那当然信不信与否随便
[03:11] 因为其实像
[03:12] 现在要去攻击我的
[03:14] 我觉得越来越少
[03:14] 可是以前会看到
[03:16] 就是可能他们有些人
[03:17] 会去嘴说
[03:17] 你看这个家伙
[03:18] 都是在靠业配
[03:19] 那我先就在嘴说
[03:20] 你看这个家伙
[03:21] 都在收割他的听众
[03:22] 然后去抓我的分点
[03:23] 反正大家都知道那几个
[03:25] 但你想我也不是白痴
[03:26] 我知道你们会看
[03:27] 我怎么可能
[03:27] 整天用同样一个分点
[03:29] 反正就会想说
[03:30] 你看我把前面的股票
[03:31] 这样推上去
[03:32] 然后后来在那边出货
[03:33] 一出就是一两千张
[03:34] 我有在想说
[03:35] 你们要不要先去吵架一下
[03:36] 你们先决定一下
[03:37] 要呛我的话
[03:38] 你到底是要呛说
[03:39] 第一个我是完全都没钱
[03:40] 都是靠业配收入
[03:41] 还是第二个
[03:42] 我其实是市场大鳄
[03:43] 然后再收割大家
[03:44] 因为这两个东西
[03:45] 它是不能够同时存在的
[03:47] 好不好
[03:47] 所以我自己的定位是这样
[03:49] 就是我觉得
[03:50] 我们都是在搞自己的东西
[03:51] 甚至是
[03:52] 因为我自己家身边的听众
[03:54] 蛮多就是像是我自己的营业员
[03:56] 或者是说市场里面的
[03:57] 其他的大户或什么的
[03:58] 所以基本上如果说
[04:00] 真的是有在做一些猥琐的事情
[04:01] 那个是盖不住的
[04:02] 所以像我自己非常讲究的一点是
[04:05] 我自己在买的一些
[04:06] 可能市值是大概百亿左右的东西
[04:09] 我就不会在节目里面去讲它
[04:11] 因为我知道这种东西
[04:12] 就是你讲了
[04:12] 就會直接影響到市場什麼
[04:14] 那你媽的
[04:14] 你有種就說我去影響台積電
[04:16] 或是鴻海或是廣達
[04:17] 或是那些美股的東西
[04:18] 我沒查那個甚至是一種肯定
[04:20] 就好像可以撼動這些東西
[04:22] 但中小我自己有去閃
[04:23] 所以我們絕對不會想要去拱
[04:25] 任何人上車
[04:26] 或是說什麼
[04:27] 我認識孟公
[04:28] 我認識古萊
[04:28] 他在推什麼東西
[04:29] 那個一定都是這個人在耍智障
[04:31] 所以千萬不要去相信這種來路不明的東西
[04:34] 或甚至像之前是更low那種詐騙的
[04:36] 然後說什麼我要去交你股票
[04:38] 我沒有空去交你股票
[04:40] 收你幾百塊
[04:41] 你甚至你給我100萬我都不教你
[04:43] 人家找我去什麼演講
[04:44] 你要給我三五十萬我都不出門的
[04:47] 所以講這個並不是要去說
[04:48] 自己膨脹什麼
[04:49] 我只是覺得有時候很好笑
[04:51] 就是蠻多在傳東西的人
[04:53] 你搞不清楚
[04:54] 就是別人跟你的差距
[04:55] 到底已經有多大了
[04:56] 你還在用就是你很土炮的方式
[04:58] 就像是我不知道
[04:59] 就有些人會看到什麼川普
[05:00] 然後他在什麼炒股票他要賺錢
[05:02] 你要想他都80幾歲了
[05:04] 就當然你可以相信說
[05:06] OK他就是為了錢
[05:06] 就像是有些人會相信說
[05:07] 馬斯克都還是為了錢
[05:09] 你會這樣子講
[05:10] 就代表說你就是沒錢
[05:11] 所以很多时候你从一个人讲的话
[05:13] 你就会知道说他现在的状态是怎么样
[05:15] 就类似蒙哥讲的
[05:16] 就如果你是一个锤子
[05:17] 你看什么都是钉子
[05:18] 你就是想要钱
[05:19] 就觉得每个人都要钱
[05:20] 你说要不要钱
[05:21] 大家当然都要钱
[05:22] 可是到某个位阶
[05:23] 钱对他来讲
[05:24] 甚至不一定会比他的名声
[05:27] 或什么有的东西重要
[05:27] 他非常爱惜自己的羽毛
[05:28] 我总是当然believe you or not
[05:30] 那信不信由你
[05:31] 那是大家自己的事情
[05:31] 只是我觉得还是有必要在这边讲一下
[05:33] 因为开始越来越多人会去仿冒说
[05:35] 我讲什么东西
[05:36] 那为什么他认识我
[05:37] 在推什么
[05:38] 我们是绝对不会去做这种事情
[05:41] 根本就没有必要
[05:41] 你两根大红K
[05:43] 散户自己就来相见的
[05:44] 你还有需要去跟大家讲说
[05:45] 你要推什么
[05:46] 这超low的
[05:47] 所以再来稍微的
[05:48] 跟大家讲一下
[05:49] 最近我同时也是对于说
[05:50] 到底台湾的房地产
[05:52] 是不是又要再一次
[05:53] 开车这件事情呢
[05:54] 开始产生了一些想法
[05:56] 因为我们最近就是要去
[05:58] 启动一些生意
[05:59] 像包含之友跟大家讲说
[06:00] 应该在今年会启动一个餐厅
[06:02] 其实在明后年都有蛮多东西
[06:04] 都会想要去做
[06:06] 其实我们身边有蛮多
[06:07] 像我一样这样子的人
[06:08] 反正我们的兴趣就是
[06:09] 因为我们都搬来临口了
[06:11] 那我们其实也蛮喜欢这个地方
[06:12] 那所以希望去引进一些
[06:13] 自己的东西
[06:14] 甚至我有一些朋友
[06:15] 他们在跟我讲一个
[06:16] 蛮有趣的
[06:17] 这个或许如果真的是
[06:18] 你有兴趣的
[06:19] 我们可以试着联络看看
[06:21] 但我希望可以简单一点
[06:22] 越简单越好
[06:23] 反正呢
[06:23] 就是因为我们身边有蛮多朋友
[06:25] 那或者说他们是在林口当地
[06:26] 也是经营投资公司的
[06:27] 他们都算是吃货
[06:28] 就是蛮喜欢吃东西的
[06:29] 那只是现在有些聚餐呢
[06:31] 因为林口的这个料理
[06:32] 还是不够充足啦
[06:34] 所以呢蛮多时候
[06:34] 就是可能会需要
[06:35] 自己还要跑去台北一趟
[06:36] 那或者是呢
[06:37] 可能就是叫Lala Move
[06:38] 把东西送过来
[06:39] 然后他们就觉得说
[06:40] 其实就是缺一点点拼图了
[06:42] 那如果说我们可以在林口这边
[06:44] 去找到一块地
[06:45] 而且我们其实已经有找到了
[06:47] 那我们就去把一些厂商引进来
[06:49] 那简单来讲就是
[06:50] 你的装潢或什么东西
[06:51] 我们都可以帮你出钱
[06:52] 我只要确定你的东西是好吃的
[06:54] 我就帮你出钱
[06:55] 那就让你来这边开
[06:56] 那希望你可能就至少
[06:58] 在这边要待一阵子以上
[07:00] 那当然如果过了这个时间之后
[07:01] 那发现说这个投资是失效的
[07:03] 就是在这边其实也是生意不好
[07:05] 搞不起来的话
[07:06] 那其实风险也是由我们在承担
[07:07] 因为是我们出最多的钱
[07:09] 你可能就是浪费了一段时间而已
[07:10] 但我觉得这个对大多数人来说
[07:12] 应该是一个
[07:12] 蛮值得尝试的东西
[07:14] 像我去投一些生意
[07:15] 我基本上也都是出到全资
[07:17] 但是我只拿可能
[07:19] 20% 30%以内的股份
[07:21] 我觉得这样的模式
[07:22] 我会持续的下去
[07:23] 因为稍微的年轻一点的时候
[07:25] 其实那时候就会觉得说
[07:26] 反正就白纸黑字
[07:27] 出多少钱拿多少股份
[07:28] 但后来发现
[07:29] 做事情不能是这样
[07:30] 特别是如果你是纯资本方的话
[07:32] 如果说你今天出钱拿很多股份
[07:34] 你赔掉是没事
[07:35] 但是如果赚钱
[07:36] 一般就会开始出事
[07:37] 那当然你可以讲说
[07:38] 有些创办人是干嘛
[07:40] 不配啊或什么的
[07:41] 就是你明明赚到钱
[07:42] 当初没有我也没有你
[07:43] 但我觉得不免啊
[07:44] 就人性啊
[07:45] 大家就会开始觉得说
[07:46] 我赚这么多钱
[07:48] 那有一个资本方
[07:49] 可以躺在那边收钱
[07:50] 好像不太对
[07:50] 所以后来我们都会让利
[07:51] 那我发现我们身边
[07:52] 很多朋友也都会去做
[07:53] 这种让利的事情
[07:54] 就是让大家开心嘛
[07:55] 那创办人知道说
[07:56] 其实公司都是他的
[07:57] 那人家只愿意
[07:58] 类似说甚至像是
[07:59] 借你钱一样
[08:00] 因为他明明就是丢了
[08:01] 可能七八成的钱
[08:02] 可是他只拿一两成的股份
[08:03] 所以基本上像是无息借款一样
[08:06] 还没有这个偿还的必要
[08:08] 如果说真的倒掉的话
[08:09] 因为它是股权嘛
[08:09] 那所以我们是实际有去
[08:11] 一直去做这样子的一个推进
[08:13] 那我在最近在看店面的时候
[08:15] 我是觉得说
[08:15] 其实林口这边的店面
[08:16] 都还是蛮硬的
[08:17] 就大家都在讲说房地产在修正嘛
[08:19] 那包含像是自己身边的朋友
[08:21] 在做仲介的也讲说
[08:23] 最近的成交量真的掉很多
[08:24] 跟去年或前年同期去比的话
[08:26] 那个数字都不太好看
[08:27] 但我后来发现一个
[08:29] 这个蛮铁血的事实
[08:32] 就是如果说今天一个区域里面
[08:34] 他来参与的人
[08:35] 他可能是比较偏向都是投机仔
[08:37] 或是他开了大量杠杆进来炒的
[08:39] 那当然他可能就会有
[08:40] 立即性的一些断头的压力
[08:42] 或者风险
[08:43] 那或者说在被收紧银根的时候
[08:45] 他就必须要去抛售手上的东西
[08:47] 但我们林口这边我不知道为什么
[08:48] 就是我现在看到有蛮多的物件
[08:50] 他基本上他的态度
[08:51] 是有点像他说老子又摆在那
[08:53] 就是你要不要买
[08:54] 你要不要租我没差
[08:55] 那所以我自己也稍微问一下
[08:56] 身边的仲介朋友
[08:57] 他就讲说
[08:58] 这边确实有蛮多的房东
[08:59] 或者屋主都是这样子的一个态度
[09:01] 所以就即便大家讲说
[09:03] 什么房地产很冷
[09:04] 可是当我们自己去看一些物件
[09:05] 然后或者说要去租一些店面
[09:07] 要来做使用的时候
[09:08] 都发现说其实还是蛮难瞧的
[09:10] 然后搭配最近不是央行还在讲说
[09:13] 他们的控管大概就到这边
[09:14] 我想说会不会后面
[09:15] 妈又要再开车了
[09:16] 当然我们这个节目叫古埃
[09:17] 不叫房埃
[09:18] 不会去搞房子
[09:19] 所以我就观察到这个现象
[09:20] 我就发现说
[09:20] 台湾的房地产真的是铁板一块
[09:23] 我就在我的感受
[09:24] 真的像是铁板一块
[09:25] 特别是那种新兴的市政
[09:26] 那也合理
[09:27] 因为最终就是回归供需
[09:28] 一个地方很多人要搬进来
[09:29] 很多人有住宿
[09:30] 或者说租店面的需求
[09:31] 那个东西就会存在
[09:32] 即便可能有时候蛮残酷的
[09:35] 就是你会注意到
[09:35] 很高的一个流动率
[09:36] 像我年轻的时候
[09:37] 也会想去骂这些房东
[09:38] 就会觉得说
[09:39] 骂的真的是贪婪的房东
[09:40] 然后搞到很多生意做不起来
[09:42] 但随着自己的年纪增长之后
[09:44] 其实不会想去骂了
[09:45] 就会觉得说
[09:45] 你毕竟
[09:46] 如果你自己是房东的话
[09:47] 你会想要在什么金华地带
[09:48] 然后把你的东西
[09:49] 租得很便宜
[09:50] 租给别人吗
[09:50] 你可能也不会想到这样子
[09:52] 所以一样的道理就是
[09:52] 如果你今天是一个屋主
[09:54] 那你当时买来的成本
[09:55] 随便举例是1000万的话
[09:56] 然后现在房价是1800万
[09:58] 你也不会想说
[09:59] 那我就卖1100万就好
[10:00] 所以就是类似的东西
[10:01] 有时候也不是说
[10:02] 什么人家贪婪或什么
[10:03] 就只是人家卡位卡得比你早
[10:04] 就觉得其实好像
[10:07] 目前我们自己投的一些生意
[10:09] 当然你很明显就看来说来说
[10:11] 就是房租就是一个最大的压力
[10:12] 可是反正就是不爽不要干
[10:14] 就如果说你真的还是觉得
[10:16] 这个东西可以尝试的话
[10:17] 那就是找一个
[10:18] 可能就是折中的点
[10:19] 你想要最好的点
[10:20] 那一定超贵
[10:21] 可是如果说便宜的点
[10:23] 那可能说
[10:23] 这个location又是不太好
[10:25] 可能旁边又没有人之类的
[10:27] 总之就是找一个
[10:28] 自己可以负担的地方去做
[10:29] 只是同时就是有感而发
[10:31] 就觉得说
[10:32] 这个租金真的是
[10:33] 对于这些创办人来说
[10:34] 是蛮大的压力
[10:35] 只是好在说
[10:36] 因为有我们这样的一些存在
[10:38] 所以等于说
[10:39] 创办人自己要去扛这些风险
[10:40] 对他来讲太大了
[10:41] 赌太多了
[10:42] 可是如果有一些资本方
[10:43] 要去加入的话
[10:44] 其实是蛮不错的
[10:45] 所以就跟我们其实去搞
[10:47] 笑男的逻辑是一样
[10:49] 反正说大家可能
[10:50] 在自己的本业上面
[10:51] 有一些收获的话
[10:52] 那是蛮乐意再拿出来
[10:54] 然后可能去
[10:54] 做一些有趣的side project
[10:56] 那不会说是不求回报
[10:58] 当然大家都希望是赢
[10:59] 大家都希望是赚大的
[11:01] 可是就真的是市场上
[11:02] 会有一些人
[11:03] 他们会认为说
[11:04] 反正重点是
[11:05] 只要把这个地方扶起来就好
[11:07] 那你不要让我说什么
[11:08] 每年都要增资进去
[11:09] 狂赔钱
[11:10] 就不要这样子就好
[11:11] 那如果说你知道说
[11:12] 我的填损的范围在哪
[11:14] 就是我的资本额可能丢进去
[11:15] 反正最后面你烧掉
[11:16] 那就挂掉
[11:17] 那我们就是愿赌服输
[11:18] 这个其实是蛮多人愿意尝试的
[11:20] 所以不知道在林口去搞一个
[11:21] 这种小吃摊
[11:23] 有没有搞头
[11:23] 就是说复合式的找一个点
[11:25] 然后有好几个摊位进来
[11:26] 然后大家都有东西可以买
[11:28] 就是最近有朋友在跟我讲这个
[11:30] 他就说大家是有资源可以丢
[11:32] 可是应该没有一些影响力
[11:35] 可以问到有没有人要进来
[11:36] 所以我们就或许在这边
[11:37] 稍微再跟大家问看看
[11:38] 看有没有人有这样子的一些想法
[11:41] 因为我们确实已经像
[11:41] 我自己丢的几个生意
[11:43] 他们本身都不是林口
[11:44] 可是因为这样子都办来林口
[11:45] 我觉得也是蛮好玩的
[11:47] 可以像是说你朋友不够多
[11:49] 就自己在这边去找一些朋友进来
[11:51] 好 大家讲
[11:52] 那简单跟大家分享一下
[11:52] 最近的一些想法
[11:53] 好 那因为随着最近的市场上
[11:55] 涨价性质越来越频繁的出现
[11:58] 所以我个人是认为说
[11:59] 像前面的一些被动元件
[12:01] 它本来是从一个
[12:02] 可能没有多少人相信
[12:03] 或是半信半疑的状态
[12:04] 然后到现在是一个全面相信
[12:06] 然后或甚至是
[12:07] 有些人开始会发现说
[12:08] 你在一些社群的河道
[12:10] 或是讨论区
[12:10] 就注意到全面在讨论这个东西
[12:12] 那当然讲这个不是说什么
[12:13] 他在这边就会去做一个结束
[12:15] 一般就是到這種時間點
[12:16] 我們會去依賴可能技術面的成分
[12:19] 會是稍微的大於基本面
[12:20] 簡單來講就是
[12:21] 雖然你可能從基本面的角度
[12:23] 你注意到說
[12:24] 都還是有機會在後面是有肉的
[12:26] 但是因為隨著參與的人變多
[12:28] 它一定就會變得比較洗一點
[12:30] 就是有些東西這樣抽馬會亂掉
[12:32] 所以像前陣子就會注意到說
[12:33] 有一些那種可能比較中小的
[12:35] 就開始出現一些那種大到貨的情形但當然它可能到完貨之後沒幾天又站回去像前面那樣只是就是開始會有一些亂流的產生像我自己其實最近也在思考這件事情因為我後來才發現說為什麼我在過去的一兩個月
[12:47] 完全覺得自己沒事幹
[12:48] 除了是自己剛好
[12:49] 就是有買到主流族群
[12:50] 然後再來就是
[12:51] 因為他全部都關儲值
[12:52] 所以真的是沒空去
[12:53] 管其他東西
[12:54] 然後每天也沒事做
[12:55] 因為你手上錢都卡住了
[12:57] 所以就變成說
[12:58] 是大量的跑去運動或什麼的
[12:59] 然後在最近
[13:00] 因為他們開始出儲值了
[13:02] 當然有些感覺
[13:03] 就如果再繼續動下去的話
[13:05] 像國劇如果繼續動的話
[13:06] 它又要再一次被關起來
[13:07] 但反正總之就是我自己的想法是
[13:09] 因為隨著剛剛前面所講到的
[13:11] 我覺得參與的人是越來越多的
[13:12] 然後外加其實它在部位的占比
[13:15] 也是因為在短期內拉得非常大
[13:16] 所以就會開始覺得說是否
[13:19] 因為在外面還有一些故事的存在
[13:21] 或許就可以去參與一些別的東西
[13:22] 所以像最近的自己就開始有去
[13:25] 往場外的一些東西去看
[13:27] 然後就發現說
[13:28] 因為我在過去的兩個月
[13:29] 有可能也錯過滿多東西的
[13:30] 但怎麼說那是一個相對值
[13:32] 就是因為你手上的東西是這些
[13:34] 所以你没有买到别的东西
[13:36] 但是别的东西也不一定会涨于你手上的东西
[13:38] 所以你也不一定会觉得懊悔
[13:39] 但就像我自己出来看的发现
[13:40] 有些载板原来也都这么强
[13:42] 然后再来就是有一些像是离散元件
[13:46] PMIC POWER
[13:47] 其实表现也都蛮好的
[13:48] 所以其实市场上真的是家在一个百花齐放的状态
[13:52] 只是可能大家各自被关在各自的领域里面
[13:55] 都在各忙各的
[13:56] 那就要看后面会不会有一个收敛
[13:58] 或者集中的情形产生
[13:59] 我自己还是会蛮认同
[14:01] 我自己在可能过去一两个月有跟大家聊到
[14:04] 因为目前我们投信的法规是已经打开来了
[14:06] 然后按照时程去推
[14:08] 他们其实差不多
[14:09] 大家已经去把内规都改好了
[14:12] 不然说可能有些是那种公发书里面写的内容
[14:14] 可能后面就去配合监管会所讲
[14:16] 就是你可以把台积电的比重拉高
[14:18] 这个在后面应该就是会发生
[14:20] 只是我们不确定时间点确切的位置会在哪里
[14:23] 但我觉得它要发生的话
[14:25] 就是一定会搭配一些市场的现象
[14:27] 不然说就是会看到垃圾板
[14:28] 台积电特别强
[14:29] 其他东西开始转落下去的话
[14:32] 就有可能资金会往这个方向去灌
[14:33] 所以其實在前陣子想要去稍微的調自己的部位的時候
[14:36] 因為在想說還是要再多買一點台積電
[14:38] 但是因為就是想到這一點會覺得
[14:40] 因為現在外面還是太熱鬧了
[14:42] 那你知道台積電就像是那種什麼良家婦女之類
[14:44] 就是一般人可能平常不會想到
[14:46] 你想要去外面找刺激吃辣的
[14:47] 那可能就是真的在外面受到傷之後
[14:49] 你就會想說我要回去找
[14:51] 平常都最愛我最疼我無條件接受我的媽媽
[14:54] 這時候你就會回到台積電的身旁之類的
[14:57] 可是因為現在就是外面的世界充滿誘惑
[14:59] 所以我心中想的是
[15:00] 就是可能要看到外面的世界稍微有一點崩壞之後
[15:03] 那钱才会灌进去
[15:05] 好
[15:05] 类似说像其实昨天
[15:06] 有稍微的预言一下
[15:07] 因为昨天的一些主流族群
[15:08] 开始出现一些修正的时候
[15:09] 你就看到台积电
[15:10] 直接就他妈拉一个尾盘
[15:11] 所以应该很多人
[15:12] 都是这个想法
[15:13] 那我的想法就是
[15:14] 我可能要观察到
[15:15] 这样的现象出来之后
[15:16] 然后才转过去
[15:17] 因为就是
[15:18] 诚如刚才前面所讲到的
[15:19] 因为目前外面的东西
[15:20] 还是很多
[15:20] 所以你也不会想要去
[15:21] 羡慕别人的族群
[15:22] 或者说
[15:23] 别的未来的题材
[15:24] 因为总之
[15:25] 你现在东西走得好好的
[15:25] 你就不会想要去
[15:26] 做太多的一个调动
[15:27] 但总之就是后面是相信说
[15:30] 有可能资金还是会万箭归宗
[15:32] 会跑来去台积电
[15:33] 只是比自己想象的来得慢一点
[15:35] 因为真的没有想到说
[15:36] 当台积电基本上呈现一个横盘的状态的时候
[15:39] 然后市场上有这么多的题材在动
[15:41] 然后再来就是你也观察到
[15:43] 像金融股是我们自己完全不看的东西
[15:45] 可是你看富邦金他妈喷了快50%
[15:47] 这到底是什么世界
[15:49] 就是他真的是什么都在喷
[15:51] 你知道以前大家还会讲说什么相对剥夺感
[15:53] 那些没有买到什么台积电
[15:55] 没有买到电子股的
[15:57] 那基本上没有参与到台湾的经济
[15:59] 你看那一堆什么退休老人
[16:00] 还有什么学校老师
[16:01] 最爱买金融股的
[16:02] 他们也都参与到了
[16:03] 所以好像真的有一种那种
[16:05] 就是台湾前沿角落的点
[16:06] 然后这一次是沿到西盖去
[16:08] 那对就是百花齐放
[16:11] 就每个东西都在动
[16:12] 那只是后面就是要去注意说
[16:14] 会不会有一个这个收敛的情形产生
[16:16] 但在那之前我们没有料到的点是
[16:19] 原来中小或者说金融这些
[16:20] 可以这样接棒
[16:21] 然后一棒接一棒
[16:22] 然后每个东西都还在持续的去做进攻
[16:24] 那像我自己最近就是有稍微在观察一些新的族群
[16:29] 当然这个族群可能在过去也是同步有在发生中
[16:32] 那但是我觉得它没有像可能海外的IDM
[16:34] 是直接呈现一个集体表态的状态
[16:37] 不管你去看一下什么英飞灵
[16:38] 或是什么安生美
[16:40] 那相关的NPS
[16:41] 那或者是瑞萨
[16:42] 就是他们其实都是在过去的两个月是涨蛮多
[16:45] 就是直接拉了一波走
[16:46] 那现在可能稍微的横盘在那边休息一下
[16:48] 那不然像德州仪器也是
[16:49] 那过去我们大概有跟大家提一下
[16:52] 就是有注意到说
[16:53] 我们有看到这些PMIC
[16:54] 那他们可能有一些涨价情形发生
[16:57] 那只是他们的涨价呢
[16:58] 一般来讲应该是比较趋向是成本涨价
[17:01] 因为在金人代工端这边的价格是有上升
[17:03] 他们有些东西是外包出来的
[17:05] 那所以呢就因为成本的上升
[17:06] 所以就去调一下他的价格
[17:08] 那只是我最近稍微的去看了一下
[17:10] 我觉得他的故事其实是有一点跟
[17:12] 就是前面的那一种缺货涨价也蛮近似的
[17:16] 那只是他的这个缺货涨价
[17:18] 不像是那种bottleneck似的
[17:19] 就是直接可能某些东西会出现断供的情形
[17:23] 就像是一些高阶的被动元件
[17:25] 或像是弹电容
[17:26] 这些是直接出现的
[17:28] 类似是有断货危险的
[17:30] 或者后面的牛角电容
[17:31] 都是有类似的一个情形
[17:32] 但是在这些
[17:34] 可能比较偏向是power端的discrete
[17:36] 这些离散元件
[17:37] 他们应该是比较不会出现一些断货的可能性
[17:40] 因为在里面供应的厂商是蛮多
[17:43] 那当然高阶的可能还是由部分的去做支援
[17:46] 像是英飞灵这样
[17:47] 那只是就是因为高阶的需求的量真的是蛮大
[17:50] 所以它确实是有可能会产生一些排挤的效应
[17:53] 或者说外溢的效应
[17:55] 然后导致说一些可能比较高阶的厂商
[17:57] 会把它比较中低规格的东西丢出来
[18:00] 那这丢出来的东西当然蛮多
[18:01] 就会被台厂给吃掉
[18:02] 那所以其实过去有大概提一下这个故事
[18:05] 那只是因为最近就是看到被动元件
[18:07] 开始有蛮多的筹码跑进来
[18:08] 所以觉得说不会觉得它差不多啦
[18:11] 但就是如果我现在要再去买新的东西
[18:13] 我不会想再去那种超级热闹的地方
[18:15] 去餐饮卡这样
[18:17] 就会觉得可能
[18:18] 我反而会想要去找新的东西看
[18:19] 所以就往新的东西看
[18:20] 就会开始注意到说
[18:21] 其实还有蛮多的可能性在背后
[18:23] 首先这些离散元件
[18:25] 其实它在过去有一个大事件
[18:27] 大概我们应该是在去年的年底
[18:30] 会有印象是因为那时候我人在日本
[18:32] 所以对这个事件比较有感受
[18:34] 反正那时候就是安市半导体
[18:36] 它被制裁跟控管
[18:38] 所以就导致说
[18:40] 它相关的一些订单是有被丢出来
[18:43] 只是那时候我自己
[18:44] 其实有去找一些市场的东西布局
[18:46] 也有去弄
[18:47] 然后最后面是没有赚到太多钱
[18:49] 那后来就觉得说
[18:50] 这个问题可能是在于说
[18:51] 参加的太早
[18:52] 就是太早跑进去
[18:54] 那所以导致这个题材
[18:55] 它是没有被酝酿起来
[18:56] 那但是这个东西
[18:58] 算是种下了一个原因
[19:00] 就是因为安市半导体被制裁
[19:02] 所以它确实是有产生一些缺口
[19:05] 然后再来到后面
[19:06] 就是像中国的一些半导体
[19:08] 公立半导体厂商
[19:09] 其实也开始遇到
[19:11] 像是欧盟的一个制裁
[19:12] 就是他不希望大家去使用中国的料
[19:14] 所以像这样子的一个事件
[19:15] 它虽然是发生在大概半年前左右
[19:18] 但是它的余微人在
[19:19] 然后甚至是开始造成了一些后续的影响
[19:22] 所以像目前是有看到说
[19:24] 这些缺口开始持续的酝酿出来
[19:26] 因为那时候它产生了这个缺口
