[00:00] 欢迎收听谷爱,我是孟公
[03:58] 好像餐厅像是我开的一样
[04:00] 可能之前被好心吹过头
[04:01] 所以就是大家都整天去那边
[04:04] 就想要tag我之类
[04:05] 所以我家有些我就是刻意不要再分享
[04:07] 因为真的太过头
[04:08] 那一样啦
[04:08] 就是虽然这个餐厅整天
[04:10] 我们会可能推荐啊
[04:12] 或是帮忙分享或什么
[04:13] 但我是绝对不会去拗人家的
[04:14] 我至今所有的开销呢
[04:17] 都是我们自己或是家人去出的
[04:18] 我们绝对没有去什么
[04:20] 推荐你然后换免费
[04:21] 我不做这种事情
[04:22] 所以再来跟大家讲一下
[04:24] 有些人可能听到说
[04:24] 他每天在推那个
[04:25] 他一定有拿到什么好处
[04:26] 我们是
[04:27] 简单来讲
[04:27] 我们不需要去做这样子的事情
[04:29] 当然有些人坚持说
[04:30] 我们要去做这种事情
[04:32] 我可能也没有办法
[04:33] 我是没有看到这样子的讨论
[04:34] 但只是要先跟大家
[04:35] 稍微的利益回避一下
[04:36] 那这是去台中
[04:37] 我觉得有一些特别的体验
[04:39] 就是现在会非常认真的去看
[04:41] 到底人家酒柜里面放的东西是什么
[04:43] 这可能是
[04:44] 就自从开始去点红酒这个兴趣之后
[04:46] 然后就发展出来的一个新发现
[04:49] 那我觉得这个事情是蛮好玩的
[04:51] 因为就要说同样的餐厅
[04:52] 我们去过好几次
[04:53] 只是你之前都不会去在意
[04:55] 说人家酒柜装什么
[04:56] 或者他酒柜是怎么样设计
[04:57] 你一点都不在意
[04:58] 所以有点类似说
[04:59] 你一直都来这个地方
[05:01] 可是你好像漏掉一块东西
[05:02] 你从来都没有去探索过
[05:03] 那现在我就是会
[05:04] 加强去看这些东西
[05:06] 像跑去台中州继续住的时候
[05:07] 也是会看说他酒有什么东西
[05:09] 但老实讲看下来
[05:11] 我是觉得
[05:11] 只能够说我不小心可能冲太快
[05:14] 就是套一句身边的一个
[05:16] 这个产业界的大哥跟我讲的
[05:18] 他说你以后对外介绍
[05:19] 你就说你是酒临两个礼拜
[05:21] 你就在喝DRC跟乐花的人
[05:23] 其实以前我就喝过
[05:24] 只有我不知道那什么东西
[05:25] 现在就是因为开始对东西了解了
[05:28] 那对我来说
[05:29] 因为我觉得要去了解一个东西
[05:30] 最快的方式
[05:31] 就是我建立大量的样本
[05:32] 那所以呢
[05:33] 我就直接用价格排序
[05:35] 我就上那个wine searcher
[05:36] 去找说这个前一百贵的酒是什么
[05:38] 就全部都买啊
[05:39] 你就全部都买
[05:39] 反正就这么简单嘛
[05:40] 你就每个都买
[05:41] 每个都喝就知道了
[05:42] 那对我来讲
[05:43] 我還是不會去走一個比較奢侈的路線
[05:45] 我還是會認為說那個跟挖秦王墓一樣
[05:47] 他們去挖秦始皇墳墓的時候
[05:49] 然後挖出兵馬俑說一開始是彩色的
[05:51] 很快的接觸到空氣之後就風化
[05:53] 就變成我們現在看到是土色的兵馬俑
[05:55] 不然它其實本來是七彩的
[05:57] 所以他們決定要等到他們的開採技術夠好的時候
[06:00] 才要把剩下的秦王墓給挖開
[06:02] 一樣的道理
[06:03] 就當然我們不會說什麼
[06:04] 今天買到一些可能比較相對高單價的東西
[06:06] 就立刻想要把它喝掉
[06:07] 因為我覺得我可能還沒有辦法去掌握它
[06:09] 所以我的做法是怎麼樣
[06:10] 我后来做法是用一个比较土炮
[06:13] 那对我来说是很简单的一个类比的方式
[06:15] 我就去找说就是各地的
[06:17] 这个有名的生产区
[06:19] 或者说可能在博根地的一些Grand Cru
[06:21] 那这些所谓的特级园
[06:22] 那特级园呢
[06:23] 里面可能会有一瓶是要上百万的
[06:26] 那特级园也会有一瓶是大概
[06:27] 可能一万块到三万块之间的
[06:30] 那或者说一样是Morosche
[06:31] 就一样是这个白酒的话
[06:33] 那旁边的什么Chevalier Morosche
[06:36] 它的价格可能是比较便宜一点的
[06:38] 那如果你进到Morosche的话
[06:39] 可能就是一瓶都要几十万以上
[06:41] 那反正你都有嘛
[06:42] 对你的这个切入方式呢
[06:44] 可能比较好的也是
[06:45] 你就从比较便宜的方式开始嘛
[06:47] 你就从那些可能单价比较低的
[06:49] 然后慢慢喝过去
[06:50] 其实你喝过去
[06:51] 你也不一定会觉得说
[06:52] 价格贵的东西一定比较好
[06:54] 那像昨天就是找了几个
[06:55] 这个快乐的产业圈的朋友们
[06:58] 都是一些老大哥啦
[06:59] 那他们也算是推我入坑的人
[07:01] 那包含说那一位
[07:02] 就是超级会品酒的
[07:03] 可以去识别年份的大哥
[07:05] 然后跟几位也算是带我入坑
[07:08] 跟我介绍各地厉害酒的朋友
[07:10] 我想说把大家凑在一起认识一下
[07:12] 那过了一个非常好的夜晚
[07:14] 那我自己带去的酒就是属于
[07:16] 因为简单来讲
[07:17] 我就比较熟悉嘛
[07:18] 我就还不懂嘛
[07:18] 所以就是价格比较高的东西
[07:20] 那大哥们看到我带这个东西
[07:22] 就会说好那没关系
[07:23] 我们没有办法跟你拼价格
[07:24] 没有办法跟你切中路
[07:25] 然后切你侧路
[07:26] 所以呢
[07:27] 我可能就带一些经典的年份
[07:29] 或是一些非常有意义的酒
[07:31] 像有一位大哥带的
[07:32] 他说那个什么
[07:33] 淡丁的后代的酒庄
[07:34] 然后这个酒庄做的酒
[07:36] 那叫什么
[07:37] Amarone吧
[07:37] 反正就是风干酒
[07:38] 我觉得风干酒真的超级好喝
[07:40] 那再来另外一个人带的
[07:42] 像是马哥跟拉菲
[07:44] 这个我自己也有
[07:45] 我觉得其实波多酒都还蛮不错
[07:47] 只是它那个年份是
[07:48] 很屌泡的年份
[07:49] 然后跟一个Shabless
[07:50] 就是整个组在一起
[07:52] 我就觉得说这些人真厉害
[07:53] 他知道每一瓶酒
[07:54] 可能是要醒多久
[07:55] 然后要怎么样搭配
[07:56] 顺序什么
[07:57] 我觉得这是一个
[07:58] 就是还蛮有格调的东西
[08:00] 那对我来讲
[08:01] 因为毕竟我就是新手
[08:02] 真的什么都不知道
[08:03] 所以我都是用课金的方式
[08:04] 反正就都乱一点
[08:05] 那后来就希望
[08:06] 像是挖秦王墓一样
[08:08] 反正只要每次有机会
[08:09] 我就会去
[08:10] 把那些比较高价的都打开来看
[08:12] 但其实最后面会发现一个
[08:13] 就是自己的观察
[08:15] 就跟清酒一样
[08:16] 其实那时候跟大家分享清酒
[08:18] 我也只是一个好奇心态
[08:19] 然后最后面我跟大家推的东西
[08:20] 竟然是一瓶
[08:21] 可能800块或是3000块的东西
[08:22] 不是像大家想象的
[08:23] 就是全部都是推那种好几万的东西
[08:25] 那我觉得就是
[08:26] 因为你自己有办法找到
[08:28] 你的未来喜欢的什么
[08:28] 就像讲说你是你自己的裁判
[08:30] 就是你不要去迷信说什么评分
[08:32] 或是价格什么的
[08:33] 最终你是要找到你喜欢的东西
[08:35] 那只是每个人切入方式不一样
[08:37] 那我可能就是只用price tag
[08:39] 那为什么我喜欢用price tag呢
[08:40] 我觉得跟那个股票训练有关系
[08:42] 就来说像今天的盘面不好对不对
[08:44] 那可是今天是不是有蛮多东西
[08:45] 还是有在涨停
[08:46] 那这些涨停的东西
[08:47] 就会吸引我的注意
[08:48] 就是为什么你在这种盘面
[08:49] 你可以涨停
[08:50] 那所以一样的道理是
[08:51] 我有时候请酒商
[08:52] 去帮我列出一系列的酒
[08:53] 那这瓶酒呢
[08:54] 可能是从
[08:55] 就来说1985
[08:56] 然后到下2019都有
[08:57] 你就会注意到说
[08:59] 它那个price tag
[08:59] 有些它会跳上去
[09:00] 有几个年份会跳上去
[09:02] 那跳上去的年份
[09:03] 可能以伯根蒂来讲
[09:04] 就是他很好的年份
[09:05] 可能是什么05年
[09:06] 10年15年
[09:07] 19年之类的
[09:08] 他们说逢酒必好了
[09:10] 酒是一个好的年份
[09:11] 那也有可能像是
[09:12] 就像说以波尔多的话
[09:13] 他的那个年份
[09:14] 可能跟伯根蒂是不太一样
[09:15] 但是像82年的拉菲
[09:17] 为什么82年的拉菲会跳上去
[09:19] 一查还知道
[09:20] 以前港片有看过
[09:21] 他们说他们漱口
[09:22] 就叫82年的拉菲
[09:23] 或什么的
[09:24] 所以82年的拉菲
[09:25] 可能除了是本身表现
[09:26] 就很强大之外
[09:28] 还有外加像是迷因的效果
[09:30] 好像是一个迷因酒
[09:31] 那再来就是有些酿酒师
[09:32] 可能他年事已高
[09:34] 就是有机会随时
[09:35] 我们不要讲不好听的话
[09:36] 但因为他就是真的老了
[09:37] 所以他的酒就被炒上去
[09:39] 或者是有些
[09:40] 他就已经是过世了
[09:41] 然后他自己发明了一套工法
[09:42] 那这个工法呢
[09:43] 在现在看会觉得说
[09:45] 很习以为常
[09:46] 不是蛮多人都这样做吗
[09:47] 可是在当时
[09:47] 是一个非常创新的做法
[09:49] 那所以像这个Henry Yell的酒呢
[09:51] 他也是卖一个非常贵的价格
[09:53] 但对我来讲就是
[09:54] 这个其实是蛮有趣的事情
[09:55] 我就是每个都会
[09:56] 想把它找来试试看
[09:58] 那也是蛮认真的去尝试之后
[10:01] 我觉得这个兴趣是还蛮不错
[10:02] 但真的饮酒要适量
[10:03] 真的大家尽量还是要量力而为
[10:06] 但对我来说
[10:07] 其实就跟清酒的感觉一样
[10:08] 当我今天把清酒
[10:09] 可能全部走完一轮之后
[10:10] 我现在就不会
[10:12] 一直想要再去把它喝完
[10:13] 我觉得我其实是一个
[10:14] 好奇心的驱动
[10:15] 只是这个好奇心
[10:16] 我后来发现
[10:17] 这就是生活的情调之一
[10:18] 就是你本来不太懂那个东西
[10:20] 那你现在懂了
[10:21] 那懂了之后可以干嘛
[10:22] 其实老实说也不能干嘛
[10:23] 因为我本身又不是那种
[10:24] 会出去什么
[10:25] 整天跟人家吃饭社交的人
[10:27] 我都躲在家里
[10:27] 喝最常就是跟A君
[10:29] 两个人在那边喝
[10:30] 所以就只是自己想知道
[10:31] 就很好奇这个世界到底怎么样运作的
[10:34] 那我相信我后面真的可以弄出一套东西
[10:36] 就是适合大家
[10:37] 就像我们跟大家分享
[10:38] 有趣的餐厅什么好玩的东西
[10:40] 像我之前就觉得
[10:41] 那个什么Amarone
[10:42] 那个是真的是好喝的东西
[10:44] 然后再来像Napa
[10:45] Napa真的很难喝
[10:46] 简单讲就是Napa的东西
[10:47] 几乎都是水准以上
[10:49] 对于所谓的新手来讲
[10:50] 包含像我自己
[10:51] 反正就是果香味炸出来
[10:52] 当然后来可能
[10:53] 你喝一些比较细致的酒之后
[10:55] 你反而没有那么喜欢那种果香暴力的味道
[10:58] 可是一开始这个当入门就很适合
[11:00] 因为这个就是国香
[11:01] 这个非常简单暴力
[11:02] 那闻起来又是蛮舒服的
[11:04] 不像大家可能想象中的一些葡萄酒
[11:06] 闻起来像是老人的味道之类的
[11:07] 那或者是一些南美洲的产区企业
[11:09] 都是还蛮有趣的
[11:10] 所以这个研究是很赞
[11:11] 那像自己最近就发现一个
[11:13] 那个什么Sassicaia
[11:14] 它是一个意大利的酒
[11:16] 那这个就超级好喝
[11:17] 这个真的超级好喝
[11:18] 而且它价格真的相对那些
[11:19] 很变态的博根地
[11:20] 它不贵
[11:21] 我那时候就直接跟我朋友分享说
[11:23] 这真的不贵
[11:24] 这他妈才一万块
[11:25] 也太夸张了
[11:25] 这可以买个几箱放家里
[11:26] 然后你出去请朋友
[11:27] 人家也不会有压力
[11:28] 因为这个价格没有太高
[11:30] 他说其实呢
[11:31] 以意大利酒来讲
[11:32] 一万块的价格
[11:32] 已经算是很高了
[11:33] 你的价值观
[11:34] 是因为你看了一大堆
[11:35] 那个伯根地州
[11:36] 然后被弄坏掉
[11:37] 所以确实我们
[11:37] 我们的价值观
[11:38] 有点被撞坏掉
[11:39] 但就慢慢的去把它校正回来
[11:40] 然后最终就是希望
[11:41] 可以找到自己喜欢的
[11:43] 就要说几百块的
[11:44] 我就知道什么我喜欢
[11:44] 几千块的什么我喜欢
[11:46] 那如果是那些传奇的酒
[11:47] 什么是我喜欢的
[11:48] 而不是盲从的
[11:49] 大家跟你講說誰是評分高的
[11:51] 或者說誰是可能價格最高的
[11:54] 我覺得那不帥
[11:54] 我真的覺得那不帥
[11:55] 那只是當然我入門的方式
[11:56] 還是像我們那種股票圈的做法
[11:58] 反正哪一個價格跳起來跳最高的
[11:59] 你一定有你的道理
[12:01] 我不知道是什麼道理
[12:02] 但是我想試看看
[12:03] 類似說你這個股票這麼強勢
[12:05] 老子先跟一點再說
[12:06] 先買再研究
[12:07] 所以其實我發現我整個做人的邏輯
[12:09] 實在還蠻類似的
[12:10] 那這是台中之旅
[12:11] 就覺得非常的踏實
[12:13] 那也感謝這麼多台中的朋友
[12:14] 包含說像在那個周季飯店裡面的一些人員
[12:18] 非常感謝 非常照顧我們的家庭
[12:20] 感恩你們 大概是這樣
[12:21] 那今天的盤面是在蠻屌炮的
[12:23] 就是應該蠻多人有感受到一個多麼痛的領悟的味道但實際上以現在的角度來說你說這一波波段大概从三万三千点就加权指数那一路喷到大概四万两千多那现在才回到四万一千三百多
[12:35] 今年其实老实说也才跌一趴多
[12:37] 那当然可能蛮多人有一些中小
[12:39] 或是一些那种科技股的话
[12:40] 会觉得比较痛一点
[12:41] 但真的是拉出成本太远
[12:42] 所以我自己稍微观察一下
[12:44] 身边的朋友蛮少人有去做调整
[12:46] 很少
[12:47] 只有一些我觉得可能已经赚到会怕的
[12:50] 就开始把东西卖掉
[12:51] 但以我自己来讲
[12:52] 我也没有去做过多的调整
[12:53] 因为真的拉太远了
[12:55] 所以都还可以再等一下
[12:56] 说不定大家都要等
[12:57] 然后就一路回回到
[12:58] 看谁先撑不住之类的
[13:00] 当然我们还是会去把一些
[13:01] 就像盘面上的状态先分析清楚
[13:04] 然后才会知道说
[13:04] 后面该怎么样规划
[13:06] 首先以台股的盘面的话
[13:07] 我觉得非常容易可以理解
[13:09] 就是被动元件超级无敌强
[13:11] 被动元件跟整个做坏掉一样
[13:12] 在一开始
[13:13] 我们甚至还吐槽过说
[13:15] 台湾的被动元件是怎样
[13:16] 是大家看不懂吗
[13:17] 还是说是台湾的状态
[13:19] 是比较不好之类的
[13:19] 为什么日本的
[13:20] 为什么美国的
[13:21] 像昨天VPG
[13:22] 就大屌喷
[13:23] 那为什么可能韩国的
[13:25] 然后各地的都这么好
[13:27] 然后就台湾的不会动
[13:28] 但台湾的最近就是全部都醒过来
[13:29] 所以你在这边就可以发现说
[13:31] 其实优势在每个人的身边都找得到
[13:34] 你如果有注意到这些东西
[13:35] 就像那时候很多人在看
[13:37] 台湾的一些
[13:38] 就是像那个Foreign Factor
[13:39] 在台湾的同业
[13:40] 他想说为什么Foreign Factor都不会动
[13:42] 为什么台湾动成这样
[13:43] 然后美国那个不会动
[13:43] 然后后面美国那个就疯狂的动起来
[13:45] 所以好像一些这种类似
[13:47] 他不是很完全的套利
[13:48] 因为套利是你不能够赔钱
[13:50] 反正就是你可以偷看答案的机会
[13:53] 在市场里面是有时候还是会出现
[13:55] 所以那些国际族群走得非常强大的
[13:57] 像记忆体也是外面都先走起来
[13:59] 然后台湾就是后面在那边补追
[14:01] 其实可以掌握到这样子
[14:03] 我觉得都还是蛮不错的
[14:04] 那被动连接
[14:05] 现在已经有点像是说
[14:06] 变成是台股的一个主角
[14:08] 虽然我们已经是连续cover
[14:10] 基本上拉出去
[14:11] 我不会想要再去讲太多
[14:12] 可是我们还是会去稍微的跟一下
[14:14] 就是现在到底最新的状态是怎么样
[14:16] 首先我们知道说MLCC最缺的是
[14:19] 47UF
[14:20] 我也不太会念
[14:21] 反正总之就是
[14:22] 我知道那个规格的料
[14:23] 好像是涨那样
[14:24] 那这个东西是有
[14:25] 像是SAMCO
[14:26] 或者说MORATA
[14:27] 在去做供应的
[14:28] 那像国具的话
[14:29] 就是只有一半
[14:30] 那个数字是只有一半
[14:31] 好像是22UF的一个
[14:33] 这个数值
[14:34] 那像这个东西呢
[14:35] 它本身并不是市场里面
[14:37] 可能是最缺乏的东西
[14:38] 但它的一个联想逻辑
[14:40] 就有点类似说
[14:41] 像是记忆体的一个排挤效应
[14:43] 或说当年被动运舰
[14:44] 其实是这样
[14:45] 就是春天他们要去
[14:45] 往更高规格的东西去做
[14:47] 然后把一些低的东西丢出来
[14:48] 那就導致說價格有一個變化產生
[14:51] 所以我覺得其實整體的邏輯都是差不多的
[14:53] 簡單來講就是高規格的東西
[14:55] 像是一些世界大廠
[14:56] 他們要去真實的
[14:58] 就像那時候的HBM一樣
[14:59] 那些低規格的東西
[15:00] 他們就沒空去做或是會退出來
[15:02] 然後就會丟給大家
[15:03] 所以其實台系的一些MLCC大廠
[15:06] 它的故事比較偏向是說
[15:07] 就是一個排擠效應
[15:09] 當然他們有做進去AI的一些料好了
[15:11] 只是說可能最缺到爆炸的
[15:13] 那個最高階的是在日本跟韓國人的手上
[15:16] 只是這個拍機的效應也是不容小覷
[15:18] 所以MLCC的狀態就是我們知道說
[15:20] 在接下來應該都還是會持續的看到一些漲價情形發生
[15:24] 最近的話就是鋁電容在過去幾集有聊到
[15:26] 像我們有注意到說日本的Nichicon或是說Chemicon
[15:29] 它的表現是非常好
[15:31] 就是股價直接拉出去
[15:32] 而且如果你去看它的財報的話
[15:33] 你會注意到財報數字並沒有特別
[15:35] 最主要原因是什麼
[15:37] 最主要原因是因為說他們的Product Mix
[15:39] 他們的產品組合
[15:40] 因為有蠻多是在衰退的東西
[15:42] 舉例來說消費線的東西
[15:43] 所以表現不好
[15:44] 所以有时候会注意到说
[15:45] 它那个营收的增幅
[15:47] 甚至有些是衰退的
[15:48] 就是说你怎么会这么差
[15:49] 可是你那个获利是有改善
[15:50] 那为什么有这样一个情形产生
[15:52] 就是说它的那个product mix是有改变
[15:54] 然后可能就开始出一些
[15:55] 比较好比较贵的东西
[15:56] 那所以绝对数字看起来
[15:57] 可能不一定有增加
[15:59] 或者说增加的幅度很小
[16:00] 但是你注意到它获利的状态
[16:01] 是持续的去做改善
[16:02] 那光是这样子
[16:04] 你就注意到日本人是非常买单的
[16:05] 所以他们的这个电容厂
[16:07] 是直接就喷到外太空去了
[16:10] 那当然我们回头看台湾的电容厂
[16:12] 就像是利隆电金山
[16:13] 或者说预榜
[16:14] 其实都是有相当程度的表现
[16:16] 所以现在已经不能够说
[16:17] 台湾没有跟上世界的被动元件
[16:19] 台湾的不管是领头羊
[16:21] 像是国巨 华星科
[16:22] 或者说后面的一些
[16:24] 比较小资的MLC
[16:26] 像是什么信昌
[16:27] 或者是利隆电
[16:29] 或者说像电龙
[16:30] 我刚刚举的这几家
[16:31] 其实他们本身
[16:32] 现在都是有跟到国际的情势
[16:34] 所以还是要去强调一下
[16:36] 就是就我们的观察
[16:37] 我们可以知道被动元件会缺
[16:39] 为什么
[16:39] 因为你要去做VRubin的换代
[16:42] 你要用的科数是超级无敌多
[16:44] 所以一定会产生一些排挤
[16:46] 只是我自己有注意到
[16:47] 市场里面的一个主流论述
[16:49] 是这样说的
[16:50] 虽然这可能我们几个月前
[16:51] 就有稍微提过
[16:52] 我们认为应该不是这样
[16:53] 反正就讲说
[16:54] 因为被动元件扩散是很简单的
[16:56] 它没有像那些半导体先进制程
[16:58] 或像记忆体
[16:59] 它扩散是你还要找什么
[17:00] clean run什么有的没有的
[17:01] 所以要弄个半死
[17:03] 然后才可以把东西弄出来
[17:04] 它的条件是相对低的
[17:05] 所以大家认为说扩散容易
[17:07] 可能就不会产生排挤效应
[17:08] 但是我觉得其实就是
[17:10] 大家可能这样子想
[17:12] 所以才会低估这个料
[17:13] 可能后续可能会产生的一些影响跟变化
[17:15] 那只是我们自己去粗估的话
[17:17] 影响跟变化
[17:17] 其实理论上不会这么快看到
[17:19] 应该是要等到VRubin开始放量
[17:22] 特别是最近已经有人在放雷的时候
[17:24] VRubin像前阵子跟大家聊到说
[17:25] 一些什么散热的问题或什么的
[17:27] 有机会会不会后面可能稍微再遞延或什么的
[17:30] 但不重要
[17:30] 因为简单来讲东西都是会出了
[17:32] 那应该是要等到这些东西出之后
[17:34] 然后大家就会立刻的发现
[17:36] 你前面的那些交期
[17:37] 其实应该都会在持续的拉长
[17:39] 那有些东西可能会开始很缺之类的
[17:40] 所以现在也开始有看到一些
[17:42] 特别是在Power厂这边
[17:44] 他们有去包产能
[17:45] 他们去找一些被动硬件厂
[17:46] 直接把那些产能给包下来
[17:48] 那就是因为他们可能已经提早
[17:49] 意会到说会有缺料的一个情形
[17:51] 那铝电容的话呢
[17:53] 在过去的可能半年曾经
[17:55] 那时候新闻上其实都有写出来
[17:57] 就说像Panasonic
[17:58] 他想要去退出OS
[18:00] 可能去固态电容这样的一个生意
[18:01] 因为这个可能对他来讲
[18:02] 就是一个便衣鸟料
[18:03] 他已经不想做了
[18:05] 那他要去退出的话呢
[18:06] 那可能就是有日本的同业
[18:07] 像是Nippon Chemical
[18:09] 他就是有机会去把它承接下来
[18:10] 那只是他的产能也不够
[18:11] 那最近就有听到说
[18:13] 他们已经开始有发起一些涨价了
[18:15] 那这个涨价性一样
[18:16] 就是后面可能就会开始穿出来了
[18:18] 所以其实除了大家会去看一些
[18:20] 可能比较先进的比较屌炮的料
[18:22] 像刚才前面提到的
[18:23] 比较高阶的一些被动元件
[18:24] 或者说比较高阶的电容之外
[18:26] 低阶的料可能也是后面
[18:28] 可以注意的一个项目
[18:29] 因为低阶的料呢
[18:31] 或者说所谓的标准品
[18:32] 它比较偏向是
[18:33] 就同一個料可能在很多地方都可以去做使用
[18:35] 所以因為大家都要去做增強
[18:37] 那外加他可能本來價格的基期是相對低的
[18:40] 所以大家是don't mind
[18:42] 他漲價漲很多之類的
[18:43] 除非真的漲到太高大家才會開始縮手
[18:46] 像那時候的DDR4跟DDR5其實漲得很兇
[18:48] 大家都只知道說HBM是超級好的東西
[18:51] 大家應該都知道這個
[18:51] 結果沒有想到在一些若干時間內
[18:54] 你注意到像D4跟D5的漲幅是超兇的
[18:57] 他甚至是跑贏最香的HBM
[18:59] 甚至是對於一些廠商來講去生產D4跟D5
[19:01] 他的毛利搞不好還會跑贏
[19:03] 他去生產最高階的東西
[19:04] 所以這樣子的狀況
[19:05] 也是有可能會發生在被動元件上面
[19:07] 那所以這就變成說
[19:09] 那你到底要去買最高階的
[19:11] 日本的被動元件
[19:11] 韓國的被動元件
[19:12] 還是你知道買台系的一些
