[00:00] 欢迎收听谷爱,我是圣梦宫
[02:47] 就会发现他们在讲韩国人
[02:48] 韩国人超喜欢去买一些那种鬼东西
[02:50] 那可能他们之前在加密货币是非常的活跃嘛
[02:53] 那加密货币已经是烂一阵子了
[02:54] 所以看到这个韩股超强
[02:56] 后来就有点那种把它连成线的感觉
[02:58] 原来是韩国的投资人
[03:00] 他们发现出他们自己国家的资助
[03:02] 就可以当加密货币玩
[03:03] 那个波动超大
[03:04] 然后也可以上很大的杠杆
[03:05] 那所以呢
[03:06] 最近应该是有蛮多韩国人被抬出去
[03:08] 你看到那种杀到垄断
[03:10] 他们又用那种杠杆产品
[03:11] 应该是一次就要去死了
[03:13] 那台湾的话呢
[03:14] 我是觉得还好
[03:15] 因为真的过去涨太多了
[03:16] 所以其实我稍微看下身边的朋友
[03:18] 特别是我们昨天才跟他讲
[03:19] 坐校车大家一起聚餐
[03:21] 我感觉大家都只是哀哀叫
[03:22] 可是其实没有人真的受到伤害
[03:25] 反而就是获利回吐
[03:26] 很多人想说
[03:26] 怎么一天就喷几亿
[03:27] 他会这样讲
[03:29] 但我说他之前就是一天就赚好几亿
[03:30] 所以对他来说
[03:31] 我觉得都是小事情
[03:32] 同时我也非常有感的觉得
[03:35] 自己的肌肉记忆
[03:37] 在长年的节目训练之下
[03:39] 跟大家互动
[03:40] 我觉得真的越来越准
[03:41] 我们没有办法把时间抓得很准确
[03:43] 可是每次只要有一堆人在问股票
[03:46] 后面就要出事情
[03:47] 真的蛮屡试不爽
[03:48] 那我觉得后来我也知道为什么了
[03:50] 因为那些问股票
[03:51] 会让我觉得很烦躁的
[03:52] 基本上他们都不是真的想知道说
[03:54] 可能我们会去讨论
[03:55] 那些什么产业相关的
[03:56] 或者说趋势相关
[03:57] 他不想知道这个
[03:58] 他只想知道这个会涨还会跌
[04:00] 简单讲的这样
[04:01] 可是问题是我们其实没有人
[04:02] 可以很确定知道什么东西
[04:03] 一定会涨或是一定会跌
[04:04] 我们都是用几率去抓
[04:06] 那严格上来说
[04:07] 我们去做各种分析
[04:08] 都是去加强这个几率而已
[04:09] 所以我觉得懂完的都知道
[04:11] 但是有些那种新来的都不知道
[04:12] 然后他就是整天都想问说
[04:14] 会不会涨还会不会买
[04:15] 或什么的
[04:15] 当这样子的人多了之后
[04:17] 就知道说市场
[04:18] 已经开始有一些
[04:19] 那种松动的迹象
[04:20] 一般来讲是后面会惩罚
[04:22] 以最近的亚股来讲
[04:23] 就终于发生了惩罚事件
[04:25] 所以那些人
[04:26] 我觉得应该也是
[04:27] 受伤最惨重的
[04:28] 就是你会在高点
[04:29] 才想要很认真
[04:30] 研究股票的人
[04:31] 哪怕不杀你杀谁
[04:32] 所以有时候就是这样子
[04:33] 你有时候被教训了之后
[04:34] 你要知道说
[04:35] 这次是一个
[04:36] 我上了一课的机会
[04:38] 要不要当成一个机会
[04:39] 后面下次遇到
[04:41] 这种暴杀的时候
[04:41] 可能我觉得更知道
[04:42] 怎么样去调整
[04:43] 就千万不要说
[04:44] 受到一点打击之后
[04:45] 然后说下次我又不要再玩了
[04:47] 就是你一定会经过很多打击
[04:48] 然后慢慢的人就变强
[04:49] 你只要确定你不会死掉就好
[04:52] 那昨天去参加那种比较久违的
[04:54] 就是类似那种大拜拜活动
[04:55] 有二十几个人跑去吃饭的那种场子
[04:58] 本来以为只有大概七八个人吧
[05:00] 因为主秀跟我讲说
[05:01] 只有七八个好朋友
[05:02] 我想说好OK啊
[05:03] 可以去一下
[05:03] 然后突然间跟我讲说
[05:04] 又不小心找太多人
[05:05] 然后变超级多人
[05:06] 所以其实一开始有点想跳
[05:08] 但因为是我们林口的好邻居
[05:09] 也是同意
[05:10] 那大家说要去吃个饭
[05:12] 我讲说好吧那就一起去
[05:13] 然后顺便也搭他们的便车
[05:14] 然后在这个车上呢
[05:15] 这很像以前的校车
[05:17] 然后大家就在那边挨好
[05:18] 就说啊今天早上部位砍太少
[05:20] 因为基本上我们看到这种
[05:22] 长黑可以突然间跑出来
[05:23] 我们一定就去做调整
[05:24] 那其实在礼拜一礼拜二的时候
[05:26] 就有蛮多人先去做调整
[05:28] 我礼拜一是没有调整
[05:28] 我礼拜一还在那边抄底
[05:30] 就是说这个伊朗的战争开打
[05:33] 那在我的心中
[05:34] 我觉得说这个代表
[05:35] 不确定性已经开始实践了
[05:36] 所以其实可以去抄看看短多
[05:38] 所以像美股跟台股
[05:40] 其实我都是在礼拜一的时候做多
[05:41] 然后礼拜一的时候还很得意
[05:42] 因为很多东西是买的那种开低
[05:44] 然后接着就直接冲涨停
[05:45] 觉得超级爽
[05:46] 然后在期货也捡到一些那种跳楼的东西
[05:49] 非常高兴
[05:49] 可是在礼拜二就好景不长
[05:52] 拉起来之后就直接沿路往下灌
[05:54] 蛮多礼拜一抄的东西就直接把它砍出去
[05:57] 反正在我的做法就是
[05:58] 只要大盘出场也可以
[05:59] 这里跟大家分享过无数次
[06:01] 我们就会去做减码
[06:01] 当然其实在过去台股已经狼来了好几次
[06:04] 反正就是每次掉下去
[06:06] 这边都会拉起来
[06:06] 可是不管
[06:08] 我们就一定要去做相对应的调整
[06:10] 我宁愿用后面
[06:11] 可能更高的成本去追回来
[06:12] 我也不要说什么
[06:13] 一堆东西套在身上
[06:14] 反正这是
[06:15] 每个人对部位的一种
[06:16] 那种控制方式
[06:17] 那我注意到
[06:18] 其实蛮多朋友都有去做调节
[06:20] 快的可能在礼拜一
[06:21] 那稍微慢一点在礼拜二
[06:22] 那最慢的可能就是在今天礼拜三
[06:24] 看到整个跳下去在动
[06:25] 可是我觉得今天跳下去
[06:27] 你才动的不太适合
[06:29] 就是我会觉得不太适合
[06:30] 就是如果今天
[06:31] 真的想要卖一点东西的话
[06:33] 其实
[06:33] 严格上来说
[06:34] 应该会用那种hedge的方式
[06:36] 就会去放一点对冲单
[06:37] 而不是直接把所有东西
[06:38] 都在恐慌的时候乱看
[06:39] 所以反而今天对我来讲
[06:40] 会是想要开始shopping的时候
[06:42] 那我其实去聚焦一下身边的朋友
[06:44] 我感觉大家的想法是一样
[06:46] 所以昨天在那个校车上的时候
[06:47] 大家是想要闪嘛
[06:49] 那今天其实就想要去找东西买
[06:50] 那也看到蛮多人
[06:51] 其实在早上都开始在买东西
[06:53] 就先小买一点
[06:54] 因为我们不知道会杀多久
[06:56] 所以先小买一点
[06:56] 先建立一些部位
[06:57] 那种过去没有买到的东西
[06:58] 就可以把它建立起来
[07:00] 那昨天这个吃饭
[07:02] 那种大拜拜聚会
[07:03] 就是以前大概两三年前
[07:04] 我会去参加
[07:05] 我都比较少去类似的活动
[07:07] 那又一样看到那种各地的这个少年董仔啊
[07:10] 或是一些那种中年股神啊
[07:12] 反正都是非常非常厉害的人
[07:13] 那大家其实也没有什么在聊股票啊
[07:15] 都在讲生活相关的东西
[07:17] 那也非常荣幸可以认识一些
[07:18] 就在市场里面
[07:20] 其实我已经算是久仰大名的人物了
[07:22] 那其中一位我觉得印象非常深刻
[07:24] 就是有一次网络上有人在嘴炮我的节目
[07:26] 反正就是在讲说什么
[07:27] 这个人怎么样子
[07:28] 就那个人他其实还不认识我
[07:30] 那时候他是不认识我
[07:31] 他只是我的听众
[07:32] 那可是我已经知道说
[07:33] 那个蛋也是很厉害的人
[07:35] 他就是跑去嘴那个人说
[07:36] 你说什么他不会做股票
[07:37] 你才不会
[07:38] 一定是你不会
[07:39] 所以那时候
[07:40] 我就对这个人印象很深刻
[07:41] 其实从以前到现在
[07:43] 我们节目不乏会被
[07:44] 人家可能踩一下
[07:45] 或者攻击一下
[07:46] 我觉得正常
[07:46] 就你出来混一定挨倒
[07:47] 谁不会被骂
[07:48] 连马斯克都整天
[07:49] 给人家当狗在干
[07:50] 所以其实我实在还蛮习惯的
[07:52] 但是我觉得
[07:53] 世上就要有一些白痴跟坏人
[07:55] 才会显示出一些好人
[07:56] 他们的品德是在什么地方
[07:58] 所以像过去的几次
[07:59] 可能像2022盘
[08:00] 比较不好的时候
[08:01] 或像前阵子
[08:03] 可能有人在网上打嘴炮的时候
[08:05] 看到这些人就是我不认识你
[08:06] 或者其实我跟你没有这么熟
[08:07] 然后你竟然在那边雪中送炭帮我讲话
[08:10] 在人家嘴我的时候
[08:11] 然后你敢站出来帮我讲话
[08:12] 这些人其实我在心中都是超级景仰
[08:15] 我会觉得说反正你会雪中送炭的人
[08:17] 你会在人家看不到的地方
[08:18] 因为你怎么知道我会看到
[08:19] 对然后可是你在人家没有看到的地方
[08:21] 你还是把事情做
[08:22] 这个就是人品的一个最高标
[08:25] 所以有兴趣认识这些人
[08:26] 因为以前都只是比较像是说
[08:28] 我知道每家投资公司在干嘛
[08:30] 因为其实我们算是那种地下情报中心
[08:32] 我都知道你们大家在干嘛
[08:33] 可是我并没有去认识这些人
[08:35] 那现在有一些机会可以接触到
[08:37] 我觉得蛮不错
[08:37] 那当然有时候还是会有一些那种
[08:39] 就像是之前
[08:40] 我自己身边的大哥跟我分享
[08:42] 他很多时候会不想听一些交易师
[08:44] 讲说他们绩效怎么样
[08:45] 因为不是啊
[08:46] 交易是这么大一件
[08:47] 就永远都会有人赚烂
[08:48] 那每次有人赚烂的时候
[08:49] 出来分享
[08:50] 那听久了之后
[08:51] 你真的会觉得说
[08:51] 他妈我到底是不是废物
[08:52] 因为每年都有人
[08:53] 这个又赚几亿
[08:54] 那个又几十亿
[08:55] 这个又买到什么
[08:56] 那个又怎么样
[08:56] 重压什么
[08:57] 这一波就可能都会买到什么
[08:59] 记忆体
[08:59] 很多人光通或什么的
[09:00] 都赚了非常多钱
[09:02] 所以你听久了之后
[09:02] 你真的会开始去怀疑说
[09:04] 他妈我到底是不是废物
[09:05] 为什么人家可以赚这么快
[09:06] 我们可能自己也不错
[09:07] 可是为什么人家他妈
[09:08] 一年可以20倍
[09:09] 我们到底在干嘛
[09:10] 你会去思考这些
[09:11] 即便你知道理性上来说
[09:13] 他扛这么多的风险
[09:14] 才有办法拿这个报酬
[09:15] 这样你扛要不要扛
[09:16] 你可能也不一定
[09:17] 所以你知道说
[09:18] 反正每个人就是去
[09:19] 为自己的选择付出他的代价
[09:21] 有可能他就真的
[09:22] 骰到比较好的骰子
[09:23] 就获得很好的一个成就
[09:25] 可是问题是
[09:25] 如果真的要给你骰
[09:26] 你可能也不敢
[09:27] 所以你自己要知道说
[09:28] 你的报酬的来源是什么
[09:30] 你扛的风险是什么
[09:30] 然后后来你久了之后
[09:31] 你可能就慢慢释怀了
[09:32] 所以其实我现在慢慢释怀
[09:33] 以前我觉得可能
[09:34] 我稍微去避免这些场合
[09:36] 就是因为我不想一直受到刺激
[09:37] 因为有时候我真的会这样
[09:38] 我在外面看到人家怎么屌赚
[09:40] 那回到家
[09:41] 其实我们自己也不错
[09:42] 可是我觉得压力很大
[09:43] 为什么你们可以这么快
[09:44] 为什么这么慢
[09:45] 所以那一天我可能就不睡了
[09:46] 那一天我就一直在研究东西
[09:47] 虽然这些研究
[09:48] 严格上来说
[09:49] 不一定对你有帮助
[09:51] 就像是我最近在网上
[09:53] 就是Facebook跟大家分享说
[09:55] 我去用了那个Proplexity Computer
[09:57] 就是它是一个
[09:58] 有点类似那种云端沙盒
[09:59] 类似Open Cloud的一个云端板
[10:01] 那我用了那个东西之后
[10:03] 其实我觉得
[10:04] 就是一些量化的工作
[10:05] 你要有办法去追踪说
[10:07] 它到底帮助你多少
[10:09] 那个是比较容易
[10:10] 类似说我可能去用了AI之后
[10:12] 用了一些agent
[10:12] 用了一些什么scale sets之后
[10:14] 然后它让我的
[10:15] 可能接的案的数量变三倍
[10:17] 或者说我完成的速度快三倍之类的
[10:20] 可是像我们的工作
[10:21] 我很难去跟大家分析说
[10:23] 究竟我现在绩效不错
[10:25] 是因为
[10:26] 第一个老子运气好
[10:27] 第二个我有AI的工具
[10:29] 第三个可能我有很多听众
[10:31] 会给我一些产业资讯
[10:32] 第四个可能我技术面又变更强
[10:34] 第五个可能我认识一些玄学大师
[10:36] 会跟我讲说盘会怎么样走之类的
[10:38] 我根本没有办法去定义说
[10:39] 我到底是因为哪一个
[10:41] 然后我的绩效变好或什么的
[10:43] 甚至是如果今天进入到2022年
[10:45] 我跟你讲你在2022那种盘式
[10:46] 你越会研究的你越死
[10:48] 摔到你妈都不认得
[10:50] 所以很多时候我们的工作
[10:51] 没有办法很量化的去写出来
[10:54] 说到底是因为什么因子
[10:55] 所以我们的绩效怎么样
[10:56] 拉长看可能还可以
[10:57] 可是短线上看不出来
[10:58] 所以其实我也不知道说
[10:58] 到底AI帮我工作多少
[11:00] 或是我去认识这些人
[11:02] 到底他帮助我的工作多少
[11:04] 最后面我的想法很简单
[11:06] 既然我都不知道
[11:07] 到底理由是什么
[11:08] 那我可不可以用简法
[11:09] 可不可以我就让我生活单纯一点
[11:10] 所以后来我之所以
[11:11] 可能比较少出门
[11:12] 比较少接触人
[11:13] 也比较少去参与一些事实
[11:15] 也比较少在跟Telegram
[11:16] 跟一些听众聊天的一些主因
[11:19] 慢慢减少
[11:19] 就是有发现说杂讯太多
[11:21] 其实像这个世界的问题
[11:22] 是杂讯太多
[11:23] 而不是资讯不够
[11:24] 资讯超级多
[11:25] 杂讯也超级多
[11:26] 所以重点是要把杂讯给过滤掉
[11:28] 然后去留下最纯粹的人
[11:30] 所以其实在交友这边也是
[11:32] 就当我今天注意到
[11:33] 有些那种人品超好的
[11:35] 然后或者是说
[11:36] 会雪中送炭的
[11:37] 会在背后讲好话的
[11:39] 然后不是杠精的
[11:40] 就这种人我都觉得说
[11:41] 可以好好的把大家交起来
[11:43] 那一天因为有Nakashi在现场
[11:45] 那我就看大家在点什么歌
[11:47] 在那边点独家记忆
[11:48] 在那边唱独家记忆
[11:49] 我就知道说
[11:50] 这个一定是满手南亚科华邦店
[11:52] 旺宏不然什么
[11:53] 美光SNDK之类的
[11:55] 像我就是点回到过去
[11:57] 因为我真的是想回到
[11:58] 礼拜一的九点半
[11:59] 我说什么
[12:00] 礼拜二也不用九点半
[12:01] 十点也可以
[12:02] 再多砍一点部位的话
[12:04] 我现在余余就更多了
[12:05] 因为其实调整的
[12:06] 怎么讲
[12:07] 没有想到会叠这么快这么多
[12:08] 所以有调
[12:09] 但是调的不够多
[12:10] 所以就知道
[12:11] 在今天再赶快再往用补劳一下
[12:13] 但我觉得怎么讲
[12:14] 就有时候说近看是一个悲剧
[12:16] 远看就变喜剧
[12:17] 你现在又想说
[12:18] 早知道调多一点
[12:19] 然后买慢一点
[12:20] 可是你拉长看
[12:21] 搞不好你就想说
[12:21] 那时候连调都不用调
[12:23] 我直接一路抱过去
[12:24] 趋势抓队
[12:24] 我一样会赚钱
[12:25] 但不一定
[12:26] 就对我们来讲
[12:26] 因为我们的部位
[12:28] 会有蛮多那种
[12:28] 像我自己有一大堆
[12:29] 那种动能的
[12:30] 就有些在追报价
[12:31] 像我就发现说
[12:32] 有些报价推不起来
[12:33] 像礼拜一国际
[12:34] 不是开了一个
[12:35] 那个坦电的涨价性吗
[12:36] 开出来没有涨
[12:37] 我就觉得说
[12:37] 被动营业券应该又不行了
[12:38] 我本来上礼拜
[12:39] 觉得说被动营业券可以
[12:40] 然后看到他开了
[12:41] 這個彈電的不會漲
[12:43] 然後接著
[12:43] 聽說接下來春田也要去開一個漲價性如果說也沒漲的話我覺得說這個漲價可能就告一個段落所以股票還是要人愛啦有時候那種基本面可能一直都是摆在那都不错可是问题是有没有办法成为下一波趋势的东西也蛮重要的所以不管大家选择是什么
[12:56] 不管是要唱独家记忆
[12:58] 还是你要唱什么其他有的没有的
[12:59] 希望说在这一波
[13:00] 大家都可以顺利安稳的度过
[13:02] 当你觉得自己很惨的时候
[13:04] 你就转头看一下美股的投资人
[13:05] 看一下我
[13:06] 因为我手上也蛮多美股
[13:07] 你就知道说
[13:07] 其实台股这个根本就小事情
[13:09] 或你看近一点
[13:10] 看邻居你看韩国
[13:11] 韩国应该一堆人要去跳了
[13:12] 所以反而就尽量保持内心的一个清醒跟冷静
[13:16] 我觉得这是很重要的
[13:17] 然后好好的面对后面看有什么样的一些状况
[13:20] 大概这样子
[13:21] 那接下来我们就要聊一下
[13:22] 对于这个市场的一个看法
[13:23] 因为在过去的几集
[13:25] 我都一直有跟大家提到说
[13:26] 我觉得这个盘面是要警戒
[13:28] 那一样大家知道我不是那种收割型的
[13:30] 我根本懒得屌
[13:30] 说我过去讲什么到现在怎么样
[13:32] 没有因为我们只想把自己的工作做好
[13:34] 所以过去就是一个比较警戒的盘试
[13:37] 那不管其实美股跟台股
[13:38] 我觉得都差不多的一个感受
[13:40] 台股它是很意外的
[13:41] 就是涨到我有点看不懂
[13:43] 但没有办法
[13:44] 因为涨的时候
[13:44] 你还是要有一些部位
[13:45] 所以我觉得我们真的是硬嘴
[13:46] 软趴捏了就硬嘴
[13:48] 当然就在过去
[13:49] 就会被罚到一些
[13:50] 我可以老讲
[13:51] 罚的也不多
[13:51] 因为真的喷太多了
[13:52] 所以反正就是赶快
[13:54] 把现金调一点出来
[13:55] 因为你要去面对后面的波动
[13:57] 就可能不要让自己的水位
[13:58] 是超级高
[13:59] 什么好多杠杆之类的
[14:00] 以伊朗的战争来讲
[14:03] 我本来看到他
[14:04] 光速的去斩首
[14:05] 伊朗的最高领导之后
[14:07] 我就觉得
[14:07] 应该是差不多告一个段落了
[14:10] 有可能礼拜一还会看到一些那种逆势的大涨
[14:13] 那礼拜一确实是
[14:14] 当这个战争的风云出来之后呢
[14:16] 那台股有蛮多东西开低嘛
[14:17] 那抄底就是有成功
[14:19] 很多抄的时候就甚至直接跑去摸涨停
[14:21] 那在这个美股呢
[14:23] 那一些可能过去比较烂的软体啊
[14:26] 或是一些巨头
[14:27] 他们都开始出现一些那种涨势
[14:28] 所以其实我一开始判断是觉得说
[14:30] 那可能战争就这样
[14:31] 那只是后来在礼拜二的时候
[14:33] 我觉得是礼拜二的台股的盘开始先变得不好
[14:36] 然后同时我们又有收到一些资讯
[14:37] 那像身边有些朋友
[14:39] 他们被困在欧洲
[14:40] 或是直接困在阿联酋那边
[14:42] 现在是没有办法出来
[14:42] 为什么
[14:43] 因为机场是被炸了
[14:44] 那有些朋友呢
[14:45] 是侥幸的逃过
[14:46] 说什么那个登机门
[14:47] 他前一天才在那
[14:48] 然后隔天就炸那个地方
[14:49] 那所以呢
[14:50] 他现在的状态是
[14:52] 伊朗的最高领导
[14:53] 虽然被斩首了
[14:54] 可是呢
[14:55] 下面我们不太确定说
[14:56] 他的理由是什么
[14:57] 有一个说法说
[14:58] 群龙无首
[14:59] 所以大家都按照本来的
[15:00] 一个预划的规划
[15:01] 乱打一通
[15:02] 那另外一个说法就是说
[15:03] 因为他们现在就是要
[15:04] find a way out
[15:05] 所以要怎么样翻来围割呢
[15:07] 就类似说像有些罪犯
[15:08] 就会透过纵火的方式
[15:10] 制造混乱之类
[15:11] 所以这可能是某一种制造混乱
[15:12] 就到处都炸一下
[15:13] 那还有另外一种说法
[15:15] 是在讲说
[15:15] 他就借由去打这些周边的游国
[15:19] 同时他们也是美国的盟友
[15:21] 所以希望这样可以去牵制
[15:22] 就是让美国这边受到一点压力
[15:25] 说你不要再打伊朗了
[15:26] 不然你看我们国家的东西被炸
[15:27] 这个几率我觉得偏低
[15:29] 因为应该是没有人拉得住川普
[15:30] 反正总之就是有一些说法
[15:32] 那我们先不管这些说法
[15:33] 到底谁对谁错
[15:34] 我们先观察一个结论
[15:36] 结论就是说
[15:36] 这个不确定性是走得比大家
[15:39] 或是我自己想象来的久
[15:40] 因为我本来猜想是说
[15:41] 你就斩首掉
[15:42] 跟那个Benzuela一样
[15:43] 首领直接给人家抓走
[15:44] 应该就差不多了吧
[15:46] 结果没有想到
[15:46] 伊朗是还蛮抗打的
[15:48] 所以他们还在发动一些
[15:49] 那种无人机
[15:50] 或者说一些导弹的攻击
[15:51] 导致其实我觉得不确定性
[15:53] 是有一点在加大
[15:54] 然后特别是又有海峡的封锁
[15:55] 革命卫队去封锁了海峡
[15:57] 所以怎么讲
[15:59] 我其实有在考虑说
[16:00] 要不要去搞一点航运股
[16:01] 因为那时候有看到说
[16:02] 像那个货柜集装箱的价格跳上去
[16:05] 那只是同时我就看到说
[16:06] 感觉货运内股
[16:08] 他们虽然有上去
[16:09] 可是怎么讲不够强
[16:10] 如果说今天直接冲涨停
[16:12] 我可能就跟着锁了
[16:12] 可是就他不够强
[16:14] 所以对我来讲
[16:15] 我就觉得说我也不知道要买什么
[16:16] 那同时其他东西在下
[16:17] 所以其实在礼拜要去做调整
[16:19] 最主要原因是这样
[16:19] 就已经发现说
[16:20] 你前一天抄底的东西
[16:21] 蛮多已经快掉回去
[16:23] 你抄底的成本了
[16:24] 赶快烙干
[16:24] 然后过去挡了一些报价的东西
[16:26] 没有上
[16:26] 我赶快谈赶快调整
[16:28] 那赶快把现金调出来
[16:29] 所以在今天才有余裕
[16:30] 去做一些新的布局
[16:32] 那接下来讲就是
[16:33] 我觉得这个不确定性
[16:34] 它有可能会
[16:35] 比想象中的再久一点
[16:37] 那接下来说像川普
[16:38] 现在讲说要打一个月
[16:39] 所以乐观一点的话
[16:41] 我们可以讲说
[16:41] 因为市场会走在前面
[16:42] 所以搞不好一两个礼拜
[16:43] 修正就结束
[16:44] 那我觉得直接看指数最准
[16:46] 指数开始拉一个
[16:47] 美国拉长绿
[16:48] 台湾拉长红
[16:49] 可能就差不多了
[16:49] 那如果说不看指数的话
[16:51] 直接用乱猜
[16:52] 我就觉得说
[16:52] 假设他讲的是一个月
[16:53] 那一个月也对的话
[16:54] 那差不多就是两三个礼拜
[16:55] 有机会可以再做比较大力的去测试
[16:58] 就看有没有这个抵到了之类的
[17:01] 但也不一定
[17:01] 因为觉得说像那个俄罗斯人
[17:03] 那时候是讲说
[17:04] 要在几天内就结束乌克兰
[17:05] 就打了好几年
[17:06] 那我们不知道说
[17:08] 这个对伊朗的战争
[17:10] 有没有可能会打到超乌想象的久
[17:12] 所以因为我们过去在2022
[17:14] 在处理乌克兰战争的时候
[17:15] 其实那时候身边很多人的想法
[17:16] 也是认为说
[17:17] 它只是一个区域战争
[17:19] 然后外加它其实影响到的国家
[17:21] 并不是那种最主流的国家
[17:22] 所以其实大家的想法都觉得说
[17:24] 这个是小事情
[17:25] 那时候其实真的蛮多人这样想
[17:27] 只是没有想到
[17:28] 2022那时候跌超多
[17:29] 当然它不完全是因为乌鸥战争
[17:30] 后来也有因为供应链去化的问题等等
[17:32] 那我能够说下
[17:34] 这个世界的一个联系程度
[17:37] 有时候超乎大家的想象
[17:38] 一些那种
[17:39] 怎么讲
[17:39] 小股牌可能最后就推到大股牌去
[17:41] 会不会油价持续上去
[17:43] 比如说美元的一些变化
[17:44] 美债的变化
[17:45] 那或是说
[17:46] 因为这个通膨的变化
[17:47] 油价假设维持在相对高档一阵子
[17:50] 它说不定就不降息
[17:51] 那不降息就当然会牵引到资本市场的资产
[17:54] 那会不会也牵引到就是一些公司
[17:57] 可能目前扛了一些比较大的债务
[17:59] 或者他发债投资的压力会比较大一点
[18:01] 他可能就决定说不要投资这么多
[18:03] 这都是有可能的
[18:03] 所以对我来讲就是说
[18:05] 我本来以为斩首那就是不确定性差不多
[18:07] 我也因为这样去试探
[18:09] 其实很多时候我们有想法
[18:10] 我们就直接拿钱去做测试
[18:11] 就真金白银下去
[18:13] 那只是发现那种风向不太对的时候
[18:15] 还是稍微观望一下
[18:16] 所以目前看会觉得说这个不确定性
[18:18] 有可能比我自己想象中来得多
[18:20] 不然其实我本来的规划是说
[18:22] 因为美股那时候说要警戒
[18:23] 就是因为有一些不确定性在那
[18:25] 然后等到这些不确定性实践之后
[18:27] 也就是说利空实践之后
[18:28] 然后不跌
[18:29] 一般对我们来讲就是买一点
[18:30] 所以我觉得还是要稍微的再观察一下下
[18:33] 但我自己是有先下去试单的
[18:35] 就是这个怎么讲
[18:36] 这见仁见智
[18:37] 很多人都想要买在最低点
