[00:00] 歡迎收聽谷愛維生物工本期節目由扇存贊助
[02:35] 那哈利國老師說
[02:36] 他們小時候都會覺得說
[02:37] 學俄文是比較正統
[02:38] 我想說可能就跟我們這邊
[02:39] 會想說什麼講標準話
[02:41] 這個mandarin
[02:42] 然後是比較正統
[02:44] 然後一些可能比較偏方言的
[02:45] 或是比較少人用的
[02:46] 大家就覺得說
[02:48] 然後沒有想到一下意外的發展成為說
[02:50] 就是你講俄文在俄羅斯
[02:52] 不是俄羅斯
[02:52] 就是說在歐洲這附近
[02:53] 可能會有機會幫自己惹上一些麻煩
[02:56] 因為我太太自己就想說
[02:57] 非常明顯的感覺到
[02:58] 她有時候跟即便這些俄羅斯商店的人講話
[03:02] 那大家就會稍微的測目一下
[03:04] 她說應該不是她體感而已
[03:06] 就是實際上他們應該是真的不太喜歡
[03:08] 所以就乾脆就講英文
[03:09] 那陪她去這個商店
[03:11] 就是買她喜歡吃的各種小東西
[03:14] 就算是幫忙解一下她的思鄉的情緒
[03:17] 只是它之所以是一個小成就
[03:19] 是因為反正我不知道
[03:20] 什麼每次到羅馬
[03:21] 就真的是非常非常出門
[03:22] 那我平常都會選擇要搭計程車
[03:25] 因為我岳母的車子
[03:26] 實在是他媽很鳥
[03:27] 它就是一個Fiat的手排車
[03:29] 那很多時候都覺得說
[03:30] 那個孩子的爸
[03:31] 就小舅子小姨子的爸爸
[03:33] 是很有錢的人
[03:34] 他有好幾臺法拉利
[03:35] 而且是那種
[03:35] 就是限量古董款什麼的
[03:37] 那他媽就怎麼會買給他的女朋友
[03:39] 就是我岳母
[03:40] 然後這麼他媽垃圾的車子
[03:41] 這到底是啥小
[03:42] 很多時候都跟我岳母講說
[03:43] 乾脆我買一臺車給你
[03:44] 但他是完全不接受
[03:45] 就是我在他身上花錢
[03:47] 我覺得還蠻屌的
[03:48] 他一直講說
[03:49] 就是那個男生認為說
[03:51] 手排車才是真正的車子
[03:53] 你買那種自排車
[03:54] 又不是真正的車子
[03:55] 所以他說的車子
[03:56] 只要可以買手排
[03:56] 他絕對都買手排
[03:57] 但我不知道
[03:58] 是因為他可能在
[03:59] Toscana那邊
[04:00] 然後平常開車
[04:01] 你知道就是沒有什麼人
[04:02] 所以他就覺得說
[04:03] 手排車沒差
[04:04] 可是在羅馬開手排車
[04:05] 我覺得是一個
[04:06] 蠻痛苦的事情
[04:06] 就是說街道本身
[04:08] 是比較小一點
[04:09] 然後外加有很多的
[04:10] 上上下下
[04:11] 因為像羅馬
[04:12] 好像有七個球
[04:13] 那我們就住在其中一個球
[04:14] 就是那種偏山坡地
[04:16] 因為類似那種木柵
[04:16] 什麼萬芳社群那種感覺
[04:18] 就是在半山腰的地方
[04:20] 所以你上下的時候
[04:21] 你知道路邊又有很多車子
[04:23] 有些人會突然停下來
[04:23] 或是有新人要過什麼
[04:24] 你就要整個停住
[04:26] 那你一停住
[04:26] 你就要把這個手剎車拉起來
[04:28] 因為以前我們都考過手排駕照
[04:30] 知道嗎
[04:30] 以前大家都講說
[04:32] 你就要先考手排駕照
[04:33] 這樣以後自排手排都可以開
[04:34] 但我其實覺得就考自排就好了
[04:36] 但確實就是還有那時候
[04:37] 我爸給我上的是手排的
[04:39] 所以我可以開手排車
[04:40] 還是覺得麻煩
[04:41] 就是什麼
[04:43] 整個停下來
[04:44] 然後把手煞車拉起來
[04:45] 然後接著呢
[04:46] 等到要啟動的時候呢
[04:48] 手煞車放下去
[04:49] 你還要搭配離合器
[04:50] 跟油門一起踩
[04:50] 不然可能往後滑
[04:51] 然後這邊的人開車習慣又很差
[04:53] 他們都喜歡去貼前面的車子
[04:55] 所以你只要稍微往後滑一點點
[04:57] 應該就會出車禍
[04:58] 就超靠北
[04:58] 他們的習慣真的差到不行
[05:00] 像是我老婆去跟我分享
[05:02] 那個Vanskin的主唱
[05:04] Domiano Davi
[05:05] 在一個訪問裡面就提到說
[05:06] 開車有兩種
[05:07] 一個就是他們在LA的開車方式
[05:08] 另外一種就是羅馬的開車方式
[05:10] 是不一樣的
[05:11] 那他講的是對的
[05:12] 就是羅馬的開車方式
[05:13] 真的非常瘋狂
[05:14] 有時候大家會講說
[05:14] 在臺灣這邊
[05:15] 開車上路好像是說
[05:17] 怎麼大家坐在方向盤
[05:18] 變成另外一個人格
[05:19] 我跟你講
[05:19] 羅馬是一個更誇張的地方
[05:21] 就是很瘋狂
[05:22] 他們開車都是很衝
[05:23] 然後再來就是
[05:24] 即便是開這種小小的車
[05:26] 他們還是開的
[05:27] 就好像自己是那種
[05:27] Gangster一樣
[05:28] 明明就是一個單線道
[05:30] 他可以把它變成是
[05:30] 三臺車並排
[05:31] 超誇張
[05:32] 就停個紅綠燈
[05:33] 他們就要搶快
[05:34] 就直接插在你旁邊
[05:35] 我真的覺得超靠夭
[05:36] 然後再來就很喜歡
[05:36] 拿手在那邊比來比去
[05:38] 所以我平常非常抗拒開車
[05:40] 但因為我老婆
[05:40] 真的是太想要去俄國商店
[05:42] 然後我岳母在那邊講說
[05:43] 你每次都搭計程車
[05:44] 計程車很貴
[05:45] 我也懶得跟她解釋說
[05:46] 計程車這個費用
[05:47] 對我們來講其實就還好
[05:48] 但反正岳母都這樣講
[05:49] OK 她叫你開車
[05:50] 你就開車吧
[05:51] 在路上很幸運
[05:53] 就是沒有遇到什麼出路的人
[05:54] 有看到別人被出路
[05:56] 可是沒有出路到我自己
[05:57] 我會覺得說心情非常好
[05:58] 不然很多時候
[05:58] 像我在路上會有一點路怒症
[06:00] 就是因為我很討厭那種沒有禮貌
[06:03] 或者說故意不給你錢
[06:08] 整天按喇叭然後逼車什麼
[06:09] 就是這種會讓我超級憤怒
[06:11] 就我的怒怒是來自於這個
[06:12] 那可是因為老婆又不會開手排車
[06:14] 所以只好由我出嘛
[06:15] 然後不然怎麼就覺得說
[06:16] 我光是開車子
[06:17] 然後在羅馬這種熱色街道
[06:19] 載你去一個俄國商店
[06:21] 我覺得說我應該是
[06:22] 不敢講年度啦
[06:23] 可是月度或者說周度的最佳老公
[06:26] 應該是已經上榜了
[06:27] 真的超熱色完全不想要出門
[06:29] 那就完成了我們的小任務啦
[06:31] 然後在接下來的幾天呢
[06:33] 會帶我太太回去西班牙看一下
[06:36] 因為西班牙算是他真正成長的地方
[06:38] 義大利是後來他們才搬過來
[06:40] 我們最近就看到說在他
[06:43] 西班牙的住家附近
[06:44] 就Torrevieja跟Adicante那邊
[06:45] 然後最近有一個什麼大風暴
[06:48] Hurricane在那裡
[06:49] 我第一次在Yahoo的天氣上面
[06:51] 我記得好像颱風的時候
[06:52] 在臺灣都不會顯示
[06:53] 可是這邊就直接顯示說
[06:55] 那邊有一個很大的Hurricane
[06:57] 然後非常的危險
[06:58] 可能會對你的生命
[06:59] 跟你的財產造成巨大的破壞
[07:02] 我想說幹這樣我們還要去嗎
[07:03] 然後趕快看一下Windy
[07:04] 然後就發現應該我們到
[07:06] 這個風雨就減弱了
[07:08] 然後去看一下
[07:10] 順便去了解一下
[07:11] 我太太講
[07:11] 因為我太太在講說
[07:12] 她其實還是蠻希望
[07:13] 小朋友可以在西班牙受教育
[07:15] 我也不知道
[07:16] 就想說反正
[07:16] 一般我都站反對
[07:18] 這一次她跟我講說
[07:19] 有一個不錯的社群
[07:21] 是那種封閉式管理的
[07:22] 所以不會遇到
[07:23] 那個occupados
[07:24] 好像是這樣念
[07:25] 反正就是說
[07:26] 西班牙這邊有一個很有趣的
[07:27] 我好像應該說
[07:28] 歐洲很多地方都是這樣子
[07:29] 他們對於那些
[07:31] 所謂的非法移民
[07:32] 或者是難民
[07:33] 他們是非常寬容的
[07:35] 就大家講的歐洲左交
[07:36] 那當然現在已經開始有反覆了
[07:38] 可是就是說
[07:39] 還是在一些地方法規上
[07:40] 像我老婆住的地方
[07:41] 就是你可以去佔領人家的房子
[07:43] 你佔領人家的房子
[07:45] 然後接著可能一段時間
[07:46] 都沒有被趕走的話
[07:46] 那個房子就是
[07:47] 類似變成是你的
[07:49] 當然不是說什麼產權商
[07:50] 都變成是你的
[07:51] 這就是人家不可以
[07:52] 直接把你趕出去
[07:53] 所以他們最近就開始
[07:55] 有一個這種地下生意的興起
[07:57] 就是找一堆那種猛男
[07:58] 官方網站都放猛男
[08:00] 他就專門去幫你把這些人打出來
[08:01] 就用打的
[08:02] 因為他知道說
[08:02] 你去找警察什麼
[08:04] 他們會跟你講說
[08:04] 沒有辦法處理
[08:05] 所以就直接用扁的
[08:06] 把它扁出來
[08:07] 這個還蠻有趣的
[08:08] 所以他後來就跟我講說
[08:09] 如果真的在西班牙這邊
[08:10] 還要再自產的話
[08:11] 那就一定要買這種
[08:12] 封閉式有人管理的社群
[08:14] 不然你家如果被這種
[08:15] Acupado Smart
[08:16] 跑進去的話
[08:17] 就會很麻煩
[08:18] 所以也算是去了解一下
[08:20] 就是看孩子
[08:21] 有沒有直接在那邊長大
[08:22] 雖然我還是非常的反對
[08:23] 但還是就覺得說
[08:24] 反正老婆這樣講
[08:25] 我們就至少先去看看
[08:26] 你不要每次都直接拒絕人家
[08:28] 你先去看看
[08:28] 你先去體驗一下
[08:30] 搞不好真的比較好
[08:31] 雖然我覺得機率很低
[08:32] 那再跟他小以大意說
[08:34] 為什麼我們可能在臺灣長大
[08:35] 會是一個更好的選項
[08:37] 所以大家跟大家分享一下
[08:38] 最近的一些生活小心得
[08:40] 好那大家在前幾集節目的時候
[08:41] 聽眾問到說
[08:42] 就是什麼時候會想要去做一些解碼
[08:44] 那像昨天
[08:45] 其實現在時間有點難
[08:47] 難分就禮拜四的
[08:48] 這個臺股的日盤
[08:49] 你應該有注意到說
[08:51] 一些就是過去長很兇的股票
[08:53] 然後開始出現一些回檔
[08:54] 這個就是我們很多人會去做解碼的地方
[08:57] 那只是因為我現在是
[08:58] 已經是進入那種半休假模式
[09:00] 就是我不太想要做太積極
[09:02] 所以我的槓桿沒有開很大
[09:03] 那因為這樣子
[09:04] 我就可以去吞
[09:05] 可是如果說今天是
[09:06] 選擇把部位打比較滿的人
[09:08] 其實都會趁這種時候
[09:10] 去把一些部位做降低
[09:11] 那當然我知道
[09:12] 有些人會直接去看後照鏡講說
[09:14] 可是前面幾次回檔
[09:15] 拉回都是買
[09:16] 這個就是說在市場裡面
[09:18] 很多人要花幾年
[09:20] 才去理解的事情
[09:21] 就是你不可以太有慣性的
[09:22] 去思考一些事情
[09:23] 或者說你不可以
[09:24] 太用後照鏡開車
[09:26] 然後去拿
[09:26] 因為過去是這樣
[09:27] 所以未來就一定是這樣
[09:28] 不一定是這樣子
[09:28] 因為很多時候
[09:29] 你的體感是錯的
[09:30] 就是你要去做這種統計的話
[09:32] 你要拉更長的時間
[09:33] 不能看這麼短
[09:35] 所以一般就是
[09:35] 在這種就是突然間的大回答
[09:38] 然後有些東西去做跌破的時候
[09:39] 就是大家會先減
[09:40] 就先跟著跑
[09:41] 如果後面覺得是錯的
[09:43] 要再買回
[09:43] 那是後面的事情
[09:44] 或者說你可能就跑一部分
[09:46] 然後剩下的看會怎麼樣
[09:47] 就是拉長一點去做
[09:48] 所以這個是
[09:49] 就回應一下
[09:50] 因為有蠻多聽眾在問這件事情
[09:52] 因為最近行情太好
[09:53] 所以一般我們之中
[09:54] 就是可能當然市場裡面的做法
[09:56] 各種都有
[09:57] 只是像我自己跟同意
[09:59] 就是我們會有一些那種動能成分
[10:00] 會有一些交易成分的人
[10:01] 我們會在這個地方去做一些減碼
[10:04] 只是因為我現在波已經降低了
[10:06] 所以我根本就不用調它
[10:07] 我就是直接選擇試用扛過去
[10:09] 再稍微看一下再來說
[10:10] 大家跟大家分享一下
[10:12] 這算是一個機會教育
[10:13] 因為很多人在問說什麼時候
[10:15] 像這個就是一個很好的時間點
[10:16] 或是前面幾次那種有迴盪出來
[10:18] 其實都是大家會去做減碼
[10:20] 或是當你減碼之後
[10:21] 就算你要買回來
[10:22] 你不一定會買回來原本的標的
[10:23] 你會稍微看一下
[10:24] 類似我跟大家分享說
[10:26] 在臺積電的法說會上面
[10:28] 我會把它視為是一個checkpoint
[10:29] 所以在這之後如果不夠強的話
[10:31] 那我可能就會選擇不要再去做加碼
[10:33] 甚至是把部位給砍掉
[10:35] 這個是在交易方面的一些小訣竅
[10:37] 但不一定百分之百會準
[10:38] 跟大家分享一下
[10:39] 剛剛前面提到說
[10:41] 因為有很多時候會有那種
[10:43] 就是大家可能是用後照鏡看
[10:45] 然後就覺得應該是怎麼樣
[10:46] 其實最近有看到一些討論
[10:47] 是類似這樣子的東西
[10:48] 像我看到有一個分享
[10:51] 就是提到說什麼臺灣的一些網通廠
[10:53] 那好在他選的
[10:54] 可能某一個網通廠
[10:56] 因為後來
[10:56] 現在看起來
[10:57] 是那個網通廠是最噴
[10:58] 可是其實如果
[10:59] 像我們這種知情人士的話
[11:01] 就知道說
[11:02] 兄弟其實你選的理由
[11:04] 就是你當時會選擇
[11:05] 這三個網通廠選一
[11:06] 那個理由跟現在
[11:07] 他在噴的理由
[11:08] 完全是不一樣的
[11:09] 就類似說可能像是
[11:11] 過往的一些新人殺手東巴
[11:12] 像是旺紅
[11:13] 然後或者是
[11:14] 像是這個文茂
[11:16] 過去可能大家會買他的理由
[11:18] 跟他家噴的理由
[11:18] 其實都是有一些差異
[11:20] 所以你不能夠因為說
[11:21] 你out對了
[11:22] 就是因為你過去
[11:22] 可能是買A理由
[11:23] 然後現在噴B理由
[11:24] 總是就是噴
[11:25] 所以就是我贏
[11:26] 這個當然你隨便
[11:28] 你要怎麼去亂做股票
[11:30] 那是你家的事情
[11:30] 只是像我自己
[11:32] 可能有在幫忙輔導的一些人
[11:34] 他如果這樣跟我講的話
[11:35] 我就跟他說你這是錯的
[11:36] 就是說推論的一個過程
[11:38] 是非常重要
[11:38] 就你不可以講說什麼
[11:39] 反正最後面都是漲
[11:40] 所以我這樣做就是對的
[11:42] 沒有
[11:42] 就算有些錢你賺到
[11:44] 也不代表說是你厲害
[11:45] 因為那可能是你賽道
[11:46] 所以到底邏輯上
[11:48] 是怎麼樣推的是非常重要的
[11:50] 就是你是怎麼樣做出這個判斷
[11:51] 這個決策的品質好不好
[11:53] 然後或者是說
[11:54] 可不可以去重複實行
[11:55] 這個是很重要的
[11:56] 所以就算有時候你是賠錢
[11:58] 可是這可能是一筆好的交易
[12:00] 因為你的行為模式是正確的
[12:02] 所以大概跟大家
[12:03] 簡單的分享一下
[12:04] 就是你不可能每次都會抓對
[12:05] 可是我們會有一些
[12:06] 算是共識上的一些行為模式
[12:09] 那這個共識上的行為模式
[12:10] 就可以幫助你去減少一些受傷害
[12:12] 但如果說今天是更進階的人
[12:14] 你聽到這種所謂的
[12:15] 共識的行為模式
[12:16] 那聰明的你應該就立刻的反映到
[12:18] 所以會有這麼多在做交易
[12:20] 或這些交易室的人會在這邊砍部位
[12:22] 那我是不是可以跟他們反著做
[12:24] 我就有機會可以去獲得一些alpha
[12:27] 這個是有機會的
[12:28] 這真的是有機會
[12:29] 那只是就是要大家自己去花時間去研究富貴險中求反正就是有時候你去承擔一些風險你可能就真的可以獲得比別人更大的一個報酬我們簡單來聊一下最近幾家公司
[12:40] 所公佈的一些資訊
[12:41] 艾斯莫爾這邊
[12:42] 算是把展望
[12:43] 直接開到蠻遠的地方
[12:44] 我們都知道說
[12:45] 這個股價就是走上去的時候
[12:46] 就直接掉下來
[12:47] 所以它跟臺股那時候的
[12:49] 裝置產物股是有點類似的
[12:51] 就是說雖然是開了一個
[12:52] 很好的利多
[12:53] 但它就跌了
[12:54] 前面是有漲的
[12:55] 所以代表說可能
[12:56] 就是前面的人都已經先提早pricing
[12:58] 這樣的一些好訊息
[12:59] 然後選擇在當好訊息正式見報的時候賣掉
[13:02] 所以就是非常經典的
[13:04] buy the rumor sell the news
[13:05] 就是一個非常經典這樣的一個操作
[13:07] 那當然這是用短線交易的一個角度
[13:09] 就是中長線的話
[13:10] 我個人是覺得說像這些裝置跟產物
[13:13] 那特別是像最近大家應該有看到
[13:15] 覺得說像是Ben Thompson
[13:17] 或者是Microsoft在電話會議裡面也提到
[13:20] 反正就是大家一直都強調一個重點
[13:22] 就是臺積電給的產能實在是不太夠
[13:24] 就算他現在已經拉高CAPEX
[13:26] 可是還是遠遠不夠
[13:27] 至少現在看是這樣子
[13:29] 這個我們已經聊過恩慈
[13:30] 就是臺積電這邊當然有他的考量
[13:31] 因為過去幾次陪你在那邊拉高CAPEX
[13:33] 然後最後面你們給我砍單
[13:35] 當然大家講說這次不一樣
[13:37] 可是當然站在公司的角度
[13:38] 還是會怕說會不會這次也一樣
[13:40] 所以我可以配合你們去上修
[13:41] 但是我無法無條件的無限上修
[13:43] 因為我承擔的風險是很大
[13:44] 或許不知道
[13:45] 假設客戶願意幫忙拿錢來扣產線的話
[13:48] 因為我們知道說在一些ODM廠就是這樣
[13:49] 他直接把你整條產線包下來
[13:51] 他出錢
[13:51] 他確保會有多少的東西進來
[13:53] 這可能是可以
[13:54] 可是也不一定是臺積電的商業模式
[13:56] 所以就是在目前的狀況之下
[13:59] 我們知道說
[13:59] 反正這些東西的業績
[14:00] 都還是會持續的好一陣子
[14:02] 那只是在交易的角度來說
[14:04] 就這些東西如果要去做的話
[14:06] 可能比較偏向是用左側去做
[14:07] 就不用右側
[14:08] 因為他在動能方面是很明顯的
[14:10] 已經就你這樣做的話
[14:11] 應該是會被修理
[14:12] 所以在臺灣是這樣子
[14:13] 然後在美國也是這樣子
[14:14] 因為在ASML開出來之後
[14:15] 你就注意到
[14:16] 在美國的走勢上
[14:18] 就直接是往上走
[14:20] 然後接著就掉下來
[14:20] 所以應該某個程度上
[14:21] 是為說以反應
[14:22] 因為他一次給的
[14:23] 這個指引是到比較遠的地方
[14:25] 所以這個大家稍微參考一下
[14:26] 然後再來就是在這個
[14:27] 半導體的生產領域
[14:29] 他們也提到說
[14:30] 記憶體是過去拉貨拉很多的
[14:32] 然後客戶在先進製程上面
[14:34] 因為用到更多的廣造
[14:35] 所以這個對ASML
[14:36] 都是一個長期的力度
[14:38] 大家應該還記得說
[14:39] 在ASML之前掉下去的時候
[14:41] 我們有出來
[14:41] 跟大家稍微的分享一下
[14:42] 因為每次掉下去
[14:43] 大家就會出來罵說是爛公司
[14:44] 我們那時候也沒有辦法知道說
[14:47] 什麼時候ASML
[14:48] 會突然這樣動起來
[14:49] 可是你就知道說
[14:49] 它有一個週期性的存在
[14:51] 現在可能當大家都已經覺得說
[14:53] 都是好訊息的時候
[14:54] 如果股價沒有繼續做動的話
[14:56] 這是為什麼我們看著股價去做事情
[14:57] 可能就會稍微的聽看聽一下
[15:00] 就是不會選擇去把它說的
[15:01] 不會都打在這個地方
[15:02] 所以看股價的表現是這個階段
[15:04] 就是我們會把它作為是一個
[15:07] 類似那種左手要輔助的一個工具
[15:09] 接下來我們來聊一下特斯拉
[15:11] 陳若我在過去可能一兩年
[15:13] 就跟大家分享
[15:14] 就是說其實特斯拉的交涉資料
[15:15] 已經不是特別重要
[15:17] 雖然還是有很多市場上的人
[15:18] 整天在盯這個資料
[15:19] 但我真的是覺得不重要
[15:20] 因為特斯拉的交車資料
[15:22] 是完全沒有辦法justify它的估值的
[15:24] 如果說你今天是看著交車資料
[15:26] 在做交易的話
[15:27] 我就很認真的問你說
[15:29] 那你的模型可不可以借我看一下
[15:30] 因為你絕對是沒有辦法
[15:32] 用交車資料來佐證說
[15:34] 為什麼它可以在這個估值
[15:35] 你絕對沒有辦法
[15:36] 所以你就是在看氣氛
[15:37] 什麼交車資料看起來是上修
[15:39] 所以就應該漲沒有
[15:39] 那就是完全是用猜的
[15:41] 所以其實特斯拉的一個估值
[15:43] 我個人是覺得說
[15:44] 它是處於一個比較玄學
[15:45] 比較迷
[15:46] 反正就信者恆信
[15:47] 我們講本夢比的一個階段
[15:48] 它的估值裡面
[15:50] 有很大一部分的佔比
[15:51] 絕對是autonomous
[15:53] 就是自動駕駛
[15:54] 然後跟它的cybercap的fleet
[15:56] 然後以及未來的optimus機器人
[15:58] 雖然目前都只有小量的一個生產
[15:59] 但市場就已經提早去pricing這個東西
[16:02] 這個才有辦法去佐證說
[16:04] 為什麼它會在這個價格
[16:05] 不然如果你只是用一個造車公司
[16:07] 或甚至有間把FSD放進來
[16:09] 我覺得都沒有辦法去佐證說
[16:11] 它憑什麼可以這麼貴
[16:13] 所以你去看一些
[16:14] 就像我剛才前面講的
[16:15] 你的那個推論過程很重要
[16:16] 你一直跟大家講說
[16:17] 這個資料很重要
[16:18] 那可是你用這個資料
[16:20] 你根本沒有辦法去解釋這個估值
[16:21] 那這個資料怎麼可能會是一個超級重要的東西
[16:24] 然後在這一次之後
[16:25] 我覺得大家應該就會非常確信的
[16:27] 因為他直接停產掉Model S跟Model X
[16:29] 那理論上大家一直在看交車資料
[16:31] 那你這個地方不就應該跌
[16:32] 對不對
[16:33] 他直接要停產
[16:33] 雖然那兩個銷量也不多
[16:35] 可是停產掉
[16:36] 那不就代表說
[16:37] 未來的成長性就會稍微的往下掉
[16:39] 就至少在這個賣車的部分
[16:41] 那可是呢
[16:42] 我覺得這個就要另外一個角度去解釋了
[16:43] 因為把Model X跟Model X停掉
[16:46] 甚至未來假設停掉Model 3
[16:48] 我自己都會覺得
[16:49] 某個程度上可能是一種利多
[16:52] 雖然這樣講可能也很奇怪
[16:53] 就類似說可能我們那時候
[16:54] 跟大家講說交車資料你不用看的
[16:56] 就在當下你會覺得很怪
[16:57] 那一樣反正都是我們自己的狂想
[16:59] 你覺得不是這樣子
[17:01] 但你可以選擇去放空特價股票
[17:03] 反正我就講一下我自己的想法
[17:04] 我認為說
[17:05] 因為這個就是代表說
[17:06] 他們有一個決心
[17:07] 跟確實有看到
[17:09] 未來自駕車的一個展望
[17:11] 就Cybercap的一個展望
[17:12] 所以他會直接把他的車隊給縮編掉
[17:15] 我不需要這麼多車子了
[17:16] 我為什麼還要賣你車子
[17:17] 如果說馬斯克他沒有騙你
[17:19] 他講的東西是真的
[17:20] 然後他真的已經有看到
[17:22] 一些這種未來的可能性的話
[17:24] 那他如果還一直去推出新的車種
[17:27] 就是你要去買回來自己開的
[17:28] 那就代表說他一定是口是心非
[17:31] 他一定有點在騙人
[17:32] 就是他告訴你說
[17:34] 我們的未來是自駕的世界
[17:35] 你根本就什麼不需要方向盤
[17:37] 就是他同時又在額外
[17:38] 要繼續賣你很多車子
[17:40] 那代表他那個自駕的road map
[17:42] 一定沒有這麼快到來
[17:43] 那可是他現在敢去
[17:44] 把一些車種給停掉
[17:45] 當然一部分是因為
[17:46] 這個車種本身銷量
[17:47] 就不是特別好嘛
[17:48] 那再來就是
[17:49] 他敢去停掉代表說
[17:51] 可能我們看到的那個自駕
[17:53] 是在更近的地方
[17:54] 就像他在電話會議裡面提到說
[17:55] 其實他們已經是可以
[17:57] 做到100%的unsupervised
[17:59] 只是說可能為了一些法規
[18:01] 或是為了一些觀感
[18:02] 還是有放人
[18:03] 慢慢的推過去
[18:04] 類似說他的自駕的品質
[18:06] 可能有試過的人
[18:07] 都知道說他是最好的
[18:08] 那只是當然
[18:09] 還是有些會拿一些其他車廠
[18:10] 什麼level多少來比
[18:11] 那個是沒有意義的
[18:13] 就是他不用在第一時間去推到
[18:15] 那個方向
[18:16] 那也是為了公司的一個程序
[18:17] 那也是為了一個風險的區別
[18:19] 所以你可以從這些行為裡面
[18:22] 就可以稍微的得知到說
[18:23] 那基本上已經可以確定
[18:25] 就是他已經看到非常明確的
[18:27] 自駕的一個未來
[18:29] 所以未來如果他就算
[18:31] 把其他的車種都停掉
[18:32] 那是那種熱銷車種的話
[18:34] 反而你要全力作多
[18:35] 因為就代表說
[18:36] 奇異點已經快到了
[18:37] 那當然你可以覺得說
[18:38] 這可能是一個特粉在胡言亂語
[18:41] 那沒關係
[18:41] 反正我們就是分享自己的心得
[18:43] 那我覺得我自己在做的事情
[18:45] 其實非常的單純
[18:46] 就是我看好的東西
[18:47] 我就一定會下注
[18:48] 那當然有些東西賺
[18:49] 有些東西賠
[18:49] 可是長期
[18:50] 其實我的生活是過得還蠻不錯的
[18:52] 所以會持續用這個
[18:53] 就已經是可以複製的模式
[18:55] 去看一些商業的模型
[18:57] 那雖然這些模型
[18:58] 有時候我發現說
[19:00] 就當然有些人
