[00:00] 欢迎收听谷爱,我是星风公,本集节目由NordVPN赞助
[02:56] 然后就他们在讨论的时候
[02:57] 在讲到说
[02:58] 你知道很多人在讲说
[02:59] 什么SMR很简单很快
[03:00] 你知道那个多大吗
[03:01] 那两个足球场
[03:02] 我在想说啥小这么大吗
[03:04] 然后回来Google一下
[03:05] 哇靠真的是超大一个
[03:06] 当然这个是说
[03:07] 就是如果你真的有去研究
[03:08] 就应该会立刻知道
[03:09] 那只是因为平常都听人家讲嘛
[03:11] 什么SMR很简单很好搞
[03:12] 或什么的
[03:13] 然后一查发现说
[03:14] 没有啦
[03:14] 他那个占地也是超大的
[03:16] 应该也是遇到一大堆那种环平的问题
[03:18] 所以像这种讨论
[03:19] 就是我觉得这类开会最有价值的东西
[03:21] 因为有些东西是怎么讲
[03:23] 就是说你的防守范围是有限的
[03:25] 你不一定会注意到
[03:26] 那当然也不是说什么
[03:27] 你注意到之后就代表说
[03:28] 你一定会去做
[03:29] 有时候就只是说
[03:30] 可能不知道你把一些关节打通之后
[03:32] 也会对你有帮助
[03:33] 那听了人家讲的东西
[03:34] 也不会想说要回来立刻买之类的
[03:36] 反正就是听大家讲
[03:37] 各自跟他讨论之后
[03:38] 然后这方面也在脑中去
[03:40] 跑过蛮多可行性
[03:41] 因为像我们在讨论Power的时候
[03:43] 也会同时讲到说
[03:44] 就是有电那就有热
[03:45] 所以电力需求大家都知道
[03:47] 那散热的需求
[03:49] 其实也不容小觑
[03:49] 但这个其实我们也在节目里面
[03:51] 跟大家讲过很多次
[03:52] 就是未来散热
[03:53] 他们只会
[03:54] 整体的TAM越来越大
[03:56] 因为这个晶片就是越来越热
[03:57] TDP是越来越高
[03:59] 所以像过往讨论的一些东西
[04:01] 包含说现在是跑冷水
[04:02] 那这种不可能就是需要用冷煤
[04:04] 要跑一些冰水之类的
[04:06] 或者说甚至再重新来去讨论一下
[04:08] Immersion
[04:08] 那Immersion在两三年前
[04:09] 我们也跟大家密集的讨论过
[04:11] 只是後來就胎死腹腫
[04:12] 那時候有一家公司
[04:14] 有一個Stealth Company
[04:15] 後來被大家揭露之後
[04:18] 大家都很期待說
[04:19] 這家公司會不會在
[04:20] Emulsion Cooling上面
[04:21] 帶來一些什麼樣的發展
[04:22] 最後面他們也是類似說半放棄
[04:24] 就是本來要推的一些Roll Map
[04:26] 看起來是沒有達成
[04:28] 但之後晶片在很熱的時候
[04:29] 會不會又再一次的回去討論
[04:31] 那些東西的可能性
[04:32] 所以有時候
[04:33] 這也是我們像之前
[04:34] 跟大家分享一些案例
[04:35] 我覺得說在幾年前
[04:36] 每年都說什麼
[04:37] 元太的電子紙要起來
[04:38] 講了半天
[04:39] 然後最後面有一年就真的起來了
[04:41] 前面讲了半天
[04:42] 然后一堆人都觉得说
[04:43] 好像每年都被骗
[04:43] 什么诈骗
[04:44] 撒小
[04:45] 怎么说有都没有
[04:46] 但有时候就是说
[04:47] 东风还没到
[04:48] 东风到的时候
[04:49] 有些solution
[04:50] 可能就是再一次被推出来
[04:51] 所以有些东西
[04:52] 你当下在研究
[04:53] 那你发现说是浪费生命
[04:54] 你不要放弃
[04:55] 你要把它留着
[04:56] 所以留着就是说
[04:57] 你就留个心眼在那边注意
[04:59] 你不一定说什么
[05:01] 你要一直去持有它
[05:01] 因为有些东西
[05:02] 不会动
[05:03] 没有效率
[05:03] 还是要把它砍掉
[05:04] 等到它下一次
[05:05] 又再一次有风的时候
[05:07] 那可以再回去的
[05:08] 重新注意一下
[05:09] 所以像听他们在讨论一些
[05:11] 这种
[05:12] 不管是power
[05:12] 或说散热的解放
[05:14] 我觉得也再一次的
[05:15] 帮自己脑中
[05:16] 复习一些东西
[05:16] 那同时也注意到
[05:18] 就像大家的持股
[05:19] 通知性是很高
[05:20] 因为换我分享的时候
[05:22] 因为我想说
[05:23] 你们前面一阵都已经有
[05:24] 在提到光通相关
[05:25] 我直接说
[05:25] 那光通这个我不用讲
[05:26] 因为大家
[05:27] 那种国民制服股
[05:28] 每个人都有
[05:29] 有一些那种什么光通
[05:30] 或是有些人是拿pluggable
[05:31] 我是不喜欢pluggable
[05:32] 都是拿CPU
[05:33] 或是光设备相关的东西
[05:36] 那反正就大家都有
[05:37] 所以我也觉得
[05:37] 没什么好讨论
[05:38] 反正像这类的东西
[05:39] 我就会觉得有点像是说
[05:40] 就是他在市场上面的一些成长性
[05:43] 或者基本面的数字
[05:44] 都已经算是共识了
[05:45] 那只是说那个估值要推到什么地方
[05:47] 没有人知道
[05:47] 所以可能蛮多人都会继续持有
[05:49] 那一堆人也都还持有记忆体
[05:51] 那记忆体的话
[05:51] 在台股我是已经完全没有
[05:52] 但是我有美光
[05:53] 那我们也讨论到
[05:54] 就是说这个美光的数字
[05:56] 本来在投资圈这边
[05:57] 真的是喊到毛利要80以上
[05:58] 那最后面是开一个70几
[06:00] 那还是一个超级变态的数字
[06:02] 只是就没有想到
[06:02] 这个投资圈的数字
[06:03] 真的估得非常高
[06:04] 那他们就问说
[06:06] 那我这边家听到最高是多少
[06:07] 最高已经讲到84
[06:09] 然后大家就开始狂笑
[06:10] 就说所以真的是每过一家投资公司
[06:12] 大家就会额外再加个什么
[06:14] 0.5% 1%之类的
[06:15] 就大家本来听到可能是80
[06:17] 然后这边竟然喊到84去
[06:19] 但实际上这边开出来70
[06:20] 70还是非常好的一个数字
[06:22] 之所以就知道说为什么
[06:23] 开出来它那个股价竟然是跌的
[06:25] 大家不是说什么
[06:26] 美光数字超好
[06:27] 为什么会跌
[06:27] 因为真的是对人预期一个更高的数字
[06:30] 所以它只跌这样
[06:31] 我觉得还算还好
[06:31] 因为大家预期的这么高
[06:33] 我就感觉应该是要跌的更重一点
[06:35] 但还行
[06:36] 反正总之就是说
[06:37] 这些超级有共识的地方
[06:39] 就是在比说
[06:40] 谁的胆子大
[06:41] 谁可以放更大的资金
[06:42] 更大的杠杆
[06:43] 再把它推到更高的地方
[06:44] 或是说
[06:45] 有时候意外是这样
[06:46] 就是你把它推到一个很高的估值
[06:47] 你想说后面应该就只剩下下挡
[06:49] 就只会往下掉
[06:50] 但没有想到
[06:51] 它可能后来又再一个上修出现
[06:53] 所以又可以再推到更高
[06:54] 这就是为什么
[06:55] 有些高估值的东西
[06:56] 可以维持在高估值很久的原因
[06:58] 因为它会一直有新的东西
[06:59] 出来帮它上修
[07:00] 所以我觉得像光通
[07:01] 就是属于现在
[07:02] 这种一直疯狂在上修的类型
[07:04] 就是你纯粹去看数字
[07:06] 你会想说到底是啥小
[07:07] 可是实际上你会注意到
[07:09] 就是有各式各样的好消息
[07:10] 都会一直丢出来
[07:11] 然后一直去协助他
[07:12] 维持在一个相对高的估值
[07:14] 当然相对高的估值
[07:15] 也有它的一个风险
[07:16] 就是只要任何的风吹草动
[07:18] 可能一个电话会议开出来
[07:20] 是不合预期
[07:21] 就会出现一些大跌
[07:22] 当然波动大
[07:23] 可是银行的潜在的报酬率
[07:25] 其实也是不错的
[07:27] 所以很多人去往这个方向去参与
[07:29] 同时在会上也见到几个
[07:31] 我觉得是那种蛮怪物的人物
[07:33] 就是在分享之后
[07:34] 我自己有一点吓到
[07:35] 就是说
[07:36] 我本来以为
[07:37] 我自己研究的一些冷门股
[07:39] 那应该是没有人在看吧
[07:40] 结果像我就讲说
[07:41] 某一个这个
[07:42] 产物相关的股票
[07:44] 那我现在看到它
[07:45] 我觉得真的是还蛮便宜的
[07:46] 这个价格
[07:47] 怎么算都觉得说
[07:48] 它应该有上修的可能性
[07:49] 那我讲完之后呢
[07:51] 那坐我对面的一个
[07:52] 这个朋友就讲说
[07:53] 这个数字应该是
[07:55] 就因为我讲是
[07:56] 明年可能可以到这个数字
[07:57] 这个数字应该今年就有到
[07:59] 所以等于说
[08:00] 也帮我去改了作业
[08:01] 因为我本来觉得说
[08:02] 光是用这个数字
[08:03] 套在明年
[08:04] 他就应该要有上修的空间
[08:06] 结果他认为是今年
[08:07] 那就代表说
[08:08] 明年数字会更高
[08:09] 所以上修的机遇就更高
[08:10] 回去多点几张之类的
[08:12] 所以其实去参与了一下
[08:13] 就觉得还蛮不错
[08:14] 但我也不知道
[08:16] 就现在可能的状态
[08:17] 是比较倾向说
[08:18] OK反正我知道说
[08:19] 我去外面
[08:19] 我是可以获得一些收获
[08:20] 没错
[08:21] 但我还是太懒了
[08:22] 然后我要顾家里的东西
[08:23] 所以应该就是
[08:24] 后面还是不会去参加
[08:25] 任何的会议
[08:26] 但非常感谢
[08:27] 就是偶尔有些朋友的推广之下
[08:29] 然后让我去看了一些东西
[08:30] 每次看完都会觉得
[08:31] 自己收获非常多
[08:32] 真的学到很多东西
[08:33] 但现在已经不是那一种
[08:34] 就是我需要有很多
[08:36] 吸收的这个时间点
[08:38] 而是我需要有更纯粹的判断
[08:40] 就是我说我觉得这样
[08:41] 吸收资讯越多
[08:42] 大家讲说多多益善
[08:43] 只是你每天时间是有限的
[08:45] 当你花一堆时间
[08:46] 要去吸收
[08:47] 要去social的话
[08:48] 那也代表说
[08:49] 你可能去浓缩
[08:50] 或是你去下判断的
[08:52] 这个时间就变短了
[08:53] 或是你可能就变得更焦虑
[08:55] 因为听了一堆人
[08:56] 每个人都跟你讲说
[08:57] 什么东西可以弄
[08:58] 其实现在台股的市场
[08:59] 真的有点像百花齐放的味道
[09:01] 那你也没有这么多钱
[09:02] 我现在有朋友跟我推一些东西
[09:03] 昨天有朋友私讯
[09:04] 有跟我推东西
[09:05] 然后我天雷一下
[09:06] 我就直接跟他讲说
[09:07] 老实讲
[09:08] 现在我想买的东西太多
[09:09] 但是我钱太少
[09:10] 就是你每个都想买
[09:12] 可是你已经挑不出
[09:13] 什么机会成本之下
[09:14] 可以砍哪些东西
[09:15] 我现在想得到就是说
[09:16] 很想把美股的东西砍一砍
[09:17] 然后全部拿回来买台股
[09:18] 可是我知道
[09:19] 每次我有这个想法的时候
[09:20] 后来美股就会直接设出去
[09:21] 所以应该是维持
[09:26] 就是说钱不够多
[09:27] 要买的东西是很多
[09:28] 然后美股是相反
[09:29] 搞不好后面又会再反过来
[09:31] 不一定
[09:31] 那总之那是一个
[09:33] 这个非常好的收获
[09:35] 那也非常感谢
[09:35] 邀我去的一个朋友
[09:38] 那这位朋友呢很厉害
[09:39] 他以前是这个业界的高官
[09:41] 那他后来退下来弄股票之后
[09:43] 真的就是随便弄都弄得超好的感觉
[09:46] 就觉得这个人真的是一个天才
[09:47] 因为很多我们认识的业界的人
[09:49] 然后他下来做股票之后
[09:51] 你会感觉得到说
[09:52] 他们还是会有一些执念
[09:54] 然后他们在观念上面
[09:55] 可能会踩得比较硬
[09:56] 因为没有办法
[09:57] 他们是专家
[09:57] 所以他们知道说
[09:58] 你们投资圈在讲的一些东西
[10:00] 你看你们就在豪小
[10:01] 可是这个人
[10:02] 我觉得他厉害的点
[10:03] 是他超级有弹性的
[10:04] 他会知道说
[10:04] 这些东西理性上来说
[10:06] 我知道它是豪小
[10:07] 可是我知道
[10:08] 你们就是喜欢买这个东西
[10:09] 所以我还在跟着你们
[10:10] 买这个东西
[10:10] 所以我觉得光是
[10:11] 抓到这个弹性
[10:12] 其实就是造就了
[10:13] 这个绩效跟别人
[10:14] 不一样的一个点
[10:15] 这也是我们
[10:16] 对自己蛮自豪的一点
[10:18] 像我就很常会跟大家讲说
[10:20] 我是很欢迎我被打脸的
[10:21] 或者说
[10:22] 我是很能够接受
[10:23] 各种弹性的
[10:24] 因为如果说你都是要觉得
[10:25] 这个世界上有一定的准则
[10:27] 或什么的
[10:27] 去做这个股票市场
[10:29] 一般是会
[10:30] 怎么说
[10:30] 但你可能也会有你的报酬
[10:32] 或是有你的可能性
[10:34] 只是在我们自己的观察
[10:35] 会觉得因为这样
[10:36] 会错失掉一些机会
[10:37] 因为其实有蛮多机会
[10:38] 都是出现在
[10:38] 大家都不信的时候
[10:39] 也就是人家讲的
[10:41] 买在半信半疑
[10:41] 然后等到大家都信的时候
[10:43] 其实你再去买
[10:44] 可能报酬率就被压缩很多
[10:45] 当然每件事情都有反力
[10:47] 就我最喜欢举的例子就是
[10:48] 当你去看那个
[10:50] Forest Gump的电影
[10:51] 然后里面跟你讲说
[10:51] 他们买苹果
[10:52] 我们去养虾
[10:54] 然后赚钱买苹果股票
[10:55] 然后赚很多钱
[10:55] 当下看到一定很多人
[10:57] 在电影里面讲说
[10:58] 妈出货文
[10:59] 那什么19多少年的时候
[11:00] 妈出货文
[11:01] 苹果瑞丁这么高
[11:02] 你还跟我讲可以买苹果
[11:03] 就苹果就继续再涨
[11:05] 10 20年以上
[11:07] 所以会有这样的剧本产生
[11:09] 当然有些人也会讲说
[11:11] 苹果是幸存者偏差
[11:12] whatever
[11:12] 但总之就是在投资市场里面
[11:14] 我觉得没有什么是叫做绝对
[11:16] 没有什么叫做一定
[11:17] 所以就是要保持一些弹性
[11:19] 真的是非常重要
[11:20] 那总是这个非常有趣的聚会心得
[11:23] 稍微跟大家分享一下
[11:24] 好那接下来我们就来讨论一下
[11:25] 在美股盘面的一些想法
[11:28] 那首先当然目前的不确定性
[11:30] 就是在伊朗这边的战争问题
[11:32] 那我自己会选择去看着这个油价
[11:35] 那只是后来我想一想
[11:36] 我是觉得说
[11:37] 只要油价没有突破
[11:38] 它开始横盘的话
[11:39] 理论上应该就可以把它视为说是一个
[11:42] 就是你先期可以去蹲点的指标
[11:44] 那当然这有一点赌
[11:45] 因为随时有可能不知道
[11:46] 我认为一下川普去搞这个伊朗战争
[11:49] 可能会类似他
[11:49] 打贸易战一样
[11:50] 就是说他跳恰恰
[11:51] 他先感觉我要退一下
[11:53] 好像这个周末就讲说
[11:54] 我们可能已经达成
[11:55] 阶段性目标了
[11:56] 反正对美国来讲
[11:57] 伊朗这个海峡
[11:58] 并不是我们最大的利益
[12:00] 你们这些国家
[12:01] 整天在那边蹭美国的
[12:02] 吃免钱的
[12:03] 你们不来帮忙出兵的话
[12:05] OK那老子退出
[12:05] 看是谁受到最大的伤害
[12:07] 他逼大家去
[12:07] 他说我已经完成阶段性任务
[12:09] 他觉得他已经是
[12:10] 一个赢家了
[12:11] 那大家可能觉得说
[12:12] 没事了
[12:13] 搞不好下礼拜一
[12:14] 又要再出一个反弹
[12:15] 就跟我们过去
[12:16] 跟大家聊到的一样
[12:19] 白天又再繼續漲回來
[12:21] 但搞不好突然間又給你一個surprise motherfucker
[12:23] 突然跟大家講說老子要退出我不玩了
[12:25] 然後馬上再等一個禮拜
[12:26] 突然說什麼地面部隊已經去打伊朗之類的
[12:29] 都是有機會啦
[12:30] 所以其實現在就是一個不確定性高的時候
[12:32] 那理論上就是不要把自己的部位下得太滿
[12:35] 但因為以我自己的角度來講就是我是不太喜歡說什麼空手或是手上這個現金是過多所以我还是会觉得说像美股又出现一个破跌就在又在往那种更低点的方向去
[12:46] 那这个地方呢
[12:48] 已经触发了CTA
[12:49] 什么叫CTA
[12:49] 就是说他们会有一些
[12:50] 那种跟着趋势做的部位
[12:53] 就是在这个很多的量化
[12:54] 或是一些什么
[12:55] Longly Funds之类的
[12:56] 他们可能会有一些部位
[12:57] 是会选择制
[12:58] 反正今天涨
[12:59] 我就一直去加
[12:59] 那今天跌呢
[13:01] 我就是疯狂要去砍仓
[13:02] 简单来讲就是
[13:02] 随着顺势而为
[13:03] 或者说见风转舵
[13:05] 所以当今天涨的时候
[13:06] 为什么会涨一涨
[13:07] 最后面超涨
[13:08] 甚至拉一个超大一根的
[13:09] 可能就是这些CTA
[13:10] 都有帮忙去推一把
[13:11] 那反之呢
[13:12] 就在跌的时候
[13:13] 为什么突然间会有一个大破底
[13:14] 可能也是这些CTA去做大填水
[13:16] 那触发了一些
[13:17] 可能长投的资金
[13:18] 也跟着去做大淘沙
[13:19] 那过往的案例呢
[13:21] 其实这个CTA
[13:21] 它还可以再降在更低的一个位置
[13:24] 那像之前的2022年
[13:25] 或者说之前的小板板
[13:27] 解放日的时候呢
[13:28] 那都曾经是掉到很低的位置
[13:30] 那今天早上刚好
[13:31] 跟朋友聊这件事情
[13:32] 他就讲说
[13:33] 其实以下的水位
[13:34] 去跟那时候解放日
[13:35] 或者说2022比
[13:36] 都还没有到最低一点
[13:38] 但是我就跟他
[13:39] 稍微的讲一下我的想法
[13:40] 我就认为说
[13:41] 除非这个战争之后
[13:42] 面对拖很久
[13:43] 变成下一个伊拉克之类的
[13:44] 那不然如果说
[13:45] 真的美军完成
[13:46] 接班线的任务
[13:46] 然后开始撤出的话
[13:47] 那当然我们是
[13:48] 比较难去想象说
[13:49] 那个CTA会降到
[13:50] 这么低的一个位置
[13:51] 就很类似说
[13:52] 你知道每个人都说
[13:52] 拉回我会买
[13:53] 再便宜我就买
[13:55] 可是问题是
[13:55] 到底要多便宜
[13:56] 就是你在那边打嘴炮
[13:57] 说什么台股跌回18000
[14:03] 所以有時候我們還是會抱持一些彈性啦
[14:04] 就是我們會知道說
[14:05] OK他有可能會往一個很壞的劇本去走
[14:07] 那只是呢
[14:08] 如果說手上的部位不夠多的
[14:10] 一般在過程之中就會慢慢的去加了
[14:12] 所以像我自己的話
[14:13] 我還會覺得現在美股到一個破底嘛
[14:15] 如果突然間再給我一個大根的
[14:16] 就是那種大根的往下幹爆之類的
[14:19] 那可能就是我自己會選擇
[14:21] 就一樣
[14:21] 就是最近都比較做逆勢
[14:22] 這個地方就會去買
[14:24] 那最近做順勢的
[14:25] 我覺得就應該會比較辛苦啊
[14:26] 其實身邊有一些動能仔
[14:27] 都已經開始在表示說
[14:29] 最近的盤很難做
[14:29] 但我可能比較幸運
[14:31] 就這波我覺得還好
[14:32] 因为自己在台股压到的一些光设备
[14:34] 或像美股也是这一波往光去走
[14:36] 就觉得说还好
[14:37] 没有什么状态
[14:38] 那也因为说
[14:39] 可能最近动能弄得比较少一点
[14:41] 所以就相对的觉得说
[14:42] 这一波其实是还可以的
[14:44] 但如果说你今天是不停的追
[14:46] 然后接着发现说
[14:47] 隔天没有续强就砍
[14:48] 就像我们可能在
[14:49] 一两个月前跟大家分享的
[14:51] 就是盘可能停在差不多的地方
[14:53] 你事后回头看
[14:54] 搞不好什么正负5%之类的
[14:55] 但你的钱已经他妈不见一大堆
[14:57] 因为你整天在那边追涨杀蝶
[14:58] 那就比较尴尬一点
[15:00] 所以在趋势盘里面
[15:02] 可能比较适合
[15:03] 那是当然我们没有办法
[15:04] 就是说什么
[15:05] 很简单的事后论说什么
[15:06] 那个地方
[15:07] 那时候早就看出是趋势板
[15:09] 一堆人都会这样打嘴炮
[15:10] 那实际上股票市场难的地方
[15:11] 就是说你事后看都超简单
[15:13] 可是当下你很难去做判断
[15:14] 所以有些人会选择怎么做
[15:16] 像自己身边有朋友就分享说
[15:18] 他们有些策略
[15:18] 就即便可能在某些市况
[15:20] 是完全不会赚钱
[15:21] 可是他都坚持的一起做下去
[15:23] 为什么
[15:23] 因为他要的是
[15:24] 他长期回测出来的结果
[15:26] 所以他不会自己去那边
[15:27] 你知道time the market
[15:28] 或者去选一些市场来做
[15:29] 反正我就持续的抓下去
[15:31] 那我知道有些年我就会赔钱
[15:32] 那有些年我就会赚钱
[15:33] 这一套策略
[15:34] 所以他可能就继续的搞下去
[15:36] 那最后面如果说
[15:37] 真的走出一个趋势盘
[15:38] 那当然这套策略
[15:38] 就会莫名的就赚很多钱
[15:40] 那可是等到你已经识别说
[15:42] 是一个趋势盘
[15:42] 你才要进来的话
[15:43] 那可能就会说
[15:44] 你的报酬会被压缩一点
[15:45] 所以其实都是某种程度上的
[15:47] 一个取舍
[15:48] 但是按照我现在
[15:49] 去看美股的市场
[15:50] 然后发现说又破底
[15:52] 然后又CTA出来
[15:53] 我就会觉得说
[15:54] 如果这个地方来一个大的
[15:55] 那应该就是一个非常好的买点
[15:57] 那如果说没有来一个大的是盘叠的话
[15:59] 那可能就会用比较保守的方式
[16:01] 就是接一点接一点去做
[16:02] 那目前还是会聚焦在
[16:04] 可能以美股来讲或说台股
[16:06] 我认为现在趋势已经走得很明显
[16:08] 就是往光的方向去走
[16:09] 甚至有一个说法是说
[16:10] 反正光就是AI的2.0
[16:13] 并不是说它是某种取代AI的东西
[16:15] 就是说就AI的族群
[16:16] 以前就是可能我们看到的一些OEM ODM
[16:19] 或者是一些班卡厂
[16:21] 然后是ASIC的supply chain
[16:23] 然后现在可能大家都是往
[16:24] 比较像是interconnect
[16:26] 或者说networking的方向去走
[16:27] 但它还是跟AI是高度相关的
[16:29] 甚至可以讲说
[16:30] 它就是AI的一种加强的版本
[16:33] 所以其实我认为资金
[16:34] 已经蛮明显的是汇聚去哪一个方向
[16:37] 都给了一个非常高的PE乘数
[16:39] 接着就算有出现一些
[16:41] 比较大的回档或什么
[16:42] 对我来说这都是一个
[16:43] 站在买方的机会
[16:44] 在上一波的话
[16:46] 我觉得自己就做得还蛮好的
[16:48] 因为已经先识别到这些机会
[16:49] 所以在他们回档的时候
[16:51] 去搞了一下
[16:51] 然后现在那每个东西都创新高
[16:53] 所以大概在这个
[16:54] 就是准备要进入第二季的时候呢
[16:57] 自己在美股才有一点那种报仇的感觉
[16:59] 就是在前面其实都还蛮惨的
[17:01] 就是差不多都待在水面下
[17:03] 因为手上有太多像那些什么chip vendor啊
[17:06] 然后或是一些那种传输类股啊
[17:07] 电动车或什么的
[17:08] 其实今年表现都不是太好
[17:10] 但后来就是把自己的部位去做了一些调整之后
[17:13] 那我觉得就有效的去改善了
[17:15] 就是下身体的这个体感就非常好
[17:17] 那后面可能有注意到什么趋势的状态
[17:20] 再来跟大家去做更多的分享
[17:22] 那实际上
[17:23] 最近我们在记忆体有注意到
[17:25] 就是开始有出现
[17:26] 就是怎么讲
[17:27] 像梅光的
[17:28] 这个是利多
[17:29] 可是却没有涨
[17:30] 所以可以想象成是说
[17:32] 当然利多本身
[17:33] 我们会去期待说
[17:34] 他应该会把市场
[17:35] 推到一个更高的地方去
[17:36] 可是如果利多没有涨的话
[17:38] 那可能就有些资金
[17:39] 开始会去思考说
[17:40] 是否要退出
[17:41] 那我们先去跟大家讲
[17:42] 一个大前提
[17:43] 就是我们当然不知道说
[17:44] 记忆体的资金
[17:45] 会玩到什么时候
[17:45] 因为我们目前去用
[17:47] 基本面的角度来看的话
[17:48] 就是在今年一整年
[17:49] 记忆体都很好
[17:50] 应该都还是是确定的
[17:51] 只是我们都知道
[17:52] 股价会提早反应
[17:53] 提早反应到哪
[17:54] 不确定
[17:55] 有些人认为说
[17:55] 可能基底到2027 2028
[17:57] 都还是会超好
[17:58] 当然就有可能
[17:59] 股价就会一路涨到
[18:00] 2026年底之类的
[18:01] 我们先用一个
[18:02] 阶段性的节点来看
[18:03] 最近有发生的一些事件
[18:05] 首先就是
[18:06] 美光的财报出来
[18:07] 然后是利多
[18:08] 可是却没有发生大涨
[18:09] 然后再来就是
[18:10] 有一些外资的分析师
[18:12] 开始去调降了目标价
[18:14] 即便他们可能调降的
[18:15] 一些说法
[18:17] 在我自己看来
[18:17] 是没有这么solid
[18:19] 就是理论上这边应该都还是
[18:21] 用拆面的角度来讲是看多
[18:22] 那只是如果你混合一点股价
[18:24] 就是你说这个地方是不是已经
[18:26] 已反映
[18:27] 因为毕竟真的涨很多
[18:28] 那可能还解释的过去
[18:30] 那只是如果说这个记忆体
[18:32] 开始出现一些横盘
[18:33] 或是开始转弱的话
[18:34] 我自己本身是认为说
[18:36] 这搞不好对于整体市场
[18:37] 是一个更好的现象
[18:39] 这也是我们这次去开会的时候
[18:40] 跟大家聊到的一个想法
[18:42] 就是因为我们过去会去追很多
[18:44] 所谓的报价的变化或什么的
[18:46] 那老实跟大家讲
[18:47] 现在在市场上面
[18:48] 有超多的东西在涨价
[18:49] 就是涨到你真的
[18:50] 如果你是做科技股的人
[18:52] 然后你的雷达可能也跟我一样广
[18:54] 甚至比我广的话
[18:55] 你应该也会跟我想法一样
