[00:00] 歡迎收聽谷海,我是小萌公,本期節目由Sally贊助
[06:15] 因為都是別人害的
[06:16] 因為都是怎麼樣
[06:17] 所以才會這樣子
[06:18] 他們也會講說什麼
[06:19] 我們講這些話的人
[06:20] 是我們沒有苦過什麼
[06:21] 我在松江路的套房也是住了五年
[06:23] 我北漂沒有錢
[06:24] 那我到三五千萬的時候
[06:26] 其實我連高鐵都還不敢搭
[06:27] 我只敢搭公路局
[06:29] 所以我看到A君他媽回家搭高鐵
[06:31] 我覺得說你真屌
[06:32] 你真有錢
[06:32] 我根本不敢
[06:33] 就是我在你這個時候
[06:34] 我根本就不敢去做那些開銷
[06:37] 或什麼的
[06:37] 所以也不是說什麼
[06:39] 我們要去訴諸一種情緒
[06:41] 我們以前也是曾經苦過什麼
[06:43] 我一直講說就是
[06:44] 你不要去亂猜人家
[06:46] 你亂猜人家講的話
[06:47] 你亂猜人家的background
[06:48] 你說我是金湯匙
[06:49] 我爸媽媽是學校老師
[06:50] 這怎麼會是金湯匙
[06:51] 他就說金湯匙真的是這樣
[06:52] 就跟我那時候
[06:53] 媽隨便亂嘴講的東西
[06:55] 如果以後你沒有像乙武洋荒這樣
[06:57] 你不要出來跟人家講說
[06:58] 你是白手起家
[06:59] 因為人傢什麼小都沒有
[07:00] 所以很多時候我看到一堆
[07:01] 我也不知道大家在幹嘛
[07:03] 可能小時候受過很多創傷
[07:04] 你要知道你的創傷
[07:05] 是你爸爸媽媽帶給你的
[07:06] 或是說你遇到的一些不好的人帶給你
[07:09] 你不要把它發洩在網友身上
[07:10] 不是我們在欺負你
[07:12] 是你身邊來欺負你
[07:13] 很多時候人家是來幫你的
[07:15] 可是你就是渾身都長刺了
[07:16] 所以像我以前去看小丑的電影
[07:19] 我是蠻有感覺的
[07:19] 就小丑你一開始會同情他
[07:21] 很覺得他真的很可憐
[07:22] 可是後來發現說
[07:22] 就沒有辦法
[07:23] 那個個性就是會導致毀滅
[07:25] 當然他可能會用某種
[07:26] 不知道這種很狂的方式
[07:27] 甚至加在
[07:29] 怎麼講
[07:30] 現實生活中有很多模仿犯
[07:31] 最近在中山就有一個
[07:32] 他們就覺得說
[07:34] 反正他們要下去
[07:34] 他們就知道
[07:35] 媽呀帶一群人下去
[07:36] 所以我是認為
[07:37] 就其實在社群
[07:38] 或者說各個地方的一些偏激言論
[07:40] 或什麼的
[07:41] 政府或是有關單位
[07:42] 應該要去看著
[07:43] 其實要去看著這些人
[07:44] 因為這些人
[07:45] 當然他們不一定
[07:46] 每個都是最後面
[07:47] 會去幹大的那一種
[07:48] 可是他們其實助長了
[07:49] 很多這樣子的一個情緒
[07:50] 就是我不知道說
[07:51] 這個世界怎麼會是
[07:52] 這麼激化的一個狀態
[07:54] 而且如果說
[07:55] 今天是真的討論了某個東西
[07:56] 去刺激到他們就算了
[07:57] 可是問題是
[07:58] 討論的東西明明就不是
[07:59] 他們在傳播的東西
[08:00] 就你們怎麼可以歪樓歪成這樣
[08:02] 然後還自己討論的很開心
[08:04] 然後自己覺得好像說
[08:06] 怎麼得到了某種結論
[08:07] 你扎一個稻草人自己打
[08:09] 這樣是一個很爽的事情嗎
[08:10] 我不知道
[08:11] 可能說社會真的有一群人
[08:12] 就在做這樣的事吧
[08:13] 所以總之
[08:14] 我大概有看到一些聽眾
[08:15] 想要去互網
[08:16] 其實應該這樣講
[08:17] 就支援我的人
[08:17] 我看還是比較多
[08:18] 只是就是會有人
[08:19] 整天在那邊
[08:20] 他雞巴講
[08:20] 就有的沒有的東西
[08:21] 然後有些人就會去反串
[08:22] 然後反串的
[08:23] 我覺得很好笑
[08:24] 他說你真的要讓
[08:25] 這個傢伙痛的話
[08:26] 你就是把NASDAQ
[08:27] 跟臺子空下去就對
[08:28] 真的
[08:29] 他這樣做的話
[08:30] 我覺得痛
[08:30] 可是問題是我痛
[08:31] 其實大家也都會痛
[08:32] 所以你看我們的利益共同體
[08:33] 我們綁在一起
[08:34] 你不要覺得說
[08:35] 你沒有做股票
[08:35] 股票真的跌到1萬點
[08:37] 大家生活也不會多過
[08:38] 所以我們就是站在
[08:39] 一個正確的軌道上面
[08:41] 有些人可能講說
[08:42] 那不然我們去空他的持股
[08:44] 有一個很好笑
[08:45] 他就在反串
[08:46] 他講說
[08:46] 去空某一支
[08:48] 我在臺股是大股東的
[08:50] 這當然要空是可以空看看
[08:51] 只是要空一張
[08:53] 可能第一個
[08:54] 你給他拿個幾十萬出來
[08:56] 應該就蠻多人就拿不出來
[08:57] 然後再來就是
[08:58] 你真的空下去的話
[08:59] 你要知道說
[09:00] 是有人會去幫這些空方上課
[09:02] 所以當然你有可能可以賺錢
[09:04] 只是有可能
[09:05] 把自己放進去一些危險
[09:07] 再來是要提一下
[09:07] 因為我發現說很多人是文盲
[09:08] 他們可能真的不知道
[09:09] 他們可能真的會被一些網友講一講
[09:11] 趕快去空臺子
[09:12] 去空納斯達克
[09:12] 去空他的股票來幫他上課
[09:15] 可能被上課的會是你
[09:17] 這個自己要小心一下
[09:18] 我是認為說
[09:19] 沒有必要去變成是這樣的對立
[09:21] 我覺得很奇怪
[09:22] 明明是講一個
[09:23] 不知道
[09:23] 大家不會很討厭
[09:25] 那些去鼓勵大家軍備競賽的人
[09:27] 你們不會很討厭
[09:28] 就是說什麼在每個社群上面
[09:29] 整天說什麼自己
[09:30] 什麼二十幾歲
[09:31] 就什麼帕拉梅拉這種
[09:32] 我超討厭這種人
[09:33] 我實在嘴這種人
[09:34] 而且我很明確在講這種人
[09:36] 就是我們聽眾都知道
[09:37] 可是我不知道怎麼外面的人
[09:37] 他不知道在講這個
[09:39] 所以你真的會發現
[09:40] 就即便我們大家都是講
[09:41] 繁體中文
[09:42] 都是寫繁體中文
[09:44] 講中文
[09:44] 可是很多人
[09:46] 他聽不懂你的東西
[09:47] 所以大家也要小心
[09:48] 就是去幫我做懶人包的知識
[09:50] 但我知道很多聽眾
[09:51] 很用心我怎麼知
[09:52] 很多時候我自己去看
[09:53] 我那時候已經跟大家
[09:53] 吐槽過很多次
[09:54] 那個筆記都亂寫
[09:55] 就是有一堆真的都亂寫
[09:56] 就我根本不是這個意思
[09:57] 可是他自己去詮釋
[09:59] 之後寫出來
[09:59] 就變那個意思去
[10:00] 或者他自己覺得
[10:01] 某些東西是重點
[10:02] 但那其實不是重點
[10:03] 那其實是
[10:03] 我們去拼湊結論的
[10:05] 一塊拼圖
[10:06] 然後他把那個拼圖
[10:07] 拉成重點
[10:07] 其實就導致整個跑題了
[10:09] 所以這就是為什麼
[10:10] 我會不太喜歡懶人包的一個主因
[10:12] 那當然很多人還是喜歡看懶人包
[10:14] 那你就要去接受說
[10:15] 我不知道
[10:16] 你看一些那種不純粹的東西
[10:18] 你看那種AI升文的東西
[10:19] 你看一堆懶人包
[10:20] 然後你還期待在一個真金白銀
[10:22] 大家每天在浴血搏鬥的地方
[10:24] 你可以獲得勝利的話
[10:25] 那你真的太單純了
[10:26] 所以大家自己要小心
[10:27] 我要去好好的驗證
[10:29] 這其實就是一個很好的分類貌
[10:31] 你就馬上就可以驗得出來
[10:32] 說哪些人是完全不懂閱讀或是驗證
[10:34] 哪些人是會閱讀會驗證的
[10:36] 就這麼簡單一個道理
[10:38] 可是真的很多人是做不到
[10:39] 這個蠻有趣的
[10:40] 跟大家稍微分享一下
[10:41] 那我自己差點忘記了
[10:42] 就是我答應我朋友
[10:43] 要幫他稍微的宣傳一下
[10:45] 就是優勢資本的劉董
[10:46] 那他之前大家會知道
[10:49] 他是因為有一次
[10:49] 我跟大家分享說
[10:50] 我們去拿那個
[10:51] 大股詳評的棒球
[10:52] 那一段故事嘛
[10:53] 那這個劉董呢
[10:55] 他在交易方面
[10:56] 是非常強大的一個前輩
[10:58] 那他們的公司
[10:59] 之所以我願意去幫他做介紹
[11:01] 因為其實有蠻多身邊的
[11:02] 投資公司的朋友
[11:03] 他們都想要我幫他徵人
[11:04] 可是我老實講
[11:05] 我必須要
[11:06] 這個deal是夠好的
[11:08] 就是我知道很多人會講說
[11:09] 你既然當學徒啊
[11:10] 你學到你賺到錢
[11:11] 你自己就有辦法
[11:12] 什麼獨當一面嘛
[11:13] 但
[11:13] 我講這個時代的年輕人
[11:15] 不吃這種東西
[11:15] 你就是要給他
[11:16] 給錢給夠嘛
[11:17] 而且其實大家都是做投資的
[11:19] 有時候薪水
[11:19] 真的不能夠開得太摳門啦
[11:21] 因為
[11:21] 你是要跟臺積電搶人
[11:22] 你要跟林發科搶人
[11:23] 你怎麼可以開一些
[11:24] 不好的薪水
[11:25] 那優勢資本呢
[11:27] 每次都開很屌炮的薪水啦
[11:28] 他現在要去找這個
[11:29] 類似是交易員的
[11:30] 培訓啊
[11:31] 儲備交易員
[11:32] 三個月呢
[11:33] 薪資會給你40萬
[11:34] 三個月就可以拿40萬
[11:35] 那如果成功的話呢
[11:36] 你變正職的話
[11:37] 那個薪水也是非常高
[11:39] 那大家可以去搜尋一下
[11:41] 優勢資本股份有限公司
[11:42] 你就可以找到他們的真才
[11:44] 或是說在我的這個Facebook
[11:46] 跟Telegram
[11:47] 我都有去轉貼他們的訊息
[11:48] 那這個真的是有辦法
[11:49] 可以學到很多東西的地方
[11:50] 那他們可能是臺灣最頂尖的
[11:53] 一個量化交易的公司
[11:54] 所以在這邊稍微的幫他推廣一下
[11:57] 我希望有志之士
[11:58] 各位想要好好學好交易的
[12:00] 或是想要去從事金融業的
[12:02] 或許都可以參考看看
[12:03] 因為現在算是一個transition階段
[12:06] 所以就會去看比較多的一些資料
[12:09] 去找尋說到底接下來的題材
[12:10] 可能會往哪些方向去
[12:12] 那當然在禮拜五
[12:12] 我們有注意到一些變化
[12:14] 就有一些散熱股又跳上去了
[12:15] 那當然在這樣的狀況之下
[12:18] 其實你會注意到
[12:18] 在過去的一個月
[12:19] 我們聊到了產物
[12:20] 或者說建廠相關跟裝置
[12:23] 然後再來又聊到衛星如果說去追高的話都是有機會會不勝被套那如果你今天去當一個這個自收班班長跟我一樣反正就是說你們狂追的時候我就不會去追等到反正我知道現在盤就是正當
[12:34] 我掉下來掉下來我就收
[12:35] 可是也可能說就是
[12:37] 越套越多了
[12:38] 所以就是一個比較尷尬的情形
[12:39] 那前幾天就有一個朋友
[12:40] 比較要好的問我講說
[12:41] 你現在買什麼
[12:43] 我就直接截圖我的庫存給他
[12:44] 那我截圖給他的時候
[12:45] 我自己都有點傻眼
[12:46] 就說我現在手上
[12:47] 怎麼他媽一堆東西
[12:48] 那這個其實是不對的
[12:50] 我覺得手上比較有太多東西
[12:51] 那只是因為在這種
[12:53] transition
[12:54] 就是轉換階段
[12:54] 很多時候是這樣
[12:55] 就是我們可能會去
[12:56] 物色一些
[12:57] 我們認為在接下來
[12:57] 有可能會變成新主流
[12:59] 或是新題材的東西
[13:00] 然後去買
[13:01] 可是最後面還沒有走出去
[13:02] 或者說它還沒有
[13:03] 真的跌到
[13:04] 你需要把它停損
[13:05] 或者說出場的位置的話
[13:06] 你就留著
[13:06] 那就變成東西越來越多
[13:08] 然後直到怎麼樣
[13:09] 就直到說
[13:09] 可能新的主流的東西
[13:11] 確定有走出去的時候
[13:12] 你就會把一些
[13:12] 比較弱的東西給太掉
[13:14] 然後全部都加到
[13:15] 那個東西上面去
[13:16] 只是現在我還沒有
[13:17] 明確的感受到那樣的感覺
[13:18] 當然昨天晚上美股是非常強
[13:20] 只是當然我們也很怕說
[13:21] 就是強完之後
[13:22] 然後後來又再回頭
[13:23] 再回馬槍一下
[13:24] 然後又讓一堆人套在一個小山上面
[13:26] 只是我覺得對股票
[13:28] 不要這麼多恐懼
[13:29] 反正就是按照資金的水位
[13:31] 去做調整是比較健康的
[13:33] 你就比較不會進退失去
[13:34] 就這個地方我應該要開始去加
[13:36] 有些被套沒有關係
[13:37] 我就慢慢買這樣
[13:38] 那可能是比較好的一個做法
[13:40] 那像上集聊到的
[13:41] 這個衛星相關的東西
[13:42] 其實最後面跟我自己的猜想
[13:44] 就很像
[13:44] 就它跟那個之前的軍工股
[13:46] 可能有點類似
[13:46] 就在美國它的表現是比較好
[13:48] 然後在臺股的話呢
[13:49] 當然也是有表現好的東西
[13:50] 可是有些東西呢
[13:51] 就是說它突破一根之後
[13:52] 它一樣先回一個兩三個
[13:53] 那像這樣子的走勢呢
[13:55] 其實在我們的角度
[13:56] 就會沒有這麼喜歡
[13:57] 所以就不會在第一時間
[13:58] 就立刻再去做加碼
[13:59] 那只是說這個趨勢
[14:00] 我覺得還是蠻肯定的
[14:01] 因為除了就是我們注意到
[14:03] 這個股價有動起來之外
[14:04] 那我們也是有看到說
[14:05] 現在開始越來越多新聞
[14:07] 除了像是什麼Kyber System
[14:08] 或是SpaceX Starlink
[14:10] 他們繼續設衛星之外
[14:11] 那像美國政府這邊也去做表態
[14:14] 在接下來的太空時代
[14:15] 他們也要持續的維持
[14:16] 全球領先的一個地位
[14:17] 我們也知道說像下這個
[14:19] 所謂的美國官營
[14:20] 就是跟美國官方算是
[14:22] 大家把它視為是一體的NASA
[14:23] 它的表現其實是沒有像SpaceX這麼的強
[14:26] 所以之後應該會看到很多這種官民合作
[14:30] 或者說軍民合作的空間
[14:31] 都會把整個市場再放到更大
[14:34] 於是就可能會到SpaceX IPO的時候
[14:37] 就是一個最熱度高點
[14:39] 然後在那之前
[14:40] 應該都是要繼續去找機會來看
[14:42] 然後這個是我現在的一個態度
[14:43] 那最近也開始去看一些
[14:45] 在AI軟體方面的應用
[14:47] 因為我們都知道說
[14:48] AI的一個建制
[14:49] 是從infrastructure到platform
[14:51] 然後再到software
[14:52] 其實就跟當年的網路建制的
[14:53] 一個狀態是一樣的
[14:55] 那只是當然像infrastructure
[14:56] 是不是真的已經就結束了
[14:58] 我覺得也未必
[14:59] 因為我們看了一下
[15:00] 像美光的財報
[15:01] 就告訴你說
[15:02] 記憶體屌缺
[15:03] 就大家都在瘋狂的拉貨
[15:04] 這個缺就不是隻有像HBM
[15:07] 就大家想象的
[15:08] AI server要用到的東西
[15:09] 包含像是DRAM
[15:10] 然後或者是NAND flash
[15:12] 好像都是一個非常缺乏
[15:13] 非常緊俏的一個狀態
[15:14] 那這個大概還會再持續一陣子
[15:16] 所以基本上我覺得在
[15:17] 明年的消費性
[15:19] 大概在上半年的時候
[15:20] 表現應該也都是不會太好
[15:22] 甚至說整年都不會太好
[15:23] 應該會是一個衰退的狀態
[15:25] 那再來除了消費性
[15:27] 有機會出現衰退之外
[15:29] 就是在AI伺服器的採購
[15:31] 可能告一個段落之後
[15:32] 因為沒有消費性的東西
[15:33] 去做撐盤的話
[15:34] 價格可能真的要回落的時候
[15:36] 也會很快
[15:36] 只是我們目前真的
[15:37] 就是還沒有看到價格要回落
[15:40] 就是說還是非常強勢的一個狀態
[15:42] 所以記憶體類股
[15:43] 它真的是走的比我想象中來得久
[15:45] 就我本來想象的時候
[15:45] 可能在明年的年中
[15:48] 有機會就是報價會見高
[15:49] 所以股價搞不好就在
[15:50] 今年的年底就走完
[15:52] 就沒有想到還沒有要走完
[15:53] 就繼續噴
[15:53] 那這個就是我可能錯過的東西
[15:56] 但我們還是會持續的去觀察
[15:57] 它對一些東西的影響
[15:59] 那除了記憶體之外
[16:00] 就是在美股這邊的光通
[16:01] 都還是走得非常好
[16:02] 最主要是兩支
[16:03] 就Lumintum跟Cohen
[16:04] 都還是持續的維持
[16:05] 非常強勢的狀態
[16:06] 那臺股在禮拜五的時候
[16:07] 散熱也又再一次的要去摸前高
[16:09] 所以我覺得這個transition
[16:11] 就是可能還沒有這麼快要發生
[16:13] 從infrastructure
[16:14] 然後要跑去software
[16:15] 應該還沒有這麼快
[16:16] 就是說硬體有機會還有
[16:18] 因為光是去看這個股價的表現
[16:20] 就覺得說應該是還沒有演完
[16:21] 但我們自己有提早先去
[16:22] 注意一些新的故事
[16:24] 我最近就是有看到Lemonade
[16:26] Lemonade這家公司
[16:27] 大概在2021年
[16:28] 所以有機會有跟大家提過
[16:29] 因為那時候就是
[16:30] 大家都在看ARKK
[16:32] 就是木頭姐
[16:33] 她買了很多成長股
[16:34] Lemonade也算是當時的市場上的
[16:37] 一個熱門國
[16:37] 記得以前我好像也買賣過它
[16:39] 有點忘記了
[16:40] 但那時候應該是比較偏向題材
[16:41] 去炒它這樣
[16:42] 那最近就是有注意到說
[16:44] 它跟特斯拉有一個合作
[16:46] 應該是說反正它可以去
[16:48] 透過Tesla這邊去串接API
[16:51] 然後去獲得
[16:52] 就是你身為一個駕駛的
[16:54] 一個駕駛的資訊
[16:55] 然後或者是
[16:56] 在車內的使用AP之後的一個狀態
[16:59] 然後接著呢
[17:00] 它就是拿這個資訊來幫你去算保費
[17:03] 然後給你去做投保
[17:04] 那大家會想說
[17:05] 奇怪特斯拉不是自己要做保險嗎
[17:07] 那怎麼會有民間的業者
[17:08] 也有機會有肉可以吃呢
[17:10] 或者有機會可以跟Tesla去形成合作
[17:12] 那最主要原因是在於說
[17:14] 當然Tesla它可能
[17:15] 在保費的計算上也是非常的精準
[17:17] 因為它就是擁有這個車子跟軟體
[17:19] 它可以看到一切
[17:20] 那只是這個API串出去之後
[17:21] 你知道民間的公司
[17:22] 也有辦法看到這一切
[17:23] 那他們想要挑戰的東西是什麼
[17:25] 就有點類似說
[17:25] 因為Tesla這家公司
[17:27] 我們知道它有一個很大的問題
[17:29] 就是它在後勤維修上面
[17:30] 可能蠻多車主也不一定會喜歡
[17:32] 像我自己也是
[17:33] 那個東西是比較貴
[17:34] 因為它是一體成型的
[17:35] 那個車子去維修的時候
[17:36] 價格一般都比較高一點
[17:37] 然後再來就是可能維修
[17:39] 你都需要去排很久
[17:40] 然後出保可能也不一定會很順利
[17:42] 就跟一般的
[17:43] 傳統的車輛比起來
[17:44] 這個可能是有些人會去
[17:46] 詬病的東西
