[00:00] 歡迎收聽古玩,我是孟公
[02:42] 其實現在行情感覺是很熱
[02:43] 可是沒有像之前很熱的時候
[02:45] 像之前可能2021年或者2024年
[02:47] 很熱的時候就會有一些那種奇怪的事情發生
[02:50] 不然像是說在高點開始問你說
[02:52] 可不可以開槓杆
[02:53] 然後或者是說可能開始整天就是對股票呼天叫地
[02:57] 怪天怪地就是不怪自己
[02:58] 可能說買了之後隔天跌個一兩趴
[03:00] 才跌個一兩趴他在那邊狂叫
[03:02] 你就知道說反正韭菜進場了
[03:03] 可是他們就一直講說
[03:05] 最近的行情感覺非常的瘋狂
[03:06] 可是好像都沒有看到新的人進來
[03:08] 那就有人講說
[03:09] 可能是因為這個時代的變遷
[03:11] 也有可能是因為大家都成長了或什麼的
[03:13] 但確實我認為是一些那種比較新的股票參與者
[03:17] 他們不一定會聽
[03:18] 因為我現在對他們來講就是一個三十幾歲的大叔
[03:20] 之前我是一個二十幾歲的人
[03:22] 那時候還有很多人講說
[03:23] 這個人怎麼這麼年輕
[03:24] 然後他就會搞這些東西
[03:25] 現在已經不會有人說我是什麼特別年輕的人
[03:28] 所以時間過得非常快
[03:29] 大家都一起成長了
[03:31] 同時其實對這個行情的感受
[03:33] 我覺得在今年應該會蠻兩極化的
[03:35] 因為我自己算是雙七
[03:37] 就是美股跟臺股都做
[03:38] 那現在又去搞日股
[03:39] 那個人覺得在臺股跟日股呢
[03:42] 你會覺得說這個行情
[03:43] 瘋狂到非常不可思議
[03:44] 誠如我之前跟大家分享
[03:45] 很多人在第一個月
[03:46] 就做完全年的績效
[03:47] 那其實我在身邊
[03:48] 稍微調查了一下
[03:49] 當然不是每個人
[03:51] 都是有辦法在第一個月
[03:52] 做完去年的整個績效
[03:53] 可是確實蠻多人
[03:54] 都是在大概三四十%以上的水平
[03:57] 那我自己在臺股的表現
[03:58] 其實也算蠻好的
[03:59] 可是如果跟美股綜合起來的話呢
[04:01] 因為美股的部位是比較大一點
[04:02] 所以整體算起來
[04:03] 搞不好還是5050
[04:04] 因為美股的表現真的不好
[04:05] 所以如果說你全部都在做美股的
[04:07] 你今年應該會有感的感覺到
[04:09] 這個盤子還是他媽有過鳥的
[04:10] 雖然美股還是有一些東西在動
[04:12] 就在說裝置
[04:12] 很奇怪
[04:13] 就理論上在美股的電話會議裡面
[04:15] 都告訴你說
[04:16] 無成事超級缺
[04:17] 然後臺灣的無成事股票
[04:19] 前面跌到爛掉
[04:19] 但最近都復活了
[04:21] 裝置產物最近都開始動
[04:22] 可是前面很奇怪
[04:23] 那邊跌
[04:24] 然後美國的相對強
[04:25] 就說美國人其實也衝進去買硬體
[04:27] 所以一些那種裝置產物相關的東西
[04:30] 或者說光通的元件
[04:31] 或是一些那種基礎的能源建制
[04:33] 電網等等
[04:34] 都還是算是相對強勢的東西
[04:36] 但其實去做美股
[04:37] 比較少人會全部都持有這類的東西
[04:39] 蠻多人可能會拿一些科技巨頭
[04:41] 然後說拿一些高速傳輸
[04:42] 拿一些電動車或什麼的
[04:44] 所以如果說你是有
[04:45] 比較相對多元的一個配置
[04:46] 有一些什麼晶片股
[04:47] 或是一些
[04:48] 所謂的傳統AI相關的一些持股
[04:50] 你應該是會感受到說
[04:52] 就今年至今的表現不是太好
[04:53] 特別如果你又有一些
[04:54] 那種高Beta的持股
[04:55] 特別像我自己
[04:56] 手上也有軟體股的
[05:00] 是在持續的受到傷害
[05:01] 就在待在水下
[05:02] 所以綜合起來就會覺得說
[05:04] 今年臺股是真的非常好
[05:06] 日股也非常好
[05:07] 可是整體算下來
[05:08] 我個人是覺得說
[05:09] 就算是中間偏上
[05:11] 大概是這樣子
[05:12] 就美國表現不好
[05:13] 希望在接下來會比較好一點
[05:14] 所以其實很多時候
[05:15] 對這個行情的感知
[05:17] 是來自於說
[05:18] 你自己手上的部位
[05:19] 到底是怎麼樣
[05:19] 你有遲到
[05:20] 你當然就會覺得說
[05:20] 一切都是非常的美好
[05:22] 很多時候我覺得
[05:23] 大家也不用心急
[05:23] 就像過去我們其實看過了
[05:25] 好幾年這樣子的一個案例
[05:26] 在節目已經開始錄了之後
[05:28] 也是有發生過幾次
[05:29] 像有一段時間在一些論壇就講說
[05:31] 媽的大家離開臺股
[05:33] 臺股就給那些法人跟那些內線大資
[05:35] 繼續搞自己的我們全部去美股
[05:37] 因為那時候美股非常的瘋狂
[05:38] 臺股不好
[05:39] 所以當大家嗆出這樣子的話之後
[05:41] 後來美股就開始修正
[05:42] 然後臺股變很強
[05:43] 所以一樣的道理
[05:44] 現在亞股很強
[05:45] 可是你不能夠確定
[05:46] 是不是下半年或者明年
[05:47] 亞股還是會持續相對於美股股市非常強勢
[05:50] 這個其實都是會有那種呼吸輪動的感覺在
[05:53] 所以當你可能看過一些潮起潮落之後
[05:56] 你也不用多
[05:56] 其實只要記憶力不要太差
[05:58] 然後看過個三到五次左右
[05:59] 你就會去瞭解到
[06:01] 前面可能人家說電動車不好
[06:02] 或是有一段時間
[06:03] 大家說晶片股不好
[06:04] 甚至有一段時間
[06:05] 大家講說晶圓代工不好
[06:06] 我現在講一定真的沒有人相信
[06:07] 可是之前有一段時間
[06:08] 真的大家都這樣講
[06:09] 晶圓代工的媽狗才賣之類的
[06:12] 現在大家都會說
[06:13] 可能是軟體不好
[06:14] 或是科技巨頭不好
[06:15] 但一段時間之後
[06:16] 大家的想法自然又會再改變
[06:18] 但我們不是要講說
[06:19] 所有下來的東西都一定會再上去
[06:21] 因為其實每次的下跌的時候
[06:23] 我們都會把它視為
[06:24] 是一個太弱流強的機會
[06:25] 就是再上去的一定就是強者
[06:27] 那大概下面的可能就是時代的眼淚
[06:29] 那當然時代的眼淚也不一定
[06:31] 有些人像IBM這樣躺很久之後
[06:32] 後來又直接再上去
[06:33] 所以大家都很難去說出一個真正的結果
[06:37] 到底會怎麼樣
[06:37] 特別他可以用各種不同的時間軸
[06:39] 就會獲得不一樣的一個答案
[06:40] 所以我還是覺得說
[06:42] 就大家要稍微的放寬心一點
[06:43] 我現在可能看到這個臺股跟日股非常的屌炮
[06:46] 你就覺得說媽的
[06:47] 我要衝進去
[06:47] 我要賣光所有的美股
[06:48] 那之後等到美股好的時候
[06:50] 你可能又會很後悔
[06:51] 你把所有的錢都丟回去臺股跟日股
[06:53] 所以那時候我倒是覺得說
[06:55] 其實做人就是要做到恰到好處
[06:56] 你還是要有一點點的那種
[06:59] 怎麼講
[06:59] Situation Awareness
[07:00] 就是某個程度上你見風轉舵
[07:02] 你發現某個東西不好
[07:03] 你發現你某些配置的表現不好
[07:05] 你下次入金就不要入那麼多
[07:07] 我覺得你是需要有一點這樣的能力
[07:09] 可是你也不要搞到
[07:10] 就像人家社群非常流行的
[07:11] 我覺得是因為
[07:12] 現在AI非常大量的
[07:13] 被用於在發文上面
[07:15] 其實你都看得出來
[07:16] 誰的發文是AI
[07:17] 但像我自己也會使用AI去輔助
[07:19] 就像說我可能發了一些電話會議
[07:21] 下面的一些那種文字結錄
[07:22] 都直接讓AI去幫我去做整理
[07:24] 可是上面的評論
[07:25] 一定都還是我自己寫
[07:26] 可是你已經看得出來
[07:27] 有很多的發文
[07:28] 或是一些有的沒有的東西
[07:29] 全部都是用AI去寫
[07:30] 用AI去寫的話
[07:32] 會產生一個現象
[07:33] 當然可能不知道
[07:34] 就算沒有AI
[07:35] 他們也是會做一樣的事情
[07:36] 反正就是說
[07:37] 每個人都變成是
[07:38] 某個程度上的一種
[07:39] 那種看漲說漲
[07:40] 看跌說跌的那種暴宕機
[07:41] 就是我覺得
[07:42] 這根本就不用花腦力
[07:43] 反正你看到其他的現象
[07:44] 怎麼樣就把它寫出來
[07:45] 臺灣一些媒體人
[07:46] 也在做這樣的事情
[07:47] 你在講的東西
[07:48] 只是過去發生的一個現象
[07:50] 那你到底講這個
[07:50] 意義是在哪裡
[07:51] 所以很多時候
[07:52] 我會覺得說
[07:53] 就是要儘量讓自己的腦袋
[07:54] 避免像這樣子一些雜訊
[07:56] 因為你不用他跟你講
[07:57] 你也知道現在狀況怎麼樣
[07:58] 都是我想說
[07:59] 怎麼會有很多粉專
[08:00] 他們在做的事情就是
[08:01] 他就把你貼說
[08:02] 現在發生什麼事情
[08:03] 不是
[08:03] 我自己也會看
[08:04] 那個發生什麼事情
[08:05] 我要看的是你的評論
[08:06] 你怎麼樣評論這件事
[08:08] 那如果你的評論
[08:09] 又跟所有的
[08:09] 現在的市場consensus一樣
[08:11] 因為你不知道
[08:11] 現在在漲
[08:12] 當然每個人會說好
[08:12] 那你又在講好
[08:13] 那到底有什麼好講的
[08:14] 或是在疊你又在講疊
[08:15] 除非說漲
[08:16] 然後你再跟我講說
[08:17] 後面有什麼東西是大家沒有看到的
[08:19] 所以其實像這樣的一個資訊的篩選
[08:21] 我覺得是還蠻重要的
[08:22] 就不要讓自己的腦袋
[08:23] 整天都是在那種極致之間跳動
[08:25] 因為如果說你都整天看這種資訊
[08:26] 你就會在不好的時候
[08:27] 就認為它是無限不好
[08:28] 然後好的時候就讓它死命狂追
[08:30] 所以如果腦袋不要太擦
[08:32] 要知道說前面就是TPU
[08:33] 什麼TPU eat everything
[08:34] 然後再往前一點
[08:35] 就是講說什麼Google要去死了
[08:37] 因為Search Engine又沒有人要用
[08:38] 全部都要用AI
[08:39] 所以就是有很多這樣子的事情
[08:41] 不停的在市場中迴圈發生
[08:43] 就沉入我們剛才前面所提到的
[08:45] 就像是臺股有時候強
[08:46] 美股有時候強
[08:47] 某個程度上反正大家會呼吸
[08:49] 大家會輪動
[08:50] 所以其實真的不用太緊張
[08:51] 當然你最後面都是為自己的決定負責
[08:54] 如果有些人真的覺得說
[08:55] 現在美股是垃圾
[08:56] 以後就是多雅股空美股
[08:58] 那當然就尊重你
[08:59] 只是我只是跟大家分享說
[09:00] 我們在過去看過的這樣子的迴圈數次
[09:03] 所以就知道這本來就會發生
[09:05] 只是有時候它會發生的令人猝不及防
[09:07] 好像這一次在年前我自己做解碼的時候
[09:09] 當然我現在用事後論回去看
[09:11] 我也是很希望說
[09:12] 早知道減碼減多一點減美股
[09:14] 只是因為我知道美股是長期持有
[09:15] 所以沒有減這麼多
[09:16] 反正臺股是減比較多
[09:17] 槓桿都砍光光
[09:18] 然後後來開一年的時候
[09:19] 才要趕快把一些部位補回來
[09:21] 補到我要的一個槓桿水位
[09:22] 所以當然這也就會導致說
[09:24] 你可能錯過了一些報酬
[09:25] 可是沒有關係
[09:26] 因為我們自己知道
[09:27] 為什麼去做這樣子的調整
[09:28] 是因為我面對一個不確定性
[09:30] 我不希望用這麼大的一個部位去面對
[09:32] 所以你自己心中有一把尺就好
[09:34] 然後儘量不要太容易受到
[09:36] 外面的一些風吹草動的影響
[09:38] 那當然這個還是有一點那種光譜存在
[09:40] 就像我之前講的
[09:41] 你還是要有一點那種見風轉舵的氣質在
[09:43] 可是你也不要全部都是在見風轉舵那一邊
[09:45] 那你也不要全部在那種
[09:46] 就是守舊裡面
[09:48] 然後說我就相信這個東西是好東西
[09:49] 就像是洛漢王國那時候講說
[09:51] 這個聖奎古一定都會保護我們
[09:53] 就聖奎古的門給人家炸掉
[09:54] 雖然他們之後面還是打贏了
[09:55] 但就是有些事情會超出你的想象
[09:57] 所以就儘量在這個兩極之間
[09:59] 保持一定程度的彈性
[10:01] 希望大家可以順利的度過這一次
[10:02] 美股盤不好的一個局面
[10:04] 希望它可以跟雅谷一樣
[10:06] 在後面帶給大家
[10:07] 非常多的一個驚喜
[10:08] 好那我們就先來看一下
[10:09] 臺股的一個狀態
[10:11] 臺股就是一個萬箭齊發
[10:13] 大噴射的一個
[10:14] 非常令人難以想象的局面
[10:16] 這個特別是以我自己來講
[10:18] 我本來以為說臺股的行情
[10:19] 在前面那一波修正就要結束了
[10:21] 那只是沒有想到
[10:22] 這個碰了月線
[10:23] 拉了一個下影線之後
[10:25] 然後就直接繼續的射出
[10:27] 所以在我們的做法裡面
[10:29] 反正你只要有
[10:30] 積蓄心高的東西
[10:31] 對我來講就是
[10:31] 我會想要去參與的東西
[10:32] 那我自己本身是在
[10:34] 禮拜二才比較積極的去補部位
[10:36] 因為在禮拜一的時候
[10:36] 就稍微的補一點
[10:37] 那想說因為禮拜一
[10:39] 應該會有很多人想要衝進去
[10:40] 所以後面會掉下來
[10:41] 那果然後面就真的有掉下來
[10:42] 那心中還在那邊暗自得意的時候
[10:44] 沒關係我們等到明天
[10:44] 再掉下來的時候再來的時候
[10:46] 就明天就沒有再掉下來
[10:47] 馬上直接把車開走
[10:48] 所以對我來講
[10:49] 就是立刻去把自己要的部位
[10:50] 給補上
[10:51] 那也沒有開到很大的槓桿
[10:53] 反正就是稍微的去補一下
[10:55] 像是自己蠻喜歡的
[11:01] 拿出成本真的太遠
[11:02] 所以就比較不會去管它
[11:04] 那一些新建倉的部分
[11:05] 可能就重新的回到一些裝置
[11:06] 跟廠物去試看看
[11:07] 那再來可能在成熟的金融製程代工
[11:11] 我自己也稍微的去試了一點
[11:13] 剛好前一集QA有聽眾問到
[11:14] 我本來是沒有在看
[11:15] 但是因為聽眾講了之後
[11:17] 我就越想越不對勁
[11:18] 就想說其實這樣算下來
[11:20] 它在未來的一段時間
[11:21] 駕動率拉起來的話
[11:22] 應該表現的不錯
[11:23] 所以也就稍微的試了一點
[11:25] 所以其實會發現說
[11:26] 自己有點像那種菜籃族
[11:27] 就什麼都買一點
[11:28] 其實整體的行情表現真的非常好
[11:30] 那也拿了不少顆燈
[11:31] 那一些那種比較關鍵的燈
[11:33] 就沒有拿到
[11:34] 像一些市場人士應該要知道的
[11:35] 像很多人都在喝瑞穗鮮乳
[11:38] 瑞穗鮮乳是很多人都
[11:39] 手上持有的東西
[11:41] 那當然我們就
[11:41] 你知道我在講什麼就一定會知道
[11:43] 不知道我也不用跟你多說
[11:44] 反正就很多人都在排隊
[11:45] 那他們都沒有拿到
[11:47] 像我自己也沒有拿到
[11:47] 也是有跟著去排隊
[11:48] 拿不到拿不到算了
[11:50] 那一些可能沒有這麼擁擠的地方
[11:52] 有些東西自己就有搶到一些部位
[11:54] 但是自己還是有去斟酌
[11:56] 因為現在行情非常的瘋狂
[11:58] 所以不會想要在這種
[12:00] 就是相對已經到
[12:01] 我們不知道真正絕對高點在哪
[12:03] 可是已經拉力成本很遠的地方
[12:04] 當然再加超都不會
[12:05] 不然一反轉
[12:06] 你可能過去的錢都會賠掉
[12:07] 所以對我來講
[12:08] 就是那種監禁式的
[12:09] 慢慢打上去
[12:10] 有在上去再打
[12:11] 如果沒有在上去的
[12:12] 我就不會再去做更多的一個加碼
[12:13] 事件方面
[12:14] 就後面應該GTC大會
[12:16] 會端出一些有趣的東西
[12:17] 老黃在韓國的一個訪問裡面
[12:20] 有提到這樣子的一個說法
[12:21] 至於會端什麼樣的東西
[12:23] 目前市場有兩派的說法
[12:25] 我是覺得說兩個都有可能為真
[12:26] 就大家聽看看
[12:27] 反正它是一個謠言
[12:28] 那不一定會發生
[12:29] 那如果發生的話
[12:30] 我們會怎麼樣去做想象跟處理
[12:32] 那首先第一個就是說
[12:32] 應該會去把它的CPU scale up
[12:35] 跟scale out給拉出來
[12:36] 那這個東西對我們來講
[12:37] 它並不是一個新鮮事
[12:38] 就市場已經是非常充分在反映這個東西
[12:41] 就最近在市場上的一些那種熱門股
[12:42] 其實也是針對這個題材去做一個想象
[12:45] 那一些雷射相關的應用跟股票
[12:47] 也是都全部都動起來
[12:48] 所以如果是拉這個東西出來的話
[12:50] 我不曉得
[12:51] 我就覺得說它算是一個
[12:52] 就是市場已經有充分預期到的東西
[12:54] 那另外一個東西就是有機會會有驚喜就是說之前他不是買了GROK嗎GROQ不是GROK那這個GROQ的晶片我們有跟大家介紹過然後他是使用SRAM所以他的特色就是延遲是極低但是因為SRAM呢
[13:07] 寸土寸金
[13:08] 所以價格是比較高一點
[13:09] 也沒有辦法像HBM去存一堆東西
[13:11] 欸突然間有想到
[13:12] 之前也有人講說SRAM要去取代HBM
[13:14] 所以市場上真的下超多這種
[13:16] 就是白痴的言論
[13:17] 這沒有這麼容易誰取代誰啊
[13:19] 那總之呢
[13:20] 如果是端這個GROK的東西出來的話
[13:22] 他其實受惠的物件會是三星
[13:24] 因為它是在三星的4nm這個節點去做生產
[13:27] 只是因為三星最近因為記憶體已經是噴很多
[13:30] 所以就算端出來也不一定會噴
[13:32] 或者就算它噴
[13:33] 它搞不好也不一定是噴著
[13:33] 它是在噴記憶體
[13:34] 這大家可以比較注意
[13:36] 我同時有聽到另外一個說法是說
[13:39] 就如果說它是端出跟Grok相關的應用的話
[13:41] 它不只是會去講Grok的晶片
[13:43] 它可能也會去講說
[13:44] 它有沒有辦法去把XRAM去整合在它的一些
[13:47] Server的Rack裡面
[13:48] 有一個說法是說
[13:49] 它可能有一個Rack就專門在放儲存相關的東西
[13:51] 或是在運算加速的東西
[13:53] 可能裡面會放一些AMD
[13:55] 或者說看誰的CPU
[13:57] 然後這CPU上面
[13:57] 就會去做SRAM的堆疊
[13:59] 然後可能是有用到
[14:01] Grok的一些knowhow
[14:02] 現在是有一個說法是這樣子
[14:03] 同時有看到一些示意圖
[14:05] 就是朋友跟我去解釋一下
[14:07] 說它大概會長什麼樣子
[14:08] 如果說上面去堆了SRAM的話
[14:10] 你要知道說
[14:11] 其實在frontend這邊
[14:12] 就會去帶來一個龐大的需求
[14:14] 也就是說你可以想象成
[14:16] 在frontend這邊的生產量
[14:17] 就會大幅的去提升
[14:18] 如果說這個某個程度上
[14:20] 變成是一種主流的解方
[14:21] 但我們不太確定
[14:22] 有可能跟ICMS一樣
[14:24] 或是CPX一樣
[14:25] 就是某個程度上
[14:26] 它有可能是選配
[14:28] 它不會是一個全面的匯入
[14:30] 但如果這個東西有機會變主流的話
[14:32] 當然它就會去產生
[14:33] 可能在投片量這邊的一些變化
[14:34] 所以我們可以大概簡單的這樣去看它
[14:37] 還是要等到它可能正式公佈的時候
[14:39] 我們再做一些判斷
[14:40] 反而財報的話
[14:41] 我們也瞭解到
[14:42] 反正數字就是會好
[14:43] 然後機率會機率更高
[14:44] 所以就都是老樣子
[14:45] 財報我們有辦法去驅動這個公司
[14:47] 我們不確定
[14:47] 可是GTC拿出來的東西
[14:49] 就有機會可以去驅動這個公司
[14:50] 大概是自己的一些想法
[14:52] 市場上我覺得現在有一個
[14:54] 比較有趣的題材
[14:55] 其實也是我最近在做
[14:57] 可能比較偏向交易那一邊
[14:58] 因為我們會有一些動能不軌
[14:59] 簡單講就是我不一定知道你在幹嘛
[15:01] 我只知道你很強
[15:01] 我就衝上去跟著買
[15:02] 我自己是有注意到說
[15:04] 最近的臺股的太陽能真的非常的強
[15:06] 那當然其實太陽能
[15:07] 它已經強一段時間了
[15:08] 你嚴格上來說
[15:08] 它在去年底就開始在轉強
[15:10] 那只是因為從去年底到現在
[15:12] 臺股的太多東西可以做
[15:13] 所以基本上像我自己
[15:14] 是沒有注意到太陽能
[15:15] 那後來知道說
[15:15] 像有一些太陽能股
[15:16] 他們是跟著衛星上去
[15:18] 就像說像原金
[15:19] 他就是跟著衛星的題材一起跑
[15:21] 那只是像我自己在做衛星的時候
[15:23] 我是專注在SMT打件
[15:25] 然後跟在他的板材上面
[15:27] 所以其實我也沒有關注到
[15:28] 太陽能相關的東西
[15:29] 是直到最近在做交易的時候
[15:30] 意外發現說
[15:31] 怎麼會一群強勢股
[15:32] 都是跟太陽能有關的
[15:33] 那所以去做了一些簡單的調查
[15:36] 來在那邊跟大家分享一下
[15:36] 因為剛好我覺得蠻應景的
[15:38] 在今天的臺灣時間
[15:40] 差不多早上八九點
[15:41] 十點多左右的時候
[15:43] 川普不是有對外發言
[15:44] 然後提到說科技巨頭
[15:44] 你們全部都要去
[15:45] 自建自己的能源
[15:46] 雖然這件事情嚴格上來說
[15:48] 它不是一個新聞
[15:49] 就是所有的供應鏈產業人士
[15:51] 我甚至是你有在看報紙的
[15:52] 你都知道說
[15:52] 現在他們被要求說
[15:54] 你要去為你自己的能源成本給買單
[15:56] 你要去加入這個電網裡面
[15:58] 以及你要去幫忙攤提掉
[16:00] 可能一些使用者的成本
[16:02] 不要說什麼你科技巨頭
[16:03] 你衝進來
[16:04] 然後你讓大家幫你建制
[16:05] 然後建制完之後
[16:06] 後來你突然間講說
[16:07] 我投資不做了
[16:07] 那這些成本全部變成當地的住戶攤
[16:09] 那就會導致這個電價變超級貴
[16:11] 它會變成一個社會的問題
[16:13] 所以其實科技巨頭
[16:14] 現在跟美國政府
[16:16] 以及在整個能源相關的
[16:17] 一個議題的整合上面
[16:19] 它是一個我們一直有在關注的一個專案
[16:21] 大概在幾個月前的節目
[16:22] 沒有跟大家聊過說
[16:23] 現在很多人在用那種燃氣機
[16:25] 或者說那種往復式引擎
[16:26] 或者說Fuel Cell
[16:27] 來作為可能在onsite的一個發電
[16:30] 因為我們知道說
[16:30] 現在在美國它其實最大的一個問題
[16:32] 也就是說它跟中國去做AI競爭
[16:34] 大家都知道說它是缺電
[16:35] 中國的強項就是在於說
[16:37] 他們的電超級多
[16:38] 那它的東西可能沒有這麼好
[16:40] 可是它可以去輸出
[16:41] 可能很便宜的一個算力
[16:42] 那在美國這邊呢
[16:43] 他們的bottleneck
[16:44] 其實在電力這裡
[16:45] 所以呢除了記憶體之外
[16:46] 那電力也是我們一直跟大家強調的
[16:48] 一個核心的關鍵
[16:49] 所以其實嚴格上來說
[16:50] 它不是一個新聞
[16:50] 但因為在川普講完話之後呢
[16:53] 然後相關的股票又再次動起來
[16:54] 然後搭配太陽能的整體強勢
[16:56] 那就讓我有興趣去調查一下
[16:58] 到底發生什麼事情
[16:59] 那一樣啊
[17:00] 這就是我個人的研究跟調查
[17:02] 那我現在儘量都不會去跟大家講說
[17:04] 我到底有沒有去買進這個題材
[17:05] 我就是跟你講說我的研究跟調查
[17:07] 大家還是要自己去做自己的一個分析
[17:09] 總之我稍微的看了一下
[17:11] 我覺得說其實太陽能在後面
[17:13] 會有一些發揮的空間
[17:15] 前面那種Fuelcell
[17:16] 或者說像是SMR
[17:18] 小型的核能反應爐
[17:19] 我們就不去討論
[17:20] 因為那都算是老梗
[17:21] 即便它可能像SMR的話
[17:23] 是大概有一個5到7年的力探
[17:25] 所以它還是怎麼講
[17:26] 比較遠未來的東西
[17:27] 可是因為太多人討論過
[17:28] 或是Fuelcell
[17:29] 或是像是這些燃氣的發電機
[17:31] 這個其實過去
[17:32] 像我們自己的節目也跟他好玩過
[17:33] 我們就不去講
[17:34] 我們就講一些可能比較新的
[17:35] 有機會有一些契機的東西
[17:37] 像太陽能發電
[17:38] 我們都知道說
[17:39] 它其實是一個非常爛的產業
[17:41] 在我過去的幾天調查的時候
[17:43] 我都發現說
[17:44] 我要去問所謂的專家
[17:45] 他們都會講說
[17:46] 現在其實沒有什麼太陽能專家
[17:47] 因為你還在研究太陽能的
[17:49] 你要不是失業
[17:49] 你要嘛就是轉職了
[17:50] 就是你不太可能
[17:51] 你現在在券商裡面
[17:52] 或者說你在哪一個研究公司
[17:53] 然後他們付錢給你
[17:55] 讓你去研究太陽能
[17:55] 因為太陽能已經爛太久
[17:57] 而且太陽能已經是
[17:57] 進入一個狀態
[17:58] 大家知道說它有點像是
[18:00] 就像之前的記憶體
[18:00] 反正被中國玩壞掉
[18:01] 全部都是中國人在做
[18:03] 所以不管是各種民主建
[18:05] 或是做一些什麼機構建等等
[18:06] 你可能算起來大概90%
[18:07] 甚至連module
[18:08] 都是在中國這邊去做supply
[18:10] 然後在中國的銷價競爭之下
[18:12] 其實已經把蠻多player都打出去了
[18:14] 不管是美國的歐洲的
[18:16] 或是在亞太地區的
[18:17] 其實有蠻多競爭者
[18:18] 都是被他們打到爆掉
[18:19] 有些倖存下來的
[18:20] 你發現說他的價格毛利都變超級差
[18:22] 有些甚至進入了連年的一個虧損
[18:25] 所以太陽能就是我們講的一個產業
[18:27] 之前我們有講四大產業
[18:28] 面板也是產業
[18:30] 最近面板也噴爆
[18:31] 記憶體也是產業
[18:32] 記憶體也噴爆
[18:33] 所以其實所有很慘的東西
[18:34] 其他很多都噴到爛掉
