[00:00] 欢迎收听谷爱,我是孟公
[05:14] 那你能不能帮我感受一下
[05:15] 我的房间里面
[05:16] 有一大堆雕像
[05:17] 我买了一大堆有趣的公仔
[05:18] 那这些东西里面
[05:20] 有没有住东西
[05:20] 我那时候其实是想吓我老婆
[05:21] 因为老婆整天在那边靠摇
[05:22] 我妈的房间放一堆死人骨头
[05:24] 那里面都可以去住一些灵魂之类的
[05:26] 会有危险
[05:27] 所以我就跟她说
[05:28] 来你跟我房间来看一下
[05:29] 然后看你有没有感受到
[05:31] 这些东西里面
[05:32] 有没有住什么灵
[05:32] 然后她一进来
[05:33] 我不知道是怎样
[05:34] 她是隐蔽还是怎样
[05:35] 反正她就突然间
[05:36] 就开始在那边妈的发抖
[05:37] 他突然間發抖
[05:38] 然後接著就從我房間衝出去
[05:39] 就講說你房間那東西是有靈的
[05:42] 然後我說是哪一個
[05:43] 他說裡面已經有幾個
[05:44] 那有一個最明顯是坐在角落那個
[05:46] 那你知道坐在角落那個是什麼嗎
[05:48] 坐在角落是Bloodborne
[05:49] 就是血源詛咒裡面那個人偶
[05:51] 那是我絕對我可能最帥的人偶之一
[05:53] 但這個東西他本身
[05:54] 是真的長得比較邪氣一點
[05:57] 想知道他長什麼樣子
[05:58] 你可以去Google P1S
[05:59] 就是PES
[06:00] 然後空白Bloodborne
[06:02] 然後應該就會找到這一個人偶
[06:04] 我覺得他其實長得非常漂亮
[06:05] 非常酷
[06:06] 而且他其實算是正派的角色
[06:07] 但是我老婆那时候也跟我讲说
[06:09] 她非常怕这个东西
[06:10] 那就跟我讲说这里面有住东西
[06:12] 然后当下我其实心中是觉得
[06:14] 就是怎么讲
[06:15] 就是因为我老婆已经跟我干屌很多次
[06:17] 就是说你把你的那个雕像丢掉
[06:18] 里面都有住东西很恐怖或什么的
[06:20] 然后老婆就已经开始
[06:22] 因为我知道说她会拿这个借题发挥
[06:23] 她在那边讲说什么
[06:24] 我就早就跟人家说要丢掉了
[06:26] 里面真的有住东西
[06:27] 你知道为什么孩子晚上会一直睡不好吗
[06:29] 孩子起来
[06:29] 然后为什么有时候我在晚上
[06:30] 会看到什么天花板有什么东西之类的
[06:32] 她就在那边开始靠背一大堆
[06:34] 然后我就直接跟她讲一个
[06:35] 我就跟她说其实老实讲
[06:36] 我们在林口搬新家的时候
[06:38] 那时候你就一直在跟我讲说
[06:39] 这个家里面有什么东西
[06:41] 你知道那时候是怎么样处理吗
[06:42] 就一开始我老婆跟我讲说
[06:43] 可能家里面有一些有的没有的
[06:45] 就她会怕
[06:45] 我就直接讲说
[06:46] 其实我每次看到那一些建商盖房子
[06:49] 然后有人挂掉什么
[06:50] 然后就讲说那个房子不能够住
[06:52] 因为如果你跑去住的话
[06:53] 就是有可能会遇到一些林或什么
[06:55] 我那时候心中其实很常想的一件事情
[06:56] 就是我不知道
[06:57] 有时候可能我会跳脱一些框架思考
[06:59] 就类似说我觉得拜神明
[07:00] 你就要准备一些好一点的贡品
[07:02] 不然你换的东西
[07:03] 可能是拿你的什么阳寿去换之类的
[07:06] 奇怪你因為公安問題掛掉
[07:09] 當然不是我們這一棟
[07:10] 就是可能隔壁有一些棟
[07:11] 但我那時候想法是這樣
[07:12] 反正你因為某個理由掛掉
[07:13] 冤有頭債有主
[07:15] 拜託你去找他媽欺負你的
[07:16] 你憑什麼欺負我們這些一般人
[07:18] 你知道很多人存錢存了半天
[07:20] 然後他媽住進來要被你嚇
[07:21] 這媽殺小
[07:22] 就如果你敢這樣做的話
[07:23] 我先去找10個法師
[07:24] 我再找10個驅魔士
[07:25] 我再拿他媽20把桃木劍
[07:27] 一定把你嗑到死
[07:28] 就我的想法就是屬於那種比較命硬的
[07:30] 所以像之前幾次我老婆
[07:31] 每次覺得怪怪的
[07:32] 我都是
[07:33] 其實民俗有一個說法這樣
[07:35] 就你直接臭幹髒話
[07:36] 其實那些鬼會怕誰
[07:37] 我都是用這種命運的方式
[07:39] 直接去推
[07:40] 所以我就想說
[07:40] 那裡面絕對不可能住壞東西
[07:42] 第一個是隔壁的觀音斗愛
[07:44] 你們剛剛才講說
[07:45] 這裡面有好的靈
[07:46] 所以觀音斗愛
[07:47] 可能會放任這些小鬼去惡搞嗎
[07:49] 第二個是
[07:50] 如果說這些小鬼
[07:51] 真的有在惡搞的話
[07:52] 老實講
[07:52] 當然我們的生活
[07:53] 跟一些大哥們比
[07:55] 絕對是沒有這麼
[07:56] lavish life或什麼
[07:57] 可是老實說也過得不錯了
[07:59] 就我們已經過得不錯
[08:00] 那你的意思是說
[08:00] 如果把什麼小鬼給移走的話
[08:02] 那是不是怎樣
[08:03] 我今天又要再多一位数
[08:04] 就我不太相信
[08:05] 我觉得说其实老天
[08:06] 对我们已经非常款待了
[08:07] 总之他就跟邻居在那边一搭一唱
[08:11] 反正他们就是希望说
[08:12] 这个东西你可能要把它清掉
[08:13] 或是要拿一个符去压之类的
[08:15] 然后我当下就觉得心情非常复杂
[08:16] 就是怎么讲
[08:18] 好像说我老婆第一次
[08:19] 有人帮她佐证
[08:20] 那我是不是真的要把它清掉
[08:21] 好在这位邻居也蛮有趣的
[08:23] 他第二天
[08:24] 因为他自己真的太害怕
[08:25] 那时候真的是全身在发抖
[08:26] 他就跑去他姓赖的寺庙
[08:28] 就跑去问世
[08:30] 问了之后
[08:31] 立刻就传LINE跟我们讲说
[08:33] 其实我们房间住的东西
[08:35] 全部都是好料
[08:36] 全部都是好东西
[08:37] 只是他的level太高了
[08:39] 他这个灵异体质的人
[08:41] 他扛不住
[08:42] 所以他当下会觉得
[08:43] 就有点像说被shock到
[08:44] 他震惊到
[08:45] 才会在那边全身发抖
[08:46] 起鸡皮疙瘩之类的
[08:47] 但没有问题
[08:48] 是好东西
[08:49] 所以我就跟老婆讲说
[08:50] 你看吧就早点跟你讲
[08:51] 反正我的想法是这样
[08:52] 就真的是
[08:52] 冤有头债有主
[08:54] 不会有莫名其妙的鬼
[08:56] 会没事跑来弄你
[08:57] 就是他如果要没事
[08:58] 跑来弄你的话
[08:59] 你就把他除掉
[09:00] 其实我是觉得人比鬼可怕
[09:01] 这是第一点
[09:02] 然后再来就是人真的要搞事情的话
[09:04] 应该也是可以比鬼更猛了
[09:05] 因为我们有太多的手段了
[09:07] 反正就是谁不要命谁最大
[09:09] 谁要搞就可以搞最大
[09:10] 所以最终还是觉得说
[09:12] 反正只要心里面存在着好意念
[09:14] 不要整天想要害人
[09:15] 不要去做什么奇怪的事情
[09:16] 应该都没有什么大大问题
[09:18] 一个很北蓝的小插曲
[09:19] 跟大家稍微的分享一下
[09:21] 好那接下来我们进入我们今天节目的话题
[09:23] 那在上个礼拜我跟大家聊到说
[09:25] 就是在台积电这边
[09:26] 可以稍微的观察一下
[09:28] 接下来投信的一些买盘
[09:29] 那在过去的几天就有注意到
[09:31] 投信真的有进来买
[09:32] 但我们那时候去列出来的一个小弹数
[09:36] 就是说如果外资真的要死命灌的话
[09:37] 那可能会遇到比较大的一个亚林
[09:39] 最后面我们回头看就发现说
[09:41] 一天卖了好像一万八千多张
[09:43] 然后一天卖了两万多张
[09:44] 所以看起来就是外资不想让台积电
[09:47] 再继续往上冲
[09:47] 我本来心中真的是有一个剧本
[09:49] 就是我希望可以动能到台积电
[09:51] 就像是前面动能到联发客一样
[09:53] 就是这种你平常以为说
[09:54] 不会动的一些大牛股
[09:56] 然后突然间起喷喷射的时候
[09:57] 长得超级的恐怖
[09:58] 所以其实本来是有想过说
[10:00] 台积电有机会会一波出去
[10:02] 只是如果说外资一直站在卖方的话
[10:04] 那当然就要看他们卖到什么时候
[10:06] 再去做判断
[10:08] 只是以现阶段来讲
[10:09] 我觉得就是可能上面会去扛一些压力
[10:12] 那整体来说我认为
[10:14] 当然现在可能很多人会觉得说
[10:15] 台积电已经破了2330的
[10:19] 它自己本身的一个数字
[10:21] 因为像前面Gomansax有喊说
[10:23] 他认为说可能MediaTek可以到2454
[10:26] 反正就是喊了一个蛮有趣的目标价
[10:28] 类似说台积电目标价是2330
[10:29] 反正就是会摸到
[10:30] 那我会觉得说
[10:31] 这两个东西的上限
[10:33] 应该都不是在这边
[10:34] 只是说因为现在在筹码方面
[10:35] 就是外资之后面是
[10:37] 就是站在卖方
[10:38] 他就是决定要卖
[10:39] 那可能就是要等到
[10:40] 看他们的卖压走到什么时候
[10:42] 再来去做判断
[10:43] 那比较有趣的现象是
[10:45] 在礼拜一的时候
[10:45] 真的是就直接发生垃圾盘
[10:47] 然后接着中小直接杀到爆掉的一个剧本
[10:49] 那这个老听众应该都非常的熟悉
[10:52] 或说一些老股民应该都非常熟悉
[10:53] 反正每次台积电很强的时候
[10:54] 那其他东西就会摔倒
[10:56] 那反之呢
[10:57] 当台积电开始横盘的时候
[10:59] 那其他东西又会再一次的复活
[11:00] 因为台积电的规模真的是太大
[11:02] 他会把市场中的钱都给吸走
[11:03] 那所以礼拜一的时候
[11:05] 是直接出现一个垃圾盘
[11:06] 然后中小是直接跌到烂掉
[11:07] 一堆光通出现跌停
[11:09] 那礼拜二的时候
[11:09] 因为台积电就没有再继续进攻了
[11:11] 所以中小又再一次的转强
[11:13] 所以其实在这边
[11:14] 我会觉得说比较难去判断说
[11:15] 那到底后面一阵子前
[11:17] 是会在台积电这边
[11:19] 还是说会在中小这边
[11:20] 因为台积电是没有成功的
[11:22] 一波走出去
[11:23] 因为被外资给打乱了
[11:24] 所以这边我们可能要再观察一下
[11:26] 但是在这样子的一个
[11:27] 就是行情可能比较模糊的时候
[11:29] 有些东西倒是跑出来了
[11:30] 像前面软掉非常久的记忆体
[11:32] 然后在这阵子是直接集体表态了
[11:35] 然后在旺红的法术上面
[11:37] 基本上老板是直接转为超级利多
[11:39] 那这个我们之前跟大家分享过
[11:40] 其实旺红的老板蛮有趣的
[11:42] 像前面大家一直说他很好的时候
[11:43] 他自己都不敢讲很好
[11:45] 那可是他现在终于出来说
[11:47] 他自己很好了
[11:47] 那有些人可能会把这个当为说
[11:49] 他既然敢讲自己很好
[11:51] 那会不会就变成说
[11:52] 已经算是已反映之类
[11:53] 这我们不晓得
[11:53] 因为以我们目前的角度去看的话
[11:56] 旺宏的产品线
[11:57] 确实蛮多是有很漂亮的涨价
[11:58] 特别是MLC NAND的这一块
[12:00] Nord的价格也是还蛮不错的
[12:02] 所以就可以再观察看看
[12:03] 但总之
[12:04] 记忆体这个族群
[12:05] 因为在前面算是软的非常久
[12:07] 然后就趁这一波直接表态
[12:09] 那台股的被动元件
[12:10] 也是在礼拜二的时候
[12:11] 就直接趁机表态就跳出去了
[12:13] 其实台股的被动元件
[12:14] 已经算是underperform
[12:16] 海外的被动元件蛮多
[12:18] 就是如果说你去观察一下
[12:19] 海外的被动元件
[12:20] 包含我們跟大家提的日本的
[12:22] 幾大有名的被動元件公司
[12:24] 或是像是韓國的SAMCO
[12:25] 是直接整個射出去
[12:26] 其實我們在基本面這邊考察
[12:28] 最後面證明是對的
[12:29] 因為你就一直瘋狂的看到一堆漲價線跑出來只是當然我們很多時候是沒有辦法去預期短期的股價會怎么样走所以如果说你觉得可能台湾的被动元件怎么都不会动很烂那其实你现在都可以很轻易的买到像日股
[12:41] 或者说美股一些相关的被动元件
[12:43] 那他们有时候可能是
[12:45] 走得相对好一点
[12:46] 但不一定
[12:46] 说不定台股会在后面
[12:47] 去跟上之类的
[12:49] 那最近在市场上
[12:49] 也听到一些有趣的新状况
[12:52] 这边来跟大家分享一下
[12:53] 那一样这些东西
[12:54] 可能是属于比较前瞻一点的
[12:56] 那所以呢
[12:56] 尽量都还是等到一些
[12:58] 可能公开资讯出来的时候
[12:59] 再去作为一个验证或是确认
[13:01] 那我们只是跟大家分享
[13:02] 自己的一些产业研究
[13:04] 那首先呢
[13:05] 大家都知道说MDK
[13:05] 最近非常的强势嘛
[13:06] 那我们在过去也是
[13:07] 不停地跟大家聊到
[13:08] 这家公司以及它未来
[13:09] 潜在的一些引诱
[13:10] 那其中一个引诱就是说
[13:11] Intel的东西又不会做不出来
[13:13] 那最近呢
[13:14] 透过多方的一个考察呢
[13:15] 其实我们现在就有发现到说
[13:17] Intel在后段的
[13:19] 封装assembly这边呢
[13:20] 它的良率已经有拉到90%了
[13:22] 那90%的封装良率
[13:24] 其实去跟台积电比的话
[13:25] 它严格上来说
[13:26] 就是还是蛮差的
[13:27] 但是90%的一个良率
[13:29] 绝对是已经可以量产的
[13:31] 这个数字
[13:32] 我不知道现在市场上的买方
[13:34] 或说SellSide的分析师
[13:36] 他们知不知道这件事情
[13:37] 因为就我理解
[13:38] 应该是大家都还不太知情
[13:40] 或说不太确定
[13:41] Intel可不可以有这样子一个良率
[13:43] 为什么
[13:43] 因为很多人是从载板端这边去check
[13:45] 因为他的载板是要去做他的移民封装
[13:47] 载板这边
[13:48] 因为蛮多的分析师
[13:50] 或是一些买方
[13:50] 他们都有办法直接透过台系
[13:52] 或是像日系的一些载板厂商
[13:54] 然后去确认到说
[13:55] 它其实for Intel的载板
[13:56] 目前他们是在埋电容的那一块
[13:58] 这个良率是不太好
[14:00] 所以就会导致
[14:01] 载板这边我们可能看到说
[14:03] 大多数的Lot
[14:04] 它是在一个30到40%的一个良率
[14:07] 所以大家可能就假设说
[14:08] 那Intel的后段封装的良率
[14:10] 应该也蛮差的
[14:10] 不然说像我在前期集的节目
[14:12] 跟大家聊联发科
[14:13] 因为联发科还是设出去的
[14:14] 那设出去之后
[14:15] 我们的习惯就是
[14:16] 我们不会在设出去之后那边吊吹
[14:17] 所以我们就是反过来跟大家讲说
[14:19] 未来潜在的一个利空
[14:20] 然后那时候提到说
[14:21] 就是假设Intel的东西做不出来的话
[14:22] 那可能就会BBQ
[14:23] 那这个呢
[14:24] 现在就要去稍微的做一点修正
[14:27] 因为如果说Intel的eMIF
[14:28] 它可以拉到90%的一个良率的话
[14:31] 就代表说那后面应该就会再更高
[14:33] 而且这个数字已经是可以去做量产的
[14:35] 那我先会讲说
[14:36] 可是它前面的subtrade这边
[14:37] 只有30%的一个良率
[14:39] 那我是觉得说
[14:40] 这个应该不会是一个太大的问题
[14:42] 这就有点像是说
[14:43] 我们之前有跟大家分享
[14:43] 那时候在Grace Blackwell
[14:45] 在量产的时候
[14:46] 然后有一段时间
[14:47] 其实我们从代工厂这边看
[14:49] 它的良率只有40%到50%左右
[14:51] 那后来它其实就会慢慢的
[14:52] RAM上去
[14:53] 那我会认为说
[14:54] 其实在subtrade这边
[14:55] 在后面应该也是有望
[14:56] 会持续的拉上去
[14:58] 那最重要就是说
[14:58] 在Intel的
[14:59] 它去做封装这一段
[15:01] 那竟然是可以做到
[15:02] 90%的一个两率
[15:03] 那这个数字
[15:04] 我本来一开始知道的时候
[15:05] 我就已经算是蛮震惊的
[15:07] 然后后来是问了一下
[15:08] 身边的一些产业圈的朋友
[15:10] 那大家其实听到这个数字
[15:11] 都有一点就不太相信
[15:12] 然后觉得说
[15:12] 怎么可能它那个数字这么高
[15:14] 所以如果说
[15:15] Intel的数字真的这么高的话
[15:16] 那当然
[15:16] 它就有机会会在后面
[15:18] 多拿到一些封装的订单
[15:20] 那我知道现在可能很多人去期待Intel的前段
[15:22] 包含像什么18A有没有机会去放量
[15:25] 或是赚大钱之类的
[15:26] 那就我们的考察啦
[15:27] 在短期内就是可能一两年内
[15:28] 都还是属于一个比较困难的一个状态
[15:31] 除非说有客户要给他去做练功
[15:33] 那可是呢在后段封装这一边
[15:35] 也就是说现在你可以甚至直接把Intel
[15:37] 我先视为说它就是一个非常专业的后段封装厂
[15:40] 因为它已经可以做到90%的一个Yield
[15:41] 那说不定就是在封装这边
[15:43] 就是有机会让这个公司的财务数字变得很好看
[15:45] 所以你才会看到说Intel的高层
[15:47] 那可能非常的有底气之类的
[15:48] 那所以这是最近在市场里面的一个发现
[15:51] 那其实你会注意到
[15:52] 就是市场里面的整体的叙事
[15:54] 是有带起来的
[15:55] 像之前有跟大家聊过的一家公司
[15:57] AP Memory
[15:57] 它就是在做Intel的载板里面的IPD
[16:00] 就是怎么讲
[16:02] 就是埋在载板里面的被动式电容
[16:04] 那再来像MTK本身也是非常的强势
[16:06] 当然我们现在讲这个
[16:08] 还是要强调
[16:08] 因为这些东西
[16:09] 有时候我们会很怕
[16:10] 在相对高档去聊
[16:11] 但你要知道
[16:12] 这个一定都是前面都有先聊过了
[16:14] 所以不要最后埋在最高档的
[16:15] 然后就讲说
[16:16] 在高檔喊標的
[16:17] 我們是帶狀的
[16:19] 所以就一路聊
[16:19] 所以你要查下去查最前面
[16:21] 就是我們一路在cover他
[16:22] 在聊他在分享的時候
[16:23] 所以目前有注意到說
[16:25] 市場上很多跟MTK
[16:28] 或者說Google
[16:29] 然後或者是在Intel的
[16:32] 一米相關的標的
[16:33] 都非常的搶失
[16:33] 大隻的就直接就跟大家分享一下
[16:36] 沒有關係
[16:36] 但小隻的我們就不去做太多的論述
[16:39] 不然大家講說他要喊盤
[16:41] 所以總之就是
[16:41] 我們有注意到說Intel這邊的
[16:43] 良率的數字是好的
[16:45] 在後段封裝
[16:45] 不是前段
[16:46] 前段他是跟TSM拿
[16:47] 然后到后段这边去给Intel
[16:49] 所以有机会可以注意到说
[16:50] Intel在这边会有所表现
[16:52] 如果他这边有所表现的话
[16:54] 或者说简单来讲
[16:55] 如果你E-Mip产出来的状况是不错
[16:57] 你的市场的表现是好的话
[17:00] 有机会会不会有其他客户也跑来
[17:02] 这是有可能的
[17:03] 当然听到这边
[17:04] 可能有些人会想说
[17:05] 这算不算是其他一些后段封装
[17:07] 或甚至是TSM的一个利空
[17:09] 我觉得不是
[17:09] 因为简单来讲
[17:10] 马斯克那个说法其实是正确的
[17:12] 就像大家是非常缺产能
[17:14] 所以严格上来说
[17:16] 就只是可能前面排在一些队伍里面的客人
[17:19] 现在有机会会跑到Intel这边来
[17:21] 可是还是很多客人会持续的排队
[17:23] 就是在不管是TSM
[17:25] 或是一些那种强大的后端封装厂
[17:27] 那如果说他们可以开出更多产能的话
[17:29] 那当然这些客人都还是有机会会跑回来
[17:31] 再继续下更多单
[17:32] 所以以目前的状况来讲
[17:34] 就除非我们有注意到AI有一个明显的反转之类的
[17:38] 那不然在下的角度会觉得
[17:40] 反正总之就是产能要多少
[17:42] 那如果说代工厂这边给出来的话
[17:44] 那他就真的可以去投多少这样
[17:46] 所以这边稍微的跟大家分享一下
[17:49] 那接下来就稍微来聊一下
[17:51] 一下整体盘面的一个状态
[17:53] 其实按照我们过往的一个惯例
[17:55] 就是如果出现垃圾盘
[17:57] 那台积电直接走出去的话
[17:59] 那中小会直接死掉
[18:00] 但问题是台积电这一波
[18:01] 他最高摸到2330之后
[18:03] 然后就直接稍微的软掉了
[18:04] 所以严格上来说
[18:06] 我们去看一下那个贵买的线
[18:07] 贵买确实在台积电开始转强的时候
[18:09] 你就注意到贵买就已经是
[18:10] 做一个投然后开始下去
[18:12] 所以不太确定
[18:13] 但我觉得在这边
[18:14] 算是非常难做的一个阶段了
[18:16] 因为前面本来自己的想法是
[18:18] 假设台积电可以顺利的打出去的话
[18:20] 那就是一个新的肋骨轮动
[18:22] 只是surprise motherfucker
[18:23] 真的很多时候市场会超出大家的一个预期
[18:26] 台积电拉出去
[18:26] 然后接着就开始休息一下下
[18:28] 当然可能休息之后又会继续动
[18:29] 只是它没有一波就出去这样
[18:31] 中小死了一天
[18:33] 然后接着就反弹
[18:34] 但反弹之后也有些东西看起来就是转弱了
[18:36] 反而像是过去都不太动
[18:39] 比较牛皮的被动元件
[18:40] 然后跟记忆体又直接动起来
[18:43] 所以有点像他说
[18:44] 现在可能进入一个
[18:45] 肋骨带开表现的一个状态
[18:47] 这个时候就会可能比较考验
[18:49] 去对资金的一个判断
[18:50] 反正不是基本面
[18:51] 因为基本面的角度来讲
[18:52] 反正现在可以看到
[18:54] 好基本面的东西其实很多
[18:55] 那只是资金愿意去哪一个地方推
[18:58] 这个是像我们自己在做交易的
[19:00] 会比较专注的一个东西
[19:02] 所以会持续的去注意说
[19:04] 现在可能市场的资金
[19:05] 往哪个地方跑
[19:06] 那包含说像前面聊到的一些故事
[19:08] 包含像是被动眼镜
[19:09] 就抬骨的开始动起来了
[19:11] 那或者是说
[19:12] 如果Intel的相关的supply chain
[19:15] 他们开始动起来
[19:16] 然后它是一整包的
[19:17] 就是整个族群一起动的话
[19:18] 但我觉得重点是看一下
[19:20] 接下来联发科的法说
[19:21] 会不会去给更多的提示
[19:23] 如果说有出现的话
[19:25] 其实我们的资金
[19:26] 一般就是往这个方向去投
[19:28] 大概这样
[19:28] 所以简单跟大家分享一下
[19:29] 就是下自己对于盘面的一个看法
[19:32] 就我觉得已经进入一个
[19:33] 比较混沌的局面
[19:33] 因为本来是假设说
