[00:00] 欢迎收听谷外,我是羡慕公,本期节目由Osen 8电极家用提纸机赞助
[00:04] 最近台股一天涨跌上千点,大家都知道杠太大会出事
[03:12] 基本上就不会对孩子做这些东西
[03:14] 所以我们其实蛮多家长
[03:16] 在互相讨论的时候
[03:17] 都会讲说
[03:17] 现在孩子真的过得超级爽
[03:19] 但是呢
[03:20] 我老婆每次听到
[03:20] 我讲这样子的东西
[03:21] 就有时候会感叹一下
[03:22] 说她真的过很爽
[03:23] 那我老婆就会说
[03:25] 那是你自己过得苦
[03:26] 不代表说你的孩子
[03:27] 就一定要跟你一样苦
[03:28] 那你说她真的过很爽吗
[03:30] 你去看一下她的同学
[03:31] 基本上你们到同一间学校
[03:32] 我们是差不多的生活环境
[03:34] 住在差不多的区域
[03:35] 大家的生活
[03:36] 不会真的有太大的落差
[03:38] 所以她并没有过得特别爽
[03:40] 对她来讲
[03:40] 这就是一个正常小朋友的生活而已
[03:42] 那所以想想就觉得
[03:43] 非常的有道理
[03:44] 就是随着时代的推进
[03:46] 我们不免的
[03:47] 有时候孩子会不小心的
[03:48] 就是可能就变成
[03:49] 你不想要成为的长辈
[03:50] 不然说可能会跟孩子说
[03:52] 你多在乎他
[03:53] 他多幸运
[03:54] 他可以过这样子的生活
[03:56] 以前爸爸妈妈没有
[03:57] 那你就想
[03:57] 你以前爸爸妈妈
[03:58] 也跟你讲一样的话
[03:59] 那你也在那边想说
[04:00] 靠北
[04:00] 我从小就没有看过田
[04:02] 我爸从小时候要去种牛
[04:04] 他要去雇牛
[04:05] 他要去耕田
[04:06] 我没有必要去做这样的事情
[04:08] 我也没有田可以看
[04:09] 那时候
[04:09] 所以你就觉得
[04:11] 你爸爸妈妈在那边靠腰
[04:12] 那是你们老人家那一辈的东西
[04:14] 所以一样的道理
[04:15] 就是我们刚才讲说
[04:15] 我们小时候会怎样子
[04:16] 其实你跟他说
[04:18] 他是无法理解的
[04:19] 因为那已经是不同世界了
[04:21] 所以这就是身为家长
[04:22] 自己要去稍微去做控制
[04:23] 去做调整的
[04:24] 总之就是要接受说
[04:26] 这个时代是慢慢在推进
[04:28] 有时候不要讲太多谷
[04:29] 你讲一堆谷
[04:30] 基本上你就变成
[04:32] 以前你最不喜欢的
[04:33] 年夜饭桌上的长辈
[04:34] 所以要学会
[04:36] 稍微都不要去做评论
[04:37] 去欣赏这一代小朋友
[04:39] 他们喜欢的东西
[04:40] 去看一下他们看的一些动漫
[04:42] 也不要跟他说
[04:42] 你知道以前我们猎人多好看
[04:44] 就是不用去讲
[04:45] 这种有的没有营养的东西
[04:46] 这是我们身为家长要去控制的
[04:48] 那最近呢
[04:49] 我妈也有传一个连结给我
[04:51] 她要去跟我解释说
[04:52] 其实沙沙的西瓜
[04:53] 就是花莲瓜
[04:54] 或者说苗栗的厚龙瓜
[04:57] 该有的一个样貌
[04:58] 而不是像可能
[04:59] 我跟我妹猜测
[05:00] 就是我妈为了cost down
[05:02] 或者是有蛮多听众讲说
[05:03] 沙沙的西瓜是坏掉的西瓜
[05:05] 这边跟大家稍微讲一下
[05:06] 经过我的科普研究
[05:08] 是真的有些西瓜
[05:09] 像是花莲瓜
[05:10] 那种大西瓜
[05:11] 它本身就是要是沙沙的口感
[05:13] 这个才代表说
[05:14] 它是一个好西瓜
[05:15] 所以非常有必要在这边
[05:16] 替我母亲一起刷她的冤屈
[05:18] 好像讲的像是说
[05:20] 她为了Costown
[05:21] 然后去买一个比较鸟的东西
[05:23] 其实我妈妈小时候
[05:25] 她是不会饿到我们
[05:26] 虽然我小时候曾经跟她许愿说
[05:28] 我想要一台PlayStation
[05:29] 然后最后面是没有成功
[05:30] 你知道我那时候许愿
[05:31] 我现在回想也很悲凉
[05:32] 我就会跪在床前面
[05:33] 希望她起床看到
[05:34] 然后就会被我的诚信给感动
[05:37] 结果我起床之后
[05:38] 剩我一个人跪在那
[05:39] 我妈已经去上班
[05:40] 她完全不屌我
[05:41] 对 但是小时候
[05:42] 其实该有的东西我们都会有
[05:43] 那吃的东西
[05:44] 像我妈有一个大原则
[05:46] 就叫做干净点要买爆
[05:47] 反正她知道你喜欢吃什么东西
[05:49] 接下来可能在冷冻库
[05:51] 或是冷藏里面
[05:52] 就是出现这个东西
[05:53] 大概是够吃十天份左右的
[05:55] 吃到你怕为止
[05:57] 她很骄傲
[05:57] 她就说就吃到你们怕为止
[05:59] 那所以我一度以为
[06:02] 就是这应该可能是
[06:03] 某种那种cost down的选项
[06:04] 但是就没有发现说
[06:05] 我妈好像在吃方面
[06:06] 是不会cost down
[06:07] 她可能会cost down其他东西
[06:08] 她会省自己
[06:09] 但是她好像
[06:10] 比较少让我们感受到说
[06:13] 就是想要的东西没有
[06:14] 我从小到现在我只记得
[06:15] 就是那个PlayStation想要没有
[06:17] 但我也有一些可能别的小朋友没有的东西
[06:19] 像这个我妈那时候好像是不知道赚到什么钱
[06:22] 然后就送我一台iPod Photo
[06:24] 那那个iPod Photo真的是改变了我的生命
[06:28] 我那时候应该有跟大家讲过
[06:30] 反正总之就是不知道为什么
[06:31] 买回来这iPod Photo
[06:32] 还是跟现在的可能不知道
[06:34] 有些那种内建的播放器
[06:36] 它里面会有YouTube的歌一样
[06:37] 那一台iPod Photo里面有Codeplay的歌
[06:40] 那就是因为那个Codeplay的歌开启了
[06:42] 就是我对英文的好奇跟喜好
[06:44] 那英文的好奇跟喜好
[06:46] 又开启了后面的世界
[06:47] 包含说如果英文没有学好
[06:49] 那自然而然就当时
[06:50] 不会去有这个培训机制的机会嘛
[06:53] 那如果英文没有学好
[06:54] 那自然而然
[06:54] 可能就不会认识我老婆
[06:56] 你就是跟老外就不敢讲话之类的
[06:58] 那如果英文没有学好
[07:00] 可能就是也没有办法去做好
[07:01] 可能在美股或说台股一些投资
[07:04] 因为有些东西你要看海外的资料
[07:05] 所以那个算是我人生中的
[07:07] 一个非常大的转折
[07:08] 那一台iPod photo
[07:09] 所以因为说懂这些东西
[07:11] 就会知道
[07:11] 孩子如果以后跟你要什么东西
[07:13] 可能就是在不宠坏他的前提之下
[07:16] 就这样给他
[07:17] 因为各种东西都有可能会
[07:19] 意外的开启到未来的某一个开关
[07:21] 然后这个东西就会串联起你的命运之类的
[07:25] 所以大概这样
[07:25] 简单来说西瓜是正常的
[07:28] 花莲瓜或是我们厚龙的西瓜
[07:30] 就是应该是沙沙的
[07:31] 我这边稍微跟大家讲一下
[07:33] 总之就是希望自己的孩子
[07:36] 我把我的节目
[07:38] 就是假设有照来日
[07:39] 我退休了或怎么样
[07:40] 我都在节目上退休之类的
[07:41] 會不會還會留存
[07:43] 如果有的話
[07:44] 就是
[07:45] 不知道就說不定有一天兒子會回聽到這裡
[07:47] 之類的
[07:49] 那就老爸愛你
[07:50] 就希望你可以
[07:51] 這個快樂健康的長大
[07:52] 長大之後就做自己想做的事情
[07:54] 好好的養活自己
[07:55] 做一個對社會負責的人
[07:56] 這樣就好
[07:57] 不用去
[07:59] 講究說什麼多少人要喜歡你
[08:02] 或是你要去成就多少事情
[08:03] 因為其實大家都以為
[08:05] 可能別人會看你的人生
[08:07] 其實每個人光是忙自己的事情
[08:09] 就已經沒空了
[08:10] 所以把自己的生活过好
[08:11] 照顾好喜欢自己的人
[08:13] 这个就是算是一个非常好的事情
[08:15] 老爸应该是不需要你的照顾
[08:18] 看起来是这样
[08:18] 就好好照顾我自己
[08:20] 因为早上也看到黄虫人逝世的新闻
[08:23] 前阵子是阴眼亮
[08:24] 其实这两个老板我都还蛮喜欢的
[08:26] 应该这样说
[08:27] 我知道其实每个人都会各有公平
[08:30] 一定有些人他会不喜欢他的某个环节
[08:34] 但我很讨厌这种各达五十大板的东西
[08:36] 我觉得其实生活中很多评价
[08:38] 就拉回到自己身上
[08:39] 就是到底這個人對你的影響是什麼
[08:41] 這個人對我的影響就是
[08:42] 他的利基店愛普
[08:43] 我都是賺錢的
[08:44] 我知道之前有什麼利金之酒會
[08:46] 可是不好意思
[08:46] 我沒有參與到那段我不曉得
[08:48] 所以對我來講像是一年良的股票
[08:51] 以前就是你可能在第三第四季的時候去做
[08:53] 就是會賺錢
[08:54] 黃蟲仁的股票就是氣氛對了上去
[08:56] 就是會賺錢
[08:57] 雖然有時候會洗比較久
[08:58] 像那時候愛普就洗好久好久
[09:00] 但總之就是非常感謝這些老闆
[09:02] 讓小弟在市場是有一些可能受益的機會
[09:07] 那就是覺得像他這樣子的一個巨富啊
[09:10] 到處你都可以看到說
[09:11] 這個大股東非常有錢
[09:13] 也開了餐廳投資
[09:15] 音樂什麼有的沒有的
[09:16] 藝術做非常多東西
[09:18] 但76歲而已
[09:19] 76歲以現在人來講
[09:21] 應該不是一個特別老的年紀
[09:23] 對吧
[09:23] 因為現在其實蠻多人都說
[09:24] 40歲還是什麼青壯年
[09:26] 還講自己是青壯年
[09:27] 40歲是青壯年
[09:28] 那70幾歲應該就算是成年人而已
[09:30] 對
[09:31] 就是有錢還是要有命華
[09:34] 我希望大家还是要好好的照顾好自己的身体
[09:37] 那就大概这样
[09:38] 反正我会尽量去把我自己的身体照顾好
[09:40] 那孩子呢
[09:41] 就是好好的去做好自己想要做的事情
[09:44] 那大概就这样
[09:45] 老爸对你的免利就到这
[09:47] 好那接下来我们就来进入今天市场的话题
[09:49] 那首先呢
[09:50] 在昨天大家看到了
[09:52] 台股有一个这个实施级的局势大反弹
[09:55] 其实也不只是在台股
[09:56] 在韩股在美股都发生类似的事情
[09:59] 那子弹在夜盘的时候呢
[10:01] 我看了一下
[10:01] 好像是收斂的大概2%左右的一個跌幅
[10:04] 那也OK啦
[10:04] 就是你噴了8% 9%這樣
[10:06] 然後你回個2%
[10:07] 這個算是一個小小的正常能量釋放
[10:09] 那外甲呢
[10:10] 其實發哥在禮拜五又給了一個非常好的guidance
[10:13] 上修了他的forecast
[10:14] 那所以呢就是初判
[10:17] 就是下禮拜還是有蠻多新的動能
[10:19] 有可能把這個盤帶上去
[10:20] 那隨著時間推進呢
[10:21] 後來各種狀況越來越明朗
[10:23] 算是把戰爭迷霧打開了
[10:25] 所以我們就可以知道說
[10:26] 到底這一波的行情
[10:27] 下殺的主因是什麼
[10:29] 那他一定有很多次因
[10:31] 就是次要的理由
[10:32] 不然像什么川普的战争
[10:35] 中东的局势的变化
[10:37] 再来说可能油价的变化
[10:39] 或者是说联准会的态度等等的
[10:41] 但一般来讲
[10:42] 我们会去等待一个事件的产生
[10:44] 就像那时候跟大家聊到说
[10:45] 有某些事件的产生
[10:46] 然后突然间就不迭了
[10:48] 或是开始反弹
[10:48] 就代表说那个事件
[10:49] 可能就是市场的核心的事件
[10:52] 那现在看起来
[10:52] 就是这个Leopold Aschenbrenner
[10:55] 他的Situational Awareness的爆产
[10:57] 可能就是这次的核心事件
[10:59] 所以这个事件
[10:59] 其实跟2021年的
[11:01] Biohound Arkegos事件是有像的
[11:04] 所以其实我们长期去关注这些事件
[11:06] 对我们来讲会有一些帮助
[11:07] 就是你可以找到一些pattern
[11:09] 那你也可以大概知道说
[11:10] 那后面recovery会长什么样子
[11:12] 虽然还是有一些那种交叉的事件
[11:14] 可能会造成每次的outcome都不太一样
[11:16] 可是至少你会
[11:17] 可以把自己放在一个
[11:19] 相对冷静的位置
[11:21] 知道说那后面大概要怎么样去做处理
[11:23] 那其实这一次呢
[11:24] 看起来我们那时候最早的一个猜想
[11:27] 方向是对的
[11:28] 就是一个市场降杠
[11:30] 那可能不一定跟基本面
[11:31] 是高度相关的事件
[11:32] 导致说就是过往市场中的热门股
[11:35] 基本上你可以想象成说
[11:37] 四五六月涨最多的东西
[11:39] 其实就是七月跌最多的
[11:40] 你现在回头看
[11:41] 几乎全部都是这样子
[11:42] 哪一堆东西都摔破了50%
[11:44] 那台湾甚至有一些
[11:45] 那种迷因的梗跑出来
[11:47] 就说什么台湾的崩跌50
[11:49] 就是跌这个50%以上的
[11:50] 然后大家就在笑这些标的
[11:52] 但其实如果这50%标的
[11:54] 你在过去都没有买过的话
[11:55] 我们讲说不是你要在山顶买
[11:57] 是说你在过去的一年你都没有买到
[11:59] 那你的绩效高几率可能也不一定会是太好
[12:02] 就是可能会跟大盘差不多
[12:04] 你就没有办法去打出alpha去outperform大盘
[12:07] 因为这其实就是市场中的最涨的股票
[12:09] 就类似说这一次的Leopold Ocean Brand
[12:12] 它的股票其实绝大多数都是市场中最标的什么Navius, Sandisk, Iron, BE, Bloom Energy, Micron, SK Hynix就是你不可能说这些东西呢
[12:22] 回档我一点都不要吃
[12:24] 那可是上去的时候我全吃到
[12:26] 所以其实我们去做这些分析跟讨论的
[12:29] 从头到尾都不是要去编任何人
[12:32] 有蛮多人会这样
[12:33] 就像现在很多人在网上会提说
[12:34] Situational Awareness就是一个韭菜基金
[12:37] 没有他其实不是韭菜基金
[12:38] 他从他创立以来
[12:40] 2024到現在它是繳出一個1000多%的報酬
[12:43] 即便它這一次是被liquidate
[12:45] 它被清算掉了
[12:46] 可是實際上它今年還是
[12:49] 就它的year to date還是加80%
[12:51] 這一波drawdown是draw了大概67%左右
[12:54] 你說這樣子為什麼會被清算
[12:55] 為什麼會被seeded掉給買走
[12:57] 就是因為就爆倉了
[12:58] 因為槓桿開太大簡單講是這樣
[12:59] 可是壽司的駱駝還是比碼大
[13:02] 然後爆開之後其實還是有留下不少錢
[13:05] 再來其實它現在的整個hedge fund
[13:08] 会比较像是一个
[13:09] Anthropic的SPV
[13:11] 然后外加一个小型的
[13:13] Long Only Hedge Fund
[13:14] 就变成这样
[13:14] 它本来是一个
[13:15] AI的Long Shore Hedge Fund
[13:17] 那只是因为
[13:17] 它的Long Shore配置爆掉
[13:19] Long就是我们刚才前面讲的
[13:20] 这几只标的
[13:21] 那Shore的部位
[13:22] 就是它看起来是去空软体股
[13:23] 那只是软体股呢
[13:25] 在它可能部位遭受重击的时候
[13:28] 软体股反而又是在上涨的
[13:30] 所以变成它多空双赔
[13:31] 然后才导致
[13:32] 这一次被扫出场
[13:34] 然后被City聊给捡走
[13:35] 所以其实整体的样貌是长这样
[13:37] 那你可以想象成说
[13:39] 并不是他一个人去把整个市场给砸掉
[13:42] 是一定有很多人都在做类似的事情
[13:44] 就像是韩国的杠杆仔
[13:45] 台湾或者说美国在SOX里面的杠杆仔
[13:49] 超级多这样子的人
[13:50] 那只是他可能是杠杆仔里面
[13:52] 就是可能AUM是相对比较大一点的
[13:56] 所以他造成的影响也比较大
[13:57] 那其实也不是只有他爆仓
[13:59] 其实后来我们有稍微的侧面去了解一下
[14:01] 一些知名的这些hedge fund
[14:03] 像是什么Diamond P72 Millennium Polymer Citadel之类的
[14:07] 我就不去點名是誰
[14:08] 但是反正傳言就是有講說
[14:10] 這裡面有好幾家
[14:12] 如果說你今天是那種
[14:13] 業內人士應該多少都聽說
[14:16] 就裡面有一些Pod都爆倉了
[14:17] 這個Pod是什麼意思
[14:18] 不是說什麼整個部位爆炸
[14:20] 就是因為他們下面可能下轄了
[14:22] 有非常多的策略
[14:23] 非常多的團隊
[14:24] 一大堆PM
[14:24] 每個人都管自己的部位
[14:26] 可是就是比較偏向是Momentum
[14:28] 去做動能的這一塊
[14:29] 就是有些Pod就也爆倉
[14:31] 只是它的爆倉可能沒有像
[14:33] Situational Awareness這麼嚴重
[14:35] 就是直接被清算掉這樣
[14:36] 他們的爆倉可能是比較偏向說
[14:38] 就是已經摸到他榜首的界線
[14:41] 一般是可能5到10%之間
[14:43] 這可能聽起來大家會覺得很不可思議
[14:45] 就是回檔5到10%
[14:46] 那可能這個東西就要被清算掉
[14:48] 為什麼
[14:48] 因為對他們來講
[14:49] 他們是要去追求一個穩定的報酬
[14:51] 所以部位都是由多空
[14:53] 或是做到Market Neutral之類的
[14:55] Sector也會做到Neutral
[14:56] 非常複雜
[14:57] 反正總之他們不應該要賠這麼多錢
[15:00] 所以在這一波就是可能因為這樣子
[15:02] 他們也加劇了一些跌勢
[15:03] 因為已經發現說這個
[15:05] 状况已经是脱离这个掌控
[15:07] 所以就加速的去砍掉他们的多仓
[15:10] 也就是过去涨最多这些标的
[15:11] 空仓就是做回补
[15:13] 所以你看到一些软体股
[15:14] 可能在谷底出现一些大反弹
[15:16] 可能是有这样子的一个因素在背后
[15:19] 所以整体看起来就是一个全市场的降杠杆
[15:21] 只是降杠杆的核心被大家抓到
[15:24] 是Situational Awareness
[15:25] 附带的就是一些Hedge Fund里面的Momentum Team
[15:29] 然后以及各种散户的大量的杠杆
[15:31] 四代杠杆
[15:32] 四代同堂
[15:33] 然后或者是质押跟融资的杠杆
[15:36] 一次性的杀出
[15:37] 然后导致这一波超级深的一个跌幅
[15:39] 就是过去涨最多的标的
[15:41] 后来也变成跌最多的东西
[15:42] 所以其实后面发现说
[15:44] 这个均值回归这个说法
[15:45] 是非常有道理的
[15:46] 在各个环节其实都是这样子
[15:48] 那现在大家看到的AI的某些sector
[15:51] 就即便在这样子的大回荡
[15:53] 它还在涨很多
[15:53] 可是终究其实它就是会回到一个均值
[15:55] 所以就有点类似说
[15:57] 就是我们之前有跟大家聊到
[15:58] 其实这波的修正
[15:59] 严格上来讲是大家获利回吐
[16:01] 后来一定会有一波
[16:02] 就是真正的AI的大correction会产生
[16:05] 因为可能历史就是已经演过很多次
[16:07] 所以我们就是有很高的信心
[16:08] 它会发生
[16:09] 只是我们不知道什么时候
[16:10] 那我们也不是那种航空博士
[16:11] 就是喜欢整天航空
[16:12] 我们还是会以做多为主
[16:13] 只要做好心理准备
[16:14] 就是后面会有一些大的
[16:16] 因为历史有教会我们
[16:17] 就是循环怎么上去
[16:18] 后面就会怎么下来
[16:19] 那再来就是太过教会我们什么
[16:21] 就是十年线跟五年线
[16:23] 最后都一定会去碰到
[16:24] 那你下去看一下
[16:25] 十年线跟五年线的位置
[16:26] 其实超级远的
[16:27] 那我们是不认为说
[16:28] 就是在接下来很快的一段时间
[16:30] 就会去碰到
[16:31] 只是就是终究一定会去碰到
[16:33] 所以到时候就要小心
[16:34] 就要去把这些例子呢
[16:36] 可能放在自己的心中
[16:37] 知道说其实以这个
[16:38] Arshenbrenner来讲
[16:40] 他是一个非常厉害的投资人
[16:41] 绝对是
[16:42] 他并没有说什么
[16:43] 有特别独到的见解
[16:44] 因为他买的东西就是AI
[16:46] 大家都知道说可以买的东西
[16:48] 那只是呢
[16:49] 他冲地棒
[16:50] 他感压很大
[16:51] 所以他上去的时候很快
[16:52] 那当然他下来的时候也非常快
[16:54] 那我们是推测他后面应该
[16:56] 是会继续经营他的fund
[16:58] 就是他只是把他手上的部位
[16:59] 有點像是說block trade賣給別人
[17:01] 後面還是可以繼續做下去
[17:03] 因為還是有錢
[17:04] 他可能現在最有價值的東西
[17:06] 就是他私募的這個Enthropic的股份
[17:08] 好像是大概100還是50
[17:10] 就是有蠻大的一筆錢在那邊
[17:12] 剩下的AUM大概就是100多
[17:14] 所以其實絕大多數就是
[17:15] Enthropic的一個形狀
[17:17] 所以我們講說這個公司
[17:18] 已經變成是Enthropic SPV的感覺
[17:20] 就是可能後面新的投資人進來
[17:21] 就是可能要去買
[17:22] Enthropic未來潛在的pre IPO
[17:25] 後面上IPO的一個爆發性
[17:27] 有可能是要往這個方向去賭
[17:29] 那你說他有沒有機會再站起來
[17:31] 其實在我的角度看是非常有機會
[17:32] 因為他抓的東西
[17:33] 其實像我們自己也都是蠻認同說
[17:35] 嗯這東西是好東西
[17:36] 也不會因為說可能這個行情下反轉
[17:39] 然後很多東西掉下來
[17:40] 就會轉口說他是不好的東西
[17:42] 因為其實他們都長非常多
[17:44] 這些東西都長非常多
[17:45] 他就是一路這樣靠上來
[17:46] 才會有一個巨量的報酬嘛
[17:48] 那只是說在高檔的時候
[17:49] 可能槓桿還是太大
[17:51] 那因為這樣就遭受到一些很大的傷害
[17:54] 那其實槓桿跟流動性這件事情呢
[17:56] 就是說他組在一起
[17:57] 是有机会造成一些毁灭性的打击
[18:00] 最近有看到王世坚在提说
[18:01] 要去改除质的政策
[18:03] 这个其实我非常非常的赞同
[18:05] 我觉得大家都应该支持
[18:08] 这样的一个改革
[18:09] 其实我之前
[18:10] 比较早期的时候
[18:11] 是非常讨厌除质股
[18:12] 我就觉得除质股
[18:13] 是一个很白痴的制度
[18:14] 简单来讲就是说
[18:15] 他每期明是告诉你说
[18:16] 他让市场降温
[18:17] 可是你动动你的脑袋
[18:19] 去想要知道
[18:20] 这要怎么样让市场降温
[18:21] 一个狂飙的东西
[18:22] 你把流动性抽掉
[18:24] 你把成交撮合的时间
[18:25] 改成几分钟
[18:26] 甚至是20分钟
[18:27] 你觉得会发生什么事情
[18:29] 就是它本身就是因为流动性不够
[18:32] 导致疯狂的狂涨或是狂跌了
[18:34] 那你还在把流动性抽掉
[18:36] 所以其实会让事情变得更加的严重
[18:38] 那当然一个东西它会产生
[18:40] 它一定不是说什么
[18:42] 所以所有人都是白痴
[18:43] 不知道这件事情
[18:44] 它一定某个程度上
[18:45] 像一些那种虚草的股票
[18:46] 它真的有可能因为流动性收起来之后
[18:49] 那上去的动能仔就比较没有意愿
[18:51] 就比较不会想去推动它了
[18:53] 那所以导致说
[18:54] OK那可能就真的会有缓解的一个效果
[18:56] 可是对于那些那种真金白银
[18:58] 或者说真的很强大的东西
[18:59] 其实它是拦不住的
[19:01] 就是它把流动性抽掉
[19:02] 只会让事情变得更加严重
[19:04] 那后来为什么
[19:05] 大概在过去一两年
[19:06] 我对储值股的态度
[19:07] 变得比较中心是因为
[19:08] 因为有朋友教我
[19:09] 怎么去弄储值股
[19:10] 就是你大概知道说
[19:11] 反正市场上有一些规则
[19:13] 那一定就会有一些bug
[19:15] 那这些bug
[19:16] 当你懂得去利用的时候
[19:17] 它其实某个程度上
[19:18] 它是可以帮助你赚到一些钱的
[19:19] 虽然以这个未纳量来讲
[19:21] 它没有办法帮你赚到
[19:22] 很多很多钱
[19:23] 可是你大概知道怎么做之后
[19:24] 像你自己的标记进处置股
[19:25] 你就可以知道
[19:26] OK那我上下其手的空间
[19:27] 所以既然制度是长这样
[19:29] 那我们没有办法去改变制度
[19:31] 那我们就在里面找到一些获利的机会
[19:33] 所以因为这样子
[19:34] 后来对处置股的想法
[19:35] 是有稍微的改观
[19:36] 就变得比较中性
[19:37] 以前是很不喜欢
[19:37] 后来变得比较中性
[19:38] 可是其实像这几波这样子搞
[19:40] 或者说像去年的关税事件的时候
[19:43] 其实那时候也是很怕说
[19:44] 如果在居所第四第五根跌停
[19:46] 然后进处置
[19:47] 有些东西真的会完蛋
[19:48] 因为一般的散户
[19:49] 可能不一定会懂这件事情是
[19:51] 像你的标的
[19:53] 你可能就是说
[19:54] 现在蛮多人讲一个笑话
[19:55] 部位小小讲话吊吊
[19:57] 买个两张
[19:58] 然后讲话超大声
[19:58] 好像自己是什么大股东
[19:59] 然后东马老板
[20:01] 然后西干什么供应商
[20:02] 讲好像自己很厉害
[20:03] 但实际上呢
[20:04] 如果你今天部位稍微变大一点之后
[20:06] 流动性会变成是
[20:07] 每个人都必须要关注的一个重点
[20:09] 一个东西买进去的时候都不难
[20:12] 买进去的时候
[20:13] 反正你在台股
[20:14] 你收不到你就锁涨停
[20:15] 你狂收嘛
[20:16] 反正其实当你一直锁上去
[20:18] 你的部位的成本
[20:19] 其實也是慢慢的在拉開中
[20:20] 對買東西的這一方來說
[20:23] 要進去相對都是沒有這麼困難的東西
[20:25] 可是重點就是你要怎麼出來
[20:27] 你出來的時候
[20:28] 有沒有人去把你的東西接走
[20:30] 這個面你不要想像成說
[20:31] 一定就是怎麼樣
[20:32] 要去殺散戶
[20:33] 要丟給散戶
[20:33] 不一定
[20:34] 就是這些造勢也要更加積極一點
[20:36] 就是每個東西
[20:37] 你要讓想買的人買得到
