[00:00] 歡迎收聽股癌,我是謝孟恭,本集節目由MakeEasy贊助。
[02:42] 我就看到三個自行車狂熱者在那邊互相打雷嘴砲
[02:46] 其中一位
[02:47] 我跟你講我對自行車是完全不熟悉
[02:49] 會騎腳踏車
[02:50] 只是我不知道裡面設備怎麼樣
[02:51] 可是我一直都記得他的變速器叫做SHIMANO 105
[02:55] 那SHIMANO 105我查了一下
[02:57] 他是Pro級的變速器
[02:58] 就可能Pro裡面的稍微入門款
[03:01] 可是這東西被他們講得像是比垃圾還不如的東西,就跟那種以前戰鬥陀螺大家有時候去比嘛,有些型號這個東西真的不行啊,大家會在那邊笑,我想說這真的是那種童年的感受耶。
[03:12] 那我好奇心就起來了,我想說你們一直在笑人家變數器這樣,那你們的東西到底是有多屌?其實大家都是有辦法買得起的啦,這就是一定要互相喇叭要互相嘴一下。
[03:22] 然後就開始在比啊,什麼變數器,如果這個Pro級要在網上上的話,其實你是可以上到三四倍的價格。
[03:29] 我說那差別在哪?他說按起來比較輕。
[03:31] 我不知道為什麼我就想到那個以前CD Pro 2的那個影片
[03:35] 就是他們跑去聽音響然後在那邊互相歧視對方的音響
[03:39] 那其實對外行人來說就是我已經是聽不懂你們在講什麼
[03:42] 他說當你今天騎到一個極限你真的很累的時候
[03:45] 你那個變速器在換檔它光是輕一點或是它反應快一點
[03:50] 然後它可能就會造成一個非常巨大的差別
[03:52] 可是我心中想的是你們各位有去騎環法嗎?
[03:55] 你們也沒有去騎環法嘛
[03:56] 所以簡單來講就是你可能不一定懂這個東西
[03:59] 實戰的話也想通,像我自己喝紅酒也是嘛,我又不是說有拿到什麼四酒師的執照或是說什麼有的沒有的,可是我一樣就是還是把那種世界上最狂的酒都排下一輪嘛,你不一定要去參加這個比賽,可是你可以在外圍然後去模擬一下,類似說他們去追求車價要輕量化,但是還有一個最低的要求,你也不可以無腦的輕量化,為什麼?
[04:18] 因為你輕量化到某個程度好像說有些比賽你是不可以去比的
[04:21] 它有一定的重量
[04:22] 所以即便什麼碳纖車架啊
[04:24] 最好的輪圖跟功率計或什麼的
[04:26] 他還是要去符合比賽的標準
[04:28] 即便他們一輩子都不會去比這個比賽
[04:30] 然後這個有點像
[04:31] 也不是我在笑他們
[04:32] 就是以前我去打那個大鷺隔棒球一次嘛
[04:35] 我最早就是會想找那種怪力棒子
[04:38] 所以我就買了一堆那種超屌的鋁棒
[04:40] 特殊製造的
[04:41] 還要去嘛上面要engraving
[04:43] 要弄你的名字然後客製的話
[04:45] 然後這個棒子呢
[04:46] 你就可以把球轟的超級無敵遠
[04:48] 然後很好揮,可是最後發現說MLB的這些球員,為什麼他們都不用鋁棒?因為不可以用鋁棒,他們要用木棒。
[04:55] 用鋁棒的話等於說是大人去玩小朋友的玩具,就是很輕鬆,就不小心把整個規則給完爆掉了。
[05:02] 他如果拿鋁棒的話,可能隨便轟,就是每一發都會轟出球場,所以他們拿木棒。
[05:07] 那就此,我也去買了木棒,然後我還要去學他們的木棒是怎麼樣,還不夠,就是說這些職棒球員的木棒,我還要去訂製,我上面還一樣要去engrave我的名字。
[05:18] 我想說其實就是跟這些自身美少男美少女在玩腳踏車差不多的那樣感受
[05:22] 以前對決是怎麼樣?戰鬥塑膠盤然後跟公園的空地大家在那邊對
[05:28] 他們現在就會跑去不知道什麼豐貴嘴啊
[05:30] 然後還有另外一個冷水坑
[05:32] 我根本也沒有聽過這兩個地方
[05:34] 但聽完之後我那時候就問
[05:36] 所以你們這腳踏車可以配上豐貴嘴嗎?
[05:38] 配上豐貴嘴好像是一個蠻厲害的事情
[05:40] 然後什麼最後的聖山是武嶺吧
[05:44] 我那時候聽起來是這樣子
[05:45] 我想說下次我要騎 U-Bike
[05:47] 我就跟你騎上去封櫃嘴,我查了一下,我認為這不是辦不到的事情,因為封櫃嘴沒有到很遠,他雖然可能不知道海拔有一定的挑戰,但我覺得那個應該是有辦法,就是一樣,列足列中,我騎不上去,瞧不起我,這個心態,類似我跑10K一樣,我覺得應該是有辦法把他幹上去,我突然很有動機想要去做這件事情,但武林的話可能要想一下,武林可能太瘋狂,可是我記得之前也有看過人家用那種超爛的腳踏車,然後記得就幹上去武林,反正總之就是看了他們在腳踏車自行車裡面的一個那種熱情的分享,
[06:17] 我應該會弄一台自行車,只是我覺得時間要再稍微等一下,因為弄下去應該你就確定就變老人家了,你就變中年人了。
[06:26] 所以我不希望這麼快去跟,雖然不少人現在搞不好把34歲當成是中年人,我不想那麼快去跟我的年少道別啦,所以先放在那邊。
[06:36] 大家知道說反正你要去搞一個最屌的腳踏車就三五十萬,其實還OK,就是差不多一瓶高級紅酒的價格,這個是我們可以接受的。
[06:43] 我就是要去弄一台腳踏車,我要看看你們的東西到底多厲害啦,吹成這樣,就像我之前聽人家,我每次聽他吹東西,我就會覺得說到底有多屌,然後我就會跳下去,然後跳下去之後,其實就會發現就是這樣子。
[06:55] 但你會很羨慕這些人,就是他們是超級的投入,他不像我們像以前玩重要陀螺啊,或是以前會玩那個賭翹,好像每個地方叫不一樣的東西,反正就是你用那個拇指還是食指夾起來,然後要把它蓋到別人的上面你就贏了。
[07:08] 然後大家會玩到很瘋狂嗎?上面塗一些立可白讓他厚度變高之類的。
[07:13] 但對我來說就是我就是玩一輪之後我一直都是沒有辦法深入那種。
[07:17] 所以我也很羨慕他們可以拿這個去吵架然後去曬優越去嘴砲人家。
[07:22] 因為這一定是非常快樂吧?這是一種那種歸屬感。
[07:24] 就雖然長大了嘛那玩具也變大了但是呢錢包變空可是心中是滿足的。
[07:32] 想贏想炫耀的心情都還是就像是童年那樣子。
[07:35] 然後找到一群人可以跟你在那邊嘴砲。
[07:37] 感覺是一個蠻好玩的東西啊
[07:39] 那昨天也跟智信人談心
[07:41] 就我就說智信這個盤面
[07:43] 其實人與人的信賴不見了
[07:44] 這我們講了一兩個月以上
[07:45] 跟那個奧德賽演的一樣
[07:47] 咒師法則已經不被尊重
[07:48] 所長庭的東西隔天不繼續跑
[07:50] 那你這樣會變怎樣
[07:51] 以後大家就知道了
[07:52] 我就騙你所長庭
[07:53] 然後我隔天也丟嘛
[07:54] 就是你要開始去猥瑣別人
[07:56] 你讓整個環境變得很猥瑣
[07:58] 就類似對岸有些東西
[07:59] 他們開始內卷嘛
[08:00] 大家開始在互相算計
[08:01] 其實最終就是大家也下去了
[08:03] 所以我覺得一個正常成長的經濟
[08:05] 一個好的地方
[08:06] 大家不應該這樣子互相暗算,就是不要去耍一些小聰明嘛,市場沒有辦法,我知道因為大家都是匿名的嘛,你最多看到分點,那現在大家也都很聰明啊,知道分點要放在總公司裡面要匯播啊,所以你也抓不到人,所以他們就互相猥瑣。
[08:20] 可是有些在現實生活中還是會被猥瑣,你知道我昨天就是跟我們家人開了一個小會,我又說9月11號,謝家加持日,從此之後我們家不可以再被欺負了。
[08:31] 因為我們很認真去盤點,那個破口是這樣,就是剛好有一個朋友最近有帶去品酒會,然後他也蠻喜歡的,然後開始想要去探索自己的口味,我就一次推他好幾個業務,然後讓他去買。
[08:42] 然後結果人家一去買,我前面還跟他科普一大堆,美國的納帕大概長什麼樣子,高價低價可能是因為他的年份,或者說有些是有傳奇的酒瓶蘋果,所以價格是怎麼樣,反正你只要大概買什麼位置就OK什麼的。
[08:56] 講了半天,身為一個過來人,而且身為一個花出超級多學費的人,我覺得我應該很有資格去教他這個東西。
[09:03] 結果J卡他跑去問一樣的業務,還是我他媽介紹的,他一買,他價格就比我便宜。
[09:09] 他直接就買比我便宜,然後回來問我說,你買的比我貴?你知道那時候心中超級不爽。
[09:16] 簡單來說就是,如果沒有人跟我講這件事情,只有人在暗示說,你那個東西可能買貴,我連查都懶得去查。
[09:22] 可是人家直接把證據丟到你臉上了,這就是說怎麼講,你強迫我一定要去面對了,所以我想說對啊為什麼你他媽你才能買第一次,為什麼你可以買得比我便宜,我就立刻就跑去找我的酒商業務,但我的酒商業務很多人,就講到這時候有些搞不好是聽眾就比較覺得說發生什麼事,好像是一竿子打翻一船了沒有,因為其實我就是找很多人都會下單,因為每個東西每個人有的品質不一樣,其實是代理的或什麼的,那其實我下法都是蠻大方的,我自己覺得啦,就至少可能七位數那都是很基本的,
[09:51] 買下去之後也都不會再去跟你講價
[09:54] 不會拿人家報價單來跟你比
[09:56] 然後再來就是一般我跟你說我要買
[09:58] 我就立刻就匯款給你
[09:59] 我也不會等說你等我下午上線碰到
[10:02] 好像有一次上線碰到國泰轉帳200-300萬
[10:05] 碰到之後我就怎樣多帳號轉給你
[10:07] 我也不用跟你講說什麼
[10:08] 我就再等個什麼一兩天
[10:10] 反正我一直都覺得我是一個蠻阿莎莉的人
[10:13] 可是你們怎麼可以這樣子對我
[10:15] 不可以這樣人與人的信任很重要
[10:17] 你在股票護稿就算了
[10:18] 因為你常在分點後面
[10:19] 可是現實生活之中
[10:21] 每個人都是有頭有臉的,你是有公司行號的,你不可以不把你的信用當成是一個很重要的事情,你不可以因為說這個客人不會比價,然後他就是很阿莎莉的跟你買,所以想說他應該不用折扣吧,別人都有,因為別人他不確定他會不會再回來嘛,他不確定他會不會去比價嘛,所以他就給他一個很實惠的價格,然後我就不給,他就不給我耶,然後甚至我自己去問的時候,他就跟我講說先生你可能要累積到幾瓶才有,我講說你當我智障,人家買一萬多塊的東西,你給他打折,我給你買了破百萬的,那你還跟我講說我要累積,你現在
[10:51] 大家就是覺得說我就是盤子好敲是嗎?我都已經來正面confirm了你還敢這樣跟我講話?
[10:56] 那很簡單嘛,以後就不會跟你做生意。
[10:58] 我也沒有那麼無聊啦,不會上Flex 公審啊,或是貼限動,我不做這種事情啦。
[11:03] 我覺得成年人的世界,我們不去指教別人,我們就是去選擇。
[11:07] 可是呢,其實我會覺得去錯失掉一些客人會是蠻可惜的。
[11:12] 因為我也有我的朋友嘛,那我的朋友可能也都跟我一樣有類似的消費力。
[11:15] 就你怎麼會覺得你可以這樣子對我勒?你怎麼會覺得這樣做是沒問題的呢?
[11:20] 然後剛剛也跟這些資深美少男美少女聊到他們說其實這個社會很多人真的都這樣子
[11:26] 他知道你就是很阿莎莉的買單
[11:28] 然後像他們自己業界有遇到
[11:30] 他看到你怎麼quote客戶這個價格怎麼會是這個價格
[11:34] 他說沒關係啦這個大哥他平常怎麼
[11:36] 就你怎麼會有這個心態
[11:37] 但後來發現說很多人都有這種心態
[11:39] 很多人的心態是我不知道我有點想把它稱為是難民心態
[11:43] 就他們就會覺得這樣說好了
[11:46] 就是你不一定是家裡窮才會成為難民
[11:48] 像我們家裡就是一般的普通家庭
[11:50] 可是就不會有這種就是超級難民的型態
[11:52] 而且我甚至發現說可能蠻多那種甘苦上來的更不會這樣子做
[11:56] 反而就是生活不錯的人他們會怎樣去猥瑣別人
[11:59] 因為他們會不知道就是不把別人的錢當錢
[12:01] 我就會覺得說反正他不會問嘛
[12:03] 那我就給他就是某一個那種定價
[12:06] 然後也不會去給他折扣反正他還是會回來
[12:09] 這個是不對的
[12:10] 因為其實這個世界的信用是很重要的
[12:12] 就是最後都會在外面流傳
[12:14] 即便人家不會去公審你或什麼的
[12:16] 可是就是你掉了一些重要的客人
[12:19] 這些客人也會有一群跟他一樣有這樣的消費力的客人,這個真的是因小失大,我覺得就蠻可惜的。
[12:26] 反正最近遇到了一些這樣的事情,後來就跟家人講說我們從此不要再被虛了,很多人跟我們收錢都這樣,我們不去比價,接著都是別人來跟我們講,你那個應該會有一些rebate,應該會有什麼。
[12:37] 就算你給我什麼介紹人的費用,我也不會跟你收,我也懶得回去跟你兌換,但你要讓我知道說我有,你不可以說什麼他們感覺不需要,然後就不給我。
[12:46] 然後我也發現說我老婆去做臉也是給人家虛擬
[12:50] 就是為什麼大家都在虛擬我們
[12:52] 所以這個世界我真的覺得我們要重振人與人的信任
[12:56] 不只是在這個股票市場裡面
[12:57] 你開營收你就知道漲
[12:59] 你有好消息你就知道漲
[13:00] 你不可以每次都用利多出鏡來搞人家那你說利多出鏡的話那NVIDIA跟TSM他們利多發幾次了那也沒有完全出鏡啊就是還是會一直上去啊但如果說你整天都想要蹭利多然後把大家灌爆以後這個股票就沒有朋友
[13:14] 大家都不會想回來玩
[13:15] 這個我會講給蠻多我們同業心有戚戚的
[13:18] 有些公司真的專門這樣子搞人
[13:19] 公司派也一起配合這個是不對的事情
[13:22] 因為傳出去不好聽以後你真的沒有朋友
[13:24] 嗯嗯差不多這樣一個感受
[13:26] 好那接下來我們就來聊一下最近的Apple發表會
[13:29] 針對新一代的 Pro Max,不用花太多時間去琢磨,因為基本上更新更強更厲害,差不多永遠都是這樣的一個 Pattern。
[13:38] 但這次我對於 Apple 的 iPhone Duo 非常感興趣,沒有意外的話也會在第一時間就直接入手一台。
[13:47] 而且我覺得它令我非常驚訝的是,它的價格其實就是比 Fold 8 稍微貴一點點而已。
[13:53] 所以我稍微看一下市場的consensus,大家本來估計的價格應該是高蠻多的,所以理論上這一台折疊機應該會賣的比想像中好,因為其實本來大家預計的價格是更高的,然後最後面是一個相對實惠的價格,雖然說如果你今天是把規格上滿的話,它一台就是十幾萬,那十幾萬以上的東西有些人已經不會把它當成是手機了,就可能會把它視為是某一種,反正你無法用CP值去衡量它,它是一種信仰的產物,或者說你真的有需要的人你會去買它。
[14:23] 我就是那種會去買它的人
[14:25] 類似說其實Fold我也是直接去搞一個最強大的
[14:28] 那我不會去做可能捧A踩B這種事情
[14:31] 就是我覺得以安卓系的手機來講
[14:33] 我覺得Fold系列我用的是蠻高興的
[14:35] 然後特別是我目前最喜歡的點是
[14:38] 因為我會玩手遊然後會課金
[14:40] 那個尼基跟中二那個禮包出來我一定都是買到爆炸
[14:43] 因為競技場要用那個戰壓去壓別人
[14:45] 然後有些人就整天想要來打我
[14:46] 所以我就是課到人家沒有辦法打我
[14:48] 那所以課金這件事情其實還是使用安卓機是有很大的一個優勢
[14:53] 這是我覺得安卓機目前最強大的部分
[14:55] 因為我只要去使用裡面的Google商店買東西
[14:58] 它會給我點數
[14:59] 然後那個點數我目前是已經形成一個永動機了
[15:01] 就是我會去買尼基的商品
[15:04] 然後接著會換到點數
[15:06] 點數我就拿去換中二
[15:07] 因為它500點的Google點數就可以換300塊
[15:10] 所以非常的划算
[15:10] 我就用這樣子成為一個永動機
[15:12] 然後持續的去刷課金
[15:13] 除此之外就是一些安卓的工作介面
[15:16] 我覺得它是蠻有用的
[15:17] 而且它可以切更多畫面
[15:18] 它可以切到超過兩個以上
[15:21] 我自己使用的體驗上是沒有什麼太大的問題
[15:23] 那這次的iPhone Duo的話呢
[15:25] 他應該就是以雙螢幕去作為設計
[15:28] 所以如果去切介面也是雙介面
[15:30] 那有些人就會去做一些硬體的比較
[15:32] 就是說到底可能Apple到底是屌在哪
[15:35] 為什麼他比較貴
[15:36] 然後或者說會有蠻多最常聽到的主張
[15:38] 就是安卓系的粉絲會說這個安卓早要出了
[15:41] 但那這個是一個很沒有意義的辯論啦
[15:43] 那就類似說你知道任天堂每次用的硬體都是他媽狗都不要硬體嗎
[15:47] 大家知道這件事情嗎
[15:48] 大家知道任天堂的家機
[15:49] 他們用的東西都是那種最成熟、最鳥蛋的東西,可是無法改變的是他們有非常強大的IP跟很好的一個使用體驗。
[15:56] 所以其實在Apple這邊是類似的道理,就是他用的東西你一定可以在不管是Google的手機或是Samsung或是什麼的,
[16:04] 他們可能很早以前就是做過類似的實驗,或是那個腳鏈他早就做了,他可能已經沒有很明顯可以看到折痕什麼,那不重要。
[16:11] 重點不是說誰先做,科技的重點不是誰先做,就像是你現在不會去糾結說到底誰是第一個把LLM模型做出來的,乾我屁事啊。
[16:21] 對,你要科普是OK,只是我們現在要比的就是現在誰最厲害,所以這才是真正的重點。
[16:27] 如果說你只是想要彈指、想要喇叭,那當然是另外一回事,只是在實際的應用或是我們工作的一些導入,我要去買誰的股票,那個不是說什麼誰先做就是比較厲害,是誰可以把這個東西發揚廣大,那個是我們會比較在意的點。
[16:40] 這次我覺得iPhone Duo 摺疊的效果是處理得很好,雖然你還是可以在一些評測的影片裡面會有注意到有小小的摺痕,但這個摺痕就是符合我們可能在幾年前跟大家有聊過,蘋果他就是會等到一個技術相對成熟的時候才會去做介入,因為他不希望給他的消費者有一些類似那種拓荒的體驗,這個東西可能是一個實驗品還不夠成熟的,雖然Vision Pro有點這樣的一個味道,所以也賣不好,可能後續也會被人家殺掉就沒了。
[17:08] 但是在他們的一些成熟產品上,我覺得他們是非常小心的在推進,按照這樣子的一個原則。
[17:14] 那他最後的賣點呢,我覺得會是各種觸控上的體驗。
[17:18] 必須得講,其實蠻多人去低估iPhone的一點,就是說Apple相關產品的一點是,
[17:24] 他其實是在操作上面非常的直覺,然後再來是有很多很聰明的軟硬整合的巧思。
[17:30] 這個是就像說我自己也有去使用安卓機嘛,我可能有時候去點一些東西,我覺得比較難點到,
[17:35] 我手袋飄掉,或是介面搞得太複雜,可蘋果就會把它包得很簡單,而且是很直覺,然後是符合一般人日常使用會想像它該是什麼樣的一個樣子,它比較不用去繞路或什麼的。
[17:47] 這是蘋果它強大的點,所以它去用更強大的UI UX去包裝,然後結果它價格只有稍微貴一點點,我認為它的銷量會很不錯,應該會超出大家的預期。
[17:57] 只是它會有一個蠻主要的需要驗證的點是我們知道折疊手機目前看起來在中國它算是一個非常重要的市場只是中國最近的消費是很明顯的有降級要不然說大家去注意到一些精品品牌所開出來的成績會注意到他們對於精品的一個追求已經沒有像過去這麼瘋狂了然後一些消費油在降軌不然說像一些華鄉北的整形機其實是賣的很好所以我覺得還是要看中國市場是怎麼樣就如果今天是站在牆外的角度來看的話
[18:27] 這兩款手機理論上賣得很好,但它算起來價格終究是比較高一點,所以可能最後面就是靠中國市場這邊去做一個驗證。
[18:35] 只是如果現在我要去押注跟猜測的話,我會覺得就是折疊手機的整個銷量應該會有一個蠻顯著的上修。
[18:43] 至於一般的iPhone可能就不用去做太多的想像,我認為就跟過往是差不多。
[18:49] 但可以期待的是可能折疊手機的市場在這一代產品有機會會去把它的整個Market share去拉高在整個手機市場裡面
[18:58] 那令我比較意外的是相關的一些components像鉸鏈的話
[19:03] 台系的廠商3376新日行他就是裡面最主要的一個player之一
[19:08] 還有美系的像是Anfeno只是在3376這邊會稍微複雜一點
[19:12] 因為他畢竟要去跟鴻海拆帳了
[19:14] 所以這個股價還是屬於是相對難掌握的東西
[19:17] 但是我們蠻確定這個產品它是有Major Share
[19:20] 它在裡面是做很大
[19:22] 那個鉸鏈其實做得算是蠻好的
[19:25] 就是它有點類似以前Fold比較早期
[19:28] 我記得後來他把它改掉了
[19:29] 就它那個鉸鏈是可以多角度的
[19:31] 它不是只有打開跟關起來
[19:33] 它也可以弄成像是小帳篷
[19:34] 你可以設鬧鐘
[19:35] 然後有一個那種溫馨的小燈光之類的
[19:37] 其實有蠻多技術考驗在背後
[19:40] 只是我自己蠻意外的一點是
[19:42] 我本來以為說像這種第一代的產品剛推出
[19:46] 他應該會有很好的margin或是獲利
[19:48] 那只是後來在業界的朋友是講說好像沒有
[19:51] 就是蘋果還是壓制的蠻嚴格的
[19:53] 可能也相當程度的去解釋了
[19:54] 就是為什麼理論上一些新的科技的導入
[19:58] 會至少讓他走一個可能比較大的波段
[20:01] 但他好像就是很早以前
[20:03] 他在消息 rumor 的時候就先去走
[20:05] 然後接著就是一直在橫盤的
[20:06] 有可能是這樣的一個原因
[20:08] 就是其實除非是後面有出現蠻明顯的上修
[20:11] 他去改變這件事情
[20:12] 但是如果你轉頭去看一些
[20:13] 設定相關的元件的話,在美系廠商這邊,你可以去注意到設定元件廠其實蠻多動起來。
[20:21] 現在有一個說法就是因為摺疊機大家已經會提早去想像,它有可能在後面會有蠻好的銷量跑出來,然後會去帶動整個市場可能更加去接受這樣的一個產品。
[20:31] 然後在摺疊的設定元件設計上面會跟一般的手機會有一定程度的出入,然後再來可能價格也會變得比較好一點。
[20:38] 所以有人去買單這樣子的一個題材。
[20:41] 我現在自己的感受是,我不會想要去看消費性的題材,因為消費性的題材,你再怎麼樣成長都打不贏AI。
[20:47] 所以我自己只是大概跟大家分享一下它主要裡面的一些供應鏈的亮點,大家會去看到。
[20:53] 只是我覺得資金上應該是不會有太多資金想要去賭這個東西,因為外面呢,腐蝕皆是一兩一二是可能100%以上的東西。
[21:01] 那我為什麼會想要去挑選一個一兩一二可能不會太好,然後甚至是我知道它今天走到第二代第三代,蘋果一定會去把你幹掉的東西。
[21:09] 特別是像我們前面看到C1的Multim金片,現在已經走到C2了,可以想像高通在後面可以扮演的角色一定就是慢慢的被擠掉。
[21:18] 所以蘋果它厲害在它有辦法在供應鏈的管理上,然後最終是讓優勢跟利潤全部都跑到自己身上。
[21:25] 然後幫它做東西的人,其實早期大家會去搶這樣的生意,因為你知道蘋果就是有量。
[21:31] 只是最終現在很多人就知道說你去配合蘋果的話,你價格可能被壓到死掉,然後接著它又會再去養一個惡工對付你。
[21:37] 所以其實有蠻多人已經開始意識到說我們不可以只做蘋果的生意
[21:42] 或甚至是有些廠商就是他寧願不要蘋果的生意
[21:45] 因為發現這個生意做下去不長久
[21:48] 然後人家在供應鏈上的掌握實在是太厲害了
[21:51] 所以其實蘋果我也越來越覺得它的那個垂直整合的能力很強大
[21:57] 就是讓我想到特斯拉的感覺
[21:58] 就是有一些關鍵的零件或者說價格最好的最缺的
[22:03] 他可能就自己把它卡起來
[22:05] 他把它握得非常的好
[22:07] 所以變成說其他人都只能夠幫他打工
[22:09] 其實我們在特斯拉也是注意到這樣的一個邏輯
[22:11] 他們甚至在SpaceX裡面有些那種PCB他自己打
[22:14] 他自己打他自己組
[22:15] 他不要讓別人去做
[22:16] 因為他發現說這個東西我可以自己弄之類的
[22:19] 所以大概是這樣的一個狀態
[22:21] 但是我是相信說這台手機在後面的表現應該會蠻好的
[22:25] 可能有些人會想去注意相關題材
[22:27] 這就要稍微的去明白一下
[22:29] 因為市場裡面的錢是有限的
[22:31] 當然今天市場上有很多有非常暴力成長性的東西
[22:35] 那就未必就是你的東西有成長
[22:36] 但他未必會想把錢放到你的這個東西裡面
[22:39] 因為畢竟這次說注意力是有限的
[22:41] 我知道下面有很多很好看的作品
[22:43] 可是當今天你上檔的時間是外面有一些強檔片
[22:47] 你要跟諾蘭正面對決的話
[22:49] 那即便你的電影可能拍得不錯
[22:51] 你的票房也不一定會太好
[22:52] 這個是大家可能在投資上面要稍微去注意的點
[22:56] 不然其實整個看下來我覺得是蠻喜歡的
[22:59] 你甚至可以直接就單純的
[23:00] 我覺得像蘋果應該就是有機會會再有
[23:03] 也不敢講說股價一定會漲多少
[23:05] 至少在過去大家是比較看它沒有,覺得它可能在AI時代要被變化了什麼的,然後現在越來越多的嘗試跟證明都在在的去佐證說這家公司它有辦法把很多客人留在這,甚至會獲得更多的新客,特別是在這一波的記憶體漲價裡面,它反而產生巨大的一個優勢。
[23:26] 因為別人可能漲價就賠錢了,然後接著呢,他漲價他不一定會賠錢,他還是那個毛利可以守得相當的不錯。
[23:32] 那接著用相對實惠的價格可以獲取一些新客,這在後續的轉換效應上都有蠻多的想像空間。
[23:39] 就是我先把客人拉進來嘛,用我的Platform、用我的東西,那接著AI再看怎麼算嘛。
[23:44] 有些我用自己的Foundation AI,那有些我用別人的,這個都是後面是可以談的東西啊。
[23:50] 特別是我們開始去相信大型的魚人模型它有可能會變成是一種Commodity的狀況
[23:57] 特別是在日常的應用上面
[23:58] 我們當然不會去講說尖端科技、蛋白質折疊、開發新藥它會變Commodity
[24:03] 不會,那個一定還是會付出巨額的錢去換取
[24:06] 潛在的巨額的報酬
[24:08] 至於說日常問說食譜怎麼樣
[24:10] 問說SIMANO 105這個變數器是怎麼樣
[24:13] 問說豐貴嘴跟冷水坑哪個人適合去
[24:16] 像這樣子的一些日常用途,它都不用走到最先進的模型。
[24:20] 那我覺得後來掌握通路的人在這一塊應該就可以相當程度的獲得一定程度的價值分配。
[24:27] 大概這樣,接下來我們來稍微的看一下 Oracle 這次的一些說法。
[24:32] 我們不會針對太多的細節去做評論,就抓一些重點。
[24:36] 首先不用出錢的魔術,現在目前就是由客戶預付,
[24:41] Bioh 客戶自帶硬體,Oracle 收貸款費,供應商融資借 NVIDIA 或設備商的錢。
[24:50] 跟 NVIDIA 之前的玩法有點像,一筆生意收兩次錢,同時供應商金主,又是靠這些訂單去成長。
[24:59] 在稱聘時期沒有太大的問題,但如果說後面要扭轉的話,需求是有可能會被自己的融資放大,有一個虛胖的現象。
[25:10] 但一樣我們不是末日博士,我們不會針對未來可能會爆炸的劇本提早去做太多的剖析,大家自己在心中有底就好。
[25:18] 所以這就是Oracle可以去槓桿別人的一些小魔術。
[25:22] 再來在過去的一段時間,4年的舊卡反而發生了漲價20%的情形。
[25:30] 所以這個其實就是像是黃仁勳講的Fungible,Durable跟Rentable,這個東西可能沒有像之前的一些空方的論述是說,
[25:37] 有可能在未來一段時間會高速的折舊。
