[00:00] 歡迎收聽谷海,我是星夢公
[01:38] 因為我覺得交通真的是最痛苦的事情
[01:41] 當然交通痛苦其實也是包含的
[01:43] 因為你現在必須要帶一個嫩眼
[01:45] 我就發現說
[01:46] 像我的大兒子已經是完全可以自理了
[01:48] 從差不多三歲開始
[01:50] 你就有感的發現說
[01:51] 他已經是可以照顧自己
[01:53] 那所以你帶他出去
[01:54] 你並不會覺得說
[01:55] 你正要去照顧一個小朋友
[01:57] 然後感覺到非常的疲憊
[01:59] 那反而是小嫩嬰
[02:00] 那小嫩嬰的話
[02:01] 就第一個你會不希望他哭嘛
[02:03] 那雖然其實安哥是不怎麼哭啊
[02:04] 但他就會一直動
[02:05] 他瘋狂的動來動去
[02:06] 他不願意停下來
[02:07] 所以你可能就要陪他動來動去
[02:09] 你就要陪他走來走去
[02:10] 那這個可能是在交透過程之中
[02:12] 我覺得是比較令人感覺到絕望的
[02:15] 就你會一直去看那個時間
[02:16] 想說到底什麼時候會結束
[02:18] 到底什麼時候會到
[02:19] 那我其實蠻希望
[02:21] 在近一點的地方
[02:22] 也可以找到這種全包式的Villa
[02:24] 然後可能是給你一個
[02:25] 非常不錯的服務跟品質
[02:27] 因為其實
[02:27] 當你今天仔細的去審視一下
[02:30] 這些巴厘島的Resort跟Villa
[02:31] 你會發現一件事情
[02:32] 他們某個程度上就是一種沙盒
[02:34] 它就是一個封閉式的沙盒
[02:36] 然後在這個沙盒裡面
[02:38] 它當然會去取用一些當地的素材
[02:40] 好像是我們跑到各地的Resort
[02:41] 都是這樣
[02:42] 好像在冰島的Resort裡面
[02:44] 它就會去放一些什麼溫泉
[02:46] 那種冰藍色的裝飾或什麼的
[02:48] 可是某個程度上
[02:50] 當然那個冰島的resort
[02:51] 我會覺得說
[02:52] 它跟外面的環境比起來
[02:54] 還是是融合的
[02:54] 可是就像說
[02:55] 我今天如果是跑到一個
[02:56] 日本或者說
[02:57] 跑到東南亞的一些resort
[02:59] 你會發現
[02:59] 它跟外面的世界是
[03:01] 怎麼講
[03:01] 已經完全是不一樣了
[03:02] 它是用了一樣的一個
[03:04] 素材跟建材
[03:06] 或者說當地文化跟宗教
[03:07] 相關的東西結合進來
[03:09] 可是某個程度上
[03:10] 這就是一個
[03:11] better body
[03:12] 就是外面的body
[03:13] 就是一個normal的body
[03:14] 然後裡面就是一個better的body
[03:16] 就是如果說沒有這麼多人
[03:17] 然後如果說還是維持這邊的太陽
[03:20] 這邊的海灘
[03:21] 這邊的各種風土民情的東西
[03:23] 只是沒有這麼多人
[03:24] 然後把它做得更加精緻
[03:25] 其實它當然就是會是一個
[03:27] 很舒服很好的地方
[03:28] 所以嚴格上來說
[03:29] 既然它是一個封閉的沙盒
[03:31] 就代表說這個封閉的沙盒
[03:32] 它在任何地方都是可以做的
[03:34] 它甚至可以在
[03:35] 臺東也搞一個這樣子的東西
[03:37] 可能結合一些臺灣原住民的東西
[03:39] 然後就讓你在裡面可以耍廢
[03:41] 然後可以四手連彈的按摩之類的
[03:43] 那真的是不管再高的價格
[03:44] 可能我都會跑去那邊住
[03:45] 因為覺得可以免掉交通這件事情
[03:47] 交通的飛機的錢
[03:49] 或者說相關的一些痛苦的premium
[03:52] 我都會願意把它花在住宿上面
[03:54] 所以比較可惜
[03:55] 我們沒有這樣子的東西在附近
[03:57] 很多時候我覺得說
[03:58] 要拿到一定的水準以上
[03:59] 都還是要往巴厘島去跑
[04:01] 因為巴厘島真的是把它做到了
[04:02] 非常頂尖的一個程度
[04:04] 之前在馬來西亞蘭卡威
[04:06] 也非常有感的感受到
[04:08] 那邊的有一家叫Datai
[04:10] 也是做到很高的水準
[04:11] 但那個更痛苦
[04:12] 那個還要轉機
[04:13] 所以就比較可惜
[04:15] 這種超級舒服
[04:16] 然後自己很喜歡的地方
[04:17] 在夠近的交通可及的範圍內
[04:19] 是沒有
[04:19] 就還是要稍微的花一點時間
[04:21] 但一些都是值得
[04:22] 像這次去的話
[04:23] 就有感的感覺到
[04:24] 自己的身體
[04:25] 是非常大程度的放鬆
[04:26] 雖然我覺得
[04:27] 可能跟巴厘島的關係
[04:28] 並沒有達到百分之百
[04:29] 絕大多數可能是因為
[04:31] 在這次的年假之前
[04:32] 決定要先把部位給降低
[04:34] 不管是美股跟太古
[04:35] 我的壓力來源
[04:36] 可能最多還是來自於工作
[04:38] 工作的壓力
[04:39] 不一定是說什麼你賠錢
[04:40] 就甚至是
[04:41] 今天假設是賺錢
[04:43] 賺錢你會怕說
[04:43] 會不會隨時反轉
[04:44] 所以你只要
[04:45] 不會打得夠滿的話
[04:46] 你就會隨時
[04:47] 都會有很大的壓力
[04:48] 這一次
[04:49] 我覺得不會降級之後
[04:50] 當然你看你的手錶
[04:51] 不會騙你
[04:52] 因為像Apple Watch
[04:52] 會幫你監控說
[04:53] 你的睡眠品質
[04:54] 我睡眠
[04:55] 每天都拿超高分
[04:56] 然後再來就是
[04:57] 每天睡眠的時數
[04:58] 還甚至迭跳一個通知
[04:59] 跟人講說
[04:59] 幹得好
[05:00] 你現在睡眠時數
[05:01] 是比過去
[05:01] 都還要多一個小時半
[05:02] 然後再來就是
[05:03] 過去身體的一些異常
[05:05] 就有時候會跳出來
[05:05] 當然它不排除
[05:07] 是什麼False Alarm
[05:07] 或是可能有時候
[05:08] 你跟朋友去喝個酒
[05:09] 那你心跳自然會加速
[05:11] 可是在那邊你一樣喝酒
[05:12] 有時候還是會小熬夜一下
[05:13] 要玩個什麼線上遊戲
[05:15] 或什麼的
[05:15] 但是你就沒有任何的
[05:17] 這個異常的指標跳出來
[05:18] 所以可能真的是超chill
[05:19] 就是整個心態上影響到了
[05:21] 整體身體的一個表現
[05:24] 那再來就是體重
[05:24] 也往下掉了一點
[05:25] 因為可能反而
[05:26] 還是一樣是用這個
[05:27] 吃到飽的心態去吃東西
[05:28] 只是可能在臺灣
[05:29] 我會去吃一些什麼麻辣燙
[05:31] 麻辣鍋
[05:31] 燒烤
[05:33] 或者說一些有的沒有的東西
[05:34] 所以導致可能
[05:35] 這個攝取的熱量是過多
[05:37] 然後在外面你一樣是吃吃到飽
[05:39] 可是就是並沒有吃到這麼多熱量
[05:41] 自然而然就往下掉
[05:43] 所以就覺得非常好
[05:44] 然後再來就是我也去感受了
[05:46] Bulgari的一個四手按摩
[05:48] 大家四手按摩
[05:49] 我覺得跟4G的比起來
[05:50] 因為4G是OG
[05:51] 我那時候跟大家推四G的四手按摩
[05:53] 按了超多次
[05:54] 他那個四手按摩有點像是說
[05:57] 我不知道他那兩個人
[05:58] 是已經coordinate到一個程度
[05:59] 你會以為說他是有一個人有四隻手
[06:01] 因為他那個四隻手
[06:03] 他的一個結合程度
[06:04] 真的是像在你身上作畫一樣
[06:06] 可是寶格麗的四隻手
[06:08] 你可以感覺出來
[06:09] 就是兩個人在幫你按
[06:10] 只是他們按得很用力
[06:12] 然後跟
[06:12] 怎麼講
[06:13] 就是那個技巧
[06:14] 可能也是蠻厲害的
[06:15] 雖然他沒有像
[06:16] Four Seasons那樣的一個
[06:18] 整合能力
[06:18] 可是他們各自還是做得很好
[06:20] 但我覺得就有點失去了
[06:22] 四手按摩的一個意涵
[06:23] 但問如何還是整天跑去按摩
[06:25] 那按到後來
[06:26] 我蠻意外的是
[06:27] 在最後一天要結賬的時候
[06:28] 那我們的管家韋燕
[06:30] 他竟然就講說
[06:30] 因為我們前一天的
[06:33] housekeeping有遲到
[06:34] 我們覺得非常的不好意思
[06:36] 所以我們就把你的其中一次的按摩的價格
[06:40] 給waiver掉了
[06:41] 就當成是我們招待你
[06:42] 我想說這個按摩的價格
[06:43] 一次是要破萬臺幣
[06:44] 你們竟然是cancel掉這個價格
[06:47] 而不是說什麼隨便送我兩個水果
[06:48] 說不好意思
[06:49] 而且我看我老婆一眼
[06:50] 我說你記得他們housekeeping有遲到嗎
[06:52] 我老婆說根本沒有感覺出來
[06:54] 就我們根本就不知道
[06:55] 他們有什麼遲到
[06:56] 可是他們自己在背後
[06:57] 在看一些procedure的時候
[06:58] 他們知道說有一些遞言
[06:59] 但身為住客的
[07:01] 我們是沒有任何感覺的
[07:02] 但他們就是有誠意到這樣的一個程度
[07:04] 然後就送你東西
[07:06] 那當然我們也是盡力的在回饋
[07:08] 我也不知道哪根神經接錯
[07:10] 因為在來巴厘島的時候
[07:12] 反正就是抽屜隨便抓一把鈔票
[07:14] 就說我要換錢
[07:15] 那換了之後才想到
[07:16] 不對啊
[07:17] 因為其實每次跑去這種resort
[07:18] 你根本就不需要帶現金
[07:19] 因為所有的錢都是
[07:20] 直接寄到你的賬上
[07:22] 然後最後沒有信用卡結賬
[07:23] 我們可能只會換一點點
[07:24] 當小費發出去
[07:25] 那這次就不知道哪根神經接錯
[07:27] 那我覺得說
[07:28] 反正錢帶來都帶來
[07:29] 就是要把它花掉
[07:30] 所以我們就一直亂給小費
[07:31] 反正就瘋人就給小費
[07:32] Happy New Year
[07:33] 新年快樂
[07:34] 謝謝你照顧我兒子
[07:36] 一直給一直給
[07:36] 然後給到
[07:37] 我感覺他們也蠻開心的
[07:38] 因為對我們來講
[07:38] 那個小費就
[07:40] 10萬印尼頓
[07:41] 那就臺幣180塊
[07:42] 就對大家來講
[07:43] 都是一個可以負擔的價格吧
[07:44] 可是10萬印尼頓
[07:45] 對他們來講
[07:46] 是蠻大的一筆錢
[07:47] 那給他10萬
[07:48] 給他20萬
[07:49] 就每次一直給一直給
[07:50] 然後給到他們
[07:50] 他們在對你操
[07:51] 因為他知道說
[07:52] 我很喜歡喝他們冰箱裡面的一個
[07:54] 康普茶
[07:55] 其實我不太喜歡這種東西
[07:57] 可不可能就是可能氣氛對
[07:58] 突然覺得說康普茶蠻好喝的
[08:00] 然後他就整天
[08:01] 一直幫我補康普查
[08:02] 補報那種
[08:02] 就一直狂塞
[08:03] 可能是因為你有給他小費吧
[08:05] 可能也是因為你有給他小費
[08:06] 所以按摩的錢把你免掉
[08:08] 他有許可權範圍內
[08:09] 可能可以做某些事情
[08:10] 他就給你一個最大的條件
[08:12] 所以算一算
[08:13] 搞不好全部都回來了
[08:14] 他們對我們的招待也是非常好
[08:16] 所以大家互相的關係
[08:17] 就覺得說
[08:18] 阿彌陀佛謝謝大家
[08:19] 可能是康了寶格利之凱
[08:20] 但無論如何都覺得
[08:21] 感受是非常好的
[08:23] 然後再來就是那邊的
[08:24] 對於孩子們的服務
[08:26] 我覺得是做到很頂尖
[08:27] 因為我們最常待的設施
[08:29] 其實就是Kids Club
[08:30] 就是陪小孩去那邊玩
[08:31] 那邊的陪玩姐姐
[08:33] 我覺得都非常的用心
[08:34] 然後他們還幫我兒子取綽號
[08:35] 叫做Cool Guy
[08:36] 就是小的那一隻
[08:37] 他們叫Cool Guy
[08:38] 因為他們說他都不苟言笑
[08:40] 然後你要逗他笑又花時間
[08:41] 所以他們特別喜歡逗他笑
[08:43] 我們做Buggy經過的時候
[08:44] 他們還會就是
[08:45] 全村都跑出來的感覺
[08:47] 出來看就是他就是他
[08:48] 然後大家都會跑出來
[08:49] 跟我的兩個兒子揮手
[08:50] 那我兒子小的
[08:51] 當然還沒有感知
[08:52] 他就一臉狐疑
[08:53] 看他們說感知應該衝他小
[08:54] 那大的就很高興
[08:56] 說爸爸他們來看我
[08:56] 媽媽都對他們來看你
[08:57] 就是讓小虎拉他一下
[08:59] Wild Eyes
[09:00] 讓他感受一下說
[09:01] 你就是這邊的Superstar
[09:02] 他們都想看到你
[09:03] 但搞不好他們只想看到老爸的小肺
[09:05] 我也不確定
[09:05] 反正就大家都感覺非常的開心
[09:08] 那我也非常的開心
[09:08] 所以度過一個
[09:09] 這個季號的禮拜
[09:11] 那在回來的路上呢
[09:12] 就稍微的諮詢一下大兒子的意見
[09:14] 就幫他說
[09:15] 你比較喜歡巴厘島
[09:16] 還是你喜歡寶布拉加
[09:17] 還是你喜歡林口
[09:18] 他說林口是哪裡
[09:19] 我說林口就是你上學的地方
[09:21] 就是臺灣
[09:21] 就是你家
[09:22] 然後他想一想
[09:23] 他說我最喜歡巴厘島
[09:24] 因為我喜歡這邊的Basin
[09:26] 因為這邊可以游泳
[09:26] 而且有Kids Club
[09:27] 然後再來說
[09:28] 我第二喜歡的是我們家
[09:29] 然後最後才在Babula家
[09:30] 可是很好笑
[09:31] 就是當我們今天
[09:32] 在羅馬Babula家的時候
[09:33] 我們問他
[09:34] 他是講說
[09:34] 他最喜歡的是Babula家
[09:35] 所以有時候小朋友
[09:36] 給你一些回答
[09:36] 其實你當下不用太認真
[09:38] 因為簡單來講就是說
[09:39] 他們是非常的天真無邪
[09:41] 可愛
[09:41] 然後外加
[09:42] 其實可以非常簡單的
[09:43] 就是收買他們
[09:44] 你只要對他們用心
[09:45] 你陪他們
[09:46] 你花一點時間在他們身上
[09:47] 他們的一些想法跟說法
[09:49] 就立刻的改變
[09:49] 就像有時候可能
[09:50] 在自己的工作之餘
[09:52] 可能一兩天比較忙碌
[09:53] 沒有陪小孩玩
[09:54] 你真的會有感的感覺到
[09:55] 他好像暫時的把你忘記了
[09:57] 就他前面會找你
[09:58] 爸爸爸爸
[09:59] 然後被阿媽拖出去說
[10:00] 爸爸在忙
[10:00] 爸爸在工作
[10:01] 不要不要
[10:02] 可是後來第三天之後
[10:03] 他可能就再也不找你了
[10:04] 那這時候你要回去
[10:05] 打入他的這個圈子
[10:06] 你就要稍微的用一點心力
[10:08] 但現在我已經非常能夠去掌握說
[10:10] 怎麼樣可以快速的回去
[10:11] 可是就儘量去避免
[10:12] 就是過於的忙碌
[10:13] 還是要多花一點時間
[10:15] 在小孩身上
[10:15] 那就發現小孩真的是
[10:16] 非常的天真可愛
[10:17] 所以其實帶小朋友出去玩
[10:19] 我覺得最大的體會是
[10:21] 當然現在可能大兒子
[10:22] 他已經是可以感知到
[10:23] 他會記得
[10:24] 我相信他會記得
[10:25] 因為三四歲以後的記憶
[10:26] 應該是OK
[10:26] 看到照片會想起來
[10:28] 可是像小兒子
[10:28] 他們其實是感覺不到東西
[10:30] 所以對我們來講
[10:30] 其實帶小孩出去
[10:31] 某個程度上是幫自己去增加記憶
[10:33] 是自己
[10:34] 就並不是說什麼為了小孩
[10:35] 是為了自己
[10:36] 是為了讓這些
[10:37] 小朋友的一些遊玩的回憶跟畫面
[10:40] 是刻在自己的腦子裡面
[10:41] 可能就死掉的時候
[10:42] 一起帶走之類的
[10:43] 就覺得這個是一個值得做的事情
[10:45] 所以雖然很累
[10:46] 可是我們應該還是會繼續下去
[10:48] 只是還是會不免的
[10:49] 跟老婆討論一下
[10:50] 就是說還是我們等到
[10:51] 安哥長到三四歲
[10:52] 就是一樣跟諾亞
[10:53] 會治理的時候
[10:54] 我們先稍微休息一下
[10:55] 因為老婆一直說
[10:56] 還要再有更多小孩
[10:57] 我說你可以等後面
[10:58] 就我們先休息一下
[10:59] 因為你不覺得
[11:00] 就是小孩會治理的時候
[11:01] 我們就重新的回到了
[11:02] 好像我們婚前的感覺
[11:03] 就是我們已經很久
[11:05] 沒有那一種
[11:05] 我們是完全的為了自己
[11:07] 雖然其實怎麼講
[11:08] 就我覺得很有趣的一點是
[11:10] 你講是這樣說
[11:11] 為了自己
[11:12] 或者說什麼那種
[11:13] 比較單身的快樂是很好
[11:15] 可是不知道
[11:15] 你已經習慣了
[11:16] 家人的快樂的時候
[11:17] 你不一定會想要那些單身的快樂
[11:18] 因為單身快樂對我們來講
[11:19] 我們在單身的時候就已經做到爆了
[11:21] 所以就玩膩了
[11:22] 只是偶爾可以回去稍微的體驗一下
[11:24] 我就說slow the fuck down
[11:26] 我們稍微的體驗一下
[11:27] 小朋友都已經開始會自理
[11:29] 可能不知道休息個一兩年之後
[11:31] 要有小孩再來討論
[11:32] 但我們要記住這個時刻
[11:33] 就是現在超累
[11:34] 比方說什麼
[11:35] 後來好不容易把老二養大
[11:36] 又立刻再有一個
[11:37] 那就再罵痛苦三年之類的
[11:39] 所以蠻有趣的一些想法
[11:42] 在這邊分享給大家
[11:43] 接著我們就來進入今天節目的話題
[11:46] 首先在美股市場這邊
[11:47] 昨天算是出了一個奇蹟
[11:49] 就是在盤中的時候
[11:50] 殺到翻掉
[11:52] 然後接著在尾盤的時候
[11:53] 直接收回來
[11:54] 目前美股的走勢
[11:56] 還是處於相對的疲軟
[11:58] 就是一直待在破底的邊緣
[12:00] 然後在這個指數方面
[12:01] 其實你可以看到說
[12:02] 它就是在一個震盪格局裡面的下緣
[12:04] 那就算它有拉上去
[12:06] 很多時候都被打下來
[12:07] 如果說你去稍微看一下
[12:08] 過去一段時間的K棒
[12:11] 就從現在基本上
[12:12] 直接拉到去年的11月
[12:13] 你就會發現說
[12:14] 就是往下的K都是還蠻大力的
[12:17] 而且它出現的頻率是很高
[12:18] 所以我覺得如果你現在感覺到
[12:20] 美股是很難做的話
[12:21] 是一個非常正常的現象
[12:22] 那像我自己的持股呢
[12:24] 跟大家分享一下
[12:25] 基本上好像只感覺到
[12:26] 手上的光通股在撐盤
[12:28] 那光通股也撐不了
[12:29] 就其他東西
[12:30] 其實不要說什麼最近的軟體
[12:32] 就一些硬體也都下去
[12:33] 然後一些有的沒有的東西
[12:34] 全部都下去
[12:35] 所以因為像說
[12:37] 就算你的持股是已經相對分散的
[12:40] 那你有買到市場上的強勢股
[12:41] 可是不免的
[12:42] 除非說你都重壓強勢股
[12:44] 你都買到你壓得夠大不然其實都還是整體是在往下走所以確實是一個相對難熬的那如果說我們現在去看一下目前復臺的位置的話復臺的位置就是在一個還蠻不錯的點位
[12:56] 基本上
[12:57] 就是可以確保
[12:58] 開年就是一個紅盤
[12:59] 那只是當然後面還有兩天
[13:01] 我們不確定
[13:01] 那以目前的狀況來講
[13:03] 就知道說
[13:04] 開年的位置應該是還OK的
[13:05] 那在美股這邊
[13:06] 就是屬於相對的
[13:07] 比較疲軟一點
[13:08] 那接下來該怎麼做呢
[13:10] 其實最近就是去
[13:11] 做了蠻多的思考了
[13:13] 那也跟AI做了很多的對話
[13:14] 開始去理出一些想法
[13:16] 在這邊簡單跟大家分享一下
[13:17] 其實從過去幾集
[13:18] 我們就已經一直在跟大家分享一下
[13:20] 在市場上的一些看法
[13:21] 覺得其實市場的有一些反應
[13:23] 在我們的認知裡面
[13:24] 是覺得說是overshoot
[13:26] 其實我們也很常知道說市場會overshoot
[13:28] 只是在市場overshoot的時候
[13:30] 就像說像現在是一個一面倒的亂殺軟體股
[13:32] 這個軟體股其實不只是一些
[13:35] 像我自己也覺得說
[13:36] 你要去殺什麼Salesforce什麼
[13:38] 我都覺得蠻合理的
[13:39] 因為那也不是我特別喜歡的軟體股
[13:40] 其實我也覺得它的營收的增速或什麼的
[13:43] 那個表現都是不夠好的
[13:44] 所以如果今天要遇到
[13:46] 這種提款的狀態
[13:47] 他有可能就是被拿去殺
[13:49] 可是如果說你今天殺的軟體股
[13:51] 是像是這個Cloudflare
[13:53] 雖然他不完全是軟體
[13:54] 他是軟體加資安
[13:55] 加一點點的infra
[13:56] 那你如果殺的是Cloudflare
[13:59] 或者像是Payantier這種
[14:00] 我就覺得說
[14:01] 這個市場可能是有點瘋狂
[14:02] 他可能是比較
[14:03] 前向於說那種全面性的去擠股指
[14:05] 所以他其實也不只是在
[14:07] 動這些中小軟體的刀
[14:09] 你看一些那種比較大型的股票
[14:11] 你像微軟
[14:11] 微軟被人家當狗來盜
[14:12] 然後像是Google
[14:13] 其實最近的走勢
[14:14] 也都是整個疲軟下去
[14:15] Google應該理論上被視為是
[14:17] 它當然也不是完全的純軟公司
[14:19] 只是它的軟體的部分
[14:20] 也是在進行
[14:21] 大家都知道說表現得非常好
[14:23] 所以理論上
[14:24] 如果今天是在做一個
[14:25] 軟體的泰羅留牆的話
[14:27] 那不應該是一個
[14:28] 全面都去死的一個狀態
[14:29] 然後外加其實最近
[14:31] 跟朋友討論到一個
[14:32] 我覺得他這個說法很有意思
[14:33] 他講了之後有稍微的點心
[14:34] 他說現在如果市場
[14:36] 是要全面的去殺軟體的話
[14:37] 那蘋果怎麼只有疊這樣
[14:39] 因為大家都知道說
[14:40] 蘋果是一個
[14:40] 抽爆軟體稅的公司
[14:42] 所以如果蘋果只有跌降的話
[14:44] 那會不會市場有
[14:45] 某個程度上的一些誤解
[14:46] 或是說我自己又想到另外一個
[14:48] 就你去看一下Clana的股價
[14:50] 就如果說像Clana講的
[14:51] 他們現在自己去
[14:52] 標很多的軟體
[14:54] 然後去取代一些
[14:55] 過往的SaaS的話
[14:56] 然後他獲得很多
[14:57] 什麼成本的最佳化
[14:57] 理論上其實他要講的東西
[15:00] 就是說我不用再花這麼多錢
[15:01] 去付一些高昂的軟體
[15:02] 那我的毛利
[15:03] 或者我獲利要提升
[15:04] 可是Clana也是被當狗在殺
[15:06] 那你可能會想說
[15:06] OK那可能是因為Clana
[15:07] 他本身的業務不吸引人
[15:09] 可是你可不可以舉出一些例子
[15:11] 就是說這些人
[15:12] 他自己去標一些AI之後
[15:13] 然後他的財務數字
[15:14] 可能一些投射的狀況都變好
[15:16] 然後股價有很多人去推
[15:17] 其實你也找不太到
[15:18] 這樣的一個例子
[15:19] 所以我還是會比較定調說
[15:20] 像美股的狀態
[15:21] 就是全面性的一個通殺
[15:23] 然後在一些
[15:24] 可能少數的族群裡面
[15:26] 像是光通
[15:26] 他的表現是比較好一點
[15:27] 只是我們自己逛的經驗
[15:29] 像之前跟大家分享說
[15:30] 一些那種發生那種肋骨災
[15:32] 不一定那種全面大崩盤
[15:33] 可是開始大家都在擠水的時候
[15:35] 可能是成為撐盤物件的那些人
[15:37] 因為你要知道說
[15:38] 大家都會識別到那些人
[15:39] 所以很多人都會把錢丟進去
[15:41] 然後等到其他人回穩之後
[15:42] 可能就換那些東西要殺下來
[15:43] 所以其實我也不會覺得說
[15:44] 手上有一些光通
[15:45] 覺得好安心
[15:46] 我反而是在擔心說
[15:47] 會不會哪天光通
[15:48] 也變成是一個提款的物件
[15:49] 等到其他人殺完
[15:50] 可能就要跑去殺光通
[15:51] 就大家都要去擠一次就對了
[15:53] 所以不知道
[15:54] 我又來再思考說
[15:54] 到底在後面要怎麼樣做
[15:56] 那目前的策略
[15:56] 就是打算先去識別一些
[15:58] 就是在這一波的AI的
[16:00] 取代軟體的敘事方面
[16:03] 可能是被錯殺
[16:04] 或者是說
[16:05] 已經有財務數字
[16:06] 可以去佐證說
[16:06] 市場下在惡搞的東西
[16:08] 可能會列為
[16:09] 我的第一個選項
[16:10] 然後那些
[16:11] 即便它是軟體
[16:12] 可是它的營收增速
[16:13] 可能是比較慢一點的
[16:14] 對我來講
[16:15] 像Salesforce
[16:15] 就我比較不會去選它
[16:17] 我就真的比較不會去選
[16:18] 這樣的公司
[16:18] 當然有可能我是反指標
[16:19] 大家要去選還是可以去選
[16:21] 之後的理由就是說
[16:22] 我還是要去調
[16:23] 就是我們可以從
[16:24] 它的財務數字
[16:25] 可以觀察到說
[16:26] 它可能是實質AI受惠
[16:27] 而不是說
[16:27] 它是一個題材受惠
[16:29] 或者是可能在後面
[16:30] 是真的會受到排擠跟擠壓的東西
[16:32] 因為對我來講
[16:33] 現在的一個狀態
[16:33] 就有點像是說市場的
[16:35] 某種程度上的一種那種重新洗牌
[16:37] 那種重新洗牌
[16:38] 其實在過往的一些
[16:39] 族群性發生的時候都會出現
[16:41] 只是說這一波
[16:42] 算是蠻全面的一個發生
[16:44] 像這種全面發生的一個狀況之下
[16:46] 你就知道說一定有東西
[16:48] 是被錯殺掉的
[16:49] 我自己目前的觀察
[16:50] 我覺得就是很明顯看得出來的幾個
[16:53] 首先第一個我認為是Cloudflare
[16:55] 因為Cloudflare
[16:55] 它基本上是在自然
[16:57] 或者說在一些AI爬蟲的
[16:59] 這個方面上
[17:01] 它都已經是架好它的收費站
[17:03] 或者說如果你今天需要去做
[17:05] 更多的後臺的取用的話
[17:06] 你需要去做更多的點選
[17:07] 其實某個程度上
[17:08] 你都是要付給Cloudflare更多的錢
[17:11] 所以在我的觀察會知道說
[17:13] 就是即便這個AI
[17:14] 可能某個程度上
[17:15] 會去取代一些software的功能等等的
[17:17] 或是一些UI的介面
[17:18] 可是你在這個物理層的需求
[17:21] 其實是不會改變的
[17:22] 也就是你需要更低的延遲
[17:23] 你需要它的各種CDN的服務
[17:25] 你需要它的資安的建置
[17:26] 所以你反而可能會
[17:28] 因為這些流量的增加
[17:29] 從本來是人為的流量
[17:30] 就我自己去看東西
[17:31] 我可能點十個頁面
[17:32] 我現在可能請人家
[17:33] 幫我去規劃一個
[17:34] 到巴厘島的旅行
[17:36] AI可能是取用了
[17:37] 可能200個300個頁面
[17:39] 所以雖然說我們人去做點選的
[17:41] 這個行為是下降
[17:42] 可是其實機器去做
[17:43] 我點選是更大的
[17:44] 所以其實怎麼想都覺得說
[17:46] Cloudflare應該會是一個受惠
[17:48] 那要我們先不去討論估值方面
[17:49] 因為Cloudflare其實在我的心目中
[17:51] 它的估值也算是偏貴的東西
[17:52] 那只是我個人會覺得說
[17:54] 它算是貴的合理
[17:56] 現在要去買這些股票的話
[17:57] 我會用這樣的邏輯去挑
[17:59] 就是我要去挑一些
[18:00] 我可以明顯的感覺到
[18:01] 市場在錯殺的
[18:02] 那有一些市場殺過頭的
[18:04] 就是說他沒有這麼慘吧
[18:06] 這種我反而是沒這麼喜歡
[18:07] 那所以第一個是Calfee
[18:08] 然後再來就是Microsoft
[18:09] 他在上次的財報之後
[18:11] 其實就是在市場上
[18:12] 就蠻多人開始會去丟他一些
[18:13] 比較負面的說法跟討論
[18:15] 那我個人是覺得像Microsoft
[18:17] 他決定要把一些算力
[18:19] 留給自己去用
[18:20] 這就是一個很強力的宣示
