[00:00] 欢迎收听谷外,我是星梦高空,本集节目由NordVPN赞助
[08:23] 然后可能也是比较冒犯之类的
[08:25] 然后有时候岳母就会受到伤害
[08:27] 所以那时候也会跟他讲说
[08:28] 你干脆就搬来台湾好了
[08:29] 你就把两个小朋友
[08:30] 就丢给孩子的爸照顾就好
[08:32] 因为反正你们也没有结婚
[08:33] 这孩子也不可能都是只有你在养
[08:35] 就丢过去给他
[08:36] 然后接着你可能就搬来台湾之类的
[08:39] 就是有去做过这样子的提议
[08:41] 然后真的觉得说
[08:42] 当爸妈也是蛮辛苦的
[08:44] 特别是
[08:45] 怎么讲
[08:46] 其实自己当爸爸之后
[08:48] 会知道说
[08:48] 你对孩子真的都是全力以赴
[08:51] 当然我知道一定有些爸妈不是
[08:53] 有些比较扭曲的
[08:53] 比较怪的
[08:54] 可是绝大多数的
[08:55] 至少我自己看到身边的朋友
[08:56] 大家都真的是全力以赴
[08:58] 然后都是把自己最好的给孩子
[08:59] 可是那个孩子
[09:00] 有朝有日他可能会开始不理解你
[09:02] 他甚至会跟你作对或什么的
[09:04] 所以那时候一定会觉得
[09:05] 心里是蛮纠结跟难受的
[09:07] 但我们就希望说
[09:08] 他只是一个face
[09:09] 他只是一个阶段
[09:10] 然后过了那个阶段之后
[09:12] 他又会再一次的回归家庭之类的
[09:14] 那只是在这些冲突之中
[09:16] 怎么样不去让自己
[09:18] 或者说这个孩子
[09:19] 留下一些永久性的伤痕
[09:21] 我觉得这蛮重要的
[09:22] 所以有时候我就会观察
[09:23] 因为像我孕母家在面对这种事情
[09:25] 那后来我自己身边的朋友
[09:26] 跟我可能差不多是同辈的
[09:28] 也会面临这种事情
[09:29] 然后接着就会去注意
[09:31] 他们是怎么navigate through
[09:32] 这样的一个状态
[09:34] 就是可能在过程中
[09:35] 不要不小心讲一些
[09:36] 会永久留下伤痕的东西
[09:39] 因为那个可能等到
[09:40] 你就去把这个千日奇强的陈说
[09:42] 是突然间着迷了
[09:43] 或者说中邪了
[09:44] 可是一些话可能就会留在那里
[09:46] 所以我们要怎么样的去抓这个平衡
[09:48] 可能是蛮重要的
[09:49] 在我岳母的经验里面
[09:51] 稍微的去做一些观察
[09:52] 那接下来可能也会
[09:54] 大家稍微的走一走
[09:55] 我希望还订得到机票
[09:56] 像这个
[09:57] 怎么讲
[09:58] 台湾前淹到喉咙的一个状况
[10:01] 我不曉得就是如果現在才要去看機票還來不來得及
[10:04] 但希望還來得及
[10:05] 所以希望大家在後面的暑假也可以快樂健康平安
[10:08] 大概是這樣子
[10:09] 好那接下來我們就來進入上話題
[10:11] 那台股的指數已經是創了歷史新高
[10:14] 又再次的創高
[10:15] 所以就證實了那時候自己的猜想是對的
[10:18] 就是說這個地方應該是修正結束
[10:20] 那時候在節目跟大家分享是說
[10:22] 有些人會覺得沒有結束
[10:23] 可能是因為你手上的持股就轉弱了
[10:24] 所以你就覺得說
[10:25] 這邊應該是才正要開始跌
[10:27] 然後甚至有蠻多人去下空單
[10:29] 这个就是有时候会掉入一个盲点
[10:31] 因为你看你手上的东西
[10:32] 你去决定说
[10:33] 整个景气的状况怎么样
[10:34] 就类似说
[10:35] 有些可能在做实体生意的
[10:37] 他们可能比较辛苦一点
[10:38] 所以他们就觉得说经济很差
[10:40] 可是不是经济差
[10:41] 可能就是你这边差
[10:43] 当然希望大家的生意都可以很好
[10:45] 只是这个就是一些盲点
[10:47] 大家要想办法去克服
[10:48] 可能因为手上的东西在回荡
[10:49] 就觉得说这个盘面不好
[10:51] 但盘面都新高了
[10:52] 新高就是代表说
[10:53] 整体来说是蛮不错的
[10:55] 一个加权平均的一个结果
[10:57] 所以还是要去注意一下
[10:59] 市场有什么样的新的故事
[11:00] 跟题材的产生
[11:01] 在上集我们是跟大家
[11:03] 稍微的聊一下功率半导体
[11:04] 自己的一些观察跟发现
[11:06] 算是比较认真去讲它
[11:07] 在前面的过去数集
[11:09] 其实就已经有持续的去提到
[11:11] 因为我们已经有看到IDM的涨价
[11:12] 像我们其实随时都会去点
[11:14] 像德州仪器STM 安生美
[11:16] 这个都是我们设成范围内
[11:17] 就是他们每次有什么电话会议
[11:19] 都会去看的东西
[11:20] 只是应该就说
[11:21] 每个人的注意力是有限的
[11:23] 像过去我自己就花蛮多时间
[11:24] 在看被动元件
[11:26] 然后就直到被动人员开始出现一些震荡
[11:28] 其实震荡还是在中小
[11:29] 像大型的国具
[11:30] 照样去锁上停跟做坏掉一样
[11:32] 可是就是因为有些是自己手上持股
[11:34] 当你发现说有一些帮皮出来之后
[11:37] 你当然知道说这边一定不是重点
[11:39] 可是问题就是你会开始去注意下一个机会
[11:41] 我相信市场的蛮多资金应该跟我的想法会是比较非常类似
[11:44] 或甚至是可能小弟会稍微走在前面一点点
[11:48] 所以大家看到这样的一个状况
[11:49] 最后面就会做出类似的反应
[11:51] 就立刻就找下一个东西
[11:52] 然后直接就满仓杀进去
[11:54] 所以就会产生说市场里面
[11:56] 有时候会突然间
[11:56] 好像说集体去表态一个东西
[11:58] 那当然这些集体表态
[12:00] 要稍微注意一下
[12:01] 因为以目前来说
[12:03] 当然很难讲
[12:04] 为什么说很难讲的原因
[12:05] 因为我本来会想直接讲说
[12:07] 就是以一个族群整个上去
[12:09] 一定会有一些是
[12:09] 我们把它称为是相对就是
[12:11] 比较偏向是假货的东西
[12:12] 就是你没有这么好
[12:13] 可是你也是跟着瞎长上去
[12:14] 可是我觉得
[12:15] 当你在市场后面越待越久之后
[12:17] 你越来越不会去这样子讲话
[12:20] 为什么
[12:20] 因为你会注意到说
[12:21] 有很多意外的发展
[12:22] 是你在当下
[12:23] 你不一定看得到的
[12:24] 接下来说以被动零件
[12:26] 因为这最近的案例
[12:27] 大家也都记忆有形
[12:28] 其实如果是在产业圈的人士
[12:30] 或者说你有做研究
[12:31] 做到比较深的一些股票圈的人士
[12:33] 大家应该都会认同我讲的
[12:35] 就是最缺的东西是什么
[12:36] 好像是谈电
[12:37] 那一些旅店
[12:38] 然后再来就是
[12:39] 可能像是一些这种高融值的MLCC
[12:43] 高阶MLCC
[12:44] 这个是比较缺的东西
[12:45] 那大家应该都是有共识说
[12:46] 消费级的MLCC就还好
[12:48] 然后再来就是电阻也是还好
[12:50] 那如果真的硬要去比的话
[12:51] 电融可能是最缺的
[12:53] 然后再可能走到电感
[12:54] 然后最后面才走到电阻
[12:55] 那结果没有想到一些电阻的类股
[12:58] 到现在都还是持续的在做喷发
[13:00] 那或者说一些消费性MLCC
[13:02] 比较多的公司
[13:03] 它可能是喷最凶的公司
[13:04] 那你要去问为什么
[13:06] 老实讲你也不知道为什么
[13:07] 有时候是等到事后去看
[13:08] 才会知道说OK
[13:09] 对就像是那时候的HBM一样
[13:11] 大家都知道它是市场里面
[13:12] 最缺最好的东西
[13:13] 那有些人跑去买什么DDR4 DDR5然后就被一些人骂说炒股票乱买你买错你要买HBM就你会看到这种市场里面有有很多这种自以为自己最聪明别人都是妈的笨蛋的最后面就发现说在特定的一段时间内
[13:26] 做低伍的
[13:27] 他的毛利数字跟整个
[13:29] 贡献进来的EPS或什么
[13:30] 他是跑赢那些做HBM的
[13:32] 因为他是一个排挤的效应
[13:33] 所以我们尽量都不会去把话
[13:35] 说死的主因在这边
[13:37] 就像下这一波的IDM的爆起
[13:39] 当然有些人可能会讲说
[13:41] 这个是因为古来节目提到
[13:42] 所以怎么样
[13:43] 可是这个就代表说
[13:44] 你连国际盘都不会看
[13:45] 因为如果说你去稍微看一下
[13:46] 美股的这些IDM
[13:48] 他们其实在上个周末的时候
[13:51] 也都是全部都设出去了
[13:52] 所以它是一个国际现象
[13:54] 就是我相信这个国外的节目
[13:55] 是没有能力去喊到国际的盘
[13:57] 怎么样去做变动
[13:58] 我们也不会想要去
[13:59] 有这样子的一个所谓的喊盘的能力
[14:01] 在我们的角度来说
[14:02] 我们就是一个学生
[14:03] 我们还是持续的去学习
[14:04] 所以我去做观察
[14:05] 我会观察到市场里面有什么现象
[14:06] 所以有时候我们在节目上
[14:07] 观察到一些现象
[14:08] 我们就会拿出来跟大家分享
[14:10] 还有些东西可能我分享完之后
[14:11] 后面没有再分享
[14:12] 就代表说我发现这个东西
[14:14] 应该不是一个大的趋势
[14:15] 可是如果它今天是一个大的趋势
[14:16] 其实就会持续的被我们去做cover
[14:18] 那当然这我就不会
[14:19] 刻意的再把它拉出来跟大家点
[14:21] 那反正总之呢
[14:22] 像下这些IDM
[14:23] 他们也都全部都出去了
[14:25] 那在一些产业界的feedback
[14:27] 因为每次我讲完东西
[14:27] 我最喜欢的就是有听众会回来跟我讲
[14:29] 他们在业界所看到的一些状况
[14:32] 那目前呢
[14:32] 其实跟一两个月前的被动人件有点像
[14:35] 就是产业的feedback会比较偏向说
[14:36] 我们都知道说前端的
[14:39] 可能像是什么IFX
[14:40] STM
[14:41] ON
[14:41] 或是罗姆
[14:42] 他们有些料非常缺
[14:44] 非常好在AI里面
[14:45] 用量大
[14:46] 价格又高
[14:47] 毛利又好
[14:47] 可是他们觉得说
[14:48] 台湾的东西应该是还好
[14:50] 可是呢
[14:50] 如果你今天是有管到
[14:51] 工厂端的一些
[14:53] 台湾的听众的feedback的话
[14:54] 那他们看到的现象
[14:56] 就可以去解释说
[14:57] 为什么台湾这些东西
[14:58] 有时候会集体动起来的
[14:59] 原因是因为
[15:00] 你现在要去拿这些
[15:01] 欧美一公的东西
[15:02] 它那个lead time
[15:03] 有些已经跑到
[15:04] 超级恶心的数字
[15:05] 我看到一些数字
[15:06] 它的lead time
[15:06] 是已经拉到了一年以上
[15:08] 甚至是什么
[15:09] 妈的99周
[15:10] 就是99 plus
[15:11] 它自己这样挂了
[15:12] 意思是说这个东西
[15:12] 我根本就是买不到
[15:13] 那这时候你要怎么办
[15:15] 你就当然只好去找一些
[15:16] 二工的厂商进来
[15:18] 那二工当然不一定就是台湾人
[15:19] 有些二工可能也是海外的
[15:21] 可是海外的也找不到
[15:21] 那怎么办
[15:22] 最后面就只好去就近
[15:24] 所以进水楼台先得月
[15:25] 一些台湾可能有去做到
[15:27] 比较高压环节的MOSFET
[15:29] 或是一些C5G应用的MOSFET
[15:30] 他可能就因为这样子
[15:31] 然后就会去受惠于说
[15:33] 他被认证
[15:34] 然后可以一起去出货
[15:35] 所以当然如果你今天去用一个
[15:37] 大架构来讲的话
[15:38] 目前最缺最好的东西
[15:40] 都还是落在欧美厂商这边
[15:41] 就像是记忆体可能
[15:42] 本来最旺最强的东西
[15:45] 就是在韩系
[15:46] 然后跟美系的美光这里
[15:48] 那只是后来
[15:48] 就是台湾的一些
[15:49] D4的厂商
[15:50] 甚至是一些D3的厂商
[15:52] 然后一些模组厂
[15:53] 反正就是跟着
[15:54] 鸡犬升天受惠
[15:55] 因为一个产业
[15:56] 去做拉动的时候
[15:57] 特别是现在AI
[15:58] 是一个非常大的需求
[15:59] 那它是会产生一些
[16:01] 实打实的这种排挤效应
[16:03] 就是当我今天
[16:04] 去把最高阶的产能
[16:05] 全部都投入到
[16:06] 某个领域去做
[16:07] 我只出这些东西
[16:08] 那有些订单
[16:09] 我就会丢出来
[16:10] 那这些丢出来的订单
[16:11] 其实大概在两三年前的时候
[16:13] 也有一波IDM去释出订单
[16:15] 给台湾的IDM
[16:16] 或是一些公立原件厂
[16:18] 它可能是Fabulous
[16:19] 然后接下来它再去找可能联电
[16:21] 然后或者说什么华虹
[16:22] 直接去做代工
[16:23] 这个我们在过去
[16:24] 其实已经有看过类似的一个情形
[16:25] 那只是这一次的cycle
[16:27] 可能是更大一点
[16:28] 所以我个人是认为说
[16:29] 当然我们上几天跟大家聊到说
[16:31] 我们注意到在Power
[16:33] 或者说MOSFET这边的一些机会
[16:35] 那接着就是会去跟大家分享
[16:37] 因为我们已经看到这个机会
[16:39] 是确实的存在
[16:40] 然后在一些听众feedback
[16:41] 也去验证的
[16:42] 就是这个说法是正确
[16:42] 因为那有些leetime
[16:43] 他们甚至是比
[16:45] 被动云间还恐怖
[16:45] 就是你不知道为什么
[16:46] 会有这么恐怖的
[16:47] leetime数字
[16:48] 然后在过去
[16:49] 其实他获得讨论的一个
[16:50] 频率是稍微低一点
[16:51] 我觉得很简单
[16:52] 因为在市场里面
[16:53] 就是说题材太多
[16:54] 所以有些人是真的没空
[16:56] 会去管到其他东西
[16:57] 就直到下一个
[16:58] 可能这个族群
[17:00] 有休息之后
[17:01] 然后才会再走到
[17:02] 另一个东西去
[17:03] 那我觉得没有办法
[17:04] 因为市场的专注力
[17:05] 是有限的
[17:05] 然后跟资金
[17:06] 虽然现在看起来好像是无限的
[17:07] 可是大家还是会去挤
[17:09] 可能最热门的一个东西
[17:10] 所以就会导致你在市场里面
[17:11] 有时候会注意到说
[17:12] 我们把它称为是族群轮动
[17:14] 就是一段时间涨这个
[17:15] 另外一段时间涨那个
[17:16] 其实大家都很好
[17:17] 可是当你没有被轮到的时候
[17:18] 其实你会怀疑说
[17:19] 我是不是看错
[17:20] 或者是是不是其实没有这么好
[17:22] 不一定
[17:22] 有时候只是那个钱还没有过去
[17:24] 也就类似说
[17:25] 现在虽然可能像TSM或是Invidia
[17:27] 是处于一个相对很
[17:29] 当然TSM ADR是职业
[17:30] 又设出去
[17:31] 但在过去一阵子是没有动
[17:33] 所以有些人就觉得说
[17:34] 是不是买错东西
[17:35] 不一定
[17:35] 就是那个资金还没有轮到
[17:36] 也就是有段时间
[17:37] 可能就会再次的跑回去
[17:40] 当我们今天注意到说
[17:41] 在Payment
[17:42] 或者说Mosfet这边
[17:43] 有一个蛮大的机会
[17:45] 因为它有大量的Letime
[17:46] 持续的加上去
[17:48] 然后外加
[17:48] 其实价格也开始去上涨
[17:50] 然后接着
[17:50] 我觉得下一个阶段
[17:52] 大家会要去验证的东西
[17:53] 就是这些厂商
[17:54] 是有没有办法
[17:55] 去拿到它的产能的
[17:56] 所以其实你会注意到
[17:58] 有蛮多故事的逻辑
[18:00] 跟它背后的思考的方向
[18:02] 它是可以去做类推
[18:03] 虽然它产业是不一样
[18:04] 但是呢
[18:05] 是可以去做类推的
[18:06] 你可以把记忆体
[18:07] 或是被动元件的一些逻辑
[18:08] 然后放到公立元件去看
[18:09] 其实也都会相当程度的去做成立
[18:11] 那只是在公立元件这边
[18:13] 会稍微的复杂一点
[18:14] 因为公立元件这边的厂商呢
[18:15] 特别是我们刚才前面所提到的一些
[18:17] 不管是欧美的大厂
[18:18] 或是日系的大厂
[18:19] 他们蛮多都是IDM
[18:20] 所以IDM就是说
[18:21] 它是垂直整个制造
[18:22] 它自己有设计跟生产
[18:23] 甚至是封装的能力
[18:24] 全部都包在一起
[18:25] 那所以对这些厂商来讲呢
[18:27] 基本上它如果要去做涨价
[18:29] 然后持续的去做输出的话
[18:31] 它会比较稳定一点
[18:32] 因为它自己就是手握产能
[18:34] 可是如果说今天是走到一些厂商
[18:36] 就像说在台湾的
[18:37] 有些他们也是IDM的形式
[18:39] 然后有些它并不是IDM
[18:40] 它可能是比较偏向是Fabulous
[18:42] 但是它有自己的风策厂
[18:43] 所以它就变成
[18:44] 在里面要去做比较的话
[18:46] 会相对的复杂一点
[18:48] 不是说有IDM就一定会比较好
[18:50] 不一定是这样
[18:50] 只是产能就会变成
[18:52] 是大家要去讨论的一个重点
[18:53] 就是我们已经知道说缺货
[18:55] 我们也知道说涨价
[18:56] 可是问题是产能要怎么样去开出来
[18:59] 这个是类似说我们在讨论记忆体
[19:01] 或在讨论被动元件的时候
[19:02] 都会有的一个话题
[19:02] 那功率半导体这边的产能的话
[19:05] 就是IDM他们是自给自足
[19:07] 所以就可以直接去观察它的驾动率
[19:09] 一般就是说驾动率
[19:10] 只要是拉到满的话
[19:11] 那就是进入一个涨价的循环
[19:12] 这个是没有问题的
[19:13] 可是如果说你今天是
[19:15] 没有自己的厂房的话
