[00:00] 歡迎收聽股癌,我是謝孟恭,本期節目由善存益生菌贊助。
[16:21] 我也懶得去定義說到底是哪一條產品,因為反正它就是一個RUMOR,我們在市場裡面去處理RUMOR的時候有時候是要帶有一點藝術性的,甚至要看當下盤面去做一個決定。
[16:30] 接著就稍微提一下說其實AMD的漲價,就像它感覺是寫出來,你看就是因為晶圓代購商漲價,所以什麼漲價。
[16:37] 但大家可能要注意的是長最多的一個factor其實是記憶體
[16:42] 其實最主要就是記憶體
[16:43] 所以我就會認為說你把這個經驗代工廠寫出來就是一個那種類似說下漲價民怨四起
[16:49] 所以你看TSMC在漲他還背鍋
[16:52] 不是他只是一個尾刀的角色
[16:53] 所以如果我就把它做詳細的說明可能大家就比較可以理解
[16:57] 但這個並不是我特別專業的部分
[17:00] 可能在節目裡面可以
[17:01] 但寫文章其實後來都是經常用這種類似意識流的方式
[17:04] 我就把一些那種關鍵的key facts丟出來
[17:06] 也不在意大家看不看得懂,但是看得懂一定看得懂,因為我就是用這樣子持續的去拿到我要的情報,所以我就覺得我這樣做是對的。
[17:14] 我覺得Many是非常厲害的,因為像是在漫報裡面他們最近也寫到Darryl Moddy的那一篇,就是We Must Pace the Frontier Labs,我忘記標題什麼,大概是我們上集所聊到的內容。
[17:25] 我們算是一個非常線性的這樣講下去,可是Many他就先把問題定義的非常清楚。
[17:30] 請問你講的Pace the Frontier到底是哪一種?是哪三種?現在哪三種速度需要被做線索?
[17:37] 我想說你怎麼可以想到這三種東西?其實很多時候就像是我去看到一些實際
[17:41] 我覺得超了不起的就是為什麼這些人去寫實際可以寫到說這個人以前是師承誰?他從哪裡出來?他拿到的餘生的等級是怎麼樣?
[17:51] 他的那個握法又是跟誰是怎麼樣?然後這個大將所準備出來的東西他的那個酒窯跟哪一家很像?
[17:58] 我想說你們怎麼那麼多內心戲
[18:00] 就是你講的東西我全部也都吃過
[18:02] 而且我也吃了好幾輪了
[18:04] 那我就沒有辦法
[18:05] 怎麼講就吃東西嘛
[18:07] 幹你話怎麼那麼多
[18:08] 但我不是說那些很認真寫的話很多
[18:10] 我意思是說你怎麼那麼厲害
[18:12] 你怎麼可以想到要這樣子寫
[18:14] 然後會讓很多人很有帶路感
[18:15] 所以我覺得那是一種天分
[18:17] 就有些人真的是非常會用文字寫東西
[18:19] 然後我不會我就用聊的
[18:21] 那反正總之就是那篇文章的內容
[18:25] 我也是試著要去獲得一些產業的情報
[18:28] 我做的每一個貼文我都會有想要知道的事情
[18:33] 有時候就會透過一些關鍵資訊所提到的內容
[18:38] 就會拿到我要的東西
[18:39] 所以再隨便去舉一個例子
[18:41] 我現在如果在這邊我講說CCL的降軌事件
[18:45] 這個對於很多人來說是
[18:47] 那我接下來想要聽你說什麼
[18:49] 但對於我們圈子內的人聽到這邊就會知道說
[18:52] 就是上個禮拜某個地方大德在某個地方論壇發表了某個言論
[18:57] 導致盤中一堆東西跳水,然後就超多人跑出來幹,還有些人拿美國隊長的迷因出來做圖,還有些人開始寫文章,還有些人會拿萬年梗,就是什麼在巴士上面看到誰坐在哪裡,反正就是我們圈子裡面人會知道的東西,然後大家拿出來批鬥,然後互相開始嘴砲,接著有一些外資的勸章發了反擊文,那有一些認同的人或什麼的,就是這短短的一句話,CCL的降規,你看,就是如果你是在圈子裡面的,哇,突然間資訊就爆了,
[19:26] 就是你腦中就有超東西出來
[19:27] 可是對於不是這個圈子內的
[19:29] 好像我們聽眾在健身的時候聽
[19:31] 你想說所以你要不要跟我講到底發生什麼事
[19:33] 對當然有時候我不用講發生什麼事
[19:35] 我只要講這個事件我怎麼看結束
[19:38] 我也不用跟你講起承轉合
[19:39] 可是我就已經把我要的東西穿搭完成了
[19:42] 接著收的人知道的他也可能就是有辦法來跟我做討論
[19:46] 所以大概這樣
[19:47] 但我們還是可以稍微的來討論一下這個事件
[19:50] 因為這個其實是跟在過去一陣子供應鏈上發生的各種事情是蠻有關係的
[19:55] 今天要講的是在AI的供應鏈上有超多環節都在卡關,所以他們就會開始去思考很多Alternative的Solution。
[20:05] 所以就像我們過去的集集就跟大家聊說,記憶體也開始有廠家去討論說,我們或許不要一直積極的去往更高的疊層、更高的High數去跑,可能就是8High或甚至是4High就好。
[20:17] 4High這個我是看Tranforce就有一個文章出來寫說,他覺得這個用在Edge Device可以,可是在AI伺服器是比較難。
[20:23] 但是在美國這邊的某些分析團體有提到應該往這個方向去跑。
[20:29] 為什麼會有一個這樣的討論出來?
[20:33] 最主要原因還是因為記憶體缺貨,大家想要拿到更多記憶體,
[20:37] 就會開始去思考說,或許因為頻寬是最重要的東西,容量也很重要,
[20:41] 但是容量我們現在可能有一些方式可以把它offload到外面的東西去,
[20:45] 就是我可能不用全部東西都疊在HBM裡面,
[20:47] 我可能可以跑到旁邊的DRAM或甚至是外面的Storage Rack,
[20:50] 或是可以去支用CPU的各種存儲。
[20:54] 這個在業界是蠻多討論的東西。
[20:57] 所以我就是有可能透過把這個嗨數的降低,
[21:01] 不要疊這麼多層,量率可以變高一點,
[21:04] 價格可以變低一點,那我就可以順了。
[21:07] 這個是一個很直覺的想像,
[21:09] 但是我們那時候有跟大家聊說,
[21:11] 這個東西沒有那麼單純的原因是因為
[21:13] 你可能還是需要這麼多的一個容量,
[21:15] 那你要怎麼樣去解決這個容量的問題?
[21:17] 你可能就是多放幾顆,
[21:19] 多放幾顆你是不是就會用到更多的板材
[21:22] 所以有可能就是缺貨的東西會從一個東西變到另外一個東西
[21:25] 你的頭痛一頭腳痛一腳
[21:27] 然後之後你會發現可能全身都還是不太舒服
[21:30] 所以目前在產業鏈上
[21:32] 因為就是有很多這種所謂的低spec的東西開始出來
[21:35] 大家開始認為說Power不一定要用到這麼好
[21:39] 最近在CSP的一些朋友們就有提到說
[21:42] Power Rack可能沒有必要在這麼快就上線
[21:46] 因為可能注意到本來目標的Rubin的功耗不會到那麼高
[21:51] 那時候我們可能在應該是甚至是一兩年前在聊SPAC的時候提到說他應該是會把它開到那個最高的功耗
[21:57] 那個是理論上是想要這樣子做
[21:59] 但是最終就發現說可能沒有要到那麼高
[22:01] 那是不是我那個Power Rack的一個更換的需求就沒有這麼的急迫
[22:05] 那記憶體如果說我想要去省錢
[22:08] 我想要讓他快一點的話
[22:09] 那我就沒有這麼快的想要去往更高規格的方向去升級
[22:13] 然後再來呢,下這個板材的鬼故事其實也是一樣的道理啊,它意思就是說高速訊號在晶片旁邊就直接轉光了嘛,那這樣子主機板是不是就只剩下低速控制訊號,所以呢怎樣,我用M4就夠了。
[22:24] 那這個東西是非常有爭議的啦,就是說你這個東西講出來就會讓蠻多人直接去想像說,欸之前都已經講到M8、M9了,講說各種什麼夾層板,要用什麼不同的材料去把它弄在一起,要用什麼時音啊、PTFE什麼的,大家都已經去做那個夢了,就突然間就想說,欸什麼,只要M4就可以。
[22:43] 所以會導致怎樣?材料持續升級、ASP持續提高,這個敘事就會立刻被瓦解掉,所以市場就出現一些恐慌大逃殺。
[22:51] 但實際上是這樣嗎?我覺得不一定,因為CPU它理論上消除掉了什麼?就是ASIC到面板可插拔的光模組龍,或是ASIC到背板、中板的長距的走線。
[23:02] 這個東西是有機會去把它消滅掉或是說去解決。
[23:07] 但是問題是什麼?C2G呢?CPU到GPU的PCIe Gen6 捐齊、CX9的NIC、CXL、存儲,他們全部都是還是跑在蠻高規格的速度裡面去。
[23:19] 所以如果你只用M4,就是10-25G的速度材料是跑不太動的。
[23:24] 這個其實你在一些板材廠他們也有提到,如果要去導入PCIe Gen6的話,你的材料就要從M6升到M7之類的。
[23:32] 所以他給的是一個大方向
[23:34] 就類似說可能前面開始有些人在傳說
[23:37] 記憶體我不用疊到那麼高
[23:39] 我就用四海就好
[23:40] 那是一個方向
[23:41] 那是一個思考的方向沒錯
[23:43] 只是最後面會這樣嗎
[23:44] 不一定
[23:45] 我覺得也不會發生
[23:46] 就是說可能在一些環節會出現
[23:48] 可是它不會是一個那種全面的現象
[23:51] 因為科技最終就是會持續的進步
[23:53] 這有時候有點像是說
[23:54] 因為現在缺貨
[23:55] 因為現在通膨在科技
[23:58] 至少在AI裡面是這樣子
[23:59] 價格高漲
[24:01] 所以大家就會去找出一些在非常時期的一些非常手段,開始去思考說有沒有什麼其他的 alternative solution。
[24:09] 但是這些東西它其實對於市場的影響會是大的。
[24:12] 就是我本來的想法是這樣,我每次去聊之類的話題,我都會去稍微講一個但書。
[24:18] 就是即便它有去做d-spec在某些環節,可是它用量其實持續放大。
[24:23] 像包含說前面所提到的800V有機會會遞延,這也是某程度上在一些人的眼中是d-spec。
[24:31] 因為你本來在某一代要用就想要跟我說到底
[24:33] 但在我的角度是
[24:34] 我覺得可能也是因為年紀增長了
[24:36] 然後部位也越做越長
[24:38] 就會覺得反正你終究是要往這個地方去
[24:40] 所以我也懶得在過程之中先sell the rumor
[24:43] 然後接著可能等到某個低點再買回來
[24:45] 因為不一定有時候是那個東西不一定會跌
[24:47] 或是它跌兩根之後就直接好幾根就拉上去
[24:50] 這個在過去
[24:51] 就像說現在那板柴廠就是發生過好幾次
[24:54] 它在過程中一直有那種鬼故事跑出來
[24:56] 可是每次鬼故事都在很短的時間就被擊敗了
[24:59] 只是你有沒有必要去trade這個鬼故事?
[25:01] 所以你在市場上會看到就是這個圈子裡面的人
[25:05] 他們可能會吵個不可開交
[25:07] 因為短期就會出現一些大逃殺
[25:09] 然後異獲是有時候也不一定是很短
[25:11] 那是跑到中期去的
[25:12] 就像說像那時候的這個氣銅轉光
[25:15] 那把很多銅相關的類股都打爆
[25:17] 一堆人出來那邊踩落水狗
[25:19] 只是後來那些銅相關的東西一堆都噴回去新高
[25:23] 就證明說其實根本當下就不是這樣的一個情形
[25:25] 所以一樣的道理就是你現在看到的
[25:28] 這些都是CCL的降規、記憶體的降規、Power Rack的降規。
[25:33] 他們某個程度上都可能只是一個短期的事情而已。
[25:37] 因為終究來說,隨著你的運算效率越來越好,東西越來越強大,材料就是一定會持續的去往上疊代。
[25:46] 然後外加,如果你直接用這種超級簡單的論述說,因為你的高速訊號在晶片旁邊就直接轉光就出去了,所以你整個板子不用好的話,你無法去解釋。
[25:56] 因為您是講了一段啦,你沒有講到其他段,就是裡面的板上的各種元件,他們都還是要去做互動嘛,那隨著東西越來越厲害,速度越來越快,那它就會去產生,所以這個材料部分如果沒有跟上的話呢,那就會導致這個訊號的滅失啊,不會有可能被迫要投資?
[26:38] 網路上傳出過份消息指這是一個新的課題,這頁應該是在下半段中的詳細報道。
[26:45] 結果這頁是最新的。
[26:48] 最新的課題就是網路上傳出的消息,那下半段就會讓你發現有一個很重要的消息,就是最近的某一件事情。
[26:55] 我之前也有看過一段影片,那時候他發不出消息就是在網路上傳出說,
[27:02] 多人在過去的一兩個禮拜轉空
[27:06] 你就注意到有很多在網路上分享他們都轉空全面轉空
[27:09] 這個其實是一個蠻奇怪的事情
[27:11] 為什麼?因為大盤在新高附近
[27:14] 大盤在新高附近它根本沒有掉下來
[27:16] 你說七月的時候你轉空還算合理
[27:19] 因為你至少大家看到東西掉下來的
[27:21] 你這個地方要喊空
[27:22] 好像是不是真的要警覺要擔心
[27:24] 我們真的也會這樣
[27:25] 你注意到一些東西開始目前要亂崩的話
[27:26] 你真的會比較有警覺
[27:28] 問題是大盤在新高附近怎麼轉空
[27:30] 因為一堆人手上的部位就是今天突破一根
[27:32] 明天就把你跌破,然後接著他在稍微的小破底之後又再拉上去,所以你可能拉一個月看,他是越墊越高,他其實上去的喔,可是你每天在盯盤的人,他的進子一直往下跑,甚至有聽到一些,不是我們第一層的朋友圈,朋友的朋友說什麼在做動能的,可能在過去的一段時間已經跌破那個7月的低點,你要怎麼樣跌破7月的低點,他想說因為就是每天看到那個強勢的追進去啊,隔天沒有辦法開高又丟啊,一直這樣搞,搞個幾輪之後錢就不見了,這個真的要小心啊,
[28:02] 就是說在這種盤面我把它稱為是比較沒有連續性
[28:06] 然後或是說在過去的一陣子來說它是比較短期的一個現象
[28:11] 但我前陣子看到那個財報狗的Jeff
[28:13] 因為他也不是說他年紀就是比我大
[28:17] 所以他看的比我長
