[00:00] 歡迎收聽古埃,我是星目公,本集節目由NordVPN贊助
[02:29] 就在南港展覽館外面去搭帳篷排隊
[02:32] 就超瘋狂的
[02:33] 就只為了要搶到最前面
[02:35] 到這次就是我就看著下面在那邊搖滾區
[02:38] 搖一搖去甩一甩去
[02:39] 有人想說以前我也是這樣子
[02:41] 然後我現在坐在後面
[02:42] 非常感謝德國的每個聽眾們
[02:45] 就Radiohead的聽眾
[02:46] 大家跟我的想法都蠻類似
[02:48] 反正能夠做就儘量做
[02:50] 真的有一些那種比較炸裂的歌
[02:52] 大家還是會跳起來
[02:53] 除此之外呢
[02:54] 就大家都坐在椅子上面
[02:55] 所以我覺得很好
[02:56] 就是也不用說什麼
[02:56] 因為大家都站起來
[02:58] 就跟著站一整場
[02:59] 有時候我覺得說
[02:59] 媽你買座票你就坐著就好
[03:01] 但不知道
[03:02] 就像他的這個演唱會的風氣呢
[03:04] 好像說座位區
[03:05] 就跟那個日本人講的一樣
[03:06] 座位區叫做置物櫃
[03:08] 那本來就不是給你坐的
[03:09] 你是要站著
[03:10] 但就昨天就是看了一場
[03:12] 我覺得超級讚的演唱會
[03:14] 那比較可惜啊
[03:15] 就是他的setlist裡面
[03:17] 有些歌曲我喜歡的
[03:18] 他沒有表演到
[03:20] 那後來才知道說
[03:21] 其實他的這個setlist
[03:22] 這次是非常有誠意啊
[03:24] 就是他不是說什麼
[03:25] 每一場都唱一樣的歌
[03:26] 他一直換來換去
[03:26] 那所以心中才會產生
[03:28] 那個想法就是說
[03:28] 還是我再多看幾場
[03:30] 那當然最後面就
[03:31] 打笑的這個念頭
[03:33] 就覺得說反正有一個
[03:34] 非常好的體驗就是這樣
[03:35] 那後來就跟我老婆
[03:36] 就非常感慨的
[03:37] 就跟她講說
[03:38] 謝謝你讓我來
[03:39] 就是這個真的是
[03:40] 我看過最棒的一個演出
[03:41] 她說我沒有讓你去啊
[03:43] 是你自己讓你自己去的
[03:44] 對其實真的是這樣子
[03:45] 就老婆一般
[03:46] 她是不讓我會
[03:47] 有機會可以單獨出門
[03:49] 那這一次呢
[03:50] 比較像是一個特例
[03:51] 就是突發奇想
[03:52] 突然跟他講說要去
[03:53] 然後到真的執行
[03:54] 可能就是一個月以內的事情
[03:56] 因為小朋友還小
[03:58] 這小朋友不能出國
[03:59] 就變成是一次的獨履
[04:00] 我老婆可能也看到
[04:01] 我眼神中的一個決心
[04:03] 所以最後面沒有攔住我
[04:04] 但是當我在那邊感性的時候
[04:05] 她還是提醒我
[04:06] 講說我根本沒有懶去
[04:07] 是你自己要跑去
[04:07] 所以是一個比較自私的行為
[04:10] 非常感謝老婆在家裡
[04:12] 協助照顧我的兩個孩子
[04:14] 嗷嗷待哺的孩子
[04:15] 很快爸爸就要回家了
[04:16] 我後來發現我自己來德國之後
[04:18] 當然我自己本身就不是一個
[04:20] 就是特別喜歡觀光的人
[04:22] 我喜歡那種就是人言喊字的地方
[04:24] 那城市的話對我來說還好
[04:26] 但是有出去在路上走一走
[04:28] 然後就發現說自己在逛的東西
[04:30] 或者在買的東西
[04:31] 全部都是孩子的東西
[04:32] 所以兩次出門都是買小朋友的東西
[04:35] 但其實也沒有因為這樣子
[04:37] 就是你會注意到說
[04:38] 有些人可能會上網分享這樣子的內容
[04:40] 然後感覺說
[04:41] 你知道我什麼客人的主體都被剝奪了
[04:44] 我已經不像我自己
[04:45] 沒有我覺得這是最好的自己
[04:47] 就是光是幫小朋友買東西
[04:48] 這件事情就讓我超開心
[04:50] 而且你會一直買一直偷笑
[04:52] 我不知道是不是隻有我會這樣
[04:53] 還是說其他的爸爸
[04:54] 有類似的感覺
[04:55] 就是你買這個
[04:56] 然後你心中就很爽
[04:57] 想說幹這個兒子已經超愛
[04:58] 他之後一定會一直抱我
[04:59] 他會親我
[05:00] 他會覺得說
[05:00] 爸爸謝謝你買這個酷東西
[05:02] 那所以就都是在買孩子的東西
[05:05] 那我兒子呢
[05:06] 他其實在我出國的第一天
[05:08] 他就已經視訊打電話
[05:09] 給我說爸爸想你
[05:11] 爸爸要跟你睡覺
[05:12] 反正就很甜
[05:13] 那真的是巴不得趕快回家
[05:15] 就是說這個演唱會看完
[05:16] OK好叮叮嘎啦
[05:17] 就差不多這樣子
[05:18] 那如果以後有類似的
[05:20] 這種行程的話
[05:21] 我還是希望我的孩子
[05:22] 可以跟著我一起
[05:22] 只是因為這次是有安哥
[05:24] 其實諾亞已經在上學
[05:25] 那可以請假
[05:26] 我覺得沒有關係
[05:27] 但因為安哥年紀還比較小
[05:28] 所以覺得不方便帶這麼遠
[05:30] 就沒有
[05:30] 那我覺得以後
[05:31] 如果我真的要去看這種東西
[05:32] 我這次的體驗就是說
[05:34] 我應該把我的孩子
[05:35] 就讓全家都一起帶來
[05:36] 反正就大家都一起請假
[05:37] 大家一起來
[05:38] 那我去看我的演唱會
[05:39] 你們去逛街或什麼都好
[05:40] 那我就覺得說
[05:41] 自己跟這個孩子
[05:42] 跟家人在一起
[05:43] 還是比較快樂的
[05:44] 那我必須得老實地講說
[05:45] 這一件事情呢
[05:46] 是我本來是
[05:47] 抱持著一個問號
[05:49] 就是
[05:49] 怎麼講
[05:50] 就是可能有一些
[05:51] 那種兩性專家
[05:52] 或什麼婚姻專家
[05:53] 就出來跟你講
[05:53] It is what it is
[05:55] 反正會這樣子
[05:56] 就是正常
[05:57] 或是什麼
[05:58] 有的沒有的
[05:58] 可是很多時候
[05:59] 其實我自己都還是會
[06:00] 有一些其他的想法
[06:02] 當然這個想法
[06:03] 我覺得沒有惡意
[06:04] 就是你不免的會想一下
[06:05] 就像
[06:05] 不知道有時候就會想說
[06:07] 那個手上有一個
[06:08] 那種小的皮跑起來
[06:09] 不知道我們那種
[06:10] 指縫間會有一個小小的皮
[06:11] 把它拉掉會怎樣
[06:12] 你明明就知道說
[06:13] 拉掉可能會痛
[06:13] 就拉看看
[06:14] 反正你就有一些想法
[06:17] 就想要試看看
[06:17] 所以其實心中也是有想說
[06:19] 假設我現在沒有小孩的話
[06:21] 我的生活會怎樣
[06:22] 或者說假設我現在是單身的話
[06:24] 那我會不會有不一樣的想法
[06:26] 會不會其實過得比較快樂之類的
[06:28] 但也有可能是因為習慣
[06:30] 但不曉得
[06:30] 我自己是覺得說
[06:31] 我本來以為自己出來
[06:33] 也有可能會說
[06:34] 哇你看我已經不知道
[06:35] 幾年沒有這樣
[06:36] 可能十年沒有自己出來了
[06:38] 那現在這個感覺實在是太爽了
[06:40] 以後我都要自己出來
[06:41] 結果我自己出來之後
[06:42] 我覺得說沒有
[06:43] 以後還是想跟家人出來
[06:44] 就是你去逛的一些東西
[06:45] 會覺得
[06:46] 可能是因為我本身
[06:47] 也是不太喜歡逛街的人
[06:49] 但我是喜歡別人跟我講說
[06:51] 這可以看什麼
[06:51] 就是說如果有人導覽的話
[06:53] 我覺得OK
[06:53] 所以像我在
[06:54] 有一個什麼Mall of Berlin吧
[06:57] 反正就是我住的飯店隔壁
[06:59] 有一個他們那種很大的百貨商場
[07:01] 然後下面就是佈置著
[07:02] 像是那種耶誕市集
[07:03] 然後很大的聖誕樹
[07:05] 我第一個想的就是
[07:06] 如果我兒子在這
[07:06] 他一定會說他要拍照
[07:07] 然後再來就是那個耶誕市集
[07:09] 每個東西看了我都不想吃
[07:10] 可是我知道我老婆如果在的話
[07:12] 她就會說
[07:13] 這個什麼Natela很好吃
[07:14] 然後那個什麼馬鈴薯
[07:15] 什麼很好吃
[07:16] 就他一定會跑去買
[07:16] 然後說你吃一口
[07:17] 你吃一口
[07:18] 然後我一定會在那邊
[07:19] 靠背講說不要
[07:20] 這麼肥
[07:20] 有都是什麼碳水
[07:22] 但是我還是會吃一口
[07:23] 吃一口之後
[07:24] 然後我可能就講說
[07:25] 沒有這麼好吃
[07:26] 然後他就會一直微笑看著我
[07:27] 說很好吃
[07:28] 你就老實講
[07:29] 對其實蠻好吃的
[07:30] 就是我不知道
[07:31] 我就腦中開始有這種
[07:32] 意淫的想法
[07:32] 就覺得
[07:33] 如果今天是跟著全家一起來的話
[07:35] 應該是會更好玩
[07:36] 所以大概這樣
[07:37] 就可能只有看演唱會的時候
[07:39] 那個不一定要家人陪你看
[07:41] 因為以往都是自己看
[07:42] 所以沒有什麼其他的想法
[07:44] 但如果是在逛街的時候
[07:46] 或是買東西的時候
[07:47] 有家人陪應該是蠻好的事情
[07:49] 就真的是這樣的一個想法
[07:50] 所以我覺得也是藉機的去
[07:52] 釐清一件事情
[07:53] 因為像自己身邊一些朋友
[07:55] 最近遇到一些那種感情的終結
[07:57] 他們有提到一個說法
[07:59] 就是說本來以為說單身之後會怎樣
[08:01] 結果其實不是那樣
[08:02] 那我在前幾期QA也有提到
[08:03] 因為可能你年紀也大了
[08:05] 你以為說你單身之後
[08:06] 你就會瘋狂做愛
[08:07] 就是你其實也沒辦法
[08:08] 我說其實你現在根本就不想做那些事情
[08:10] 你就只想要找一個人陪你談心之類的
[08:13] 那些人是透過了
[08:14] 怎麼講
[08:15] 比較痛的方式去領悟
[08:17] 因為就分手了
[08:18] 或者說就離婚了
[08:20] 他們去發現說
[08:21] 原來我已經變了
[08:22] 原來我現在要的是不一樣的東西
[08:24] 我覺得像我自己
[08:25] 就是藉由一次的獨履就發現說
[08:26] 其實我現在的生活挺好的
[08:28] 只是有時候會忘記我自己的生活
[08:30] 有時候你被管的時候
[08:31] 或是你的小朋友
[08:31] 整天巴著你念故事
[08:33] 你又在忙的時候
[08:34] 你就會去思考一下說
[08:35] 假設我現在單身會怎麼樣
[08:36] 可是當你自己獨履出去走一走
[08:38] 就發現說沒有
[08:39] 你單身不會更好
[08:40] 甚至會更差
[08:41] 應該說一定會更差
[08:42] 那所以呢
[08:43] 我覺得這次的心得
[08:44] 也可以分享給大家
[08:45] 就如果說你有去懷疑過
[08:47] 你現在的生活
[08:47] 是不是怎麼樣
[08:48] 很簡單嘛
[08:49] 你就去做一個
[08:50] 你不用立刻離婚
[08:51] 或者說什麼
[08:52] 去找尋自我
[08:53] 先把自己變單身
[08:54] 你就直接去讀旅一次
[08:55] 你就可以感受到
[08:56] 這是不是你要的
[08:58] 但當然有可能
[08:58] 就有些人去讀旅的時候
[09:00] 他就說
[09:00] 其實我真的是比較好單身
[09:01] 那也好
[09:01] 那就是
[09:02] 當然是我推你一把
[09:03] 然後幫你探索自己
[09:04] 但是我算是找到
[09:06] 我自己的答案
[09:06] 然後再來就是
[09:07] 德國的食物呢
[09:08] 因為很多朋友
[09:09] 或者說一些聽眾都會想說
[09:10] 跟垃圾一樣超難吃
[09:11] 千萬不要吃
[09:12] 我自己的心得是覺得說
[09:14] 沒有那麼糟糕
[09:15] 當然可能也是因為
[09:17] 因為我媽要叫我是霸呆
[09:18] 就是我吃東西都會吃一堆肉
[09:20] 所以可能是因為我都吃肉的關係
[09:22] 你知道肉要做的難吃不容易
[09:23] 甚至說你要把肉做難吃
[09:25] 是很有挑戰的事情
[09:26] 就除非你故意去把一個
[09:28] 牛排應該就要吃什麼三分五分
[09:30] 你故意把它煎到全熟之類的
[09:32] 或者說你故意加一堆有的沒有的調料
[09:34] 不然其實很難把東西弄得難吃
[09:36] 所以我吃下來我是覺得
[09:38] 不然說在路上
[09:39] 隨便看到就衝進去的餐廳
[09:41] 然後吃了他的什麼豬腳
[09:43] 香腸
[09:43] 什麼沙拉
[09:45] 然後再來就是在客房服務
[09:46] 狂點
[09:47] 就一直點什麼在地特色德國菜
[09:50] 就是我的咖哩香腸
[09:51] 不是在street vendor吃到
[09:53] 我是在客房服務看到說
[09:54] 這邊既然有大家推的小吃
[09:56] 就點來吃
[09:57] 他那個醬料調味是比較重一點
[09:59] 但旁邊辣椒沾下去之後
[10:00] 就超沾的
[10:01] 所以目前吃下來覺得說
[10:03] 德國菜也沒有像大家講的這麼差
[10:04] 而且還有一個特色
[10:05] 就是分量都很大
[10:06] 真的分量都很大
[10:07] 不然說可能路邊看到餐廳隨便進去
[10:09] 那個啤酒
[10:10] 我就看說他們那種男女老少
[10:11] 即便是那種
[10:12] 就看起來是二十幾歲的情侶
[10:14] 他們點啤酒都是一人是那種一公升裝的
[10:16] 然後我那個小娘炮
[10:17] 我他媽我點一個那種五百
[10:18] 五百毫升的
[10:19] 然後我就發現說
[10:20] 就整個餐廳只有拿五百毫升
[10:22] 我媽不爽
[10:22] 再點一個一公升的
[10:23] 因為我覺得就是看起來說
[10:24] 你看那個Asian拿一個小小的
[10:26] mini dick
[10:27] 那不想給人家看沒有
[10:28] 就立刻入境隨俗
[10:29] 大家怎麼吃
[10:30] 大家怎麼喝
[10:30] 你就都給我來一點
[10:32] 那服務也都非常好了
[10:33] 像載我回來的那個老哥
[10:36] 他就是跟我講說
[10:37] 今天是他跑演唱會的第二趟
[10:39] 他再跑兩趟
[10:40] 他就要回家睡覺
[10:41] 因為今天特別累
[10:42] 然後就在車上跟我聊天或什麼的
[10:44] 那下車之後呢
[10:44] 那個費用是19.6歐元
[10:47] 然後跟我說19.6
[10:49] 我直接給他100塊
[10:49] 我說老兄你趕快回家吧
[10:51] 你後面兩趟就不要載了
[10:52] 你就趕快回家
[10:53] 然後他就是跟我講說
[10:54] Brother
[10:54] Brother不可以這樣
[10:55] Brother你真的對我太好
[10:56] Brother你什麼時候要到機場
[10:58] Brother你跟我講
[10:58] 我再回來載你
[11:00] 我說不用
[11:00] 我愛你
[11:01] 我謝謝你
[11:02] 我在看完這麼棒的演唱會之後
[11:03] 然後遇到這麼好的人
[11:04] 就是我整體感覺
[11:05] 這個踢杆是不錯
[11:07] 可是老實講
[11:07] 這個城市有什麼特別亮點
[11:09] 還好
[11:09] 就真的還好
[11:10] 但Radiohead
[11:11] 大家可以聽看看
[11:12] 這個我已經狂推
[11:13] 我大概從不知道
[11:14] 五年前可能就一直
[11:15] 跟大家推Radiohead
[11:16] 然後到現在都還是非常喜歡
[11:18] 上一次去看他演唱會
[11:20] 13年前到現在
[11:21] 我覺得感受又更深了
[11:23] 有一個話不是這樣說的嗎
[11:24] 怎麼一開始聽
[11:26] 聽不懂那個歌在唱什麼
[11:27] 然後有一天發現說
[11:28] 你就是歌裡面的角色
[11:29] 隨著你的年紀增加
[11:31] 或者說什麼
[11:31] 第一次聽的時候是高三
[11:33] 然後下一次聽的時候是三高
[11:34] 類似這樣
[11:34] 就隨著年紀變化
[11:36] 你感受也會很深
[11:37] 真的是非常棒的一個團
[11:39] 在這邊稍微簡單跟大家分享一下
[11:41] 這次的博林心得
[11:42] 剛才你常常回到飯店
[11:44] 第一件事情就是把
[11:45] 博通的財報拿出來
[11:46] 快速的翻一下
[11:48] 其實我會想要
[11:49] 很快的就去做這件事情
[11:51] 是因為我已經在社群河道上滑到
[11:53] 一開始大家都說很好
[11:54] 然後突然間大家都說
[11:55] 怎麼他數字不太好之類
[11:56] 我想說怎麼會有這麼大的一個落差
[11:58] 然後後來看了一下
[11:59] 那個盤後的走勢
[12:00] 原來那些事先上漲
[12:02] 然後後來下跌
[12:03] 大家開始找理由
[12:03] 開始寫說會不會撥通
[12:05] 他講了什麼東西是不好的
[12:06] 或什麼的
[12:07] 於是就是趕快自己
[12:08] 要去把所有的東西拿出來
[12:09] 看過一次
[12:10] 才知道到底是怎麼樣
[12:11] 看完之後
[12:12] 我還是那句老話
[12:13] 就是我覺得
[12:13] 儘量不要去幫每天的股價
[12:16] 去找一個答案
[12:17] 當然我們都會參考股價來看說
[12:19] 到底市場怎麼樣看這件事情
[12:20] 可是如果說
[12:20] 你把這個時間的維度
[12:23] 變成是以天來算的話
[12:25] 會有問題
[12:25] 因為可能今天漲
[12:27] 然後你說是因為什麼原因漲
[12:28] 那明天跌
[12:29] 那請問一下你昨天的理由是不是就被打敗了
[12:31] 是不是就是你顛覆自己你打臉自己
[12:34] 所以儘量不要因為一天的漲跌去做太多的想象
[12:37] 簡單講是這樣子
[12:38] 因為市場本身就是會震盪
[12:40] 那我們來看這個數字的話
[12:41] 就覺得整體的表現是非常好
[12:44] 然後這次有給一些關鍵的內容
[12:46] 我們就迅速的來跟大家討論一下
[12:48] 那首先他有提到他的AI backlog是73個B
[12:51] 然後這是在講說未來6季內要出貨的東西
[12:54] leet time是6到12個月
[12:56] 同時持續的在上升中
[12:59] 就是會有更多的訂單一直進來
[13:01] 在這73個B裡面有53個B是XPU
[13:04] 然後20個B是Switch DSP跟Laser
[13:06] 預計在下個財年度也會持續的增加所以這個就立刻的去消彌掉就是包含說可能看到財報之後很多人的一個寫法是說73B也太少了吧不是啊公司就跟你講說會成長不然你要怎樣
[13:19] 不然你要怎樣
[13:19] 就會成長
[13:20] 所以有什麼好少的
[13:21] 你覺得這數字應該會更高嗎
[13:23] 可是老實講
[13:24] Block on它的整個road map
[13:25] 或者說它的客戶的結構
[13:27] 在短期內就沒有什麼變化
[13:28] 所以它開這個數字
[13:30] 那只是你可以想象成說
[13:31] 有可能就是認栽現在的比較少
[13:33] 那有些大量的東西
[13:34] 可能在後面會進來
[13:35] 其實有時候也是市場自己提早
[13:38] 喊太高喊太快了
[13:39] 然後絕對來說
[13:39] 像OpenAI的ASIC
[13:40] 很多人就在講說
[13:41] 2026就會出來
[13:42] 那這次公司就直接給他
[13:43] 喊2027
[13:44] 那這其實跟我們看到的
[13:45] 狀況是一樣
[13:45] 因為他整個Tapout
[13:46] 也是2026不到下半以後的事情
[13:48] 所以他變成是一個解方出去
[13:51] 他確實就是需要一段時間
[13:53] 就不會像大家想象這麼快
[13:54] 可是有時候市場會提早
[13:55] 自己先意淫
[13:56] 自己先喊一個很高的數字
[13:57] 然後再說公司miss
[13:58] 那不一定是公司miss
[14:00] 所以我覺得還是
[14:00] 以公司的說法為主
[14:01] 但公司的說法
[14:03] 很多時候他們也會講的
[14:04] 比較模稜兩可一點
[14:05] 所以我們就要有自己推銷的部分
[14:06] 所以包含說
[14:07] 好像在幾個月前
[14:08] 我跟大家講說
[14:09] 他那個第四大客戶
[14:10] 應該就是Enthropic
[14:10] 那其實在我講這個說法之後
[14:13] 我就有注意到
[14:13] 就是有些人會有一些批評之意
[14:15] 就說怎麼可能會是他
[14:17] 他怎麼可能會去買
[14:18] 什麼Google的外銷晶片
[14:19] Google才不會外銷
[14:20] 他只有自用
[14:20] 但是你看隔了不到幾個月
[14:22] 就是現在大家的共識就變成說
[14:24] Google就是有在外銷晶片
[14:25] 所以有時候我們的訊息
[14:27] 真的會比市場快了
[14:28] 沒有辦法
[14:29] 因為我們就是
[14:29] 有了一個這個節目
[14:31] 我們認識了很多各行各業的人
[14:33] 所以其實我們家分析的面向都很廣
[14:35] 就不會只是像以前就是說
[14:37] 基本上就是看一些公開資料法說會
[14:39] 我開始會有一些產業人士會告訴我
[14:41] 說下最新的一些發展跟進展
[14:44] 然後再來就是
[14:44] 其實隨著大家跟我講多了之後
[14:46] 我自己腦袋也會建立一個新的架構
[14:48] 所以在猜測這些東西的準度上面
[14:51] 我覺得就有持續的有變好
[14:53] 那這個Enthropic去作為Google
[14:55] 或Broadcom的客戶這件事情
[14:56] 應該已經算是一個共識
[14:58] 這已經沒有什麼好吵了
[14:59] 那只是說它到底是怎麼樣去做出貨
[15:01] 那時候沒有跟大家講說
[15:02] 他可能是搭配像是FluidStack
[15:04] 這樣的一個解方
[15:05] 然後變成是
[15:06] 直接用Horax Solution給他
[15:08] 因為如果你今天只是把晶片
[15:10] 去給Amphibic的話
[15:11] 你知道他要做的事情太多了
[15:13] 你只給他一個晶片
[15:15] 他可能還要去做後段的一些
[15:17] 包含像是在Allset這邊去做整合
[15:20] 然後把它變成是一個模組
[15:22] 然後再變成是整櫃
[15:23] 這個不是一個像這種
[15:25] 最主要在推LM模型的公司
[15:27] 是有能力可以辦到的
[15:29] 就算他今天去新Hire一個Team
[15:31] 其實也是超難
[15:32] 這個在硬體上面的組裝
[15:34] 其實是非常需要功夫跟學問的
[15:36] 所以其實高階域
[15:37] 就是他搭配一些solution provider
[15:40] 於是FluidStack就是我們所認為
[15:43] 就是說反正就是由他來做供貨
[15:45] 那當然我們不太知道細部是怎麼樣跑
[15:48] 只知道大概就是反正
[15:49] BlockCon這邊跟Google拿了一個授權
[15:52] 然後去賣給Enthropic
[15:53] 那可能有去幫忙他仲介
[15:55] 或甚至是直接當一箇中間人
[15:57] 然後去籤一些Data Center的Builder
[16:00] 接著就是把整個Horex Solution的東西
[16:03] deploy進去到這些資料中心裡面
[16:05] 其實按照這一次博通的說法
[16:07] 我覺得這樣的一個論述
[16:10] 它為真的機率就很高了
[16:12] 因為他有提到說
[16:13] 他們現在有在做這個Rack Level的solution
[16:16] 什麼叫Rack Level呢
[16:18] 就是他本來是一個chipset vendor
[16:20] 他本來是賣晶片的
[16:21] 他現在他不只是要弄晶片
[16:23] 他是直接給你一個整套解方
[16:24] 這個整套解方
[16:25] 除了我們看到這個XPU之外
[16:27] 包含像是後段的一些交換器
[16:31] 光通什麼
[16:32] 它都是整包有解方可以一起給你
[16:34] 那它一賣可能就是賣整個櫃
[16:37] 這樣子去做計價
[16:38] 那當然整個櫃去做計價的話
[16:40] 你會知道說
[16:40] 因為晶片它本身的毛利結構會是比較好
[16:44] 毛利率也是比較好一點
[16:45] 那你把它變整個櫃的話
[16:46] 因為裡面有一些那種什麼
[16:47] 機構件散熱件或什麼的
[16:49] 那當然它有可能它買進來之後
[16:52] 還是有一些加價的空間
[16:53] 可那個毛利的數字就是會比較低一點
[16:55] 所以簡單來說你可以想象成說
[16:56] 像那時候我們跟大家聊到的
[16:58] 在做L6的打板
[17:00] 就是偽創的毛利數字
[17:02] 會比較高的原因
[17:02] 是因為它是一個consign
[17:04] 就是說它是受一個NBA代工費用
[17:06] 如果今天是在鴻海這邊的話
[17:08] 最主要的話就是一個
[17:10] buy and sell的一個模式
[17:12] 所以它把所有的料搞進來之後
[17:15] 然後它可以去
[17:16] 當然在一些
[17:17] 它有采購優勢的東西上面
[17:20] 可以去做加價
[17:21] 然後再賣給客戶
[17:22] 可是同時也代表著說
[17:24] 它毛利數字的結構
[17:26] 就比較差一點
[17:27] 但這個毛利率跟毛利的數字
[17:30] 那個都可以想象成
[17:31] 就是一個數字遊戲而已
[17:33] 就是說毛利的數字
[17:34] 整體是往上
[17:35] 就是你賺的錢就是變多
[17:36] 可是毛利率
[17:38] 我覺得稍微下降一點
[17:39] 但那個沒有辦法
[17:40] 那個就是因為
[17:40] 以它的出貨結構來講
[17:42] 就是會必然產生的一個現象
[17:44] 所以我看到說市場上
[17:45] 也有人在討論說
[17:46] 這個毛利率數字
[17:47] 可能在後面不如預期
[17:48] 這個是一個非常莫名其妙的說法
[17:50] 就是說不知道
[17:51] 就感覺只要有一個正常腦袋的人
[17:52] 就會知道說
[17:53] 你本來是賣chip
[17:54] 那你現在賣reg level
[17:55] 那你整體的毛利率就一定會低一點
[17:57] 可是你其實更賺錢的
[17:58] 你是可以更賺錢的
[18:00] 所以我不會認為說
[18:01] 這個東西是一個利空
[18:02] 然後再來就是這次的Huck
[18:03] 又再一次的提到說
[18:05] 因為有分析師問他講
[18:06] 會不會有客戶是想要跳過博通
[18:09] 就是直接去做custom tooling這樣
[18:12] 就是說我自己去設計晶片
[18:14] 那這樣子會不會是有可能
[18:16] 後面會發展一個趨勢
[18:17] 那其實像這樣的問題
[18:18] 在過去的幾季他已經被問很多次了
[18:20] 那他每次都是用
[18:21] 我覺得措辭比較強烈的方式
[18:23] 去否決這件事情
[18:24] 即便我們實際上看到的狀況是
[18:26] 他的大客戶就是TPU
[18:28] 那TPU在
[18:29] 當然TPU的代數到現在是比較複雜一點
[18:31] 像這個最新公佈的IonWare
[18:34] 他是寫V7
[18:34] 可是這個V7其實在供應鏈端的角度來看
[18:37] 我們是稱它V6P
[18:38] 只是說他現在就是把它都往後拉一代
[18:40] 所以MTK跟博通並行的這一代
[18:43] 現在就會變成是
[18:44] 以Google的角度稱就是V8
[18:46] 所以就是V8P跟V8E
[18:48] 當然有些供應鏈的人
[18:49] 他就會把它稱為是V7
[18:50] 總之這邊就跟大家講一下
[18:52] 就是Google的這個數字
[18:53] 很多時候大家會對不起來的原因
[18:54] 原因是因為他們把代數搞得很複雜
[18:56] 所以導致說有可能兩個或是三個版本
[18:59] 但我們現在都是以Google本位來講的話
[19:01] 就這個V8P跟V8E
