[00:00] 歡迎收聽股癌,我是孟恭,本期節目由NordVPN贊助
[02:50] 說要告岳母
[02:51] 我就在那邊心中想說
[02:52] 為什麼每次我願不都遇到這樣子的事情
[02:54] 就他真的很容易在路上
[02:57] 怎麼講
[02:57] 反正就是想要拔刀相助
[02:59] 然後接著就搞到自己
[03:00] 然後搞到自己
[03:01] 他不一定自己可以善後
[03:02] 所以就變成說
[03:03] 我們就要跑出來把他善後
[03:04] 當下心情其實超級複雜的
[03:07] 我後來才意識到一件事情
[03:08] 就在我們可能接到電話
[03:09] 走下去的這個路上
[03:11] 我就一直在思考
[03:12] 我是不是有點太怕事了
[03:14] 就是到近期
[03:15] 越來越像這樣子的一個發展
[03:17] 後來也瞭解到
[03:18] 原來我現在對於平靜的追求
[03:20] 是已經到
[03:21] 怎麼講
[03:22] 甚至有點偏執的程度了
[03:24] 就是我就希望任何事情
[03:26] 最好都不要煩到我
[03:27] 我就只想要密底外的鼓啊扛
[03:28] 我就是不想要跟任何人有接觸
[03:30] 連社群都沒有什麼在看的
[03:32] 就是現在對我來講
[03:33] 平靜可能是生命中最重要的東西
[03:35] 可是為什麼這些平靜呢
[03:36] 很多時候都會是別人來打破的
[03:39] 然後這些別人老實講
[03:40] 我自己心中有時候會覺得說
[03:42] 可能到某個程度
[03:42] 我都要去切割吧
[03:43] 因為我真的不想要有任何事情
[03:46] 就是現在對我來講
[03:46] 我覺得生活的壓力
[03:47] 本身就已經不小
[03:48] 特別是七月又才經歷過一個
[03:51] 怎麼樣大屠殺
[03:52] 當然可能在八月
[03:53] 一下我媽的嘴巴笑到合不起來
[03:55] 但總之就是
[03:56] 他是一個情緒
[03:57] 已經是波動很大的一段時間了
[04:00] 然後怎麼會有一個
[04:02] 媽的又有插曲跑出來
[04:03] 而且在我看電影前一個小時
[04:05] 然後已經多久沒有時間去看電影
[04:08] 那所以呢
[04:08] 好反正就跟我老婆下去處理
[04:09] 看發生什麼事情
[04:10] 然後後來發現
[04:11] 其實就超無聊的事
[04:12] 反正就是有一對夫妻在路上
[04:14] 然後他小朋友吵鬧
[04:15] 那爸爸覺得說要管教他的小孩
[04:17] 就直接扒他小孩的頭
[04:19] 然後接著媽媽也去扒他小孩
[04:21] 那老實講
[04:22] 我在路上看到這個
[04:22] 我會怎麼樣
[04:23] 我可能就測目一下
[04:24] 就覺得怎麼會打小朋友
[04:25] 可是也不會想太多
[04:26] 因為畢竟我們就是體罰長大的
[04:28] 每隔80年次以後的各位聽眾
[04:31] 因為我們絕大多數聽眾
[04:31] 30歲以上的
[04:32] 你各位跟我都是被打大的
[04:34] 我們去部隊也是給人家當狗在虐
[04:36] 所以這根本就小case
[04:38] 怎麼拍一下頭
[04:39] 小巴掌一下
[04:40] 對我們來說
[04:41] 我們都看過
[04:42] 那當然我自己是絕對不會用在
[04:44] 我的孩子身上
[04:45] 然後我們現在這一輩子
[04:46] 即便我們可能從小扛了一堆體罰
[04:48] 但是我們也不會對小孩施展暴力
[04:50] 可是我自己算是還蠻能夠接受
[04:53] 就是每個人有自己的一個教育的方式
[04:55] 就是你不管我我也不管你
[04:57] 你要怎麼樣打你小孩
[04:58] 你不要打到說
[04:58] 我看到一個小孩在我面前吐血
[05:00] 那當然一定就會報警介入
[05:02] 可是說什麼稍微弄一下
[05:03] 我想說這個我們從小看到的
[05:05] 那我當然知道
[05:06] 有些正義魔人你也不要跟我吵了
[05:08] 反正你各位就做你自己的事情
[05:09] 我的心態就是覺得說
[05:11] 你要去揭露人家事情可以
[05:12] 可是你不要煩到我
[05:13] 然後變成是你叫警察
[05:15] 你又是外國人
[05:15] 那我就一定要下來
[05:16] 那警察我感覺
[05:17] 他也不想來
[05:18] 就是大家都覺得說
[05:19] 他也是他媽撒小
[05:20] 那對方很明顯就是
[05:21] 他拉不下臉
[05:22] 他覺得他被糾正
[05:23] 他不爽
[05:24] 他就硬要
[05:24] 我說什麼
[05:25] 我們可能有嘴到他
[05:26] 還是怎麼樣
[05:27] 然後他很丟臉
[05:28] 這是一個什麼公然侮辱
[05:29] 或什麼有的沒有的
[05:30] 那我岳母就說
[05:31] 他打小孩
[05:32] 這個是什麼
[05:32] 應該政府單位要記錄
[05:33] 我就覺得說
[05:34] 不知道還是你們兩個
[05:35] 去約旁邊
[05:36] 再去吵一下之類的
[05:38] 就是我不知道
[05:38] 我想要看奧德賽
[05:39] 所以我下來第一個做法
[05:41] 就是我先把我兒子抱走
[05:42] 我覺得說
[05:45] 聽你們吵架
[05:46] 雖然我的兒子是蠻淡定的
[05:49] 他的兒子是還在那邊哭
[05:50] 因為他爸爸很大聲
[05:51] 那我兒子是蠻淡定
[05:52] 可是我就覺得說
[05:53] 就我原本也不知道
[05:54] 幹三小
[05:54] 你怎麼可以讓孩子
[05:55] 在一個充滿這種糾紛的環境
[05:57] 我們小時候很討厭
[05:59] 自己被放到這種糾紛的環境
[06:00] 甚至我到現在
[06:01] 我聽到人家在吵架
[06:02] 我冒我血就會跑上來
[06:03] 那個已經是可能不知道
[06:04] 就是你小時候被老師打
[06:06] 還什麼
[06:06] 你有一些陰影
[06:06] 就是不想聽到那種大小聲
[06:08] 我就立刻把我小孩抱走
[06:09] 然後接著就叫A君下來
[06:10] 就說你把孩子帶走
[06:12] 然後我才回去
[06:12] 那我回去
[06:13] 我老婆就跟我講說
[06:14] 剛才我離開的時候
[06:16] 她又在對我岳母跟我老婆
[06:17] 持續的輸出在那邊噴
[06:19] 我就想說
[06:19] 好那我過去了解一下
[06:20] 發生什麼事情
[06:21] 然後對方就一開始
[06:22] 也對我很大聲
[06:23] 我直接說
[06:23] 你不要在那邊跟我大聲
[06:24] 帶大聲撒小
[06:26] 不要大聲好好講話
[06:27] 我剛想說
[06:28] 我看你應該也是有在工作
[06:30] 明天也要上班
[06:31] 明天禮拜一
[06:32] 那再來
[06:32] 我這邊我待會一個小時
[06:34] 我要去看電影
[06:35] 我老實講
[06:35] 你應該跟我一樣
[06:37] 我們都不想要在這裡
[06:38] 對啊對啊
[06:39] 關我這邊
[06:40] 怎麼樣管你小孩
[06:41] 那我們現在怎麼樣
[06:42] 把這個事情處理掉
[06:43] 如果你真的要去警察局
[06:45] 你要搞
[06:45] 我們也是可以跟你搞
[06:47] 可是我就直接很攤牌跟你講
[06:48] 我不想要跟你搞這個
[06:50] 我沒空跟你搞這個
[06:51] 他就說好那不然這樣
[06:52] 我岳母跟他道歉就可以結束
[06:54] 我又把岳母叫過來說
[06:54] 你趕快跟他道歉
[06:55] 我也懶得去跟他解釋說
[06:57] 什麼地方的文化什麼
[06:58] 我不知道
[06:58] 我現在對於平靜的追求
[07:00] 已經到苛求了
[07:01] 我就覺得我只想要平靜的生活
[07:02] 所以我就跟我岳母講說
[07:04] 你去跟他道歉
[07:04] 你道歉之後
[07:05] 我再跟你講為什麼
[07:06] 那我岳母就不太想道歉
[07:07] 還在那邊跟他講說
[07:08] 你不可以這樣打小孩
[07:09] 我後來直接跟他說
[07:10] 老實講
[07:11] 人家要怎麼樣管小孩
[07:11] 那他家的事情
[07:12] 你自己還不是他媽
[07:13] 有扒過Ricardo
[07:14] 只是你沒有在路上
[07:15] 扒給人家看
[07:16] 反正就跟他講說
[07:17] OK
[07:17] 我剛剛可能口氣不好
[07:19] 然後就結束掉
[07:20] 警察也覺得蠻高興的
[07:21] 大家擅長
[07:21] 然後回去我就跟我義母講
[07:22] 其實老實講
[07:23] 我們沒有辦法去管
[07:24] 世界每個角落發生什麼事情
[07:26] 在現在的當下
[07:27] 一定有很多受虐的兒童
[07:29] 非洲有一堆餓死的
[07:30] 然後再來路上一堆流浪狗
[07:31] 我們已經做我們能夠做的
[07:33] 你看我老婆幾次流浪狗了
[07:35] 我們捐多少錢給這種流浪東
[07:36] 或是小朋友
[07:37] 我們已經做我們能夠做的
[07:38] 可是你不可以把我整個人
[07:40] 抓進去各種drama
[07:41] 我就已經想要遠離各種drama
[07:43] 你還把我抓進去各種drama
[07:44] 後來我就跟我老婆講說
[07:46] 就是以後不能再發案中事
[07:47] 我是剛想
[07:48] 因為我是發自內心的
[07:50] 我知道聽到這裡
[07:51] 可能有些聽眾覺得很冷血
[07:52] 我只能夠說
[07:52] 以前我也是很熱血的人
[07:53] 就是後來你就知道
[07:54] 我就沒有時間了
[07:56] 我怎麼可能再去管這些事情
[07:58] 我已經盡力了
[07:59] 好不好
[07:59] 我已經盡力了
[08:00] 就是你捐出去的錢
[08:01] 你可能可以讓100個人去做這些事情
[08:04] 你不要把我的專注力
[08:06] 也拿到這種事情上
[08:07] 就超沒意義的
[08:08] 而且我就說你介入了又怎麼樣
[08:09] 你要幫他養小孩嗎
[08:10] 人家要怎麼養小孩
[08:11] 他回去會再怎麼打
[08:12] 你也不知道
[08:13] 所以你到底你圖的是什麼
[08:15] 就只是你可能當下覺得說
[08:17] 我好像做一個
[08:18] 不知道就善心或正義的事情
[08:20] 可是不知道
[08:21] 也是要別人來幫你善後
[08:22] 就覺得幹超累
[08:23] 但反正總之去看電影
[08:25] 然後後來是很高興的
[08:26] 然後回家路上
[08:27] 我就在思考這件事情
[08:28] 後來我就悟到了
[08:29] 就是說幸福的人長什麼樣子
[08:32] 幸福的人就是過得非常的無聊
[08:34] 當你今天開始發現說
[08:35] 你過得非常的無聊
[08:37] 代表你是非常幸福的人
[08:38] 代表沒有人把drama丟到你身上
[08:41] 代表你沒有立即需要去做的代辦事項
[08:43] 你沒有可能立即必須去完成的工作
[08:47] 你不去做這件事情的話
[08:48] 你的孩子就會餓到
[08:49] 你沒有任何的壓力
[08:51] 沒有人會要把你傳上法院
[08:53] 或者說叫你去警察局做筆錄
[08:55] 因為你的家人在路上跟他起糾紛
[08:57] 或什麼的
[08:57] 你不用去處理任何的事情
[08:59] 你可以感受到無聊這件事情
[09:01] 你只要在家裡覺得下好無聊
[09:03] 整個下午太陽這樣曬進來
[09:05] 你沒事可以做
[09:06] 你就是非常幸福的人
[09:08] 以前不懂無聊
[09:08] 以前無聊你就會想說要趕快出去
[09:10] 現在你發現說
[09:11] 當你覺得無聊的時候
[09:12] 就是你真正平靜的時刻
[09:14] 所以我後來就覺得
[09:16] 追求心靈上的平靜
[09:17] 對我來講
[09:18] 在這個事件的時候
[09:19] 我算是看得很明白
[09:21] 就是我們可以用我們的資源
[09:23] 在不影響到我們的核心的思維
[09:26] 跟時間的狀況之下
[09:27] 去幫助很多人
[09:29] 這個是沒有問題的
[09:30] 可是你要我把注意力
[09:31] 丟到這些事情上面
[09:32] 去奉獻下去
[09:33] 沒有辦法
[09:33] 所以我非常敬佩
[09:35] 那些社工
[09:36] 或是願意地線下去做的人
[09:38] 當然很多對他們來講
[09:39] 這其實是他們的工作
[09:40] 對我們來講
[09:41] 我們沒有辦法去跨界
[09:43] 去執行這件事情
[09:44] 我們也不是什麼夜魔俠
[09:45] 或是蝙蝠俠
[09:46] 你路見不平
[09:47] 能夠做
[09:48] 就只能夠把你的家庭照顧
[09:50] 然後希望各種drama
[09:51] 就不要找到你身上
[09:52] 然後真的找到你身上
[09:53] 就像那個
[09:53] 媽的要跟我們大小聲
[09:55] 你也知道說
[09:55] 你真的要去修理他
[09:57] 要對付他
[09:57] 還難嗎
[09:58] 你就花錢多找幾個律師嚇嚇他
[10:00] 他也會頭很痛
[10:01] 只是何必呢
[10:03] 就是何必
[10:03] 所以我就覺得
[10:04] 我是直接跟他攤牌說
[10:05] 我想去看電影
[10:05] 我知道你也想回家
[10:06] 我們就沒有必要這樣
[10:07] 他竟然心難接受
[10:09] 他本來還在那邊超大聲超氣的
[10:11] 那後來還接受
[10:12] 那我也懶得去跟他講說什麼
[10:14] 我知道有些人這時候
[10:15] 就可能會想說
[10:15] 你以後不要這樣打小孩
[10:17] 老老講你怎麼樣打起小孩
[10:18] 那你媽你家的事情
[10:19] 真正是你家的事情
[10:20] 我已經是沒空去管那個
[10:22] 所以可能看起來有一點冷血
[10:25] 或者是說
[10:26] 對這個世界失去了一些熱忱
[10:28] 但我覺得就是因為
[10:30] 對這個世界充滿太多的熱忱
[10:33] 沉浸
[10:33] 所以會導致
[10:34] 你知道如果說
[10:36] 你對每件事情都這麼敏感
[10:37] 然後你都必須要去投入行詞
[10:40] 或者是被分心
[10:41] 然後沒有辦法做好
[10:43] 你本來的事情的話
[10:43] 那你就會毀滅
[10:44] 因為你對很多事情
[10:45] 像我自己本身
[10:46] 對蠻多在路上看到的東西
[10:48] 是很敏感的
[10:49] 那我已經花很多年的時間
[10:50] 讓自己不要這麼敏感
[10:52] 讓自己可以學會去忽略一點
[10:54] 生活中的雜訊
[10:55] 跟一些即便有些是
[10:57] 怎麼講
[10:58] 就是找你求救的訊號
[10:59] 那當然你看到真的沒有辦法的
[11:01] 你會出手
[11:02] 可是絕大多數
[11:03] 就是把自己關起來
[11:04] 所以我後來可以去justify自己
[11:06] 為什麼每次
[11:07] 我現在儘可能
[11:08] 我真的是連一些爛資訊
[11:09] 我都要回不回
[11:10] 我都是覺得
[11:11] 不知道就我就不會去找你們
[11:13] 為什麼你們一直要找我
[11:14] 到底在幹嘛
[11:16] 大概就這樣
[11:16] 稍微分享一下自己的心得
[11:17] 好那接下來我們就來進入
[11:18] 上昂的話題
[11:19] 那最近的盤
[11:20] 就算是一個絕世大反彈
[11:22] 從上禮拜五開始
[11:23] 大家也看到臺積電漲停非常誇張
[11:26] 各式各樣的標的都直接從谷底彈上來
[11:29] 我們那時候是跟大家講說
[11:30] 其實現在有蠻多股票進入便宜區
[11:32] 只是才隔沒有幾個交易日
[11:34] 總共大概四個交易日左右
[11:35] 其實有蠻多東西又再一次回到中性的價位
[11:38] 所以減便宜的時間段還真的蠻短的
[11:42] 其實也很難真的就是在所謂的超便宜的時間段
[11:45] 減到很多的便宜
[11:46] 因為以我自己來講
[11:48] 我身邊的蠻多朋友
[11:49] 在下跌的過程之中
[11:50] 其實你就已經有適合去抄底
[11:52] 就是你不太可能一定全部東西都買在最低點
[11:55] 那是一個不切實際的東西
[11:57] 那一個微笑曲線是比較合理的
[11:59] 就是你可能買一些東西就立刻被套
[12:01] 然後接著你會有一單可能就是不小心買在谷底
[12:04] 然後接著上來的一兩單可能是買在鎖了一兩根漲停之後
[12:07] 但是平均下來反正你的成本就是可能會在無日線左右
[12:11] 那已經算是很OK的一個情形了
[12:13] 那現在這個盤談到這個位置就差不多是進入一個
[12:17] 我們會去期待說有可能有壓力要出現的地方
[12:20] 但是不代表說這個地方就一定會像
[12:23] 可能很多人想象的
[12:24] 後面一定有第二隻腳
[12:25] 你要知道其實從我們的節目開錄以來應該這樣說我覺得在2020以前就是我們節目開錄以前其實真的蠻常看到WD這種東西所以WD就是說他先中殺
[12:37] 然後接著反彈摸到一些壓力之後
[12:39] 再中殺一次
[12:40] 然後可能沒有破前提
[12:41] 或者說小破前提一點點立刻拉起來
[12:44] 這就是以前我們把它俗稱為WD
[12:46] 那種很典型的底部出現的一種訊號
[12:49] 只是我覺得在2020以後
[12:51] 好像整個盤面都有一種加速的感覺
[12:54] 就是各位在做交易的
[12:55] 這邊應該心有其情
[12:56] 就是很多時候
[12:57] A轉就直接一坡下去
[12:59] 然後V轉就直接一坡上去
[13:01] 就是你去期待第二隻腳
[13:02] 其實第二隻腳不一定會出現
[13:04] 或是它會出現的very subtle
[13:06] 就是很小
[13:07] 那個訊號很小
[13:08] 有點類似說在關稅那一波
[13:10] 他先狂灌
[13:12] 然後接著彈起來之後
[13:13] 有再下去個兩三根
[13:15] 可是那兩三根其實就小小的
[13:17] 然後接著車子又開走了
[13:18] 然後印象很深刻
[13:19] 那兩三根身邊有蠻多人跑去空
[13:21] 就覺得說這邊還要再繼續下去
[13:22] 然後接著就直接嘎成狗
[13:24] 然後後來才認輸再轉多
[13:25] 那我覺得現在的盤面
[13:27] 其實跟就是2020到現在
[13:29] 蠻多案例是蠻類似的
[13:31] 所以我自己不會太期待
[13:33] 就是可能一定會有第二隻腳的產生
[13:35] 但是我覺得估值修復
[13:36] 是需要一些時間
[13:37] 特別是那些動輒疊掉
[13:39] 50% 60%的東西
[13:40] 它應該是很難直接這樣
[13:42] 一路V就V到底
[13:43] 但是超疊區就是很快就被收復回來
[13:46] 所以過去的四個交易率
[13:48] 大家應該就有感的感受到
[13:49] 你一定心中想說
[13:50] 如果買在最低點
[13:50] 我可能四個交易率
[13:51] 我就賺什麼30% 40%
[13:53] 但不要去想這種事情
[13:53] 沒有意義
[13:54] 這沒有意義
[13:55] 這有點像是說
[13:55] 如果我知道說
[13:56] 今天樂透開幾號
[13:57] 那我昨天就買幾號
[13:58] 就你講這個
[13:58] 就跟講廢話一樣
[13:59] 所以重點就是
[14:00] 持續的待在場上
[14:02] 然後持續的去找尋機會
[14:04] 那像我自己這一波呢
[14:05] 我心中想的是這樣
[14:06] 我覺得這邊就是一個
[14:07] 關鍵的轉折
[14:08] 因為指數也在一次的
[14:09] 帶上去了
[14:09] 那中小可能蠻多
[14:11] 來到了壓力的位置
[14:12] 所以就是說下好離手
[14:13] 這邊到底是要壓中小
[14:14] 還是壓指數
[14:15] 那其實按照我自己的做法
[14:16] 我還是覺得中小
[14:17] 便宜的東西蠻多
[14:18] 我應該會想要去壓中小
[14:19] 但是問題就是在
[14:20] 因為接下來開始要帶孩子出去玩
[14:22] 所以跟生活也是有關係
[14:24] 就是不想要有太多的壓力
[14:26] 然後覺得說還是要參與到行情
[14:27] 所以就繼續趴在指數里面
[14:29] 然後等看後面再怎麼樣做
[14:31] 這一波大概是目前已經收復到了
[14:33] 今天算是負大概16到17%左右
[14:36] 最深的時候是將近快三成
[14:38] 所以這樣的一個反彈
[14:40] 對我來講是蠻補的
[14:41] 就真的有收復了蠻多師徒
[14:43] 自己身邊有些稍微小資一點的
[14:46] 他們在今天都創新高了
[14:48] 可是我也不會去羨慕人家
[14:49] 因為他們的資金是很彈性的
[14:51] 他們每隻標的都是可以說砍就砍的
[14:53] 他也不會影響到自己
[14:54] 他也不會說殺下去
[14:56] 可能就會砍到自己的部位之類的
[14:58] 這些人就是蠻幸運的
[14:59] 如果說像這波上來就光通非常快
[15:01] 有搭到的話
[15:02] 那就是直接就新高了
[15:03] 只是像我們自己沒辦法
[15:04] 或是身邊
[15:05] 其實我覺得大概就是可能
[15:06] 幾千萬以上到億的
[15:08] 就很難去在短期內就立刻的
[15:11] 就見到新高
[15:12] 所以不用給自己太大的壓力
[15:13] 反正就是像我自己會希望說
[15:15] 在7月我們是花一個月的時間
[15:16] 然後疊掉大概兩三成的淨值
[15:18] 那會希望說
[15:19] 那之後就是可能
[15:20] 兩個月三個月時間可不可以
[15:21] 那我們再一次回到新高
[15:22] 那今年底用新高去做收
[15:24] 那就是一個完美的劇本
[15:25] 那總之現在稍微回頭看
[15:27] 大家應該就可以感受到
[15:28] 完全是不一樣的感覺
[15:29] 然後在前面
[15:30] 可能你在講基本面的時候
[15:31] 大家想說這個基本面
[15:32] 整碗臭掉
[15:33] 可以拿去丟掉
[15:34] 那現在就發現說
[15:35] 基本面還是有點料
[15:36] 當一些東西可能掉到
[15:38] 相對便宜的估值
[15:39] 雖然當下你看
[15:40] 你會覺得很不可思議
[15:41] 怎麼還可以再繼續殺
[15:42] 可是當他去做估值修復的時候
[15:44] 其實速度是超級快的
[15:45] 它可能就是在
[15:46] 你根本來不及反應的時間
[15:47] 甚至是好幾根漲停
[15:48] 直接鎖上去
[15:49] 你也沒有機會再買回來
[15:50] 那個最低點
[15:51] 可能就這樣過掉了
[15:53] 我自己就會像前面講的
[15:54] 我不會太期待說
[15:55] 一定會有第二隻腳的產生
[15:57] 或者說去蹲第二隻腳
[15:58] 什麼下線賣掉
[15:59] 然後接著等第二隻腳打出來
[16:01] 再做的
[16:01] 我不會做這種事情
[16:02] 我只會覺得說
[16:03] 這邊可能就是一個
[16:04] 類似那種打遊戲的
[16:05] 關鍵選擇點
[16:06] 就是你是要往中大型去
[16:08] 還是你要往中小去
[16:09] 可能就會影響到
[16:11] 後面的績效蠻大的一部分
[16:12] 當然最好的狀態
[16:13] 就是全部東西都噴
[16:14] 一般這邊會稍微的
[16:16] 要去做一個選擇
[16:17] 就是你哪個東西要配比
[16:19] 稍微的多一點
[16:20] 我們這邊就盤試
[16:21] 大概跟大家聊一下之後
[16:22] 我們就來看
[16:23] 最近市場上的一些話題
[16:24] 只是我覺得
[16:26] 因為前面有蠻多的
[16:27] 修正的產生
[16:28] 而且算是跌掉很多
[16:30] 所以一些可能在市場上
[16:31] 算是比較負面的訊息
[16:33] 也因為說前面已經跌過了
[16:35] 所以我認為說
[16:36] 它不一定會去反映
[16:37] 這個負面的訊息
[16:38] 因為已經跌過
[16:39] 就算是有交代過了
[16:41] 那再稍微的跟大家聊一下
[16:42] 那第一個就是最近市場上
[16:43] 有在傳說HBM降軌的事情
[16:45] 那這個事情呢
[16:46] 在我們考察之後證實為真
[16:48] 就是不只是在這個回答這邊
[16:50] 你會注意到說
[16:51] 他本來用12H的東西
[16:52] 然後可能回去用8H
[16:53] 那在其他的AC這邊
[16:54] 也是有一樣的狀態
[16:56] 就是說那個HBM呢
[16:57] 他們是用堆疊的方式嘛
[16:59] 8H 12H 8層12層這樣
[17:00] 那理論上的層數越多
[17:02] 容量越大
[17:03] KVC越大
[17:04] 可能在現在的AI的推論環境裡面
[17:07] 就是會是一個更好的解方
[17:08] 可是呢
[17:09] 當你今天疊的層數越高
[17:10] 也代表說你的良率會越低
[17:12] 也代表說你的成本可能會越高
[17:13] 所以在我們看來
[17:15] 雖然現在有一些言調
[17:16] 放這個訊息出來
[17:17] 感覺他是偏向
[17:18] 有一點利空的方式去解釋
[17:21] 就是他沒有去做規格提升
[17:23] 但是在我們看來
[17:24] 這個東西其實不太會影響到
[17:26] 長線的一個big picture
[17:28] 然後他比較偏向說
[17:29] 就是一個成本考量的舉措
[17:31] 但完全可以想象
[17:32] 就如果今天是在
[17:33] 可能盤整區的話
[17:35] 出這樣的訊息
[17:35] 就會先跌一波
[17:36] 但是我就覺得
[17:37] 因為前面其實已經
[17:38] 相當程度的反映了很多事情
[17:40] 即便他可能最主要是因為
[17:42] 槓桿仔爆倉所殺出來的一個地點
[17:44] 但有跌過的標的
[17:46] 一般來講我們對於他的利空
[17:47] 會比較稍微的寬鬆的去解釋
[17:50] 或者說這個東西
[17:51] 他本來算是一個那種中性的訊息
[17:53] 以前你會用
[17:54] 因為你知道有些人會被嚇到
[17:55] 他亂砍
[17:56] 所以會偏空去砍
[17:57] 可是現在你會覺得說
[17:58] 反正有跌過應該就還好
[17:59] 總之這個東西在後面
[18:01] 應該會大量的見報
[18:02] 其實已經有越來越多人在討論了
[18:04] 在我們這邊考察
[18:05] 維珍就是說在ASIC
[18:06] 然後跟在GPGPU的陣營
[18:08] 都有注意到
[18:09] HBM會在一些代數上
[18:11] 然後它會有降規的一個情形產生
[18:13] 但這個東西不影響長線的一個規劃
[18:16] 就是怎麼樣
[18:16] 它可能就是暫時因為過於的缺貨
[18:19] 因為成本的考量去做這樣的調整
[18:21] 可是等到後來
[18:22] 他們終究就是還是會去往
[18:24] 規格提升的那個方向去走
[18:25] 只是在短線上
[18:26] 就類似前面關於800VDC的一個討論
[18:29] 說地鹽
[18:30] 可是重點就是你還是要用
[18:31] 所以像最近臺達電或者說光寶出來講
[18:34] 基本上他們的說法
[18:35] 你就不會去質疑說800V這個東西
[18:37] 不會出現
[18:38] 他就只是可能現在中繼先用400V
[18:41] 那400V有可能會比本來想象的
[18:43] 就是他多活久一點
[18:45] 他那個life cycle可能稍微長一點
[18:46] 那終究你會往800V
[18:48] 而且已經有客戶在切在島
[18:49] 所以你就會對於這種市場上的一些
[18:51] 突然丟出來的訊息
[18:52] 就比較不會這麼的敏感
[18:54] 要知道說
[18:55] 因為太多人在過去
[18:57] 是trade一些RD的project
[18:58] 一個產品他還沒有實際的問世
[19:00] 然後大家把預期堆到很高
[19:02] 但在這一波殺槓桿之後
[19:04] 我會認為說
[19:04] 像這樣子的訊息
