[00:00] 歡迎收聽骨癌,我是聖夢宮,本集節目由iHerb贊助
[02:06] 金絲眼鏡細框的
[02:08] 那我姐就說你可以戴看看
[02:09] 我覺得說蠻特別
[02:10] 就試看看
[02:11] 然後之後在班上
[02:12] 大概被笑了一個學期
[02:13] 那後來就大家都在戴粗獷眼鏡
[02:15] 那當然不是講說
[02:16] 我走在時代的前端
[02:17] 我根本什麼都不知道
[02:18] 是我姐家有配的
[02:18] 那當然意思是說
[02:19] 就是很多人不知道
[02:20] 他不知道他就會先取笑你
[02:21] 或者說會直接去否定掉
[02:24] 但他不知道這個東西
[02:24] 你用下去之後
[02:25] 其實會改變你的生活
[02:26] 或者說他可能後面
[02:27] 會變成這種流行之類的
[02:28] 那我這邊就是建議大家都
[02:30] 最好要去買一個抗躁耳機
[02:32] 要擁抱新科技
[02:33] 那特別是新科技已經成熟到
[02:35] 它現在變得非常的便宜
[02:37] 它已經是飛入尋常百姓家
[02:41] 買到一副很不錯的抗躁耳機
[02:43] 那抗躁耳機
[02:44] 甚至應該成為一下的出門套裝
[02:46] 我們的出門套裝
[02:47] 手機鑰匙錢包
[02:48] 就每個男生應該都知道
[02:49] 那鑰匙跟錢包加不一定
[02:51] 因為很多人家裡是指紋辨識
[02:54] 或是人領辨識
[02:55] 那錢包的話
[02:55] 很多人是電子支付
[02:56] 所以你空間其實變多了
[02:58] 那你可以帶什麼
[02:59] 就帶一個抗躁耳機
[02:59] 你帶一個抗躁耳機
[03:01] 其實你就解決了絕大多數
[03:02] 就是我目前看到
[03:03] 大家在網路上
[03:04] 在社群上會有的紛爭
[03:06] 就是大家覺得可能別人太吵
[03:07] 甚至你覺得別人很吵
[03:10] 然後你出來去幹剿別人
[03:11] 別人也覺得你很吵
[03:12] 所以大家都只在互相傷害
[03:13] 你就想象如果今天有一臺列車
[03:15] 每個人都戴了抗躁耳機
[03:16] 我跟你講那是一個非常和諧
[03:18] 非常美好的畫面
[03:19] 就大家都不會有什麼糾紛
[03:21] 小朋友因為他也不能夠戴抗躁耳機
[03:23] 所以他們自己哭他們自己的
[03:24] 然後大家也都聽不到
[03:25] 真的每個人都因此會變成是好朋友
[03:27] 所以它只是一個簡單的小裝置
[03:30] 它就可以改變每個人的生活
[03:31] 所以我真的是覺得像航空公司
[03:33] 目前是只有在一些商務場
[03:35] 知道我自己的經驗
[03:36] 商務艙它會有抗造耳機
[03:37] 可是後面的經濟艙
[03:39] 可能就不一定有這樣子的東西
[03:40] 甚至就是說
[03:41] 每個人都應該要配一個抗造耳機
[03:43] 我覺得它整體的體驗一定會變好
[03:46] 然後這開銷對航空公司來講
[03:48] 也不是特別大
[03:49] 如果這樣做下去之後
[03:50] 我覺得應該是一個
[03:51] 皆大歡喜的局面
[03:52] 不然很多時候你在網上會看到
[03:53] 就大家去搭什麼公共運輸
[03:55] 或者說在那種大眾空間裡面
[03:57] 然後就會覺得說
[03:58] 別人很吵
[03:59] 然後接著可能不敢去跟人家講
[04:02] 或者說也知道講的是理虧
[04:03] 因為這就是公共場合
[04:04] 不然你要怎麼樣
[04:05] 那所以就怎樣
[04:06] 就要露營去公審人家
[04:08] 那這種露營公審的
[04:09] 一般都是一時爽而已
[04:10] 就是你自己覺得很爽
[04:11] 可是你露營露人家
[04:12] 第一個人家可以來告你
[04:13] 然後第二個是
[04:14] 像今天我就看到說
[04:15] 在飛機上去露那種
[04:17] 什麼小朋友很吵
[04:18] 不就還好沒有露到人家臉
[04:19] 因為那不是在臺灣
[04:20] 那在國外
[04:20] 或者說在
[04:21] 非本國籍的飛機上面
[04:23] 你知道你去針對小朋友
[04:25] 像很多那種
[04:26] 網路驗同仔做的事情
[04:27] 你去對小朋友做
[04:28] 你去國外試看看
[04:29] 你去攻擊人家小朋友試看看
[04:31] 去錄人家小朋友臉試看看
[04:32] 你就被請下飛機
[04:33] 你可能就被抓去警察局
[04:34] 所以不知道
[04:35] 就我覺得臺灣
[04:37] 是一個蠻自由的地方
[04:38] 所以很多人有時候
[04:38] 會搞不太清楚的狀況
[04:39] 就是有時候可能不知道
[04:40] 看到一些黑人直播組
[04:41] 也直接去放一堆racial slur
[04:43] 去講人家
[04:44] 你知道那個在國外
[04:46] 是不可以這樣講的
[04:47] 或者說在臺灣
[04:48] 就是說我覺得什麼
[04:49] 納粹的衣服很好看
[04:50] 我支援納粹
[04:51] 我覺得臺灣有超多
[04:52] 這種很屌的人
[04:53] 就真的是一個
[04:54] 很自由的島嶼
[04:55] 那是一個好處
[04:56] 然後當然也是有壞處
[04:57] 就是有這些快樂寶貝的產生
[04:58] 所以他們忘記
[05:00] 這個不是在臺灣
[05:01] 他們忘記這個不是在網路上
[05:04] 這個是現實世界
[05:05] 所以很多事情你不能做
[05:06] 你做了一時爽
[05:07] 可是後面都有代價
[05:08] 然後都有代價
[05:09] 那要怎麼樣避免這些東西呢
[05:10] 你帶一個抗躁耳機就結束了
[05:12] 所以我真的是在這邊
[05:13] 誠摯的建議大家
[05:15] 然後大家要再告訴大家
[05:16] 抗躁耳機是現代人必備的東西
[05:19] 它的一個重要程度
[05:21] 甚至不亞於你的身份證跟健保卡
[05:23] 如果說你今天有帶著抗躁耳機
[05:25] 但你不要在路上帶
[05:26] 可能就是不知道
[05:27] 走路走一走被車撞死之類的
[05:29] 你根本聽不到人家按你喇叭之類的
[05:31] 但你如果有戴著抗躁耳機
[05:32] 你在需要安靜的時候
[05:34] 或者說你覺得自己心理壓力很大的時候
[05:35] 你把它銬出來
[05:36] 你會注意到就是一片祥和
[05:37] 就是所有的煩惱都不見了
[05:39] 你也不用說去po網去幹剿人家
[05:42] 然後去惹民怨
[05:43] 然後接著還要給人家找出來
[05:44] 說你在哪邊上班
[05:45] 然後可能被人家抵制
[05:46] 你所有的麻煩都不見了
[05:48] 就是你沒有必要去何處惹塵
[05:50] 你幹嘛去惹事情呢
[05:52] 就一片風平浪靜
[05:53] 因為你的心理壓力可能承受不住
[05:55] 我也可以理解
[05:56] 他們可能真的心理壓力很大
[05:57] 所以他聽到他就是受不了
[05:58] 但你做的事情都有代價
[06:00] 如果你今天帶一個抗躁耳機
[06:01] 其實這些問題就解決了
[06:03] 真的就是這麼簡單
[06:03] 就我看一下
[06:04] 我真的覺得說
[06:04] 每個人如果都有抗躁耳機的話
[06:06] 這些問題就解決了
[06:07] 當然有時候我也不免得去思考
[06:09] 為什麼現代人的生活壓力會這麼大
[06:12] 我們今天如果退一萬步來講的話
[06:14] 我們的生活去比我們的父子倍
[06:16] 像我爸就會跟我分享
[06:17] 他小時候的生活
[06:18] 什麼天還沒有亮
[06:19] 就要被叫到田裡面去
[06:20] 會中牛
[06:21] 我爸的工作就中牛
[06:23] 就是他去僱這個牛
[06:24] 要幫忙港舔
[06:26] 要耕田
[06:26] 雖然我爸都會講說
[06:27] 要做很多
[06:28] 可是他兄弟姐妹
[06:29] 都說是吐槽說
[06:30] 他年紀最小
[06:31] 他都坐在牛上面
[06:32] 他都還可以去上學
[06:33] 衣服都穿最好
[06:34] 然後我爸就說
[06:35] 你亂講
[06:36] 我就說他們在亂講
[06:36] 我明明也做很多事情
[06:38] 反正總之就是
[06:38] 你知道他們以前生活
[06:40] 是沒有這麼好
[06:41] 在他們的爸爸
[06:43] 又過得更糟糕
[06:44] 所以其實我們現在
[06:45] 每個人過的生活
[06:46] 甚至有時候在想說
[06:47] 會不會其實我們現在
[06:48] 一個不知道
[06:49] 那種中位數收入的人
[06:50] 他過得就比以前皇帝好
[06:52] 某個層面上
[06:53] 當然皇帝可能可以睡很多人
[06:54] 你沒有辦法睡很多人
[06:56] 也不一定
[06:56] 你付錢搞不好可以
[06:57] 但我意思是說
[06:58] 皇帝有他的一些
[06:59] 感覺是特權的東西
[07:00] 還是難以被取代掉
[07:02] 可是他要去吃到各種三正海味
[07:04] 或者說各種那種異國料理
[07:07] 對他來講
[07:07] 不曉得就以前只有那種
[07:08] 王侯醬像可以做到
[07:09] 可是現在每個人都可以輕鬆的
[07:11] 你走進去三井奧內
[07:12] 那就是異國料理或什麼的
[07:13] 你想要出國的話
[07:15] 以前要出國是超級麻煩
[07:16] 現在就是不知道
[07:17] 每個人都可以去搭什麼臺灣虎航
[07:19] 就直接就飛出去又便宜
[07:20] 所以怎麼說
[07:21] 就是每個人生活理論上是變好
[07:23] 就是比以前好很多
[07:25] 可是為什麼每個人是
[07:26] 生活壓力是很大
[07:28] 那當然這個有時候
[07:28] 我也會問我自己
[07:29] 因為我覺得我自己相較於
[07:31] 可能五年前十年前
[07:33] 我的生活也是改善非常多
[07:34] 可是你說我們因為這樣子
[07:36] 過得比較開心
[07:37] 好像也沒有
[07:38] 所以我其實在思考說
[07:40] 這個東西可能不一定跟物質有關
[07:42] 它其實都是一個
[07:43] 可能是來自於心理
[07:45] 所產生的某種疾病
[07:46] 就是可能是比較
[07:47] 我覺得比較是一個主因
[07:48] 那再來有些人可能會想說
[07:49] 這種環境噩夢
[07:50] 直接受影響
[07:51] 也是有可能
[07:52] 但我自己覺得
[07:53] 可能比較是
[07:53] 最主要的一個主因
[07:54] 因為當你的生活變好
[07:56] 可是可能有人過得
[07:57] 比你更好
[07:58] 當你今天投資報酬率
[07:59] 是50%
[08:00] 你覺得我已經
[08:00] 跟他媽跟鬼一樣
[08:01] 可是有人買一個
[08:03] 像之前什麼
[08:03] Oracle的扣
[08:04] 靠北
[08:05] 他一天就100倍之類的
[08:07] 不知道他怎麼搞
[08:08] 不知道怎麼樣
[08:08] 交叉去幹
[08:09] 反正就是有聽到說
[08:10] 有人直接一波
[08:11] 就他媽搞了100倍
[08:12] 那個數字就是
[08:14] 讓你覺得說
[08:15] 我到底在幹嘛
[08:16] 我是不是一個廢物
[08:16] 人家一天賺這樣的錢
[08:18] 我他媽不知道賺幾年
[08:18] 所以你就想
[08:19] 你明明是賺錢的
[08:20] 可是就因為你看的一個
[08:22] 超會賺錢的人
[08:23] 然後這個人可能跟你
[08:24] 一點交集都沒有
[08:25] 他只是你聽來的
[08:26] 他這輩子也不會遇到你
[08:28] 然後他也不會因為說
[08:29] 他賺了這些錢之後
[08:31] 他來跟你搶
[08:32] 一樣的限量公雜
[08:33] 所以嚴格上來說
[08:34] 就是他的變富
[08:36] 跟你是一點關係都沒有的
[08:38] 可是你卻因為他的變富
[08:40] 而感覺到你過得很難過
[08:41] 所以我覺得
[08:42] 可能因為這樣子
[08:43] 就是下社群發達
[08:44] 所以一則一喜一則一憂
[08:46] 喜的部分
[08:47] 就是如果你會用的話
[08:48] 有時候這個社群
[08:49] 真的是蠻不錯的
[08:50] 很抒壓的一個地方
[08:51] 可是如果是憂的話
[08:52] 就是你可能會
[08:53] 看到別人的生活
[08:54] 如果說就是那種愛比較的
[08:56] 你就會想說
[08:57] 我這個月帶老婆小孩出去
[08:59] 可是人家做的倉等比我好
[09:02] 人家住的地方比我更好
[09:03] 所以你明明就是一個
[09:04] 大喜的事情
[09:05] 可是卻因為你看了別人之後
[09:07] 你就覺得說
[09:07] 乾媽的
[09:08] 我這個好像很爛
[09:09] 所以就覺得
[09:10] 心情受到很大的影響
[09:11] 所以大家自己要
[09:12] 稍微注意
[09:13] 就是一些那種
[09:14] 社群上的
[09:15] 比較什麼的
[09:16] 要儘量把它降低
[09:17] 如果發現說自己就是沒有辦法
[09:19] 去克服這件事的話
[09:20] 那就儘量少滑一點
[09:21] 因為滑多之後
[09:22] 我真的覺得
[09:23] 就我現在看到很多在社群上面發病的
[09:25] 他們可能是社群的受害者
[09:27] 就是他可能是在網上看一堆這種東西
[09:29] 然後他的心理就生病了
[09:31] 所以就會整天跑出來去做一些很奇怪的事情
[09:33] 然後一時爽
[09:34] 就是你可能當下講出來
[09:35] 你覺得說過癮
[09:36] 然後還有一些網友甚至支援你有什麼的
[09:38] 可是很多時候都這樣
[09:39] 網友幫你按個贊或什麼的
[09:40] 他們也只是想要看你笑話
[09:41] 然後一段時間之後
[09:42] 大家又神出來
[09:43] 你在那裡工作
[09:44] 你在那邊高就
[09:45] 就跟你老闆講
[09:46] 搞不定就掉工作什麼的
[09:47] 所以就覺得說
[09:48] 其實有蠻多東西是可以避免的
[09:50] 然後就自己要好好的抓好
[09:52] 跟這些社群平臺
[09:53] 然後跟自己可以發表意見
[09:55] 到什麼樣程度的一個界限
[09:56] 這個其實像我自己也都還在磨練
[09:59] 就有時候想講的話太多
[10:00] 但也不是每個東西都可以講
[10:01] 有些東西就知道說
[10:02] 講出來就是出事情
[10:03] 那有些東西就應該
[10:04] 放在自己心裡面去消化
[10:06] 不是所有東西都是說什麼
[10:07] 我就是想要這樣幹
[10:08] 為什麼不行
[10:08] 你不喜歡你就離開
[10:10] 這個也不是一個這種無敵之術
[10:12] 在這個時代
[10:13] 就是你當然可以選擇
[10:14] 在絕大多數的時間裡
[10:16] 你都是跟自己相處
[10:17] 你不去跟人家互動
[10:18] 可是你總是有
[10:18] 要去跟人家互動的時候
[10:19] 所以就留點名聲
[10:21] 在外面給人家探聽
[10:22] 這個也是蠻重要的
[10:24] 總之在這邊
[10:25] 就是再一次的推薦大家
[10:26] 一定要先去買一個抗躁耳機
[10:27] 買了之後
[10:27] 就會解決絕大多數的問題
[10:29] 以後看到網路上
[10:29] 在那邊發表一些
[10:30] 因為噪音而起的糾紛
[10:32] 大家會在下面講說
[10:33] 你去買一副抗躁耳機
[10:34] 其實買一副抗躁耳機
[10:35] 你真的就解決
[10:36] 絕大多數的問題
[10:37] 大概是這樣
[10:37] 好那接下來我們來進入節目的話題
[10:39] 那這個禮拜這個裝置股相關的東西就直接動起來
[10:43] 所以最近的運勢好像又開始回來了
[10:45] 就是想要買的東西拿到靠下去
[10:48] 接著就立刻動
[10:49] 所以這個也算是蠻幸運的一環
[10:51] 那像裝置股開始動起來之後呢
[10:53] 當然這個討論就變得很多了
[10:55] 所以像我們過去已經跟大家聊過數次的這個EMIB
[10:58] EMIB封裝
[10:59] 在網上也看到人家在寫
[11:00] 那我是不知道為什麼會有這樣一些相關的討論跑出來
[11:04] 有些人貼給我說
[11:05] 你是不是有可能講錯
[11:06] 這個EMIP封裝是不可以用HBM的
[11:08] 我不知道他們怎麼會有這樣的一個理解
[11:10] 這個你其實上Intel官網
[11:12] 他直接跟你講那個EMIB-T
[11:14] 那個就是有TSV轉孔
[11:16] 就是可以去使用HBM
[11:17] 所以在我們的理解裡面
[11:19] 本來就是可以去使用HBM
[11:20] 只是不知道為什麼在網路上很多人講說
[11:22] 怎麼可能這些伺服器等級的AI晶片
[11:26] 他們都是要使用HBM
[11:27] 所以他不可以用EMIP
[11:28] 沒有他們是可以用EMIP
[11:30] 那確實在Intel的EMIP這邊
[11:32] 也已經拿到一些訂單
[11:33] 所以有時候我們講的一些東西
[11:35] 會看起來像是說
[11:36] 有人去做反擊或什麼
[11:38] 那其實我們並不是一個
[11:39] 在這方面自尊很高
[11:40] 要出來跟大家吵架
[11:41] 因為如果真的不是這樣
[11:43] 我也希望你趕快糾正我
[11:44] 因為我們是來賺錢的
[11:45] 所以我如果買錯東西
[11:46] 我可以趕快做修正
[11:47] 只是買錯東西
[11:48] 其實會發現說是
[11:49] 大家的功課是沒有做足
[11:51] 因為我們這邊有一個好處就是
[11:52] 我講的東西都會直接傳到
[11:55] 各行各業的大眾的耳朵裡面
[11:56] 因為我們已經不是一個那種小眾
[11:58] 然後只有那種股票仔
[11:59] 狂靠股票的人會聽
[12:00] 我們是各行各業的人都會聽
[12:02] 所以像一些東西
[12:03] 跟大家聊完之後
[12:04] 其實如果有錯的話
[12:05] 都會立刻的
[12:06] 獲得一些糾正
[12:08] 或是修正
[12:08] 所以基本上
[12:09] 我們還是儘量去呈現
[12:10] 所謂的正確的東西
[12:12] 但老實講
[12:12] 有些東西
[12:13] 所謂的正確也不一定
[12:14] 因為你現在看是正確
[12:16] 可是後面改個設計
[12:17] 或怎麼樣
[12:17] 它就變成是一個
[12:18] 不正確的東西
[12:19] 可是當下
[12:19] 你其實沒有任何的惡意
[12:20] 你分享的就是你
[12:21] 當下所可以獲得
[12:23] 最好的一個情報
[12:24] 只是這些東西
[12:24] 都是可能會
[12:25] 隨著一些
[12:26] 像是路線的選擇
[12:28] 或是說
[12:29] 可能在開發的路上
[12:30] 遇到一些障礙有些料可能驗不過
[12:33] 那他都是有可能會去做改變
[12:35] 就大概在半年一年前我跟大家聊到說
[12:37] Invidia可能會去使用PTFE材料作為他的背板去做使用
[12:40] 就他那個Meatplane有可能用這個東西那只是後來就跟大家講說這個東西可能不一定會這樣做可是SurpriseMotorfucker在近期他們又有可能會再去採用PTFE材料那當然如果你要去講說細部的detail的話
[12:53] 那個是有點太複雜
[12:54] 或甚至是人家也會講說
[12:55] 你怎麼知道會這樣子用
[12:57] 可是就是有些人都會在產業上
[12:59] 有一些比較領先的資訊
[13:00] 簡單講是這樣子
[13:01] 所以可能在過去討論的時候
[13:03] 大家都在講說
[13:04] 就是臺光電的同步機板
[13:06] 然後再搭配可能像是Cube這樣的一個材料
[13:09] 是NVIDIA在下一代的一個選擇
[13:11] 那只是近期呢
[13:12] 當然這個可能就是比較平常是在中系業者這邊
[13:14] 就是盛宏
[13:15] 那盛宏可能就是有機會會想要去採用PTFE材料去做使用
[13:20] 那我們過去在聊PTFE材料的時候會聊到說
[13:23] 像在中國就是生意嘛
[13:24] 然後在美國就是ROG嘛
[13:26] 那隻沒有想到說
[13:27] 他可能沒有要用生意的東西
[13:29] 因為盛宏跟生意可能某個程度上是一種競爭關係
[13:32] 所以他可能就要想要用臺系業者的一個料
[13:35] 那這個其實就是在當下是不一定可以看得到的一個結果
[13:39] 因為那個是在過程之中
[13:40] 他可能在驗證上
[13:42] 在原本想要使用的材料上
[13:43] 有一點點卡關
[13:44] 或是有可能有遇到一些狀況
[13:46] 或是有可能想要去思考說
[13:47] 有沒有一個更好的選項
[13:49] 那所以才把本來
[13:51] 視為是冷凍的這些東西
[13:52] 拿出來去做解凍
[13:54] 去做一個嘗試
[13:56] 那亦或是像前面有聊到
[13:57] Cordelia上面的一些Socket
[13:59] 那它可能會影響到廠商
[14:01] 像是臺灣的佳澤
[14:02] 那像今天又有聽到
[14:03] 產業上的朋友就跟我分享說
[14:05] 就有可能在後面那個SoulCam
[14:07] 又會再去使用佳澤的東西
[14:08] 但這個東西對他來講
[14:09] 他的營收會說
[14:10] 在佔比的部分都不是太高
[14:12] 但這個也是一個例子
[14:13] 就是有可能前面是這樣子
[14:14] 那可能後面又再改
[14:15] 那又再改回去
[14:16] 所以這個都是不一定的
[14:19] 但反正總之
[14:19] 我們在市場裡面的做法
[14:20] 就是我們會隨時的去
[14:22] 滾動式的修正
[14:23] 因為其實很多東西都會做變化
[14:26] 那又或是再舉一個
[14:27] 更稍微久一點的例子
[14:29] 就是在2021年的年底的時候
[14:30] 其實那時候是這樣子
[14:31] 因為塞港缺貨的關係
[14:33] 所以可能大家都是
[14:35] 儘可能的去囤更多的庫存
[14:38] 或者說去囤一些
[14:39] 比較容易取得的料
[14:41] 然後等到一些
[14:42] 比較不容易取得的料
[14:43] 可以進倉庫之後
[14:44] 他們就可以去拼出
[14:45] 他們的成品
[14:46] 所以當時有一個說法
[14:47] 講說就是
[14:48] 如果你的庫存越高
[14:49] 其實是越勝利的
[14:50] 那它確實是成立了一陣子
[14:52] 那之後還就是說
[14:53] 因為行情的反轉
[14:54] 然後大家開始出現一些砍單
[14:56] 所以就變成說
[14:56] 你庫存越高的
[14:57] 那就是BBQ越久
[14:58] 那後面就要去庫存越久
[15:00] 所以這邊也稍微跟大家講一下
[15:01] 就是有些東西
[15:02] 會去在過程中
[15:03] 有一些變換變動
[15:05] 那個都是很正常
[15:06] 亦或是像我們可能
[15:07] 過去幾集有跟大家聊到
[15:09] 因為最主要也是我們注意到
[15:10] 美國的封裝跟測試相關的股票
[15:12] 有動起來
[15:13] 那所以去做了一些
[15:15] 產業的剖析跟考究
[15:16] 然後就有發現說
[15:17] 因為在COWAS這邊
[15:19] 它可能不一定要去
[15:20] 擴這麼大的一個產能
[15:21] 所以有蠻多東西
[15:21] 就放到OSET這邊去做處理
[15:23] 可是像這個東西
[15:24] 也有可能在
[15:25] 就像說TSM突然間
[15:26] 莫名其妙的跟你講說
[15:27] 我可以去加大很多COWAS的產能
[15:30] 那就會導致這個論述
[15:31] 就會去做修正
[15:33] 因為像大家去投射的
[15:34] 可能是直接去抓
[15:36] 這邊的demand
[15:37] 然後去套臺積電這邊
[15:39] 可以給的supply
[15:40] 然後接著去找出這個gap
[15:41] 然後把這個gap呢
[15:42] 就分散到可能
[15:43] 任何一家有關係的
[15:45] 後端封裝廠
[15:46] 或者說他們的裝置廠
[15:47] 然後去算這個數字
[15:48] 所以如果臺積電這邊
[15:49] 有一些想法上的改變
[15:51] 那當然就改變
[15:51] 或者說在CSP這邊
[15:53] 他們可能決定
[15:53] 不要買這麼多東西
[15:54] 那也會有改變
[15:55] 那今天在盤中
[15:56] 還有聽到另外一個新的八卦
[15:58] 就是說Marvel
[15:58] 要去拿到一些Google的訂單
[16:00] 很多時候我就想說
[16:01] 等一下Marvel這家公司
[16:02] 現在到底是怎樣
[16:03] 就是為什麼
[16:04] 他會有這麼多訊息一直來放
[16:05] 那包含像是
[16:06] 前陣子就講說要去搞這個AEC嘛
[16:09] 所以像是Credo,Extra Labs
[16:11] 然後跟茂聯
[16:12] 那時候都因為這個訊息而大殺
[16:14] 我們有討論一下這個事件
[16:16] 那現在呢又講說
[16:17] 他要去搞Google相關的東西
[16:19] 只是還好就是說
[16:20] 在Google這邊的各個channel
[16:22] 我們都算是掌握的還蠻不錯啦
[16:24] 所以就我們的理解
[16:25] 當然這個市場有謠言就講說
[16:27] 他可能會做進去TPU
[16:28] 而且我覺得就是從現在開始
[16:30] 你應該會開始聽到
[16:31] 有很多人都會去宣稱說
[16:33] 他有機會會做進去TPU
[16:34] 因為TPU現在就是市場上
[16:36] 一個很香的存在
[16:37] 我覺得他還可以再相隔一兩個禮拜
[16:39] 然後直到OpenAI推出了他的下一代
[16:41] 如果他這個5.2跑得不錯
[16:43] 說不定Google的相關類股
[16:45] 就會出現一個回檔
[16:45] 那就會再出來
[16:46] 放一些鬼故事來炸大家
[16:48] 因為還是要記得一件事情
[16:50] 就是我們上次跟大家聊到
[16:51] Google的東西
[16:52] 現在用起來是很好很贊
[16:54] 沒錯
[16:54] 可是在AI的一個模型競爭上面
[16:56] 是白熱化
[16:57] 可是還沒有進入一個終局
[16:58] 所以很高機率就是說
[17:00] 現在你覺得很屌的東西
[17:01] 然後接著就會被別人的下一代給打爆
[17:04] 然後接著呢
[17:04] 你就會變成是
[17:06] 好像是你前面講越多吹捧的話
[17:08] 就會去把自己臉洗爛那種感覺
[17:10] 因為就另外一個東西就比他厲害了
[17:11] 可是當你想要去認錯的時候
[17:13] 沒有那個另外一家也蠻強的時候
[17:15] 然後接著你又再一次被打臉
[17:16] 因為Google可能在推出一個最新的模型
[17:18] 所以目前的競爭的樣態就長這樣
[17:20] 我覺得大家不用太快的去蓋棺輪店
[17:22] 那也隨著這個市場情緒的變化非常快
[17:25] 一下覺得你可以
[17:26] 一下覺得你不行
[17:27] 所以會導致說
[17:28] 它的一些相關的硬體的供應鏈
[17:30] 我覺得也會是這樣子
[17:31] 就如果說OpenAI的東西非常好的話
[17:34] 那Google的硬體供應鏈可能就會沉壓
[17:36] 那時候當然我們自己就要理性的知道說
[17:39] 如果我們今天是看比較Long Term的話
[17:42] 那Google的Demand數字超級好
[17:44] 所以根本就不需要擔心
[17:45] 而且他一定會再推出下一代
[17:47] 所以如果大家又要去亂殺股票的時候
[17:49] 就會是我想要再一次的去介入的機會
[17:52] 像Marvel這樣放雷
[17:53] 可能就會被拿出來順帶的去打擊一下相關的公司
[17:58] 只是這個可能是我們講的比較早一點
[18:01] 但我們先提早分享
[18:02] 如果市場後面有在傳的時候
[18:03] 你就要知道說
[18:04] 它應該是沒有機會
[18:05] 會去搶到這些所謂的TPU的訂單
[18:07] 因為所有的設計跟相關的製造
[18:11] 都是已經在on going了
[18:12] 同時他們是需要非常大的一個數字
[18:16] 然後跟要poin
[18:17] 所以在這樣的狀況之下
[18:18] 是不太可能在過程中
[18:19] 會讓任何一個IC design house
[18:22] 有機會會講說它可以去切入
[18:24] 有可能在比較後面的代數
[18:26] 我們講比較後面的代數
[18:27] 應該是要到V10以後了
[18:29] 那這邊針對這個TPU的代數
[18:32] 我們再稍微講一下自己的一個想法
[18:33] 因為大家都知道這個TPU代數
[18:35] 不是大家
[18:35] 就是說在供應鏈上很多人可能會搞不太清楚
[18:37] 因為它其實真的是弄得比較複雜一點
