[00:00] 欢迎收听谷爱,我也是孟公
[04:55] 一隻手是推
[04:56] 那他還給我看一些
[04:57] 那種比較hardcore的影片
[04:58] 那種解剖的影片
[04:59] 是說你看這個肌肉
[05:00] 它真的是這樣連的
[05:01] 身體是一個X型或什麼的
[05:03] 然後再來就是一拉一推
[05:04] 可能可以讓你發力的效果更好
[05:05] 所以現在我自己像覺得說
[05:07] 到這個八月島健身房
[05:08] 我就開始會拿很奇怪的東西
[05:10] 就像說他有一根竹竿在地上
[05:11] 那個竹竿對我來說非常好用
[05:13] 因為我們下去做一些伸展
[05:14] 就會用一根像是槓子的東西
[05:16] 那直達眼這邊沒有那種專業的彈力槓
[05:18] 所以就直接找
[05:19] 它那一根竹竿放在那
[05:20] 我也不確定那是要給你運動的
[05:22] 還是說它拿來勾什麼蜘蛛絲之類的
[05:24] 但是長度剛好就拿它來做伸展
[05:27] 那再來就只需要一顆壺鈴
[05:29] 然後以及可能一個墊子
[05:30] 我就可以去訓練到我的小腿跟大腿
[05:33] 那如果說今天有那種
[05:35] 那叫什麼 那個球是什麼
[05:36] 反正就是有重量的球
[05:37] 那我也可以去做蠻多那種
[05:38] 全身肌力的訓練
[05:40] 所以也不用去跟他搶器材啦
[05:41] 我覺得蠻不錯的
[05:42] 就自己就找一面鏡子
[05:43] 然后只要拿着几个东西
[05:44] 就可以去做一个非常完整的训练
[05:47] 那做完之后是真的会感觉到
[05:48] 你全身的关节有那种打开的感觉
[05:51] 那他跟本来去做重训
[05:53] 或是一些游泳运动的体验
[05:55] 又完全的不一样
[05:56] 所以我真的觉得他自己
[05:57] 本身就算是一种运动的类别
[05:59] 而且是可以在上面去精进他
[06:01] 那可能在健身房的拥挤度
[06:04] 又没有这么的拥挤
[06:05] 就是要跟你抢这些器材的人
[06:07] 其实真的很少
[06:08] 所以觉得还蛮爽的
[06:09] 那全身都可以去做发挥跟伸展
[06:12] 久而久之是真的感受到
[06:14] 首先就是當你去做單邊的訓練
[06:17] 包含說以前的深蹲
[06:19] 或者說這種蹲的訓練
[06:20] 我們都是雙腿
[06:21] 甚至你為了要站穩
[06:23] 你會怎麼樣
[06:24] 你腳就會dark feet
[06:25] 你就稍微的去往外直
[06:26] 這樣因為是站得比較穩
[06:28] 比較有發力的一個姿態
[06:29] 可是如果今天是走到
[06:31] 功能訓練的領域的話
[06:33] 像我教練很常要教的就是
[06:35] 你要往哪個方向衝
[06:36] 你的腳尖就要指向哪個方向
[06:38] 這樣不要去外翻
[06:39] 因為外翻的話
[06:40] 就像說我要去做一些扭動
[06:41] 或者是我要从左边跑到右边
[06:43] 我左脚去蹬
[06:44] 如果这时候我左脚是像dark feet这样子的话
[06:47] 那就会导致你力量是出不去了
[06:49] 所以你的脚就要尽可能的往
[06:50] 你要发力要推的那个方向去
[06:53] 那随着自己的脚把它开始往内调整之后呢
[06:57] 那我自己也有感的去意识到
[06:59] 原来我之前走路的时候会有一点dark feet
[07:01] 就是有一点那种外八的方式在走路
[07:03] 那这个其实像是我自己的伸展师
[07:06] 然后或者是物理治疗师都曾经提到说
[07:08] 有这样子的dark feet就代表说
[07:10] 你可能是髋關節有卡住
[07:12] 或者是說肌肉已經是有點
[07:15] 他不是用正常或是用好的方式去支撐你
[07:18] 所以因為隨著自己知道說
[07:20] 當我今天要去做運動的時候
[07:21] 我今天要不要外拔
[07:22] 各種動作我的腳都要去站好
[07:24] 他同時也在網路上看了蠻多影片
[07:25] 他會去拍
[07:26] 就像是說像是Roger Fedler
[07:28] 然後或者是Michael Jordan
[07:30] 他們是怎麼樣走路
[07:31] 很多運動明星是怎麼樣走路
[07:33] 他就會拍
[07:34] 你就發現說他們其實是有一點
[07:35] 這是感覺像是內八的方式在走路
[07:38] 那後來我的功能教練跟我講說
[07:39] 他沒有那麼複雜
[07:40] 簡單講說你走路的時候
[07:42] 你就是要把
[07:43] 像有些那種鞋子
[07:44] 他不是下面會幫你印一個腳印嗎
[07:46] 那個腳印就是告訴你說
[07:49] 其實你這每個地方都要用到
[07:50] 從你的腳跟到腳側
[07:52] 然後再到你的小指的肉球
[07:55] 大指的肉球之後面
[07:56] 然後是由你的大拇指這樣踏出去
[07:59] 整個去做完一個步伐
[08:01] 你其實是每個肌肉應該都是要用到
[08:04] 好 但很多時候
[08:05] 我們可能就不會用到大拇指
[08:06] 我自己覺得大拇指是最關鍵的
[08:08] 就是在走路的時候
[08:09] 你要尽量让你的第二个脚趾是往前方直的
[08:12] 而不是往可能45度脚外面直
[08:14] 那在踏步的时候就是由这个脚跟到脚侧
[08:19] 然后接着呢最后面由大拇指去把你整个人
[08:21] 有点那种往前推的感觉
[08:23] 那当今天把走步姿势调好之后呢
[08:26] 非常神奇的是下背的疼痛感就有感的去减少了
[08:31] 那所以我觉得这是一个探索之旅
[08:33] 就是从一开始你就是反正治标嘛
[08:36] 那除了枕头垫脚下面之外
[08:38] 然后再来就是各式各样的椅子
[08:39] 我都去试了
[08:40] 那种全明星椅子
[08:41] 怎么一台超贵的那种办公椅之类的
[08:44] 反正该弄的都弄
[08:45] 但最终发现
[08:47] 其实会痛的主因
[08:48] 简单来讲
[08:49] 就是追根究底
[08:50] 就是你整天坐着
[08:51] 那你整天坐着
[08:52] 会让很多东西都跑掉
[08:54] 不然你的骨头会跑掉
[08:56] 你的姿势会跑掉之类的
[08:58] 你妈有事没事都想要躺着
[08:59] 所以才会产生一种感慨
[09:01] 就是所有让我觉得很舒服的姿势
[09:04] 都是对我有害的姿势
[09:05] 但这个不是代表说
[09:07] 这些姿势是舒服的
[09:08] 是我们身体喜欢
[09:09] 不是
[09:10] 而是因为你长期
[09:11] 你用了不对的姿势
[09:12] 所以导致你就是要用不对的姿势
[09:14] 你才会觉得身体是舒服的
[09:15] 所以这有点像他说
[09:17] 要去帮一个人戒毒
[09:18] 是很困难的
[09:19] 因为你已经太习惯了
[09:20] 这个姿势是非常舒服
[09:22] 那随着自己在这个功能训练
[09:24] 然后跟后来产生的一些觉察
[09:27] 自己的这个走路的样态
[09:29] 是不是有外八之类的
[09:30] 那慢慢的把它敲回来之后
[09:32] 真的是有感的发现
[09:33] 这个下背的疼痛感是越来越少
[09:35] 所以像這次來到峇里島
[09:38] 其實理論上我都是會一直去耍廢
[09:40] 當一條狗這樣
[09:40] 可是這一次就會知道說
[09:43] 這個訓練的東西還是要持續
[09:45] 而且它並不只是像以前對我來講
[09:47] 訓練會持續的最主要的一個核心原因
[09:50] 是因為你知道要對自己夠狠
[09:51] 不然你他媽就會變胖
[09:53] 不然就是體態會變得不好看
[09:55] 可是現在會比較偏向是
[09:56] 你真的覺得你需要這個東西
[09:58] 就是之前是有點像說
[09:59] 為了健康我還是得吃點蔬菜
[10:01] 還是得去重訓或什麼
[10:02] 然後現在就覺得說我不做這個
[10:04] 我覺得媽的身體不太對勁
[10:05] 我真的想把自己的身體拉開之類的
[10:07] 所以就自己跑去健身房
[10:08] 在那邊甩來甩去
[10:10] 扭來扭去之類的
[10:10] 我真的覺得是一個非常好的體驗
[10:13] 因為其實像之前跟大家分享說
[10:15] 下背痛的各種解決方案的時候
[10:17] 蠻多聽眾都有來這邊
[10:19] 跟我們去做一些互動
[10:21] 當時我給的這些建議
[10:22] 也都是真心的建議
[10:23] 就是我當下真的是這樣子做
[10:25] 隨著有點像他說
[10:26] 我們也是持續不停的在探索
[10:28] 這個探索之後後來發現
[10:30] 其實真的有蠻多腰痛的核心原因
[10:32] 是因為你的兩腳的受力
[10:34] 發力是不均衡的
[10:36] 所以從保加利亞蹲這裡
[10:38] 幹你就要狂練
[10:39] 你就要狂練
[10:39] 然後單腿蹲也要狂練
[10:41] 那你就會有感的發現說
[10:43] 原來就像說我一樣要去
[10:45] 聚焦在某一側的髖關節
[10:47] 你會扭腰下去在那邊蹲的時候
[10:48] 你會發現你兩隻腳
[10:51] 所蹲下去的角度會不一樣
[10:52] 你就知道問題在哪
[10:53] 就是原來我一隻腳的活動度
[10:55] 真的是比較低
[10:56] 當你把另外一隻腳的活動度
[10:58] 稍微的喬到
[10:59] 像可能活動度比較好那隻腳
[11:01] 你就會有感的發現說
[11:02] 哇你的下跪痛有減緩
[11:03] 它不會完全的消失
[11:05] 可是它會減緩
[11:06] 然後再搭配什麼歌詞之類的伸展
[11:08] 真的是算是這個game changer
[11:11] 整個生命會發生改變
[11:13] 我也不知道怎麼跟大家分享
[11:13] 這麼居家休閒
[11:16] 然後跟身體健康
[11:17] 很像那種什麼康健雜誌
[11:19] 還是那種老人家會聽的
[11:20] 那種早上廣播台
[11:21] 可是這真的最近改變我最多的事情
[11:23] 在這邊稍微跟大家分享一下自己的心得
[11:25] 好 接下來我們來進入市場的話題
[11:26] 最近SpaceX它解禁的股票是越來越多了
[11:30] 當然它後面還是有蠻多股票
[11:32] 會接著要丟到市場上
[11:33] 只是大家本來想像說當這個股票解禁開始外流之後
[11:37] 那就立刻的會造成整個股價打擊
[11:40] 就surprise motherfucker
[11:42] 剛好就是在解禁之後反而就是打底再往上衝了
[11:46] 反而在解禁之前有蠻多的下殺的賣壓出來
[11:50] 這個賣壓我本來我在想像說是不是有些人已經先去做套利
[11:54] 只是稍微的了解一下
[11:55] 他們好像有牽一些地就是說裡面人不可以這樣去做套利
[11:59] 就類似Mark Cuban那時候賣公司的時候
[12:01] 他也是透過選擇權的方式去鎖住利差
[12:04] 我是不知道說實務上是怎麼樣運作
[12:07] 就是告訴你不能做
[12:08] 但會不會有人還是偷做之類的
[12:09] 當然偷做被抓到的風險可能也很大
[12:12] 總之SpaceX就是有相當程度的蔓延
[12:14] 而且在後面都會持續的有股票丟出來
[12:16] 但是我覺得就可能是
[12:17] 第一次造成的影響會是最大的
[12:19] 就是初步的衝擊
[12:20] 所以這個流動性越來越多
[12:22] 因為你知道就是有人把股票丟出來
[12:24] 就一定會有其他人把他接走
[12:25] 接的人越來越多
[12:27] 參與的人越來越多
[12:28] 就類似說一個那種小型股
[12:29] 然後最後面變成流動性放大之後
[12:32] 其實就不會是有少部分人去控制股票
[12:34] 當然SpaceX是一個超級大的股票
[12:36] 但你可以用小去推打類似的道理
[12:39] 當今天這股票丟出來
[12:40] 給很多人承接走之後
[12:42] 其實後面的影響理論上都會越來越小
[12:45] 另外一家最近也有大量的股票結晶要丟出來是Cerebras這家公司我們大概可能一兩年前有跟大家介紹過反正就是那個晶片超級大一顆它是直接就像是一塊Wafer這樣的大小比傳統我們認知的GPU或是ASIC都大很多
[12:59] 那這家公司它的主旨就是要去解決
[13:01] 我們知道我們後來是把這個Agentic AI的一個運用
[13:04] 或甚至說Recently AI的一個運用
[13:06] 把它簡單的拆成是Pre-File跟Decode
[13:09] 那Pre-File比較聚焦的東西是在講說
[13:11] 今天如果有一個比較長的上下文
[13:14] 比較長的context的話
[13:16] 那就是用prefill的方式先去做處理
[13:18] 他比較重視的是總吞吐量
[13:21] 那這樣子的話把東西處理好之後呢
[13:23] 再交給去decode的話就會非常有效率
[13:25] 那decode就是說去逐token的去生成
[13:28] 所以他更看重的是記憶體的頻寬跟延遲的部分
[13:32] 那當然記憶體的頻寬
[13:33] 大家都知道說像是HPM
[13:34] 他已經算是一個高頻寬記憶體了嘛
[13:37] 理論上就已經是很不錯用了
[13:39] 那當然現在就是強還要更強
[13:41] 快還要更快
[13:42] 所以像這個Cerebras
[13:44] 他所使用的SRAM的話呢
[13:45] 那它的頻寬就是可以再靠到更大的一個境界
[13:48] 所以理論上在租Token生成上會表現得非常好
[13:52] 那像這家公司最近就有跟AMD去合作公布
[13:55] Desecrated Inference架構
[13:57] 它就是透過AMD的Helios去處理Prompt跟長Context
[14:01] 然後再由Cerebras的WSE去搞低延遲的Decode
[14:04] 那兩個就變成是一個推論的流程
[14:07] 所以就不會像是傳統是用一個晶片去搞這樣子
[14:10] 那像之前的NVIDIA又要去搞像CPX這樣子
[14:13] 我們聽說CPX有點就是
[14:16] 你也不能說什麼他放鳥
[14:17] 或是雷聲大雨點小
[14:18] 因為你要知道就是在AI時代的蠻多東西
[14:21] 他最後面就是會沉下去
[14:23] 那有可能就是說當下時不我予
[14:26] 然後再來就是也有可能在
[14:28] 後面發展的過程之中發現說
[14:30] 可能有一些更好的解方之類
[14:32] 所以他會跑出來交叉替代
[14:34] 這也讓這個股票變得很好玩
[14:35] 就有些你篤定會發生的事情
[14:37] 然後最後面就會轉個彎
[14:39] 然後卻沒有發生
[14:40] 總之3plus
[14:42] 这家公司我相信说
[14:43] 在供应链端的人士都注意到
[14:45] 就诚如他们公司自己所宣称的
[14:48] 它产能的速度其实是拉得非常的快
[14:51] 它所拿到的头片的数量也是越来越高
[14:54] 只是像我们在关注这家公司的时候
[14:56] 我们就会去注意
[14:57] 我当然讲说基本面的部分
[14:59] 那是非常有趣好玩
[15:01] 只是因为我们的工作是投资
[15:02] 所以可能就会去注意一下说
[15:04] 因为它也有大量的股票要释出了
[15:07] 就是这些本来前面被封禁的股票
[15:09] 现在解禁了
[15:10] 那就看说会不会对整体的市场造成一些影响
[15:14] 我觉得他的看点可能就会跟SpaceX类似
[15:17] 就是前面讲的有的没有的
[15:19] 其实都是多讲的
[15:20] 重点就是其实筹码的影响是非常大的
[15:22] 当今天你注意到说一些比较大的节点
[15:25] 就是有大量股票释出的那几个点
[15:28] 它其实是一个带状
[15:29] 就是持续会有股票要丢出来
[15:31] 像SpaceX的话是拆成好像9个来10个提示
[15:33] 所以蛮多的
[15:34] 但理论上就是可能前面的这几个有过关
[15:37] 比较大的有过关之后
[15:39] 那后面的都可以把它当成是市场的一种那种随机事件
[15:42] 就是我觉得以长期来看
[15:44] 它对股价的影响都不会是太大
[15:46] 那我自己本身是觉得放出更多的流动性
[15:49] 其实是一个很好的事情
[15:51] 就是市场的筹码就是要有越来越多人去持有
[15:55] 那它的价格的表现或者说整体的运作
[15:58] 就会比较符合像我们如果今天去用技术分析的话
[16:01] 去看它就比较有道理
[16:02] 因为如果你今天是少部分人在控盘的话
[16:05] 就我们所讲说一些那种中小的主力股
[16:07] 基本上一個人就可以決定這個股價的走勢
[16:10] 那就會變得比較困難
[16:11] 就不知道大家的公司在哪裡
[16:12] 也比較難去抓位置
[16:13] 有可能進去就會給人家玩
[16:15] 隨著流動性是越放越多之後
[16:17] 理論上蠻多的問題都會去解決
[16:20] 所以像3BUS我覺得
[16:22] 當然它已經是上市一段時間了
[16:24] 只是因為最近在供應端的人
[16:27] 應該蠻多都有注意到
[16:27] 不然說他們公司自己在電話會議都有提到說
[16:30] 它的產能是越拿越多
[16:32] 然後再來就是跟一些晶片業的合作
[16:36] 然后自己甚至要去自建Data Center
[16:39] 我们就可以去观察说
[16:41] 看这样子的发展
[16:42] 是不是有没有可能在后面的
[16:44] reasoning的时代
[16:45] 会带来一些新的表现
[16:46] 其实我个人觉得说
[16:47] 这样的一个solution
[16:48] 理论上是蛮有搞头的
[16:51] 像最近AMD也买了一家公司
[16:52] 更有趣
[16:53] 他是直接把一些那种模型的逻辑
[16:55] 直接写在晶片里面
[16:56] 所以有点像是那种FPGA的感觉
[16:59] 就是自己身边有些在做交易的朋友
[17:01] 做到那种很hardcore的
[17:03] 他是直接把一些逻辑
[17:04] 就写进去晶片里面
[17:05] 所以今天这个东西
[17:06] 它是不用回傳到你的電腦到螢幕
[17:08] 然後再到你的眼睛看到
[17:10] 然後再做決定
[17:10] 然後再打回去
[17:11] 這個就是差了幾毫秒
[17:13] 可是差了幾毫秒
[17:14] 對我們來講就差了幾億
[17:15] 類似這樣
[17:16] 所以我感覺那個是有點像
[17:18] 就是把模型的東西
[17:19] 直接刻到晶片裡面去
[17:20] 用這樣子去達成更好的一個效率
[17:22] 當然那是一個更極端的做法
[17:24] 稍微折中一點
[17:25] 拉回來一點
[17:25] 我覺得可能就像Cerebrus
[17:27] 這樣子一個做法
[17:29] X-RAM我們之前有跟大家討論過
[17:30] 就是像這樣子
[17:32] 寸圖寸金非常貴的記憶體
[17:33] 可是可能在推論時代
[17:35] 它会有它发展的一个价值出来
[17:37] 那随着我觉得Cerebrus
[17:39] 它因为后来Secure到产能越来越多
[17:41] 代表说它一定是某种上有信心
[17:43] 要去推它的产品
[17:44] 那在市场上的曝光度就会越来越多
[17:47] 所以可能等到这次的筹码释出之后
[17:50] 我们就可以稍微来观察它一下
[17:51] 那再来另外一个市场上比较大的事件
[17:54] 就是虽然我也不确定
[17:55] 这个东西有没有到市场上
[17:57] 但总之就是在过去的一阵子
[17:59] 自己身边的蛮多的朋友
[18:02] 所谓的投资交易圈的人士
[18:04] 都在传一个NVIDIA的800V DC的一个白皮书
[18:09] 那白皮书一般来讲
[18:11] 它是一个会给比较长展望
[18:14] 那再来就是里面的东西
[18:15] 你最终回头看会发现
[18:17] 大多数的轮廓会是类似
[18:19] 可是内部一定会有蛮多细部的修正去改
[18:22] 就是有些是理论上我这样子做很好
[18:25] 可是实际上下去做会发现不行
[18:27] 我们随便举例就是理论上
[18:29] 可能一个Data Center
[18:30] 可以按照我要的方式去做规划的话
[18:33] 那它可以达到最好的一个效率
[18:35] 可是在现实生活中为什么不行
[18:37] 因为Data Center已经盖了
[18:38] 因为你的电力的设备已经弄了
[18:40] 所以你能够做的就是用既有的设备去改
[18:43] 而不是就从头把所有东西都打掉
[18:45] 重新来过
[18:46] 那可能要在你新的Data Center
[18:48] 会比较有这样子的机会
[18:49] 那可是新的Data Center
[18:51] 以现在就要说在美国这边的话呢
[18:53] 他们是越来越多
[18:55] 我甚至觉得会不会是一些
[18:57] 怎么讲就是敌对
[18:59] 这个敌国人士
[19:00] 然後為了要去瓦解你們在AI的一個奴隸
[19:03] 所以就開始去放一些消息說
[19:04] 這些電壓中心會摧毀掉你們的電力
[19:07] 會摧毀掉你們的水
[19:09] 即便有超多的證據去證明不是這樣子
[19:11] 但還是一直洗
[19:12] 然後甚至連美國自己國會內部的
[19:14] 好像民主黨這邊都是蠻多人
[19:16] 都在反對這個電壓中心
[19:17] 也不是只有民主黨人士
[19:18] 各位觀眾就是我看到有蠻多人這樣子去講
[19:21] 那對你就知道說
[19:23] 所以後面你要去搞電壓中心的話
[19:25] 其實它不是這麼容易的事情
[19:27] 所以就只能夠按部就班吧
[19:29] 那個環評搞不好後面也會被卡關之類
[19:30] 所以像我們去看這些白皮書的話
[19:32] 你要先自己有意識的去把它猜成是
[19:35] 哪些是比較實際的
[19:37] 然後或是在未來的一到兩年
[19:39] 會發生的事情
[19:40] 哪些會比較偏向是那種moon shot
[19:42] 比較遠的
[19:43] 就是理論上我這樣子做很好
[19:45] 但是我可能有很多東西要考量
[19:48] 那再來就是有一些預算
[19:49] 或是說良率的部分
[19:51] 價格的部分都要考慮
[19:53] 良率跟價格是蠻多人都
[19:55] 可能在初步不會考慮到的東西
[19:57] 就是有些解方它是真的很好沒錯
[19:59] 但是它太貴
[20:00] 在商業裡面最終都是會回到價格的討論
[20:04] 所以即便有一個方法看起來是脫褲子放屁
[20:07] 然後它比較麻煩還要再繞一手
[20:09] 但它便宜但是它穩定
[20:11] 大家可能會選擇這樣子一個路線
[20:14] 過去像海外的一些研調有在講說
[20:17] 像800VDC它可能沒有像市場講的這麼順
[20:21] 就是它會有一些遞延的狀況
[20:22] 當時我們的評價是講說
[20:24] 因為主筆是提到
[20:26] 就是在可能未来的一年
[20:28] 它的渗透率是5%
[20:29] 那我们的意见是
[20:30] 其实5%就算是很好了
[20:31] 因为我们甚至会去买那种
[20:33] 两三年后都还看不到的东西
[20:34] 所以你跟我讲说
[20:35] 明年就有5%的东西
[20:36] 拜托这个完全就是可以去
[20:38] 看的一个题材
[20:40] 那总之就是后面会慢慢的进入
[20:42] 这种正负400V
[20:43] 然后再来就是800V的一个架构
[20:46] 那初步的话可以先看
[20:48] 就是在Power Rack的部分
[20:50] 但是Power Rack
[20:50] 它有点像是在过去的市场上
[20:53] 就已經相當程度的被反映
[20:56] 就是在過去一陣子
[20:57] 其實大家會去看一些什麼PowerWave
[20:59] 或是PowerRack
[20:59] 其實就已經在講說
[21:01] 它這個白皮書裡面的第一個階段
[21:03] 它就是已經是正在進行中的東西
[21:06] 所以它比較偏向是
[21:07] 可能在估值部分打底的東西
[21:10] 而不是說可能在外面去做加成
[21:13] 然後會讓你有機會去做
[21:15] 上修這個P1乘數的東西
[21:18] 但在短期內
[21:19] 就是2026到2027
[21:20] 其實最主流的架構都還是使用PowerRack
[21:23] 裡面受惠的環節有哪一些
[21:25] 像是AC-800V PSU
[21:27] 800V再到54V的SHOFT
[21:29] 電容 連接器 BBU
[21:32] 這個都算是在第一個階段
[21:34] 受惠的一個主體
[21:35] 其中以BBU來講的話
[21:37] 它又會再去拆分成幾個SPAC
[21:39] 像有些就是會使用BBU
[21:41] 有些不會去使用
[21:42] 那要看客戶的狀態
[21:43] 但理論上當今天你伺服器的
[21:46] 效能功耗越退越高的話
[21:49] 它會從
[21:49] 就這個大概是一兩年前市場的一個爭論
[21:52] 就這個東西到底是不是一個標配還是選配
[21:54] 過去大家會一個共識是說它是選配
[21:57] 只是說如果說你今天走到相對後期的話
[22:00] 它有可能就會變成是一個標配的環節
[22:02] 知道什麼就知道
[22:03] 如果今天我們再推入到下個階段
[22:05] 就是中長期之後
[22:06] 那又會再產生一些變化
[22:08] 在中期之後
[22:09] 主要的架構就會變成是Power Center的一個模式
[22:12] 所以到時候受惠的環節
[22:14] 就會變成是集中式整流器
[22:15] SIC、IGBT
[22:17] IGBT的話
[22:18] 其實最近有蠻多公司的一個電話會議都說來講說
[22:21] 這個東西還好
[22:21] 就是它不是市场上我们叫缺的
[22:23] 可是SIC跟GAN
[22:24] 特别是GAN
[22:25] 甚至有一些公司派是出来承认说
[22:27] 这个超乎自己的想象
