[00:00] 歡迎收聽股癌,我是孟恭。本集節目由ZZSleeper減二度兩感忘憂診贊助。
[05:10] 就會想像說這邊應該也是蠻好玩蠻多東西,但是一查就發現,它那邊感覺跟南港展覽館有點像,反正就是在台北市相對邊陲一點的地方。
[05:20] 現在在南港展覽館那邊就是開始有一些那種大型的Mall
[05:24] 那我就注意到在這個千葉的這個展覽館附近也是有很多大型的Mall
[05:30] 然後可是相對之下在飯店的供應上
[05:34] 就至少可能你如果去南港展覽館你現在可以有焊來之類的吧
[05:37] 但在千葉那邊也是沒有什麼就是可能不錯的飯店
[05:41] 也不是說什麼我的屁股一定他媽要好的飯店可以住
[05:44] 只是那些飯店蠻多你查起來是很嚇人
[05:46] 想說這什麼東西要嘛是超級小要嘛就超級舊
[05:50] 後來問了一些遊戲圈的人士才說,附近都是這樣,特別是展場附近的,專門去學那些去參展的人,東西就可能比較鳥一點,要好一點可能要往前一站去。
[06:01] 可是往前一站又會擔心說,如果電玩展真的超級多人的話,那你通勤又會比較麻煩一點。
[06:06] 所以最後面我就覺得,反正就是找一個在旁邊的飯店將就一下就好。
[06:11] 最終的目的還是希望這一次,蕭南可以順利的找到一些不錯的海外團隊,然後可以參與。
[06:18] 最近開始去思考這方面的東西,包含如果說我們真的去投一些在歐洲的團隊,那到底投後管理要怎麼做?
[06:24] 不是說我們錢丟出去要去自己長大,你總是要看著人家,你總是要大概知道發生什麼事情,即便我們已經算是做出最小程度的干涉,但總是還是要有人去做這件事。
[06:34] 所以就在思考說如果真的不小心走向國際化的話,那這後面的東西到底該怎麼做?
[06:39] 但有時候就覺得說反正隧道取城,真的如果可以退到那一步的話,那可能身邊就會冒出一些人。
[06:45] 就類似說其實本來在做笑男的時候呢他是一個有點像靈感乍現嘛就是你想要去挺你自己喜歡的團隊然後意外的變成是一個公司的規模然後還越做越大
[06:55] 那後來就越來越多拼圖的產生了不然說像一些有志之士他不一定是你的股東或是參與者
[07:02] 他知道你有這個東西那就想要介紹一些人所以呢像在上個禮拜也跟一些日本的遊戲大廠的人見面
[07:09] 然後才知道說就在這些遊戲大廠呢他們其實有蠻多的遺珠之憾
[07:13] 這就是股癌的一個選擇。
[07:15] 有很多團隊想投,但礙於規模或公司內控,導致不可以把帳號發出去。
[07:22] 但這些團隊就非常適合我們,因為我們沒有任何包袱。
[07:26] 遊戲性可能是最重要的。
[07:28] 團隊的人如果OK的話,我們都可以考慮把支票發出去。
[07:32] 所以就意外的接軌到一些人家挑勝人家不要的東西,但那是你要的東西,你覺得他非常有機會。
[07:38] 所以在這邊稍微的分享一下一個很悲覽的心得啦
[07:41] 就是身為一個遊戲創投的創本人
[07:43] 但其實也是有蠻多事情呢
[07:45] 是搞不清楚邊做邊學
[07:46] 然後非常感謝在路上
[07:47] 一路上都有很多的貴人相助啦
[07:50] 那同時自己也是非常努力啊
[07:52] 就是不懂的東西該怎麼辦
[07:53] 就一直多研究
[07:54] 然後你也不要怕碰壁
[07:55] 反正碰壁
[07:56] 怎麼講
[07:57] 就以前當兵班長講的
[07:58] 禮多人不怪嘛
[07:59] 你就是對每個人都是
[08:00] 盡量把自己的姿態放低
[08:02] 反正從頭到尾也不覺得自己真的是什麼了不起的東西嘛
[08:05] 你就是盡量就多問
[08:06] 那也非常感謝有這麼多的
[08:08] 這些遊戲圈的前輩或是一些發行商業者都非常樂意的來指導我們,讓我們可以一路走在還蠻不錯的路上。
[08:17] 所以下一段時間回去東京,希望可以找到一些有趣好玩的東西,然後再來節目上跟大家分享。
[08:23] 這個對我來說也蠻重要,因為像這個節目已經有點變成說,我會想說我每一集有沒有什麼東西可以講,如果沒有什麼東西可以講的話,那代表我可能已經停止前進了。
[08:31] 大概就這樣的感覺,就是你不可以一直講說過去的事情,過去的事情沒什麼好講,重點是現在在發生什麼新的東西,未來有什麼樣新的東西。
[08:37] 這幾個資料的中心是一個很重要的資料,所以這個日記本也變成了我的一種去驗證到底過去一陣子你有沒有做一些不一樣的事情的很好的一個管道。
[08:46] 稍微跟大家分享一下,接下來我們來進入市場的話題。
[08:49] 最近的盤面還是持續的維持震盪,其實已經差不多一個多月左右是這樣的一個局面。
[08:56] 特別它有點像今天剛好有一個朋友講,他說這個是隔日沖的地獄,如果你想要做隔日沖的話,特別是那些鎖得越死的隔天一般就越慘。
[09:04] 這個在台股裡面有非常多的案例
[09:06] 那前一天鎖得好好的
[09:08] 但隔天又直接開低
[09:09] 然後大家大逃殺
[09:10] 甚至直接殺到跌停去
[09:11] 但是可能等個幾天之後
[09:13] 又再一次的復甦回來
[09:14] 所以你只要搶快就被打了
[09:16] 那這個就有點類似我們前幾集跟大家講
[09:18] 就是其實這一波行情
[09:20] 它並沒有到特別難做
[09:22] 但如果說你是想要搶快
[09:24] 你是想要用之前的方法
[09:25] 就是可能三到六月那段時間盤很好
[09:28] 反正上車就一定會立刻噴
[09:30] 那就會有比較多的震盪的成本
[09:33] 正當成本可能會雞殺成塔,它只有一點點,但是久了之後加起來可能蠻恐怖的,搞不好吃掉你禁止的5%、10%以上,這都是會發生的。
[09:44] 所以這個要盡可能的去避免,就是當你今天遇到這種奇怪的盤勢,要嘛就是你持續堅持你本來的做法,但是把部位給縮小。
[09:52] 要嘛就是可能稍微的去調動一下自己的做法,像我就有去稍微調動一下自己的做法,因為已經很明顯的可以去識別說,你越要去追強就越會被上課。
[10:02] 可是最終它其實都是慢慢墊高的
[10:04] 那我不如就是有些東西即便我今天真的超級想買
[10:07] 那我就先等待一下
[10:08] 沒有買到就算了嘛
[10:09] 因為市場上的機會這麼多
[10:10] 那接著呢隔個幾天就發現說它真的是掉下來給你買了
[10:13] 那你買了之後後面又有人再把它動能上去
[10:15] 然後接著可能到某個地方又再一次的掉下來
[10:17] 那這邊當然也可以選擇去偷吃人家豆腐
[10:20] 就是人家動能的時候你就反動能丟給他
[10:22] 只是我自己還是比較不習慣去做太短線的事情
[10:25] 那所以你就只好說OK你們想要鎖個半死
[10:27] 你們明天一定全部要丟出來
[10:28] 那當然沒關係
[10:29] 反正我至少是買在相對低位啦
[10:31] 這幾個股票的投資者都覺得股票的成本不太高,但股票的成本是非常高的。
[10:41] 所以股票的成本是非常高的。
[10:47] 大盤已經在新高附近,但遲遲沒有看到表態突破半,讓大家信心回來,讓大家重建人與人之間的信任。
[10:55] 這個還是沒有看到。
[10:57] 於是我們就先不用去聚焦太多題材相關的東西,因為當盤好才有題材可以看。
[11:03] 現在就比較偏向是一個震盪的盤勢,那我們就來看一下最近市場上發生什麼有趣的事情。
[11:08] 最近Google Cloud在Gomansac這邊有辦一場會議,然後派出的是Thomas Kurian,就算是他們在Cloud這邊的一個大頭。
[11:17] 他有一些分享我覺得超級精彩,然後跟自己在過去的一些想法算是有契合在一起,所以大概的說一下自己的看法。
[11:25] 首先他評論了一下他整體業務的動能,他提到說他們家新客獲取速度是一年前的兩倍,然後再來大型交易,也就是說超過1億美元的Quadrant Quadrant跟一兩億都是兩倍以上的成長。
[11:37] 再來如果今天客戶有Commit的時候,就要說我要買100美元的東西,可是最終他們幾乎都會花到大概150美元以上,這什麼意思?
[11:44] 超額消費大約 50% 。
[11:49] 目前,他們的產品線每個營收超過 10 億美元,持續成長,營收與營業利益持續變好,市占也越打越大。
[11:58] 其中講出了一個比較嚇人的東西,就是AI伺服器目前在他們公司來看,整體回收期不到兩年。
[12:06] 這件事情其實我們在之前SpaceX跟Tesla反正就是他們那個超大型集群然後換拿去租給別人
[12:13] 我們就大概已經知道說其實AISFG的回本速度是很快
[12:15] 但他後面補充了一個就是市場上可能不一定有被充分認知到的事情
[12:20] 他說自研晶片回收期在減半
[12:22] 這什麼意思?就是他自己的ASIC、TPU他們現在已經有在做TPU as a service或是TPU外銷了這個東西他只需要一年的時間就可以把它收回來這其實它自己的 ASIC、TPU 它們現在已經有在做 TPU as a Service 或是 TPU 外銷了嘛那這個東西呢它只需要一年的時間就可以把它收回來這其實是一個超級變態恐怖的事情
[12:35] 所以於是你就可以去了解
[12:37] 當然我們不是說像 Google 是 Steer away from Gemini 前沿模型然後都不做
[12:42] 它還是有持續在做
[12:43] 只是前陣子有一個市場上的算是已經開始慢慢變成共識的東西
[12:48] 就是 Google 目前的前沿模型好像不太行
[12:51] 然後 3.5 可能被跳過要直接往下一代去
[12:53] 是不是他們開始把一些資源去移到他的infra那一塊去?
[12:58] 這個其實你從這一次的會議的分享就可以理解
[13:01] 如果你是管理層
[13:03] 如果你看到這樣子的數字
[13:04] 你會不會選擇去把天平稍微往這個方向去做傾斜?
[13:09] 當然我們不是講說
[13:10] Pitch High下就是不想去搞千元模型
[13:12] 他們一定都還是會搞
[13:13] 他們絕對不會放棄
[13:14] 他們只是稍微的聚焦多一點在Flash那部分
[13:17] 但你可以理解為什麼他們會去做出這樣的一個判斷
[13:20] 因為過往有一個說法是這樣子
[13:22] 這些AI Infra的投入者,他們可能不一定會賺錢,然後抑或是就算現在的backlog的數字很好,可是等到反轉之後可能會第一個爆炸。
[13:32] 但是這一次的分享,我覺得它給大家一個最大的震撼點,就是原來他們賺錢的速度可以這麼快,就是reaffirmed之前可能我們從Elon那邊所得到的一個情報,就是原來他的MegaCoster拿去租給別人可以回這麼快,就原來他賺錢的速度可以這麼快。
[13:50] 所以在這樣的狀況之下,你要怎麼樣去想像說這個AI的市場會在短期內爆炸呢?
[13:56] 因為他們印鈔的速度實在是太快了。
[13:58] 所以前陣子有超級多人在聚焦在就是Google的自由現金流轉付嘛。
[14:03] 但你現在看到這個,你不覺得他媽他轉付是很正常的事情嗎?
[14:06] 他當然要加快去投資啊。
[14:08] 他到底要去哪裡找可以一年回本,那一或是他去買那種general purpose的,他也可以兩年回本。
[14:14] 你去哪找這種東西?
[14:16] 所以你說他的自由現金流轉付,他開始開大KPX大花錢。
[14:20] 然後跟可能沒有再去做回購
[14:22] 廢話因為他已經告訴你說這個東西ROIC是比回購更好
[14:26] 如果說今天開始去跑回購的話
[14:28] 那代表說可能在市場上沒有找到其他機會
[14:30] 他才去回購自己的股票
[14:31] 因為回購自己的股票績效是最好的
[14:33] 現在就是因為他已經找到這種生財的管道
[14:37] 特別是在這一次由他們Cloud的一個這種資深的經理人出來
[14:41] 直接跟大家講這件事情
[14:43] 那他其實就象徵著其實Google前陣子那樣的一個轉型是蠻好的一個方向
[14:48] 當時我們也是有這樣去猜測
[14:49] 我們唯一覺得潛在的一個downside是怎麼樣?就是你本來是前沿模型的一個聚焦者,所以大家可能願意給你一個比較富含想像力的PE Ratio的乘數,因為我們都不知道未來世界會長怎麼樣。
[15:02] 所以當你今天去把這個前沿模型持續的往前推,即便你不一定賺錢,可是大家可能給你一個更高的乘數。
[15:08] 當你今天已經把自己定義成為是Infra的Supplier,你就變成是就類似水電業者,水電提供者。
[15:14] 相對的你的乘數可能就會低一點,可是你賺進來的錢是非常實際的,那個都是真金白銀持續的灌進來。
[15:21] 所以也會去懂得為什麼巴菲特會去投Google,然後他還強調說這個決定是他自己做的。
[15:27] 因為在這之前Google可能他投的東西是,就我們講比較科技,比較空中樓格,你可能要稍微有點想像力才可以知道,因為沒有人知道未來的世界長怎麼樣。
[15:36] 但是你今天回到這些基礎設施的提供者,這完全就是PokeShark的一個防守領域。
[15:41] 我可以直接算出說我投多少錢我可以換成多少的一個收益
[15:44] 就可以懂說為什麼他們會去做這樣的一個投資
[15:46] 特別是在這一份資料之後就是更加確定
[15:49] 然後再來就是他們也提到說他們有非常好的一個CP值
[15:54] 他的訓練是優於市場2.7倍
[15:56] 推論優於80% CPU 30%
[15:59] ML 的模型資金成本是業界最便宜
[16:02] 而且是人家的2.5倍
[16:03] 像這些比較偏向是宣傳式的語言
[16:07] 一般我們就是先稍微看很久
[16:09] 就有點類似說那些大模型出來都一定講自己多屌怎麼樣去虐別人嘛
[16:12] 然後一些硬體推出來也一定會去強調說自己跟NVIDIA的Benchmark比起來那可能好多少
[16:18] 但重點是什麼?重點是我們最近看到像前陣子最紅的就是Fable
[16:23] 那大家都講說好像只剩下Enthropic的Fable在市場上有辦法搞出什麼東西
[16:28] 你不要講說Google什麼很鳥你說OpenAI也是整個不見的
[16:31] 然後再來就是Enthropic的一些財務數字大家看了很喜歡覺得說啊這個就是一時之選
[16:35] 再來可能就已經沒有人可以跟他競爭了
[16:37] 結果隔沒有多久,馬上OpenAI端出了Astra。你看一下,所有的社群頁面全部人都在狗吹Astra。
[16:45] 所以這真的就有點驗證我們之前的一個猜想,就是前沿模型大家真的不要太快去蓋關認定,很常去講說什麼誰又被誰擊敗。
[16:53] 因為你不到半衰期已經不是半年了,可能是兩三個月,你就很快就會在打自己臉,就是人家立刻就會在超越。
[17:00] 因為畢竟他們去設計這些前沿模型的時候,他們的目標絕對不是說什麼我要去吃人家煙屁股,我在後面去吃剩飯。
[17:07] 每個東西它要推出來它一定就要比別人強
[17:09] 所以其實你已經可以知道說3.5%一定就是蠻鳥的
[17:11] 所以它才不推出
[17:12] 它直接推4%
[17:13] 4%就要一出來就要蓋別人火鍋
[17:15] 就類似說Extra出來然後蓋Fable火鍋這樣的一個感覺
[17:18] 所以如果說你看了這個環節
[17:21] 你也去挖了背後的財務數字
[17:23] 你會發現說現在在模型這邊
[17:26] 其實溢價的權利我覺得是慢慢的在收縮
[17:30] API的費用其實都已經出現了一個持續收斂的情形
[17:34] 這代表什麼東西
[17:35] 這些模型代表說你去使用這些AI模型,他們可能各有各的強處,雖然我們說一樣都把它稱為是大模型,一樣可能都是Commodity,可是可能覺得說在Enthropic這邊,在Coding這裡還算是大家有口皆碑都覺得它是最厲害的,所以即便可能像Astra有很多很酷的表現,但是一些Coder可能還是會選擇去使用Enthropic,但是無論你是使用哪一個模型,你可能會開始發現說你為它付出的某一些特別技能的Premium的數字是持續的在往下壓,所以到最後它真的就慢慢變成是像一種Commodity模型。
[18:05] 這是一個非常重要的一個Modality的感覺,就是大家所付出去創API的錢可能是持續的收斂。
[18:10] 在這樣的狀況之下,Google它提供的Solution就會變成非常的吸引人。
[18:15] 如果說以前我的商品,就是站在大模型商的角度,我的商品因為某些特殊的功能,我可以收取很高的一個Premium。
[18:22] 所以我可能也因為這樣子,我願意去採購一些可能是專門for我的Usage所要用到的各種算力或者說硬體。
[18:29] 但如果大家的這一塊所收進來的錢是越來越趨於一致的話,我們講的不是完全一樣的,就是說以趨勢來看,假設開始拉平的話,那選擇一個高CP值的硬體就變成是一個非常有吸引人的事情。
[18:44] 然後特別是我們在BlockCon的電話會議裡面,我們是有了解到哈克夏已經算是O-In這些Asic業者了,他也希望他們長大了,這些蒙古來的孩子希望可以好好念書,要把他們養大。
[18:54] 如果今天 AmpliPig 或 OpenAI 在收入驅銅的狀態下,我們不是講總額,就是 API 的 Token Fee 算起來是越來越像的情形,它有可能就會去選擇這些可能在成本上是比較有優勢的硬體。
[19:12] 當然現在講這個只是用現況來說,我們不知道可能 VR 會不會丟出來,或是後面的飛門搞不好又會有不一樣的光景。
[19:19] 現階段來看 TPU 算是CP值蠻高的選項
[19:23] 所以大家可能更會往 TPU 的方向去走
[19:26] 當大家往 TPU 的方向去走 TPU 的 Share 拉高
[19:30] Google 也直接告訴你了
[19:32] ASIC 的部分可能只需要一年就回本幣
[19:34] 它 GPU 還要來得更快
[19:36] Google 會做什麼事情?
[19:37] 合理嘛!我一定就是繼續加大採購去買更多東西
[19:41] 這個東西其實也是跟我們過去的幾個月到半年之間
[19:46] 在供應鏈上 check 到的一個數據差不多
[19:48] 雖然我知道講的東西可能後面大家一定聽到我們節目就想去佈局吧
[19:52] Google的Supply Chain不一定會漲
[19:54] 好像最後面看起來只有散熱油在跑
[19:56] 但我們去看數據是看到Google真的是越買越多東西
[19:59] 而且甚至是就像是一年前講的東西
[20:02] 到現在態度都是沒有改變
[20:04] 其實你把全世界的這些AI Service Supply Chain的一些特殊的零件
[20:09] 你如果說真的要去滿足Google的需求的話
[20:13] 其實全部加起來都是不夠的
[20:15] 就是他們所開出來的Fodcast跟Defense強到一個靠北。
[20:18] 所以雖然可能在過去一陣子不管是像是Google的股價或是一些Supply Chain一些零組件Components
[20:26] 它不一定有跑得很好只有少部分有在跑
[20:29] 但我們都是持續的看到在未來展望
[20:32] 就是有點像Gavin Baker講的就是你告訴我一個壞消息
[20:35] 你跟我講到底現在有什麼壞消息
[20:37] 我們看不太會壞消息就是太恐怖了
[20:39] 就是他們的需求真的是開到很高
[20:41] 然後同時是有這些財務數字去佐證
[20:44] 以前大家還會講說,你知道這些大型運業者他們就是不停的開票出去嘛,他們等於是一個周轉池,然後買一堆設備,這不一定會賺到錢,然後現在告訴你說幹這些東西賺到爆炸。
[20:54] 雖然你硬要講反方論述還是有啦,因為本身這個需求本身就是他可能還是有蠻多是由他們自己的那個循環經濟去driven的。
[21:03] 但至少我覺得現階段我們可以這樣子去看,你可以把這些模型商視為說他們是市場裡面可能扛蠻大的風險的一塊。
[21:12] 如果要更細猜的話是模型商的這些參與硬幕的人
[21:17] 就是你去每次看到 OpenAI 或是 Amplify 在哪一輪又拿了多少錢
[21:22] 只要這個錢持續的有進來的話就代表他們會有源源不絕的錢可以持續的去做投資
[21:28] 那這時候可能就會有人問說那到底是誰在買單
[21:32] 所以我們今天可以把它稍微拆開來看
[21:34] 晶片商或者說這些 Supply Chain 他們出貨就收錢了嘛
[21:38] 錢直接進來
[21:39] 所以像這些台灣人基本上就是扎扎實實的把一堆錢都賺進來。
[21:43] 那Cloud provider呢?Google、Oracle、Microsoft,他們是花錢出去然後靠五年的合約慢慢的把錢收回來。
[21:50] 所以他們有點像是說在墊錢的人,但現在在其中一些案例已經證明說他們可以瘋狂的印鈔票。
[21:55] 那模型商的話呢?他們是在燒股東的錢去買這些算力。
[21:59] 然後但是他的股東很多本身就是上面的雲商。
[22:03] 所以唯一一個從外面進來的錢目前看就是這一些終端客戶。
[22:07] 但是這個模式我們會認為說它應該還有底氣可以持續的再跑一陣子
[22:13] 它應該還會再跑一陣子
[22:15] 那最終爆掉可能還是會拉回去像當年.com這樣
[22:19] 只是我覺得這個週期可能會超出大家想像就是會非常的長
[22:22] 那等到有一天你一定會發現說供需是平衡的
[22:26] 那供需平衡的那一天就會backfire
[22:29] 所以包含說剛剛前面在電錢的這些雲
[22:32] 他們本來是想像說在未來一段時間我就是可以把錢收進來
[22:34] 但當我沒有辦法再吸引更新的外部資本進來,或是在消費者這邊大家不願意再去擴大採用,整個風向開始轉變的時候,你就會注意到模型商可能就會開始出現一些不好的財務指引,或是你會注意到成長率開始顯速的下滑。
[22:51] 這時候,雲商本來規劃會收進來的這些合約的錢,就不一定收得進來,所以就會往回炸。
[22:58] 所以這個循環融資最後就會這樣炸。
[22:59] 可是問題是其實這些循環融資會怎麼樣爆炸?前面已經有太多的文章都在跟你討論說會怎麼樣爆炸
[23:05] 那我們不是那種末日學派啦就是我們知道其實每次的股票上漲
[23:09] 甚至可以講一些那種老股民會講的萬般拉抬皆是為了出貨廢話誰不是這樣子
[23:15] 所以每次的循環就最終也都是會有爆炸跟死掉那一天
[23:18] 可是一般來說我們不會去聚焦講爆炸跟死掉或是掉下來
[23:22] 重點是有沒有辦法在上去的這一段賺到錢
[23:26] 而不是展現自己很聰明說我知道這後面都會爆掉所以我什麼都不要參與
[23:29] 經濟就是假的,一切都是虛妄,進入佛學的領域。
[23:34] 簡單來說,我們去觀察在GomensX的這一場會議裡面的分享,
[23:40] 其實是直接的跟大家展示了Google為什麼會選擇去加大這麼大的力度去做投資,
[23:47] 因為答案實在是太明顯了,如果我知道我可以這樣子賺錢,
[23:51] 我怎麼可能不會持續的去加大投資,
[23:54] 我甚至會想要跟市場上掉更多的錢,我都要立刻的把錢丟下去。
[23:58] 直到我發現這邊的投報可能去一個中庸了,就是沒有這麼好。
[24:05] 你可能注意到說他開始選擇要把錢拿回去回購的時候,那可能也是一種訊號。
[24:09] 就代表說我在這邊的投資賺錢速度跟效率已經太低了。
[24:12] 但不然以以下的角度來說太恐怖了,我丟多少錢我就立刻可以把多少錢賺回來。
[24:17] 這個是真的是很難想像的東西。
[24:19] 前面我們看到了幾個案例,可是大家還是半信半疑。
[24:22] 覺得說搞不好是可能Elon他簽了一個特別好的合約,或是他供需特別緊來這樣。
[24:27] 就連Google這種規模都告訴你說他可以這樣賺錢
[24:30] 簡單來講還是回歸到前幾集一概的論述
[24:34] 我們盡可能的去聚焦產業
[24:37] 股價就是上上下下
[24:38] 有時候我們也不知道說怎麼這邊突然間噴了
[24:41] 或是怎麼突然間這樣崩下來
[24:42] 有些崩下來的東西後來又再噴上去了
[24:45] 所以我們盡量聚焦在產業這一塊
[24:47] 因為我們知道產業如果是繼續往上爬的話
[24:49] 這個股價就像是一條狗
[24:50] 也不再罵他
[24:51] 就是說你在遛狗有一個牽繩那個是一個老生常談他會跑上跑下這幾個產業的限制是跑上跑下,可是他會順著產業的線去跑。所以直到我們去注意到一些Early Indication,去展示市場可能有一個反轉的訊號之前,一般我們注意到Early Indication 股價可能已經崩掉蠻多了。
[25:09] 但我們盡量還是不去當末日論者,就是會順著這個產業的方向去跟大家聊。
[25:15] 這也是比較紮實的一個做法
[25:18] 所以稍微的講一下這次的事件
[25:21] 然後為什麼我覺得它應該算是市場裡面超巨型的一個利多
[25:25] 那只是當然目前就是一個震盪的盤子
[25:28] 可能就是在醞釀後面的一些力量之類的
[25:30] 不曉得但也有搞不好就是泡沫已經要破了
[25:33] 然後市場很聰明在那邊遲遲不決定方向
[25:36] 只是看起來真的不太像
[25:37] 看起來真的不太像
[25:38] 因為有太多偏正向的訊號在這裡
[25:40] 那稍微的跟大家講一下自己的一些心得
[25:43] 那接下來我們進入Q&A的部分
[25:44] 第一位,Jan,孟恭chika,我跟老公一直都是你的忠實聽眾,從一開始為了股票開始聽,到現在最喜歡你分享育兒,去年迎來可愛的女兒,女兒長得真的很像爸爸。
[25:55] 那為什麼後面要放一個哭臉的emoji啊?有時候還是要考慮一下爸爸的感受好不好?
[25:59] 那最近先生身體欠佳,想請孟恭發揮直男巧虎的魔力,請神山Nash好好愛護自己的身體,畢竟你已經是一個孩子的爸爸了。
[26:08] 那最後祝主A家人平安健康快樂,非常感謝,那我們祝Nash可以早日康復。
[26:11] 下面一位大牛比較懶去嘎鄉,請教您對CPU供應鏈的看法。
[26:16] 最近研究下來,我最考的是未來CPU真正高價值,自然被取代的環節。
[26:20] 究竟是在FAU光纖偶合元件、FAU-PIC高精度主動對位跟封裝設備還是台積電COOP本身的平台整合?
