[00:00] 歡迎收聽趙懷古惑仔第1167集,今天是2026年的8月21號,又是星期五啦!
[11:07] 沒有產日閒置的喔!所以你看為什麼不管是旺系、不管是影威,其實他們都什麼?他們是訂單太多,所以什麼?第三季調到第二季,探針是多出,毛利率下降,其實都沒有聽到一個什麼?是什麼?是功過於求?沒有!所以我覺得他們就是有點被誤殺。
[11:27] 接下來看到的就是更好笑的就是今天的日本未知數的訂單。
[11:31] 早上就有人詢問我說,老師老師,那個奇怪耶,PCB、ABF用衛數喔?他們是煮什麼菜用衛數?
[11:39] 但是這真的是,衛資是真的就是衛數公司,真的啊。
[11:44] 我說人家也是有做材料的,你要知道為什麼他要去減產日本的,減產中國的訂單,你要想一件事情。
[11:53] 最近中國的記憶體是不是要大量產出?
[11:57] 因為他們有一家公司掛牌了嘛,他們就說他們要增加記憶體的產出。
[12:00] 長新的記憶體的產出會增加什麼?會增加BT載板的需求。
[12:06] 所以BT載板也要用到未支出的材料啊,ABF載板也要用到未支出的材料啊。
[12:13] 所以看起來確實中國BT載板的用量突然增加了。
[12:17] 可是你要知道,我之前有講過了,就是目前不管是台積電或者是Intel,
[12:22] 其實大家都在加深對於ABF的需求
[12:26] 對於ABF的需求
[12:28] 所以ABF的需求其實對台廠而言是要大量增加
[12:31] 所以曾鼎在上一週他就飛去日本
[12:34] 他跟魏智樹講說他需要很多的ABF產能的support
[12:38] 你接著魏智樹這個大廠
[12:41] 你是願意去support台灣的ABF還是要去support大陸的BT
[12:45] 撇開政治不要講一定是support ABF嘛
[12:49] 就政治上來講,日本最近吃大陸很多悶虧,他更不可能去support大陸。
[12:55] 但是市場上我就說,因為現在大家看到利空,就覺得好像是很偉大不掉,就殺了。
[13:01] 早上我們的東森小編就問我說,欸凱克凱克,我們今天下午這個答案秀你能不能講一下,講一下這個。
[13:08] 我說可以啊,他說那你現在331怎麼看,我說這是很好的買點啊。
[13:12] 你要知道331的星星在上週是創歷史新高,創歷史新高的股票本來他就要找一個理由下來。
[13:18] 有的有下來做一個修正,今天剛好趁這個機會下來,快要跌停你不買什麼時候買?
[13:24] 然後尾盤就拉起來了。
[13:27] 小兵就說,凱哥你這速度也太快了,我們根本沒有機會上車。
[13:33] 所以不要聽他們在那邊每天做單秀好不好?
[13:37] 因為他們每天聽很多老師在分析盤,每天聽很多,但你就知道說基本上我剛剛講了喔,
[13:44] 真鼎是台灣的老市,他都去跟衛生事務所講說,他的產能要大幅的增加,那你就不用講說不管是新興或者是景碩。
[13:56] 我之前有講過,其實以目前台灣的ABF這幾家,最慢的就是南電。南電到最近才開始覺得好像他不擴,好像不對。
[14:05] 但是他也害了長廣跌下來,因為之前他跟法人講說好像沒有什麼擴廠的必要,所以長廣就硬生下跌。
[14:14] 但是後來告訴你什麼?
[14:16] 長網自己開發說也講了
[14:18] 目前整個客戶看起來從2026年下半年到2028年
[14:22] 都是明顯的基台供不應求
[14:25] 他們連他們自己基台的供應都缺料
[14:28] 所以告訴你這是什麼?
[14:29] 這是一個很大的什麼?
[14:30] 很大一個爆發
[14:32] 但是股價下跌的時候其實大家都看利空
[14:35] 大家都沒有想到利多
[14:36] 所以我就覺得說基本上它下來是可以讓你去做買進的動作
[14:40] 雖然是今天行情確實有點特殊
[14:42] 就是接一點走小型股,像鼎源也是,比較補漲的小型股,鼎源就是大家看不太懂他在漲什麼,其實他是做光通訊的,他其實跟CPO是很接近的,那他接到國際的光通大廠,也有台灣的光通大廠,剛才說他的產能不夠,他大幅的擴廠,你看他在擴廠,他股價漲停板,我們的用字也在擴廠,結果今天大跌,就告訴你說,基本上這個不好的消息掉到誰的手上,
[15:12] 誰家的門口誰家就要湊好幾天啊
[15:14] 所以擁置也只能認了
[15:16] 但是我覺得行情走到這邊來啊
[15:18] 基本上我覺得有一點點的開始會進入有點難度高囉
[15:23] 為什麼?因為之前大家的普遍想法是覺得明年看很好
[15:27] 大家在等什麼?等趕快美國跟伊朗再打一次
[15:30] 然後就把伊朗徹底怎樣毀滅掉
[15:32] 然後呢股市就大漲了
[15:34] 可是現在看起來不是
[15:35] 因為在8月19就在我生日的這一天
[15:38] 川普講說我們要擴大對伊朗的經濟制裁,表示什麼?他不想用武力來攻打伊朗了,他決定要全面的封鎖伊朗,可是這個會造成一個事情喔,那就告訴你短期的赫姆茲海峽無解,他也不想解了,因為其實美國根本不靠赫姆茲海峽,但是他會對什麼影響很大?他會對中國影響很大,中國吃伊朗很多的油,
[16:05] 中國要去幫助你去制裁伊朗,這不是要中國自己要自卸武裝嗎?這對中國會是很大的威脅。
[16:15] 所以你看喔,其實今天什麼在大漲?油價在大漲,海運也在大漲,因為海運的空船會明顯的減少,因為油變貴了嘛,所以大家的船數就減慢了。
[16:28] 減慢什麼?就造成船運量的船舶力、船力什麼下降,就是沒有什麼空置的船了。
[16:34] 所以今天航運股就大漲,而且這台航運還會漲一段,但是我個人覺得啦,就是你喜歡航運的你可以去買航運,但是你喜歡AI我覺得你也不用放棄AI,因為它已經沒有像之前就是一觸即發。
[16:47] 我覺得本來有兩個利空點,一個就是美益趕快打一打,接著就是九月趕快升息完之後,基本上股市就回到正軌,就繼續走自己的路。
[16:57] 可是現在這個是他不打了,那因為他不打,油價會上來,他不打了,通膨會上來,所以看起來九月的升息,雖然市場普遍都認為不會升,但現在看起來是升的機率非常的大,但我個人覺得升完也無所謂,升完還是繼續走自己的路,只是在這一段一直到升息的這一段可能油價就要囂張一點,海運、航運可能要囂張一點,因為當這油價一直高居不下的時候啊,其實美國現在的重點不是航空用油,
[17:26] 是去生產很多的柴油,因為柴油很多的工業要用,所以造成柴油的價格會上來,航空用油的用量會減少,不是用量會減少,供給會減少,所以造成所有的不管是海上飄的、路上飛的,大家都告訴你什麼,要增加燃油附加費,就會造成這一波這個行情這樣上來,那我覺得也沒有不好啦,因為畢竟這個長榮海、陽明他們也是屬於台灣的前五十大成分股,
[17:53] 他們漲對股市某種程度也是一個利多,只是當他們在漲的時候會讓AI的股票稍微悶一點,因為資金就不是很高度集中在AI股上面,但是我覺得後續還是會走自己的路,所以我覺得也不用太擔心。
[18:08] 好,因為今天量縮了,今天上市量只有7000億左右,開盤的時候還一度有看到6000億,甚至有5900億的預估量。
[18:17] 所以今天又是星期五,量又縮,漲上來的股票大部分大家就反而沒那麼的熟悉。
[18:24] 或者是雖然我們有持續幫大家追蹤散裝跟貨櫃航運,還包括說像最近還追蹤到藍銀河的水位又降到無法通行了嘛,諸如此類的。
[18:33] 可是畢竟我想手上有很多航運股的朋友是少數,也許這一波有跟,像981A對不對,前兩天不是,這個賣國巨買惠陽KY,這個靈敏性是真的蠻高喔,但是因為他手上大部位的還多半是科技股,沒有辦法因為一檔惠陽KY把績效就徹底拉起來,但是這種風向敏感度蠻強的哦,剛剛凱哥有特別提到說未知素,他確實是做未素的公司,應該也有蠻多人聽過這個故事,但我自己覺得很不可思議哦,因為他是利用所謂生產氨基酸跟未經的化學副產物,投入一個環氧素質跟絕緣材料的研究。
[19:09] 重點是這個材料薄膜化的製程,讓全世界有95%的市占率是在未知數的身上。
[19:19] 我那時候,我今天忍不住跟我團隊小編說,我覺得我今天是研究化學原料的人去想到這個事情。
[19:26] 或像之前我們常常講中鋼去煉那個煤焦油,煤焦油後來給中碳再使用。
[19:31] 你都覺得好合理,你再做一個吃的,做味精,然後做一做,你覺得這個東西可以拿來當電子級的一個薄膜材料。
[19:39] 這個太猛了吧,而且搞到後來是因為他製程上很厲害才能拿到95%的市佔率。
[19:44] 這邊幫大家小小科普一下,但是我非常認同凱哥講的一件事。
[19:50] 長上來,其實我們昨天也有聊到,凱哥祝你生日快樂。
[19:55] 謝謝謝謝。
[19:55] 8月19號,獅子男,獅子座,昨天來的張杰隊長牡羊座,我射手座,所以連續三天我們都是火的組合。
[20:05] 難怪火的組合會特別喜歡聊產業嘛,我也不知道。
[20:09] 好回到盤面上
[20:11] 但是現在如果未知數
[20:13] 他要把材料專心供應給ABF
[20:17] 優先而不是BTE
[20:19] 再加上真頂都飛去跟他要了
[20:22] 真頂還是老四
[20:23] 當然背後真頂有鴻海
[20:25] 真頂最近還被鴻海處分一些股票
[20:28] 所以有點壓抑到他的股價
[20:30] 但這都是短線上的因素
[20:31] 他還是努力的從原本的消費性電子
[20:34] 要轉到更多的災辦
[20:36] 以及我們還有另外的另外三雄
[20:39] 我想這個是對台股的是好消息,我們必須坦白講以中場線來說,難電保守也可以理解,因為裡面像擴產當初講的最滿的就是新興,2021就說我的訂單滿到2026,結果這個擴產計畫就造成後面很大的傷害,這樣旁邊的人當然就殺雞儆猴嘛,你當初講那麼滿,那現在他又是台數集團裡面的,自然想法可能都會稍微保守一點點,但無論如何大家都動起來了,
[21:07] 所以我覺得短空長多啦,就這件事情我們要理解,台灣在整個AI升級的計畫裡面,我現在目前幾乎看不到什麼事情是絕對致命的對台灣是完全不好的,然後全世界還蠻需要台灣的供應鏈,尤其是在世界上我們的產值是有舉出輕重地位的一些領域,都不要擔心。
[21:29] 那探針我覺得凱哥講得非常清楚,因為我個人是一直在關注旺系,我也希望能買到便宜的旺系,所以就比較私心上會去多請教凱哥探針的東西。
[21:40] 那旺系有一些利空或者是剛剛講到的,上半年有人就提早拉貨了嘛,怕買不到就先買了,那大家就以上半年的成長率覺得,那你下半年他比這個成長率更高,就沒想到人家告訴你說,沒有啦,就是朝三暮四跟朝四暮三。
[21:55] 但是全年7這個事情沒有改變,明年可能10、15這個事情沒有改變啊。
[22:03] 所以當這個只要確定沒有說什麼很嚴重的侵權是真的,然後賠一大筆錢這種鬼事情的話,如果沒有,那其實我覺得旺系就回到我真的是強力關注。
[22:14] 那雍至走成一個島山型,大家要理解他跟聯發科的聯想,可是事實上Ethic這個市場,TPU的市場不可能有A就沒有B,這真的不可能。
[22:28] 然後已經在談的合作也不可能說因為現在有新歡了,我就跟你完全不要了,那之前講的三盟海誓,這個只會發在人類的身上,科技廠商沒有那麼容易的啦,沒有那麼容易的。
[22:40] 所以這些烏雲我覺得不錯,為什麼不錯?因為談上來你,你沒有,又覺得不敢買了嘛,那現在一定要把握他們遇到這些狀況的時候的勇敢跟勇氣,只要認知這些產業上的雜音會消失。
[22:55] 不過剛剛凱哥跟我聊到一件事,他說他覺得9月升息的機率真的很高,所以我有點緊張,因為9月升息的機率高,油價如果在上面的話,它可能又會造成市場上真的比較短暫上的一個衝擊喔。
[23:08] 對呀,不過我個人覺得先不要看到那麼遠,我們先看到九月初,其實九月初啊,其實台灣會迎來一個很大的力度,就是美國的亞利桑那的這個幾個大的市長都要來台灣,因為我們都知道嘛,其實台積電在亞利桑那的這個擴廠的這個進度其實是在加速中,所以我們回過頭來講就是說,其實亞利桑那來台灣在什麼?他就是來找台灣的台積電的供應鏈,他們要擴大台灣台積電的供應鏈到亞利桑那去設廠。
[23:38] 就告訴你說,看起來台積電要在美國落地生根這件事情看起來已經是很明確了,所以所有的大廠都要跟著去。
[23:48] 那我那天剛好去聽了一家電子急流酸的一家公司,我就聽了就覺得好像真的很好耶,就是因為以前大家其實大部分都在看的都是科技,其他比較不會去看化工材料。
[24:03] 我聽說這家公司從它的角度我們就看得出來未來台積電在美國設廠的速度會加快,而且它目前的擴產的規模還會持續的擴大。
[24:14] 所以這邊也預告大家除了我們現在手上的這些股票,還可以多看一個電子級硫酸,可以去Google一下電子級硫酸台灣哪些公司,基本上不多。
[24:26] 除了有一家叫廣明石化的這一家,但是還沒有掛牌。
[24:32] 對,那剩下就不多加了,但是這些公司未來都會被台積電大量的採用,因為台積電目前內部他們決定要Local採購的比例要從過去的不到5成要拉到7成以上,所以這些電子級油酸當然就會受惠,同樣的我們之前在看什麼新硬材、達新材、台特化,其實都會跟著受惠喔,所以大家其實尤其這一段這些股票其實都沒有漲,還記不記得還在第二季的時候,凱恩就跟大家講說CPU第三季的時候,
[25:02] 我認為,在第三季,股價一定會漲。
[25:04] 因為零化硬的基板在第三季產能會開出來。
[25:08] 現在告訴大家,第三季的下半期,這些特化公司也都會開始漲。
[25:14] 所以請大家這時候趕快認真地去做功課。
[25:18] 我們不是去追那個已經高高在上的股票,我們要找好的股票,它有弱難在低點,我們就可以慢慢地佈局。
[25:26] 廣民失業沒有掛牌
[25:56] 先想到的就是從光電材料切到這個半導體材料啊,大家可能想到達芯材啊、芯硬材70%都給台積電啊、台特化啊,都想這些。
[26:05] 但是有一些中低位階的為什麼前一陣子長這麼的凶悍,它就是因為有順利的接到相關的訂單了,我覺得這個是很值得留意的。
[26:15] 就等於我們的火種,這幾天一直強調一個事情,有時候有一些公司它已經是領頭級的大廠了,它已經走在很前面了,去年就已經反映出它的好的狀態了。
[26:26] 但是它可能面臨到的是今年就是所謂的成長率最高的一年。
[26:31] 明年有成長,但成長率不如今年高。
[26:34] 可是還是有一些公司是今年剛開始成長,明年的成長率比今年高。
[26:39] 因為我覺得進入到明年,你說像今年我們平均台灣的GDP成長率11%多,
[26:44] 真的是施工跟我說是39年來的新高。
[26:49] 那今年的成長率這麼高,明年有沒有雙位數恐怕很難了。
[26:54] 明年的GP成長率有個5%已經很厲害了,機器這麼高,那就代表有成長,可是成長率沒有這麼高的情況下,產業就需要有人來接棒。
[27:05] 或者是剛剛我們提到的,遇到一些莫名其妙利空,他回檔了,剛好之前嫌他本益比高,嫌他已經Price In明後年的狀況了,現在又回到他可能只有Price In今年,那就可以再去思考明年。
[27:18] 我覺得這是這段時間大家可以去理解的投資邏輯,不要把下跌當作毒蛇猛獸。
[27:24] 我覺得我們一直強調基本面產業面繼續發展的時候,我們現在很難賺到像去年一波從這個2萬多漲到4萬多這個紅利啦,這必須坦白說。
[27:34] 可是如果從4萬多像打回4萬點,那你說未來再攻5萬點,甚至5萬更高6萬點好了,假設,假設,這個不是沒有機會喔。
[27:43] 因為後面的剛剛講到有接棒的產業連續的上來嘛
[27:47] 然後落難的他會再起來
[27:49] 這些我覺得都蠻重要
[27:50] 就像這一波反攻到46000
[27:52] 大家會說我手上很多股票都還是沒有回到原點啊
[27:56] 那如果你手上的股票沒有回到原點
[27:59] 為什麼大盤可以離新高只差2000點
[28:02] 就代表有一些厲害的東西在領頭對不對全職股
[28:33] 我們整個塑化並沒有因此全面起揚,鋼鐵也還沒有,航運也才剛開始。
[28:39] 我覺得像這樣的情況下,明年我們就要留意到有很多的角色是怎麼扮演的。
[28:45] 我還是覺得其實是滿充滿希望的啦。
[28:49] 其實剛剛會講說,為什麼大家對電子機材料都沒有想到台灣才知道,
[28:53] 主要是因為他們過去都是交給像關東、八十福,然後再透過他們交給台積電。
[29:00] 所以大家不會想到說其實他們之前就已經有交了
[29:03] 所以像他們是像力積電、像聯電
[29:07] 其實他們就有在交
[29:08] 只是大家都沒有太注意
[29:09] 那現在就是說他們已經直接成為一線的供應商
[29:13] 他們可能今年就開始不交巴士服
[29:15] 所以巴士服現在很頭痛
[29:16] 就是我拿不到原料了
[29:18] 這些原料廠居然直接跳過我直接跟台積電合作
[29:21] 所以我覺得這些其實都是可以看的
[29:23] 再來就是我們剛才講
[29:25] 大盤還在這裡
[29:26] 可是你看我們的台光電、我們的星星
[29:28] 其實他們都已經創新高了
[29:30] 所以告訴你大盤為什麼漲得這麼快
[29:34] 其實不是沒有原因
[29:35] 因為有人已經創新高啦
[29:37] 只是你買的股票
[29:38] 你是屬於那個長線會創新高的股票
[29:40] 還是長線就在這邊popo show的股票
[29:43] 那你要知道如果你的股票是長線沒有辦法創新高
[29:47] 而是在這邊載浮載沉
[29:48] 其實你就要做一點換股的動作
[29:50] 我們常常一直跟大家講說你不要一次全換嘛
[29:53] 你可以先一部分的換
[29:54] 然後去觀察一下
[29:56] 你換這個股票是不是如你的預期
[29:57] 開始蒸蒸日上,而原本婆婆熊的股票還在那邊婆婆熊,那你就可以慢慢移慢慢移慢慢移,而不是說今天叫你把你的股票全部都砍掉,去換到那個蒸蒸日上,因為有時候判斷不是這麼容易,有時候你覺得今天蒸蒸日上,可是你買下去之後,欸他怎麼又下去了,你就會覺得說你買錯了,但是我說你可以部分慢慢的移,我們用我們的觀察去做最好的判斷,這樣你就可以把你的資產順利的移出來,如果是股票一直在那邊高居不下,不是高居不下,低檔在這邊盤整,
[30:27] 其實確實會很悶啊,確實會很悶。
[30:30] 就像今天的盤真的有點無聊。
[30:32] 今天盤,我們在無聊中,反而像昨天我覺得聊很多產業,還有今天跟凱哥聊很多產業的時候,就覺得那就真的還蠻有趣。
[30:40] 我的盤無聊說,今天在盤中你熟悉的這些股票都疊個56788的。
[30:45] 但疊56788其實會有點心動心動的。
[30:48] 就是今天整體的板材不只是,剛剛講不只ABF,其實CCL,一般的伺服器板材,全部都疊耶。
[30:57] 然後矽晶圓是最慘的,矽晶圓這一波彈也比較沒有力,比較慢,然後跌的時候倒是也不輸人這樣子。
[31:04] 被動元件今天也是有點重災。
[31:07] 對,今天被動元件也是很怪,好像有傳出來說,被處置的公司不能納入MACI,所以很多就被殺下來。
[31:16] 但我覺得好像跟這沒有什麼關係。
[31:18] 我覺得今天其實被動元件的很重要股票就是和生堂,因為之前大家都跌了,他沒有跌。
[31:25] 所以我感覺它今天就是補跌,就跟著下來,但是基本面我覺得其實它沒有壞,但就是可能覺得短線好像也沒有什麼太大的題材,但是我必須跟大家講,九月份你就會再看到被動元件的MLCC宣布要漲價,到時候大家講說,哎呀為什麼當初下來的時候怎麼沒有買,怎麼又上去了,所以跟大家講說其實市場偶爾在絕望的時候,其實你要找到那個希望,你只要看到希望,你就看到光,你就會往有光的方向去。
[31:54] 今天的話,機器人,因為展覽快結束了,我們有看到新代,凱哥以前相當喜歡的,今天是諜艇,但是有一些可能跟輝達供應鏈、Agility 掛牌的,例如能力集團,就相對可能有能力亞洲比較強一點點,各自有各自的表現。
[32:14] 那機器人在展覽結束後,難道就沒了嗎?但我們有看到,有蠻多大戶或是報告,最近倒是有在看機器人。
[32:22] 對,我覺得就是機器人其實一方面是這個自動化展機器人展要結束以外還有一個原因就是大陸的語速已經掛牌了
[32:30] 它跟當初的這個Spaces掛牌是一樣的概念
[32:33] 就是市場高度的關注那它一上去之後就開始蜜月行情就結束了
