[00:00] 歡迎收聽趙華與古貨仔第1021集1021
[05:23] 都其實沒有動
[05:25] 是 都沒有動
[05:26] 所以導致今年的報酬率以來
[05:29] 這樣還算是相當不錯
[05:31] 那我要跟大家講的就是說
[05:34] 那個通常我們1月
[05:36] 除了有元月行情之外
[05:39] 這個還有一個
[05:40] 就是你假如在這個股市待得夠久
[05:43] 通常一月在股市老手的眼中
[05:47] 也可能是全年的縮影
[05:49] 全年的縮影
[05:51] 那不就今年要highball了嗎
[05:53] 今年大概會
[05:54] 是大概怎麼樣子
[05:57] 譬如說一月份最強的股票
[06:00] 是什麼
[06:01] 那搞不好就是今年
[06:03] 比較強的股票
[06:05] 對對對
[06:06] 好
[06:06] 那大家剛才我講地寶跟群一正
[06:10] 剛好是去年蠻弱的股票
[06:11] 尤其地寶去年跌了快40%
[06:14] 一年
[06:15] 群聚症你假如沒有加息
[06:17] 它大概跌了7%
[06:19] 都是很
[06:20] 大盤漲20幾
[06:21] 他們都是很弱的股票
[06:23] 這些弱的股票就
[06:26] 也不止
[06:27] 還有風向KY
[06:29] 也漲了十幾%
[06:31] 所以我是覺得
[06:33] 我本來在設定了這個翻
[06:37] 價值股翻身
[06:38] 似乎是有這個味道
[06:41] 那你會說只有三檔股票不算
[06:43] 我想大家再去看看
[06:44] 0091900918
[06:46] 他們最近可能很猛
[06:48] 他們也都
[06:50] 漲幅也都
[06:51] 我想還是劣數大盤
[06:53] 但是都有5到7%之間
[06:56] 而且是在相當短的時間之內
[06:59] 就是大概不到一個月
[07:01] 這對ETF這種漲勢也是相當可觀
[07:04] 而且就有復活的感覺
[07:06] 大家去年苦了一整年
[07:08] 所以在這個盤式
[07:10] 其實裡面有點弔詭
[07:11] 就是說熱門題材股
[07:13] 包括低潤
[07:14] 矽光子
[07:15] 那些熱門
[07:17] 還是繼續漲
[07:17] 臺積電更沒話講
[07:19] 繼續漲
[07:20] 但是為什麼
[07:21] 為什麼那些所謂的
[07:23] 因為你假如看去年
[07:24] 一整年就是
[07:25] 每當這些熱門題材股的時候
[07:27] 漲的時候
[07:28] 這些所謂的價值股
[07:30] 高值利率股
[07:31] 就很落寞
[07:31] 就是跌
[07:32] 他們就會形成一個悄悄板
[07:34] 如果假如那些
[07:36] 熱門題材股
[07:37] 再做修正
[07:38] 拉回
[07:38] 反倒他們
[07:39] 稍微就說紅了
[07:41] 就彼此互斥
[07:43] 那今年是
[07:45] 熱門題材股繼續漲
[07:46] 那這些繼續平反
[07:49] 那我的看法是這樣
[07:51] 我是覺得一些聰明的資金
[07:54] 的確有在所謂的高檔
[07:57] 因為我所認識的一些
[07:59] 比如說操作金額比較大的
[08:01] 上億元的
[08:02] 他們的確有在熱門題材股
[08:05] 他們有開始做拔檔
[08:08] 然後轉道
[08:10] 但是你知道嗎
[08:11] 這股市這幾年實在是太美好了
[08:14] 不可能說把擋之後
[08:16] 我就不理他了
[08:17] 我就不參與股市
[08:19] 不可能的
[08:20] 他們就開始找低基期的
[08:22] 尤其你說配息
[08:25] 在半年也陸續六七月也到了
[08:28] 也可以開始佈局了
[08:30] 大概是
[08:31] 那現在大家
[08:32] 我覺得觀點不要以為說
[08:35] 延續去年
[08:37] 說熱門題材股假如漲
[08:39] 那我們的價值股沒有機會
[08:40] 我覺得可能要做修正
[08:42] 不會是這樣
[08:44] 而是在一個
[08:45] 但是資金有開始做短轉向
[08:49] 倒是真的
[08:51] 我把今天熱門題材
[08:54] 也再跟大家補充一下
[08:56] 你看連傅旭科可以講出矽光子
[08:58] 那前一陣子矽光子在休息的時候
[09:00] 大家就覺得很惻心
[09:01] 我看到還蠻多人
[09:02] 時不時會在各討論區問說
[09:04] 矽光子最近怎麼樣
[09:05] 其實就是這樣
[09:06] 就只是輪動
[09:07] 對有跟他分享說
[09:08] 因為細光子
[09:09] 他終究還是
[09:10] 輝達跟臺定要發展的
[09:11] 那今天誰帶頭掌聽板
[09:13] 就是聯亞
[09:14] 聯亞他被大摩調高
[09:16] 平等到800塊錢
[09:18] 大家說沒有什麼賺錢
[09:19] 也可以800塊
[09:20] 對細光子這個族群
[09:21] 就是這樣
[09:22] 所以他也很看人
[09:23] 像趙華喜歡細光子
[09:25] 但我也知道
[09:25] 他算是我的持股部位裡面
[09:28] 本益比相對是非常非常高的
[09:30] 但是以我對他的股性來說
[09:32] 不知道為什麼
[09:33] 就是特別有信任感
[09:34] 跟親切感
[09:35] 有時候股源就是這樣子
[09:36] 你跟某一些族群會特別有股源
[09:38] 那我本身其實還是蠻注重所謂的基本面
[09:42] 那這個有題材面的不知道什麼細光子
[09:44] 我就是特別的喜歡
[09:45] 可能因為以前我跑過光通訊的關係
[09:47] 對所以今天在聯亞的漲停
[09:49] 像華星光也漲停
[09:51] IETKY也漲停
[09:52] 這個是其中一個
[09:53] 那比較落後的呢
[09:54] 像所謂的MOSFET
[09:55] 這個MOSFET今天大眾跟尼克森都漲停
[09:58] 當然相關像剛剛講到的二極體相關的零件
[10:01] 強貌也很強
[10:02] 這一塊也是相對位階比較低一點點的
[10:05] 我們知道在2021年
[10:07] 其實整體的電子股
[10:08] 有一波超級囤庫存的
[10:10] 疫情紅利大多頭
[10:12] 那現在有很多的公司
[10:13] 其實右下角起漲的
[10:15] 他們都離當時的
[10:16] 疫情紅利大多頭
[10:17] 還蠻遠的
[10:18] 還蠻遠的
[10:19] 那像今天可能
[10:20] MCU這檔比較小
[10:22] 像泰鑫半導體
[10:22] 這比較小
[10:23] 我記得他以前
[10:25] 我可能要重新去看
[10:27] 他以前持有蠻多臺機店
[10:29] 我不確定是因為這樣
[10:30] 今天漲停
[10:31] 那就是低價股十幾塊
[10:32] 因為本業不賺錢
[10:33] 本業這家公司很有趣
[10:35] 以前瞭解他的時候
[10:36] 他就說
[10:36] 這是讓老員工退休的一家公司
[10:38] 對然後吃臺移電的故事
[10:40] 臺移電成本極低
[10:42] 到現在搞不好零成本
[10:43] 好很有趣
[10:44] 那今天還有像什麼
[10:46] 剛剛講到的細金元類的
[10:47] 然後生化家裡晶片類的
[10:49] 都是屬於右下角的
[10:51] 那如果熱門的PCB上游
[10:53] 今天有臺播
[10:54] 但富喬就很喜嘛
[10:55] 但建榮還是說漲停
[10:57] 所以現在真的叫做
[10:59] 什麼題材都有可能然後沒有賺錢的右下角的也有可能然後富旭哥喜歡的像剛剛講的七零件確實也是關稅降低的受惠者所以一月的縮影如果是全年的話
[11:10] 那不得了哦
[11:11] 可能電子傳產都會有機會哦
[11:15] 那今天群創比較弱
[11:16] 是因為集團裡面
[11:18] 因為他們都算泛紅壓軍
[11:19] 紅準出了四萬張左右的群創
[11:22] 也合理
[11:23] 大家不要那個覺得說
[11:25] 這樣賣了
[11:26] 他後面股價就不會漲了
[11:28] 因為華鑫也賣了華東
[11:30] 對不對
[11:30] 大家其實都有賣
[11:31] 臺博不是之前還說
[11:33] 董娘要賣股嗎
[11:34] 後來又說沒有賣
[11:35] 因為價錢不好
[11:35] 種種的在這段時間
[11:37] 你會難免看到
[11:38] 有一些大股東會開始賣股
[11:39] 可是不一定會把股票賣下去
[11:41] 因為現在很熱
[11:42] 那這邊的話
[11:43] 要請富遜哥幫我們分享
[11:45] 如果1月是全年的縮影
[11:46] 可是不可能每一個月
[11:48] 都像1月這麼誇張
[11:49] 對不對
[11:49] 那我們抓的投資節奏
[11:51] 以及剛剛我講的
[11:52] 雖然我們看融資預額
[11:54] 大概5000億
[11:55] 還沒有過1999年
[11:56] 可是富遜哥說
[11:57] 早就超過了
[11:58] 因為現在融資的管道太多了
[12:00] 這可能也是一個
[12:01] 股市很熱的現象
[12:03] 在股市熱的時候
[12:04] 大家還是要coach一點
[12:06] 要謹慎一點
[12:07] 第一個就是融資餘額
[12:09] 你會覺得好像還沒過
[12:10] 事實上我們那時候
[12:12] 比1990年代那時候的融資
[12:15] 股票的融資管道要多很多
[12:17] 現在還有所謂的你知道嗎
[12:19] 不限用途貸款
[12:21] 不限用途貸款
[12:23] 雖然你拿股票去質押借的錢
[12:26] 不一定要買股票
[12:27] 但是我研判七成都是買股票
[12:30] 你說拿去做裝修去旅遊也有可能
[12:34] 但是我是覺得還是買股票居多
[12:37] 那個你也要把它當成一種融資餘額
[12:39] 現在大概是四千多億
[12:42] 你給它乘以七十percent
[12:45] 也是快兩千八百多億
[12:47] 你要把它加上去
[12:49] 那你這樣加上去之後
[12:52] 那可能就超過一九九九年
[12:54] 五千多億的歷史的
[12:56] 龍之魚兒的新高
[12:57] 那在這麼股市在
[12:59] 又很
[13:00] 而且第二個
[13:01] 我覺得我有一點concern的
[13:04] 就是成交量
[13:05] 今年開年以來
[13:07] 我不知道你有沒有注意到
[13:09] 成交量爆很大
[13:10] 所以你虛認
[13:11] 你虛認真的會這樣
[13:12] 對對對
[13:12] 那成交量爆很大
[13:15] 是爆多大呢
[13:16] 像今天大概是九千多億
[13:18] 有吧
[13:19] 上市加上跪
[13:20] 有
[13:20] 那我保守估計
[13:22] 今年到現在大概還不到一個月
[13:24] 日均成交量應該是7000到8000億之間
[13:28] 那去年是多少你知道嗎
[13:30] 去年大概是
[13:31] 全年平均嗎
[13:32] 對
[13:32] 全年平均的日均成交大概4200多億
[13:35] 所以是
[13:37] 翻倍了
[13:38] 是增加蠻多的
[13:39] 而且去年的日均成交量已經創了歷史新高了
[13:44] 對
[13:44] 以前記得嗎
[13:46] 1000多億爆大
[13:47] 對
[13:48] 現在4000多億量有點低
[13:50] 現在貴買就1500 600億
[13:53] 今天貴買也收了一個近期的爆量
[13:55] 1900億
[13:56] 對對
[13:57] 現在貴買就可以搞到快2000億
[13:59] 所以成交量多
[14:01] 表示這個市場真的很熱
[14:03] 但是我們說融資餘額高
[14:06] 成交量大
[14:07] 當然這有很多結構性因素
[14:10] 包括說
[14:11] 比如說現在參與股市的人越來越多
[14:14] 這是一點
[14:15] 還有所謂的
[14:17] 對臺股的有興趣的法人
[14:20] 包括國外的也越來越多
[14:22] 對
[14:22] 包括中國還有資金
[14:25] 外資從中國香港撤出
[14:28] 跑到臺灣南韓的日本的
[14:31] 這也是一個國際的一個趨勢
[14:33] 這三年一直持續這樣
[14:34] 所以你也不能說
[14:35] 陳家康看這樣也很恐怖
[14:37] 因為他也有他的一個結構性的原因
[14:39] 好那講實際說
[14:41] 我自己怎麼觀察在這個
[14:43] 過熱的時候的警訊
[14:45] 我自己的手機
[14:47] 大家都知道說
[14:49] 雖然我只投資一些
[14:51] 比較廉價的
[14:52] 低位階的價值股
[14:54] 你喜歡價值股
[14:55] 也不見得廉價
[14:57] 但是我對於熱門題材股
[15:00] 至少股價我是關心的
[15:03] 比如說我的自選股市
[15:05] 就有很多熱門題材股
[15:08] 比如說有雙鴻
[15:10] 秦城
[15:11] 川湖
[15:12] 反正一堆
[15:13] 創意
[15:14] 金居
[15:15] 雷虎
[15:17] 富橋
[15:18] 我不投資這個
[15:20] 那我為什麼會關心他的股價
[15:23] 我會注意到一個現象
[15:27] 我最關心的其實還不是
[15:29] 龍之宇和跟陳教亮
[15:32] 是什麼
[15:32] 是這些熱門的
[15:34] 而且不是妖股
[15:35] 我剛才講沒有一檔妖股
[15:37] 都是領頭羊心
[15:37] 對都領頭羊心
[15:38] 而且其實都是
[15:39] 算是公司治理各方面都很好
[15:42] 而且都有EPS的
[15:43] 只是他們本益比比較高而已
[15:45] 臺達電你說不好嗎
[15:46] 很好啊
[15:47] 但是他本益比六十幾倍
[15:49] 那我會注意這些熱門題材股的領頭羊
[15:53] 正派公司
[15:54] 你不要找那種妖股
[15:55] 這種正派公司
[15:57] 他的他假如高點從高點
[16:00] 拉回超過20%
[16:02] 你假如是隻有兩三家沒關係
[16:05] 你假如看我的群組
[16:07] 自選群組是這些熱門題材股
[16:10] 哇糟糕
[16:11] 怎麼大概有一半
[16:13] 因為這個裡面
[16:14] 大概建了四五十檔
[16:16] 一半
[16:17] 是
[16:17] 都從高點拉回20%
[16:19] 那我會很小心
[16:20] 對
[16:21] 你不會把它當成
[16:22] 是一個買點嗎
[16:23] 沒有
[16:23] 我不是把它賣
[16:24] 到時候假如出現這種狀況
[16:26] 我會怎麼做呢
[16:28] 雖然我不投資他們
[16:29] 對
[16:29] 我會連我手上
[16:30] 我手上的股票
[16:31] 我都會減嘛
[16:32] 對
[16:33] 好
[16:34] 對
[16:34] 所以你會看
[16:35] 所有的題材熱潮都過了
[16:37] 對
[16:37] 因為說實話
[16:38] 去年到現在為止
[16:40] 你會發現
[16:40] 就算有一些題材股在休息
[16:42] 還是會有新的題材股接棒
[16:44] 如果所有的題材股
[16:46] 都不接棒了都休息
[16:48] 那可能就是一個警訊了
[16:49] 對對對
[16:50] 你說那個富士哥
[16:51] 你不投資這些
[16:52] 你看他們幹什麼
[16:53] 這會影響到我
[16:54] 因為到時候的假如市場
[16:56] 因為這些熱門題材股
[16:57] 有相當的比重
[17:00] 都從進入空頭
[17:02] 就從高點拉回20%
[17:04] 你不要說只有幾檔
[17:06] 你追蹤50檔
[17:07] 你們有20家都出現這樣的現象
[17:10] 那代表這個市場會轉空
[17:11] 那轉空我們
[17:13] 富潮之下無完卵了
[17:15] 我手上的價值股也難免
[17:17] 在短期內
[17:18] 可能在兩三個月內
[17:20] 會受到衝擊
[17:21] 那我大概會減碼一到兩成
[17:24] 連我手上的股票
[17:25] 富遜哥講到一個很重要的觀念
[17:28] 我這邊也是
[17:28] 我有看到有一些人
[17:30] 會在討論區問
[17:31] 我覺得剛好富遜哥
[17:31] 講出這個問題
[17:32] 就是說如果我很怕
[17:34] 那我把錢全部都放到價值股
[17:37] 或者是現在都沒有動的傳財股
[17:39] 是不是一個避險
[17:40] 不一定
[17:41] 因為股市是這樣子
[17:43] 像我們今天看到的盤
[17:45] 或是說這一兩個禮拜看到的盤
[17:46] 剛剛講到的百花齊放
[17:48] 除了富裕哥剛剛講到的
[17:49] 不管是很熱門的
[17:50] 這些AI一線領頭羊
[17:52] 不管他們的本益比高或低
[17:54] 他們都是在熱的時候
[17:56] 應該會輪漲的
[17:57] 一下子漲細光子
[17:59] 一下子漲散熱
[18:00] 一下子漲這個PCB上游
[18:02] 一下子可能軍工
[18:03] 其實軍工今天有好訊息
[18:05] 可是我覺得因為今天資金比較分散
[18:07] 軍工沒有像之前那樣瘋狂表態
[18:09] 因為昨天的話
[18:10] 國防部又公佈
[18:11] 有1.25兆的軍購
[18:12] 這個聽起來是很大的
[18:14] 那個一筆錢
[18:16] 而且據我瞭解
[18:17] 軍工股已經有人
[18:19] 偷偷透露了
[18:20] 他們有拿到標案了
[18:22] 就等於這個訊息
[18:23] 在今年第一季
[18:24] 會有人拿到標案
[18:25] 這個等一下再聊
[18:26] 但是如果這些公司
[18:28] 他們是一個輪漲的時候
[18:29] 那盤都是一個不錯的
[18:31] 甚至就會把剛剛講到的
[18:33] 其實你說像什麼
[18:33] 塑化也有動
[18:34] 水泥也有動
[18:35] 甚至鋼鐵也有動
[18:37] 就是不會動的價值股
[18:39] 也會因此
[18:40] 因為大盤的價值被提高
[18:41] 整體的價值
[18:43] 就會被拉上來
[18:44] 那因為消費好
[18:45] 說實話
[18:46] 傳產也才會動
[18:47] 有很多什麼智協
[18:48] 成衣
[18:49] 它也是要消費好
[18:50] 不能只被AI拿走
[18:52] 我們講K型社會
[18:53] 現在什麼錢都被AI拿走
[18:54] 可是如果有一天
[18:56] 例如說AI的泡沫破了
[18:57] 剛剛講的這些
[18:58] 通通不行的大回檔
[18:59] 那本來他們在評價上
[19:01] 就比較不受青睞的價值股
[19:02] 它還是會回跌
[19:04] 大家可能疊的沒有那麼多
[19:05] 我覺得這件事情
[19:07] 大家要有一點理解
[19:08] 那如果說遇到空頭怎麼辦
[19:10] 其實遇到空頭
[19:11] 如果你有做所謂的配置
[19:13] 配置在債
[19:14] 或者配置在
[19:15] 當然我不確定
[19:16] 現在貴金屬上不算避險商品
[19:18] 因為黃金一直在創新高
[19:20] 但是有一些避險資產
[19:21] 可能相對這時候
[19:22] 才會有所謂的避險效果
[19:24] 或者反向
[19:25] 就是所謂的做空
[19:26] 或者反向做這個避險的商品
[19:29] 它才有可能在這個時候發揮效果
[19:31] 我覺得我這邊幫富俊哥
[19:33] 再複述一下是說
[19:34] 其實以最近的盤來說
[19:35] 我也不敢隨便說
[19:36] 就要反轉了
[19:37] 因為真的是
[19:38] 我覺得散戶朋友
[19:39] 其實並沒有全面的進場
[19:40] 前面比較像中石戶
[19:42] 跟大戶的進場
[19:43] 但是也還是要
[19:44] 適時的告訴大家
[19:45] 一些觀念
[19:47] 對
[19:47] 那我覺得最放心
[19:48] 最保險的方式
[19:49] 第一項復序哥
[19:50] 即使在2026年
[19:52] 他看到他的股票翻轉
[19:53] 或是有其他更熱的股票
[19:54] 都在他的自選股裡
[19:55] 他不會去改變
[19:56] 他的核心思想
[19:57] 他也是去投資
[19:59] 他覺得今年會成長
[20:00] 股息值利率好
[20:01] 現在價值就是被低估的股票
[20:03] 那對我來說
[20:04] 我最近硬的頭皮也是怎麼樣
[20:06] 就稍微小幅的再加碼一些ETF嘛
[20:09] 例如說像最近主動型的ETF
[20:11] 其實因為在整個輪動的過程中
[20:14] 有人比較吃筆
[20:14] 我就趁它黑的時候買一些
[20:16] 我覺得這是我比較
[20:17] 覺得自己安穩的進場方式啦
[20:20] 好那還是回到富旭哥的身上
[20:22] 就是富旭哥
[20:23] 1月就從地寶
[20:25] 這個汽車零元件
[20:26] 跟群一證上面得到了好的結果
[20:29] 那想請問
[20:30] 先延續這兩個族群
[20:31] 就是汽車零元件
[20:32] 因為現在關稅臺灣談15%
[20:34] 他們去年基期又低
[20:36] 是不是今年就稍微不要
[20:38] 可以期待汽車零元件的全面復甦
[20:40] 對
[20:40] 我看臺灣的汽車零元件
[20:43] 跟美國的那種汽零件
[20:46] 該是不一樣的
[20:47] 我們的汽車零元件
[20:49] 主要是做售後維修市場
[20:51] 復牌的
[20:52] 我們的汽車零元件
[20:56] 它這次調降關稅
[20:58] 我看受惠族群很多
[21:00] 紡織 鞋子 塑化產品都會受惠
[21:03] 工具機
[21:05] 但是汽車零元件受惠程度最高
[21:09] 不是因為我有地保我講這種話
[21:11] 譬如說我也有風翔KY
[21:13] 我告訴你風翔KY
[21:15] 在這次關稅的條件當中
[21:19] 沒有什麼受惠
[21:21] 他前陣子也因為關稅條件
[21:24] 漲了一波
[21:25] 我說這個是假的
[21:26] 他沒有
[21:27] 第一個風翔KY
[21:28] 他在臺灣的產能一點點而已
[21:31] 在新莊
[21:32] 佔了整個集團才不到5%
[21:35] 他的生產大本領在越南
[21:38] 那是越南
[21:40] 可能在出口去美國
[21:42] 所以臺灣條件關稅跟風險關稅
[21:45] 沒有什麼關係的
[21:47] 然後跟那些紡織股
[21:49] 其實關係也不大
[21:50] 因為那些如虹巨羊
[21:54] 他們的生產基地是在越南
[21:57] 對啊
[21:57] 或是在其他開發中國家
[22:00] 之前什麼Nike壓力很大
[22:01] 因為很多代工廠都在越南
[22:03] 對
[22:03] 所以也跟他們沒什麼關係但是他們有時候會有一個好處就是他們的客戶Nike、Aidida在美國因為關稅調降那之前會叫他們供體時間
[22:16] 說我們關稅價格
[22:19] 那你要你那個代工要便宜一點
[22:21] 那現在這個壓力解除
[22:23] 這是第一點
[22:24] 第二點關稅降之後
[22:26] Nike、Aidida這些
[22:28] 他們的客戶的衣服
[22:30] 包包鞋子
[22:31] 可能價格也會跟著下修
[22:34] 然後對美國的消費
[22:36] 比較有幫助
[22:38] 下單可能會比較趨於正面
[22:40] 是這樣
[22:41] 好
[22:42] 那講到七零建股
[22:43] 為什麼
[22:43] 我覺得他們受惠最大
[22:45] 第一個
[22:46] 東洋地寶提維西
[22:47] 他們的生產基地
[22:50] 是在主要是在臺灣
[22:53] 雖然中國也有
[22:54] 但是他們銷去美國的產品
[22:58] 都是臺灣出貨
[23:00] 幾乎都是臺灣出貨
[23:01] 這是第一個
[23:03] 它就跟那個風向KY不一樣
[23:05] 那第二個就是說
[23:08] 他們的產品
[23:09] 他們在銷去美國
[23:12] 像這些汽車零元件
[23:13] 他們都是由美國子公司
[23:15] 擔任所謂的總經銷的角色
[23:18] 所以他們的關稅
[23:19] 其實大部分是自己負擔的
[23:21] 當然有部分是客戶
[23:23] 跟客戶一起負擔
[23:24] 但是大部分是
[23:25] 有相當高的程度
[23:27] 尤其是地寶
[23:29] 它在美國有發貨倉庫
[23:31] 在美國有MassSong這家
[23:33] 美國子公司
[23:34] 持股百萬之百的公司
[23:36] 是Messon跟臺灣進貨
[23:38] 那Messon
[23:40] 當然關稅是Messon負擔的
[23:43] 對
[23:44] 所以東洋
[23:45] 地寶
[23:46] 提維西的美國關稅
[23:48] 其實是他們自己負擔的大部分
[23:50] 不像那些紡織股
[23:52] 是由客戶負擔
[23:54] 或是大家彼此瞧出來的
[23:57] 這不一樣
[23:58] 好
[23:59] 那第三點
[24:00] 他們的產品
[24:01] 比較是屬於所謂的非標準化
[24:05] 而且競爭者就是這幾家而已
[24:08] 比如說在車燈上
[24:11] 大概在美國就四五家
[24:12] 那提維西跟那個地寶
[24:15] 又佔的板子其中八十
[24:17] 所以當關稅
[24:18] 他們之前為了關稅
[24:20] 已經把產品調升一波了
[24:22] 但是現在關稅下降
[24:24] 他們未必會馬上就調降價格
[24:27] 地寶會看看提維西有什麼動作
[24:30] 提維西我要等地保說
[24:32] 關稅條降
[24:33] 你的產品會不會降
[24:34] 他們會在那邊等來等去的
[24:37] 巴相送
[24:38] 所以在這段
[24:40] 我認為市場機制
[24:42] 還是會讓他們
[24:43] 長期而言會降
[24:45] 因為為了要讓產品賣得更好
[24:48] 會降
[24:48] 但是會有一段光旺期
[24:51] 那個光旺期
[24:52] 可能是三個月到半年
[24:53] 所以可以期待
[24:55] 未來三個月到半年
[24:57] 提維西東洋跟
[24:59] 地保的毛利率
[25:01] 我認為會提升
[25:03] 大概至少兩個百分點
[25:05] 兩個百分點就很多了
[25:07] 毛利率
[25:09] 因為關稅降了
[25:10] 他們之前產品價格調升了
[25:13] 但是關稅降
[25:15] 他們未必馬上降
[25:16] 可能是等半年後才陸續調降
[25:20] 我是這樣做分析
[25:23] 所以你也可以看他們的
