[00:00] 欢迎收听赵华一谷货载第1119集
[07:07] 那你的理由就很充分了
[07:08] 你就没有必要
[07:09] 在这个时间点
[07:10] 去吓大家通膨的问题
[07:11] 或升息的问题
[07:12] 如果这两件事情
[07:14] 能安然度过
[07:15] 我反而觉得
[07:16] 从下礼拜开始
[07:17] 就是一个继续等待下一个事件的开端
[07:21] 但是会历经过这一次的洗盘
[07:24] 又大家会重新回到市场上
[07:27] 对因为我觉得市场就是这样
[07:28] 只要反应过的利空
[07:30] 冲击就不太大了
[07:31] 你可以发现到
[07:32] 这个国际的油价就是最典型的例子
[07:35] 三月份为什么全球股市非常恐慌
[07:37] 因为油价短短一段时间
[07:38] 大概不到一个月
[07:39] 从大概每桶70美元升到120美元
[07:43] 所以低迫的冲击让大家非常恐慌
[07:45] 后面也发现到油价一直在100美元上下震荡的时候
[07:48] 市场反而越来越淡化这样的影响
[07:51] 那现在就反过来了
[07:52] 油价开始大跌了
[07:53] 所以过去可能担心什么通膨啊
[07:56] 担心这种油价造成整个一个经济压力的资金
[07:59] 我觉得会慢慢回流
[08:01] 那这情况当然对于整体的资金面来讲是一件好事情
[08:04] 因为你看到外资的空单水位那么高
[08:07] 然后现货连续性的卖超
[08:09] 如果现在因为地缘政治风险而观望了买盘要回补的话
[08:13] 那当然你对于台股这个结算之后的行情
[08:16] 还是可以比较乐观来看待
[08:18] 那当然问题还是在于
[08:20] 那台股现在其实离历史新高非常接近
[08:24] 又变成这样子了
[08:25] 对
[08:25] 所以大家就有点饿完
[08:27] 上礼拜早知道在大跌的时候
[08:29] 买一些股票就好了
[08:30] 对但反正都来不及了
[08:32] 所以事情到现在这个阶段
[08:34] 但大家就会担心说
[08:36] 那会不会所谓的和平协议签下去之后
[08:39] 反而利多出尽
[08:40] 然后市场就出现了一个比较明显的卖压
[08:43] 我觉得但不能够排除这样的一个可能性
[08:47] 但是你可以整体上来看的话
[08:49] 我觉得回到台股的操作
[08:50] 现在如果说整个趋势转为对多方有利的话
[08:54] 我觉得回归到之前
[08:55] 5月份那个时候行情
[08:58] 我们给大家的一个建议是
[08:59] 你先不要预设台股的高点
[09:01] 先不要找一大堆的可能性来吓自己
[09:04] 对你就回归到就整个技术面
[09:06] 筹码面跟国际股市的观察
[09:08] 如果没有看到国际股市大幅度回挡
[09:10] 没有看到整个外资
[09:12] 这个台股创高的时候
[09:13] 又空单大幅增加的话
[09:15] 我觉得是不用自己吓自己的
[09:17] 因为第一个你看
[09:18] 今天的日本跟韩国股市
[09:20] 是全面性的大涨喷出
[09:22] 所以台股虽然说
[09:24] 今天的量是比较观望
[09:25] 但如果以全球股市的表现来看的话
[09:28] 现在也没有看到
[09:29] 所谓的大幅度回挡的风险
[09:31] 所以你就回归到
[09:32] 现在可能在操作上面
[09:34] 我觉得是可以比较偏多
[09:35] 比较积极的操作
[09:37] 那只是说资金就会有点难以选择
[09:39] 我今天最大的困扰是
[09:41] 盘面上几乎什么股票都在涨
[09:43] 对而且如果今天
[09:45] 不管你是做左侧价值
[09:47] 或是右侧动能好了
[09:49] 或是选产业趋势好了
[09:51] 因为左侧一定会觉得
[09:52] 今天没东西捡
[09:53] 可是也不一定
[09:54] 像我是左侧
[09:55] 我今天买个股的意愿
[09:56] 其实相对就还蛮强的
[09:58] 因为他已经修正过
[10:00] 其实蛮多热门题材
[10:01] 已经修正过了
[10:02] 左侧不是一直接刀
[10:03] 我敢接的就是ETF
[10:05] 必须跟大家分享
[10:06] 但个股除非你对它
[10:08] 非常的有把握
[10:09] 否则你买了之后
[10:10] 看到更低
[10:10] 你的感受会更不舒服
[10:12] 因为它是个股
[10:13] 对
[10:13] 因为也有人传讯息说
[10:15] 赵华你说这个破月线
[10:16] 减一点破季线再减一点
[10:17] 个股可以吗
[10:18] 个股不可以
[10:19] 个股不是这样想的
[10:21] 所以
[10:22] 但是今天就会产生一个现象是
[10:25] 你会发现
[10:26] 这些股票有很多低点
[10:28] 已经在上个礼拜一
[10:29] 或上个礼拜三已经出现了
[10:30] 然后没有再跌破了
[10:31] 或者横盘没有涨太多
[10:33] 这时候反而以我来说
[10:34] 它就可能有机会是一个比较止跌
[10:37] 或我知道我现在买在相对便宜
[10:39] 对
[10:40] 所以今天左侧也会觉得
[10:41] 到底要选哪一个
[10:43] 右侧更不用说了
[10:44] 回后买上涨的一大坨
[10:46] 题材更不用说了
[10:47] 所有题材现在又开始百花齐放
[10:49] 对
[10:49] 所以我觉得今天就是
[10:50] 有点选择障碍
[10:51] 但回归到
[10:52] 其实如果你六日
[10:54] 有做一点功课的话
[10:55] 你还是可以找到
[10:56] 那你选什么
[10:57] 我觉得目前来看
[10:58] 市场公司度最高的
[11:00] 你还是在选
[11:01] 涨价升级的题材
[11:03] 没错
[11:03] 那其实这个我觉得
[11:04] 也不会太困难
[11:05] 你就看盘面上
[11:06] 国际股市的资金
[11:08] 跑到哪里去
[11:08] 你跟着去做
[11:10] 我觉得就不会插到哪里去了
[11:11] 被动元件
[11:12] 对
[11:12] 所以今天其实你看到日本股市当中
[11:15] 跟台股的相关性就非常高
[11:17] 比方说我们看到太阳优电
[11:19] 春年制作所
[11:20] 它其实今天在日本股市当中
[11:22] 表现就是非常强势
[11:23] 太阳优电涨了二十几趴
[11:25] 对
[11:25] 现在涨了十八趴
[11:27] 所以你看今天台股的被动元件
[11:29] 全面性的亮灯涨停
[11:31] 创新高的
[11:32] 我觉得都很合理
[11:33] 酷啊
[11:34] 对啊
[11:34] 所以这个我觉得就是
[11:35] 你可以先从这样的一个
[11:37] 百化齐放当中
[11:39] 我觉得第一个是
[11:39] 你看国际股市里面资金比较偏好的标的
[11:42] 那你资金可能就比较大的部队
[11:45] 可以放在这种强势族群上面去
[11:46] 最少你的等待时间不会太久
[11:49] 甚至说你不小心追高
[11:50] 那你明天看到国际的被动运营厂
[11:52] 又在创高的时候
[11:53] 他们反而明天都会震荡一下
[11:55] 又在往上创高
[11:56] 所以我觉得这个是在盘面上
[11:59] 你可以这样观察
[12:00] 那同样的道理你可以看到
[12:02] 比方说上个礼拜五
[12:03] 美股当中什么股票最强
[12:05] 就是在相关的IC设计系资材
[12:08] 所以像安谋啊
[12:10] 像在所谓的英特尔AMD等等的
[12:12] 那今天盘面上你就可以想得到
[12:15] 那可能在台股的细智财表现就还不错
[12:17] 所以像创意啊
[12:18] 像这个联电啊
[12:20] 像一些所谓细智金融的股票
[12:22] 我觉得都跟这些有关系
[12:23] 甚至联发科的表现
[12:25] 所以我觉得目前盘面上
[12:27] 如果你要做一个资金有效率的操作的话
[12:29] 你都可以先从台股资金强势的族群当中
[12:32] 有没有国际股市的一些相关的重要大厂可以参考
[12:36] 那再搭配上
[12:38] 如果有报价可以看
[12:39] 比如说机体有报价
[12:40] 被动元件有报价
[12:41] 细节有报价
[12:42] 这些报价在涨
[12:43] 国际大厨在涨
[12:44] 就可以用过去机体的操作逻辑来看
[12:47] 他们就会有一个强势的资金集中效应
[12:50] 而维持一个强势的表现
[12:52] 所以刚刚提到了
[12:53] 这个刚刚提到的像西思财
[12:55] 像被动元件
[12:56] 是用今天的载板族群
[12:58] 在日本股市当中
[12:59] EBITDA股价也大概涨了
[13:01] 大概18个百分点
[13:02] 对
[13:02] 所以载板还算是已经这一波有回档的
[13:06] 对
[13:06] 但當中最強的還是真頂KY因為他被新增到0050的成分股所以而且他之前算是筹码商相对比较干净又没有大股东卖股的问题
[13:19] 没有错
[13:19] 宅板这一波是因为南亚去卖了南电
[13:22] 对
[13:23] 在整个台塑集团或南亚集团
[13:25] 比较容易现在有这个问题
[13:27] 但今天南亚也首长听半
[13:28] 对因为他卖别人
[13:30] 没有人要卖他
[13:31] 我们常常讲南亚的好处
[13:32] 就是他卖了一托拉库
[13:34] 就是暴赚多少的意外收益
[13:37] 而本业也有好赚
[13:38] 对而且越卖他的库存的市值还越来越高
[13:41] 因为卖掉的股票还一直在创新高
[13:43] 所以我觉得当然对南亚来讲的话
[13:45] 就是因为他卖了南亚科卖了南电
[13:47] 所以这样的股票都离前高还有一段的距离
[13:50] 那本身反而南亚是快要挑战波段的一个新高
[13:54] 那当然我觉得这个都可以观察是什么
[13:56] 就是说刚刚提到的
[13:57] 你从国际大厂的一个表现
[13:59] 可以找到盘面上比较强势的主流
[14:01] 那甚至说你看到江青的细金源也非常强
[14:04] 在日本的盛高
[14:05] 今天股价是大涨了大概18个百分点
[14:08] 所以今天台股的矽晶圆
[14:09] 环球晶啊
[14:10] 中美晶啊
[14:11] 合晶加晶
[14:12] 大堆的
[14:12] 甚至说台胜科
[14:14] 股价都是亮灯掌
[14:15] 太多档了
[14:16] 数不进这样
[14:18] 对
[14:19] 所以我觉得这个是一块
[14:20] 就是说目前来看
[14:21] 我觉得涨价升级的题材
[14:24] 搭配国际大厂的一个表态
[14:26] 那我觉得都是你资金
[14:27] 可以配置比较多的一个资金的比重
[14:30] 那第二件事情
[14:31] 但就可以看到
[14:32] 因为这礼拜大事情很多嘛
[14:33] 所以我们刚刚提到
[14:34] 其实很多今天强势
[14:35] 网上表态的个股
[14:37] 也都跟礼拜四的0050、0056换股有关
[14:41] 所以创意啊
[14:42] 真鼎KY啊
[14:43] 这种茂年、蓝电
[14:45] 都是被新增0050的成分股
[14:47] 那0056新增成分股当中
[14:49] 有所谓的远传啊
[14:50] 然后南亚啊
[14:51] 南亚科啊
[14:52] 华邦电啊
[14:53] 然后这些我觉得也都是在盘面上
[14:56] 你可以关注的是
[14:57] 大家都预期
[14:58] 我可能要去预判下个礼拜
[15:01] 这些高股息或40斤TF
[15:03] 要加码这些标的
[15:04] 所以先卡位
[15:05] 搭配整个题材啊
[15:07] 搭配国际大厂的一个表态
[15:09] 我觉得都是排面上
[15:10] 你可以做一个短线操作的一个重点
[15:12] 那另外一块可能大家就会觉得说
[15:15] 啊这些股票都已经涨很多了
[15:17] 有没有一些相对比较低位阶的
[15:19] 落后不涨的
[15:20] 那我觉得现在这些股票可能就要看到
[15:23] 比方说像美股当中
[15:25] 最近比较弱还在相关的AI伺服器相关的族群
[15:28] 所以你可以看到比方说比较弱的
[15:30] 类似所谓的PCB
[15:32] 很多都是离前高有一段距离啊
[15:35] 台光電啊台耀啊
[15:36] 今天雖然有表態
[15:37] 但從高檔回下來
[15:38] 大家都在月線附近
[15:39] 真散熱的雙紅
[15:41] 奇鴻建設這些的
[15:43] 其實股價我覺得這一波也是
[15:44] 修正的比較兇一點
[15:46] 那這些股票
[15:46] 我覺得就比較適合大家去蹲點
[15:48] 等待他的一個發酵
[15:50] 那等什麼
[15:50] 等美股相關的揮打這些 AI巨頭股票
[15:54] 再度表態往上的時候
[15:55] 他們就會有一波的一個攻勢
[15:57] 所以你可以看到就是強勢股你找
[16:00] 這些報價上漲的
[16:01] 啊你如果要找一個比較穩健的標的的話
[16:03] 你就可以尋找一下
[16:04] 这些属于业绩很好
[16:06] 你觉得他委屈了
[16:06] 但没有那么快发动一些个股
[16:08] 那甚至你也可以去寻找一些
[16:10] 可能是未来想象题材空间比较大的个股
[16:13] 去做一个布局
[16:15] 所以你可以从这样的一个资金配置比重
[16:17] 可以发现到
[16:18] 如果你喜欢短线上要看到马上成效的
[16:20] 但就选最强的嘛
[16:22] 啊
[16:22] 如果说你希望说
[16:23] 哎
[16:23] 我资金能够配合短中长期的规划
[16:26] 那可能你可以配置ETF
[16:29] 或者说你可以去蹲点一些
[16:30] 可能还没有发酵的一些重点族群
[16:33] 好
[16:33] 虽然我会有点开玩笑的尖叫说
[16:36] 被动元件卖飞了
[16:38] 但是被动元件很多档
[16:39] 很多档
[16:40] 我讲的像新商店
[16:42] 它真的是角度比较陡的
[16:44] 当然国巨大哥
[16:45] 他的带头作用也是非常的重要
[16:48] 但是因为我国巨介入的比较晚
[16:49] 所以两个想法
[16:51] 一个是你要不要把这两档公司接回来
[16:54] 我觉得这个是大家如果之前
[16:56] 股票刚卖飞可以去思考的
[16:58] 当然你有可能一接回来
[16:59] 它就没有再继续涨停了
[17:01] 这个风险就要自己理解
[17:03] 但他是一个解方
[17:04] 他是一个解方
[17:05] 因为今天以国际来说
[17:06] 是有接回来的时间的
[17:08] 现场店比较没有
[17:09] 你要不要把他接回来呢
[17:11] 这是第一个
[17:12] 那你也可以去思考
[17:13] 如果你是低档报上来卖飞调的
[17:15] 你前面已经有一大段的
[17:17] 报酬率跟获率
[17:17] 他可能就是你的底气
[17:19] 当然我不是很建议大家这样做
[17:21] 或者是同族群里面
[17:23] 有没有谁长得比较缓
[17:24] 例如说我手上还有另外一档
[17:26] 也有跟大家分享过
[17:27] 叫台庆科
[17:28] 台庆科今天后来也锁了涨停
[17:30] 但他锁得不甘不愿的
[17:31] 很后面才锁
[17:32] 就代表它是被动元件里面
[17:34] 比较弱势的
[17:35] 比较弱势也涨很多了
[17:37] 可它就涨得比较慢
[17:38] 那就看你要不要觉得
[17:39] 那我就快车下车了
[17:41] 跑去搭一个
[17:42] 之前比较慢单通租群的
[17:44] 因为台青科也在第一波
[17:45] 有讲过它的电感要涨价
[17:47] 我现在不是在跟大家
[17:48] 推荐各股
[17:49] 我只是在告诉大家
[17:50] 当我想要自我弥补
[17:51] 这种感觉的时候
[17:52] 我可能会做什么事情
[17:54] 那再加上还有一件事情
[17:56] 是像上个礼拜
[17:57] 有跟大家分享
[17:58] 要减压嘛
[17:59] 所以你卖掉的股票
[18:00] 如果是为了减压
[18:01] 其实说实话就不用管了
[18:03] 你只要去管接下来你怎么做
[18:05] 以及在减压的当时
[18:06] 其实我是看到
[18:07] 礼拜三有跌破礼拜一的低点的时候
[18:10] 就有去减一些所谓的ETF
[18:12] 那当然在今天ETF
[18:13] 涨的绝对不会超过各股这么凌厉
[18:16] 可是也没有关系
[18:17] 就不无小补
[18:18] 就是你不会觉得你全部都错过了
[18:20] 全部都砍在阿呆股那种感觉
[18:22] 也没有砍在阿呆股
[18:23] 是停利
[18:24] 所以我只是有跟大家分享说
[18:28] 当大家今天做一件事情的时候
[18:30] 股票市场是这样子
[18:31] 当然今天选择观望的朋友没有错哦
[18:34] 今天选择观望的朋友也很正确
[18:36] 因为我们都知道
[18:37] 礼拜四还是有大事情
[18:39] 也有廉价
[18:40] 观望就观望
[18:41] 但是要预防的是说
[18:43] 那如果观望完
[18:44] 下礼拜一又经过一个三天的廉价
[18:48] 结果是大喷或是大跌
[18:51] 你会做什么
[18:51] 我觉得反而是今天可以去思考这件事情了
[18:55] 假如今天是处于一个观望
[18:56] 你的理由是什么
[18:57] 我觉得这些是要好好想的
[19:00] 像我今天有进去捡什么
[19:01] 其实我今天有进去
[19:02] 小捡一下CPU的股票
[19:04] 因为我觉得
[19:05] 如果今天行情恢复顺行往上的话
[19:08] CPU已经是领跌到非常深的
[19:11] 那之前也跟大家讲了很多
[19:13] 因为他们跌下来
[19:14] 你比较难评估他们的本益比
[19:16] 所以跌到哪里都不确定
[19:18] 可是上礼拜有聊到
[19:19] 很多CPU是跌了三四十趴
[19:22] 那都已经跌下来了
[19:23] 今天有没有人涨停
[19:24] 今天有一些CPU是涨停的
[19:26] 比较边缘的像鼎源
[19:27] 比较慢涨的像联军
[19:29] 对
[19:29] 他们都涨停了
[19:30] 就代表说这个族群
[19:32] 他应该还是会点火的
[19:33] 加上光圣也缴出了
[19:34] 五月的好营收等等的
[19:36] 诸如此类
[19:36] 所以我今天有去
[19:37] 小减了一些CPU
[19:39] 试试看水温
[19:40] 不代表这边CPU
[19:41] 就是止跌的
[19:43] 但是
[19:43] 应该说他是涨跌互见
[19:45] 我减的自然是
[19:46] 这段时间比较弱势的
[19:48] 修正相当大的
[19:49] 但是我觉得
[19:50] 如果恢复顺行的话
[19:51] 这个族群
[19:52] 我就一直跟大家讲
[19:53] 我本来就有信心
[19:54] 所以我会希望
[19:54] 他在第三季
[19:55] 有机会做点火
[19:57] 那如果看错呢
[19:58] 看错就看错了
[19:59] 看错你可能就要熬一段时间了
[20:01] 因为他们确实平均的本益比都比较高一点
[20:03] 对所以就像刚刚赵老师所说的
[20:05] CPU我觉得还是今年
[20:07] 可能下半年的大题材之一
[20:09] 那如果说你不要担心追高的话
[20:11] 你再去蹲点这种可能未来会发酵的题材
[20:13] 我觉得绝对没有错
[20:15] 那只是说就是大家整个资金配置
[20:17] 你的心态调试上面
[20:19] 因为你买CPU你就要一个心理准备
[20:21] 它最近就不是盘面上强势的出去
[20:23] 对可能会反弹
[20:24] 但你说反弹会不会像被动人间那么整齐的走高
[20:27] 目前还没有看到这样的迹象
[20:28] 所以你买它
[20:29] 你第一个就是你准备
[20:31] 我三个月半年就跟它拼下去了
[20:33] 我拼下去会看它会不会从低档上来
[20:36] 回到前高
[20:37] 可能回到前高是40% 50%的涨幅
[20:39] 你用这样的方式去
[20:40] 去做一些所谓心理准备
[20:42] 不要压太多
[20:43] 我觉得是一个不错的方法
[20:44] 那你可以看到盘面上
[20:46] 像刚刚提到的
[20:47] 延伸刚刚的涨价的题材
[20:49] 我觉得你目前来看的话
[20:51] 如果你真的很担心
[20:52] 被动力电压涨很多的话
[20:54] 你可以找
[20:54] 像过去一样
[20:56] 机体扩散的一个情况
[20:57] 比方机体之前
[20:58] 最先涨的是
[20:59] 纳科华邦电
[21:00] 然后扩散到
[21:01] 力气电跟旺宏
[21:03] 那再来就扩散到模组厂
[21:05] 再来扩散到风策厂
[21:06] 再来扩散到
[21:07] 所谓IC设计
[21:07] 甚至说通路厂
[21:08] 那现在来看
[21:09] 你看到被动元件
[21:10] 几乎都轮过一轮了
[21:11] 所以你这时候
[21:12] 反而可以去看一下
[21:13] 有没有一些公司
[21:15] 它本身
[21:15] 除了它本身
[21:17] 有的本业题材以外
[21:18] 同时也有
[21:19] 被动元件相关的
[21:21] 受惠的题材
[21:22] 那就会变成
[21:23] 他有一个双题材的助攻
[21:24] 那反而我觉得股价
[21:25] 就算被动学院休息的时候
[21:27] 他本业的题材
[21:28] 可能还有续强的一个空间
[21:29] 那最具代表的
[21:30] 我刚刚看到
[21:31] 这造华眼神
[21:32] 然后啊到底是哪一档
[21:33] 其实就是华邦电
[21:35] 哦
[21:35] 这一题全部都交给汉伟哥讲
[21:38] 对因为华邦电
[21:40] 给专业的来
[21:41] 上一次大摩调整
[21:42] 他目标价到222块
[21:45] 他给他调整平等的理由
[21:47] 就是因为
[21:47] 他认为华邦电
[21:49] 接下来细电龙这个领域
[21:51] 它是明年有机会量产收费的
[21:53] 那细电容
[21:54] 大家也解读为是
[21:56] 被动元件当中
[21:57] 目前最难克服的一个
[21:59] 新技术的一个条件
[22:00] 所以未来在更高阶的
[22:02] 所谓的一个晶片当中
[22:03] 细电容会变成必备的一个产品
[22:05] 所以因为这样的一个
[22:07] 新的题材带动
[22:08] 就变成滑板键具备了
[22:10] 记忆体加被动元件的双题材
[22:13] 所以发现到
[22:14] 最近为什么滑板键那么强
[22:15] 今天还来到掌停板
[22:17] 离历史新高
[22:18] 我记得历史新高193块
[22:20] 今天掌心板189块
[22:22] 其实代表说
[22:23] 我觉得他是有机会去挑战
[22:25] 外资给他目标价的
[22:26] 那原因就在于说
[22:28] 因为细电容题材
[22:29] 给他赋予他在
[22:31] 记忆体当中一些新的想象
[22:33] 我觉得过去是
[22:34] 蛮难想象这样的一个转变
[22:35] 你在4月以前你讲说
[22:37] 他可能是这个
[22:39] 记忆体有被动元件题材
[22:40] 大家会不想听
[22:41] 对 什么跟什么
[22:42] 就两个加起来
[22:43] 没有加分这样
[22:44] 对 反而是被动元件
[22:45] 如果有记忆体题材
[22:46] 他可能被动元件
[22:47] 通路同时做记忆体
[22:48] 像迷望石
[22:49] 大家就觉得蜜旺石特别好
[22:50] 那现在反过来蜜旺石涨什么
[22:52] 涨他被动元件本身的通路题材
[22:54] 所以我觉得现在反而机体就比较辛苦一点
[22:57] 他可能要加上被动元件的双题材
[23:00] 表现出来比较好
[23:01] 所以我们讲说
[23:02] 其实大摩报告那边提到三档股票
[23:04] 一档就是所谓的华邦电
[23:06] 另外一档就是明天要出关的利基电
