[00:00] 欢迎收听赵华依国货载第1148集
[02:04] 那要是你今天买了
[02:06] 明天更低
[02:06] 当然
[02:07] 愿买就要服输
[02:09] 这是真的
[02:10] 但是愿买也要知道
[02:12] 自己在买什么
[02:13] 买的东西叫做抢反弹
[02:16] 抢反弹没有抢成功是要走的
[02:19] 还是长线布局
[02:20] 说实话
[02:21] 长线布局
[02:22] 讲起来容易
[02:24] 但是往往在几个礼拜内
[02:26] 你就会发现真不容易
[02:28] 先来欢迎今天的来宾
[02:30] 今天来的是我们的题材猎人汉伟姑
[02:33] 大家好 各位听众朋友大家好
[02:35] 我刚刚讲到长期布局这件事情
[02:38] 讲起来容易
[02:39] 但往往几个礼拜就会知道不容易
[02:42] 这个是真的
[02:43] 因为我们历经过好几次
[02:44] 就是比较大幅的下修
[02:46] 通常在一开始可能会觉得
[02:49] 我还挺得住
[02:50] 可是如果这个下修是超过
[02:52] 例如说一个月好了
[02:53] 很多人就开始感受不好了
[02:55] 尤其是从对等关税以来
[02:57] 其实我们每次的下修
[02:58] 都是速战速决
[03:00] 就是几乎下修完之后
[03:02] 没多久他就V转
[03:04] 或者是就来一个很大的涨幅
[03:06] 让大家觉得
[03:07] 哇那时候卖就是阿呆
[03:09] 但是这一次的话
[03:10] 有点痛哦
[03:11] 因为这一次
[03:12] 虽然我们目前整理到现在
[03:14] 因为六月其实就震荡了啦
[03:16] 六月就来回洗了几次了嘛
[03:18] 那七月到目前为止
[03:19] 也接近七月底了
[03:20] 等于这两个月
[03:21] 我们在一个震荡洗刷盘里面
[03:23] 中小型股的跌幅又很重
[03:25] 就有点熬到今天
[03:27] 其实我开始真的陆续收到
[03:31] 大家觉得是体感最烂的一天
[03:33] 还不是跌2900点的那一天
[03:35] 是今天
[03:35] 所以就你的看法
[03:38] 我们来盘点一下
[03:39] 今天发生了哪些鬼故事
[03:41] 除了韩股继续跌到
[03:43] 暂时停止交易
[03:44] 因为他们讲说
[03:46] 除了前两天提到7月31号
[03:48] 大家里面户头的钱
[03:50] 要足够才能让你买杠杆型商品
[03:53] 今天更讲
[03:54] 直接应该接下来会新的政策
[03:56] 直接限制
[03:57] 你可以买多少杠杆型商品
[03:59] 就直接限制你
[04:00] 那当然我心里会想
[04:01] 就不要买了好不好各位
[04:03] 不要买了
[04:04] 好不好
[04:05] 政府已经这样讲了
[04:06] 到底为什么还要买
[04:07] 重点是还是吓到了大家
[04:09] 所以韩股今天大跌
[04:10] 那昨天晚上美股就有出现了
[04:12] 例如说一样觉得
[04:14] 挥打在帮助有一些AI公司
[04:16] 像OpenAI一直在举债
[04:18] 一直举债
[04:19] 其实没有办法回收
[04:20] 他成为一个大债主
[04:21] 这样是不对的
[04:22] 然后再来是中国
[04:23] 说自己会发展
[04:25] DUV的一些基台
[04:26] 以后可能百分之多少
[04:28] 自己自主
[04:29] 就不用靠到美国
[04:31] 大家又紧张了
[04:32] 中国又发展成
[04:33] 他AI设备可以自己做了
[04:35] 这些事情综合起来
[04:37] 你说新不新也不新
[04:39] 但是你说影响大不大
[04:40] 现在利空看起来
[04:41] 反应特别大
[04:42] 那所以请汉伟哥
[04:43] 帮我讲一下
[04:44] 到底这些事情
[04:46] 我们要对他重视的程度
[04:48] 因为市场永远是对的
[04:49] 市场现在就是决定往利空反应
[04:51] 对啊
[04:52] 那我觉得当然你看到今天盘面上
[04:54] 应该大家都觉得说
[04:55] 这行情好像感觉快要没有救了
[04:58] 第一个如果以你大盘的现行来看
[05:00] 今天是失守季线的第三天
[05:02] 上一次我们讲上个礼拜
[05:05] 礼拜一礼拜二
[05:07] 跌下去之后季线很快站回去了
[05:09] 那这一次反而季线开始正式失守
[05:11] 就代表说这一波我觉得修正下来
[05:14] 看起来季线是没有提供有效的支撑
[05:17] 那加上说今天盘中的低点是跌破上个礼拜的低点
[05:21] 是创下高点回当以来的不断最低点
[05:24] 所以我们看他大盘的月K线
[05:26] 这个月大盘是跌了4522点
[05:29] 那如果有人去统计啊
[05:31] 今年应该说台股史上前十大的跌点
[05:35] 那有八次都发生在2026年
[05:38] 所以当然大家感受就会非常的差
[05:40] 尤其是七月份真的非常难熬
[05:42] 那刚刚像刚刚赵华所说的
[05:45] 今天我觉得是反映几个利空的一个重叠
[05:48] 那我觉得最主要还是在于说
[05:50] 因为大家开始担心
[05:51] 那从上个礼拜相关的Google开始
[05:54] 特斯拉开始
[05:55] 英特尔开始
[05:56] 提高资本支出
[05:57] 连台积电提高资本支出
[05:59] 大家都当作利空来解读
[06:01] 那加上说
[06:02] 辉达在这边提供他的信用担保
[06:05] 来让这些所谓的模型开发商
[06:08] 那有更好的一个融资的管道
[06:11] 过去大家把它当作利多来解读
[06:13] 那现在会发现到
[06:14] 连辉达这样的一个这么好信用
[06:17] 这么多的一个现金流的公司
[06:19] 他昨天所谓的五年期的CDS都出现大幅度的上涨
[06:23] 所以开始大家有人在担心说
[06:26] 五年后会不会连辉达都有这种信用违约的问题存在
[06:31] 那我觉得这就造成昨天晚上
[06:33] 其实在美股的四大指数原本是全部都开高的
[06:36] 那随着辉达那个CDS往上拉高之后
[06:40] 整个废办开始出现重挫
[06:41] 那在所谓的记忆体啊
[06:43] 细光子啊
[06:44] 其实美股昨天
[06:45] 所有的一个半导一股
[06:46] 都出现重挫的发展
[06:48] 所以目前来看
[06:49] 我觉得市场就开始出现了
[06:51] 连辉达这样的一个公司
[06:53] 它都会出现的重挫
[06:55] 那大家认为说
[06:56] AI受惠程度最深的台积电
[06:59] 资本支出也没有办法
[07:01] 让市场有这种
[07:02] 所谓的大幅度反弹的一个空间
[07:04] 那连到Google
[07:05] 这个全世界最认同的
[07:07] AI模型的公司
[07:08] 财报好也好
[07:10] 资本支出调高也好
[07:11] 大家也帮利空来解读
[07:13] 就代表说
[07:13] 我觉得现在整个市场的气氛
[07:15] 跟氛围
[07:16] 真的是偏向空方
[07:17] 所以我觉得大家
[07:19] 在现阶段来看的话
[07:21] 我觉得这个所谓的市场的信心
[07:24] 如果没有办法很快的回流
[07:26] 那你就要看到
[07:27] 股价修正到什么时间点
[07:29] 才会开始对利多反映
[07:31] 会是大家接下来观察的重点
[07:33] 所以我们刚刚提到了
[07:34] 不管是刚刚提到的
[07:36] 第一个大利空
[07:37] 是所谓的挥打的一个信用
[07:38] 风险的调高的一个利空
[07:41] 第二个利空就来自于刚刚提到的
[07:43] 所谓的一个记忆体
[07:45] 昨天美股的记忆体全面性重挫
[07:47] 市场解读说因为长期存储
[07:50] 它可能募资之后要快速的扩散
[07:54] 那又是这种所谓的记忆体的鬼故事
[07:56] 我觉得这个消息也让昨天晚上的美股记忆体
[08:00] 连到今天韩国股市为什么会熔断
[08:02] 因为三星还是盘中都跌了十几个百分点
[08:05] 那也大家都担心说
[08:06] 可能这个中国的记忆体又开始在全球要低价强势
[08:10] 那我觉得这个待会跟大家讲
[08:12] 我们先从利空来解读
[08:13] 目前来看
[08:14] 我觉得记忆体的重挫
[08:15] 也会让市场的信心开始更加薄弱
[08:18] 那第三件事
[08:19] 但是这个艾斯摩尔
[08:21] 昨天是盘中跌了快要8个百分点
[08:23] 那在这个造成昨天晚上
[08:26] 美股相关的半导体的设备跟材料
[08:29] 也出现全面性的大跌
[08:30] 所以总结上来看
[08:32] 你会发现到今天台股跌2000多点
[08:34] 就是因为各个利空
[08:36] 刚好在同一个时间点发酵
[08:38] 加上说现在整个市场的氛围不好
[08:41] 所以我们会说今天台股就基础陷阱来看
[08:44] 破线了季线没有办法站上去
[08:46] 那底部也出现了低低低
[08:48] 就是说一个低点比一个低点来得更低
[08:51] 高点都没有办法站稳到季线的关卡
[08:54] 所以整个趋势上来看比较偏弱
[08:56] 那我觉得更麻烦一点是因为今天台股
[08:58] 就算跌2000点居然还没有亮
[09:01] 对啊没有错
[09:03] 对大家就会觉得这会不会是一个无量下跌的情况
[09:07] 是是是
[09:07] 所以這個就是會讓整個市場
[09:09] 目前我覺得恐慌的情緒
[09:11] 是快速在拉高當中
[09:13] 那我們還是跟大家講
[09:14] 在這樣的狀況當中
[09:16] 我覺得第一個
[09:16] 不管就韓國股市
[09:18] 費辦指數
[09:20] 甚至說在台股部分
[09:21] 應該都已經把剛剛講的
[09:23] 所有利空都已經反映在股價上面了
[09:25] 所以你接下來要看的是
[09:27] 那我們講跌到這個地方
[09:28] 滿足了沒
[09:29] 那國際股市的部分能不能回穩
[09:32] 我覺得時間點很簡單
[09:34] 你可以去檢視
[09:35] 礼拜四的一个国际股市的表现
[09:38] 因为礼拜四有很多大事情
[09:39] 第一个联准会的利率会议
[09:42] 那现在来看
[09:43] 因为市场有人在压缩
[09:45] 有可能会升息
[09:46] 对 但是川普有那个暗示
[09:49] 对不对
[09:49] 他也是希望华许能听他的
[09:51] 很有趣
[09:52] 对 我觉得川普这有点没力
[09:54] 因为川普每一次在华许开会之前
[09:57] 都把球做好
[09:58] 对
[09:58] 你像上次他的一个处女秀会议之前
[10:01] 也是一样
[10:02] 那我们就来
[10:02] 对 把这个美意的和平协议谈好
[10:05] 油价跌下来
[10:06] 那华许的说法就是
[10:07] 那看起来我们会持续观察通膨的状况
[10:10] 那这一次也是在开会之前
[10:13] 那美医又停火了
[10:15] 所以我觉得这个川普是刻意要把球做给华许打
[10:18] 那看他打得好不好啦
[10:20] 但我个人认为说应该是会维持利率不变
[10:23] 那接下来只要这个
[10:25] 现在所谓的美国的公债率没有再飙高的话
[10:29] 我觉得其实大家对AI的这个泡沫的疑虑就会降温
[10:33] 因为刚刚提到
[10:34] 为什么会有
[10:35] 所谓那么多的
[10:36] 加股文
[10:37] 或者说辉达
[10:38] 这些所谓科技巨头
[10:39] 他们发的公司债
[10:41] 有这种所谓的系列
[10:42] 是暴增的一个风险
[10:43] 我觉得主要原因
[10:44] 在于说
[10:44] 因为利率的环境
[10:46] 是对他们发债来讲
[10:47] 会造成比较大的压力成本
[10:49] 所以你说发五年之后
[10:51] 如果这五年
[10:53] 美国是一个升息环境
[10:54] 他们可能发公司债
[10:55] 他可能这个
[10:56] 募资的这个利率
[10:57] 都是七八八八以上
[10:58] 那如果他们现金流
[11:00] 又是负的
[11:01] 那不就代表
[11:01] 未来违约的风险
[11:02] 會非常高
[11:03] 所以我覺得這個癥結點
[11:05] 其實目前來看
[11:06] 如果油價沒有再往上
[11:08] 如果聯準會
[11:09] 他的這個發言
[11:11] 開始比較偏向中性的話
[11:13] 應該是有機會緩解
[11:15] 大家目前對於這種
[11:16] AI資本泡沫的一個擔憂
[11:18] 那再來就是說
[11:19] 禮拜四有很多科技股的財報
[11:21] 所以大家同樣也可以去檢視
[11:23] 上個禮拜有利多不會漲
[11:25] 那這個禮拜大家股價都已經回到可能波段低了有些可能股價台灣是有些經腰斬了嘛阿美股當中你看到不管是在揮打今年只剩下漲3%所以如果下個禮應該說禮拜四禮拜五
[11:38] 這些雲端巨頭大廠他們調高資本支出
[11:42] 揮打股價開始會反彈的話
[11:44] 我覺得對於現在所謂比較恐慌情緒
[11:46] 或台股的跌身反彈就會有一定的幫助
[11:49] 所以我覺得時間點大家就不妨去檢視
[11:52] 明天可能台股還是比較辛苦還是會亮說
[11:54] 但是到了礼拜四之后
[11:56] 就会开始做一个补量的动作
[11:58] 那时候大家可以看一下
[12:00] 利多消息会不会让台股有反弹
[12:02] 还是利多消息出来台股继续跌
[12:04] 那如果是刚刚讲的
[12:06] 利多而不涨台股继续跌的话
[12:08] 那我们就会讲说台股最差最差
[12:11] 这一波不管是在费办跟韩国股市
[12:14] 都已经回到半年线关卡
[12:15] 所以台股目前的半年线在39000点
[12:18] 那我们基金既然没有办法站上
[12:20] 那就代表说回测到这个半年线关卡
[12:23] 就看半年线
[12:24] 有没有一些回稳的迹象了
[12:25] 好
[12:26] 三月的时候还在三万点
[12:27] 后来因为一口气
[12:29] 涨到四万八千点
[12:30] 这中间的涨点跟涨幅
[12:32] 都非常的惊人
[12:33] 所以这一次的回档
[12:34] 你说四万是不是
[12:35] 个很重要的关卡
[12:36] 其实我觉得是
[12:37] 为什么最近没有量呢
[12:38] 最近没有量
[12:39] 当然我们昨天也有聊到
[12:40] 会不会叫做窒息量的出现
[12:42] 可是窒息量的出现
[12:44] 它就不会是
[12:44] 一天两天的事情
[12:45] 窒息量它就真的
[12:46] 比较需要在底部磨
[12:48] 如果说你底部
[12:49] 突然爆一个大量
[12:50] 代表有很多人
[12:51] 愿意勇敢进来承接
[12:53] 也有很多人断头出去
[12:54] 那个往往造成的反转
[12:56] 会比较快一点点
[12:57] 那自习量的话
[12:58] 就是低量
[13:00] 他可能就要有一段时间
[13:01] 为什么
[13:01] 就对吧
[13:02] 买的人没有意愿
[13:03] 对不对
[13:03] 卖的人
[13:04] 虽然最近痛的人多
[13:06] 也会觉得
[13:07] 我这个获利都回土了
[13:09] 我要去睡公园了
[13:10] 可是要记得
[13:11] 是叫做获利都回土了
[13:13] 不是代表赔到我没钱了
[13:15] 这是两种不一样的情况
[13:17] 所以有很多人到今天的感受
[13:19] 应该叫做
[13:21] 我都跌到这样了
[13:22] 我不想卖了
[13:23] 我前几天没卖
[13:24] 那我干嘛今天卖
[13:25] 所以我还要熬
[13:26] 这就是量为什么会越来越缩
[13:28] 没有到非卖不可
[13:30] 那你说融资有没有断
[13:31] 融资有一些个股
[13:32] 其实有断出去过
[13:33] 可是毕竟还是在个股上
[13:35] 那我记得之前达人有算过
[13:37] 真的是要跌到
[13:38] 大概4万点以下3万9
[13:40] 才会出现大盘的融资维持率有问题
[13:43] 当大盘的融资维持率
[13:45] 比较有问题的时候
[13:47] 这时候痛感就会全面蔓延
[13:49] 就像现在如果您手上
[13:52] 没有什么被动元件
[13:53] 或是没有这个载板通波基板
[13:55] 当然如果有载板通波基板
[13:57] 买到比较下面的
[13:58] 也只是获利回吐
[13:59] 可能被动元件比较痛
[14:01] 因为被动元件刚涨起来
[14:02] 大家比较半信半疑
[14:03] 后面追上去的人比较多
[14:05] 没有这些股票的人
[14:07] 也许也觉得还能撑
[14:09] 那所以也会有人就传讯息问说
[14:12] 是不是都这样了
[14:13] 我手上股票都不要处理
[14:15] 那我觉得这边的答案是
[14:17] 并不是这么讲
[14:18] 怎么讲呢
[14:19] 就像前几天
[14:21] 我跟各位听众分享
[14:23] 跌到季线了
[14:25] 后来我觉得
[14:25] 我自己手上有一些活泼的股票
[14:27] 我觉得压力大
[14:28] 我就决定减码
[14:29] 即使是少赚非常多
[14:31] 我还是觉得这个叫做减压
[14:33] 因为个股会跌到哪里
[14:35] 我比较没把握之外
[14:36] 即使我不开融资
[14:38] 我都是用现股
[14:39] 我可能还是会被
[14:40] 其他融资断头的人给扫到
[14:42] 他们可能得不计价的砍掉
[14:44] 那我就是得留意这种情形
[14:46] 所以我就把一些个股换掉了
[14:48] 就是那时候
[14:49] 我觉得这个东西叫减压
[14:50] 但理智上当然也会觉得说
[14:52] 现在是季线下相对便宜
[14:56] 我要在这边卖
[14:57] 可是我真的觉得有个股上的压力
[14:59] 所以换出来的现金
[15:01] 我就部分去投入到
[15:02] 我自己比较放心的ETF上面
[15:04] 当然大家也会讲
[15:05] 你看主动市益是否很奇怪
[15:07] 980为什么国际它都不肯卖
[15:09] 它这样不就跟一般散户一样
[15:10] 套好套满吗
[15:11] 但是他们毕竟是分散持股
[15:14] 你会觉得他对某一档股票
[15:16] 他可以凹
[15:17] 可是还有很多档别的股票
[15:18] 所以总体来说
[15:20] ETF以前就是基金嘛
[15:22] 就是主动式基金嘛
[15:23] 只是规模没有那么大
[15:24] 基金是不是在跌的时候
[15:26] 我们都提醒大家
[15:27] 如果您定期定额
[15:28] 如果您越跌
[15:29] 不要停扣哦
[15:30] 假如它是属于一个大范围式的基金
[15:33] 它的持股范围是比较大的
[15:35] 尤其台湾的科技股那么多
[15:37] 那像这种的你就不要太担心
[15:39] 但重点在拉长战线
[15:42] 所以那时候我觉得个股要减压
[15:44] 但我会愿意继续投入到ETF上面
[15:47] 那如果你觉得主动式真的波动太大
[15:49] 那就是市值型的ETF
[15:51] 也没有问题
[15:52] 市值所谓的拉长来看
[15:54] 都是往右上去的
[15:55] 所以我觉得不是
[15:56] 都跌到这边要不要卖
[15:59] 而是到底你现在的配置
[16:00] 长成什么样子
[16:02] 假如你根本就没有
[16:03] 现金在做投入了
[16:05] 那你为什么不能减码一些呢
[16:07] 你为什么没有停损机制呢
[16:09] 我觉得这个要想一下
[16:10] 要有停损机制的
[16:12] 就像那时候我整理的股票
[16:13] 有很多是因为
[16:14] 我听我的好朋友们
[16:15] 跟我讲的一些试吃牌
[16:18] 今天云翔可以找来跟我讲说
[16:19] 幸好昨天跟你讲的
[16:21] 你都没买
[16:21] 我说不是啦
[16:22] 我说这个情况下
[16:23] 买个股我很斟酌
[16:25] 可是我还是有买设备股
[16:26] 今天也是有中
[16:27] 昨天也有跟大家交代
[16:29] 我就把一些
[16:31] 我觉得我自己没有办法
[16:32] 真的很掌握它内容的东西
[16:35] 就先砍掉了
[16:36] 或者是
[16:37] 我觉得本来我做它
[16:38] 就是做一个短的
[16:39] 所以它现在不如预期
[16:40] 那当然也是砍掉
[16:41] 没有什么好天长地久的
[16:43] 有的部位
[16:44] 你本来就是好玩的
[16:46] 短的
[16:47] 你不会压重的
[16:48] 你也知道它波动大
[16:49] 你抱不住的
[16:50] 那些不是永远在赚一点就停利
[16:52] 那些也需要你赔一些的时候
[16:55] 你就要停损
[16:56] 这个事情很重要
[16:58] 但是如果你本来打定主意
[17:01] 是这些本来就核心部位
[17:02] 我是放长线的
[17:03] 那你干嘛乱卖呢
[17:05] 确实不用
[17:06] 本来就不要乱卖
[17:07] 它反而是应该是
[17:09] 要摊平成本的时候
[17:10] 慢慢加慢慢加
[17:11] 把这个部位养大
[17:12] 我觉得这个观念
[17:14] 大家要厘清
[17:15] 就是不是跌到这边说
[17:16] 都跌到这儿
[17:18] 我不要卖了
[17:19] 你要看你手上握着的
[17:21] 到底是什么东西
[17:22] 如果明天再跌呢
[17:23] 如果你手上的部位
[17:24] 明后天还会再跌一根停板
[17:25] 你真的觉得OK吗
[17:26] 我觉得这个事情是
[17:27] 现阶段真的要冷静一下
[17:29] 思考一下的
[17:30] 对啊
[17:31] 因为我觉得啦
[17:32] 因为这时间点
[17:33] 会说真的
[17:34] 很多人为什么到现在
[17:35] 没有办法处理自己手上的股票
[17:37] 是因为第一个
[17:37] 短线集跌
[17:38] 大家都相信集跌一定会有集谈
[17:40] 但问题是
[17:41] 集跌遇到集谈的时候
[17:43] 大家可能又心怀希望
[17:45] 对希望来了
[17:46] 史上最大涨点
[17:47] 会不会站稳季线
[17:48] 又在往上
[17:49] 我们俩最少到月线关卡
[17:51] 就月线没有站上
[17:52] 现在回来要到半年线的关卡
[17:54] 所以我们会跟大家讲说
[17:55] 其实因为整个趋势上来讲
[17:57] 我们先不说产业的趋势
[17:59] 先讲台股跟国际股市的趋势
[18:02] 目前是比较偏弱
[18:03] 所以偏弱的时候
[18:04] 本来就是你如果是抢反弹
[18:06] 或说跌深的股票
[18:08] 碰到上方的压力区的话
[18:10] 适度做一些减码
[18:11] 我觉得现在就不会这么难做
[18:13] 但是因为今天台股市
[18:15] 创业要波段低点
[18:16] 所以大家可能就比较关心的是
[18:18] 那我已經來不及了
[18:20] 這個今天一定要這邊了
[18:22] 會不會沒有反彈的機會
[18:24] 會不會接下來直接下去
[18:25] 如果會的話
[18:26] 明天是不是給他股票都除掉都好
[18:28] 那我覺得其實很簡單
[18:29] 一般來講
[18:30] 我們講說這種史上最大跌點
[18:32] 今天是第三大
[18:33] 那通常會伴隨
[18:35] 後面幾天會有一個
[18:36] 史上前幾大的一個反彈
[18:38] 是
[18:38] 那所以這時間點
[18:40] 我們會跟大家講
[18:41] 你在反彈的時候
[18:43] 就像剛剛趙華所說的
[18:45] 你要選擇什麼
[18:46] 誰能夠陪你長長久久
[18:48] 也就是說大家要有一個心態
[18:51] 我覺得股票很難處理的地方是在於說
[18:53] 有些時候我們買股票
[18:54] 真的沒有那麼認真去研究
[18:56] 它到底它的庫存盒是什麼
[18:58] 它接下來一季會賺多少錢
[19:00] 它過去合理本益比是多少
[19:02] 我可能聽說今天盤面上
[19:04] 大家說被動元件很好
[19:05] 就買被動元件了
[19:06] 功率元件很棒
[19:07] 可能大家就買了功率元件
[19:09] 那跌下來之後開始去找它的基本面
[19:11] 結果發現到基本面沒那麼好
[19:12] 但是因為大家覺得反正未來會漲價
[19:15] 所以你會發現到
[19:16] 最近为什么很多这种高档下来的股票
[19:18] 大家会越套越深
[19:19] 就是因为第一个
[19:21] 你功课在买的时候没有做很充分
[19:23] 那在底的时候又觉得说
[19:25] 这么好的股票
[19:26] 我之前买那么贵了
[19:27] 但现在回来可以摊品
[19:28] 所以就变成大家的子弹
[19:30] 可能在高档刚破月线的时候加码
[19:32] 现在可能到了季线
[19:34] 你就会发现到
[19:35] 那我到底该怎么办
[19:36] 停损又很痛
[19:37] 那再加码会不会越套越深
[19:39] 所以我觉得这个就代表说
[19:41] 如果你现在手上的股票
[19:43] 很多是你可能看他强才追的
[19:46] 你对他产业没有那么了解
[19:47] 你甚至你可能不相信
[19:49] 他未来会反弹的股票
[19:50] 那就有更适合在
[19:53] 你可能在接下来行情回稳了
[19:55] 融资断头了
[19:56] 弹上去
[19:57] 我觉得优先处理这种股票
[19:58] 就是说你如果对他的信仰不够的话
[20:01] 我觉得那种股票
[20:03] 就算未来你真的被你拗回来了
[20:05] 你也赚不到大钱
[20:07] 因为你一解套就会想要卖
[20:08] 你信仰够的股票
[20:10] 你就会觉得说
[20:10] 这股票我就可以抱得很久
[20:13] 因为你相信的是
[20:14] 他未来基本面
[20:15] 可能会逐年的一个成长
[20:17] 所以我觉得第一个
[20:18] 我们讲说就个股的操作
[20:20] 这个时间点
[20:21] 真的第一个很考验的是
[20:23] 大家对这公司的认同度有多少
[20:26] 不管是你对基本面的认同
[20:28] 或说对他在未来
[20:29] AI的供应链当中的一个
[20:31] 占的成分比重的一个认同
[20:34] 都会决定你这张股票
[20:35] 能不能抱得长长久久
[20:36] 如果说你本来就是听说
[20:39] 听说这个最近好像细金元不错
[20:41] 你去买了细金元
[20:43] 那叠下来之后
[20:44] 你反而一剪是基本面
[20:45] 细菌原基本面好像又不太好
[20:47] 所以你反而在跌破基线的时候
[20:49] 你不敢剪
[20:49] 但是如果你做产业
[20:51] 做的够深够了解的话
[20:52] 你可能就可以分得出来
[20:53] 那环球金 合金 中美金 台胜科
[20:57] 他们各有不同
[20:58] 所以他们可能在接下来AI当中
[21:01] 到底谁有长约
[21:03] 那谁他未来在所谓的
[21:05] 相关的供应链当中
[21:06] 他能够取得更好的一个
[21:08] 所谓供应的一个先后顺序
[21:10] 你就会有所谓的股票
[21:13] 哪一些股票你可以再抵挡勇敢的加码
[21:15] 所以我会跟大家讲
[21:16] 就是说你现在反而是今天大跌了
[21:19] 你今天什么都没有处理
[21:21] 那你就要想看看
[21:22] 如果明天反弹
[21:23] 如果接下来融资大减
[21:25] 如果礼拜四真的像我们讲的
[21:27] 开始利空不跌利多会涨的时候
[21:30] 那弹上去哪一些股票你要爆的
[21:33] 哪些股票你要趁反弹做减码
[21:35] 我觉得不是在大跌的时候要恐吓大家
[21:38] 而是要跟大家讲
[21:39] 就是有时候在跌的时候
[21:41] 你反而更能够冷静下来
[21:43] 因为之前讲的时候
[21:44] 什么股票都很好嘛
[21:45] 那巴菲特讲
[21:46] 应该是巴菲特讲的吧
[21:47] 当潮水退去的时候
[21:49] 你知道谁没有穿裤子吗
[21:51] 对那我们尽量去找
[21:52] 有穿裤子的股票
[21:53] 我觉得是比较容易
[21:55] 让大家抱得住的
[21:56] 好因为刚刚有讲到一件事情
[21:58] 就算你自己的资金
[22:00] 以我自己来说好了
[22:01] 是一个现金部位嘛
[22:03] 没有开融资
[22:04] 也没有开杠杆
[22:05] 可是别人开杠杆
[22:06] 会踩到我啊
[22:07] 我要讲的就是
[22:08] 其实以目前为止
[22:10] 以开出来的美股财报
[22:11] 台股财报来说
[22:12] 都没有让人家觉得
[22:13] 很惊吓的东西
[22:15] 都是正面表列
[22:16] 唯一可以拿来大做文章的
[22:18] 就是上次讲到的
[22:19] Google财报里面的
[22:20] 自由现金流变富
[22:21] Tesla也是
[22:22] 但Tesla的本质
[22:23] 跟Google不一样
[22:24] Tesla是信仰派
[22:26] Google就比较实际派了
[22:28] 连巴菲特都有买Google
[22:29] 所以当他们发现
[22:31] 这种所谓的AI投资
[22:33] 付出会大于回收的时候
[22:35] 在行情比较震荡的时候
[22:37] 就会形成一种恐惧
[22:39] 其实这个跟刚刚汉伟哥讲到的
[22:42] 如果要升息
[22:43] 为什么对科技业的打击很大
[22:45] 其实这个我们之前聊过很多次
[22:46] 因为科技业现在在扩张的时候
[22:48] 他一定会用到举债
[22:50] 就算连辉达都有发债
[22:52] 只是他的债可能比较多人愿意认
[22:54] 美国公债大家比较不愿意认
[22:56] 觉得发太多太腐烂了但是大家有没有举债有的有没有帮别人担保有的有没有甚至成为别人融资的来源有的这也就是辉达的story那一旦升息
[23:07] 所有人的举债成本就会同步提高
[23:11] 其实这件事情在两年前
[23:13] 我们在讲总经的事情
[23:15] 我就有点担心了
[23:17] 但是AI的成长和投资
[23:20] 把这个事情给cover过去了
[23:22] 对
[23:22] 把这个事情cover过去
[23:24] 所以大家就一直活在一个高利率环境
[23:27] 美国
[23:27] 美国台湾还好
[23:28] 活在一个高利率环境
[23:30] 然后挟带着高成长来对抗这件事情
[23:33] 只有在对等关税那时候是黑天鹅
[23:35] 那个黑天鹅是因为真的吓到的
[23:38] 所以三四天结束
[23:39] 那现在的话
[23:40] 这件事情被重新拿出来提
[23:42] 一样总经事件有时候
[23:44] 他很难用几天去说就完全没有事情了
[23:47] 所以联准会的态度真的相对蛮重要的
[23:51] 我记得两年前那时候骨干店还没有退营
