[00:00] 歡迎收聽《照華於股貨》載地1171集,今天是2026年的8月27號。
[05:54] 對 所以這一點來講的話當然也會有相當大的激益作用
[05:58] 而這個大幅超越預期的源頭那個關鍵的力道就是來自於VR機櫃 VR Rubik
[06:05] 所以我認為其實對於台灣的AI供應鏈
[06:08] 其實大家只要確定的是這個產業往這個方向走了
[06:12] 至於說輝達股價呢,短線能漲或許能助攻,但就算它不漲的時候,不要忘記我們很多的AI供應鏈其實也早就能夠自己領先上攻了。
[06:23] 好,當然他也有提到一件事,我覺得是市場沒有辦法更激情表現的原因啦,就是毛利率。
[06:29] 因為大家都知道以前輝達毛利率很高的時候還講過,就讓台積電漲價啊,沒有問題啊。
[06:34] 但是講著講著,毛利率也開始受到一些零足業漲價的壓力了。
[06:38] 好處當然就是剛剛講到我們講的那麼多,不管什麼散熱、電源或是甚至已經後來漲到所謂被動元件,那前面的話是載板、通貨基板,大家都在漲價,真的是給台廠創造了非常好的榮景。
[06:50] 雖然台銷後面跌得比較深,可是之前真的也是率先就創高,聯貿是比較後來,因為現在反而中低階這個CCL比較不受到市場的影響,也在那邊跟漲。
[07:02] 好,都有一些原因,可是相較之下,總和到輝達那邊,他的採購成本自然就上升了。
[07:08] 所以他就有提到,他現在第二季的毛利還是有75個百分點,但是他明年就可能會逐季的毛利下滑,但是他的毛利下滑也是很ㄍㄧㄥ的啦。
[07:18] 例如說他第三季可能今年第三季到74%,明年的第四季可能會71到72%。
[07:24] 市場如果要吹毛球詞,就可能會有一點吹毛球詞說大家喜歡三綠三神,
[07:30] 可是你卻是一直因為市場的擴大,然後競爭者也進來,或是採購者成本增加,你可能毛利率慢慢慢慢慢慢會往下掉。
[07:38] 我覺得這個大概也是大家會有一點點去思考的問題,時不時其實市場氣氛不好的時候就會擴大這些負面消息。
[07:48] 但是我想總之因為輝達對於明年的展望真的太好了,而這個好,它應該也會反映到所謂台灣的身上。
[07:55] 因為他還是有預購了很多的東西,就是有一些提早要花出去的錢,他也有講會持續的增加。
[08:02] 那還有就是他有講到其實影響成本最高的還是在記憶體,還是在記憶體。
[08:07] 所以記憶體廠商到底接下來的路怎麼走,我看大家也是很關注。
[08:12] 不過剛剛威良也點名了很多族群,其實我們也跟大家講這些創過高的族群都沒有問題。
[08:18] 可是現在今天指數又來到4萬6千點,創過高的族群有些又已經在創高了。
[08:24] 但有一些新的,例如說CPO有點捲土重來了,因為有大立光跟聯亞,對不對?
[08:29] 但其他的可能離他的前高已經修正過了,這個是一個。
[08:33] 那載板到底要漲到哪裡去呢?我常常也是滿頭問號,因為我自己有載板,可是你說我有載板的想法只是因為持股成本比較低了,所以他愛飛去拿就飛去拿。
[08:44] 但我有點想說,哇,現在連錦碩都快要簽金了嘛,錦碩今天創歷史新高,那我到底要怎麼去評估他的成長跟股價的合理性呢?
[08:53] 對我來說最簡單的方式就是遇到大幅回錯的時候買就對了不用擔心可是反而在這樣子大家都通通去創新高的時候我有點手足無措我不太知道我應該去選他們還是去選你有發現比較落後但一樣具有AI潛力的公司
[09:09] 我覺得載板應該算是就是因為成長的能見度很高那基本上呢以上半年來講的話呢還不算是真正進入到大幅度漲價的主升段
[09:20] 所以說其實從2026的下半年也就是現在持續到2027年
[09:25] 那麼未來一年半應該他們的一個足跡的漲價態勢會是非常明確的
[09:31] 所以我覺得這個業績的一個成長能見度高
[09:34] 自然就會是屬於投資勝率很高的一個族群
[09:37] 所以確實既然你都很確定未來的方向
[09:40] 那利用重挫大跌系統性風險的時候買
[09:44] 那就是賺超額報酬
[09:45] 因為投資不外乎就是這樣
[09:47] 剛剛講到一個是勝率一個是報酬率
[09:49] 所以我覺得買這個族群勝率就是高,那你的報酬率高跟低就取決於你的進場在哪個位階、哪個成本。
[09:55] 所以能夠利用大跌的時候去買就會有超額報酬。
[09:58] 至於說宅版通常會講到4熊或者3加1熊,那我個人是比較喜歡講3加1熊,不是排擠真鼎啦。
[10:07] 但是主要原因還是在於說,畢竟真鼎是在宅版的後期新秀,所以相對來說整體宅版的發展因為還沒有產生非常非常大的實質貢獻。不論是ABF或BT載板,對老闆來說,整體的載板發展還沒有產生非常大的實質貢獻。精準來說,不論是ABF或BT載板,對它營收的貢獻佔比大概還是停留在個位數。
[10:25] 跟其他的,像南電、新興、景碩等,其實還是有一段不小的落差。
[10:31] 上半年那時候,載板有一段非常熱、非常瘋狂的行情,特別在第二季的時候。
[10:36] 所以那個時候其實如果大家真的看好這個產業,那很明顯的問題就是說,光只有三家公司滿足不了市場的買盤,所以他就會外溢到第四家,甚至外溢到載板的設備廠。
[10:49] 所以那個時候就會有一段整個族群可能大家就是一起站在風口都會飛。
[10:55] 當然我不是說真頂是豬,不能這麼說,因為他確實是一家非常好的公司,然後他也是全球產值最大的PCB廠。
[11:03] 不過這就是一個重點了,因為如果是純粹我們以前講過往的PCB公司,其實本益比還是比較低的,那載板的本益比都比較高,所以才會說到在上半年的時候,它好像突然跟著試用載板的評價,但是當後來因為7月份的修正之後,再加上大股東鴻海賣股的充滿壓力,那現在真頂可能就會變成說,它的本益比就會介於在載板跟純PCB的中間,就沒辦法比照三位老大哥那樣子。
[11:31] 所以也就造成他這一波的漲幅確實就會比較落後
[11:35] 那至於說在比價空間來講的話
[11:37] 過去我主要是觀察就是這個同樣曾經擔任過千金這個宅門股王的南電跟新興這兩檔股票
[11:47] 那我會採取就是算是比較好玩的就是來回配對交易來回配對交易
[11:53] 所以倒不會說新興或南電呢一路就是抱到底而是會來回做
[11:59] 簡單來講,這兩家公司以未來的成長幅度或EPS來講,南電明顯會高出一個頭。
[12:08] 所以一旦新興的股價追上來靠近南電,甚或是短暫超越南電的時候,因為南電的獲利比較高,所以我就會去買南電。
[12:17] 相對來說,如果南電一時的噴出幾漲,跟新興的股價可能拉開了,超過了400塊錢以上,有顯著價差的時候,
[12:28] 我會回頭去照顧一下新興,回頭去重新佈局新興,那這樣來回做。
[12:33] 那所以簡單舉一個就昨天到今天的例子,因為昨天呢,這兩檔股票呢,分別來到1200跟1180,那覺得新興呢,略小於南電20塊錢,那今天南電呢,果然就往前衝了,就拉開了,漲停板。
[12:48] 那新興今天收盤只漲了1.7%,所以這兩者之間就稍微,看起來還是在有這個比價的倫理持續發酵當中。
[12:56] 是,好,這個是如果兩家是一起在網上的時候就可以用一個誰現在蹲得比較低去選擇他,大家應該還有印象啦,因為前陣子星星真的蹲得比較低,而且大家又會充滿了一個討論是,為什麼咧?他不是第一大的嗎?那為什麼都不是長他呢?南電已經創新高了,錦書也跟上來了,搞不好錦書要超車星星了,那時候再怎麼講,現在其實要布局的應該是星星,大家都會越聽越沒信心,對星星沒信心。
[13:26] 可是我那時候確實自己也做了一個算小實驗吧,就是沒有錯啊,現在載板三雄裡面你是最大的對不對,那你又是相對最委屈的,嗯,那我就買一點你試試看咯,那沒有的話就算了,但我那時候心裡面是覺得不太可能沒有,只是時間的問題,所以要證明怎樣沒有,可是我那時候比較怕的其實是因為載板三雄的PE都拉到很高,所以我會擔心不是新興不上去,是另外兩家會下來,這大概是最擔心的。
[13:56] 可是因為多頭在延續嘛,多頭延續的時候又可以看到,載板即使回檔啊,他們也是回檔的幅度相對沒有那麼深的,市場共識這麼高,所以我就覺得,嗯,投信又對新星算是相對後面都有在佈局,我就覺得這個實驗很值得做,這是在回檔的時候,但如果大家都在往上走呢,我覺得像威洋這一套方式就很棒啦,你就看南電、新星、甚至錦碩開發加進來,其實增加一點樂趣啦,對,誰在跑嘛,對,誰跑得比較快你就買落後那個,因為他會追上來啊,
[14:25] 大家都是不錯的。
[14:27] 那真頂我覺得就很吃。
[14:28] 你覺得它是不是現在是真的相對位階低。
[14:33] 那是綜合性的板材。
[14:34] 它也很努力的在載板的部分要擴產。
[14:37] 那明年的話應該也會有不錯幅度的成長。
[14:40] 只是就是耐性囉。
[14:42] 因為就產業地位來說,光看載板那一塊它就不是最純的。
[14:46] 但是看世界型的地位,它就應該是最穩的。
[14:49] 我覺得這個是大家可以來參著。
[14:51] 但無論如何我想這個已經講到爛掉。
[14:54] 但看大家要不要,就是載板CCL目前都是共識強的啦。
[14:59] 當然PCB有很多的上中下游,像我們昨天在節目啊,我們也聊到像之前大家很喜歡金居,可是金居他就有一點點被投信棄養,然後產戶的籌碼真的比較亂,以下的從700多殺到200多,所以這中間死傷慘重的情況下,他要回升就比較慢,但今天金居也順勢又拉了一個尾盤的漲停板,他不是第一批漲停的,所以他不是最強的。
[15:23] 可是我覺得看到他尾盤長停板也要提醒大家,假如這一波大家有去抄底所謂金居的,或者是你之前是抱上又抱下的,那你就要思考一件事,因為他的股性確實比較活潑,不敢說他完全回不到原本的高點,可是之前會有很多人感嘆是追上去之後沒有獲利了結,就被慘套下來,那到底在金居上面要不要適度的有一部分有賺錢稍微先入袋為安,剩下就抱著看他怎麼飛,
[15:51] 可能會是大家喜歡這檔公司也理解他產業地位後要思考的事情
[15:55] 因為這一波下來金居上面的散戶的災情來回報的大概是相當重的一檔
[16:02] 不過這一次金居從低點大概270幾塊反彈到今天來看的話
[16:08] 快500了
[16:09] 漲幅其實已經有超過了8成以上
[16:11] 但是很特別的是今天籌碼當然還沒有出來
[16:15] 不過今天以前這一整段整個8月份以來
[16:18] 大家去看兩大法人外資跟投信是聯手的賣賣賣,一路賣超。
[16:23] 那兩大法人賣了這麼多連續賣,可是股價卻反攻了,漲了有八成以上。
[16:29] 這就是看籌碼的另外一個奧妙之處。
[16:31] 那籌碼往往就是有所謂的在明跟在暗。
[16:35] 明的一方呢,比如說每天下午呢,大家就看到三大法人的進出全部都公開來,非常透明。
[16:41] 但是呢,你所看不到的那些呢,你只能反過來推。
[16:44] 反過來推意思就是說呢,如果法人賣,可是股價卻漲。
[16:48] 那一定有人買,那這個買呢,應該也不會是一般人,他總不會是呢,全市場散戶大家呢,螞蟻雄兵團結合作一起買買買買,把法人籌碼全部都收進來,還把股價推上去,我覺得這個難度應該是很高的,這個機率應該是不太容易發生的,所以代表就是說應該是有呢,更厲害的籌碼,那我自己是覺得啦,在股市當中呢,看得到的法人籌碼很厲害,不過看不到的決定股價的籌碼更厲害,所以這種籌碼呢,我覺得是值得去深思跟留意。
[17:17] 法人之前的賣,我認為也會跟流動性的考量,因為他有一段時間量還蠻低迷的,再加上破線也會有法人去做停損。
[17:29] 但是我想整個金居的基本面也很明確,因為原本上半年應該就是在暖身,真正來講的話,高階的同伯HVLP3、HVLP4這個部分,
[17:40] 這部分的貢獻是從差不多七八月份後開始,逐月逐季的放量到明年,這個能見度也是非常高,絕對不亞於宅版。
[17:51] 所以我覺得如果業績往上,股價又陸續把中期月線、季線一條一條收復回來之後,我覺得法人買盤反而有可能會重新歸隊。
[18:01] 所以這樣來看的話,反而是可以留意後面潛在的法人買盤的動力。
[18:07] 至於說因為前波它700多塊摔下來,不過好在那個時候其實相對的平均成交量跟最近來比的話,現在的量是比較大的,所以應該這個反攻的氣勢應該還算已經蠻明確形成的,那大家就可以依照自己的持股的張數跟自己的持股成本來決定策略。
[18:26] 我常說就像之前聊到被動元件,如果你持股成本很高而且你的數量已經很多了,那就不要再加碼了,因為會讓自己的資金太過集中在特定的個股或單一產業,那你反而可能要透過技術面搭配一點來回操作,試著降低成本。
[18:43] 那如果你的持股張數少,成本又高的話,那就可以按照近期的技術型態,那佐量然後逢低承接去找一個機會點來試試攤評。
[18:54] 因為我想前一波的下修真的是在中小型股上面很多人都會說出一句早知道我就應該先獲利了結。
[19:02] 所以反彈到今天跟這一波反彈的最高點幾乎又開始比肩的時候甚至離所謂的最我們前面的所謂的歷史高點大概也就是一兩千點的差距的時候。
[19:13] 差4.8%
[19:14] 對我就會思考說並不見得你的股票一定有回到原點可是也有不少人的股票一定是大幅的回血。
[19:23] 回血,剛剛威良講一個事情很重要,如果今天是法人已經同步在加持了,我覺得大家就不用太緊張,因為你有很明確的在明的籌碼可以看,他們如果開始鬆動了,開始賣,你再賣也不遲嘛,那像金融這種就是看起來有某一些特定的主力大戶有在開始鎖他,他反而後面如果法人,欸法人不是都會減便宜抄底而已,法人還蠻容易趨勢形成的時候才跟上來,所以他可能就會有續漲的力道,但是也莫忘之前的教訓,這個教訓就是說,
[19:52] 假設你剛好是在很低檔有減好了,或是你之前抱上抱下真的覺得很痛苦的人,可能就要趁這波勢頭也要思考,到底你的策略是可以永遠抱著它而不會擔心,還是要賣飛了不要太難過,至少有獲利入袋。
[20:07] 我覺得是現在談到今天這樣的情況,我看著我的庫存回血的時候,會去思考的一件事情。
[20:12] 在新興最落後時,我曾經去買這款電腦,但我真的覺得如果三檔都下台,這又不是沒可能。
[20:24] 心裡難免還是會有一點壓力的存在,只是因為後面的狀況是好的,它創新高了,就證明沒錯,那,那時候大家互相比拼,他就上去了。好,當然這中間還有包括很多是你對整個產業地位的觀察嘛,為什麼大家市場那麼喜歡新興?
[20:43] 因為不管怎麼聊,這個PCB的達人,大家也都在說未來其實PCB的材料,有有說過嘛,以前說玻璃基板,會不會取代載板啊?
[20:52] 但又說不會,其實兩個事情都是會在一起的。
[20:55] 現在又說可能有新的一些技術,它會取代完全不要波遷步哦,只是還沒有成型。
[21:01] 但是不管怎麼組啊,這裡面所謂的高階同伯都存在。
[21:06] 就高階同伯這件事情沒有現在誰說,完全以後都不要用到同伯,完全不需要高階同伯就可以取代。
[21:13] 沒有,所以大家就會對金居格外的好像有點信心,但股價確實比較難捉摸。
[21:18] 所以這邊的話,大家就多少理解。
[21:21] 穩健的話,例如說昨天看到輝達漲,今天那邊也會想說老AI有沒有一些表現,那老AI說實話激情真的比較少,可是如果當作是一個定存概念,到明年殖地率不錯,偶爾在市場不好的時候給你安全感,我覺得他們還是蠻有這樣的功能。
[21:39] 這就是大家要慢慢轉變對於紅海廣達偉創的投資想法。
[21:48] 如果能夠偶爾來個波段上漲,就當作是意外的驚喜。
[21:54] 平常偏向站在價值佈局的角度,心態上就比較不會患得患失。
[22:00] 畢竟客觀來講,下游公司今年都會蠻辛苦的,因為整個相關的物料清單成本都在漲價,大家如果看到記憶體漲價、被動元件漲價,就連輝達毛利率這麼高的公司都會感覺到一絲的壓力開始要浮現了。
[22:17] 所以其實對於毛利率如果只有個位數5%到8%的下游組裝廠來說,勢必它的毛利率也是ㄍㄧㄥ在這邊ㄍㄧㄥ得很辛苦,通常法人也是蠻殘酷蠻現實的。
[22:29] 這些大型 AI 股他會把它視為可能就是一些基本的標配,但是可能持股也不會放太重,那主要還是希望能夠抓到這整個產業的輪動還有貼近指數,但是畢竟呢低毛利率的公司在現在的股市來講的話,他往往就會對應就是低本益比,那本益比呢就是很難呢就是跳脫上去,所以鴻海就是沒有辦法像是比方說台達電的本益比,那廣達呢他也沒辦法變成的是台光電的本益比,
[22:59] 對,所以相對來講,這個族群有他自己的路。
[23:02] 那我覺得,我知道很多人長期持有,那確實這些公司報紙是沒有什麼太大問題,因為CP值也蠻高的。
[23:09] 那但是,就是你要用一個平常性來看待他。
[23:13] 那尤其這幾家伺服器的組裝廠裡面,我覺得大概本益比最低的,大概首推就是偉創。
[23:20] 那尤其他有一個很爭氣的父兒子,就是韋穎。
[23:24] 對,那因為畢竟這個是採用了會計上的權益法論列。
[23:28] 微影那麼會賺錢,那偽創就可以跟著受惠。
[23:31] 所以他不只是說看到他的兒子股價這麼爭氣,而是在財報當中,他就是按照持股比率去認列微影的獲利。
[23:40] 所以我想估計明年微影EPS也是要大爆發,而且可能成為下一個千金股的候選人。
[23:47] 所以搞不好偽創也會因為這樣子而摩以止跪。
[23:51] 但是也無論如何,微影真的很會賺錢,但微影的毛利率可能他還是會有一個天花板。
[23:57] 因為我記得他好像就是9%多的毛利率已經在所有的組裝廠裡面算是非常厲害了。
[24:02] 所以你說喜歡這類型的一定就是要注意他的本益比是否合理,我不需要這麼說。
[24:08] 因為要享有高本益比可以去有很大想像空間的通常毛利率都大滿高。
[24:13] 我記得以前已經有跟大家聊股王的概念,會成為歷史上的股王。
[24:17] 因為那天大立光重返榮耀,是不是就昨天而已?
[24:20] 昨天大立光重返榮耀我非常的開心,因為有跟大家聊到大立光切入矽光子的時候,
[24:26] 有不斷的跟聽眾朋友分享,大立光說要做矽光子,他就會做矽光子,因為他就是一家誠實而且有現金流的公司,他說要做就是要做,他說有跟台積電合作,他就是有跟台積電合作,他說2028有可能亮場,那就是2028有可能亮場,你不用去懷疑這家公司是不是來一個擦邊球,來炒一個題材,其實訂單根本就沒有,也沒有產品,是不會的,然後那時候2000多嘛,2000多,當然我不能說現在重返榮耀6000多的大台,
[24:56] 這就是一個非常重要的一個項目。
[25:26] 剛剛威良也講到為什麼組裝代工廠營收都大爆沖可是毛利率什麼的就沒有辦法同步提升
[25:33] 因為你可能要學習的東西變多了才夠成本拉高了
[25:36] 他就會是一個硬傷啦有點硬傷你很難說那這樣我本一筆就給你從本來的15、20變成30、40
[25:44] 在組裝廠身上我想有點難看到這一點
[25:48] 然後他們的股本又非常大大家不要看大力光股本不大
[25:51] 大力光是小股本公司
[25:54] 這些動輒數百億股本的大廠就沒有這樣的紅利了,必須講。
[26:00] 那股本大現在飆的,像我覺得南亞就很厲害,其實今年台塑集團真厲害,必須講真厲害。
[26:08] 南亞講了那麼久,就是它是一個50%的認列匯市在電子股的一家傳產,它今年真的是展現了非常不一樣的一個狀況。
[26:18] 也讓台數集團在這一波傳產裡面算是最風光的。
[26:23] 油價前陣漲,台數化油漲,台化也因為說有切進電子機油漲。
[26:28] 這個族群在一開始說的時候還被人家善笑,善笑說,因為有次好像台數開記者會還是法術會就這樣,我們也可以做塑膠AI,大家就善笑說什麼東西啊,什麼來沒蹭。
[26:38] 但後來證明至少南亞台化沒有什麼真的在蹭。
[26:41] 台數也是有機會的,因為他們還是有蠻多相關的產品可以從一般的傳統的領域切到這個半導體。
[26:50] 所以塑化其實翻身了,塑化、特化、一家親這些都是有機會的。
[26:57] 那接下來其他的原物料有沒有機會呢?
[27:00] 當然可能就遠了一點點,沒有那麼的直接,可能有建廠概念的啦,或者是有一些聯想的。
[27:07] 好,那另外一個今天盤面上比較算是過去防禦或是話題上的就是軍工啦。
[27:13] 那威良一直長期有幫我們發動軍工,可是像我看指標股雷虎,今天是漲停鎖不住,我盤下去,似乎有人先知道,就是下午通過的這一個立院版本,不見得是他們覺得最完美的版本嗎?或者是他覺得就是做今天,衝完就算了?
[27:30] 首先簡單二要講一下,今天立法院要審議對決的就是兩套版本,只是這兩部分以特別預算來編列無人機條例是2100億元,至於說藍白在野黨則是提出6年2400億元。
[27:50] 所以無論如何,基本上這個朝野都是非常重視國內的國防軍工、無人機的發展。
[27:57] 這件事情其實已經前前後後拖了至少有半年,從年初一直懸擋到今天,今天就正式過關了。
[28:05] 那就是決議的版本就是在野黨的所謂的藍白版,2400億元。
[28:11] 那這件事情我認為只要有確定對整個產業的發展,它都會是偏向利多,它絕對不會是利空。
[28:18] 雖然說可能在兩派朝野方面一開始的主張是不一樣的,但是一個大前提大家希望就是台灣要把無人機在全世界進一步的去做大推廣,能夠彎道超車。
[28:34] 所以這邊來講的話,我覺得這個不確定因素消除之後,接下來應該就會慢慢回歸到產業的一個發展的力道了。
[28:42] 這裡來看我們會提出在整個無人機甚至擴大到軍工來看的話以八字口訣來選股,就是要內外兼修海陸雙棲。
[28:54] 你很厲害耶,內外雙修海陸雙棲。
[28:58] 國內的部分來講的話當然大家關注的就是現在預算通過了,後續當然政府就會開始要實施這個標案了。
[29:07] 未來你能夠拿到標案的公司會非常多
[29:10] 因為剛剛提到2400億元的商機
[29:15] 對於國內所有的軍工股來講
[29:18] 它都是一個非常大的甚至可以叫天文數字
[29:22] 因為大家的股本都很小
[29:25] 所以不論是就股本的角度
[29:28] 或者說他們的產能產量的角度來講
[29:30] 沒有一家公司能夠吃得下來
[29:33] 甚至少數公司都沒有辦法
[29:36] 所以後續的標案如果說開出來的話應該初期來講政策也是希望人人有攻略、人人有飯吃,盡量就是多給一些無人機相關的公司都能夠拿到一些生產的機會。
[29:52] 這個部分我覺得是一個業績的基本盤,但是如果能夠再去外銷到全世界,尤其像歐美,他們的國防預算也是不斷的在疊加創高。
[30:02] 明年美國的國防預算就已經要上開1.5兆美元了。這個金額其實說起來比起雲端大廠的1兆美元的資本支出還要來得更高。
[30:14] 所以我覺得如果能夠外銷到海外市場區的公司,它的利潤率通常也會更漂亮,所以才會提到是內外雙修。
[30:23] 至於說海陸雙棲,也就是說我們國內的重點就是無人機跟無人船艇,所以如果能夠橫跨的也會比較好。
[30:30] 那當然大家就會想要知道說那誰就是符合這樣的條件?其實我覺得市場有時候很好玩,真的是很聰明。
[30:37] 你看今天早上第一個衝出去的,第一個亮燈漲停的,那個就是答案,答案就是雷虎。
[30:44] 所以其實,所以我覺得蠻明顯的。那至於說呢,可能今天在立法院,當然我們人沒有在現場,但是我覺得在可能討論或表決過程裡面有些波折,所以漲停了立刻就打開了。
[30:58] 我相信在立法院的第一線的現場人員最清楚,所以就會有一些股價上面的波動表態。
[31:05] 不過呢,中午過後呢,又慢慢的又開始有點反彈往上,然後到剛剛我們要錄節目之前才最新最新的快訊嘛。
[31:14] 所以剛剛一開場,趙華就跟大家講,是通過的。
[31:17] 但這個版本我們要研究。
[31:19] 對,研究一下到底短線上面的市場反應會是什麼。
[31:23] 但是我想中長期我個人是熱觀看待的。
[31:27] 這個就是一定要發展的啦。
[31:28] 其實就是一定要發展。
[31:29] 然後它的利與弊都是一體兩面。
[31:32] 因為它就是國家政策,重要的國家政策。
[31:35] 可是也因為是國家政策,它就會有朝野兩黨的角力。
[31:38] 所以它是一體兩面,它一定要,可是它一定要角力。
[31:41] 它一定要,它一定要角力。
[31:42] 我覺得軍工很適合炒冷飯,可是要有耐性。
[31:46] 就當他們都沒人理會的時候,通常是一個好的時間點。
[31:51] 但是有時候他一成電就是一年,那真的需要很大的時間。
[31:55] 但現在熱起來了,因為我覺得無論如何在這個預算公布之後,
[31:59] 我記得第一波軍工大漲就是有一個500億元的預算嘛,那現在是2400億。
[32:04] 雖然細節有待拆解,但是我想這個對於接下來軍工重新回到大家去評估的狀態下,
[32:10] 應該是很有幫助,應該不太容易說一層級就成幾個半年一年都不動啦,反而是一個有趣的,大家發現電子如果今天比較弱,也許軍工就會來接棒這樣的一個狀態。
[32:21] 今天像PCB裡面有一個新的話題,我也是昨天才比較深入了解,就是PTFE的新材料跟鐵浮龍相關的,那它將來可能會取代所謂的PoChain。
[32:32] 還沒上就出現,你說是妖股也好、標股也好,就台鴻亞電,那這個大家就順勢看看了,因為可能之前大家也沒有特別去留意這個話題,結果話題一出來,沒有吵過的公司,這樣講是真的蠻坦白,沒有吵過的公司就去講一下。
[32:48] 看來市場非常買單 PCB 新材料的這個夢,就跟之前買單玻璃機板一樣,板類只要有新的運用,我先不管你會不會真的成為未來的主流,也先一時之間分不清楚你會不會打到誰,反正你說你有做,我就先買你。
[33:05] 這個也是一個在勢頭上面蠻有趣的,有興趣的朋友也是可以順勢順水摸魚,但是一定要記得因為他們絕對絕對在這兩年內不會有這件事情的任何營收,跟已經比較成熟的不管是銅箔或波遷布這些已經有營收開始進來的,是不一樣的一個概念。
[33:25] 所以好的是台面上面想要做夢的好像時不時都還是有,就代表整體科技股的氣氛還是挺熱絡的。
[33:33] 所以我是蠻樂觀看待,我覺得過前面48000點的高不會太困難,因為還是有新的話題在點火。
[33:40] 其實這個PTFE我覺得啦,不知道可不可以這麼說,讓我自己感覺有一點類似年初的時候這個十音步、Q步的德宏。
[33:49] 這就是一個新的選擇方案,例如是Q部、傳統的波仙部等等。
[34:02] 這個規格就一定是拍板了,訂單是不是真的落入得宏,什麼時候貢獻呢?反正就是再說。
[34:10] 再說,股價還沒有賺錢之前,就先從雙位數噴到400塊以上,後來就是慢慢有點幾乎快打回原形,直到大概近期才又稍微有一點活力出現。
[34:23] 所以這種股票真的做起來,為什麼有時候大家會說是腰股,也沒錯,因為它就是你一時半刻你真的沒有辦法找到那個基本面的著力點,只能大家就是可能看技術籌碼,然後用你的想像,股價就去創造這個夢想的空間,本夢比。
[34:38] PTFE 說實在的話,大概是兩、三個月前,中國有稍微流行過一段時間,他們也有對應廠商,叫做生意科技。
[34:52] 那時候曾經一度大漲,但後來已經領先下跌。
